context: In the year 845... response:	the Colossal and Armored Titans
context: No...\I'll go, too\Eren,\I'm coming with you.\No!\If I can't keep up, you don't need to worry about me.\But I don't have to do what you say.\I've told you to stop all that! response:	I'm not your little brother, and I'm not a child!
context: I'll go, too\Eren,\I'm coming with you.\No!\If I can't keep up, you don't need to worry about me.\But I don't have to do what you say.\I've told you to stop all that!\I'm not your little brother, and I'm not a child! response:	Yeast (1) A special yeast made only within Wall Sina keeps fodder, wheat, beans, and other items from spoiling for a long time when placed in storerooms or tents.
context: Eren,\I'm coming with you.\No!\If I can't keep up, you don't need to worry about me.\But I don't have to do what you say.\I've told you to stop all that!\I'm not your little brother, and I'm not a child!\Yeast (1) A special yeast made only within Wall Sina keeps fodder, wheat, beans, and other items from spoiling for a long time when placed in storerooms or tents. response:	Yeast (2) By seeding storage caches with this yeast along supply lanes, humanity prepares to retake Wall Maria.
context: I'm coming with you.\No!\If I can't keep up, you don't need to worry about me.\But I don't have to do what you say.\I've told you to stop all that!\I'm not your little brother, and I'm not a child!\Yeast (1) A special yeast made only within Wall Sina keeps fodder, wheat, beans, and other items from spoiling for a long time when placed in storerooms or tents.\Yeast (2) By seeding storage caches with this yeast along supply lanes, humanity prepares to retake Wall Maria. response:	Captain, the next round will be loaded soon.
context: No!\If I can't keep up, you don't need to worry about me.\But I don't have to do what you say.\I've told you to stop all that!\I'm not your little brother, and I'm not a child!\Yeast (1) A special yeast made only within Wall Sina keeps fodder, wheat, beans, and other items from spoiling for a long time when placed in storerooms or tents.\Yeast (2) By seeding storage caches with this yeast along supply lanes, humanity prepares to retake Wall Maria.\Captain, the next round will be loaded soon. response:	Should we attack again?
context: If I can't keep up, you don't need to worry about me.\But I don't have to do what you say.\I've told you to stop all that!\I'm not your little brother, and I'm not a child!\Yeast (1) A special yeast made only within Wall Sina keeps fodder, wheat, beans, and other items from spoiling for a long time when placed in storerooms or tents.\Yeast (2) By seeding storage caches with this yeast along supply lanes, humanity prepares to retake Wall Maria.\Captain, the next round will be loaded soon.\Should we attack again? response:	Wait for my signal!
context: But I don't have to do what you say.\I've told you to stop all that!\I'm not your little brother, and I'm not a child!\Yeast (1) A special yeast made only within Wall Sina keeps fodder, wheat, beans, and other items from spoiling for a long time when placed in storerooms or tents.\Yeast (2) By seeding storage caches with this yeast along supply lanes, humanity prepares to retake Wall Maria.\Captain, the next round will be loaded soon.\Should we attack again?\Wait for my signal! response:	Yes, sir.
context: I've told you to stop all that!\I'm not your little brother, and I'm not a child!\Yeast (1) A special yeast made only within Wall Sina keeps fodder, wheat, beans, and other items from spoiling for a long time when placed in storerooms or tents.\Yeast (2) By seeding storage caches with this yeast along supply lanes, humanity prepares to retake Wall Maria.\Captain, the next round will be loaded soon.\Should we attack again?\Wait for my signal!\Yes, sir. response:	The Garrison's giving no indication of moving to attack with their blades.
context: I'm not your little brother, and I'm not a child!\Yeast (1) A special yeast made only within Wall Sina keeps fodder, wheat, beans, and other items from spoiling for a long time when placed in storerooms or tents.\Yeast (2) By seeding storage caches with this yeast along supply lanes, humanity prepares to retake Wall Maria.\Captain, the next round will be loaded soon.\Should we attack again?\Wait for my signal!\Yes, sir.\The Garrison's giving no indication of moving to attack with their blades. response:	Mikasa's more sensitive than a stray cat to those things.
context: Yeast (1) A special yeast made only within Wall Sina keeps fodder, wheat, beans, and other items from spoiling for a long time when placed in storerooms or tents.\Yeast (2) By seeding storage caches with this yeast along supply lanes, humanity prepares to retake Wall Maria.\Captain, the next round will be loaded soon.\Should we attack again?\Wait for my signal!\Yes, sir.\The Garrison's giving no indication of moving to attack with their blades.\Mikasa's more sensitive than a stray cat to those things. response:	Loading the next round will probably take
context: Yeast (2) By seeding storage caches with this yeast along supply lanes, humanity prepares to retake Wall Maria.\Captain, the next round will be loaded soon.\Should we attack again?\Wait for my signal!\Yes, sir.\The Garrison's giving no indication of moving to attack with their blades.\Mikasa's more sensitive than a stray cat to those things.\Loading the next round will probably take response:	a minimum of another twenty seconds.
context: Captain, the next round will be loaded soon.\Should we attack again?\Wait for my signal!\Yes, sir.\The Garrison's giving no indication of moving to attack with their blades.\Mikasa's more sensitive than a stray cat to those things.\Loading the next round will probably take\a minimum of another twenty seconds. response:	Before then, Eren will have made his move and left...
context: Should we attack again?\Wait for my signal!\Yes, sir.\The Garrison's giving no indication of moving to attack with their blades.\Mikasa's more sensitive than a stray cat to those things.\Loading the next round will probably take\a minimum of another twenty seconds.\Before then, Eren will have made his move and left... response:	Why would I remember these things at a time like this?
context: Wait for my signal!\Yes, sir.\The Garrison's giving no indication of moving to attack with their blades.\Mikasa's more sensitive than a stray cat to those things.\Loading the next round will probably take\a minimum of another twenty seconds.\Before then, Eren will have made his move and left...\Why would I remember these things at a time like this? response:	Is it because this is it for us?
context: Yes, sir.\The Garrison's giving no indication of moving to attack with their blades.\Mikasa's more sensitive than a stray cat to those things.\Loading the next round will probably take\a minimum of another twenty seconds.\Before then, Eren will have made his move and left...\Why would I remember these things at a time like this?\Is it because this is it for us? response:	And at the end, I was
context: The Garrison's giving no indication of moving to attack with their blades.\Mikasa's more sensitive than a stray cat to those things.\Loading the next round will probably take\a minimum of another twenty seconds.\Before then, Eren will have made his move and left...\Why would I remember these things at a time like this?\Is it because this is it for us?\And at the end, I was response:	nothing more than a coward, after all...
context: Mikasa's more sensitive than a stray cat to those things.\Loading the next round will probably take\a minimum of another twenty seconds.\Before then, Eren will have made his move and left...\Why would I remember these things at a time like this?\Is it because this is it for us?\And at the end, I was\nothing more than a coward, after all... response:	They saved me over and over,
context: Loading the next round will probably take\a minimum of another twenty seconds.\Before then, Eren will have made his move and left...\Why would I remember these things at a time like this?\Is it because this is it for us?\And at the end, I was\nothing more than a coward, after all...\They saved me over and over, response:	but I was never able to save them.
context: a minimum of another twenty seconds.\Before then, Eren will have made his move and left...\Why would I remember these things at a time like this?\Is it because this is it for us?\And at the end, I was\nothing more than a coward, after all...\They saved me over and over,\but I was never able to save them. response:	As a friend, how can I stand on equal ground with them?
context: Before then, Eren will have made his move and left...\Why would I remember these things at a time like this?\Is it because this is it for us?\And at the end, I was\nothing more than a coward, after all...\They saved me over and over,\but I was never able to save them.\As a friend, how can I stand on equal ground with them? response:	How could I say I'd go with them?
context: Why would I remember these things at a time like this?\Is it because this is it for us?\And at the end, I was\nothing more than a coward, after all...\They saved me over and over,\but I was never able to save them.\As a friend, how can I stand on equal ground with them?\How could I say I'd go with them? response:	When even I'm not sure I can?
context: Is it because this is it for us?\And at the end, I was\nothing more than a coward, after all...\They saved me over and over,\but I was never able to save them.\As a friend, how can I stand on equal ground with them?\How could I say I'd go with them?\When even I'm not sure I can? response:	Now, the three of us
context: And at the end, I was\nothing more than a coward, after all...\They saved me over and over,\but I was never able to save them.\As a friend, how can I stand on equal ground with them?\How could I say I'd go with them?\When even I'm not sure I can?\Now, the three of us response:	will probably never be together again...
context: nothing more than a coward, after all...\They saved me over and over,\but I was never able to save them.\As a friend, how can I stand on equal ground with them?\How could I say I'd go with them?\When even I'm not sure I can?\Now, the three of us\will probably never be together again... response:	Eren, I...
context: They saved me over and over,\but I was never able to save them.\As a friend, how can I stand on equal ground with them?\How could I say I'd go with them?\When even I'm not sure I can?\Now, the three of us\will probably never be together again...\Eren, I... response:	Wait, Mikasa.
context: but I was never able to save them.\As a friend, how can I stand on equal ground with them?\How could I say I'd go with them?\When even I'm not sure I can?\Now, the three of us\will probably never be together again...\Eren, I...\Wait, Mikasa. response:	I said I've come up with two options.
context: As a friend, how can I stand on equal ground with them?\How could I say I'd go with them?\When even I'm not sure I can?\Now, the three of us\will probably never be together again...\Eren, I...\Wait, Mikasa.\I said I've come up with two options. response:	Armin,
context: How could I say I'd go with them?\When even I'm not sure I can?\Now, the three of us\will probably never be together again...\Eren, I...\Wait, Mikasa.\I said I've come up with two options.\Armin, response:	I'll let you decide.
context: When even I'm not sure I can?\Now, the three of us\will probably never be together again...\Eren, I...\Wait, Mikasa.\I said I've come up with two options.\Armin,\I'll let you decide. response:	Huh?
context: Now, the three of us\will probably never be together again...\Eren, I...\Wait, Mikasa.\I said I've come up with two options.\Armin,\I'll let you decide.\Huh? response:	I know what I've just said isn't that realistic.
context: will probably never be together again...\Eren, I...\Wait, Mikasa.\I said I've come up with two options.\Armin,\I'll let you decide.\Huh?\I know what I've just said isn't that realistic. response:	The smartest thing to do
context: Eren, I...\Wait, Mikasa.\I said I've come up with two options.\Armin,\I'll let you decide.\Huh?\I know what I've just said isn't that realistic.\The smartest thing to do response:	would be to stay with the troops and use this ability strategically.
context: Wait, Mikasa.\I said I've come up with two options.\Armin,\I'll let you decide.\Huh?\I know what I've just said isn't that realistic.\The smartest thing to do\would be to stay with the troops and use this ability strategically. response:	I know it's crazy...
context: I said I've come up with two options.\Armin,\I'll let you decide.\Huh?\I know what I've just said isn't that realistic.\The smartest thing to do\would be to stay with the troops and use this ability strategically.\I know it's crazy... response:	But if you think you can convince the Garrison I'm not a threat right now,
context: Armin,\I'll let you decide.\Huh?\I know what I've just said isn't that realistic.\The smartest thing to do\would be to stay with the troops and use this ability strategically.\I know it's crazy...\But if you think you can convince the Garrison I'm not a threat right now, response:	I will trust your judgment and follow your lead.
context: I'll let you decide.\Huh?\I know what I've just said isn't that realistic.\The smartest thing to do\would be to stay with the troops and use this ability strategically.\I know it's crazy...\But if you think you can convince the Garrison I'm not a threat right now,\I will trust your judgment and follow your lead. response:	That's my second option.
context: Huh?\I know what I've just said isn't that realistic.\The smartest thing to do\would be to stay with the troops and use this ability strategically.\I know it's crazy...\But if you think you can convince the Garrison I'm not a threat right now,\I will trust your judgment and follow your lead.\That's my second option. response:	If you say you can't, I'll do what I described before.
context: I know what I've just said isn't that realistic.\The smartest thing to do\would be to stay with the troops and use this ability strategically.\I know it's crazy...\But if you think you can convince the Garrison I'm not a threat right now,\I will trust your judgment and follow your lead.\That's my second option.\If you say you can't, I'll do what I described before. response:	You have fifteen seconds to decide.
context: The smartest thing to do\would be to stay with the troops and use this ability strategically.\I know it's crazy...\But if you think you can convince the Garrison I'm not a threat right now,\I will trust your judgment and follow your lead.\That's my second option.\If you say you can't, I'll do what I described before.\You have fifteen seconds to decide. response:	Whether or not you can,
context: would be to stay with the troops and use this ability strategically.\I know it's crazy...\But if you think you can convince the Garrison I'm not a threat right now,\I will trust your judgment and follow your lead.\That's my second option.\If you say you can't, I'll do what I described before.\You have fifteen seconds to decide.\Whether or not you can, response:	I'll respect your decision.
context: I know it's crazy...\But if you think you can convince the Garrison I'm not a threat right now,\I will trust your judgment and follow your lead.\That's my second option.\If you say you can't, I'll do what I described before.\You have fifteen seconds to decide.\Whether or not you can,\I'll respect your decision. response:	Eren...
context: But if you think you can convince the Garrison I'm not a threat right now,\I will trust your judgment and follow your lead.\That's my second option.\If you say you can't, I'll do what I described before.\You have fifteen seconds to decide.\Whether or not you can,\I'll respect your decision.\Eren... response:	Why would you entrust me with this choice?
context: I will trust your judgment and follow your lead.\That's my second option.\If you say you can't, I'll do what I described before.\You have fifteen seconds to decide.\Whether or not you can,\I'll respect your decision.\Eren...\Why would you entrust me with this choice? response:	Whenever things get really bad,
context: That's my second option.\If you say you can't, I'll do what I described before.\You have fifteen seconds to decide.\Whether or not you can,\I'll respect your decision.\Eren...\Why would you entrust me with this choice?\Whenever things get really bad, response:	you always know the right thing to do.
context: If you say you can't, I'll do what I described before.\You have fifteen seconds to decide.\Whether or not you can,\I'll respect your decision.\Eren...\Why would you entrust me with this choice?\Whenever things get really bad,\you always know the right thing to do. response:	And I want to rely on you.
context: You have fifteen seconds to decide.\Whether or not you can,\I'll respect your decision.\Eren...\Why would you entrust me with this choice?\Whenever things get really bad,\you always know the right thing to do.\And I want to rely on you. response:	When have I...
context: Whether or not you can,\I'll respect your decision.\Eren...\Why would you entrust me with this choice?\Whenever things get really bad,\you always know the right thing to do.\And I want to rely on you.\When have I... response:	There have been plenty of times.
context: I'll respect your decision.\Eren...\Why would you entrust me with this choice?\Whenever things get really bad,\you always know the right thing to do.\And I want to rely on you.\When have I...\There have been plenty of times. response:	Five years ago, if you hadn't called Hannes,
context: Eren...\Why would you entrust me with this choice?\Whenever things get really bad,\you always know the right thing to do.\And I want to rely on you.\When have I...\There have been plenty of times.\Five years ago, if you hadn't called Hannes, response:	Titans would have eaten Mikasa and me.
context: Why would you entrust me with this choice?\Whenever things get really bad,\you always know the right thing to do.\And I want to rely on you.\When have I...\There have been plenty of times.\Five years ago, if you hadn't called Hannes,\Titans would have eaten Mikasa and me. response:	Was it all...
context: Whenever things get really bad,\you always know the right thing to do.\And I want to rely on you.\When have I...\There have been plenty of times.\Five years ago, if you hadn't called Hannes,\Titans would have eaten Mikasa and me.\Was it all... response:	just in my head?
context: you always know the right thing to do.\And I want to rely on you.\When have I...\There have been plenty of times.\Five years ago, if you hadn't called Hannes,\Titans would have eaten Mikasa and me.\Was it all...\just in my head? response:	Only I thought that I was useless? That I was just slowing them down?
context: And I want to rely on you.\When have I...\There have been plenty of times.\Five years ago, if you hadn't called Hannes,\Titans would have eaten Mikasa and me.\Was it all...\just in my head?\Only I thought that I was useless? That I was just slowing them down? response:	These two never thought that for a second!
context: When have I...\There have been plenty of times.\Five years ago, if you hadn't called Hannes,\Titans would have eaten Mikasa and me.\Was it all...\just in my head?\Only I thought that I was useless? That I was just slowing them down?\These two never thought that for a second! response:	Armin, we're out of time!
context: There have been plenty of times.\Five years ago, if you hadn't called Hannes,\Titans would have eaten Mikasa and me.\Was it all...\just in my head?\Only I thought that I was useless? That I was just slowing them down?\These two never thought that for a second!\Armin, we're out of time! response:	Looks like the next round is loaded.
context: Five years ago, if you hadn't called Hannes,\Titans would have eaten Mikasa and me.\Was it all...\just in my head?\Only I thought that I was useless? That I was just slowing them down?\These two never thought that for a second!\Armin, we're out of time!\Looks like the next round is loaded. response:	We can fire any time.
context: Titans would have eaten Mikasa and me.\Was it all...\just in my head?\Only I thought that I was useless? That I was just slowing them down?\These two never thought that for a second!\Armin, we're out of time!\Looks like the next round is loaded.\We can fire any time. response:	These two are putting their lives in my hands.
context: Was it all...\just in my head?\Only I thought that I was useless? That I was just slowing them down?\These two never thought that for a second!\Armin, we're out of time!\Looks like the next round is loaded.\We can fire any time.\These two are putting their lives in my hands. response:	The two people I trust most in the world...
context: just in my head?\Only I thought that I was useless? That I was just slowing them down?\These two never thought that for a second!\Armin, we're out of time!\Looks like the next round is loaded.\We can fire any time.\These two are putting their lives in my hands.\The two people I trust most in the world... response:	What could be more convincing than that?
context: Only I thought that I was useless? That I was just slowing them down?\These two never thought that for a second!\Armin, we're out of time!\Looks like the next round is loaded.\We can fire any time.\These two are putting their lives in my hands.\The two people I trust most in the world...\What could be more convincing than that? response:	I will persuade them.
context: These two never thought that for a second!\Armin, we're out of time!\Looks like the next round is loaded.\We can fire any time.\These two are putting their lives in my hands.\The two people I trust most in the world...\What could be more convincing than that?\I will persuade them. response:	The two of you, avoid doing anything that'd make them think you're a threat.
context: Armin, we're out of time!\Looks like the next round is loaded.\We can fire any time.\These two are putting their lives in my hands.\The two people I trust most in the world...\What could be more convincing than that?\I will persuade them.\The two of you, avoid doing anything that'd make them think you're a threat. response:	Ever since Eren became a Titan and fought for us,
context: Looks like the next round is loaded.\We can fire any time.\These two are putting their lives in my hands.\The two people I trust most in the world...\What could be more convincing than that?\I will persuade them.\The two of you, avoid doing anything that'd make them think you're a threat.\Ever since Eren became a Titan and fought for us, response:	something has been bothering me.
context: We can fire any time.\These two are putting their lives in my hands.\The two people I trust most in the world...\What could be more convincing than that?\I will persuade them.\The two of you, avoid doing anything that'd make them think you're a threat.\Ever since Eren became a Titan and fought for us,\something has been bothering me. response:	I don't have it all clear in my head, but I'll do this!
context: These two are putting their lives in my hands.\The two people I trust most in the world...\What could be more convincing than that?\I will persuade them.\The two of you, avoid doing anything that'd make them think you're a threat.\Ever since Eren became a Titan and fought for us,\something has been bothering me.\I don't have it all clear in my head, but I'll do this! response:	I'll figure it out while I speak!
context: The two people I trust most in the world...\What could be more convincing than that?\I will persuade them.\The two of you, avoid doing anything that'd make them think you're a threat.\Ever since Eren became a Titan and fought for us,\something has been bothering me.\I don't have it all clear in my head, but I'll do this!\I'll figure it out while I speak! response:	Stop!
context: What could be more convincing than that?\I will persuade them.\The two of you, avoid doing anything that'd make them think you're a threat.\Ever since Eren became a Titan and fought for us,\something has been bothering me.\I don't have it all clear in my head, but I'll do this!\I'll figure it out while I speak!\Stop! response:	You've finally shown your true self, monster!
context: I will persuade them.\The two of you, avoid doing anything that'd make them think you're a threat.\Ever since Eren became a Titan and fought for us,\something has been bothering me.\I don't have it all clear in my head, but I'll do this!\I'll figure it out while I speak!\Stop!\You've finally shown your true self, monster! response:	I'll do it!
context: The two of you, avoid doing anything that'd make them think you're a threat.\Ever since Eren became a Titan and fought for us,\something has been bothering me.\I don't have it all clear in my head, but I'll do this!\I'll figure it out while I speak!\Stop!\You've finally shown your true self, monster!\I'll do it! response:	I'll give the signal!
context: Ever since Eren became a Titan and fought for us,\something has been bothering me.\I don't have it all clear in my head, but I'll do this!\I'll figure it out while I speak!\Stop!\You've finally shown your true self, monster!\I'll do it!\I'll give the signal! response:	He is not an enemy of humanity!
context: something has been bothering me.\I don't have it all clear in my head, but I'll do this!\I'll figure it out while I speak!\Stop!\You've finally shown your true self, monster!\I'll do it!\I'll give the signal!\He is not an enemy of humanity! response:	We are prepared to share all the information we have!
context: I don't have it all clear in my head, but I'll do this!\I'll figure it out while I speak!\Stop!\You've finally shown your true self, monster!\I'll do it!\I'll give the signal!\He is not an enemy of humanity!\We are prepared to share all the information we have! response:	I'm not interested in hearing you plead for your lives!
context: I'll figure it out while I speak!\Stop!\You've finally shown your true self, monster!\I'll do it!\I'll give the signal!\He is not an enemy of humanity!\We are prepared to share all the information we have!\I'm not interested in hearing you plead for your lives! response:	How can I believe you, when he's shown us all what he really is?
context: Stop!\You've finally shown your true self, monster!\I'll do it!\I'll give the signal!\He is not an enemy of humanity!\We are prepared to share all the information we have!\I'm not interested in hearing you plead for your lives!\How can I believe you, when he's shown us all what he really is? response:	If you say he's not an enemy, then prove it!
context: You've finally shown your true self, monster!\I'll do it!\I'll give the signal!\He is not an enemy of humanity!\We are prepared to share all the information we have!\I'm not interested in hearing you plead for your lives!\How can I believe you, when he's shown us all what he really is?\If you say he's not an enemy, then prove it! response:	If you can't, I'll be forced to eliminate the threat!
context: I'll do it!\I'll give the signal!\He is not an enemy of humanity!\We are prepared to share all the information we have!\I'm not interested in hearing you plead for your lives!\How can I believe you, when he's shown us all what he really is?\If you say he's not an enemy, then prove it!\If you can't, I'll be forced to eliminate the threat! response:	There is no need for proof!
context: I'll give the signal!\He is not an enemy of humanity!\We are prepared to share all the information we have!\I'm not interested in hearing you plead for your lives!\How can I believe you, when he's shown us all what he really is?\If you say he's not an enemy, then prove it!\If you can't, I'll be forced to eliminate the threat!\There is no need for proof! response:	That's right... We don't.
context: He is not an enemy of humanity!\We are prepared to share all the information we have!\I'm not interested in hearing you plead for your lives!\How can I believe you, when he's shown us all what he really is?\If you say he's not an enemy, then prove it!\If you can't, I'll be forced to eliminate the threat!\There is no need for proof!\That's right... We don't. response:	The question isn't what we think of him!
context: We are prepared to share all the information we have!\I'm not interested in hearing you plead for your lives!\How can I believe you, when he's shown us all what he really is?\If you say he's not an enemy, then prove it!\If you can't, I'll be forced to eliminate the threat!\There is no need for proof!\That's right... We don't.\The question isn't what we think of him! response:	What did you say?
context: I'm not interested in hearing you plead for your lives!\How can I believe you, when he's shown us all what he really is?\If you say he's not an enemy, then prove it!\If you can't, I'll be forced to eliminate the threat!\There is no need for proof!\That's right... We don't.\The question isn't what we think of him!\What did you say? response:	I'm told that many of you saw him!
context: How can I believe you, when he's shown us all what he really is?\If you say he's not an enemy, then prove it!\If you can't, I'll be forced to eliminate the threat!\There is no need for proof!\That's right... We don't.\The question isn't what we think of him!\What did you say?\I'm told that many of you saw him! response:	Then you saw him fighting the Titans!
context: If you say he's not an enemy, then prove it!\If you can't, I'll be forced to eliminate the threat!\There is no need for proof!\That's right... We don't.\The question isn't what we think of him!\What did you say?\I'm told that many of you saw him!\Then you saw him fighting the Titans! response:	And you saw the Titans swarm him!
context: If you can't, I'll be forced to eliminate the threat!\There is no need for proof!\That's right... We don't.\The question isn't what we think of him!\What did you say?\I'm told that many of you saw him!\Then you saw him fighting the Titans!\And you saw the Titans swarm him! response:	That means the Titans considered him food, the same way they think of us!
context: There is no need for proof!\That's right... We don't.\The question isn't what we think of him!\What did you say?\I'm told that many of you saw him!\Then you saw him fighting the Titans!\And you saw the Titans swarm him!\That means the Titans considered him food, the same way they think of us! response:	That is the truth, no matter what we may think or believe!
context: That's right... We don't.\The question isn't what we think of him!\What did you say?\I'm told that many of you saw him!\Then you saw him fighting the Titans!\And you saw the Titans swarm him!\That means the Titans considered him food, the same way they think of us!\That is the truth, no matter what we may think or believe! response:	He's right...
context: The question isn't what we think of him!\What did you say?\I'm told that many of you saw him!\Then you saw him fighting the Titans!\And you saw the Titans swarm him!\That means the Titans considered him food, the same way they think of us!\That is the truth, no matter what we may think or believe!\He's right... response:	A Titan as an ally?
context: What did you say?\I'm told that many of you saw him!\Then you saw him fighting the Titans!\And you saw the Titans swarm him!\That means the Titans considered him food, the same way they think of us!\That is the truth, no matter what we may think or believe!\He's right...\A Titan as an ally? response:	That's impossible.
context: I'm told that many of you saw him!\Then you saw him fighting the Titans!\And you saw the Titans swarm him!\That means the Titans considered him food, the same way they think of us!\That is the truth, no matter what we may think or believe!\He's right...\A Titan as an ally?\That's impossible. response:	But if we could control a Titan...
context: Then you saw him fighting the Titans!\And you saw the Titans swarm him!\That means the Titans considered him food, the same way they think of us!\That is the truth, no matter what we may think or believe!\He's right...\A Titan as an ally?\That's impossible.\But if we could control a Titan... response:	Prepare to attack!
context: And you saw the Titans swarm him!\That means the Titans considered him food, the same way they think of us!\That is the truth, no matter what we may think or believe!\He's right...\A Titan as an ally?\That's impossible.\But if we could control a Titan...\Prepare to attack! response:	Don't be fooled by their clever lies!
context: That means the Titans considered him food, the same way they think of us!\That is the truth, no matter what we may think or believe!\He's right...\A Titan as an ally?\That's impossible.\But if we could control a Titan...\Prepare to attack!\Don't be fooled by their clever lies! response:	The Titans' actions have always been beyond our understanding!
context: That is the truth, no matter what we may think or believe!\He's right...\A Titan as an ally?\That's impossible.\But if we could control a Titan...\Prepare to attack!\Don't be fooled by their clever lies!\The Titans' actions have always been beyond our understanding! response:	It's possible they could pretend to be human,
context: He's right...\A Titan as an ally?\That's impossible.\But if we could control a Titan...\Prepare to attack!\Don't be fooled by their clever lies!\The Titans' actions have always been beyond our understanding!\It's possible they could pretend to be human, response:	speak human languages, and try to deceive us!
context: A Titan as an ally?\That's impossible.\But if we could control a Titan...\Prepare to attack!\Don't be fooled by their clever lies!\The Titans' actions have always been beyond our understanding!\It's possible they could pretend to be human,\speak human languages, and try to deceive us! response:	We can't let them get away with anything else!
context: That's impossible.\But if we could control a Titan...\Prepare to attack!\Don't be fooled by their clever lies!\The Titans' actions have always been beyond our understanding!\It's possible they could pretend to be human,\speak human languages, and try to deceive us!\We can't let them get away with anything else! response:	No...
context: But if we could control a Titan...\Prepare to attack!\Don't be fooled by their clever lies!\The Titans' actions have always been beyond our understanding!\It's possible they could pretend to be human,\speak human languages, and try to deceive us!\We can't let them get away with anything else!\No... response:	He isn't even trying to think!
context: Prepare to attack!\Don't be fooled by their clever lies!\The Titans' actions have always been beyond our understanding!\It's possible they could pretend to be human,\speak human languages, and try to deceive us!\We can't let them get away with anything else!\No...\He isn't even trying to think! response:	He's scared of thinking!
context: Don't be fooled by their clever lies!\The Titans' actions have always been beyond our understanding!\It's possible they could pretend to be human,\speak human languages, and try to deceive us!\We can't let them get away with anything else!\No...\He isn't even trying to think!\He's scared of thinking! response:	Eren... Mikasa!
context: The Titans' actions have always been beyond our understanding!\It's possible they could pretend to be human,\speak human languages, and try to deceive us!\We can't let them get away with anything else!\No...\He isn't even trying to think!\He's scared of thinking!\Eren... Mikasa! response:	I am a soldier!
context: It's possible they could pretend to be human,\speak human languages, and try to deceive us!\We can't let them get away with anything else!\No...\He isn't even trying to think!\He's scared of thinking!\Eren... Mikasa!\I am a soldier! response:	I swore long ago to dedicate my life to the revival of humanity!
context: speak human languages, and try to deceive us!\We can't let them get away with anything else!\No...\He isn't even trying to think!\He's scared of thinking!\Eren... Mikasa!\I am a soldier!\I swore long ago to dedicate my life to the revival of humanity! response:	If that pursuit were to cost me my life, I would be glad!
context: We can't let them get away with anything else!\No...\He isn't even trying to think!\He's scared of thinking!\Eren... Mikasa!\I am a soldier!\I swore long ago to dedicate my life to the revival of humanity!\If that pursuit were to cost me my life, I would be glad! response:	If we use his Titan powers and the forces we still have,
context: No...\He isn't even trying to think!\He's scared of thinking!\Eren... Mikasa!\I am a soldier!\I swore long ago to dedicate my life to the revival of humanity!\If that pursuit were to cost me my life, I would be glad!\If we use his Titan powers and the forces we still have, response:	we could take back this town!
context: He isn't even trying to think!\He's scared of thinking!\Eren... Mikasa!\I am a soldier!\I swore long ago to dedicate my life to the revival of humanity!\If that pursuit were to cost me my life, I would be glad!\If we use his Titan powers and the forces we still have,\we could take back this town! response:	With my final breath before my death,
context: He's scared of thinking!\Eren... Mikasa!\I am a soldier!\I swore long ago to dedicate my life to the revival of humanity!\If that pursuit were to cost me my life, I would be glad!\If we use his Titan powers and the forces we still have,\we could take back this town!\With my final breath before my death, response:	I shall wish for humanity's glory,
context: Eren... Mikasa!\I am a soldier!\I swore long ago to dedicate my life to the revival of humanity!\If that pursuit were to cost me my life, I would be glad!\If we use his Titan powers and the forces we still have,\we could take back this town!\With my final breath before my death,\I shall wish for humanity's glory, response:	and try to persuade you of his strategic value!
context: I am a soldier!\I swore long ago to dedicate my life to the revival of humanity!\If that pursuit were to cost me my life, I would be glad!\If we use his Titan powers and the forces we still have,\we could take back this town!\With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value! response:	Captain Wellman, I believe we should consider
context: I swore long ago to dedicate my life to the revival of humanity!\If that pursuit were to cost me my life, I would be glad!\If we use his Titan powers and the forces we still have,\we could take back this town!\With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value!\Captain Wellman, I believe we should consider response:	Shut up!
context: If that pursuit were to cost me my life, I would be glad!\If we use his Titan powers and the forces we still have,\we could take back this town!\With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value!\Captain Wellman, I believe we should consider\Shut up! response:	Their pleas are irrelevant.
context: If we use his Titan powers and the forces we still have,\we could take back this town!\With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value!\Captain Wellman, I believe we should consider\Shut up!\Their pleas are irrelevant. response:	They are traitors.
context: we could take back this town!\With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value!\Captain Wellman, I believe we should consider\Shut up!\Their pleas are irrelevant.\They are traitors. response:	Anyone who violates the rules must be eliminated.
context: With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value!\Captain Wellman, I believe we should consider\Shut up!\Their pleas are irrelevant.\They are traitors.\Anyone who violates the rules must be eliminated. response:	That is my duty as a soldier!
context: I shall wish for humanity's glory,\and try to persuade you of his strategic value!\Captain Wellman, I believe we should consider\Shut up!\Their pleas are irrelevant.\They are traitors.\Anyone who violates the rules must be eliminated.\That is my duty as a soldier! response:	Enough.
context: and try to persuade you of his strategic value!\Captain Wellman, I believe we should consider\Shut up!\Their pleas are irrelevant.\They are traitors.\Anyone who violates the rules must be eliminated.\That is my duty as a soldier!\Enough. response:	As big as you are, you've always been as delicate as a newborn fawn.
