context: How dare you manipulate the children's hero, Red Man, response:	and turn the special natural treasure,
context: Be just like Tuxedo Mask!\Tuxedo Mask would be?\Tuxedo Mask is...\I see! So, if I become this Tuxedo Mask,\I'll get to be Naru's boyfriend?!\What? No, uh, that's not what I meant.\You need to learn from Tuxedo Mask's example and...\Okay! Starting today, I will be Tuxedo Mask! response:	This is the birth of Tuxedo Umino Mask!
context: Tuxedo Mask would be?\Tuxedo Mask is...\I see! So, if I become this Tuxedo Mask,\I'll get to be Naru's boyfriend?!\What? No, uh, that's not what I meant.\You need to learn from Tuxedo Mask's example and...\Okay! Starting today, I will be Tuxedo Mask!\This is the birth of Tuxedo Umino Mask! response:	Hey, has someone been following us for a while?
context: Tuxedo Mask is...\I see! So, if I become this Tuxedo Mask,\I'll get to be Naru's boyfriend?!\What? No, uh, that's not what I meant.\You need to learn from Tuxedo Mask's example and...\Okay! Starting today, I will be Tuxedo Mask!\This is the birth of Tuxedo Umino Mask!\Hey, has someone been following us for a while? response:	What?
context: I see! So, if I become this Tuxedo Mask,\I'll get to be Naru's boyfriend?!\What? No, uh, that's not what I meant.\You need to learn from Tuxedo Mask's example and...\Okay! Starting today, I will be Tuxedo Mask!\This is the birth of Tuxedo Umino Mask!\Hey, has someone been following us for a while?\What? response:	Be good, be good now! Stop it!
context: I'll get to be Naru's boyfriend?!\What? No, uh, that's not what I meant.\You need to learn from Tuxedo Mask's example and...\Okay! Starting today, I will be Tuxedo Mask!\This is the birth of Tuxedo Umino Mask!\Hey, has someone been following us for a while?\What?\Be good, be good now! Stop it! response:	Tuxedo Umino Mask is here!
context: What? No, uh, that's not what I meant.\You need to learn from Tuxedo Mask's example and...\Okay! Starting today, I will be Tuxedo Mask!\This is the birth of Tuxedo Umino Mask!\Hey, has someone been following us for a while?\What?\Be good, be good now! Stop it!\Tuxedo Umino Mask is here! response:	Evil minion, baring your fangs at Naru!
context: You need to learn from Tuxedo Mask's example and...\Okay! Starting today, I will be Tuxedo Mask!\This is the birth of Tuxedo Umino Mask!\Hey, has someone been following us for a while?\What?\Be good, be good now! Stop it!\Tuxedo Umino Mask is here!\Evil minion, baring your fangs at Naru! response:	In the name of justice, I will punish you!
context: Okay! Starting today, I will be Tuxedo Mask!\This is the birth of Tuxedo Umino Mask!\Hey, has someone been following us for a while?\What?\Be good, be good now! Stop it!\Tuxedo Umino Mask is here!\Evil minion, baring your fangs at Naru!\In the name of justice, I will punish you! response:	What are you doing?!
context: This is the birth of Tuxedo Umino Mask!\Hey, has someone been following us for a while?\What?\Be good, be good now! Stop it!\Tuxedo Umino Mask is here!\Evil minion, baring your fangs at Naru!\In the name of justice, I will punish you!\What are you doing?! response:	Excuse you! How frightened you must be, my poor doggy.
context: Hey, has someone been following us for a while?\What?\Be good, be good now! Stop it!\Tuxedo Umino Mask is here!\Evil minion, baring your fangs at Naru!\In the name of justice, I will punish you!\What are you doing?!\Excuse you! How frightened you must be, my poor doggy. response:	What are you doing, Umino?
context: What?\Be good, be good now! Stop it!\Tuxedo Umino Mask is here!\Evil minion, baring your fangs at Naru!\In the name of justice, I will punish you!\What are you doing?!\Excuse you! How frightened you must be, my poor doggy.\What are you doing, Umino? response:	I am not Umino.
context: Be good, be good now! Stop it!\Tuxedo Umino Mask is here!\Evil minion, baring your fangs at Naru!\In the name of justice, I will punish you!\What are you doing?!\Excuse you! How frightened you must be, my poor doggy.\What are you doing, Umino?\I am not Umino. response:	I am Tuxedo Umino Mask of love and justice!
context: Tuxedo Umino Mask is here!\Evil minion, baring your fangs at Naru!\In the name of justice, I will punish you!\What are you doing?!\Excuse you! How frightened you must be, my poor doggy.\What are you doing, Umino?\I am not Umino.\I am Tuxedo Umino Mask of love and justice! response:	Well, then. Good-bye!
context: Evil minion, baring your fangs at Naru!\In the name of justice, I will punish you!\What are you doing?!\Excuse you! How frightened you must be, my poor doggy.\What are you doing, Umino?\I am not Umino.\I am Tuxedo Umino Mask of love and justice!\Well, then. Good-bye! response:	What the heck?
context: In the name of justice, I will punish you!\What are you doing?!\Excuse you! How frightened you must be, my poor doggy.\What are you doing, Umino?\I am not Umino.\I am Tuxedo Umino Mask of love and justice!\Well, then. Good-bye!\What the heck? response:	Crown
context: What are you doing?!\Excuse you! How frightened you must be, my poor doggy.\What are you doing, Umino?\I am not Umino.\I am Tuxedo Umino Mask of love and justice!\Well, then. Good-bye!\What the heck?\Crown response:	Crown Hey, you wanna go in for a bit?
context: Excuse you! How frightened you must be, my poor doggy.\What are you doing, Umino?\I am not Umino.\I am Tuxedo Umino Mask of love and justice!\Well, then. Good-bye!\What the heck?\Crown\Crown Hey, you wanna go in for a bit? response:	Crown Good idea.
context: What are you doing, Umino?\I am not Umino.\I am Tuxedo Umino Mask of love and justice!\Well, then. Good-bye!\What the heck?\Crown\Crown Hey, you wanna go in for a bit?\Crown Good idea. response:	Good idea.
context: I am not Umino.\I am Tuxedo Umino Mask of love and justice!\Well, then. Good-bye!\What the heck?\Crown\Crown Hey, you wanna go in for a bit?\Crown Good idea.\Good idea. response:	No! You must never make stops on your way home!
context: I am Tuxedo Umino Mask of love and justice!\Well, then. Good-bye!\What the heck?\Crown\Crown Hey, you wanna go in for a bit?\Crown Good idea.\Good idea.\No! You must never make stops on your way home! response:	You will end up spending all your allowance, too.
context: Well, then. Good-bye!\What the heck?\Crown\Crown Hey, you wanna go in for a bit?\Crown Good idea.\Good idea.\No! You must never make stops on your way home!\You will end up spending all your allowance, too. response:	However, if you absolutely insist on it...
context: What the heck?\Crown\Crown Hey, you wanna go in for a bit?\Crown Good idea.\Good idea.\No! You must never make stops on your way home!\You will end up spending all your allowance, too.\However, if you absolutely insist on it... response:	You have to step over Tuxedo Umino Mask!
context: Crown\Crown Hey, you wanna go in for a bit?\Crown Good idea.\Good idea.\No! You must never make stops on your way home!\You will end up spending all your allowance, too.\However, if you absolutely insist on it...\You have to step over Tuxedo Umino Mask! response:	Excuse us, then!
context: Crown Hey, you wanna go in for a bit?\Crown Good idea.\Good idea.\No! You must never make stops on your way home!\You will end up spending all your allowance, too.\However, if you absolutely insist on it...\You have to step over Tuxedo Umino Mask!\Excuse us, then! response:	Tuxedo Umino Mask may die, but justice will live on!
context: Crown Good idea.\Good idea.\No! You must never make stops on your way home!\You will end up spending all your allowance, too.\However, if you absolutely insist on it...\You have to step over Tuxedo Umino Mask!\Excuse us, then!\Tuxedo Umino Mask may die, but justice will live on! response:	What's wrong with Umino?
context: Good idea.\No! You must never make stops on your way home!\You will end up spending all your allowance, too.\However, if you absolutely insist on it...\You have to step over Tuxedo Umino Mask!\Excuse us, then!\Tuxedo Umino Mask may die, but justice will live on!\What's wrong with Umino? response:	Who knows...
context: No! You must never make stops on your way home!\You will end up spending all your allowance, too.\However, if you absolutely insist on it...\You have to step over Tuxedo Umino Mask!\Excuse us, then!\Tuxedo Umino Mask may die, but justice will live on!\What's wrong with Umino?\Who knows... response:	Hi, Usagi!
context: You will end up spending all your allowance, too.\However, if you absolutely insist on it...\You have to step over Tuxedo Umino Mask!\Excuse us, then!\Tuxedo Umino Mask may die, but justice will live on!\What's wrong with Umino?\Who knows...\Hi, Usagi! response:	Motoki!
context: However, if you absolutely insist on it...\You have to step over Tuxedo Umino Mask!\Excuse us, then!\Tuxedo Umino Mask may die, but justice will live on!\What's wrong with Umino?\Who knows...\Hi, Usagi!\Motoki! response:	Oh, that's right. I have two free tickets.
context: You have to step over Tuxedo Umino Mask!\Excuse us, then!\Tuxedo Umino Mask may die, but justice will live on!\What's wrong with Umino?\Who knows...\Hi, Usagi!\Motoki!\Oh, that's right. I have two free tickets. response:	Are you interested in going?
context: Excuse us, then!\Tuxedo Umino Mask may die, but justice will live on!\What's wrong with Umino?\Who knows...\Hi, Usagi!\Motoki!\Oh, that's right. I have two free tickets.\Are you interested in going? response:	Free tickets?! For two?!
context: Tuxedo Umino Mask may die, but justice will live on!\What's wrong with Umino?\Who knows...\Hi, Usagi!\Motoki!\Oh, that's right. I have two free tickets.\Are you interested in going?\Free tickets?! For two?! response:	He's asking me out on a date!
context: What's wrong with Umino?\Who knows...\Hi, Usagi!\Motoki!\Oh, that's right. I have two free tickets.\Are you interested in going?\Free tickets?! For two?!\He's asking me out on a date! response:	A movie with Motoki! Yes! I feel a little shy!
context: Who knows...\Hi, Usagi!\Motoki!\Oh, that's right. I have two free tickets.\Are you interested in going?\Free tickets?! For two?!\He's asking me out on a date!\A movie with Motoki! Yes! I feel a little shy! response:	I'm too old for the Red Man Show at the amusement park, so...
context: Hi, Usagi!\Motoki!\Oh, that's right. I have two free tickets.\Are you interested in going?\Free tickets?! For two?!\He's asking me out on a date!\A movie with Motoki! Yes! I feel a little shy!\I'm too old for the Red Man Show at the amusement park, so... response:	Red Man Show?!
context: Motoki!\Oh, that's right. I have two free tickets.\Are you interested in going?\Free tickets?! For two?!\He's asking me out on a date!\A movie with Motoki! Yes! I feel a little shy!\I'm too old for the Red Man Show at the amusement park, so...\Red Man Show?! response:	Oh, I guess you guys are too old for the Red Man Show, too.
context: Oh, that's right. I have two free tickets.\Are you interested in going?\Free tickets?! For two?!\He's asking me out on a date!\A movie with Motoki! Yes! I feel a little shy!\I'm too old for the Red Man Show at the amusement park, so...\Red Man Show?!\Oh, I guess you guys are too old for the Red Man Show, too. response:	I'll take them!
context: Are you interested in going?\Free tickets?! For two?!\He's asking me out on a date!\A movie with Motoki! Yes! I feel a little shy!\I'm too old for the Red Man Show at the amusement park, so...\Red Man Show?!\Oh, I guess you guys are too old for the Red Man Show, too.\I'll take them! response:	What?! You're going to go?!
context: Free tickets?! For two?!\He's asking me out on a date!\A movie with Motoki! Yes! I feel a little shy!\I'm too old for the Red Man Show at the amusement park, so...\Red Man Show?!\Oh, I guess you guys are too old for the Red Man Show, too.\I'll take them!\What?! You're going to go?! response:	No, you and Umino are going!
context: He's asking me out on a date!\A movie with Motoki! Yes! I feel a little shy!\I'm too old for the Red Man Show at the amusement park, so...\Red Man Show?!\Oh, I guess you guys are too old for the Red Man Show, too.\I'll take them!\What?! You're going to go?!\No, you and Umino are going! response:	What?!
context: A movie with Motoki! Yes! I feel a little shy!\I'm too old for the Red Man Show at the amusement park, so...\Red Man Show?!\Oh, I guess you guys are too old for the Red Man Show, too.\I'll take them!\What?! You're going to go?!\No, you and Umino are going!\What?! response:	I shall accompany you!
context: I'm too old for the Red Man Show at the amusement park, so...\Red Man Show?!\Oh, I guess you guys are too old for the Red Man Show, too.\I'll take them!\What?! You're going to go?!\No, you and Umino are going!\What?!\I shall accompany you! response:	I'm not sure about this.
context: Red Man Show?!\Oh, I guess you guys are too old for the Red Man Show, too.\I'll take them!\What?! You're going to go?!\No, you and Umino are going!\What?!\I shall accompany you!\I'm not sure about this. response:	Umino's trying really hard in his own way.
context: Oh, I guess you guys are too old for the Red Man Show, too.\I'll take them!\What?! You're going to go?!\No, you and Umino are going!\What?!\I shall accompany you!\I'm not sure about this.\Umino's trying really hard in his own way. response:	You should be understanding of that.
context: I'll take them!\What?! You're going to go?!\No, you and Umino are going!\What?!\I shall accompany you!\I'm not sure about this.\Umino's trying really hard in his own way.\You should be understanding of that. response:	That's okay. I'm not... I'm just not...
context: What?! You're going to go?!\No, you and Umino are going!\What?!\I shall accompany you!\I'm not sure about this.\Umino's trying really hard in his own way.\You should be understanding of that.\That's okay. I'm not... I'm just not... response:	Okay, okay. I get it. I'll go. Happy now?
context: No, you and Umino are going!\What?!\I shall accompany you!\I'm not sure about this.\Umino's trying really hard in his own way.\You should be understanding of that.\That's okay. I'm not... I'm just not...\Okay, okay. I get it. I'll go. Happy now? response:	Yes! Tuxedo Umino Mask is cheerful yet again today!
context: What?!\I shall accompany you!\I'm not sure about this.\Umino's trying really hard in his own way.\You should be understanding of that.\That's okay. I'm not... I'm just not...\Okay, okay. I get it. I'll go. Happy now?\Yes! Tuxedo Umino Mask is cheerful yet again today! response:	Come forth, my new power!
context: I shall accompany you!\I'm not sure about this.\Umino's trying really hard in his own way.\You should be understanding of that.\That's okay. I'm not... I'm just not...\Okay, okay. I get it. I'll go. Happy now?\Yes! Tuxedo Umino Mask is cheerful yet again today!\Come forth, my new power! response:	I have managed to improve the Black Crystal.
context: I'm not sure about this.\Umino's trying really hard in his own way.\You should be understanding of that.\That's okay. I'm not... I'm just not...\Okay, okay. I get it. I'll go. Happy now?\Yes! Tuxedo Umino Mask is cheerful yet again today!\Come forth, my new power!\I have managed to improve the Black Crystal. response:	With this, I'll be able to transform humans into monsters.
context: Umino's trying really hard in his own way.\You should be understanding of that.\That's okay. I'm not... I'm just not...\Okay, okay. I get it. I'll go. Happy now?\Yes! Tuxedo Umino Mask is cheerful yet again today!\Come forth, my new power!\I have managed to improve the Black Crystal.\With this, I'll be able to transform humans into monsters. response:	Master Kunzite,
context: You should be understanding of that.\That's okay. I'm not... I'm just not...\Okay, okay. I get it. I'll go. Happy now?\Yes! Tuxedo Umino Mask is cheerful yet again today!\Come forth, my new power!\I have managed to improve the Black Crystal.\With this, I'll be able to transform humans into monsters.\Master Kunzite, response:	soon, I shall steal the rainbow crystals back from the sailor warriors.
context: That's okay. I'm not... I'm just not...\Okay, okay. I get it. I'll go. Happy now?\Yes! Tuxedo Umino Mask is cheerful yet again today!\Come forth, my new power!\I have managed to improve the Black Crystal.\With this, I'll be able to transform humans into monsters.\Master Kunzite,\soon, I shall steal the rainbow crystals back from the sailor warriors. response:	Jewelry
context: Okay, okay. I get it. I'll go. Happy now?\Yes! Tuxedo Umino Mask is cheerful yet again today!\Come forth, my new power!\I have managed to improve the Black Crystal.\With this, I'll be able to transform humans into monsters.\Master Kunzite,\soon, I shall steal the rainbow crystals back from the sailor warriors.\Jewelry response:	In order to lure Sailor Moon out into the open,
context: Yes! Tuxedo Umino Mask is cheerful yet again today!\Come forth, my new power!\I have managed to improve the Black Crystal.\With this, I'll be able to transform humans into monsters.\Master Kunzite,\soon, I shall steal the rainbow crystals back from the sailor warriors.\Jewelry\In order to lure Sailor Moon out into the open, response:	I'll use Naru Osaka by turning her into a monster.
context: Come forth, my new power!\I have managed to improve the Black Crystal.\With this, I'll be able to transform humans into monsters.\Master Kunzite,\soon, I shall steal the rainbow crystals back from the sailor warriors.\Jewelry\In order to lure Sailor Moon out into the open,\I'll use Naru Osaka by turning her into a monster. response:	Who is it?
context: I have managed to improve the Black Crystal.\With this, I'll be able to transform humans into monsters.\Master Kunzite,\soon, I shall steal the rainbow crystals back from the sailor warriors.\Jewelry\In order to lure Sailor Moon out into the open,\I'll use Naru Osaka by turning her into a monster.\Who is it? response:	Tuxedo Mask!
context: With this, I'll be able to transform humans into monsters.\Master Kunzite,\soon, I shall steal the rainbow crystals back from the sailor warriors.\Jewelry\In order to lure Sailor Moon out into the open,\I'll use Naru Osaka by turning her into a monster.\Who is it?\Tuxedo Mask! response:	He found out what I was going to do already? Impressive.
context: Master Kunzite,\soon, I shall steal the rainbow crystals back from the sailor warriors.\Jewelry\In order to lure Sailor Moon out into the open,\I'll use Naru Osaka by turning her into a monster.\Who is it?\Tuxedo Mask!\He found out what I was going to do already? Impressive. response:	Out of respect for you, I shall withdraw this time.
context: soon, I shall steal the rainbow crystals back from the sailor warriors.\Jewelry\In order to lure Sailor Moon out into the open,\I'll use Naru Osaka by turning her into a monster.\Who is it?\Tuxedo Mask!\He found out what I was going to do already? Impressive.\Out of respect for you, I shall withdraw this time. response:	What the heck was that?!
context: Jewelry\In order to lure Sailor Moon out into the open,\I'll use Naru Osaka by turning her into a monster.\Who is it?\Tuxedo Mask!\He found out what I was going to do already? Impressive.\Out of respect for you, I shall withdraw this time.\What the heck was that?! response:	But I'm glad I was here.
context: In order to lure Sailor Moon out into the open,\I'll use Naru Osaka by turning her into a monster.\Who is it?\Tuxedo Mask!\He found out what I was going to do already? Impressive.\Out of respect for you, I shall withdraw this time.\What the heck was that?!\But I'm glad I was here. response:	Who's there?
context: I'll use Naru Osaka by turning her into a monster.\Who is it?\Tuxedo Mask!\He found out what I was going to do already? Impressive.\Out of respect for you, I shall withdraw this time.\What the heck was that?!\But I'm glad I was here.\Who's there? response:	It's Tuxedo Umino Mask!
context: Who is it?\Tuxedo Mask!\He found out what I was going to do already? Impressive.\Out of respect for you, I shall withdraw this time.\What the heck was that?!\But I'm glad I was here.\Who's there?\It's Tuxedo Umino Mask! response:	What time do you think it is right now?!
context: Tuxedo Mask!\He found out what I was going to do already? Impressive.\Out of respect for you, I shall withdraw this time.\What the heck was that?!\But I'm glad I was here.\Who's there?\It's Tuxedo Umino Mask!\What time do you think it is right now?! response:	Well, we haven't decided on a meeting time for tomorrow, so...
context: He found out what I was going to do already? Impressive.\Out of respect for you, I shall withdraw this time.\What the heck was that?!\But I'm glad I was here.\Who's there?\It's Tuxedo Umino Mask!\What time do you think it is right now?!\Well, we haven't decided on a meeting time for tomorrow, so... response:	Naru!
context: Out of respect for you, I shall withdraw this time.\What the heck was that?!\But I'm glad I was here.\Who's there?\It's Tuxedo Umino Mask!\What time do you think it is right now?!\Well, we haven't decided on a meeting time for tomorrow, so...\Naru! response:	When should I be at the amusement park tomorrow?!
context: What the heck was that?!\But I'm glad I was here.\Who's there?\It's Tuxedo Umino Mask!\What time do you think it is right now?!\Well, we haven't decided on a meeting time for tomorrow, so...\Naru!\When should I be at the amusement park tomorrow?! response:	9 o'clock? 10 o'clock? 11 o'clock?! 12 o'clock?! Hello?!
context: But I'm glad I was here.\Who's there?\It's Tuxedo Umino Mask!\What time do you think it is right now?!\Well, we haven't decided on a meeting time for tomorrow, so...\Naru!\When should I be at the amusement park tomorrow?!\9 o'clock? 10 o'clock? 11 o'clock?! 12 o'clock?! Hello?! response:	Okay, I'll see you at 12 o'clock.
context: Who's there?\It's Tuxedo Umino Mask!\What time do you think it is right now?!\Well, we haven't decided on a meeting time for tomorrow, so...\Naru!\When should I be at the amusement park tomorrow?!\9 o'clock? 10 o'clock? 11 o'clock?! 12 o'clock?! Hello?!\Okay, I'll see you at 12 o'clock. response:	Okay, 12 o'clock then? Let's have lunch together!
context: It's Tuxedo Umino Mask!\What time do you think it is right now?!\Well, we haven't decided on a meeting time for tomorrow, so...\Naru!\When should I be at the amusement park tomorrow?!\9 o'clock? 10 o'clock? 11 o'clock?! 12 o'clock?! Hello?!\Okay, I'll see you at 12 o'clock.\Okay, 12 o'clock then? Let's have lunch together! response:	Tuxedo Umino Mask will make lots of your favorite fried shrimp!
context: What time do you think it is right now?!\Well, we haven't decided on a meeting time for tomorrow, so...\Naru!\When should I be at the amusement park tomorrow?!\9 o'clock? 10 o'clock? 11 o'clock?! 12 o'clock?! Hello?!\Okay, I'll see you at 12 o'clock.\Okay, 12 o'clock then? Let's have lunch together!\Tuxedo Umino Mask will make lots of your favorite fried shrimp! response:	Usagi, what happened to your task of finding the princess?!
context: Well, we haven't decided on a meeting time for tomorrow, so...\Naru!\When should I be at the amusement park tomorrow?!\9 o'clock? 10 o'clock? 11 o'clock?! 12 o'clock?! Hello?!\Okay, I'll see you at 12 o'clock.\Okay, 12 o'clock then? Let's have lunch together!\Tuxedo Umino Mask will make lots of your favorite fried shrimp!\Usagi, what happened to your task of finding the princess?! response:	After everything I told you!
context: Naru!\When should I be at the amusement park tomorrow?!\9 o'clock? 10 o'clock? 11 o'clock?! 12 o'clock?! Hello?!\Okay, I'll see you at 12 o'clock.\Okay, 12 o'clock then? Let's have lunch together!\Tuxedo Umino Mask will make lots of your favorite fried shrimp!\Usagi, what happened to your task of finding the princess?!\After everything I told you! response:	Monster Fighter Red Man Show After everything I told you!
context: When should I be at the amusement park tomorrow?!\9 o'clock? 10 o'clock? 11 o'clock?! 12 o'clock?! Hello?!\Okay, I'll see you at 12 o'clock.\Okay, 12 o'clock then? Let's have lunch together!\Tuxedo Umino Mask will make lots of your favorite fried shrimp!\Usagi, what happened to your task of finding the princess?!\After everything I told you!\Monster Fighter Red Man Show After everything I told you! response:	Monster Fighter Red Man Show You weren't listening to a word I said, were you?
context: 9 o'clock? 10 o'clock? 11 o'clock?! 12 o'clock?! Hello?!\Okay, I'll see you at 12 o'clock.\Okay, 12 o'clock then? Let's have lunch together!\Tuxedo Umino Mask will make lots of your favorite fried shrimp!\Usagi, what happened to your task of finding the princess?!\After everything I told you!\Monster Fighter Red Man Show After everything I told you!\Monster Fighter Red Man Show You weren't listening to a word I said, were you? response:	Monster Fighter Red Man Show I was listening. But see, as a sentimental girl,
context: Okay, I'll see you at 12 o'clock.\Okay, 12 o'clock then? Let's have lunch together!\Tuxedo Umino Mask will make lots of your favorite fried shrimp!\Usagi, what happened to your task of finding the princess?!\After everything I told you!\Monster Fighter Red Man Show After everything I told you!\Monster Fighter Red Man Show You weren't listening to a word I said, were you?\Monster Fighter Red Man Show I was listening. But see, as a sentimental girl, response:	Monster Fighter Red Man Show I'm worried about how my friend's romantic life is going.
context: Okay, 12 o'clock then? Let's have lunch together!\Tuxedo Umino Mask will make lots of your favorite fried shrimp!\Usagi, what happened to your task of finding the princess?!\After everything I told you!\Monster Fighter Red Man Show After everything I told you!\Monster Fighter Red Man Show You weren't listening to a word I said, were you?\Monster Fighter Red Man Show I was listening. But see, as a sentimental girl,\Monster Fighter Red Man Show I'm worried about how my friend's romantic life is going. response:	Monster Fighter Red Man Show Can you understand that?
context: Tuxedo Umino Mask will make lots of your favorite fried shrimp!\Usagi, what happened to your task of finding the princess?!\After everything I told you!\Monster Fighter Red Man Show After everything I told you!\Monster Fighter Red Man Show You weren't listening to a word I said, were you?\Monster Fighter Red Man Show I was listening. But see, as a sentimental girl,\Monster Fighter Red Man Show I'm worried about how my friend's romantic life is going.\Monster Fighter Red Man Show Can you understand that? response:	Honestly! You have absolutely no sense of duty.
context: Usagi, what happened to your task of finding the princess?!\After everything I told you!\Monster Fighter Red Man Show After everything I told you!\Monster Fighter Red Man Show You weren't listening to a word I said, were you?\Monster Fighter Red Man Show I was listening. But see, as a sentimental girl,\Monster Fighter Red Man Show I'm worried about how my friend's romantic life is going.\Monster Fighter Red Man Show Can you understand that?\Honestly! You have absolutely no sense of duty. response:	Anyway, why are you following me?
context: After everything I told you!\Monster Fighter Red Man Show After everything I told you!\Monster Fighter Red Man Show You weren't listening to a word I said, were you?\Monster Fighter Red Man Show I was listening. But see, as a sentimental girl,\Monster Fighter Red Man Show I'm worried about how my friend's romantic life is going.\Monster Fighter Red Man Show Can you understand that?\Honestly! You have absolutely no sense of duty.\Anyway, why are you following me? response:	As a sentimental messenger from the moon,
context: Monster Fighter Red Man Show After everything I told you!\Monster Fighter Red Man Show You weren't listening to a word I said, were you?\Monster Fighter Red Man Show I was listening. But see, as a sentimental girl,\Monster Fighter Red Man Show I'm worried about how my friend's romantic life is going.\Monster Fighter Red Man Show Can you understand that?\Honestly! You have absolutely no sense of duty.\Anyway, why are you following me?\As a sentimental messenger from the moon, response:	I'm worried about my foolish sailor warrior's actions.
context: Monster Fighter Red Man Show You weren't listening to a word I said, were you?\Monster Fighter Red Man Show I was listening. But see, as a sentimental girl,\Monster Fighter Red Man Show I'm worried about how my friend's romantic life is going.\Monster Fighter Red Man Show Can you understand that?\Honestly! You have absolutely no sense of duty.\Anyway, why are you following me?\As a sentimental messenger from the moon,\I'm worried about my foolish sailor warrior's actions. response:	Can you understand that?
context: Monster Fighter Red Man Show I was listening. But see, as a sentimental girl,\Monster Fighter Red Man Show I'm worried about how my friend's romantic life is going.\Monster Fighter Red Man Show Can you understand that?\Honestly! You have absolutely no sense of duty.\Anyway, why are you following me?\As a sentimental messenger from the moon,\I'm worried about my foolish sailor warrior's actions.\Can you understand that? response:	Oh, there they are!
context: Monster Fighter Red Man Show I'm worried about how my friend's romantic life is going.\Monster Fighter Red Man Show Can you understand that?\Honestly! You have absolutely no sense of duty.\Anyway, why are you following me?\As a sentimental messenger from the moon,\I'm worried about my foolish sailor warrior's actions.\Can you understand that?\Oh, there they are! response:	Hey, Usagi!
context: Monster Fighter Red Man Show Can you understand that?\Honestly! You have absolutely no sense of duty.\Anyway, why are you following me?\As a sentimental messenger from the moon,\I'm worried about my foolish sailor warrior's actions.\Can you understand that?\Oh, there they are!\Hey, Usagi! response:	Monster Fighter, Red Man
context: Honestly! You have absolutely no sense of duty.\Anyway, why are you following me?\As a sentimental messenger from the moon,\I'm worried about my foolish sailor warrior's actions.\Can you understand that?\Oh, there they are!\Hey, Usagi!\Monster Fighter, Red Man response:	Red Man has arrived!
context: Anyway, why are you following me?\As a sentimental messenger from the moon,\I'm worried about my foolish sailor warrior's actions.\Can you understand that?\Oh, there they are!\Hey, Usagi!\Monster Fighter, Red Man\Red Man has arrived! response:	Monster Fighter, Red Man
context: As a sentimental messenger from the moon,\I'm worried about my foolish sailor warrior's actions.\Can you understand that?\Oh, there they are!\Hey, Usagi!\Monster Fighter, Red Man\Red Man has arrived!\Monster Fighter, Red Man response:	Monster Fighter, Red Man Red Man, Leg Attack!
context: I'm worried about my foolish sailor warrior's actions.\Can you understand that?\Oh, there they are!\Hey, Usagi!\Monster Fighter, Red Man\Red Man has arrived!\Monster Fighter, Red Man\Monster Fighter, Red Man Red Man, Leg Attack! response:	I'm glad you didn't come in that weird outfit.
context: Can you understand that?\Oh, there they are!\Hey, Usagi!\Monster Fighter, Red Man\Red Man has arrived!\Monster Fighter, Red Man\Monster Fighter, Red Man Red Man, Leg Attack!\I'm glad you didn't come in that weird outfit. response:	Are you kidding? It's right in there.
context: Oh, there they are!\Hey, Usagi!\Monster Fighter, Red Man\Red Man has arrived!\Monster Fighter, Red Man\Monster Fighter, Red Man Red Man, Leg Attack!\I'm glad you didn't come in that weird outfit.\Are you kidding? It's right in there. response:	If something should happen, I'll transform, so please don't worry.
context: Hey, Usagi!\Monster Fighter, Red Man\Red Man has arrived!\Monster Fighter, Red Man\Monster Fighter, Red Man Red Man, Leg Attack!\I'm glad you didn't come in that weird outfit.\Are you kidding? It's right in there.\If something should happen, I'll transform, so please don't worry. response:	Oh, boy...
context: Monster Fighter, Red Man\Red Man has arrived!\Monster Fighter, Red Man\Monster Fighter, Red Man Red Man, Leg Attack!\I'm glad you didn't come in that weird outfit.\Are you kidding? It's right in there.\If something should happen, I'll transform, so please don't worry.\Oh, boy... response:	Red Man, Punch! Oh, boy...
context: Red Man has arrived!\Monster Fighter, Red Man\Monster Fighter, Red Man Red Man, Leg Attack!\I'm glad you didn't come in that weird outfit.\Are you kidding? It's right in there.\If something should happen, I'll transform, so please don't worry.\Oh, boy...\Red Man, Punch! Oh, boy... response:	Red Man, Punch!
context: Monster Fighter, Red Man\Monster Fighter, Red Man Red Man, Leg Attack!\I'm glad you didn't come in that weird outfit.\Are you kidding? It's right in there.\If something should happen, I'll transform, so please don't worry.\Oh, boy...\Red Man, Punch! Oh, boy...\Red Man, Punch! response:	Black Crystal, transform that girl into a monster.
context: Monster Fighter, Red Man Red Man, Leg Attack!\I'm glad you didn't come in that weird outfit.\Are you kidding? It's right in there.\If something should happen, I'll transform, so please don't worry.\Oh, boy...\Red Man, Punch! Oh, boy...\Red Man, Punch!\Black Crystal, transform that girl into a monster. response:	Zoi!
context: I'm glad you didn't come in that weird outfit.\Are you kidding? It's right in there.\If something should happen, I'll transform, so please don't worry.\Oh, boy...\Red Man, Punch! Oh, boy...\Red Man, Punch!\Black Crystal, transform that girl into a monster.\Zoi! response:	Victory! Red Man!
context: Are you kidding? It's right in there.\If something should happen, I'll transform, so please don't worry.\Oh, boy...\Red Man, Punch! Oh, boy...\Red Man, Punch!\Black Crystal, transform that girl into a monster.\Zoi!\Victory! Red Man! response:	He transformed into a monster!
context: If something should happen, I'll transform, so please don't worry.\Oh, boy...\Red Man, Punch! Oh, boy...\Red Man, Punch!\Black Crystal, transform that girl into a monster.\Zoi!\Victory! Red Man!\He transformed into a monster! response:	It's a monster against monster fight!
