context: Not quite what I had in mind... response:	Back to the drawing board!
context: Huh? Onodera...\Um... I... have something for you...\Onodera! Are you okay?\I'm fine... I'm fine, all right?\Onodera?\Don't worry, I'm fine!\Huh?\I managed to make this, and now look... response:	I can't give it to him now, not like this...
context: Um... I... have something for you...\Onodera! Are you okay?\I'm fine... I'm fine, all right?\Onodera?\Don't worry, I'm fine!\Huh?\I managed to make this, and now look...\I can't give it to him now, not like this... response:	It's too bad, since they're actually delicious...
context: Onodera! Are you okay?\I'm fine... I'm fine, all right?\Onodera?\Don't worry, I'm fine!\Huh?\I managed to make this, and now look...\I can't give it to him now, not like this...\It's too bad, since they're actually delicious... response:	I mean really... delicious, you know?
context: I'm fine... I'm fine, all right?\Onodera?\Don't worry, I'm fine!\Huh?\I managed to make this, and now look...\I can't give it to him now, not like this...\It's too bad, since they're actually delicious...\I mean really... delicious, you know? response:	Hmm... she's nowhere to be found.
context: Onodera?\Don't worry, I'm fine!\Huh?\I managed to make this, and now look...\I can't give it to him now, not like this...\It's too bad, since they're actually delicious...\I mean really... delicious, you know?\Hmm... she's nowhere to be found. response:	Just now, Onodera didn't seem like her usual self to me.
context: Don't worry, I'm fine!\Huh?\I managed to make this, and now look...\I can't give it to him now, not like this...\It's too bad, since they're actually delicious...\I mean really... delicious, you know?\Hmm... she's nowhere to be found.\Just now, Onodera didn't seem like her usual self to me. response:	You come back here, damn you!
context: Huh?\I managed to make this, and now look...\I can't give it to him now, not like this...\It's too bad, since they're actually delicious...\I mean really... delicious, you know?\Hmm... she's nowhere to be found.\Just now, Onodera didn't seem like her usual self to me.\You come back here, damn you! response:	Come back here!
context: I managed to make this, and now look...\I can't give it to him now, not like this...\It's too bad, since they're actually delicious...\I mean really... delicious, you know?\Hmm... she's nowhere to be found.\Just now, Onodera didn't seem like her usual self to me.\You come back here, damn you!\Come back here! response:	Please forgive me!
context: I can't give it to him now, not like this...\It's too bad, since they're actually delicious...\I mean really... delicious, you know?\Hmm... she's nowhere to be found.\Just now, Onodera didn't seem like her usual self to me.\You come back here, damn you!\Come back here!\Please forgive me! response:	Is that Shu and Tsugumi?
context: It's too bad, since they're actually delicious...\I mean really... delicious, you know?\Hmm... she's nowhere to be found.\Just now, Onodera didn't seem like her usual self to me.\You come back here, damn you!\Come back here!\Please forgive me!\Is that Shu and Tsugumi? response:	Curses! That guy...
context: I mean really... delicious, you know?\Hmm... she's nowhere to be found.\Just now, Onodera didn't seem like her usual self to me.\You come back here, damn you!\Come back here!\Please forgive me!\Is that Shu and Tsugumi?\Curses! That guy... response:	Just how far will he go to ridicule me?
context: Hmm... she's nowhere to be found.\Just now, Onodera didn't seem like her usual self to me.\You come back here, damn you!\Come back here!\Please forgive me!\Is that Shu and Tsugumi?\Curses! That guy...\Just how far will he go to ridicule me? response:	Tsugumi?
context: Just now, Onodera didn't seem like her usual self to me.\You come back here, damn you!\Come back here!\Please forgive me!\Is that Shu and Tsugumi?\Curses! That guy...\Just how far will he go to ridicule me?\Tsugumi? response:	Why are you making that weird noise?
context: You come back here, damn you!\Come back here!\Please forgive me!\Is that Shu and Tsugumi?\Curses! That guy...\Just how far will he go to ridicule me?\Tsugumi?\Why are you making that weird noise? response:	R-R-R-Raku Ichijo! What about you? What brings you here?
context: Come back here!\Please forgive me!\Is that Shu and Tsugumi?\Curses! That guy...\Just how far will he go to ridicule me?\Tsugumi?\Why are you making that weird noise?\R-R-R-Raku Ichijo! What about you? What brings you here? response:	I'm looking for Onodera. Have you seen her?
context: Please forgive me!\Is that Shu and Tsugumi?\Curses! That guy...\Just how far will he go to ridicule me?\Tsugumi?\Why are you making that weird noise?\R-R-R-Raku Ichijo! What about you? What brings you here?\I'm looking for Onodera. Have you seen her? response:	No, can't say that I did.
context: Is that Shu and Tsugumi?\Curses! That guy...\Just how far will he go to ridicule me?\Tsugumi?\Why are you making that weird noise?\R-R-R-Raku Ichijo! What about you? What brings you here?\I'm looking for Onodera. Have you seen her?\No, can't say that I did. response:	Hey, Raku Ichijo. Actually, I have something important to tell you...
context: Curses! That guy...\Just how far will he go to ridicule me?\Tsugumi?\Why are you making that weird noise?\R-R-R-Raku Ichijo! What about you? What brings you here?\I'm looking for Onodera. Have you seen her?\No, can't say that I did.\Hey, Raku Ichijo. Actually, I have something important to tell you... response:	Huh?
context: Just how far will he go to ridicule me?\Tsugumi?\Why are you making that weird noise?\R-R-R-Raku Ichijo! What about you? What brings you here?\I'm looking for Onodera. Have you seen her?\No, can't say that I did.\Hey, Raku Ichijo. Actually, I have something important to tell you...\Huh? response:	Oh, right! Boy, did you shock me good!
context: Tsugumi?\Why are you making that weird noise?\R-R-R-Raku Ichijo! What about you? What brings you here?\I'm looking for Onodera. Have you seen her?\No, can't say that I did.\Hey, Raku Ichijo. Actually, I have something important to tell you...\Huh?\Oh, right! Boy, did you shock me good! response:	I had no idea that you were into Shu...
context: Why are you making that weird noise?\R-R-R-Raku Ichijo! What about you? What brings you here?\I'm looking for Onodera. Have you seen her?\No, can't say that I did.\Hey, Raku Ichijo. Actually, I have something important to tell you...\Huh?\Oh, right! Boy, did you shock me good!\I had no idea that you were into Shu... response:	I'm NOT!
context: R-R-R-Raku Ichijo! What about you? What brings you here?\I'm looking for Onodera. Have you seen her?\No, can't say that I did.\Hey, Raku Ichijo. Actually, I have something important to tell you...\Huh?\Oh, right! Boy, did you shock me good!\I had no idea that you were into Shu...\I'm NOT! response:	I'm not!
context: I'm looking for Onodera. Have you seen her?\No, can't say that I did.\Hey, Raku Ichijo. Actually, I have something important to tell you...\Huh?\Oh, right! Boy, did you shock me good!\I had no idea that you were into Shu...\I'm NOT!\I'm not! response:	Huh? Are you sure you're not?
context: No, can't say that I did.\Hey, Raku Ichijo. Actually, I have something important to tell you...\Huh?\Oh, right! Boy, did you shock me good!\I had no idea that you were into Shu...\I'm NOT!\I'm not!\Huh? Are you sure you're not? response:	Then those chocolates you had... where'd they come from?
context: Hey, Raku Ichijo. Actually, I have something important to tell you...\Huh?\Oh, right! Boy, did you shock me good!\I had no idea that you were into Shu...\I'm NOT!\I'm not!\Huh? Are you sure you're not?\Then those chocolates you had... where'd they come from? response:	What? Oh, those? A girl from another class said they were for me...
context: Huh?\Oh, right! Boy, did you shock me good!\I had no idea that you were into Shu...\I'm NOT!\I'm not!\Huh? Are you sure you're not?\Then those chocolates you had... where'd they come from?\What? Oh, those? A girl from another class said they were for me... response:	Huh? A girl?
context: Oh, right! Boy, did you shock me good!\I had no idea that you were into Shu...\I'm NOT!\I'm not!\Huh? Are you sure you're not?\Then those chocolates you had... where'd they come from?\What? Oh, those? A girl from another class said they were for me...\Huh? A girl? response:	Come to think of it, why would she give me chocolate?
context: I had no idea that you were into Shu...\I'm NOT!\I'm not!\Huh? Are you sure you're not?\Then those chocolates you had... where'd they come from?\What? Oh, those? A girl from another class said they were for me...\Huh? A girl?\Come to think of it, why would she give me chocolate? response:	Don't tell me she's another one who doesn't get what Valentine's Day is about...
context: I'm NOT!\I'm not!\Huh? Are you sure you're not?\Then those chocolates you had... where'd they come from?\What? Oh, those? A girl from another class said they were for me...\Huh? A girl?\Come to think of it, why would she give me chocolate?\Don't tell me she's another one who doesn't get what Valentine's Day is about... response:	Or else did she think I was a boy, maybe?
context: I'm not!\Huh? Are you sure you're not?\Then those chocolates you had... where'd they come from?\What? Oh, those? A girl from another class said they were for me...\Huh? A girl?\Come to think of it, why would she give me chocolate?\Don't tell me she's another one who doesn't get what Valentine's Day is about...\Or else did she think I was a boy, maybe? response:	Aw, no, I'm sure that's not it.
context: Huh? Are you sure you're not?\Then those chocolates you had... where'd they come from?\What? Oh, those? A girl from another class said they were for me...\Huh? A girl?\Come to think of it, why would she give me chocolate?\Don't tell me she's another one who doesn't get what Valentine's Day is about...\Or else did she think I was a boy, maybe?\Aw, no, I'm sure that's not it. response:	I mean...
context: Then those chocolates you had... where'd they come from?\What? Oh, those? A girl from another class said they were for me...\Huh? A girl?\Come to think of it, why would she give me chocolate?\Don't tell me she's another one who doesn't get what Valentine's Day is about...\Or else did she think I was a boy, maybe?\Aw, no, I'm sure that's not it.\I mean... response:	Even a girl like Tsugumi's getting chocolate!
context: What? Oh, those? A girl from another class said they were for me...\Huh? A girl?\Come to think of it, why would she give me chocolate?\Don't tell me she's another one who doesn't get what Valentine's Day is about...\Or else did she think I was a boy, maybe?\Aw, no, I'm sure that's not it.\I mean...\Even a girl like Tsugumi's getting chocolate! response:	And here I am with zero... this is beyond frustrating!
context: Huh? A girl?\Come to think of it, why would she give me chocolate?\Don't tell me she's another one who doesn't get what Valentine's Day is about...\Or else did she think I was a boy, maybe?\Aw, no, I'm sure that's not it.\I mean...\Even a girl like Tsugumi's getting chocolate!\And here I am with zero... this is beyond frustrating! response:	Do you really desire chocolate all that much? You creatures called men?
context: Come to think of it, why would she give me chocolate?\Don't tell me she's another one who doesn't get what Valentine's Day is about...\Or else did she think I was a boy, maybe?\Aw, no, I'm sure that's not it.\I mean...\Even a girl like Tsugumi's getting chocolate!\And here I am with zero... this is beyond frustrating!\Do you really desire chocolate all that much? You creatures called men? response:	Oh, crap! The cries from my soul were audible...
context: Don't tell me she's another one who doesn't get what Valentine's Day is about...\Or else did she think I was a boy, maybe?\Aw, no, I'm sure that's not it.\I mean...\Even a girl like Tsugumi's getting chocolate!\And here I am with zero... this is beyond frustrating!\Do you really desire chocolate all that much? You creatures called men?\Oh, crap! The cries from my soul were audible... response:	Raku Ichijo!
context: Or else did she think I was a boy, maybe?\Aw, no, I'm sure that's not it.\I mean...\Even a girl like Tsugumi's getting chocolate!\And here I am with zero... this is beyond frustrating!\Do you really desire chocolate all that much? You creatures called men?\Oh, crap! The cries from my soul were audible...\Raku Ichijo! response:	O-On Valentine's Day...
context: Aw, no, I'm sure that's not it.\I mean...\Even a girl like Tsugumi's getting chocolate!\And here I am with zero... this is beyond frustrating!\Do you really desire chocolate all that much? You creatures called men?\Oh, crap! The cries from my soul were audible...\Raku Ichijo!\O-On Valentine's Day... response:	I hear there's something called an obligatory chocolate system...
context: I mean...\Even a girl like Tsugumi's getting chocolate!\And here I am with zero... this is beyond frustrating!\Do you really desire chocolate all that much? You creatures called men?\Oh, crap! The cries from my soul were audible...\Raku Ichijo!\O-On Valentine's Day...\I hear there's something called an obligatory chocolate system... response:	If that's good enough for you... I don't mind giving you this.
context: Even a girl like Tsugumi's getting chocolate!\And here I am with zero... this is beyond frustrating!\Do you really desire chocolate all that much? You creatures called men?\Oh, crap! The cries from my soul were audible...\Raku Ichijo!\O-On Valentine's Day...\I hear there's something called an obligatory chocolate system...\If that's good enough for you... I don't mind giving you this. response:	Huh? Are you serious?
context: And here I am with zero... this is beyond frustrating!\Do you really desire chocolate all that much? You creatures called men?\Oh, crap! The cries from my soul were audible...\Raku Ichijo!\O-On Valentine's Day...\I hear there's something called an obligatory chocolate system...\If that's good enough for you... I don't mind giving you this.\Huh? Are you serious? response:	Thanks!
context: Do you really desire chocolate all that much? You creatures called men?\Oh, crap! The cries from my soul were audible...\Raku Ichijo!\O-On Valentine's Day...\I hear there's something called an obligatory chocolate system...\If that's good enough for you... I don't mind giving you this.\Huh? Are you serious?\Thanks! response:	That makes me happy! That makes me so happy!
context: Oh, crap! The cries from my soul were audible...\Raku Ichijo!\O-On Valentine's Day...\I hear there's something called an obligatory chocolate system...\If that's good enough for you... I don't mind giving you this.\Huh? Are you serious?\Thanks!\That makes me happy! That makes me so happy! response:	Even if it's obligatory, I'm totally happy!
context: Raku Ichijo!\O-On Valentine's Day...\I hear there's something called an obligatory chocolate system...\If that's good enough for you... I don't mind giving you this.\Huh? Are you serious?\Thanks!\That makes me happy! That makes me so happy!\Even if it's obligatory, I'm totally happy! response:	Hey, thanks, Tsugumi!
context: O-On Valentine's Day...\I hear there's something called an obligatory chocolate system...\If that's good enough for you... I don't mind giving you this.\Huh? Are you serious?\Thanks!\That makes me happy! That makes me so happy!\Even if it's obligatory, I'm totally happy!\Hey, thanks, Tsugumi! response:	Does it make you that happy?
context: I hear there's something called an obligatory chocolate system...\If that's good enough for you... I don't mind giving you this.\Huh? Are you serious?\Thanks!\That makes me happy! That makes me so happy!\Even if it's obligatory, I'm totally happy!\Hey, thanks, Tsugumi!\Does it make you that happy? response:	Yeah!
context: If that's good enough for you... I don't mind giving you this.\Huh? Are you serious?\Thanks!\That makes me happy! That makes me so happy!\Even if it's obligatory, I'm totally happy!\Hey, thanks, Tsugumi!\Does it make you that happy?\Yeah! response:	Oh, man, I'm so thrilled!
context: Huh? Are you serious?\Thanks!\That makes me happy! That makes me so happy!\Even if it's obligatory, I'm totally happy!\Hey, thanks, Tsugumi!\Does it make you that happy?\Yeah!\Oh, man, I'm so thrilled! response:	After all, this is the first time in my whole life that a girl has given me chocolate!
context: Thanks!\That makes me happy! That makes me so happy!\Even if it's obligatory, I'm totally happy!\Hey, thanks, Tsugumi!\Does it make you that happy?\Yeah!\Oh, man, I'm so thrilled!\After all, this is the first time in my whole life that a girl has given me chocolate! response:	First time in your life?
context: That makes me happy! That makes me so happy!\Even if it's obligatory, I'm totally happy!\Hey, thanks, Tsugumi!\Does it make you that happy?\Yeah!\Oh, man, I'm so thrilled!\After all, this is the first time in my whole life that a girl has given me chocolate!\First time in your life? response:	Thanks! I really mean it!
context: Even if it's obligatory, I'm totally happy!\Hey, thanks, Tsugumi!\Does it make you that happy?\Yeah!\Oh, man, I'm so thrilled!\After all, this is the first time in my whole life that a girl has given me chocolate!\First time in your life?\Thanks! I really mean it! response:	I'll be sure to return the favor on White Day, okay?
context: Hey, thanks, Tsugumi!\Does it make you that happy?\Yeah!\Oh, man, I'm so thrilled!\After all, this is the first time in my whole life that a girl has given me chocolate!\First time in your life?\Thanks! I really mean it!\I'll be sure to return the favor on White Day, okay? response:	H-Huh? Oh... right...
context: Does it make you that happy?\Yeah!\Oh, man, I'm so thrilled!\After all, this is the first time in my whole life that a girl has given me chocolate!\First time in your life?\Thanks! I really mean it!\I'll be sure to return the favor on White Day, okay?\H-Huh? Oh... right... response:	Hey, almost forgot.
context: Yeah!\Oh, man, I'm so thrilled!\After all, this is the first time in my whole life that a girl has given me chocolate!\First time in your life?\Thanks! I really mean it!\I'll be sure to return the favor on White Day, okay?\H-Huh? Oh... right...\Hey, almost forgot. response:	Maybe I should just mind my own business,
context: Oh, man, I'm so thrilled!\After all, this is the first time in my whole life that a girl has given me chocolate!\First time in your life?\Thanks! I really mean it!\I'll be sure to return the favor on White Day, okay?\H-Huh? Oh... right...\Hey, almost forgot.\Maybe I should just mind my own business, response:	but if somebody gives you any chocolate, don't give it away like you did just now.
context: After all, this is the first time in my whole life that a girl has given me chocolate!\First time in your life?\Thanks! I really mean it!\I'll be sure to return the favor on White Day, okay?\H-Huh? Oh... right...\Hey, almost forgot.\Maybe I should just mind my own business,\but if somebody gives you any chocolate, don't give it away like you did just now. response:	Since I'm sure that person mustered up all her courage to give it to you.
context: First time in your life?\Thanks! I really mean it!\I'll be sure to return the favor on White Day, okay?\H-Huh? Oh... right...\Hey, almost forgot.\Maybe I should just mind my own business,\but if somebody gives you any chocolate, don't give it away like you did just now.\Since I'm sure that person mustered up all her courage to give it to you. response:	Savor it, all right?
context: Thanks! I really mean it!\I'll be sure to return the favor on White Day, okay?\H-Huh? Oh... right...\Hey, almost forgot.\Maybe I should just mind my own business,\but if somebody gives you any chocolate, don't give it away like you did just now.\Since I'm sure that person mustered up all her courage to give it to you.\Savor it, all right? response:	You should mind your own business! I'm perfectly aware of that.
context: I'll be sure to return the favor on White Day, okay?\H-Huh? Oh... right...\Hey, almost forgot.\Maybe I should just mind my own business,\but if somebody gives you any chocolate, don't give it away like you did just now.\Since I'm sure that person mustered up all her courage to give it to you.\Savor it, all right?\You should mind your own business! I'm perfectly aware of that. response:	See you!
context: H-Huh? Oh... right...\Hey, almost forgot.\Maybe I should just mind my own business,\but if somebody gives you any chocolate, don't give it away like you did just now.\Since I'm sure that person mustered up all her courage to give it to you.\Savor it, all right?\You should mind your own business! I'm perfectly aware of that.\See you! response:	If that's the case, then make sure you savor mine, too...
context: Hey, almost forgot.\Maybe I should just mind my own business,\but if somebody gives you any chocolate, don't give it away like you did just now.\Since I'm sure that person mustered up all her courage to give it to you.\Savor it, all right?\You should mind your own business! I'm perfectly aware of that.\See you!\If that's the case, then make sure you savor mine, too... response:	Oh, crap... I just remembered something awful.
context: Maybe I should just mind my own business,\but if somebody gives you any chocolate, don't give it away like you did just now.\Since I'm sure that person mustered up all her courage to give it to you.\Savor it, all right?\You should mind your own business! I'm perfectly aware of that.\See you!\If that's the case, then make sure you savor mine, too...\Oh, crap... I just remembered something awful. response:	I reeled off that speech to Tsugumi,
context: but if somebody gives you any chocolate, don't give it away like you did just now.\Since I'm sure that person mustered up all her courage to give it to you.\Savor it, all right?\You should mind your own business! I'm perfectly aware of that.\See you!\If that's the case, then make sure you savor mine, too...\Oh, crap... I just remembered something awful.\I reeled off that speech to Tsugumi, response:	but I'm still on the run from Tachibana without accepting her chocolate!
context: Since I'm sure that person mustered up all her courage to give it to you.\Savor it, all right?\You should mind your own business! I'm perfectly aware of that.\See you!\If that's the case, then make sure you savor mine, too...\Oh, crap... I just remembered something awful.\I reeled off that speech to Tsugumi,\but I'm still on the run from Tachibana without accepting her chocolate! response:	And yet I went and lectured somebody else...
context: Savor it, all right?\You should mind your own business! I'm perfectly aware of that.\See you!\If that's the case, then make sure you savor mine, too...\Oh, crap... I just remembered something awful.\I reeled off that speech to Tsugumi,\but I'm still on the run from Tachibana without accepting her chocolate!\And yet I went and lectured somebody else... response:	I'm so ashamed!
context: You should mind your own business! I'm perfectly aware of that.\See you!\If that's the case, then make sure you savor mine, too...\Oh, crap... I just remembered something awful.\I reeled off that speech to Tsugumi,\but I'm still on the run from Tachibana without accepting her chocolate!\And yet I went and lectured somebody else...\I'm so ashamed! response:	At the time, it was just instinct that made me turn tail and run,
context: See you!\If that's the case, then make sure you savor mine, too...\Oh, crap... I just remembered something awful.\I reeled off that speech to Tsugumi,\but I'm still on the run from Tachibana without accepting her chocolate!\And yet I went and lectured somebody else...\I'm so ashamed!\At the time, it was just instinct that made me turn tail and run, response:	but all Tachibana did was bring me the chocolate she'd made!
context: If that's the case, then make sure you savor mine, too...\Oh, crap... I just remembered something awful.\I reeled off that speech to Tsugumi,\but I'm still on the run from Tachibana without accepting her chocolate!\And yet I went and lectured somebody else...\I'm so ashamed!\At the time, it was just instinct that made me turn tail and run,\but all Tachibana did was bring me the chocolate she'd made! response:	I'm gonna look for Tachibana first and apologize.
context: Oh, crap... I just remembered something awful.\I reeled off that speech to Tsugumi,\but I'm still on the run from Tachibana without accepting her chocolate!\And yet I went and lectured somebody else...\I'm so ashamed!\At the time, it was just instinct that made me turn tail and run,\but all Tachibana did was bring me the chocolate she'd made!\I'm gonna look for Tachibana first and apologize. response:	I'll take care of Onodera afterwards...
context: I reeled off that speech to Tsugumi,\but I'm still on the run from Tachibana without accepting her chocolate!\And yet I went and lectured somebody else...\I'm so ashamed!\At the time, it was just instinct that made me turn tail and run,\but all Tachibana did was bring me the chocolate she'd made!\I'm gonna look for Tachibana first and apologize.\I'll take care of Onodera afterwards... response:	What the heck!?
context: but I'm still on the run from Tachibana without accepting her chocolate!\And yet I went and lectured somebody else...\I'm so ashamed!\At the time, it was just instinct that made me turn tail and run,\but all Tachibana did was bring me the chocolate she'd made!\I'm gonna look for Tachibana first and apologize.\I'll take care of Onodera afterwards...\What the heck!? response:	Wh-What happened here?
context: And yet I went and lectured somebody else...\I'm so ashamed!\At the time, it was just instinct that made me turn tail and run,\but all Tachibana did was bring me the chocolate she'd made!\I'm gonna look for Tachibana first and apologize.\I'll take care of Onodera afterwards...\What the heck!?\Wh-What happened here? response:	What should I do? This is all my fault!
context: I'm so ashamed!\At the time, it was just instinct that made me turn tail and run,\but all Tachibana did was bring me the chocolate she'd made!\I'm gonna look for Tachibana first and apologize.\I'll take care of Onodera afterwards...\What the heck!?\Wh-What happened here?\What should I do? This is all my fault! response:	If only I hadn't run off like that...
context: At the time, it was just instinct that made me turn tail and run,\but all Tachibana did was bring me the chocolate she'd made!\I'm gonna look for Tachibana first and apologize.\I'll take care of Onodera afterwards...\What the heck!?\Wh-What happened here?\What should I do? This is all my fault!\If only I hadn't run off like that... response:	Well, now, Master Raku.
context: but all Tachibana did was bring me the chocolate she'd made!\I'm gonna look for Tachibana first and apologize.\I'll take care of Onodera afterwards...\What the heck!?\Wh-What happened here?\What should I do? This is all my fault!\If only I hadn't run off like that...\Well, now, Master Raku. response:	I am terribly sorry, Master Raku.
context: I'm gonna look for Tachibana first and apologize.\I'll take care of Onodera afterwards...\What the heck!?\Wh-What happened here?\What should I do? This is all my fault!\If only I hadn't run off like that...\Well, now, Master Raku.\I am terribly sorry, Master Raku. response:	I had crafted this for you, but due to my carelessness, it is now in pieces.
context: I'll take care of Onodera afterwards...\What the heck!?\Wh-What happened here?\What should I do? This is all my fault!\If only I hadn't run off like that...\Well, now, Master Raku.\I am terribly sorry, Master Raku.\I had crafted this for you, but due to my carelessness, it is now in pieces. response:	I'm sorry... I got so carried away!
context: What the heck!?\Wh-What happened here?\What should I do? This is all my fault!\If only I hadn't run off like that...\Well, now, Master Raku.\I am terribly sorry, Master Raku.\I had crafted this for you, but due to my carelessness, it is now in pieces.\I'm sorry... I got so carried away! response:	I'll make you another one and bring it in at a later date, so will you please accept it then?
context: Wh-What happened here?\What should I do? This is all my fault!\If only I hadn't run off like that...\Well, now, Master Raku.\I am terribly sorry, Master Raku.\I had crafted this for you, but due to my carelessness, it is now in pieces.\I'm sorry... I got so carried away!\I'll make you another one and bring it in at a later date, so will you please accept it then? response:	I feel like my heart's about to shatter...
context: What should I do? This is all my fault!\If only I hadn't run off like that...\Well, now, Master Raku.\I am terribly sorry, Master Raku.\I had crafted this for you, but due to my carelessness, it is now in pieces.\I'm sorry... I got so carried away!\I'll make you another one and bring it in at a later date, so will you please accept it then?\I feel like my heart's about to shatter... response:	Sorry! Sorry, Tachibana! What the hell did I do?
context: If only I hadn't run off like that...\Well, now, Master Raku.\I am terribly sorry, Master Raku.\I had crafted this for you, but due to my carelessness, it is now in pieces.\I'm sorry... I got so carried away!\I'll make you another one and bring it in at a later date, so will you please accept it then?\I feel like my heart's about to shatter...\Sorry! Sorry, Tachibana! What the hell did I do? response:	Look at this epic hunk of chocolate that Tachibana made for me...
context: Well, now, Master Raku.\I am terribly sorry, Master Raku.\I had crafted this for you, but due to my carelessness, it is now in pieces.\I'm sorry... I got so carried away!\I'll make you another one and bring it in at a later date, so will you please accept it then?\I feel like my heart's about to shatter...\Sorry! Sorry, Tachibana! What the hell did I do?\Look at this epic hunk of chocolate that Tachibana made for me... response:	And yet I...
context: I am terribly sorry, Master Raku.\I had crafted this for you, but due to my carelessness, it is now in pieces.\I'm sorry... I got so carried away!\I'll make you another one and bring it in at a later date, so will you please accept it then?\I feel like my heart's about to shatter...\Sorry! Sorry, Tachibana! What the hell did I do?\Look at this epic hunk of chocolate that Tachibana made for me...\And yet I... response:	Sorry!
context: I had crafted this for you, but due to my carelessness, it is now in pieces.\I'm sorry... I got so carried away!\I'll make you another one and bring it in at a later date, so will you please accept it then?\I feel like my heart's about to shatter...\Sorry! Sorry, Tachibana! What the hell did I do?\Look at this epic hunk of chocolate that Tachibana made for me...\And yet I...\Sorry! response:	Tachibana!
context: I'm sorry... I got so carried away!\I'll make you another one and bring it in at a later date, so will you please accept it then?\I feel like my heart's about to shatter...\Sorry! Sorry, Tachibana! What the hell did I do?\Look at this epic hunk of chocolate that Tachibana made for me...\And yet I...\Sorry!\Tachibana! response:	Oh, no, you mustn't, Master Raku!
context: I'll make you another one and bring it in at a later date, so will you please accept it then?\I feel like my heart's about to shatter...\Sorry! Sorry, Tachibana! What the hell did I do?\Look at this epic hunk of chocolate that Tachibana made for me...\And yet I...\Sorry!\Tachibana!\Oh, no, you mustn't, Master Raku! response:	Putting something so soiled into your mouth...
context: I feel like my heart's about to shatter...\Sorry! Sorry, Tachibana! What the hell did I do?\Look at this epic hunk of chocolate that Tachibana made for me...\And yet I...\Sorry!\Tachibana!\Oh, no, you mustn't, Master Raku!\Putting something so soiled into your mouth... response:	Just let me eat it, Tachibana! Otherwise, I can never rest easy!
context: Sorry! Sorry, Tachibana! What the hell did I do?\Look at this epic hunk of chocolate that Tachibana made for me...\And yet I...\Sorry!\Tachibana!\Oh, no, you mustn't, Master Raku!\Putting something so soiled into your mouth...\Just let me eat it, Tachibana! Otherwise, I can never rest easy! response:	I really am sorry about this.
context: Look at this epic hunk of chocolate that Tachibana made for me...\And yet I...\Sorry!\Tachibana!\Oh, no, you mustn't, Master Raku!\Putting something so soiled into your mouth...\Just let me eat it, Tachibana! Otherwise, I can never rest easy!\I really am sorry about this. response:	Oh, no! Of course I'm happy that you feel that way,
context: And yet I...\Sorry!\Tachibana!\Oh, no, you mustn't, Master Raku!\Putting something so soiled into your mouth...\Just let me eat it, Tachibana! Otherwise, I can never rest easy!\I really am sorry about this.\Oh, no! Of course I'm happy that you feel that way, response:	but if you go on, it will surely upset your stomach!
context: Sorry!\Tachibana!\Oh, no, you mustn't, Master Raku!\Putting something so soiled into your mouth...\Just let me eat it, Tachibana! Otherwise, I can never rest easy!\I really am sorry about this.\Oh, no! Of course I'm happy that you feel that way,\but if you go on, it will surely upset your stomach! response:	Your health is more important to me...
context: Tachibana!\Oh, no, you mustn't, Master Raku!\Putting something so soiled into your mouth...\Just let me eat it, Tachibana! Otherwise, I can never rest easy!\I really am sorry about this.\Oh, no! Of course I'm happy that you feel that way,\but if you go on, it will surely upset your stomach!\Your health is more important to me... response:	No. No good! Just let me eat this, okay?
context: Oh, no, you mustn't, Master Raku!\Putting something so soiled into your mouth...\Just let me eat it, Tachibana! Otherwise, I can never rest easy!\I really am sorry about this.\Oh, no! Of course I'm happy that you feel that way,\but if you go on, it will surely upset your stomach!\Your health is more important to me...\No. No good! Just let me eat this, okay? response:	Very well. If you insist...
context: Putting something so soiled into your mouth...\Just let me eat it, Tachibana! Otherwise, I can never rest easy!\I really am sorry about this.\Oh, no! Of course I'm happy that you feel that way,\but if you go on, it will surely upset your stomach!\Your health is more important to me...\No. No good! Just let me eat this, okay?\Very well. If you insist... response:	What do you say to this?
context: Just let me eat it, Tachibana! Otherwise, I can never rest easy!\I really am sorry about this.\Oh, no! Of course I'm happy that you feel that way,\but if you go on, it will surely upset your stomach!\Your health is more important to me...\No. No good! Just let me eat this, okay?\Very well. If you insist...\What do you say to this? response:	To make up for today's chocolate incident,
context: I really am sorry about this.\Oh, no! Of course I'm happy that you feel that way,\but if you go on, it will surely upset your stomach!\Your health is more important to me...\No. No good! Just let me eat this, okay?\Very well. If you insist...\What do you say to this?\To make up for today's chocolate incident, response:	will you grant me any wish of my choosing - just one?
context: Oh, no! Of course I'm happy that you feel that way,\but if you go on, it will surely upset your stomach!\Your health is more important to me...\No. No good! Just let me eat this, okay?\Very well. If you insist...\What do you say to this?\To make up for today's chocolate incident,\will you grant me any wish of my choosing - just one? response:	If you agree, I'll just let this go, all right?
context: but if you go on, it will surely upset your stomach!\Your health is more important to me...\No. No good! Just let me eat this, okay?\Very well. If you insist...\What do you say to this?\To make up for today's chocolate incident,\will you grant me any wish of my choosing - just one?\If you agree, I'll just let this go, all right? response:	And Master Raku, please feel free to forget about this chocolate!
context: Your health is more important to me...\No. No good! Just let me eat this, okay?\Very well. If you insist...\What do you say to this?\To make up for today's chocolate incident,\will you grant me any wish of my choosing - just one?\If you agree, I'll just let this go, all right?\And Master Raku, please feel free to forget about this chocolate! response:	What do you think?
