context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: I want you to tell the world I am here!\I told him that even though I knew it'd be unreasonable.\It doesn't matter if it's close!\Just get to the next round!\Hey, hey! The first barrier's a piece of cake?\Then what about the second?\If you fall, you're out!\If you don't wanna fall, then crawl! response:	It's The Fall!
context: I told him that even though I knew it'd be unreasonable.\It doesn't matter if it's close!\Just get to the next round!\Hey, hey! The first barrier's a piece of cake?\Then what about the second?\If you fall, you're out!\If you don't wanna fall, then crawl!\It's The Fall! response:	When did they build this stage?
context: It doesn't matter if it's close!\Just get to the next round!\Hey, hey! The first barrier's a piece of cake?\Then what about the second?\If you fall, you're out!\If you don't wanna fall, then crawl!\It's The Fall!\When did they build this stage? response:	Tsu?
context: Just get to the next round!\Hey, hey! The first barrier's a piece of cake?\Then what about the second?\If you fall, you're out!\If you don't wanna fall, then crawl!\It's The Fall!\When did they build this stage?\Tsu? response:	Ribbit!
context: Hey, hey! The first barrier's a piece of cake?\Then what about the second?\If you fall, you're out!\If you don't wanna fall, then crawl!\It's The Fall!\When did they build this stage?\Tsu?\Ribbit! response:	Ribbit.
context: Then what about the second?\If you fall, you're out!\If you don't wanna fall, then crawl!\It's The Fall!\When did they build this stage?\Tsu?\Ribbit!\Ribbit. response:	This is like a glorified tight rope.
context: If you fall, you're out!\If you don't wanna fall, then crawl!\It's The Fall!\When did they build this stage?\Tsu?\Ribbit!\Ribbit.\This is like a glorified tight rope. response:	She's fast!
context: If you don't wanna fall, then crawl!\It's The Fall!\When did they build this stage?\Tsu?\Ribbit!\Ribbit.\This is like a glorified tight rope.\She's fast! response:	Glitter.
context: It's The Fall!\When did they build this stage?\Tsu?\Ribbit!\Ribbit.\This is like a glorified tight rope.\She's fast!\Glitter. response:	Here it is! Here's my chance to show off!
context: When did they build this stage?\Tsu?\Ribbit!\Ribbit.\This is like a glorified tight rope.\She's fast!\Glitter.\Here it is! Here's my chance to show off! response:	It's time for my support items to be in the limelight!
context: Tsu?\Ribbit!\Ribbit.\This is like a glorified tight rope.\She's fast!\Glitter.\Here it is! Here's my chance to show off!\It's time for my support items to be in the limelight! response:	heh heh heh heh heh
context: Ribbit!\Ribbit.\This is like a glorified tight rope.\She's fast!\Glitter.\Here it is! Here's my chance to show off!\It's time for my support items to be in the limelight!\heh heh heh heh heh response:	Look, all you support companies across the country!
context: Ribbit.\This is like a glorified tight rope.\She's fast!\Glitter.\Here it is! Here's my chance to show off!\It's time for my support items to be in the limelight!\heh heh heh heh heh\Look, all you support companies across the country! response:	Wire arrows and... hover soles! Glitter!
context: This is like a glorified tight rope.\She's fast!\Glitter.\Here it is! Here's my chance to show off!\It's time for my support items to be in the limelight!\heh heh heh heh heh\Look, all you support companies across the country!\Wire arrows and... hover soles! Glitter! response:	You're from the support course?
context: She's fast!\Glitter.\Here it is! Here's my chance to show off!\It's time for my support items to be in the limelight!\heh heh heh heh heh\Look, all you support companies across the country!\Wire arrows and... hover soles! Glitter!\You're from the support course? response:	What? It's okay to bring in items?
context: Glitter.\Here it is! Here's my chance to show off!\It's time for my support items to be in the limelight!\heh heh heh heh heh\Look, all you support companies across the country!\Wire arrows and... hover soles! Glitter!\You're from the support course?\What? It's okay to bring in items? response:	The hero course undergoes combat training regularly, right?
context: Here it is! Here's my chance to show off!\It's time for my support items to be in the limelight!\heh heh heh heh heh\Look, all you support companies across the country!\Wire arrows and... hover soles! Glitter!\You're from the support course?\What? It's okay to bring in items?\The hero course undergoes combat training regularly, right? response:	In order to keep things fair,
context: It's time for my support items to be in the limelight!\heh heh heh heh heh\Look, all you support companies across the country!\Wire arrows and... hover soles! Glitter!\You're from the support course?\What? It's okay to bring in items?\The hero course undergoes combat training regularly, right?\In order to keep things fair, response:	we are allow to equip items and costumes,
context: heh heh heh heh heh\Look, all you support companies across the country!\Wire arrows and... hover soles! Glitter!\You're from the support course?\What? It's okay to bring in items?\The hero course undergoes combat training regularly, right?\In order to keep things fair,\we are allow to equip items and costumes, response:	as long as we developed them ourselves!
context: Look, all you support companies across the country!\Wire arrows and... hover soles! Glitter!\You're from the support course?\What? It's okay to bring in items?\The hero course undergoes combat training regularly, right?\In order to keep things fair,\we are allow to equip items and costumes,\as long as we developed them ourselves! response:	Or perhaps I should say...
context: Wire arrows and... hover soles! Glitter!\You're from the support course?\What? It's okay to bring in items?\The hero course undergoes combat training regularly, right?\In order to keep things fair,\we are allow to equip items and costumes,\as long as we developed them ourselves!\Or perhaps I should say... response:	this is the place where we can show off our ideas and skills to companies!
context: You're from the support course?\What? It's okay to bring in items?\The hero course undergoes combat training regularly, right?\In order to keep things fair,\we are allow to equip items and costumes,\as long as we developed them ourselves!\Or perhaps I should say...\this is the place where we can show off our ideas and skills to companies! response:	Come, take a look, all you companies! Especially the big ones!
context: What? It's okay to bring in items?\The hero course undergoes combat training regularly, right?\In order to keep things fair,\we are allow to equip items and costumes,\as long as we developed them ourselves!\Or perhaps I should say...\this is the place where we can show off our ideas and skills to companies!\Come, take a look, all you companies! Especially the big ones! response:	Look at my super cute babies!
context: The hero course undergoes combat training regularly, right?\In order to keep things fair,\we are allow to equip items and costumes,\as long as we developed them ourselves!\Or perhaps I should say...\this is the place where we can show off our ideas and skills to companies!\Come, take a look, all you companies! Especially the big ones!\Look at my super cute babies! response:	Wow.
context: In order to keep things fair,\we are allow to equip items and costumes,\as long as we developed them ourselves!\Or perhaps I should say...\this is the place where we can show off our ideas and skills to companies!\Come, take a look, all you companies! Especially the big ones!\Look at my super cute babies!\Wow. response:	That's so annoying...
context: we are allow to equip items and costumes,\as long as we developed them ourselves!\Or perhaps I should say...\this is the place where we can show off our ideas and skills to companies!\Come, take a look, all you companies! Especially the big ones!\Look at my super cute babies!\Wow.\That's so annoying... response:	I can't lose!
context: as long as we developed them ourselves!\Or perhaps I should say...\this is the place where we can show off our ideas and skills to companies!\Come, take a look, all you companies! Especially the big ones!\Look at my super cute babies!\Wow.\That's so annoying...\I can't lose! response:	That's some misplaced equality!
context: Or perhaps I should say...\this is the place where we can show off our ideas and skills to companies!\Come, take a look, all you companies! Especially the big ones!\Look at my super cute babies!\Wow.\That's so annoying...\I can't lose!\That's some misplaced equality! response:	Nice...
context: this is the place where we can show off our ideas and skills to companies!\Come, take a look, all you companies! Especially the big ones!\Look at my super cute babies!\Wow.\That's so annoying...\I can't lose!\That's some misplaced equality!\Nice... response:	A lot of different people are working hard for their chance, huh, Eraser Head?
context: Come, take a look, all you companies! Especially the big ones!\Look at my super cute babies!\Wow.\That's so annoying...\I can't lose!\That's some misplaced equality!\Nice...\A lot of different people are working hard for their chance, huh, Eraser Head? response:	What are you idiots stopping for?
context: Look at my super cute babies!\Wow.\That's so annoying...\I can't lose!\That's some misplaced equality!\Nice...\A lot of different people are working hard for their chance, huh, Eraser Head?\What are you idiots stopping for? response:	And now, the leader of the pack is easily getting through first!
context: Wow.\That's so annoying...\I can't lose!\That's some misplaced equality!\Nice...\A lot of different people are working hard for their chance, huh, Eraser Head?\What are you idiots stopping for?\And now, the leader of the pack is easily getting through first! response:	Looks like he's getting fired up. A slow starter?
context: That's so annoying...\I can't lose!\That's some misplaced equality!\Nice...\A lot of different people are working hard for their chance, huh, Eraser Head?\What are you idiots stopping for?\And now, the leader of the pack is easily getting through first!\Looks like he's getting fired up. A slow starter? response:	Damn it!
context: I can't lose!\That's some misplaced equality!\Nice...\A lot of different people are working hard for their chance, huh, Eraser Head?\What are you idiots stopping for?\And now, the leader of the pack is easily getting through first!\Looks like he's getting fired up. A slow starter?\Damn it! response:	My older brother is probably also watching.
context: That's some misplaced equality!\Nice...\A lot of different people are working hard for their chance, huh, Eraser Head?\What are you idiots stopping for?\And now, the leader of the pack is easily getting through first!\Looks like he's getting fired up. A slow starter?\Damn it!\My older brother is probably also watching. response:	I can't let him see me act uncool!
context: Nice...\A lot of different people are working hard for their chance, huh, Eraser Head?\What are you idiots stopping for?\And now, the leader of the pack is easily getting through first!\Looks like he's getting fired up. A slow starter?\Damn it!\My older brother is probably also watching.\I can't let him see me act uncool! response:	That's so uncool!
context: A lot of different people are working hard for their chance, huh, Eraser Head?\What are you idiots stopping for?\And now, the leader of the pack is easily getting through first!\Looks like he's getting fired up. A slow starter?\Damn it!\My older brother is probably also watching.\I can't let him see me act uncool!\That's so uncool! response:	That guy in first place is way ahead!
context: What are you idiots stopping for?\And now, the leader of the pack is easily getting through first!\Looks like he's getting fired up. A slow starter?\Damn it!\My older brother is probably also watching.\I can't let him see me act uncool!\That's so uncool!\That guy in first place is way ahead! response:	His Quirk is really strong,
context: And now, the leader of the pack is easily getting through first!\Looks like he's getting fired up. A slow starter?\Damn it!\My older brother is probably also watching.\I can't let him see me act uncool!\That's so uncool!\That guy in first place is way ahead!\His Quirk is really strong, response:	but his natural athletic ability and judgment are also a cut above everyone else's.
context: Looks like he's getting fired up. A slow starter?\Damn it!\My older brother is probably also watching.\I can't let him see me act uncool!\That's so uncool!\That guy in first place is way ahead!\His Quirk is really strong,\but his natural athletic ability and judgment are also a cut above everyone else's. response:	Of course it is. That's the Flame Hero, Endeavor's son.
context: Damn it!\My older brother is probably also watching.\I can't let him see me act uncool!\That's so uncool!\That guy in first place is way ahead!\His Quirk is really strong,\but his natural athletic ability and judgment are also a cut above everyone else's.\Of course it is. That's the Flame Hero, Endeavor's son. response:	No wonder! The blood of the guy second only to All Might, huh?
context: My older brother is probably also watching.\I can't let him see me act uncool!\That's so uncool!\That guy in first place is way ahead!\His Quirk is really strong,\but his natural athletic ability and judgment are also a cut above everyone else's.\Of course it is. That's the Flame Hero, Endeavor's son.\No wonder! The blood of the guy second only to All Might, huh? response:	There'll be fighting over who gets him as a sidekick!
context: I can't let him see me act uncool!\That's so uncool!\That guy in first place is way ahead!\His Quirk is really strong,\but his natural athletic ability and judgment are also a cut above everyone else's.\Of course it is. That's the Flame Hero, Endeavor's son.\No wonder! The blood of the guy second only to All Might, huh?\There'll be fighting over who gets him as a sidekick! response:	The lead pack is a step ahead, but below them, everyone's clumped together!
context: That's so uncool!\That guy in first place is way ahead!\His Quirk is really strong,\but his natural athletic ability and judgment are also a cut above everyone else's.\Of course it is. That's the Flame Hero, Endeavor's son.\No wonder! The blood of the guy second only to All Might, huh?\There'll be fighting over who gets him as a sidekick!\The lead pack is a step ahead, but below them, everyone's clumped together! response:	They haven't announced how many people will make it through,
context: That guy in first place is way ahead!\His Quirk is really strong,\but his natural athletic ability and judgment are also a cut above everyone else's.\Of course it is. That's the Flame Hero, Endeavor's son.\No wonder! The blood of the guy second only to All Might, huh?\There'll be fighting over who gets him as a sidekick!\The lead pack is a step ahead, but below them, everyone's clumped together!\They haven't announced how many people will make it through, response:	so you can't relax! Push forward!
context: His Quirk is really strong,\but his natural athletic ability and judgment are also a cut above everyone else's.\Of course it is. That's the Flame Hero, Endeavor's son.\No wonder! The blood of the guy second only to All Might, huh?\There'll be fighting over who gets him as a sidekick!\The lead pack is a step ahead, but below them, everyone's clumped together!\They haven't announced how many people will make it through,\so you can't relax! Push forward! response:	Izuku...
context: but his natural athletic ability and judgment are also a cut above everyone else's.\Of course it is. That's the Flame Hero, Endeavor's son.\No wonder! The blood of the guy second only to All Might, huh?\There'll be fighting over who gets him as a sidekick!\The lead pack is a step ahead, but below them, everyone's clumped together!\They haven't announced how many people will make it through,\so you can't relax! Push forward!\Izuku... response:	And now, we've quickly arrived at the final barrier!
context: Of course it is. That's the Flame Hero, Endeavor's son.\No wonder! The blood of the guy second only to All Might, huh?\There'll be fighting over who gets him as a sidekick!\The lead pack is a step ahead, but below them, everyone's clumped together!\They haven't announced how many people will make it through,\so you can't relax! Push forward!\Izuku...\And now, we've quickly arrived at the final barrier! response:	The reality here is...
context: No wonder! The blood of the guy second only to All Might, huh?\There'll be fighting over who gets him as a sidekick!\The lead pack is a step ahead, but below them, everyone's clumped together!\They haven't announced how many people will make it through,\so you can't relax! Push forward!\Izuku...\And now, we've quickly arrived at the final barrier!\The reality here is... response:	It's set up so that you can tell where the mines are if you look carefully!
context: There'll be fighting over who gets him as a sidekick!\The lead pack is a step ahead, but below them, everyone's clumped together!\They haven't announced how many people will make it through,\so you can't relax! Push forward!\Izuku...\And now, we've quickly arrived at the final barrier!\The reality here is...\It's set up so that you can tell where the mines are if you look carefully! response:	So you have to exploit your eyes and legs!
context: The lead pack is a step ahead, but below them, everyone's clumped together!\They haven't announced how many people will make it through,\so you can't relax! Push forward!\Izuku...\And now, we've quickly arrived at the final barrier!\The reality here is...\It's set up so that you can tell where the mines are if you look carefully!\So you have to exploit your eyes and legs! response:	By the way, these landmines are for games, so they're not that powerful,
context: They haven't announced how many people will make it through,\so you can't relax! Push forward!\Izuku...\And now, we've quickly arrived at the final barrier!\The reality here is...\It's set up so that you can tell where the mines are if you look carefully!\So you have to exploit your eyes and legs!\By the way, these landmines are for games, so they're not that powerful, response:	but they're loud and flashy enough to make you wet your pants!
context: so you can't relax! Push forward!\Izuku...\And now, we've quickly arrived at the final barrier!\The reality here is...\It's set up so that you can tell where the mines are if you look carefully!\So you have to exploit your eyes and legs!\By the way, these landmines are for games, so they're not that powerful,\but they're loud and flashy enough to make you wet your pants! response:	That depends on the person.
context: Izuku...\And now, we've quickly arrived at the final barrier!\The reality here is...\It's set up so that you can tell where the mines are if you look carefully!\So you have to exploit your eyes and legs!\By the way, these landmines are for games, so they're not that powerful,\but they're loud and flashy enough to make you wet your pants!\That depends on the person. response:	First place is already there?
context: And now, we've quickly arrived at the final barrier!\The reality here is...\It's set up so that you can tell where the mines are if you look carefully!\So you have to exploit your eyes and legs!\By the way, these landmines are for games, so they're not that powerful,\but they're loud and flashy enough to make you wet your pants!\That depends on the person.\First place is already there? response:	Faster... Faster...!
context: The reality here is...\It's set up so that you can tell where the mines are if you look carefully!\So you have to exploit your eyes and legs!\By the way, these landmines are for games, so they're not that powerful,\but they're loud and flashy enough to make you wet your pants!\That depends on the person.\First place is already there?\Faster... Faster...! response:	I see. This is an obstacle that puts those in the lead at a disadvantage.
context: It's set up so that you can tell where the mines are if you look carefully!\So you have to exploit your eyes and legs!\By the way, these landmines are for games, so they're not that powerful,\but they're loud and flashy enough to make you wet your pants!\That depends on the person.\First place is already there?\Faster... Faster...!\I see. This is an obstacle that puts those in the lead at a disadvantage. response:	Trying to make it entertaining, huh?
context: So you have to exploit your eyes and legs!\By the way, these landmines are for games, so they're not that powerful,\but they're loud and flashy enough to make you wet your pants!\That depends on the person.\First place is already there?\Faster... Faster...!\I see. This is an obstacle that puts those in the lead at a disadvantage.\Trying to make it entertaining, huh? response:	This doesn't affect me!
context: By the way, these landmines are for games, so they're not that powerful,\but they're loud and flashy enough to make you wet your pants!\That depends on the person.\First place is already there?\Faster... Faster...!\I see. This is an obstacle that puts those in the lead at a disadvantage.\Trying to make it entertaining, huh?\This doesn't affect me! response:	Bastard, don't declare war to the wrong person!
context: but they're loud and flashy enough to make you wet your pants!\That depends on the person.\First place is already there?\Faster... Faster...!\I see. This is an obstacle that puts those in the lead at a disadvantage.\Trying to make it entertaining, huh?\This doesn't affect me!\Bastard, don't declare war to the wrong person! response:	And now, we've got someone new in the lead!
context: That depends on the person.\First place is already there?\Faster... Faster...!\I see. This is an obstacle that puts those in the lead at a disadvantage.\Trying to make it entertaining, huh?\This doesn't affect me!\Bastard, don't declare war to the wrong person!\And now, we've got someone new in the lead! response:	Rejoice, mass media! It's the kind of development you guys love!
context: First place is already there?\Faster... Faster...!\I see. This is an obstacle that puts those in the lead at a disadvantage.\Trying to make it entertaining, huh?\This doesn't affect me!\Bastard, don't declare war to the wrong person!\And now, we've got someone new in the lead!\Rejoice, mass media! It's the kind of development you guys love! response:	Hey, hey, hey, the rest of the pack is also speeding up!
context: Faster... Faster...!\I see. This is an obstacle that puts those in the lead at a disadvantage.\Trying to make it entertaining, huh?\This doesn't affect me!\Bastard, don't declare war to the wrong person!\And now, we've got someone new in the lead!\Rejoice, mass media! It's the kind of development you guys love!\Hey, hey, hey, the rest of the pack is also speeding up! response:	However!
context: I see. This is an obstacle that puts those in the lead at a disadvantage.\Trying to make it entertaining, huh?\This doesn't affect me!\Bastard, don't declare war to the wrong person!\And now, we've got someone new in the lead!\Rejoice, mass media! It's the kind of development you guys love!\Hey, hey, hey, the rest of the pack is also speeding up!\However! response:	Even as they push and pull at each other, can the two at the top remain in the lead?
context: Trying to make it entertaining, huh?\This doesn't affect me!\Bastard, don't declare war to the wrong person!\And now, we've got someone new in the lead!\Rejoice, mass media! It's the kind of development you guys love!\Hey, hey, hey, the rest of the pack is also speeding up!\However!\Even as they push and pull at each other, can the two at the top remain in the lead? response:	It... It's far...!
context: This doesn't affect me!\Bastard, don't declare war to the wrong person!\And now, we've got someone new in the lead!\Rejoice, mass media! It's the kind of development you guys love!\Hey, hey, hey, the rest of the pack is also speeding up!\However!\Even as they push and pull at each other, can the two at the top remain in the lead?\It... It's far...! response:	But there's still stuff I have to do!
context: Bastard, don't declare war to the wrong person!\And now, we've got someone new in the lead!\Rejoice, mass media! It's the kind of development you guys love!\Hey, hey, hey, the rest of the pack is also speeding up!\However!\Even as they push and pull at each other, can the two at the top remain in the lead?\It... It's far...!\But there's still stuff I have to do! response:	Boom
context: And now, we've got someone new in the lead!\Rejoice, mass media! It's the kind of development you guys love!\Hey, hey, hey, the rest of the pack is also speeding up!\However!\Even as they push and pull at each other, can the two at the top remain in the lead?\It... It's far...!\But there's still stuff I have to do!\Boom response:	I'm gonna borrow your idea, Kacchan!
context: Rejoice, mass media! It's the kind of development you guys love!\Hey, hey, hey, the rest of the pack is also speeding up!\However!\Even as they push and pull at each other, can the two at the top remain in the lead?\It... It's far...!\But there's still stuff I have to do!\Boom\I'm gonna borrow your idea, Kacchan! response:	There's a huge explosion at the back?!
context: Hey, hey, hey, the rest of the pack is also speeding up!\However!\Even as they push and pull at each other, can the two at the top remain in the lead?\It... It's far...!\But there's still stuff I have to do!\Boom\I'm gonna borrow your idea, Kacchan!\There's a huge explosion at the back?! response:	What's with that force?!
context: However!\Even as they push and pull at each other, can the two at the top remain in the lead?\It... It's far...!\But there's still stuff I have to do!\Boom\I'm gonna borrow your idea, Kacchan!\There's a huge explosion at the back?!\What's with that force?! response:	What?!
context: Even as they push and pull at each other, can the two at the top remain in the lead?\It... It's far...!\But there's still stuff I have to do!\Boom\I'm gonna borrow your idea, Kacchan!\There's a huge explosion at the back?!\What's with that force?!\What?! response:	Was it an accident, or did he do it on purpose?
context: It... It's far...!\But there's still stuff I have to do!\Boom\I'm gonna borrow your idea, Kacchan!\There's a huge explosion at the back?!\What's with that force?!\What?!\Was it an accident, or did he do it on purpose? response:	Class A's Midoriya is in hot pursuit with that blast!
context: But there's still stuff I have to do!\Boom\I'm gonna borrow your idea, Kacchan!\There's a huge explosion at the back?!\What's with that force?!\What?!\Was it an accident, or did he do it on purpose?\Class A's Midoriya is in hot pursuit with that blast! response:	Landmines used for games...
context: Boom\I'm gonna borrow your idea, Kacchan!\There's a huge explosion at the back?!\What's with that force?!\What?!\Was it an accident, or did he do it on purpose?\Class A's Midoriya is in hot pursuit with that blast!\Landmines used for games... response:	The type with fuses that go off if you step on them.
context: I'm gonna borrow your idea, Kacchan!\There's a huge explosion at the back?!\What's with that force?!\What?!\Was it an accident, or did he do it on purpose?\Class A's Midoriya is in hot pursuit with that blast!\Landmines used for games...\The type with fuses that go off if you step on them. response:	They're not that powerful,
context: There's a huge explosion at the back?!\What's with that force?!\What?!\Was it an accident, or did he do it on purpose?\Class A's Midoriya is in hot pursuit with that blast!\Landmines used for games...\The type with fuses that go off if you step on them.\They're not that powerful, response:	but if I lose my balance and set off a bunch of them,
context: What's with that force?!\What?!\Was it an accident, or did he do it on purpose?\Class A's Midoriya is in hot pursuit with that blast!\Landmines used for games...\The type with fuses that go off if you step on them.\They're not that powerful,\but if I lose my balance and set off a bunch of them, response:	I'll lose a lot of time.
context: What?!\Was it an accident, or did he do it on purpose?\Class A's Midoriya is in hot pursuit with that blast!\Landmines used for games...\The type with fuses that go off if you step on them.\They're not that powerful,\but if I lose my balance and set off a bunch of them,\I'll lose a lot of time. response:	If I take injuries and stamina into account,
context: Was it an accident, or did he do it on purpose?\Class A's Midoriya is in hot pursuit with that blast!\Landmines used for games...\The type with fuses that go off if you step on them.\They're not that powerful,\but if I lose my balance and set off a bunch of them,\I'll lose a lot of time.\If I take injuries and stamina into account, response:	it'd be better to slow down and avoid them.
context: Class A's Midoriya is in hot pursuit with that blast!\Landmines used for games...\The type with fuses that go off if you step on them.\They're not that powerful,\but if I lose my balance and set off a bunch of them,\I'll lose a lot of time.\If I take injuries and stamina into account,\it'd be better to slow down and avoid them. response:	The jumpers can't jump carelessly either,
context: Landmines used for games...\The type with fuses that go off if you step on them.\They're not that powerful,\but if I lose my balance and set off a bunch of them,\I'll lose a lot of time.\If I take injuries and stamina into account,\it'd be better to slow down and avoid them.\The jumpers can't jump carelessly either, response:	and the further ahead you are, the more landmines you'll have to avoid.
context: The type with fuses that go off if you step on them.\They're not that powerful,\but if I lose my balance and set off a bunch of them,\I'll lose a lot of time.\If I take injuries and stamina into account,\it'd be better to slow down and avoid them.\The jumpers can't jump carelessly either,\and the further ahead you are, the more landmines you'll have to avoid. response:	They probably can't go very fast with all the obstacles.
context: They're not that powerful,\but if I lose my balance and set off a bunch of them,\I'll lose a lot of time.\If I take injuries and stamina into account,\it'd be better to slow down and avoid them.\The jumpers can't jump carelessly either,\and the further ahead you are, the more landmines you'll have to avoid.\They probably can't go very fast with all the obstacles. response:	Look carefully!
context: but if I lose my balance and set off a bunch of them,\I'll lose a lot of time.\If I take injuries and stamina into account,\it'd be better to slow down and avoid them.\The jumpers can't jump carelessly either,\and the further ahead you are, the more landmines you'll have to avoid.\They probably can't go very fast with all the obstacles.\Look carefully! response:	The places where those in front avoided...
context: I'll lose a lot of time.\If I take injuries and stamina into account,\it'd be better to slow down and avoid them.\The jumpers can't jump carelessly either,\and the further ahead you are, the more landmines you'll have to avoid.\They probably can't go very fast with all the obstacles.\Look carefully!\The places where those in front avoided... response:	Everyone was the most careful around the entrance.
context: If I take injuries and stamina into account,\it'd be better to slow down and avoid them.\The jumpers can't jump carelessly either,\and the further ahead you are, the more landmines you'll have to avoid.\They probably can't go very fast with all the obstacles.\Look carefully!\The places where those in front avoided...\Everyone was the most careful around the entrance. response:	There are a lot of landmines left.
context: it'd be better to slow down and avoid them.\The jumpers can't jump carelessly either,\and the further ahead you are, the more landmines you'll have to avoid.\They probably can't go very fast with all the obstacles.\Look carefully!\The places where those in front avoided...\Everyone was the most careful around the entrance.\There are a lot of landmines left. response:	It'll be fine.
context: The jumpers can't jump carelessly either,\and the further ahead you are, the more landmines you'll have to avoid.\They probably can't go very fast with all the obstacles.\Look carefully!\The places where those in front avoided...\Everyone was the most careful around the entrance.\There are a lot of landmines left.\It'll be fine. response:	-What's Midoriya doing? -Don't be impatient here!
context: and the further ahead you are, the more landmines you'll have to avoid.\They probably can't go very fast with all the obstacles.\Look carefully!\The places where those in front avoided...\Everyone was the most careful around the entrance.\There are a lot of landmines left.\It'll be fine.\-What's Midoriya doing? -Don't be impatient here! response:	In the lead are Bakugo and Todoroki!
context: They probably can't go very fast with all the obstacles.\Look carefully!\The places where those in front avoided...\Everyone was the most careful around the entrance.\There are a lot of landmines left.\It'll be fine.\-What's Midoriya doing? -Don't be impatient here!\In the lead are Bakugo and Todoroki! response:	They'll get through the last barrier soon!
context: Look carefully!\The places where those in front avoided...\Everyone was the most careful around the entrance.\There are a lot of landmines left.\It'll be fine.\-What's Midoriya doing? -Don't be impatient here!\In the lead are Bakugo and Todoroki!\They'll get through the last barrier soon! response:	All right.
context: The places where those in front avoided...\Everyone was the most careful around the entrance.\There are a lot of landmines left.\It'll be fine.\-What's Midoriya doing? -Don't be impatient here!\In the lead are Bakugo and Todoroki!\They'll get through the last barrier soon!\All right. response:	I'm gonna borrow your idea, Kacchan!
context: Everyone was the most careful around the entrance.\There are a lot of landmines left.\It'll be fine.\-What's Midoriya doing? -Don't be impatient here!\In the lead are Bakugo and Todoroki!\They'll get through the last barrier soon!\All right.\I'm gonna borrow your idea, Kacchan! response:	Super explosive speed turbo!
context: There are a lot of landmines left.\It'll be fine.\-What's Midoriya doing? -Don't be impatient here!\In the lead are Bakugo and Todoroki!\They'll get through the last barrier soon!\All right.\I'm gonna borrow your idea, Kacchan!\Super explosive speed turbo! response:	That's...!
context: It'll be fine.\-What's Midoriya doing? -Don't be impatient here!\In the lead are Bakugo and Todoroki!\They'll get through the last barrier soon!\All right.\I'm gonna borrow your idea, Kacchan!\Super explosive speed turbo!\That's...! response:	Class A's Midoriya is in hot pursuit with that blast!
context: -What's Midoriya doing? -Don't be impatient here!\In the lead are Bakugo and Todoroki!\They'll get through the last barrier soon!\All right.\I'm gonna borrow your idea, Kacchan!\Super explosive speed turbo!\That's...!\Class A's Midoriya is in hot pursuit with that blast! response:	Actually, he's taken the lead!
context: In the lead are Bakugo and Todoroki!\They'll get through the last barrier soon!\All right.\I'm gonna borrow your idea, Kacchan!\Super explosive speed turbo!\That's...!\Class A's Midoriya is in hot pursuit with that blast!\Actually, he's taken the lead! response:	I flew just like I'd planned,
context: They'll get through the last barrier soon!\All right.\I'm gonna borrow your idea, Kacchan!\Super explosive speed turbo!\That's...!\Class A's Midoriya is in hot pursuit with that blast!\Actually, he's taken the lead!\I flew just like I'd planned, response:	but there's so much force!
context: All right.\I'm gonna borrow your idea, Kacchan!\Super explosive speed turbo!\That's...!\Class A's Midoriya is in hot pursuit with that blast!\Actually, he's taken the lead!\I flew just like I'd planned,\but there's so much force! response:	And...
context: I'm gonna borrow your idea, Kacchan!\Super explosive speed turbo!\That's...!\Class A's Midoriya is in hot pursuit with that blast!\Actually, he's taken the lead!\I flew just like I'd planned,\but there's so much force!\And... response:	I didn't think about landing!
context: Super explosive speed turbo!\That's...!\Class A's Midoriya is in hot pursuit with that blast!\Actually, he's taken the lead!\I flew just like I'd planned,\but there's so much force!\And...\I didn't think about landing! response:	Deku!
context: That's...!\Class A's Midoriya is in hot pursuit with that blast!\Actually, he's taken the lead!\I flew just like I'd planned,\but there's so much force!\And...\I didn't think about landing!\Deku! response:	Don't go ahead of me!
context: Class A's Midoriya is in hot pursuit with that blast!\Actually, he's taken the lead!\I flew just like I'd planned,\but there's so much force!\And...\I didn't think about landing!\Deku!\Don't go ahead of me! response:	This'll give those in the back a path...
context: Actually, he's taken the lead!\I flew just like I'd planned,\but there's so much force!\And...\I didn't think about landing!\Deku!\Don't go ahead of me!\This'll give those in the back a path... response:	The two formerly in the lead have stopped trying to slow each other down
context: I flew just like I'd planned,\but there's so much force!\And...\I didn't think about landing!\Deku!\Don't go ahead of me!\This'll give those in the back a path...\The two formerly in the lead have stopped trying to slow each other down response:	and are chasing Midoriya!
context: but there's so much force!\And...\I didn't think about landing!\Deku!\Don't go ahead of me!\This'll give those in the back a path...\The two formerly in the lead have stopped trying to slow each other down\and are chasing Midoriya! response:	Now that they have a common enemy, they've stopped fighting!
context: And...\I didn't think about landing!\Deku!\Don't go ahead of me!\This'll give those in the back a path...\The two formerly in the lead have stopped trying to slow each other down\and are chasing Midoriya!\Now that they have a common enemy, they've stopped fighting! response:	The fight's not over yet, though!
context: I didn't think about landing!\Deku!\Don't go ahead of me!\This'll give those in the back a path...\The two formerly in the lead have stopped trying to slow each other down\and are chasing Midoriya!\Now that they have a common enemy, they've stopped fighting!\The fight's not over yet, though! response:	What are you saying?
context: Deku!\Don't go ahead of me!\This'll give those in the back a path...\The two formerly in the lead have stopped trying to slow each other down\and are chasing Midoriya!\Now that they have a common enemy, they've stopped fighting!\The fight's not over yet, though!\What are you saying? response:	Oh no...
