context: My beloved Vieira Sensei... response:	The city where Sensei conducted, Prague...
context: Oh! My belt?\Do you remember last night?\I DON'T REMEMBER!\Heehee...\Nodame Cantabile - Lesson 1 Sync: NIZ\Ah, headache.\Senpai!\Belt! response:	You left it in my place this morning, right?
context: Do you remember last night?\I DON'T REMEMBER!\Heehee...\Nodame Cantabile - Lesson 1 Sync: NIZ\Ah, headache.\Senpai!\Belt!\You left it in my place this morning, right? response:	As I thought...
context: I DON'T REMEMBER!\Heehee...\Nodame Cantabile - Lesson 1 Sync: NIZ\Ah, headache.\Senpai!\Belt!\You left it in my place this morning, right?\As I thought... response:	It's amazing that I survived in that room full of garbage.
context: Heehee...\Nodame Cantabile - Lesson 1 Sync: NIZ\Ah, headache.\Senpai!\Belt!\You left it in my place this morning, right?\As I thought...\It's amazing that I survived in that room full of garbage. response:	It's not mine... that belt.
context: Nodame Cantabile - Lesson 1 Sync: NIZ\Ah, headache.\Senpai!\Belt!\You left it in my place this morning, right?\As I thought...\It's amazing that I survived in that room full of garbage.\It's not mine... that belt. response:	It's Senpai's!
context: Ah, headache.\Senpai!\Belt!\You left it in my place this morning, right?\As I thought...\It's amazing that I survived in that room full of garbage.\It's not mine... that belt.\It's Senpai's! response:	You seemed to be constricted that's why I took it off, I remember.
context: Senpai!\Belt!\You left it in my place this morning, right?\As I thought...\It's amazing that I survived in that room full of garbage.\It's not mine... that belt.\It's Senpai's!\You seemed to be constricted that's why I took it off, I remember. response:	You mistook me for a different person That's not me.
context: Belt!\You left it in my place this morning, right?\As I thought...\It's amazing that I survived in that room full of garbage.\It's not mine... that belt.\It's Senpai's!\You seemed to be constricted that's why I took it off, I remember.\You mistook me for a different person That's not me. response:	It is Senpai!
context: You left it in my place this morning, right?\As I thought...\It's amazing that I survived in that room full of garbage.\It's not mine... that belt.\It's Senpai's!\You seemed to be constricted that's why I took it off, I remember.\You mistook me for a different person That's not me.\It is Senpai! response:	I said no it is really no.
context: As I thought...\It's amazing that I survived in that room full of garbage.\It's not mine... that belt.\It's Senpai's!\You seemed to be constricted that's why I took it off, I remember.\You mistook me for a different person That's not me.\It is Senpai!\I said no it is really no. response:	But the smell is the same.
context: It's amazing that I survived in that room full of garbage.\It's not mine... that belt.\It's Senpai's!\You seemed to be constricted that's why I took it off, I remember.\You mistook me for a different person That's not me.\It is Senpai!\I said no it is really no.\But the smell is the same. response:	Don't follow me!
context: It's not mine... that belt.\It's Senpai's!\You seemed to be constricted that's why I took it off, I remember.\You mistook me for a different person That's not me.\It is Senpai!\I said no it is really no.\But the smell is the same.\Don't follow me! response:	Lesson Instructor Change Piano Division: 4th Year Chiaki Shinichi Instructor: Eto Kozo -> Tanioka Hajime
context: It's Senpai's!\You seemed to be constricted that's why I took it off, I remember.\You mistook me for a different person That's not me.\It is Senpai!\I said no it is really no.\But the smell is the same.\Don't follow me!\Lesson Instructor Change Piano Division: 4th Year Chiaki Shinichi Instructor: Eto Kozo -> Tanioka Hajime response:	Tanioka Hajime?
context: You seemed to be constricted that's why I took it off, I remember.\You mistook me for a different person That's not me.\It is Senpai!\I said no it is really no.\But the smell is the same.\Don't follow me!\Lesson Instructor Change Piano Division: 4th Year Chiaki Shinichi Instructor: Eto Kozo -> Tanioka Hajime\Tanioka Hajime? response:	3203 Tanioka Hajime
context: You mistook me for a different person That's not me.\It is Senpai!\I said no it is really no.\But the smell is the same.\Don't follow me!\Lesson Instructor Change Piano Division: 4th Year Chiaki Shinichi Instructor: Eto Kozo -> Tanioka Hajime\Tanioka Hajime?\3203 Tanioka Hajime response:	It suits well for cheering, right?
context: It is Senpai!\I said no it is really no.\But the smell is the same.\Don't follow me!\Lesson Instructor Change Piano Division: 4th Year Chiaki Shinichi Instructor: Eto Kozo -> Tanioka Hajime\Tanioka Hajime?\3203 Tanioka Hajime\It suits well for cheering, right? response:	Yes the last part was good!
context: I said no it is really no.\But the smell is the same.\Don't follow me!\Lesson Instructor Change Piano Division: 4th Year Chiaki Shinichi Instructor: Eto Kozo -> Tanioka Hajime\Tanioka Hajime?\3203 Tanioka Hajime\It suits well for cheering, right?\Yes the last part was good! response:	Chiaki-senpai!
context: But the smell is the same.\Don't follow me!\Lesson Instructor Change Piano Division: 4th Year Chiaki Shinichi Instructor: Eto Kozo -> Tanioka Hajime\Tanioka Hajime?\3203 Tanioka Hajime\It suits well for cheering, right?\Yes the last part was good!\Chiaki-senpai! response:	Oh! Please come in!
context: Don't follow me!\Lesson Instructor Change Piano Division: 4th Year Chiaki Shinichi Instructor: Eto Kozo -> Tanioka Hajime\Tanioka Hajime?\3203 Tanioka Hajime\It suits well for cheering, right?\Yes the last part was good!\Chiaki-senpai!\Oh! Please come in! response:	I seemed to have entered the wrong room
context: Lesson Instructor Change Piano Division: 4th Year Chiaki Shinichi Instructor: Eto Kozo -> Tanioka Hajime\Tanioka Hajime?\3203 Tanioka Hajime\It suits well for cheering, right?\Yes the last part was good!\Chiaki-senpai!\Oh! Please come in!\I seemed to have entered the wrong room response:	I'm waiting for you, Chiaki-kun
context: Tanioka Hajime?\3203 Tanioka Hajime\It suits well for cheering, right?\Yes the last part was good!\Chiaki-senpai!\Oh! Please come in!\I seemed to have entered the wrong room\I'm waiting for you, Chiaki-kun response:	Yaa, seeing you in person, the aura's different.
context: 3203 Tanioka Hajime\It suits well for cheering, right?\Yes the last part was good!\Chiaki-senpai!\Oh! Please come in!\I seemed to have entered the wrong room\I'm waiting for you, Chiaki-kun\Yaa, seeing you in person, the aura's different. response:	Even so, I won't let you call me Ochisen, ...
context: It suits well for cheering, right?\Yes the last part was good!\Chiaki-senpai!\Oh! Please come in!\I seemed to have entered the wrong room\I'm waiting for you, Chiaki-kun\Yaa, seeing you in person, the aura's different.\Even so, I won't let you call me Ochisen, ... response:	Ochisen?
context: Yes the last part was good!\Chiaki-senpai!\Oh! Please come in!\I seemed to have entered the wrong room\I'm waiting for you, Chiaki-kun\Yaa, seeing you in person, the aura's different.\Even so, I won't let you call me Ochisen, ...\Ochisen? response:	Ochikobore Specialist Teacher. What a terrible talk, isn't it!
context: Chiaki-senpai!\Oh! Please come in!\I seemed to have entered the wrong room\I'm waiting for you, Chiaki-kun\Yaa, seeing you in person, the aura's different.\Even so, I won't let you call me Ochisen, ...\Ochisen?\Ochikobore Specialist Teacher. What a terrible talk, isn't it! response:	Let's not talk while standing. Please sit down.
context: Oh! Please come in!\I seemed to have entered the wrong room\I'm waiting for you, Chiaki-kun\Yaa, seeing you in person, the aura's different.\Even so, I won't let you call me Ochisen, ...\Ochisen?\Ochikobore Specialist Teacher. What a terrible talk, isn't it!\Let's not talk while standing. Please sit down. response:	This Ore... an underachiever?? (Ore = I)
context: I seemed to have entered the wrong room\I'm waiting for you, Chiaki-kun\Yaa, seeing you in person, the aura's different.\Even so, I won't let you call me Ochisen, ...\Ochisen?\Ochikobore Specialist Teacher. What a terrible talk, isn't it!\Let's not talk while standing. Please sit down.\This Ore... an underachiever?? (Ore = I) response:	By the way, what about this belt?
context: I'm waiting for you, Chiaki-kun\Yaa, seeing you in person, the aura's different.\Even so, I won't let you call me Ochisen, ...\Ochisen?\Ochikobore Specialist Teacher. What a terrible talk, isn't it!\Let's not talk while standing. Please sit down.\This Ore... an underachiever?? (Ore = I)\By the way, what about this belt? response:	Excuse me.
context: Yaa, seeing you in person, the aura's different.\Even so, I won't let you call me Ochisen, ...\Ochisen?\Ochikobore Specialist Teacher. What a terrible talk, isn't it!\Let's not talk while standing. Please sit down.\This Ore... an underachiever?? (Ore = I)\By the way, what about this belt?\Excuse me. response:	Our Momogaoka Music Academy's A-Oke is an elite Orchestra consisting of the most talented students (A-Oke = A-Orchestra)
context: Even so, I won't let you call me Ochisen, ...\Ochisen?\Ochikobore Specialist Teacher. What a terrible talk, isn't it!\Let's not talk while standing. Please sit down.\This Ore... an underachiever?? (Ore = I)\By the way, what about this belt?\Excuse me.\Our Momogaoka Music Academy's A-Oke is an elite Orchestra consisting of the most talented students (A-Oke = A-Orchestra) response:	Our concert this year will have Miki Kiyora as Concert Mistress. In the future, other gifted students will join too.
context: Ochisen?\Ochikobore Specialist Teacher. What a terrible talk, isn't it!\Let's not talk while standing. Please sit down.\This Ore... an underachiever?? (Ore = I)\By the way, what about this belt?\Excuse me.\Our Momogaoka Music Academy's A-Oke is an elite Orchestra consisting of the most talented students (A-Oke = A-Orchestra)\Our concert this year will have Miki Kiyora as Concert Mistress. In the future, other gifted students will join too. response:	Please come to our performance next month.
context: Ochikobore Specialist Teacher. What a terrible talk, isn't it!\Let's not talk while standing. Please sit down.\This Ore... an underachiever?? (Ore = I)\By the way, what about this belt?\Excuse me.\Our Momogaoka Music Academy's A-Oke is an elite Orchestra consisting of the most talented students (A-Oke = A-Orchestra)\Our concert this year will have Miki Kiyora as Concert Mistress. In the future, other gifted students will join too.\Please come to our performance next month. response:	Certainly.
context: Let's not talk while standing. Please sit down.\This Ore... an underachiever?? (Ore = I)\By the way, what about this belt?\Excuse me.\Our Momogaoka Music Academy's A-Oke is an elite Orchestra consisting of the most talented students (A-Oke = A-Orchestra)\Our concert this year will have Miki Kiyora as Concert Mistress. In the future, other gifted students will join too.\Please come to our performance next month.\Certainly. response:	How is it?
context: This Ore... an underachiever?? (Ore = I)\By the way, what about this belt?\Excuse me.\Our Momogaoka Music Academy's A-Oke is an elite Orchestra consisting of the most talented students (A-Oke = A-Orchestra)\Our concert this year will have Miki Kiyora as Concert Mistress. In the future, other gifted students will join too.\Please come to our performance next month.\Certainly.\How is it? response:	Eto Sensei!
context: By the way, what about this belt?\Excuse me.\Our Momogaoka Music Academy's A-Oke is an elite Orchestra consisting of the most talented students (A-Oke = A-Orchestra)\Our concert this year will have Miki Kiyora as Concert Mistress. In the future, other gifted students will join too.\Please come to our performance next month.\Certainly.\How is it?\Eto Sensei! response:	I think we're almost getting there.
context: Excuse me.\Our Momogaoka Music Academy's A-Oke is an elite Orchestra consisting of the most talented students (A-Oke = A-Orchestra)\Our concert this year will have Miki Kiyora as Concert Mistress. In the future, other gifted students will join too.\Please come to our performance next month.\Certainly.\How is it?\Eto Sensei!\I think we're almost getting there. response:	However from now on is the crucial moment.
context: Our Momogaoka Music Academy's A-Oke is an elite Orchestra consisting of the most talented students (A-Oke = A-Orchestra)\Our concert this year will have Miki Kiyora as Concert Mistress. In the future, other gifted students will join too.\Please come to our performance next month.\Certainly.\How is it?\Eto Sensei!\I think we're almost getting there.\However from now on is the crucial moment. response:	I'm expecting the best.
context: Our concert this year will have Miki Kiyora as Concert Mistress. In the future, other gifted students will join too.\Please come to our performance next month.\Certainly.\How is it?\Eto Sensei!\I think we're almost getting there.\However from now on is the crucial moment.\I'm expecting the best. response:	Hai.
context: Please come to our performance next month.\Certainly.\How is it?\Eto Sensei!\I think we're almost getting there.\However from now on is the crucial moment.\I'm expecting the best.\Hai. response:	Rijichou (Board Chairman), allow me to introduce...
context: Certainly.\How is it?\Eto Sensei!\I think we're almost getting there.\However from now on is the crucial moment.\I'm expecting the best.\Hai.\Rijichou (Board Chairman), allow me to introduce... response:	This is Classic Life monthly magazine's Kawano-san
context: How is it?\Eto Sensei!\I think we're almost getting there.\However from now on is the crucial moment.\I'm expecting the best.\Hai.\Rijichou (Board Chairman), allow me to introduce...\This is Classic Life monthly magazine's Kawano-san response:	Hmmm... somehow there's something lacking...
context: Eto Sensei!\I think we're almost getting there.\However from now on is the crucial moment.\I'm expecting the best.\Hai.\Rijichou (Board Chairman), allow me to introduce...\This is Classic Life monthly magazine's Kawano-san\Hmmm... somehow there's something lacking... response:	Eh?
context: I think we're almost getting there.\However from now on is the crucial moment.\I'm expecting the best.\Hai.\Rijichou (Board Chairman), allow me to introduce...\This is Classic Life monthly magazine's Kawano-san\Hmmm... somehow there's something lacking...\Eh? response:	Ah? Sorry! It's not Classic Life, but our A-Oke
context: However from now on is the crucial moment.\I'm expecting the best.\Hai.\Rijichou (Board Chairman), allow me to introduce...\This is Classic Life monthly magazine's Kawano-san\Hmmm... somehow there's something lacking...\Eh?\Ah? Sorry! It's not Classic Life, but our A-Oke response:	Every year, they always do the same thing, don't you think so?
context: I'm expecting the best.\Hai.\Rijichou (Board Chairman), allow me to introduce...\This is Classic Life monthly magazine's Kawano-san\Hmmm... somehow there's something lacking...\Eh?\Ah? Sorry! It's not Classic Life, but our A-Oke\Every year, they always do the same thing, don't you think so? response:	But I think they've achieved a high level...
context: Hai.\Rijichou (Board Chairman), allow me to introduce...\This is Classic Life monthly magazine's Kawano-san\Hmmm... somehow there's something lacking...\Eh?\Ah? Sorry! It's not Classic Life, but our A-Oke\Every year, they always do the same thing, don't you think so?\But I think they've achieved a high level... response:	Yes that's true
context: Rijichou (Board Chairman), allow me to introduce...\This is Classic Life monthly magazine's Kawano-san\Hmmm... somehow there's something lacking...\Eh?\Ah? Sorry! It's not Classic Life, but our A-Oke\Every year, they always do the same thing, don't you think so?\But I think they've achieved a high level...\Yes that's true response:	After they graduate they will most likely be succesful
context: This is Classic Life monthly magazine's Kawano-san\Hmmm... somehow there's something lacking...\Eh?\Ah? Sorry! It's not Classic Life, but our A-Oke\Every year, they always do the same thing, don't you think so?\But I think they've achieved a high level...\Yes that's true\After they graduate they will most likely be succesful response:	However, not letting their talent fades away without any chance to grow is essentially our job.
context: Hmmm... somehow there's something lacking...\Eh?\Ah? Sorry! It's not Classic Life, but our A-Oke\Every year, they always do the same thing, don't you think so?\But I think they've achieved a high level...\Yes that's true\After they graduate they will most likely be succesful\However, not letting their talent fades away without any chance to grow is essentially our job. response:	I wish I can do something for them...
context: Eh?\Ah? Sorry! It's not Classic Life, but our A-Oke\Every year, they always do the same thing, don't you think so?\But I think they've achieved a high level...\Yes that's true\After they graduate they will most likely be succesful\However, not letting their talent fades away without any chance to grow is essentially our job.\I wish I can do something for them... response:	Two pianos?
context: Ah? Sorry! It's not Classic Life, but our A-Oke\Every year, they always do the same thing, don't you think so?\But I think they've achieved a high level...\Yes that's true\After they graduate they will most likely be succesful\However, not letting their talent fades away without any chance to grow is essentially our job.\I wish I can do something for them...\Two pianos? response:	Yes, won't you try it? Third year Noda Megumi-kun and you, Chiaki-kun, will have a two-piano lesson.
context: Every year, they always do the same thing, don't you think so?\But I think they've achieved a high level...\Yes that's true\After they graduate they will most likely be succesful\However, not letting their talent fades away without any chance to grow is essentially our job.\I wish I can do something for them...\Two pianos?\Yes, won't you try it? Third year Noda Megumi-kun and you, Chiaki-kun, will have a two-piano lesson. response:	I didn't know that you two know each other. it's just right for this.
context: But I think they've achieved a high level...\Yes that's true\After they graduate they will most likely be succesful\However, not letting their talent fades away without any chance to grow is essentially our job.\I wish I can do something for them...\Two pianos?\Yes, won't you try it? Third year Noda Megumi-kun and you, Chiaki-kun, will have a two-piano lesson.\I didn't know that you two know each other. it's just right for this. response:	Wait a minute. Why do I have to take lessons with such a female?
context: Yes that's true\After they graduate they will most likely be succesful\However, not letting their talent fades away without any chance to grow is essentially our job.\I wish I can do something for them...\Two pianos?\Yes, won't you try it? Third year Noda Megumi-kun and you, Chiaki-kun, will have a two-piano lesson.\I didn't know that you two know each other. it's just right for this.\Wait a minute. Why do I have to take lessons with such a female? response:	Nodame chose this one to play! Heehee...
context: After they graduate they will most likely be succesful\However, not letting their talent fades away without any chance to grow is essentially our job.\I wish I can do something for them...\Two pianos?\Yes, won't you try it? Third year Noda Megumi-kun and you, Chiaki-kun, will have a two-piano lesson.\I didn't know that you two know each other. it's just right for this.\Wait a minute. Why do I have to take lessons with such a female?\Nodame chose this one to play! Heehee... response:	I want to do it the usual way only with Sensei...
context: However, not letting their talent fades away without any chance to grow is essentially our job.\I wish I can do something for them...\Two pianos?\Yes, won't you try it? Third year Noda Megumi-kun and you, Chiaki-kun, will have a two-piano lesson.\I didn't know that you two know each other. it's just right for this.\Wait a minute. Why do I have to take lessons with such a female?\Nodame chose this one to play! Heehee...\I want to do it the usual way only with Sensei... response:	A piano duet played by two people is very interesting. Moreover Noda-kun's piano is very good...
context: I wish I can do something for them...\Two pianos?\Yes, won't you try it? Third year Noda Megumi-kun and you, Chiaki-kun, will have a two-piano lesson.\I didn't know that you two know each other. it's just right for this.\Wait a minute. Why do I have to take lessons with such a female?\Nodame chose this one to play! Heehee...\I want to do it the usual way only with Sensei...\A piano duet played by two people is very interesting. Moreover Noda-kun's piano is very good... response:	No matter how good she is, it's impossible to adjust to such a person who plays so messily.
context: Two pianos?\Yes, won't you try it? Third year Noda Megumi-kun and you, Chiaki-kun, will have a two-piano lesson.\I didn't know that you two know each other. it's just right for this.\Wait a minute. Why do I have to take lessons with such a female?\Nodame chose this one to play! Heehee...\I want to do it the usual way only with Sensei...\A piano duet played by two people is very interesting. Moreover Noda-kun's piano is very good...\No matter how good she is, it's impossible to adjust to such a person who plays so messily. response:	Nah, it's not impossible if it's you
context: Yes, won't you try it? Third year Noda Megumi-kun and you, Chiaki-kun, will have a two-piano lesson.\I didn't know that you two know each other. it's just right for this.\Wait a minute. Why do I have to take lessons with such a female?\Nodame chose this one to play! Heehee...\I want to do it the usual way only with Sensei...\A piano duet played by two people is very interesting. Moreover Noda-kun's piano is very good...\No matter how good she is, it's impossible to adjust to such a person who plays so messily.\Nah, it's not impossible if it's you response:	Because you play the piano the best in this Music Academy
context: I didn't know that you two know each other. it's just right for this.\Wait a minute. Why do I have to take lessons with such a female?\Nodame chose this one to play! Heehee...\I want to do it the usual way only with Sensei...\A piano duet played by two people is very interesting. Moreover Noda-kun's piano is very good...\No matter how good she is, it's impossible to adjust to such a person who plays so messily.\Nah, it's not impossible if it's you\Because you play the piano the best in this Music Academy response:	If you can't, well what can I do...
context: Wait a minute. Why do I have to take lessons with such a female?\Nodame chose this one to play! Heehee...\I want to do it the usual way only with Sensei...\A piano duet played by two people is very interesting. Moreover Noda-kun's piano is very good...\No matter how good she is, it's impossible to adjust to such a person who plays so messily.\Nah, it's not impossible if it's you\Because you play the piano the best in this Music Academy\If you can't, well what can I do... response:	Think of it as advising your Kohai? (Kohai = younger fellow student/colleague)
context: Nodame chose this one to play! Heehee...\I want to do it the usual way only with Sensei...\A piano duet played by two people is very interesting. Moreover Noda-kun's piano is very good...\No matter how good she is, it's impossible to adjust to such a person who plays so messily.\Nah, it's not impossible if it's you\Because you play the piano the best in this Music Academy\If you can't, well what can I do...\Think of it as advising your Kohai? (Kohai = younger fellow student/colleague) response:	Mozart Sonata for two pianos
context: I want to do it the usual way only with Sensei...\A piano duet played by two people is very interesting. Moreover Noda-kun's piano is very good...\No matter how good she is, it's impossible to adjust to such a person who plays so messily.\Nah, it's not impossible if it's you\Because you play the piano the best in this Music Academy\If you can't, well what can I do...\Think of it as advising your Kohai? (Kohai = younger fellow student/colleague)\Mozart Sonata for two pianos response:	Eeek, I don't know this piece.
context: A piano duet played by two people is very interesting. Moreover Noda-kun's piano is very good...\No matter how good she is, it's impossible to adjust to such a person who plays so messily.\Nah, it's not impossible if it's you\Because you play the piano the best in this Music Academy\If you can't, well what can I do...\Think of it as advising your Kohai? (Kohai = younger fellow student/colleague)\Mozart Sonata for two pianos\Eeek, I don't know this piece. response:	I've never played this before either.
context: No matter how good she is, it's impossible to adjust to such a person who plays so messily.\Nah, it's not impossible if it's you\Because you play the piano the best in this Music Academy\If you can't, well what can I do...\Think of it as advising your Kohai? (Kohai = younger fellow student/colleague)\Mozart Sonata for two pianos\Eeek, I don't know this piece.\I've never played this before either. response:	Although I think it'll be tough to adjust to each other with this fast piece...
context: Nah, it's not impossible if it's you\Because you play the piano the best in this Music Academy\If you can't, well what can I do...\Think of it as advising your Kohai? (Kohai = younger fellow student/colleague)\Mozart Sonata for two pianos\Eeek, I don't know this piece.\I've never played this before either.\Although I think it'll be tough to adjust to each other with this fast piece... response:	Well, be patient and keep practising it
context: Because you play the piano the best in this Music Academy\If you can't, well what can I do...\Think of it as advising your Kohai? (Kohai = younger fellow student/colleague)\Mozart Sonata for two pianos\Eeek, I don't know this piece.\I've never played this before either.\Although I think it'll be tough to adjust to each other with this fast piece...\Well, be patient and keep practising it response:	Oi! Let's look at it once, then get it done and over with, Garbage Female!
context: If you can't, well what can I do...\Think of it as advising your Kohai? (Kohai = younger fellow student/colleague)\Mozart Sonata for two pianos\Eeek, I don't know this piece.\I've never played this before either.\Although I think it'll be tough to adjust to each other with this fast piece...\Well, be patient and keep practising it\Oi! Let's look at it once, then get it done and over with, Garbage Female! response:	Call me Nodame please.
context: Think of it as advising your Kohai? (Kohai = younger fellow student/colleague)\Mozart Sonata for two pianos\Eeek, I don't know this piece.\I've never played this before either.\Although I think it'll be tough to adjust to each other with this fast piece...\Well, be patient and keep practising it\Oi! Let's look at it once, then get it done and over with, Garbage Female!\Call me Nodame please. response:	For tempo it's OK to be slow, about this speed...
context: Mozart Sonata for two pianos\Eeek, I don't know this piece.\I've never played this before either.\Although I think it'll be tough to adjust to each other with this fast piece...\Well, be patient and keep practising it\Oi! Let's look at it once, then get it done and over with, Garbage Female!\Call me Nodame please.\For tempo it's OK to be slow, about this speed... response:	Let's begin
context: Eeek, I don't know this piece.\I've never played this before either.\Although I think it'll be tough to adjust to each other with this fast piece...\Well, be patient and keep practising it\Oi! Let's look at it once, then get it done and over with, Garbage Female!\Call me Nodame please.\For tempo it's OK to be slow, about this speed...\Let's begin response:	Don't make a mistake in just two sections!
context: I've never played this before either.\Although I think it'll be tough to adjust to each other with this fast piece...\Well, be patient and keep practising it\Oi! Let's look at it once, then get it done and over with, Garbage Female!\Call me Nodame please.\For tempo it's OK to be slow, about this speed...\Let's begin\Don't make a mistake in just two sections! response:	Gyabo!!
context: Although I think it'll be tough to adjust to each other with this fast piece...\Well, be patient and keep practising it\Oi! Let's look at it once, then get it done and over with, Garbage Female!\Call me Nodame please.\For tempo it's OK to be slow, about this speed...\Let's begin\Don't make a mistake in just two sections!\Gyabo!! response:	Let's do it again!
context: Well, be patient and keep practising it\Oi! Let's look at it once, then get it done and over with, Garbage Female!\Call me Nodame please.\For tempo it's OK to be slow, about this speed...\Let's begin\Don't make a mistake in just two sections!\Gyabo!!\Let's do it again! response:	This won't do.
context: Oi! Let's look at it once, then get it done and over with, Garbage Female!\Call me Nodame please.\For tempo it's OK to be slow, about this speed...\Let's begin\Don't make a mistake in just two sections!\Gyabo!!\Let's do it again!\This won't do. response:	Why does she play so sloppily?
context: Call me Nodame please.\For tempo it's OK to be slow, about this speed...\Let's begin\Don't make a mistake in just two sections!\Gyabo!!\Let's do it again!\This won't do.\Why does she play so sloppily? response:	You're not looking at the score!
context: For tempo it's OK to be slow, about this speed...\Let's begin\Don't make a mistake in just two sections!\Gyabo!!\Let's do it again!\This won't do.\Why does she play so sloppily?\You're not looking at the score! response:	Gyabo!!
context: Let's begin\Don't make a mistake in just two sections!\Gyabo!!\Let's do it again!\This won't do.\Why does she play so sloppily?\You're not looking at the score!\Gyabo!! response:	I was reading correctly...
context: Don't make a mistake in just two sections!\Gyabo!!\Let's do it again!\This won't do.\Why does she play so sloppily?\You're not looking at the score!\Gyabo!!\I was reading correctly... response:	What's correct with those tat-tat-tat and pat-pat-pat? What was that?
context: Gyabo!!\Let's do it again!\This won't do.\Why does she play so sloppily?\You're not looking at the score!\Gyabo!!\I was reading correctly...\What's correct with those tat-tat-tat and pat-pat-pat? What was that? response:	Just somehow doing it...
context: Let's do it again!\This won't do.\Why does she play so sloppily?\You're not looking at the score!\Gyabo!!\I was reading correctly...\What's correct with those tat-tat-tat and pat-pat-pat? What was that?\Just somehow doing it... response:	Noda-kun's ear is very good, she often learns by listening, she's not accustomed to play while looking at the scores...
context: This won't do.\Why does she play so sloppily?\You're not looking at the score!\Gyabo!!\I was reading correctly...\What's correct with those tat-tat-tat and pat-pat-pat? What was that?\Just somehow doing it...\Noda-kun's ear is very good, she often learns by listening, she's not accustomed to play while looking at the scores... response:	So that's why she plays so messily
context: Why does she play so sloppily?\You're not looking at the score!\Gyabo!!\I was reading correctly...\What's correct with those tat-tat-tat and pat-pat-pat? What was that?\Just somehow doing it...\Noda-kun's ear is very good, she often learns by listening, she's not accustomed to play while looking at the scores...\So that's why she plays so messily response:	Moreover she hates to practice...
context: You're not looking at the score!\Gyabo!!\I was reading correctly...\What's correct with those tat-tat-tat and pat-pat-pat? What was that?\Just somehow doing it...\Noda-kun's ear is very good, she often learns by listening, she's not accustomed to play while looking at the scores...\So that's why she plays so messily\Moreover she hates to practice... response:	Well, relax and do your best
context: Gyabo!!\I was reading correctly...\What's correct with those tat-tat-tat and pat-pat-pat? What was that?\Just somehow doing it...\Noda-kun's ear is very good, she often learns by listening, she's not accustomed to play while looking at the scores...\So that's why she plays so messily\Moreover she hates to practice...\Well, relax and do your best response:	No way!!
context: I was reading correctly...\What's correct with those tat-tat-tat and pat-pat-pat? What was that?\Just somehow doing it...\Noda-kun's ear is very good, she often learns by listening, she's not accustomed to play while looking at the scores...\So that's why she plays so messily\Moreover she hates to practice...\Well, relax and do your best\No way!! response:	For this sort of lesson, three days is more than enough!
context: What's correct with those tat-tat-tat and pat-pat-pat? What was that?\Just somehow doing it...\Noda-kun's ear is very good, she often learns by listening, she's not accustomed to play while looking at the scores...\So that's why she plays so messily\Moreover she hates to practice...\Well, relax and do your best\No way!!\For this sort of lesson, three days is more than enough! response:	What shall we have for lunch?
context: Just somehow doing it...\Noda-kun's ear is very good, she often learns by listening, she's not accustomed to play while looking at the scores...\So that's why she plays so messily\Moreover she hates to practice...\Well, relax and do your best\No way!!\For this sort of lesson, three days is more than enough!\What shall we have for lunch? response:	Dammit!
context: Noda-kun's ear is very good, she often learns by listening, she's not accustomed to play while looking at the scores...\So that's why she plays so messily\Moreover she hates to practice...\Well, relax and do your best\No way!!\For this sort of lesson, three days is more than enough!\What shall we have for lunch?\Dammit! response:	That Saiko! Dumping me for such a ham!
context: So that's why she plays so messily\Moreover she hates to practice...\Well, relax and do your best\No way!!\For this sort of lesson, three days is more than enough!\What shall we have for lunch?\Dammit!\That Saiko! Dumping me for such a ham! response:	What's this...
context: Moreover she hates to practice...\Well, relax and do your best\No way!!\For this sort of lesson, three days is more than enough!\What shall we have for lunch?\Dammit!\That Saiko! Dumping me for such a ham!\What's this... response:	WHAT'S THIS?
context: Well, relax and do your best\No way!!\For this sort of lesson, three days is more than enough!\What shall we have for lunch?\Dammit!\That Saiko! Dumping me for such a ham!\What's this...\WHAT'S THIS? response:	Chiaki-senpai!
context: No way!!\For this sort of lesson, three days is more than enough!\What shall we have for lunch?\Dammit!\That Saiko! Dumping me for such a ham!\What's this...\WHAT'S THIS?\Chiaki-senpai! response:	Do people normally open the door in one swing like that?
context: For this sort of lesson, three days is more than enough!\What shall we have for lunch?\Dammit!\That Saiko! Dumping me for such a ham!\What's this...\WHAT'S THIS?\Chiaki-senpai!\Do people normally open the door in one swing like that? response:	What's wrong?
context: What shall we have for lunch?\Dammit!\That Saiko! Dumping me for such a ham!\What's this...\WHAT'S THIS?\Chiaki-senpai!\Do people normally open the door in one swing like that?\What's wrong? response:	Ah! The belt, right?
context: Dammit!\That Saiko! Dumping me for such a ham!\What's this...\WHAT'S THIS?\Chiaki-senpai!\Do people normally open the door in one swing like that?\What's wrong?\Ah! The belt, right? response:	Get off my way!
context: That Saiko! Dumping me for such a ham!\What's this...\WHAT'S THIS?\Chiaki-senpai!\Do people normally open the door in one swing like that?\What's wrong?\Ah! The belt, right?\Get off my way! response:	Senpai, if you came for the belt, here it is...
context: What's this...\WHAT'S THIS?\Chiaki-senpai!\Do people normally open the door in one swing like that?\What's wrong?\Ah! The belt, right?\Get off my way!\Senpai, if you came for the belt, here it is... response:	Clean up!
