context: I doubt even Shiroe predicted this. response:	Looks like I won't be able to watch over them from hiding anymore.
context: Ow. Ow. Ow.\So you use this to raise levels?\That's pretty efficient...\Heh heh, this is fun.\It is not!\Interesting.\You adventurers would call it power leveling.\Roger. response:	In ten minutes, we'll begin injecting EXP pots.
context: So you use this to raise levels?\That's pretty efficient...\Heh heh, this is fun.\It is not!\Interesting.\You adventurers would call it power leveling.\Roger.\In ten minutes, we'll begin injecting EXP pots. response:	That's dangerous! Stop!
context: That's pretty efficient...\Heh heh, this is fun.\It is not!\Interesting.\You adventurers would call it power leveling.\Roger.\In ten minutes, we'll begin injecting EXP pots.\That's dangerous! Stop! response:	Miss Mizufa, Kazuhiko is requesting that the injections be stopped.
context: Heh heh, this is fun.\It is not!\Interesting.\You adventurers would call it power leveling.\Roger.\In ten minutes, we'll begin injecting EXP pots.\That's dangerous! Stop!\Miss Mizufa, Kazuhiko is requesting that the injections be stopped. response:	Who cares about that hypocrite?
context: It is not!\Interesting.\You adventurers would call it power leveling.\Roger.\In ten minutes, we'll begin injecting EXP pots.\That's dangerous! Stop!\Miss Mizufa, Kazuhiko is requesting that the injections be stopped.\Who cares about that hypocrite? response:	They're adventurers.
context: Interesting.\You adventurers would call it power leveling.\Roger.\In ten minutes, we'll begin injecting EXP pots.\That's dangerous! Stop!\Miss Mizufa, Kazuhiko is requesting that the injections be stopped.\Who cares about that hypocrite?\They're adventurers. response:	We're People of the Land.
context: You adventurers would call it power leveling.\Roger.\In ten minutes, we'll begin injecting EXP pots.\That's dangerous! Stop!\Miss Mizufa, Kazuhiko is requesting that the injections be stopped.\Who cares about that hypocrite?\They're adventurers.\We're People of the Land. response:	What do immortals know of war?
context: Roger.\In ten minutes, we'll begin injecting EXP pots.\That's dangerous! Stop!\Miss Mizufa, Kazuhiko is requesting that the injections be stopped.\Who cares about that hypocrite?\They're adventurers.\We're People of the Land.\What do immortals know of war? response:	It's where you go to die.
context: In ten minutes, we'll begin injecting EXP pots.\That's dangerous! Stop!\Miss Mizufa, Kazuhiko is requesting that the injections be stopped.\Who cares about that hypocrite?\They're adventurers.\We're People of the Land.\What do immortals know of war?\It's where you go to die. response:	Right?
context: That's dangerous! Stop!\Miss Mizufa, Kazuhiko is requesting that the injections be stopped.\Who cares about that hypocrite?\They're adventurers.\We're People of the Land.\What do immortals know of war?\It's where you go to die.\Right? response:	I don't understand why you people have created such an inefficient society.
context: Miss Mizufa, Kazuhiko is requesting that the injections be stopped.\Who cares about that hypocrite?\They're adventurers.\We're People of the Land.\What do immortals know of war?\It's where you go to die.\Right?\I don't understand why you people have created such an inefficient society. response:	Hey, what's that?
context: Who cares about that hypocrite?\They're adventurers.\We're People of the Land.\What do immortals know of war?\It's where you go to die.\Right?\I don't understand why you people have created such an inefficient society.\Hey, what's that? response:	What are you doing?
context: They're adventurers.\We're People of the Land.\What do immortals know of war?\It's where you go to die.\Right?\I don't understand why you people have created such an inefficient society.\Hey, what's that?\What are you doing? response:	Nightshade servants?
context: We're People of the Land.\What do immortals know of war?\It's where you go to die.\Right?\I don't understand why you people have created such an inefficient society.\Hey, what's that?\What are you doing?\Nightshade servants? response:	Where did they come from?
context: What do immortals know of war?\It's where you go to die.\Right?\I don't understand why you people have created such an inefficient society.\Hey, what's that?\What are you doing?\Nightshade servants?\Where did they come from? response:	No! Protect our shrine!
context: It's where you go to die.\Right?\I don't understand why you people have created such an inefficient society.\Hey, what's that?\What are you doing?\Nightshade servants?\Where did they come from?\No! Protect our shrine! response:	But when it comes to that,
context: Right?\I don't understand why you people have created such an inefficient society.\Hey, what's that?\What are you doing?\Nightshade servants?\Where did they come from?\No! Protect our shrine!\But when it comes to that, response:	the knowable world is far smaller than the unknowable one.
context: I don't understand why you people have created such an inefficient society.\Hey, what's that?\What are you doing?\Nightshade servants?\Where did they come from?\No! Protect our shrine!\But when it comes to that,\the knowable world is far smaller than the unknowable one. response:	The sum of what we can understand isn't much bigger than the head of a pin.
context: Hey, what's that?\What are you doing?\Nightshade servants?\Where did they come from?\No! Protect our shrine!\But when it comes to that,\the knowable world is far smaller than the unknowable one.\The sum of what we can understand isn't much bigger than the head of a pin. response:	So it isn't strange at all that I wouldn't understand something, but...
context: What are you doing?\Nightshade servants?\Where did they come from?\No! Protect our shrine!\But when it comes to that,\the knowable world is far smaller than the unknowable one.\The sum of what we can understand isn't much bigger than the head of a pin.\So it isn't strange at all that I wouldn't understand something, but... response:	Damn it!
context: Nightshade servants?\Where did they come from?\No! Protect our shrine!\But when it comes to that,\the knowable world is far smaller than the unknowable one.\The sum of what we can understand isn't much bigger than the head of a pin.\So it isn't strange at all that I wouldn't understand something, but...\Damn it! response:	Tohya!
context: Where did they come from?\No! Protect our shrine!\But when it comes to that,\the knowable world is far smaller than the unknowable one.\The sum of what we can understand isn't much bigger than the head of a pin.\So it isn't strange at all that I wouldn't understand something, but...\Damn it!\Tohya! response:	Tohya!
context: No! Protect our shrine!\But when it comes to that,\the knowable world is far smaller than the unknowable one.\The sum of what we can understand isn't much bigger than the head of a pin.\So it isn't strange at all that I wouldn't understand something, but...\Damn it!\Tohya!\Tohya! response:	I-I'm coming with you!
context: But when it comes to that,\the knowable world is far smaller than the unknowable one.\The sum of what we can understand isn't much bigger than the head of a pin.\So it isn't strange at all that I wouldn't understand something, but...\Damn it!\Tohya!\Tohya!\I-I'm coming with you! response:	Wolfie!
context: the knowable world is far smaller than the unknowable one.\The sum of what we can understand isn't much bigger than the head of a pin.\So it isn't strange at all that I wouldn't understand something, but...\Damn it!\Tohya!\Tohya!\I-I'm coming with you!\Wolfie! response:	Some of the People of the Land couldn't get away in time.
context: The sum of what we can understand isn't much bigger than the head of a pin.\So it isn't strange at all that I wouldn't understand something, but...\Damn it!\Tohya!\Tohya!\I-I'm coming with you!\Wolfie!\Some of the People of the Land couldn't get away in time. response:	Let's go, Wolfie!
context: So it isn't strange at all that I wouldn't understand something, but...\Damn it!\Tohya!\Tohya!\I-I'm coming with you!\Wolfie!\Some of the People of the Land couldn't get away in time.\Let's go, Wolfie! response:	Hurricane Slash!
context: Damn it!\Tohya!\Tohya!\I-I'm coming with you!\Wolfie!\Some of the People of the Land couldn't get away in time.\Let's go, Wolfie!\Hurricane Slash! response:	You sure you don't want to go, Minori?
context: Tohya!\Tohya!\I-I'm coming with you!\Wolfie!\Some of the People of the Land couldn't get away in time.\Let's go, Wolfie!\Hurricane Slash!\You sure you don't want to go, Minori? response:	Who are you, Roe 2?
context: Tohya!\I-I'm coming with you!\Wolfie!\Some of the People of the Land couldn't get away in time.\Let's go, Wolfie!\Hurricane Slash!\You sure you don't want to go, Minori?\Who are you, Roe 2? response:	Where did you come from? And where are you going?
context: I-I'm coming with you!\Wolfie!\Some of the People of the Land couldn't get away in time.\Let's go, Wolfie!\Hurricane Slash!\You sure you don't want to go, Minori?\Who are you, Roe 2?\Where did you come from? And where are you going? response:	That's the second time you've asked me that.
context: Wolfie!\Some of the People of the Land couldn't get away in time.\Let's go, Wolfie!\Hurricane Slash!\You sure you don't want to go, Minori?\Who are you, Roe 2?\Where did you come from? And where are you going?\That's the second time you've asked me that. response:	Huh?
context: Some of the People of the Land couldn't get away in time.\Let's go, Wolfie!\Hurricane Slash!\You sure you don't want to go, Minori?\Who are you, Roe 2?\Where did you come from? And where are you going?\That's the second time you've asked me that.\Huh? response:	What were those things?
context: Let's go, Wolfie!\Hurricane Slash!\You sure you don't want to go, Minori?\Who are you, Roe 2?\Where did you come from? And where are you going?\That's the second time you've asked me that.\Huh?\What were those things? response:	They just showed up out of nowhere.
context: Hurricane Slash!\You sure you don't want to go, Minori?\Who are you, Roe 2?\Where did you come from? And where are you going?\That's the second time you've asked me that.\Huh?\What were those things?\They just showed up out of nowhere. response:	When we defeated them, there was no sign of their psyche dissipating.
context: You sure you don't want to go, Minori?\Who are you, Roe 2?\Where did you come from? And where are you going?\That's the second time you've asked me that.\Huh?\What were those things?\They just showed up out of nowhere.\When we defeated them, there was no sign of their psyche dissipating. response:	Are you okay, Miss Isuzu?
context: Who are you, Roe 2?\Where did you come from? And where are you going?\That's the second time you've asked me that.\Huh?\What were those things?\They just showed up out of nowhere.\When we defeated them, there was no sign of their psyche dissipating.\Are you okay, Miss Isuzu? response:	Rundel Haus Code Race/ Human Sorcerer, Lv. 58 Guild: Log Horizon
context: Where did you come from? And where are you going?\That's the second time you've asked me that.\Huh?\What were those things?\They just showed up out of nowhere.\When we defeated them, there was no sign of their psyche dissipating.\Are you okay, Miss Isuzu?\Rundel Haus Code Race/ Human Sorcerer, Lv. 58 Guild: Log Horizon response:	Move Speed Up Psych Def Up Aggro Down Bonus Attack
context: That's the second time you've asked me that.\Huh?\What were those things?\They just showed up out of nowhere.\When we defeated them, there was no sign of their psyche dissipating.\Are you okay, Miss Isuzu?\Rundel Haus Code Race/ Human Sorcerer, Lv. 58 Guild: Log Horizon\Move Speed Up Psych Def Up Aggro Down Bonus Attack response:	Are you out of breath?
context: Huh?\What were those things?\They just showed up out of nowhere.\When we defeated them, there was no sign of their psyche dissipating.\Are you okay, Miss Isuzu?\Rundel Haus Code Race/ Human Sorcerer, Lv. 58 Guild: Log Horizon\Move Speed Up Psych Def Up Aggro Down Bonus Attack\Are you out of breath? response:	Yeah, I'm okay.
context: What were those things?\They just showed up out of nowhere.\When we defeated them, there was no sign of their psyche dissipating.\Are you okay, Miss Isuzu?\Rundel Haus Code Race/ Human Sorcerer, Lv. 58 Guild: Log Horizon\Move Speed Up Psych Def Up Aggro Down Bonus Attack\Are you out of breath?\Yeah, I'm okay. response:	What about you, Rudy?
context: They just showed up out of nowhere.\When we defeated them, there was no sign of their psyche dissipating.\Are you okay, Miss Isuzu?\Rundel Haus Code Race/ Human Sorcerer, Lv. 58 Guild: Log Horizon\Move Speed Up Psych Def Up Aggro Down Bonus Attack\Are you out of breath?\Yeah, I'm okay.\What about you, Rudy? response:	It's okay now.
context: When we defeated them, there was no sign of their psyche dissipating.\Are you okay, Miss Isuzu?\Rundel Haus Code Race/ Human Sorcerer, Lv. 58 Guild: Log Horizon\Move Speed Up Psych Def Up Aggro Down Bonus Attack\Are you out of breath?\Yeah, I'm okay.\What about you, Rudy?\It's okay now. response:	Wait, Wolfie! I'm coming!
context: Are you okay, Miss Isuzu?\Rundel Haus Code Race/ Human Sorcerer, Lv. 58 Guild: Log Horizon\Move Speed Up Psych Def Up Aggro Down Bonus Attack\Are you out of breath?\Yeah, I'm okay.\What about you, Rudy?\It's okay now.\Wait, Wolfie! I'm coming! response:	We're moving the battlefield to the city!
context: Rundel Haus Code Race/ Human Sorcerer, Lv. 58 Guild: Log Horizon\Move Speed Up Psych Def Up Aggro Down Bonus Attack\Are you out of breath?\Yeah, I'm okay.\What about you, Rudy?\It's okay now.\Wait, Wolfie! I'm coming!\We're moving the battlefield to the city! response:	Nightshade servants have joined the fray.
context: Move Speed Up Psych Def Up Aggro Down Bonus Attack\Are you out of breath?\Yeah, I'm okay.\What about you, Rudy?\It's okay now.\Wait, Wolfie! I'm coming!\We're moving the battlefield to the city!\Nightshade servants have joined the fray. response:	Kill them all!
context: Are you out of breath?\Yeah, I'm okay.\What about you, Rudy?\It's okay now.\Wait, Wolfie! I'm coming!\We're moving the battlefield to the city!\Nightshade servants have joined the fray.\Kill them all! response:	If we can ground the wyverns, they're easy prey!
context: Yeah, I'm okay.\What about you, Rudy?\It's okay now.\Wait, Wolfie! I'm coming!\We're moving the battlefield to the city!\Nightshade servants have joined the fray.\Kill them all!\If we can ground the wyverns, they're easy prey! response:	Lure them into the buildings and kill them all.
context: What about you, Rudy?\It's okay now.\Wait, Wolfie! I'm coming!\We're moving the battlefield to the city!\Nightshade servants have joined the fray.\Kill them all!\If we can ground the wyverns, they're easy prey!\Lure them into the buildings and kill them all. response:	All of them!
context: It's okay now.\Wait, Wolfie! I'm coming!\We're moving the battlefield to the city!\Nightshade servants have joined the fray.\Kill them all!\If we can ground the wyverns, they're easy prey!\Lure them into the buildings and kill them all.\All of them! response:	Don't let a single one escape!
context: Wait, Wolfie! I'm coming!\We're moving the battlefield to the city!\Nightshade servants have joined the fray.\Kill them all!\If we can ground the wyverns, they're easy prey!\Lure them into the buildings and kill them all.\All of them!\Don't let a single one escape! response:	Kill! Kill!
context: We're moving the battlefield to the city!\Nightshade servants have joined the fray.\Kill them all!\If we can ground the wyverns, they're easy prey!\Lure them into the buildings and kill them all.\All of them!\Don't let a single one escape!\Kill! Kill! response:	And then...
context: Nightshade servants have joined the fray.\Kill them all!\If we can ground the wyverns, they're easy prey!\Lure them into the buildings and kill them all.\All of them!\Don't let a single one escape!\Kill! Kill!\And then... response:	Die!
context: Kill them all!\If we can ground the wyverns, they're easy prey!\Lure them into the buildings and kill them all.\All of them!\Don't let a single one escape!\Kill! Kill!\And then...\Die! response:	Hey...
context: If we can ground the wyverns, they're easy prey!\Lure them into the buildings and kill them all.\All of them!\Don't let a single one escape!\Kill! Kill!\And then...\Die!\Hey... response:	Hey!
context: Lure them into the buildings and kill them all.\All of them!\Don't let a single one escape!\Kill! Kill!\And then...\Die!\Hey...\Hey! response:	Hey!
context: All of them!\Don't let a single one escape!\Kill! Kill!\And then...\Die!\Hey...\Hey!\Hey! response:	Tohya?
context: Don't let a single one escape!\Kill! Kill!\And then...\Die!\Hey...\Hey!\Hey!\Tohya? response:	Tohya?
context: Kill! Kill!\And then...\Die!\Hey...\Hey!\Hey!\Tohya?\Tohya? response:	Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2
context: And then...\Die!\Hey...\Hey!\Hey!\Tohya?\Tohya?\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2 response:	Tohya!
context: Die!\Hey...\Hey!\Hey!\Tohya?\Tohya?\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya! response:	Hey!
context: Hey...\Hey!\Hey!\Tohya?\Tohya?\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya!\Hey! response:	Why are you doing that?
context: Hey!\Hey!\Tohya?\Tohya?\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya!\Hey!\Why are you doing that? response:	You're...
context: Hey!\Tohya?\Tohya?\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya!\Hey!\Why are you doing that?\You're... response:	I thought the Odyssey Knights were supposed to protect people!
context: Tohya?\Tohya?\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya!\Hey!\Why are you doing that?\You're...\I thought the Odyssey Knights were supposed to protect people! response:	Why are you doing something so selfish?!
context: Tohya?\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya!\Hey!\Why are you doing that?\You're...\I thought the Odyssey Knights were supposed to protect people!\Why are you doing something so selfish?! response:	Everyone lives here!
context: Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya!\Hey!\Why are you doing that?\You're...\I thought the Odyssey Knights were supposed to protect people!\Why are you doing something so selfish?!\Everyone lives here! response:	We don't live here.
context: Tohya!\Hey!\Why are you doing that?\You're...\I thought the Odyssey Knights were supposed to protect people!\Why are you doing something so selfish?!\Everyone lives here!\We don't live here. response:	Th-That isn't what I mean.
context: Hey!\Why are you doing that?\You're...\I thought the Odyssey Knights were supposed to protect people!\Why are you doing something so selfish?!\Everyone lives here!\We don't live here.\Th-That isn't what I mean. response:	There are other ways to fight, aren't there?
context: Why are you doing that?\You're...\I thought the Odyssey Knights were supposed to protect people!\Why are you doing something so selfish?!\Everyone lives here!\We don't live here.\Th-That isn't what I mean.\There are other ways to fight, aren't there? response:	Why are you getting everyone caught up in this?
context: You're...\I thought the Odyssey Knights were supposed to protect people!\Why are you doing something so selfish?!\Everyone lives here!\We don't live here.\Th-That isn't what I mean.\There are other ways to fight, aren't there?\Why are you getting everyone caught up in this? response:	And... Why are sacrificing your own lives?
context: I thought the Odyssey Knights were supposed to protect people!\Why are you doing something so selfish?!\Everyone lives here!\We don't live here.\Th-That isn't what I mean.\There are other ways to fight, aren't there?\Why are you getting everyone caught up in this?\And... Why are sacrificing your own lives? response:	Stay out of this, kid.
context: Why are you doing something so selfish?!\Everyone lives here!\We don't live here.\Th-That isn't what I mean.\There are other ways to fight, aren't there?\Why are you getting everyone caught up in this?\And... Why are sacrificing your own lives?\Stay out of this, kid. response:	You said we were sacrificing our lives?
context: Everyone lives here!\We don't live here.\Th-That isn't what I mean.\There are other ways to fight, aren't there?\Why are you getting everyone caught up in this?\And... Why are sacrificing your own lives?\Stay out of this, kid.\You said we were sacrificing our lives? response:	But in this world, there is no death.
context: We don't live here.\Th-That isn't what I mean.\There are other ways to fight, aren't there?\Why are you getting everyone caught up in this?\And... Why are sacrificing your own lives?\Stay out of this, kid.\You said we were sacrificing our lives?\But in this world, there is no death. response:	It's impossible to take your own life.
context: Th-That isn't what I mean.\There are other ways to fight, aren't there?\Why are you getting everyone caught up in this?\And... Why are sacrificing your own lives?\Stay out of this, kid.\You said we were sacrificing our lives?\But in this world, there is no death.\It's impossible to take your own life. response:	But that's...
context: There are other ways to fight, aren't there?\Why are you getting everyone caught up in this?\And... Why are sacrificing your own lives?\Stay out of this, kid.\You said we were sacrificing our lives?\But in this world, there is no death.\It's impossible to take your own life.\But that's... response:	We want to go back.
context: Why are you getting everyone caught up in this?\And... Why are sacrificing your own lives?\Stay out of this, kid.\You said we were sacrificing our lives?\But in this world, there is no death.\It's impossible to take your own life.\But that's...\We want to go back. response:	We're going home.
context: And... Why are sacrificing your own lives?\Stay out of this, kid.\You said we were sacrificing our lives?\But in this world, there is no death.\It's impossible to take your own life.\But that's...\We want to go back.\We're going home. response:	Did you know?
context: Stay out of this, kid.\You said we were sacrificing our lives?\But in this world, there is no death.\It's impossible to take your own life.\But that's...\We want to go back.\We're going home.\Did you know? response:	When you die, you can see your family.
context: You said we were sacrificing our lives?\But in this world, there is no death.\It's impossible to take your own life.\But that's...\We want to go back.\We're going home.\Did you know?\When you die, you can see your family. response:	When you die, you can see a little bit of the old world.
context: But in this world, there is no death.\It's impossible to take your own life.\But that's...\We want to go back.\We're going home.\Did you know?\When you die, you can see your family.\When you die, you can see a little bit of the old world. response:	You can see that world.
context: It's impossible to take your own life.\But that's...\We want to go back.\We're going home.\Did you know?\When you die, you can see your family.\When you die, you can see a little bit of the old world.\You can see that world. response:	I'm sure that place is somehow connected to it.
context: But that's...\We want to go back.\We're going home.\Did you know?\When you die, you can see your family.\When you die, you can see a little bit of the old world.\You can see that world.\I'm sure that place is somehow connected to it. response:	If we die, and die, and keep dying...
context: We want to go back.\We're going home.\Did you know?\When you die, you can see your family.\When you die, you can see a little bit of the old world.\You can see that world.\I'm sure that place is somehow connected to it.\If we die, and die, and keep dying... response:	Someday, we'll be able to go home.
context: We're going home.\Did you know?\When you die, you can see your family.\When you die, you can see a little bit of the old world.\You can see that world.\I'm sure that place is somehow connected to it.\If we die, and die, and keep dying...\Someday, we'll be able to go home. response:	That's not...
context: Did you know?\When you die, you can see your family.\When you die, you can see a little bit of the old world.\You can see that world.\I'm sure that place is somehow connected to it.\If we die, and die, and keep dying...\Someday, we'll be able to go home.\That's not... response:	I was supposed to get married in the summer.
context: When you die, you can see your family.\When you die, you can see a little bit of the old world.\You can see that world.\I'm sure that place is somehow connected to it.\If we die, and die, and keep dying...\Someday, we'll be able to go home.\That's not...\I was supposed to get married in the summer. response:	I was going to quit this game then.
context: When you die, you can see a little bit of the old world.\You can see that world.\I'm sure that place is somehow connected to it.\If we die, and die, and keep dying...\Someday, we'll be able to go home.\That's not...\I was supposed to get married in the summer.\I was going to quit this game then. response:	I even went to an open house for an apartment.
context: You can see that world.\I'm sure that place is somehow connected to it.\If we die, and die, and keep dying...\Someday, we'll be able to go home.\That's not...\I was supposed to get married in the summer.\I was going to quit this game then.\I even went to an open house for an apartment. response:	I'm going to have a wife.
context: I'm sure that place is somehow connected to it.\If we die, and die, and keep dying...\Someday, we'll be able to go home.\That's not...\I was supposed to get married in the summer.\I was going to quit this game then.\I even went to an open house for an apartment.\I'm going to have a wife. response:	I can't keep playing around with this nonsense.
context: If we die, and die, and keep dying...\Someday, we'll be able to go home.\That's not...\I was supposed to get married in the summer.\I was going to quit this game then.\I even went to an open house for an apartment.\I'm going to have a wife.\I can't keep playing around with this nonsense. response:	When my lease is up, I'm going to move.
context: Someday, we'll be able to go home.\That's not...\I was supposed to get married in the summer.\I was going to quit this game then.\I even went to an open house for an apartment.\I'm going to have a wife.\I can't keep playing around with this nonsense.\When my lease is up, I'm going to move. response:	She's a real handful, that girl...
context: That's not...\I was supposed to get married in the summer.\I was going to quit this game then.\I even went to an open house for an apartment.\I'm going to have a wife.\I can't keep playing around with this nonsense.\When my lease is up, I'm going to move.\She's a real handful, that girl... response:	She complains every day, because she wants to leave her parents' house.
context: I was supposed to get married in the summer.\I was going to quit this game then.\I even went to an open house for an apartment.\I'm going to have a wife.\I can't keep playing around with this nonsense.\When my lease is up, I'm going to move.\She's a real handful, that girl...\She complains every day, because she wants to leave her parents' house. response:	I need to get her out of there.
context: I was going to quit this game then.\I even went to an open house for an apartment.\I'm going to have a wife.\I can't keep playing around with this nonsense.\When my lease is up, I'm going to move.\She's a real handful, that girl...\She complains every day, because she wants to leave her parents' house.\I need to get her out of there. response:	Mentally, she's a little weak, so I need to take care of her.
context: I even went to an open house for an apartment.\I'm going to have a wife.\I can't keep playing around with this nonsense.\When my lease is up, I'm going to move.\She's a real handful, that girl...\She complains every day, because she wants to leave her parents' house.\I need to get her out of there.\Mentally, she's a little weak, so I need to take care of her. response:	You understand, right?
context: I'm going to have a wife.\I can't keep playing around with this nonsense.\When my lease is up, I'm going to move.\She's a real handful, that girl...\She complains every day, because she wants to leave her parents' house.\I need to get her out of there.\Mentally, she's a little weak, so I need to take care of her.\You understand, right? response:	You also hate this stupid farce, don't you?
context: I can't keep playing around with this nonsense.\When my lease is up, I'm going to move.\She's a real handful, that girl...\She complains every day, because she wants to leave her parents' house.\I need to get her out of there.\Mentally, she's a little weak, so I need to take care of her.\You understand, right?\You also hate this stupid farce, don't you? response:	But there are lots of people I care about in this world!
context: When my lease is up, I'm going to move.\She's a real handful, that girl...\She complains every day, because she wants to leave her parents' house.\I need to get her out of there.\Mentally, she's a little weak, so I need to take care of her.\You understand, right?\You also hate this stupid farce, don't you?\But there are lots of people I care about in this world! response:	This world
context: She's a real handful, that girl...\She complains every day, because she wants to leave her parents' house.\I need to get her out of there.\Mentally, she's a little weak, so I need to take care of her.\You understand, right?\You also hate this stupid farce, don't you?\But there are lots of people I care about in this world!\This world response:	is real, too!
context: She complains every day, because she wants to leave her parents' house.\I need to get her out of there.\Mentally, she's a little weak, so I need to take care of her.\You understand, right?\You also hate this stupid farce, don't you?\But there are lots of people I care about in this world!\This world\is real, too! response:	Don't be stupid!
context: I need to get her out of there.\Mentally, she's a little weak, so I need to take care of her.\You understand, right?\You also hate this stupid farce, don't you?\But there are lots of people I care about in this world!\This world\is real, too!\Don't be stupid! response:	A world where you can't die?
context: Mentally, she's a little weak, so I need to take care of her.\You understand, right?\You also hate this stupid farce, don't you?\But there are lots of people I care about in this world!\This world\is real, too!\Don't be stupid!\A world where you can't die? response:	That's... That's a game!
context: You understand, right?\You also hate this stupid farce, don't you?\But there are lots of people I care about in this world!\This world\is real, too!\Don't be stupid!\A world where you can't die?\That's... That's a game! response:	A world like that can't be real!
context: You also hate this stupid farce, don't you?\But there are lots of people I care about in this world!\This world\is real, too!\Don't be stupid!\A world where you can't die?\That's... That's a game!\A world like that can't be real! response:	It's because people like you keep living...
context: But there are lots of people I care about in this world!\This world\is real, too!\Don't be stupid!\A world where you can't die?\That's... That's a game!\A world like that can't be real!\It's because people like you keep living... response:	Because not everyone is dying...
context: This world\is real, too!\Don't be stupid!\A world where you can't die?\That's... That's a game!\A world like that can't be real!\It's because people like you keep living...\Because not everyone is dying... response:	That we can't leave this world!
context: is real, too!\Don't be stupid!\A world where you can't die?\That's... That's a game!\A world like that can't be real!\It's because people like you keep living...\Because not everyone is dying...\That we can't leave this world! response:	Is it that important
context: Don't be stupid!\A world where you can't die?\That's... That's a game!\A world like that can't be real!\It's because people like you keep living...\Because not everyone is dying...\That we can't leave this world!\Is it that important response:	whether you can die or not?
context: A world where you can't die?\That's... That's a game!\A world like that can't be real!\It's because people like you keep living...\Because not everyone is dying...\That we can't leave this world!\Is it that important\whether you can die or not? response:	Tohya...
context: That's... That's a game!\A world like that can't be real!\It's because people like you keep living...\Because not everyone is dying...\That we can't leave this world!\Is it that important\whether you can die or not?\Tohya... response:	Is that...
context: A world like that can't be real!\It's because people like you keep living...\Because not everyone is dying...\That we can't leave this world!\Is it that important\whether you can die or not?\Tohya...\Is that... response:	Hey, are you okay?
context: It's because people like you keep living...\Because not everyone is dying...\That we can't leave this world!\Is it that important\whether you can die or not?\Tohya...\Is that...\Hey, are you okay? response:	Get an ambulance!
context: Because not everyone is dying...\That we can't leave this world!\Is it that important\whether you can die or not?\Tohya...\Is that...\Hey, are you okay?\Get an ambulance! response:	The driver's not going to make it...
context: That we can't leave this world!\Is it that important\whether you can die or not?\Tohya...\Is that...\Hey, are you okay?\Get an ambulance!\The driver's not going to make it... response:	Tohya!
context: Is it that important\whether you can die or not?\Tohya...\Is that...\Hey, are you okay?\Get an ambulance!\The driver's not going to make it...\Tohya! response:	Can you see me?
context: whether you can die or not?\Tohya...\Is that...\Hey, are you okay?\Get an ambulance!\The driver's not going to make it...\Tohya!\Can you see me? response:	It's Minori!
context: Tohya...\Is that...\Hey, are you okay?\Get an ambulance!\The driver's not going to make it...\Tohya!\Can you see me?\It's Minori! response:	Have you ever died?
context: Is that...\Hey, are you okay?\Get an ambulance!\The driver's not going to make it...\Tohya!\Can you see me?\It's Minori!\Have you ever died? response:	Did you ever die in the old world?
context: Hey, are you okay?\Get an ambulance!\The driver's not going to make it...\Tohya!\Can you see me?\It's Minori!\Have you ever died?\Did you ever die in the old world? response:	Were you ever so close to death that you may as well
context: Get an ambulance!\The driver's not going to make it...\Tohya!\Can you see me?\It's Minori!\Have you ever died?\Did you ever die in the old world?\Were you ever so close to death that you may as well response:	have been dead?
context: The driver's not going to make it...\Tohya!\Can you see me?\It's Minori!\Have you ever died?\Did you ever die in the old world?\Were you ever so close to death that you may as well\have been dead? response:	If you've got a problem with me, call the GMs.
context: Tohya!\Can you see me?\It's Minori!\Have you ever died?\Did you ever die in the old world?\Were you ever so close to death that you may as well\have been dead?\If you've got a problem with me, call the GMs. response:	If I'm at fault, they'll ban me.
context: Can you see me?\It's Minori!\Have you ever died?\Did you ever die in the old world?\Were you ever so close to death that you may as well\have been dead?\If you've got a problem with me, call the GMs.\If I'm at fault, they'll ban me. response:	Otherwise, you die, too.
context: It's Minori!\Have you ever died?\Did you ever die in the old world?\Were you ever so close to death that you may as well\have been dead?\If you've got a problem with me, call the GMs.\If I'm at fault, they'll ban me.\Otherwise, you die, too. response:	I mean, I understand...
context: Have you ever died?\Did you ever die in the old world?\Were you ever so close to death that you may as well\have been dead?\If you've got a problem with me, call the GMs.\If I'm at fault, they'll ban me.\Otherwise, you die, too.\I mean, I understand... response:	I understand wanting to go home.
context: Did you ever die in the old world?\Were you ever so close to death that you may as well\have been dead?\If you've got a problem with me, call the GMs.\If I'm at fault, they'll ban me.\Otherwise, you die, too.\I mean, I understand...\I understand wanting to go home. response:	But...
context: Were you ever so close to death that you may as well\have been dead?\If you've got a problem with me, call the GMs.\If I'm at fault, they'll ban me.\Otherwise, you die, too.\I mean, I understand...\I understand wanting to go home.\But... response:	Miss Isuzu...
