context: The port town of Hargeon... response:	A Fairy Tail ship has just set sail from here.
context: I've known Fried for a long time, too.\Evergreen!\Perhaps a more complicated trap would've been a problem,\but I can rewrite a rune like this.\Let's go, Elfman!\Man!\Dammit!\How many more minutes'til it turns off? response:	There are still 4 minutes left.
context: Evergreen!\Perhaps a more complicated trap would've been a problem,\but I can rewrite a rune like this.\Let's go, Elfman!\Man!\Dammit!\How many more minutes'til it turns off?\There are still 4 minutes left. response:	Then Levy escaped the rune in just one minute?
context: Perhaps a more complicated trap would've been a problem,\but I can rewrite a rune like this.\Let's go, Elfman!\Man!\Dammit!\How many more minutes'til it turns off?\There are still 4 minutes left.\Then Levy escaped the rune in just one minute? response:	5 minutes later...
context: but I can rewrite a rune like this.\Let's go, Elfman!\Man!\Dammit!\How many more minutes'til it turns off?\There are still 4 minutes left.\Then Levy escaped the rune in just one minute?\5 minutes later... response:	It's dispelled!
context: Let's go, Elfman!\Man!\Dammit!\How many more minutes'til it turns off?\There are still 4 minutes left.\Then Levy escaped the rune in just one minute?\5 minutes later...\It's dispelled! response:	Let's go, Lucy!
context: Man!\Dammit!\How many more minutes'til it turns off?\There are still 4 minutes left.\Then Levy escaped the rune in just one minute?\5 minutes later...\It's dispelled!\Let's go, Lucy! response:	Yeah!
context: Dammit!\How many more minutes'til it turns off?\There are still 4 minutes left.\Then Levy escaped the rune in just one minute?\5 minutes later...\It's dispelled!\Let's go, Lucy!\Yeah! response:	Come on, Loke!
context: How many more minutes'til it turns off?\There are still 4 minutes left.\Then Levy escaped the rune in just one minute?\5 minutes later...\It's dispelled!\Let's go, Lucy!\Yeah!\Come on, Loke! response:	At least wear underpants!
context: There are still 4 minutes left.\Then Levy escaped the rune in just one minute?\5 minutes later...\It's dispelled!\Let's go, Lucy!\Yeah!\Come on, Loke!\At least wear underpants! response:	Happy!
context: Then Levy escaped the rune in just one minute?\5 minutes later...\It's dispelled!\Let's go, Lucy!\Yeah!\Come on, Loke!\At least wear underpants!\Happy! response:	Aye, sir!
context: 5 minutes later...\It's dispelled!\Let's go, Lucy!\Yeah!\Come on, Loke!\At least wear underpants!\Happy!\Aye, sir! response:	Ice Make...
context: It's dispelled!\Let's go, Lucy!\Yeah!\Come on, Loke!\At least wear underpants!\Happy!\Aye, sir!\Ice Make... response:	Floor!
context: Let's go, Lucy!\Yeah!\Come on, Loke!\At least wear underpants!\Happy!\Aye, sir!\Ice Make...\Floor! response:	He turned the surface of the water to ice!
context: Yeah!\Come on, Loke!\At least wear underpants!\Happy!\Aye, sir!\Ice Make...\Floor!\He turned the surface of the water to ice! response:	Lisanna-san, would you follow me?
context: Come on, Loke!\At least wear underpants!\Happy!\Aye, sir!\Ice Make...\Floor!\He turned the surface of the water to ice!\Lisanna-san, would you follow me? response:	Of course!
context: At least wear underpants!\Happy!\Aye, sir!\Ice Make...\Floor!\He turned the surface of the water to ice!\Lisanna-san, would you follow me?\Of course! response:	The sea and a fish?!
context: Happy!\Aye, sir!\Ice Make...\Floor!\He turned the surface of the water to ice!\Lisanna-san, would you follow me?\Of course!\The sea and a fish?! response:	Hey, Cana! We're last!
context: Aye, sir!\Ice Make...\Floor!\He turned the surface of the water to ice!\Lisanna-san, would you follow me?\Of course!\The sea and a fish?!\Hey, Cana! We're last! response:	No, Mest and Wendy are still up here.
context: Ice Make...\Floor!\He turned the surface of the water to ice!\Lisanna-san, would you follow me?\Of course!\The sea and a fish?!\Hey, Cana! We're last!\No, Mest and Wendy are still up here. response:	Where?!
context: Floor!\He turned the surface of the water to ice!\Lisanna-san, would you follow me?\Of course!\The sea and a fish?!\Hey, Cana! We're last!\No, Mest and Wendy are still up here.\Where?! response:	They disappeared?!
context: He turned the surface of the water to ice!\Lisanna-san, would you follow me?\Of course!\The sea and a fish?!\Hey, Cana! We're last!\No, Mest and Wendy are still up here.\Where?!\They disappeared?! response:	When?!
context: Lisanna-san, would you follow me?\Of course!\The sea and a fish?!\Hey, Cana! We're last!\No, Mest and Wendy are still up here.\Where?!\They disappeared?!\When?! response:	If we don't hurry, we won't be able to choose our passage!
context: Of course!\The sea and a fish?!\Hey, Cana! We're last!\No, Mest and Wendy are still up here.\Where?!\They disappeared?!\When?!\If we don't hurry, we won't be able to choose our passage! response:	This island... I'm feeling great magical power coming from the ground.
context: The sea and a fish?!\Hey, Cana! We're last!\No, Mest and Wendy are still up here.\Where?!\They disappeared?!\When?!\If we don't hurry, we won't be able to choose our passage!\This island... I'm feeling great magical power coming from the ground. response:	Yeah...
context: Hey, Cana! We're last!\No, Mest and Wendy are still up here.\Where?!\They disappeared?!\When?!\If we don't hurry, we won't be able to choose our passage!\This island... I'm feeling great magical power coming from the ground.\Yeah... response:	Let's go!
context: No, Mest and Wendy are still up here.\Where?!\They disappeared?!\When?!\If we don't hurry, we won't be able to choose our passage!\This island... I'm feeling great magical power coming from the ground.\Yeah...\Let's go! response:	H route is blocked. F route is blocked. B route is blocked. A route is blocked.
context: Where?!\They disappeared?!\When?!\If we don't hurry, we won't be able to choose our passage!\This island... I'm feeling great magical power coming from the ground.\Yeah...\Let's go!\H route is blocked. F route is blocked. B route is blocked. A route is blocked. response:	Hey!
context: They disappeared?!\When?!\If we don't hurry, we won't be able to choose our passage!\This island... I'm feeling great magical power coming from the ground.\Yeah...\Let's go!\H route is blocked. F route is blocked. B route is blocked. A route is blocked.\Hey! response:	4 routes are sealed up?!
context: When?!\If we don't hurry, we won't be able to choose our passage!\This island... I'm feeling great magical power coming from the ground.\Yeah...\Let's go!\H route is blocked. F route is blocked. B route is blocked. A route is blocked.\Hey!\4 routes are sealed up?! response:	Which one should we pick, Natsu?
context: If we don't hurry, we won't be able to choose our passage!\This island... I'm feeling great magical power coming from the ground.\Yeah...\Let's go!\H route is blocked. F route is blocked. B route is blocked. A route is blocked.\Hey!\4 routes are sealed up?!\Which one should we pick, Natsu? response:	Mmm...
context: This island... I'm feeling great magical power coming from the ground.\Yeah...\Let's go!\H route is blocked. F route is blocked. B route is blocked. A route is blocked.\Hey!\4 routes are sealed up?!\Which one should we pick, Natsu?\Mmm... response:	That's gotta be E for Erza!
context: Yeah...\Let's go!\H route is blocked. F route is blocked. B route is blocked. A route is blocked.\Hey!\4 routes are sealed up?!\Which one should we pick, Natsu?\Mmm...\That's gotta be E for Erza! response:	Why would you choose Erza?
context: Let's go!\H route is blocked. F route is blocked. B route is blocked. A route is blocked.\Hey!\4 routes are sealed up?!\Which one should we pick, Natsu?\Mmm...\That's gotta be E for Erza!\Why would you choose Erza? response:	'Cause I wanna take her down, of course!
context: H route is blocked. F route is blocked. B route is blocked. A route is blocked.\Hey!\4 routes are sealed up?!\Which one should we pick, Natsu?\Mmm...\That's gotta be E for Erza!\Why would you choose Erza?\'Cause I wanna take her down, of course! response:	Wait for me, Erza!
context: Hey!\4 routes are sealed up?!\Which one should we pick, Natsu?\Mmm...\That's gotta be E for Erza!\Why would you choose Erza?\'Cause I wanna take her down, of course!\Wait for me, Erza! response:	He's made up his mind that Erza's down this way...
context: 4 routes are sealed up?!\Which one should we pick, Natsu?\Mmm...\That's gotta be E for Erza!\Why would you choose Erza?\'Cause I wanna take her down, of course!\Wait for me, Erza!\He's made up his mind that Erza's down this way... response:	E route is blocked.
context: Which one should we pick, Natsu?\Mmm...\That's gotta be E for Erza!\Why would you choose Erza?\'Cause I wanna take her down, of course!\Wait for me, Erza!\He's made up his mind that Erza's down this way...\E route is blocked. response:	There are 7 X's. Then we are last...
context: Mmm...\That's gotta be E for Erza!\Why would you choose Erza?\'Cause I wanna take her down, of course!\Wait for me, Erza!\He's made up his mind that Erza's down this way...\E route is blocked.\There are 7 X's. Then we are last... response:	It's okay! Like they say, saving the best for last.
context: That's gotta be E for Erza!\Why would you choose Erza?\'Cause I wanna take her down, of course!\Wait for me, Erza!\He's made up his mind that Erza's down this way...\E route is blocked.\There are 7 X's. Then we are last...\It's okay! Like they say, saving the best for last. response:	If I have one good point, it's that I'm lucky.
context: Why would you choose Erza?\'Cause I wanna take her down, of course!\Wait for me, Erza!\He's made up his mind that Erza's down this way...\E route is blocked.\There are 7 X's. Then we are last...\It's okay! Like they say, saving the best for last.\If I have one good point, it's that I'm lucky. response:	We'll make you into an S Class wizard for sure, Cana!
context: 'Cause I wanna take her down, of course!\Wait for me, Erza!\He's made up his mind that Erza's down this way...\E route is blocked.\There are 7 X's. Then we are last...\It's okay! Like they say, saving the best for last.\If I have one good point, it's that I'm lucky.\We'll make you into an S Class wizard for sure, Cana! response:	Yeah. Thank you, Lucy.
context: Wait for me, Erza!\He's made up his mind that Erza's down this way...\E route is blocked.\There are 7 X's. Then we are last...\It's okay! Like they say, saving the best for last.\If I have one good point, it's that I'm lucky.\We'll make you into an S Class wizard for sure, Cana!\Yeah. Thank you, Lucy. response:	It's lighter in here than I thought it'd be.
context: He's made up his mind that Erza's down this way...\E route is blocked.\There are 7 X's. Then we are last...\It's okay! Like they say, saving the best for last.\If I have one good point, it's that I'm lucky.\We'll make you into an S Class wizard for sure, Cana!\Yeah. Thank you, Lucy.\It's lighter in here than I thought it'd be. response:	Because of the Spirit Light bugs, which are summer bugs with glowing bodies.
context: E route is blocked.\There are 7 X's. Then we are last...\It's okay! Like they say, saving the best for last.\If I have one good point, it's that I'm lucky.\We'll make you into an S Class wizard for sure, Cana!\Yeah. Thank you, Lucy.\It's lighter in here than I thought it'd be.\Because of the Spirit Light bugs, which are summer bugs with glowing bodies. response:	That voice!
context: There are 7 X's. Then we are last...\It's okay! Like they say, saving the best for last.\If I have one good point, it's that I'm lucky.\We'll make you into an S Class wizard for sure, Cana!\Yeah. Thank you, Lucy.\It's lighter in here than I thought it'd be.\Because of the Spirit Light bugs, which are summer bugs with glowing bodies.\That voice! response:	Who's there?!
context: It's okay! Like they say, saving the best for last.\If I have one good point, it's that I'm lucky.\We'll make you into an S Class wizard for sure, Cana!\Yeah. Thank you, Lucy.\It's lighter in here than I thought it'd be.\Because of the Spirit Light bugs, which are summer bugs with glowing bodies.\That voice!\Who's there?! response:	Don't tell me this is...
context: If I have one good point, it's that I'm lucky.\We'll make you into an S Class wizard for sure, Cana!\Yeah. Thank you, Lucy.\It's lighter in here than I thought it'd be.\Because of the Spirit Light bugs, which are summer bugs with glowing bodies.\That voice!\Who's there?!\Don't tell me this is... response:	Battle
context: We'll make you into an S Class wizard for sure, Cana!\Yeah. Thank you, Lucy.\It's lighter in here than I thought it'd be.\Because of the Spirit Light bugs, which are summer bugs with glowing bodies.\That voice!\Who's there?!\Don't tell me this is...\Battle response:	Battle?!
context: Yeah. Thank you, Lucy.\It's lighter in here than I thought it'd be.\Because of the Spirit Light bugs, which are summer bugs with glowing bodies.\That voice!\Who's there?!\Don't tell me this is...\Battle\Battle?! response:	I was right! Cana and that cosplayer...
context: It's lighter in here than I thought it'd be.\Because of the Spirit Light bugs, which are summer bugs with glowing bodies.\That voice!\Who's there?!\Don't tell me this is...\Battle\Battle?!\I was right! Cana and that cosplayer... response:	It's Lucy!
context: Because of the Spirit Light bugs, which are summer bugs with glowing bodies.\That voice!\Who's there?!\Don't tell me this is...\Battle\Battle?!\I was right! Cana and that cosplayer...\It's Lucy! response:	So we're supposed to fight you, eh?
context: That voice!\Who's there?!\Don't tell me this is...\Battle\Battle?!\I was right! Cana and that cosplayer...\It's Lucy!\So we're supposed to fight you, eh? response:	Fried and Bickslow are members of the Thunder God Tribe.
context: Who's there?!\Don't tell me this is...\Battle\Battle?!\I was right! Cana and that cosplayer...\It's Lucy!\So we're supposed to fight you, eh?\Fried and Bickslow are members of the Thunder God Tribe. response:	Some time ago, in the Battle of Fairy Tail,
context: Don't tell me this is...\Battle\Battle?!\I was right! Cana and that cosplayer...\It's Lucy!\So we're supposed to fight you, eh?\Fried and Bickslow are members of the Thunder God Tribe.\Some time ago, in the Battle of Fairy Tail, response:	Lucy and Cana had a showdown with these two.
context: Battle\Battle?!\I was right! Cana and that cosplayer...\It's Lucy!\So we're supposed to fight you, eh?\Fried and Bickslow are members of the Thunder God Tribe.\Some time ago, in the Battle of Fairy Tail,\Lucy and Cana had a showdown with these two. response:	However...
context: Battle?!\I was right! Cana and that cosplayer...\It's Lucy!\So we're supposed to fight you, eh?\Fried and Bickslow are members of the Thunder God Tribe.\Some time ago, in the Battle of Fairy Tail,\Lucy and Cana had a showdown with these two.\However... response:	Saving what for last, Lucy?
context: I was right! Cana and that cosplayer...\It's Lucy!\So we're supposed to fight you, eh?\Fried and Bickslow are members of the Thunder God Tribe.\Some time ago, in the Battle of Fairy Tail,\Lucy and Cana had a showdown with these two.\However...\Saving what for last, Lucy? response:	The Thunder God Tribe...
context: It's Lucy!\So we're supposed to fight you, eh?\Fried and Bickslow are members of the Thunder God Tribe.\Some time ago, in the Battle of Fairy Tail,\Lucy and Cana had a showdown with these two.\However...\Saving what for last, Lucy?\The Thunder God Tribe... response:	The person who couldn't even touch Fried...
context: So we're supposed to fight you, eh?\Fried and Bickslow are members of the Thunder God Tribe.\Some time ago, in the Battle of Fairy Tail,\Lucy and Cana had a showdown with these two.\However...\Saving what for last, Lucy?\The Thunder God Tribe...\The person who couldn't even touch Fried... response:	The one who was beaten by Bickslow when Loke wasn't around to fight for her...
context: Fried and Bickslow are members of the Thunder God Tribe.\Some time ago, in the Battle of Fairy Tail,\Lucy and Cana had a showdown with these two.\However...\Saving what for last, Lucy?\The Thunder God Tribe...\The person who couldn't even touch Fried...\The one who was beaten by Bickslow when Loke wasn't around to fight for her... response:	Tenroujima...
context: Some time ago, in the Battle of Fairy Tail,\Lucy and Cana had a showdown with these two.\However...\Saving what for last, Lucy?\The Thunder God Tribe...\The person who couldn't even touch Fried...\The one who was beaten by Bickslow when Loke wasn't around to fight for her...\Tenroujima... response:	During the first trial to be promoted to an S Class wizard,
context: Lucy and Cana had a showdown with these two.\However...\Saving what for last, Lucy?\The Thunder God Tribe...\The person who couldn't even touch Fried...\The one who was beaten by Bickslow when Loke wasn't around to fight for her...\Tenroujima...\During the first trial to be promoted to an S Class wizard, response:	Lucy and Cana, the last of the 8 pairs to arrive, took the last passage left.
context: However...\Saving what for last, Lucy?\The Thunder God Tribe...\The person who couldn't even touch Fried...\The one who was beaten by Bickslow when Loke wasn't around to fight for her...\Tenroujima...\During the first trial to be promoted to an S Class wizard,\Lucy and Cana, the last of the 8 pairs to arrive, took the last passage left. response:	It turned out to be a Battle route, where two pairs must fight each other.
context: Saving what for last, Lucy?\The Thunder God Tribe...\The person who couldn't even touch Fried...\The one who was beaten by Bickslow when Loke wasn't around to fight for her...\Tenroujima...\During the first trial to be promoted to an S Class wizard,\Lucy and Cana, the last of the 8 pairs to arrive, took the last passage left.\It turned out to be a Battle route, where two pairs must fight each other. response:	And what's being tested in this first stage...
context: The Thunder God Tribe...\The person who couldn't even touch Fried...\The one who was beaten by Bickslow when Loke wasn't around to fight for her...\Tenroujima...\During the first trial to be promoted to an S Class wizard,\Lucy and Cana, the last of the 8 pairs to arrive, took the last passage left.\It turned out to be a Battle route, where two pairs must fight each other.\And what's being tested in this first stage... response:	is military might...
context: The person who couldn't even touch Fried...\The one who was beaten by Bickslow when Loke wasn't around to fight for her...\Tenroujima...\During the first trial to be promoted to an S Class wizard,\Lucy and Cana, the last of the 8 pairs to arrive, took the last passage left.\It turned out to be a Battle route, where two pairs must fight each other.\And what's being tested in this first stage...\is military might... response:	and luck.
context: The one who was beaten by Bickslow when Loke wasn't around to fight for her...\Tenroujima...\During the first trial to be promoted to an S Class wizard,\Lucy and Cana, the last of the 8 pairs to arrive, took the last passage left.\It turned out to be a Battle route, where two pairs must fight each other.\And what's being tested in this first stage...\is military might...\and luck. response:	It seems only the pair that wins can proceed through there!
context: Tenroujima...\During the first trial to be promoted to an S Class wizard,\Lucy and Cana, the last of the 8 pairs to arrive, took the last passage left.\It turned out to be a Battle route, where two pairs must fight each other.\And what's being tested in this first stage...\is military might...\and luck.\It seems only the pair that wins can proceed through there! response:	It seems! It seems!
context: During the first trial to be promoted to an S Class wizard,\Lucy and Cana, the last of the 8 pairs to arrive, took the last passage left.\It turned out to be a Battle route, where two pairs must fight each other.\And what's being tested in this first stage...\is military might...\and luck.\It seems only the pair that wins can proceed through there!\It seems! It seems! response:	I'm sorry, but this is as far as you go, Cana.
context: Lucy and Cana, the last of the 8 pairs to arrive, took the last passage left.\It turned out to be a Battle route, where two pairs must fight each other.\And what's being tested in this first stage...\is military might...\and luck.\It seems only the pair that wins can proceed through there!\It seems! It seems!\I'm sorry, but this is as far as you go, Cana. response:	I'm going to be the one to take Laxus's place.
context: It turned out to be a Battle route, where two pairs must fight each other.\And what's being tested in this first stage...\is military might...\and luck.\It seems only the pair that wins can proceed through there!\It seems! It seems!\I'm sorry, but this is as far as you go, Cana.\I'm going to be the one to take Laxus's place. response:	Fine!
context: And what's being tested in this first stage...\is military might...\and luck.\It seems only the pair that wins can proceed through there!\It seems! It seems!\I'm sorry, but this is as far as you go, Cana.\I'm going to be the one to take Laxus's place.\Fine! response:	I've got my own reason for becoming an S Class wizard!
context: is military might...\and luck.\It seems only the pair that wins can proceed through there!\It seems! It seems!\I'm sorry, but this is as far as you go, Cana.\I'm going to be the one to take Laxus's place.\Fine!\I've got my own reason for becoming an S Class wizard! response:	So it's on!
context: and luck.\It seems only the pair that wins can proceed through there!\It seems! It seems!\I'm sorry, but this is as far as you go, Cana.\I'm going to be the one to take Laxus's place.\Fine!\I've got my own reason for becoming an S Class wizard!\So it's on! response:	But before that, why don't you put on some clothes?
context: It seems only the pair that wins can proceed through there!\It seems! It seems!\I'm sorry, but this is as far as you go, Cana.\I'm going to be the one to take Laxus's place.\Fine!\I've got my own reason for becoming an S Class wizard!\So it's on!\But before that, why don't you put on some clothes? response:	This way is better, Fried!
context: It seems! It seems!\I'm sorry, but this is as far as you go, Cana.\I'm going to be the one to take Laxus's place.\Fine!\I've got my own reason for becoming an S Class wizard!\So it's on!\But before that, why don't you put on some clothes?\This way is better, Fried! response:	Better! Better!
context: I'm sorry, but this is as far as you go, Cana.\I'm going to be the one to take Laxus's place.\Fine!\I've got my own reason for becoming an S Class wizard!\So it's on!\But before that, why don't you put on some clothes?\This way is better, Fried!\Better! Better! response:	No, it's not! It's distracting!
context: I'm going to be the one to take Laxus's place.\Fine!\I've got my own reason for becoming an S Class wizard!\So it's on!\But before that, why don't you put on some clothes?\This way is better, Fried!\Better! Better!\No, it's not! It's distracting! response:	In that case...
context: Fine!\I've got my own reason for becoming an S Class wizard!\So it's on!\But before that, why don't you put on some clothes?\This way is better, Fried!\Better! Better!\No, it's not! It's distracting!\In that case... response:	Sexy Lady Cards!
context: I've got my own reason for becoming an S Class wizard!\So it's on!\But before that, why don't you put on some clothes?\This way is better, Fried!\Better! Better!\No, it's not! It's distracting!\In that case...\Sexy Lady Cards! response:	Ladies coming out of the cards?!
context: So it's on!\But before that, why don't you put on some clothes?\This way is better, Fried!\Better! Better!\No, it's not! It's distracting!\In that case...\Sexy Lady Cards!\Ladies coming out of the cards?! response:	You have no sense of decency!
context: But before that, why don't you put on some clothes?\This way is better, Fried!\Better! Better!\No, it's not! It's distracting!\In that case...\Sexy Lady Cards!\Ladies coming out of the cards?!\You have no sense of decency! response:	Keep it together, Fried!
context: This way is better, Fried!\Better! Better!\No, it's not! It's distracting!\In that case...\Sexy Lady Cards!\Ladies coming out of the cards?!\You have no sense of decency!\Keep it together, Fried! response:	What's going on?!
context: Better! Better!\No, it's not! It's distracting!\In that case...\Sexy Lady Cards!\Ladies coming out of the cards?!\You have no sense of decency!\Keep it together, Fried!\What's going on?! response:	I figured as much! He has a weakness for women!
context: No, it's not! It's distracting!\In that case...\Sexy Lady Cards!\Ladies coming out of the cards?!\You have no sense of decency!\Keep it together, Fried!\What's going on?!\I figured as much! He has a weakness for women! response:	Fine! I'll just have to deal with you myself!
context: In that case...\Sexy Lady Cards!\Ladies coming out of the cards?!\You have no sense of decency!\Keep it together, Fried!\What's going on?!\I figured as much! He has a weakness for women!\Fine! I'll just have to deal with you myself! response:	Lucy!
context: Sexy Lady Cards!\Ladies coming out of the cards?!\You have no sense of decency!\Keep it together, Fried!\What's going on?!\I figured as much! He has a weakness for women!\Fine! I'll just have to deal with you myself!\Lucy! response:	Right!
context: Ladies coming out of the cards?!\You have no sense of decency!\Keep it together, Fried!\What's going on?!\I figured as much! He has a weakness for women!\Fine! I'll just have to deal with you myself!\Lucy!\Right! response:	Open! Gate of the Maiden!
context: You have no sense of decency!\Keep it together, Fried!\What's going on?!\I figured as much! He has a weakness for women!\Fine! I'll just have to deal with you myself!\Lucy!\Right!\Open! Gate of the Maiden! response:	Virgo!
context: Keep it together, Fried!\What's going on?!\I figured as much! He has a weakness for women!\Fine! I'll just have to deal with you myself!\Lucy!\Right!\Open! Gate of the Maiden!\Virgo! response:	Totally fan service version!
context: What's going on?!\I figured as much! He has a weakness for women!\Fine! I'll just have to deal with you myself!\Lucy!\Right!\Open! Gate of the Maiden!\Virgo!\Totally fan service version! response:	A-Another one!
context: I figured as much! He has a weakness for women!\Fine! I'll just have to deal with you myself!\Lucy!\Right!\Open! Gate of the Maiden!\Virgo!\Totally fan service version!\A-Another one! response:	That doesn't work on me!
context: Fine! I'll just have to deal with you myself!\Lucy!\Right!\Open! Gate of the Maiden!\Virgo!\Totally fan service version!\A-Another one!\That doesn't work on me! response:	Here I go, baby!
context: Lucy!\Right!\Open! Gate of the Maiden!\Virgo!\Totally fan service version!\A-Another one!\That doesn't work on me!\Here I go, baby! response:	Virgo's duties...
context: Right!\Open! Gate of the Maiden!\Virgo!\Totally fan service version!\A-Another one!\That doesn't work on me!\Here I go, baby!\Virgo's duties... response:	Make grime and mold Vanish from the bathroom!
context: Open! Gate of the Maiden!\Virgo!\Totally fan service version!\A-Another one!\That doesn't work on me!\Here I go, baby!\Virgo's duties...\Make grime and mold Vanish from the bathroom! response:	IR
context: Virgo!\Totally fan service version!\A-Another one!\That doesn't work on me!\Here I go, baby!\Virgo's duties...\Make grime and mold Vanish from the bathroom!\IR response:	Serve Lucy-sama faithfully, even if she acts IRresponsibly!
context: Totally fan service version!\A-Another one!\That doesn't work on me!\Here I go, baby!\Virgo's duties...\Make grime and mold Vanish from the bathroom!\IR\Serve Lucy-sama faithfully, even if she acts IRresponsibly! response:	GO
context: A-Another one!\That doesn't work on me!\Here I go, baby!\Virgo's duties...\Make grime and mold Vanish from the bathroom!\IR\Serve Lucy-sama faithfully, even if she acts IRresponsibly!\GO response:	GO outside and separate the trash!
context: That doesn't work on me!\Here I go, baby!\Virgo's duties...\Make grime and mold Vanish from the bathroom!\IR\Serve Lucy-sama faithfully, even if she acts IRresponsibly!\GO\GO outside and separate the trash! response:	You're so weak!
context: Here I go, baby!\Virgo's duties...\Make grime and mold Vanish from the bathroom!\IR\Serve Lucy-sama faithfully, even if she acts IRresponsibly!\GO\GO outside and separate the trash!\You're so weak! response:	Why'd you call her?!
context: Virgo's duties...\Make grime and mold Vanish from the bathroom!\IR\Serve Lucy-sama faithfully, even if she acts IRresponsibly!\GO\GO outside and separate the trash!\You're so weak!\Why'd you call her?! response:	I thought another woman might be effective...
context: Make grime and mold Vanish from the bathroom!\IR\Serve Lucy-sama faithfully, even if she acts IRresponsibly!\GO\GO outside and separate the trash!\You're so weak!\Why'd you call her?!\I thought another woman might be effective... response:	I don't wanna put the hurt on you too much, so hurry up and take a nap!
context: IR\Serve Lucy-sama faithfully, even if she acts IRresponsibly!\GO\GO outside and separate the trash!\You're so weak!\Why'd you call her?!\I thought another woman might be effective...\I don't wanna put the hurt on you too much, so hurry up and take a nap! response:	Dammit!
context: Serve Lucy-sama faithfully, even if she acts IRresponsibly!\GO\GO outside and separate the trash!\You're so weak!\Why'd you call her?!\I thought another woman might be effective...\I don't wanna put the hurt on you too much, so hurry up and take a nap!\Dammit! response:	You're not gonna hit my guys!
context: GO\GO outside and separate the trash!\You're so weak!\Why'd you call her?!\I thought another woman might be effective...\I don't wanna put the hurt on you too much, so hurry up and take a nap!\Dammit!\You're not gonna hit my guys! response:	Here we go, baby!
context: GO outside and separate the trash!\You're so weak!\Why'd you call her?!\I thought another woman might be effective...\I don't wanna put the hurt on you too much, so hurry up and take a nap!\Dammit!\You're not gonna hit my guys!\Here we go, baby! response:	I'm counting on you, Aries!
context: You're so weak!\Why'd you call her?!\I thought another woman might be effective...\I don't wanna put the hurt on you too much, so hurry up and take a nap!\Dammit!\You're not gonna hit my guys!\Here we go, baby!\I'm counting on you, Aries! response:	I-I'm sorry...
context: Why'd you call her?!\I thought another woman might be effective...\I don't wanna put the hurt on you too much, so hurry up and take a nap!\Dammit!\You're not gonna hit my guys!\Here we go, baby!\I'm counting on you, Aries!\I-I'm sorry... response:	Do something!
context: I thought another woman might be effective...\I don't wanna put the hurt on you too much, so hurry up and take a nap!\Dammit!\You're not gonna hit my guys!\Here we go, baby!\I'm counting on you, Aries!\I-I'm sorry...\Do something! response:	Yes, I'll try.
context: I don't wanna put the hurt on you too much, so hurry up and take a nap!\Dammit!\You're not gonna hit my guys!\Here we go, baby!\I'm counting on you, Aries!\I-I'm sorry...\Do something!\Yes, I'll try. response:	Wool Bomb!
context: Dammit!\You're not gonna hit my guys!\Here we go, baby!\I'm counting on you, Aries!\I-I'm sorry...\Do something!\Yes, I'll try.\Wool Bomb! response:	What is this fluffiness?!
context: You're not gonna hit my guys!\Here we go, baby!\I'm counting on you, Aries!\I-I'm sorry...\Do something!\Yes, I'll try.\Wool Bomb!\What is this fluffiness?! response:	I-I'm sorry...
context: Here we go, baby!\I'm counting on you, Aries!\I-I'm sorry...\Do something!\Yes, I'll try.\Wool Bomb!\What is this fluffiness?!\I-I'm sorry... response:	Another one...
context: I'm counting on you, Aries!\I-I'm sorry...\Do something!\Yes, I'll try.\Wool Bomb!\What is this fluffiness?!\I-I'm sorry...\Another one... response:	Wool Wall!
context: I-I'm sorry...\Do something!\Yes, I'll try.\Wool Bomb!\What is this fluffiness?!\I-I'm sorry...\Another one...\Wool Wall! response:	So fluffy...
context: Do something!\Yes, I'll try.\Wool Bomb!\What is this fluffiness?!\I-I'm sorry...\Another one...\Wool Wall!\So fluffy... response:	Just looking at it makes my thoughts fuzzy!
context: Yes, I'll try.\Wool Bomb!\What is this fluffiness?!\I-I'm sorry...\Another one...\Wool Wall!\So fluffy...\Just looking at it makes my thoughts fuzzy! response:	Hey, idiot!
context: Wool Bomb!\What is this fluffiness?!\I-I'm sorry...\Another one...\Wool Wall!\So fluffy...\Just looking at it makes my thoughts fuzzy!\Hey, idiot! response:	You're not focusing on the problem at hand!
context: What is this fluffiness?!\I-I'm sorry...\Another one...\Wool Wall!\So fluffy...\Just looking at it makes my thoughts fuzzy!\Hey, idiot!\You're not focusing on the problem at hand! response:	Problem at hand! Problem at hand!
context: I-I'm sorry...\Another one...\Wool Wall!\So fluffy...\Just looking at it makes my thoughts fuzzy!\Hey, idiot!\You're not focusing on the problem at hand!\Problem at hand! Problem at hand! response:	Lucy...
context: Another one...\Wool Wall!\So fluffy...\Just looking at it makes my thoughts fuzzy!\Hey, idiot!\You're not focusing on the problem at hand!\Problem at hand! Problem at hand!\Lucy... response:	We did it! Just like I planned!
context: Wool Wall!\So fluffy...\Just looking at it makes my thoughts fuzzy!\Hey, idiot!\You're not focusing on the problem at hand!\Problem at hand! Problem at hand!\Lucy...\We did it! Just like I planned! response:	They remember what happened last time, so they underestimated our strength!
context: So fluffy...\Just looking at it makes my thoughts fuzzy!\Hey, idiot!\You're not focusing on the problem at hand!\Problem at hand! Problem at hand!\Lucy...\We did it! Just like I planned!\They remember what happened last time, so they underestimated our strength! response:	Did I do okay? I'm sorry...
