context: Your Majesty... response:	Jiu'er.
context: Bury your father and then come over to my manor.\Really?\Of course.\Young Master is the top scholar.\Why would he lie to you?\Thank you, sir.\You've been in the elixir chamber for six straight days.\Aren't you bored? response:	How could I be bored making the elixir for Master?
context: Really?\Of course.\Young Master is the top scholar.\Why would he lie to you?\Thank you, sir.\You've been in the elixir chamber for six straight days.\Aren't you bored?\How could I be bored making the elixir for Master? response:	Sixteenth, do you remember the day we asked to train under Master?
context: Of course.\Young Master is the top scholar.\Why would he lie to you?\Thank you, sir.\You've been in the elixir chamber for six straight days.\Aren't you bored?\How could I be bored making the elixir for Master?\Sixteenth, do you remember the day we asked to train under Master? response:	How could I not?
context: Young Master is the top scholar.\Why would he lie to you?\Thank you, sir.\You've been in the elixir chamber for six straight days.\Aren't you bored?\How could I be bored making the elixir for Master?\Sixteenth, do you remember the day we asked to train under Master?\How could I not? response:	We stepped into the Grand Hall at the same time to train under Master.
context: Why would he lie to you?\Thank you, sir.\You've been in the elixir chamber for six straight days.\Aren't you bored?\How could I be bored making the elixir for Master?\Sixteenth, do you remember the day we asked to train under Master?\How could I not?\We stepped into the Grand Hall at the same time to train under Master. response:	We even argued for a long time
context: Thank you, sir.\You've been in the elixir chamber for six straight days.\Aren't you bored?\How could I be bored making the elixir for Master?\Sixteenth, do you remember the day we asked to train under Master?\How could I not?\We stepped into the Grand Hall at the same time to train under Master.\We even argued for a long time response:	about who was the Sixteenth and who was the Seventeenth Disciple.
context: You've been in the elixir chamber for six straight days.\Aren't you bored?\How could I be bored making the elixir for Master?\Sixteenth, do you remember the day we asked to train under Master?\How could I not?\We stepped into the Grand Hall at the same time to train under Master.\We even argued for a long time\about who was the Sixteenth and who was the Seventeenth Disciple. response:	Speaking of which, Master favored you more.
context: Aren't you bored?\How could I be bored making the elixir for Master?\Sixteenth, do you remember the day we asked to train under Master?\How could I not?\We stepped into the Grand Hall at the same time to train under Master.\We even argued for a long time\about who was the Sixteenth and who was the Seventeenth Disciple.\Speaking of which, Master favored you more. response:	Although I was made the senior
context: How could I be bored making the elixir for Master?\Sixteenth, do you remember the day we asked to train under Master?\How could I not?\We stepped into the Grand Hall at the same time to train under Master.\We even argued for a long time\about who was the Sixteenth and who was the Seventeenth Disciple.\Speaking of which, Master favored you more.\Although I was made the senior response:	he gave the cultivated Jade Purity Fan to you.
context: Sixteenth, do you remember the day we asked to train under Master?\How could I not?\We stepped into the Grand Hall at the same time to train under Master.\We even argued for a long time\about who was the Sixteenth and who was the Seventeenth Disciple.\Speaking of which, Master favored you more.\Although I was made the senior\he gave the cultivated Jade Purity Fan to you. response:	You were so lucky.
context: How could I not?\We stepped into the Grand Hall at the same time to train under Master.\We even argued for a long time\about who was the Sixteenth and who was the Seventeenth Disciple.\Speaking of which, Master favored you more.\Although I was made the senior\he gave the cultivated Jade Purity Fan to you.\You were so lucky. response:	You dare to bring that up?
context: We stepped into the Grand Hall at the same time to train under Master.\We even argued for a long time\about who was the Sixteenth and who was the Seventeenth Disciple.\Speaking of which, Master favored you more.\Although I was made the senior\he gave the cultivated Jade Purity Fan to you.\You were so lucky.\You dare to bring that up? response:	I had to address you as my senior for 90,000 years because of that fan!
context: We even argued for a long time\about who was the Sixteenth and who was the Seventeenth Disciple.\Speaking of which, Master favored you more.\Although I was made the senior\he gave the cultivated Jade Purity Fan to you.\You were so lucky.\You dare to bring that up?\I had to address you as my senior for 90,000 years because of that fan! response:	Do you still think that you were at a disadvantage?
context: about who was the Sixteenth and who was the Seventeenth Disciple.\Speaking of which, Master favored you more.\Although I was made the senior\he gave the cultivated Jade Purity Fan to you.\You were so lucky.\You dare to bring that up?\I had to address you as my senior for 90,000 years because of that fan!\Do you still think that you were at a disadvantage? response:	Seventeenth...
context: Speaking of which, Master favored you more.\Although I was made the senior\he gave the cultivated Jade Purity Fan to you.\You were so lucky.\You dare to bring that up?\I had to address you as my senior for 90,000 years because of that fan!\Do you still think that you were at a disadvantage?\Seventeenth... response:	It's nothing.
context: Although I was made the senior\he gave the cultivated Jade Purity Fan to you.\You were so lucky.\You dare to bring that up?\I had to address you as my senior for 90,000 years because of that fan!\Do you still think that you were at a disadvantage?\Seventeenth...\It's nothing. response:	What is it?
context: he gave the cultivated Jade Purity Fan to you.\You were so lucky.\You dare to bring that up?\I had to address you as my senior for 90,000 years because of that fan!\Do you still think that you were at a disadvantage?\Seventeenth...\It's nothing.\What is it? response:	You wish to speak but you're hesitant.
context: You were so lucky.\You dare to bring that up?\I had to address you as my senior for 90,000 years because of that fan!\Do you still think that you were at a disadvantage?\Seventeenth...\It's nothing.\What is it?\You wish to speak but you're hesitant. response:	You're like a man who's lost his heart.
context: You dare to bring that up?\I had to address you as my senior for 90,000 years because of that fan!\Do you still think that you were at a disadvantage?\Seventeenth...\It's nothing.\What is it?\You wish to speak but you're hesitant.\You're like a man who's lost his heart. response:	What are you talking about?
context: I had to address you as my senior for 90,000 years because of that fan!\Do you still think that you were at a disadvantage?\Seventeenth...\It's nothing.\What is it?\You wish to speak but you're hesitant.\You're like a man who's lost his heart.\What are you talking about? response:	I'm such a heartless man.
context: Do you still think that you were at a disadvantage?\Seventeenth...\It's nothing.\What is it?\You wish to speak but you're hesitant.\You're like a man who's lost his heart.\What are you talking about?\I'm such a heartless man. response:	How could that happen to me?
context: Seventeenth...\It's nothing.\What is it?\You wish to speak but you're hesitant.\You're like a man who's lost his heart.\What are you talking about?\I'm such a heartless man.\How could that happen to me? response:	You're right.
context: It's nothing.\What is it?\You wish to speak but you're hesitant.\You're like a man who's lost his heart.\What are you talking about?\I'm such a heartless man.\How could that happen to me?\You're right. response:	How can a heartless man like you keep someone on your mind?
context: What is it?\You wish to speak but you're hesitant.\You're like a man who's lost his heart.\What are you talking about?\I'm such a heartless man.\How could that happen to me?\You're right.\How can a heartless man like you keep someone on your mind? response:	Sixteenth.
context: You wish to speak but you're hesitant.\You're like a man who's lost his heart.\What are you talking about?\I'm such a heartless man.\How could that happen to me?\You're right.\How can a heartless man like you keep someone on your mind?\Sixteenth. response:	Sixteenth, you...
context: You're like a man who's lost his heart.\What are you talking about?\I'm such a heartless man.\How could that happen to me?\You're right.\How can a heartless man like you keep someone on your mind?\Sixteenth.\Sixteenth, you... response:	Here, get up.
context: What are you talking about?\I'm such a heartless man.\How could that happen to me?\You're right.\How can a heartless man like you keep someone on your mind?\Sixteenth.\Sixteenth, you...\Here, get up. response:	Are you all right?
context: I'm such a heartless man.\How could that happen to me?\You're right.\How can a heartless man like you keep someone on your mind?\Sixteenth.\Sixteenth, you...\Here, get up.\Are you all right? response:	What happened?
context: How could that happen to me?\You're right.\How can a heartless man like you keep someone on your mind?\Sixteenth.\Sixteenth, you...\Here, get up.\Are you all right?\What happened? response:	You're indeed a high god.
context: You're right.\How can a heartless man like you keep someone on your mind?\Sixteenth.\Sixteenth, you...\Here, get up.\Are you all right?\What happened?\You're indeed a high god. response:	That was such a powerful blow.
context: How can a heartless man like you keep someone on your mind?\Sixteenth.\Sixteenth, you...\Here, get up.\Are you all right?\What happened?\You're indeed a high god.\That was such a powerful blow. response:	I almost died on the spot.
context: Sixteenth.\Sixteenth, you...\Here, get up.\Are you all right?\What happened?\You're indeed a high god.\That was such a powerful blow.\I almost died on the spot. response:	That was just a prank.
context: Sixteenth, you...\Here, get up.\Are you all right?\What happened?\You're indeed a high god.\That was such a powerful blow.\I almost died on the spot.\That was just a prank. response:	70,000 years ago, you didn't have such a low level of cultivation.
context: Here, get up.\Are you all right?\What happened?\You're indeed a high god.\That was such a powerful blow.\I almost died on the spot.\That was just a prank.\70,000 years ago, you didn't have such a low level of cultivation. response:	However you have slacked off, it couldn't be this low now.
context: Are you all right?\What happened?\You're indeed a high god.\That was such a powerful blow.\I almost died on the spot.\That was just a prank.\70,000 years ago, you didn't have such a low level of cultivation.\However you have slacked off, it couldn't be this low now. response:	What exactly happened?
context: What happened?\You're indeed a high god.\That was such a powerful blow.\I almost died on the spot.\That was just a prank.\70,000 years ago, you didn't have such a low level of cultivation.\However you have slacked off, it couldn't be this low now.\What exactly happened? response:	It doesn't concern you.
context: You're indeed a high god.\That was such a powerful blow.\I almost died on the spot.\That was just a prank.\70,000 years ago, you didn't have such a low level of cultivation.\However you have slacked off, it couldn't be this low now.\What exactly happened?\It doesn't concern you. response:	Fine!
context: That was such a powerful blow.\I almost died on the spot.\That was just a prank.\70,000 years ago, you didn't have such a low level of cultivation.\However you have slacked off, it couldn't be this low now.\What exactly happened?\It doesn't concern you.\Fine! response:	You don't have to tell me if you don't wish to.
context: I almost died on the spot.\That was just a prank.\70,000 years ago, you didn't have such a low level of cultivation.\However you have slacked off, it couldn't be this low now.\What exactly happened?\It doesn't concern you.\Fine!\You don't have to tell me if you don't wish to. response:	But I think it has to do with that brief romance of yours.
context: That was just a prank.\70,000 years ago, you didn't have such a low level of cultivation.\However you have slacked off, it couldn't be this low now.\What exactly happened?\It doesn't concern you.\Fine!\You don't have to tell me if you don't wish to.\But I think it has to do with that brief romance of yours. response:	You really got that right.
context: 70,000 years ago, you didn't have such a low level of cultivation.\However you have slacked off, it couldn't be this low now.\What exactly happened?\It doesn't concern you.\Fine!\You don't have to tell me if you don't wish to.\But I think it has to do with that brief romance of yours.\You really got that right. response:	Is she...
context: However you have slacked off, it couldn't be this low now.\What exactly happened?\It doesn't concern you.\Fine!\You don't have to tell me if you don't wish to.\But I think it has to do with that brief romance of yours.\You really got that right.\Is she... response:	Is she pretty?
context: What exactly happened?\It doesn't concern you.\Fine!\You don't have to tell me if you don't wish to.\But I think it has to do with that brief romance of yours.\You really got that right.\Is she...\Is she pretty? response:	She's prettier than you.
context: It doesn't concern you.\Fine!\You don't have to tell me if you don't wish to.\But I think it has to do with that brief romance of yours.\You really got that right.\Is she...\Is she pretty?\She's prettier than you. response:	Really?
context: Fine!\You don't have to tell me if you don't wish to.\But I think it has to do with that brief romance of yours.\You really got that right.\Is she...\Is she pretty?\She's prettier than you.\Really? response:	In my eyes, she's a hundred times... a thousand times prettier than you.
context: You don't have to tell me if you don't wish to.\But I think it has to do with that brief romance of yours.\You really got that right.\Is she...\Is she pretty?\She's prettier than you.\Really?\In my eyes, she's a hundred times... a thousand times prettier than you. response:	I'm not talking to you anymore.
context: But I think it has to do with that brief romance of yours.\You really got that right.\Is she...\Is she pretty?\She's prettier than you.\Really?\In my eyes, she's a hundred times... a thousand times prettier than you.\I'm not talking to you anymore. response:	Master is going into meditation tomorrow.
context: You really got that right.\Is she...\Is she pretty?\She's prettier than you.\Really?\In my eyes, she's a hundred times... a thousand times prettier than you.\I'm not talking to you anymore.\Master is going into meditation tomorrow. response:	All the other seniors are heading back to their original posts.
context: Is she...\Is she pretty?\She's prettier than you.\Really?\In my eyes, she's a hundred times... a thousand times prettier than you.\I'm not talking to you anymore.\Master is going into meditation tomorrow.\All the other seniors are heading back to their original posts. response:	What about you, Sixteenth?
context: Is she pretty?\She's prettier than you.\Really?\In my eyes, she's a hundred times... a thousand times prettier than you.\I'm not talking to you anymore.\Master is going into meditation tomorrow.\All the other seniors are heading back to their original posts.\What about you, Sixteenth? response:	Where will you be going?
context: She's prettier than you.\Really?\In my eyes, she's a hundred times... a thousand times prettier than you.\I'm not talking to you anymore.\Master is going into meditation tomorrow.\All the other seniors are heading back to their original posts.\What about you, Sixteenth?\Where will you be going? response:	I'm going to the Sea of Innocence.
context: Really?\In my eyes, she's a hundred times... a thousand times prettier than you.\I'm not talking to you anymore.\Master is going into meditation tomorrow.\All the other seniors are heading back to their original posts.\What about you, Sixteenth?\Where will you be going?\I'm going to the Sea of Innocence. response:	The Sea of Innocence?
context: In my eyes, she's a hundred times... a thousand times prettier than you.\I'm not talking to you anymore.\Master is going into meditation tomorrow.\All the other seniors are heading back to their original posts.\What about you, Sixteenth?\Where will you be going?\I'm going to the Sea of Innocence.\The Sea of Innocence? response:	Isn't that the burial place of the Celestial Tribe?
context: I'm not talking to you anymore.\Master is going into meditation tomorrow.\All the other seniors are heading back to their original posts.\What about you, Sixteenth?\Where will you be going?\I'm going to the Sea of Innocence.\The Sea of Innocence?\Isn't that the burial place of the Celestial Tribe? response:	What are you going to do there?
context: Master is going into meditation tomorrow.\All the other seniors are heading back to their original posts.\What about you, Sixteenth?\Where will you be going?\I'm going to the Sea of Innocence.\The Sea of Innocence?\Isn't that the burial place of the Celestial Tribe?\What are you going to do there? response:	What else could I do there?
context: All the other seniors are heading back to their original posts.\What about you, Sixteenth?\Where will you be going?\I'm going to the Sea of Innocence.\The Sea of Innocence?\Isn't that the burial place of the Celestial Tribe?\What are you going to do there?\What else could I do there? response:	I'm guarding the tombs for the Celestial Tribe
context: What about you, Sixteenth?\Where will you be going?\I'm going to the Sea of Innocence.\The Sea of Innocence?\Isn't that the burial place of the Celestial Tribe?\What are you going to do there?\What else could I do there?\I'm guarding the tombs for the Celestial Tribe response:	until I vanish into the realm of nothingness.
context: Where will you be going?\I'm going to the Sea of Innocence.\The Sea of Innocence?\Isn't that the burial place of the Celestial Tribe?\What are you going to do there?\What else could I do there?\I'm guarding the tombs for the Celestial Tribe\until I vanish into the realm of nothingness. response:	Stop joking.
context: I'm going to the Sea of Innocence.\The Sea of Innocence?\Isn't that the burial place of the Celestial Tribe?\What are you going to do there?\What else could I do there?\I'm guarding the tombs for the Celestial Tribe\until I vanish into the realm of nothingness.\Stop joking. response:	Why would tombs need to be guarded?
context: The Sea of Innocence?\Isn't that the burial place of the Celestial Tribe?\What are you going to do there?\What else could I do there?\I'm guarding the tombs for the Celestial Tribe\until I vanish into the realm of nothingness.\Stop joking.\Why would tombs need to be guarded? response:	You don't understand.
context: Isn't that the burial place of the Celestial Tribe?\What are you going to do there?\What else could I do there?\I'm guarding the tombs for the Celestial Tribe\until I vanish into the realm of nothingness.\Stop joking.\Why would tombs need to be guarded?\You don't understand. response:	When a person seeks nothing, nothing he is told to do matters.
context: What are you going to do there?\What else could I do there?\I'm guarding the tombs for the Celestial Tribe\until I vanish into the realm of nothingness.\Stop joking.\Why would tombs need to be guarded?\You don't understand.\When a person seeks nothing, nothing he is told to do matters. response:	Moreover, that is the oath I made to the Heavens.
context: What else could I do there?\I'm guarding the tombs for the Celestial Tribe\until I vanish into the realm of nothingness.\Stop joking.\Why would tombs need to be guarded?\You don't understand.\When a person seeks nothing, nothing he is told to do matters.\Moreover, that is the oath I made to the Heavens. response:	Should the Heavens grant me my wish
context: I'm guarding the tombs for the Celestial Tribe\until I vanish into the realm of nothingness.\Stop joking.\Why would tombs need to be guarded?\You don't understand.\When a person seeks nothing, nothing he is told to do matters.\Moreover, that is the oath I made to the Heavens.\Should the Heavens grant me my wish response:	I would spend the rest of my life in the Sea of Innocence.
context: until I vanish into the realm of nothingness.\Stop joking.\Why would tombs need to be guarded?\You don't understand.\When a person seeks nothing, nothing he is told to do matters.\Moreover, that is the oath I made to the Heavens.\Should the Heavens grant me my wish\I would spend the rest of my life in the Sea of Innocence. response:	Sixteenth, you...
context: Stop joking.\Why would tombs need to be guarded?\You don't understand.\When a person seeks nothing, nothing he is told to do matters.\Moreover, that is the oath I made to the Heavens.\Should the Heavens grant me my wish\I would spend the rest of my life in the Sea of Innocence.\Sixteenth, you... response:	Don't ask about it.
context: Why would tombs need to be guarded?\You don't understand.\When a person seeks nothing, nothing he is told to do matters.\Moreover, that is the oath I made to the Heavens.\Should the Heavens grant me my wish\I would spend the rest of my life in the Sea of Innocence.\Sixteenth, you...\Don't ask about it. response:	I won't tell you even if you do.
context: You don't understand.\When a person seeks nothing, nothing he is told to do matters.\Moreover, that is the oath I made to the Heavens.\Should the Heavens grant me my wish\I would spend the rest of my life in the Sea of Innocence.\Sixteenth, you...\Don't ask about it.\I won't tell you even if you do. response:	Master, I was wrong.
context: When a person seeks nothing, nothing he is told to do matters.\Moreover, that is the oath I made to the Heavens.\Should the Heavens grant me my wish\I would spend the rest of my life in the Sea of Innocence.\Sixteenth, you...\Don't ask about it.\I won't tell you even if you do.\Master, I was wrong. response:	You drank so much wine.
context: Moreover, that is the oath I made to the Heavens.\Should the Heavens grant me my wish\I would spend the rest of my life in the Sea of Innocence.\Sixteenth, you...\Don't ask about it.\I won't tell you even if you do.\Master, I was wrong.\You drank so much wine. response:	It's best to cry it all out or the sorrow will accumulate in your organs.
context: Should the Heavens grant me my wish\I would spend the rest of my life in the Sea of Innocence.\Sixteenth, you...\Don't ask about it.\I won't tell you even if you do.\Master, I was wrong.\You drank so much wine.\It's best to cry it all out or the sorrow will accumulate in your organs. response:	That would be a waste of such good wine.
context: I would spend the rest of my life in the Sea of Innocence.\Sixteenth, you...\Don't ask about it.\I won't tell you even if you do.\Master, I was wrong.\You drank so much wine.\It's best to cry it all out or the sorrow will accumulate in your organs.\That would be a waste of such good wine. response:	Master, these are the elixirs that Zhe Yan produced.
context: Sixteenth, you...\Don't ask about it.\I won't tell you even if you do.\Master, I was wrong.\You drank so much wine.\It's best to cry it all out or the sorrow will accumulate in your organs.\That would be a waste of such good wine.\Master, these are the elixirs that Zhe Yan produced. response:	Master, take them with you into the cave.
context: Don't ask about it.\I won't tell you even if you do.\Master, I was wrong.\You drank so much wine.\It's best to cry it all out or the sorrow will accumulate in your organs.\That would be a waste of such good wine.\Master, these are the elixirs that Zhe Yan produced.\Master, take them with you into the cave. response:	Master...
context: I won't tell you even if you do.\Master, I was wrong.\You drank so much wine.\It's best to cry it all out or the sorrow will accumulate in your organs.\That would be a waste of such good wine.\Master, these are the elixirs that Zhe Yan produced.\Master, take them with you into the cave.\Master... response:	Is there anything else you wish to brief me on?
context: Master, I was wrong.\You drank so much wine.\It's best to cry it all out or the sorrow will accumulate in your organs.\That would be a waste of such good wine.\Master, these are the elixirs that Zhe Yan produced.\Master, take them with you into the cave.\Master...\Is there anything else you wish to brief me on? response:	When is your wedding with Ye Hua?
context: You drank so much wine.\It's best to cry it all out or the sorrow will accumulate in your organs.\That would be a waste of such good wine.\Master, these are the elixirs that Zhe Yan produced.\Master, take them with you into the cave.\Master...\Is there anything else you wish to brief me on?\When is your wedding with Ye Hua? response:	The Indian Summer of October.
context: It's best to cry it all out or the sorrow will accumulate in your organs.\That would be a waste of such good wine.\Master, these are the elixirs that Zhe Yan produced.\Master, take them with you into the cave.\Master...\Is there anything else you wish to brief me on?\When is your wedding with Ye Hua?\The Indian Summer of October. response:	The peach blossoms will be in full bloom.
context: That would be a waste of such good wine.\Master, these are the elixirs that Zhe Yan produced.\Master, take them with you into the cave.\Master...\Is there anything else you wish to brief me on?\When is your wedding with Ye Hua?\The Indian Summer of October.\The peach blossoms will be in full bloom. response:	It's good timing.
context: Master, these are the elixirs that Zhe Yan produced.\Master, take them with you into the cave.\Master...\Is there anything else you wish to brief me on?\When is your wedding with Ye Hua?\The Indian Summer of October.\The peach blossoms will be in full bloom.\It's good timing. response:	Seventeenth.
context: Master, take them with you into the cave.\Master...\Is there anything else you wish to brief me on?\When is your wedding with Ye Hua?\The Indian Summer of October.\The peach blossoms will be in full bloom.\It's good timing.\Seventeenth. response:	Once you marry into the Celestial Palace
context: Master...\Is there anything else you wish to brief me on?\When is your wedding with Ye Hua?\The Indian Summer of October.\The peach blossoms will be in full bloom.\It's good timing.\Seventeenth.\Once you marry into the Celestial Palace response:	you will belong to the Crown Prince.
context: Is there anything else you wish to brief me on?\When is your wedding with Ye Hua?\The Indian Summer of October.\The peach blossoms will be in full bloom.\It's good timing.\Seventeenth.\Once you marry into the Celestial Palace\you will belong to the Crown Prince. response:	The Celestial Palace is unlike Kunlun Mountain.
context: When is your wedding with Ye Hua?\The Indian Summer of October.\The peach blossoms will be in full bloom.\It's good timing.\Seventeenth.\Once you marry into the Celestial Palace\you will belong to the Crown Prince.\The Celestial Palace is unlike Kunlun Mountain. response:	There are many complicated rites and regulations.
context: The Indian Summer of October.\The peach blossoms will be in full bloom.\It's good timing.\Seventeenth.\Once you marry into the Celestial Palace\you will belong to the Crown Prince.\The Celestial Palace is unlike Kunlun Mountain.\There are many complicated rites and regulations. response:	Be sure to rein in your temper.
context: The peach blossoms will be in full bloom.\It's good timing.\Seventeenth.\Once you marry into the Celestial Palace\you will belong to the Crown Prince.\The Celestial Palace is unlike Kunlun Mountain.\There are many complicated rites and regulations.\Be sure to rein in your temper. response:	Don't get into any trouble.
context: It's good timing.\Seventeenth.\Once you marry into the Celestial Palace\you will belong to the Crown Prince.\The Celestial Palace is unlike Kunlun Mountain.\There are many complicated rites and regulations.\Be sure to rein in your temper.\Don't get into any trouble. response:	When I was in Kunlun Mountain I always got into trouble.
context: Seventeenth.\Once you marry into the Celestial Palace\you will belong to the Crown Prince.\The Celestial Palace is unlike Kunlun Mountain.\There are many complicated rites and regulations.\Be sure to rein in your temper.\Don't get into any trouble.\When I was in Kunlun Mountain I always got into trouble. response:	Master helped me through it all.
context: Once you marry into the Celestial Palace\you will belong to the Crown Prince.\The Celestial Palace is unlike Kunlun Mountain.\There are many complicated rites and regulations.\Be sure to rein in your temper.\Don't get into any trouble.\When I was in Kunlun Mountain I always got into trouble.\Master helped me through it all. response:	I know all about it and I've kept it in mind.
context: you will belong to the Crown Prince.\The Celestial Palace is unlike Kunlun Mountain.\There are many complicated rites and regulations.\Be sure to rein in your temper.\Don't get into any trouble.\When I was in Kunlun Mountain I always got into trouble.\Master helped me through it all.\I know all about it and I've kept it in mind. response:	Master, go into meditation with ease.
context: The Celestial Palace is unlike Kunlun Mountain.\There are many complicated rites and regulations.\Be sure to rein in your temper.\Don't get into any trouble.\When I was in Kunlun Mountain I always got into trouble.\Master helped me through it all.\I know all about it and I've kept it in mind.\Master, go into meditation with ease. response:	Ye Hua will look after me.
context: There are many complicated rites and regulations.\Be sure to rein in your temper.\Don't get into any trouble.\When I was in Kunlun Mountain I always got into trouble.\Master helped me through it all.\I know all about it and I've kept it in mind.\Master, go into meditation with ease.\Ye Hua will look after me. response:	He surely won't let me get into trouble again.
context: Be sure to rein in your temper.\Don't get into any trouble.\When I was in Kunlun Mountain I always got into trouble.\Master helped me through it all.\I know all about it and I've kept it in mind.\Master, go into meditation with ease.\Ye Hua will look after me.\He surely won't let me get into trouble again. response:	I look forward to seeing Master leave meditation soon.
context: Don't get into any trouble.\When I was in Kunlun Mountain I always got into trouble.\Master helped me through it all.\I know all about it and I've kept it in mind.\Master, go into meditation with ease.\Ye Hua will look after me.\He surely won't let me get into trouble again.\I look forward to seeing Master leave meditation soon. response:	It'll be even better if you can make it to our wedding.
context: When I was in Kunlun Mountain I always got into trouble.\Master helped me through it all.\I know all about it and I've kept it in mind.\Master, go into meditation with ease.\Ye Hua will look after me.\He surely won't let me get into trouble again.\I look forward to seeing Master leave meditation soon.\It'll be even better if you can make it to our wedding. response:	By then, I'll surely kowtow to you and offer you tea.
context: Master helped me through it all.\I know all about it and I've kept it in mind.\Master, go into meditation with ease.\Ye Hua will look after me.\He surely won't let me get into trouble again.\I look forward to seeing Master leave meditation soon.\It'll be even better if you can make it to our wedding.\By then, I'll surely kowtow to you and offer you tea. response:	All right.
context: I know all about it and I've kept it in mind.\Master, go into meditation with ease.\Ye Hua will look after me.\He surely won't let me get into trouble again.\I look forward to seeing Master leave meditation soon.\It'll be even better if you can make it to our wedding.\By then, I'll surely kowtow to you and offer you tea.\All right. response:	I'll take my leave now, Master.
context: Master, go into meditation with ease.\Ye Hua will look after me.\He surely won't let me get into trouble again.\I look forward to seeing Master leave meditation soon.\It'll be even better if you can make it to our wedding.\By then, I'll surely kowtow to you and offer you tea.\All right.\I'll take my leave now, Master. response:	All right now.
context: Ye Hua will look after me.\He surely won't let me get into trouble again.\I look forward to seeing Master leave meditation soon.\It'll be even better if you can make it to our wedding.\By then, I'll surely kowtow to you and offer you tea.\All right.\I'll take my leave now, Master.\All right now. response:	Just see me off here.
context: He surely won't let me get into trouble again.\I look forward to seeing Master leave meditation soon.\It'll be even better if you can make it to our wedding.\By then, I'll surely kowtow to you and offer you tea.\All right.\I'll take my leave now, Master.\All right now.\Just see me off here. response:	Sixteenth, why would you do this to yourself?
context: I look forward to seeing Master leave meditation soon.\It'll be even better if you can make it to our wedding.\By then, I'll surely kowtow to you and offer you tea.\All right.\I'll take my leave now, Master.\All right now.\Just see me off here.\Sixteenth, why would you do this to yourself? response:	I'm a deity of Kunlun Mountain and the disciple of Mo Yuan.
context: It'll be even better if you can make it to our wedding.\By then, I'll surely kowtow to you and offer you tea.\All right.\I'll take my leave now, Master.\All right now.\Just see me off here.\Sixteenth, why would you do this to yourself?\I'm a deity of Kunlun Mountain and the disciple of Mo Yuan. response:	Since I have made an oath, I can't take my words back.
context: By then, I'll surely kowtow to you and offer you tea.\All right.\I'll take my leave now, Master.\All right now.\Just see me off here.\Sixteenth, why would you do this to yourself?\I'm a deity of Kunlun Mountain and the disciple of Mo Yuan.\Since I have made an oath, I can't take my words back. response:	Furthermore, the Sea of Innocence is such a tranquil place.
context: All right.\I'll take my leave now, Master.\All right now.\Just see me off here.\Sixteenth, why would you do this to yourself?\I'm a deity of Kunlun Mountain and the disciple of Mo Yuan.\Since I have made an oath, I can't take my words back.\Furthermore, the Sea of Innocence is such a tranquil place. response:	It's the best place for me to train.
context: I'll take my leave now, Master.\All right now.\Just see me off here.\Sixteenth, why would you do this to yourself?\I'm a deity of Kunlun Mountain and the disciple of Mo Yuan.\Since I have made an oath, I can't take my words back.\Furthermore, the Sea of Innocence is such a tranquil place.\It's the best place for me to train. response:	Seventeenth.
context: All right now.\Just see me off here.\Sixteenth, why would you do this to yourself?\I'm a deity of Kunlun Mountain and the disciple of Mo Yuan.\Since I have made an oath, I can't take my words back.\Furthermore, the Sea of Innocence is such a tranquil place.\It's the best place for me to train.\Seventeenth. response:	I won't attend your wedding with the Crown Prince.
context: Just see me off here.\Sixteenth, why would you do this to yourself?\I'm a deity of Kunlun Mountain and the disciple of Mo Yuan.\Since I have made an oath, I can't take my words back.\Furthermore, the Sea of Innocence is such a tranquil place.\It's the best place for me to train.\Seventeenth.\I won't attend your wedding with the Crown Prince. response:	But should you need me to risk my life to help you
context: Sixteenth, why would you do this to yourself?\I'm a deity of Kunlun Mountain and the disciple of Mo Yuan.\Since I have made an oath, I can't take my words back.\Furthermore, the Sea of Innocence is such a tranquil place.\It's the best place for me to train.\Seventeenth.\I won't attend your wedding with the Crown Prince.\But should you need me to risk my life to help you response:	by all means, come to me in the Sea of Innocence.
context: I'm a deity of Kunlun Mountain and the disciple of Mo Yuan.\Since I have made an oath, I can't take my words back.\Furthermore, the Sea of Innocence is such a tranquil place.\It's the best place for me to train.\Seventeenth.\I won't attend your wedding with the Crown Prince.\But should you need me to risk my life to help you\by all means, come to me in the Sea of Innocence. response:	Touch wood.
context: Since I have made an oath, I can't take my words back.\Furthermore, the Sea of Innocence is such a tranquil place.\It's the best place for me to train.\Seventeenth.\I won't attend your wedding with the Crown Prince.\But should you need me to risk my life to help you\by all means, come to me in the Sea of Innocence.\Touch wood. response:	Since all the seniors are back at their original posts
context: Furthermore, the Sea of Innocence is such a tranquil place.\It's the best place for me to train.\Seventeenth.\I won't attend your wedding with the Crown Prince.\But should you need me to risk my life to help you\by all means, come to me in the Sea of Innocence.\Touch wood.\Since all the seniors are back at their original posts response:	I'll leave Kunlun Mountain in Second Senior's good hands.
context: It's the best place for me to train.\Seventeenth.\I won't attend your wedding with the Crown Prince.\But should you need me to risk my life to help you\by all means, come to me in the Sea of Innocence.\Touch wood.\Since all the seniors are back at their original posts\I'll leave Kunlun Mountain in Second Senior's good hands. response:	I won't keep nagging.
context: Seventeenth.\I won't attend your wedding with the Crown Prince.\But should you need me to risk my life to help you\by all means, come to me in the Sea of Innocence.\Touch wood.\Since all the seniors are back at their original posts\I'll leave Kunlun Mountain in Second Senior's good hands.\I won't keep nagging. response:	I'll get going.
