context: Huh? A person I love? response:	Yeah. Do you have someone special like that?
context: Tell me!\She's the only one being sold.\Get going.\What about Rifana-chan?!\She's done for.\Huh?\How do I smile again?\There's a survivor! response:	Let's go, Raphtalia!
context: She's the only one being sold.\Get going.\What about Rifana-chan?!\She's done for.\Huh?\How do I smile again?\There's a survivor!\Let's go, Raphtalia! response:	You'll be all right now.
context: Get going.\What about Rifana-chan?!\She's done for.\Huh?\How do I smile again?\There's a survivor!\Let's go, Raphtalia!\You'll be all right now. response:	Naofumi!
context: What about Rifana-chan?!\She's done for.\Huh?\How do I smile again?\There's a survivor!\Let's go, Raphtalia!\You'll be all right now.\Naofumi! response:	Over here, too!
context: She's done for.\Huh?\How do I smile again?\There's a survivor!\Let's go, Raphtalia!\You'll be all right now.\Naofumi!\Over here, too! response:	There's someone over here, too!
context: Huh?\How do I smile again?\There's a survivor!\Let's go, Raphtalia!\You'll be all right now.\Naofumi!\Over here, too!\There's someone over here, too! response:	Keel-kun?
context: How do I smile again?\There's a survivor!\Let's go, Raphtalia!\You'll be all right now.\Naofumi!\Over here, too!\There's someone over here, too!\Keel-kun? response:	Keel-kun!
context: There's a survivor!\Let's go, Raphtalia!\You'll be all right now.\Naofumi!\Over here, too!\There's someone over here, too!\Keel-kun?\Keel-kun! response:	Why are you here?
context: Let's go, Raphtalia!\You'll be all right now.\Naofumi!\Over here, too!\There's someone over here, too!\Keel-kun?\Keel-kun!\Why are you here? response:	Who... are you?
context: You'll be all right now.\Naofumi!\Over here, too!\There's someone over here, too!\Keel-kun?\Keel-kun!\Why are you here?\Who... are you? response:	You were brought here, too?
context: Naofumi!\Over here, too!\There's someone over here, too!\Keel-kun?\Keel-kun!\Why are you here?\Who... are you?\You were brought here, too? response:	I'm so glad you're alive!
context: Over here, too!\There's someone over here, too!\Keel-kun?\Keel-kun!\Why are you here?\Who... are you?\You were brought here, too?\I'm so glad you're alive! response:	Who are you, lady?
context: There's someone over here, too!\Keel-kun?\Keel-kun!\Why are you here?\Who... are you?\You were brought here, too?\I'm so glad you're alive!\Who are you, lady? response:	Did you forget? It's me, Raphtalia.
context: Keel-kun?\Keel-kun!\Why are you here?\Who... are you?\You were brought here, too?\I'm so glad you're alive!\Who are you, lady?\Did you forget? It's me, Raphtalia. response:	Raphtalia-chan?
context: Keel-kun!\Why are you here?\Who... are you?\You were brought here, too?\I'm so glad you're alive!\Who are you, lady?\Did you forget? It's me, Raphtalia.\Raphtalia-chan? response:	No way.
context: Why are you here?\Who... are you?\You were brought here, too?\I'm so glad you're alive!\Who are you, lady?\Did you forget? It's me, Raphtalia.\Raphtalia-chan?\No way. response:	You can't be her.
context: Who... are you?\You were brought here, too?\I'm so glad you're alive!\Who are you, lady?\Did you forget? It's me, Raphtalia.\Raphtalia-chan?\No way.\You can't be her. response:	S-Stay away!
context: You were brought here, too?\I'm so glad you're alive!\Who are you, lady?\Did you forget? It's me, Raphtalia.\Raphtalia-chan?\No way.\You can't be her.\S-Stay away! response:	Do you remember?
context: I'm so glad you're alive!\Who are you, lady?\Did you forget? It's me, Raphtalia.\Raphtalia-chan?\No way.\You can't be her.\S-Stay away!\Do you remember? response:	That one time, you went diving and nearly drowned,
context: Who are you, lady?\Did you forget? It's me, Raphtalia.\Raphtalia-chan?\No way.\You can't be her.\S-Stay away!\Do you remember?\That one time, you went diving and nearly drowned, response:	and Sadeena-oneechan had to save you.
context: Did you forget? It's me, Raphtalia.\Raphtalia-chan?\No way.\You can't be her.\S-Stay away!\Do you remember?\That one time, you went diving and nearly drowned,\and Sadeena-oneechan had to save you. response:	You ate a poisonous mushroom and ended up with an upset stomach another time.
context: Raphtalia-chan?\No way.\You can't be her.\S-Stay away!\Do you remember?\That one time, you went diving and nearly drowned,\and Sadeena-oneechan had to save you.\You ate a poisonous mushroom and ended up with an upset stomach another time. response:	You were in pain and begged me not to tell anyone.
context: No way.\You can't be her.\S-Stay away!\Do you remember?\That one time, you went diving and nearly drowned,\and Sadeena-oneechan had to save you.\You ate a poisonous mushroom and ended up with an upset stomach another time.\You were in pain and begged me not to tell anyone. response:	And when I said we should rebuild the village after the Wave,
context: You can't be her.\S-Stay away!\Do you remember?\That one time, you went diving and nearly drowned,\and Sadeena-oneechan had to save you.\You ate a poisonous mushroom and ended up with an upset stomach another time.\You were in pain and begged me not to tell anyone.\And when I said we should rebuild the village after the Wave, response:	you were the first one to agree.
context: S-Stay away!\Do you remember?\That one time, you went diving and nearly drowned,\and Sadeena-oneechan had to save you.\You ate a poisonous mushroom and ended up with an upset stomach another time.\You were in pain and begged me not to tell anyone.\And when I said we should rebuild the village after the Wave,\you were the first one to agree. response:	That made me so happy.
context: Do you remember?\That one time, you went diving and nearly drowned,\and Sadeena-oneechan had to save you.\You ate a poisonous mushroom and ended up with an upset stomach another time.\You were in pain and begged me not to tell anyone.\And when I said we should rebuild the village after the Wave,\you were the first one to agree.\That made me so happy. response:	Raphtalia-chan...
context: That one time, you went diving and nearly drowned,\and Sadeena-oneechan had to save you.\You ate a poisonous mushroom and ended up with an upset stomach another time.\You were in pain and begged me not to tell anyone.\And when I said we should rebuild the village after the Wave,\you were the first one to agree.\That made me so happy.\Raphtalia-chan... response:	It's really you!
context: and Sadeena-oneechan had to save you.\You ate a poisonous mushroom and ended up with an upset stomach another time.\You were in pain and begged me not to tell anyone.\And when I said we should rebuild the village after the Wave,\you were the first one to agree.\That made me so happy.\Raphtalia-chan...\It's really you! response:	Thank you.
context: You ate a poisonous mushroom and ended up with an upset stomach another time.\You were in pain and begged me not to tell anyone.\And when I said we should rebuild the village after the Wave,\you were the first one to agree.\That made me so happy.\Raphtalia-chan...\It's really you!\Thank you. response:	I'm so grateful that you're still alive.
context: You were in pain and begged me not to tell anyone.\And when I said we should rebuild the village after the Wave,\you were the first one to agree.\That made me so happy.\Raphtalia-chan...\It's really you!\Thank you.\I'm so grateful that you're still alive. response:	Who are they?
context: And when I said we should rebuild the village after the Wave,\you were the first one to agree.\That made me so happy.\Raphtalia-chan...\It's really you!\Thank you.\I'm so grateful that you're still alive.\Who are they? response:	I'm with the Shield Hero right now.
context: you were the first one to agree.\That made me so happy.\Raphtalia-chan...\It's really you!\Thank you.\I'm so grateful that you're still alive.\Who are they?\I'm with the Shield Hero right now. response:	What? The... Shield Hero?
context: That made me so happy.\Raphtalia-chan...\It's really you!\Thank you.\I'm so grateful that you're still alive.\Who are they?\I'm with the Shield Hero right now.\What? The... Shield Hero? response:	Yeah. The Shield Hero is here to save you.
context: Raphtalia-chan...\It's really you!\Thank you.\I'm so grateful that you're still alive.\Who are they?\I'm with the Shield Hero right now.\What? The... Shield Hero?\Yeah. The Shield Hero is here to save you. response:	Let me see your wounds.
context: It's really you!\Thank you.\I'm so grateful that you're still alive.\Who are they?\I'm with the Shield Hero right now.\What? The... Shield Hero?\Yeah. The Shield Hero is here to save you.\Let me see your wounds. response:	He's real...
context: Thank you.\I'm so grateful that you're still alive.\Who are they?\I'm with the Shield Hero right now.\What? The... Shield Hero?\Yeah. The Shield Hero is here to save you.\Let me see your wounds.\He's real... response:	The Shield Hero really exists!
context: I'm so grateful that you're still alive.\Who are they?\I'm with the Shield Hero right now.\What? The... Shield Hero?\Yeah. The Shield Hero is here to save you.\Let me see your wounds.\He's real...\The Shield Hero really exists! response:	Are you okay?
context: Who are they?\I'm with the Shield Hero right now.\What? The... Shield Hero?\Yeah. The Shield Hero is here to save you.\Let me see your wounds.\He's real...\The Shield Hero really exists!\Are you okay? response:	Yeah.
context: I'm with the Shield Hero right now.\What? The... Shield Hero?\Yeah. The Shield Hero is here to save you.\Let me see your wounds.\He's real...\The Shield Hero really exists!\Are you okay?\Yeah. response:	I see...
context: What? The... Shield Hero?\Yeah. The Shield Hero is here to save you.\Let me see your wounds.\He's real...\The Shield Hero really exists!\Are you okay?\Yeah.\I see... response:	Rifana-chan would've been so happy to see him.
context: Yeah. The Shield Hero is here to save you.\Let me see your wounds.\He's real...\The Shield Hero really exists!\Are you okay?\Yeah.\I see...\Rifana-chan would've been so happy to see him. response:	Keel-kun...
context: Let me see your wounds.\He's real...\The Shield Hero really exists!\Are you okay?\Yeah.\I see...\Rifana-chan would've been so happy to see him.\Keel-kun... response:	Where is Rifana-chan?
context: He's real...\The Shield Hero really exists!\Are you okay?\Yeah.\I see...\Rifana-chan would've been so happy to see him.\Keel-kun...\Where is Rifana-chan? response:	Is she also...
context: The Shield Hero really exists!\Are you okay?\Yeah.\I see...\Rifana-chan would've been so happy to see him.\Keel-kun...\Where is Rifana-chan?\Is she also... response:	Say, Raphtalia-chan.
context: Are you okay?\Yeah.\I see...\Rifana-chan would've been so happy to see him.\Keel-kun...\Where is Rifana-chan?\Is she also...\Say, Raphtalia-chan. response:	Do you think the Shield Hero will come to save us?
context: Yeah.\I see...\Rifana-chan would've been so happy to see him.\Keel-kun...\Where is Rifana-chan?\Is she also...\Say, Raphtalia-chan.\Do you think the Shield Hero will come to save us? response:	I know he will!
context: I see...\Rifana-chan would've been so happy to see him.\Keel-kun...\Where is Rifana-chan?\Is she also...\Say, Raphtalia-chan.\Do you think the Shield Hero will come to save us?\I know he will! response:	I wanna see him soon.
context: Rifana-chan would've been so happy to see him.\Keel-kun...\Where is Rifana-chan?\Is she also...\Say, Raphtalia-chan.\Do you think the Shield Hero will come to save us?\I know he will!\I wanna see him soon. response:	See him and...
context: Keel-kun...\Where is Rifana-chan?\Is she also...\Say, Raphtalia-chan.\Do you think the Shield Hero will come to save us?\I know he will!\I wanna see him soon.\See him and... response:	And?
context: Where is Rifana-chan?\Is she also...\Say, Raphtalia-chan.\Do you think the Shield Hero will come to save us?\I know he will!\I wanna see him soon.\See him and...\And? response:	Have him make me his wife.
context: Is she also...\Say, Raphtalia-chan.\Do you think the Shield Hero will come to save us?\I know he will!\I wanna see him soon.\See him and...\And?\Have him make me his wife. response:	Master...
context: Say, Raphtalia-chan.\Do you think the Shield Hero will come to save us?\I know he will!\I wanna see him soon.\See him and...\And?\Have him make me his wife.\Master... response:	I can't believe such monstrous deeds were being done in Melromarc.
context: Do you think the Shield Hero will come to save us?\I know he will!\I wanna see him soon.\See him and...\And?\Have him make me his wife.\Master...\I can't believe such monstrous deeds were being done in Melromarc. response:	Melty-sama...
context: I know he will!\I wanna see him soon.\See him and...\And?\Have him make me his wife.\Master...\I can't believe such monstrous deeds were being done in Melromarc.\Melty-sama... response:	As much as I hate to say it, similar things happen all across this country.
context: I wanna see him soon.\See him and...\And?\Have him make me his wife.\Master...\I can't believe such monstrous deeds were being done in Melromarc.\Melty-sama...\As much as I hate to say it, similar things happen all across this country. response:	What?!
context: See him and...\And?\Have him make me his wife.\Master...\I can't believe such monstrous deeds were being done in Melromarc.\Melty-sama...\As much as I hate to say it, similar things happen all across this country.\What?! response:	That's why we needed Seyaette.
context: And?\Have him make me his wife.\Master...\I can't believe such monstrous deeds were being done in Melromarc.\Melty-sama...\As much as I hate to say it, similar things happen all across this country.\What?!\That's why we needed Seyaette. response:	But now...
context: Have him make me his wife.\Master...\I can't believe such monstrous deeds were being done in Melromarc.\Melty-sama...\As much as I hate to say it, similar things happen all across this country.\What?!\That's why we needed Seyaette.\But now... response:	Melty, I need you to do something for me.
context: Master...\I can't believe such monstrous deeds were being done in Melromarc.\Melty-sama...\As much as I hate to say it, similar things happen all across this country.\What?!\That's why we needed Seyaette.\But now...\Melty, I need you to do something for me. response:	Return to the capital
context: I can't believe such monstrous deeds were being done in Melromarc.\Melty-sama...\As much as I hate to say it, similar things happen all across this country.\What?!\That's why we needed Seyaette.\But now...\Melty, I need you to do something for me.\Return to the capital response:	and admonish the king for his unjust treatment.
context: Melty-sama...\As much as I hate to say it, similar things happen all across this country.\What?!\That's why we needed Seyaette.\But now...\Melty, I need you to do something for me.\Return to the capital\and admonish the king for his unjust treatment. response:	Ordinarily, I would go myself, but...
context: As much as I hate to say it, similar things happen all across this country.\What?!\That's why we needed Seyaette.\But now...\Melty, I need you to do something for me.\Return to the capital\and admonish the king for his unjust treatment.\Ordinarily, I would go myself, but... response:	I'm sorry I took so long.
context: What?!\That's why we needed Seyaette.\But now...\Melty, I need you to do something for me.\Return to the capital\and admonish the king for his unjust treatment.\Ordinarily, I would go myself, but...\I'm sorry I took so long. response:	Raphtalia, who is that?
context: That's why we needed Seyaette.\But now...\Melty, I need you to do something for me.\Return to the capital\and admonish the king for his unjust treatment.\Ordinarily, I would go myself, but...\I'm sorry I took so long.\Raphtalia, who is that? response:	Rifana-chan.
context: But now...\Melty, I need you to do something for me.\Return to the capital\and admonish the king for his unjust treatment.\Ordinarily, I would go myself, but...\I'm sorry I took so long.\Raphtalia, who is that?\Rifana-chan. response:	She was gentler and more graceful than me,
context: Melty, I need you to do something for me.\Return to the capital\and admonish the king for his unjust treatment.\Ordinarily, I would go myself, but...\I'm sorry I took so long.\Raphtalia, who is that?\Rifana-chan.\She was gentler and more graceful than me, response:	and she'd always say she wanted to meet you... meet the Shield Hero.
context: Return to the capital\and admonish the king for his unjust treatment.\Ordinarily, I would go myself, but...\I'm sorry I took so long.\Raphtalia, who is that?\Rifana-chan.\She was gentler and more graceful than me,\and she'd always say she wanted to meet you... meet the Shield Hero. response:	Let's give her and the others a proper send-off.
context: and admonish the king for his unjust treatment.\Ordinarily, I would go myself, but...\I'm sorry I took so long.\Raphtalia, who is that?\Rifana-chan.\She was gentler and more graceful than me,\and she'd always say she wanted to meet you... meet the Shield Hero.\Let's give her and the others a proper send-off. response:	They can't rest in peace in a place like this.
context: Ordinarily, I would go myself, but...\I'm sorry I took so long.\Raphtalia, who is that?\Rifana-chan.\She was gentler and more graceful than me,\and she'd always say she wanted to meet you... meet the Shield Hero.\Let's give her and the others a proper send-off.\They can't rest in peace in a place like this. response:	What's wrong?
context: I'm sorry I took so long.\Raphtalia, who is that?\Rifana-chan.\She was gentler and more graceful than me,\and she'd always say she wanted to meet you... meet the Shield Hero.\Let's give her and the others a proper send-off.\They can't rest in peace in a place like this.\What's wrong? response:	I hate myself.
context: Raphtalia, who is that?\Rifana-chan.\She was gentler and more graceful than me,\and she'd always say she wanted to meet you... meet the Shield Hero.\Let's give her and the others a proper send-off.\They can't rest in peace in a place like this.\What's wrong?\I hate myself. response:	I couldn't protect anyone.
context: Rifana-chan.\She was gentler and more graceful than me,\and she'd always say she wanted to meet you... meet the Shield Hero.\Let's give her and the others a proper send-off.\They can't rest in peace in a place like this.\What's wrong?\I hate myself.\I couldn't protect anyone. response:	Before meeting you, I was powerless.
context: She was gentler and more graceful than me,\and she'd always say she wanted to meet you... meet the Shield Hero.\Let's give her and the others a proper send-off.\They can't rest in peace in a place like this.\What's wrong?\I hate myself.\I couldn't protect anyone.\Before meeting you, I was powerless. response:	I couldn't do anything.
context: and she'd always say she wanted to meet you... meet the Shield Hero.\Let's give her and the others a proper send-off.\They can't rest in peace in a place like this.\What's wrong?\I hate myself.\I couldn't protect anyone.\Before meeting you, I was powerless.\I couldn't do anything. response:	If only I was stronger, I could've kept everyone safe!
context: Let's give her and the others a proper send-off.\They can't rest in peace in a place like this.\What's wrong?\I hate myself.\I couldn't protect anyone.\Before meeting you, I was powerless.\I couldn't do anything.\If only I was stronger, I could've kept everyone safe! response:	They could have...
context: They can't rest in peace in a place like this.\What's wrong?\I hate myself.\I couldn't protect anyone.\Before meeting you, I was powerless.\I couldn't do anything.\If only I was stronger, I could've kept everyone safe!\They could have... response:	You did protect us!
context: What's wrong?\I hate myself.\I couldn't protect anyone.\Before meeting you, I was powerless.\I couldn't do anything.\If only I was stronger, I could've kept everyone safe!\They could have...\You did protect us! response:	If you hadn't come to help,
context: I hate myself.\I couldn't protect anyone.\Before meeting you, I was powerless.\I couldn't do anything.\If only I was stronger, I could've kept everyone safe!\They could have...\You did protect us!\If you hadn't come to help, response:	I probably would've died here.
context: I couldn't protect anyone.\Before meeting you, I was powerless.\I couldn't do anything.\If only I was stronger, I could've kept everyone safe!\They could have...\You did protect us!\If you hadn't come to help,\I probably would've died here. response:	And the only reason everyone hung in there without losing hope was your smile!
context: Before meeting you, I was powerless.\I couldn't do anything.\If only I was stronger, I could've kept everyone safe!\They could have...\You did protect us!\If you hadn't come to help,\I probably would've died here.\And the only reason everyone hung in there without losing hope was your smile! response:	We decided to keep smiling, no matter how bad things got!
context: I couldn't do anything.\If only I was stronger, I could've kept everyone safe!\They could have...\You did protect us!\If you hadn't come to help,\I probably would've died here.\And the only reason everyone hung in there without losing hope was your smile!\We decided to keep smiling, no matter how bad things got! response:	Sorry.
context: If only I was stronger, I could've kept everyone safe!\They could have...\You did protect us!\If you hadn't come to help,\I probably would've died here.\And the only reason everyone hung in there without losing hope was your smile!\We decided to keep smiling, no matter how bad things got!\Sorry. response:	I'm sorry, Keel-kun.
context: They could have...\You did protect us!\If you hadn't come to help,\I probably would've died here.\And the only reason everyone hung in there without losing hope was your smile!\We decided to keep smiling, no matter how bad things got!\Sorry.\I'm sorry, Keel-kun. response:	I can't smile like I used to.
context: You did protect us!\If you hadn't come to help,\I probably would've died here.\And the only reason everyone hung in there without losing hope was your smile!\We decided to keep smiling, no matter how bad things got!\Sorry.\I'm sorry, Keel-kun.\I can't smile like I used to. response:	I mean...
context: If you hadn't come to help,\I probably would've died here.\And the only reason everyone hung in there without losing hope was your smile!\We decided to keep smiling, no matter how bad things got!\Sorry.\I'm sorry, Keel-kun.\I can't smile like I used to.\I mean... response:	I ended up killing someone.
context: I probably would've died here.\And the only reason everyone hung in there without losing hope was your smile!\We decided to keep smiling, no matter how bad things got!\Sorry.\I'm sorry, Keel-kun.\I can't smile like I used to.\I mean...\I ended up killing someone. response:	You're wrong.
context: And the only reason everyone hung in there without losing hope was your smile!\We decided to keep smiling, no matter how bad things got!\Sorry.\I'm sorry, Keel-kun.\I can't smile like I used to.\I mean...\I ended up killing someone.\You're wrong. response:	It was all wrong.
context: We decided to keep smiling, no matter how bad things got!\Sorry.\I'm sorry, Keel-kun.\I can't smile like I used to.\I mean...\I ended up killing someone.\You're wrong.\It was all wrong. response:	Everything I've done so far...
context: Sorry.\I'm sorry, Keel-kun.\I can't smile like I used to.\I mean...\I ended up killing someone.\You're wrong.\It was all wrong.\Everything I've done so far... response:	It was all a mistake!
context: I'm sorry, Keel-kun.\I can't smile like I used to.\I mean...\I ended up killing someone.\You're wrong.\It was all wrong.\Everything I've done so far...\It was all a mistake! response:	That's not it!
context: I can't smile like I used to.\I mean...\I ended up killing someone.\You're wrong.\It was all wrong.\Everything I've done so far...\It was all a mistake!\That's not it! response:	Raphtalia...
context: I mean...\I ended up killing someone.\You're wrong.\It was all wrong.\Everything I've done so far...\It was all a mistake!\That's not it!\Raphtalia... response:	I don't have the right to walk beside you!
context: I ended up killing someone.\You're wrong.\It was all wrong.\Everything I've done so far...\It was all a mistake!\That's not it!\Raphtalia...\I don't have the right to walk beside you! response:	You did nothing wrong!
context: You're wrong.\It was all wrong.\Everything I've done so far...\It was all a mistake!\That's not it!\Raphtalia...\I don't have the right to walk beside you!\You did nothing wrong! response:	If I hadn't met you,
context: It was all wrong.\Everything I've done so far...\It was all a mistake!\That's not it!\Raphtalia...\I don't have the right to walk beside you!\You did nothing wrong!\If I hadn't met you, response:	I would've run from this world without ever trusting anyone.
context: Everything I've done so far...\It was all a mistake!\That's not it!\Raphtalia...\I don't have the right to walk beside you!\You did nothing wrong!\If I hadn't met you,\I would've run from this world without ever trusting anyone. response:	It's because you believed in me back then that I'm here right now,
context: It was all a mistake!\That's not it!\Raphtalia...\I don't have the right to walk beside you!\You did nothing wrong!\If I hadn't met you,\I would've run from this world without ever trusting anyone.\It's because you believed in me back then that I'm here right now, response:	that I got to meet Filo and Melty.
context: That's not it!\Raphtalia...\I don't have the right to walk beside you!\You did nothing wrong!\If I hadn't met you,\I would've run from this world without ever trusting anyone.\It's because you believed in me back then that I'm here right now,\that I got to meet Filo and Melty. response:	Yeah. It can't have been a mistake.
context: Raphtalia...\I don't have the right to walk beside you!\You did nothing wrong!\If I hadn't met you,\I would've run from this world without ever trusting anyone.\It's because you believed in me back then that I'm here right now,\that I got to meet Filo and Melty.\Yeah. It can't have been a mistake. response:	I mean, you were so tiny, and now you've met the Shield Hero,
context: I don't have the right to walk beside you!\You did nothing wrong!\If I hadn't met you,\I would've run from this world without ever trusting anyone.\It's because you believed in me back then that I'm here right now,\that I got to meet Filo and Melty.\Yeah. It can't have been a mistake.\I mean, you were so tiny, and now you've met the Shield Hero, response:	become such a cool lady, and come back to save us!
context: You did nothing wrong!\If I hadn't met you,\I would've run from this world without ever trusting anyone.\It's because you believed in me back then that I'm here right now,\that I got to meet Filo and Melty.\Yeah. It can't have been a mistake.\I mean, you were so tiny, and now you've met the Shield Hero,\become such a cool lady, and come back to save us! response:	Look.
context: If I hadn't met you,\I would've run from this world without ever trusting anyone.\It's because you believed in me back then that I'm here right now,\that I got to meet Filo and Melty.\Yeah. It can't have been a mistake.\I mean, you were so tiny, and now you've met the Shield Hero,\become such a cool lady, and come back to save us!\Look. response:	You were the one who kept those kids alive.
context: I would've run from this world without ever trusting anyone.\It's because you believed in me back then that I'm here right now,\that I got to meet Filo and Melty.\Yeah. It can't have been a mistake.\I mean, you were so tiny, and now you've met the Shield Hero,\become such a cool lady, and come back to save us!\Look.\You were the one who kept those kids alive. response:	Naofumi-sama...
context: It's because you believed in me back then that I'm here right now,\that I got to meet Filo and Melty.\Yeah. It can't have been a mistake.\I mean, you were so tiny, and now you've met the Shield Hero,\become such a cool lady, and come back to save us!\Look.\You were the one who kept those kids alive.\Naofumi-sama... response:	Stop crying.
context: that I got to meet Filo and Melty.\Yeah. It can't have been a mistake.\I mean, you were so tiny, and now you've met the Shield Hero,\become such a cool lady, and come back to save us!\Look.\You were the one who kept those kids alive.\Naofumi-sama...\Stop crying. response:	I'm sure Rifana-chan's happy she got to meet the Shield Hero, too.
context: Yeah. It can't have been a mistake.\I mean, you were so tiny, and now you've met the Shield Hero,\become such a cool lady, and come back to save us!\Look.\You were the one who kept those kids alive.\Naofumi-sama...\Stop crying.\I'm sure Rifana-chan's happy she got to meet the Shield Hero, too. response:	From now on, we have to protect them.
context: I mean, you were so tiny, and now you've met the Shield Hero,\become such a cool lady, and come back to save us!\Look.\You were the one who kept those kids alive.\Naofumi-sama...\Stop crying.\I'm sure Rifana-chan's happy she got to meet the Shield Hero, too.\From now on, we have to protect them. response:	Make sure nobody goes through what you and she did.
context: become such a cool lady, and come back to save us!\Look.\You were the one who kept those kids alive.\Naofumi-sama...\Stop crying.\I'm sure Rifana-chan's happy she got to meet the Shield Hero, too.\From now on, we have to protect them.\Make sure nobody goes through what you and she did. response:	Isn't that why you fought with me for all this time?
context: Look.\You were the one who kept those kids alive.\Naofumi-sama...\Stop crying.\I'm sure Rifana-chan's happy she got to meet the Shield Hero, too.\From now on, we have to protect them.\Make sure nobody goes through what you and she did.\Isn't that why you fought with me for all this time? response:	Together with me, the Shield Hero?
context: You were the one who kept those kids alive.\Naofumi-sama...\Stop crying.\I'm sure Rifana-chan's happy she got to meet the Shield Hero, too.\From now on, we have to protect them.\Make sure nobody goes through what you and she did.\Isn't that why you fought with me for all this time?\Together with me, the Shield Hero? response:	Yes!
context: Naofumi-sama...\Stop crying.\I'm sure Rifana-chan's happy she got to meet the Shield Hero, too.\From now on, we have to protect them.\Make sure nobody goes through what you and she did.\Isn't that why you fought with me for all this time?\Together with me, the Shield Hero?\Yes! response:	Lucky you.
context: Stop crying.\I'm sure Rifana-chan's happy she got to meet the Shield Hero, too.\From now on, we have to protect them.\Make sure nobody goes through what you and she did.\Isn't that why you fought with me for all this time?\Together with me, the Shield Hero?\Yes!\Lucky you. response:	You're in the Shield Hero's party.
context: I'm sure Rifana-chan's happy she got to meet the Shield Hero, too.\From now on, we have to protect them.\Make sure nobody goes through what you and she did.\Isn't that why you fought with me for all this time?\Together with me, the Shield Hero?\Yes!\Lucky you.\You're in the Shield Hero's party. response:	You must be jealous, right?
context: From now on, we have to protect them.\Make sure nobody goes through what you and she did.\Isn't that why you fought with me for all this time?\Together with me, the Shield Hero?\Yes!\Lucky you.\You're in the Shield Hero's party.\You must be jealous, right? response:	You jerk!
context: Make sure nobody goes through what you and she did.\Isn't that why you fought with me for all this time?\Together with me, the Shield Hero?\Yes!\Lucky you.\You're in the Shield Hero's party.\You must be jealous, right?\You jerk! response:	I'll always be watching.
context: Isn't that why you fought with me for all this time?\Together with me, the Shield Hero?\Yes!\Lucky you.\You're in the Shield Hero's party.\You must be jealous, right?\You jerk!\I'll always be watching. response:	Okay.
context: Together with me, the Shield Hero?\Yes!\Lucky you.\You're in the Shield Hero's party.\You must be jealous, right?\You jerk!\I'll always be watching.\Okay. response:	And one day, let's go back to a village with that flag.
context: Yes!\Lucky you.\You're in the Shield Hero's party.\You must be jealous, right?\You jerk!\I'll always be watching.\Okay.\And one day, let's go back to a village with that flag. response:	Yeah!
context: Lucky you.\You're in the Shield Hero's party.\You must be jealous, right?\You jerk!\I'll always be watching.\Okay.\And one day, let's go back to a village with that flag.\Yeah! response:	Rifana-chan,
context: You're in the Shield Hero's party.\You must be jealous, right?\You jerk!\I'll always be watching.\Okay.\And one day, let's go back to a village with that flag.\Yeah!\Rifana-chan, response:	I promise I'll bring back the flag from those days...
context: You must be jealous, right?\You jerk!\I'll always be watching.\Okay.\And one day, let's go back to a village with that flag.\Yeah!\Rifana-chan,\I promise I'll bring back the flag from those days... response:	Together with Naofumi-sama.
context: You jerk!\I'll always be watching.\Okay.\And one day, let's go back to a village with that flag.\Yeah!\Rifana-chan,\I promise I'll bring back the flag from those days...\Together with Naofumi-sama. response:	What's happening there?
context: I'll always be watching.\Okay.\And one day, let's go back to a village with that flag.\Yeah!\Rifana-chan,\I promise I'll bring back the flag from those days...\Together with Naofumi-sama.\What's happening there? response:	In order to take you back,
context: Okay.\And one day, let's go back to a village with that flag.\Yeah!\Rifana-chan,\I promise I'll bring back the flag from those days...\Together with Naofumi-sama.\What's happening there?\In order to take you back, response:	demi-humans from your domain are rioting here.
context: And one day, let's go back to a village with that flag.\Yeah!\Rifana-chan,\I promise I'll bring back the flag from those days...\Together with Naofumi-sama.\What's happening there?\In order to take you back,\demi-humans from your domain are rioting here. response:	Go let them know you're all right.
context: Yeah!\Rifana-chan,\I promise I'll bring back the flag from those days...\Together with Naofumi-sama.\What's happening there?\In order to take you back,\demi-humans from your domain are rioting here.\Go let them know you're all right. response:	I will.
context: Rifana-chan,\I promise I'll bring back the flag from those days...\Together with Naofumi-sama.\What's happening there?\In order to take you back,\demi-humans from your domain are rioting here.\Go let them know you're all right.\I will. response:	What?
context: I promise I'll bring back the flag from those days...\Together with Naofumi-sama.\What's happening there?\In order to take you back,\demi-humans from your domain are rioting here.\Go let them know you're all right.\I will.\What? response:	Look there, Master!
context: Together with Naofumi-sama.\What's happening there?\In order to take you back,\demi-humans from your domain are rioting here.\Go let them know you're all right.\I will.\What?\Look there, Master! response:	That guy's still alive?
context: What's happening there?\In order to take you back,\demi-humans from your domain are rioting here.\Go let them know you're all right.\I will.\What?\Look there, Master!\That guy's still alive? response:	O Supreme God,
context: In order to take you back,\demi-humans from your domain are rioting here.\Go let them know you're all right.\I will.\What?\Look there, Master!\That guy's still alive?\O Supreme God, response:	grant me the power to rend the Devil asunder!
context: demi-humans from your domain are rioting here.\Go let them know you're all right.\I will.\What?\Look there, Master!\That guy's still alive?\O Supreme God,\grant me the power to rend the Devil asunder! response:	No... Don't tell me...
context: Go let them know you're all right.\I will.\What?\Look there, Master!\That guy's still alive?\O Supreme God,\grant me the power to rend the Devil asunder!\No... Don't tell me... response:	What's wrong?
