context: I've liked you, Chisaki. response:	For quite a while now.
context: I've been thinking, even if people sleep at the same time at night,\everyone still wakes up at various times, right?\So are we all really going to be able to wake up at the same time?\Isn't everyone going to sleep together and waking up together?\There's no guarantee.\After our hibernation, not only will the surface be different, but so will we.\The only guarantee we have of spending the same time together is right now.\It's sort of ephemeral. response:	What did you guys want to do about lunch?
context: everyone still wakes up at various times, right?\So are we all really going to be able to wake up at the same time?\Isn't everyone going to sleep together and waking up together?\There's no guarantee.\After our hibernation, not only will the surface be different, but so will we.\The only guarantee we have of spending the same time together is right now.\It's sort of ephemeral.\What did you guys want to do about lunch? response:	Sensei asked me to ask you guys just in case.
context: So are we all really going to be able to wake up at the same time?\Isn't everyone going to sleep together and waking up together?\There's no guarantee.\After our hibernation, not only will the surface be different, but so will we.\The only guarantee we have of spending the same time together is right now.\It's sort of ephemeral.\What did you guys want to do about lunch?\Sensei asked me to ask you guys just in case. response:	You really do have amazing timing, Tsumugu.
context: Isn't everyone going to sleep together and waking up together?\There's no guarantee.\After our hibernation, not only will the surface be different, but so will we.\The only guarantee we have of spending the same time together is right now.\It's sort of ephemeral.\What did you guys want to do about lunch?\Sensei asked me to ask you guys just in case.\You really do have amazing timing, Tsumugu. response:	I'm going to eat.
context: There's no guarantee.\After our hibernation, not only will the surface be different, but so will we.\The only guarantee we have of spending the same time together is right now.\It's sort of ephemeral.\What did you guys want to do about lunch?\Sensei asked me to ask you guys just in case.\You really do have amazing timing, Tsumugu.\I'm going to eat. response:	Y-You'll get in trouble.
context: After our hibernation, not only will the surface be different, but so will we.\The only guarantee we have of spending the same time together is right now.\It's sort of ephemeral.\What did you guys want to do about lunch?\Sensei asked me to ask you guys just in case.\You really do have amazing timing, Tsumugu.\I'm going to eat.\Y-You'll get in trouble. response:	Like I care!
context: The only guarantee we have of spending the same time together is right now.\It's sort of ephemeral.\What did you guys want to do about lunch?\Sensei asked me to ask you guys just in case.\You really do have amazing timing, Tsumugu.\I'm going to eat.\Y-You'll get in trouble.\Like I care! response:	I'm not just going to fall sleep helplessly,
context: It's sort of ephemeral.\What did you guys want to do about lunch?\Sensei asked me to ask you guys just in case.\You really do have amazing timing, Tsumugu.\I'm going to eat.\Y-You'll get in trouble.\Like I care!\I'm not just going to fall sleep helplessly, response:	when I don't even know what's going to happen.
context: What did you guys want to do about lunch?\Sensei asked me to ask you guys just in case.\You really do have amazing timing, Tsumugu.\I'm going to eat.\Y-You'll get in trouble.\Like I care!\I'm not just going to fall sleep helplessly,\when I don't even know what's going to happen. response:	Manaka!
context: Sensei asked me to ask you guys just in case.\You really do have amazing timing, Tsumugu.\I'm going to eat.\Y-You'll get in trouble.\Like I care!\I'm not just going to fall sleep helplessly,\when I don't even know what's going to happen.\Manaka! response:	I'm going to eat, too!
context: You really do have amazing timing, Tsumugu.\I'm going to eat.\Y-You'll get in trouble.\Like I care!\I'm not just going to fall sleep helplessly,\when I don't even know what's going to happen.\Manaka!\I'm going to eat, too! response:	I mean... I don't want it to be like this.
context: I'm going to eat.\Y-You'll get in trouble.\Like I care!\I'm not just going to fall sleep helplessly,\when I don't even know what's going to happen.\Manaka!\I'm going to eat, too!\I mean... I don't want it to be like this. response:	I don't want to go to sleep and have everything be different when I wake up.
context: Y-You'll get in trouble.\Like I care!\I'm not just going to fall sleep helplessly,\when I don't even know what's going to happen.\Manaka!\I'm going to eat, too!\I mean... I don't want it to be like this.\I don't want to go to sleep and have everything be different when I wake up. response:	Manaka...
context: Like I care!\I'm not just going to fall sleep helplessly,\when I don't even know what's going to happen.\Manaka!\I'm going to eat, too!\I mean... I don't want it to be like this.\I don't want to go to sleep and have everything be different when I wake up.\Manaka... response:	All right...
context: I'm not just going to fall sleep helplessly,\when I don't even know what's going to happen.\Manaka!\I'm going to eat, too!\I mean... I don't want it to be like this.\I don't want to go to sleep and have everything be different when I wake up.\Manaka...\All right... response:	Come on.
context: when I don't even know what's going to happen.\Manaka!\I'm going to eat, too!\I mean... I don't want it to be like this.\I don't want to go to sleep and have everything be different when I wake up.\Manaka...\All right...\Come on. response:	Okay, Hii-kun!
context: Manaka!\I'm going to eat, too!\I mean... I don't want it to be like this.\I don't want to go to sleep and have everything be different when I wake up.\Manaka...\All right...\Come on.\Okay, Hii-kun! response:	Manaka really is a fast runner.
context: I'm going to eat, too!\I mean... I don't want it to be like this.\I don't want to go to sleep and have everything be different when I wake up.\Manaka...\All right...\Come on.\Okay, Hii-kun!\Manaka really is a fast runner. response:	She's usually really slow,
context: I mean... I don't want it to be like this.\I don't want to go to sleep and have everything be different when I wake up.\Manaka...\All right...\Come on.\Okay, Hii-kun!\Manaka really is a fast runner.\She's usually really slow, response:	but sometimes we get left behind.
context: I don't want to go to sleep and have everything be different when I wake up.\Manaka...\All right...\Come on.\Okay, Hii-kun!\Manaka really is a fast runner.\She's usually really slow,\but sometimes we get left behind. response:	If you don't hurry, Egawa and the others are going to eat it all.
context: Manaka...\All right...\Come on.\Okay, Hii-kun!\Manaka really is a fast runner.\She's usually really slow,\but sometimes we get left behind.\If you don't hurry, Egawa and the others are going to eat it all. response:	Shall we?
context: All right...\Come on.\Okay, Hii-kun!\Manaka really is a fast runner.\She's usually really slow,\but sometimes we get left behind.\If you don't hurry, Egawa and the others are going to eat it all.\Shall we? response:	Yeah.
context: Come on.\Okay, Hii-kun!\Manaka really is a fast runner.\She's usually really slow,\but sometimes we get left behind.\If you don't hurry, Egawa and the others are going to eat it all.\Shall we?\Yeah. response:	Saya Mart
context: Okay, Hii-kun!\Manaka really is a fast runner.\She's usually really slow,\but sometimes we get left behind.\If you don't hurry, Egawa and the others are going to eat it all.\Shall we?\Yeah.\Saya Mart response:	I really understand now
context: Manaka really is a fast runner.\She's usually really slow,\but sometimes we get left behind.\If you don't hurry, Egawa and the others are going to eat it all.\Shall we?\Yeah.\Saya Mart\I really understand now response:	how much the people from Shioshishio helped out our store.
context: She's usually really slow,\but sometimes we get left behind.\If you don't hurry, Egawa and the others are going to eat it all.\Shall we?\Yeah.\Saya Mart\I really understand now\how much the people from Shioshishio helped out our store. response:	Due to bad weather,
context: but sometimes we get left behind.\If you don't hurry, Egawa and the others are going to eat it all.\Shall we?\Yeah.\Saya Mart\I really understand now\how much the people from Shioshishio helped out our store.\Due to bad weather, response:	the produce and fish have all been stuck at a steep price.
context: If you don't hurry, Egawa and the others are going to eat it all.\Shall we?\Yeah.\Saya Mart\I really understand now\how much the people from Shioshishio helped out our store.\Due to bad weather,\the produce and fish have all been stuck at a steep price. response:	I guess the world really could be ending.
context: Shall we?\Yeah.\Saya Mart\I really understand now\how much the people from Shioshishio helped out our store.\Due to bad weather,\the produce and fish have all been stuck at a steep price.\I guess the world really could be ending. response:	Let's do our best, boss.
context: Yeah.\Saya Mart\I really understand now\how much the people from Shioshishio helped out our store.\Due to bad weather,\the produce and fish have all been stuck at a steep price.\I guess the world really could be ending.\Let's do our best, boss. response:	This is the time to put good things on sale.
context: Saya Mart\I really understand now\how much the people from Shioshishio helped out our store.\Due to bad weather,\the produce and fish have all been stuck at a steep price.\I guess the world really could be ending.\Let's do our best, boss.\This is the time to put good things on sale. response:	You saw, didn't you?
context: I really understand now\how much the people from Shioshishio helped out our store.\Due to bad weather,\the produce and fish have all been stuck at a steep price.\I guess the world really could be ending.\Let's do our best, boss.\This is the time to put good things on sale.\You saw, didn't you? response:	Go away!
context: how much the people from Shioshishio helped out our store.\Due to bad weather,\the produce and fish have all been stuck at a steep price.\I guess the world really could be ending.\Let's do our best, boss.\This is the time to put good things on sale.\You saw, didn't you?\Go away! response:	Yeah, go away!
context: Due to bad weather,\the produce and fish have all been stuck at a steep price.\I guess the world really could be ending.\Let's do our best, boss.\This is the time to put good things on sale.\You saw, didn't you?\Go away!\Yeah, go away! response:	Go away somewhere, Aka-chan!
context: the produce and fish have all been stuck at a steep price.\I guess the world really could be ending.\Let's do our best, boss.\This is the time to put good things on sale.\You saw, didn't you?\Go away!\Yeah, go away!\Go away somewhere, Aka-chan! response:	I said go, you fake mom!
context: I guess the world really could be ending.\Let's do our best, boss.\This is the time to put good things on sale.\You saw, didn't you?\Go away!\Yeah, go away!\Go away somewhere, Aka-chan!\I said go, you fake mom! response:	Miuna!
context: Let's do our best, boss.\This is the time to put good things on sale.\You saw, didn't you?\Go away!\Yeah, go away!\Go away somewhere, Aka-chan!\I said go, you fake mom!\Miuna! response:	That made Aka-chan mad, right?
context: This is the time to put good things on sale.\You saw, didn't you?\Go away!\Yeah, go away!\Go away somewhere, Aka-chan!\I said go, you fake mom!\Miuna!\That made Aka-chan mad, right? response:	This will make her go back to the sea, right?
context: You saw, didn't you?\Go away!\Yeah, go away!\Go away somewhere, Aka-chan!\I said go, you fake mom!\Miuna!\That made Aka-chan mad, right?\This will make her go back to the sea, right? response:	She'll go to sleep, right?
context: Go away!\Yeah, go away!\Go away somewhere, Aka-chan!\I said go, you fake mom!\Miuna!\That made Aka-chan mad, right?\This will make her go back to the sea, right?\She'll go to sleep, right? response:	She won't die, right?!
context: Yeah, go away!\Go away somewhere, Aka-chan!\I said go, you fake mom!\Miuna!\That made Aka-chan mad, right?\This will make her go back to the sea, right?\She'll go to sleep, right?\She won't die, right?! response:	Don't cry, Miuna!
context: Go away somewhere, Aka-chan!\I said go, you fake mom!\Miuna!\That made Aka-chan mad, right?\This will make her go back to the sea, right?\She'll go to sleep, right?\She won't die, right?!\Don't cry, Miuna! response:	We're red demons that cried!
context: I said go, you fake mom!\Miuna!\That made Aka-chan mad, right?\This will make her go back to the sea, right?\She'll go to sleep, right?\She won't die, right?!\Don't cry, Miuna!\We're red demons that cried! response:	We didn't have a choice!
context: Miuna!\That made Aka-chan mad, right?\This will make her go back to the sea, right?\She'll go to sleep, right?\She won't die, right?!\Don't cry, Miuna!\We're red demons that cried!\We didn't have a choice! response:	Thanks...
context: That made Aka-chan mad, right?\This will make her go back to the sea, right?\She'll go to sleep, right?\She won't die, right?!\Don't cry, Miuna!\We're red demons that cried!\We didn't have a choice!\Thanks... response:	But where I'm headed has already been decided.
context: This will make her go back to the sea, right?\She'll go to sleep, right?\She won't die, right?!\Don't cry, Miuna!\We're red demons that cried!\We didn't have a choice!\Thanks...\But where I'm headed has already been decided. response:	Um, Sakishima-san?
context: She'll go to sleep, right?\She won't die, right?!\Don't cry, Miuna!\We're red demons that cried!\We didn't have a choice!\Thanks...\But where I'm headed has already been decided.\Um, Sakishima-san? response:	Yes?
context: She won't die, right?!\Don't cry, Miuna!\We're red demons that cried!\We didn't have a choice!\Thanks...\But where I'm headed has already been decided.\Um, Sakishima-san?\Yes? response:	We're from the Fishery Cooperative's Young Men's Coalition.
context: Don't cry, Miuna!\We're red demons that cried!\We didn't have a choice!\Thanks...\But where I'm headed has already been decided.\Um, Sakishima-san?\Yes?\We're from the Fishery Cooperative's Young Men's Coalition. response:	We had a request for your brother.
context: We're red demons that cried!\We didn't have a choice!\Thanks...\But where I'm headed has already been decided.\Um, Sakishima-san?\Yes?\We're from the Fishery Cooperative's Young Men's Coalition.\We had a request for your brother. response:	For Hikari?
context: We didn't have a choice!\Thanks...\But where I'm headed has already been decided.\Um, Sakishima-san?\Yes?\We're from the Fishery Cooperative's Young Men's Coalition.\We had a request for your brother.\For Hikari? response:	What?
context: Thanks...\But where I'm headed has already been decided.\Um, Sakishima-san?\Yes?\We're from the Fishery Cooperative's Young Men's Coalition.\We had a request for your brother.\For Hikari?\What? response:	Really?
context: But where I'm headed has already been decided.\Um, Sakishima-san?\Yes?\We're from the Fishery Cooperative's Young Men's Coalition.\We had a request for your brother.\For Hikari?\What?\Really? response:	Yeah.
context: Um, Sakishima-san?\Yes?\We're from the Fishery Cooperative's Young Men's Coalition.\We had a request for your brother.\For Hikari?\What?\Really?\Yeah. response:	Is there any way that you'd do the Ofunehiki?
context: Yes?\We're from the Fishery Cooperative's Young Men's Coalition.\We had a request for your brother.\For Hikari?\What?\Really?\Yeah.\Is there any way that you'd do the Ofunehiki? response:	Come on, Dad.
context: We're from the Fishery Cooperative's Young Men's Coalition.\We had a request for your brother.\For Hikari?\What?\Really?\Yeah.\Is there any way that you'd do the Ofunehiki?\Come on, Dad. response:	I know...
context: We had a request for your brother.\For Hikari?\What?\Really?\Yeah.\Is there any way that you'd do the Ofunehiki?\Come on, Dad.\I know... response:	Sorry about what happened at our last meeting.
context: For Hikari?\What?\Really?\Yeah.\Is there any way that you'd do the Ofunehiki?\Come on, Dad.\I know...\Sorry about what happened at our last meeting. response:	We, um...
context: What?\Really?\Yeah.\Is there any way that you'd do the Ofunehiki?\Come on, Dad.\I know...\Sorry about what happened at our last meeting.\We, um... response:	let our tempers get the best of us.
context: Really?\Yeah.\Is there any way that you'd do the Ofunehiki?\Come on, Dad.\I know...\Sorry about what happened at our last meeting.\We, um...\let our tempers get the best of us. response:	That doesn't matter right now.
context: Yeah.\Is there any way that you'd do the Ofunehiki?\Come on, Dad.\I know...\Sorry about what happened at our last meeting.\We, um...\let our tempers get the best of us.\That doesn't matter right now. response:	More importantly, are you being serious?
context: Is there any way that you'd do the Ofunehiki?\Come on, Dad.\I know...\Sorry about what happened at our last meeting.\We, um...\let our tempers get the best of us.\That doesn't matter right now.\More importantly, are you being serious? response:	Yeah.
context: Come on, Dad.\I know...\Sorry about what happened at our last meeting.\We, um...\let our tempers get the best of us.\That doesn't matter right now.\More importantly, are you being serious?\Yeah. response:	When you first told us about the winter,
context: I know...\Sorry about what happened at our last meeting.\We, um...\let our tempers get the best of us.\That doesn't matter right now.\More importantly, are you being serious?\Yeah.\When you first told us about the winter, response:	we weren't really sure what to think.
context: Sorry about what happened at our last meeting.\We, um...\let our tempers get the best of us.\That doesn't matter right now.\More importantly, are you being serious?\Yeah.\When you first told us about the winter,\we weren't really sure what to think. response:	Because of the saltflake snow falling and the weather being what it is,
context: We, um...\let our tempers get the best of us.\That doesn't matter right now.\More importantly, are you being serious?\Yeah.\When you first told us about the winter,\we weren't really sure what to think.\Because of the saltflake snow falling and the weather being what it is, response:	everyone realized it might be true.
context: let our tempers get the best of us.\That doesn't matter right now.\More importantly, are you being serious?\Yeah.\When you first told us about the winter,\we weren't really sure what to think.\Because of the saltflake snow falling and the weather being what it is,\everyone realized it might be true. response:	So please!
context: That doesn't matter right now.\More importantly, are you being serious?\Yeah.\When you first told us about the winter,\we weren't really sure what to think.\Because of the saltflake snow falling and the weather being what it is,\everyone realized it might be true.\So please! response:	We beg of you!
context: More importantly, are you being serious?\Yeah.\When you first told us about the winter,\we weren't really sure what to think.\Because of the saltflake snow falling and the weather being what it is,\everyone realized it might be true.\So please!\We beg of you! response:	You know, Hikari...
context: Yeah.\When you first told us about the winter,\we weren't really sure what to think.\Because of the saltflake snow falling and the weather being what it is,\everyone realized it might be true.\So please!\We beg of you!\You know, Hikari... response:	These people were laughing at what you said,
context: When you first told us about the winter,\we weren't really sure what to think.\Because of the saltflake snow falling and the weather being what it is,\everyone realized it might be true.\So please!\We beg of you!\You know, Hikari...\These people were laughing at what you said, response:	but now that the fishing's not good and they see what's happening,
context: we weren't really sure what to think.\Because of the saltflake snow falling and the weather being what it is,\everyone realized it might be true.\So please!\We beg of you!\You know, Hikari...\These people were laughing at what you said,\but now that the fishing's not good and they see what's happening, response:	they want to be on board with you.
context: Because of the saltflake snow falling and the weather being what it is,\everyone realized it might be true.\So please!\We beg of you!\You know, Hikari...\These people were laughing at what you said,\but now that the fishing's not good and they see what's happening,\they want to be on board with you. response:	You have every right to decline considering how convenient this sounds for them.
context: everyone realized it might be true.\So please!\We beg of you!\You know, Hikari...\These people were laughing at what you said,\but now that the fishing's not good and they see what's happening,\they want to be on board with you.\You have every right to decline considering how convenient this sounds for them. response:	But, if possible, please accept their plea.
context: So please!\We beg of you!\You know, Hikari...\These people were laughing at what you said,\but now that the fishing's not good and they see what's happening,\they want to be on board with you.\You have every right to decline considering how convenient this sounds for them.\But, if possible, please accept their plea. response:	The surface is a very important place to me.
context: We beg of you!\You know, Hikari...\These people were laughing at what you said,\but now that the fishing's not good and they see what's happening,\they want to be on board with you.\You have every right to decline considering how convenient this sounds for them.\But, if possible, please accept their plea.\The surface is a very important place to me. response:	Please.
context: You know, Hikari...\These people were laughing at what you said,\but now that the fishing's not good and they see what's happening,\they want to be on board with you.\You have every right to decline considering how convenient this sounds for them.\But, if possible, please accept their plea.\The surface is a very important place to me.\Please. response:	So everyone on the surface is going to help us out, right?
context: These people were laughing at what you said,\but now that the fishing's not good and they see what's happening,\they want to be on board with you.\You have every right to decline considering how convenient this sounds for them.\But, if possible, please accept their plea.\The surface is a very important place to me.\Please.\So everyone on the surface is going to help us out, right? response:	Of course we'll help in any way we can.
context: but now that the fishing's not good and they see what's happening,\they want to be on board with you.\You have every right to decline considering how convenient this sounds for them.\But, if possible, please accept their plea.\The surface is a very important place to me.\Please.\So everyone on the surface is going to help us out, right?\Of course we'll help in any way we can. response:	This is the consensus opinion of the Oshiooshi Fishery Cooperative.
context: they want to be on board with you.\You have every right to decline considering how convenient this sounds for them.\But, if possible, please accept their plea.\The surface is a very important place to me.\Please.\So everyone on the surface is going to help us out, right?\Of course we'll help in any way we can.\This is the consensus opinion of the Oshiooshi Fishery Cooperative. response:	All right.
context: You have every right to decline considering how convenient this sounds for them.\But, if possible, please accept their plea.\The surface is a very important place to me.\Please.\So everyone on the surface is going to help us out, right?\Of course we'll help in any way we can.\This is the consensus opinion of the Oshiooshi Fishery Cooperative.\All right. response:	Then leave it to me.
context: But, if possible, please accept their plea.\The surface is a very important place to me.\Please.\So everyone on the surface is going to help us out, right?\Of course we'll help in any way we can.\This is the consensus opinion of the Oshiooshi Fishery Cooperative.\All right.\Then leave it to me. response:	And so...
context: The surface is a very important place to me.\Please.\So everyone on the surface is going to help us out, right?\Of course we'll help in any way we can.\This is the consensus opinion of the Oshiooshi Fishery Cooperative.\All right.\Then leave it to me.\And so... response:	Everyone from the Fishery Cooperative said they'd help with the Ofunehiki!
context: Please.\So everyone on the surface is going to help us out, right?\Of course we'll help in any way we can.\This is the consensus opinion of the Oshiooshi Fishery Cooperative.\All right.\Then leave it to me.\And so...\Everyone from the Fishery Cooperative said they'd help with the Ofunehiki! response:	Oh, I see.
context: So everyone on the surface is going to help us out, right?\Of course we'll help in any way we can.\This is the consensus opinion of the Oshiooshi Fishery Cooperative.\All right.\Then leave it to me.\And so...\Everyone from the Fishery Cooperative said they'd help with the Ofunehiki!\Oh, I see. response:	Very well done, indeed.
context: Of course we'll help in any way we can.\This is the consensus opinion of the Oshiooshi Fishery Cooperative.\All right.\Then leave it to me.\And so...\Everyone from the Fishery Cooperative said they'd help with the Ofunehiki!\Oh, I see.\Very well done, indeed. response:	However, even if you go through with the Ofunehiki, nothing will change.
context: This is the consensus opinion of the Oshiooshi Fishery Cooperative.\All right.\Then leave it to me.\And so...\Everyone from the Fishery Cooperative said they'd help with the Ofunehiki!\Oh, I see.\Very well done, indeed.\However, even if you go through with the Ofunehiki, nothing will change. response:	What?!
context: All right.\Then leave it to me.\And so...\Everyone from the Fishery Cooperative said they'd help with the Ofunehiki!\Oh, I see.\Very well done, indeed.\However, even if you go through with the Ofunehiki, nothing will change.\What?! response:	But...
context: Then leave it to me.\And so...\Everyone from the Fishery Cooperative said they'd help with the Ofunehiki!\Oh, I see.\Very well done, indeed.\However, even if you go through with the Ofunehiki, nothing will change.\What?!\But... response:	That's not what you said!
context: And so...\Everyone from the Fishery Cooperative said they'd help with the Ofunehiki!\Oh, I see.\Very well done, indeed.\However, even if you go through with the Ofunehiki, nothing will change.\What?!\But...\That's not what you said! response:	Oh? I was just asking
context: Everyone from the Fishery Cooperative said they'd help with the Ofunehiki!\Oh, I see.\Very well done, indeed.\However, even if you go through with the Ofunehiki, nothing will change.\What?!\But...\That's not what you said!\Oh? I was just asking response:	if you could move the men on the surface.
context: Oh, I see.\Very well done, indeed.\However, even if you go through with the Ofunehiki, nothing will change.\What?!\But...\That's not what you said!\Oh? I was just asking\if you could move the men on the surface. response:	Did I ever say that would result in anything further?
context: Very well done, indeed.\However, even if you go through with the Ofunehiki, nothing will change.\What?!\But...\That's not what you said!\Oh? I was just asking\if you could move the men on the surface.\Did I ever say that would result in anything further? response:	Please!
context: However, even if you go through with the Ofunehiki, nothing will change.\What?!\But...\That's not what you said!\Oh? I was just asking\if you could move the men on the surface.\Did I ever say that would result in anything further?\Please! response:	Save the surface!
context: What?!\But...\That's not what you said!\Oh? I was just asking\if you could move the men on the surface.\Did I ever say that would result in anything further?\Please!\Save the surface! response:	I beg you! Save them...
context: But...\That's not what you said!\Oh? I was just asking\if you could move the men on the surface.\Did I ever say that would result in anything further?\Please!\Save the surface!\I beg you! Save them... response:	I am but the scale of the Sea God.
context: That's not what you said!\Oh? I was just asking\if you could move the men on the surface.\Did I ever say that would result in anything further?\Please!\Save the surface!\I beg you! Save them...\I am but the scale of the Sea God. response:	My powers will not extend beyond the sea.
context: Oh? I was just asking\if you could move the men on the surface.\Did I ever say that would result in anything further?\Please!\Save the surface!\I beg you! Save them...\I am but the scale of the Sea God.\My powers will not extend beyond the sea. response:	There's nothing I can do about the surface.
context: if you could move the men on the surface.\Did I ever say that would result in anything further?\Please!\Save the surface!\I beg you! Save them...\I am but the scale of the Sea God.\My powers will not extend beyond the sea.\There's nothing I can do about the surface. response:	But...
context: Did I ever say that would result in anything further?\Please!\Save the surface!\I beg you! Save them...\I am but the scale of the Sea God.\My powers will not extend beyond the sea.\There's nothing I can do about the surface.\But... response:	Uroko-sama...
context: Please!\Save the surface!\I beg you! Save them...\I am but the scale of the Sea God.\My powers will not extend beyond the sea.\There's nothing I can do about the surface.\But...\Uroko-sama... response:	You knew all this yourself.
context: Save the surface!\I beg you! Save them...\I am but the scale of the Sea God.\My powers will not extend beyond the sea.\There's nothing I can do about the surface.\But...\Uroko-sama...\You knew all this yourself. response:	The fact that the Ofunehiki had no meaning or power.
context: I beg you! Save them...\I am but the scale of the Sea God.\My powers will not extend beyond the sea.\There's nothing I can do about the surface.\But...\Uroko-sama...\You knew all this yourself.\The fact that the Ofunehiki had no meaning or power. response:	But...
context: I am but the scale of the Sea God.\My powers will not extend beyond the sea.\There's nothing I can do about the surface.\But...\Uroko-sama...\You knew all this yourself.\The fact that the Ofunehiki had no meaning or power.\But... response:	Apparently the humans weren't a total loss.
context: My powers will not extend beyond the sea.\There's nothing I can do about the surface.\But...\Uroko-sama...\You knew all this yourself.\The fact that the Ofunehiki had no meaning or power.\But...\Apparently the humans weren't a total loss. response:	What am I supposed to say to them?!
context: There's nothing I can do about the surface.\But...\Uroko-sama...\You knew all this yourself.\The fact that the Ofunehiki had no meaning or power.\But...\Apparently the humans weren't a total loss.\What am I supposed to say to them?! response:	After all of them worked so hard!
context: But...\Uroko-sama...\You knew all this yourself.\The fact that the Ofunehiki had no meaning or power.\But...\Apparently the humans weren't a total loss.\What am I supposed to say to them?!\After all of them worked so hard! response:	And they're still working hard as we speak...
context: Uroko-sama...\You knew all this yourself.\The fact that the Ofunehiki had no meaning or power.\But...\Apparently the humans weren't a total loss.\What am I supposed to say to them?!\After all of them worked so hard!\And they're still working hard as we speak... response:	Hikari...
context: You knew all this yourself.\The fact that the Ofunehiki had no meaning or power.\But...\Apparently the humans weren't a total loss.\What am I supposed to say to them?!\After all of them worked so hard!\And they're still working hard as we speak...\Hikari... response:	I know that all those guys would never have wanted to bow their heads
context: The fact that the Ofunehiki had no meaning or power.\But...\Apparently the humans weren't a total loss.\What am I supposed to say to them?!\After all of them worked so hard!\And they're still working hard as we speak...\Hikari...\I know that all those guys would never have wanted to bow their heads response:	to a kid like me.
context: But...\Apparently the humans weren't a total loss.\What am I supposed to say to them?!\After all of them worked so hard!\And they're still working hard as we speak...\Hikari...\I know that all those guys would never have wanted to bow their heads\to a kid like me. response:	But they did anyway.
context: Apparently the humans weren't a total loss.\What am I supposed to say to them?!\After all of them worked so hard!\And they're still working hard as we speak...\Hikari...\I know that all those guys would never have wanted to bow their heads\to a kid like me.\But they did anyway. response:	And I said that I'd do it and that they could leave it to me...
context: What am I supposed to say to them?!\After all of them worked so hard!\And they're still working hard as we speak...\Hikari...\I know that all those guys would never have wanted to bow their heads\to a kid like me.\But they did anyway.\And I said that I'd do it and that they could leave it to me... response:	You did your best.
context: After all of them worked so hard!\And they're still working hard as we speak...\Hikari...\I know that all those guys would never have wanted to bow their heads\to a kid like me.\But they did anyway.\And I said that I'd do it and that they could leave it to me...\You did your best. response:	It's fine. Everyone knows that.
context: And they're still working hard as we speak...\Hikari...\I know that all those guys would never have wanted to bow their heads\to a kid like me.\But they did anyway.\And I said that I'd do it and that they could leave it to me...\You did your best.\It's fine. Everyone knows that. response:	Nee-chan...
context: Hikari...\I know that all those guys would never have wanted to bow their heads\to a kid like me.\But they did anyway.\And I said that I'd do it and that they could leave it to me...\You did your best.\It's fine. Everyone knows that.\Nee-chan... response:	Hey, Hikari.
context: I know that all those guys would never have wanted to bow their heads\to a kid like me.\But they did anyway.\And I said that I'd do it and that they could leave it to me...\You did your best.\It's fine. Everyone knows that.\Nee-chan...\Hey, Hikari. response:	There was something I was thinking about...
context: to a kid like me.\But they did anyway.\And I said that I'd do it and that they could leave it to me...\You did your best.\It's fine. Everyone knows that.\Nee-chan...\Hey, Hikari.\There was something I was thinking about... response:	I brought them.
context: But they did anyway.\And I said that I'd do it and that they could leave it to me...\You did your best.\It's fine. Everyone knows that.\Nee-chan...\Hey, Hikari.\There was something I was thinking about...\I brought them. response:	Let me go!
context: And I said that I'd do it and that they could leave it to me...\You did your best.\It's fine. Everyone knows that.\Nee-chan...\Hey, Hikari.\There was something I was thinking about...\I brought them.\Let me go! response:	This is a violation of human rights!
context: You did your best.\It's fine. Everyone knows that.\Nee-chan...\Hey, Hikari.\There was something I was thinking about...\I brought them.\Let me go!\This is a violation of human rights! response:	I'll sue!
context: It's fine. Everyone knows that.\Nee-chan...\Hey, Hikari.\There was something I was thinking about...\I brought them.\Let me go!\This is a violation of human rights!\I'll sue! response:	Right, right.
context: Nee-chan...\Hey, Hikari.\There was something I was thinking about...\I brought them.\Let me go!\This is a violation of human rights!\I'll sue!\Right, right. response:	Um...
context: Hey, Hikari.\There was something I was thinking about...\I brought them.\Let me go!\This is a violation of human rights!\I'll sue!\Right, right.\Um... response:	Thank you all for gathering here today.
context: There was something I was thinking about...\I brought them.\Let me go!\This is a violation of human rights!\I'll sue!\Right, right.\Um...\Thank you all for gathering here today. response:	I had something I wanted to ask of all of you.
context: I brought them.\Let me go!\This is a violation of human rights!\I'll sue!\Right, right.\Um...\Thank you all for gathering here today.\I had something I wanted to ask of all of you. response:	I think that you are all aware by now,
context: Let me go!\This is a violation of human rights!\I'll sue!\Right, right.\Um...\Thank you all for gathering here today.\I had something I wanted to ask of all of you.\I think that you are all aware by now, response:	but Shiodome Itaru-san and I are going to be married.
context: This is a violation of human rights!\I'll sue!\Right, right.\Um...\Thank you all for gathering here today.\I had something I wanted to ask of all of you.\I think that you are all aware by now,\but Shiodome Itaru-san and I are going to be married. response:	And so...
context: I'll sue!\Right, right.\Um...\Thank you all for gathering here today.\I had something I wanted to ask of all of you.\I think that you are all aware by now,\but Shiodome Itaru-san and I are going to be married.\And so... response:	I was wondering if it would be possible
context: Right, right.\Um...\Thank you all for gathering here today.\I had something I wanted to ask of all of you.\I think that you are all aware by now,\but Shiodome Itaru-san and I are going to be married.\And so...\I was wondering if it would be possible response:	to do the Ofunehiki and wedding together.
context: Um...\Thank you all for gathering here today.\I had something I wanted to ask of all of you.\I think that you are all aware by now,\but Shiodome Itaru-san and I are going to be married.\And so...\I was wondering if it would be possible\to do the Ofunehiki and wedding together. response:	Together?
