context: OP response:	(TL BELOW REQUIRES MASSIVE ASSISTANCE. TQ!!)
context: As a leader, upon experiencing this,\I've decided to further improve myself.\Even though I haven't been the most reliable leader,\will everyone in Galette continue to support me?\Will everyone in Biscotti participate in the wars that I'll organize?\Thank you, everyone. Thank you!\And that was Princess Leo's apology.\And so, on that night, response:	in order to make up for discontinuing the war,
context: I've decided to further improve myself.\Even though I haven't been the most reliable leader,\will everyone in Galette continue to support me?\Will everyone in Biscotti participate in the wars that I'll organize?\Thank you, everyone. Thank you!\And that was Princess Leo's apology.\And so, on that night,\in order to make up for discontinuing the war, response:	a last-minute concert by the princess was organized.
context: Even though I haven't been the most reliable leader,\will everyone in Galette continue to support me?\Will everyone in Biscotti participate in the wars that I'll organize?\Thank you, everyone. Thank you!\And that was Princess Leo's apology.\And so, on that night,\in order to make up for discontinuing the war,\a last-minute concert by the princess was organized. response:	First, you need to move to this position according to the plan.
context: will everyone in Galette continue to support me?\Will everyone in Biscotti participate in the wars that I'll organize?\Thank you, everyone. Thank you!\And that was Princess Leo's apology.\And so, on that night,\in order to make up for discontinuing the war,\a last-minute concert by the princess was organized.\First, you need to move to this position according to the plan. response:	All right.
context: Will everyone in Biscotti participate in the wars that I'll organize?\Thank you, everyone. Thank you!\And that was Princess Leo's apology.\And so, on that night,\in order to make up for discontinuing the war,\a last-minute concert by the princess was organized.\First, you need to move to this position according to the plan.\All right. response:	Sir Hero, Eclair has briefed me about everything.
context: Thank you, everyone. Thank you!\And that was Princess Leo's apology.\And so, on that night,\in order to make up for discontinuing the war,\a last-minute concert by the princess was organized.\First, you need to move to this position according to the plan.\All right.\Sir Hero, Eclair has briefed me about everything. response:	Thank you. It's because of you that everything went well.
context: And that was Princess Leo's apology.\And so, on that night,\in order to make up for discontinuing the war,\a last-minute concert by the princess was organized.\First, you need to move to this position according to the plan.\All right.\Sir Hero, Eclair has briefed me about everything.\Thank you. It's because of you that everything went well. response:	Though I need to apologize for getting Eclair injured.
context: And so, on that night,\in order to make up for discontinuing the war,\a last-minute concert by the princess was organized.\First, you need to move to this position according to the plan.\All right.\Sir Hero, Eclair has briefed me about everything.\Thank you. It's because of you that everything went well.\Though I need to apologize for getting Eclair injured. response:	Please don't. She's a knight!
context: in order to make up for discontinuing the war,\a last-minute concert by the princess was organized.\First, you need to move to this position according to the plan.\All right.\Sir Hero, Eclair has briefed me about everything.\Thank you. It's because of you that everything went well.\Though I need to apologize for getting Eclair injured.\Please don't. She's a knight! response:	It is nothing you should be worried about.
context: a last-minute concert by the princess was organized.\First, you need to move to this position according to the plan.\All right.\Sir Hero, Eclair has briefed me about everything.\Thank you. It's because of you that everything went well.\Though I need to apologize for getting Eclair injured.\Please don't. She's a knight!\It is nothing you should be worried about. response:	Instead, she was wounded gloriously.
context: First, you need to move to this position according to the plan.\All right.\Sir Hero, Eclair has briefed me about everything.\Thank you. It's because of you that everything went well.\Though I need to apologize for getting Eclair injured.\Please don't. She's a knight!\It is nothing you should be worried about.\Instead, she was wounded gloriously. response:	But I used to see Flonyard as a peaceful country.
context: All right.\Sir Hero, Eclair has briefed me about everything.\Thank you. It's because of you that everything went well.\Though I need to apologize for getting Eclair injured.\Please don't. She's a knight!\It is nothing you should be worried about.\Instead, she was wounded gloriously.\But I used to see Flonyard as a peaceful country. response:	I guess there are demons like that, huh?
context: Sir Hero, Eclair has briefed me about everything.\Thank you. It's because of you that everything went well.\Though I need to apologize for getting Eclair injured.\Please don't. She's a knight!\It is nothing you should be worried about.\Instead, she was wounded gloriously.\But I used to see Flonyard as a peaceful country.\I guess there are demons like that, huh? response:	I guess you're right.
context: Thank you. It's because of you that everything went well.\Though I need to apologize for getting Eclair injured.\Please don't. She's a knight!\It is nothing you should be worried about.\Instead, she was wounded gloriously.\But I used to see Flonyard as a peaceful country.\I guess there are demons like that, huh?\I guess you're right. response:	It's also my first time seeing such a huge demon.
context: Though I need to apologize for getting Eclair injured.\Please don't. She's a knight!\It is nothing you should be worried about.\Instead, she was wounded gloriously.\But I used to see Flonyard as a peaceful country.\I guess there are demons like that, huh?\I guess you're right.\It's also my first time seeing such a huge demon. response:	But you should have heard
context: Please don't. She's a knight!\It is nothing you should be worried about.\Instead, she was wounded gloriously.\But I used to see Flonyard as a peaceful country.\I guess there are demons like that, huh?\I guess you're right.\It's also my first time seeing such a huge demon.\But you should have heard response:	that the minute we step out of the protected area, we'll definitely encounter danger.
context: It is nothing you should be worried about.\Instead, she was wounded gloriously.\But I used to see Flonyard as a peaceful country.\I guess there are demons like that, huh?\I guess you're right.\It's also my first time seeing such a huge demon.\But you should have heard\that the minute we step out of the protected area, we'll definitely encounter danger. response:	Therefore the wars that we normally have
context: Instead, she was wounded gloriously.\But I used to see Flonyard as a peaceful country.\I guess there are demons like that, huh?\I guess you're right.\It's also my first time seeing such a huge demon.\But you should have heard\that the minute we step out of the protected area, we'll definitely encounter danger.\Therefore the wars that we normally have response:	exist so that the people remember that they need to keep their fighting spirits.
context: But I used to see Flonyard as a peaceful country.\I guess there are demons like that, huh?\I guess you're right.\It's also my first time seeing such a huge demon.\But you should have heard\that the minute we step out of the protected area, we'll definitely encounter danger.\Therefore the wars that we normally have\exist so that the people remember that they need to keep their fighting spirits. response:	I see.
context: I guess there are demons like that, huh?\I guess you're right.\It's also my first time seeing such a huge demon.\But you should have heard\that the minute we step out of the protected area, we'll definitely encounter danger.\Therefore the wars that we normally have\exist so that the people remember that they need to keep their fighting spirits.\I see. response:	Though it's not good to wave around power that could hurt people,
context: I guess you're right.\It's also my first time seeing such a huge demon.\But you should have heard\that the minute we step out of the protected area, we'll definitely encounter danger.\Therefore the wars that we normally have\exist so that the people remember that they need to keep their fighting spirits.\I see.\Though it's not good to wave around power that could hurt people, response:	once we give up on fighting, we won't be able to protect things important to us.
context: It's also my first time seeing such a huge demon.\But you should have heard\that the minute we step out of the protected area, we'll definitely encounter danger.\Therefore the wars that we normally have\exist so that the people remember that they need to keep their fighting spirits.\I see.\Though it's not good to wave around power that could hurt people,\once we give up on fighting, we won't be able to protect things important to us. response:	Yes.
context: But you should have heard\that the minute we step out of the protected area, we'll definitely encounter danger.\Therefore the wars that we normally have\exist so that the people remember that they need to keep their fighting spirits.\I see.\Though it's not good to wave around power that could hurt people,\once we give up on fighting, we won't be able to protect things important to us.\Yes. response:	Brother!
context: that the minute we step out of the protected area, we'll definitely encounter danger.\Therefore the wars that we normally have\exist so that the people remember that they need to keep their fighting spirits.\I see.\Though it's not good to wave around power that could hurt people,\once we give up on fighting, we won't be able to protect things important to us.\Yes.\Brother! response:	Sorry to interrupt.
context: Therefore the wars that we normally have\exist so that the people remember that they need to keep their fighting spirits.\I see.\Though it's not good to wave around power that could hurt people,\once we give up on fighting, we won't be able to protect things important to us.\Yes.\Brother!\Sorry to interrupt. response:	The staff would like to discuss the concert security with you.
context: exist so that the people remember that they need to keep their fighting spirits.\I see.\Though it's not good to wave around power that could hurt people,\once we give up on fighting, we won't be able to protect things important to us.\Yes.\Brother!\Sorry to interrupt.\The staff would like to discuss the concert security with you. response:	Okay, I understand.
context: I see.\Though it's not good to wave around power that could hurt people,\once we give up on fighting, we won't be able to protect things important to us.\Yes.\Brother!\Sorry to interrupt.\The staff would like to discuss the concert security with you.\Okay, I understand. response:	In that case, I'll see you later, Sir Hero.
context: Though it's not good to wave around power that could hurt people,\once we give up on fighting, we won't be able to protect things important to us.\Yes.\Brother!\Sorry to interrupt.\The staff would like to discuss the concert security with you.\Okay, I understand.\In that case, I'll see you later, Sir Hero. response:	All right!
context: once we give up on fighting, we won't be able to protect things important to us.\Yes.\Brother!\Sorry to interrupt.\The staff would like to discuss the concert security with you.\Okay, I understand.\In that case, I'll see you later, Sir Hero.\All right! response:	Eclair...
context: Yes.\Brother!\Sorry to interrupt.\The staff would like to discuss the concert security with you.\Okay, I understand.\In that case, I'll see you later, Sir Hero.\All right!\Eclair... response:	Is it okay for you to walk around?
context: Brother!\Sorry to interrupt.\The staff would like to discuss the concert security with you.\Okay, I understand.\In that case, I'll see you later, Sir Hero.\All right!\Eclair...\Is it okay for you to walk around? response:	I'm fine.
context: Sorry to interrupt.\The staff would like to discuss the concert security with you.\Okay, I understand.\In that case, I'll see you later, Sir Hero.\All right!\Eclair...\Is it okay for you to walk around?\I'm fine. response:	By the way, have you eaten?
context: The staff would like to discuss the concert security with you.\Okay, I understand.\In that case, I'll see you later, Sir Hero.\All right!\Eclair...\Is it okay for you to walk around?\I'm fine.\By the way, have you eaten? response:	No, not yet.
context: Okay, I understand.\In that case, I'll see you later, Sir Hero.\All right!\Eclair...\Is it okay for you to walk around?\I'm fine.\By the way, have you eaten?\No, not yet. response:	There's a stall over there. Shall we go?
context: In that case, I'll see you later, Sir Hero.\All right!\Eclair...\Is it okay for you to walk around?\I'm fine.\By the way, have you eaten?\No, not yet.\There's a stall over there. Shall we go? response:	Great idea! Let's go!
context: All right!\Eclair...\Is it okay for you to walk around?\I'm fine.\By the way, have you eaten?\No, not yet.\There's a stall over there. Shall we go?\Great idea! Let's go! response:	What interesting progress!
context: Eclair...\Is it okay for you to walk around?\I'm fine.\By the way, have you eaten?\No, not yet.\There's a stall over there. Shall we go?\Great idea! Let's go!\What interesting progress! response:	Indeed.
context: Is it okay for you to walk around?\I'm fine.\By the way, have you eaten?\No, not yet.\There's a stall over there. Shall we go?\Great idea! Let's go!\What interesting progress!\Indeed. response:	Here.
context: I'm fine.\By the way, have you eaten?\No, not yet.\There's a stall over there. Shall we go?\Great idea! Let's go!\What interesting progress!\Indeed.\Here. response:	Thanks!
context: By the way, have you eaten?\No, not yet.\There's a stall over there. Shall we go?\Great idea! Let's go!\What interesting progress!\Indeed.\Here.\Thanks! response:	What's this?
context: No, not yet.\There's a stall over there. Shall we go?\Great idea! Let's go!\What interesting progress!\Indeed.\Here.\Thanks!\What's this? response:	Cocona Pucca.
context: There's a stall over there. Shall we go?\Great idea! Let's go!\What interesting progress!\Indeed.\Here.\Thanks!\What's this?\Cocona Pucca. response:	Injured people can eat it, and it's nutritious.
context: Great idea! Let's go!\What interesting progress!\Indeed.\Here.\Thanks!\What's this?\Cocona Pucca.\Injured people can eat it, and it's nutritious. response:	I'll try it then!
context: What interesting progress!\Indeed.\Here.\Thanks!\What's this?\Cocona Pucca.\Injured people can eat it, and it's nutritious.\I'll try it then! response:	Cocona Pucca?
context: Indeed.\Here.\Thanks!\What's this?\Cocona Pucca.\Injured people can eat it, and it's nutritious.\I'll try it then!\Cocona Pucca? response:	I can't believe Eclair actually asked a guy to eat with her!
context: Here.\Thanks!\What's this?\Cocona Pucca.\Injured people can eat it, and it's nutritious.\I'll try it then!\Cocona Pucca?\I can't believe Eclair actually asked a guy to eat with her! response:	Ricotta is superbly touched!
context: Thanks!\What's this?\Cocona Pucca.\Injured people can eat it, and it's nutritious.\I'll try it then!\Cocona Pucca?\I can't believe Eclair actually asked a guy to eat with her!\Ricotta is superbly touched! response:	Yeah!
context: What's this?\Cocona Pucca.\Injured people can eat it, and it's nutritious.\I'll try it then!\Cocona Pucca?\I can't believe Eclair actually asked a guy to eat with her!\Ricotta is superbly touched!\Yeah! response:	The atmosphere is rather good too.
context: Cocona Pucca.\Injured people can eat it, and it's nutritious.\I'll try it then!\Cocona Pucca?\I can't believe Eclair actually asked a guy to eat with her!\Ricotta is superbly touched!\Yeah!\The atmosphere is rather good too. response:	I need to tell you something.
context: Injured people can eat it, and it's nutritious.\I'll try it then!\Cocona Pucca?\I can't believe Eclair actually asked a guy to eat with her!\Ricotta is superbly touched!\Yeah!\The atmosphere is rather good too.\I need to tell you something. response:	I couldn't have saved the princess on my own.
context: I'll try it then!\Cocona Pucca?\I can't believe Eclair actually asked a guy to eat with her!\Ricotta is superbly touched!\Yeah!\The atmosphere is rather good too.\I need to tell you something.\I couldn't have saved the princess on my own. response:	As the captain of the knights of Biscotti, I would like to salute you for your courage and spirit to fight.
context: Cocona Pucca?\I can't believe Eclair actually asked a guy to eat with her!\Ricotta is superbly touched!\Yeah!\The atmosphere is rather good too.\I need to tell you something.\I couldn't have saved the princess on my own.\As the captain of the knights of Biscotti, I would like to salute you for your courage and spirit to fight. response:	You honor me, Captain!
context: I can't believe Eclair actually asked a guy to eat with her!\Ricotta is superbly touched!\Yeah!\The atmosphere is rather good too.\I need to tell you something.\I couldn't have saved the princess on my own.\As the captain of the knights of Biscotti, I would like to salute you for your courage and spirit to fight.\You honor me, Captain! response:	But if it were you, just there on your own,
context: Ricotta is superbly touched!\Yeah!\The atmosphere is rather good too.\I need to tell you something.\I couldn't have saved the princess on my own.\As the captain of the knights of Biscotti, I would like to salute you for your courage and spirit to fight.\You honor me, Captain!\But if it were you, just there on your own, response:	I'm sure you would've done something,
context: Yeah!\The atmosphere is rather good too.\I need to tell you something.\I couldn't have saved the princess on my own.\As the captain of the knights of Biscotti, I would like to salute you for your courage and spirit to fight.\You honor me, Captain!\But if it were you, just there on your own,\I'm sure you would've done something, response:	because you're the captain who was protecting the princess before I arrived.
context: The atmosphere is rather good too.\I need to tell you something.\I couldn't have saved the princess on my own.\As the captain of the knights of Biscotti, I would like to salute you for your courage and spirit to fight.\You honor me, Captain!\But if it were you, just there on your own,\I'm sure you would've done something,\because you're the captain who was protecting the princess before I arrived. response:	Great, just like that, just a bit more... gush!
context: I need to tell you something.\I couldn't have saved the princess on my own.\As the captain of the knights of Biscotti, I would like to salute you for your courage and spirit to fight.\You honor me, Captain!\But if it were you, just there on your own,\I'm sure you would've done something,\because you're the captain who was protecting the princess before I arrived.\Great, just like that, just a bit more... gush! response:	Gush!
context: I couldn't have saved the princess on my own.\As the captain of the knights of Biscotti, I would like to salute you for your courage and spirit to fight.\You honor me, Captain!\But if it were you, just there on your own,\I'm sure you would've done something,\because you're the captain who was protecting the princess before I arrived.\Great, just like that, just a bit more... gush!\Gush! response:	Hi!
context: As the captain of the knights of Biscotti, I would like to salute you for your courage and spirit to fight.\You honor me, Captain!\But if it were you, just there on your own,\I'm sure you would've done something,\because you're the captain who was protecting the princess before I arrived.\Great, just like that, just a bit more... gush!\Gush!\Hi! response:	What are the two of you up to hiding here?
context: You honor me, Captain!\But if it were you, just there on your own,\I'm sure you would've done something,\because you're the captain who was protecting the princess before I arrived.\Great, just like that, just a bit more... gush!\Gush!\Hi!\What are the two of you up to hiding here? response:	Yo!
context: But if it were you, just there on your own,\I'm sure you would've done something,\because you're the captain who was protecting the princess before I arrived.\Great, just like that, just a bit more... gush!\Gush!\Hi!\What are the two of you up to hiding here?\Yo! response:	Sink, ear-drooping doggie!
context: I'm sure you would've done something,\because you're the captain who was protecting the princess before I arrived.\Great, just like that, just a bit more... gush!\Gush!\Hi!\What are the two of you up to hiding here?\Yo!\Sink, ear-drooping doggie! response:	Huh?
context: because you're the captain who was protecting the princess before I arrived.\Great, just like that, just a bit more... gush!\Gush!\Hi!\What are the two of you up to hiding here?\Yo!\Sink, ear-drooping doggie!\Huh? response:	Prince Gaul.
context: Great, just like that, just a bit more... gush!\Gush!\Hi!\What are the two of you up to hiding here?\Yo!\Sink, ear-drooping doggie!\Huh?\Prince Gaul. response:	Well, you guys sure were awesome back there.
context: Gush!\Hi!\What are the two of you up to hiding here?\Yo!\Sink, ear-drooping doggie!\Huh?\Prince Gaul.\Well, you guys sure were awesome back there. response:	Oh no.
context: Hi!\What are the two of you up to hiding here?\Yo!\Sink, ear-drooping doggie!\Huh?\Prince Gaul.\Well, you guys sure were awesome back there.\Oh no. response:	Well, a lot of stuff happened.
context: What are the two of you up to hiding here?\Yo!\Sink, ear-drooping doggie!\Huh?\Prince Gaul.\Well, you guys sure were awesome back there.\Oh no.\Well, a lot of stuff happened. response:	Anyway, as soon as the demon was defeated,
context: Yo!\Sink, ear-drooping doggie!\Huh?\Prince Gaul.\Well, you guys sure were awesome back there.\Oh no.\Well, a lot of stuff happened.\Anyway, as soon as the demon was defeated, response:	my sister seemed to be less energetic, as if she had lost something.
context: Sink, ear-drooping doggie!\Huh?\Prince Gaul.\Well, you guys sure were awesome back there.\Oh no.\Well, a lot of stuff happened.\Anyway, as soon as the demon was defeated,\my sister seemed to be less energetic, as if she had lost something. response:	She didn't tell me the whole story then, but she said she'd tell me later.
context: Huh?\Prince Gaul.\Well, you guys sure were awesome back there.\Oh no.\Well, a lot of stuff happened.\Anyway, as soon as the demon was defeated,\my sister seemed to be less energetic, as if she had lost something.\She didn't tell me the whole story then, but she said she'd tell me later. response:	I see.
context: Prince Gaul.\Well, you guys sure were awesome back there.\Oh no.\Well, a lot of stuff happened.\Anyway, as soon as the demon was defeated,\my sister seemed to be less energetic, as if she had lost something.\She didn't tell me the whole story then, but she said she'd tell me later.\I see. response:	Also, I've heard from Bernard,
context: Well, you guys sure were awesome back there.\Oh no.\Well, a lot of stuff happened.\Anyway, as soon as the demon was defeated,\my sister seemed to be less energetic, as if she had lost something.\She didn't tell me the whole story then, but she said she'd tell me later.\I see.\Also, I've heard from Bernard, response:	and the extra activity for war will continue as planned.
context: Oh no.\Well, a lot of stuff happened.\Anyway, as soon as the demon was defeated,\my sister seemed to be less energetic, as if she had lost something.\She didn't tell me the whole story then, but she said she'd tell me later.\I see.\Also, I've heard from Bernard,\and the extra activity for war will continue as planned. response:	That's wonderful!
context: Well, a lot of stuff happened.\Anyway, as soon as the demon was defeated,\my sister seemed to be less energetic, as if she had lost something.\She didn't tell me the whole story then, but she said she'd tell me later.\I see.\Also, I've heard from Bernard,\and the extra activity for war will continue as planned.\That's wonderful! response:	Well, the war has ended. All the messy stuff has been taken care of.
context: Anyway, as soon as the demon was defeated,\my sister seemed to be less energetic, as if she had lost something.\She didn't tell me the whole story then, but she said she'd tell me later.\I see.\Also, I've heard from Bernard,\and the extra activity for war will continue as planned.\That's wonderful!\Well, the war has ended. All the messy stuff has been taken care of. response:	The demon has been destroyed.
context: my sister seemed to be less energetic, as if she had lost something.\She didn't tell me the whole story then, but she said she'd tell me later.\I see.\Also, I've heard from Bernard,\and the extra activity for war will continue as planned.\That's wonderful!\Well, the war has ended. All the messy stuff has been taken care of.\The demon has been destroyed. response:	That means that Biscotti and Galette have regained peace again!
context: She didn't tell me the whole story then, but she said she'd tell me later.\I see.\Also, I've heard from Bernard,\and the extra activity for war will continue as planned.\That's wonderful!\Well, the war has ended. All the messy stuff has been taken care of.\The demon has been destroyed.\That means that Biscotti and Galette have regained peace again! response:	That's the most important thing.
context: I see.\Also, I've heard from Bernard,\and the extra activity for war will continue as planned.\That's wonderful!\Well, the war has ended. All the messy stuff has been taken care of.\The demon has been destroyed.\That means that Biscotti and Galette have regained peace again!\That's the most important thing. response:	It sure is.
context: Also, I've heard from Bernard,\and the extra activity for war will continue as planned.\That's wonderful!\Well, the war has ended. All the messy stuff has been taken care of.\The demon has been destroyed.\That means that Biscotti and Galette have regained peace again!\That's the most important thing.\It sure is. response:	The results were still satisfying even though the war ended only half finished.
context: and the extra activity for war will continue as planned.\That's wonderful!\Well, the war has ended. All the messy stuff has been taken care of.\The demon has been destroyed.\That means that Biscotti and Galette have regained peace again!\That's the most important thing.\It sure is.\The results were still satisfying even though the war ended only half finished. response:	Yeah! It's really great!
context: That's wonderful!\Well, the war has ended. All the messy stuff has been taken care of.\The demon has been destroyed.\That means that Biscotti and Galette have regained peace again!\That's the most important thing.\It sure is.\The results were still satisfying even though the war ended only half finished.\Yeah! It's really great! response:	Huh? Is that a letter?
context: Well, the war has ended. All the messy stuff has been taken care of.\The demon has been destroyed.\That means that Biscotti and Galette have regained peace again!\That's the most important thing.\It sure is.\The results were still satisfying even though the war ended only half finished.\Yeah! It's really great!\Huh? Is that a letter? response:	Let me see.
context: The demon has been destroyed.\That means that Biscotti and Galette have regained peace again!\That's the most important thing.\It sure is.\The results were still satisfying even though the war ended only half finished.\Yeah! It's really great!\Huh? Is that a letter?\Let me see. response:	Rico, is something wrong?
context: That means that Biscotti and Galette have regained peace again!\That's the most important thing.\It sure is.\The results were still satisfying even though the war ended only half finished.\Yeah! It's really great!\Huh? Is that a letter?\Let me see.\Rico, is something wrong? response:	The people at the Research Institute want me to get in touch with them immediately.
context: That's the most important thing.\It sure is.\The results were still satisfying even though the war ended only half finished.\Yeah! It's really great!\Huh? Is that a letter?\Let me see.\Rico, is something wrong?\The people at the Research Institute want me to get in touch with them immediately. response:	Oh.
context: It sure is.\The results were still satisfying even though the war ended only half finished.\Yeah! It's really great!\Huh? Is that a letter?\Let me see.\Rico, is something wrong?\The people at the Research Institute want me to get in touch with them immediately.\Oh. response:	Sir Hero, Prince Gaul,
context: The results were still satisfying even though the war ended only half finished.\Yeah! It's really great!\Huh? Is that a letter?\Let me see.\Rico, is something wrong?\The people at the Research Institute want me to get in touch with them immediately.\Oh.\Sir Hero, Prince Gaul, response:	I shall make a move first.
context: Yeah! It's really great!\Huh? Is that a letter?\Let me see.\Rico, is something wrong?\The people at the Research Institute want me to get in touch with them immediately.\Oh.\Sir Hero, Prince Gaul,\I shall make a move first. response:	All right!
context: Huh? Is that a letter?\Let me see.\Rico, is something wrong?\The people at the Research Institute want me to get in touch with them immediately.\Oh.\Sir Hero, Prince Gaul,\I shall make a move first.\All right! response:	Go ahead!
context: Let me see.\Rico, is something wrong?\The people at the Research Institute want me to get in touch with them immediately.\Oh.\Sir Hero, Prince Gaul,\I shall make a move first.\All right!\Go ahead! response:	The decoration of the stage is almost completed.
context: Rico, is something wrong?\The people at the Research Institute want me to get in touch with them immediately.\Oh.\Sir Hero, Prince Gaul,\I shall make a move first.\All right!\Go ahead!\The decoration of the stage is almost completed. response:	Now the lighting is being tested.
context: The people at the Research Institute want me to get in touch with them immediately.\Oh.\Sir Hero, Prince Gaul,\I shall make a move first.\All right!\Go ahead!\The decoration of the stage is almost completed.\Now the lighting is being tested. response:	Excuse me! Princess!
context: Oh.\Sir Hero, Prince Gaul,\I shall make a move first.\All right!\Go ahead!\The decoration of the stage is almost completed.\Now the lighting is being tested.\Excuse me! Princess! response:	You have a guest!
context: Sir Hero, Prince Gaul,\I shall make a move first.\All right!\Go ahead!\The decoration of the stage is almost completed.\Now the lighting is being tested.\Excuse me! Princess!\You have a guest! response:	Princess Leo!
context: I shall make a move first.\All right!\Go ahead!\The decoration of the stage is almost completed.\Now the lighting is being tested.\Excuse me! Princess!\You have a guest!\Princess Leo! response:	I apologize for coming at such a busy time.
context: All right!\Go ahead!\The decoration of the stage is almost completed.\Now the lighting is being tested.\Excuse me! Princess!\You have a guest!\Princess Leo!\I apologize for coming at such a busy time. response:	It's all right.
context: Go ahead!\The decoration of the stage is almost completed.\Now the lighting is being tested.\Excuse me! Princess!\You have a guest!\Princess Leo!\I apologize for coming at such a busy time.\It's all right. response:	I really did something bad this time.
context: The decoration of the stage is almost completed.\Now the lighting is being tested.\Excuse me! Princess!\You have a guest!\Princess Leo!\I apologize for coming at such a busy time.\It's all right.\I really did something bad this time. response:	No such thing.
context: Now the lighting is being tested.\Excuse me! Princess!\You have a guest!\Princess Leo!\I apologize for coming at such a busy time.\It's all right.\I really did something bad this time.\No such thing. response:	I put you in danger, and I wasted the war.
context: Excuse me! Princess!\You have a guest!\Princess Leo!\I apologize for coming at such a busy time.\It's all right.\I really did something bad this time.\No such thing.\I put you in danger, and I wasted the war. response:	I'll officially apologize soon.
context: You have a guest!\Princess Leo!\I apologize for coming at such a busy time.\It's all right.\I really did something bad this time.\No such thing.\I put you in danger, and I wasted the war.\I'll officially apologize soon. response:	Also, I was tough on you this past half year.
context: Princess Leo!\I apologize for coming at such a busy time.\It's all right.\I really did something bad this time.\No such thing.\I put you in danger, and I wasted the war.\I'll officially apologize soon.\Also, I was tough on you this past half year. response:	The days of war and what happened today have taught me a lot of important things as a leader.
context: I apologize for coming at such a busy time.\It's all right.\I really did something bad this time.\No such thing.\I put you in danger, and I wasted the war.\I'll officially apologize soon.\Also, I was tough on you this past half year.\The days of war and what happened today have taught me a lot of important things as a leader. response:	I've learned to prepare for war and danger,
context: It's all right.\I really did something bad this time.\No such thing.\I put you in danger, and I wasted the war.\I'll officially apologize soon.\Also, I was tough on you this past half year.\The days of war and what happened today have taught me a lot of important things as a leader.\I've learned to prepare for war and danger, response:	to protect the people, and to realize the difficulty and importance of guiding the country.
context: I really did something bad this time.\No such thing.\I put you in danger, and I wasted the war.\I'll officially apologize soon.\Also, I was tough on you this past half year.\The days of war and what happened today have taught me a lot of important things as a leader.\I've learned to prepare for war and danger,\to protect the people, and to realize the difficulty and importance of guiding the country. response:	Thanks to you, I can sincerely swear from my heart to become a much better leader.
context: No such thing.\I put you in danger, and I wasted the war.\I'll officially apologize soon.\Also, I was tough on you this past half year.\The days of war and what happened today have taught me a lot of important things as a leader.\I've learned to prepare for war and danger,\to protect the people, and to realize the difficulty and importance of guiding the country.\Thanks to you, I can sincerely swear from my heart to become a much better leader. response:	So, I've got you to thank, Princess Leo.
context: I put you in danger, and I wasted the war.\I'll officially apologize soon.\Also, I was tough on you this past half year.\The days of war and what happened today have taught me a lot of important things as a leader.\I've learned to prepare for war and danger,\to protect the people, and to realize the difficulty and importance of guiding the country.\Thanks to you, I can sincerely swear from my heart to become a much better leader.\So, I've got you to thank, Princess Leo. response:	Most importantly, after hearing what you did all this while was all for my well-being...
context: I'll officially apologize soon.\Also, I was tough on you this past half year.\The days of war and what happened today have taught me a lot of important things as a leader.\I've learned to prepare for war and danger,\to protect the people, and to realize the difficulty and importance of guiding the country.\Thanks to you, I can sincerely swear from my heart to become a much better leader.\So, I've got you to thank, Princess Leo.\Most importantly, after hearing what you did all this while was all for my well-being... response:	W-Wait, who did you hear that from?!
context: Also, I was tough on you this past half year.\The days of war and what happened today have taught me a lot of important things as a leader.\I've learned to prepare for war and danger,\to protect the people, and to realize the difficulty and importance of guiding the country.\Thanks to you, I can sincerely swear from my heart to become a much better leader.\So, I've got you to thank, Princess Leo.\Most importantly, after hearing what you did all this while was all for my well-being...\W-Wait, who did you hear that from?! response:	I heard from Biore and Rouge.
context: The days of war and what happened today have taught me a lot of important things as a leader.\I've learned to prepare for war and danger,\to protect the people, and to realize the difficulty and importance of guiding the country.\Thanks to you, I can sincerely swear from my heart to become a much better leader.\So, I've got you to thank, Princess Leo.\Most importantly, after hearing what you did all this while was all for my well-being...\W-Wait, who did you hear that from?!\I heard from Biore and Rouge. response:	Those two idiots!
context: I've learned to prepare for war and danger,\to protect the people, and to realize the difficulty and importance of guiding the country.\Thanks to you, I can sincerely swear from my heart to become a much better leader.\So, I've got you to thank, Princess Leo.\Most importantly, after hearing what you did all this while was all for my well-being...\W-Wait, who did you hear that from?!\I heard from Biore and Rouge.\Those two idiots! response:	Please don't blame them!
context: to protect the people, and to realize the difficulty and importance of guiding the country.\Thanks to you, I can sincerely swear from my heart to become a much better leader.\So, I've got you to thank, Princess Leo.\Most importantly, after hearing what you did all this while was all for my well-being...\W-Wait, who did you hear that from?!\I heard from Biore and Rouge.\Those two idiots!\Please don't blame them! response:	I forced them to tell.
context: Thanks to you, I can sincerely swear from my heart to become a much better leader.\So, I've got you to thank, Princess Leo.\Most importantly, after hearing what you did all this while was all for my well-being...\W-Wait, who did you hear that from?!\I heard from Biore and Rouge.\Those two idiots!\Please don't blame them!\I forced them to tell. response:	How should I put it...
context: So, I've got you to thank, Princess Leo.\Most importantly, after hearing what you did all this while was all for my well-being...\W-Wait, who did you hear that from?!\I heard from Biore and Rouge.\Those two idiots!\Please don't blame them!\I forced them to tell.\How should I put it... response:	I wanted to tell you this myself. That's why I asked you out right before your performance.
context: Most importantly, after hearing what you did all this while was all for my well-being...\W-Wait, who did you hear that from?!\I heard from Biore and Rouge.\Those two idiots!\Please don't blame them!\I forced them to tell.\How should I put it...\I wanted to tell you this myself. That's why I asked you out right before your performance. response:	S-Sorry.
