context: Future Plans Questionnaire response:	Year Class Number Name
context: I am calm.\I'm used to this sort of thing.\As long as the people closest to me understand, that's enough.\Obviously. That's exactly why.\Huh?\The thing about the people closest to you.\That's what I want to be. That's why I asked.\No Title response:	How is everyone deciding whether to pick liberal arts or sciences?
context: I'm used to this sort of thing.\As long as the people closest to me understand, that's enough.\Obviously. That's exactly why.\Huh?\The thing about the people closest to you.\That's what I want to be. That's why I asked.\No Title\How is everyone deciding whether to pick liberal arts or sciences? response:	What you want to know isn't what happened a long time ago, is it?
context: As long as the people closest to me understand, that's enough.\Obviously. That's exactly why.\Huh?\The thing about the people closest to you.\That's what I want to be. That's why I asked.\No Title\How is everyone deciding whether to pick liberal arts or sciences?\What you want to know isn't what happened a long time ago, is it? response:	I just...
context: Obviously. That's exactly why.\Huh?\The thing about the people closest to you.\That's what I want to be. That's why I asked.\No Title\How is everyone deciding whether to pick liberal arts or sciences?\What you want to know isn't what happened a long time ago, is it?\I just... response:	thought it'd be nice if we could be together a little longer...
context: Huh?\The thing about the people closest to you.\That's what I want to be. That's why I asked.\No Title\How is everyone deciding whether to pick liberal arts or sciences?\What you want to know isn't what happened a long time ago, is it?\I just...\thought it'd be nice if we could be together a little longer... response:	All of us, I mean.
context: The thing about the people closest to you.\That's what I want to be. That's why I asked.\No Title\How is everyone deciding whether to pick liberal arts or sciences?\What you want to know isn't what happened a long time ago, is it?\I just...\thought it'd be nice if we could be together a little longer...\All of us, I mean. response:	Hayato's been distant lately.
context: That's what I want to be. That's why I asked.\No Title\How is everyone deciding whether to pick liberal arts or sciences?\What you want to know isn't what happened a long time ago, is it?\I just...\thought it'd be nice if we could be together a little longer...\All of us, I mean.\Hayato's been distant lately. response:	Even I realize this is weird, but...
context: No Title\How is everyone deciding whether to pick liberal arts or sciences?\What you want to know isn't what happened a long time ago, is it?\I just...\thought it'd be nice if we could be together a little longer...\All of us, I mean.\Hayato's been distant lately.\Even I realize this is weird, but... response:	I don't know anything else...
context: How is everyone deciding whether to pick liberal arts or sciences?\What you want to know isn't what happened a long time ago, is it?\I just...\thought it'd be nice if we could be together a little longer...\All of us, I mean.\Hayato's been distant lately.\Even I realize this is weird, but...\I don't know anything else... response:	It's not weird.
context: What you want to know isn't what happened a long time ago, is it?\I just...\thought it'd be nice if we could be together a little longer...\All of us, I mean.\Hayato's been distant lately.\Even I realize this is weird, but...\I don't know anything else...\It's not weird. response:	It's not weird at all.
context: I just...\thought it'd be nice if we could be together a little longer...\All of us, I mean.\Hayato's been distant lately.\Even I realize this is weird, but...\I don't know anything else...\It's not weird.\It's not weird at all. response:	It's only natural to want to stay together.
context: thought it'd be nice if we could be together a little longer...\All of us, I mean.\Hayato's been distant lately.\Even I realize this is weird, but...\I don't know anything else...\It's not weird.\It's not weird at all.\It's only natural to want to stay together. response:	Miura probably wants to know
context: All of us, I mean.\Hayato's been distant lately.\Even I realize this is weird, but...\I don't know anything else...\It's not weird.\It's not weird at all.\It's only natural to want to stay together.\Miura probably wants to know response:	what future course Hayama will take, and what he'll do beyond that.
context: Hayato's been distant lately.\Even I realize this is weird, but...\I don't know anything else...\It's not weird.\It's not weird at all.\It's only natural to want to stay together.\Miura probably wants to know\what future course Hayama will take, and what he'll do beyond that. response:	And she knows things can't stay the way they are now...
context: Even I realize this is weird, but...\I don't know anything else...\It's not weird.\It's not weird at all.\It's only natural to want to stay together.\Miura probably wants to know\what future course Hayama will take, and what he'll do beyond that.\And she knows things can't stay the way they are now... response:	But that just makes her want to stay close to him all the more.
context: I don't know anything else...\It's not weird.\It's not weird at all.\It's only natural to want to stay together.\Miura probably wants to know\what future course Hayama will take, and what he'll do beyond that.\And she knows things can't stay the way they are now...\But that just makes her want to stay close to him all the more. response:	But you know, Miura...
context: It's not weird.\It's not weird at all.\It's only natural to want to stay together.\Miura probably wants to know\what future course Hayama will take, and what he'll do beyond that.\And she knows things can't stay the way they are now...\But that just makes her want to stay close to him all the more.\But you know, Miura... response:	Doesn't the fact that he won't tell anyone
context: It's not weird at all.\It's only natural to want to stay together.\Miura probably wants to know\what future course Hayama will take, and what he'll do beyond that.\And she knows things can't stay the way they are now...\But that just makes her want to stay close to him all the more.\But you know, Miura...\Doesn't the fact that he won't tell anyone response:	mean that he doesn't want anyone to know?
context: It's only natural to want to stay together.\Miura probably wants to know\what future course Hayama will take, and what he'll do beyond that.\And she knows things can't stay the way they are now...\But that just makes her want to stay close to him all the more.\But you know, Miura...\Doesn't the fact that he won't tell anyone\mean that he doesn't want anyone to know? response:	He might not like being asked.
context: Miura probably wants to know\what future course Hayama will take, and what he'll do beyond that.\And she knows things can't stay the way they are now...\But that just makes her want to stay close to him all the more.\But you know, Miura...\Doesn't the fact that he won't tell anyone\mean that he doesn't want anyone to know?\He might not like being asked. response:	Hey, Hikki!
context: what future course Hayama will take, and what he'll do beyond that.\And she knows things can't stay the way they are now...\But that just makes her want to stay close to him all the more.\But you know, Miura...\Doesn't the fact that he won't tell anyone\mean that he doesn't want anyone to know?\He might not like being asked.\Hey, Hikki! response:	Hikigaya-kun...
context: And she knows things can't stay the way they are now...\But that just makes her want to stay close to him all the more.\But you know, Miura...\Doesn't the fact that he won't tell anyone\mean that he doesn't want anyone to know?\He might not like being asked.\Hey, Hikki!\Hikigaya-kun... response:	Do you still want to know?
context: But that just makes her want to stay close to him all the more.\But you know, Miura...\Doesn't the fact that he won't tell anyone\mean that he doesn't want anyone to know?\He might not like being asked.\Hey, Hikki!\Hikigaya-kun...\Do you still want to know? response:	I do.
context: But you know, Miura...\Doesn't the fact that he won't tell anyone\mean that he doesn't want anyone to know?\He might not like being asked.\Hey, Hikki!\Hikigaya-kun...\Do you still want to know?\I do. response:	I still want to know.
context: Doesn't the fact that he won't tell anyone\mean that he doesn't want anyone to know?\He might not like being asked.\Hey, Hikki!\Hikigaya-kun...\Do you still want to know?\I do.\I still want to know. response:	It's the only choice I have.
context: mean that he doesn't want anyone to know?\He might not like being asked.\Hey, Hikki!\Hikigaya-kun...\Do you still want to know?\I do.\I still want to know.\It's the only choice I have. response:	All right. I'll do something about it.
context: He might not like being asked.\Hey, Hikki!\Hikigaya-kun...\Do you still want to know?\I do.\I still want to know.\It's the only choice I have.\All right. I'll do something about it. response:	Here. Take this.
context: Hey, Hikki!\Hikigaya-kun...\Do you still want to know?\I do.\I still want to know.\It's the only choice I have.\All right. I'll do something about it.\Here. Take this. response:	Oh, thanks.
context: Hikigaya-kun...\Do you still want to know?\I do.\I still want to know.\It's the only choice I have.\All right. I'll do something about it.\Here. Take this.\Oh, thanks. response:	Already using them, I see...
context: Do you still want to know?\I do.\I still want to know.\It's the only choice I have.\All right. I'll do something about it.\Here. Take this.\Oh, thanks.\Already using them, I see... response:	You guys can go on home.
context: I do.\I still want to know.\It's the only choice I have.\All right. I'll do something about it.\Here. Take this.\Oh, thanks.\Already using them, I see...\You guys can go on home. response:	But it doesn't feel right leaving it all to you.
context: I still want to know.\It's the only choice I have.\All right. I'll do something about it.\Here. Take this.\Oh, thanks.\Already using them, I see...\You guys can go on home.\But it doesn't feel right leaving it all to you. response:	Nah, it'll be easier to ask him alone. I think.
context: It's the only choice I have.\All right. I'll do something about it.\Here. Take this.\Oh, thanks.\Already using them, I see...\You guys can go on home.\But it doesn't feel right leaving it all to you.\Nah, it'll be easier to ask him alone. I think. response:	Well, then... Sorry to leave it all to you.
context: All right. I'll do something about it.\Here. Take this.\Oh, thanks.\Already using them, I see...\You guys can go on home.\But it doesn't feel right leaving it all to you.\Nah, it'll be easier to ask him alone. I think.\Well, then... Sorry to leave it all to you. response:	No big deal. Work is work, can't help that.
context: Here. Take this.\Oh, thanks.\Already using them, I see...\You guys can go on home.\But it doesn't feel right leaving it all to you.\Nah, it'll be easier to ask him alone. I think.\Well, then... Sorry to leave it all to you.\No big deal. Work is work, can't help that. response:	I never expected to hear that from you.
context: Oh, thanks.\Already using them, I see...\You guys can go on home.\But it doesn't feel right leaving it all to you.\Nah, it'll be easier to ask him alone. I think.\Well, then... Sorry to leave it all to you.\No big deal. Work is work, can't help that.\I never expected to hear that from you. response:	My future plans?
context: Already using them, I see...\You guys can go on home.\But it doesn't feel right leaving it all to you.\Nah, it'll be easier to ask him alone. I think.\Well, then... Sorry to leave it all to you.\No big deal. Work is work, can't help that.\I never expected to hear that from you.\My future plans? response:	Did someone ask you to ask me?
context: You guys can go on home.\But it doesn't feel right leaving it all to you.\Nah, it'll be easier to ask him alone. I think.\Well, then... Sorry to leave it all to you.\No big deal. Work is work, can't help that.\I never expected to hear that from you.\My future plans?\Did someone ask you to ask me? response:	No, just... for reference.
context: But it doesn't feel right leaving it all to you.\Nah, it'll be easier to ask him alone. I think.\Well, then... Sorry to leave it all to you.\No big deal. Work is work, can't help that.\I never expected to hear that from you.\My future plans?\Did someone ask you to ask me?\No, just... for reference. response:	Then can I ask you a favor, too?
context: Nah, it'll be easier to ask him alone. I think.\Well, then... Sorry to leave it all to you.\No big deal. Work is work, can't help that.\I never expected to hear that from you.\My future plans?\Did someone ask you to ask me?\No, just... for reference.\Then can I ask you a favor, too? response:	Could you stop being so intrusive?
context: Well, then... Sorry to leave it all to you.\No big deal. Work is work, can't help that.\I never expected to hear that from you.\My future plans?\Did someone ask you to ask me?\No, just... for reference.\Then can I ask you a favor, too?\Could you stop being so intrusive? response:	If I said something contrary like that, what would you do?
context: No big deal. Work is work, can't help that.\I never expected to hear that from you.\My future plans?\Did someone ask you to ask me?\No, just... for reference.\Then can I ask you a favor, too?\Could you stop being so intrusive?\If I said something contrary like that, what would you do? response:	I'd cross that bridge when the time came.
context: I never expected to hear that from you.\My future plans?\Did someone ask you to ask me?\No, just... for reference.\Then can I ask you a favor, too?\Could you stop being so intrusive?\If I said something contrary like that, what would you do?\I'd cross that bridge when the time came. response:	I see.
context: My future plans?\Did someone ask you to ask me?\No, just... for reference.\Then can I ask you a favor, too?\Could you stop being so intrusive?\If I said something contrary like that, what would you do?\I'd cross that bridge when the time came.\I see. response:	As for your question,
context: Did someone ask you to ask me?\No, just... for reference.\Then can I ask you a favor, too?\Could you stop being so intrusive?\If I said something contrary like that, what would you do?\I'd cross that bridge when the time came.\I see.\As for your question, response:	I'll leave the answer to your imagination.
context: No, just... for reference.\Then can I ask you a favor, too?\Could you stop being so intrusive?\If I said something contrary like that, what would you do?\I'd cross that bridge when the time came.\I see.\As for your question,\I'll leave the answer to your imagination. response:	Future plans, huh?
context: Then can I ask you a favor, too?\Could you stop being so intrusive?\If I said something contrary like that, what would you do?\I'd cross that bridge when the time came.\I see.\As for your question,\I'll leave the answer to your imagination.\Future plans, huh? response:	Since I've been playing tennis for so long,
context: Could you stop being so intrusive?\If I said something contrary like that, what would you do?\I'd cross that bridge when the time came.\I see.\As for your question,\I'll leave the answer to your imagination.\Future plans, huh?\Since I've been playing tennis for so long, response:	I guess I'd like something related to that.
context: If I said something contrary like that, what would you do?\I'd cross that bridge when the time came.\I see.\As for your question,\I'll leave the answer to your imagination.\Future plans, huh?\Since I've been playing tennis for so long,\I guess I'd like something related to that. response:	Can't you get a recommendation or something, then?
context: I'd cross that bridge when the time came.\I see.\As for your question,\I'll leave the answer to your imagination.\Future plans, huh?\Since I've been playing tennis for so long,\I guess I'd like something related to that.\Can't you get a recommendation or something, then? response:	Only a precious few get those.
context: I see.\As for your question,\I'll leave the answer to your imagination.\Future plans, huh?\Since I've been playing tennis for so long,\I guess I'd like something related to that.\Can't you get a recommendation or something, then?\Only a precious few get those. response:	At our school, only someone like Hayama-kun would have a chance.
context: As for your question,\I'll leave the answer to your imagination.\Future plans, huh?\Since I've been playing tennis for so long,\I guess I'd like something related to that.\Can't you get a recommendation or something, then?\Only a precious few get those.\At our school, only someone like Hayama-kun would have a chance. response:	Guys! Dismissed!
context: I'll leave the answer to your imagination.\Future plans, huh?\Since I've been playing tennis for so long,\I guess I'd like something related to that.\Can't you get a recommendation or something, then?\Only a precious few get those.\At our school, only someone like Hayama-kun would have a chance.\Guys! Dismissed! response:	See you after school!
context: Future plans, huh?\Since I've been playing tennis for so long,\I guess I'd like something related to that.\Can't you get a recommendation or something, then?\Only a precious few get those.\At our school, only someone like Hayama-kun would have a chance.\Guys! Dismissed!\See you after school! response:	Sure!
context: Since I've been playing tennis for so long,\I guess I'd like something related to that.\Can't you get a recommendation or something, then?\Only a precious few get those.\At our school, only someone like Hayama-kun would have a chance.\Guys! Dismissed!\See you after school!\Sure! response:	This doesn't suit me?
context: I guess I'd like something related to that.\Can't you get a recommendation or something, then?\Only a precious few get those.\At our school, only someone like Hayama-kun would have a chance.\Guys! Dismissed!\See you after school!\Sure!\This doesn't suit me? response:	No... I just didn't know you did captain-ish stuff like that.
context: Can't you get a recommendation or something, then?\Only a precious few get those.\At our school, only someone like Hayama-kun would have a chance.\Guys! Dismissed!\See you after school!\Sure!\This doesn't suit me?\No... I just didn't know you did captain-ish stuff like that. response:	It surprised me a little.
context: Only a precious few get those.\At our school, only someone like Hayama-kun would have a chance.\Guys! Dismissed!\See you after school!\Sure!\This doesn't suit me?\No... I just didn't know you did captain-ish stuff like that.\It surprised me a little. response:	I'm doing a pretty solid job, right?
context: At our school, only someone like Hayama-kun would have a chance.\Guys! Dismissed!\See you after school!\Sure!\This doesn't suit me?\No... I just didn't know you did captain-ish stuff like that.\It surprised me a little.\I'm doing a pretty solid job, right? response:	I might be a little unreliable, though.
context: Guys! Dismissed!\See you after school!\Sure!\This doesn't suit me?\No... I just didn't know you did captain-ish stuff like that.\It surprised me a little.\I'm doing a pretty solid job, right?\I might be a little unreliable, though. response:	Nah, I could rely on you.
context: See you after school!\Sure!\This doesn't suit me?\No... I just didn't know you did captain-ish stuff like that.\It surprised me a little.\I'm doing a pretty solid job, right?\I might be a little unreliable, though.\Nah, I could rely on you. response:	Not that I'd know yet, of course...
context: Sure!\This doesn't suit me?\No... I just didn't know you did captain-ish stuff like that.\It surprised me a little.\I'm doing a pretty solid job, right?\I might be a little unreliable, though.\Nah, I could rely on you.\Not that I'd know yet, of course... response:	But I'm pretty sure I could.
context: This doesn't suit me?\No... I just didn't know you did captain-ish stuff like that.\It surprised me a little.\I'm doing a pretty solid job, right?\I might be a little unreliable, though.\Nah, I could rely on you.\Not that I'd know yet, of course...\But I'm pretty sure I could. response:	Yeah.
context: No... I just didn't know you did captain-ish stuff like that.\It surprised me a little.\I'm doing a pretty solid job, right?\I might be a little unreliable, though.\Nah, I could rely on you.\Not that I'd know yet, of course...\But I'm pretty sure I could.\Yeah. response:	You're late, Senpai!
context: It surprised me a little.\I'm doing a pretty solid job, right?\I might be a little unreliable, though.\Nah, I could rely on you.\Not that I'd know yet, of course...\But I'm pretty sure I could.\Yeah.\You're late, Senpai! response:	And... you guys, too! Thanks for coming!
context: I'm doing a pretty solid job, right?\I might be a little unreliable, though.\Nah, I could rely on you.\Not that I'd know yet, of course...\But I'm pretty sure I could.\Yeah.\You're late, Senpai!\And... you guys, too! Thanks for coming! response:	Yahello, Iroha-chan.
context: I might be a little unreliable, though.\Nah, I could rely on you.\Not that I'd know yet, of course...\But I'm pretty sure I could.\Yeah.\You're late, Senpai!\And... you guys, too! Thanks for coming!\Yahello, Iroha-chan. response:	What do you want us to do?
context: Nah, I could rely on you.\Not that I'd know yet, of course...\But I'm pretty sure I could.\Yeah.\You're late, Senpai!\And... you guys, too! Thanks for coming!\Yahello, Iroha-chan.\What do you want us to do? response:	We have to rearrange all this stuff.
context: Not that I'd know yet, of course...\But I'm pretty sure I could.\Yeah.\You're late, Senpai!\And... you guys, too! Thanks for coming!\Yahello, Iroha-chan.\What do you want us to do?\We have to rearrange all this stuff. response:	Some of the alumni came to help.
context: But I'm pretty sure I could.\Yeah.\You're late, Senpai!\And... you guys, too! Thanks for coming!\Yahello, Iroha-chan.\What do you want us to do?\We have to rearrange all this stuff.\Some of the alumni came to help. response:	Alumni?
context: Yeah.\You're late, Senpai!\And... you guys, too! Thanks for coming!\Yahello, Iroha-chan.\What do you want us to do?\We have to rearrange all this stuff.\Some of the alumni came to help.\Alumni? response:	Hey, it's Hikigaya-kun!
context: You're late, Senpai!\And... you guys, too! Thanks for coming!\Yahello, Iroha-chan.\What do you want us to do?\We have to rearrange all this stuff.\Some of the alumni came to help.\Alumni?\Hey, it's Hikigaya-kun! response:	Yahello!
context: And... you guys, too! Thanks for coming!\Yahello, Iroha-chan.\What do you want us to do?\We have to rearrange all this stuff.\Some of the alumni came to help.\Alumni?\Hey, it's Hikigaya-kun!\Yahello! response:	Nee-san, there's something I want to ask you.
context: Yahello, Iroha-chan.\What do you want us to do?\We have to rearrange all this stuff.\Some of the alumni came to help.\Alumni?\Hey, it's Hikigaya-kun!\Yahello!\Nee-san, there's something I want to ask you. response:	Soubu High's Annual Winter Event
context: What do you want us to do?\We have to rearrange all this stuff.\Some of the alumni came to help.\Alumni?\Hey, it's Hikigaya-kun!\Yahello!\Nee-san, there's something I want to ask you.\Soubu High's Annual Winter Event response:	Marathon Race!!
context: We have to rearrange all this stuff.\Some of the alumni came to help.\Alumni?\Hey, it's Hikigaya-kun!\Yahello!\Nee-san, there's something I want to ask you.\Soubu High's Annual Winter Event\Marathon Race!! response:	Don't worry, it's not that you're weak. I'm just too strong.
context: Some of the alumni came to help.\Alumni?\Hey, it's Hikigaya-kun!\Yahello!\Nee-san, there's something I want to ask you.\Soubu High's Annual Winter Event\Marathon Race!!\Don't worry, it's not that you're weak. I'm just too strong. response:	Hayato's future plans? Is that all?
context: Alumni?\Hey, it's Hikigaya-kun!\Yahello!\Nee-san, there's something I want to ask you.\Soubu High's Annual Winter Event\Marathon Race!!\Don't worry, it's not that you're weak. I'm just too strong.\Hayato's future plans? Is that all? response:	Do you know anything?
context: Hey, it's Hikigaya-kun!\Yahello!\Nee-san, there's something I want to ask you.\Soubu High's Annual Winter Event\Marathon Race!!\Don't worry, it's not that you're weak. I'm just too strong.\Hayato's future plans? Is that all?\Do you know anything? response:	And I thought you could handle things on your own now.
context: Yahello!\Nee-san, there's something I want to ask you.\Soubu High's Annual Winter Event\Marathon Race!!\Don't worry, it's not that you're weak. I'm just too strong.\Hayato's future plans? Is that all?\Do you know anything?\And I thought you could handle things on your own now. response:	Here you are relying on others again.
context: Nee-san, there's something I want to ask you.\Soubu High's Annual Winter Event\Marathon Race!!\Don't worry, it's not that you're weak. I'm just too strong.\Hayato's future plans? Is that all?\Do you know anything?\And I thought you could handle things on your own now.\Here you are relying on others again. response:	That was cute when you were little, but now...
context: Soubu High's Annual Winter Event\Marathon Race!!\Don't worry, it's not that you're weak. I'm just too strong.\Hayato's future plans? Is that all?\Do you know anything?\And I thought you could handle things on your own now.\Here you are relying on others again.\That was cute when you were little, but now... response:	Think about it on your own.
context: Marathon Race!!\Don't worry, it's not that you're weak. I'm just too strong.\Hayato's future plans? Is that all?\Do you know anything?\And I thought you could handle things on your own now.\Here you are relying on others again.\That was cute when you were little, but now...\Think about it on your own. response:	Yukinon...
context: Don't worry, it's not that you're weak. I'm just too strong.\Hayato's future plans? Is that all?\Do you know anything?\And I thought you could handle things on your own now.\Here you are relying on others again.\That was cute when you were little, but now...\Think about it on your own.\Yukinon... response:	Walk me to the station.
context: Hayato's future plans? Is that all?\Do you know anything?\And I thought you could handle things on your own now.\Here you are relying on others again.\That was cute when you were little, but now...\Think about it on your own.\Yukinon...\Walk me to the station. response:	Huh?
context: Do you know anything?\And I thought you could handle things on your own now.\Here you are relying on others again.\That was cute when you were little, but now...\Think about it on your own.\Yukinon...\Walk me to the station.\Huh? response:	It's not often you get a chance to walk home with a gorgeous older girl like this.
context: And I thought you could handle things on your own now.\Here you are relying on others again.\That was cute when you were little, but now...\Think about it on your own.\Yukinon...\Walk me to the station.\Huh?\It's not often you get a chance to walk home with a gorgeous older girl like this. response:	Well, ready to go?
context: Here you are relying on others again.\That was cute when you were little, but now...\Think about it on your own.\Yukinon...\Walk me to the station.\Huh?\It's not often you get a chance to walk home with a gorgeous older girl like this.\Well, ready to go? response:	Sure.
context: That was cute when you were little, but now...\Think about it on your own.\Yukinon...\Walk me to the station.\Huh?\It's not often you get a chance to walk home with a gorgeous older girl like this.\Well, ready to go?\Sure. response:	Have you heard which curriculum Yukino-chan wants to go into?
context: Think about it on your own.\Yukinon...\Walk me to the station.\Huh?\It's not often you get a chance to walk home with a gorgeous older girl like this.\Well, ready to go?\Sure.\Have you heard which curriculum Yukino-chan wants to go into? response:	No, I haven't.
context: Yukinon...\Walk me to the station.\Huh?\It's not often you get a chance to walk home with a gorgeous older girl like this.\Well, ready to go?\Sure.\Have you heard which curriculum Yukino-chan wants to go into?\No, I haven't. response:	Well, I guess she wouldn't volunteer the information.
context: Walk me to the station.\Huh?\It's not often you get a chance to walk home with a gorgeous older girl like this.\Well, ready to go?\Sure.\Have you heard which curriculum Yukino-chan wants to go into?\No, I haven't.\Well, I guess she wouldn't volunteer the information. response:	Make sure you ask her, okay, Hikigaya-kun?
context: Huh?\It's not often you get a chance to walk home with a gorgeous older girl like this.\Well, ready to go?\Sure.\Have you heard which curriculum Yukino-chan wants to go into?\No, I haven't.\Well, I guess she wouldn't volunteer the information.\Make sure you ask her, okay, Hikigaya-kun? response:	We'll check each other's answers.
context: It's not often you get a chance to walk home with a gorgeous older girl like this.\Well, ready to go?\Sure.\Have you heard which curriculum Yukino-chan wants to go into?\No, I haven't.\Well, I guess she wouldn't volunteer the information.\Make sure you ask her, okay, Hikigaya-kun?\We'll check each other's answers. response:	I don't think you'd call that checking each other's answers.
context: Well, ready to go?\Sure.\Have you heard which curriculum Yukino-chan wants to go into?\No, I haven't.\Well, I guess she wouldn't volunteer the information.\Make sure you ask her, okay, Hikigaya-kun?\We'll check each other's answers.\I don't think you'd call that checking each other's answers. response:	Don't sweat the little details!
context: Sure.\Have you heard which curriculum Yukino-chan wants to go into?\No, I haven't.\Well, I guess she wouldn't volunteer the information.\Make sure you ask her, okay, Hikigaya-kun?\We'll check each other's answers.\I don't think you'd call that checking each other's answers.\Don't sweat the little details! response:	By the way, did you try asking Hayato directly?
context: Have you heard which curriculum Yukino-chan wants to go into?\No, I haven't.\Well, I guess she wouldn't volunteer the information.\Make sure you ask her, okay, Hikigaya-kun?\We'll check each other's answers.\I don't think you'd call that checking each other's answers.\Don't sweat the little details!\By the way, did you try asking Hayato directly? response:	Yeah. He said some stuff, but wouldn't tell me.
context: No, I haven't.\Well, I guess she wouldn't volunteer the information.\Make sure you ask her, okay, Hikigaya-kun?\We'll check each other's answers.\I don't think you'd call that checking each other's answers.\Don't sweat the little details!\By the way, did you try asking Hayato directly?\Yeah. He said some stuff, but wouldn't tell me. response:	Huh... I see.
context: Well, I guess she wouldn't volunteer the information.\Make sure you ask her, okay, Hikigaya-kun?\We'll check each other's answers.\I don't think you'd call that checking each other's answers.\Don't sweat the little details!\By the way, did you try asking Hayato directly?\Yeah. He said some stuff, but wouldn't tell me.\Huh... I see. response:	Hayato was hoping for it, too...
context: Make sure you ask her, okay, Hikigaya-kun?\We'll check each other's answers.\I don't think you'd call that checking each other's answers.\Don't sweat the little details!\By the way, did you try asking Hayato directly?\Yeah. He said some stuff, but wouldn't tell me.\Huh... I see.\Hayato was hoping for it, too... response:	For what?
context: We'll check each other's answers.\I don't think you'd call that checking each other's answers.\Don't sweat the little details!\By the way, did you try asking Hayato directly?\Yeah. He said some stuff, but wouldn't tell me.\Huh... I see.\Hayato was hoping for it, too...\For what? response:	For someone to find him... maybe?
context: I don't think you'd call that checking each other's answers.\Don't sweat the little details!\By the way, did you try asking Hayato directly?\Yeah. He said some stuff, but wouldn't tell me.\Huh... I see.\Hayato was hoping for it, too...\For what?\For someone to find him... maybe? response:	Everyone's Hayama Hayato, huh?
context: Don't sweat the little details!\By the way, did you try asking Hayato directly?\Yeah. He said some stuff, but wouldn't tell me.\Huh... I see.\Hayato was hoping for it, too...\For what?\For someone to find him... maybe?\Everyone's Hayama Hayato, huh? response:	I'm not the good guy you think I am.
context: By the way, did you try asking Hayato directly?\Yeah. He said some stuff, but wouldn't tell me.\Huh... I see.\Hayato was hoping for it, too...\For what?\For someone to find him... maybe?\Everyone's Hayama Hayato, huh?\I'm not the good guy you think I am. response:	Hello?
context: Yeah. He said some stuff, but wouldn't tell me.\Huh... I see.\Hayato was hoping for it, too...\For what?\For someone to find him... maybe?\Everyone's Hayama Hayato, huh?\I'm not the good guy you think I am.\Hello? response:	Hey, it's me.
context: Huh... I see.\Hayato was hoping for it, too...\For what?\For someone to find him... maybe?\Everyone's Hayama Hayato, huh?\I'm not the good guy you think I am.\Hello?\Hey, it's me. response:	Sorry to call this late.
context: Hayato was hoping for it, too...\For what?\For someone to find him... maybe?\Everyone's Hayama Hayato, huh?\I'm not the good guy you think I am.\Hello?\Hey, it's me.\Sorry to call this late. response:	It's okay. What's up?
context: For what?\For someone to find him... maybe?\Everyone's Hayama Hayato, huh?\I'm not the good guy you think I am.\Hello?\Hey, it's me.\Sorry to call this late.\It's okay. What's up? response:	I need a favor.
context: For someone to find him... maybe?\Everyone's Hayama Hayato, huh?\I'm not the good guy you think I am.\Hello?\Hey, it's me.\Sorry to call this late.\It's okay. What's up?\I need a favor. response:	Hayama-senpai! Good luck going for your second consecutive win!
context: Everyone's Hayama Hayato, huh?\I'm not the good guy you think I am.\Hello?\Hey, it's me.\Sorry to call this late.\It's okay. What's up?\I need a favor.\Hayama-senpai! Good luck going for your second consecutive win! response:	H-Hayato... g-good luck!
context: I'm not the good guy you think I am.\Hello?\Hey, it's me.\Sorry to call this late.\It's okay. What's up?\I need a favor.\Hayama-senpai! Good luck going for your second consecutive win!\H-Hayato... g-good luck! response:	And good luck to you, too, Senpai!
context: Hello?\Hey, it's me.\Sorry to call this late.\It's okay. What's up?\I need a favor.\Hayama-senpai! Good luck going for your second consecutive win!\H-Hayato... g-good luck!\And good luck to you, too, Senpai! response:	Thanks!
context: Hey, it's me.\Sorry to call this late.\It's okay. What's up?\I need a favor.\Hayama-senpai! Good luck going for your second consecutive win!\H-Hayato... g-good luck!\And good luck to you, too, Senpai!\Thanks! response:	No, not you, Tobe-senpai.
context: Sorry to call this late.\It's okay. What's up?\I need a favor.\Hayama-senpai! Good luck going for your second consecutive win!\H-Hayato... g-good luck!\And good luck to you, too, Senpai!\Thanks!\No, not you, Tobe-senpai. response:	G-Good luck!
context: It's okay. What's up?\I need a favor.\Hayama-senpai! Good luck going for your second consecutive win!\H-Hayato... g-good luck!\And good luck to you, too, Senpai!\Thanks!\No, not you, Tobe-senpai.\G-Good luck! response:	Good luck.
context: I need a favor.\Hayama-senpai! Good luck going for your second consecutive win!\H-Hayato... g-good luck!\And good luck to you, too, Senpai!\Thanks!\No, not you, Tobe-senpai.\G-Good luck!\Good luck. response:	Well, let's do this.
context: Hayama-senpai! Good luck going for your second consecutive win!\H-Hayato... g-good luck!\And good luck to you, too, Senpai!\Thanks!\No, not you, Tobe-senpai.\G-Good luck!\Good luck.\Well, let's do this. response:	On your marks!
context: H-Hayato... g-good luck!\And good luck to you, too, Senpai!\Thanks!\No, not you, Tobe-senpai.\G-Good luck!\Good luck.\Well, let's do this.\On your marks! response:	Set!
context: And good luck to you, too, Senpai!\Thanks!\No, not you, Tobe-senpai.\G-Good luck!\Good luck.\Well, let's do this.\On your marks!\Set! response:	Damn, I'm glad I ride a bike to school!
context: Thanks!\No, not you, Tobe-senpai.\G-Good luck!\Good luck.\Well, let's do this.\On your marks!\Set!\Damn, I'm glad I ride a bike to school! response:	Otherwise, there's no way I could run this long!
context: No, not you, Tobe-senpai.\G-Good luck!\Good luck.\Well, let's do this.\On your marks!\Set!\Damn, I'm glad I ride a bike to school!\Otherwise, there's no way I could run this long! response:	I'm impressed you're keeping up.
