context: I gave up my voice in order to protect the knowledge I got from you. response:	Are you saying you will protect me, Chane?
context: Please, run away.\What are you talking about?\Everyone, please, say nothing more, and run away.\I am the only one this man is after.\So just who is this guy?\This man is someone who has killed 13 of my friends,\as well as my younger brother.\I've devoured five more since then, so to be accurate, it's 18. response:	Szilard...
context: What are you talking about?\Everyone, please, say nothing more, and run away.\I am the only one this man is after.\So just who is this guy?\This man is someone who has killed 13 of my friends,\as well as my younger brother.\I've devoured five more since then, so to be accurate, it's 18.\Szilard... response:	I don't know what's going on here,
context: Everyone, please, say nothing more, and run away.\I am the only one this man is after.\So just who is this guy?\This man is someone who has killed 13 of my friends,\as well as my younger brother.\I've devoured five more since then, so to be accurate, it's 18.\Szilard...\I don't know what's going on here, response:	but Maiza, you're saying that this guy is your enemy, right?
context: I am the only one this man is after.\So just who is this guy?\This man is someone who has killed 13 of my friends,\as well as my younger brother.\I've devoured five more since then, so to be accurate, it's 18.\Szilard...\I don't know what's going on here,\but Maiza, you're saying that this guy is your enemy, right? response:	Well then, that makes him our enemy, doesn't it?
context: So just who is this guy?\This man is someone who has killed 13 of my friends,\as well as my younger brother.\I've devoured five more since then, so to be accurate, it's 18.\Szilard...\I don't know what's going on here,\but Maiza, you're saying that this guy is your enemy, right?\Well then, that makes him our enemy, doesn't it? response:	What are you doing?!
context: This man is someone who has killed 13 of my friends,\as well as my younger brother.\I've devoured five more since then, so to be accurate, it's 18.\Szilard...\I don't know what's going on here,\but Maiza, you're saying that this guy is your enemy, right?\Well then, that makes him our enemy, doesn't it?\What are you doing?! response:	Don't go in. You'll only be killed, for no reason.
context: as well as my younger brother.\I've devoured five more since then, so to be accurate, it's 18.\Szilard...\I don't know what's going on here,\but Maiza, you're saying that this guy is your enemy, right?\Well then, that makes him our enemy, doesn't it?\What are you doing?!\Don't go in. You'll only be killed, for no reason. response:	What?
context: I've devoured five more since then, so to be accurate, it's 18.\Szilard...\I don't know what's going on here,\but Maiza, you're saying that this guy is your enemy, right?\Well then, that makes him our enemy, doesn't it?\What are you doing?!\Don't go in. You'll only be killed, for no reason.\What? response:	Maiza, why is this old geezer...
context: Szilard...\I don't know what's going on here,\but Maiza, you're saying that this guy is your enemy, right?\Well then, that makes him our enemy, doesn't it?\What are you doing?!\Don't go in. You'll only be killed, for no reason.\What?\Maiza, why is this old geezer... response:	I'll explain later. Right now, just run away, please!
context: I don't know what's going on here,\but Maiza, you're saying that this guy is your enemy, right?\Well then, that makes him our enemy, doesn't it?\What are you doing?!\Don't go in. You'll only be killed, for no reason.\What?\Maiza, why is this old geezer...\I'll explain later. Right now, just run away, please! response:	A wise warning.
context: but Maiza, you're saying that this guy is your enemy, right?\Well then, that makes him our enemy, doesn't it?\What are you doing?!\Don't go in. You'll only be killed, for no reason.\What?\Maiza, why is this old geezer...\I'll explain later. Right now, just run away, please!\A wise warning. response:	But it's a little too late.
context: Well then, that makes him our enemy, doesn't it?\What are you doing?!\Don't go in. You'll only be killed, for no reason.\What?\Maiza, why is this old geezer...\I'll explain later. Right now, just run away, please!\A wise warning.\But it's a little too late. response:	Don't go punching holes in the conductor's compartment.
context: What are you doing?!\Don't go in. You'll only be killed, for no reason.\What?\Maiza, why is this old geezer...\I'll explain later. Right now, just run away, please!\A wise warning.\But it's a little too late.\Don't go punching holes in the conductor's compartment. response:	You grazed my ear, you know.
context: Don't go in. You'll only be killed, for no reason.\What?\Maiza, why is this old geezer...\I'll explain later. Right now, just run away, please!\A wise warning.\But it's a little too late.\Don't go punching holes in the conductor's compartment.\You grazed my ear, you know. response:	If you read me, apologize.
context: What?\Maiza, why is this old geezer...\I'll explain later. Right now, just run away, please!\A wise warning.\But it's a little too late.\Don't go punching holes in the conductor's compartment.\You grazed my ear, you know.\If you read me, apologize. response:	At least say you're sorry.
context: Maiza, why is this old geezer...\I'll explain later. Right now, just run away, please!\A wise warning.\But it's a little too late.\Don't go punching holes in the conductor's compartment.\You grazed my ear, you know.\If you read me, apologize.\At least say you're sorry. response:	Oh, I didn't know.
context: I'll explain later. Right now, just run away, please!\A wise warning.\But it's a little too late.\Don't go punching holes in the conductor's compartment.\You grazed my ear, you know.\If you read me, apologize.\At least say you're sorry.\Oh, I didn't know. response:	Sorry.
context: A wise warning.\But it's a little too late.\Don't go punching holes in the conductor's compartment.\You grazed my ear, you know.\If you read me, apologize.\At least say you're sorry.\Oh, I didn't know.\Sorry. response:	You can keep going.
context: But it's a little too late.\Don't go punching holes in the conductor's compartment.\You grazed my ear, you know.\If you read me, apologize.\At least say you're sorry.\Oh, I didn't know.\Sorry.\You can keep going. response:	I'll kill whichever one of you lives through it.
context: Don't go punching holes in the conductor's compartment.\You grazed my ear, you know.\If you read me, apologize.\At least say you're sorry.\Oh, I didn't know.\Sorry.\You can keep going.\I'll kill whichever one of you lives through it. response:	Who are you?
context: You grazed my ear, you know.\If you read me, apologize.\At least say you're sorry.\Oh, I didn't know.\Sorry.\You can keep going.\I'll kill whichever one of you lives through it.\Who are you? response:	Don't worry about it. Think of me as talking air, if you like.
context: If you read me, apologize.\At least say you're sorry.\Oh, I didn't know.\Sorry.\You can keep going.\I'll kill whichever one of you lives through it.\Who are you?\Don't worry about it. Think of me as talking air, if you like. response:	If you're air, then stop talking!
context: At least say you're sorry.\Oh, I didn't know.\Sorry.\You can keep going.\I'll kill whichever one of you lives through it.\Who are you?\Don't worry about it. Think of me as talking air, if you like.\If you're air, then stop talking! response:	That was pretty harsh.
context: Oh, I didn't know.\Sorry.\You can keep going.\I'll kill whichever one of you lives through it.\Who are you?\Don't worry about it. Think of me as talking air, if you like.\If you're air, then stop talking!\That was pretty harsh. response:	You bitch!
context: Sorry.\You can keep going.\I'll kill whichever one of you lives through it.\Who are you?\Don't worry about it. Think of me as talking air, if you like.\If you're air, then stop talking!\That was pretty harsh.\You bitch! response:	Is what he said about you earlier the truth?
context: You can keep going.\I'll kill whichever one of you lives through it.\Who are you?\Don't worry about it. Think of me as talking air, if you like.\If you're air, then stop talking!\That was pretty harsh.\You bitch!\Is what he said about you earlier the truth? response:	You know, about how you were actually opposed to this operation,
context: I'll kill whichever one of you lives through it.\Who are you?\Don't worry about it. Think of me as talking air, if you like.\If you're air, then stop talking!\That was pretty harsh.\You bitch!\Is what he said about you earlier the truth?\You know, about how you were actually opposed to this operation, response:	how you don't very much like to kill,
context: Who are you?\Don't worry about it. Think of me as talking air, if you like.\If you're air, then stop talking!\That was pretty harsh.\You bitch!\Is what he said about you earlier the truth?\You know, about how you were actually opposed to this operation,\how you don't very much like to kill, response:	and how this Huey guy objects to it, too?
context: Don't worry about it. Think of me as talking air, if you like.\If you're air, then stop talking!\That was pretty harsh.\You bitch!\Is what he said about you earlier the truth?\You know, about how you were actually opposed to this operation,\how you don't very much like to kill,\and how this Huey guy objects to it, too? response:	I see. Well then, fine.
context: If you're air, then stop talking!\That was pretty harsh.\You bitch!\Is what he said about you earlier the truth?\You know, about how you were actually opposed to this operation,\how you don't very much like to kill,\and how this Huey guy objects to it, too?\I see. Well then, fine. response:	That being the case, would you like a little assistance here?
context: That was pretty harsh.\You bitch!\Is what he said about you earlier the truth?\You know, about how you were actually opposed to this operation,\how you don't very much like to kill,\and how this Huey guy objects to it, too?\I see. Well then, fine.\That being the case, would you like a little assistance here? response:	Huh? Isn't that a bit strange?
context: You bitch!\Is what he said about you earlier the truth?\You know, about how you were actually opposed to this operation,\how you don't very much like to kill,\and how this Huey guy objects to it, too?\I see. Well then, fine.\That being the case, would you like a little assistance here?\Huh? Isn't that a bit strange? response:	I'm not sure I'm following, but you're the one who's been going around,
context: Is what he said about you earlier the truth?\You know, about how you were actually opposed to this operation,\how you don't very much like to kill,\and how this Huey guy objects to it, too?\I see. Well then, fine.\That being the case, would you like a little assistance here?\Huh? Isn't that a bit strange?\I'm not sure I'm following, but you're the one who's been going around, response:	killing the black suits and my pals, aren't you?
context: You know, about how you were actually opposed to this operation,\how you don't very much like to kill,\and how this Huey guy objects to it, too?\I see. Well then, fine.\That being the case, would you like a little assistance here?\Huh? Isn't that a bit strange?\I'm not sure I'm following, but you're the one who's been going around,\killing the black suits and my pals, aren't you? response:	Yeah, but after hearing what you said a moment ago,
context: how you don't very much like to kill,\and how this Huey guy objects to it, too?\I see. Well then, fine.\That being the case, would you like a little assistance here?\Huh? Isn't that a bit strange?\I'm not sure I'm following, but you're the one who's been going around,\killing the black suits and my pals, aren't you?\Yeah, but after hearing what you said a moment ago, response:	this woman comes out sounding like a good girl.
context: and how this Huey guy objects to it, too?\I see. Well then, fine.\That being the case, would you like a little assistance here?\Huh? Isn't that a bit strange?\I'm not sure I'm following, but you're the one who's been going around,\killing the black suits and my pals, aren't you?\Yeah, but after hearing what you said a moment ago,\this woman comes out sounding like a good girl. response:	Don't you screw with me, you monster! Are you one of those?
context: I see. Well then, fine.\That being the case, would you like a little assistance here?\Huh? Isn't that a bit strange?\I'm not sure I'm following, but you're the one who's been going around,\killing the black suits and my pals, aren't you?\Yeah, but after hearing what you said a moment ago,\this woman comes out sounding like a good girl.\Don't you screw with me, you monster! Are you one of those? response:	The type of person who, when a kid comes at them on the battlefield,
context: That being the case, would you like a little assistance here?\Huh? Isn't that a bit strange?\I'm not sure I'm following, but you're the one who's been going around,\killing the black suits and my pals, aren't you?\Yeah, but after hearing what you said a moment ago,\this woman comes out sounding like a good girl.\Don't you screw with me, you monster! Are you one of those?\The type of person who, when a kid comes at them on the battlefield, response:	doesn't kill him, but spares him, instead?
context: Huh? Isn't that a bit strange?\I'm not sure I'm following, but you're the one who's been going around,\killing the black suits and my pals, aren't you?\Yeah, but after hearing what you said a moment ago,\this woman comes out sounding like a good girl.\Don't you screw with me, you monster! Are you one of those?\The type of person who, when a kid comes at them on the battlefield,\doesn't kill him, but spares him, instead? response:	Here I thought you were this terrifying monster,
context: I'm not sure I'm following, but you're the one who's been going around,\killing the black suits and my pals, aren't you?\Yeah, but after hearing what you said a moment ago,\this woman comes out sounding like a good girl.\Don't you screw with me, you monster! Are you one of those?\The type of person who, when a kid comes at them on the battlefield,\doesn't kill him, but spares him, instead?\Here I thought you were this terrifying monster, response:	but you're just a sickening hypocrite, aren't you?!
context: killing the black suits and my pals, aren't you?\Yeah, but after hearing what you said a moment ago,\this woman comes out sounding like a good girl.\Don't you screw with me, you monster! Are you one of those?\The type of person who, when a kid comes at them on the battlefield,\doesn't kill him, but spares him, instead?\Here I thought you were this terrifying monster,\but you're just a sickening hypocrite, aren't you?! response:	So what if I'd spare him?
context: Yeah, but after hearing what you said a moment ago,\this woman comes out sounding like a good girl.\Don't you screw with me, you monster! Are you one of those?\The type of person who, when a kid comes at them on the battlefield,\doesn't kill him, but spares him, instead?\Here I thought you were this terrifying monster,\but you're just a sickening hypocrite, aren't you?!\So what if I'd spare him? response:	Huh?
context: this woman comes out sounding like a good girl.\Don't you screw with me, you monster! Are you one of those?\The type of person who, when a kid comes at them on the battlefield,\doesn't kill him, but spares him, instead?\Here I thought you were this terrifying monster,\but you're just a sickening hypocrite, aren't you?!\So what if I'd spare him?\Huh? response:	My thinking is that it's precisely because I'm so sure of myself
context: Don't you screw with me, you monster! Are you one of those?\The type of person who, when a kid comes at them on the battlefield,\doesn't kill him, but spares him, instead?\Here I thought you were this terrifying monster,\but you're just a sickening hypocrite, aren't you?!\So what if I'd spare him?\Huh?\My thinking is that it's precisely because I'm so sure of myself response:	that having that kind of compassion is possible, you see.
context: The type of person who, when a kid comes at them on the battlefield,\doesn't kill him, but spares him, instead?\Here I thought you were this terrifying monster,\but you're just a sickening hypocrite, aren't you?!\So what if I'd spare him?\Huh?\My thinking is that it's precisely because I'm so sure of myself\that having that kind of compassion is possible, you see. response:	I'm fine on that point.
context: doesn't kill him, but spares him, instead?\Here I thought you were this terrifying monster,\but you're just a sickening hypocrite, aren't you?!\So what if I'd spare him?\Huh?\My thinking is that it's precisely because I'm so sure of myself\that having that kind of compassion is possible, you see.\I'm fine on that point. response:	The reason being that there is no way I'm going to be killed.
context: Here I thought you were this terrifying monster,\but you're just a sickening hypocrite, aren't you?!\So what if I'd spare him?\Huh?\My thinking is that it's precisely because I'm so sure of myself\that having that kind of compassion is possible, you see.\I'm fine on that point.\The reason being that there is no way I'm going to be killed. response:	Remember this Leniency and compassion are things
context: but you're just a sickening hypocrite, aren't you?!\So what if I'd spare him?\Huh?\My thinking is that it's precisely because I'm so sure of myself\that having that kind of compassion is possible, you see.\I'm fine on that point.\The reason being that there is no way I'm going to be killed.\Remember this Leniency and compassion are things response:	that only the strong are privileged to possess.
context: So what if I'd spare him?\Huh?\My thinking is that it's precisely because I'm so sure of myself\that having that kind of compassion is possible, you see.\I'm fine on that point.\The reason being that there is no way I'm going to be killed.\Remember this Leniency and compassion are things\that only the strong are privileged to possess. response:	And I...
context: Huh?\My thinking is that it's precisely because I'm so sure of myself\that having that kind of compassion is possible, you see.\I'm fine on that point.\The reason being that there is no way I'm going to be killed.\Remember this Leniency and compassion are things\that only the strong are privileged to possess.\And I... response:	You're one of those, then?
context: My thinking is that it's precisely because I'm so sure of myself\that having that kind of compassion is possible, you see.\I'm fine on that point.\The reason being that there is no way I'm going to be killed.\Remember this Leniency and compassion are things\that only the strong are privileged to possess.\And I...\You're one of those, then? response:	Someone who really thinks that they're not going to die?
context: that having that kind of compassion is possible, you see.\I'm fine on that point.\The reason being that there is no way I'm going to be killed.\Remember this Leniency and compassion are things\that only the strong are privileged to possess.\And I...\You're one of those, then?\Someone who really thinks that they're not going to die? response:	Of course. After all, the world is mine.
context: I'm fine on that point.\The reason being that there is no way I'm going to be killed.\Remember this Leniency and compassion are things\that only the strong are privileged to possess.\And I...\You're one of those, then?\Someone who really thinks that they're not going to die?\Of course. After all, the world is mine. response:	Let me go! I have friends in there!
context: The reason being that there is no way I'm going to be killed.\Remember this Leniency and compassion are things\that only the strong are privileged to possess.\And I...\You're one of those, then?\Someone who really thinks that they're not going to die?\Of course. After all, the world is mine.\Let me go! I have friends in there! response:	No, you can't go in right now!
context: Remember this Leniency and compassion are things\that only the strong are privileged to possess.\And I...\You're one of those, then?\Someone who really thinks that they're not going to die?\Of course. After all, the world is mine.\Let me go! I have friends in there!\No, you can't go in right now! response:	Who are you?
context: that only the strong are privileged to possess.\And I...\You're one of those, then?\Someone who really thinks that they're not going to die?\Of course. After all, the world is mine.\Let me go! I have friends in there!\No, you can't go in right now!\Who are you? response:	Who is the old coot in there?
context: And I...\You're one of those, then?\Someone who really thinks that they're not going to die?\Of course. After all, the world is mine.\Let me go! I have friends in there!\No, you can't go in right now!\Who are you?\Who is the old coot in there? response:	You really are a stupid man, Maiza.
context: You're one of those, then?\Someone who really thinks that they're not going to die?\Of course. After all, the world is mine.\Let me go! I have friends in there!\No, you can't go in right now!\Who are you?\Who is the old coot in there?\You really are a stupid man, Maiza. response:	If only you hadn't been so greedy,
context: Someone who really thinks that they're not going to die?\Of course. After all, the world is mine.\Let me go! I have friends in there!\No, you can't go in right now!\Who are you?\Who is the old coot in there?\You really are a stupid man, Maiza.\If only you hadn't been so greedy, response:	and shared your information with me back then,
context: Of course. After all, the world is mine.\Let me go! I have friends in there!\No, you can't go in right now!\Who are you?\Who is the old coot in there?\You really are a stupid man, Maiza.\If only you hadn't been so greedy,\and shared your information with me back then, response:	blood wouldn't have had to be spilled like this.
context: Let me go! I have friends in there!\No, you can't go in right now!\Who are you?\Who is the old coot in there?\You really are a stupid man, Maiza.\If only you hadn't been so greedy,\and shared your information with me back then,\blood wouldn't have had to be spilled like this. response:	Szilard!
context: No, you can't go in right now!\Who are you?\Who is the old coot in there?\You really are a stupid man, Maiza.\If only you hadn't been so greedy,\and shared your information with me back then,\blood wouldn't have had to be spilled like this.\Szilard! response:	What is this?
context: Who are you?\Who is the old coot in there?\You really are a stupid man, Maiza.\If only you hadn't been so greedy,\and shared your information with me back then,\blood wouldn't have had to be spilled like this.\Szilard!\What is this? response:	Don Martillo, please, allow us to handle this.
context: Who is the old coot in there?\You really are a stupid man, Maiza.\If only you hadn't been so greedy,\and shared your information with me back then,\blood wouldn't have had to be spilled like this.\Szilard!\What is this?\Don Martillo, please, allow us to handle this. response:	It's possible that this is a matter of internal friction on our part.
context: You really are a stupid man, Maiza.\If only you hadn't been so greedy,\and shared your information with me back then,\blood wouldn't have had to be spilled like this.\Szilard!\What is this?\Don Martillo, please, allow us to handle this.\It's possible that this is a matter of internal friction on our part. response:	But...
context: If only you hadn't been so greedy,\and shared your information with me back then,\blood wouldn't have had to be spilled like this.\Szilard!\What is this?\Don Martillo, please, allow us to handle this.\It's possible that this is a matter of internal friction on our part.\But... response:	If anything were to happen to you, I wouldn't be able to face Firo.
context: and shared your information with me back then,\blood wouldn't have had to be spilled like this.\Szilard!\What is this?\Don Martillo, please, allow us to handle this.\It's possible that this is a matter of internal friction on our part.\But...\If anything were to happen to you, I wouldn't be able to face Firo. response:	Please, put your concerns to rest.
context: blood wouldn't have had to be spilled like this.\Szilard!\What is this?\Don Martillo, please, allow us to handle this.\It's possible that this is a matter of internal friction on our part.\But...\If anything were to happen to you, I wouldn't be able to face Firo.\Please, put your concerns to rest. response:	Go look around upstairs, and check out our office, too.
context: Szilard!\What is this?\Don Martillo, please, allow us to handle this.\It's possible that this is a matter of internal friction on our part.\But...\If anything were to happen to you, I wouldn't be able to face Firo.\Please, put your concerns to rest.\Go look around upstairs, and check out our office, too. response:	Right.
context: What is this?\Don Martillo, please, allow us to handle this.\It's possible that this is a matter of internal friction on our part.\But...\If anything were to happen to you, I wouldn't be able to face Firo.\Please, put your concerns to rest.\Go look around upstairs, and check out our office, too.\Right. response:	What do we do if they get back at them, Miria?
context: Don Martillo, please, allow us to handle this.\It's possible that this is a matter of internal friction on our part.\But...\If anything were to happen to you, I wouldn't be able to face Firo.\Please, put your concerns to rest.\Go look around upstairs, and check out our office, too.\Right.\What do we do if they get back at them, Miria? response:	It will be our fault, huh?
context: It's possible that this is a matter of internal friction on our part.\But...\If anything were to happen to you, I wouldn't be able to face Firo.\Please, put your concerns to rest.\Go look around upstairs, and check out our office, too.\Right.\What do we do if they get back at them, Miria?\It will be our fault, huh? response:	If that happens, we can't justify it to these people.
context: But...\If anything were to happen to you, I wouldn't be able to face Firo.\Please, put your concerns to rest.\Go look around upstairs, and check out our office, too.\Right.\What do we do if they get back at them, Miria?\It will be our fault, huh?\If that happens, we can't justify it to these people. response:	It's a question of blame, huh?
context: If anything were to happen to you, I wouldn't be able to face Firo.\Please, put your concerns to rest.\Go look around upstairs, and check out our office, too.\Right.\What do we do if they get back at them, Miria?\It will be our fault, huh?\If that happens, we can't justify it to these people.\It's a question of blame, huh? response:	Why are you so hung up on the drug?
context: Please, put your concerns to rest.\Go look around upstairs, and check out our office, too.\Right.\What do we do if they get back at them, Miria?\It will be our fault, huh?\If that happens, we can't justify it to these people.\It's a question of blame, huh?\Why are you so hung up on the drug? response:	That's easy. I just want to know, that's all.
context: Go look around upstairs, and check out our office, too.\Right.\What do we do if they get back at them, Miria?\It will be our fault, huh?\If that happens, we can't justify it to these people.\It's a question of blame, huh?\Why are you so hung up on the drug?\That's easy. I just want to know, that's all. response:	My greatest desire is to uncover the secret of the medicine
context: Right.\What do we do if they get back at them, Miria?\It will be our fault, huh?\If that happens, we can't justify it to these people.\It's a question of blame, huh?\Why are you so hung up on the drug?\That's easy. I just want to know, that's all.\My greatest desire is to uncover the secret of the medicine response:	that you're trying to keep covered up.
context: What do we do if they get back at them, Miria?\It will be our fault, huh?\If that happens, we can't justify it to these people.\It's a question of blame, huh?\Why are you so hung up on the drug?\That's easy. I just want to know, that's all.\My greatest desire is to uncover the secret of the medicine\that you're trying to keep covered up. response:	Only so you can increase the number of people you can kill.
context: It will be our fault, huh?\If that happens, we can't justify it to these people.\It's a question of blame, huh?\Why are you so hung up on the drug?\That's easy. I just want to know, that's all.\My greatest desire is to uncover the secret of the medicine\that you're trying to keep covered up.\Only so you can increase the number of people you can kill. response:	That's not true. My methods are extremely reasonable.
context: If that happens, we can't justify it to these people.\It's a question of blame, huh?\Why are you so hung up on the drug?\That's easy. I just want to know, that's all.\My greatest desire is to uncover the secret of the medicine\that you're trying to keep covered up.\Only so you can increase the number of people you can kill.\That's not true. My methods are extremely reasonable. response:	You're saying, people who drink that liquor become immortally young?
context: It's a question of blame, huh?\Why are you so hung up on the drug?\That's easy. I just want to know, that's all.\My greatest desire is to uncover the secret of the medicine\that you're trying to keep covered up.\Only so you can increase the number of people you can kill.\That's not true. My methods are extremely reasonable.\You're saying, people who drink that liquor become immortally young? response:	And that Maiza- san and the old guy are immortal, too?
context: Why are you so hung up on the drug?\That's easy. I just want to know, that's all.\My greatest desire is to uncover the secret of the medicine\that you're trying to keep covered up.\Only so you can increase the number of people you can kill.\That's not true. My methods are extremely reasonable.\You're saying, people who drink that liquor become immortally young?\And that Maiza- san and the old guy are immortal, too? response:	Who are you?
context: That's easy. I just want to know, that's all.\My greatest desire is to uncover the secret of the medicine\that you're trying to keep covered up.\Only so you can increase the number of people you can kill.\That's not true. My methods are extremely reasonable.\You're saying, people who drink that liquor become immortally young?\And that Maiza- san and the old guy are immortal, too?\Who are you? response:	I created an imperfect version of the medicine,
context: My greatest desire is to uncover the secret of the medicine\that you're trying to keep covered up.\Only so you can increase the number of people you can kill.\That's not true. My methods are extremely reasonable.\You're saying, people who drink that liquor become immortally young?\And that Maiza- san and the old guy are immortal, too?\Who are you?\I created an imperfect version of the medicine, response:	using the information I gained from Gretto.
context: that you're trying to keep covered up.\Only so you can increase the number of people you can kill.\That's not true. My methods are extremely reasonable.\You're saying, people who drink that liquor become immortally young?\And that Maiza- san and the old guy are immortal, too?\Who are you?\I created an imperfect version of the medicine,\using the information I gained from Gretto. response:	Imperfect?
context: Only so you can increase the number of people you can kill.\That's not true. My methods are extremely reasonable.\You're saying, people who drink that liquor become immortally young?\And that Maiza- san and the old guy are immortal, too?\Who are you?\I created an imperfect version of the medicine,\using the information I gained from Gretto.\Imperfect? response:	Medicine that won't keep you from aging, but will make you undying.
context: That's not true. My methods are extremely reasonable.\You're saying, people who drink that liquor become immortally young?\And that Maiza- san and the old guy are immortal, too?\Who are you?\I created an imperfect version of the medicine,\using the information I gained from Gretto.\Imperfect?\Medicine that won't keep you from aging, but will make you undying. response:	Once strong men are made to drink it, those of us
context: You're saying, people who drink that liquor become immortally young?\And that Maiza- san and the old guy are immortal, too?\Who are you?\I created an imperfect version of the medicine,\using the information I gained from Gretto.\Imperfect?\Medicine that won't keep you from aging, but will make you undying.\Once strong men are made to drink it, those of us response:	who drank the finished product are able to devour them arbitrarily.
context: And that Maiza- san and the old guy are immortal, too?\Who are you?\I created an imperfect version of the medicine,\using the information I gained from Gretto.\Imperfect?\Medicine that won't keep you from aging, but will make you undying.\Once strong men are made to drink it, those of us\who drank the finished product are able to devour them arbitrarily. response:	We are able to gain their knowledge and skills without any trouble on our part.
context: Who are you?\I created an imperfect version of the medicine,\using the information I gained from Gretto.\Imperfect?\Medicine that won't keep you from aging, but will make you undying.\Once strong men are made to drink it, those of us\who drank the finished product are able to devour them arbitrarily.\We are able to gain their knowledge and skills without any trouble on our part. response:	It's a swift and sure method, don't you think?
context: I created an imperfect version of the medicine,\using the information I gained from Gretto.\Imperfect?\Medicine that won't keep you from aging, but will make you undying.\Once strong men are made to drink it, those of us\who drank the finished product are able to devour them arbitrarily.\We are able to gain their knowledge and skills without any trouble on our part.\It's a swift and sure method, don't you think? response:	A man-made person? You?
context: using the information I gained from Gretto.\Imperfect?\Medicine that won't keep you from aging, but will make you undying.\Once strong men are made to drink it, those of us\who drank the finished product are able to devour them arbitrarily.\We are able to gain their knowledge and skills without any trouble on our part.\It's a swift and sure method, don't you think?\A man-made person? You? response:	Yes, and the one who made me is Szilard, there.
context: Imperfect?\Medicine that won't keep you from aging, but will make you undying.\Once strong men are made to drink it, those of us\who drank the finished product are able to devour them arbitrarily.\We are able to gain their knowledge and skills without any trouble on our part.\It's a swift and sure method, don't you think?\A man-made person? You?\Yes, and the one who made me is Szilard, there. response:	As a specialized, independent colony,
context: Medicine that won't keep you from aging, but will make you undying.\Once strong men are made to drink it, those of us\who drank the finished product are able to devour them arbitrarily.\We are able to gain their knowledge and skills without any trouble on our part.\It's a swift and sure method, don't you think?\A man-made person? You?\Yes, and the one who made me is Szilard, there.\As a specialized, independent colony, response:	I am capable of being given knowledge from Szilard.
context: Once strong men are made to drink it, those of us\who drank the finished product are able to devour them arbitrarily.\We are able to gain their knowledge and skills without any trouble on our part.\It's a swift and sure method, don't you think?\A man-made person? You?\Yes, and the one who made me is Szilard, there.\As a specialized, independent colony,\I am capable of being given knowledge from Szilard. response:	In turn, Szilard is able to separate the female cellular components
context: who drank the finished product are able to devour them arbitrarily.\We are able to gain their knowledge and skills without any trouble on our part.\It's a swift and sure method, don't you think?\A man-made person? You?\Yes, and the one who made me is Szilard, there.\As a specialized, independent colony,\I am capable of being given knowledge from Szilard.\In turn, Szilard is able to separate the female cellular components response:	and Szilard's own immortal cellular components within my cells to...
context: We are able to gain their knowledge and skills without any trouble on our part.\It's a swift and sure method, don't you think?\A man-made person? You?\Yes, and the one who made me is Szilard, there.\As a specialized, independent colony,\I am capable of being given knowledge from Szilard.\In turn, Szilard is able to separate the female cellular components\and Szilard's own immortal cellular components within my cells to... response:	Wait, wait, wait!
context: It's a swift and sure method, don't you think?\A man-made person? You?\Yes, and the one who made me is Szilard, there.\As a specialized, independent colony,\I am capable of being given knowledge from Szilard.\In turn, Szilard is able to separate the female cellular components\and Szilard's own immortal cellular components within my cells to...\Wait, wait, wait! response:	I'm not that smart! Tell me using simple terms.
context: A man-made person? You?\Yes, and the one who made me is Szilard, there.\As a specialized, independent colony,\I am capable of being given knowledge from Szilard.\In turn, Szilard is able to separate the female cellular components\and Szilard's own immortal cellular components within my cells to...\Wait, wait, wait!\I'm not that smart! Tell me using simple terms. response:	What I'm saying is...
context: Yes, and the one who made me is Szilard, there.\As a specialized, independent colony,\I am capable of being given knowledge from Szilard.\In turn, Szilard is able to separate the female cellular components\and Szilard's own immortal cellular components within my cells to...\Wait, wait, wait!\I'm not that smart! Tell me using simple terms.\What I'm saying is... response:	To put it briefly, I am made to live by Szilard's will,
context: As a specialized, independent colony,\I am capable of being given knowledge from Szilard.\In turn, Szilard is able to separate the female cellular components\and Szilard's own immortal cellular components within my cells to...\Wait, wait, wait!\I'm not that smart! Tell me using simple terms.\What I'm saying is...\To put it briefly, I am made to live by Szilard's will, response:	and I can also be killed by it.
context: I am capable of being given knowledge from Szilard.\In turn, Szilard is able to separate the female cellular components\and Szilard's own immortal cellular components within my cells to...\Wait, wait, wait!\I'm not that smart! Tell me using simple terms.\What I'm saying is...\To put it briefly, I am made to live by Szilard's will,\and I can also be killed by it. response:	You're weak. You've wasted these 200 years, haven't you?
context: In turn, Szilard is able to separate the female cellular components\and Szilard's own immortal cellular components within my cells to...\Wait, wait, wait!\I'm not that smart! Tell me using simple terms.\What I'm saying is...\To put it briefly, I am made to live by Szilard's will,\and I can also be killed by it.\You're weak. You've wasted these 200 years, haven't you? response:	Let me show you the fruits of my 200 years.
context: and Szilard's own immortal cellular components within my cells to...\Wait, wait, wait!\I'm not that smart! Tell me using simple terms.\What I'm saying is...\To put it briefly, I am made to live by Szilard's will,\and I can also be killed by it.\You're weak. You've wasted these 200 years, haven't you?\Let me show you the fruits of my 200 years. response:	Disgraceful bunch. They got into it after all, did they?
context: Wait, wait, wait!\I'm not that smart! Tell me using simple terms.\What I'm saying is...\To put it briefly, I am made to live by Szilard's will,\and I can also be killed by it.\You're weak. You've wasted these 200 years, haven't you?\Let me show you the fruits of my 200 years.\Disgraceful bunch. They got into it after all, did they? response:	What are you talking about?
