context: Then can you and I... response:	grow up together?
context: My business here is done.\You want to go outside?\Hey, hey!\Did you shave him? Did you shave him?\Don't be such a wimp, Joji.\What?\Hello...\I'm coming in... response:	Haru, I'm heading out. I'll be back tonight. Find yourself something to eat for dinner.
context: You want to go outside?\Hey, hey!\Did you shave him? Did you shave him?\Don't be such a wimp, Joji.\What?\Hello...\I'm coming in...\Haru, I'm heading out. I'll be back tonight. Find yourself something to eat for dinner. response:	Natsume-san.
context: Hey, hey!\Did you shave him? Did you shave him?\Don't be such a wimp, Joji.\What?\Hello...\I'm coming in...\Haru, I'm heading out. I'll be back tonight. Find yourself something to eat for dinner.\Natsume-san. response:	Oh, Mitty. Why are you here?
context: Did you shave him? Did you shave him?\Don't be such a wimp, Joji.\What?\Hello...\I'm coming in...\Haru, I'm heading out. I'll be back tonight. Find yourself something to eat for dinner.\Natsume-san.\Oh, Mitty. Why are you here? response:	I was just dropping off Haru's phone, since he forgot it.
context: Don't be such a wimp, Joji.\What?\Hello...\I'm coming in...\Haru, I'm heading out. I'll be back tonight. Find yourself something to eat for dinner.\Natsume-san.\Oh, Mitty. Why are you here?\I was just dropping off Haru's phone, since he forgot it. response:	What about you?
context: What?\Hello...\I'm coming in...\Haru, I'm heading out. I'll be back tonight. Find yourself something to eat for dinner.\Natsume-san.\Oh, Mitty. Why are you here?\I was just dropping off Haru's phone, since he forgot it.\What about you? response:	I also ran into Haru-kun earlier...
context: Hello...\I'm coming in...\Haru, I'm heading out. I'll be back tonight. Find yourself something to eat for dinner.\Natsume-san.\Oh, Mitty. Why are you here?\I was just dropping off Haru's phone, since he forgot it.\What about you?\I also ran into Haru-kun earlier... response:	He seems to be looking for something.
context: I'm coming in...\Haru, I'm heading out. I'll be back tonight. Find yourself something to eat for dinner.\Natsume-san.\Oh, Mitty. Why are you here?\I was just dropping off Haru's phone, since he forgot it.\What about you?\I also ran into Haru-kun earlier...\He seems to be looking for something. response:	I was worried because Haru-kun was making
context: Haru, I'm heading out. I'll be back tonight. Find yourself something to eat for dinner.\Natsume-san.\Oh, Mitty. Why are you here?\I was just dropping off Haru's phone, since he forgot it.\What about you?\I also ran into Haru-kun earlier...\He seems to be looking for something.\I was worried because Haru-kun was making response:	even less sense than usual.
context: Natsume-san.\Oh, Mitty. Why are you here?\I was just dropping off Haru's phone, since he forgot it.\What about you?\I also ran into Haru-kun earlier...\He seems to be looking for something.\I was worried because Haru-kun was making\even less sense than usual. response:	Where's Mi-chan-san?
context: Oh, Mitty. Why are you here?\I was just dropping off Haru's phone, since he forgot it.\What about you?\I also ran into Haru-kun earlier...\He seems to be looking for something.\I was worried because Haru-kun was making\even less sense than usual.\Where's Mi-chan-san? response:	I-It looks like he went out.
context: I was just dropping off Haru's phone, since he forgot it.\What about you?\I also ran into Haru-kun earlier...\He seems to be looking for something.\I was worried because Haru-kun was making\even less sense than usual.\Where's Mi-chan-san?\I-It looks like he went out. response:	Oh.
context: What about you?\I also ran into Haru-kun earlier...\He seems to be looking for something.\I was worried because Haru-kun was making\even less sense than usual.\Where's Mi-chan-san?\I-It looks like he went out.\Oh. response:	But the door was unlocked?
context: I also ran into Haru-kun earlier...\He seems to be looking for something.\I was worried because Haru-kun was making\even less sense than usual.\Where's Mi-chan-san?\I-It looks like he went out.\Oh.\But the door was unlocked? response:	Yes.
context: He seems to be looking for something.\I was worried because Haru-kun was making\even less sense than usual.\Where's Mi-chan-san?\I-It looks like he went out.\Oh.\But the door was unlocked?\Yes. response:	Talk about careless...
context: I was worried because Haru-kun was making\even less sense than usual.\Where's Mi-chan-san?\I-It looks like he went out.\Oh.\But the door was unlocked?\Yes.\Talk about careless... response:	Are you going to wait around?
context: even less sense than usual.\Where's Mi-chan-san?\I-It looks like he went out.\Oh.\But the door was unlocked?\Yes.\Talk about careless...\Are you going to wait around? response:	Huh?
context: Where's Mi-chan-san?\I-It looks like he went out.\Oh.\But the door was unlocked?\Yes.\Talk about careless...\Are you going to wait around?\Huh? response:	Oh, I guess...
context: I-It looks like he went out.\Oh.\But the door was unlocked?\Yes.\Talk about careless...\Are you going to wait around?\Huh?\Oh, I guess... response:	I don't have anything else I need to do.
context: Oh.\But the door was unlocked?\Yes.\Talk about careless...\Are you going to wait around?\Huh?\Oh, I guess...\I don't have anything else I need to do. response:	In that case, can you give this to Haru when he comes back?
context: But the door was unlocked?\Yes.\Talk about careless...\Are you going to wait around?\Huh?\Oh, I guess...\I don't have anything else I need to do.\In that case, can you give this to Haru when he comes back? response:	What? You're leaving already?
context: Yes.\Talk about careless...\Are you going to wait around?\Huh?\Oh, I guess...\I don't have anything else I need to do.\In that case, can you give this to Haru when he comes back?\What? You're leaving already? response:	I was in the middle of studying.
context: Talk about careless...\Are you going to wait around?\Huh?\Oh, I guess...\I don't have anything else I need to do.\In that case, can you give this to Haru when he comes back?\What? You're leaving already?\I was in the middle of studying. response:	I want to finish this problem set today.
context: Are you going to wait around?\Huh?\Oh, I guess...\I don't have anything else I need to do.\In that case, can you give this to Haru when he comes back?\What? You're leaving already?\I was in the middle of studying.\I want to finish this problem set today. response:	We're on break right now.
context: Huh?\Oh, I guess...\I don't have anything else I need to do.\In that case, can you give this to Haru when he comes back?\What? You're leaving already?\I was in the middle of studying.\I want to finish this problem set today.\We're on break right now. response:	You should give it to him yourself.
context: Oh, I guess...\I don't have anything else I need to do.\In that case, can you give this to Haru when he comes back?\What? You're leaving already?\I was in the middle of studying.\I want to finish this problem set today.\We're on break right now.\You should give it to him yourself. response:	I don't know when he'll be back, so I'd be wasting my time.
context: I don't have anything else I need to do.\In that case, can you give this to Haru when he comes back?\What? You're leaving already?\I was in the middle of studying.\I want to finish this problem set today.\We're on break right now.\You should give it to him yourself.\I don't know when he'll be back, so I'd be wasting my time. response:	Right, and I'm a loser with nothing else to do.
context: In that case, can you give this to Haru when he comes back?\What? You're leaving already?\I was in the middle of studying.\I want to finish this problem set today.\We're on break right now.\You should give it to him yourself.\I don't know when he'll be back, so I'd be wasting my time.\Right, and I'm a loser with nothing else to do. response:	I can take it then.
context: What? You're leaving already?\I was in the middle of studying.\I want to finish this problem set today.\We're on break right now.\You should give it to him yourself.\I don't know when he'll be back, so I'd be wasting my time.\Right, and I'm a loser with nothing else to do.\I can take it then. response:	Bye.
context: I was in the middle of studying.\I want to finish this problem set today.\We're on break right now.\You should give it to him yourself.\I don't know when he'll be back, so I'd be wasting my time.\Right, and I'm a loser with nothing else to do.\I can take it then.\Bye. response:	See you later.
context: I want to finish this problem set today.\We're on break right now.\You should give it to him yourself.\I don't know when he'll be back, so I'd be wasting my time.\Right, and I'm a loser with nothing else to do.\I can take it then.\Bye.\See you later. response:	Is something wrong?
context: We're on break right now.\You should give it to him yourself.\I don't know when he'll be back, so I'd be wasting my time.\Right, and I'm a loser with nothing else to do.\I can take it then.\Bye.\See you later.\Is something wrong? response:	Did something happen?
context: You should give it to him yourself.\I don't know when he'll be back, so I'd be wasting my time.\Right, and I'm a loser with nothing else to do.\I can take it then.\Bye.\See you later.\Is something wrong?\Did something happen? response:	Huh? Wh-What?
context: I don't know when he'll be back, so I'd be wasting my time.\Right, and I'm a loser with nothing else to do.\I can take it then.\Bye.\See you later.\Is something wrong?\Did something happen?\Huh? Wh-What? response:	Um, why do you ask?
context: Right, and I'm a loser with nothing else to do.\I can take it then.\Bye.\See you later.\Is something wrong?\Did something happen?\Huh? Wh-What?\Um, why do you ask? response:	No reason.
context: I can take it then.\Bye.\See you later.\Is something wrong?\Did something happen?\Huh? Wh-What?\Um, why do you ask?\No reason. response:	If nothing happened, forget I said anything.
context: Bye.\See you later.\Is something wrong?\Did something happen?\Huh? Wh-What?\Um, why do you ask?\No reason.\If nothing happened, forget I said anything. response:	I-I don't think anything unusual happened.
context: See you later.\Is something wrong?\Did something happen?\Huh? Wh-What?\Um, why do you ask?\No reason.\If nothing happened, forget I said anything.\I-I don't think anything unusual happened. response:	I see.
context: Is something wrong?\Did something happen?\Huh? Wh-What?\Um, why do you ask?\No reason.\If nothing happened, forget I said anything.\I-I don't think anything unusual happened.\I see. response:	Does she have a fever?
context: Did something happen?\Huh? Wh-What?\Um, why do you ask?\No reason.\If nothing happened, forget I said anything.\I-I don't think anything unusual happened.\I see.\Does she have a fever? response:	Isn't it bad that Joji got appendicitis?
context: Huh? Wh-What?\Um, why do you ask?\No reason.\If nothing happened, forget I said anything.\I-I don't think anything unusual happened.\I see.\Does she have a fever?\Isn't it bad that Joji got appendicitis? response:	Why?
context: Um, why do you ask?\No reason.\If nothing happened, forget I said anything.\I-I don't think anything unusual happened.\I see.\Does she have a fever?\Isn't it bad that Joji got appendicitis?\Why? response:	We spend so much time with him.
context: No reason.\If nothing happened, forget I said anything.\I-I don't think anything unusual happened.\I see.\Does she have a fever?\Isn't it bad that Joji got appendicitis?\Why?\We spend so much time with him. response:	Ah!
context: If nothing happened, forget I said anything.\I-I don't think anything unusual happened.\I see.\Does she have a fever?\Isn't it bad that Joji got appendicitis?\Why?\We spend so much time with him.\Ah! response:	Actually, my stomach's starting to hurt!
context: I-I don't think anything unusual happened.\I see.\Does she have a fever?\Isn't it bad that Joji got appendicitis?\Why?\We spend so much time with him.\Ah!\Actually, my stomach's starting to hurt! response:	Seriously?!
context: I see.\Does she have a fever?\Isn't it bad that Joji got appendicitis?\Why?\We spend so much time with him.\Ah!\Actually, my stomach's starting to hurt!\Seriously?! response:	You guys are sorely mistaken.
context: Does she have a fever?\Isn't it bad that Joji got appendicitis?\Why?\We spend so much time with him.\Ah!\Actually, my stomach's starting to hurt!\Seriously?!\You guys are sorely mistaken. response:	Huh?
context: Isn't it bad that Joji got appendicitis?\Why?\We spend so much time with him.\Ah!\Actually, my stomach's starting to hurt!\Seriously?!\You guys are sorely mistaken.\Huh? response:	Dammit!
context: Why?\We spend so much time with him.\Ah!\Actually, my stomach's starting to hurt!\Seriously?!\You guys are sorely mistaken.\Huh?\Dammit! response:	Can't find him!
context: We spend so much time with him.\Ah!\Actually, my stomach's starting to hurt!\Seriously?!\You guys are sorely mistaken.\Huh?\Dammit!\Can't find him! response:	What are you doing, Haru?
context: Ah!\Actually, my stomach's starting to hurt!\Seriously?!\You guys are sorely mistaken.\Huh?\Dammit!\Can't find him!\What are you doing, Haru? response:	Oh, it's you guys!
context: Actually, my stomach's starting to hurt!\Seriously?!\You guys are sorely mistaken.\Huh?\Dammit!\Can't find him!\What are you doing, Haru?\Oh, it's you guys! response:	I just saw a wild boar, so be careful!
context: Seriously?!\You guys are sorely mistaken.\Huh?\Dammit!\Can't find him!\What are you doing, Haru?\Oh, it's you guys!\I just saw a wild boar, so be careful! response:	Bye!
context: You guys are sorely mistaken.\Huh?\Dammit!\Can't find him!\What are you doing, Haru?\Oh, it's you guys!\I just saw a wild boar, so be careful!\Bye! response:	Yeah, you be careful, too...
context: Huh?\Dammit!\Can't find him!\What are you doing, Haru?\Oh, it's you guys!\I just saw a wild boar, so be careful!\Bye!\Yeah, you be careful, too... response:	Seriously, what does she see in him?
context: Dammit!\Can't find him!\What are you doing, Haru?\Oh, it's you guys!\I just saw a wild boar, so be careful!\Bye!\Yeah, you be careful, too...\Seriously, what does she see in him? response:	Hello?
context: Can't find him!\What are you doing, Haru?\Oh, it's you guys!\I just saw a wild boar, so be careful!\Bye!\Yeah, you be careful, too...\Seriously, what does she see in him?\Hello? response:	Huh? Natsume-san?
context: What are you doing, Haru?\Oh, it's you guys!\I just saw a wild boar, so be careful!\Bye!\Yeah, you be careful, too...\Seriously, what does she see in him?\Hello?\Huh? Natsume-san? response:	Why?
context: Oh, it's you guys!\I just saw a wild boar, so be careful!\Bye!\Yeah, you be careful, too...\Seriously, what does she see in him?\Hello?\Huh? Natsume-san?\Why? response:	Mitty came by to give Haru-kun his phone,
context: I just saw a wild boar, so be careful!\Bye!\Yeah, you be careful, too...\Seriously, what does she see in him?\Hello?\Huh? Natsume-san?\Why?\Mitty came by to give Haru-kun his phone, response:	but she left it with me and went home.
context: Bye!\Yeah, you be careful, too...\Seriously, what does she see in him?\Hello?\Huh? Natsume-san?\Why?\Mitty came by to give Haru-kun his phone,\but she left it with me and went home. response:	Huh? What do you mean?
context: Yeah, you be careful, too...\Seriously, what does she see in him?\Hello?\Huh? Natsume-san?\Why?\Mitty came by to give Haru-kun his phone,\but she left it with me and went home.\Huh? What do you mean? response:	I don't understand what's going...
context: Seriously, what does she see in him?\Hello?\Huh? Natsume-san?\Why?\Mitty came by to give Haru-kun his phone,\but she left it with me and went home.\Huh? What do you mean?\I don't understand what's going... response:	Ah.
context: Hello?\Huh? Natsume-san?\Why?\Mitty came by to give Haru-kun his phone,\but she left it with me and went home.\Huh? What do you mean?\I don't understand what's going...\Ah. response:	So you're here, too.
context: Huh? Natsume-san?\Why?\Mitty came by to give Haru-kun his phone,\but she left it with me and went home.\Huh? What do you mean?\I don't understand what's going...\Ah.\So you're here, too. response:	Too? Did you come here because...
context: Why?\Mitty came by to give Haru-kun his phone,\but she left it with me and went home.\Huh? What do you mean?\I don't understand what's going...\Ah.\So you're here, too.\Too? Did you come here because... response:	Yep, Yoshida dropped by during practice.
context: Mitty came by to give Haru-kun his phone,\but she left it with me and went home.\Huh? What do you mean?\I don't understand what's going...\Ah.\So you're here, too.\Too? Did you come here because...\Yep, Yoshida dropped by during practice. response:	He seemed pretty upset.
context: but she left it with me and went home.\Huh? What do you mean?\I don't understand what's going...\Ah.\So you're here, too.\Too? Did you come here because...\Yep, Yoshida dropped by during practice.\He seemed pretty upset. response:	H-Hello...
context: Huh? What do you mean?\I don't understand what's going...\Ah.\So you're here, too.\Too? Did you come here because...\Yep, Yoshida dropped by during practice.\He seemed pretty upset.\H-Hello... response:	H-Hi...
context: I don't understand what's going...\Ah.\So you're here, too.\Too? Did you come here because...\Yep, Yoshida dropped by during practice.\He seemed pretty upset.\H-Hello...\H-Hi... response:	So Yoshida also came to see you.
context: Ah.\So you're here, too.\Too? Did you come here because...\Yep, Yoshida dropped by during practice.\He seemed pretty upset.\H-Hello...\H-Hi...\So Yoshida also came to see you. response:	I wonder what's up.
context: So you're here, too.\Too? Did you come here because...\Yep, Yoshida dropped by during practice.\He seemed pretty upset.\H-Hello...\H-Hi...\So Yoshida also came to see you.\I wonder what's up. response:	He seemed to be looking for something.
context: Too? Did you come here because...\Yep, Yoshida dropped by during practice.\He seemed pretty upset.\H-Hello...\H-Hi...\So Yoshida also came to see you.\I wonder what's up.\He seemed to be looking for something. response:	I thought he was only interested in Mitty.
context: Yep, Yoshida dropped by during practice.\He seemed pretty upset.\H-Hello...\H-Hi...\So Yoshida also came to see you.\I wonder what's up.\He seemed to be looking for something.\I thought he was only interested in Mitty. response:	Mitty went home because she wanted to study.
context: He seemed pretty upset.\H-Hello...\H-Hi...\So Yoshida also came to see you.\I wonder what's up.\He seemed to be looking for something.\I thought he was only interested in Mitty.\Mitty went home because she wanted to study. response:	Hey, can we buy juice here?
context: H-Hello...\H-Hi...\So Yoshida also came to see you.\I wonder what's up.\He seemed to be looking for something.\I thought he was only interested in Mitty.\Mitty went home because she wanted to study.\Hey, can we buy juice here? response:	You can probably use the vending machine.
context: H-Hi...\So Yoshida also came to see you.\I wonder what's up.\He seemed to be looking for something.\I thought he was only interested in Mitty.\Mitty went home because she wanted to study.\Hey, can we buy juice here?\You can probably use the vending machine. response:	Can we play a few rounds?
context: So Yoshida also came to see you.\I wonder what's up.\He seemed to be looking for something.\I thought he was only interested in Mitty.\Mitty went home because she wanted to study.\Hey, can we buy juice here?\You can probably use the vending machine.\Can we play a few rounds? response:	What?
context: I wonder what's up.\He seemed to be looking for something.\I thought he was only interested in Mitty.\Mitty went home because she wanted to study.\Hey, can we buy juice here?\You can probably use the vending machine.\Can we play a few rounds?\What? response:	I'm pretty sure we shouldn't turn anything on.
context: He seemed to be looking for something.\I thought he was only interested in Mitty.\Mitty went home because she wanted to study.\Hey, can we buy juice here?\You can probably use the vending machine.\Can we play a few rounds?\What?\I'm pretty sure we shouldn't turn anything on. response:	Do you even know where the switch is?
context: I thought he was only interested in Mitty.\Mitty went home because she wanted to study.\Hey, can we buy juice here?\You can probably use the vending machine.\Can we play a few rounds?\What?\I'm pretty sure we shouldn't turn anything on.\Do you even know where the switch is? response:	I found a rooster. Yuu
context: Mitty went home because she wanted to study.\Hey, can we buy juice here?\You can probably use the vending machine.\Can we play a few rounds?\What?\I'm pretty sure we shouldn't turn anything on.\Do you even know where the switch is?\I found a rooster. Yuu response:	Oh, hello? Yuu-chan?
context: Hey, can we buy juice here?\You can probably use the vending machine.\Can we play a few rounds?\What?\I'm pretty sure we shouldn't turn anything on.\Do you even know where the switch is?\I found a rooster. Yuu\Oh, hello? Yuu-chan? response:	About that rooster...
context: You can probably use the vending machine.\Can we play a few rounds?\What?\I'm pretty sure we shouldn't turn anything on.\Do you even know where the switch is?\I found a rooster. Yuu\Oh, hello? Yuu-chan?\About that rooster... response:	Oh, really...
context: Can we play a few rounds?\What?\I'm pretty sure we shouldn't turn anything on.\Do you even know where the switch is?\I found a rooster. Yuu\Oh, hello? Yuu-chan?\About that rooster...\Oh, really... response:	Does this rooster have a name?
context: What?\I'm pretty sure we shouldn't turn anything on.\Do you even know where the switch is?\I found a rooster. Yuu\Oh, hello? Yuu-chan?\About that rooster...\Oh, really...\Does this rooster have a name? response:	What? Nagoya?
context: I'm pretty sure we shouldn't turn anything on.\Do you even know where the switch is?\I found a rooster. Yuu\Oh, hello? Yuu-chan?\About that rooster...\Oh, really...\Does this rooster have a name?\What? Nagoya? response:	That's a funny name.
context: Do you even know where the switch is?\I found a rooster. Yuu\Oh, hello? Yuu-chan?\About that rooster...\Oh, really...\Does this rooster have a name?\What? Nagoya?\That's a funny name. response:	He enjoys being with me.
context: I found a rooster. Yuu\Oh, hello? Yuu-chan?\About that rooster...\Oh, really...\Does this rooster have a name?\What? Nagoya?\That's a funny name.\He enjoys being with me. response:	I failed...
context: Oh, hello? Yuu-chan?\About that rooster...\Oh, really...\Does this rooster have a name?\What? Nagoya?\That's a funny name.\He enjoys being with me.\I failed... response:	Er, sorry.
context: About that rooster...\Oh, really...\Does this rooster have a name?\What? Nagoya?\That's a funny name.\He enjoys being with me.\I failed...\Er, sorry. response:	I think I'm lost, again.
context: Oh, really...\Does this rooster have a name?\What? Nagoya?\That's a funny name.\He enjoys being with me.\I failed...\Er, sorry.\I think I'm lost, again. response:	The railroad crossing, right?
context: Does this rooster have a name?\What? Nagoya?\That's a funny name.\He enjoys being with me.\I failed...\Er, sorry.\I think I'm lost, again.\The railroad crossing, right? response:	I'm supposed to turn left after passing the railroad crossing, right?
context: What? Nagoya?\That's a funny name.\He enjoys being with me.\I failed...\Er, sorry.\I think I'm lost, again.\The railroad crossing, right?\I'm supposed to turn left after passing the railroad crossing, right? response:	Huh?
context: That's a funny name.\He enjoys being with me.\I failed...\Er, sorry.\I think I'm lost, again.\The railroad crossing, right?\I'm supposed to turn left after passing the railroad crossing, right?\Huh? response:	Oh.
context: He enjoys being with me.\I failed...\Er, sorry.\I think I'm lost, again.\The railroad crossing, right?\I'm supposed to turn left after passing the railroad crossing, right?\Huh?\Oh. response:	Good evening, Yuu-chan-san.
context: I failed...\Er, sorry.\I think I'm lost, again.\The railroad crossing, right?\I'm supposed to turn left after passing the railroad crossing, right?\Huh?\Oh.\Good evening, Yuu-chan-san. response:	See ya, Sasayan.
context: Er, sorry.\I think I'm lost, again.\The railroad crossing, right?\I'm supposed to turn left after passing the railroad crossing, right?\Huh?\Oh.\Good evening, Yuu-chan-san.\See ya, Sasayan. response:	We're heading home.
context: I think I'm lost, again.\The railroad crossing, right?\I'm supposed to turn left after passing the railroad crossing, right?\Huh?\Oh.\Good evening, Yuu-chan-san.\See ya, Sasayan.\We're heading home. response:	Yeah, see ya.
context: The railroad crossing, right?\I'm supposed to turn left after passing the railroad crossing, right?\Huh?\Oh.\Good evening, Yuu-chan-san.\See ya, Sasayan.\We're heading home.\Yeah, see ya. response:	We'll wait for Yoshida a little longer.
context: I'm supposed to turn left after passing the railroad crossing, right?\Huh?\Oh.\Good evening, Yuu-chan-san.\See ya, Sasayan.\We're heading home.\Yeah, see ya.\We'll wait for Yoshida a little longer. response:	Yeah, he never came back.
context: Huh?\Oh.\Good evening, Yuu-chan-san.\See ya, Sasayan.\We're heading home.\Yeah, see ya.\We'll wait for Yoshida a little longer.\Yeah, he never came back. response:	That blind date this morning was...
context: Oh.\Good evening, Yuu-chan-san.\See ya, Sasayan.\We're heading home.\Yeah, see ya.\We'll wait for Yoshida a little longer.\Yeah, he never came back.\That blind date this morning was... response:	That hurt!
context: Good evening, Yuu-chan-san.\See ya, Sasayan.\We're heading home.\Yeah, see ya.\We'll wait for Yoshida a little longer.\Yeah, he never came back.\That blind date this morning was...\That hurt! response:	S-Sorry!
context: See ya, Sasayan.\We're heading home.\Yeah, see ya.\We'll wait for Yoshida a little longer.\Yeah, he never came back.\That blind date this morning was...\That hurt!\S-Sorry! response:	Oh, the place is closed.
context: We're heading home.\Yeah, see ya.\We'll wait for Yoshida a little longer.\Yeah, he never came back.\That blind date this morning was...\That hurt!\S-Sorry!\Oh, the place is closed. response:	Hold on. What are you guys doing?
context: Yeah, see ya.\We'll wait for Yoshida a little longer.\Yeah, he never came back.\That blind date this morning was...\That hurt!\S-Sorry!\Oh, the place is closed.\Hold on. What are you guys doing? response:	Oh, hey. It's Sasayan.
context: We'll wait for Yoshida a little longer.\Yeah, he never came back.\That blind date this morning was...\That hurt!\S-Sorry!\Oh, the place is closed.\Hold on. What are you guys doing?\Oh, hey. It's Sasayan. response:	Which means...
context: Yeah, he never came back.\That blind date this morning was...\That hurt!\S-Sorry!\Oh, the place is closed.\Hold on. What are you guys doing?\Oh, hey. It's Sasayan.\Which means... response:	Bingo! Natsume-chan!
context: That blind date this morning was...\That hurt!\S-Sorry!\Oh, the place is closed.\Hold on. What are you guys doing?\Oh, hey. It's Sasayan.\Which means...\Bingo! Natsume-chan! response:	Wh-Why are you here?!
context: That hurt!\S-Sorry!\Oh, the place is closed.\Hold on. What are you guys doing?\Oh, hey. It's Sasayan.\Which means...\Bingo! Natsume-chan!\Wh-Why are you here?! response:	Why are we here?
context: S-Sorry!\Oh, the place is closed.\Hold on. What are you guys doing?\Oh, hey. It's Sasayan.\Which means...\Bingo! Natsume-chan!\Wh-Why are you here?!\Why are we here? response:	That idiot Haru dropped these,
context: Oh, the place is closed.\Hold on. What are you guys doing?\Oh, hey. It's Sasayan.\Which means...\Bingo! Natsume-chan!\Wh-Why are you here?!\Why are we here?\That idiot Haru dropped these, response:	so we came to drop them off.
context: Hold on. What are you guys doing?\Oh, hey. It's Sasayan.\Which means...\Bingo! Natsume-chan!\Wh-Why are you here?!\Why are we here?\That idiot Haru dropped these,\so we came to drop them off. response:	In other words, Yoshida is still running around looking for Nagoya.
context: Oh, hey. It's Sasayan.\Which means...\Bingo! Natsume-chan!\Wh-Why are you here?!\Why are we here?\That idiot Haru dropped these,\so we came to drop them off.\In other words, Yoshida is still running around looking for Nagoya. response:	How did Haru look?
context: Which means...\Bingo! Natsume-chan!\Wh-Why are you here?!\Why are we here?\That idiot Haru dropped these,\so we came to drop them off.\In other words, Yoshida is still running around looking for Nagoya.\How did Haru look? response:	He was all wet and dirty.
context: Bingo! Natsume-chan!\Wh-Why are you here?!\Why are we here?\That idiot Haru dropped these,\so we came to drop them off.\In other words, Yoshida is still running around looking for Nagoya.\How did Haru look?\He was all wet and dirty. response:	You couldn't tell that he was looking for a rooster.
context: Wh-Why are you here?!\Why are we here?\That idiot Haru dropped these,\so we came to drop them off.\In other words, Yoshida is still running around looking for Nagoya.\How did Haru look?\He was all wet and dirty.\You couldn't tell that he was looking for a rooster. response:	Where is Haru-kun right now?
context: Why are we here?\That idiot Haru dropped these,\so we came to drop them off.\In other words, Yoshida is still running around looking for Nagoya.\How did Haru look?\He was all wet and dirty.\You couldn't tell that he was looking for a rooster.\Where is Haru-kun right now? response:	He's probably gone somewhere beyond human comprehension.
context: That idiot Haru dropped these,\so we came to drop them off.\In other words, Yoshida is still running around looking for Nagoya.\How did Haru look?\He was all wet and dirty.\You couldn't tell that he was looking for a rooster.\Where is Haru-kun right now?\He's probably gone somewhere beyond human comprehension. response:	He went back into the wild.
context: so we came to drop them off.\In other words, Yoshida is still running around looking for Nagoya.\How did Haru look?\He was all wet and dirty.\You couldn't tell that he was looking for a rooster.\Where is Haru-kun right now?\He's probably gone somewhere beyond human comprehension.\He went back into the wild. response:	What do we do next?
context: In other words, Yoshida is still running around looking for Nagoya.\How did Haru look?\He was all wet and dirty.\You couldn't tell that he was looking for a rooster.\Where is Haru-kun right now?\He's probably gone somewhere beyond human comprehension.\He went back into the wild.\What do we do next? response:	We need to find Haru-kun and tell him that Nagoya's back.
context: How did Haru look?\He was all wet and dirty.\You couldn't tell that he was looking for a rooster.\Where is Haru-kun right now?\He's probably gone somewhere beyond human comprehension.\He went back into the wild.\What do we do next?\We need to find Haru-kun and tell him that Nagoya's back. response:	He's probably worried.
context: He was all wet and dirty.\You couldn't tell that he was looking for a rooster.\Where is Haru-kun right now?\He's probably gone somewhere beyond human comprehension.\He went back into the wild.\What do we do next?\We need to find Haru-kun and tell him that Nagoya's back.\He's probably worried. response:	But where do we look?
context: You couldn't tell that he was looking for a rooster.\Where is Haru-kun right now?\He's probably gone somewhere beyond human comprehension.\He went back into the wild.\What do we do next?\We need to find Haru-kun and tell him that Nagoya's back.\He's probably worried.\But where do we look? response:	Don't mind me. Please carry on.
context: Where is Haru-kun right now?\He's probably gone somewhere beyond human comprehension.\He went back into the wild.\What do we do next?\We need to find Haru-kun and tell him that Nagoya's back.\He's probably worried.\But where do we look?\Don't mind me. Please carry on. response:	He's probably down by the river.
context: He's probably gone somewhere beyond human comprehension.\He went back into the wild.\What do we do next?\We need to find Haru-kun and tell him that Nagoya's back.\He's probably worried.\But where do we look?\Don't mind me. Please carry on.\He's probably down by the river. response:	Huh?
context: He went back into the wild.\What do we do next?\We need to find Haru-kun and tell him that Nagoya's back.\He's probably worried.\But where do we look?\Don't mind me. Please carry on.\He's probably down by the river.\Huh? response:	He was wet and carrying a net...
context: What do we do next?\We need to find Haru-kun and tell him that Nagoya's back.\He's probably worried.\But where do we look?\Don't mind me. Please carry on.\He's probably down by the river.\Huh?\He was wet and carrying a net... response:	And when he dropped by,
context: We need to find Haru-kun and tell him that Nagoya's back.\He's probably worried.\But where do we look?\Don't mind me. Please carry on.\He's probably down by the river.\Huh?\He was wet and carrying a net...\And when he dropped by, response:	I could see grass on him that only grows by the river.
context: He's probably worried.\But where do we look?\Don't mind me. Please carry on.\He's probably down by the river.\Huh?\He was wet and carrying a net...\And when he dropped by,\I could see grass on him that only grows by the river. response:	Why would he be there?
context: But where do we look?\Don't mind me. Please carry on.\He's probably down by the river.\Huh?\He was wet and carrying a net...\And when he dropped by,\I could see grass on him that only grows by the river.\Why would he be there? response:	That I don't know.
context: Don't mind me. Please carry on.\He's probably down by the river.\Huh?\He was wet and carrying a net...\And when he dropped by,\I could see grass on him that only grows by the river.\Why would he be there?\That I don't know. response:	Well, good luck.
context: He's probably down by the river.\Huh?\He was wet and carrying a net...\And when he dropped by,\I could see grass on him that only grows by the river.\Why would he be there?\That I don't know.\Well, good luck. response:	Yamaken, you're leaving?
context: Huh?\He was wet and carrying a net...\And when he dropped by,\I could see grass on him that only grows by the river.\Why would he be there?\That I don't know.\Well, good luck.\Yamaken, you're leaving? response:	I'm not going to look for Haru.
context: He was wet and carrying a net...\And when he dropped by,\I could see grass on him that only grows by the river.\Why would he be there?\That I don't know.\Well, good luck.\Yamaken, you're leaving?\I'm not going to look for Haru. response:	Bye.
