context: OP response:	The player is not a soloist, but a member of an orchestra. When the player begins to think,'I'm special,' is finished.
context: Sorry.\Faster!\Nice serve!\Right!\Are you kidding? Your tosses are reckless.\What's the point if we can't spike them?\But we can't win if we don't get past their blocks.\Does it end here? response:	Is this where I lose?
context: Faster!\Nice serve!\Right!\Are you kidding? Your tosses are reckless.\What's the point if we can't spike them?\But we can't win if we don't get past their blocks.\Does it end here?\Is this where I lose? response:	No! I'm going to nationals.
context: Nice serve!\Right!\Are you kidding? Your tosses are reckless.\What's the point if we can't spike them?\But we can't win if we don't get past their blocks.\Does it end here?\Is this where I lose?\No! I'm going to nationals. response:	Move faster! Jump higher!
context: Right!\Are you kidding? Your tosses are reckless.\What's the point if we can't spike them?\But we can't win if we don't get past their blocks.\Does it end here?\Is this where I lose?\No! I'm going to nationals.\Move faster! Jump higher! response:	Match my tosses, if you want to win!
context: Are you kidding? Your tosses are reckless.\What's the point if we can't spike them?\But we can't win if we don't get past their blocks.\Does it end here?\Is this where I lose?\No! I'm going to nationals.\Move faster! Jump higher!\Match my tosses, if you want to win! response:	And then, the first set.
context: What's the point if we can't spike them?\But we can't win if we don't get past their blocks.\Does it end here?\Is this where I lose?\No! I'm going to nationals.\Move faster! Jump higher!\Match my tosses, if you want to win!\And then, the first set. response:	At the opponent's set point.
context: But we can't win if we don't get past their blocks.\Does it end here?\Is this where I lose?\No! I'm going to nationals.\Move faster! Jump higher!\Match my tosses, if you want to win!\And then, the first set.\At the opponent's set point. response:	Where I tossed...
context: Does it end here?\Is this where I lose?\No! I'm going to nationals.\Move faster! Jump higher!\Match my tosses, if you want to win!\And then, the first set.\At the opponent's set point.\Where I tossed... response:	there was no one there.
context: Is this where I lose?\No! I'm going to nationals.\Move faster! Jump higher!\Match my tosses, if you want to win!\And then, the first set.\At the opponent's set point.\Where I tossed...\there was no one there. response:	We had a few mistakes that day,
context: No! I'm going to nationals.\Move faster! Jump higher!\Match my tosses, if you want to win!\And then, the first set.\At the opponent's set point.\Where I tossed...\there was no one there.\We had a few mistakes that day, response:	but that last one was no mistake.
context: Move faster! Jump higher!\Match my tosses, if you want to win!\And then, the first set.\At the opponent's set point.\Where I tossed...\there was no one there.\We had a few mistakes that day,\but that last one was no mistake. response:	It was rejection.
context: Match my tosses, if you want to win!\And then, the first set.\At the opponent's set point.\Where I tossed...\there was no one there.\We had a few mistakes that day,\but that last one was no mistake.\It was rejection. response:	It was the point where they said,
context: And then, the first set.\At the opponent's set point.\Where I tossed...\there was no one there.\We had a few mistakes that day,\but that last one was no mistake.\It was rejection.\It was the point where they said, response:	We're not following you any more.
context: At the opponent's set point.\Where I tossed...\there was no one there.\We had a few mistakes that day,\but that last one was no mistake.\It was rejection.\It was the point where they said,\We're not following you any more. response:	Kageyama.
context: Where I tossed...\there was no one there.\We had a few mistakes that day,\but that last one was no mistake.\It was rejection.\It was the point where they said,\We're not following you any more.\Kageyama. response:	Go sit on the bench.
context: there was no one there.\We had a few mistakes that day,\but that last one was no mistake.\It was rejection.\It was the point where they said,\We're not following you any more.\Kageyama.\Go sit on the bench. response:	He doesn't set up quick hits.
context: We had a few mistakes that day,\but that last one was no mistake.\It was rejection.\It was the point where they said,\We're not following you any more.\Kageyama.\Go sit on the bench.\He doesn't set up quick hits. response:	Is that because he's lost his nerve from that match?
context: but that last one was no mistake.\It was rejection.\It was the point where they said,\We're not following you any more.\Kageyama.\Go sit on the bench.\He doesn't set up quick hits.\Is that because he's lost his nerve from that match? response:	Dude. You've been yammering too much.
context: It was rejection.\It was the point where they said,\We're not following you any more.\Kageyama.\Go sit on the bench.\He doesn't set up quick hits.\Is that because he's lost his nerve from that match?\Dude. You've been yammering too much. response:	Tanaka.
context: It was the point where they said,\We're not following you any more.\Kageyama.\Go sit on the bench.\He doesn't set up quick hits.\Is that because he's lost his nerve from that match?\Dude. You've been yammering too much.\Tanaka. response:	He made a toss, but no one jumped
context: We're not following you any more.\Kageyama.\Go sit on the bench.\He doesn't set up quick hits.\Is that because he's lost his nerve from that match?\Dude. You've been yammering too much.\Tanaka.\He made a toss, but no one jumped response:	You are right.
context: Kageyama.\Go sit on the bench.\He doesn't set up quick hits.\Is that because he's lost his nerve from that match?\Dude. You've been yammering too much.\Tanaka.\He made a toss, but no one jumped\You are right. response:	I made a toss, and no one was there.
context: Go sit on the bench.\He doesn't set up quick hits.\Is that because he's lost his nerve from that match?\Dude. You've been yammering too much.\Tanaka.\He made a toss, but no one jumped\You are right.\I made a toss, and no one was there. response:	It's truly frightening.
context: He doesn't set up quick hits.\Is that because he's lost his nerve from that match?\Dude. You've been yammering too much.\Tanaka.\He made a toss, but no one jumped\You are right.\I made a toss, and no one was there.\It's truly frightening. response:	But you were only in junior high, right?
context: Is that because he's lost his nerve from that match?\Dude. You've been yammering too much.\Tanaka.\He made a toss, but no one jumped\You are right.\I made a toss, and no one was there.\It's truly frightening.\But you were only in junior high, right? response:	You toss to me just fine.
context: Dude. You've been yammering too much.\Tanaka.\He made a toss, but no one jumped\You are right.\I made a toss, and no one was there.\It's truly frightening.\But you were only in junior high, right?\You toss to me just fine. response:	It makes no difference to me.
context: Tanaka.\He made a toss, but no one jumped\You are right.\I made a toss, and no one was there.\It's truly frightening.\But you were only in junior high, right?\You toss to me just fine.\It makes no difference to me. response:	The real problem for me is how I'm going to get past you.
context: He made a toss, but no one jumped\You are right.\I made a toss, and no one was there.\It's truly frightening.\But you were only in junior high, right?\You toss to me just fine.\It makes no difference to me.\The real problem for me is how I'm going to get past you. response:	We'll win against Tsukishima, become official club members,
context: You are right.\I made a toss, and no one was there.\It's truly frightening.\But you were only in junior high, right?\You toss to me just fine.\It makes no difference to me.\The real problem for me is how I'm going to get past you.\We'll win against Tsukishima, become official club members, response:	and you will bravely play setter.
context: I made a toss, and no one was there.\It's truly frightening.\But you were only in junior high, right?\You toss to me just fine.\It makes no difference to me.\The real problem for me is how I'm going to get past you.\We'll win against Tsukishima, become official club members,\and you will bravely play setter. response:	And you'll toss to me.
context: It's truly frightening.\But you were only in junior high, right?\You toss to me just fine.\It makes no difference to me.\The real problem for me is how I'm going to get past you.\We'll win against Tsukishima, become official club members,\and you will bravely play setter.\And you'll toss to me. response:	What else is there?
context: But you were only in junior high, right?\You toss to me just fine.\It makes no difference to me.\The real problem for me is how I'm going to get past you.\We'll win against Tsukishima, become official club members,\and you will bravely play setter.\And you'll toss to me.\What else is there? response:	How pure and straightforward... and irritating.
context: You toss to me just fine.\It makes no difference to me.\The real problem for me is how I'm going to get past you.\We'll win against Tsukishima, become official club members,\and you will bravely play setter.\And you'll toss to me.\What else is there?\How pure and straightforward... and irritating. response:	You can't make up for height by psyching yourself up.
context: It makes no difference to me.\The real problem for me is how I'm going to get past you.\We'll win against Tsukishima, become official club members,\and you will bravely play setter.\And you'll toss to me.\What else is there?\How pure and straightforward... and irritating.\You can't make up for height by psyching yourself up. response:	If you believe effort alone will win out...
context: The real problem for me is how I'm going to get past you.\We'll win against Tsukishima, become official club members,\and you will bravely play setter.\And you'll toss to me.\What else is there?\How pure and straightforward... and irritating.\You can't make up for height by psyching yourself up.\If you believe effort alone will win out... response:	You're dead wrong.
context: We'll win against Tsukishima, become official club members,\and you will bravely play setter.\And you'll toss to me.\What else is there?\How pure and straightforward... and irritating.\You can't make up for height by psyching yourself up.\If you believe effort alone will win out...\You're dead wrong. response:	I got it.
context: and you will bravely play setter.\And you'll toss to me.\What else is there?\How pure and straightforward... and irritating.\You can't make up for height by psyching yourself up.\If you believe effort alone will win out...\You're dead wrong.\I got it. response:	Tanaka-san.
context: And you'll toss to me.\What else is there?\How pure and straightforward... and irritating.\You can't make up for height by psyching yourself up.\If you believe effort alone will win out...\You're dead wrong.\I got it.\Tanaka-san. response:	Toss it to me!
context: What else is there?\How pure and straightforward... and irritating.\You can't make up for height by psyching yourself up.\If you believe effort alone will win out...\You're dead wrong.\I got it.\Tanaka-san.\Toss it to me! response:	Who do I toss to?
context: How pure and straightforward... and irritating.\You can't make up for height by psyching yourself up.\If you believe effort alone will win out...\You're dead wrong.\I got it.\Tanaka-san.\Toss it to me!\Who do I toss to? response:	Hinata can't beat Tsukishima one-on-one...
context: You can't make up for height by psyching yourself up.\If you believe effort alone will win out...\You're dead wrong.\I got it.\Tanaka-san.\Toss it to me!\Who do I toss to?\Hinata can't beat Tsukishima one-on-one... response:	Tanaka-san.
context: If you believe effort alone will win out...\You're dead wrong.\I got it.\Tanaka-san.\Toss it to me!\Who do I toss to?\Hinata can't beat Tsukishima one-on-one...\Tanaka-san. response:	Kageyama!
context: You're dead wrong.\I got it.\Tanaka-san.\Toss it to me!\Who do I toss to?\Hinata can't beat Tsukishima one-on-one...\Tanaka-san.\Kageyama! response:	There was...
context: I got it.\Tanaka-san.\Toss it to me!\Who do I toss to?\Hinata can't beat Tsukishima one-on-one...\Tanaka-san.\Kageyama!\There was... response:	no one there...
context: Tanaka-san.\Toss it to me!\Who do I toss to?\Hinata can't beat Tsukishima one-on-one...\Tanaka-san.\Kageyama!\There was...\no one there... response:	I'm here.
context: Toss it to me!\Who do I toss to?\Hinata can't beat Tsukishima one-on-one...\Tanaka-san.\Kageyama!\There was...\no one there...\I'm here. response:	That was close. I almost missed it.
context: Who do I toss to?\Hinata can't beat Tsukishima one-on-one...\Tanaka-san.\Kageyama!\There was...\no one there...\I'm here.\That was close. I almost missed it. response:	It's out, though.
context: Hinata can't beat Tsukishima one-on-one...\Tanaka-san.\Kageyama!\There was...\no one there...\I'm here.\That was close. I almost missed it.\It's out, though. response:	What was that for?
context: Tanaka-san.\Kageyama!\There was...\no one there...\I'm here.\That was close. I almost missed it.\It's out, though.\What was that for? response:	But the ball came to me.
context: Kageyama!\There was...\no one there...\I'm here.\That was close. I almost missed it.\It's out, though.\What was that for?\But the ball came to me. response:	Forget about junior high.
context: There was...\no one there...\I'm here.\That was close. I almost missed it.\It's out, though.\What was that for?\But the ball came to me.\Forget about junior high. response:	I'll take any toss I can get. Gratefully.
context: no one there...\I'm here.\That was close. I almost missed it.\It's out, though.\What was that for?\But the ball came to me.\Forget about junior high.\I'll take any toss I can get. Gratefully. response:	I'll jump anywhere.
context: I'm here.\That was close. I almost missed it.\It's out, though.\What was that for?\But the ball came to me.\Forget about junior high.\I'll take any toss I can get. Gratefully.\I'll jump anywhere. response:	I'll hit any ball.
context: That was close. I almost missed it.\It's out, though.\What was that for?\But the ball came to me.\Forget about junior high.\I'll take any toss I can get. Gratefully.\I'll jump anywhere.\I'll hit any ball. response:	So...
context: It's out, though.\What was that for?\But the ball came to me.\Forget about junior high.\I'll take any toss I can get. Gratefully.\I'll jump anywhere.\I'll hit any ball.\So... response:	Toss it to me!
context: What was that for?\But the ball came to me.\Forget about junior high.\I'll take any toss I can get. Gratefully.\I'll jump anywhere.\I'll hit any ball.\So...\Toss it to me! response:	I was sure Kageyama was going to toss to Tanaka,
context: But the ball came to me.\Forget about junior high.\I'll take any toss I can get. Gratefully.\I'll jump anywhere.\I'll hit any ball.\So...\Toss it to me!\I was sure Kageyama was going to toss to Tanaka, response:	but he instinctively responded to Hinata's voice and motion instead.
context: Forget about junior high.\I'll take any toss I can get. Gratefully.\I'll jump anywhere.\I'll hit any ball.\So...\Toss it to me!\I was sure Kageyama was going to toss to Tanaka,\but he instinctively responded to Hinata's voice and motion instead. response:	And made a perfectly accurate toss.
context: I'll take any toss I can get. Gratefully.\I'll jump anywhere.\I'll hit any ball.\So...\Toss it to me!\I was sure Kageyama was going to toss to Tanaka,\but he instinctively responded to Hinata's voice and motion instead.\And made a perfectly accurate toss. response:	For now, only his bad attitude stands out,
context: I'll jump anywhere.\I'll hit any ball.\So...\Toss it to me!\I was sure Kageyama was going to toss to Tanaka,\but he instinctively responded to Hinata's voice and motion instead.\And made a perfectly accurate toss.\For now, only his bad attitude stands out, response:	but Kageyama is awesome, after all.
context: I'll hit any ball.\So...\Toss it to me!\I was sure Kageyama was going to toss to Tanaka,\but he instinctively responded to Hinata's voice and motion instead.\And made a perfectly accurate toss.\For now, only his bad attitude stands out,\but Kageyama is awesome, after all. response:	Hey guys, you know how to do quick hits?
context: So...\Toss it to me!\I was sure Kageyama was going to toss to Tanaka,\but he instinctively responded to Hinata's voice and motion instead.\And made a perfectly accurate toss.\For now, only his bad attitude stands out,\but Kageyama is awesome, after all.\Hey guys, you know how to do quick hits? response:	Quick hits?
context: Toss it to me!\I was sure Kageyama was going to toss to Tanaka,\but he instinctively responded to Hinata's voice and motion instead.\And made a perfectly accurate toss.\For now, only his bad attitude stands out,\but Kageyama is awesome, after all.\Hey guys, you know how to do quick hits?\Quick hits? response:	A fast attack like the one you just did.
context: I was sure Kageyama was going to toss to Tanaka,\but he instinctively responded to Hinata's voice and motion instead.\And made a perfectly accurate toss.\For now, only his bad attitude stands out,\but Kageyama is awesome, after all.\Hey guys, you know how to do quick hits?\Quick hits?\A fast attack like the one you just did. response:	Not at all.
context: but he instinctively responded to Hinata's voice and motion instead.\And made a perfectly accurate toss.\For now, only his bad attitude stands out,\but Kageyama is awesome, after all.\Hey guys, you know how to do quick hits?\Quick hits?\A fast attack like the one you just did.\Not at all. response:	All I've ever spiked are balls that get tossed high up.
context: And made a perfectly accurate toss.\For now, only his bad attitude stands out,\but Kageyama is awesome, after all.\Hey guys, you know how to do quick hits?\Quick hits?\A fast attack like the one you just did.\Not at all.\All I've ever spiked are balls that get tossed high up. response:	But you just did it.
context: For now, only his bad attitude stands out,\but Kageyama is awesome, after all.\Hey guys, you know how to do quick hits?\Quick hits?\A fast attack like the one you just did.\Not at all.\All I've ever spiked are balls that get tossed high up.\But you just did it. response:	And when you were in junior high, I saw you spike
context: but Kageyama is awesome, after all.\Hey guys, you know how to do quick hits?\Quick hits?\A fast attack like the one you just did.\Not at all.\All I've ever spiked are balls that get tossed high up.\But you just did it.\And when you were in junior high, I saw you spike response:	a missed toss by the beginner setter.
context: Hey guys, you know how to do quick hits?\Quick hits?\A fast attack like the one you just did.\Not at all.\All I've ever spiked are balls that get tossed high up.\But you just did it.\And when you were in junior high, I saw you spike\a missed toss by the beginner setter. response:	That's what I mean.
context: Quick hits?\A fast attack like the one you just did.\Not at all.\All I've ever spiked are balls that get tossed high up.\But you just did it.\And when you were in junior high, I saw you spike\a missed toss by the beginner setter.\That's what I mean. response:	Huh? But I don't remember how I did it.
context: A fast attack like the one you just did.\Not at all.\All I've ever spiked are balls that get tossed high up.\But you just did it.\And when you were in junior high, I saw you spike\a missed toss by the beginner setter.\That's what I mean.\Huh? But I don't remember how I did it. response:	But I'll spike any toss.
context: Not at all.\All I've ever spiked are balls that get tossed high up.\But you just did it.\And when you were in junior high, I saw you spike\a missed toss by the beginner setter.\That's what I mean.\Huh? But I don't remember how I did it.\But I'll spike any toss. response:	I'll spike it, understood?
context: All I've ever spiked are balls that get tossed high up.\But you just did it.\And when you were in junior high, I saw you spike\a missed toss by the beginner setter.\That's what I mean.\Huh? But I don't remember how I did it.\But I'll spike any toss.\I'll spike it, understood? response:	We've never gotten coordinated. A fast attack is impossible.
context: But you just did it.\And when you were in junior high, I saw you spike\a missed toss by the beginner setter.\That's what I mean.\Huh? But I don't remember how I did it.\But I'll spike any toss.\I'll spike it, understood?\We've never gotten coordinated. A fast attack is impossible. response:	Did he just say impossible?
context: And when you were in junior high, I saw you spike\a missed toss by the beginner setter.\That's what I mean.\Huh? But I don't remember how I did it.\But I'll spike any toss.\I'll spike it, understood?\We've never gotten coordinated. A fast attack is impossible.\Did he just say impossible? response:	Does this guy know the meaning of the word impossible?
context: a missed toss by the beginner setter.\That's what I mean.\Huh? But I don't remember how I did it.\But I'll spike any toss.\I'll spike it, understood?\We've never gotten coordinated. A fast attack is impossible.\Did he just say impossible?\Does this guy know the meaning of the word impossible? response:	There's something weird about you.
context: That's what I mean.\Huh? But I don't remember how I did it.\But I'll spike any toss.\I'll spike it, understood?\We've never gotten coordinated. A fast attack is impossible.\Did he just say impossible?\Does this guy know the meaning of the word impossible?\There's something weird about you. response:	Your weakness is giving me the creeps. Weird!
context: Huh? But I don't remember how I did it.\But I'll spike any toss.\I'll spike it, understood?\We've never gotten coordinated. A fast attack is impossible.\Did he just say impossible?\Does this guy know the meaning of the word impossible?\There's something weird about you.\Your weakness is giving me the creeps. Weird! response:	Shut up.
context: But I'll spike any toss.\I'll spike it, understood?\We've never gotten coordinated. A fast attack is impossible.\Did he just say impossible?\Does this guy know the meaning of the word impossible?\There's something weird about you.\Your weakness is giving me the creeps. Weird!\Shut up. response:	It's not like you, king.
context: I'll spike it, understood?\We've never gotten coordinated. A fast attack is impossible.\Did he just say impossible?\Does this guy know the meaning of the word impossible?\There's something weird about you.\Your weakness is giving me the creeps. Weird!\Shut up.\It's not like you, king. response:	I'll spike it past you. Wait and see!
context: We've never gotten coordinated. A fast attack is impossible.\Did he just say impossible?\Does this guy know the meaning of the word impossible?\There's something weird about you.\Your weakness is giving me the creeps. Weird!\Shut up.\It's not like you, king.\I'll spike it past you. Wait and see! response:	There you go again, all psyched up.
context: Did he just say impossible?\Does this guy know the meaning of the word impossible?\There's something weird about you.\Your weakness is giving me the creeps. Weird!\Shut up.\It's not like you, king.\I'll spike it past you. Wait and see!\There you go again, all psyched up. response:	Just getting psyched up isn't going to make things right.
context: Does this guy know the meaning of the word impossible?\There's something weird about you.\Your weakness is giving me the creeps. Weird!\Shut up.\It's not like you, king.\I'll spike it past you. Wait and see!\There you go again, all psyched up.\Just getting psyched up isn't going to make things right. response:	Some people aren't cut out for some things.
context: There's something weird about you.\Your weakness is giving me the creeps. Weird!\Shut up.\It's not like you, king.\I'll spike it past you. Wait and see!\There you go again, all psyched up.\Just getting psyched up isn't going to make things right.\Some people aren't cut out for some things. response:	Clearly, you're not cut out to be a spiker.
context: Your weakness is giving me the creeps. Weird!\Shut up.\It's not like you, king.\I'll spike it past you. Wait and see!\There you go again, all psyched up.\Just getting psyched up isn't going to make things right.\Some people aren't cut out for some things.\Clearly, you're not cut out to be a spiker. response:	That's true.
context: Shut up.\It's not like you, king.\I'll spike it past you. Wait and see!\There you go again, all psyched up.\Just getting psyched up isn't going to make things right.\Some people aren't cut out for some things.\Clearly, you're not cut out to be a spiker.\That's true. response:	Even when I was in junior high,
context: It's not like you, king.\I'll spike it past you. Wait and see!\There you go again, all psyched up.\Just getting psyched up isn't going to make things right.\Some people aren't cut out for some things.\Clearly, you're not cut out to be a spiker.\That's true.\Even when I was in junior high, response:	I would jump and jump, but I kept getting blocked.
context: I'll spike it past you. Wait and see!\There you go again, all psyched up.\Just getting psyched up isn't going to make things right.\Some people aren't cut out for some things.\Clearly, you're not cut out to be a spiker.\That's true.\Even when I was in junior high,\I would jump and jump, but I kept getting blocked. response:	Height is needed for volleyball.
context: There you go again, all psyched up.\Just getting psyched up isn't going to make things right.\Some people aren't cut out for some things.\Clearly, you're not cut out to be a spiker.\That's true.\Even when I was in junior high,\I would jump and jump, but I kept getting blocked.\Height is needed for volleyball. response:	No matter how high I jump,
context: Just getting psyched up isn't going to make things right.\Some people aren't cut out for some things.\Clearly, you're not cut out to be a spiker.\That's true.\Even when I was in junior high,\I would jump and jump, but I kept getting blocked.\Height is needed for volleyball.\No matter how high I jump, response:	I can't get past their overwhelming height.
context: Some people aren't cut out for some things.\Clearly, you're not cut out to be a spiker.\That's true.\Even when I was in junior high,\I would jump and jump, but I kept getting blocked.\Height is needed for volleyball.\No matter how high I jump,\I can't get past their overwhelming height. response:	But...
context: Clearly, you're not cut out to be a spiker.\That's true.\Even when I was in junior high,\I would jump and jump, but I kept getting blocked.\Height is needed for volleyball.\No matter how high I jump,\I can't get past their overwhelming height.\But... response:	I know I want to become like that.
context: That's true.\Even when I was in junior high,\I would jump and jump, but I kept getting blocked.\Height is needed for volleyball.\No matter how high I jump,\I can't get past their overwhelming height.\But...\I know I want to become like that. response:	So I don't care if I'm cut out for it or not.
context: Even when I was in junior high,\I would jump and jump, but I kept getting blocked.\Height is needed for volleyball.\No matter how high I jump,\I can't get past their overwhelming height.\But...\I know I want to become like that.\So I don't care if I'm cut out for it or not. response:	I'm going to do battle with this body,
context: I would jump and jump, but I kept getting blocked.\Height is needed for volleyball.\No matter how high I jump,\I can't get past their overwhelming height.\But...\I know I want to become like that.\So I don't care if I'm cut out for it or not.\I'm going to do battle with this body, response:	win and win,
context: Height is needed for volleyball.\No matter how high I jump,\I can't get past their overwhelming height.\But...\I know I want to become like that.\So I don't care if I'm cut out for it or not.\I'm going to do battle with this body,\win and win, response:	and be on the court as long as I can.
context: No matter how high I jump,\I can't get past their overwhelming height.\But...\I know I want to become like that.\So I don't care if I'm cut out for it or not.\I'm going to do battle with this body,\win and win,\and be on the court as long as I can. response:	No...
context: I can't get past their overwhelming height.\But...\I know I want to become like that.\So I don't care if I'm cut out for it or not.\I'm going to do battle with this body,\win and win,\and be on the court as long as I can.\No... response:	I want to be...
context: But...\I know I want to become like that.\So I don't care if I'm cut out for it or not.\I'm going to do battle with this body,\win and win,\and be on the court as long as I can.\No...\I want to be... response:	On the court as long as I can.
context: I know I want to become like that.\So I don't care if I'm cut out for it or not.\I'm going to do battle with this body,\win and win,\and be on the court as long as I can.\No...\I want to be...\On the court as long as I can. response:	But you don't have what it takes.
context: So I don't care if I'm cut out for it or not.\I'm going to do battle with this body,\win and win,\and be on the court as long as I can.\No...\I want to be...\On the court as long as I can.\But you don't have what it takes. response:	This isn't a matter of psychology.
context: I'm going to do battle with this body,\win and win,\and be on the court as long as I can.\No...\I want to be...\On the court as long as I can.\But you don't have what it takes.\This isn't a matter of psychology. response:	You can't make up for height with feelings.
context: win and win,\and be on the court as long as I can.\No...\I want to be...\On the court as long as I can.\But you don't have what it takes.\This isn't a matter of psychology.\You can't make up for height with feelings. response:	If you could play libero, that would be a different matter.
context: and be on the court as long as I can.\No...\I want to be...\On the court as long as I can.\But you don't have what it takes.\This isn't a matter of psychology.\You can't make up for height with feelings.\If you could play libero, that would be a different matter. response:	Toss to me! Bring it on!
context: No...\I want to be...\On the court as long as I can.\But you don't have what it takes.\This isn't a matter of psychology.\You can't make up for height with feelings.\If you could play libero, that would be a different matter.\Toss to me! Bring it on! response:	To break the wall in front of the spiker...
context: I want to be...\On the court as long as I can.\But you don't have what it takes.\This isn't a matter of psychology.\You can't make up for height with feelings.\If you could play libero, that would be a different matter.\Toss to me! Bring it on!\To break the wall in front of the spiker... response:	That's the setter's job.
context: On the court as long as I can.\But you don't have what it takes.\This isn't a matter of psychology.\You can't make up for height with feelings.\If you could play libero, that would be a different matter.\Toss to me! Bring it on!\To break the wall in front of the spiker...\That's the setter's job. response:	Wh-What, Kageyama?
context: But you don't have what it takes.\This isn't a matter of psychology.\You can't make up for height with feelings.\If you could play libero, that would be a different matter.\Toss to me! Bring it on!\To break the wall in front of the spiker...\That's the setter's job.\Wh-What, Kageyama? response:	Ouch, let go. Let me go!
context: This isn't a matter of psychology.\You can't make up for height with feelings.\If you could play libero, that would be a different matter.\Toss to me! Bring it on!\To break the wall in front of the spiker...\That's the setter's job.\Wh-What, Kageyama?\Ouch, let go. Let me go! response:	Calm down, Kageyama!
context: You can't make up for height with feelings.\If you could play libero, that would be a different matter.\Toss to me! Bring it on!\To break the wall in front of the spiker...\That's the setter's job.\Wh-What, Kageyama?\Ouch, let go. Let me go!\Calm down, Kageyama! response:	What's the big idea
context: If you could play libero, that would be a different matter.\Toss to me! Bring it on!\To break the wall in front of the spiker...\That's the setter's job.\Wh-What, Kageyama?\Ouch, let go. Let me go!\Calm down, Kageyama!\What's the big idea response:	Listen.
context: Toss to me! Bring it on!\To break the wall in front of the spiker...\That's the setter's job.\Wh-What, Kageyama?\Ouch, let go. Let me go!\Calm down, Kageyama!\What's the big idea\Listen. response:	If you can't spike it, avoid it.
context: To break the wall in front of the spiker...\That's the setter's job.\Wh-What, Kageyama?\Ouch, let go. Let me go!\Calm down, Kageyama!\What's the big idea\Listen.\If you can't spike it, avoid it. response:	Use every ounce of physical ability you have.
context: That's the setter's job.\Wh-What, Kageyama?\Ouch, let go. Let me go!\Calm down, Kageyama!\What's the big idea\Listen.\If you can't spike it, avoid it.\Use every ounce of physical ability you have. response:	Use your reflexes and spike my tosses.
context: Wh-What, Kageyama?\Ouch, let go. Let me go!\Calm down, Kageyama!\What's the big idea\Listen.\If you can't spike it, avoid it.\Use every ounce of physical ability you have.\Use your reflexes and spike my tosses. response:	Huh? That's how you explain a fast attack?
context: Ouch, let go. Let me go!\Calm down, Kageyama!\What's the big idea\Listen.\If you can't spike it, avoid it.\Use every ounce of physical ability you have.\Use your reflexes and spike my tosses.\Huh? That's how you explain a fast attack? response:	Understood.
context: Calm down, Kageyama!\What's the big idea\Listen.\If you can't spike it, avoid it.\Use every ounce of physical ability you have.\Use your reflexes and spike my tosses.\Huh? That's how you explain a fast attack?\Understood. response:	Liar! You don't understand it!
context: What's the big idea\Listen.\If you can't spike it, avoid it.\Use every ounce of physical ability you have.\Use your reflexes and spike my tosses.\Huh? That's how you explain a fast attack?\Understood.\Liar! You don't understand it! response:	We'll do it anyway.
context: Listen.\If you can't spike it, avoid it.\Use every ounce of physical ability you have.\Use your reflexes and spike my tosses.\Huh? That's how you explain a fast attack?\Understood.\Liar! You don't understand it!\We'll do it anyway. response:	What got into you all of a sudden?
context: If you can't spike it, avoid it.\Use every ounce of physical ability you have.\Use your reflexes and spike my tosses.\Huh? That's how you explain a fast attack?\Understood.\Liar! You don't understand it!\We'll do it anyway.\What got into you all of a sudden? response:	You were sniveling like an introverted brat.
context: Use every ounce of physical ability you have.\Use your reflexes and spike my tosses.\Huh? That's how you explain a fast attack?\Understood.\Liar! You don't understand it!\We'll do it anyway.\What got into you all of a sudden?\You were sniveling like an introverted brat. response:	I'm not introverted.
context: Use your reflexes and spike my tosses.\Huh? That's how you explain a fast attack?\Understood.\Liar! You don't understand it!\We'll do it anyway.\What got into you all of a sudden?\You were sniveling like an introverted brat.\I'm not introverted. response:	Liar!
context: Huh? That's how you explain a fast attack?\Understood.\Liar! You don't understand it!\We'll do it anyway.\What got into you all of a sudden?\You were sniveling like an introverted brat.\I'm not introverted.\Liar! response:	All right...
context: Understood.\Liar! You don't understand it!\We'll do it anyway.\What got into you all of a sudden?\You were sniveling like an introverted brat.\I'm not introverted.\Liar!\All right... response:	Let's do this.
context: Liar! You don't understand it!\We'll do it anyway.\What got into you all of a sudden?\You were sniveling like an introverted brat.\I'm not introverted.\Liar!\All right...\Let's do this. response:	With this guy's reflexes and speed, I know he can spike a fast toss.
context: We'll do it anyway.\What got into you all of a sudden?\You were sniveling like an introverted brat.\I'm not introverted.\Liar!\All right...\Let's do this.\With this guy's reflexes and speed, I know he can spike a fast toss. response:	All right! Come on, toss.
context: What got into you all of a sudden?\You were sniveling like an introverted brat.\I'm not introverted.\Liar!\All right...\Let's do this.\With this guy's reflexes and speed, I know he can spike a fast toss.\All right! Come on, toss. response:	Come anywhere.
context: You were sniveling like an introverted brat.\I'm not introverted.\Liar!\All right...\Let's do this.\With this guy's reflexes and speed, I know he can spike a fast toss.\All right! Come on, toss.\Come anywhere. response:	Tsukki, nice serve.
context: I'm not introverted.\Liar!\All right...\Let's do this.\With this guy's reflexes and speed, I know he can spike a fast toss.\All right! Come on, toss.\Come anywhere.\Tsukki, nice serve. response:	We don't have signals yet, but what the heck...
context: Liar!\All right...\Let's do this.\With this guy's reflexes and speed, I know he can spike a fast toss.\All right! Come on, toss.\Come anywhere.\Tsukki, nice serve.\We don't have signals yet, but what the heck... response:	Okay. He's tossing that way.
context: All right...\Let's do this.\With this guy's reflexes and speed, I know he can spike a fast toss.\All right! Come on, toss.\Come anywhere.\Tsukki, nice serve.\We don't have signals yet, but what the heck...\Okay. He's tossing that way. response:	Hinata.
