context: The bath feels great! response:	It feels great to travel by ship once in a while.
context: Huh? Well, that's fine.\Here you go, a souvenir from Tokyo. Hope you like it.\Oh, you went to the mainland as well?\Well, a lot of stuff happened.\I'm exhausted.\Well, I'm just glad all three of you came back safely.\Safely?\Akatsuki-kun, didn't you notice anything after seeing this classroom? response:	Now that you mention it... an awful lot of people seem to be running late.
context: Here you go, a souvenir from Tokyo. Hope you like it.\Oh, you went to the mainland as well?\Well, a lot of stuff happened.\I'm exhausted.\Well, I'm just glad all three of you came back safely.\Safely?\Akatsuki-kun, didn't you notice anything after seeing this classroom?\Now that you mention it... an awful lot of people seem to be running late. response:	Correct.
context: Oh, you went to the mainland as well?\Well, a lot of stuff happened.\I'm exhausted.\Well, I'm just glad all three of you came back safely.\Safely?\Akatsuki-kun, didn't you notice anything after seeing this classroom?\Now that you mention it... an awful lot of people seem to be running late.\Correct. response:	All the ships that were headed to Itogami Island ran into accidents, ran aground, or the passengers had food poisoning.
context: Well, a lot of stuff happened.\I'm exhausted.\Well, I'm just glad all three of you came back safely.\Safely?\Akatsuki-kun, didn't you notice anything after seeing this classroom?\Now that you mention it... an awful lot of people seem to be running late.\Correct.\All the ships that were headed to Itogami Island ran into accidents, ran aground, or the passengers had food poisoning. response:	Not a single ship has arrived here since yesterday.
context: I'm exhausted.\Well, I'm just glad all three of you came back safely.\Safely?\Akatsuki-kun, didn't you notice anything after seeing this classroom?\Now that you mention it... an awful lot of people seem to be running late.\Correct.\All the ships that were headed to Itogami Island ran into accidents, ran aground, or the passengers had food poisoning.\Not a single ship has arrived here since yesterday. response:	Even the flights are grounded due to turbulence.
context: Well, I'm just glad all three of you came back safely.\Safely?\Akatsuki-kun, didn't you notice anything after seeing this classroom?\Now that you mention it... an awful lot of people seem to be running late.\Correct.\All the ships that were headed to Itogami Island ran into accidents, ran aground, or the passengers had food poisoning.\Not a single ship has arrived here since yesterday.\Even the flights are grounded due to turbulence. response:	That's why we're in such a mess.
context: Safely?\Akatsuki-kun, didn't you notice anything after seeing this classroom?\Now that you mention it... an awful lot of people seem to be running late.\Correct.\All the ships that were headed to Itogami Island ran into accidents, ran aground, or the passengers had food poisoning.\Not a single ship has arrived here since yesterday.\Even the flights are grounded due to turbulence.\That's why we're in such a mess. response:	Seriously?
context: Akatsuki-kun, didn't you notice anything after seeing this classroom?\Now that you mention it... an awful lot of people seem to be running late.\Correct.\All the ships that were headed to Itogami Island ran into accidents, ran aground, or the passengers had food poisoning.\Not a single ship has arrived here since yesterday.\Even the flights are grounded due to turbulence.\That's why we're in such a mess.\Seriously? response:	Very.
context: Now that you mention it... an awful lot of people seem to be running late.\Correct.\All the ships that were headed to Itogami Island ran into accidents, ran aground, or the passengers had food poisoning.\Not a single ship has arrived here since yesterday.\Even the flights are grounded due to turbulence.\That's why we're in such a mess.\Seriously?\Very. response:	That's one hell of a coincidence, isn't it?
context: Correct.\All the ships that were headed to Itogami Island ran into accidents, ran aground, or the passengers had food poisoning.\Not a single ship has arrived here since yesterday.\Even the flights are grounded due to turbulence.\That's why we're in such a mess.\Seriously?\Very.\That's one hell of a coincidence, isn't it? response:	A coincidence, huh?
context: All the ships that were headed to Itogami Island ran into accidents, ran aground, or the passengers had food poisoning.\Not a single ship has arrived here since yesterday.\Even the flights are grounded due to turbulence.\That's why we're in such a mess.\Seriously?\Very.\That's one hell of a coincidence, isn't it?\A coincidence, huh? response:	I hope that's the case.
context: Not a single ship has arrived here since yesterday.\Even the flights are grounded due to turbulence.\That's why we're in such a mess.\Seriously?\Very.\That's one hell of a coincidence, isn't it?\A coincidence, huh?\I hope that's the case. response:	This machine is in working order.
context: Even the flights are grounded due to turbulence.\That's why we're in such a mess.\Seriously?\Very.\That's one hell of a coincidence, isn't it?\A coincidence, huh?\I hope that's the case.\This machine is in working order. response:	Apologies for the inconvenience.
context: That's why we're in such a mess.\Seriously?\Very.\That's one hell of a coincidence, isn't it?\A coincidence, huh?\I hope that's the case.\This machine is in working order.\Apologies for the inconvenience. response:	Due to the cancellation of cargo ships, we have not received fresh stocks of food
context: Seriously?\Very.\That's one hell of a coincidence, isn't it?\A coincidence, huh?\I hope that's the case.\This machine is in working order.\Apologies for the inconvenience.\Due to the cancellation of cargo ships, we have not received fresh stocks of food response:	and hence the menu is limited.
context: Very.\That's one hell of a coincidence, isn't it?\A coincidence, huh?\I hope that's the case.\This machine is in working order.\Apologies for the inconvenience.\Due to the cancellation of cargo ships, we have not received fresh stocks of food\and hence the menu is limited. response:	Hey, Yukina.
context: That's one hell of a coincidence, isn't it?\A coincidence, huh?\I hope that's the case.\This machine is in working order.\Apologies for the inconvenience.\Due to the cancellation of cargo ships, we have not received fresh stocks of food\and hence the menu is limited.\Hey, Yukina. response:	I heard that the two of you went to the mainland during the winter holidays.
context: A coincidence, huh?\I hope that's the case.\This machine is in working order.\Apologies for the inconvenience.\Due to the cancellation of cargo ships, we have not received fresh stocks of food\and hence the menu is limited.\Hey, Yukina.\I heard that the two of you went to the mainland during the winter holidays. response:	Did something happen?
context: I hope that's the case.\This machine is in working order.\Apologies for the inconvenience.\Due to the cancellation of cargo ships, we have not received fresh stocks of food\and hence the menu is limited.\Hey, Yukina.\I heard that the two of you went to the mainland during the winter holidays.\Did something happen? response:	Something?
context: This machine is in working order.\Apologies for the inconvenience.\Due to the cancellation of cargo ships, we have not received fresh stocks of food\and hence the menu is limited.\Hey, Yukina.\I heard that the two of you went to the mainland during the winter holidays.\Did something happen?\Something? response:	She's not acting like herself.
context: Apologies for the inconvenience.\Due to the cancellation of cargo ships, we have not received fresh stocks of food\and hence the menu is limited.\Hey, Yukina.\I heard that the two of you went to the mainland during the winter holidays.\Did something happen?\Something?\She's not acting like herself. response:	She was spacing out during class, too.
context: Due to the cancellation of cargo ships, we have not received fresh stocks of food\and hence the menu is limited.\Hey, Yukina.\I heard that the two of you went to the mainland during the winter holidays.\Did something happen?\Something?\She's not acting like herself.\She was spacing out during class, too. response:	It doesn't look like she's sick or anything, though...
context: and hence the menu is limited.\Hey, Yukina.\I heard that the two of you went to the mainland during the winter holidays.\Did something happen?\Something?\She's not acting like herself.\She was spacing out during class, too.\It doesn't look like she's sick or anything, though... response:	Oh, I know!
context: Hey, Yukina.\I heard that the two of you went to the mainland during the winter holidays.\Did something happen?\Something?\She's not acting like herself.\She was spacing out during class, too.\It doesn't look like she's sick or anything, though...\Oh, I know! response:	Maybe she's feeling down because they didn't have the Crab Cream Croquet that she usually eats?
context: I heard that the two of you went to the mainland during the winter holidays.\Did something happen?\Something?\She's not acting like herself.\She was spacing out during class, too.\It doesn't look like she's sick or anything, though...\Oh, I know!\Maybe she's feeling down because they didn't have the Crab Cream Croquet that she usually eats? response:	No way.
context: Did something happen?\Something?\She's not acting like herself.\She was spacing out during class, too.\It doesn't look like she's sick or anything, though...\Oh, I know!\Maybe she's feeling down because they didn't have the Crab Cream Croquet that she usually eats?\No way. response:	Nagisa-chan!?
context: Something?\She's not acting like herself.\She was spacing out during class, too.\It doesn't look like she's sick or anything, though...\Oh, I know!\Maybe she's feeling down because they didn't have the Crab Cream Croquet that she usually eats?\No way.\Nagisa-chan!? response:	What's wrong?
context: She's not acting like herself.\She was spacing out during class, too.\It doesn't look like she's sick or anything, though...\Oh, I know!\Maybe she's feeling down because they didn't have the Crab Cream Croquet that she usually eats?\No way.\Nagisa-chan!?\What's wrong? response:	Huh? Why am I...
context: She was spacing out during class, too.\It doesn't look like she's sick or anything, though...\Oh, I know!\Maybe she's feeling down because they didn't have the Crab Cream Croquet that she usually eats?\No way.\Nagisa-chan!?\What's wrong?\Huh? Why am I... response:	Sorry, I'm going on ahead.
context: It doesn't look like she's sick or anything, though...\Oh, I know!\Maybe she's feeling down because they didn't have the Crab Cream Croquet that she usually eats?\No way.\Nagisa-chan!?\What's wrong?\Huh? Why am I...\Sorry, I'm going on ahead. response:	Is she jealous?
context: Oh, I know!\Maybe she's feeling down because they didn't have the Crab Cream Croquet that she usually eats?\No way.\Nagisa-chan!?\What's wrong?\Huh? Why am I...\Sorry, I'm going on ahead.\Is she jealous? response:	No way.
context: Maybe she's feeling down because they didn't have the Crab Cream Croquet that she usually eats?\No way.\Nagisa-chan!?\What's wrong?\Huh? Why am I...\Sorry, I'm going on ahead.\Is she jealous?\No way. response:	There you are, transfer student.
context: No way.\Nagisa-chan!?\What's wrong?\Huh? Why am I...\Sorry, I'm going on ahead.\Is she jealous?\No way.\There you are, transfer student. response:	So, Natsuki-chan.
context: Nagisa-chan!?\What's wrong?\Huh? Why am I...\Sorry, I'm going on ahead.\Is she jealous?\No way.\There you are, transfer student.\So, Natsuki-chan. response:	What the heck is up with these chains?
context: What's wrong?\Huh? Why am I...\Sorry, I'm going on ahead.\Is she jealous?\No way.\There you are, transfer student.\So, Natsuki-chan.\What the heck is up with these chains? response:	Show some respect when you're addressing a teacher.
context: Huh? Why am I...\Sorry, I'm going on ahead.\Is she jealous?\No way.\There you are, transfer student.\So, Natsuki-chan.\What the heck is up with these chains?\Show some respect when you're addressing a teacher. response:	That's what you get for trying to run away the moment you saw my face, even though I spoke to you so kindly.
context: Sorry, I'm going on ahead.\Is she jealous?\No way.\There you are, transfer student.\So, Natsuki-chan.\What the heck is up with these chains?\Show some respect when you're addressing a teacher.\That's what you get for trying to run away the moment you saw my face, even though I spoke to you so kindly. response:	That's... Well, that was a reflex.
context: Is she jealous?\No way.\There you are, transfer student.\So, Natsuki-chan.\What the heck is up with these chains?\Show some respect when you're addressing a teacher.\That's what you get for trying to run away the moment you saw my face, even though I spoke to you so kindly.\That's... Well, that was a reflex. response:	My instincts screamed for me to run away.
context: No way.\There you are, transfer student.\So, Natsuki-chan.\What the heck is up with these chains?\Show some respect when you're addressing a teacher.\That's what you get for trying to run away the moment you saw my face, even though I spoke to you so kindly.\That's... Well, that was a reflex.\My instincts screamed for me to run away. response:	After all that happened during during the New Year...
context: There you are, transfer student.\So, Natsuki-chan.\What the heck is up with these chains?\Show some respect when you're addressing a teacher.\That's what you get for trying to run away the moment you saw my face, even though I spoke to you so kindly.\That's... Well, that was a reflex.\My instincts screamed for me to run away.\After all that happened during during the New Year... response:	New Year? I have no idea what you're talking about.
context: So, Natsuki-chan.\What the heck is up with these chains?\Show some respect when you're addressing a teacher.\That's what you get for trying to run away the moment you saw my face, even though I spoke to you so kindly.\That's... Well, that was a reflex.\My instincts screamed for me to run away.\After all that happened during during the New Year...\New Year? I have no idea what you're talking about. response:	It's nothing.
context: What the heck is up with these chains?\Show some respect when you're addressing a teacher.\That's what you get for trying to run away the moment you saw my face, even though I spoke to you so kindly.\That's... Well, that was a reflex.\My instincts screamed for me to run away.\After all that happened during during the New Year...\New Year? I have no idea what you're talking about.\It's nothing. response:	If that's how you want to play it then it's fine by me.
context: Show some respect when you're addressing a teacher.\That's what you get for trying to run away the moment you saw my face, even though I spoke to you so kindly.\That's... Well, that was a reflex.\My instincts screamed for me to run away.\After all that happened during during the New Year...\New Year? I have no idea what you're talking about.\It's nothing.\If that's how you want to play it then it's fine by me. response:	More importantly, let's get down to business.
context: That's what you get for trying to run away the moment you saw my face, even though I spoke to you so kindly.\That's... Well, that was a reflex.\My instincts screamed for me to run away.\After all that happened during during the New Year...\New Year? I have no idea what you're talking about.\It's nothing.\If that's how you want to play it then it's fine by me.\More importantly, let's get down to business. response:	Astarte, show them the documents.
context: That's... Well, that was a reflex.\My instincts screamed for me to run away.\After all that happened during during the New Year...\New Year? I have no idea what you're talking about.\It's nothing.\If that's how you want to play it then it's fine by me.\More importantly, let's get down to business.\Astarte, show them the documents. response:	Accept.
context: My instincts screamed for me to run away.\After all that happened during during the New Year...\New Year? I have no idea what you're talking about.\It's nothing.\If that's how you want to play it then it's fine by me.\More importantly, let's get down to business.\Astarte, show them the documents.\Accept. response:	This is!
context: After all that happened during during the New Year...\New Year? I have no idea what you're talking about.\It's nothing.\If that's how you want to play it then it's fine by me.\More importantly, let's get down to business.\Astarte, show them the documents.\Accept.\This is! response:	The accident at sea that took place yesterday?
context: New Year? I have no idea what you're talking about.\It's nothing.\If that's how you want to play it then it's fine by me.\More importantly, let's get down to business.\Astarte, show them the documents.\Accept.\This is!\The accident at sea that took place yesterday? response:	The one that caused all sea trips to Itogami Island to be cancelled?
context: It's nothing.\If that's how you want to play it then it's fine by me.\More importantly, let's get down to business.\Astarte, show them the documents.\Accept.\This is!\The accident at sea that took place yesterday?\The one that caused all sea trips to Itogami Island to be cancelled? response:	Negative. There are all reports of accidents that occurred between early morning and noon today.
context: If that's how you want to play it then it's fine by me.\More importantly, let's get down to business.\Astarte, show them the documents.\Accept.\This is!\The accident at sea that took place yesterday?\The one that caused all sea trips to Itogami Island to be cancelled?\Negative. There are all reports of accidents that occurred between early morning and noon today. response:	So many!?
context: More importantly, let's get down to business.\Astarte, show them the documents.\Accept.\This is!\The accident at sea that took place yesterday?\The one that caused all sea trips to Itogami Island to be cancelled?\Negative. There are all reports of accidents that occurred between early morning and noon today.\So many!? response:	That's right.
context: Astarte, show them the documents.\Accept.\This is!\The accident at sea that took place yesterday?\The one that caused all sea trips to Itogami Island to be cancelled?\Negative. There are all reports of accidents that occurred between early morning and noon today.\So many!?\That's right. response:	We have already received reports of twenty one cases.
context: Accept.\This is!\The accident at sea that took place yesterday?\The one that caused all sea trips to Itogami Island to be cancelled?\Negative. There are all reports of accidents that occurred between early morning and noon today.\So many!?\That's right.\We have already received reports of twenty one cases. response:	Huh!?
context: This is!\The accident at sea that took place yesterday?\The one that caused all sea trips to Itogami Island to be cancelled?\Negative. There are all reports of accidents that occurred between early morning and noon today.\So many!?\That's right.\We have already received reports of twenty one cases.\Huh!? response:	No matter how many times we go over the data, the only thing all the ships had in common was that their destination was Itogami Island.
context: The accident at sea that took place yesterday?\The one that caused all sea trips to Itogami Island to be cancelled?\Negative. There are all reports of accidents that occurred between early morning and noon today.\So many!?\That's right.\We have already received reports of twenty one cases.\Huh!?\No matter how many times we go over the data, the only thing all the ships had in common was that their destination was Itogami Island. response:	However, because of these accidents, no people or goods have arrived at the island for the past few days.
context: The one that caused all sea trips to Itogami Island to be cancelled?\Negative. There are all reports of accidents that occurred between early morning and noon today.\So many!?\That's right.\We have already received reports of twenty one cases.\Huh!?\No matter how many times we go over the data, the only thing all the ships had in common was that their destination was Itogami Island.\However, because of these accidents, no people or goods have arrived at the island for the past few days. response:	In other words, Itogami Island is effectively isolated at present.
context: Negative. There are all reports of accidents that occurred between early morning and noon today.\So many!?\That's right.\We have already received reports of twenty one cases.\Huh!?\No matter how many times we go over the data, the only thing all the ships had in common was that their destination was Itogami Island.\However, because of these accidents, no people or goods have arrived at the island for the past few days.\In other words, Itogami Island is effectively isolated at present. response:	I had no idea the situation was so serious.
context: So many!?\That's right.\We have already received reports of twenty one cases.\Huh!?\No matter how many times we go over the data, the only thing all the ships had in common was that their destination was Itogami Island.\However, because of these accidents, no people or goods have arrived at the island for the past few days.\In other words, Itogami Island is effectively isolated at present.\I had no idea the situation was so serious. response:	I think I understand why you restrained Akatsuki-senpai, Minamiya-sensei.
context: That's right.\We have already received reports of twenty one cases.\Huh!?\No matter how many times we go over the data, the only thing all the ships had in common was that their destination was Itogami Island.\However, because of these accidents, no people or goods have arrived at the island for the past few days.\In other words, Itogami Island is effectively isolated at present.\I had no idea the situation was so serious.\I think I understand why you restrained Akatsuki-senpai, Minamiya-sensei. response:	Do you suspect that this abnormal situation is Senpai's doing?
context: We have already received reports of twenty one cases.\Huh!?\No matter how many times we go over the data, the only thing all the ships had in common was that their destination was Itogami Island.\However, because of these accidents, no people or goods have arrived at the island for the past few days.\In other words, Itogami Island is effectively isolated at present.\I had no idea the situation was so serious.\I think I understand why you restrained Akatsuki-senpai, Minamiya-sensei.\Do you suspect that this abnormal situation is Senpai's doing? response:	In a nutshell, yes.
context: Huh!?\No matter how many times we go over the data, the only thing all the ships had in common was that their destination was Itogami Island.\However, because of these accidents, no people or goods have arrived at the island for the past few days.\In other words, Itogami Island is effectively isolated at present.\I had no idea the situation was so serious.\I think I understand why you restrained Akatsuki-senpai, Minamiya-sensei.\Do you suspect that this abnormal situation is Senpai's doing?\In a nutshell, yes. response:	Huh!? Why the hell would you think that!?
context: No matter how many times we go over the data, the only thing all the ships had in common was that their destination was Itogami Island.\However, because of these accidents, no people or goods have arrived at the island for the past few days.\In other words, Itogami Island is effectively isolated at present.\I had no idea the situation was so serious.\I think I understand why you restrained Akatsuki-senpai, Minamiya-sensei.\Do you suspect that this abnormal situation is Senpai's doing?\In a nutshell, yes.\Huh!? Why the hell would you think that!? response:	It is likely that this incident is being caused by a magical barrier of some sort.
context: However, because of these accidents, no people or goods have arrived at the island for the past few days.\In other words, Itogami Island is effectively isolated at present.\I had no idea the situation was so serious.\I think I understand why you restrained Akatsuki-senpai, Minamiya-sensei.\Do you suspect that this abnormal situation is Senpai's doing?\In a nutshell, yes.\Huh!? Why the hell would you think that!?\It is likely that this incident is being caused by a magical barrier of some sort. response:	And the only ones with enough magical energy to pull that off are the vampire progenitors.
context: In other words, Itogami Island is effectively isolated at present.\I had no idea the situation was so serious.\I think I understand why you restrained Akatsuki-senpai, Minamiya-sensei.\Do you suspect that this abnormal situation is Senpai's doing?\In a nutshell, yes.\Huh!? Why the hell would you think that!?\It is likely that this incident is being caused by a magical barrier of some sort.\And the only ones with enough magical energy to pull that off are the vampire progenitors. response:	I thought the incident would be resolved once you were captured, but...
context: I had no idea the situation was so serious.\I think I understand why you restrained Akatsuki-senpai, Minamiya-sensei.\Do you suspect that this abnormal situation is Senpai's doing?\In a nutshell, yes.\Huh!? Why the hell would you think that!?\It is likely that this incident is being caused by a magical barrier of some sort.\And the only ones with enough magical energy to pull that off are the vampire progenitors.\I thought the incident would be resolved once you were captured, but... response:	It wasn't me! You're doing this on purpose, right?
context: I think I understand why you restrained Akatsuki-senpai, Minamiya-sensei.\Do you suspect that this abnormal situation is Senpai's doing?\In a nutshell, yes.\Huh!? Why the hell would you think that!?\It is likely that this incident is being caused by a magical barrier of some sort.\And the only ones with enough magical energy to pull that off are the vampire progenitors.\I thought the incident would be resolved once you were captured, but...\It wasn't me! You're doing this on purpose, right? response:	Well then, on the off-chance that Akatsuki Kojou is not the cause
context: Do you suspect that this abnormal situation is Senpai's doing?\In a nutshell, yes.\Huh!? Why the hell would you think that!?\It is likely that this incident is being caused by a magical barrier of some sort.\And the only ones with enough magical energy to pull that off are the vampire progenitors.\I thought the incident would be resolved once you were captured, but...\It wasn't me! You're doing this on purpose, right?\Well then, on the off-chance that Akatsuki Kojou is not the cause response:	You're still not convinced!? Actually, just get these chains off of me already!
context: In a nutshell, yes.\Huh!? Why the hell would you think that!?\It is likely that this incident is being caused by a magical barrier of some sort.\And the only ones with enough magical energy to pull that off are the vampire progenitors.\I thought the incident would be resolved once you were captured, but...\It wasn't me! You're doing this on purpose, right?\Well then, on the off-chance that Akatsuki Kojou is not the cause\You're still not convinced!? Actually, just get these chains off of me already! response:	Transfer student. What is your opinion, as an expert on magical terrorism?
context: Huh!? Why the hell would you think that!?\It is likely that this incident is being caused by a magical barrier of some sort.\And the only ones with enough magical energy to pull that off are the vampire progenitors.\I thought the incident would be resolved once you were captured, but...\It wasn't me! You're doing this on purpose, right?\Well then, on the off-chance that Akatsuki Kojou is not the cause\You're still not convinced!? Actually, just get these chains off of me already!\Transfer student. What is your opinion, as an expert on magical terrorism? response:	Do you have any knowledge of sorcery that could build a barrier of this scale?
context: It is likely that this incident is being caused by a magical barrier of some sort.\And the only ones with enough magical energy to pull that off are the vampire progenitors.\I thought the incident would be resolved once you were captured, but...\It wasn't me! You're doing this on purpose, right?\Well then, on the off-chance that Akatsuki Kojou is not the cause\You're still not convinced!? Actually, just get these chains off of me already!\Transfer student. What is your opinion, as an expert on magical terrorism?\Do you have any knowledge of sorcery that could build a barrier of this scale? response:	The only method that would have a chance would be to use Feng Shui.
context: And the only ones with enough magical energy to pull that off are the vampire progenitors.\I thought the incident would be resolved once you were captured, but...\It wasn't me! You're doing this on purpose, right?\Well then, on the off-chance that Akatsuki Kojou is not the cause\You're still not convinced!? Actually, just get these chains off of me already!\Transfer student. What is your opinion, as an expert on magical terrorism?\Do you have any knowledge of sorcery that could build a barrier of this scale?\The only method that would have a chance would be to use Feng Shui. response:	While the forerunner of Feng Shui, the Shikisen technique, was used for fortune telling,
context: I thought the incident would be resolved once you were captured, but...\It wasn't me! You're doing this on purpose, right?\Well then, on the off-chance that Akatsuki Kojou is not the cause\You're still not convinced!? Actually, just get these chains off of me already!\Transfer student. What is your opinion, as an expert on magical terrorism?\Do you have any knowledge of sorcery that could build a barrier of this scale?\The only method that would have a chance would be to use Feng Shui.\While the forerunner of Feng Shui, the Shikisen technique, was used for fortune telling, response:	it was also a large-scale sorcery technique.
context: It wasn't me! You're doing this on purpose, right?\Well then, on the off-chance that Akatsuki Kojou is not the cause\You're still not convinced!? Actually, just get these chains off of me already!\Transfer student. What is your opinion, as an expert on magical terrorism?\Do you have any knowledge of sorcery that could build a barrier of this scale?\The only method that would have a chance would be to use Feng Shui.\While the forerunner of Feng Shui, the Shikisen technique, was used for fortune telling,\it was also a large-scale sorcery technique. response:	Especially the Houkimon technique, which was developed for war.
context: Well then, on the off-chance that Akatsuki Kojou is not the cause\You're still not convinced!? Actually, just get these chains off of me already!\Transfer student. What is your opinion, as an expert on magical terrorism?\Do you have any knowledge of sorcery that could build a barrier of this scale?\The only method that would have a chance would be to use Feng Shui.\While the forerunner of Feng Shui, the Shikisen technique, was used for fortune telling,\it was also a large-scale sorcery technique.\Especially the Houkimon technique, which was developed for war. response:	It was a large-scale military magic that was used to control the weather and rule over the lives of soldiers.
context: You're still not convinced!? Actually, just get these chains off of me already!\Transfer student. What is your opinion, as an expert on magical terrorism?\Do you have any knowledge of sorcery that could build a barrier of this scale?\The only method that would have a chance would be to use Feng Shui.\While the forerunner of Feng Shui, the Shikisen technique, was used for fortune telling,\it was also a large-scale sorcery technique.\Especially the Houkimon technique, which was developed for war.\It was a large-scale military magic that was used to control the weather and rule over the lives of soldiers. response:	Military magic?
context: Transfer student. What is your opinion, as an expert on magical terrorism?\Do you have any knowledge of sorcery that could build a barrier of this scale?\The only method that would have a chance would be to use Feng Shui.\While the forerunner of Feng Shui, the Shikisen technique, was used for fortune telling,\it was also a large-scale sorcery technique.\Especially the Houkimon technique, which was developed for war.\It was a large-scale military magic that was used to control the weather and rule over the lives of soldiers.\Military magic? response:	Seriously?
context: Do you have any knowledge of sorcery that could build a barrier of this scale?\The only method that would have a chance would be to use Feng Shui.\While the forerunner of Feng Shui, the Shikisen technique, was used for fortune telling,\it was also a large-scale sorcery technique.\Especially the Houkimon technique, which was developed for war.\It was a large-scale military magic that was used to control the weather and rule over the lives of soldiers.\Military magic?\Seriously? response:	I see.
context: The only method that would have a chance would be to use Feng Shui.\While the forerunner of Feng Shui, the Shikisen technique, was used for fortune telling,\it was also a large-scale sorcery technique.\Especially the Houkimon technique, which was developed for war.\It was a large-scale military magic that was used to control the weather and rule over the lives of soldiers.\Military magic?\Seriously?\I see. response:	If someone used the ley lines around this area to construct an Eight Trigams formation,
context: While the forerunner of Feng Shui, the Shikisen technique, was used for fortune telling,\it was also a large-scale sorcery technique.\Especially the Houkimon technique, which was developed for war.\It was a large-scale military magic that was used to control the weather and rule over the lives of soldiers.\Military magic?\Seriously?\I see.\If someone used the ley lines around this area to construct an Eight Trigams formation, response:	creating the current scenario is not impossible, huh?
context: it was also a large-scale sorcery technique.\Especially the Houkimon technique, which was developed for war.\It was a large-scale military magic that was used to control the weather and rule over the lives of soldiers.\Military magic?\Seriously?\I see.\If someone used the ley lines around this area to construct an Eight Trigams formation,\creating the current scenario is not impossible, huh? response:	That's right, but...
context: Especially the Houkimon technique, which was developed for war.\It was a large-scale military magic that was used to control the weather and rule over the lives of soldiers.\Military magic?\Seriously?\I see.\If someone used the ley lines around this area to construct an Eight Trigams formation,\creating the current scenario is not impossible, huh?\That's right, but... response:	I have no idea if there is a practitioner who is able to maintain a technique of this scale while avoiding detection.
context: It was a large-scale military magic that was used to control the weather and rule over the lives of soldiers.\Military magic?\Seriously?\I see.\If someone used the ley lines around this area to construct an Eight Trigams formation,\creating the current scenario is not impossible, huh?\That's right, but...\I have no idea if there is a practitioner who is able to maintain a technique of this scale while avoiding detection. response:	No...
context: Military magic?\Seriously?\I see.\If someone used the ley lines around this area to construct an Eight Trigams formation,\creating the current scenario is not impossible, huh?\That's right, but...\I have no idea if there is a practitioner who is able to maintain a technique of this scale while avoiding detection.\No... response:	After hearing you say that, I remembered a single incident that was similar to this one.
context: Seriously?\I see.\If someone used the ley lines around this area to construct an Eight Trigams formation,\creating the current scenario is not impossible, huh?\That's right, but...\I have no idea if there is a practitioner who is able to maintain a technique of this scale while avoiding detection.\No...\After hearing you say that, I remembered a single incident that was similar to this one. response:	The destruction of the Special Magical District in Iroise, Europe.
context: I see.\If someone used the ley lines around this area to construct an Eight Trigams formation,\creating the current scenario is not impossible, huh?\That's right, but...\I have no idea if there is a practitioner who is able to maintain a technique of this scale while avoiding detection.\No...\After hearing you say that, I remembered a single incident that was similar to this one.\The destruction of the Special Magical District in Iroise, Europe. response:	Iroise?
context: If someone used the ley lines around this area to construct an Eight Trigams formation,\creating the current scenario is not impossible, huh?\That's right, but...\I have no idea if there is a practitioner who is able to maintain a technique of this scale while avoiding detection.\No...\After hearing you say that, I remembered a single incident that was similar to this one.\The destruction of the Special Magical District in Iroise, Europe.\Iroise? response:	Wasn't that the Special Magical District in the Atlantic Ocean that was abandoned six years ago?
context: creating the current scenario is not impossible, huh?\That's right, but...\I have no idea if there is a practitioner who is able to maintain a technique of this scale while avoiding detection.\No...\After hearing you say that, I remembered a single incident that was similar to this one.\The destruction of the Special Magical District in Iroise, Europe.\Iroise?\Wasn't that the Special Magical District in the Atlantic Ocean that was abandoned six years ago? response:	From what I heard, that was caused by flooding due to accidents and storms...
context: That's right, but...\I have no idea if there is a practitioner who is able to maintain a technique of this scale while avoiding detection.\No...\After hearing you say that, I remembered a single incident that was similar to this one.\The destruction of the Special Magical District in Iroise, Europe.\Iroise?\Wasn't that the Special Magical District in the Atlantic Ocean that was abandoned six years ago?\From what I heard, that was caused by flooding due to accidents and storms... response:	That was the official explanation.
context: I have no idea if there is a practitioner who is able to maintain a technique of this scale while avoiding detection.\No...\After hearing you say that, I remembered a single incident that was similar to this one.\The destruction of the Special Magical District in Iroise, Europe.\Iroise?\Wasn't that the Special Magical District in the Atlantic Ocean that was abandoned six years ago?\From what I heard, that was caused by flooding due to accidents and storms...\That was the official explanation. response:	However, the actual reason was different.
context: No...\After hearing you say that, I remembered a single incident that was similar to this one.\The destruction of the Special Magical District in Iroise, Europe.\Iroise?\Wasn't that the Special Magical District in the Atlantic Ocean that was abandoned six years ago?\From what I heard, that was caused by flooding due to accidents and storms...\That was the official explanation.\However, the actual reason was different. response:	The destruction of that city was a deliberate act.
context: After hearing you say that, I remembered a single incident that was similar to this one.\The destruction of the Special Magical District in Iroise, Europe.\Iroise?\Wasn't that the Special Magical District in the Atlantic Ocean that was abandoned six years ago?\From what I heard, that was caused by flooding due to accidents and storms...\That was the official explanation.\However, the actual reason was different.\The destruction of that city was a deliberate act. response:	By Tartaros Lapus.
context: The destruction of the Special Magical District in Iroise, Europe.\Iroise?\Wasn't that the Special Magical District in the Atlantic Ocean that was abandoned six years ago?\From what I heard, that was caused by flooding due to accidents and storms...\That was the official explanation.\However, the actual reason was different.\The destruction of that city was a deliberate act.\By Tartaros Lapus. response:	Carly, the target is moving along the estimated route by car.
