context: Sakimitama, Kushimitama... protect her. response:	The Fateful Two
context: Don't assume I'm like you.\Masters don't mean shit to me.\Stop!\Enough already!\I came here to see someone named Sanada Yukimura!\So this is the formidable Ueda Castle.\It's awfully plain, isn't it?\I thought I'd be excited to see my first castle. response:	This better not be trouble.
context: Masters don't mean shit to me.\Stop!\Enough already!\I came here to see someone named Sanada Yukimura!\So this is the formidable Ueda Castle.\It's awfully plain, isn't it?\I thought I'd be excited to see my first castle.\This better not be trouble. response:	What?
context: Stop!\Enough already!\I came here to see someone named Sanada Yukimura!\So this is the formidable Ueda Castle.\It's awfully plain, isn't it?\I thought I'd be excited to see my first castle.\This better not be trouble.\What? response:	You idiot!
context: Enough already!\I came here to see someone named Sanada Yukimura!\So this is the formidable Ueda Castle.\It's awfully plain, isn't it?\I thought I'd be excited to see my first castle.\This better not be trouble.\What?\You idiot! response:	Well, whatever.
context: I came here to see someone named Sanada Yukimura!\So this is the formidable Ueda Castle.\It's awfully plain, isn't it?\I thought I'd be excited to see my first castle.\This better not be trouble.\What?\You idiot!\Well, whatever. response:	Sit up!
context: So this is the formidable Ueda Castle.\It's awfully plain, isn't it?\I thought I'd be excited to see my first castle.\This better not be trouble.\What?\You idiot!\Well, whatever.\Sit up! response:	You're not even bowing.
context: It's awfully plain, isn't it?\I thought I'd be excited to see my first castle.\This better not be trouble.\What?\You idiot!\Well, whatever.\Sit up!\You're not even bowing. response:	This is the eccentric and clever lord,
context: I thought I'd be excited to see my first castle.\This better not be trouble.\What?\You idiot!\Well, whatever.\Sit up!\You're not even bowing.\This is the eccentric and clever lord, response:	Sanada Yukimura.
context: This better not be trouble.\What?\You idiot!\Well, whatever.\Sit up!\You're not even bowing.\This is the eccentric and clever lord,\Sanada Yukimura. response:	That's fine, I guess.
context: What?\You idiot!\Well, whatever.\Sit up!\You're not even bowing.\This is the eccentric and clever lord,\Sanada Yukimura.\That's fine, I guess. response:	Terrible personality.
context: You idiot!\Well, whatever.\Sit up!\You're not even bowing.\This is the eccentric and clever lord,\Sanada Yukimura.\That's fine, I guess.\Terrible personality. response:	You're a priestess of Izumo?
context: Well, whatever.\Sit up!\You're not even bowing.\This is the eccentric and clever lord,\Sanada Yukimura.\That's fine, I guess.\Terrible personality.\You're a priestess of Izumo? response:	Yes.
context: Sit up!\You're not even bowing.\This is the eccentric and clever lord,\Sanada Yukimura.\That's fine, I guess.\Terrible personality.\You're a priestess of Izumo?\Yes. response:	Then that would make him...
context: You're not even bowing.\This is the eccentric and clever lord,\Sanada Yukimura.\That's fine, I guess.\Terrible personality.\You're a priestess of Izumo?\Yes.\Then that would make him... response:	I finally found you.
context: This is the eccentric and clever lord,\Sanada Yukimura.\That's fine, I guess.\Terrible personality.\You're a priestess of Izumo?\Yes.\Then that would make him...\I finally found you. response:	Please help me.
context: Sanada Yukimura.\That's fine, I guess.\Terrible personality.\You're a priestess of Izumo?\Yes.\Then that would make him...\I finally found you.\Please help me. response:	Please!
context: That's fine, I guess.\Terrible personality.\You're a priestess of Izumo?\Yes.\Then that would make him...\I finally found you.\Please help me.\Please! response:	First, let's hear your story.
context: Terrible personality.\You're a priestess of Izumo?\Yes.\Then that would make him...\I finally found you.\Please help me.\Please!\First, let's hear your story. response:	The shrine was a sea of fire.
context: You're a priestess of Izumo?\Yes.\Then that would make him...\I finally found you.\Please help me.\Please!\First, let's hear your story.\The shrine was a sea of fire. response:	Everywhere I looked was red...
context: Yes.\Then that would make him...\I finally found you.\Please help me.\Please!\First, let's hear your story.\The shrine was a sea of fire.\Everywhere I looked was red... response:	Red!
context: Then that would make him...\I finally found you.\Please help me.\Please!\First, let's hear your story.\The shrine was a sea of fire.\Everywhere I looked was red...\Red! response:	Their corpses covered the grounds.
context: I finally found you.\Please help me.\Please!\First, let's hear your story.\The shrine was a sea of fire.\Everywhere I looked was red...\Red!\Their corpses covered the grounds. response:	The smell of blood made me sick.
context: Please help me.\Please!\First, let's hear your story.\The shrine was a sea of fire.\Everywhere I looked was red...\Red!\Their corpses covered the grounds.\The smell of blood made me sick. response:	Isanami, hurry!
context: Please!\First, let's hear your story.\The shrine was a sea of fire.\Everywhere I looked was red...\Red!\Their corpses covered the grounds.\The smell of blood made me sick.\Isanami, hurry! response:	But the others!
context: First, let's hear your story.\The shrine was a sea of fire.\Everywhere I looked was red...\Red!\Their corpses covered the grounds.\The smell of blood made me sick.\Isanami, hurry!\But the others! response:	Don't worry about them! Just hurry!
context: The shrine was a sea of fire.\Everywhere I looked was red...\Red!\Their corpses covered the grounds.\The smell of blood made me sick.\Isanami, hurry!\But the others!\Don't worry about them! Just hurry! response:	You must survive!
context: Everywhere I looked was red...\Red!\Their corpses covered the grounds.\The smell of blood made me sick.\Isanami, hurry!\But the others!\Don't worry about them! Just hurry!\You must survive! response:	Master!
context: Red!\Their corpses covered the grounds.\The smell of blood made me sick.\Isanami, hurry!\But the others!\Don't worry about them! Just hurry!\You must survive!\Master! response:	Seek out Sanada Yukimura of Shinshu.
context: Their corpses covered the grounds.\The smell of blood made me sick.\Isanami, hurry!\But the others!\Don't worry about them! Just hurry!\You must survive!\Master!\Seek out Sanada Yukimura of Shinshu. response:	But what about you?
context: The smell of blood made me sick.\Isanami, hurry!\But the others!\Don't worry about them! Just hurry!\You must survive!\Master!\Seek out Sanada Yukimura of Shinshu.\But what about you? response:	Sakimitama, Kushimitama... protect her.
context: Isanami, hurry!\But the others!\Don't worry about them! Just hurry!\You must survive!\Master!\Seek out Sanada Yukimura of Shinshu.\But what about you?\Sakimitama, Kushimitama... protect her. response:	Master!
context: But the others!\Don't worry about them! Just hurry!\You must survive!\Master!\Seek out Sanada Yukimura of Shinshu.\But what about you?\Sakimitama, Kushimitama... protect her.\Master! response:	They pursued me, the only survivor.
context: Don't worry about them! Just hurry!\You must survive!\Master!\Seek out Sanada Yukimura of Shinshu.\But what about you?\Sakimitama, Kushimitama... protect her.\Master!\They pursued me, the only survivor. response:	If Saizo hadn't saved me, I wouldn't have made it here.
context: You must survive!\Master!\Seek out Sanada Yukimura of Shinshu.\But what about you?\Sakimitama, Kushimitama... protect her.\Master!\They pursued me, the only survivor.\If Saizo hadn't saved me, I wouldn't have made it here. response:	I don't know what to do.
context: Master!\Seek out Sanada Yukimura of Shinshu.\But what about you?\Sakimitama, Kushimitama... protect her.\Master!\They pursued me, the only survivor.\If Saizo hadn't saved me, I wouldn't have made it here.\I don't know what to do. response:	A harsh story for a girl unfamiliar with war.
context: Seek out Sanada Yukimura of Shinshu.\But what about you?\Sakimitama, Kushimitama... protect her.\Master!\They pursued me, the only survivor.\If Saizo hadn't saved me, I wouldn't have made it here.\I don't know what to do.\A harsh story for a girl unfamiliar with war. response:	And? What do you want me to do?
context: But what about you?\Sakimitama, Kushimitama... protect her.\Master!\They pursued me, the only survivor.\If Saizo hadn't saved me, I wouldn't have made it here.\I don't know what to do.\A harsh story for a girl unfamiliar with war.\And? What do you want me to do? response:	What?
context: Sakimitama, Kushimitama... protect her.\Master!\They pursued me, the only survivor.\If Saizo hadn't saved me, I wouldn't have made it here.\I don't know what to do.\A harsh story for a girl unfamiliar with war.\And? What do you want me to do?\What? response:	The priest only told me to ask for your assistance.
context: Master!\They pursued me, the only survivor.\If Saizo hadn't saved me, I wouldn't have made it here.\I don't know what to do.\A harsh story for a girl unfamiliar with war.\And? What do you want me to do?\What?\The priest only told me to ask for your assistance. response:	Yeah, but I don't want to be an accomplice in your revenge.
context: They pursued me, the only survivor.\If Saizo hadn't saved me, I wouldn't have made it here.\I don't know what to do.\A harsh story for a girl unfamiliar with war.\And? What do you want me to do?\What?\The priest only told me to ask for your assistance.\Yeah, but I don't want to be an accomplice in your revenge. response:	I never asked you to avenge them!
context: If Saizo hadn't saved me, I wouldn't have made it here.\I don't know what to do.\A harsh story for a girl unfamiliar with war.\And? What do you want me to do?\What?\The priest only told me to ask for your assistance.\Yeah, but I don't want to be an accomplice in your revenge.\I never asked you to avenge them! response:	You said you're being chased?
context: I don't know what to do.\A harsh story for a girl unfamiliar with war.\And? What do you want me to do?\What?\The priest only told me to ask for your assistance.\Yeah, but I don't want to be an accomplice in your revenge.\I never asked you to avenge them!\You said you're being chased? response:	What if they come after me?
context: A harsh story for a girl unfamiliar with war.\And? What do you want me to do?\What?\The priest only told me to ask for your assistance.\Yeah, but I don't want to be an accomplice in your revenge.\I never asked you to avenge them!\You said you're being chased?\What if they come after me? response:	I don't get involved in dangerous work.
context: And? What do you want me to do?\What?\The priest only told me to ask for your assistance.\Yeah, but I don't want to be an accomplice in your revenge.\I never asked you to avenge them!\You said you're being chased?\What if they come after me?\I don't get involved in dangerous work. response:	Sorry, but there's nothing I can do for you.
context: What?\The priest only told me to ask for your assistance.\Yeah, but I don't want to be an accomplice in your revenge.\I never asked you to avenge them!\You said you're being chased?\What if they come after me?\I don't get involved in dangerous work.\Sorry, but there's nothing I can do for you. response:	But...
context: The priest only told me to ask for your assistance.\Yeah, but I don't want to be an accomplice in your revenge.\I never asked you to avenge them!\You said you're being chased?\What if they come after me?\I don't get involved in dangerous work.\Sorry, but there's nothing I can do for you.\But... response:	Still, even I'm not that cold-hearted.
context: Yeah, but I don't want to be an accomplice in your revenge.\I never asked you to avenge them!\You said you're being chased?\What if they come after me?\I don't get involved in dangerous work.\Sorry, but there's nothing I can do for you.\But...\Still, even I'm not that cold-hearted. response:	You can stay here tonight.
context: I never asked you to avenge them!\You said you're being chased?\What if they come after me?\I don't get involved in dangerous work.\Sorry, but there's nothing I can do for you.\But...\Still, even I'm not that cold-hearted.\You can stay here tonight. response:	Rokuro, prepare a room for her.
context: You said you're being chased?\What if they come after me?\I don't get involved in dangerous work.\Sorry, but there's nothing I can do for you.\But...\Still, even I'm not that cold-hearted.\You can stay here tonight.\Rokuro, prepare a room for her. response:	Very well.
context: What if they come after me?\I don't get involved in dangerous work.\Sorry, but there's nothing I can do for you.\But...\Still, even I'm not that cold-hearted.\You can stay here tonight.\Rokuro, prepare a room for her.\Very well. response:	Hey.
context: I don't get involved in dangerous work.\Sorry, but there's nothing I can do for you.\But...\Still, even I'm not that cold-hearted.\You can stay here tonight.\Rokuro, prepare a room for her.\Very well.\Hey. response:	I'm gonna go.
context: Sorry, but there's nothing I can do for you.\But...\Still, even I'm not that cold-hearted.\You can stay here tonight.\Rokuro, prepare a room for her.\Very well.\Hey.\I'm gonna go. response:	Don't let it get you down.
context: But...\Still, even I'm not that cold-hearted.\You can stay here tonight.\Rokuro, prepare a room for her.\Very well.\Hey.\I'm gonna go.\Don't let it get you down. response:	All lords are like that.
context: Still, even I'm not that cold-hearted.\You can stay here tonight.\Rokuro, prepare a room for her.\Very well.\Hey.\I'm gonna go.\Don't let it get you down.\All lords are like that. response:	How would you understand?!
context: You can stay here tonight.\Rokuro, prepare a room for her.\Very well.\Hey.\I'm gonna go.\Don't let it get you down.\All lords are like that.\How would you understand?! response:	Do you know how I felt coming here from Izumo?!
context: Rokuro, prepare a room for her.\Very well.\Hey.\I'm gonna go.\Don't let it get you down.\All lords are like that.\How would you understand?!\Do you know how I felt coming here from Izumo?! response:	I left everyone and escaped alone!
context: Very well.\Hey.\I'm gonna go.\Don't let it get you down.\All lords are like that.\How would you understand?!\Do you know how I felt coming here from Izumo?!\I left everyone and escaped alone! response:	I'm the only one who survived...
context: Hey.\I'm gonna go.\Don't let it get you down.\All lords are like that.\How would you understand?!\Do you know how I felt coming here from Izumo?!\I left everyone and escaped alone!\I'm the only one who survived... response:	Hey.
context: I'm gonna go.\Don't let it get you down.\All lords are like that.\How would you understand?!\Do you know how I felt coming here from Izumo?!\I left everyone and escaped alone!\I'm the only one who survived...\Hey. response:	Why are you following me?
context: Don't let it get you down.\All lords are like that.\How would you understand?!\Do you know how I felt coming here from Izumo?!\I left everyone and escaped alone!\I'm the only one who survived...\Hey.\Why are you following me? response:	Be a good girl and stay in the castle.
context: All lords are like that.\How would you understand?!\Do you know how I felt coming here from Izumo?!\I left everyone and escaped alone!\I'm the only one who survived...\Hey.\Why are you following me?\Be a good girl and stay in the castle. response:	But even if I stay there, I don't know what I'll do tomorrow.
context: How would you understand?!\Do you know how I felt coming here from Izumo?!\I left everyone and escaped alone!\I'm the only one who survived...\Hey.\Why are you following me?\Be a good girl and stay in the castle.\But even if I stay there, I don't know what I'll do tomorrow. response:	Stay with me.
context: Do you know how I felt coming here from Izumo?!\I left everyone and escaped alone!\I'm the only one who survived...\Hey.\Why are you following me?\Be a good girl and stay in the castle.\But even if I stay there, I don't know what I'll do tomorrow.\Stay with me. response:	You're strong.
context: I left everyone and escaped alone!\I'm the only one who survived...\Hey.\Why are you following me?\Be a good girl and stay in the castle.\But even if I stay there, I don't know what I'll do tomorrow.\Stay with me.\You're strong. response:	Besides, maybe we were meant to meet.
context: I'm the only one who survived...\Hey.\Why are you following me?\Be a good girl and stay in the castle.\But even if I stay there, I don't know what I'll do tomorrow.\Stay with me.\You're strong.\Besides, maybe we were meant to meet. response:	I can't have you following me.
context: Hey.\Why are you following me?\Be a good girl and stay in the castle.\But even if I stay there, I don't know what I'll do tomorrow.\Stay with me.\You're strong.\Besides, maybe we were meant to meet.\I can't have you following me. response:	Go.
context: Why are you following me?\Be a good girl and stay in the castle.\But even if I stay there, I don't know what I'll do tomorrow.\Stay with me.\You're strong.\Besides, maybe we were meant to meet.\I can't have you following me.\Go. response:	My legs hurt.
context: Be a good girl and stay in the castle.\But even if I stay there, I don't know what I'll do tomorrow.\Stay with me.\You're strong.\Besides, maybe we were meant to meet.\I can't have you following me.\Go.\My legs hurt. response:	I can't take another step!
context: But even if I stay there, I don't know what I'll do tomorrow.\Stay with me.\You're strong.\Besides, maybe we were meant to meet.\I can't have you following me.\Go.\My legs hurt.\I can't take another step! response:	Fine, then.
context: Stay with me.\You're strong.\Besides, maybe we were meant to meet.\I can't have you following me.\Go.\My legs hurt.\I can't take another step!\Fine, then. response:	I'll just camp out here by myself tonight!
context: You're strong.\Besides, maybe we were meant to meet.\I can't have you following me.\Go.\My legs hurt.\I can't take another step!\Fine, then.\I'll just camp out here by myself tonight! response:	If a wolf eats me, at least come and collect my bones.
context: Besides, maybe we were meant to meet.\I can't have you following me.\Go.\My legs hurt.\I can't take another step!\Fine, then.\I'll just camp out here by myself tonight!\If a wolf eats me, at least come and collect my bones. response:	Don't get the wrong idea.
context: I can't have you following me.\Go.\My legs hurt.\I can't take another step!\Fine, then.\I'll just camp out here by myself tonight!\If a wolf eats me, at least come and collect my bones.\Don't get the wrong idea. response:	I'm not what you think I am.
context: Go.\My legs hurt.\I can't take another step!\Fine, then.\I'll just camp out here by myself tonight!\If a wolf eats me, at least come and collect my bones.\Don't get the wrong idea.\I'm not what you think I am. response:	Even if you died here, I wouldn't care.
context: My legs hurt.\I can't take another step!\Fine, then.\I'll just camp out here by myself tonight!\If a wolf eats me, at least come and collect my bones.\Don't get the wrong idea.\I'm not what you think I am.\Even if you died here, I wouldn't care. response:	Stop following me.
context: I can't take another step!\Fine, then.\I'll just camp out here by myself tonight!\If a wolf eats me, at least come and collect my bones.\Don't get the wrong idea.\I'm not what you think I am.\Even if you died here, I wouldn't care.\Stop following me. response:	Saizo!
context: Fine, then.\I'll just camp out here by myself tonight!\If a wolf eats me, at least come and collect my bones.\Don't get the wrong idea.\I'm not what you think I am.\Even if you died here, I wouldn't care.\Stop following me.\Saizo! response:	Their approach was undetectable.
context: I'll just camp out here by myself tonight!\If a wolf eats me, at least come and collect my bones.\Don't get the wrong idea.\I'm not what you think I am.\Even if you died here, I wouldn't care.\Stop following me.\Saizo!\Their approach was undetectable. response:	They're stronger than the ones from this afternoon.
context: If a wolf eats me, at least come and collect my bones.\Don't get the wrong idea.\I'm not what you think I am.\Even if you died here, I wouldn't care.\Stop following me.\Saizo!\Their approach was undetectable.\They're stronger than the ones from this afternoon. response:	That monkey's owl.
context: Don't get the wrong idea.\I'm not what you think I am.\Even if you died here, I wouldn't care.\Stop following me.\Saizo!\Their approach was undetectable.\They're stronger than the ones from this afternoon.\That monkey's owl. response:	I thought I smelled some raccoon dogs.
context: I'm not what you think I am.\Even if you died here, I wouldn't care.\Stop following me.\Saizo!\Their approach was undetectable.\They're stronger than the ones from this afternoon.\That monkey's owl.\I thought I smelled some raccoon dogs. response:	You're Ieyasu's men, aren't you?
context: Even if you died here, I wouldn't care.\Stop following me.\Saizo!\Their approach was undetectable.\They're stronger than the ones from this afternoon.\That monkey's owl.\I thought I smelled some raccoon dogs.\You're Ieyasu's men, aren't you? response:	You used us as bait!
context: Stop following me.\Saizo!\Their approach was undetectable.\They're stronger than the ones from this afternoon.\That monkey's owl.\I thought I smelled some raccoon dogs.\You're Ieyasu's men, aren't you?\You used us as bait! response:	Forgive me. I had to see what we were up against.
context: Saizo!\Their approach was undetectable.\They're stronger than the ones from this afternoon.\That monkey's owl.\I thought I smelled some raccoon dogs.\You're Ieyasu's men, aren't you?\You used us as bait!\Forgive me. I had to see what we were up against. response:	But you're not a man who falls so easily to enemies like this, are you?
context: Their approach was undetectable.\They're stronger than the ones from this afternoon.\That monkey's owl.\I thought I smelled some raccoon dogs.\You're Ieyasu's men, aren't you?\You used us as bait!\Forgive me. I had to see what we were up against.\But you're not a man who falls so easily to enemies like this, are you? response:	Bring it on.
context: They're stronger than the ones from this afternoon.\That monkey's owl.\I thought I smelled some raccoon dogs.\You're Ieyasu's men, aren't you?\You used us as bait!\Forgive me. I had to see what we were up against.\But you're not a man who falls so easily to enemies like this, are you?\Bring it on. response:	Watch carefully, Sanada Yukimura, Sarutobi Sasuke!
context: That monkey's owl.\I thought I smelled some raccoon dogs.\You're Ieyasu's men, aren't you?\You used us as bait!\Forgive me. I had to see what we were up against.\But you're not a man who falls so easily to enemies like this, are you?\Bring it on.\Watch carefully, Sanada Yukimura, Sarutobi Sasuke! response:	Ougi...
context: I thought I smelled some raccoon dogs.\You're Ieyasu's men, aren't you?\You used us as bait!\Forgive me. I had to see what we were up against.\But you're not a man who falls so easily to enemies like this, are you?\Bring it on.\Watch carefully, Sanada Yukimura, Sarutobi Sasuke!\Ougi... response:	Shunko!
context: You're Ieyasu's men, aren't you?\You used us as bait!\Forgive me. I had to see what we were up against.\But you're not a man who falls so easily to enemies like this, are you?\Bring it on.\Watch carefully, Sanada Yukimura, Sarutobi Sasuke!\Ougi...\Shunko! response:	Why?
context: You used us as bait!\Forgive me. I had to see what we were up against.\But you're not a man who falls so easily to enemies like this, are you?\Bring it on.\Watch carefully, Sanada Yukimura, Sarutobi Sasuke!\Ougi...\Shunko!\Why? response:	Why did this have to happen?
context: Forgive me. I had to see what we were up against.\But you're not a man who falls so easily to enemies like this, are you?\Bring it on.\Watch carefully, Sanada Yukimura, Sarutobi Sasuke!\Ougi...\Shunko!\Why?\Why did this have to happen? response:	What did we do?!
context: But you're not a man who falls so easily to enemies like this, are you?\Bring it on.\Watch carefully, Sanada Yukimura, Sarutobi Sasuke!\Ougi...\Shunko!\Why?\Why did this have to happen?\What did we do?! response:	Those who mock us will be destroyed.
context: Bring it on.\Watch carefully, Sanada Yukimura, Sarutobi Sasuke!\Ougi...\Shunko!\Why?\Why did this have to happen?\What did we do?!\Those who mock us will be destroyed. response:	Hey, Isanami!
context: Watch carefully, Sanada Yukimura, Sarutobi Sasuke!\Ougi...\Shunko!\Why?\Why did this have to happen?\What did we do?!\Those who mock us will be destroyed.\Hey, Isanami! response:	Those marks again?
context: Ougi...\Shunko!\Why?\Why did this have to happen?\What did we do?!\Those who mock us will be destroyed.\Hey, Isanami!\Those marks again? response:	Are you
context: Shunko!\Why?\Why did this have to happen?\What did we do?!\Those who mock us will be destroyed.\Hey, Isanami!\Those marks again?\Are you response:	Saizo?
context: Why?\Why did this have to happen?\What did we do?!\Those who mock us will be destroyed.\Hey, Isanami!\Those marks again?\Are you\Saizo? response:	You really did save me, Saizo!
context: Why did this have to happen?\What did we do?!\Those who mock us will be destroyed.\Hey, Isanami!\Those marks again?\Are you\Saizo?\You really did save me, Saizo! response:	Hey.
context: What did we do?!\Those who mock us will be destroyed.\Hey, Isanami!\Those marks again?\Are you\Saizo?\You really did save me, Saizo!\Hey. response:	That was impressive.
context: Those who mock us will be destroyed.\Hey, Isanami!\Those marks again?\Are you\Saizo?\You really did save me, Saizo!\Hey.\That was impressive. response:	The trees rotted away in an instant.
context: Hey, Isanami!\Those marks again?\Are you\Saizo?\You really did save me, Saizo!\Hey.\That was impressive.\The trees rotted away in an instant. response:	What's going on, old man?
context: Those marks again?\Are you\Saizo?\You really did save me, Saizo!\Hey.\That was impressive.\The trees rotted away in an instant.\What's going on, old man? response:	You know something about this?
context: Are you\Saizo?\You really did save me, Saizo!\Hey.\That was impressive.\The trees rotted away in an instant.\What's going on, old man?\You know something about this? response:	Who knows?
context: Saizo?\You really did save me, Saizo!\Hey.\That was impressive.\The trees rotted away in an instant.\What's going on, old man?\You know something about this?\Who knows? response:	But those raccoon dogs won't give up so easily.
context: You really did save me, Saizo!\Hey.\That was impressive.\The trees rotted away in an instant.\What's going on, old man?\You know something about this?\Who knows?\But those raccoon dogs won't give up so easily. response:	Yukimura-sama.
context: Hey.\That was impressive.\The trees rotted away in an instant.\What's going on, old man?\You know something about this?\Who knows?\But those raccoon dogs won't give up so easily.\Yukimura-sama. response:	Don't worry.
context: That was impressive.\The trees rotted away in an instant.\What's going on, old man?\You know something about this?\Who knows?\But those raccoon dogs won't give up so easily.\Yukimura-sama.\Don't worry. response:	I'll look after you.
context: The trees rotted away in an instant.\What's going on, old man?\You know something about this?\Who knows?\But those raccoon dogs won't give up so easily.\Yukimura-sama.\Don't worry.\I'll look after you. response:	I won't let them have you.
context: What's going on, old man?\You know something about this?\Who knows?\But those raccoon dogs won't give up so easily.\Yukimura-sama.\Don't worry.\I'll look after you.\I won't let them have you. response:	Saizo!
context: You know something about this?\Who knows?\But those raccoon dogs won't give up so easily.\Yukimura-sama.\Don't worry.\I'll look after you.\I won't let them have you.\Saizo! response:	Yukimura-sama, Saizo has no master.
context: Who knows?\But those raccoon dogs won't give up so easily.\Yukimura-sama.\Don't worry.\I'll look after you.\I won't let them have you.\Saizo!\Yukimura-sama, Saizo has no master. response:	Could you take him in as your own?
context: But those raccoon dogs won't give up so easily.\Yukimura-sama.\Don't worry.\I'll look after you.\I won't let them have you.\Saizo!\Yukimura-sama, Saizo has no master.\Could you take him in as your own? response:	What do you think you're saying?!
context: Yukimura-sama.\Don't worry.\I'll look after you.\I won't let them have you.\Saizo!\Yukimura-sama, Saizo has no master.\Could you take him in as your own?\What do you think you're saying?! response:	I've got nothing to do with this.
context: Don't worry.\I'll look after you.\I won't let them have you.\Saizo!\Yukimura-sama, Saizo has no master.\Could you take him in as your own?\What do you think you're saying?!\I've got nothing to do with this. response:	Don't be like that.
context: I'll look after you.\I won't let them have you.\Saizo!\Yukimura-sama, Saizo has no master.\Could you take him in as your own?\What do you think you're saying?!\I've got nothing to do with this.\Don't be like that. response:	Stay with me in Ueda.
context: I won't let them have you.\Saizo!\Yukimura-sama, Saizo has no master.\Could you take him in as your own?\What do you think you're saying?!\I've got nothing to do with this.\Don't be like that.\Stay with me in Ueda. response:	Gimme a break! Just being around you wears me out!
context: Saizo!\Yukimura-sama, Saizo has no master.\Could you take him in as your own?\What do you think you're saying?!\I've got nothing to do with this.\Don't be like that.\Stay with me in Ueda.\Gimme a break! Just being around you wears me out! response:	But I bought you soba.
context: Yukimura-sama, Saizo has no master.\Could you take him in as your own?\What do you think you're saying?!\I've got nothing to do with this.\Don't be like that.\Stay with me in Ueda.\Gimme a break! Just being around you wears me out!\But I bought you soba. response:	Don't be ridiculous. That was just...
context: Could you take him in as your own?\What do you think you're saying?!\I've got nothing to do with this.\Don't be like that.\Stay with me in Ueda.\Gimme a break! Just being around you wears me out!\But I bought you soba.\Don't be ridiculous. That was just... response:	You owe the girl a favor?
context: What do you think you're saying?!\I've got nothing to do with this.\Don't be like that.\Stay with me in Ueda.\Gimme a break! Just being around you wears me out!\But I bought you soba.\Don't be ridiculous. That was just...\You owe the girl a favor? response:	How embarrassing.
context: I've got nothing to do with this.\Don't be like that.\Stay with me in Ueda.\Gimme a break! Just being around you wears me out!\But I bought you soba.\Don't be ridiculous. That was just...\You owe the girl a favor?\How embarrassing. response:	As a man, you'll have to repay her.
context: Don't be like that.\Stay with me in Ueda.\Gimme a break! Just being around you wears me out!\But I bought you soba.\Don't be ridiculous. That was just...\You owe the girl a favor?\How embarrassing.\As a man, you'll have to repay her. response:	You'll do physical labor.
context: Stay with me in Ueda.\Gimme a break! Just being around you wears me out!\But I bought you soba.\Don't be ridiculous. That was just...\You owe the girl a favor?\How embarrassing.\As a man, you'll have to repay her.\You'll do physical labor. response:	I'm counting on you, Saizo.
context: Gimme a break! Just being around you wears me out!\But I bought you soba.\Don't be ridiculous. That was just...\You owe the girl a favor?\How embarrassing.\As a man, you'll have to repay her.\You'll do physical labor.\I'm counting on you, Saizo. response:	I don't believe this.
context: But I bought you soba.\Don't be ridiculous. That was just...\You owe the girl a favor?\How embarrassing.\As a man, you'll have to repay her.\You'll do physical labor.\I'm counting on you, Saizo.\I don't believe this. response:	I didn't expect the two of them to end up here like this.
context: Don't be ridiculous. That was just...\You owe the girl a favor?\How embarrassing.\As a man, you'll have to repay her.\You'll do physical labor.\I'm counting on you, Saizo.\I don't believe this.\I didn't expect the two of them to end up here like this. response:	I suppose you could call it a coincidence.
context: You owe the girl a favor?\How embarrassing.\As a man, you'll have to repay her.\You'll do physical labor.\I'm counting on you, Saizo.\I don't believe this.\I didn't expect the two of them to end up here like this.\I suppose you could call it a coincidence. response:	Rokuro, you saw it, too, didn't you?
context: How embarrassing.\As a man, you'll have to repay her.\You'll do physical labor.\I'm counting on you, Saizo.\I don't believe this.\I didn't expect the two of them to end up here like this.\I suppose you could call it a coincidence.\Rokuro, you saw it, too, didn't you? response:	Yes.
context: As a man, you'll have to repay her.\You'll do physical labor.\I'm counting on you, Saizo.\I don't believe this.\I didn't expect the two of them to end up here like this.\I suppose you could call it a coincidence.\Rokuro, you saw it, too, didn't you?\Yes. response:	The power to destroy all living things.
context: You'll do physical labor.\I'm counting on you, Saizo.\I don't believe this.\I didn't expect the two of them to end up here like this.\I suppose you could call it a coincidence.\Rokuro, you saw it, too, didn't you?\Yes.\The power to destroy all living things. response:	The one who controls that power controls the world.
context: I'm counting on you, Saizo.\I don't believe this.\I didn't expect the two of them to end up here like this.\I suppose you could call it a coincidence.\Rokuro, you saw it, too, didn't you?\Yes.\The power to destroy all living things.\The one who controls that power controls the world. response:	That raccoon dog desires more than he deserves.
context: I don't believe this.\I didn't expect the two of them to end up here like this.\I suppose you could call it a coincidence.\Rokuro, you saw it, too, didn't you?\Yes.\The power to destroy all living things.\The one who controls that power controls the world.\That raccoon dog desires more than he deserves. response:	It's time to teach him a lesson.
context: I didn't expect the two of them to end up here like this.\I suppose you could call it a coincidence.\Rokuro, you saw it, too, didn't you?\Yes.\The power to destroy all living things.\The one who controls that power controls the world.\That raccoon dog desires more than he deserves.\It's time to teach him a lesson. response:	Then...
context: I suppose you could call it a coincidence.\Rokuro, you saw it, too, didn't you?\Yes.\The power to destroy all living things.\The one who controls that power controls the world.\That raccoon dog desires more than he deserves.\It's time to teach him a lesson.\Then... response:	Hold on. No need to rush, Rokuro.
context: Rokuro, you saw it, too, didn't you?\Yes.\The power to destroy all living things.\The one who controls that power controls the world.\That raccoon dog desires more than he deserves.\It's time to teach him a lesson.\Then...\Hold on. No need to rush, Rokuro. response:	I don't have enough yet.
context: Yes.\The power to destroy all living things.\The one who controls that power controls the world.\That raccoon dog desires more than he deserves.\It's time to teach him a lesson.\Then...\Hold on. No need to rush, Rokuro.\I don't have enough yet. response:	I need one brave warrior for each finger on these two hands.
