context: A month after I moved to Tokyo, response:	my incredible luck...
context: I've decided to go on a diet.\So that's why you're looking under the weather today.\Brighten up, Hachi. But that's unfortunate.\It wouldn't be proper to invite you out at such a time.\I wanted to take you to dinner.\Yay! Food!\All right. We'll close early today.\Think about what you wanna eat. response:	Darn it.
context: So that's why you're looking under the weather today.\Brighten up, Hachi. But that's unfortunate.\It wouldn't be proper to invite you out at such a time.\I wanted to take you to dinner.\Yay! Food!\All right. We'll close early today.\Think about what you wanna eat.\Darn it. response:	But it's okay, I guess.
context: Brighten up, Hachi. But that's unfortunate.\It wouldn't be proper to invite you out at such a time.\I wanted to take you to dinner.\Yay! Food!\All right. We'll close early today.\Think about what you wanna eat.\Darn it.\But it's okay, I guess. response:	There's no big deal about having a meal together.
context: It wouldn't be proper to invite you out at such a time.\I wanted to take you to dinner.\Yay! Food!\All right. We'll close early today.\Think about what you wanna eat.\Darn it.\But it's okay, I guess.\There's no big deal about having a meal together. response:	After all, it's not as if Mr. Mizukoshi has the hots for me.
context: I wanted to take you to dinner.\Yay! Food!\All right. We'll close early today.\Think about what you wanna eat.\Darn it.\But it's okay, I guess.\There's no big deal about having a meal together.\After all, it's not as if Mr. Mizukoshi has the hots for me. response:	So this doesn't qualify as cheating on my boyfriend.
context: Yay! Food!\All right. We'll close early today.\Think about what you wanna eat.\Darn it.\But it's okay, I guess.\There's no big deal about having a meal together.\After all, it's not as if Mr. Mizukoshi has the hots for me.\So this doesn't qualify as cheating on my boyfriend. response:	I was waiting for you that whole time.
context: All right. We'll close early today.\Think about what you wanna eat.\Darn it.\But it's okay, I guess.\There's no big deal about having a meal together.\After all, it's not as if Mr. Mizukoshi has the hots for me.\So this doesn't qualify as cheating on my boyfriend.\I was waiting for you that whole time. response:	I'm really sorry about that.
context: Think about what you wanna eat.\Darn it.\But it's okay, I guess.\There's no big deal about having a meal together.\After all, it's not as if Mr. Mizukoshi has the hots for me.\So this doesn't qualify as cheating on my boyfriend.\I was waiting for you that whole time.\I'm really sorry about that. response:	So, how about next Sunday?
context: Darn it.\But it's okay, I guess.\There's no big deal about having a meal together.\After all, it's not as if Mr. Mizukoshi has the hots for me.\So this doesn't qualify as cheating on my boyfriend.\I was waiting for you that whole time.\I'm really sorry about that.\So, how about next Sunday? response:	I think I can make it.
context: But it's okay, I guess.\There's no big deal about having a meal together.\After all, it's not as if Mr. Mizukoshi has the hots for me.\So this doesn't qualify as cheating on my boyfriend.\I was waiting for you that whole time.\I'm really sorry about that.\So, how about next Sunday?\I think I can make it. response:	That's great!
context: There's no big deal about having a meal together.\After all, it's not as if Mr. Mizukoshi has the hots for me.\So this doesn't qualify as cheating on my boyfriend.\I was waiting for you that whole time.\I'm really sorry about that.\So, how about next Sunday?\I think I can make it.\That's great! response:	Oh, right. About yesterday...
context: After all, it's not as if Mr. Mizukoshi has the hots for me.\So this doesn't qualify as cheating on my boyfriend.\I was waiting for you that whole time.\I'm really sorry about that.\So, how about next Sunday?\I think I can make it.\That's great!\Oh, right. About yesterday... response:	Huh? What?
context: So this doesn't qualify as cheating on my boyfriend.\I was waiting for you that whole time.\I'm really sorry about that.\So, how about next Sunday?\I think I can make it.\That's great!\Oh, right. About yesterday...\Huh? What? response:	What are you saying?! That's crazy!
context: I was waiting for you that whole time.\I'm really sorry about that.\So, how about next Sunday?\I think I can make it.\That's great!\Oh, right. About yesterday...\Huh? What?\What are you saying?! That's crazy! response:	But it's the truth!
context: I'm really sorry about that.\So, how about next Sunday?\I think I can make it.\That's great!\Oh, right. About yesterday...\Huh? What?\What are you saying?! That's crazy!\But it's the truth! response:	I really think you should pick your friends more carefully.
context: So, how about next Sunday?\I think I can make it.\That's great!\Oh, right. About yesterday...\Huh? What?\What are you saying?! That's crazy!\But it's the truth!\I really think you should pick your friends more carefully. response:	But like I said, she's usually a really good girl.
context: I think I can make it.\That's great!\Oh, right. About yesterday...\Huh? What?\What are you saying?! That's crazy!\But it's the truth!\I really think you should pick your friends more carefully.\But like I said, she's usually a really good girl. response:	I don't believe that.
context: That's great!\Oh, right. About yesterday...\Huh? What?\What are you saying?! That's crazy!\But it's the truth!\I really think you should pick your friends more carefully.\But like I said, she's usually a really good girl.\I don't believe that. response:	Ow!
context: Oh, right. About yesterday...\Huh? What?\What are you saying?! That's crazy!\But it's the truth!\I really think you should pick your friends more carefully.\But like I said, she's usually a really good girl.\I don't believe that.\Ow! response:	Yo!
context: Huh? What?\What are you saying?! That's crazy!\But it's the truth!\I really think you should pick your friends more carefully.\But like I said, she's usually a really good girl.\I don't believe that.\Ow!\Yo! response:	I get it.
context: What are you saying?! That's crazy!\But it's the truth!\I really think you should pick your friends more carefully.\But like I said, she's usually a really good girl.\I don't believe that.\Ow!\Yo!\I get it. response:	Well, I was just as surprised.
context: But it's the truth!\I really think you should pick your friends more carefully.\But like I said, she's usually a really good girl.\I don't believe that.\Ow!\Yo!\I get it.\Well, I was just as surprised. response:	You have the same employer, go to the same university,
context: I really think you should pick your friends more carefully.\But like I said, she's usually a really good girl.\I don't believe that.\Ow!\Yo!\I get it.\Well, I was just as surprised.\You have the same employer, go to the same university, response:	and enroll at the same faculty.
context: But like I said, she's usually a really good girl.\I don't believe that.\Ow!\Yo!\I get it.\Well, I was just as surprised.\You have the same employer, go to the same university,\and enroll at the same faculty. response:	Guess you pretty well hafta get along.
context: I don't believe that.\Ow!\Yo!\I get it.\Well, I was just as surprised.\You have the same employer, go to the same university,\and enroll at the same faculty.\Guess you pretty well hafta get along. response:	Yes, but Sachiko was accepted on her first try,
context: Ow!\Yo!\I get it.\Well, I was just as surprised.\You have the same employer, go to the same university,\and enroll at the same faculty.\Guess you pretty well hafta get along.\Yes, but Sachiko was accepted on her first try, response:	so she's two years younger.
context: Yo!\I get it.\Well, I was just as surprised.\You have the same employer, go to the same university,\and enroll at the same faculty.\Guess you pretty well hafta get along.\Yes, but Sachiko was accepted on her first try,\so she's two years younger. response:	Sachiko?
context: I get it.\Well, I was just as surprised.\You have the same employer, go to the same university,\and enroll at the same faculty.\Guess you pretty well hafta get along.\Yes, but Sachiko was accepted on her first try,\so she's two years younger.\Sachiko? response:	I can't help it. She asked me to call her that.
context: Well, I was just as surprised.\You have the same employer, go to the same university,\and enroll at the same faculty.\Guess you pretty well hafta get along.\Yes, but Sachiko was accepted on her first try,\so she's two years younger.\Sachiko?\I can't help it. She asked me to call her that. response:	There was no reason to refuse.
context: You have the same employer, go to the same university,\and enroll at the same faculty.\Guess you pretty well hafta get along.\Yes, but Sachiko was accepted on her first try,\so she's two years younger.\Sachiko?\I can't help it. She asked me to call her that.\There was no reason to refuse. response:	She's clearly your type. Petite and fair-skinned.
context: and enroll at the same faculty.\Guess you pretty well hafta get along.\Yes, but Sachiko was accepted on her first try,\so she's two years younger.\Sachiko?\I can't help it. She asked me to call her that.\There was no reason to refuse.\She's clearly your type. Petite and fair-skinned. response:	You can't help it.
context: Guess you pretty well hafta get along.\Yes, but Sachiko was accepted on her first try,\so she's two years younger.\Sachiko?\I can't help it. She asked me to call her that.\There was no reason to refuse.\She's clearly your type. Petite and fair-skinned.\You can't help it. response:	But I'm telling you, it's not like that!
context: Yes, but Sachiko was accepted on her first try,\so she's two years younger.\Sachiko?\I can't help it. She asked me to call her that.\There was no reason to refuse.\She's clearly your type. Petite and fair-skinned.\You can't help it.\But I'm telling you, it's not like that! response:	I'm proud that you're holding back.
context: so she's two years younger.\Sachiko?\I can't help it. She asked me to call her that.\There was no reason to refuse.\She's clearly your type. Petite and fair-skinned.\You can't help it.\But I'm telling you, it's not like that!\I'm proud that you're holding back. response:	She's back.
context: Sachiko?\I can't help it. She asked me to call her that.\There was no reason to refuse.\She's clearly your type. Petite and fair-skinned.\You can't help it.\But I'm telling you, it's not like that!\I'm proud that you're holding back.\She's back. response:	Here, Shoji. Is coffee okay?
context: I can't help it. She asked me to call her that.\There was no reason to refuse.\She's clearly your type. Petite and fair-skinned.\You can't help it.\But I'm telling you, it's not like that!\I'm proud that you're holding back.\She's back.\Here, Shoji. Is coffee okay? response:	Yeah. Thanks.
context: There was no reason to refuse.\She's clearly your type. Petite and fair-skinned.\You can't help it.\But I'm telling you, it's not like that!\I'm proud that you're holding back.\She's back.\Here, Shoji. Is coffee okay?\Yeah. Thanks. response:	Mr. Kyosuke, which would you prefer?
context: She's clearly your type. Petite and fair-skinned.\You can't help it.\But I'm telling you, it's not like that!\I'm proud that you're holding back.\She's back.\Here, Shoji. Is coffee okay?\Yeah. Thanks.\Mr. Kyosuke, which would you prefer? response:	Just call me Kyosuke, Sa-chan.
context: You can't help it.\But I'm telling you, it's not like that!\I'm proud that you're holding back.\She's back.\Here, Shoji. Is coffee okay?\Yeah. Thanks.\Mr. Kyosuke, which would you prefer?\Just call me Kyosuke, Sa-chan. response:	That's gonna be trouble.
context: But I'm telling you, it's not like that!\I'm proud that you're holding back.\She's back.\Here, Shoji. Is coffee okay?\Yeah. Thanks.\Mr. Kyosuke, which would you prefer?\Just call me Kyosuke, Sa-chan.\That's gonna be trouble. response:	Huh?
context: I'm proud that you're holding back.\She's back.\Here, Shoji. Is coffee okay?\Yeah. Thanks.\Mr. Kyosuke, which would you prefer?\Just call me Kyosuke, Sa-chan.\That's gonna be trouble.\Huh? response:	Well, I'm more for the dark-skinned big girls like you, but...
context: She's back.\Here, Shoji. Is coffee okay?\Yeah. Thanks.\Mr. Kyosuke, which would you prefer?\Just call me Kyosuke, Sa-chan.\That's gonna be trouble.\Huh?\Well, I'm more for the dark-skinned big girls like you, but... response:	Huh?!
context: Here, Shoji. Is coffee okay?\Yeah. Thanks.\Mr. Kyosuke, which would you prefer?\Just call me Kyosuke, Sa-chan.\That's gonna be trouble.\Huh?\Well, I'm more for the dark-skinned big girls like you, but...\Huh?! response:	Well, excuse me for my dark skin.
context: Yeah. Thanks.\Mr. Kyosuke, which would you prefer?\Just call me Kyosuke, Sa-chan.\That's gonna be trouble.\Huh?\Well, I'm more for the dark-skinned big girls like you, but...\Huh?!\Well, excuse me for my dark skin. response:	But even I find her cute.
context: Mr. Kyosuke, which would you prefer?\Just call me Kyosuke, Sa-chan.\That's gonna be trouble.\Huh?\Well, I'm more for the dark-skinned big girls like you, but...\Huh?!\Well, excuse me for my dark skin.\But even I find her cute. response:	This is definitely bad.
context: Just call me Kyosuke, Sa-chan.\That's gonna be trouble.\Huh?\Well, I'm more for the dark-skinned big girls like you, but...\Huh?!\Well, excuse me for my dark skin.\But even I find her cute.\This is definitely bad. response:	So cool!
context: That's gonna be trouble.\Huh?\Well, I'm more for the dark-skinned big girls like you, but...\Huh?!\Well, excuse me for my dark skin.\But even I find her cute.\This is definitely bad.\So cool! response:	Shin, I didn't notice you there.
context: Huh?\Well, I'm more for the dark-skinned big girls like you, but...\Huh?!\Well, excuse me for my dark skin.\But even I find her cute.\This is definitely bad.\So cool!\Shin, I didn't notice you there. response:	Awesome.
context: Well, I'm more for the dark-skinned big girls like you, but...\Huh?!\Well, excuse me for my dark skin.\But even I find her cute.\This is definitely bad.\So cool!\Shin, I didn't notice you there.\Awesome. response:	I never knew you could play the drums too, Nana.
context: Huh?!\Well, excuse me for my dark skin.\But even I find her cute.\This is definitely bad.\So cool!\Shin, I didn't notice you there.\Awesome.\I never knew you could play the drums too, Nana. response:	I can't.
context: Well, excuse me for my dark skin.\But even I find her cute.\This is definitely bad.\So cool!\Shin, I didn't notice you there.\Awesome.\I never knew you could play the drums too, Nana.\I can't. response:	But you were!
context: But even I find her cute.\This is definitely bad.\So cool!\Shin, I didn't notice you there.\Awesome.\I never knew you could play the drums too, Nana.\I can't.\But you were! response:	This is all I know.
context: This is definitely bad.\So cool!\Shin, I didn't notice you there.\Awesome.\I never knew you could play the drums too, Nana.\I can't.\But you were!\This is all I know. response:	But you're good. When did you learn?
context: So cool!\Shin, I didn't notice you there.\Awesome.\I never knew you could play the drums too, Nana.\I can't.\But you were!\This is all I know.\But you're good. When did you learn? response:	Back home while I was in a band, I learned it for fun.
context: Shin, I didn't notice you there.\Awesome.\I never knew you could play the drums too, Nana.\I can't.\But you were!\This is all I know.\But you're good. When did you learn?\Back home while I was in a band, I learned it for fun. response:	From Yasu?
context: Awesome.\I never knew you could play the drums too, Nana.\I can't.\But you were!\This is all I know.\But you're good. When did you learn?\Back home while I was in a band, I learned it for fun.\From Yasu? response:	Why do you know about Yasu?
context: I never knew you could play the drums too, Nana.\I can't.\But you were!\This is all I know.\But you're good. When did you learn?\Back home while I was in a band, I learned it for fun.\From Yasu?\Why do you know about Yasu? response:	Because when Nobu gets drunk he always talks about Yasu.
context: I can't.\But you were!\This is all I know.\But you're good. When did you learn?\Back home while I was in a band, I learned it for fun.\From Yasu?\Why do you know about Yasu?\Because when Nobu gets drunk he always talks about Yasu. response:	Last night too, he kept saying how he wished that Yasu was here.
context: But you were!\This is all I know.\But you're good. When did you learn?\Back home while I was in a band, I learned it for fun.\From Yasu?\Why do you know about Yasu?\Because when Nobu gets drunk he always talks about Yasu.\Last night too, he kept saying how he wished that Yasu was here. response:	You stayed over at Nobu's place again?
context: This is all I know.\But you're good. When did you learn?\Back home while I was in a band, I learned it for fun.\From Yasu?\Why do you know about Yasu?\Because when Nobu gets drunk he always talks about Yasu.\Last night too, he kept saying how he wished that Yasu was here.\You stayed over at Nobu's place again? response:	Those are Nobu's clothes, aren't they?
context: But you're good. When did you learn?\Back home while I was in a band, I learned it for fun.\From Yasu?\Why do you know about Yasu?\Because when Nobu gets drunk he always talks about Yasu.\Last night too, he kept saying how he wished that Yasu was here.\You stayed over at Nobu's place again?\Those are Nobu's clothes, aren't they? response:	Nobu's at work right now, and said he may be a bit late.
context: Back home while I was in a band, I learned it for fun.\From Yasu?\Why do you know about Yasu?\Because when Nobu gets drunk he always talks about Yasu.\Last night too, he kept saying how he wished that Yasu was here.\You stayed over at Nobu's place again?\Those are Nobu's clothes, aren't they?\Nobu's at work right now, and said he may be a bit late. response:	Shin, you should return home once in a while.
context: From Yasu?\Why do you know about Yasu?\Because when Nobu gets drunk he always talks about Yasu.\Last night too, he kept saying how he wished that Yasu was here.\You stayed over at Nobu's place again?\Those are Nobu's clothes, aren't they?\Nobu's at work right now, and said he may be a bit late.\Shin, you should return home once in a while. response:	I'll bet your parents are worried.
context: Why do you know about Yasu?\Because when Nobu gets drunk he always talks about Yasu.\Last night too, he kept saying how he wished that Yasu was here.\You stayed over at Nobu's place again?\Those are Nobu's clothes, aren't they?\Nobu's at work right now, and said he may be a bit late.\Shin, you should return home once in a while.\I'll bet your parents are worried. response:	They're not.
context: Because when Nobu gets drunk he always talks about Yasu.\Last night too, he kept saying how he wished that Yasu was here.\You stayed over at Nobu's place again?\Those are Nobu's clothes, aren't they?\Nobu's at work right now, and said he may be a bit late.\Shin, you should return home once in a while.\I'll bet your parents are worried.\They're not. response:	Really? Then it's fine, I guess.
context: Last night too, he kept saying how he wished that Yasu was here.\You stayed over at Nobu's place again?\Those are Nobu's clothes, aren't they?\Nobu's at work right now, and said he may be a bit late.\Shin, you should return home once in a while.\I'll bet your parents are worried.\They're not.\Really? Then it's fine, I guess. response:	You're unusual, Nana.
context: You stayed over at Nobu's place again?\Those are Nobu's clothes, aren't they?\Nobu's at work right now, and said he may be a bit late.\Shin, you should return home once in a while.\I'll bet your parents are worried.\They're not.\Really? Then it's fine, I guess.\You're unusual, Nana. response:	Usually, everyone says,
context: Those are Nobu's clothes, aren't they?\Nobu's at work right now, and said he may be a bit late.\Shin, you should return home once in a while.\I'll bet your parents are worried.\They're not.\Really? Then it's fine, I guess.\You're unusual, Nana.\Usually, everyone says, response:	You're mistaken. Of course they're worried.
context: Nobu's at work right now, and said he may be a bit late.\Shin, you should return home once in a while.\I'll bet your parents are worried.\They're not.\Really? Then it's fine, I guess.\You're unusual, Nana.\Usually, everyone says,\You're mistaken. Of course they're worried. response:	But it's a fact that there are parents who abandon their children.
context: Shin, you should return home once in a while.\I'll bet your parents are worried.\They're not.\Really? Then it's fine, I guess.\You're unusual, Nana.\Usually, everyone says,\You're mistaken. Of course they're worried.\But it's a fact that there are parents who abandon their children. response:	A junior high student?
context: I'll bet your parents are worried.\They're not.\Really? Then it's fine, I guess.\You're unusual, Nana.\Usually, everyone says,\You're mistaken. Of course they're worried.\But it's a fact that there are parents who abandon their children.\A junior high student? response:	That guy who came by the store about the bassist ad, right?
context: They're not.\Really? Then it's fine, I guess.\You're unusual, Nana.\Usually, everyone says,\You're mistaken. Of course they're worried.\But it's a fact that there are parents who abandon their children.\A junior high student?\That guy who came by the store about the bassist ad, right? response:	Didn't he say he was eighteen?
context: Really? Then it's fine, I guess.\You're unusual, Nana.\Usually, everyone says,\You're mistaken. Of course they're worried.\But it's a fact that there are parents who abandon their children.\A junior high student?\That guy who came by the store about the bassist ad, right?\Didn't he say he was eighteen? response:	Actually he's fifteen.
context: You're unusual, Nana.\Usually, everyone says,\You're mistaken. Of course they're worried.\But it's a fact that there are parents who abandon their children.\A junior high student?\That guy who came by the store about the bassist ad, right?\Didn't he say he was eighteen?\Actually he's fifteen. response:	Nana cornered him with a few questions, and he confessed.
context: Usually, everyone says,\You're mistaken. Of course they're worried.\But it's a fact that there are parents who abandon their children.\A junior high student?\That guy who came by the store about the bassist ad, right?\Didn't he say he was eighteen?\Actually he's fifteen.\Nana cornered him with a few questions, and he confessed. response:	He told us he thought they wouldn't take him seriously
context: You're mistaken. Of course they're worried.\But it's a fact that there are parents who abandon their children.\A junior high student?\That guy who came by the store about the bassist ad, right?\Didn't he say he was eighteen?\Actually he's fifteen.\Nana cornered him with a few questions, and he confessed.\He told us he thought they wouldn't take him seriously response:	if he said he was a junior high student.
context: But it's a fact that there are parents who abandon their children.\A junior high student?\That guy who came by the store about the bassist ad, right?\Didn't he say he was eighteen?\Actually he's fifteen.\Nana cornered him with a few questions, and he confessed.\He told us he thought they wouldn't take him seriously\if he said he was a junior high student. response:	Oh, but it's April, so maybe he's in tenth grade now.
context: A junior high student?\That guy who came by the store about the bassist ad, right?\Didn't he say he was eighteen?\Actually he's fifteen.\Nana cornered him with a few questions, and he confessed.\He told us he thought they wouldn't take him seriously\if he said he was a junior high student.\Oh, but it's April, so maybe he's in tenth grade now. response:	Although he doesn't seem to be going to high school.
context: That guy who came by the store about the bassist ad, right?\Didn't he say he was eighteen?\Actually he's fifteen.\Nana cornered him with a few questions, and he confessed.\He told us he thought they wouldn't take him seriously\if he said he was a junior high student.\Oh, but it's April, so maybe he's in tenth grade now.\Although he doesn't seem to be going to high school. response:	Oh? Maybe he didn't bother taking the entrance exams.
context: Didn't he say he was eighteen?\Actually he's fifteen.\Nana cornered him with a few questions, and he confessed.\He told us he thought they wouldn't take him seriously\if he said he was a junior high student.\Oh, but it's April, so maybe he's in tenth grade now.\Although he doesn't seem to be going to high school.\Oh? Maybe he didn't bother taking the entrance exams. response:	Hmm... I really don't know.
context: Actually he's fifteen.\Nana cornered him with a few questions, and he confessed.\He told us he thought they wouldn't take him seriously\if he said he was a junior high student.\Oh, but it's April, so maybe he's in tenth grade now.\Although he doesn't seem to be going to high school.\Oh? Maybe he didn't bother taking the entrance exams.\Hmm... I really don't know. response:	He doesn't go into detail about such things.
context: Nana cornered him with a few questions, and he confessed.\He told us he thought they wouldn't take him seriously\if he said he was a junior high student.\Oh, but it's April, so maybe he's in tenth grade now.\Although he doesn't seem to be going to high school.\Oh? Maybe he didn't bother taking the entrance exams.\Hmm... I really don't know.\He doesn't go into detail about such things. response:	There seems to be more to it under the surface.
context: He told us he thought they wouldn't take him seriously\if he said he was a junior high student.\Oh, but it's April, so maybe he's in tenth grade now.\Although he doesn't seem to be going to high school.\Oh? Maybe he didn't bother taking the entrance exams.\Hmm... I really don't know.\He doesn't go into detail about such things.\There seems to be more to it under the surface. response:	Mhm.
context: if he said he was a junior high student.\Oh, but it's April, so maybe he's in tenth grade now.\Although he doesn't seem to be going to high school.\Oh? Maybe he didn't bother taking the entrance exams.\Hmm... I really don't know.\He doesn't go into detail about such things.\There seems to be more to it under the surface.\Mhm. response:	Anyway, he doesn't go home much, so I'm somewhat concerned.
context: Oh, but it's April, so maybe he's in tenth grade now.\Although he doesn't seem to be going to high school.\Oh? Maybe he didn't bother taking the entrance exams.\Hmm... I really don't know.\He doesn't go into detail about such things.\There seems to be more to it under the surface.\Mhm.\Anyway, he doesn't go home much, so I'm somewhat concerned. response:	I'm sure his parents are totally worried.
context: Although he doesn't seem to be going to high school.\Oh? Maybe he didn't bother taking the entrance exams.\Hmm... I really don't know.\He doesn't go into detail about such things.\There seems to be more to it under the surface.\Mhm.\Anyway, he doesn't go home much, so I'm somewhat concerned.\I'm sure his parents are totally worried. response:	I guess so.
context: Oh? Maybe he didn't bother taking the entrance exams.\Hmm... I really don't know.\He doesn't go into detail about such things.\There seems to be more to it under the surface.\Mhm.\Anyway, he doesn't go home much, so I'm somewhat concerned.\I'm sure his parents are totally worried.\I guess so. response:	And we still haven't found a drummer.
context: Hmm... I really don't know.\He doesn't go into detail about such things.\There seems to be more to it under the surface.\Mhm.\Anyway, he doesn't go home much, so I'm somewhat concerned.\I'm sure his parents are totally worried.\I guess so.\And we still haven't found a drummer. response:	It's like our luck's running out.
context: He doesn't go into detail about such things.\There seems to be more to it under the surface.\Mhm.\Anyway, he doesn't go home much, so I'm somewhat concerned.\I'm sure his parents are totally worried.\I guess so.\And we still haven't found a drummer.\It's like our luck's running out. response:	But didn't you say there was a guy who tried out?
context: There seems to be more to it under the surface.\Mhm.\Anyway, he doesn't go home much, so I'm somewhat concerned.\I'm sure his parents are totally worried.\I guess so.\And we still haven't found a drummer.\It's like our luck's running out.\But didn't you say there was a guy who tried out? response:	Nana turned him down, saying she didn't like him.
context: Mhm.\Anyway, he doesn't go home much, so I'm somewhat concerned.\I'm sure his parents are totally worried.\I guess so.\And we still haven't found a drummer.\It's like our luck's running out.\But didn't you say there was a guy who tried out?\Nana turned him down, saying she didn't like him. response:	Although the others said he was pretty good.
context: Anyway, he doesn't go home much, so I'm somewhat concerned.\I'm sure his parents are totally worried.\I guess so.\And we still haven't found a drummer.\It's like our luck's running out.\But didn't you say there was a guy who tried out?\Nana turned him down, saying she didn't like him.\Although the others said he was pretty good. response:	Really. She must have high standards.
context: I'm sure his parents are totally worried.\I guess so.\And we still haven't found a drummer.\It's like our luck's running out.\But didn't you say there was a guy who tried out?\Nana turned him down, saying she didn't like him.\Although the others said he was pretty good.\Really. She must have high standards. response:	Or rather, I think she's in love with Yasu
context: I guess so.\And we still haven't found a drummer.\It's like our luck's running out.\But didn't you say there was a guy who tried out?\Nana turned him down, saying she didn't like him.\Although the others said he was pretty good.\Really. She must have high standards.\Or rather, I think she's in love with Yasu response:	and therefore refuses to accept a different drummer.
context: And we still haven't found a drummer.\It's like our luck's running out.\But didn't you say there was a guy who tried out?\Nana turned him down, saying she didn't like him.\Although the others said he was pretty good.\Really. She must have high standards.\Or rather, I think she's in love with Yasu\and therefore refuses to accept a different drummer. response:	Who is Yasu?
context: It's like our luck's running out.\But didn't you say there was a guy who tried out?\Nana turned him down, saying she didn't like him.\Although the others said he was pretty good.\Really. She must have high standards.\Or rather, I think she's in love with Yasu\and therefore refuses to accept a different drummer.\Who is Yasu? response:	He was her band's leader back in her hometown.
context: But didn't you say there was a guy who tried out?\Nana turned him down, saying she didn't like him.\Although the others said he was pretty good.\Really. She must have high standards.\Or rather, I think she's in love with Yasu\and therefore refuses to accept a different drummer.\Who is Yasu?\He was her band's leader back in her hometown. response:	He's a skinhead, and he and Nana look so great together.
context: Nana turned him down, saying she didn't like him.\Although the others said he was pretty good.\Really. She must have high standards.\Or rather, I think she's in love with Yasu\and therefore refuses to accept a different drummer.\Who is Yasu?\He was her band's leader back in her hometown.\He's a skinhead, and he and Nana look so great together. response:	I can just imagine.
context: Although the others said he was pretty good.\Really. She must have high standards.\Or rather, I think she's in love with Yasu\and therefore refuses to accept a different drummer.\Who is Yasu?\He was her band's leader back in her hometown.\He's a skinhead, and he and Nana look so great together.\I can just imagine. response:	Hey, Mr. Mizukoshi, is it okay if I order the meat and potato dish, too?
context: Really. She must have high standards.\Or rather, I think she's in love with Yasu\and therefore refuses to accept a different drummer.\Who is Yasu?\He was her band's leader back in her hometown.\He's a skinhead, and he and Nana look so great together.\I can just imagine.\Hey, Mr. Mizukoshi, is it okay if I order the meat and potato dish, too? response:	Go ahead.
context: Or rather, I think she's in love with Yasu\and therefore refuses to accept a different drummer.\Who is Yasu?\He was her band's leader back in her hometown.\He's a skinhead, and he and Nana look so great together.\I can just imagine.\Hey, Mr. Mizukoshi, is it okay if I order the meat and potato dish, too?\Go ahead. response:	I'm so full!
context: and therefore refuses to accept a different drummer.\Who is Yasu?\He was her band's leader back in her hometown.\He's a skinhead, and he and Nana look so great together.\I can just imagine.\Hey, Mr. Mizukoshi, is it okay if I order the meat and potato dish, too?\Go ahead.\I'm so full! response:	Happiness!
context: Who is Yasu?\He was her band's leader back in her hometown.\He's a skinhead, and he and Nana look so great together.\I can just imagine.\Hey, Mr. Mizukoshi, is it okay if I order the meat and potato dish, too?\Go ahead.\I'm so full!\Happiness! response:	That's great. But was the tavern really okay with you?
context: He was her band's leader back in her hometown.\He's a skinhead, and he and Nana look so great together.\I can just imagine.\Hey, Mr. Mizukoshi, is it okay if I order the meat and potato dish, too?\Go ahead.\I'm so full!\Happiness!\That's great. But was the tavern really okay with you? response:	Yup! I love taverns.
context: He's a skinhead, and he and Nana look so great together.\I can just imagine.\Hey, Mr. Mizukoshi, is it okay if I order the meat and potato dish, too?\Go ahead.\I'm so full!\Happiness!\That's great. But was the tavern really okay with you?\Yup! I love taverns. response:	Thank you for the meal.
context: I can just imagine.\Hey, Mr. Mizukoshi, is it okay if I order the meat and potato dish, too?\Go ahead.\I'm so full!\Happiness!\That's great. But was the tavern really okay with you?\Yup! I love taverns.\Thank you for the meal. response:	Nana!
context: Hey, Mr. Mizukoshi, is it okay if I order the meat and potato dish, too?\Go ahead.\I'm so full!\Happiness!\That's great. But was the tavern really okay with you?\Yup! I love taverns.\Thank you for the meal.\Nana! response:	Are you all right?
context: Go ahead.\I'm so full!\Happiness!\That's great. But was the tavern really okay with you?\Yup! I love taverns.\Thank you for the meal.\Nana!\Are you all right? response:	I think I might've had a little too much to drink.
context: I'm so full!\Happiness!\That's great. But was the tavern really okay with you?\Yup! I love taverns.\Thank you for the meal.\Nana!\Are you all right?\I think I might've had a little too much to drink. response:	How embarrassing.
context: Happiness!\That's great. But was the tavern really okay with you?\Yup! I love taverns.\Thank you for the meal.\Nana!\Are you all right?\I think I might've had a little too much to drink.\How embarrassing. response:	Oops!
context: That's great. But was the tavern really okay with you?\Yup! I love taverns.\Thank you for the meal.\Nana!\Are you all right?\I think I might've had a little too much to drink.\How embarrassing.\Oops! response:	Well, I should be going now.
context: Yup! I love taverns.\Thank you for the meal.\Nana!\Are you all right?\I think I might've had a little too much to drink.\How embarrassing.\Oops!\Well, I should be going now. response:	Wait, Nana!
context: Thank you for the meal.\Nana!\Are you all right?\I think I might've had a little too much to drink.\How embarrassing.\Oops!\Well, I should be going now.\Wait, Nana! response:	To be honest, I asked you out today
context: Nana!\Are you all right?\I think I might've had a little too much to drink.\How embarrassing.\Oops!\Well, I should be going now.\Wait, Nana!\To be honest, I asked you out today response:	because I wanted to talk to you about something important.
context: Are you all right?\I think I might've had a little too much to drink.\How embarrassing.\Oops!\Well, I should be going now.\Wait, Nana!\To be honest, I asked you out today\because I wanted to talk to you about something important. response:	Huh? Wait a minute.
context: I think I might've had a little too much to drink.\How embarrassing.\Oops!\Well, I should be going now.\Wait, Nana!\To be honest, I asked you out today\because I wanted to talk to you about something important.\Huh? Wait a minute. response:	I've been waiting for the right time,
