context: We're going to change the location of our battle. response:	Suit yourself. It will all end up the same.
context: Even if I wreck my body, it's better than dying.\I'll have to raise the Kaio-ken to 3X.\I intentionally made that one easy to dodge for you.\It wouldn't be any fun to have you die on me so easily, after all.\They came close by, so I can't help but come take a look at'em, but what's this?\Both Goku and that bastard're so strong, it's like l'm havin' a bad dream here!\Now then, I wonder how long my body will hold out once I raise the Kaio-ken to 3X...\What's the matter, Kakarrot!? Come get me! response:	Either way, I have to do it. Ain't no way I can win like this.
context: I'll have to raise the Kaio-ken to 3X.\I intentionally made that one easy to dodge for you.\It wouldn't be any fun to have you die on me so easily, after all.\They came close by, so I can't help but come take a look at'em, but what's this?\Both Goku and that bastard're so strong, it's like l'm havin' a bad dream here!\Now then, I wonder how long my body will hold out once I raise the Kaio-ken to 3X...\What's the matter, Kakarrot!? Come get me!\Either way, I have to do it. Ain't no way I can win like this. response:	Have you lost everything up your sleeve? Looks like you picked the wrong opponent.
context: I intentionally made that one easy to dodge for you.\It wouldn't be any fun to have you die on me so easily, after all.\They came close by, so I can't help but come take a look at'em, but what's this?\Both Goku and that bastard're so strong, it's like l'm havin' a bad dream here!\Now then, I wonder how long my body will hold out once I raise the Kaio-ken to 3X...\What's the matter, Kakarrot!? Come get me!\Either way, I have to do it. Ain't no way I can win like this.\Have you lost everything up your sleeve? Looks like you picked the wrong opponent. response:	I was the number-one most powerful man, even among the Saiyans.
context: It wouldn't be any fun to have you die on me so easily, after all.\They came close by, so I can't help but come take a look at'em, but what's this?\Both Goku and that bastard're so strong, it's like l'm havin' a bad dream here!\Now then, I wonder how long my body will hold out once I raise the Kaio-ken to 3X...\What's the matter, Kakarrot!? Come get me!\Either way, I have to do it. Ain't no way I can win like this.\Have you lost everything up your sleeve? Looks like you picked the wrong opponent.\I was the number-one most powerful man, even among the Saiyans. response:	No matter how much training you've done, you're still just a left-behind.
context: They came close by, so I can't help but come take a look at'em, but what's this?\Both Goku and that bastard're so strong, it's like l'm havin' a bad dream here!\Now then, I wonder how long my body will hold out once I raise the Kaio-ken to 3X...\What's the matter, Kakarrot!? Come get me!\Either way, I have to do it. Ain't no way I can win like this.\Have you lost everything up your sleeve? Looks like you picked the wrong opponent.\I was the number-one most powerful man, even among the Saiyans.\No matter how much training you've done, you're still just a left-behind. response:	Looks like your time of death has been extended by only a little bit.
context: Both Goku and that bastard're so strong, it's like l'm havin' a bad dream here!\Now then, I wonder how long my body will hold out once I raise the Kaio-ken to 3X...\What's the matter, Kakarrot!? Come get me!\Either way, I have to do it. Ain't no way I can win like this.\Have you lost everything up your sleeve? Looks like you picked the wrong opponent.\I was the number-one most powerful man, even among the Saiyans.\No matter how much training you've done, you're still just a left-behind.\Looks like your time of death has been extended by only a little bit. response:	T - this is bad. That Saiyan bastard's overwhelmin'ly got it over him.
context: Now then, I wonder how long my body will hold out once I raise the Kaio-ken to 3X...\What's the matter, Kakarrot!? Come get me!\Either way, I have to do it. Ain't no way I can win like this.\Have you lost everything up your sleeve? Looks like you picked the wrong opponent.\I was the number-one most powerful man, even among the Saiyans.\No matter how much training you've done, you're still just a left-behind.\Looks like your time of death has been extended by only a little bit.\T - this is bad. That Saiyan bastard's overwhelmin'ly got it over him. response:	l'd best be gettin' outta here now, while I can, huh? Yeah, l'd better get goin'.
context: What's the matter, Kakarrot!? Come get me!\Either way, I have to do it. Ain't no way I can win like this.\Have you lost everything up your sleeve? Looks like you picked the wrong opponent.\I was the number-one most powerful man, even among the Saiyans.\No matter how much training you've done, you're still just a left-behind.\Looks like your time of death has been extended by only a little bit.\T - this is bad. That Saiyan bastard's overwhelmin'ly got it over him.\l'd best be gettin' outta here now, while I can, huh? Yeah, l'd better get goin'. response:	lt won't do no good for me to be here anyhow.
context: Either way, I have to do it. Ain't no way I can win like this.\Have you lost everything up your sleeve? Looks like you picked the wrong opponent.\I was the number-one most powerful man, even among the Saiyans.\No matter how much training you've done, you're still just a left-behind.\Looks like your time of death has been extended by only a little bit.\T - this is bad. That Saiyan bastard's overwhelmin'ly got it over him.\l'd best be gettin' outta here now, while I can, huh? Yeah, l'd better get goin'.\lt won't do no good for me to be here anyhow. response:	May my body withstand this! Times-three Kaio-ken!!
context: Have you lost everything up your sleeve? Looks like you picked the wrong opponent.\I was the number-one most powerful man, even among the Saiyans.\No matter how much training you've done, you're still just a left-behind.\Looks like your time of death has been extended by only a little bit.\T - this is bad. That Saiyan bastard's overwhelmin'ly got it over him.\l'd best be gettin' outta here now, while I can, huh? Yeah, l'd better get goin'.\lt won't do no good for me to be here anyhow.\May my body withstand this! Times-three Kaio-ken!! response:	No! You can't go any higher than 2X, Son Goku!
context: I was the number-one most powerful man, even among the Saiyans.\No matter how much training you've done, you're still just a left-behind.\Looks like your time of death has been extended by only a little bit.\T - this is bad. That Saiyan bastard's overwhelmin'ly got it over him.\l'd best be gettin' outta here now, while I can, huh? Yeah, l'd better get goin'.\lt won't do no good for me to be here anyhow.\May my body withstand this! Times-three Kaio-ken!!\No! You can't go any higher than 2X, Son Goku! response:	Although, there's definitely no way he can win like this.
context: No matter how much training you've done, you're still just a left-behind.\Looks like your time of death has been extended by only a little bit.\T - this is bad. That Saiyan bastard's overwhelmin'ly got it over him.\l'd best be gettin' outta here now, while I can, huh? Yeah, l'd better get goin'.\lt won't do no good for me to be here anyhow.\May my body withstand this! Times-three Kaio-ken!!\No! You can't go any higher than 2X, Son Goku!\Although, there's definitely no way he can win like this. response:	I never imagined he'd have that much strength.
context: Looks like your time of death has been extended by only a little bit.\T - this is bad. That Saiyan bastard's overwhelmin'ly got it over him.\l'd best be gettin' outta here now, while I can, huh? Yeah, l'd better get goin'.\lt won't do no good for me to be here anyhow.\May my body withstand this! Times-three Kaio-ken!!\No! You can't go any higher than 2X, Son Goku!\Although, there's definitely no way he can win like this.\I never imagined he'd have that much strength. response:	He may not be able to win this fight.
context: T - this is bad. That Saiyan bastard's overwhelmin'ly got it over him.\l'd best be gettin' outta here now, while I can, huh? Yeah, l'd better get goin'.\lt won't do no good for me to be here anyhow.\May my body withstand this! Times-three Kaio-ken!!\No! You can't go any higher than 2X, Son Goku!\Although, there's definitely no way he can win like this.\I never imagined he'd have that much strength.\He may not be able to win this fight. response:	W- what's going on?
context: l'd best be gettin' outta here now, while I can, huh? Yeah, l'd better get goin'.\lt won't do no good for me to be here anyhow.\May my body withstand this! Times-three Kaio-ken!!\No! You can't go any higher than 2X, Son Goku!\Although, there's definitely no way he can win like this.\I never imagined he'd have that much strength.\He may not be able to win this fight.\W- what's going on? response:	H- has something happened?
context: lt won't do no good for me to be here anyhow.\May my body withstand this! Times-three Kaio-ken!!\No! You can't go any higher than 2X, Son Goku!\Although, there's definitely no way he can win like this.\I never imagined he'd have that much strength.\He may not be able to win this fight.\W- what's going on?\H- has something happened? response:	I think it's probably Son- kun, but this battle power reading is rising incredibly...
context: May my body withstand this! Times-three Kaio-ken!!\No! You can't go any higher than 2X, Son Goku!\Although, there's definitely no way he can win like this.\I never imagined he'd have that much strength.\He may not be able to win this fight.\W- what's going on?\H- has something happened?\I think it's probably Son- kun, but this battle power reading is rising incredibly... response:	-Goku! -Goku- sa!
context: No! You can't go any higher than 2X, Son Goku!\Although, there's definitely no way he can win like this.\I never imagined he'd have that much strength.\He may not be able to win this fight.\W- what's going on?\H- has something happened?\I think it's probably Son- kun, but this battle power reading is rising incredibly...\-Goku! -Goku- sa! response:	17,000... 19,000... 21,000...
context: Although, there's definitely no way he can win like this.\I never imagined he'd have that much strength.\He may not be able to win this fight.\W- what's going on?\H- has something happened?\I think it's probably Son- kun, but this battle power reading is rising incredibly...\-Goku! -Goku- sa!\17,000... 19,000... 21,000... response:	It can't be!
context: I never imagined he'd have that much strength.\He may not be able to win this fight.\W- what's going on?\H- has something happened?\I think it's probably Son- kun, but this battle power reading is rising incredibly...\-Goku! -Goku- sa!\17,000... 19,000... 21,000...\It can't be! response:	W- what?
context: He may not be able to win this fight.\W- what's going on?\H- has something happened?\I think it's probably Son- kun, but this battle power reading is rising incredibly...\-Goku! -Goku- sa!\17,000... 19,000... 21,000...\It can't be!\W- what? response:	lgnoring Kaio's warnings, Goku uses a times-three Kaio-ken.
context: W- what's going on?\H- has something happened?\I think it's probably Son- kun, but this battle power reading is rising incredibly...\-Goku! -Goku- sa!\17,000... 19,000... 21,000...\It can't be!\W- what?\lgnoring Kaio's warnings, Goku uses a times-three Kaio-ken. response:	Will Goku's body be able to withstand a battle power beyond its limits?
