context: In this world, in addition to adventurers response:	and People of the Land, there are also groups called demi-humans.
context: Th-That's great!\Okay! I'll do my best!\I understand.\That's quite a shield.\But what does Duke Cowen intend to do with the adventurers?\Who knows if negotiation with them is even possible?\By the way, have we still not heard where the Izumo Knights are?\We could just use the adventurers for that. response:	After all, they're immortal.
context: Okay! I'll do my best!\I understand.\That's quite a shield.\But what does Duke Cowen intend to do with the adventurers?\Who knows if negotiation with them is even possible?\By the way, have we still not heard where the Izumo Knights are?\We could just use the adventurers for that.\After all, they're immortal. response:	Oh, hello, you two...
context: I understand.\That's quite a shield.\But what does Duke Cowen intend to do with the adventurers?\Who knows if negotiation with them is even possible?\By the way, have we still not heard where the Izumo Knights are?\We could just use the adventurers for that.\After all, they're immortal.\Oh, hello, you two... response:	I found you!
context: That's quite a shield.\But what does Duke Cowen intend to do with the adventurers?\Who knows if negotiation with them is even possible?\By the way, have we still not heard where the Izumo Knights are?\We could just use the adventurers for that.\After all, they're immortal.\Oh, hello, you two...\I found you! response:	It's that hide-and-seek genius.
context: But what does Duke Cowen intend to do with the adventurers?\Who knows if negotiation with them is even possible?\By the way, have we still not heard where the Izumo Knights are?\We could just use the adventurers for that.\After all, they're immortal.\Oh, hello, you two...\I found you!\It's that hide-and-seek genius. response:	Come play hide-and-seek with us!
context: Who knows if negotiation with them is even possible?\By the way, have we still not heard where the Izumo Knights are?\We could just use the adventurers for that.\After all, they're immortal.\Oh, hello, you two...\I found you!\It's that hide-and-seek genius.\Come play hide-and-seek with us! response:	She really is good at hide-and-seek!
context: By the way, have we still not heard where the Izumo Knights are?\We could just use the adventurers for that.\After all, they're immortal.\Oh, hello, you two...\I found you!\It's that hide-and-seek genius.\Come play hide-and-seek with us!\She really is good at hide-and-seek! response:	I'm not playing hide-and-seek.
context: We could just use the adventurers for that.\After all, they're immortal.\Oh, hello, you two...\I found you!\It's that hide-and-seek genius.\Come play hide-and-seek with us!\She really is good at hide-and-seek!\I'm not playing hide-and-seek. response:	Your theory denies the possibility that the People of the Land can progress!
context: After all, they're immortal.\Oh, hello, you two...\I found you!\It's that hide-and-seek genius.\Come play hide-and-seek with us!\She really is good at hide-and-seek!\I'm not playing hide-and-seek.\Your theory denies the possibility that the People of the Land can progress! response:	Your refusal to admit the possibility of my theory is hindering our progress!
context: Oh, hello, you two...\I found you!\It's that hide-and-seek genius.\Come play hide-and-seek with us!\She really is good at hide-and-seek!\I'm not playing hide-and-seek.\Your theory denies the possibility that the People of the Land can progress!\Your refusal to admit the possibility of my theory is hindering our progress! response:	What does progress even mean?
context: I found you!\It's that hide-and-seek genius.\Come play hide-and-seek with us!\She really is good at hide-and-seek!\I'm not playing hide-and-seek.\Your theory denies the possibility that the People of the Land can progress!\Your refusal to admit the possibility of my theory is hindering our progress!\What does progress even mean? response:	Isn't that where we should start?
context: It's that hide-and-seek genius.\Come play hide-and-seek with us!\She really is good at hide-and-seek!\I'm not playing hide-and-seek.\Your theory denies the possibility that the People of the Land can progress!\Your refusal to admit the possibility of my theory is hindering our progress!\What does progress even mean?\Isn't that where we should start? response:	That is merely running away from the issue!
context: Come play hide-and-seek with us!\She really is good at hide-and-seek!\I'm not playing hide-and-seek.\Your theory denies the possibility that the People of the Land can progress!\Your refusal to admit the possibility of my theory is hindering our progress!\What does progress even mean?\Isn't that where we should start?\That is merely running away from the issue! response:	I guess there are heated debates in every world.
context: She really is good at hide-and-seek!\I'm not playing hide-and-seek.\Your theory denies the possibility that the People of the Land can progress!\Your refusal to admit the possibility of my theory is hindering our progress!\What does progress even mean?\Isn't that where we should start?\That is merely running away from the issue!\I guess there are heated debates in every world. response:	What?!
context: I'm not playing hide-and-seek.\Your theory denies the possibility that the People of the Land can progress!\Your refusal to admit the possibility of my theory is hindering our progress!\What does progress even mean?\Isn't that where we should start?\That is merely running away from the issue!\I guess there are heated debates in every world.\What?! response:	Is that your answer?
context: Your theory denies the possibility that the People of the Land can progress!\Your refusal to admit the possibility of my theory is hindering our progress!\What does progress even mean?\Isn't that where we should start?\That is merely running away from the issue!\I guess there are heated debates in every world.\What?!\Is that your answer? response:	I'm thinking of all the People of the Land when I say...
context: Your refusal to admit the possibility of my theory is hindering our progress!\What does progress even mean?\Isn't that where we should start?\That is merely running away from the issue!\I guess there are heated debates in every world.\What?!\Is that your answer?\I'm thinking of all the People of the Land when I say... response:	Shiroe?
context: What does progress even mean?\Isn't that where we should start?\That is merely running away from the issue!\I guess there are heated debates in every world.\What?!\Is that your answer?\I'm thinking of all the People of the Land when I say...\Shiroe? response:	Minori?
context: Isn't that where we should start?\That is merely running away from the issue!\I guess there are heated debates in every world.\What?!\Is that your answer?\I'm thinking of all the People of the Land when I say...\Shiroe?\Minori? response:	I'm heading into the dungeon now...
context: That is merely running away from the issue!\I guess there are heated debates in every world.\What?!\Is that your answer?\I'm thinking of all the People of the Land when I say...\Shiroe?\Minori?\I'm heading into the dungeon now... response:	Can we talk for a while?
context: I guess there are heated debates in every world.\What?!\Is that your answer?\I'm thinking of all the People of the Land when I say...\Shiroe?\Minori?\I'm heading into the dungeon now...\Can we talk for a while? response:	Oh, sorry...
context: What?!\Is that your answer?\I'm thinking of all the People of the Land when I say...\Shiroe?\Minori?\I'm heading into the dungeon now...\Can we talk for a while?\Oh, sorry... response:	I'm right in the midst of a conference.
context: Is that your answer?\I'm thinking of all the People of the Land when I say...\Shiroe?\Minori?\I'm heading into the dungeon now...\Can we talk for a while?\Oh, sorry...\I'm right in the midst of a conference. response:	Huh? Of course!
context: I'm thinking of all the People of the Land when I say...\Shiroe?\Minori?\I'm heading into the dungeon now...\Can we talk for a while?\Oh, sorry...\I'm right in the midst of a conference.\Huh? Of course! response:	I'm sorry...
context: Shiroe?\Minori?\I'm heading into the dungeon now...\Can we talk for a while?\Oh, sorry...\I'm right in the midst of a conference.\Huh? Of course!\I'm sorry... response:	I'll be fine.
context: Minori?\I'm heading into the dungeon now...\Can we talk for a while?\Oh, sorry...\I'm right in the midst of a conference.\Huh? Of course!\I'm sorry...\I'll be fine. response:	I'll talk to you later.
context: I'm heading into the dungeon now...\Can we talk for a while?\Oh, sorry...\I'm right in the midst of a conference.\Huh? Of course!\I'm sorry...\I'll be fine.\I'll talk to you later. response:	Y-You win.
context: Can we talk for a while?\Oh, sorry...\I'm right in the midst of a conference.\Huh? Of course!\I'm sorry...\I'll be fine.\I'll talk to you later.\Y-You win. response:	Amazing!
context: Oh, sorry...\I'm right in the midst of a conference.\Huh? Of course!\I'm sorry...\I'll be fine.\I'll talk to you later.\Y-You win.\Amazing! response:	Well, naturally, he was going to win.
context: I'm right in the midst of a conference.\Huh? Of course!\I'm sorry...\I'll be fine.\I'll talk to you later.\Y-You win.\Amazing!\Well, naturally, he was going to win. response:	Facing so many renowned knights is tiring.
context: Huh? Of course!\I'm sorry...\I'll be fine.\I'll talk to you later.\Y-You win.\Amazing!\Well, naturally, he was going to win.\Facing so many renowned knights is tiring. response:	Was that sarcasm?
context: I'm sorry...\I'll be fine.\I'll talk to you later.\Y-You win.\Amazing!\Well, naturally, he was going to win.\Facing so many renowned knights is tiring.\Was that sarcasm? response:	Of course not.
context: I'll be fine.\I'll talk to you later.\Y-You win.\Amazing!\Well, naturally, he was going to win.\Facing so many renowned knights is tiring.\Was that sarcasm?\Of course not. response:	Wake me up in a while.
context: I'll talk to you later.\Y-You win.\Amazing!\Well, naturally, he was going to win.\Facing so many renowned knights is tiring.\Was that sarcasm?\Of course not.\Wake me up in a while. response:	But... What if someone sees you?
context: Y-You win.\Amazing!\Well, naturally, he was going to win.\Facing so many renowned knights is tiring.\Was that sarcasm?\Of course not.\Wake me up in a while.\But... What if someone sees you? response:	I don't care.
context: Amazing!\Well, naturally, he was going to win.\Facing so many renowned knights is tiring.\Was that sarcasm?\Of course not.\Wake me up in a while.\But... What if someone sees you?\I don't care. response:	I'm only a barbaric adventurer, after all.
context: Well, naturally, he was going to win.\Facing so many renowned knights is tiring.\Was that sarcasm?\Of course not.\Wake me up in a while.\But... What if someone sees you?\I don't care.\I'm only a barbaric adventurer, after all. response:	I'm sure the lords would accept it as natural.
context: Facing so many renowned knights is tiring.\Was that sarcasm?\Of course not.\Wake me up in a while.\But... What if someone sees you?\I don't care.\I'm only a barbaric adventurer, after all.\I'm sure the lords would accept it as natural. response:	Somehow, it isn't fair.
context: Was that sarcasm?\Of course not.\Wake me up in a while.\But... What if someone sees you?\I don't care.\I'm only a barbaric adventurer, after all.\I'm sure the lords would accept it as natural.\Somehow, it isn't fair. response:	You just thought it isn't fair, didn't you?
context: Of course not.\Wake me up in a while.\But... What if someone sees you?\I don't care.\I'm only a barbaric adventurer, after all.\I'm sure the lords would accept it as natural.\Somehow, it isn't fair.\You just thought it isn't fair, didn't you? response:	Why not join me?
context: Wake me up in a while.\But... What if someone sees you?\I don't care.\I'm only a barbaric adventurer, after all.\I'm sure the lords would accept it as natural.\Somehow, it isn't fair.\You just thought it isn't fair, didn't you?\Why not join me? response:	The table is cool, and it feels nice.
context: But... What if someone sees you?\I don't care.\I'm only a barbaric adventurer, after all.\I'm sure the lords would accept it as natural.\Somehow, it isn't fair.\You just thought it isn't fair, didn't you?\Why not join me?\The table is cool, and it feels nice. response:	So you're saying, it's that?
context: I don't care.\I'm only a barbaric adventurer, after all.\I'm sure the lords would accept it as natural.\Somehow, it isn't fair.\You just thought it isn't fair, didn't you?\Why not join me?\The table is cool, and it feels nice.\So you're saying, it's that? response:	Yes, that it is.
context: I'm only a barbaric adventurer, after all.\I'm sure the lords would accept it as natural.\Somehow, it isn't fair.\You just thought it isn't fair, didn't you?\Why not join me?\The table is cool, and it feels nice.\So you're saying, it's that?\Yes, that it is. response:	Adventurers are free.
context: I'm sure the lords would accept it as natural.\Somehow, it isn't fair.\You just thought it isn't fair, didn't you?\Why not join me?\The table is cool, and it feels nice.\So you're saying, it's that?\Yes, that it is.\Adventurers are free. response:	Free?
context: Somehow, it isn't fair.\You just thought it isn't fair, didn't you?\Why not join me?\The table is cool, and it feels nice.\So you're saying, it's that?\Yes, that it is.\Adventurers are free.\Free? response:	They can eat when they like,
context: You just thought it isn't fair, didn't you?\Why not join me?\The table is cool, and it feels nice.\So you're saying, it's that?\Yes, that it is.\Adventurers are free.\Free?\They can eat when they like, response:	sleep when they like,
context: Why not join me?\The table is cool, and it feels nice.\So you're saying, it's that?\Yes, that it is.\Adventurers are free.\Free?\They can eat when they like,\sleep when they like, response:	and move when they like.
context: The table is cool, and it feels nice.\So you're saying, it's that?\Yes, that it is.\Adventurers are free.\Free?\They can eat when they like,\sleep when they like,\and move when they like. response:	But...
context: So you're saying, it's that?\Yes, that it is.\Adventurers are free.\Free?\They can eat when they like,\sleep when they like,\and move when they like.\But... response:	Being free takes resolve.
context: Yes, that it is.\Adventurers are free.\Free?\They can eat when they like,\sleep when they like,\and move when they like.\But...\Being free takes resolve. response:	Free...
context: Adventurers are free.\Free?\They can eat when they like,\sleep when they like,\and move when they like.\But...\Being free takes resolve.\Free... response:	Here!
context: Free?\They can eat when they like,\sleep when they like,\and move when they like.\But...\Being free takes resolve.\Free...\Here! response:	An hour in, and look at us...
context: They can eat when they like,\sleep when they like,\and move when they like.\But...\Being free takes resolve.\Free...\Here!\An hour in, and look at us... response:	We've done this over and over.
context: sleep when they like,\and move when they like.\But...\Being free takes resolve.\Free...\Here!\An hour in, and look at us...\We've done this over and over. response:	Why can't we win?!
context: and move when they like.\But...\Being free takes resolve.\Free...\Here!\An hour in, and look at us...\We've done this over and over.\Why can't we win?! response:	I'm taking damage because you guys aren't healing right.
context: But...\Being free takes resolve.\Free...\Here!\An hour in, and look at us...\We've done this over and over.\Why can't we win?!\I'm taking damage because you guys aren't healing right. response:	Don't talk that way!
context: Being free takes resolve.\Free...\Here!\An hour in, and look at us...\We've done this over and over.\Why can't we win?!\I'm taking damage because you guys aren't healing right.\Don't talk that way! response:	Everyone's doing their jobs!
context: Free...\Here!\An hour in, and look at us...\We've done this over and over.\Why can't we win?!\I'm taking damage because you guys aren't healing right.\Don't talk that way!\Everyone's doing their jobs! response:	Then why is this happening?
context: Here!\An hour in, and look at us...\We've done this over and over.\Why can't we win?!\I'm taking damage because you guys aren't healing right.\Don't talk that way!\Everyone's doing their jobs!\Then why is this happening? response:	Why am I so weak?
context: An hour in, and look at us...\We've done this over and over.\Why can't we win?!\I'm taking damage because you guys aren't healing right.\Don't talk that way!\Everyone's doing their jobs!\Then why is this happening?\Why am I so weak? response:	I'm at level 24.
context: We've done this over and over.\Why can't we win?!\I'm taking damage because you guys aren't healing right.\Don't talk that way!\Everyone's doing their jobs!\Then why is this happening?\Why am I so weak?\I'm at level 24. response:	The enemies range from levels 17 to 21...
context: Why can't we win?!\I'm taking damage because you guys aren't healing right.\Don't talk that way!\Everyone's doing their jobs!\Then why is this happening?\Why am I so weak?\I'm at level 24.\The enemies range from levels 17 to 21... response:	So why is it this hard?
context: I'm taking damage because you guys aren't healing right.\Don't talk that way!\Everyone's doing their jobs!\Then why is this happening?\Why am I so weak?\I'm at level 24.\The enemies range from levels 17 to 21...\So why is it this hard? response:	This doesn't make sense!
context: Don't talk that way!\Everyone's doing their jobs!\Then why is this happening?\Why am I so weak?\I'm at level 24.\The enemies range from levels 17 to 21...\So why is it this hard?\This doesn't make sense! response:	It's because...
context: Everyone's doing their jobs!\Then why is this happening?\Why am I so weak?\I'm at level 24.\The enemies range from levels 17 to 21...\So why is it this hard?\This doesn't make sense!\It's because... response:	It's because you aren't fighting at your full potential!
context: Then why is this happening?\Why am I so weak?\I'm at level 24.\The enemies range from levels 17 to 21...\So why is it this hard?\This doesn't make sense!\It's because...\It's because you aren't fighting at your full potential! response:	Do I just need to keep training?
context: Why am I so weak?\I'm at level 24.\The enemies range from levels 17 to 21...\So why is it this hard?\This doesn't make sense!\It's because...\It's because you aren't fighting at your full potential!\Do I just need to keep training? response:	Will those kids be okay?
context: I'm at level 24.\The enemies range from levels 17 to 21...\So why is it this hard?\This doesn't make sense!\It's because...\It's because you aren't fighting at your full potential!\Do I just need to keep training?\Will those kids be okay? response:	It's been four days since they entered the dungeon.
context: The enemies range from levels 17 to 21...\So why is it this hard?\This doesn't make sense!\It's because...\It's because you aren't fighting at your full potential!\Do I just need to keep training?\Will those kids be okay?\It's been four days since they entered the dungeon. response:	It's fine.
context: So why is it this hard?\This doesn't make sense!\It's because...\It's because you aren't fighting at your full potential!\Do I just need to keep training?\Will those kids be okay?\It's been four days since they entered the dungeon.\It's fine. response:	You worry too much.
context: This doesn't make sense!\It's because...\It's because you aren't fighting at your full potential!\Do I just need to keep training?\Will those kids be okay?\It's been four days since they entered the dungeon.\It's fine.\You worry too much. response:	But what if something happens, and they get sent back to Akihabara?
context: It's because...\It's because you aren't fighting at your full potential!\Do I just need to keep training?\Will those kids be okay?\It's been four days since they entered the dungeon.\It's fine.\You worry too much.\But what if something happens, and they get sent back to Akihabara? response:	Then we'll use our griffins to retrieve them.
context: It's because you aren't fighting at your full potential!\Do I just need to keep training?\Will those kids be okay?\It's been four days since they entered the dungeon.\It's fine.\You worry too much.\But what if something happens, and they get sent back to Akihabara?\Then we'll use our griffins to retrieve them. response:	You talk like it's not your problem...
context: Do I just need to keep training?\Will those kids be okay?\It's been four days since they entered the dungeon.\It's fine.\You worry too much.\But what if something happens, and they get sent back to Akihabara?\Then we'll use our griffins to retrieve them.\You talk like it's not your problem... response:	They say lions toss their own cubs off cliffs, right?
context: Will those kids be okay?\It's been four days since they entered the dungeon.\It's fine.\You worry too much.\But what if something happens, and they get sent back to Akihabara?\Then we'll use our griffins to retrieve them.\You talk like it's not your problem...\They say lions toss their own cubs off cliffs, right? response:	Oh, but that isn't true.
context: It's been four days since they entered the dungeon.\It's fine.\You worry too much.\But what if something happens, and they get sent back to Akihabara?\Then we'll use our griffins to retrieve them.\You talk like it's not your problem...\They say lions toss their own cubs off cliffs, right?\Oh, but that isn't true. response:	You won't surpass the dungeon teams like that!
context: It's fine.\You worry too much.\But what if something happens, and they get sent back to Akihabara?\Then we'll use our griffins to retrieve them.\You talk like it's not your problem...\They say lions toss their own cubs off cliffs, right?\Oh, but that isn't true.\You won't surpass the dungeon teams like that! response:	Fight harder!
context: You worry too much.\But what if something happens, and they get sent back to Akihabara?\Then we'll use our griffins to retrieve them.\You talk like it's not your problem...\They say lions toss their own cubs off cliffs, right?\Oh, but that isn't true.\You won't surpass the dungeon teams like that!\Fight harder! response:	Either way, being overprotective won't help.
context: But what if something happens, and they get sent back to Akihabara?\Then we'll use our griffins to retrieve them.\You talk like it's not your problem...\They say lions toss their own cubs off cliffs, right?\Oh, but that isn't true.\You won't surpass the dungeon teams like that!\Fight harder!\Either way, being overprotective won't help. response:	The point of this training camp is to help them gain experience.
context: Then we'll use our griffins to retrieve them.\You talk like it's not your problem...\They say lions toss their own cubs off cliffs, right?\Oh, but that isn't true.\You won't surpass the dungeon teams like that!\Fight harder!\Either way, being overprotective won't help.\The point of this training camp is to help them gain experience. response:	You're right.
context: You talk like it's not your problem...\They say lions toss their own cubs off cliffs, right?\Oh, but that isn't true.\You won't surpass the dungeon teams like that!\Fight harder!\Either way, being overprotective won't help.\The point of this training camp is to help them gain experience.\You're right. response:	Got it.
context: They say lions toss their own cubs off cliffs, right?\Oh, but that isn't true.\You won't surpass the dungeon teams like that!\Fight harder!\Either way, being overprotective won't help.\The point of this training camp is to help them gain experience.\You're right.\Got it. response:	I'll believe in them.
context: Oh, but that isn't true.\You won't surpass the dungeon teams like that!\Fight harder!\Either way, being overprotective won't help.\The point of this training camp is to help them gain experience.\You're right.\Got it.\I'll believe in them. response:	Well, I think I'll eat some crab.
context: You won't surpass the dungeon teams like that!\Fight harder!\Either way, being overprotective won't help.\The point of this training camp is to help them gain experience.\You're right.\Got it.\I'll believe in them.\Well, I think I'll eat some crab. response:	Thanks!
context: Fight harder!\Either way, being overprotective won't help.\The point of this training camp is to help them gain experience.\You're right.\Got it.\I'll believe in them.\Well, I think I'll eat some crab.\Thanks! response:	The big ones are bland.
context: Either way, being overprotective won't help.\The point of this training camp is to help them gain experience.\You're right.\Got it.\I'll believe in them.\Well, I think I'll eat some crab.\Thanks!\The big ones are bland. response:	Yeah.
context: The point of this training camp is to help them gain experience.\You're right.\Got it.\I'll believe in them.\Well, I think I'll eat some crab.\Thanks!\The big ones are bland.\Yeah. response:	The new kids get training, and I get to eat crab.
context: You're right.\Got it.\I'll believe in them.\Well, I think I'll eat some crab.\Thanks!\The big ones are bland.\Yeah.\The new kids get training, and I get to eat crab. response:	Two birds with one stone!
context: Got it.\I'll believe in them.\Well, I think I'll eat some crab.\Thanks!\The big ones are bland.\Yeah.\The new kids get training, and I get to eat crab.\Two birds with one stone! response:	Shouryuu, what's that?
context: I'll believe in them.\Well, I think I'll eat some crab.\Thanks!\The big ones are bland.\Yeah.\The new kids get training, and I get to eat crab.\Two birds with one stone!\Shouryuu, what's that? response:	I don't know.
context: Well, I think I'll eat some crab.\Thanks!\The big ones are bland.\Yeah.\The new kids get training, and I get to eat crab.\Two birds with one stone!\Shouryuu, what's that?\I don't know. response:	Bubbles?
context: Thanks!\The big ones are bland.\Yeah.\The new kids get training, and I get to eat crab.\Two birds with one stone!\Shouryuu, what's that?\I don't know.\Bubbles? response:	They disappeared?
context: The big ones are bland.\Yeah.\The new kids get training, and I get to eat crab.\Two birds with one stone!\Shouryuu, what's that?\I don't know.\Bubbles?\They disappeared? response:	What was that?
context: Yeah.\The new kids get training, and I get to eat crab.\Two birds with one stone!\Shouryuu, what's that?\I don't know.\Bubbles?\They disappeared?\What was that? response:	How do you like it?
context: The new kids get training, and I get to eat crab.\Two birds with one stone!\Shouryuu, what's that?\I don't know.\Bubbles?\They disappeared?\What was that?\How do you like it? response:	This meat is known as the best in my domain.
context: Two birds with one stone!\Shouryuu, what's that?\I don't know.\Bubbles?\They disappeared?\What was that?\How do you like it?\This meat is known as the best in my domain. response:	It's delicious.
context: Shouryuu, what's that?\I don't know.\Bubbles?\They disappeared?\What was that?\How do you like it?\This meat is known as the best in my domain.\It's delicious. response:	I've sent for some chefs, myself.
context: I don't know.\Bubbles?\They disappeared?\What was that?\How do you like it?\This meat is known as the best in my domain.\It's delicious.\I've sent for some chefs, myself. response:	Next time, I'll invite you.
context: Bubbles?\They disappeared?\What was that?\How do you like it?\This meat is known as the best in my domain.\It's delicious.\I've sent for some chefs, myself.\Next time, I'll invite you. response:	I look forward to that.
context: They disappeared?\What was that?\How do you like it?\This meat is known as the best in my domain.\It's delicious.\I've sent for some chefs, myself.\Next time, I'll invite you.\I look forward to that. response:	I've heard many rumors about it.
context: What was that?\How do you like it?\This meat is known as the best in my domain.\It's delicious.\I've sent for some chefs, myself.\Next time, I'll invite you.\I look forward to that.\I've heard many rumors about it. response:	This revolution has greatly affected our eating habits.
context: How do you like it?\This meat is known as the best in my domain.\It's delicious.\I've sent for some chefs, myself.\Next time, I'll invite you.\I look forward to that.\I've heard many rumors about it.\This revolution has greatly affected our eating habits. response:	Everyone's in love with the new food.
context: This meat is known as the best in my domain.\It's delicious.\I've sent for some chefs, myself.\Next time, I'll invite you.\I look forward to that.\I've heard many rumors about it.\This revolution has greatly affected our eating habits.\Everyone's in love with the new food. response:	The people of our domain are more motivated to find good food, as well.
context: It's delicious.\I've sent for some chefs, myself.\Next time, I'll invite you.\I look forward to that.\I've heard many rumors about it.\This revolution has greatly affected our eating habits.\Everyone's in love with the new food.\The people of our domain are more motivated to find good food, as well. response:	Production has elevated in a number of areas.
context: I've sent for some chefs, myself.\Next time, I'll invite you.\I look forward to that.\I've heard many rumors about it.\This revolution has greatly affected our eating habits.\Everyone's in love with the new food.\The people of our domain are more motivated to find good food, as well.\Production has elevated in a number of areas. response:	We've begun to be more careful in raising,
context: Next time, I'll invite you.\I look forward to that.\I've heard many rumors about it.\This revolution has greatly affected our eating habits.\Everyone's in love with the new food.\The people of our domain are more motivated to find good food, as well.\Production has elevated in a number of areas.\We've begun to be more careful in raising, response:	harvesting, and transporting it.
context: I look forward to that.\I've heard many rumors about it.\This revolution has greatly affected our eating habits.\Everyone's in love with the new food.\The people of our domain are more motivated to find good food, as well.\Production has elevated in a number of areas.\We've begun to be more careful in raising,\harvesting, and transporting it. response:	I'm glad to hear that.
context: I've heard many rumors about it.\This revolution has greatly affected our eating habits.\Everyone's in love with the new food.\The people of our domain are more motivated to find good food, as well.\Production has elevated in a number of areas.\We've begun to be more careful in raising,\harvesting, and transporting it.\I'm glad to hear that. response:	But there's one problem...
context: This revolution has greatly affected our eating habits.\Everyone's in love with the new food.\The people of our domain are more motivated to find good food, as well.\Production has elevated in a number of areas.\We've begun to be more careful in raising,\harvesting, and transporting it.\I'm glad to hear that.\But there's one problem... response:	Problem?
context: Everyone's in love with the new food.\The people of our domain are more motivated to find good food, as well.\Production has elevated in a number of areas.\We've begun to be more careful in raising,\harvesting, and transporting it.\I'm glad to hear that.\But there's one problem...\Problem? response:	Raising lots of food and transporting it as far as possible
context: The people of our domain are more motivated to find good food, as well.\Production has elevated in a number of areas.\We've begun to be more careful in raising,\harvesting, and transporting it.\I'm glad to hear that.\But there's one problem...\Problem?\Raising lots of food and transporting it as far as possible response:	makes many people happy,
context: Production has elevated in a number of areas.\We've begun to be more careful in raising,\harvesting, and transporting it.\I'm glad to hear that.\But there's one problem...\Problem?\Raising lots of food and transporting it as far as possible\makes many people happy, response:	and it enriches the domain.
context: We've begun to be more careful in raising,\harvesting, and transporting it.\I'm glad to hear that.\But there's one problem...\Problem?\Raising lots of food and transporting it as far as possible\makes many people happy,\and it enriches the domain. response:	But transporting it over land means...
context: harvesting, and transporting it.\I'm glad to hear that.\But there's one problem...\Problem?\Raising lots of food and transporting it as far as possible\makes many people happy,\and it enriches the domain.\But transporting it over land means... response:	Monsters, right?
context: I'm glad to hear that.\But there's one problem...\Problem?\Raising lots of food and transporting it as far as possible\makes many people happy,\and it enriches the domain.\But transporting it over land means...\Monsters, right? response:	Indeed.
context: But there's one problem...\Problem?\Raising lots of food and transporting it as far as possible\makes many people happy,\and it enriches the domain.\But transporting it over land means...\Monsters, right?\Indeed. response:	And so, I have a request, Michitaka...
context: Problem?\Raising lots of food and transporting it as far as possible\makes many people happy,\and it enriches the domain.\But transporting it over land means...\Monsters, right?\Indeed.\And so, I have a request, Michitaka... response:	You want us to defeat the goblins?
context: Raising lots of food and transporting it as far as possible\makes many people happy,\and it enriches the domain.\But transporting it over land means...\Monsters, right?\Indeed.\And so, I have a request, Michitaka...\You want us to defeat the goblins? response:	No, there's something else we wish to request.
context: makes many people happy,\and it enriches the domain.\But transporting it over land means...\Monsters, right?\Indeed.\And so, I have a request, Michitaka...\You want us to defeat the goblins?\No, there's something else we wish to request. response:	The technology to transport goods by sea.
context: and it enriches the domain.\But transporting it over land means...\Monsters, right?\Indeed.\And so, I have a request, Michitaka...\You want us to defeat the goblins?\No, there's something else we wish to request.\The technology to transport goods by sea. response:	Princess Lenessia's sad expression...
context: But transporting it over land means...\Monsters, right?\Indeed.\And so, I have a request, Michitaka...\You want us to defeat the goblins?\No, there's something else we wish to request.\The technology to transport goods by sea.\Princess Lenessia's sad expression... response:	She must be troubled by the world's future.
context: Monsters, right?\Indeed.\And so, I have a request, Michitaka...\You want us to defeat the goblins?\No, there's something else we wish to request.\The technology to transport goods by sea.\Princess Lenessia's sad expression...\She must be troubled by the world's future. response:	I know it's a bother,
context: Indeed.\And so, I have a request, Michitaka...\You want us to defeat the goblins?\No, there's something else we wish to request.\The technology to transport goods by sea.\Princess Lenessia's sad expression...\She must be troubled by the world's future.\I know it's a bother, response:	but you'll have to smile a little.
context: And so, I have a request, Michitaka...\You want us to defeat the goblins?\No, there's something else we wish to request.\The technology to transport goods by sea.\Princess Lenessia's sad expression...\She must be troubled by the world's future.\I know it's a bother,\but you'll have to smile a little. response:	It must be suffocating, hearing the young knights' flattery.
context: You want us to defeat the goblins?\No, there's something else we wish to request.\The technology to transport goods by sea.\Princess Lenessia's sad expression...\She must be troubled by the world's future.\I know it's a bother,\but you'll have to smile a little.\It must be suffocating, hearing the young knights' flattery. response:	I think we have the same interests here.
context: No, there's something else we wish to request.\The technology to transport goods by sea.\Princess Lenessia's sad expression...\She must be troubled by the world's future.\I know it's a bother,\but you'll have to smile a little.\It must be suffocating, hearing the young knights' flattery.\I think we have the same interests here. response:	I know that.
context: The technology to transport goods by sea.\Princess Lenessia's sad expression...\She must be troubled by the world's future.\I know it's a bother,\but you'll have to smile a little.\It must be suffocating, hearing the young knights' flattery.\I think we have the same interests here.\I know that. response:	Princess Lenessia!
context: Princess Lenessia's sad expression...\She must be troubled by the world's future.\I know it's a bother,\but you'll have to smile a little.\It must be suffocating, hearing the young knights' flattery.\I think we have the same interests here.\I know that.\Princess Lenessia! response:	I'm sorry to interrupt your chat.
context: She must be troubled by the world's future.\I know it's a bother,\but you'll have to smile a little.\It must be suffocating, hearing the young knights' flattery.\I think we have the same interests here.\I know that.\Princess Lenessia!\I'm sorry to interrupt your chat. response:	May we join you?
context: I know it's a bother,\but you'll have to smile a little.\It must be suffocating, hearing the young knights' flattery.\I think we have the same interests here.\I know that.\Princess Lenessia!\I'm sorry to interrupt your chat.\May we join you? response:	We brought cookies!
context: but you'll have to smile a little.\It must be suffocating, hearing the young knights' flattery.\I think we have the same interests here.\I know that.\Princess Lenessia!\I'm sorry to interrupt your chat.\May we join you?\We brought cookies! response:	I think they're nice girls, but...
context: It must be suffocating, hearing the young knights' flattery.\I think we have the same interests here.\I know that.\Princess Lenessia!\I'm sorry to interrupt your chat.\May we join you?\We brought cookies!\I think they're nice girls, but... response:	We saw you fight with your sword!
