context: In life, you need vacations where you can be yourself, response:	away from your hectic everyday life.
context: Yuri spent his few remaining days\Congratulations on Qualifying for the GPF 2 Years in a Row! Thank You, Katsuki Yuri and Coach Victor Nikiforov!\until the Final maximizing his practice time.\When I think about it,\it's already been eight months since I first came to Hasetsu.\I can't remember when I last spent this much time with Maccachin.\Every day, I've been able to bathe in a bath bigger than any tub,\and I can eat all the delicious pork cutlet bowls I want. response:	This is heaven on Earth.
context: Congratulations on Qualifying for the GPF 2 Years in a Row! Thank You, Katsuki Yuri and Coach Victor Nikiforov!\until the Final maximizing his practice time.\When I think about it,\it's already been eight months since I first came to Hasetsu.\I can't remember when I last spent this much time with Maccachin.\Every day, I've been able to bathe in a bath bigger than any tub,\and I can eat all the delicious pork cutlet bowls I want.\This is heaven on Earth. response:	Yuri's life and love have taught me
context: until the Final maximizing his practice time.\When I think about it,\it's already been eight months since I first came to Hasetsu.\I can't remember when I last spent this much time with Maccachin.\Every day, I've been able to bathe in a bath bigger than any tub,\and I can eat all the delicious pork cutlet bowls I want.\This is heaven on Earth.\Yuri's life and love have taught me response:	about a brand new world that I'd never known before.
context: When I think about it,\it's already been eight months since I first came to Hasetsu.\I can't remember when I last spent this much time with Maccachin.\Every day, I've been able to bathe in a bath bigger than any tub,\and I can eat all the delicious pork cutlet bowls I want.\This is heaven on Earth.\Yuri's life and love have taught me\about a brand new world that I'd never known before. response:	Huh?
context: it's already been eight months since I first came to Hasetsu.\I can't remember when I last spent this much time with Maccachin.\Every day, I've been able to bathe in a bath bigger than any tub,\and I can eat all the delicious pork cutlet bowls I want.\This is heaven on Earth.\Yuri's life and love have taught me\about a brand new world that I'd never known before.\Huh? response:	Where's Victor?
context: I can't remember when I last spent this much time with Maccachin.\Every day, I've been able to bathe in a bath bigger than any tub,\and I can eat all the delicious pork cutlet bowls I want.\This is heaven on Earth.\Yuri's life and love have taught me\about a brand new world that I'd never known before.\Huh?\Where's Victor? response:	Oh, he's at the pool with Chris.
context: Every day, I've been able to bathe in a bath bigger than any tub,\and I can eat all the delicious pork cutlet bowls I want.\This is heaven on Earth.\Yuri's life and love have taught me\about a brand new world that I'd never known before.\Huh?\Where's Victor?\Oh, he's at the pool with Chris. response:	Oh! Phichit-kun's...
context: and I can eat all the delicious pork cutlet bowls I want.\This is heaven on Earth.\Yuri's life and love have taught me\about a brand new world that I'd never known before.\Huh?\Where's Victor?\Oh, he's at the pool with Chris.\Oh! Phichit-kun's... response:	JJ...
context: This is heaven on Earth.\Yuri's life and love have taught me\about a brand new world that I'd never known before.\Huh?\Where's Victor?\Oh, he's at the pool with Chris.\Oh! Phichit-kun's...\JJ... response:	Yurio...
context: Yuri's life and love have taught me\about a brand new world that I'd never known before.\Huh?\Where's Victor?\Oh, he's at the pool with Chris.\Oh! Phichit-kun's...\JJ...\Yurio... response:	Wow.
context: about a brand new world that I'd never known before.\Huh?\Where's Victor?\Oh, he's at the pool with Chris.\Oh! Phichit-kun's...\JJ...\Yurio...\Wow. response:	Now that I know what love is and am stronger for it,
context: Huh?\Where's Victor?\Oh, he's at the pool with Chris.\Oh! Phichit-kun's...\JJ...\Yurio...\Wow.\Now that I know what love is and am stronger for it, response:	I'll prove it to myself with a Grand Prix Final gold medal, huh?
context: Where's Victor?\Oh, he's at the pool with Chris.\Oh! Phichit-kun's...\JJ...\Yurio...\Wow.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal, huh? response:	Help me, Victor.
context: Oh, he's at the pool with Chris.\Oh! Phichit-kun's...\JJ...\Yurio...\Wow.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal, huh?\Help me, Victor. response:	Yuri!
context: Oh! Phichit-kun's...\JJ...\Yurio...\Wow.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal, huh?\Help me, Victor.\Yuri! response:	I'm freezing!
context: JJ...\Yurio...\Wow.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal, huh?\Help me, Victor.\Yuri!\I'm freezing! response:	Please draw a hot bath!
context: Yurio...\Wow.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal, huh?\Help me, Victor.\Yuri!\I'm freezing!\Please draw a hot bath! response:	Yuri, can you make coffee, too?
context: Wow.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal, huh?\Help me, Victor.\Yuri!\I'm freezing!\Please draw a hot bath!\Yuri, can you make coffee, too? response:	You were still asleep?
context: Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal, huh?\Help me, Victor.\Yuri!\I'm freezing!\Please draw a hot bath!\Yuri, can you make coffee, too?\You were still asleep? response:	Whoa!
context: I'll prove it to myself with a Grand Prix Final gold medal, huh?\Help me, Victor.\Yuri!\I'm freezing!\Please draw a hot bath!\Yuri, can you make coffee, too?\You were still asleep?\Whoa! response:	Y-You're freezing!
context: Help me, Victor.\Yuri!\I'm freezing!\Please draw a hot bath!\Yuri, can you make coffee, too?\You were still asleep?\Whoa!\Y-You're freezing! response:	Quit clinging to me! Both of you!
context: Yuri!\I'm freezing!\Please draw a hot bath!\Yuri, can you make coffee, too?\You were still asleep?\Whoa!\Y-You're freezing!\Quit clinging to me! Both of you! response:	The aggressive jump composition Yuri's planned in order to win
context: I'm freezing!\Please draw a hot bath!\Yuri, can you make coffee, too?\You were still asleep?\Whoa!\Y-You're freezing!\Quit clinging to me! Both of you!\The aggressive jump composition Yuri's planned in order to win response:	includes a quadruple flip, which he's yet to land, as his final free skate jump.
context: Please draw a hot bath!\Yuri, can you make coffee, too?\You were still asleep?\Whoa!\Y-You're freezing!\Quit clinging to me! Both of you!\The aggressive jump composition Yuri's planned in order to win\includes a quadruple flip, which he's yet to land, as his final free skate jump. response:	If he sticks with his old jumps,
context: Yuri, can you make coffee, too?\You were still asleep?\Whoa!\Y-You're freezing!\Quit clinging to me! Both of you!\The aggressive jump composition Yuri's planned in order to win\includes a quadruple flip, which he's yet to land, as his final free skate jump.\If he sticks with his old jumps, response:	even if he skates a flawless program, JJ has a higher base score.
context: You were still asleep?\Whoa!\Y-You're freezing!\Quit clinging to me! Both of you!\The aggressive jump composition Yuri's planned in order to win\includes a quadruple flip, which he's yet to land, as his final free skate jump.\If he sticks with his old jumps,\even if he skates a flawless program, JJ has a higher base score. response:	Okay.
context: Whoa!\Y-You're freezing!\Quit clinging to me! Both of you!\The aggressive jump composition Yuri's planned in order to win\includes a quadruple flip, which he's yet to land, as his final free skate jump.\If he sticks with his old jumps,\even if he skates a flawless program, JJ has a higher base score.\Okay. response:	I'm done with practice!
context: Y-You're freezing!\Quit clinging to me! Both of you!\The aggressive jump composition Yuri's planned in order to win\includes a quadruple flip, which he's yet to land, as his final free skate jump.\If he sticks with his old jumps,\even if he skates a flawless program, JJ has a higher base score.\Okay.\I'm done with practice! response:	Off I go!
context: Quit clinging to me! Both of you!\The aggressive jump composition Yuri's planned in order to win\includes a quadruple flip, which he's yet to land, as his final free skate jump.\If he sticks with his old jumps,\even if he skates a flawless program, JJ has a higher base score.\Okay.\I'm done with practice!\Off I go! response:	Yuri, let's go over it one last time.
context: The aggressive jump composition Yuri's planned in order to win\includes a quadruple flip, which he's yet to land, as his final free skate jump.\If he sticks with his old jumps,\even if he skates a flawless program, JJ has a higher base score.\Okay.\I'm done with practice!\Off I go!\Yuri, let's go over it one last time. response:	Yuri, what do you want to do now?
context: includes a quadruple flip, which he's yet to land, as his final free skate jump.\If he sticks with his old jumps,\even if he skates a flawless program, JJ has a higher base score.\Okay.\I'm done with practice!\Off I go!\Yuri, let's go over it one last time.\Yuri, what do you want to do now? response:	I recommend a good night's rest to prepare for tomorrow's short program.
context: If he sticks with his old jumps,\even if he skates a flawless program, JJ has a higher base score.\Okay.\I'm done with practice!\Off I go!\Yuri, let's go over it one last time.\Yuri, what do you want to do now?\I recommend a good night's rest to prepare for tomorrow's short program. response:	Don't be such a model coach now.
context: even if he skates a flawless program, JJ has a higher base score.\Okay.\I'm done with practice!\Off I go!\Yuri, let's go over it one last time.\Yuri, what do you want to do now?\I recommend a good night's rest to prepare for tomorrow's short program.\Don't be such a model coach now. response:	This is my first time in Barcelona, so take me sightseeing.
context: Okay.\I'm done with practice!\Off I go!\Yuri, let's go over it one last time.\Yuri, what do you want to do now?\I recommend a good night's rest to prepare for tomorrow's short program.\Don't be such a model coach now.\This is my first time in Barcelona, so take me sightseeing. response:	Leave it to me!
context: I'm done with practice!\Off I go!\Yuri, let's go over it one last time.\Yuri, what do you want to do now?\I recommend a good night's rest to prepare for tomorrow's short program.\Don't be such a model coach now.\This is my first time in Barcelona, so take me sightseeing.\Leave it to me! response:	Yeah!
context: Off I go!\Yuri, let's go over it one last time.\Yuri, what do you want to do now?\I recommend a good night's rest to prepare for tomorrow's short program.\Don't be such a model coach now.\This is my first time in Barcelona, so take me sightseeing.\Leave it to me!\Yeah! response:	Salud!
context: Yuri, let's go over it one last time.\Yuri, what do you want to do now?\I recommend a good night's rest to prepare for tomorrow's short program.\Don't be such a model coach now.\This is my first time in Barcelona, so take me sightseeing.\Leave it to me!\Yeah!\Salud! response:	Perfecto!
context: Yuri, what do you want to do now?\I recommend a good night's rest to prepare for tomorrow's short program.\Don't be such a model coach now.\This is my first time in Barcelona, so take me sightseeing.\Leave it to me!\Yeah!\Salud!\Perfecto! response:	Yeah!
context: I recommend a good night's rest to prepare for tomorrow's short program.\Don't be such a model coach now.\This is my first time in Barcelona, so take me sightseeing.\Leave it to me!\Yeah!\Salud!\Perfecto!\Yeah! response:	I haven't shopped in ages. This is fun!
context: Don't be such a model coach now.\This is my first time in Barcelona, so take me sightseeing.\Leave it to me!\Yeah!\Salud!\Perfecto!\Yeah!\I haven't shopped in ages. This is fun! response:	Hey, let me take a breather.
context: This is my first time in Barcelona, so take me sightseeing.\Leave it to me!\Yeah!\Salud!\Perfecto!\Yeah!\I haven't shopped in ages. This is fun!\Hey, let me take a breather. response:	I would've liked to shop when the Euro was weaker, though.
context: Leave it to me!\Yeah!\Salud!\Perfecto!\Yeah!\I haven't shopped in ages. This is fun!\Hey, let me take a breather.\I would've liked to shop when the Euro was weaker, though. response:	You don't want anything, Yuri?
context: Yeah!\Salud!\Perfecto!\Yeah!\I haven't shopped in ages. This is fun!\Hey, let me take a breather.\I would've liked to shop when the Euro was weaker, though.\You don't want anything, Yuri? response:	Oh... Nah.
context: Salud!\Perfecto!\Yeah!\I haven't shopped in ages. This is fun!\Hey, let me take a breather.\I would've liked to shop when the Euro was weaker, though.\You don't want anything, Yuri?\Oh... Nah. response:	Every competitor has a different way of winding down.
context: Perfecto!\Yeah!\I haven't shopped in ages. This is fun!\Hey, let me take a breather.\I would've liked to shop when the Euro was weaker, though.\You don't want anything, Yuri?\Oh... Nah.\Every competitor has a different way of winding down. response:	It's unusual for Yuri to suggest sightseeing.
context: Yeah!\I haven't shopped in ages. This is fun!\Hey, let me take a breather.\I would've liked to shop when the Euro was weaker, though.\You don't want anything, Yuri?\Oh... Nah.\Every competitor has a different way of winding down.\It's unusual for Yuri to suggest sightseeing. response:	It might mean he's just that nervous this time around.
context: I haven't shopped in ages. This is fun!\Hey, let me take a breather.\I would've liked to shop when the Euro was weaker, though.\You don't want anything, Yuri?\Oh... Nah.\Every competitor has a different way of winding down.\It's unusual for Yuri to suggest sightseeing.\It might mean he's just that nervous this time around. response:	Okay, then...
context: Hey, let me take a breather.\I would've liked to shop when the Euro was weaker, though.\You don't want anything, Yuri?\Oh... Nah.\Every competitor has a different way of winding down.\It's unusual for Yuri to suggest sightseeing.\It might mean he's just that nervous this time around.\Okay, then... response:	Yuri!
context: I would've liked to shop when the Euro was weaker, though.\You don't want anything, Yuri?\Oh... Nah.\Every competitor has a different way of winding down.\It's unusual for Yuri to suggest sightseeing.\It might mean he's just that nervous this time around.\Okay, then...\Yuri! response:	I'll buy you a suit for your birthday!
context: You don't want anything, Yuri?\Oh... Nah.\Every competitor has a different way of winding down.\It's unusual for Yuri to suggest sightseeing.\It might mean he's just that nervous this time around.\Okay, then...\Yuri!\I'll buy you a suit for your birthday! response:	I think you should burn the suit and tie you wore at that press conference.
context: Oh... Nah.\Every competitor has a different way of winding down.\It's unusual for Yuri to suggest sightseeing.\It might mean he's just that nervous this time around.\Okay, then...\Yuri!\I'll buy you a suit for your birthday!\I think you should burn the suit and tie you wore at that press conference. response:	Huh?
context: Every competitor has a different way of winding down.\It's unusual for Yuri to suggest sightseeing.\It might mean he's just that nervous this time around.\Okay, then...\Yuri!\I'll buy you a suit for your birthday!\I think you should burn the suit and tie you wore at that press conference.\Huh? response:	Wait, you don't have to!
context: It's unusual for Yuri to suggest sightseeing.\It might mean he's just that nervous this time around.\Okay, then...\Yuri!\I'll buy you a suit for your birthday!\I think you should burn the suit and tie you wore at that press conference.\Huh?\Wait, you don't have to! response:	I kind of like that suit!
context: It might mean he's just that nervous this time around.\Okay, then...\Yuri!\I'll buy you a suit for your birthday!\I think you should burn the suit and tie you wore at that press conference.\Huh?\Wait, you don't have to!\I kind of like that suit! response:	Hey, Victor!
context: Okay, then...\Yuri!\I'll buy you a suit for your birthday!\I think you should burn the suit and tie you wore at that press conference.\Huh?\Wait, you don't have to!\I kind of like that suit!\Hey, Victor! response:	Where's Yuratchka?
context: Yuri!\I'll buy you a suit for your birthday!\I think you should burn the suit and tie you wore at that press conference.\Huh?\Wait, you don't have to!\I kind of like that suit!\Hey, Victor!\Where's Yuratchka? response:	We're about to have a fan meeting.
context: I'll buy you a suit for your birthday!\I think you should burn the suit and tie you wore at that press conference.\Huh?\Wait, you don't have to!\I kind of like that suit!\Hey, Victor!\Where's Yuratchka?\We're about to have a fan meeting. response:	I can smell Yuratchka! It's coming from over here!
context: I think you should burn the suit and tie you wore at that press conference.\Huh?\Wait, you don't have to!\I kind of like that suit!\Hey, Victor!\Where's Yuratchka?\We're about to have a fan meeting.\I can smell Yuratchka! It's coming from over here! response:	Oh, this hair is Yuratchka's!
context: Huh?\Wait, you don't have to!\I kind of like that suit!\Hey, Victor!\Where's Yuratchka?\We're about to have a fan meeting.\I can smell Yuratchka! It's coming from over here!\Oh, this hair is Yuratchka's! response:	Crap...
context: Wait, you don't have to!\I kind of like that suit!\Hey, Victor!\Where's Yuratchka?\We're about to have a fan meeting.\I can smell Yuratchka! It's coming from over here!\Oh, this hair is Yuratchka's!\Crap... response:	How do I get myself out of this?
context: I kind of like that suit!\Hey, Victor!\Where's Yuratchka?\We're about to have a fan meeting.\I can smell Yuratchka! It's coming from over here!\Oh, this hair is Yuratchka's!\Crap...\How do I get myself out of this? response:	Yuri, get on.
context: Hey, Victor!\Where's Yuratchka?\We're about to have a fan meeting.\I can smell Yuratchka! It's coming from over here!\Oh, this hair is Yuratchka's!\Crap...\How do I get myself out of this?\Yuri, get on. response:	Huh? You're...
context: Where's Yuratchka?\We're about to have a fan meeting.\I can smell Yuratchka! It's coming from over here!\Oh, this hair is Yuratchka's!\Crap...\How do I get myself out of this?\Yuri, get on.\Huh? You're... response:	There's Yuratchka!
context: We're about to have a fan meeting.\I can smell Yuratchka! It's coming from over here!\Oh, this hair is Yuratchka's!\Crap...\How do I get myself out of this?\Yuri, get on.\Huh? You're...\There's Yuratchka! response:	Huh? No way!
context: I can smell Yuratchka! It's coming from over here!\Oh, this hair is Yuratchka's!\Crap...\How do I get myself out of this?\Yuri, get on.\Huh? You're...\There's Yuratchka!\Huh? No way! response:	It's Otabek Altin from Kazakhstan!
context: Oh, this hair is Yuratchka's!\Crap...\How do I get myself out of this?\Yuri, get on.\Huh? You're...\There's Yuratchka!\Huh? No way!\It's Otabek Altin from Kazakhstan! response:	Huh? What?
context: Crap...\How do I get myself out of this?\Yuri, get on.\Huh? You're...\There's Yuratchka!\Huh? No way!\It's Otabek Altin from Kazakhstan!\Huh? What? response:	Are you coming or not?
context: How do I get myself out of this?\Yuri, get on.\Huh? You're...\There's Yuratchka!\Huh? No way!\It's Otabek Altin from Kazakhstan!\Huh? What?\Are you coming or not? response:	I'm sure athletes aren't the only ones who are sensitive
context: Yuri, get on.\Huh? You're...\There's Yuratchka!\Huh? No way!\It's Otabek Altin from Kazakhstan!\Huh? What?\Are you coming or not?\I'm sure athletes aren't the only ones who are sensitive response:	to tailwinds that can take one to worlds unknown.
context: Huh? You're...\There's Yuratchka!\Huh? No way!\It's Otabek Altin from Kazakhstan!\Huh? What?\Are you coming or not?\I'm sure athletes aren't the only ones who are sensitive\to tailwinds that can take one to worlds unknown. response:	News that the hero of Kazakhstan kidnapped the fairy of Russia
context: There's Yuratchka!\Huh? No way!\It's Otabek Altin from Kazakhstan!\Huh? What?\Are you coming or not?\I'm sure athletes aren't the only ones who are sensitive\to tailwinds that can take one to worlds unknown.\News that the hero of Kazakhstan kidnapped the fairy of Russia response:	The fairy of Russia, Yuri Plisetsky, rides off on a motorbike with Otabek, the hero of Kazakhstan
context: Huh? No way!\It's Otabek Altin from Kazakhstan!\Huh? What?\Are you coming or not?\I'm sure athletes aren't the only ones who are sensitive\to tailwinds that can take one to worlds unknown.\News that the hero of Kazakhstan kidnapped the fairy of Russia\The fairy of Russia, Yuri Plisetsky, rides off on a motorbike with Otabek, the hero of Kazakhstan response:	spread across the world like wildfire.
context: It's Otabek Altin from Kazakhstan!\Huh? What?\Are you coming or not?\I'm sure athletes aren't the only ones who are sensitive\to tailwinds that can take one to worlds unknown.\News that the hero of Kazakhstan kidnapped the fairy of Russia\The fairy of Russia, Yuri Plisetsky, rides off on a motorbike with Otabek, the hero of Kazakhstan\spread across the world like wildfire. response:	However, the hero didn't lure the fairy out on a mere whim.
context: Huh? What?\Are you coming or not?\I'm sure athletes aren't the only ones who are sensitive\to tailwinds that can take one to worlds unknown.\News that the hero of Kazakhstan kidnapped the fairy of Russia\The fairy of Russia, Yuri Plisetsky, rides off on a motorbike with Otabek, the hero of Kazakhstan\spread across the world like wildfire.\However, the hero didn't lure the fairy out on a mere whim. response:	Yurio thought they had nothing in common,
context: Are you coming or not?\I'm sure athletes aren't the only ones who are sensitive\to tailwinds that can take one to worlds unknown.\News that the hero of Kazakhstan kidnapped the fairy of Russia\The fairy of Russia, Yuri Plisetsky, rides off on a motorbike with Otabek, the hero of Kazakhstan\spread across the world like wildfire.\However, the hero didn't lure the fairy out on a mere whim.\Yurio thought they had nothing in common, response:	but five years prior, they had actually trained together
context: I'm sure athletes aren't the only ones who are sensitive\to tailwinds that can take one to worlds unknown.\News that the hero of Kazakhstan kidnapped the fairy of Russia\The fairy of Russia, Yuri Plisetsky, rides off on a motorbike with Otabek, the hero of Kazakhstan\spread across the world like wildfire.\However, the hero didn't lure the fairy out on a mere whim.\Yurio thought they had nothing in common,\but five years prior, they had actually trained together response:	at Yakov's summer camp.
context: to tailwinds that can take one to worlds unknown.\News that the hero of Kazakhstan kidnapped the fairy of Russia\The fairy of Russia, Yuri Plisetsky, rides off on a motorbike with Otabek, the hero of Kazakhstan\spread across the world like wildfire.\However, the hero didn't lure the fairy out on a mere whim.\Yurio thought they had nothing in common,\but five years prior, they had actually trained together\at Yakov's summer camp. response:	Really?
context: News that the hero of Kazakhstan kidnapped the fairy of Russia\The fairy of Russia, Yuri Plisetsky, rides off on a motorbike with Otabek, the hero of Kazakhstan\spread across the world like wildfire.\However, the hero didn't lure the fairy out on a mere whim.\Yurio thought they had nothing in common,\but five years prior, they had actually trained together\at Yakov's summer camp.\Really? response:	I don't remember that!
context: The fairy of Russia, Yuri Plisetsky, rides off on a motorbike with Otabek, the hero of Kazakhstan\spread across the world like wildfire.\However, the hero didn't lure the fairy out on a mere whim.\Yurio thought they had nothing in common,\but five years prior, they had actually trained together\at Yakov's summer camp.\Really?\I don't remember that! response:	At the time, I was in my first year in the junior division.
context: spread across the world like wildfire.\However, the hero didn't lure the fairy out on a mere whim.\Yurio thought they had nothing in common,\but five years prior, they had actually trained together\at Yakov's summer camp.\Really?\I don't remember that!\At the time, I was in my first year in the junior division. response:	But I couldn't keep up with the Russian junior skaters,
context: However, the hero didn't lure the fairy out on a mere whim.\Yurio thought they had nothing in common,\but five years prior, they had actually trained together\at Yakov's summer camp.\Really?\I don't remember that!\At the time, I was in my first year in the junior division.\But I couldn't keep up with the Russian junior skaters, response:	so I was put in the novice class.
context: Yurio thought they had nothing in common,\but five years prior, they had actually trained together\at Yakov's summer camp.\Really?\I don't remember that!\At the time, I was in my first year in the junior division.\But I couldn't keep up with the Russian junior skaters,\so I was put in the novice class. response:	That's where I met you.
context: but five years prior, they had actually trained together\at Yakov's summer camp.\Really?\I don't remember that!\At the time, I was in my first year in the junior division.\But I couldn't keep up with the Russian junior skaters,\so I was put in the novice class.\That's where I met you. response:	Yuri Plisetsky had the unforgettable eyes of a soldier.
context: at Yakov's summer camp.\Really?\I don't remember that!\At the time, I was in my first year in the junior division.\But I couldn't keep up with the Russian junior skaters,\so I was put in the novice class.\That's where I met you.\Yuri Plisetsky had the unforgettable eyes of a soldier. response:	A soldier?
context: Really?\I don't remember that!\At the time, I was in my first year in the junior division.\But I couldn't keep up with the Russian junior skaters,\so I was put in the novice class.\That's where I met you.\Yuri Plisetsky had the unforgettable eyes of a soldier.\A soldier? response:	Me?
context: I don't remember that!\At the time, I was in my first year in the junior division.\But I couldn't keep up with the Russian junior skaters,\so I was put in the novice class.\That's where I met you.\Yuri Plisetsky had the unforgettable eyes of a soldier.\A soldier?\Me? response:	I had just moved my home rink from Moscow to St. Petersburg.
context: At the time, I was in my first year in the junior division.\But I couldn't keep up with the Russian junior skaters,\so I was put in the novice class.\That's where I met you.\Yuri Plisetsky had the unforgettable eyes of a soldier.\A soldier?\Me?\I had just moved my home rink from Moscow to St. Petersburg. response:	I was desperate.
context: But I couldn't keep up with the Russian junior skaters,\so I was put in the novice class.\That's where I met you.\Yuri Plisetsky had the unforgettable eyes of a soldier.\A soldier?\Me?\I had just moved my home rink from Moscow to St. Petersburg.\I was desperate. response:	I'd decided that I wouldn't complain until I was good enough.
context: so I was put in the novice class.\That's where I met you.\Yuri Plisetsky had the unforgettable eyes of a soldier.\A soldier?\Me?\I had just moved my home rink from Moscow to St. Petersburg.\I was desperate.\I'd decided that I wouldn't complain until I was good enough. response:	After that camp,
context: That's where I met you.\Yuri Plisetsky had the unforgettable eyes of a soldier.\A soldier?\Me?\I had just moved my home rink from Moscow to St. Petersburg.\I was desperate.\I'd decided that I wouldn't complain until I was good enough.\After that camp, response:	I moved around to train, from Russia to the US and then to Canada.
context: Yuri Plisetsky had the unforgettable eyes of a soldier.\A soldier?\Me?\I had just moved my home rink from Moscow to St. Petersburg.\I was desperate.\I'd decided that I wouldn't complain until I was good enough.\After that camp,\I moved around to train, from Russia to the US and then to Canada. response:	I only managed to return to my home rink in Almaty last year.
context: A soldier?\Me?\I had just moved my home rink from Moscow to St. Petersburg.\I was desperate.\I'd decided that I wouldn't complain until I was good enough.\After that camp,\I moved around to train, from Russia to the US and then to Canada.\I only managed to return to my home rink in Almaty last year. response:	Now, more than ever, I want to win the championship for Kazakhstan.
context: Me?\I had just moved my home rink from Moscow to St. Petersburg.\I was desperate.\I'd decided that I wouldn't complain until I was good enough.\After that camp,\I moved around to train, from Russia to the US and then to Canada.\I only managed to return to my home rink in Almaty last year.\Now, more than ever, I want to win the championship for Kazakhstan. response:	Otabek, why did you talk to me?
context: I had just moved my home rink from Moscow to St. Petersburg.\I was desperate.\I'd decided that I wouldn't complain until I was good enough.\After that camp,\I moved around to train, from Russia to the US and then to Canada.\I only managed to return to my home rink in Almaty last year.\Now, more than ever, I want to win the championship for Kazakhstan.\Otabek, why did you talk to me? response:	I'm a rival, aren't I?
context: I was desperate.\I'd decided that I wouldn't complain until I was good enough.\After that camp,\I moved around to train, from Russia to the US and then to Canada.\I only managed to return to my home rink in Almaty last year.\Now, more than ever, I want to win the championship for Kazakhstan.\Otabek, why did you talk to me?\I'm a rival, aren't I? response:	I've always thought we were alike.
context: I'd decided that I wouldn't complain until I was good enough.\After that camp,\I moved around to train, from Russia to the US and then to Canada.\I only managed to return to my home rink in Almaty last year.\Now, more than ever, I want to win the championship for Kazakhstan.\Otabek, why did you talk to me?\I'm a rival, aren't I?\I've always thought we were alike. response:	That's all.
context: After that camp,\I moved around to train, from Russia to the US and then to Canada.\I only managed to return to my home rink in Almaty last year.\Now, more than ever, I want to win the championship for Kazakhstan.\Otabek, why did you talk to me?\I'm a rival, aren't I?\I've always thought we were alike.\That's all. response:	Are you going to become friends with me or not?
context: I moved around to train, from Russia to the US and then to Canada.\I only managed to return to my home rink in Almaty last year.\Now, more than ever, I want to win the championship for Kazakhstan.\Otabek, why did you talk to me?\I'm a rival, aren't I?\I've always thought we were alike.\That's all.\Are you going to become friends with me or not? response:	Yurio had never been asked to become friends before!
context: I only managed to return to my home rink in Almaty last year.\Now, more than ever, I want to win the championship for Kazakhstan.\Otabek, why did you talk to me?\I'm a rival, aren't I?\I've always thought we were alike.\That's all.\Are you going to become friends with me or not?\Yurio had never been asked to become friends before! response:	Now, back to the main story where I'm shopping with Yuri.
context: Now, more than ever, I want to win the championship for Kazakhstan.\Otabek, why did you talk to me?\I'm a rival, aren't I?\I've always thought we were alike.\That's all.\Are you going to become friends with me or not?\Yurio had never been asked to become friends before!\Now, back to the main story where I'm shopping with Yuri. response:	Here, the mood had turned sour!
context: Otabek, why did you talk to me?\I'm a rival, aren't I?\I've always thought we were alike.\That's all.\Are you going to become friends with me or not?\Yurio had never been asked to become friends before!\Now, back to the main story where I'm shopping with Yuri.\Here, the mood had turned sour! response:	It's not here, either.
context: I'm a rival, aren't I?\I've always thought we were alike.\That's all.\Are you going to become friends with me or not?\Yurio had never been asked to become friends before!\Now, back to the main story where I'm shopping with Yuri.\Here, the mood had turned sour!\It's not here, either. response:	Yuri, calm down and remember.
context: I've always thought we were alike.\That's all.\Are you going to become friends with me or not?\Yurio had never been asked to become friends before!\Now, back to the main story where I'm shopping with Yuri.\Here, the mood had turned sour!\It's not here, either.\Yuri, calm down and remember. response:	It's the bag of nuts we just bought.
context: That's all.\Are you going to become friends with me or not?\Yurio had never been asked to become friends before!\Now, back to the main story where I'm shopping with Yuri.\Here, the mood had turned sour!\It's not here, either.\Yuri, calm down and remember.\It's the bag of nuts we just bought. response:	It's a brown bag with green print.
context: Are you going to become friends with me or not?\Yurio had never been asked to become friends before!\Now, back to the main story where I'm shopping with Yuri.\Here, the mood had turned sour!\It's not here, either.\Yuri, calm down and remember.\It's the bag of nuts we just bought.\It's a brown bag with green print. response:	Sorry.
context: Yurio had never been asked to become friends before!\Now, back to the main story where I'm shopping with Yuri.\Here, the mood had turned sour!\It's not here, either.\Yuri, calm down and remember.\It's the bag of nuts we just bought.\It's a brown bag with green print.\Sorry. response:	I have no idea where I dropped it.
context: Now, back to the main story where I'm shopping with Yuri.\Here, the mood had turned sour!\It's not here, either.\Yuri, calm down and remember.\It's the bag of nuts we just bought.\It's a brown bag with green print.\Sorry.\I have no idea where I dropped it. response:	I'll go back to the shop and get another bag!
context: Here, the mood had turned sour!\It's not here, either.\Yuri, calm down and remember.\It's the bag of nuts we just bought.\It's a brown bag with green print.\Sorry.\I have no idea where I dropped it.\I'll go back to the shop and get another bag! response:	It's okay, Yuri.
context: It's not here, either.\Yuri, calm down and remember.\It's the bag of nuts we just bought.\It's a brown bag with green print.\Sorry.\I have no idea where I dropped it.\I'll go back to the shop and get another bag!\It's okay, Yuri. response:	The nuts shop would be closed by now.
context: Yuri, calm down and remember.\It's the bag of nuts we just bought.\It's a brown bag with green print.\Sorry.\I have no idea where I dropped it.\I'll go back to the shop and get another bag!\It's okay, Yuri.\The nuts shop would be closed by now. response:	Let's head back. You're tired, right?
