context: If Crusch-sama's goal should be attained, response:	I'm sure it would suit your desires, Wilhelm-dono.
context: That's why we have to kill every one of them!\That will save everyone!\I am certain I have told you, Natsuki Subaru.\That if your own lie doesn't fool you, it will not deceive others.\Why...\You don't know why?\You haven't once said\that you want to save Emilia. response:	I cannot allow you to come any closer.
context: That will save everyone!\I am certain I have told you, Natsuki Subaru.\That if your own lie doesn't fool you, it will not deceive others.\Why...\You don't know why?\You haven't once said\that you want to save Emilia.\I cannot allow you to come any closer. response:	Subaru-kun,
context: I am certain I have told you, Natsuki Subaru.\That if your own lie doesn't fool you, it will not deceive others.\Why...\You don't know why?\You haven't once said\that you want to save Emilia.\I cannot allow you to come any closer.\Subaru-kun, response:	please calm down.
context: That if your own lie doesn't fool you, it will not deceive others.\Why...\You don't know why?\You haven't once said\that you want to save Emilia.\I cannot allow you to come any closer.\Subaru-kun,\please calm down. response:	I can generally tell when the person with whom I speak is lying.
context: Why...\You don't know why?\You haven't once said\that you want to save Emilia.\I cannot allow you to come any closer.\Subaru-kun,\please calm down.\I can generally tell when the person with whom I speak is lying. response:	I am quite proud of the fact that I have never been deceived in negotiations.
context: You don't know why?\You haven't once said\that you want to save Emilia.\I cannot allow you to come any closer.\Subaru-kun,\please calm down.\I can generally tell when the person with whom I speak is lying.\I am quite proud of the fact that I have never been deceived in negotiations. response:	Speaking from those years of experience,
context: You haven't once said\that you want to save Emilia.\I cannot allow you to come any closer.\Subaru-kun,\please calm down.\I can generally tell when the person with whom I speak is lying.\I am quite proud of the fact that I have never been deceived in negotiations.\Speaking from those years of experience, response:	I can say you are not lying.
context: that you want to save Emilia.\I cannot allow you to come any closer.\Subaru-kun,\please calm down.\I can generally tell when the person with whom I speak is lying.\I am quite proud of the fact that I have never been deceived in negotiations.\Speaking from those years of experience,\I can say you are not lying. response:	W-Well, then...
context: I cannot allow you to come any closer.\Subaru-kun,\please calm down.\I can generally tell when the person with whom I speak is lying.\I am quite proud of the fact that I have never been deceived in negotiations.\Speaking from those years of experience,\I can say you are not lying.\W-Well, then... response:	You adamantly believe that your rant is true.
context: Subaru-kun,\please calm down.\I can generally tell when the person with whom I speak is lying.\I am quite proud of the fact that I have never been deceived in negotiations.\Speaking from those years of experience,\I can say you are not lying.\W-Well, then...\You adamantly believe that your rant is true. response:	That is nothing short of madness,
context: please calm down.\I can generally tell when the person with whom I speak is lying.\I am quite proud of the fact that I have never been deceived in negotiations.\Speaking from those years of experience,\I can say you are not lying.\W-Well, then...\You adamantly believe that your rant is true.\That is nothing short of madness, response:	Natsuki Subaru.
context: I can generally tell when the person with whom I speak is lying.\I am quite proud of the fact that I have never been deceived in negotiations.\Speaking from those years of experience,\I can say you are not lying.\W-Well, then...\You adamantly believe that your rant is true.\That is nothing short of madness,\Natsuki Subaru. response:	Felis, heal his lip.
context: I am quite proud of the fact that I have never been deceived in negotiations.\Speaking from those years of experience,\I can say you are not lying.\W-Well, then...\You adamantly believe that your rant is true.\That is nothing short of madness,\Natsuki Subaru.\Felis, heal his lip. response:	Don't bother!
context: Speaking from those years of experience,\I can say you are not lying.\W-Well, then...\You adamantly believe that your rant is true.\That is nothing short of madness,\Natsuki Subaru.\Felis, heal his lip.\Don't bother! response:	Rem, let's go.
context: I can say you are not lying.\W-Well, then...\You adamantly believe that your rant is true.\That is nothing short of madness,\Natsuki Subaru.\Felis, heal his lip.\Don't bother!\Rem, let's go. response:	Do you have anywhere else to turn?
context: W-Well, then...\You adamantly believe that your rant is true.\That is nothing short of madness,\Natsuki Subaru.\Felis, heal his lip.\Don't bother!\Rem, let's go.\Do you have anywhere else to turn? response:	I hope you become a great ruler...
context: You adamantly believe that your rant is true.\That is nothing short of madness,\Natsuki Subaru.\Felis, heal his lip.\Don't bother!\Rem, let's go.\Do you have anywhere else to turn?\I hope you become a great ruler... response:	The kind of dictator who abandons the weak.
context: That is nothing short of madness,\Natsuki Subaru.\Felis, heal his lip.\Don't bother!\Rem, let's go.\Do you have anywhere else to turn?\I hope you become a great ruler...\The kind of dictator who abandons the weak. response:	In my master's stead, I thank you
context: Natsuki Subaru.\Felis, heal his lip.\Don't bother!\Rem, let's go.\Do you have anywhere else to turn?\I hope you become a great ruler...\The kind of dictator who abandons the weak.\In my master's stead, I thank you response:	for the care you have given us.
context: Felis, heal his lip.\Don't bother!\Rem, let's go.\Do you have anywhere else to turn?\I hope you become a great ruler...\The kind of dictator who abandons the weak.\In my master's stead, I thank you\for the care you have given us. response:	What will we do?
context: Don't bother!\Rem, let's go.\Do you have anywhere else to turn?\I hope you become a great ruler...\The kind of dictator who abandons the weak.\In my master's stead, I thank you\for the care you have given us.\What will we do? response:	If what you say is true, we have little time.
context: Rem, let's go.\Do you have anywhere else to turn?\I hope you become a great ruler...\The kind of dictator who abandons the weak.\In my master's stead, I thank you\for the care you have given us.\What will we do?\If what you say is true, we have little time. response:	If it's true?
context: Do you have anywhere else to turn?\I hope you become a great ruler...\The kind of dictator who abandons the weak.\In my master's stead, I thank you\for the care you have given us.\What will we do?\If what you say is true, we have little time.\If it's true? response:	We have little time.
context: I hope you become a great ruler...\The kind of dictator who abandons the weak.\In my master's stead, I thank you\for the care you have given us.\What will we do?\If what you say is true, we have little time.\If it's true?\We have little time. response:	Shall we return to Roswaal-sama's mansion?
context: The kind of dictator who abandons the weak.\In my master's stead, I thank you\for the care you have given us.\What will we do?\If what you say is true, we have little time.\If it's true?\We have little time.\Shall we return to Roswaal-sama's mansion? response:	No, there's not much the two of us could do by going back now.
context: In my master's stead, I thank you\for the care you have given us.\What will we do?\If what you say is true, we have little time.\If it's true?\We have little time.\Shall we return to Roswaal-sama's mansion?\No, there's not much the two of us could do by going back now. response:	There aren't enough of us.
context: for the care you have given us.\What will we do?\If what you say is true, we have little time.\If it's true?\We have little time.\Shall we return to Roswaal-sama's mansion?\No, there's not much the two of us could do by going back now.\There aren't enough of us. response:	What the hell is Roswaal doing?
context: What will we do?\If what you say is true, we have little time.\If it's true?\We have little time.\Shall we return to Roswaal-sama's mansion?\No, there's not much the two of us could do by going back now.\There aren't enough of us.\What the hell is Roswaal doing? response:	Roswaal-sama has been required to visit some officials within the domain.
context: If what you say is true, we have little time.\If it's true?\We have little time.\Shall we return to Roswaal-sama's mansion?\No, there's not much the two of us could do by going back now.\There aren't enough of us.\What the hell is Roswaal doing?\Roswaal-sama has been required to visit some officials within the domain. response:	He will stay with them for a few days.
context: If it's true?\We have little time.\Shall we return to Roswaal-sama's mansion?\No, there's not much the two of us could do by going back now.\There aren't enough of us.\What the hell is Roswaal doing?\Roswaal-sama has been required to visit some officials within the domain.\He will stay with them for a few days. response:	That's why he can't do anything about the attack?
context: We have little time.\Shall we return to Roswaal-sama's mansion?\No, there's not much the two of us could do by going back now.\There aren't enough of us.\What the hell is Roswaal doing?\Roswaal-sama has been required to visit some officials within the domain.\He will stay with them for a few days.\That's why he can't do anything about the attack? response:	Then, unless we find reinforcements, we won't get anywhere.
context: Shall we return to Roswaal-sama's mansion?\No, there's not much the two of us could do by going back now.\There aren't enough of us.\What the hell is Roswaal doing?\Roswaal-sama has been required to visit some officials within the domain.\He will stay with them for a few days.\That's why he can't do anything about the attack?\Then, unless we find reinforcements, we won't get anywhere. response:	What about Reinhard?
context: No, there's not much the two of us could do by going back now.\There aren't enough of us.\What the hell is Roswaal doing?\Roswaal-sama has been required to visit some officials within the domain.\He will stay with them for a few days.\That's why he can't do anything about the attack?\Then, unless we find reinforcements, we won't get anywhere.\What about Reinhard? response:	Wouldn't he help us?
context: There aren't enough of us.\What the hell is Roswaal doing?\Roswaal-sama has been required to visit some officials within the domain.\He will stay with them for a few days.\That's why he can't do anything about the attack?\Then, unless we find reinforcements, we won't get anywhere.\What about Reinhard?\Wouldn't he help us? response:	Yesterday, he said that he would be
context: What the hell is Roswaal doing?\Roswaal-sama has been required to visit some officials within the domain.\He will stay with them for a few days.\That's why he can't do anything about the attack?\Then, unless we find reinforcements, we won't get anywhere.\What about Reinhard?\Wouldn't he help us?\Yesterday, he said that he would be response:	away from the capital for a while on a courtesy call.
context: Roswaal-sama has been required to visit some officials within the domain.\He will stay with them for a few days.\That's why he can't do anything about the attack?\Then, unless we find reinforcements, we won't get anywhere.\What about Reinhard?\Wouldn't he help us?\Yesterday, he said that he would be\away from the capital for a while on a courtesy call. response:	Damn it!
context: He will stay with them for a few days.\That's why he can't do anything about the attack?\Then, unless we find reinforcements, we won't get anywhere.\What about Reinhard?\Wouldn't he help us?\Yesterday, he said that he would be\away from the capital for a while on a courtesy call.\Damn it! response:	Why are you all so useless?!
context: That's why he can't do anything about the attack?\Then, unless we find reinforcements, we won't get anywhere.\What about Reinhard?\Wouldn't he help us?\Yesterday, he said that he would be\away from the capital for a while on a courtesy call.\Damn it!\Why are you all so useless?! response:	Tomorrow, we'll have to look for someone else to help us.
context: Then, unless we find reinforcements, we won't get anywhere.\What about Reinhard?\Wouldn't he help us?\Yesterday, he said that he would be\away from the capital for a while on a courtesy call.\Damn it!\Why are you all so useless?!\Tomorrow, we'll have to look for someone else to help us. response:	You head to the knights' station.
context: What about Reinhard?\Wouldn't he help us?\Yesterday, he said that he would be\away from the capital for a while on a courtesy call.\Damn it!\Why are you all so useless?!\Tomorrow, we'll have to look for someone else to help us.\You head to the knights' station. response:	I'm going to talk to one of the other candidates.
context: Wouldn't he help us?\Yesterday, he said that he would be\away from the capital for a while on a courtesy call.\Damn it!\Why are you all so useless?!\Tomorrow, we'll have to look for someone else to help us.\You head to the knights' station.\I'm going to talk to one of the other candidates. response:	Very well.
context: Yesterday, he said that he would be\away from the capital for a while on a courtesy call.\Damn it!\Why are you all so useless?!\Tomorrow, we'll have to look for someone else to help us.\You head to the knights' station.\I'm going to talk to one of the other candidates.\Very well. response:	The Witch's Cult?
context: away from the capital for a while on a courtesy call.\Damn it!\Why are you all so useless?!\Tomorrow, we'll have to look for someone else to help us.\You head to the knights' station.\I'm going to talk to one of the other candidates.\Very well.\The Witch's Cult? response:	Yes.
context: Damn it!\Why are you all so useless?!\Tomorrow, we'll have to look for someone else to help us.\You head to the knights' station.\I'm going to talk to one of the other candidates.\Very well.\The Witch's Cult?\Yes. response:	If left alone, they'll hurt lots of people.
context: Why are you all so useless?!\Tomorrow, we'll have to look for someone else to help us.\You head to the knights' station.\I'm going to talk to one of the other candidates.\Very well.\The Witch's Cult?\Yes.\If left alone, they'll hurt lots of people. response:	Emilia won't be their only victim.
context: Tomorrow, we'll have to look for someone else to help us.\You head to the knights' station.\I'm going to talk to one of the other candidates.\Very well.\The Witch's Cult?\Yes.\If left alone, they'll hurt lots of people.\Emilia won't be their only victim. response:	I want to defeat them before that happens!
context: You head to the knights' station.\I'm going to talk to one of the other candidates.\Very well.\The Witch's Cult?\Yes.\If left alone, they'll hurt lots of people.\Emilia won't be their only victim.\I want to defeat them before that happens! response:	That's why I
context: I'm going to talk to one of the other candidates.\Very well.\The Witch's Cult?\Yes.\If left alone, they'll hurt lots of people.\Emilia won't be their only victim.\I want to defeat them before that happens!\That's why I response:	Amusing... You are amusing!
context: Very well.\The Witch's Cult?\Yes.\If left alone, they'll hurt lots of people.\Emilia won't be their only victim.\I want to defeat them before that happens!\That's why I\Amusing... You are amusing! response:	Indeed.
context: The Witch's Cult?\Yes.\If left alone, they'll hurt lots of people.\Emilia won't be their only victim.\I want to defeat them before that happens!\That's why I\Amusing... You are amusing!\Indeed. response:	Any jester who makes it this far has mastered his act...
context: Yes.\If left alone, they'll hurt lots of people.\Emilia won't be their only victim.\I want to defeat them before that happens!\That's why I\Amusing... You are amusing!\Indeed.\Any jester who makes it this far has mastered his act... response:	Wh-What's so funny about this?
context: If left alone, they'll hurt lots of people.\Emilia won't be their only victim.\I want to defeat them before that happens!\That's why I\Amusing... You are amusing!\Indeed.\Any jester who makes it this far has mastered his act...\Wh-What's so funny about this? response:	I can appreciate your desperation,
context: Emilia won't be their only victim.\I want to defeat them before that happens!\That's why I\Amusing... You are amusing!\Indeed.\Any jester who makes it this far has mastered his act...\Wh-What's so funny about this?\I can appreciate your desperation, response:	but you haven't thought things through.
context: I want to defeat them before that happens!\That's why I\Amusing... You are amusing!\Indeed.\Any jester who makes it this far has mastered his act...\Wh-What's so funny about this?\I can appreciate your desperation,\but you haven't thought things through. response:	In trying to aid your ally, you corner them, benefit the enemy, and lose all control.
context: That's why I\Amusing... You are amusing!\Indeed.\Any jester who makes it this far has mastered his act...\Wh-What's so funny about this?\I can appreciate your desperation,\but you haven't thought things through.\In trying to aid your ally, you corner them, benefit the enemy, and lose all control. response:	You're better off dying.
context: Amusing... You are amusing!\Indeed.\Any jester who makes it this far has mastered his act...\Wh-What's so funny about this?\I can appreciate your desperation,\but you haven't thought things through.\In trying to aid your ally, you corner them, benefit the enemy, and lose all control.\You're better off dying. response:	In fact, I could just lop off your head for you right now.
context: Indeed.\Any jester who makes it this far has mastered his act...\Wh-What's so funny about this?\I can appreciate your desperation,\but you haven't thought things through.\In trying to aid your ally, you corner them, benefit the enemy, and lose all control.\You're better off dying.\In fact, I could just lop off your head for you right now. response:	Still, even in the face of such harsh treatment,
context: Any jester who makes it this far has mastered his act...\Wh-What's so funny about this?\I can appreciate your desperation,\but you haven't thought things through.\In trying to aid your ally, you corner them, benefit the enemy, and lose all control.\You're better off dying.\In fact, I could just lop off your head for you right now.\Still, even in the face of such harsh treatment, response:	the devotion you show for your master is commendable, if nothing else.
context: Wh-What's so funny about this?\I can appreciate your desperation,\but you haven't thought things through.\In trying to aid your ally, you corner them, benefit the enemy, and lose all control.\You're better off dying.\In fact, I could just lop off your head for you right now.\Still, even in the face of such harsh treatment,\the devotion you show for your master is commendable, if nothing else. response:	So...
context: I can appreciate your desperation,\but you haven't thought things through.\In trying to aid your ally, you corner them, benefit the enemy, and lose all control.\You're better off dying.\In fact, I could just lop off your head for you right now.\Still, even in the face of such harsh treatment,\the devotion you show for your master is commendable, if nothing else.\So... response:	I will give you an opportunity.
context: but you haven't thought things through.\In trying to aid your ally, you corner them, benefit the enemy, and lose all control.\You're better off dying.\In fact, I could just lop off your head for you right now.\Still, even in the face of such harsh treatment,\the devotion you show for your master is commendable, if nothing else.\So...\I will give you an opportunity. response:	A-An opportunity?
context: In trying to aid your ally, you corner them, benefit the enemy, and lose all control.\You're better off dying.\In fact, I could just lop off your head for you right now.\Still, even in the face of such harsh treatment,\the devotion you show for your master is commendable, if nothing else.\So...\I will give you an opportunity.\A-An opportunity? response:	Yes, an opportunity.
context: You're better off dying.\In fact, I could just lop off your head for you right now.\Still, even in the face of such harsh treatment,\the devotion you show for your master is commendable, if nothing else.\So...\I will give you an opportunity.\A-An opportunity?\Yes, an opportunity. response:	What you would call a chance.
context: In fact, I could just lop off your head for you right now.\Still, even in the face of such harsh treatment,\the devotion you show for your master is commendable, if nothing else.\So...\I will give you an opportunity.\A-An opportunity?\Yes, an opportunity.\What you would call a chance. response:	Lick it.
context: Still, even in the face of such harsh treatment,\the devotion you show for your master is commendable, if nothing else.\So...\I will give you an opportunity.\A-An opportunity?\Yes, an opportunity.\What you would call a chance.\Lick it. response:	Huh?
context: the devotion you show for your master is commendable, if nothing else.\So...\I will give you an opportunity.\A-An opportunity?\Yes, an opportunity.\What you would call a chance.\Lick it.\Huh? response:	Crawl on the floor,
context: So...\I will give you an opportunity.\A-An opportunity?\Yes, an opportunity.\What you would call a chance.\Lick it.\Huh?\Crawl on the floor, response:	savoring the shame and humiliation.
context: I will give you an opportunity.\A-An opportunity?\Yes, an opportunity.\What you would call a chance.\Lick it.\Huh?\Crawl on the floor,\savoring the shame and humiliation. response:	And like a wretched beast,
context: A-An opportunity?\Yes, an opportunity.\What you would call a chance.\Lick it.\Huh?\Crawl on the floor,\savoring the shame and humiliation.\And like a wretched beast, response:	like a baby suckling on its mother's teat,
context: Yes, an opportunity.\What you would call a chance.\Lick it.\Huh?\Crawl on the floor,\savoring the shame and humiliation.\And like a wretched beast,\like a baby suckling on its mother's teat, response:	lick my foot.
context: What you would call a chance.\Lick it.\Huh?\Crawl on the floor,\savoring the shame and humiliation.\And like a wretched beast,\like a baby suckling on its mother's teat,\lick my foot. response:	If you can do that, I'll consider your proposal.
context: Lick it.\Huh?\Crawl on the floor,\savoring the shame and humiliation.\And like a wretched beast,\like a baby suckling on its mother's teat,\lick my foot.\If you can do that, I'll consider your proposal. response:	If you don't want to, that's fine...
context: Huh?\Crawl on the floor,\savoring the shame and humiliation.\And like a wretched beast,\like a baby suckling on its mother's teat,\lick my foot.\If you can do that, I'll consider your proposal.\If you don't want to, that's fine... response:	If you'd rather favor your minuscule pride
context: Crawl on the floor,\savoring the shame and humiliation.\And like a wretched beast,\like a baby suckling on its mother's teat,\lick my foot.\If you can do that, I'll consider your proposal.\If you don't want to, that's fine...\If you'd rather favor your minuscule pride response:	and abandon the mistress you wagged your tail for to the wasteland, fine.
context: savoring the shame and humiliation.\And like a wretched beast,\like a baby suckling on its mother's teat,\lick my foot.\If you can do that, I'll consider your proposal.\If you don't want to, that's fine...\If you'd rather favor your minuscule pride\and abandon the mistress you wagged your tail for to the wasteland, fine. response:	Either choice you make will entertain me.
context: And like a wretched beast,\like a baby suckling on its mother's teat,\lick my foot.\If you can do that, I'll consider your proposal.\If you don't want to, that's fine...\If you'd rather favor your minuscule pride\and abandon the mistress you wagged your tail for to the wasteland, fine.\Either choice you make will entertain me. response:	F-Fine.
context: like a baby suckling on its mother's teat,\lick my foot.\If you can do that, I'll consider your proposal.\If you don't want to, that's fine...\If you'd rather favor your minuscule pride\and abandon the mistress you wagged your tail for to the wasteland, fine.\Either choice you make will entertain me.\F-Fine. response:	I guess you really are just an insignificant man!
context: lick my foot.\If you can do that, I'll consider your proposal.\If you don't want to, that's fine...\If you'd rather favor your minuscule pride\and abandon the mistress you wagged your tail for to the wasteland, fine.\Either choice you make will entertain me.\F-Fine.\I guess you really are just an insignificant man! response:	What you just displayed was neither loyalty nor devotion.
context: If you can do that, I'll consider your proposal.\If you don't want to, that's fine...\If you'd rather favor your minuscule pride\and abandon the mistress you wagged your tail for to the wasteland, fine.\Either choice you make will entertain me.\F-Fine.\I guess you really are just an insignificant man!\What you just displayed was neither loyalty nor devotion. response:	It's something more filthy, like a dog's dependence or a pig's greed,
context: If you don't want to, that's fine...\If you'd rather favor your minuscule pride\and abandon the mistress you wagged your tail for to the wasteland, fine.\Either choice you make will entertain me.\F-Fine.\I guess you really are just an insignificant man!\What you just displayed was neither loyalty nor devotion.\It's something more filthy, like a dog's dependence or a pig's greed, response:	you lazy pig who knows only how to want!
context: If you'd rather favor your minuscule pride\and abandon the mistress you wagged your tail for to the wasteland, fine.\Either choice you make will entertain me.\F-Fine.\I guess you really are just an insignificant man!\What you just displayed was neither loyalty nor devotion.\It's something more filthy, like a dog's dependence or a pig's greed,\you lazy pig who knows only how to want! response:	A pig's greed is the ugliest thing there is!
context: and abandon the mistress you wagged your tail for to the wasteland, fine.\Either choice you make will entertain me.\F-Fine.\I guess you really are just an insignificant man!\What you just displayed was neither loyalty nor devotion.\It's something more filthy, like a dog's dependence or a pig's greed,\you lazy pig who knows only how to want!\A pig's greed is the ugliest thing there is! response:	Even if the Witch's Cult is defeated,
context: Either choice you make will entertain me.\F-Fine.\I guess you really are just an insignificant man!\What you just displayed was neither loyalty nor devotion.\It's something more filthy, like a dog's dependence or a pig's greed,\you lazy pig who knows only how to want!\A pig's greed is the ugliest thing there is!\Even if the Witch's Cult is defeated, response:	I will strike down any camp you are part of!
context: F-Fine.\I guess you really are just an insignificant man!\What you just displayed was neither loyalty nor devotion.\It's something more filthy, like a dog's dependence or a pig's greed,\you lazy pig who knows only how to want!\A pig's greed is the ugliest thing there is!\Even if the Witch's Cult is defeated,\I will strike down any camp you are part of! response:	Your careless behavior and attitude have led me to that decision!
context: I guess you really are just an insignificant man!\What you just displayed was neither loyalty nor devotion.\It's something more filthy, like a dog's dependence or a pig's greed,\you lazy pig who knows only how to want!\A pig's greed is the ugliest thing there is!\Even if the Witch's Cult is defeated,\I will strike down any camp you are part of!\Your careless behavior and attitude have led me to that decision! response:	Aldebaran.
context: What you just displayed was neither loyalty nor devotion.\It's something more filthy, like a dog's dependence or a pig's greed,\you lazy pig who knows only how to want!\A pig's greed is the ugliest thing there is!\Even if the Witch's Cult is defeated,\I will strike down any camp you are part of!\Your careless behavior and attitude have led me to that decision!\Aldebaran. response:	Hey, now... What happened in here?
context: It's something more filthy, like a dog's dependence or a pig's greed,\you lazy pig who knows only how to want!\A pig's greed is the ugliest thing there is!\Even if the Witch's Cult is defeated,\I will strike down any camp you are part of!\Your careless behavior and attitude have led me to that decision!\Aldebaran.\Hey, now... What happened in here? response:	Throw that detestable fool out of here.
context: you lazy pig who knows only how to want!\A pig's greed is the ugliest thing there is!\Even if the Witch's Cult is defeated,\I will strike down any camp you are part of!\Your careless behavior and attitude have led me to that decision!\Aldebaran.\Hey, now... What happened in here?\Throw that detestable fool out of here. response:	Or kill him if you want. It matters not.
context: A pig's greed is the ugliest thing there is!\Even if the Witch's Cult is defeated,\I will strike down any camp you are part of!\Your careless behavior and attitude have led me to that decision!\Aldebaran.\Hey, now... What happened in here?\Throw that detestable fool out of here.\Or kill him if you want. It matters not. response:	I think that matters quite a bit.
context: Even if the Witch's Cult is defeated,\I will strike down any camp you are part of!\Your careless behavior and attitude have led me to that decision!\Aldebaran.\Hey, now... What happened in here?\Throw that detestable fool out of here.\Or kill him if you want. It matters not.\I think that matters quite a bit. response:	Let's go, brother.
context: I will strike down any camp you are part of!\Your careless behavior and attitude have led me to that decision!\Aldebaran.\Hey, now... What happened in here?\Throw that detestable fool out of here.\Or kill him if you want. It matters not.\I think that matters quite a bit.\Let's go, brother. response:	Don't get so mad, Princess.
context: Your careless behavior and attitude have led me to that decision!\Aldebaran.\Hey, now... What happened in here?\Throw that detestable fool out of here.\Or kill him if you want. It matters not.\I think that matters quite a bit.\Let's go, brother.\Don't get so mad, Princess. response:	That fierce look will make your cute face drop in value.
context: Aldebaran.\Hey, now... What happened in here?\Throw that detestable fool out of here.\Or kill him if you want. It matters not.\I think that matters quite a bit.\Let's go, brother.\Don't get so mad, Princess.\That fierce look will make your cute face drop in value. response:	Unless you want your ruined face further ruined,
context: Hey, now... What happened in here?\Throw that detestable fool out of here.\Or kill him if you want. It matters not.\I think that matters quite a bit.\Let's go, brother.\Don't get so mad, Princess.\That fierce look will make your cute face drop in value.\Unless you want your ruined face further ruined, response:	take him away at once, Aldebaran.
context: Throw that detestable fool out of here.\Or kill him if you want. It matters not.\I think that matters quite a bit.\Let's go, brother.\Don't get so mad, Princess.\That fierce look will make your cute face drop in value.\Unless you want your ruined face further ruined,\take him away at once, Aldebaran. response:	I've told you not to call me that...
context: Or kill him if you want. It matters not.\I think that matters quite a bit.\Let's go, brother.\Don't get so mad, Princess.\That fierce look will make your cute face drop in value.\Unless you want your ruined face further ruined,\take him away at once, Aldebaran.\I've told you not to call me that... response:	Can you stand, brother?
context: I think that matters quite a bit.\Let's go, brother.\Don't get so mad, Princess.\That fierce look will make your cute face drop in value.\Unless you want your ruined face further ruined,\take him away at once, Aldebaran.\I've told you not to call me that...\Can you stand, brother? response:	Yeah.
context: Let's go, brother.\Don't get so mad, Princess.\That fierce look will make your cute face drop in value.\Unless you want your ruined face further ruined,\take him away at once, Aldebaran.\I've told you not to call me that...\Can you stand, brother?\Yeah. response:	You seem okay.
context: Don't get so mad, Princess.\That fierce look will make your cute face drop in value.\Unless you want your ruined face further ruined,\take him away at once, Aldebaran.\I've told you not to call me that...\Can you stand, brother?\Yeah.\You seem okay. response:	I don't know what you were discussing,
context: That fierce look will make your cute face drop in value.\Unless you want your ruined face further ruined,\take him away at once, Aldebaran.\I've told you not to call me that...\Can you stand, brother?\Yeah.\You seem okay.\I don't know what you were discussing, response:	but it looks like it didn't go very well.
context: Unless you want your ruined face further ruined,\take him away at once, Aldebaran.\I've told you not to call me that...\Can you stand, brother?\Yeah.\You seem okay.\I don't know what you were discussing,\but it looks like it didn't go very well. response:	If I take too long,
context: take him away at once, Aldebaran.\I've told you not to call me that...\Can you stand, brother?\Yeah.\You seem okay.\I don't know what you were discussing,\but it looks like it didn't go very well.\If I take too long, response:	she might seriously tell me to chop you in half,
context: I've told you not to call me that...\Can you stand, brother?\Yeah.\You seem okay.\I don't know what you were discussing,\but it looks like it didn't go very well.\If I take too long,\she might seriously tell me to chop you in half, response:	so I'm heading back.
context: Can you stand, brother?\Yeah.\You seem okay.\I don't know what you were discussing,\but it looks like it didn't go very well.\If I take too long,\she might seriously tell me to chop you in half,\so I'm heading back. response:	Later, brother.
context: Yeah.\You seem okay.\I don't know what you were discussing,\but it looks like it didn't go very well.\If I take too long,\she might seriously tell me to chop you in half,\so I'm heading back.\Later, brother. response:	That damn stuck-up bitch...
context: You seem okay.\I don't know what you were discussing,\but it looks like it didn't go very well.\If I take too long,\she might seriously tell me to chop you in half,\so I'm heading back.\Later, brother.\That damn stuck-up bitch... response:	She's forgetting that I saved her when we first met!
context: I don't know what you were discussing,\but it looks like it didn't go very well.\If I take too long,\she might seriously tell me to chop you in half,\so I'm heading back.\Later, brother.\That damn stuck-up bitch...\She's forgetting that I saved her when we first met! response:	Change gears.
context: but it looks like it didn't go very well.\If I take too long,\she might seriously tell me to chop you in half,\so I'm heading back.\Later, brother.\That damn stuck-up bitch...\She's forgetting that I saved her when we first met!\Change gears. response:	This is no time for those idiots to bog me down.
context: If I take too long,\she might seriously tell me to chop you in half,\so I'm heading back.\Later, brother.\That damn stuck-up bitch...\She's forgetting that I saved her when we first met!\Change gears.\This is no time for those idiots to bog me down. response:	Sniff, sniff. Sniff, sniff.
context: she might seriously tell me to chop you in half,\so I'm heading back.\Later, brother.\That damn stuck-up bitch...\She's forgetting that I saved her when we first met!\Change gears.\This is no time for those idiots to bog me down.\Sniff, sniff. Sniff, sniff. response:	That looks super painful! Are you okee?
context: so I'm heading back.\Later, brother.\That damn stuck-up bitch...\She's forgetting that I saved her when we first met!\Change gears.\This is no time for those idiots to bog me down.\Sniff, sniff. Sniff, sniff.\That looks super painful! Are you okee? response:	Huh?
context: Later, brother.\That damn stuck-up bitch...\She's forgetting that I saved her when we first met!\Change gears.\This is no time for those idiots to bog me down.\Sniff, sniff. Sniff, sniff.\That looks super painful! Are you okee?\Huh? response:	You smell like blood, and not just from your lip.
context: That damn stuck-up bitch...\She's forgetting that I saved her when we first met!\Change gears.\This is no time for those idiots to bog me down.\Sniff, sniff. Sniff, sniff.\That looks super painful! Are you okee?\Huh?\You smell like blood, and not just from your lip. response:	Was your nose bleedy?
context: She's forgetting that I saved her when we first met!\Change gears.\This is no time for those idiots to bog me down.\Sniff, sniff. Sniff, sniff.\That looks super painful! Are you okee?\Huh?\You smell like blood, and not just from your lip.\Was your nose bleedy? response:	Now, Mimi, no getting into mischief.
context: Change gears.\This is no time for those idiots to bog me down.\Sniff, sniff. Sniff, sniff.\That looks super painful! Are you okee?\Huh?\You smell like blood, and not just from your lip.\Was your nose bleedy?\Now, Mimi, no getting into mischief. response:	'Kay!
context: This is no time for those idiots to bog me down.\Sniff, sniff. Sniff, sniff.\That looks super painful! Are you okee?\Huh?\You smell like blood, and not just from your lip.\Was your nose bleedy?\Now, Mimi, no getting into mischief.\'Kay! response:	I'm awful sorry she's been botherin' you.
context: Sniff, sniff. Sniff, sniff.\That looks super painful! Are you okee?\Huh?\You smell like blood, and not just from your lip.\Was your nose bleedy?\Now, Mimi, no getting into mischief.\'Kay!\I'm awful sorry she's been botherin' you. response:	Hmm? Aren't you...
context: That looks super painful! Are you okee?\Huh?\You smell like blood, and not just from your lip.\Was your nose bleedy?\Now, Mimi, no getting into mischief.\'Kay!\I'm awful sorry she's been botherin' you.\Hmm? Aren't you... response:	Right, you're Natsuki-kun.
