context: E-Excuse me. response:	Club Application
context: Just because. Learn to keep your cool.\Searching for the Answer\Haiji.\Chikusei-so\The twins aren't here.\They actually blew us off.\I'm sorry.\It's because I couldn't answer them. response:	On the way home from the qualifier, they asked me why we're running.
context: Searching for the Answer\Haiji.\Chikusei-so\The twins aren't here.\They actually blew us off.\I'm sorry.\It's because I couldn't answer them.\On the way home from the qualifier, they asked me why we're running. response:	Yeah, but it's like not being able to tell someone what the meaning of life is.
context: Haiji.\Chikusei-so\The twins aren't here.\They actually blew us off.\I'm sorry.\It's because I couldn't answer them.\On the way home from the qualifier, they asked me why we're running.\Yeah, but it's like not being able to tell someone what the meaning of life is. response:	Nice quibble.
context: Chikusei-so\The twins aren't here.\They actually blew us off.\I'm sorry.\It's because I couldn't answer them.\On the way home from the qualifier, they asked me why we're running.\Yeah, but it's like not being able to tell someone what the meaning of life is.\Nice quibble. response:	We made it through the qualifier. We're running at Hakone together.
context: The twins aren't here.\They actually blew us off.\I'm sorry.\It's because I couldn't answer them.\On the way home from the qualifier, they asked me why we're running.\Yeah, but it's like not being able to tell someone what the meaning of life is.\Nice quibble.\We made it through the qualifier. We're running at Hakone together. response:	Maybe we've already achieved the first goal we set for ourselves.
context: They actually blew us off.\I'm sorry.\It's because I couldn't answer them.\On the way home from the qualifier, they asked me why we're running.\Yeah, but it's like not being able to tell someone what the meaning of life is.\Nice quibble.\We made it through the qualifier. We're running at Hakone together.\Maybe we've already achieved the first goal we set for ourselves. response:	But that wasn't the real top.
context: I'm sorry.\It's because I couldn't answer them.\On the way home from the qualifier, they asked me why we're running.\Yeah, but it's like not being able to tell someone what the meaning of life is.\Nice quibble.\We made it through the qualifier. We're running at Hakone together.\Maybe we've already achieved the first goal we set for ourselves.\But that wasn't the real top. response:	I knew that, too.
context: It's because I couldn't answer them.\On the way home from the qualifier, they asked me why we're running.\Yeah, but it's like not being able to tell someone what the meaning of life is.\Nice quibble.\We made it through the qualifier. We're running at Hakone together.\Maybe we've already achieved the first goal we set for ourselves.\But that wasn't the real top.\I knew that, too. response:	After all, I wanted to aim even higher with you guys.
context: On the way home from the qualifier, they asked me why we're running.\Yeah, but it's like not being able to tell someone what the meaning of life is.\Nice quibble.\We made it through the qualifier. We're running at Hakone together.\Maybe we've already achieved the first goal we set for ourselves.\But that wasn't the real top.\I knew that, too.\After all, I wanted to aim even higher with you guys. response:	But I hesitated to answer them.
context: Yeah, but it's like not being able to tell someone what the meaning of life is.\Nice quibble.\We made it through the qualifier. We're running at Hakone together.\Maybe we've already achieved the first goal we set for ourselves.\But that wasn't the real top.\I knew that, too.\After all, I wanted to aim even higher with you guys.\But I hesitated to answer them. response:	Kakeru...
context: Nice quibble.\We made it through the qualifier. We're running at Hakone together.\Maybe we've already achieved the first goal we set for ourselves.\But that wasn't the real top.\I knew that, too.\After all, I wanted to aim even higher with you guys.\But I hesitated to answer them.\Kakeru... response:	We haven't played soccer in forever.
context: We made it through the qualifier. We're running at Hakone together.\Maybe we've already achieved the first goal we set for ourselves.\But that wasn't the real top.\I knew that, too.\After all, I wanted to aim even higher with you guys.\But I hesitated to answer them.\Kakeru...\We haven't played soccer in forever. response:	Yeah.
context: Maybe we've already achieved the first goal we set for ourselves.\But that wasn't the real top.\I knew that, too.\After all, I wanted to aim even higher with you guys.\But I hesitated to answer them.\Kakeru...\We haven't played soccer in forever.\Yeah. response:	We've just been running this whole time.
context: But that wasn't the real top.\I knew that, too.\After all, I wanted to aim even higher with you guys.\But I hesitated to answer them.\Kakeru...\We haven't played soccer in forever.\Yeah.\We've just been running this whole time. response:	Yeah.
context: I knew that, too.\After all, I wanted to aim even higher with you guys.\But I hesitated to answer them.\Kakeru...\We haven't played soccer in forever.\Yeah.\We've just been running this whole time.\Yeah. response:	Do you regret it?
context: After all, I wanted to aim even higher with you guys.\But I hesitated to answer them.\Kakeru...\We haven't played soccer in forever.\Yeah.\We've just been running this whole time.\Yeah.\Do you regret it? response:	Choosing this.
context: But I hesitated to answer them.\Kakeru...\We haven't played soccer in forever.\Yeah.\We've just been running this whole time.\Yeah.\Do you regret it?\Choosing this. response:	Nah.
context: Kakeru...\We haven't played soccer in forever.\Yeah.\We've just been running this whole time.\Yeah.\Do you regret it?\Choosing this.\Nah. response:	We made these plans first.
context: We haven't played soccer in forever.\Yeah.\We've just been running this whole time.\Yeah.\Do you regret it?\Choosing this.\Nah.\We made these plans first. response:	You're right. We're running at Hakone.
context: Yeah.\We've just been running this whole time.\Yeah.\Do you regret it?\Choosing this.\Nah.\We made these plans first.\You're right. We're running at Hakone. response:	Now we just have to practice enough that they won't complain.
context: We've just been running this whole time.\Yeah.\Do you regret it?\Choosing this.\Nah.\We made these plans first.\You're right. We're running at Hakone.\Now we just have to practice enough that they won't complain. response:	Complain?
context: Yeah.\Do you regret it?\Choosing this.\Nah.\We made these plans first.\You're right. We're running at Hakone.\Now we just have to practice enough that they won't complain.\Complain? response:	Huh?
context: Do you regret it?\Choosing this.\Nah.\We made these plans first.\You're right. We're running at Hakone.\Now we just have to practice enough that they won't complain.\Complain?\Huh? response:	So who won't complain? Haiji?
context: Choosing this.\Nah.\We made these plans first.\You're right. We're running at Hakone.\Now we just have to practice enough that they won't complain.\Complain?\Huh?\So who won't complain? Haiji? response:	The guys who didn't qualify?
context: Nah.\We made these plans first.\You're right. We're running at Hakone.\Now we just have to practice enough that they won't complain.\Complain?\Huh?\So who won't complain? Haiji?\The guys who didn't qualify? response:	Oh...
context: We made these plans first.\You're right. We're running at Hakone.\Now we just have to practice enough that they won't complain.\Complain?\Huh?\So who won't complain? Haiji?\The guys who didn't qualify?\Oh... response:	I hope everyone shows up soon.
context: You're right. We're running at Hakone.\Now we just have to practice enough that they won't complain.\Complain?\Huh?\So who won't complain? Haiji?\The guys who didn't qualify?\Oh...\I hope everyone shows up soon. response:	We got in the habit of waking up early.
context: Now we just have to practice enough that they won't complain.\Complain?\Huh?\So who won't complain? Haiji?\The guys who didn't qualify?\Oh...\I hope everyone shows up soon.\We got in the habit of waking up early. response:	Joji! Jota!
context: Complain?\Huh?\So who won't complain? Haiji?\The guys who didn't qualify?\Oh...\I hope everyone shows up soon.\We got in the habit of waking up early.\Joji! Jota! response:	Let's go!
context: Huh?\So who won't complain? Haiji?\The guys who didn't qualify?\Oh...\I hope everyone shows up soon.\We got in the habit of waking up early.\Joji! Jota!\Let's go! response:	Who is that?
context: So who won't complain? Haiji?\The guys who didn't qualify?\Oh...\I hope everyone shows up soon.\We got in the habit of waking up early.\Joji! Jota!\Let's go!\Who is that? response:	Hakone!
context: The guys who didn't qualify?\Oh...\I hope everyone shows up soon.\We got in the habit of waking up early.\Joji! Jota!\Let's go!\Who is that?\Hakone! response:	Everyone's waiting!
context: Oh...\I hope everyone shows up soon.\We got in the habit of waking up early.\Joji! Jota!\Let's go!\Who is that?\Hakone!\Everyone's waiting! response:	What's he doing?
context: I hope everyone shows up soon.\We got in the habit of waking up early.\Joji! Jota!\Let's go!\Who is that?\Hakone!\Everyone's waiting!\What's he doing? response:	Who crashes a soccer game?
context: We got in the habit of waking up early.\Joji! Jota!\Let's go!\Who is that?\Hakone!\Everyone's waiting!\What's he doing?\Who crashes a soccer game? response:	Let's go to Hakone!
context: Joji! Jota!\Let's go!\Who is that?\Hakone!\Everyone's waiting!\What's he doing?\Who crashes a soccer game?\Let's go to Hakone! response:	Crap! Let's run!
context: Let's go!\Who is that?\Hakone!\Everyone's waiting!\What's he doing?\Who crashes a soccer game?\Let's go to Hakone!\Crap! Let's run! response:	But he's one of the best in the country!
context: Who is that?\Hakone!\Everyone's waiting!\What's he doing?\Who crashes a soccer game?\Let's go to Hakone!\Crap! Let's run!\But he's one of the best in the country! response:	He's running at us while smiling!
context: Hakone!\Everyone's waiting!\What's he doing?\Who crashes a soccer game?\Let's go to Hakone!\Crap! Let's run!\But he's one of the best in the country!\He's running at us while smiling! response:	Stay away!
context: Everyone's waiting!\What's he doing?\Who crashes a soccer game?\Let's go to Hakone!\Crap! Let's run!\But he's one of the best in the country!\He's running at us while smiling!\Stay away! response:	It's no use! He's catching up!
context: What's he doing?\Who crashes a soccer game?\Let's go to Hakone!\Crap! Let's run!\But he's one of the best in the country!\He's running at us while smiling!\Stay away!\It's no use! He's catching up! response:	Jota! Don't give up!
context: Who crashes a soccer game?\Let's go to Hakone!\Crap! Let's run!\But he's one of the best in the country!\He's running at us while smiling!\Stay away!\It's no use! He's catching up!\Jota! Don't give up! response:	Nicely done.
context: Let's go to Hakone!\Crap! Let's run!\But he's one of the best in the country!\He's running at us while smiling!\Stay away!\It's no use! He's catching up!\Jota! Don't give up!\Nicely done. response:	There's no way you were outrunning him.
context: Crap! Let's run!\But he's one of the best in the country!\He's running at us while smiling!\Stay away!\It's no use! He's catching up!\Jota! Don't give up!\Nicely done.\There's no way you were outrunning him. response:	I can't run anymore...
context: But he's one of the best in the country!\He's running at us while smiling!\Stay away!\It's no use! He's catching up!\Jota! Don't give up!\Nicely done.\There's no way you were outrunning him.\I can't run anymore... response:	I don't consent to this...
context: He's running at us while smiling!\Stay away!\It's no use! He's catching up!\Jota! Don't give up!\Nicely done.\There's no way you were outrunning him.\I can't run anymore...\I don't consent to this... response:	Section 1 Starting Line Yomiuri Shimbun Tokyo Office
context: Stay away!\It's no use! He's catching up!\Jota! Don't give up!\Nicely done.\There's no way you were outrunning him.\I can't run anymore...\I don't consent to this...\Section 1 Starting Line Yomiuri Shimbun Tokyo Office response:	This is the starting line.
context: It's no use! He's catching up!\Jota! Don't give up!\Nicely done.\There's no way you were outrunning him.\I can't run anymore...\I don't consent to this...\Section 1 Starting Line Yomiuri Shimbun Tokyo Office\This is the starting line. response:	The day of the race, the crowds on the sidewalk will be a hundred deep.
context: Jota! Don't give up!\Nicely done.\There's no way you were outrunning him.\I can't run anymore...\I don't consent to this...\Section 1 Starting Line Yomiuri Shimbun Tokyo Office\This is the starting line.\The day of the race, the crowds on the sidewalk will be a hundred deep. response:	They'll build a huge stage out front, and cameras will be pointed at the runners.
context: Nicely done.\There's no way you were outrunning him.\I can't run anymore...\I don't consent to this...\Section 1 Starting Line Yomiuri Shimbun Tokyo Office\This is the starting line.\The day of the race, the crowds on the sidewalk will be a hundred deep.\They'll build a huge stage out front, and cameras will be pointed at the runners. response:	It's a truly grand occasion.
context: There's no way you were outrunning him.\I can't run anymore...\I don't consent to this...\Section 1 Starting Line Yomiuri Shimbun Tokyo Office\This is the starting line.\The day of the race, the crowds on the sidewalk will be a hundred deep.\They'll build a huge stage out front, and cameras will be pointed at the runners.\It's a truly grand occasion. response:	Will we have time to think about that?
context: I can't run anymore...\I don't consent to this...\Section 1 Starting Line Yomiuri Shimbun Tokyo Office\This is the starting line.\The day of the race, the crowds on the sidewalk will be a hundred deep.\They'll build a huge stage out front, and cameras will be pointed at the runners.\It's a truly grand occasion.\Will we have time to think about that? response:	It's not for the sensitive.
context: I don't consent to this...\Section 1 Starting Line Yomiuri Shimbun Tokyo Office\This is the starting line.\The day of the race, the crowds on the sidewalk will be a hundred deep.\They'll build a huge stage out front, and cameras will be pointed at the runners.\It's a truly grand occasion.\Will we have time to think about that?\It's not for the sensitive. response:	The wind between the buildings is fierce.
context: Section 1 Starting Line Yomiuri Shimbun Tokyo Office\This is the starting line.\The day of the race, the crowds on the sidewalk will be a hundred deep.\They'll build a huge stage out front, and cameras will be pointed at the runners.\It's a truly grand occasion.\Will we have time to think about that?\It's not for the sensitive.\The wind between the buildings is fierce. response:	Our bodies will get cold quickly.
context: This is the starting line.\The day of the race, the crowds on the sidewalk will be a hundred deep.\They'll build a huge stage out front, and cameras will be pointed at the runners.\It's a truly grand occasion.\Will we have time to think about that?\It's not for the sensitive.\The wind between the buildings is fierce.\Our bodies will get cold quickly. response:	Twenty-one runners will begin running amidst the crowd,
context: The day of the race, the crowds on the sidewalk will be a hundred deep.\They'll build a huge stage out front, and cameras will be pointed at the runners.\It's a truly grand occasion.\Will we have time to think about that?\It's not for the sensitive.\The wind between the buildings is fierce.\Our bodies will get cold quickly.\Twenty-one runners will begin running amidst the crowd, response:	thinking only of delivering their sash to their teammate waiting far ahead.
context: They'll build a huge stage out front, and cameras will be pointed at the runners.\It's a truly grand occasion.\Will we have time to think about that?\It's not for the sensitive.\The wind between the buildings is fierce.\Our bodies will get cold quickly.\Twenty-one runners will begin running amidst the crowd,\thinking only of delivering their sash to their teammate waiting far ahead. response:	Let's keep moving.
context: It's a truly grand occasion.\Will we have time to think about that?\It's not for the sensitive.\The wind between the buildings is fierce.\Our bodies will get cold quickly.\Twenty-one runners will begin running amidst the crowd,\thinking only of delivering their sash to their teammate waiting far ahead.\Let's keep moving. response:	Section 2 (Section 10) Tsurumi Relay Station
context: Will we have time to think about that?\It's not for the sensitive.\The wind between the buildings is fierce.\Our bodies will get cold quickly.\Twenty-one runners will begin running amidst the crowd,\thinking only of delivering their sash to their teammate waiting far ahead.\Let's keep moving.\Section 2 (Section 10) Tsurumi Relay Station response:	Don't they stop all the traffic here and turn this into part of the course?
context: It's not for the sensitive.\The wind between the buildings is fierce.\Our bodies will get cold quickly.\Twenty-one runners will begin running amidst the crowd,\thinking only of delivering their sash to their teammate waiting far ahead.\Let's keep moving.\Section 2 (Section 10) Tsurumi Relay Station\Don't they stop all the traffic here and turn this into part of the course? response:	That's amazing.
context: The wind between the buildings is fierce.\Our bodies will get cold quickly.\Twenty-one runners will begin running amidst the crowd,\thinking only of delivering their sash to their teammate waiting far ahead.\Let's keep moving.\Section 2 (Section 10) Tsurumi Relay Station\Don't they stop all the traffic here and turn this into part of the course?\That's amazing. response:	It's way too much pageantry for a bunch of college students.
context: Our bodies will get cold quickly.\Twenty-one runners will begin running amidst the crowd,\thinking only of delivering their sash to their teammate waiting far ahead.\Let's keep moving.\Section 2 (Section 10) Tsurumi Relay Station\Don't they stop all the traffic here and turn this into part of the course?\That's amazing.\It's way too much pageantry for a bunch of college students. response:	It means it's worth just that much.
context: Twenty-one runners will begin running amidst the crowd,\thinking only of delivering their sash to their teammate waiting far ahead.\Let's keep moving.\Section 2 (Section 10) Tsurumi Relay Station\Don't they stop all the traffic here and turn this into part of the course?\That's amazing.\It's way too much pageantry for a bunch of college students.\It means it's worth just that much. response:	Our running should be worthy of that.
context: thinking only of delivering their sash to their teammate waiting far ahead.\Let's keep moving.\Section 2 (Section 10) Tsurumi Relay Station\Don't they stop all the traffic here and turn this into part of the course?\That's amazing.\It's way too much pageantry for a bunch of college students.\It means it's worth just that much.\Our running should be worthy of that. response:	Got it.
context: Let's keep moving.\Section 2 (Section 10) Tsurumi Relay Station\Don't they stop all the traffic here and turn this into part of the course?\That's amazing.\It's way too much pageantry for a bunch of college students.\It means it's worth just that much.\Our running should be worthy of that.\Got it. response:	Have you gotten better at driving?
context: Section 2 (Section 10) Tsurumi Relay Station\Don't they stop all the traffic here and turn this into part of the course?\That's amazing.\It's way too much pageantry for a bunch of college students.\It means it's worth just that much.\Our running should be worthy of that.\Got it.\Have you gotten better at driving? response:	You're right.
context: Don't they stop all the traffic here and turn this into part of the course?\That's amazing.\It's way too much pageantry for a bunch of college students.\It means it's worth just that much.\Our running should be worthy of that.\Got it.\Have you gotten better at driving?\You're right. response:	I couldn't believe it, but you have, haven't you?
context: That's amazing.\It's way too much pageantry for a bunch of college students.\It means it's worth just that much.\Our running should be worthy of that.\Got it.\Have you gotten better at driving?\You're right.\I couldn't believe it, but you have, haven't you? response:	It's not fair for me to only expect you guys to grow.
context: It's way too much pageantry for a bunch of college students.\It means it's worth just that much.\Our running should be worthy of that.\Got it.\Have you gotten better at driving?\You're right.\I couldn't believe it, but you have, haven't you?\It's not fair for me to only expect you guys to grow. response:	Hey, cut that out.
context: It means it's worth just that much.\Our running should be worthy of that.\Got it.\Have you gotten better at driving?\You're right.\I couldn't believe it, but you have, haven't you?\It's not fair for me to only expect you guys to grow.\Hey, cut that out. response:	If you don't keep sucking at driving, we won't be able to make excuses anymore.
context: Our running should be worthy of that.\Got it.\Have you gotten better at driving?\You're right.\I couldn't believe it, but you have, haven't you?\It's not fair for me to only expect you guys to grow.\Hey, cut that out.\If you don't keep sucking at driving, we won't be able to make excuses anymore. response:	By the way, last year in this section 2,
context: Got it.\Have you gotten better at driving?\You're right.\I couldn't believe it, but you have, haven't you?\It's not fair for me to only expect you guys to grow.\Hey, cut that out.\If you don't keep sucking at driving, we won't be able to make excuses anymore.\By the way, last year in this section 2, response:	Kofu's Iwanki and Rikudo's Fujioka put on a legendary sprint.
context: Have you gotten better at driving?\You're right.\I couldn't believe it, but you have, haven't you?\It's not fair for me to only expect you guys to grow.\Hey, cut that out.\If you don't keep sucking at driving, we won't be able to make excuses anymore.\By the way, last year in this section 2,\Kofu's Iwanki and Rikudo's Fujioka put on a legendary sprint. response:	The Glorious Section 2, huh?
context: You're right.\I couldn't believe it, but you have, haven't you?\It's not fair for me to only expect you guys to grow.\Hey, cut that out.\If you don't keep sucking at driving, we won't be able to make excuses anymore.\By the way, last year in this section 2,\Kofu's Iwanki and Rikudo's Fujioka put on a legendary sprint.\The Glorious Section 2, huh? response:	They call it the ace's section.
context: I couldn't believe it, but you have, haven't you?\It's not fair for me to only expect you guys to grow.\Hey, cut that out.\If you don't keep sucking at driving, we won't be able to make excuses anymore.\By the way, last year in this section 2,\Kofu's Iwanki and Rikudo's Fujioka put on a legendary sprint.\The Glorious Section 2, huh?\They call it the ace's section. response:	Kakeru.
context: It's not fair for me to only expect you guys to grow.\Hey, cut that out.\If you don't keep sucking at driving, we won't be able to make excuses anymore.\By the way, last year in this section 2,\Kofu's Iwanki and Rikudo's Fujioka put on a legendary sprint.\The Glorious Section 2, huh?\They call it the ace's section.\Kakeru. response:	Do you want to run it?
context: Hey, cut that out.\If you don't keep sucking at driving, we won't be able to make excuses anymore.\By the way, last year in this section 2,\Kofu's Iwanki and Rikudo's Fujioka put on a legendary sprint.\The Glorious Section 2, huh?\They call it the ace's section.\Kakeru.\Do you want to run it? response:	No matter the section,
context: If you don't keep sucking at driving, we won't be able to make excuses anymore.\By the way, last year in this section 2,\Kofu's Iwanki and Rikudo's Fujioka put on a legendary sprint.\The Glorious Section 2, huh?\They call it the ace's section.\Kakeru.\Do you want to run it?\No matter the section, response:	as long as there's a road, I'll run as hard as I can.
context: By the way, last year in this section 2,\Kofu's Iwanki and Rikudo's Fujioka put on a legendary sprint.\The Glorious Section 2, huh?\They call it the ace's section.\Kakeru.\Do you want to run it?\No matter the section,\as long as there's a road, I'll run as hard as I can. response:	Did you hear that?
context: Kofu's Iwanki and Rikudo's Fujioka put on a legendary sprint.\The Glorious Section 2, huh?\They call it the ace's section.\Kakeru.\Do you want to run it?\No matter the section,\as long as there's a road, I'll run as hard as I can.\Did you hear that? response:	He said as long as there's a road.
context: The Glorious Section 2, huh?\They call it the ace's section.\Kakeru.\Do you want to run it?\No matter the section,\as long as there's a road, I'll run as hard as I can.\Did you hear that?\He said as long as there's a road. response:	Was what I said really that weird? Huh?
context: They call it the ace's section.\Kakeru.\Do you want to run it?\No matter the section,\as long as there's a road, I'll run as hard as I can.\Did you hear that?\He said as long as there's a road.\Was what I said really that weird? Huh? response:	Oh, no. Your words were encouraging.
context: Kakeru.\Do you want to run it?\No matter the section,\as long as there's a road, I'll run as hard as I can.\Did you hear that?\He said as long as there's a road.\Was what I said really that weird? Huh?\Oh, no. Your words were encouraging. response:	Section 3 (Section 9) Totsuka Relay Station
context: Do you want to run it?\No matter the section,\as long as there's a road, I'll run as hard as I can.\Did you hear that?\He said as long as there's a road.\Was what I said really that weird? Huh?\Oh, no. Your words were encouraging.\Section 3 (Section 9) Totsuka Relay Station response:	Shonan Bridge
context: No matter the section,\as long as there's a road, I'll run as hard as I can.\Did you hear that?\He said as long as there's a road.\Was what I said really that weird? Huh?\Oh, no. Your words were encouraging.\Section 3 (Section 9) Totsuka Relay Station\Shonan Bridge response:	Yeesh.
context: as long as there's a road, I'll run as hard as I can.\Did you hear that?\He said as long as there's a road.\Was what I said really that weird? Huh?\Oh, no. Your words were encouraging.\Section 3 (Section 9) Totsuka Relay Station\Shonan Bridge\Yeesh. response:	The sea breeze is strong.
context: Did you hear that?\He said as long as there's a road.\Was what I said really that weird? Huh?\Oh, no. Your words were encouraging.\Section 3 (Section 9) Totsuka Relay Station\Shonan Bridge\Yeesh.\The sea breeze is strong. response:	It feels nice.
context: He said as long as there's a road.\Was what I said really that weird? Huh?\Oh, no. Your words were encouraging.\Section 3 (Section 9) Totsuka Relay Station\Shonan Bridge\Yeesh.\The sea breeze is strong.\It feels nice. response:	Yeah.
context: Was what I said really that weird? Huh?\Oh, no. Your words were encouraging.\Section 3 (Section 9) Totsuka Relay Station\Shonan Bridge\Yeesh.\The sea breeze is strong.\It feels nice.\Yeah. response:	Section 4 (Section 8) Hiratsuka Relay Station
context: Oh, no. Your words were encouraging.\Section 3 (Section 9) Totsuka Relay Station\Shonan Bridge\Yeesh.\The sea breeze is strong.\It feels nice.\Yeah.\Section 4 (Section 8) Hiratsuka Relay Station response:	Section 5 (Section 7) Odawara Relay Station
context: Section 3 (Section 9) Totsuka Relay Station\Shonan Bridge\Yeesh.\The sea breeze is strong.\It feels nice.\Yeah.\Section 4 (Section 8) Hiratsuka Relay Station\Section 5 (Section 7) Odawara Relay Station response:	Hey!
context: Shonan Bridge\Yeesh.\The sea breeze is strong.\It feels nice.\Yeah.\Section 4 (Section 8) Hiratsuka Relay Station\Section 5 (Section 7) Odawara Relay Station\Hey! response:	We're finally here.
context: Yeesh.\The sea breeze is strong.\It feels nice.\Yeah.\Section 4 (Section 8) Hiratsuka Relay Station\Section 5 (Section 7) Odawara Relay Station\Hey!\We're finally here. response:	It's steeper than I imagined.
context: The sea breeze is strong.\It feels nice.\Yeah.\Section 4 (Section 8) Hiratsuka Relay Station\Section 5 (Section 7) Odawara Relay Station\Hey!\We're finally here.\It's steeper than I imagined. response:	Going up this will be hell,
context: It feels nice.\Yeah.\Section 4 (Section 8) Hiratsuka Relay Station\Section 5 (Section 7) Odawara Relay Station\Hey!\We're finally here.\It's steeper than I imagined.\Going up this will be hell, response:	but this means the downhill is no joke, either, right?
context: Yeah.\Section 4 (Section 8) Hiratsuka Relay Station\Section 5 (Section 7) Odawara Relay Station\Hey!\We're finally here.\It's steeper than I imagined.\Going up this will be hell,\but this means the downhill is no joke, either, right? response:	That's right.
context: Section 4 (Section 8) Hiratsuka Relay Station\Section 5 (Section 7) Odawara Relay Station\Hey!\We're finally here.\It's steeper than I imagined.\Going up this will be hell,\but this means the downhill is no joke, either, right?\That's right. response:	Naturally, the strength of your legs are important in this section,
context: Section 5 (Section 7) Odawara Relay Station\Hey!\We're finally here.\It's steeper than I imagined.\Going up this will be hell,\but this means the downhill is no joke, either, right?\That's right.\Naturally, the strength of your legs are important in this section, response:	but your courage and intelligence matter, as well.
context: Hey!\We're finally here.\It's steeper than I imagined.\Going up this will be hell,\but this means the downhill is no joke, either, right?\That's right.\Naturally, the strength of your legs are important in this section,\but your courage and intelligence matter, as well. response:	National Route 1 Summit Level
context: We're finally here.\It's steeper than I imagined.\Going up this will be hell,\but this means the downhill is no joke, either, right?\That's right.\Naturally, the strength of your legs are important in this section,\but your courage and intelligence matter, as well.\National Route 1 Summit Level response:	Huh?
context: It's steeper than I imagined.\Going up this will be hell,\but this means the downhill is no joke, either, right?\That's right.\Naturally, the strength of your legs are important in this section,\but your courage and intelligence matter, as well.\National Route 1 Summit Level\Huh? response:	This is the highest point?
context: Going up this will be hell,\but this means the downhill is no joke, either, right?\That's right.\Naturally, the strength of your legs are important in this section,\but your courage and intelligence matter, as well.\National Route 1 Summit Level\Huh?\This is the highest point? response:	So the finish line isn't at the top.
context: but this means the downhill is no joke, either, right?\That's right.\Naturally, the strength of your legs are important in this section,\but your courage and intelligence matter, as well.\National Route 1 Summit Level\Huh?\This is the highest point?\So the finish line isn't at the top. response:	We're almost at the finish line of the first half.
context: That's right.\Naturally, the strength of your legs are important in this section,\but your courage and intelligence matter, as well.\National Route 1 Summit Level\Huh?\This is the highest point?\So the finish line isn't at the top.\We're almost at the finish line of the first half. response:	Let's enjoy the scenery while we can.
context: Naturally, the strength of your legs are important in this section,\but your courage and intelligence matter, as well.\National Route 1 Summit Level\Huh?\This is the highest point?\So the finish line isn't at the top.\We're almost at the finish line of the first half.\Let's enjoy the scenery while we can. response:	First Half Finish Line (Section 6 Starting Line) Lake Ashi
context: but your courage and intelligence matter, as well.\National Route 1 Summit Level\Huh?\This is the highest point?\So the finish line isn't at the top.\We're almost at the finish line of the first half.\Let's enjoy the scenery while we can.\First Half Finish Line (Section 6 Starting Line) Lake Ashi response:	Beautiful...
context: National Route 1 Summit Level\Huh?\This is the highest point?\So the finish line isn't at the top.\We're almost at the finish line of the first half.\Let's enjoy the scenery while we can.\First Half Finish Line (Section 6 Starting Line) Lake Ashi\Beautiful... response:	This is awesome.
context: Huh?\This is the highest point?\So the finish line isn't at the top.\We're almost at the finish line of the first half.\Let's enjoy the scenery while we can.\First Half Finish Line (Section 6 Starting Line) Lake Ashi\Beautiful...\This is awesome. response:	The air at Aotake doesn't compare to this.
context: This is the highest point?\So the finish line isn't at the top.\We're almost at the finish line of the first half.\Let's enjoy the scenery while we can.\First Half Finish Line (Section 6 Starting Line) Lake Ashi\Beautiful...\This is awesome.\The air at Aotake doesn't compare to this. response:	That was mostly your fault.
context: So the finish line isn't at the top.\We're almost at the finish line of the first half.\Let's enjoy the scenery while we can.\First Half Finish Line (Section 6 Starting Line) Lake Ashi\Beautiful...\This is awesome.\The air at Aotake doesn't compare to this.\That was mostly your fault. response:	I wonder what it'll be like the day of the race.
context: We're almost at the finish line of the first half.\Let's enjoy the scenery while we can.\First Half Finish Line (Section 6 Starting Line) Lake Ashi\Beautiful...\This is awesome.\The air at Aotake doesn't compare to this.\That was mostly your fault.\I wonder what it'll be like the day of the race. response:	There will be screaming crowds, right?
context: Let's enjoy the scenery while we can.\First Half Finish Line (Section 6 Starting Line) Lake Ashi\Beautiful...\This is awesome.\The air at Aotake doesn't compare to this.\That was mostly your fault.\I wonder what it'll be like the day of the race.\There will be screaming crowds, right? response:	Guys.
context: First Half Finish Line (Section 6 Starting Line) Lake Ashi\Beautiful...\This is awesome.\The air at Aotake doesn't compare to this.\That was mostly your fault.\I wonder what it'll be like the day of the race.\There will be screaming crowds, right?\Guys. response:	In the parking lot...
context: Beautiful...\This is awesome.\The air at Aotake doesn't compare to this.\That was mostly your fault.\I wonder what it'll be like the day of the race.\There will be screaming crowds, right?\Guys.\In the parking lot... response:	You're so eager. You're even previewing the course.
context: This is awesome.\The air at Aotake doesn't compare to this.\That was mostly your fault.\I wonder what it'll be like the day of the race.\There will be screaming crowds, right?\Guys.\In the parking lot...\You're so eager. You're even previewing the course. response:	I'm sorry I called you plebs once.
context: The air at Aotake doesn't compare to this.\That was mostly your fault.\I wonder what it'll be like the day of the race.\There will be screaming crowds, right?\Guys.\In the parking lot...\You're so eager. You're even previewing the course.\I'm sorry I called you plebs once. response:	Should you be loafing around here?
context: That was mostly your fault.\I wonder what it'll be like the day of the race.\There will be screaming crowds, right?\Guys.\In the parking lot...\You're so eager. You're even previewing the course.\I'm sorry I called you plebs once.\Should you be loafing around here? response:	I'm waiting for Group B to arrive.
context: I wonder what it'll be like the day of the race.\There will be screaming crowds, right?\Guys.\In the parking lot...\You're so eager. You're even previewing the course.\I'm sorry I called you plebs once.\Should you be loafing around here?\I'm waiting for Group B to arrive. response:	I'm in Group A.
context: There will be screaming crowds, right?\Guys.\In the parking lot...\You're so eager. You're even previewing the course.\I'm sorry I called you plebs once.\Should you be loafing around here?\I'm waiting for Group B to arrive.\I'm in Group A. response:	He's a regular?
