context: Sir... response:	This slave here is my recommendation.
context: Raphtalia!\Y-Yes!\Now!\Skill Tree\Mastery Bonus\Blue Mush Shield\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Unlock Mush Shield Blue Mush Spores x3 Spores of Blue Mush x2 response:	Simple Blending Recipes 1
context: Y-Yes!\Now!\Skill Tree\Mastery Bonus\Blue Mush Shield\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Unlock Mush Shield Blue Mush Spores x3 Spores of Blue Mush x2\Simple Blending Recipes 1 response:	Blending ability, huh?
context: Now!\Skill Tree\Mastery Bonus\Blue Mush Shield\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Unlock Mush Shield Blue Mush Spores x3 Spores of Blue Mush x2\Simple Blending Recipes 1\Blending ability, huh? response:	That might come in handy.
context: Skill Tree\Mastery Bonus\Blue Mush Shield\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Unlock Mush Shield Blue Mush Spores x3 Spores of Blue Mush x2\Simple Blending Recipes 1\Blending ability, huh?\That might come in handy. response:	Master...
context: Mastery Bonus\Blue Mush Shield\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Unlock Mush Shield Blue Mush Spores x3 Spores of Blue Mush x2\Simple Blending Recipes 1\Blending ability, huh?\That might come in handy.\Master... response:	Who are you?
context: Blue Mush Shield\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Unlock Mush Shield Blue Mush Spores x3 Spores of Blue Mush x2\Simple Blending Recipes 1\Blending ability, huh?\That might come in handy.\Master...\Who are you? response:	A hero. The shield one.
context: Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Unlock Mush Shield Blue Mush Spores x3 Spores of Blue Mush x2\Simple Blending Recipes 1\Blending ability, huh?\That might come in handy.\Master...\Who are you?\A hero. The shield one. response:	You mean... One of the Four Cardinal Heroes?
context: Proficiency Unlock Conditions Unlock Mush Shield Blue Mush Spores x3 Spores of Blue Mush x2\Simple Blending Recipes 1\Blending ability, huh?\That might come in handy.\Master...\Who are you?\A hero. The shield one.\You mean... One of the Four Cardinal Heroes? response:	Yeah.
context: Simple Blending Recipes 1\Blending ability, huh?\That might come in handy.\Master...\Who are you?\A hero. The shield one.\You mean... One of the Four Cardinal Heroes?\Yeah. response:	Raphtalia...
context: Blending ability, huh?\That might come in handy.\Master...\Who are you?\A hero. The shield one.\You mean... One of the Four Cardinal Heroes?\Yeah.\Raphtalia... response:	Do you know of the four legendary heroes?
context: That might come in handy.\Master...\Who are you?\A hero. The shield one.\You mean... One of the Four Cardinal Heroes?\Yeah.\Raphtalia...\Do you know of the four legendary heroes? response:	Yep! The ones with the sword, the bow, and the spear...
context: Master...\Who are you?\A hero. The shield one.\You mean... One of the Four Cardinal Heroes?\Yeah.\Raphtalia...\Do you know of the four legendary heroes?\Yep! The ones with the sword, the bow, and the spear... response:	And then, the one with the shield!
context: Who are you?\A hero. The shield one.\You mean... One of the Four Cardinal Heroes?\Yeah.\Raphtalia...\Do you know of the four legendary heroes?\Yep! The ones with the sword, the bow, and the spear...\And then, the one with the shield! response:	Correct.
context: A hero. The shield one.\You mean... One of the Four Cardinal Heroes?\Yeah.\Raphtalia...\Do you know of the four legendary heroes?\Yep! The ones with the sword, the bow, and the spear...\And then, the one with the shield!\Correct. response:	The Shield Hero, in particular, treated us demi-humans very well.
context: You mean... One of the Four Cardinal Heroes?\Yeah.\Raphtalia...\Do you know of the four legendary heroes?\Yep! The ones with the sword, the bow, and the spear...\And then, the one with the shield!\Correct.\The Shield Hero, in particular, treated us demi-humans very well. response:	Really? I'd like to meet him.
context: Yeah.\Raphtalia...\Do you know of the four legendary heroes?\Yep! The ones with the sword, the bow, and the spear...\And then, the one with the shield!\Correct.\The Shield Hero, in particular, treated us demi-humans very well.\Really? I'd like to meet him. response:	If you're a good girl, I'm sure you'll meet him one day.
context: Raphtalia...\Do you know of the four legendary heroes?\Yep! The ones with the sword, the bow, and the spear...\And then, the one with the shield!\Correct.\The Shield Hero, in particular, treated us demi-humans very well.\Really? I'd like to meet him.\If you're a good girl, I'm sure you'll meet him one day. response:	The Shield Hero...
context: Do you know of the four legendary heroes?\Yep! The ones with the sword, the bow, and the spear...\And then, the one with the shield!\Correct.\The Shield Hero, in particular, treated us demi-humans very well.\Really? I'd like to meet him.\If you're a good girl, I'm sure you'll meet him one day.\The Shield Hero... response:	U-Um... What is your name?
context: Yep! The ones with the sword, the bow, and the spear...\And then, the one with the shield!\Correct.\The Shield Hero, in particular, treated us demi-humans very well.\Really? I'd like to meet him.\If you're a good girl, I'm sure you'll meet him one day.\The Shield Hero...\U-Um... What is your name? response:	Iwatani Naofumi.
context: And then, the one with the shield!\Correct.\The Shield Hero, in particular, treated us demi-humans very well.\Really? I'd like to meet him.\If you're a good girl, I'm sure you'll meet him one day.\The Shield Hero...\U-Um... What is your name?\Iwatani Naofumi. response:	Iwatani... Naofumi.
context: Correct.\The Shield Hero, in particular, treated us demi-humans very well.\Really? I'd like to meet him.\If you're a good girl, I'm sure you'll meet him one day.\The Shield Hero...\U-Um... What is your name?\Iwatani Naofumi.\Iwatani... Naofumi. response:	Drink this.
context: The Shield Hero, in particular, treated us demi-humans very well.\Really? I'd like to meet him.\If you're a good girl, I'm sure you'll meet him one day.\The Shield Hero...\U-Um... What is your name?\Iwatani Naofumi.\Iwatani... Naofumi.\Drink this. response:	It's a medicine I blended.
context: Really? I'd like to meet him.\If you're a good girl, I'm sure you'll meet him one day.\The Shield Hero...\U-Um... What is your name?\Iwatani Naofumi.\Iwatani... Naofumi.\Drink this.\It's a medicine I blended. response:	Apparently, it can cure mild colds.
context: If you're a good girl, I'm sure you'll meet him one day.\The Shield Hero...\U-Um... What is your name?\Iwatani Naofumi.\Iwatani... Naofumi.\Drink this.\It's a medicine I blended.\Apparently, it can cure mild colds. response:	Drink it.
context: The Shield Hero...\U-Um... What is your name?\Iwatani Naofumi.\Iwatani... Naofumi.\Drink this.\It's a medicine I blended.\Apparently, it can cure mild colds.\Drink it. response:	So bitter!
context: U-Um... What is your name?\Iwatani Naofumi.\Iwatani... Naofumi.\Drink this.\It's a medicine I blended.\Apparently, it can cure mild colds.\Drink it.\So bitter! response:	Good medicine tastes bitter.
context: Iwatani Naofumi.\Iwatani... Naofumi.\Drink this.\It's a medicine I blended.\Apparently, it can cure mild colds.\Drink it.\So bitter!\Good medicine tastes bitter. response:	Just drink it all.
context: Iwatani... Naofumi.\Drink this.\It's a medicine I blended.\Apparently, it can cure mild colds.\Drink it.\So bitter!\Good medicine tastes bitter.\Just drink it all. response:	We're sorry, Raphtalia.
context: Drink this.\It's a medicine I blended.\Apparently, it can cure mild colds.\Drink it.\So bitter!\Good medicine tastes bitter.\Just drink it all.\We're sorry, Raphtalia. response:	We want you to live, Raphtalia.
context: It's a medicine I blended.\Apparently, it can cure mild colds.\Drink it.\So bitter!\Good medicine tastes bitter.\Just drink it all.\We're sorry, Raphtalia.\We want you to live, Raphtalia. response:	Please forgive our selfishness.
context: Apparently, it can cure mild colds.\Drink it.\So bitter!\Good medicine tastes bitter.\Just drink it all.\We're sorry, Raphtalia.\We want you to live, Raphtalia.\Please forgive our selfishness. response:	No!
context: Drink it.\So bitter!\Good medicine tastes bitter.\Just drink it all.\We're sorry, Raphtalia.\We want you to live, Raphtalia.\Please forgive our selfishness.\No! response:	Dad! Mom!
context: So bitter!\Good medicine tastes bitter.\Just drink it all.\We're sorry, Raphtalia.\We want you to live, Raphtalia.\Please forgive our selfishness.\No!\Dad! Mom! response:	What's wrong?
context: Good medicine tastes bitter.\Just drink it all.\We're sorry, Raphtalia.\We want you to live, Raphtalia.\Please forgive our selfishness.\No!\Dad! Mom!\What's wrong? response:	Calm down!
context: Just drink it all.\We're sorry, Raphtalia.\We want you to live, Raphtalia.\Please forgive our selfishness.\No!\Dad! Mom!\What's wrong?\Calm down! response:	No... Help...
context: We're sorry, Raphtalia.\We want you to live, Raphtalia.\Please forgive our selfishness.\No!\Dad! Mom!\What's wrong?\Calm down!\No... Help... response:	Just calm down.
context: We want you to live, Raphtalia.\Please forgive our selfishness.\No!\Dad! Mom!\What's wrong?\Calm down!\No... Help...\Just calm down. response:	No! Dad, Mom!
context: Please forgive our selfishness.\No!\Dad! Mom!\What's wrong?\Calm down!\No... Help...\Just calm down.\No! Dad, Mom! response:	Don't cry.
context: No!\Dad! Mom!\What's wrong?\Calm down!\No... Help...\Just calm down.\No! Dad, Mom!\Don't cry. response:	It's okay.
context: Dad! Mom!\What's wrong?\Calm down!\No... Help...\Just calm down.\No! Dad, Mom!\Don't cry.\It's okay. response:	It's all right.
context: What's wrong?\Calm down!\No... Help...\Just calm down.\No! Dad, Mom!\Don't cry.\It's okay.\It's all right. response:	The quality's not bad.
context: Calm down!\No... Help...\Just calm down.\No! Dad, Mom!\Don't cry.\It's okay.\It's all right.\The quality's not bad. response:	Are you well versed in making medicines, Sir Hero?
context: No... Help...\Just calm down.\No! Dad, Mom!\Don't cry.\It's okay.\It's all right.\The quality's not bad.\Are you well versed in making medicines, Sir Hero? response:	Yesterday was my first try.
context: Just calm down.\No! Dad, Mom!\Don't cry.\It's okay.\It's all right.\The quality's not bad.\Are you well versed in making medicines, Sir Hero?\Yesterday was my first try. response:	Oh?
context: No! Dad, Mom!\Don't cry.\It's okay.\It's all right.\The quality's not bad.\Are you well versed in making medicines, Sir Hero?\Yesterday was my first try.\Oh? response:	Which is more profitable, selling herbs or medicine?
context: Don't cry.\It's okay.\It's all right.\The quality's not bad.\Are you well versed in making medicines, Sir Hero?\Yesterday was my first try.\Oh?\Which is more profitable, selling herbs or medicine? response:	Due to the Wave's impact, medicine is flying off the shelves lately,
context: It's okay.\It's all right.\The quality's not bad.\Are you well versed in making medicines, Sir Hero?\Yesterday was my first try.\Oh?\Which is more profitable, selling herbs or medicine?\Due to the Wave's impact, medicine is flying off the shelves lately, response:	so I'd pay more for medicine than for herbs.
context: It's all right.\The quality's not bad.\Are you well versed in making medicines, Sir Hero?\Yesterday was my first try.\Oh?\Which is more profitable, selling herbs or medicine?\Due to the Wave's impact, medicine is flying off the shelves lately,\so I'd pay more for medicine than for herbs. response:	I see.
context: The quality's not bad.\Are you well versed in making medicines, Sir Hero?\Yesterday was my first try.\Oh?\Which is more profitable, selling herbs or medicine?\Due to the Wave's impact, medicine is flying off the shelves lately,\so I'd pay more for medicine than for herbs.\I see. response:	In total, this is worth four silvers.
context: Are you well versed in making medicines, Sir Hero?\Yesterday was my first try.\Oh?\Which is more profitable, selling herbs or medicine?\Due to the Wave's impact, medicine is flying off the shelves lately,\so I'd pay more for medicine than for herbs.\I see.\In total, this is worth four silvers. response:	Say, do you have any tools you don't use anymore?
context: Yesterday was my first try.\Oh?\Which is more profitable, selling herbs or medicine?\Due to the Wave's impact, medicine is flying off the shelves lately,\so I'd pay more for medicine than for herbs.\I see.\In total, this is worth four silvers.\Say, do you have any tools you don't use anymore? response:	Here we go!
context: Oh?\Which is more profitable, selling herbs or medicine?\Due to the Wave's impact, medicine is flying off the shelves lately,\so I'd pay more for medicine than for herbs.\I see.\In total, this is worth four silvers.\Say, do you have any tools you don't use anymore?\Here we go! response:	Okay!
context: Which is more profitable, selling herbs or medicine?\Due to the Wave's impact, medicine is flying off the shelves lately,\so I'd pay more for medicine than for herbs.\I see.\In total, this is worth four silvers.\Say, do you have any tools you don't use anymore?\Here we go!\Okay! response:	One, two...
context: Due to the Wave's impact, medicine is flying off the shelves lately,\so I'd pay more for medicine than for herbs.\I see.\In total, this is worth four silvers.\Say, do you have any tools you don't use anymore?\Here we go!\Okay!\One, two... response:	Raphtalia.
context: so I'd pay more for medicine than for herbs.\I see.\In total, this is worth four silvers.\Say, do you have any tools you don't use anymore?\Here we go!\Okay!\One, two...\Raphtalia. response:	Hup!
context: I see.\In total, this is worth four silvers.\Say, do you have any tools you don't use anymore?\Here we go!\Okay!\One, two...\Raphtalia.\Hup! response:	Do you want one of those balls?
context: In total, this is worth four silvers.\Say, do you have any tools you don't use anymore?\Here we go!\Okay!\One, two...\Raphtalia.\Hup!\Do you want one of those balls? response:	N-Not at all!
context: Say, do you have any tools you don't use anymore?\Here we go!\Okay!\One, two...\Raphtalia.\Hup!\Do you want one of those balls?\N-Not at all! response:	I don't want it at all!
context: Here we go!\Okay!\One, two...\Raphtalia.\Hup!\Do you want one of those balls?\N-Not at all!\I don't want it at all! response:	So she wants one, huh?
context: Okay!\One, two...\Raphtalia.\Hup!\Do you want one of those balls?\N-Not at all!\I don't want it at all!\So she wants one, huh? response:	You can play with it after we're done with work.
context: One, two...\Raphtalia.\Hup!\Do you want one of those balls?\N-Not at all!\I don't want it at all!\So she wants one, huh?\You can play with it after we're done with work. response:	Thank you!
context: Raphtalia.\Hup!\Do you want one of those balls?\N-Not at all!\I don't want it at all!\So she wants one, huh?\You can play with it after we're done with work.\Thank you! response:	Coming!
context: Hup!\Do you want one of those balls?\N-Not at all!\I don't want it at all!\So she wants one, huh?\You can play with it after we're done with work.\Thank you!\Coming! response:	Uh, the Shield Hero...
context: Do you want one of those balls?\N-Not at all!\I don't want it at all!\So she wants one, huh?\You can play with it after we're done with work.\Thank you!\Coming!\Uh, the Shield Hero... response:	I'd like to rent a room.
context: N-Not at all!\I don't want it at all!\So she wants one, huh?\You can play with it after we're done with work.\Thank you!\Coming!\Uh, the Shield Hero...\I'd like to rent a room. response:	My companion might scream at night, though.
context: I don't want it at all!\So she wants one, huh?\You can play with it after we're done with work.\Thank you!\Coming!\Uh, the Shield Hero...\I'd like to rent a room.\My companion might scream at night, though. response:	You will let us stay, right?
context: So she wants one, huh?\You can play with it after we're done with work.\Thank you!\Coming!\Uh, the Shield Hero...\I'd like to rent a room.\My companion might scream at night, though.\You will let us stay, right? response:	O-Of course! I'll prepare a room at once!
context: You can play with it after we're done with work.\Thank you!\Coming!\Uh, the Shield Hero...\I'd like to rent a room.\My companion might scream at night, though.\You will let us stay, right?\O-Of course! I'll prepare a room at once! response:	I have to find a way to survive before the next Wave of Catastrophe hits.
context: Thank you!\Coming!\Uh, the Shield Hero...\I'd like to rent a room.\My companion might scream at night, though.\You will let us stay, right?\O-Of course! I'll prepare a room at once!\I have to find a way to survive before the next Wave of Catastrophe hits. response:	All right. We can go a little deeper into the forest now...
context: Coming!\Uh, the Shield Hero...\I'd like to rent a room.\My companion might scream at night, though.\You will let us stay, right?\O-Of course! I'll prepare a room at once!\I have to find a way to survive before the next Wave of Catastrophe hits.\All right. We can go a little deeper into the forest now... response:	A rabbit?
context: Uh, the Shield Hero...\I'd like to rent a room.\My companion might scream at night, though.\You will let us stay, right?\O-Of course! I'll prepare a room at once!\I have to find a way to survive before the next Wave of Catastrophe hits.\All right. We can go a little deeper into the forest now...\A rabbit? response:	Watch out!
context: I'd like to rent a room.\My companion might scream at night, though.\You will let us stay, right?\O-Of course! I'll prepare a room at once!\I have to find a way to survive before the next Wave of Catastrophe hits.\All right. We can go a little deeper into the forest now...\A rabbit?\Watch out! response:	Now, Raphtalia! Stab it!
context: My companion might scream at night, though.\You will let us stay, right?\O-Of course! I'll prepare a room at once!\I have to find a way to survive before the next Wave of Catastrophe hits.\All right. We can go a little deeper into the forest now...\A rabbit?\Watch out!\Now, Raphtalia! Stab it! response:	What's wrong? Get on with it!
context: You will let us stay, right?\O-Of course! I'll prepare a room at once!\I have to find a way to survive before the next Wave of Catastrophe hits.\All right. We can go a little deeper into the forest now...\A rabbit?\Watch out!\Now, Raphtalia! Stab it!\What's wrong? Get on with it! response:	B-But... It'll bleed if I do...
context: O-Of course! I'll prepare a room at once!\I have to find a way to survive before the next Wave of Catastrophe hits.\All right. We can go a little deeper into the forest now...\A rabbit?\Watch out!\Now, Raphtalia! Stab it!\What's wrong? Get on with it!\B-But... It'll bleed if I do... response:	Hurry up!
context: I have to find a way to survive before the next Wave of Catastrophe hits.\All right. We can go a little deeper into the forest now...\A rabbit?\Watch out!\Now, Raphtalia! Stab it!\What's wrong? Get on with it!\B-But... It'll bleed if I do...\Hurry up! response:	I'm scared of blood!
context: All right. We can go a little deeper into the forest now...\A rabbit?\Watch out!\Now, Raphtalia! Stab it!\What's wrong? Get on with it!\B-But... It'll bleed if I do...\Hurry up!\I'm scared of blood! response:	Listen well.
context: A rabbit?\Watch out!\Now, Raphtalia! Stab it!\What's wrong? Get on with it!\B-But... It'll bleed if I do...\Hurry up!\I'm scared of blood!\Listen well. response:	If you can't fight, then I won't be able to look after you anymore.
context: Watch out!\Now, Raphtalia! Stab it!\What's wrong? Get on with it!\B-But... It'll bleed if I do...\Hurry up!\I'm scared of blood!\Listen well.\If you can't fight, then I won't be able to look after you anymore. response:	A Wave that threatens the world's existence is coming soon.
context: Now, Raphtalia! Stab it!\What's wrong? Get on with it!\B-But... It'll bleed if I do...\Hurry up!\I'm scared of blood!\Listen well.\If you can't fight, then I won't be able to look after you anymore.\A Wave that threatens the world's existence is coming soon. response:	I have to get as strong as I can before it does.
context: What's wrong? Get on with it!\B-But... It'll bleed if I do...\Hurry up!\I'm scared of blood!\Listen well.\If you can't fight, then I won't be able to look after you anymore.\A Wave that threatens the world's existence is coming soon.\I have to get as strong as I can before it does. response:	But defense is all I'm good for.
context: B-But... It'll bleed if I do...\Hurry up!\I'm scared of blood!\Listen well.\If you can't fight, then I won't be able to look after you anymore.\A Wave that threatens the world's existence is coming soon.\I have to get as strong as I can before it does.\But defense is all I'm good for. response:	I need someone to fight for me.
context: Hurry up!\I'm scared of blood!\Listen well.\If you can't fight, then I won't be able to look after you anymore.\A Wave that threatens the world's existence is coming soon.\I have to get as strong as I can before it does.\But defense is all I'm good for.\I need someone to fight for me. response:	If you can't do it, I'll get someone else.
context: I'm scared of blood!\Listen well.\If you can't fight, then I won't be able to look after you anymore.\A Wave that threatens the world's existence is coming soon.\I have to get as strong as I can before it does.\But defense is all I'm good for.\I need someone to fight for me.\If you can't do it, I'll get someone else. response:	So...
context: Listen well.\If you can't fight, then I won't be able to look after you anymore.\A Wave that threatens the world's existence is coming soon.\I have to get as strong as I can before it does.\But defense is all I'm good for.\I need someone to fight for me.\If you can't do it, I'll get someone else.\So... response:	You're going to fight the Catastrophe?
context: If you can't fight, then I won't be able to look after you anymore.\A Wave that threatens the world's existence is coming soon.\I have to get as strong as I can before it does.\But defense is all I'm good for.\I need someone to fight for me.\If you can't do it, I'll get someone else.\So...\You're going to fight the Catastrophe? response:	That is my job.
context: A Wave that threatens the world's existence is coming soon.\I have to get as strong as I can before it does.\But defense is all I'm good for.\I need someone to fight for me.\If you can't do it, I'll get someone else.\So...\You're going to fight the Catastrophe?\That is my job. response:	Got it.
context: I have to get as strong as I can before it does.\But defense is all I'm good for.\I need someone to fight for me.\If you can't do it, I'll get someone else.\So...\You're going to fight the Catastrophe?\That is my job.\Got it. response:	Master... I'll fight for you.
context: But defense is all I'm good for.\I need someone to fight for me.\If you can't do it, I'll get someone else.\So...\You're going to fight the Catastrophe?\That is my job.\Got it.\Master... I'll fight for you. response:	So please don't throw me away.
context: I need someone to fight for me.\If you can't do it, I'll get someone else.\So...\You're going to fight the Catastrophe?\That is my job.\Got it.\Master... I'll fight for you.\So please don't throw me away. response:	All right.
context: If you can't do it, I'll get someone else.\So...\You're going to fight the Catastrophe?\That is my job.\Got it.\Master... I'll fight for you.\So please don't throw me away.\All right. response:	This is reality.
context: So...\You're going to fight the Catastrophe?\That is my job.\Got it.\Master... I'll fight for you.\So please don't throw me away.\All right.\This is reality. response:	Not a game.
context: You're going to fight the Catastrophe?\That is my job.\Got it.\Master... I'll fight for you.\So please don't throw me away.\All right.\This is reality.\Not a game. response:	If I want to live, I have no choice but to fight!
context: That is my job.\Got it.\Master... I'll fight for you.\So please don't throw me away.\All right.\This is reality.\Not a game.\If I want to live, I have no choice but to fight! response:	Sell us a new weapon for this amount.
context: Got it.\Master... I'll fight for you.\So please don't throw me away.\All right.\This is reality.\Not a game.\If I want to live, I have no choice but to fight!\Sell us a new weapon for this amount. response:	Time to get the little miss a sword, then.
context: Master... I'll fight for you.\So please don't throw me away.\All right.\This is reality.\Not a game.\If I want to live, I have no choice but to fight!\Sell us a new weapon for this amount.\Time to get the little miss a sword, then. response:	One on the short side would be good to start off.
context: So please don't throw me away.\All right.\This is reality.\Not a game.\If I want to live, I have no choice but to fight!\Sell us a new weapon for this amount.\Time to get the little miss a sword, then.\One on the short side would be good to start off. response:	How about this?
context: All right.\This is reality.\Not a game.\If I want to live, I have no choice but to fight!\Sell us a new weapon for this amount.\Time to get the little miss a sword, then.\One on the short side would be good to start off.\How about this? response:	It's a short sword made of iron.
context: This is reality.\Not a game.\If I want to live, I have no choice but to fight!\Sell us a new weapon for this amount.\Time to get the little miss a sword, then.\One on the short side would be good to start off.\How about this?\It's a short sword made of iron. response:	Boss...
context: Not a game.\If I want to live, I have no choice but to fight!\Sell us a new weapon for this amount.\Time to get the little miss a sword, then.\One on the short side would be good to start off.\How about this?\It's a short sword made of iron.\Boss... response:	Is there a town or village nearby that we can travel to with our equipment?
context: If I want to live, I have no choice but to fight!\Sell us a new weapon for this amount.\Time to get the little miss a sword, then.\One on the short side would be good to start off.\How about this?\It's a short sword made of iron.\Boss...\Is there a town or village nearby that we can travel to with our equipment? response:	Well, with your stuff, it'd have to be here.
context: Sell us a new weapon for this amount.\Time to get the little miss a sword, then.\One on the short side would be good to start off.\How about this?\It's a short sword made of iron.\Boss...\Is there a town or village nearby that we can travel to with our equipment?\Well, with your stuff, it'd have to be here. response:	The Village of Lute
context: Time to get the little miss a sword, then.\One on the short side would be good to start off.\How about this?\It's a short sword made of iron.\Boss...\Is there a town or village nearby that we can travel to with our equipment?\Well, with your stuff, it'd have to be here.\The Village of Lute response:	How much?
context: One on the short side would be good to start off.\How about this?\It's a short sword made of iron.\Boss...\Is there a town or village nearby that we can travel to with our equipment?\Well, with your stuff, it'd have to be here.\The Village of Lute\How much? response:	Around two silvers in all, I'd say.
context: How about this?\It's a short sword made of iron.\Boss...\Is there a town or village nearby that we can travel to with our equipment?\Well, with your stuff, it'd have to be here.\The Village of Lute\How much?\Around two silvers in all, I'd say. response:	Is that so?
context: It's a short sword made of iron.\Boss...\Is there a town or village nearby that we can travel to with our equipment?\Well, with your stuff, it'd have to be here.\The Village of Lute\How much?\Around two silvers in all, I'd say.\Is that so? response:	Hey, do you know of any spots nearby when you can earn a lot of money quick?
context: Boss...\Is there a town or village nearby that we can travel to with our equipment?\Well, with your stuff, it'd have to be here.\The Village of Lute\How much?\Around two silvers in all, I'd say.\Is that so?\Hey, do you know of any spots nearby when you can earn a lot of money quick? response:	Hmm...
context: Is there a town or village nearby that we can travel to with our equipment?\Well, with your stuff, it'd have to be here.\The Village of Lute\How much?\Around two silvers in all, I'd say.\Is that so?\Hey, do you know of any spots nearby when you can earn a lot of money quick?\Hmm... response:	The ores from that coal pit over there should fetch a decent amount, but...
context: Well, with your stuff, it'd have to be here.\The Village of Lute\How much?\Around two silvers in all, I'd say.\Is that so?\Hey, do you know of any spots nearby when you can earn a lot of money quick?\Hmm...\The ores from that coal pit over there should fetch a decent amount, but... response:	Is there a catch?
context: The Village of Lute\How much?\Around two silvers in all, I'd say.\Is that so?\Hey, do you know of any spots nearby when you can earn a lot of money quick?\Hmm...\The ores from that coal pit over there should fetch a decent amount, but...\Is there a catch? response:	Ever since the first Wave, it's become home to a bunch of dangerous monsters.
context: How much?\Around two silvers in all, I'd say.\Is that so?\Hey, do you know of any spots nearby when you can earn a lot of money quick?\Hmm...\The ores from that coal pit over there should fetch a decent amount, but...\Is there a catch?\Ever since the first Wave, it's become home to a bunch of dangerous monsters. response:	Nobody dares approach it anymore.
context: Around two silvers in all, I'd say.\Is that so?\Hey, do you know of any spots nearby when you can earn a lot of money quick?\Hmm...\The ores from that coal pit over there should fetch a decent amount, but...\Is there a catch?\Ever since the first Wave, it's become home to a bunch of dangerous monsters.\Nobody dares approach it anymore. response:	I see.
context: Is that so?\Hey, do you know of any spots nearby when you can earn a lot of money quick?\Hmm...\The ores from that coal pit over there should fetch a decent amount, but...\Is there a catch?\Ever since the first Wave, it's become home to a bunch of dangerous monsters.\Nobody dares approach it anymore.\I see. response:	Sheesh! I don't know what our summoned heroes are even doing.
context: Hey, do you know of any spots nearby when you can earn a lot of money quick?\Hmm...\The ores from that coal pit over there should fetch a decent amount, but...\Is there a catch?\Ever since the first Wave, it's become home to a bunch of dangerous monsters.\Nobody dares approach it anymore.\I see.\Sheesh! I don't know what our summoned heroes are even doing. response:	Skill Tree
context: Hmm...\The ores from that coal pit over there should fetch a decent amount, but...\Is there a catch?\Ever since the first Wave, it's become home to a bunch of dangerous monsters.\Nobody dares approach it anymore.\I see.\Sheesh! I don't know what our summoned heroes are even doing.\Skill Tree response:	Mastery Bonus
context: The ores from that coal pit over there should fetch a decent amount, but...\Is there a catch?\Ever since the first Wave, it's become home to a bunch of dangerous monsters.\Nobody dares approach it anymore.\I see.\Sheesh! I don't know what our summoned heroes are even doing.\Skill Tree\Mastery Bonus response:	Rope Shield
context: Is there a catch?\Ever since the first Wave, it's become home to a bunch of dangerous monsters.\Nobody dares approach it anymore.\I see.\Sheesh! I don't know what our summoned heroes are even doing.\Skill Tree\Mastery Bonus\Rope Shield response:	ATT: 0 MAG: 0 P. DEF: +15 M. DEF: +20 DEX: 0
context: Ever since the first Wave, it's become home to a bunch of dangerous monsters.\Nobody dares approach it anymore.\I see.\Sheesh! I don't know what our summoned heroes are even doing.\Skill Tree\Mastery Bonus\Rope Shield\ATT: 0 MAG: 0 P. DEF: +15 M. DEF: +20 DEX: 0 response:	Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0
context: Nobody dares approach it anymore.\I see.\Sheesh! I don't know what our summoned heroes are even doing.\Skill Tree\Mastery Bonus\Rope Shield\ATT: 0 MAG: 0 P. DEF: +15 M. DEF: +20 DEX: 0\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0 response:	Proficiency Unlock Conditions Lv. 5 or Higher Unlock Magnet Shield
context: I see.\Sheesh! I don't know what our summoned heroes are even doing.\Skill Tree\Mastery Bonus\Rope Shield\ATT: 0 MAG: 0 P. DEF: +15 M. DEF: +20 DEX: 0\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Lv. 5 or Higher Unlock Magnet Shield response:	Air Strike Shield Rope
context: Sheesh! I don't know what our summoned heroes are even doing.\Skill Tree\Mastery Bonus\Rope Shield\ATT: 0 MAG: 0 P. DEF: +15 M. DEF: +20 DEX: 0\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Lv. 5 or Higher Unlock Magnet Shield\Air Strike Shield Rope response:	It's got an exclusive effect and skill, huh?
