context: Apology by Armed Detective Agency Member response:	Tanizaki Junichirou
context: So...\You've mentioned that you'd like to request an investigation,\but what manner of investigation are we speaking of here?\Beautiful...\You're a lady as ephemeral and elegant as a lotus blossom.\Would you be willing to join me in a double suicide\What?\Ah. response:	Apologies for the disturbance.
context: You've mentioned that you'd like to request an investigation,\but what manner of investigation are we speaking of here?\Beautiful...\You're a lady as ephemeral and elegant as a lotus blossom.\Would you be willing to join me in a double suicide\What?\Ah.\Apologies for the disturbance. response:	Don't worry.
context: but what manner of investigation are we speaking of here?\Beautiful...\You're a lady as ephemeral and elegant as a lotus blossom.\Would you be willing to join me in a double suicide\What?\Ah.\Apologies for the disturbance.\Don't worry. response:	Please disregard what just happened.
context: Beautiful...\You're a lady as ephemeral and elegant as a lotus blossom.\Would you be willing to join me in a double suicide\What?\Ah.\Apologies for the disturbance.\Don't worry.\Please disregard what just happened. response:	Please continue.
context: You're a lady as ephemeral and elegant as a lotus blossom.\Would you be willing to join me in a double suicide\What?\Ah.\Apologies for the disturbance.\Don't worry.\Please disregard what just happened.\Please continue. response:	Regarding my request...
context: Would you be willing to join me in a double suicide\What?\Ah.\Apologies for the disturbance.\Don't worry.\Please disregard what just happened.\Please continue.\Regarding my request... response:	Y-Yes?
context: What?\Ah.\Apologies for the disturbance.\Don't worry.\Please disregard what just happened.\Please continue.\Regarding my request...\Y-Yes? response:	Wow.
context: Ah.\Apologies for the disturbance.\Don't worry.\Please disregard what just happened.\Please continue.\Regarding my request...\Y-Yes?\Wow. response:	She's managing to carry on as though everything's normal.
context: Apologies for the disturbance.\Don't worry.\Please disregard what just happened.\Please continue.\Regarding my request...\Y-Yes?\Wow.\She's managing to carry on as though everything's normal. response:	Well, it seems there's recently been a group of
context: Don't worry.\Please disregard what just happened.\Please continue.\Regarding my request...\Y-Yes?\Wow.\She's managing to carry on as though everything's normal.\Well, it seems there's recently been a group of response:	distasteful people loitering in my company building's back alley.
context: Please disregard what just happened.\Please continue.\Regarding my request...\Y-Yes?\Wow.\She's managing to carry on as though everything's normal.\Well, it seems there's recently been a group of\distasteful people loitering in my company building's back alley. response:	And by distasteful, you mean...
context: Please continue.\Regarding my request...\Y-Yes?\Wow.\She's managing to carry on as though everything's normal.\Well, it seems there's recently been a group of\distasteful people loitering in my company building's back alley.\And by distasteful, you mean... response:	They appear to be dressed in rags.
context: Regarding my request...\Y-Yes?\Wow.\She's managing to carry on as though everything's normal.\Well, it seems there's recently been a group of\distasteful people loitering in my company building's back alley.\And by distasteful, you mean...\They appear to be dressed in rags. response:	Some of them have been heard speaking a foreign tongue.
context: Y-Yes?\Wow.\She's managing to carry on as though everything's normal.\Well, it seems there's recently been a group of\distasteful people loitering in my company building's back alley.\And by distasteful, you mean...\They appear to be dressed in rags.\Some of them have been heard speaking a foreign tongue. response:	They must be smugglers or some such.
context: Wow.\She's managing to carry on as though everything's normal.\Well, it seems there's recently been a group of\distasteful people loitering in my company building's back alley.\And by distasteful, you mean...\They appear to be dressed in rags.\Some of them have been heard speaking a foreign tongue.\They must be smugglers or some such. response:	The military police may police all they want,
context: She's managing to carry on as though everything's normal.\Well, it seems there's recently been a group of\distasteful people loitering in my company building's back alley.\And by distasteful, you mean...\They appear to be dressed in rags.\Some of them have been heard speaking a foreign tongue.\They must be smugglers or some such.\The military police may police all they want, response:	but they keep multiplying like rats on a ship.
context: Well, it seems there's recently been a group of\distasteful people loitering in my company building's back alley.\And by distasteful, you mean...\They appear to be dressed in rags.\Some of them have been heard speaking a foreign tongue.\They must be smugglers or some such.\The military police may police all they want,\but they keep multiplying like rats on a ship. response:	They're unavoidable in a port town.
context: distasteful people loitering in my company building's back alley.\And by distasteful, you mean...\They appear to be dressed in rags.\Some of them have been heard speaking a foreign tongue.\They must be smugglers or some such.\The military police may police all they want,\but they keep multiplying like rats on a ship.\They're unavoidable in a port town. response:	Right.
context: And by distasteful, you mean...\They appear to be dressed in rags.\Some of them have been heard speaking a foreign tongue.\They must be smugglers or some such.\The military police may police all they want,\but they keep multiplying like rats on a ship.\They're unavoidable in a port town.\Right. response:	If we had some evidence that they're running afoul of the law,
context: They appear to be dressed in rags.\Some of them have been heard speaking a foreign tongue.\They must be smugglers or some such.\The military police may police all they want,\but they keep multiplying like rats on a ship.\They're unavoidable in a port town.\Right.\If we had some evidence that they're running afoul of the law, response:	we could reach out to the military police.
context: Some of them have been heard speaking a foreign tongue.\They must be smugglers or some such.\The military police may police all they want,\but they keep multiplying like rats on a ship.\They're unavoidable in a port town.\Right.\If we had some evidence that they're running afoul of the law,\we could reach out to the military police. response:	So...
context: They must be smugglers or some such.\The military police may police all they want,\but they keep multiplying like rats on a ship.\They're unavoidable in a port town.\Right.\If we had some evidence that they're running afoul of the law,\we could reach out to the military police.\So... response:	You want us to stake out the place and get that evidence.
context: The military police may police all they want,\but they keep multiplying like rats on a ship.\They're unavoidable in a port town.\Right.\If we had some evidence that they're running afoul of the law,\we could reach out to the military police.\So...\You want us to stake out the place and get that evidence. response:	Brat.
context: but they keep multiplying like rats on a ship.\They're unavoidable in a port town.\Right.\If we had some evidence that they're running afoul of the law,\we could reach out to the military police.\So...\You want us to stake out the place and get that evidence.\Brat. response:	Huh?
context: They're unavoidable in a port town.\Right.\If we had some evidence that they're running afoul of the law,\we could reach out to the military police.\So...\You want us to stake out the place and get that evidence.\Brat.\Huh? response:	You go.
context: Right.\If we had some evidence that they're running afoul of the law,\we could reach out to the military police.\So...\You want us to stake out the place and get that evidence.\Brat.\Huh?\You go. response:	What?!
context: If we had some evidence that they're running afoul of the law,\we could reach out to the military police.\So...\You want us to stake out the place and get that evidence.\Brat.\Huh?\You go.\What?! response:	It's a simple stakeout job.
context: we could reach out to the military police.\So...\You want us to stake out the place and get that evidence.\Brat.\Huh?\You go.\What?!\It's a simple stakeout job. response:	Besides, smugglers are mostly harmless.
context: So...\You want us to stake out the place and get that evidence.\Brat.\Huh?\You go.\What?!\It's a simple stakeout job.\Besides, smugglers are mostly harmless. response:	They're usually only good at making a break for it.
context: You want us to stake out the place and get that evidence.\Brat.\Huh?\You go.\What?!\It's a simple stakeout job.\Besides, smugglers are mostly harmless.\They're usually only good at making a break for it. response:	It's the perfect first job for you.
context: Brat.\Huh?\You go.\What?!\It's a simple stakeout job.\Besides, smugglers are mostly harmless.\They're usually only good at making a break for it.\It's the perfect first job for you. response:	But...
context: Huh?\You go.\What?!\It's a simple stakeout job.\Besides, smugglers are mostly harmless.\They're usually only good at making a break for it.\It's the perfect first job for you.\But... response:	Tanizaki, go with him.
context: You go.\What?!\It's a simple stakeout job.\Besides, smugglers are mostly harmless.\They're usually only good at making a break for it.\It's the perfect first job for you.\But...\Tanizaki, go with him. response:	If he's going, I'm going, too!
context: What?!\It's a simple stakeout job.\Besides, smugglers are mostly harmless.\They're usually only good at making a break for it.\It's the perfect first job for you.\But...\Tanizaki, go with him.\If he's going, I'm going, too! response:	Rookie Detective Nervous About His First Job: Nakajima Atsushi
context: It's a simple stakeout job.\Besides, smugglers are mostly harmless.\They're usually only good at making a break for it.\It's the perfect first job for you.\But...\Tanizaki, go with him.\If he's going, I'm going, too!\Rookie Detective Nervous About His First Job: Nakajima Atsushi response:	Hey, brat.
context: Besides, smugglers are mostly harmless.\They're usually only good at making a break for it.\It's the perfect first job for you.\But...\Tanizaki, go with him.\If he's going, I'm going, too!\Rookie Detective Nervous About His First Job: Nakajima Atsushi\Hey, brat. response:	It's not that I lack sympathy for your unlucky, ill-begotten life.
context: They're usually only good at making a break for it.\It's the perfect first job for you.\But...\Tanizaki, go with him.\If he's going, I'm going, too!\Rookie Detective Nervous About His First Job: Nakajima Atsushi\Hey, brat.\It's not that I lack sympathy for your unlucky, ill-begotten life. response:	As such, I'll give you one hint for surviving in this city.
context: It's the perfect first job for you.\But...\Tanizaki, go with him.\If he's going, I'm going, too!\Rookie Detective Nervous About His First Job: Nakajima Atsushi\Hey, brat.\It's not that I lack sympathy for your unlucky, ill-begotten life.\As such, I'll give you one hint for surviving in this city. response:	Don't run into him.
context: But...\Tanizaki, go with him.\If he's going, I'm going, too!\Rookie Detective Nervous About His First Job: Nakajima Atsushi\Hey, brat.\It's not that I lack sympathy for your unlucky, ill-begotten life.\As such, I'll give you one hint for surviving in this city.\Don't run into him. response:	If you do, run.
context: Tanizaki, go with him.\If he's going, I'm going, too!\Rookie Detective Nervous About His First Job: Nakajima Atsushi\Hey, brat.\It's not that I lack sympathy for your unlucky, ill-begotten life.\As such, I'll give you one hint for surviving in this city.\Don't run into him.\If you do, run. response:	Who is he?
context: If he's going, I'm going, too!\Rookie Detective Nervous About His First Job: Nakajima Atsushi\Hey, brat.\It's not that I lack sympathy for your unlucky, ill-begotten life.\As such, I'll give you one hint for surviving in this city.\Don't run into him.\If you do, run.\Who is he? response:	A mafioso.
context: Rookie Detective Nervous About His First Job: Nakajima Atsushi\Hey, brat.\It's not that I lack sympathy for your unlucky, ill-begotten life.\As such, I'll give you one hint for surviving in this city.\Don't run into him.\If you do, run.\Who is he?\A mafioso. response:	Though we call them that because we don't know anything else.
context: Hey, brat.\It's not that I lack sympathy for your unlucky, ill-begotten life.\As such, I'll give you one hint for surviving in this city.\Don't run into him.\If you do, run.\Who is he?\A mafioso.\Though we call them that because we don't know anything else. response:	They're a vicious criminal organization who claims the port as their territory.
context: It's not that I lack sympathy for your unlucky, ill-begotten life.\As such, I'll give you one hint for surviving in this city.\Don't run into him.\If you do, run.\Who is he?\A mafioso.\Though we call them that because we don't know anything else.\They're a vicious criminal organization who claims the port as their territory. response:	They're called the Port Mafia.
context: As such, I'll give you one hint for surviving in this city.\Don't run into him.\If you do, run.\Who is he?\A mafioso.\Though we call them that because we don't know anything else.\They're a vicious criminal organization who claims the port as their territory.\They're called the Port Mafia. response:	They're the most dangerous bunch in the underground world of this city.
context: Don't run into him.\If you do, run.\Who is he?\A mafioso.\Though we call them that because we don't know anything else.\They're a vicious criminal organization who claims the port as their territory.\They're called the Port Mafia.\They're the most dangerous bunch in the underground world of this city. response:	Of them, the one in this photo
context: If you do, run.\Who is he?\A mafioso.\Though we call them that because we don't know anything else.\They're a vicious criminal organization who claims the port as their territory.\They're called the Port Mafia.\They're the most dangerous bunch in the underground world of this city.\Of them, the one in this photo response:	is a very dangerous man beyond even this Agency's reach.
context: Who is he?\A mafioso.\Though we call them that because we don't know anything else.\They're a vicious criminal organization who claims the port as their territory.\They're called the Port Mafia.\They're the most dangerous bunch in the underground world of this city.\Of them, the one in this photo\is a very dangerous man beyond even this Agency's reach. response:	Why is he dangerous?
context: A mafioso.\Though we call them that because we don't know anything else.\They're a vicious criminal organization who claims the port as their territory.\They're called the Port Mafia.\They're the most dangerous bunch in the underground world of this city.\Of them, the one in this photo\is a very dangerous man beyond even this Agency's reach.\Why is he dangerous? response:	Because he's gifted.
context: Though we call them that because we don't know anything else.\They're a vicious criminal organization who claims the port as their territory.\They're called the Port Mafia.\They're the most dangerous bunch in the underground world of this city.\Of them, the one in this photo\is a very dangerous man beyond even this Agency's reach.\Why is he dangerous?\Because he's gifted. response:	His ability happens to be of the ruthless sort specialized for slaughter.
context: They're a vicious criminal organization who claims the port as their territory.\They're called the Port Mafia.\They're the most dangerous bunch in the underground world of this city.\Of them, the one in this photo\is a very dangerous man beyond even this Agency's reach.\Why is he dangerous?\Because he's gifted.\His ability happens to be of the ruthless sort specialized for slaughter. response:	Not even the military police stand a chance against him.
context: They're called the Port Mafia.\They're the most dangerous bunch in the underground world of this city.\Of them, the one in this photo\is a very dangerous man beyond even this Agency's reach.\Why is he dangerous?\Because he's gifted.\His ability happens to be of the ruthless sort specialized for slaughter.\Not even the military police stand a chance against him. response:	I wouldn't want to fight him, either.
context: They're the most dangerous bunch in the underground world of this city.\Of them, the one in this photo\is a very dangerous man beyond even this Agency's reach.\Why is he dangerous?\Because he's gifted.\His ability happens to be of the ruthless sort specialized for slaughter.\Not even the military police stand a chance against him.\I wouldn't want to fight him, either. response:	What's his name?
context: Of them, the one in this photo\is a very dangerous man beyond even this Agency's reach.\Why is he dangerous?\Because he's gifted.\His ability happens to be of the ruthless sort specialized for slaughter.\Not even the military police stand a chance against him.\I wouldn't want to fight him, either.\What's his name? response:	It's Akutagawa.
context: is a very dangerous man beyond even this Agency's reach.\Why is he dangerous?\Because he's gifted.\His ability happens to be of the ruthless sort specialized for slaughter.\Not even the military police stand a chance against him.\I wouldn't want to fight him, either.\What's his name?\It's Akutagawa. response:	I found a bag on the ground.
context: Why is he dangerous?\Because he's gifted.\His ability happens to be of the ruthless sort specialized for slaughter.\Not even the military police stand a chance against him.\I wouldn't want to fight him, either.\What's his name?\It's Akutagawa.\I found a bag on the ground. response:	I think it's been lost by its owner.
context: Because he's gifted.\His ability happens to be of the ruthless sort specialized for slaughter.\Not even the military police stand a chance against him.\I wouldn't want to fight him, either.\What's his name?\It's Akutagawa.\I found a bag on the ground.\I think it's been lost by its owner. response:	Ah, lost and found.
context: His ability happens to be of the ruthless sort specialized for slaughter.\Not even the military police stand a chance against him.\I wouldn't want to fight him, either.\What's his name?\It's Akutagawa.\I found a bag on the ground.\I think it's been lost by its owner.\Ah, lost and found. response:	Then if you could fill out this form...
context: Not even the military police stand a chance against him.\I wouldn't want to fight him, either.\What's his name?\It's Akutagawa.\I found a bag on the ground.\I think it's been lost by its owner.\Ah, lost and found.\Then if you could fill out this form... response:	Hm?
context: I wouldn't want to fight him, either.\What's his name?\It's Akutagawa.\I found a bag on the ground.\I think it's been lost by its owner.\Ah, lost and found.\Then if you could fill out this form...\Hm? response:	I've seen you before.
context: What's his name?\It's Akutagawa.\I found a bag on the ground.\I think it's been lost by its owner.\Ah, lost and found.\Then if you could fill out this form...\Hm?\I've seen you before. response:	That's impressive.
context: It's Akutagawa.\I found a bag on the ground.\I think it's been lost by its owner.\Ah, lost and found.\Then if you could fill out this form...\Hm?\I've seen you before.\That's impressive. response:	I've already been found out.
context: I found a bag on the ground.\I think it's been lost by its owner.\Ah, lost and found.\Then if you could fill out this form...\Hm?\I've seen you before.\That's impressive.\I've already been found out. response:	Wait, is he the wanted fugitive?!
context: I think it's been lost by its owner.\Ah, lost and found.\Then if you could fill out this form...\Hm?\I've seen you before.\That's impressive.\I've already been found out.\Wait, is he the wanted fugitive?! response:	Stop!
context: Ah, lost and found.\Then if you could fill out this form...\Hm?\I've seen you before.\That's impressive.\I've already been found out.\Wait, is he the wanted fugitive?!\Stop! response:	The military police of this city are a distinguished force.
context: Then if you could fill out this form...\Hm?\I've seen you before.\That's impressive.\I've already been found out.\Wait, is he the wanted fugitive?!\Stop!\The military police of this city are a distinguished force. response:	Excuse me,
context: Hm?\I've seen you before.\That's impressive.\I've already been found out.\Wait, is he the wanted fugitive?!\Stop!\The military police of this city are a distinguished force.\Excuse me, response:	could help me find
context: I've seen you before.\That's impressive.\I've already been found out.\Wait, is he the wanted fugitive?!\Stop!\The military police of this city are a distinguished force.\Excuse me,\could help me find response:	Wanted Akutagawa Ryuunosuke
context: That's impressive.\I've already been found out.\Wait, is he the wanted fugitive?!\Stop!\The military police of this city are a distinguished force.\Excuse me,\could help me find\Wanted Akutagawa Ryuunosuke response:	Akutagawa Ryuunosuke Ability: Rashoumon
context: I've already been found out.\Wait, is he the wanted fugitive?!\Stop!\The military police of this city are a distinguished force.\Excuse me,\could help me find\Wanted Akutagawa Ryuunosuke\Akutagawa Ryuunosuke Ability: Rashoumon response:	Yokohama Gangster Paradise
context: Wait, is he the wanted fugitive?!\Stop!\The military police of this city are a distinguished force.\Excuse me,\could help me find\Wanted Akutagawa Ryuunosuke\Akutagawa Ryuunosuke Ability: Rashoumon\Yokohama Gangster Paradise response:	Done.
context: Stop!\The military police of this city are a distinguished force.\Excuse me,\could help me find\Wanted Akutagawa Ryuunosuke\Akutagawa Ryuunosuke Ability: Rashoumon\Yokohama Gangster Paradise\Done. response:	Next...
context: The military police of this city are a distinguished force.\Excuse me,\could help me find\Wanted Akutagawa Ryuunosuke\Akutagawa Ryuunosuke Ability: Rashoumon\Yokohama Gangster Paradise\Done.\Next... response:	You can't do a double-suicide alone...
context: Excuse me,\could help me find\Wanted Akutagawa Ryuunosuke\Akutagawa Ryuunosuke Ability: Rashoumon\Yokohama Gangster Paradise\Done.\Next...\You can't do a double-suicide alone... response:	Hey, Dazai.
context: could help me find\Wanted Akutagawa Ryuunosuke\Akutagawa Ryuunosuke Ability: Rashoumon\Yokohama Gangster Paradise\Done.\Next...\You can't do a double-suicide alone...\Hey, Dazai. response:	What about the job?
context: Wanted Akutagawa Ryuunosuke\Akutagawa Ryuunosuke Ability: Rashoumon\Yokohama Gangster Paradise\Done.\Next...\You can't do a double-suicide alone...\Hey, Dazai.\What about the job? response:	I'm waiting for a sign from above.
context: Akutagawa Ryuunosuke Ability: Rashoumon\Yokohama Gangster Paradise\Done.\Next...\You can't do a double-suicide alone...\Hey, Dazai.\What about the job?\I'm waiting for a sign from above. response:	Huh?
context: Yokohama Gangster Paradise\Done.\Next...\You can't do a double-suicide alone...\Hey, Dazai.\What about the job?\I'm waiting for a sign from above.\Huh? response:	With two, you can...
context: Done.\Next...\You can't do a double-suicide alone...\Hey, Dazai.\What about the job?\I'm waiting for a sign from above.\Huh?\With two, you can... response:	Double-suicide... Double-suicide...
context: Next...\You can't do a double-suicide alone...\Hey, Dazai.\What about the job?\I'm waiting for a sign from above.\Huh?\With two, you can...\Double-suicide... Double-suicide... response:	That's scary, all right.
context: You can't do a double-suicide alone...\Hey, Dazai.\What about the job?\I'm waiting for a sign from above.\Huh?\With two, you can...\Double-suicide... Double-suicide...\That's scary, all right. response:	It's not funny.
context: Hey, Dazai.\What about the job?\I'm waiting for a sign from above.\Huh?\With two, you can...\Double-suicide... Double-suicide...\That's scary, all right.\It's not funny. response:	All this talk about vicious mafia and how you can die...
context: What about the job?\I'm waiting for a sign from above.\Huh?\With two, you can...\Double-suicide... Double-suicide...\That's scary, all right.\It's not funny.\All this talk about vicious mafia and how you can die... response:	I'm not sure I'm cut out for this.
context: I'm waiting for a sign from above.\Huh?\With two, you can...\Double-suicide... Double-suicide...\That's scary, all right.\It's not funny.\All this talk about vicious mafia and how you can die...\I'm not sure I'm cut out for this. response:	Well, even I've been able to manage.
context: Huh?\With two, you can...\Double-suicide... Double-suicide...\That's scary, all right.\It's not funny.\All this talk about vicious mafia and how you can die...\I'm not sure I'm cut out for this.\Well, even I've been able to manage. response:	You'll be fine.
context: With two, you can...\Double-suicide... Double-suicide...\That's scary, all right.\It's not funny.\All this talk about vicious mafia and how you can die...\I'm not sure I'm cut out for this.\Well, even I've been able to manage.\You'll be fine. response:	But you're also gifted, right?
context: Double-suicide... Double-suicide...\That's scary, all right.\It's not funny.\All this talk about vicious mafia and how you can die...\I'm not sure I'm cut out for this.\Well, even I've been able to manage.\You'll be fine.\But you're also gifted, right? response:	Your ability must be different from my own useless one...
context: That's scary, all right.\It's not funny.\All this talk about vicious mafia and how you can die...\I'm not sure I'm cut out for this.\Well, even I've been able to manage.\You'll be fine.\But you're also gifted, right?\Your ability must be different from my own useless one... response:	I wouldn't set your expectations too high.
context: It's not funny.\All this talk about vicious mafia and how you can die...\I'm not sure I'm cut out for this.\Well, even I've been able to manage.\You'll be fine.\But you're also gifted, right?\Your ability must be different from my own useless one...\I wouldn't set your expectations too high. response:	My ability's not suited for combat.
context: All this talk about vicious mafia and how you can die...\I'm not sure I'm cut out for this.\Well, even I've been able to manage.\You'll be fine.\But you're also gifted, right?\Your ability must be different from my own useless one...\I wouldn't set your expectations too high.\My ability's not suited for combat. response:	You have a wonderful ability.
context: I'm not sure I'm cut out for this.\Well, even I've been able to manage.\You'll be fine.\But you're also gifted, right?\Your ability must be different from my own useless one...\I wouldn't set your expectations too high.\My ability's not suited for combat.\You have a wonderful ability. response:	I love it.
context: Well, even I've been able to manage.\You'll be fine.\But you're also gifted, right?\Your ability must be different from my own useless one...\I wouldn't set your expectations too high.\My ability's not suited for combat.\You have a wonderful ability.\I love it. response:	Stop, Naomi.
context: You'll be fine.\But you're also gifted, right?\Your ability must be different from my own useless one...\I wouldn't set your expectations too high.\My ability's not suited for combat.\You have a wonderful ability.\I love it.\Stop, Naomi. response:	Not here.
context: But you're also gifted, right?\Your ability must be different from my own useless one...\I wouldn't set your expectations too high.\My ability's not suited for combat.\You have a wonderful ability.\I love it.\Stop, Naomi.\Not here. response:	Oh, are you talking back to me?
context: Your ability must be different from my own useless one...\I wouldn't set your expectations too high.\My ability's not suited for combat.\You have a wonderful ability.\I love it.\Stop, Naomi.\Not here.\Oh, are you talking back to me? response:	I wonder what mouth's saying such cheeky things...
context: I wouldn't set your expectations too high.\My ability's not suited for combat.\You have a wonderful ability.\I love it.\Stop, Naomi.\Not here.\Oh, are you talking back to me?\I wonder what mouth's saying such cheeky things... response:	We're here.
context: My ability's not suited for combat.\You have a wonderful ability.\I love it.\Stop, Naomi.\Not here.\Oh, are you talking back to me?\I wonder what mouth's saying such cheeky things...\We're here. response:	Huh?
context: You have a wonderful ability.\I love it.\Stop, Naomi.\Not here.\Oh, are you talking back to me?\I wonder what mouth's saying such cheeky things...\We're here.\Huh? response:	This way.
context: I love it.\Stop, Naomi.\Not here.\Oh, are you talking back to me?\I wonder what mouth's saying such cheeky things...\We're here.\Huh?\This way. response:	It's kind of creepy.
context: Stop, Naomi.\Not here.\Oh, are you talking back to me?\I wonder what mouth's saying such cheeky things...\We're here.\Huh?\This way.\It's kind of creepy. response:	That's strange.
context: Not here.\Oh, are you talking back to me?\I wonder what mouth's saying such cheeky things...\We're here.\Huh?\This way.\It's kind of creepy.\That's strange. response:	Is this really the right place?
context: Oh, are you talking back to me?\I wonder what mouth's saying such cheeky things...\We're here.\Huh?\This way.\It's kind of creepy.\That's strange.\Is this really the right place? response:	Um...
context: I wonder what mouth's saying such cheeky things...\We're here.\Huh?\This way.\It's kind of creepy.\That's strange.\Is this really the right place?\Um... response:	The name's Higuchi.
context: We're here.\Huh?\This way.\It's kind of creepy.\That's strange.\Is this really the right place?\Um...\The name's Higuchi. response:	Higuchi-san.
context: Huh?\This way.\It's kind of creepy.\That's strange.\Is this really the right place?\Um...\The name's Higuchi.\Higuchi-san. response:	Smugglers are a cowardly bunch.
context: This way.\It's kind of creepy.\That's strange.\Is this really the right place?\Um...\The name's Higuchi.\Higuchi-san.\Smugglers are a cowardly bunch. response:	They'll always have an escape route.
context: It's kind of creepy.\That's strange.\Is this really the right place?\Um...\The name's Higuchi.\Higuchi-san.\Smugglers are a cowardly bunch.\They'll always have an escape route. response:	But this is a dead end.
context: That's strange.\Is this really the right place?\Um...\The name's Higuchi.\Higuchi-san.\Smugglers are a cowardly bunch.\They'll always have an escape route.\But this is a dead end. response:	If anyone came after them from that direction,
context: Is this really the right place?\Um...\The name's Higuchi.\Higuchi-san.\Smugglers are a cowardly bunch.\They'll always have an escape route.\But this is a dead end.\If anyone came after them from that direction, response:	they'd have nowhere to run.
context: Um...\The name's Higuchi.\Higuchi-san.\Smugglers are a cowardly bunch.\They'll always have an escape route.\But this is a dead end.\If anyone came after them from that direction,\they'd have nowhere to run. response:	That's right.
context: The name's Higuchi.\Higuchi-san.\Smugglers are a cowardly bunch.\They'll always have an escape route.\But this is a dead end.\If anyone came after them from that direction,\they'd have nowhere to run.\That's right. response:	I apologize. I led you into a trap.
context: Higuchi-san.\Smugglers are a cowardly bunch.\They'll always have an escape route.\But this is a dead end.\If anyone came after them from that direction,\they'd have nowhere to run.\That's right.\I apologize. I led you into a trap. response:	My real target was you!
context: Smugglers are a cowardly bunch.\They'll always have an escape route.\But this is a dead end.\If anyone came after them from that direction,\they'd have nowhere to run.\That's right.\I apologize. I led you into a trap.\My real target was you! response:	Port Mafia: Higuchi Ichiyou
context: They'll always have an escape route.\But this is a dead end.\If anyone came after them from that direction,\they'd have nowhere to run.\That's right.\I apologize. I led you into a trap.\My real target was you!\Port Mafia: Higuchi Ichiyou response:	Akutagawa-senpai.
context: But this is a dead end.\If anyone came after them from that direction,\they'd have nowhere to run.\That's right.\I apologize. I led you into a trap.\My real target was you!\Port Mafia: Higuchi Ichiyou\Akutagawa-senpai. response:	Akutagawa?!
context: If anyone came after them from that direction,\they'd have nowhere to run.\That's right.\I apologize. I led you into a trap.\My real target was you!\Port Mafia: Higuchi Ichiyou\Akutagawa-senpai.\Akutagawa?! response:	I have them, as planned.
context: they'd have nowhere to run.\That's right.\I apologize. I led you into a trap.\My real target was you!\Port Mafia: Higuchi Ichiyou\Akutagawa-senpai.\Akutagawa?!\I have them, as planned. response:	Excellent.
context: That's right.\I apologize. I led you into a trap.\My real target was you!\Port Mafia: Higuchi Ichiyou\Akutagawa-senpai.\Akutagawa?!\I have them, as planned.\Excellent. response:	I'll be there in five minutes.
context: I apologize. I led you into a trap.\My real target was you!\Port Mafia: Higuchi Ichiyou\Akutagawa-senpai.\Akutagawa?!\I have them, as planned.\Excellent.\I'll be there in five minutes. response:	She's...
context: My real target was you!\Port Mafia: Higuchi Ichiyou\Akutagawa-senpai.\Akutagawa?!\I have them, as planned.\Excellent.\I'll be there in five minutes.\She's... response:	She's...
context: Port Mafia: Higuchi Ichiyou\Akutagawa-senpai.\Akutagawa?!\I have them, as planned.\Excellent.\I'll be there in five minutes.\She's...\She's... response:	Brother... Are you okay?
context: Akutagawa-senpai.\Akutagawa?!\I have them, as planned.\Excellent.\I'll be there in five minutes.\She's...\She's...\Brother... Are you okay? response:	Naomi?
context: Akutagawa?!\I have them, as planned.\Excellent.\I'll be there in five minutes.\She's...\She's...\Brother... Are you okay?\Naomi? response:	Naomi!
context: I have them, as planned.\Excellent.\I'll be there in five minutes.\She's...\She's...\Brother... Are you okay?\Naomi?\Naomi! response:	God, what should I do?
context: Excellent.\I'll be there in five minutes.\She's...\She's...\Brother... Are you okay?\Naomi?\Naomi!\God, what should I do? response:	Oh, right! Tourniquet!
context: I'll be there in five minutes.\She's...\She's...\Brother... Are you okay?\Naomi?\Naomi!\God, what should I do?\Oh, right! Tourniquet! response:	Atsushi-kun, do you have a tourniquet on you?!
context: She's...\She's...\Brother... Are you okay?\Naomi?\Naomi!\God, what should I do?\Oh, right! Tourniquet!\Atsushi-kun, do you have a tourniquet on you?! response:	No, first, I have to clean the wound...
context: She's...\Brother... Are you okay?\Naomi?\Naomi!\God, what should I do?\Oh, right! Tourniquet!\Atsushi-kun, do you have a tourniquet on you?!\No, first, I have to clean the wound... response:	No!
context: Brother... Are you okay?\Naomi?\Naomi!\God, what should I do?\Oh, right! Tourniquet!\Atsushi-kun, do you have a tourniquet on you?!\No, first, I have to clean the wound...\No! response:	I have to get her to Dr. Yosano.
context: Naomi?\Naomi!\God, what should I do?\Oh, right! Tourniquet!\Atsushi-kun, do you have a tourniquet on you?!\No, first, I have to clean the wound...\No!\I have to get her to Dr. Yosano. response:	We... We have to take her to the infirmary!
context: Naomi!\God, what should I do?\Oh, right! Tourniquet!\Atsushi-kun, do you have a tourniquet on you?!\No, first, I have to clean the wound...\No!\I have to get her to Dr. Yosano.\We... We have to take her to the infirmary! response:	Atsushi-kun, get her legs!
context: God, what should I do?\Oh, right! Tourniquet!\Atsushi-kun, do you have a tourniquet on you?!\No, first, I have to clean the wound...\No!\I have to get her to Dr. Yosano.\We... We have to take her to the infirmary!\Atsushi-kun, get her legs! response:	My investigations have already revealed that you are a non-combatant member.
context: Oh, right! Tourniquet!\Atsushi-kun, do you have a tourniquet on you?!\No, first, I have to clean the wound...\No!\I have to get her to Dr. Yosano.\We... We have to take her to the infirmary!\Atsushi-kun, get her legs!\My investigations have already revealed that you are a non-combatant member. response:	Let's have you follow the noble princess to the afterlife.
