context: Qing Cang is so ridiculous. response:	He hasn't even won the war yet and he's already started to celebrate.
context: Not even you can save Ninth?\Ninth! Ninth!\I'm sorry, Seventeenth.\This time, there is nothing I can do either.\It's all my fault.\Master, it's all my fault.\If I had noticed earlier, Ninth wouldn't have died.\This isn't your fault. response:	The formation was broken.
context: Ninth! Ninth!\I'm sorry, Seventeenth.\This time, there is nothing I can do either.\It's all my fault.\Master, it's all my fault.\If I had noticed earlier, Ninth wouldn't have died.\This isn't your fault.\The formation was broken. response:	Master, the formation was broken
context: I'm sorry, Seventeenth.\This time, there is nothing I can do either.\It's all my fault.\Master, it's all my fault.\If I had noticed earlier, Ninth wouldn't have died.\This isn't your fault.\The formation was broken.\Master, the formation was broken response:	because of Xuan Nu.
context: This time, there is nothing I can do either.\It's all my fault.\Master, it's all my fault.\If I had noticed earlier, Ninth wouldn't have died.\This isn't your fault.\The formation was broken.\Master, the formation was broken\because of Xuan Nu. response:	She stole the formation strategy.
context: It's all my fault.\Master, it's all my fault.\If I had noticed earlier, Ninth wouldn't have died.\This isn't your fault.\The formation was broken.\Master, the formation was broken\because of Xuan Nu.\She stole the formation strategy. response:	What did you say?
context: Master, it's all my fault.\If I had noticed earlier, Ninth wouldn't have died.\This isn't your fault.\The formation was broken.\Master, the formation was broken\because of Xuan Nu.\She stole the formation strategy.\What did you say? response:	Xuan Nu stole the tactical formation strategy
context: If I had noticed earlier, Ninth wouldn't have died.\This isn't your fault.\The formation was broken.\Master, the formation was broken\because of Xuan Nu.\She stole the formation strategy.\What did you say?\Xuan Nu stole the tactical formation strategy response:	and gave it to Qing Cang.
context: This isn't your fault.\The formation was broken.\Master, the formation was broken\because of Xuan Nu.\She stole the formation strategy.\What did you say?\Xuan Nu stole the tactical formation strategy\and gave it to Qing Cang. response:	Mo Yuan, once this formation has been arranged
context: The formation was broken.\Master, the formation was broken\because of Xuan Nu.\She stole the formation strategy.\What did you say?\Xuan Nu stole the tactical formation strategy\and gave it to Qing Cang.\Mo Yuan, once this formation has been arranged response:	there is no leeway for change.
context: Master, the formation was broken\because of Xuan Nu.\She stole the formation strategy.\What did you say?\Xuan Nu stole the tactical formation strategy\and gave it to Qing Cang.\Mo Yuan, once this formation has been arranged\there is no leeway for change. response:	So we...
context: because of Xuan Nu.\She stole the formation strategy.\What did you say?\Xuan Nu stole the tactical formation strategy\and gave it to Qing Cang.\Mo Yuan, once this formation has been arranged\there is no leeway for change.\So we... response:	We...
context: She stole the formation strategy.\What did you say?\Xuan Nu stole the tactical formation strategy\and gave it to Qing Cang.\Mo Yuan, once this formation has been arranged\there is no leeway for change.\So we...\We... response:	not only will suffer a crushing defeat
context: What did you say?\Xuan Nu stole the tactical formation strategy\and gave it to Qing Cang.\Mo Yuan, once this formation has been arranged\there is no leeway for change.\So we...\We...\not only will suffer a crushing defeat response:	but 200,000 Celestial soldiers will also lose their lives at Ruoshui Riverbank.
context: Xuan Nu stole the tactical formation strategy\and gave it to Qing Cang.\Mo Yuan, once this formation has been arranged\there is no leeway for change.\So we...\We...\not only will suffer a crushing defeat\but 200,000 Celestial soldiers will also lose their lives at Ruoshui Riverbank. response:	Report!
context: and gave it to Qing Cang.\Mo Yuan, once this formation has been arranged\there is no leeway for change.\So we...\We...\not only will suffer a crushing defeat\but 200,000 Celestial soldiers will also lose their lives at Ruoshui Riverbank.\Report! response:	Report, after Ghost Tribe broke our formation
context: Mo Yuan, once this formation has been arranged\there is no leeway for change.\So we...\We...\not only will suffer a crushing defeat\but 200,000 Celestial soldiers will also lose their lives at Ruoshui Riverbank.\Report!\Report, after Ghost Tribe broke our formation response:	they formed a strange formation and had my troops enveloped.
context: there is no leeway for change.\So we...\We...\not only will suffer a crushing defeat\but 200,000 Celestial soldiers will also lose their lives at Ruoshui Riverbank.\Report!\Report, after Ghost Tribe broke our formation\they formed a strange formation and had my troops enveloped. response:	- Report! - Report!
context: So we...\We...\not only will suffer a crushing defeat\but 200,000 Celestial soldiers will also lose their lives at Ruoshui Riverbank.\Report!\Report, after Ghost Tribe broke our formation\they formed a strange formation and had my troops enveloped.\- Report! - Report! response:	My left flank has been breached with disastrous casualties!
context: We...\not only will suffer a crushing defeat\but 200,000 Celestial soldiers will also lose their lives at Ruoshui Riverbank.\Report!\Report, after Ghost Tribe broke our formation\they formed a strange formation and had my troops enveloped.\- Report! - Report!\My left flank has been breached with disastrous casualties! response:	Report, my right wing and rearguard have been breached with grievous casualties!
context: not only will suffer a crushing defeat\but 200,000 Celestial soldiers will also lose their lives at Ruoshui Riverbank.\Report!\Report, after Ghost Tribe broke our formation\they formed a strange formation and had my troops enveloped.\- Report! - Report!\My left flank has been breached with disastrous casualties!\Report, my right wing and rearguard have been breached with grievous casualties! response:	Thank you for your assistance.
context: but 200,000 Celestial soldiers will also lose their lives at Ruoshui Riverbank.\Report!\Report, after Ghost Tribe broke our formation\they formed a strange formation and had my troops enveloped.\- Report! - Report!\My left flank has been breached with disastrous casualties!\Report, my right wing and rearguard have been breached with grievous casualties!\Thank you for your assistance. response:	You are of the Fox Clan?
context: Report!\Report, after Ghost Tribe broke our formation\they formed a strange formation and had my troops enveloped.\- Report! - Report!\My left flank has been breached with disastrous casualties!\Report, my right wing and rearguard have been breached with grievous casualties!\Thank you for your assistance.\You are of the Fox Clan? response:	I am Bai Zhen.
context: Report, after Ghost Tribe broke our formation\they formed a strange formation and had my troops enveloped.\- Report! - Report!\My left flank has been breached with disastrous casualties!\Report, my right wing and rearguard have been breached with grievous casualties!\Thank you for your assistance.\You are of the Fox Clan?\I am Bai Zhen. response:	You are the fourth son of the Fox King?
context: they formed a strange formation and had my troops enveloped.\- Report! - Report!\My left flank has been breached with disastrous casualties!\Report, my right wing and rearguard have been breached with grievous casualties!\Thank you for your assistance.\You are of the Fox Clan?\I am Bai Zhen.\You are the fourth son of the Fox King? response:	Yes.
context: - Report! - Report!\My left flank has been breached with disastrous casualties!\Report, my right wing and rearguard have been breached with grievous casualties!\Thank you for your assistance.\You are of the Fox Clan?\I am Bai Zhen.\You are the fourth son of the Fox King?\Yes. response:	You aren't a high-ranking officer in this war.
context: My left flank has been breached with disastrous casualties!\Report, my right wing and rearguard have been breached with grievous casualties!\Thank you for your assistance.\You are of the Fox Clan?\I am Bai Zhen.\You are the fourth son of the Fox King?\Yes.\You aren't a high-ranking officer in this war. response:	You need not stay here.
context: Report, my right wing and rearguard have been breached with grievous casualties!\Thank you for your assistance.\You are of the Fox Clan?\I am Bai Zhen.\You are the fourth son of the Fox King?\Yes.\You aren't a high-ranking officer in this war.\You need not stay here. response:	Please take my disciple out of the tent as well.
context: Thank you for your assistance.\You are of the Fox Clan?\I am Bai Zhen.\You are the fourth son of the Fox King?\Yes.\You aren't a high-ranking officer in this war.\You need not stay here.\Please take my disciple out of the tent as well. response:	All right.
context: You are of the Fox Clan?\I am Bai Zhen.\You are the fourth son of the Fox King?\Yes.\You aren't a high-ranking officer in this war.\You need not stay here.\Please take my disciple out of the tent as well.\All right. response:	I won't intrude then.
context: I am Bai Zhen.\You are the fourth son of the Fox King?\Yes.\You aren't a high-ranking officer in this war.\You need not stay here.\Please take my disciple out of the tent as well.\All right.\I won't intrude then. response:	Si Yin.
context: You are the fourth son of the Fox King?\Yes.\You aren't a high-ranking officer in this war.\You need not stay here.\Please take my disciple out of the tent as well.\All right.\I won't intrude then.\Si Yin. response:	Fourth Brother.
context: Yes.\You aren't a high-ranking officer in this war.\You need not stay here.\Please take my disciple out of the tent as well.\All right.\I won't intrude then.\Si Yin.\Fourth Brother. response:	I am the cause of Ninth's death.
context: You aren't a high-ranking officer in this war.\You need not stay here.\Please take my disciple out of the tent as well.\All right.\I won't intrude then.\Si Yin.\Fourth Brother.\I am the cause of Ninth's death. response:	If I hadn't met Li Jing
context: You need not stay here.\Please take my disciple out of the tent as well.\All right.\I won't intrude then.\Si Yin.\Fourth Brother.\I am the cause of Ninth's death.\If I hadn't met Li Jing response:	and didn't let Xuan Nu stay with me
context: Please take my disciple out of the tent as well.\All right.\I won't intrude then.\Si Yin.\Fourth Brother.\I am the cause of Ninth's death.\If I hadn't met Li Jing\and didn't let Xuan Nu stay with me response:	then Ninth wouldn't have died.
context: All right.\I won't intrude then.\Si Yin.\Fourth Brother.\I am the cause of Ninth's death.\If I hadn't met Li Jing\and didn't let Xuan Nu stay with me\then Ninth wouldn't have died. response:	Fifth Sister, going by what you say
context: I won't intrude then.\Si Yin.\Fourth Brother.\I am the cause of Ninth's death.\If I hadn't met Li Jing\and didn't let Xuan Nu stay with me\then Ninth wouldn't have died.\Fifth Sister, going by what you say response:	I am the one who sent Xuan Nu to Kunlun Mountain to find you.
context: Si Yin.\Fourth Brother.\I am the cause of Ninth's death.\If I hadn't met Li Jing\and didn't let Xuan Nu stay with me\then Ninth wouldn't have died.\Fifth Sister, going by what you say\I am the one who sent Xuan Nu to Kunlun Mountain to find you. response:	Then won't we both have to pay with our lives?
context: Fourth Brother.\I am the cause of Ninth's death.\If I hadn't met Li Jing\and didn't let Xuan Nu stay with me\then Ninth wouldn't have died.\Fifth Sister, going by what you say\I am the one who sent Xuan Nu to Kunlun Mountain to find you.\Then won't we both have to pay with our lives? response:	Eldest Sister-in-law even sent a letter a few days ago
context: I am the cause of Ninth's death.\If I hadn't met Li Jing\and didn't let Xuan Nu stay with me\then Ninth wouldn't have died.\Fifth Sister, going by what you say\I am the one who sent Xuan Nu to Kunlun Mountain to find you.\Then won't we both have to pay with our lives?\Eldest Sister-in-law even sent a letter a few days ago response:	saying she was quite satisfied with Xuan Nu's marriage
context: If I hadn't met Li Jing\and didn't let Xuan Nu stay with me\then Ninth wouldn't have died.\Fifth Sister, going by what you say\I am the one who sent Xuan Nu to Kunlun Mountain to find you.\Then won't we both have to pay with our lives?\Eldest Sister-in-law even sent a letter a few days ago\saying she was quite satisfied with Xuan Nu's marriage response:	and told me to thank you.
context: and didn't let Xuan Nu stay with me\then Ninth wouldn't have died.\Fifth Sister, going by what you say\I am the one who sent Xuan Nu to Kunlun Mountain to find you.\Then won't we both have to pay with our lives?\Eldest Sister-in-law even sent a letter a few days ago\saying she was quite satisfied with Xuan Nu's marriage\and told me to thank you. response:	If not for Eldest Sister-in-law, I would have already slashed her to pieces.
context: then Ninth wouldn't have died.\Fifth Sister, going by what you say\I am the one who sent Xuan Nu to Kunlun Mountain to find you.\Then won't we both have to pay with our lives?\Eldest Sister-in-law even sent a letter a few days ago\saying she was quite satisfied with Xuan Nu's marriage\and told me to thank you.\If not for Eldest Sister-in-law, I would have already slashed her to pieces. response:	Since she has chosen the Ghost Tribe
context: Fifth Sister, going by what you say\I am the one who sent Xuan Nu to Kunlun Mountain to find you.\Then won't we both have to pay with our lives?\Eldest Sister-in-law even sent a letter a few days ago\saying she was quite satisfied with Xuan Nu's marriage\and told me to thank you.\If not for Eldest Sister-in-law, I would have already slashed her to pieces.\Since she has chosen the Ghost Tribe response:	then she is no longer affiliated with Qing Qiu.
context: I am the one who sent Xuan Nu to Kunlun Mountain to find you.\Then won't we both have to pay with our lives?\Eldest Sister-in-law even sent a letter a few days ago\saying she was quite satisfied with Xuan Nu's marriage\and told me to thank you.\If not for Eldest Sister-in-law, I would have already slashed her to pieces.\Since she has chosen the Ghost Tribe\then she is no longer affiliated with Qing Qiu. response:	If you ever see her again, you can kill her with one stroke.
context: Then won't we both have to pay with our lives?\Eldest Sister-in-law even sent a letter a few days ago\saying she was quite satisfied with Xuan Nu's marriage\and told me to thank you.\If not for Eldest Sister-in-law, I would have already slashed her to pieces.\Since she has chosen the Ghost Tribe\then she is no longer affiliated with Qing Qiu.\If you ever see her again, you can kill her with one stroke. response:	You need not think twice. It is what she deserves.
context: Eldest Sister-in-law even sent a letter a few days ago\saying she was quite satisfied with Xuan Nu's marriage\and told me to thank you.\If not for Eldest Sister-in-law, I would have already slashed her to pieces.\Since she has chosen the Ghost Tribe\then she is no longer affiliated with Qing Qiu.\If you ever see her again, you can kill her with one stroke.\You need not think twice. It is what she deserves. response:	Mo Yuan, I request to fight.
context: saying she was quite satisfied with Xuan Nu's marriage\and told me to thank you.\If not for Eldest Sister-in-law, I would have already slashed her to pieces.\Since she has chosen the Ghost Tribe\then she is no longer affiliated with Qing Qiu.\If you ever see her again, you can kill her with one stroke.\You need not think twice. It is what she deserves.\Mo Yuan, I request to fight. response:	- Mo Yuan, I also request to fight. - Mo Yuan, I also request to fight.
context: and told me to thank you.\If not for Eldest Sister-in-law, I would have already slashed her to pieces.\Since she has chosen the Ghost Tribe\then she is no longer affiliated with Qing Qiu.\If you ever see her again, you can kill her with one stroke.\You need not think twice. It is what she deserves.\Mo Yuan, I request to fight.\- Mo Yuan, I also request to fight. - Mo Yuan, I also request to fight. response:	Princes, you need not rush to fight.
context: If not for Eldest Sister-in-law, I would have already slashed her to pieces.\Since she has chosen the Ghost Tribe\then she is no longer affiliated with Qing Qiu.\If you ever see her again, you can kill her with one stroke.\You need not think twice. It is what she deserves.\Mo Yuan, I request to fight.\- Mo Yuan, I also request to fight. - Mo Yuan, I also request to fight.\Princes, you need not rush to fight. response:	If there's a need to lead troops, Kunlun Mountain has 16 disciples.
context: Since she has chosen the Ghost Tribe\then she is no longer affiliated with Qing Qiu.\If you ever see her again, you can kill her with one stroke.\You need not think twice. It is what she deserves.\Mo Yuan, I request to fight.\- Mo Yuan, I also request to fight. - Mo Yuan, I also request to fight.\Princes, you need not rush to fight.\If there's a need to lead troops, Kunlun Mountain has 16 disciples. response:	Since we have come, we are not here just for show.
context: then she is no longer affiliated with Qing Qiu.\If you ever see her again, you can kill her with one stroke.\You need not think twice. It is what she deserves.\Mo Yuan, I request to fight.\- Mo Yuan, I also request to fight. - Mo Yuan, I also request to fight.\Princes, you need not rush to fight.\If there's a need to lead troops, Kunlun Mountain has 16 disciples.\Since we have come, we are not here just for show. response:	We're willing to live or die with all the soldiers.
context: If you ever see her again, you can kill her with one stroke.\You need not think twice. It is what she deserves.\Mo Yuan, I request to fight.\- Mo Yuan, I also request to fight. - Mo Yuan, I also request to fight.\Princes, you need not rush to fight.\If there's a need to lead troops, Kunlun Mountain has 16 disciples.\Since we have come, we are not here just for show.\We're willing to live or die with all the soldiers. response:	We are willing to live or die with all the soldiers.
context: You need not think twice. It is what she deserves.\Mo Yuan, I request to fight.\- Mo Yuan, I also request to fight. - Mo Yuan, I also request to fight.\Princes, you need not rush to fight.\If there's a need to lead troops, Kunlun Mountain has 16 disciples.\Since we have come, we are not here just for show.\We're willing to live or die with all the soldiers.\We are willing to live or die with all the soldiers. response:	Right now, I need 100,000 men to throw away their lives.
context: Mo Yuan, I request to fight.\- Mo Yuan, I also request to fight. - Mo Yuan, I also request to fight.\Princes, you need not rush to fight.\If there's a need to lead troops, Kunlun Mountain has 16 disciples.\Since we have come, we are not here just for show.\We're willing to live or die with all the soldiers.\We are willing to live or die with all the soldiers.\Right now, I need 100,000 men to throw away their lives. response:	Throw away their lives?
context: - Mo Yuan, I also request to fight. - Mo Yuan, I also request to fight.\Princes, you need not rush to fight.\If there's a need to lead troops, Kunlun Mountain has 16 disciples.\Since we have come, we are not here just for show.\We're willing to live or die with all the soldiers.\We are willing to live or die with all the soldiers.\Right now, I need 100,000 men to throw away their lives.\Throw away their lives? response:	That is correct. Throw away their lives.
context: Princes, you need not rush to fight.\If there's a need to lead troops, Kunlun Mountain has 16 disciples.\Since we have come, we are not here just for show.\We're willing to live or die with all the soldiers.\We are willing to live or die with all the soldiers.\Right now, I need 100,000 men to throw away their lives.\Throw away their lives?\That is correct. Throw away their lives. response:	The soldiers outside are all descendants of the Celestial Tribe.
context: If there's a need to lead troops, Kunlun Mountain has 16 disciples.\Since we have come, we are not here just for show.\We're willing to live or die with all the soldiers.\We are willing to live or die with all the soldiers.\Right now, I need 100,000 men to throw away their lives.\Throw away their lives?\That is correct. Throw away their lives.\The soldiers outside are all descendants of the Celestial Tribe. response:	Although they're not as respected as the royal family
context: Since we have come, we are not here just for show.\We're willing to live or die with all the soldiers.\We are willing to live or die with all the soldiers.\Right now, I need 100,000 men to throw away their lives.\Throw away their lives?\That is correct. Throw away their lives.\The soldiers outside are all descendants of the Celestial Tribe.\Although they're not as respected as the royal family response:	they are all precious lives.
context: We're willing to live or die with all the soldiers.\We are willing to live or die with all the soldiers.\Right now, I need 100,000 men to throw away their lives.\Throw away their lives?\That is correct. Throw away their lives.\The soldiers outside are all descendants of the Celestial Tribe.\Although they're not as respected as the royal family\they are all precious lives. response:	Please reconsider.
context: We are willing to live or die with all the soldiers.\Right now, I need 100,000 men to throw away their lives.\Throw away their lives?\That is correct. Throw away their lives.\The soldiers outside are all descendants of the Celestial Tribe.\Although they're not as respected as the royal family\they are all precious lives.\Please reconsider. response:	The present situation is urgent.
context: Right now, I need 100,000 men to throw away their lives.\Throw away their lives?\That is correct. Throw away their lives.\The soldiers outside are all descendants of the Celestial Tribe.\Although they're not as respected as the royal family\they are all precious lives.\Please reconsider.\The present situation is urgent. response:	We must take a risky move.
context: Throw away their lives?\That is correct. Throw away their lives.\The soldiers outside are all descendants of the Celestial Tribe.\Although they're not as respected as the royal family\they are all precious lives.\Please reconsider.\The present situation is urgent.\We must take a risky move. response:	Only then can we turn defeat into victory.
context: That is correct. Throw away their lives.\The soldiers outside are all descendants of the Celestial Tribe.\Although they're not as respected as the royal family\they are all precious lives.\Please reconsider.\The present situation is urgent.\We must take a risky move.\Only then can we turn defeat into victory. response:	If this plan succeeds, the rest can live.
context: The soldiers outside are all descendants of the Celestial Tribe.\Although they're not as respected as the royal family\they are all precious lives.\Please reconsider.\The present situation is urgent.\We must take a risky move.\Only then can we turn defeat into victory.\If this plan succeeds, the rest can live. response:	If we do not make this move
context: Although they're not as respected as the royal family\they are all precious lives.\Please reconsider.\The present situation is urgent.\We must take a risky move.\Only then can we turn defeat into victory.\If this plan succeeds, the rest can live.\If we do not make this move response:	I'm afraid the world will have a new ruler.
context: they are all precious lives.\Please reconsider.\The present situation is urgent.\We must take a risky move.\Only then can we turn defeat into victory.\If this plan succeeds, the rest can live.\If we do not make this move\I'm afraid the world will have a new ruler. response:	I will personally lead the troops and create an opening in their formation.
context: Please reconsider.\The present situation is urgent.\We must take a risky move.\Only then can we turn defeat into victory.\If this plan succeeds, the rest can live.\If we do not make this move\I'm afraid the world will have a new ruler.\I will personally lead the troops and create an opening in their formation. response:	However, I need a brave and skilled military officer
context: The present situation is urgent.\We must take a risky move.\Only then can we turn defeat into victory.\If this plan succeeds, the rest can live.\If we do not make this move\I'm afraid the world will have a new ruler.\I will personally lead the troops and create an opening in their formation.\However, I need a brave and skilled military officer response:	to lead these 100,000 soldiers
context: We must take a risky move.\Only then can we turn defeat into victory.\If this plan succeeds, the rest can live.\If we do not make this move\I'm afraid the world will have a new ruler.\I will personally lead the troops and create an opening in their formation.\However, I need a brave and skilled military officer\to lead these 100,000 soldiers response:	towards the southeast corner to break the enemy's encirclement.
context: Only then can we turn defeat into victory.\If this plan succeeds, the rest can live.\If we do not make this move\I'm afraid the world will have a new ruler.\I will personally lead the troops and create an opening in their formation.\However, I need a brave and skilled military officer\to lead these 100,000 soldiers\towards the southeast corner to break the enemy's encirclement. response:	If it can lure 100,000 soldiers of the Ghost Tribe in pursuit
context: If this plan succeeds, the rest can live.\If we do not make this move\I'm afraid the world will have a new ruler.\I will personally lead the troops and create an opening in their formation.\However, I need a brave and skilled military officer\to lead these 100,000 soldiers\towards the southeast corner to break the enemy's encirclement.\If it can lure 100,000 soldiers of the Ghost Tribe in pursuit response:	it can gain us one last hope at surviving.
context: If we do not make this move\I'm afraid the world will have a new ruler.\I will personally lead the troops and create an opening in their formation.\However, I need a brave and skilled military officer\to lead these 100,000 soldiers\towards the southeast corner to break the enemy's encirclement.\If it can lure 100,000 soldiers of the Ghost Tribe in pursuit\it can gain us one last hope at surviving. response:	Mo Yuan, I am a part of the Celestial Tribe.
context: I'm afraid the world will have a new ruler.\I will personally lead the troops and create an opening in their formation.\However, I need a brave and skilled military officer\to lead these 100,000 soldiers\towards the southeast corner to break the enemy's encirclement.\If it can lure 100,000 soldiers of the Ghost Tribe in pursuit\it can gain us one last hope at surviving.\Mo Yuan, I am a part of the Celestial Tribe. response:	This time, I happen to have brought 100,000 soldiers.
context: I will personally lead the troops and create an opening in their formation.\However, I need a brave and skilled military officer\to lead these 100,000 soldiers\towards the southeast corner to break the enemy's encirclement.\If it can lure 100,000 soldiers of the Ghost Tribe in pursuit\it can gain us one last hope at surviving.\Mo Yuan, I am a part of the Celestial Tribe.\This time, I happen to have brought 100,000 soldiers. response:	My entire clan is willing to clear a path for you!
context: However, I need a brave and skilled military officer\to lead these 100,000 soldiers\towards the southeast corner to break the enemy's encirclement.\If it can lure 100,000 soldiers of the Ghost Tribe in pursuit\it can gain us one last hope at surviving.\Mo Yuan, I am a part of the Celestial Tribe.\This time, I happen to have brought 100,000 soldiers.\My entire clan is willing to clear a path for you! response:	Are you of the Su Jin Clan?
context: to lead these 100,000 soldiers\towards the southeast corner to break the enemy's encirclement.\If it can lure 100,000 soldiers of the Ghost Tribe in pursuit\it can gain us one last hope at surviving.\Mo Yuan, I am a part of the Celestial Tribe.\This time, I happen to have brought 100,000 soldiers.\My entire clan is willing to clear a path for you!\Are you of the Su Jin Clan? response:	That is correct, Su Jin Clan.
context: towards the southeast corner to break the enemy's encirclement.\If it can lure 100,000 soldiers of the Ghost Tribe in pursuit\it can gain us one last hope at surviving.\Mo Yuan, I am a part of the Celestial Tribe.\This time, I happen to have brought 100,000 soldiers.\My entire clan is willing to clear a path for you!\Are you of the Su Jin Clan?\That is correct, Su Jin Clan. response:	Very well.
context: If it can lure 100,000 soldiers of the Ghost Tribe in pursuit\it can gain us one last hope at surviving.\Mo Yuan, I am a part of the Celestial Tribe.\This time, I happen to have brought 100,000 soldiers.\My entire clan is willing to clear a path for you!\Are you of the Su Jin Clan?\That is correct, Su Jin Clan.\Very well. response:	Mo Yuan.
context: it can gain us one last hope at surviving.\Mo Yuan, I am a part of the Celestial Tribe.\This time, I happen to have brought 100,000 soldiers.\My entire clan is willing to clear a path for you!\Are you of the Su Jin Clan?\That is correct, Su Jin Clan.\Very well.\Mo Yuan. response:	In terms of bravery and skill in warfare
context: Mo Yuan, I am a part of the Celestial Tribe.\This time, I happen to have brought 100,000 soldiers.\My entire clan is willing to clear a path for you!\Are you of the Su Jin Clan?\That is correct, Su Jin Clan.\Very well.\Mo Yuan.\In terms of bravery and skill in warfare response:	in this tent, aside from you, there is no other but me.
context: This time, I happen to have brought 100,000 soldiers.\My entire clan is willing to clear a path for you!\Are you of the Su Jin Clan?\That is correct, Su Jin Clan.\Very well.\Mo Yuan.\In terms of bravery and skill in warfare\in this tent, aside from you, there is no other but me. response:	If you send an unknown officer to lead the troops
context: My entire clan is willing to clear a path for you!\Are you of the Su Jin Clan?\That is correct, Su Jin Clan.\Very well.\Mo Yuan.\In terms of bravery and skill in warfare\in this tent, aside from you, there is no other but me.\If you send an unknown officer to lead the troops response:	I'm afraid Qing Cang will not fall for it.
context: Are you of the Su Jin Clan?\That is correct, Su Jin Clan.\Very well.\Mo Yuan.\In terms of bravery and skill in warfare\in this tent, aside from you, there is no other but me.\If you send an unknown officer to lead the troops\I'm afraid Qing Cang will not fall for it. response:	I am willing to personally lead the army of 100,000
context: That is correct, Su Jin Clan.\Very well.\Mo Yuan.\In terms of bravery and skill in warfare\in this tent, aside from you, there is no other but me.\If you send an unknown officer to lead the troops\I'm afraid Qing Cang will not fall for it.\I am willing to personally lead the army of 100,000 response:	and offer one more to the count for you.
context: Very well.\Mo Yuan.\In terms of bravery and skill in warfare\in this tent, aside from you, there is no other but me.\If you send an unknown officer to lead the troops\I'm afraid Qing Cang will not fall for it.\I am willing to personally lead the army of 100,000\and offer one more to the count for you. response:	This path is doomed to have no return.
context: Mo Yuan.\In terms of bravery and skill in warfare\in this tent, aside from you, there is no other but me.\If you send an unknown officer to lead the troops\I'm afraid Qing Cang will not fall for it.\I am willing to personally lead the army of 100,000\and offer one more to the count for you.\This path is doomed to have no return. response:	For the people
context: In terms of bravery and skill in warfare\in this tent, aside from you, there is no other but me.\If you send an unknown officer to lead the troops\I'm afraid Qing Cang will not fall for it.\I am willing to personally lead the army of 100,000\and offer one more to the count for you.\This path is doomed to have no return.\For the people response:	I am willing to accept the order.
context: in this tent, aside from you, there is no other but me.\If you send an unknown officer to lead the troops\I'm afraid Qing Cang will not fall for it.\I am willing to personally lead the army of 100,000\and offer one more to the count for you.\This path is doomed to have no return.\For the people\I am willing to accept the order. response:	Fourth Brother.
context: If you send an unknown officer to lead the troops\I'm afraid Qing Cang will not fall for it.\I am willing to personally lead the army of 100,000\and offer one more to the count for you.\This path is doomed to have no return.\For the people\I am willing to accept the order.\Fourth Brother. response:	If we lose this war
context: I'm afraid Qing Cang will not fall for it.\I am willing to personally lead the army of 100,000\and offer one more to the count for you.\This path is doomed to have no return.\For the people\I am willing to accept the order.\Fourth Brother.\If we lose this war response:	then won't we be letting down Ninth Disciple?
context: I am willing to personally lead the army of 100,000\and offer one more to the count for you.\This path is doomed to have no return.\For the people\I am willing to accept the order.\Fourth Brother.\If we lose this war\then won't we be letting down Ninth Disciple? response:	If Ninth Disciple's parents were to know he already died at Ruoshui Riverbank
context: and offer one more to the count for you.\This path is doomed to have no return.\For the people\I am willing to accept the order.\Fourth Brother.\If we lose this war\then won't we be letting down Ninth Disciple?\If Ninth Disciple's parents were to know he already died at Ruoshui Riverbank response:	how upset would they be?
context: This path is doomed to have no return.\For the people\I am willing to accept the order.\Fourth Brother.\If we lose this war\then won't we be letting down Ninth Disciple?\If Ninth Disciple's parents were to know he already died at Ruoshui Riverbank\how upset would they be? response:	All people eventually die. It is only sooner or later.
context: For the people\I am willing to accept the order.\Fourth Brother.\If we lose this war\then won't we be letting down Ninth Disciple?\If Ninth Disciple's parents were to know he already died at Ruoshui Riverbank\how upset would they be?\All people eventually die. It is only sooner or later. response:	Live with a clear conscience
context: I am willing to accept the order.\Fourth Brother.\If we lose this war\then won't we be letting down Ninth Disciple?\If Ninth Disciple's parents were to know he already died at Ruoshui Riverbank\how upset would they be?\All people eventually die. It is only sooner or later.\Live with a clear conscience response:	then even in death, there will be no loss of dignity.
context: Fourth Brother.\If we lose this war\then won't we be letting down Ninth Disciple?\If Ninth Disciple's parents were to know he already died at Ruoshui Riverbank\how upset would they be?\All people eventually die. It is only sooner or later.\Live with a clear conscience\then even in death, there will be no loss of dignity. response:	His death was worthwhile.
context: If we lose this war\then won't we be letting down Ninth Disciple?\If Ninth Disciple's parents were to know he already died at Ruoshui Riverbank\how upset would they be?\All people eventually die. It is only sooner or later.\Live with a clear conscience\then even in death, there will be no loss of dignity.\His death was worthwhile. response:	I had originally wanted to watch the war from afar
context: then won't we be letting down Ninth Disciple?\If Ninth Disciple's parents were to know he already died at Ruoshui Riverbank\how upset would they be?\All people eventually die. It is only sooner or later.\Live with a clear conscience\then even in death, there will be no loss of dignity.\His death was worthwhile.\I had originally wanted to watch the war from afar response:	but who knew nothing would happen as expected.
context: If Ninth Disciple's parents were to know he already died at Ruoshui Riverbank\how upset would they be?\All people eventually die. It is only sooner or later.\Live with a clear conscience\then even in death, there will be no loss of dignity.\His death was worthwhile.\I had originally wanted to watch the war from afar\but who knew nothing would happen as expected. response:	Fourth Brother, do you know of the Bell of the East Emperor?
context: how upset would they be?\All people eventually die. It is only sooner or later.\Live with a clear conscience\then even in death, there will be no loss of dignity.\His death was worthwhile.\I had originally wanted to watch the war from afar\but who knew nothing would happen as expected.\Fourth Brother, do you know of the Bell of the East Emperor? response:	Yes. I've also seen it when I was young.
