context: Hello! response:	We have pork miso soup and vegetable soup over here!
context: Yeah.\Now that you mention it, I guess she is?\Don't sound so unsure about it!\You blockheaded brutish devil!\A fake?\That Aiba-senpai?\Yeah, but it's not like we have any proof.\But Senpai, you haven't met Aiba-senpai even once after the Tartaros Rose vanished, right? response:	Her phone keeps going to the answering machine,
context: Now that you mention it, I guess she is?\Don't sound so unsure about it!\You blockheaded brutish devil!\A fake?\That Aiba-senpai?\Yeah, but it's not like we have any proof.\But Senpai, you haven't met Aiba-senpai even once after the Tartaros Rose vanished, right?\Her phone keeps going to the answering machine, response:	but she sent messages once in a while, so I wasn't worried.
context: Don't sound so unsure about it!\You blockheaded brutish devil!\A fake?\That Aiba-senpai?\Yeah, but it's not like we have any proof.\But Senpai, you haven't met Aiba-senpai even once after the Tartaros Rose vanished, right?\Her phone keeps going to the answering machine,\but she sent messages once in a while, so I wasn't worried. response:	It would be good if you could speak to her directly.
context: You blockheaded brutish devil!\A fake?\That Aiba-senpai?\Yeah, but it's not like we have any proof.\But Senpai, you haven't met Aiba-senpai even once after the Tartaros Rose vanished, right?\Her phone keeps going to the answering machine,\but she sent messages once in a while, so I wasn't worried.\It would be good if you could speak to her directly. response:	The monorail will be arriving shortly.
context: A fake?\That Aiba-senpai?\Yeah, but it's not like we have any proof.\But Senpai, you haven't met Aiba-senpai even once after the Tartaros Rose vanished, right?\Her phone keeps going to the answering machine,\but she sent messages once in a while, so I wasn't worried.\It would be good if you could speak to her directly.\The monorail will be arriving shortly. response:	Anyway, I'll ask Yaze for advice when I go to see him.
context: That Aiba-senpai?\Yeah, but it's not like we have any proof.\But Senpai, you haven't met Aiba-senpai even once after the Tartaros Rose vanished, right?\Her phone keeps going to the answering machine,\but she sent messages once in a while, so I wasn't worried.\It would be good if you could speak to her directly.\The monorail will be arriving shortly.\Anyway, I'll ask Yaze for advice when I go to see him. response:	He might know what's going on.
context: Yeah, but it's not like we have any proof.\But Senpai, you haven't met Aiba-senpai even once after the Tartaros Rose vanished, right?\Her phone keeps going to the answering machine,\but she sent messages once in a while, so I wasn't worried.\It would be good if you could speak to her directly.\The monorail will be arriving shortly.\Anyway, I'll ask Yaze for advice when I go to see him.\He might know what's going on. response:	Okay.
context: But Senpai, you haven't met Aiba-senpai even once after the Tartaros Rose vanished, right?\Her phone keeps going to the answering machine,\but she sent messages once in a while, so I wasn't worried.\It would be good if you could speak to her directly.\The monorail will be arriving shortly.\Anyway, I'll ask Yaze for advice when I go to see him.\He might know what's going on.\Okay. response:	Oh, are you one of Yaze-kun's friends?
context: Her phone keeps going to the answering machine,\but she sent messages once in a while, so I wasn't worried.\It would be good if you could speak to her directly.\The monorail will be arriving shortly.\Anyway, I'll ask Yaze for advice when I go to see him.\He might know what's going on.\Okay.\Oh, are you one of Yaze-kun's friends? response:	Y-Yes. When was he released from the hospital?
context: but she sent messages once in a while, so I wasn't worried.\It would be good if you could speak to her directly.\The monorail will be arriving shortly.\Anyway, I'll ask Yaze for advice when I go to see him.\He might know what's going on.\Okay.\Oh, are you one of Yaze-kun's friends?\Y-Yes. When was he released from the hospital? response:	He was moved to a different hospital, not released.
context: It would be good if you could speak to her directly.\The monorail will be arriving shortly.\Anyway, I'll ask Yaze for advice when I go to see him.\He might know what's going on.\Okay.\Oh, are you one of Yaze-kun's friends?\Y-Yes. When was he released from the hospital?\He was moved to a different hospital, not released. response:	His brother stopped by last night to pick him up.
context: The monorail will be arriving shortly.\Anyway, I'll ask Yaze for advice when I go to see him.\He might know what's going on.\Okay.\Oh, are you one of Yaze-kun's friends?\Y-Yes. When was he released from the hospital?\He was moved to a different hospital, not released.\His brother stopped by last night to pick him up. response:	Eh? Do you know where he was moved to?
context: Anyway, I'll ask Yaze for advice when I go to see him.\He might know what's going on.\Okay.\Oh, are you one of Yaze-kun's friends?\Y-Yes. When was he released from the hospital?\He was moved to a different hospital, not released.\His brother stopped by last night to pick him up.\Eh? Do you know where he was moved to? response:	I'm sorry, I don't know.
context: He might know what's going on.\Okay.\Oh, are you one of Yaze-kun's friends?\Y-Yes. When was he released from the hospital?\He was moved to a different hospital, not released.\His brother stopped by last night to pick him up.\Eh? Do you know where he was moved to?\I'm sorry, I don't know. response:	Even if I did, I couldn't tell you.
context: Okay.\Oh, are you one of Yaze-kun's friends?\Y-Yes. When was he released from the hospital?\He was moved to a different hospital, not released.\His brother stopped by last night to pick him up.\Eh? Do you know where he was moved to?\I'm sorry, I don't know.\Even if I did, I couldn't tell you. response:	Yeah, I thought so.
context: Oh, are you one of Yaze-kun's friends?\Y-Yes. When was he released from the hospital?\He was moved to a different hospital, not released.\His brother stopped by last night to pick him up.\Eh? Do you know where he was moved to?\I'm sorry, I don't know.\Even if I did, I couldn't tell you.\Yeah, I thought so. response:	He was moved?
context: Y-Yes. When was he released from the hospital?\He was moved to a different hospital, not released.\His brother stopped by last night to pick him up.\Eh? Do you know where he was moved to?\I'm sorry, I don't know.\Even if I did, I couldn't tell you.\Yeah, I thought so.\He was moved? response:	Without saying anything to Senpai?
context: He was moved to a different hospital, not released.\His brother stopped by last night to pick him up.\Eh? Do you know where he was moved to?\I'm sorry, I don't know.\Even if I did, I couldn't tell you.\Yeah, I thought so.\He was moved?\Without saying anything to Senpai? response:	Yeah...
context: His brother stopped by last night to pick him up.\Eh? Do you know where he was moved to?\I'm sorry, I don't know.\Even if I did, I couldn't tell you.\Yeah, I thought so.\He was moved?\Without saying anything to Senpai?\Yeah... response:	How are you doing, Motoki?
context: Eh? Do you know where he was moved to?\I'm sorry, I don't know.\Even if I did, I couldn't tell you.\Yeah, I thought so.\He was moved?\Without saying anything to Senpai?\Yeah...\How are you doing, Motoki? response:	Whats the deal, Bro?
context: I'm sorry, I don't know.\Even if I did, I couldn't tell you.\Yeah, I thought so.\He was moved?\Without saying anything to Senpai?\Yeah...\How are you doing, Motoki?\Whats the deal, Bro? response:	Why did you bring me all the way here?
context: Even if I did, I couldn't tell you.\Yeah, I thought so.\He was moved?\Without saying anything to Senpai?\Yeah...\How are you doing, Motoki?\Whats the deal, Bro?\Why did you bring me all the way here? response:	For security.
context: Yeah, I thought so.\He was moved?\Without saying anything to Senpai?\Yeah...\How are you doing, Motoki?\Whats the deal, Bro?\Why did you bring me all the way here?\For security. response:	I didn't think we could protect you properly in a normal hospital.
context: He was moved?\Without saying anything to Senpai?\Yeah...\How are you doing, Motoki?\Whats the deal, Bro?\Why did you bring me all the way here?\For security.\I didn't think we could protect you properly in a normal hospital. response:	Who the hell would target someone like me?
context: Without saying anything to Senpai?\Yeah...\How are you doing, Motoki?\Whats the deal, Bro?\Why did you bring me all the way here?\For security.\I didn't think we could protect you properly in a normal hospital.\Who the hell would target someone like me? response:	You're going to take over as the Yaze family head.
context: Yeah...\How are you doing, Motoki?\Whats the deal, Bro?\Why did you bring me all the way here?\For security.\I didn't think we could protect you properly in a normal hospital.\Who the hell would target someone like me?\You're going to take over as the Yaze family head. response:	As the replacement for our father, who was supposedly assassinated.
context: How are you doing, Motoki?\Whats the deal, Bro?\Why did you bring me all the way here?\For security.\I didn't think we could protect you properly in a normal hospital.\Who the hell would target someone like me?\You're going to take over as the Yaze family head.\As the replacement for our father, who was supposedly assassinated. response:	There's no way the other people in the family would accept that.
context: Whats the deal, Bro?\Why did you bring me all the way here?\For security.\I didn't think we could protect you properly in a normal hospital.\Who the hell would target someone like me?\You're going to take over as the Yaze family head.\As the replacement for our father, who was supposedly assassinated.\There's no way the other people in the family would accept that. response:	You should do it, Bro.
context: Why did you bring me all the way here?\For security.\I didn't think we could protect you properly in a normal hospital.\Who the hell would target someone like me?\You're going to take over as the Yaze family head.\As the replacement for our father, who was supposedly assassinated.\There's no way the other people in the family would accept that.\You should do it, Bro. response:	I'm the son of his mistress, and can't use the power of the Hyper Adapter.
context: For security.\I didn't think we could protect you properly in a normal hospital.\Who the hell would target someone like me?\You're going to take over as the Yaze family head.\As the replacement for our father, who was supposedly assassinated.\There's no way the other people in the family would accept that.\You should do it, Bro.\I'm the son of his mistress, and can't use the power of the Hyper Adapter. response:	So I can't do it.
context: I didn't think we could protect you properly in a normal hospital.\Who the hell would target someone like me?\You're going to take over as the Yaze family head.\As the replacement for our father, who was supposedly assassinated.\There's no way the other people in the family would accept that.\You should do it, Bro.\I'm the son of his mistress, and can't use the power of the Hyper Adapter.\So I can't do it. response:	But you have what it takes to be the legitimate successor, both in terms of lineage and ability.
context: Who the hell would target someone like me?\You're going to take over as the Yaze family head.\As the replacement for our father, who was supposedly assassinated.\There's no way the other people in the family would accept that.\You should do it, Bro.\I'm the son of his mistress, and can't use the power of the Hyper Adapter.\So I can't do it.\But you have what it takes to be the legitimate successor, both in terms of lineage and ability. response:	You're going to help me out, especially to convince those annoying old men.
context: You're going to take over as the Yaze family head.\As the replacement for our father, who was supposedly assassinated.\There's no way the other people in the family would accept that.\You should do it, Bro.\I'm the son of his mistress, and can't use the power of the Hyper Adapter.\So I can't do it.\But you have what it takes to be the legitimate successor, both in terms of lineage and ability.\You're going to help me out, especially to convince those annoying old men. response:	You really think I'll agree to something like that-
context: As the replacement for our father, who was supposedly assassinated.\There's no way the other people in the family would accept that.\You should do it, Bro.\I'm the son of his mistress, and can't use the power of the Hyper Adapter.\So I can't do it.\But you have what it takes to be the legitimate successor, both in terms of lineage and ability.\You're going to help me out, especially to convince those annoying old men.\You really think I'll agree to something like that- response:	Of course, you are free to abandon your inheritance.
context: There's no way the other people in the family would accept that.\You should do it, Bro.\I'm the son of his mistress, and can't use the power of the Hyper Adapter.\So I can't do it.\But you have what it takes to be the legitimate successor, both in terms of lineage and ability.\You're going to help me out, especially to convince those annoying old men.\You really think I'll agree to something like that-\Of course, you are free to abandon your inheritance. response:	If you do that, you can probably avoid being targeted.
context: You should do it, Bro.\I'm the son of his mistress, and can't use the power of the Hyper Adapter.\So I can't do it.\But you have what it takes to be the legitimate successor, both in terms of lineage and ability.\You're going to help me out, especially to convince those annoying old men.\You really think I'll agree to something like that-\Of course, you are free to abandon your inheritance.\If you do that, you can probably avoid being targeted. response:	But you'll also lose the chance to save your childhood friend, the Priestess of Cain.
context: I'm the son of his mistress, and can't use the power of the Hyper Adapter.\So I can't do it.\But you have what it takes to be the legitimate successor, both in terms of lineage and ability.\You're going to help me out, especially to convince those annoying old men.\You really think I'll agree to something like that-\Of course, you are free to abandon your inheritance.\If you do that, you can probably avoid being targeted.\But you'll also lose the chance to save your childhood friend, the Priestess of Cain. response:	Asagi!?
context: So I can't do it.\But you have what it takes to be the legitimate successor, both in terms of lineage and ability.\You're going to help me out, especially to convince those annoying old men.\You really think I'll agree to something like that-\Of course, you are free to abandon your inheritance.\If you do that, you can probably avoid being targeted.\But you'll also lose the chance to save your childhood friend, the Priestess of Cain.\Asagi!? response:	Right now, we still have time.
context: But you have what it takes to be the legitimate successor, both in terms of lineage and ability.\You're going to help me out, especially to convince those annoying old men.\You really think I'll agree to something like that-\Of course, you are free to abandon your inheritance.\If you do that, you can probably avoid being targeted.\But you'll also lose the chance to save your childhood friend, the Priestess of Cain.\Asagi!?\Right now, we still have time. response:	If you agree to help us, that is.
context: You're going to help me out, especially to convince those annoying old men.\You really think I'll agree to something like that-\Of course, you are free to abandon your inheritance.\If you do that, you can probably avoid being targeted.\But you'll also lose the chance to save your childhood friend, the Priestess of Cain.\Asagi!?\Right now, we still have time.\If you agree to help us, that is. response:	Us?
context: You really think I'll agree to something like that-\Of course, you are free to abandon your inheritance.\If you do that, you can probably avoid being targeted.\But you'll also lose the chance to save your childhood friend, the Priestess of Cain.\Asagi!?\Right now, we still have time.\If you agree to help us, that is.\Us? response:	Have you finished talking to your guardian?
context: Of course, you are free to abandon your inheritance.\If you do that, you can probably avoid being targeted.\But you'll also lose the chance to save your childhood friend, the Priestess of Cain.\Asagi!?\Right now, we still have time.\If you agree to help us, that is.\Us?\Have you finished talking to your guardian? response:	Why are you...
context: If you do that, you can probably avoid being targeted.\But you'll also lose the chance to save your childhood friend, the Priestess of Cain.\Asagi!?\Right now, we still have time.\If you agree to help us, that is.\Us?\Have you finished talking to your guardian?\Why are you... response:	I have a debt to pay to your father and the current board members of the Island Administration.
context: But you'll also lose the chance to save your childhood friend, the Priestess of Cain.\Asagi!?\Right now, we still have time.\If you agree to help us, that is.\Us?\Have you finished talking to your guardian?\Why are you...\I have a debt to pay to your father and the current board members of the Island Administration. response:	If you're worried about your future, I might be willing to hear you out.
context: Asagi!?\Right now, we still have time.\If you agree to help us, that is.\Us?\Have you finished talking to your guardian?\Why are you...\I have a debt to pay to your father and the current board members of the Island Administration.\If you're worried about your future, I might be willing to hear you out. response:	The fact that I received this means... Yukina and I are once again roommates!
context: Right now, we still have time.\If you agree to help us, that is.\Us?\Have you finished talking to your guardian?\Why are you...\I have a debt to pay to your father and the current board members of the Island Administration.\If you're worried about your future, I might be willing to hear you out.\The fact that I received this means... Yukina and I are once again roommates! response:	It means that the Lion King Organization officially accepted that we can live together, right?
context: If you agree to help us, that is.\Us?\Have you finished talking to your guardian?\Why are you...\I have a debt to pay to your father and the current board members of the Island Administration.\If you're worried about your future, I might be willing to hear you out.\The fact that I received this means... Yukina and I are once again roommates!\It means that the Lion King Organization officially accepted that we can live together, right? response:	I don't like that Akatsuki Kojou lives next door, but oh well.
context: Us?\Have you finished talking to your guardian?\Why are you...\I have a debt to pay to your father and the current board members of the Island Administration.\If you're worried about your future, I might be willing to hear you out.\The fact that I received this means... Yukina and I are once again roommates!\It means that the Lion King Organization officially accepted that we can live together, right?\I don't like that Akatsuki Kojou lives next door, but oh well. response:	If it's something like waking him up when he oversleeps or eating together,
context: Have you finished talking to your guardian?\Why are you...\I have a debt to pay to your father and the current board members of the Island Administration.\If you're worried about your future, I might be willing to hear you out.\The fact that I received this means... Yukina and I are once again roommates!\It means that the Lion King Organization officially accepted that we can live together, right?\I don't like that Akatsuki Kojou lives next door, but oh well.\If it's something like waking him up when he oversleeps or eating together, response:	I don't mind doing that.
context: Why are you...\I have a debt to pay to your father and the current board members of the Island Administration.\If you're worried about your future, I might be willing to hear you out.\The fact that I received this means... Yukina and I are once again roommates!\It means that the Lion King Organization officially accepted that we can live together, right?\I don't like that Akatsuki Kojou lives next door, but oh well.\If it's something like waking him up when he oversleeps or eating together,\I don't mind doing that. response:	Sorry Yukina, but I'm coming in.
context: I have a debt to pay to your father and the current board members of the Island Administration.\If you're worried about your future, I might be willing to hear you out.\The fact that I received this means... Yukina and I are once again roommates!\It means that the Lion King Organization officially accepted that we can live together, right?\I don't like that Akatsuki Kojou lives next door, but oh well.\If it's something like waking him up when he oversleeps or eating together,\I don't mind doing that.\Sorry Yukina, but I'm coming in. response:	This pisses me off for some reason.
context: If you're worried about your future, I might be willing to hear you out.\The fact that I received this means... Yukina and I are once again roommates!\It means that the Lion King Organization officially accepted that we can live together, right?\I don't like that Akatsuki Kojou lives next door, but oh well.\If it's something like waking him up when he oversleeps or eating together,\I don't mind doing that.\Sorry Yukina, but I'm coming in.\This pisses me off for some reason. response:	Stupid Akatsuki Kojou.
context: The fact that I received this means... Yukina and I are once again roommates!\It means that the Lion King Organization officially accepted that we can live together, right?\I don't like that Akatsuki Kojou lives next door, but oh well.\If it's something like waking him up when he oversleeps or eating together,\I don't mind doing that.\Sorry Yukina, but I'm coming in.\This pisses me off for some reason.\Stupid Akatsuki Kojou. response:	What is this?
context: It means that the Lion King Organization officially accepted that we can live together, right?\I don't like that Akatsuki Kojou lives next door, but oh well.\If it's something like waking him up when he oversleeps or eating together,\I don't mind doing that.\Sorry Yukina, but I'm coming in.\This pisses me off for some reason.\Stupid Akatsuki Kojou.\What is this? response:	A preliminary test kit?
context: I don't like that Akatsuki Kojou lives next door, but oh well.\If it's something like waking him up when he oversleeps or eating together,\I don't mind doing that.\Sorry Yukina, but I'm coming in.\This pisses me off for some reason.\Stupid Akatsuki Kojou.\What is this?\A preliminary test kit? response:	Yukina!
context: If it's something like waking him up when he oversleeps or eating together,\I don't mind doing that.\Sorry Yukina, but I'm coming in.\This pisses me off for some reason.\Stupid Akatsuki Kojou.\What is this?\A preliminary test kit?\Yukina! response:	A permit!?
context: I don't mind doing that.\Sorry Yukina, but I'm coming in.\This pisses me off for some reason.\Stupid Akatsuki Kojou.\What is this?\A preliminary test kit?\Yukina!\A permit!? response:	Yes. I'm sorry, but you need a permit from the Man-made Island Administration to go any further.
context: Sorry Yukina, but I'm coming in.\This pisses me off for some reason.\Stupid Akatsuki Kojou.\What is this?\A preliminary test kit?\Yukina!\A permit!?\Yes. I'm sorry, but you need a permit from the Man-made Island Administration to go any further. response:	Hey, come on!
context: This pisses me off for some reason.\Stupid Akatsuki Kojou.\What is this?\A preliminary test kit?\Yukina!\A permit!?\Yes. I'm sorry, but you need a permit from the Man-made Island Administration to go any further.\Hey, come on! response:	I just want to visit Asagi- I mean, one of my friends.
context: Stupid Akatsuki Kojou.\What is this?\A preliminary test kit?\Yukina!\A permit!?\Yes. I'm sorry, but you need a permit from the Man-made Island Administration to go any further.\Hey, come on!\I just want to visit Asagi- I mean, one of my friends. response:	Why would I need a permit for that?
context: What is this?\A preliminary test kit?\Yukina!\A permit!?\Yes. I'm sorry, but you need a permit from the Man-made Island Administration to go any further.\Hey, come on!\I just want to visit Asagi- I mean, one of my friends.\Why would I need a permit for that? response:	Senpai, let's go.
context: A preliminary test kit?\Yukina!\A permit!?\Yes. I'm sorry, but you need a permit from the Man-made Island Administration to go any further.\Hey, come on!\I just want to visit Asagi- I mean, one of my friends.\Why would I need a permit for that?\Senpai, let's go. response:	Fine. I'll come back some other time.
context: Yukina!\A permit!?\Yes. I'm sorry, but you need a permit from the Man-made Island Administration to go any further.\Hey, come on!\I just want to visit Asagi- I mean, one of my friends.\Why would I need a permit for that?\Senpai, let's go.\Fine. I'll come back some other time. response:	Thank you for your cooperation.
context: A permit!?\Yes. I'm sorry, but you need a permit from the Man-made Island Administration to go any further.\Hey, come on!\I just want to visit Asagi- I mean, one of my friends.\Why would I need a permit for that?\Senpai, let's go.\Fine. I'll come back some other time.\Thank you for your cooperation. response:	This is starting to get shady.
context: Yes. I'm sorry, but you need a permit from the Man-made Island Administration to go any further.\Hey, come on!\I just want to visit Asagi- I mean, one of my friends.\Why would I need a permit for that?\Senpai, let's go.\Fine. I'll come back some other time.\Thank you for your cooperation.\This is starting to get shady. response:	Y-You're right.
context: Hey, come on!\I just want to visit Asagi- I mean, one of my friends.\Why would I need a permit for that?\Senpai, let's go.\Fine. I'll come back some other time.\Thank you for your cooperation.\This is starting to get shady.\Y-You're right. response:	What's wrong?
context: I just want to visit Asagi- I mean, one of my friends.\Why would I need a permit for that?\Senpai, let's go.\Fine. I'll come back some other time.\Thank you for your cooperation.\This is starting to get shady.\Y-You're right.\What's wrong? response:	You don't look well.
context: Why would I need a permit for that?\Senpai, let's go.\Fine. I'll come back some other time.\Thank you for your cooperation.\This is starting to get shady.\Y-You're right.\What's wrong?\You don't look well. response:	It's nothing.
context: Senpai, let's go.\Fine. I'll come back some other time.\Thank you for your cooperation.\This is starting to get shady.\Y-You're right.\What's wrong?\You don't look well.\It's nothing. response:	It's been getting a little cold lately.
context: Fine. I'll come back some other time.\Thank you for your cooperation.\This is starting to get shady.\Y-You're right.\What's wrong?\You don't look well.\It's nothing.\It's been getting a little cold lately. response:	Cold...?
context: Thank you for your cooperation.\This is starting to get shady.\Y-You're right.\What's wrong?\You don't look well.\It's nothing.\It's been getting a little cold lately.\Cold...? response:	That reminds me, Himeragi, did you eat properly?
context: This is starting to get shady.\Y-You're right.\What's wrong?\You don't look well.\It's nothing.\It's been getting a little cold lately.\Cold...?\That reminds me, Himeragi, did you eat properly? response:	Let's go to a restaurant somewhere...
context: Y-You're right.\What's wrong?\You don't look well.\It's nothing.\It's been getting a little cold lately.\Cold...?\That reminds me, Himeragi, did you eat properly?\Let's go to a restaurant somewhere... response:	No, I'm fine-
context: What's wrong?\You don't look well.\It's nothing.\It's been getting a little cold lately.\Cold...?\That reminds me, Himeragi, did you eat properly?\Let's go to a restaurant somewhere...\No, I'm fine- response:	You're definitely not okay!
context: You don't look well.\It's nothing.\It's been getting a little cold lately.\Cold...?\That reminds me, Himeragi, did you eat properly?\Let's go to a restaurant somewhere...\No, I'm fine-\You're definitely not okay! response:	You should probably go home for a bit-
context: It's nothing.\It's been getting a little cold lately.\Cold...?\That reminds me, Himeragi, did you eat properly?\Let's go to a restaurant somewhere...\No, I'm fine-\You're definitely not okay!\You should probably go home for a bit- response:	Please step back.
context: It's been getting a little cold lately.\Cold...?\That reminds me, Himeragi, did you eat properly?\Let's go to a restaurant somewhere...\No, I'm fine-\You're definitely not okay!\You should probably go home for a bit-\Please step back. response:	This is a barrier that keeps people away.
context: Cold...?\That reminds me, Himeragi, did you eat properly?\Let's go to a restaurant somewhere...\No, I'm fine-\You're definitely not okay!\You should probably go home for a bit-\Please step back.\This is a barrier that keeps people away. response:	Who is that?
context: That reminds me, Himeragi, did you eat properly?\Let's go to a restaurant somewhere...\No, I'm fine-\You're definitely not okay!\You should probably go home for a bit-\Please step back.\This is a barrier that keeps people away.\Who is that? response:	Senpai, be careful. That person is dangerous.
context: Let's go to a restaurant somewhere...\No, I'm fine-\You're definitely not okay!\You should probably go home for a bit-\Please step back.\This is a barrier that keeps people away.\Who is that?\Senpai, be careful. That person is dangerous. response:	What?
context: No, I'm fine-\You're definitely not okay!\You should probably go home for a bit-\Please step back.\This is a barrier that keeps people away.\Who is that?\Senpai, be careful. That person is dangerous.\What? response:	Sekkarou!
context: You're definitely not okay!\You should probably go home for a bit-\Please step back.\This is a barrier that keeps people away.\Who is that?\Senpai, be careful. That person is dangerous.\What?\Sekkarou! response:	Senpai!
context: You should probably go home for a bit-\Please step back.\This is a barrier that keeps people away.\Who is that?\Senpai, be careful. That person is dangerous.\What?\Sekkarou!\Senpai! response:	I, Sword Shaman of the High God and priestess of the Lion, beseech thee!
context: Please step back.\This is a barrier that keeps people away.\Who is that?\Senpai, be careful. That person is dangerous.\What?\Sekkarou!\Senpai!\I, Sword Shaman of the High God and priestess of the Lion, beseech thee! response:	Too slow.
context: This is a barrier that keeps people away.\Who is that?\Senpai, be careful. That person is dangerous.\What?\Sekkarou!\Senpai!\I, Sword Shaman of the High God and priestess of the Lion, beseech thee!\Too slow. response:	Himeragi!
context: Who is that?\Senpai, be careful. That person is dangerous.\What?\Sekkarou!\Senpai!\I, Sword Shaman of the High God and priestess of the Lion, beseech thee!\Too slow.\Himeragi! response:	The Spirit Bow technique... It can't be!
context: Senpai, be careful. That person is dangerous.\What?\Sekkarou!\Senpai!\I, Sword Shaman of the High God and priestess of the Lion, beseech thee!\Too slow.\Himeragi!\The Spirit Bow technique... It can't be! response:	I need you to calm down for a while, Fourth Primogenitor.
context: What?\Sekkarou!\Senpai!\I, Sword Shaman of the High God and priestess of the Lion, beseech thee!\Too slow.\Himeragi!\The Spirit Bow technique... It can't be!\I need you to calm down for a while, Fourth Primogenitor. response:	Sen...pai?
context: Sekkarou!\Senpai!\I, Sword Shaman of the High God and priestess of the Lion, beseech thee!\Too slow.\Himeragi!\The Spirit Bow technique... It can't be!\I need you to calm down for a while, Fourth Primogenitor.\Sen...pai? response:	Sen...pai...
context: Senpai!\I, Sword Shaman of the High God and priestess of the Lion, beseech thee!\Too slow.\Himeragi!\The Spirit Bow technique... It can't be!\I need you to calm down for a while, Fourth Primogenitor.\Sen...pai?\Sen...pai... response:	Himeragi!
context: I, Sword Shaman of the High God and priestess of the Lion, beseech thee!\Too slow.\Himeragi!\The Spirit Bow technique... It can't be!\I need you to calm down for a while, Fourth Primogenitor.\Sen...pai?\Sen...pai...\Himeragi! response:	Get a hold of yourself, Himeragi!
context: Too slow.\Himeragi!\The Spirit Bow technique... It can't be!\I need you to calm down for a while, Fourth Primogenitor.\Sen...pai?\Sen...pai...\Himeragi!\Get a hold of yourself, Himeragi! response:	My word.
context: Himeragi!\The Spirit Bow technique... It can't be!\I need you to calm down for a while, Fourth Primogenitor.\Sen...pai?\Sen...pai...\Himeragi!\Get a hold of yourself, Himeragi!\My word. response:	I had an inkling ever since I heard that you used Divine Possession against Minamiya Natsuki, but...
context: The Spirit Bow technique... It can't be!\I need you to calm down for a while, Fourth Primogenitor.\Sen...pai?\Sen...pai...\Himeragi!\Get a hold of yourself, Himeragi!\My word.\I had an inkling ever since I heard that you used Divine Possession against Minamiya Natsuki, but... response:	That power... So it was like that after all, Yukina?
context: I need you to calm down for a while, Fourth Primogenitor.\Sen...pai?\Sen...pai...\Himeragi!\Get a hold of yourself, Himeragi!\My word.\I had an inkling ever since I heard that you used Divine Possession against Minamiya Natsuki, but...\That power... So it was like that after all, Yukina? response:	You...
context: Sen...pai?\Sen...pai...\Himeragi!\Get a hold of yourself, Himeragi!\My word.\I had an inkling ever since I heard that you used Divine Possession against Minamiya Natsuki, but...\That power... So it was like that after all, Yukina?\You... response:	Shike-sama...
context: Sen...pai...\Himeragi!\Get a hold of yourself, Himeragi!\My word.\I had an inkling ever since I heard that you used Divine Possession against Minamiya Natsuki, but...\That power... So it was like that after all, Yukina?\You...\Shike-sama... response:	Wait... Shike-sama? Huh?
context: Himeragi!\Get a hold of yourself, Himeragi!\My word.\I had an inkling ever since I heard that you used Divine Possession against Minamiya Natsuki, but...\That power... So it was like that after all, Yukina?\You...\Shike-sama...\Wait... Shike-sama? Huh? response:	Don't tell me, you're the real Nyanko-sensei!?
context: Get a hold of yourself, Himeragi!\My word.\I had an inkling ever since I heard that you used Divine Possession against Minamiya Natsuki, but...\That power... So it was like that after all, Yukina?\You...\Shike-sama...\Wait... Shike-sama? Huh?\Don't tell me, you're the real Nyanko-sensei!? response:	It's not like you were unaware of it...
context: My word.\I had an inkling ever since I heard that you used Divine Possession against Minamiya Natsuki, but...\That power... So it was like that after all, Yukina?\You...\Shike-sama...\Wait... Shike-sama? Huh?\Don't tell me, you're the real Nyanko-sensei!?\It's not like you were unaware of it... response:	Now then, what should we do about this?
context: I had an inkling ever since I heard that you used Divine Possession against Minamiya Natsuki, but...\That power... So it was like that after all, Yukina?\You...\Shike-sama...\Wait... Shike-sama? Huh?\Don't tell me, you're the real Nyanko-sensei!?\It's not like you were unaware of it...\Now then, what should we do about this? response:	Now that I have seen it with my own eyes, I can't just let this pass.
context: That power... So it was like that after all, Yukina?\You...\Shike-sama...\Wait... Shike-sama? Huh?\Don't tell me, you're the real Nyanko-sensei!?\It's not like you were unaware of it...\Now then, what should we do about this?\Now that I have seen it with my own eyes, I can't just let this pass. response:	No, Shike-sama! I can still...!
context: You...\Shike-sama...\Wait... Shike-sama? Huh?\Don't tell me, you're the real Nyanko-sensei!?\It's not like you were unaware of it...\Now then, what should we do about this?\Now that I have seen it with my own eyes, I can't just let this pass.\No, Shike-sama! I can still...! response:	Yukina.
context: Shike-sama...\Wait... Shike-sama? Huh?\Don't tell me, you're the real Nyanko-sensei!?\It's not like you were unaware of it...\Now then, what should we do about this?\Now that I have seen it with my own eyes, I can't just let this pass.\No, Shike-sama! I can still...!\Yukina. response:	Hang on, you two! What are you talking about!?
context: Wait... Shike-sama? Huh?\Don't tell me, you're the real Nyanko-sensei!?\It's not like you were unaware of it...\Now then, what should we do about this?\Now that I have seen it with my own eyes, I can't just let this pass.\No, Shike-sama! I can still...!\Yukina.\Hang on, you two! What are you talking about!? response:	We're running away, Senpai!
context: Don't tell me, you're the real Nyanko-sensei!?\It's not like you were unaware of it...\Now then, what should we do about this?\Now that I have seen it with my own eyes, I can't just let this pass.\No, Shike-sama! I can still...!\Yukina.\Hang on, you two! What are you talking about!?\We're running away, Senpai! response:	Eh?
