context: The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: Don't you think it's more fun if everyone bathes together?\Commander! What are you doing?\Cleaning the bathroom.\But today is Noel's turn!\But she looks tired today.\Commander, if you're like that, the recruit will never learn discipline!\I'll do it later, so be commander-like and stay firm!\Now then, take a good look! response:	This is the tank deployed for Platoon 1121's use.
context: Commander! What are you doing?\Cleaning the bathroom.\But today is Noel's turn!\But she looks tired today.\Commander, if you're like that, the recruit will never learn discipline!\I'll do it later, so be commander-like and stay firm!\Now then, take a good look!\This is the tank deployed for Platoon 1121's use. response:	Vector Zero Series Autonomous Walker Tank, the Takemikadzuchi.
context: Cleaning the bathroom.\But today is Noel's turn!\But she looks tired today.\Commander, if you're like that, the recruit will never learn discipline!\I'll do it later, so be commander-like and stay firm!\Now then, take a good look!\This is the tank deployed for Platoon 1121's use.\Vector Zero Series Autonomous Walker Tank, the Takemikadzuchi. response:	It's so much bigger than the ones at training!
context: But today is Noel's turn!\But she looks tired today.\Commander, if you're like that, the recruit will never learn discipline!\I'll do it later, so be commander-like and stay firm!\Now then, take a good look!\This is the tank deployed for Platoon 1121's use.\Vector Zero Series Autonomous Walker Tank, the Takemikadzuchi.\It's so much bigger than the ones at training! response:	This is one of those zero-generation tanks.
context: But she looks tired today.\Commander, if you're like that, the recruit will never learn discipline!\I'll do it later, so be commander-like and stay firm!\Now then, take a good look!\This is the tank deployed for Platoon 1121's use.\Vector Zero Series Autonomous Walker Tank, the Takemikadzuchi.\It's so much bigger than the ones at training!\This is one of those zero-generation tanks. response:	There are less than ten still in operation in the country. A treasure from the past.
context: Commander, if you're like that, the recruit will never learn discipline!\I'll do it later, so be commander-like and stay firm!\Now then, take a good look!\This is the tank deployed for Platoon 1121's use.\Vector Zero Series Autonomous Walker Tank, the Takemikadzuchi.\It's so much bigger than the ones at training!\This is one of those zero-generation tanks.\There are less than ten still in operation in the country. A treasure from the past. response:	I've heard about them.
context: I'll do it later, so be commander-like and stay firm!\Now then, take a good look!\This is the tank deployed for Platoon 1121's use.\Vector Zero Series Autonomous Walker Tank, the Takemikadzuchi.\It's so much bigger than the ones at training!\This is one of those zero-generation tanks.\There are less than ten still in operation in the country. A treasure from the past.\I've heard about them. response:	They're supposed to be really amazing.
context: Now then, take a good look!\This is the tank deployed for Platoon 1121's use.\Vector Zero Series Autonomous Walker Tank, the Takemikadzuchi.\It's so much bigger than the ones at training!\This is one of those zero-generation tanks.\There are less than ten still in operation in the country. A treasure from the past.\I've heard about them.\They're supposed to be really amazing. response:	But its legs...
context: This is the tank deployed for Platoon 1121's use.\Vector Zero Series Autonomous Walker Tank, the Takemikadzuchi.\It's so much bigger than the ones at training!\This is one of those zero-generation tanks.\There are less than ten still in operation in the country. A treasure from the past.\I've heard about them.\They're supposed to be really amazing.\But its legs... response:	It's undergoing repairs, but we don't have enough parts.
context: Vector Zero Series Autonomous Walker Tank, the Takemikadzuchi.\It's so much bigger than the ones at training!\This is one of those zero-generation tanks.\There are less than ten still in operation in the country. A treasure from the past.\I've heard about them.\They're supposed to be really amazing.\But its legs...\It's undergoing repairs, but we don't have enough parts. response:	And we don't have the servicing manual and we can't find any parts for it,
context: It's so much bigger than the ones at training!\This is one of those zero-generation tanks.\There are less than ten still in operation in the country. A treasure from the past.\I've heard about them.\They're supposed to be really amazing.\But its legs...\It's undergoing repairs, but we don't have enough parts.\And we don't have the servicing manual and we can't find any parts for it, response:	but Noel is doing something about it, so don't worry.
context: This is one of those zero-generation tanks.\There are less than ten still in operation in the country. A treasure from the past.\I've heard about them.\They're supposed to be really amazing.\But its legs...\It's undergoing repairs, but we don't have enough parts.\And we don't have the servicing manual and we can't find any parts for it,\but Noel is doing something about it, so don't worry. response:	It's not just decoration!
context: There are less than ten still in operation in the country. A treasure from the past.\I've heard about them.\They're supposed to be really amazing.\But its legs...\It's undergoing repairs, but we don't have enough parts.\And we don't have the servicing manual and we can't find any parts for it,\but Noel is doing something about it, so don't worry.\It's not just decoration! response:	I'm sure that someday...
context: I've heard about them.\They're supposed to be really amazing.\But its legs...\It's undergoing repairs, but we don't have enough parts.\And we don't have the servicing manual and we can't find any parts for it,\but Noel is doing something about it, so don't worry.\It's not just decoration!\I'm sure that someday... response:	This tank... I'm sure...
context: They're supposed to be really amazing.\But its legs...\It's undergoing repairs, but we don't have enough parts.\And we don't have the servicing manual and we can't find any parts for it,\but Noel is doing something about it, so don't worry.\It's not just decoration!\I'm sure that someday...\This tank... I'm sure... response:	Don't laugh at us.
context: But its legs...\It's undergoing repairs, but we don't have enough parts.\And we don't have the servicing manual and we can't find any parts for it,\but Noel is doing something about it, so don't worry.\It's not just decoration!\I'm sure that someday...\This tank... I'm sure...\Don't laugh at us. response:	We're lax.
context: It's undergoing repairs, but we don't have enough parts.\And we don't have the servicing manual and we can't find any parts for it,\but Noel is doing something about it, so don't worry.\It's not just decoration!\I'm sure that someday...\This tank... I'm sure...\Don't laugh at us.\We're lax. response:	Yeah, our unit is completely lax.
context: And we don't have the servicing manual and we can't find any parts for it,\but Noel is doing something about it, so don't worry.\It's not just decoration!\I'm sure that someday...\This tank... I'm sure...\Don't laugh at us.\We're lax.\Yeah, our unit is completely lax. response:	They even call us Seize's extra baggage or a decoration.
context: but Noel is doing something about it, so don't worry.\It's not just decoration!\I'm sure that someday...\This tank... I'm sure...\Don't laugh at us.\We're lax.\Yeah, our unit is completely lax.\They even call us Seize's extra baggage or a decoration. response:	We've got pink epaulettes but we don't even have an operational tank.
context: It's not just decoration!\I'm sure that someday...\This tank... I'm sure...\Don't laugh at us.\We're lax.\Yeah, our unit is completely lax.\They even call us Seize's extra baggage or a decoration.\We've got pink epaulettes but we don't even have an operational tank. response:	But...
context: I'm sure that someday...\This tank... I'm sure...\Don't laugh at us.\We're lax.\Yeah, our unit is completely lax.\They even call us Seize's extra baggage or a decoration.\We've got pink epaulettes but we don't even have an operational tank.\But... response:	Kureha.
context: This tank... I'm sure...\Don't laugh at us.\We're lax.\Yeah, our unit is completely lax.\They even call us Seize's extra baggage or a decoration.\We've got pink epaulettes but we don't even have an operational tank.\But...\Kureha. response:	That's it for the tour!
context: Don't laugh at us.\We're lax.\Yeah, our unit is completely lax.\They even call us Seize's extra baggage or a decoration.\We've got pink epaulettes but we don't even have an operational tank.\But...\Kureha.\That's it for the tour! response:	Dismissed!
context: We're lax.\Yeah, our unit is completely lax.\They even call us Seize's extra baggage or a decoration.\We've got pink epaulettes but we don't even have an operational tank.\But...\Kureha.\That's it for the tour!\Dismissed! response:	Looks like they're already getting along.
context: Yeah, our unit is completely lax.\They even call us Seize's extra baggage or a decoration.\We've got pink epaulettes but we don't even have an operational tank.\But...\Kureha.\That's it for the tour!\Dismissed!\Looks like they're already getting along. response:	Are they?
context: They even call us Seize's extra baggage or a decoration.\We've got pink epaulettes but we don't even have an operational tank.\But...\Kureha.\That's it for the tour!\Dismissed!\Looks like they're already getting along.\Are they? response:	Just like us when we had just met.
context: We've got pink epaulettes but we don't even have an operational tank.\But...\Kureha.\That's it for the tour!\Dismissed!\Looks like they're already getting along.\Are they?\Just like us when we had just met. response:	Aren't they.
context: But...\Kureha.\That's it for the tour!\Dismissed!\Looks like they're already getting along.\Are they?\Just like us when we had just met.\Aren't they. response:	But there's a bit of a problem.
context: Kureha.\That's it for the tour!\Dismissed!\Looks like they're already getting along.\Are they?\Just like us when we had just met.\Aren't they.\But there's a bit of a problem. response:	After you sent Kanata to sleep last night...
context: That's it for the tour!\Dismissed!\Looks like they're already getting along.\Are they?\Just like us when we had just met.\Aren't they.\But there's a bit of a problem.\After you sent Kanata to sleep last night... response:	Commander, why did we get communications personnel?
context: Dismissed!\Looks like they're already getting along.\Are they?\Just like us when we had just met.\Aren't they.\But there's a bit of a problem.\After you sent Kanata to sleep last night...\Commander, why did we get communications personnel? response:	You said the new recruit would be a loader or a pilot!
context: Looks like they're already getting along.\Are they?\Just like us when we had just met.\Aren't they.\But there's a bit of a problem.\After you sent Kanata to sleep last night...\Commander, why did we get communications personnel?\You said the new recruit would be a loader or a pilot! response:	I can't do anything.
context: Are they?\Just like us when we had just met.\Aren't they.\But there's a bit of a problem.\After you sent Kanata to sleep last night...\Commander, why did we get communications personnel?\You said the new recruit would be a loader or a pilot!\I can't do anything. response:	Headquarters sent her to us.
context: Just like us when we had just met.\Aren't they.\But there's a bit of a problem.\After you sent Kanata to sleep last night...\Commander, why did we get communications personnel?\You said the new recruit would be a loader or a pilot!\I can't do anything.\Headquarters sent her to us. response:	You can't always get what you want.
context: Aren't they.\But there's a bit of a problem.\After you sent Kanata to sleep last night...\Commander, why did we get communications personnel?\You said the new recruit would be a loader or a pilot!\I can't do anything.\Headquarters sent her to us.\You can't always get what you want. response:	But...
context: But there's a bit of a problem.\After you sent Kanata to sleep last night...\Commander, why did we get communications personnel?\You said the new recruit would be a loader or a pilot!\I can't do anything.\Headquarters sent her to us.\You can't always get what you want.\But... response:	There, there now. It's okay.
context: After you sent Kanata to sleep last night...\Commander, why did we get communications personnel?\You said the new recruit would be a loader or a pilot!\I can't do anything.\Headquarters sent her to us.\You can't always get what you want.\But...\There, there now. It's okay. response:	Rio will take care of you the way she always has.
context: Commander, why did we get communications personnel?\You said the new recruit would be a loader or a pilot!\I can't do anything.\Headquarters sent her to us.\You can't always get what you want.\But...\There, there now. It's okay.\Rio will take care of you the way she always has. response:	Just like she always has.
context: You said the new recruit would be a loader or a pilot!\I can't do anything.\Headquarters sent her to us.\You can't always get what you want.\But...\There, there now. It's okay.\Rio will take care of you the way she always has.\Just like she always has. response:	And I will, too.
context: I can't do anything.\Headquarters sent her to us.\You can't always get what you want.\But...\There, there now. It's okay.\Rio will take care of you the way she always has.\Just like she always has.\And I will, too. response:	She's young, but she has good intuition.
context: Headquarters sent her to us.\You can't always get what you want.\But...\There, there now. It's okay.\Rio will take care of you the way she always has.\Just like she always has.\And I will, too.\She's young, but she has good intuition. response:	She might already know.
context: You can't always get what you want.\But...\There, there now. It's okay.\Rio will take care of you the way she always has.\Just like she always has.\And I will, too.\She's young, but she has good intuition.\She might already know. response:	You think?
context: But...\There, there now. It's okay.\Rio will take care of you the way she always has.\Just like she always has.\And I will, too.\She's young, but she has good intuition.\She might already know.\You think? response:	We have to do something.
context: There, there now. It's okay.\Rio will take care of you the way she always has.\Just like she always has.\And I will, too.\She's young, but she has good intuition.\She might already know.\You think?\We have to do something. response:	It appeared.
context: Rio will take care of you the way she always has.\Just like she always has.\And I will, too.\She's young, but she has good intuition.\She might already know.\You think?\We have to do something.\It appeared. response:	What appeared?
context: Just like she always has.\And I will, too.\She's young, but she has good intuition.\She might already know.\You think?\We have to do something.\It appeared.\What appeared? response:	Sound of the Skies
context: And I will, too.\She's young, but she has good intuition.\She might already know.\You think?\We have to do something.\It appeared.\What appeared?\Sound of the Skies response:	Sound of the Skies
context: She's young, but she has good intuition.\She might already know.\You think?\We have to do something.\It appeared.\What appeared?\Sound of the Skies\Sound of the Skies response:	A ghost?
context: She might already know.\You think?\We have to do something.\It appeared.\What appeared?\Sound of the Skies\Sound of the Skies\A ghost? response:	Don't be stupid.
context: You think?\We have to do something.\It appeared.\What appeared?\Sound of the Skies\Sound of the Skies\A ghost?\Don't be stupid. response:	You were seeing things half asleep.
context: We have to do something.\It appeared.\What appeared?\Sound of the Skies\Sound of the Skies\A ghost?\Don't be stupid.\You were seeing things half asleep. response:	I thought so.
context: It appeared.\What appeared?\Sound of the Skies\Sound of the Skies\A ghost?\Don't be stupid.\You were seeing things half asleep.\I thought so. response:	What do you mean, you thought so?
context: What appeared?\Sound of the Skies\Sound of the Skies\A ghost?\Don't be stupid.\You were seeing things half asleep.\I thought so.\What do you mean, you thought so? response:	I saw the ghost, too.
context: Sound of the Skies\Sound of the Skies\A ghost?\Don't be stupid.\You were seeing things half asleep.\I thought so.\What do you mean, you thought so?\I saw the ghost, too. response:	It's in the barracks, right?
context: Sound of the Skies\A ghost?\Don't be stupid.\You were seeing things half asleep.\I thought so.\What do you mean, you thought so?\I saw the ghost, too.\It's in the barracks, right? response:	Why are you going along with her?
context: A ghost?\Don't be stupid.\You were seeing things half asleep.\I thought so.\What do you mean, you thought so?\I saw the ghost, too.\It's in the barracks, right?\Why are you going along with her? response:	But it's normal for ghosts to be around.
context: Don't be stupid.\You were seeing things half asleep.\I thought so.\What do you mean, you thought so?\I saw the ghost, too.\It's in the barracks, right?\Why are you going along with her?\But it's normal for ghosts to be around. response:	Why won't you stop playing along with her?
context: You were seeing things half asleep.\I thought so.\What do you mean, you thought so?\I saw the ghost, too.\It's in the barracks, right?\Why are you going along with her?\But it's normal for ghosts to be around.\Why won't you stop playing along with her? response:	And Noel, I'm disappointed in you!
context: I thought so.\What do you mean, you thought so?\I saw the ghost, too.\It's in the barracks, right?\Why are you going along with her?\But it's normal for ghosts to be around.\Why won't you stop playing along with her?\And Noel, I'm disappointed in you! response:	You're an engineer! You're supposed to investigate this scientifically before reporting!
context: What do you mean, you thought so?\I saw the ghost, too.\It's in the barracks, right?\Why are you going along with her?\But it's normal for ghosts to be around.\Why won't you stop playing along with her?\And Noel, I'm disappointed in you!\You're an engineer! You're supposed to investigate this scientifically before reporting! response:	No.
context: I saw the ghost, too.\It's in the barracks, right?\Why are you going along with her?\But it's normal for ghosts to be around.\Why won't you stop playing along with her?\And Noel, I'm disappointed in you!\You're an engineer! You're supposed to investigate this scientifically before reporting!\No. response:	Why not?
context: It's in the barracks, right?\Why are you going along with her?\But it's normal for ghosts to be around.\Why won't you stop playing along with her?\And Noel, I'm disappointed in you!\You're an engineer! You're supposed to investigate this scientifically before reporting!\No.\Why not? response:	Scary.
context: Why are you going along with her?\But it's normal for ghosts to be around.\Why won't you stop playing along with her?\And Noel, I'm disappointed in you!\You're an engineer! You're supposed to investigate this scientifically before reporting!\No.\Why not?\Scary. response:	What are you saying?
context: But it's normal for ghosts to be around.\Why won't you stop playing along with her?\And Noel, I'm disappointed in you!\You're an engineer! You're supposed to investigate this scientifically before reporting!\No.\Why not?\Scary.\What are you saying? response:	There are no such things as ghosts.
context: Why won't you stop playing along with her?\And Noel, I'm disappointed in you!\You're an engineer! You're supposed to investigate this scientifically before reporting!\No.\Why not?\Scary.\What are you saying?\There are no such things as ghosts. response:	No such things, no such things!
context: And Noel, I'm disappointed in you!\You're an engineer! You're supposed to investigate this scientifically before reporting!\No.\Why not?\Scary.\What are you saying?\There are no such things as ghosts.\No such things, no such things! response:	No possible way there are!
context: You're an engineer! You're supposed to investigate this scientifically before reporting!\No.\Why not?\Scary.\What are you saying?\There are no such things as ghosts.\No such things, no such things!\No possible way there are! response:	I agree with you completely.
context: No.\Why not?\Scary.\What are you saying?\There are no such things as ghosts.\No such things, no such things!\No possible way there are!\I agree with you completely. response:	Don't you?
context: Why not?\Scary.\What are you saying?\There are no such things as ghosts.\No such things, no such things!\No possible way there are!\I agree with you completely.\Don't you? response:	Right. There are no such things as ghosts!
context: Scary.\What are you saying?\There are no such things as ghosts.\No such things, no such things!\No possible way there are!\I agree with you completely.\Don't you?\Right. There are no such things as ghosts! response:	At all!
context: What are you saying?\There are no such things as ghosts.\No such things, no such things!\No possible way there are!\I agree with you completely.\Don't you?\Right. There are no such things as ghosts!\At all! response:	They can't exist!
context: There are no such things as ghosts.\No such things, no such things!\No possible way there are!\I agree with you completely.\Don't you?\Right. There are no such things as ghosts!\At all!\They can't exist! response:	Not a chance of a chance!
context: No such things, no such things!\No possible way there are!\I agree with you completely.\Don't you?\Right. There are no such things as ghosts!\At all!\They can't exist!\Not a chance of a chance! response:	Exactly!
context: No possible way there are!\I agree with you completely.\Don't you?\Right. There are no such things as ghosts!\At all!\They can't exist!\Not a chance of a chance!\Exactly! response:	Inspect the area thoroughly!
context: I agree with you completely.\Don't you?\Right. There are no such things as ghosts!\At all!\They can't exist!\Not a chance of a chance!\Exactly!\Inspect the area thoroughly! response:	In the event you encounter the enemy, blow your bugle!
context: Don't you?\Right. There are no such things as ghosts!\At all!\They can't exist!\Not a chance of a chance!\Exactly!\Inspect the area thoroughly!\In the event you encounter the enemy, blow your bugle! response:	We'll send you reinforcements!
context: Right. There are no such things as ghosts!\At all!\They can't exist!\Not a chance of a chance!\Exactly!\Inspect the area thoroughly!\In the event you encounter the enemy, blow your bugle!\We'll send you reinforcements! response:	Why?
context: At all!\They can't exist!\Not a chance of a chance!\Exactly!\Inspect the area thoroughly!\In the event you encounter the enemy, blow your bugle!\We'll send you reinforcements!\Why? response:	Excuse me, Private.
context: They can't exist!\Not a chance of a chance!\Exactly!\Inspect the area thoroughly!\In the event you encounter the enemy, blow your bugle!\We'll send you reinforcements!\Why?\Excuse me, Private. response:	What is it, Kana- Private?
context: Not a chance of a chance!\Exactly!\Inspect the area thoroughly!\In the event you encounter the enemy, blow your bugle!\We'll send you reinforcements!\Why?\Excuse me, Private.\What is it, Kana- Private? response:	Isn't this kind of...
context: Exactly!\Inspect the area thoroughly!\In the event you encounter the enemy, blow your bugle!\We'll send you reinforcements!\Why?\Excuse me, Private.\What is it, Kana- Private?\Isn't this kind of... response:	exciting?
context: Inspect the area thoroughly!\In the event you encounter the enemy, blow your bugle!\We'll send you reinforcements!\Why?\Excuse me, Private.\What is it, Kana- Private?\Isn't this kind of...\exciting? response:	The thunder is like a marching beat.
context: In the event you encounter the enemy, blow your bugle!\We'll send you reinforcements!\Why?\Excuse me, Private.\What is it, Kana- Private?\Isn't this kind of...\exciting?\The thunder is like a marching beat. response:	This is a mission!
context: We'll send you reinforcements!\Why?\Excuse me, Private.\What is it, Kana- Private?\Isn't this kind of...\exciting?\The thunder is like a marching beat.\This is a mission! response:	This is not a game!
context: Why?\Excuse me, Private.\What is it, Kana- Private?\Isn't this kind of...\exciting?\The thunder is like a marching beat.\This is a mission!\This is not a game! response:	Listen up, Kana-
context: Excuse me, Private.\What is it, Kana- Private?\Isn't this kind of...\exciting?\The thunder is like a marching beat.\This is a mission!\This is not a game!\Listen up, Kana- response:	Private Sorami! You go in the lead.
context: What is it, Kana- Private?\Isn't this kind of...\exciting?\The thunder is like a marching beat.\This is a mission!\This is not a game!\Listen up, Kana-\Private Sorami! You go in the lead. response:	I'll cover you.
context: Isn't this kind of...\exciting?\The thunder is like a marching beat.\This is a mission!\This is not a game!\Listen up, Kana-\Private Sorami! You go in the lead.\I'll cover you. response:	Yes, sir!
context: exciting?\The thunder is like a marching beat.\This is a mission!\This is not a game!\Listen up, Kana-\Private Sorami! You go in the lead.\I'll cover you.\Yes, sir! response:	Commence charge!
context: The thunder is like a marching beat.\This is a mission!\This is not a game!\Listen up, Kana-\Private Sorami! You go in the lead.\I'll cover you.\Yes, sir!\Commence charge! response:	This part was left the way it was before it was turned into a fort.
context: This is a mission!\This is not a game!\Listen up, Kana-\Private Sorami! You go in the lead.\I'll cover you.\Yes, sir!\Commence charge!\This part was left the way it was before it was turned into a fort. response:	What was it before?
context: This is not a game!\Listen up, Kana-\Private Sorami! You go in the lead.\I'll cover you.\Yes, sir!\Commence charge!\This part was left the way it was before it was turned into a fort.\What was it before? response:	Like I would know? Just hurry up and go!
context: Listen up, Kana-\Private Sorami! You go in the lead.\I'll cover you.\Yes, sir!\Commence charge!\This part was left the way it was before it was turned into a fort.\What was it before?\Like I would know? Just hurry up and go! response:	Ideographs...
context: Private Sorami! You go in the lead.\I'll cover you.\Yes, sir!\Commence charge!\This part was left the way it was before it was turned into a fort.\What was it before?\Like I would know? Just hurry up and go!\Ideographs... response:	I wonder what it says.
context: I'll cover you.\Yes, sir!\Commence charge!\This part was left the way it was before it was turned into a fort.\What was it before?\Like I would know? Just hurry up and go!\Ideographs...\I wonder what it says. response:	If you can't read it, there's no point staring at it.
context: Yes, sir!\Commence charge!\This part was left the way it was before it was turned into a fort.\What was it before?\Like I would know? Just hurry up and go!\Ideographs...\I wonder what it says.\If you can't read it, there's no point staring at it. response:	It would be wonderful if I could read it.
context: Commence charge!\This part was left the way it was before it was turned into a fort.\What was it before?\Like I would know? Just hurry up and go!\Ideographs...\I wonder what it says.\If you can't read it, there's no point staring at it.\It would be wonderful if I could read it. response:	It's probably just nonsense from a long time ago.
context: This part was left the way it was before it was turned into a fort.\What was it before?\Like I would know? Just hurry up and go!\Ideographs...\I wonder what it says.\If you can't read it, there's no point staring at it.\It would be wonderful if I could read it.\It's probably just nonsense from a long time ago. response:	Let's just go.
context: What was it before?\Like I would know? Just hurry up and go!\Ideographs...\I wonder what it says.\If you can't read it, there's no point staring at it.\It would be wonderful if I could read it.\It's probably just nonsense from a long time ago.\Let's just go. response:	Aren't you scared?
context: Like I would know? Just hurry up and go!\Ideographs...\I wonder what it says.\If you can't read it, there's no point staring at it.\It would be wonderful if I could read it.\It's probably just nonsense from a long time ago.\Let's just go.\Aren't you scared? response:	No.
context: Ideographs...\I wonder what it says.\If you can't read it, there's no point staring at it.\It would be wonderful if I could read it.\It's probably just nonsense from a long time ago.\Let's just go.\Aren't you scared?\No. response:	How can't you be?
context: I wonder what it says.\If you can't read it, there's no point staring at it.\It would be wonderful if I could read it.\It's probably just nonsense from a long time ago.\Let's just go.\Aren't you scared?\No.\How can't you be? response:	But ghosts are things that protect us.
context: If you can't read it, there's no point staring at it.\It would be wonderful if I could read it.\It's probably just nonsense from a long time ago.\Let's just go.\Aren't you scared?\No.\How can't you be?\But ghosts are things that protect us. response:	In the village I was born, we had a festival every year to thank the ghosts that protect us.
context: It would be wonderful if I could read it.\It's probably just nonsense from a long time ago.\Let's just go.\Aren't you scared?\No.\How can't you be?\But ghosts are things that protect us.\In the village I was born, we had a festival every year to thank the ghosts that protect us. response:	What kind of village would do that?
context: It's probably just nonsense from a long time ago.\Let's just go.\Aren't you scared?\No.\How can't you be?\But ghosts are things that protect us.\In the village I was born, we had a festival every year to thank the ghosts that protect us.\What kind of village would do that? response:	Listen up. Ghosts possess people, drink blood, move corpses, and are just pure evil.
context: Let's just go.\Aren't you scared?\No.\How can't you be?\But ghosts are things that protect us.\In the village I was born, we had a festival every year to thank the ghosts that protect us.\What kind of village would do that?\Listen up. Ghosts possess people, drink blood, move corpses, and are just pure evil. response:	That was close.
context: Aren't you scared?\No.\How can't you be?\But ghosts are things that protect us.\In the village I was born, we had a festival every year to thank the ghosts that protect us.\What kind of village would do that?\Listen up. Ghosts possess people, drink blood, move corpses, and are just pure evil.\That was close. response:	Sometimes rats can carry diseases-
context: No.\How can't you be?\But ghosts are things that protect us.\In the village I was born, we had a festival every year to thank the ghosts that protect us.\What kind of village would do that?\Listen up. Ghosts possess people, drink blood, move corpses, and are just pure evil.\That was close.\Sometimes rats can carry diseases- response:	What? Well, aren't you sca-
context: How can't you be?\But ghosts are things that protect us.\In the village I was born, we had a festival every year to thank the ghosts that protect us.\What kind of village would do that?\Listen up. Ghosts possess people, drink blood, move corpses, and are just pure evil.\That was close.\Sometimes rats can carry diseases-\What? Well, aren't you sca- response:	Are they gone?
context: But ghosts are things that protect us.\In the village I was born, we had a festival every year to thank the ghosts that protect us.\What kind of village would do that?\Listen up. Ghosts possess people, drink blood, move corpses, and are just pure evil.\That was close.\Sometimes rats can carry diseases-\What? Well, aren't you sca-\Are they gone? response:	I think.
context: In the village I was born, we had a festival every year to thank the ghosts that protect us.\What kind of village would do that?\Listen up. Ghosts possess people, drink blood, move corpses, and are just pure evil.\That was close.\Sometimes rats can carry diseases-\What? Well, aren't you sca-\Are they gone?\I think. response:	Kureha.
context: What kind of village would do that?\Listen up. Ghosts possess people, drink blood, move corpses, and are just pure evil.\That was close.\Sometimes rats can carry diseases-\What? Well, aren't you sca-\Are they gone?\I think.\Kureha. response:	Private?
context: Listen up. Ghosts possess people, drink blood, move corpses, and are just pure evil.\That was close.\Sometimes rats can carry diseases-\What? Well, aren't you sca-\Are they gone?\I think.\Kureha.\Private? response:	I was thinking...
context: That was close.\Sometimes rats can carry diseases-\What? Well, aren't you sca-\Are they gone?\I think.\Kureha.\Private?\I was thinking... response:	Maybe this was a school.
context: Sometimes rats can carry diseases-\What? Well, aren't you sca-\Are they gone?\I think.\Kureha.\Private?\I was thinking...\Maybe this was a school. response:	There probably isn't a school this big, even in the capital.
context: What? Well, aren't you sca-\Are they gone?\I think.\Kureha.\Private?\I was thinking...\Maybe this was a school.\There probably isn't a school this big, even in the capital. response:	But there used to be a lot more people, right?
context: Are they gone?\I think.\Kureha.\Private?\I was thinking...\Maybe this was a school.\There probably isn't a school this big, even in the capital.\But there used to be a lot more people, right? response:	So I'm sure that this building was filled with kids about our age,
context: I think.\Kureha.\Private?\I was thinking...\Maybe this was a school.\There probably isn't a school this big, even in the capital.\But there used to be a lot more people, right?\So I'm sure that this building was filled with kids about our age, response:	and they would study together...
context: Kureha.\Private?\I was thinking...\Maybe this was a school.\There probably isn't a school this big, even in the capital.\But there used to be a lot more people, right?\So I'm sure that this building was filled with kids about our age,\and they would study together... response:	What? What? What is it?
context: Private?\I was thinking...\Maybe this was a school.\There probably isn't a school this big, even in the capital.\But there used to be a lot more people, right?\So I'm sure that this building was filled with kids about our age,\and they would study together...\What? What? What is it? response:	They must have taught music here!
context: I was thinking...\Maybe this was a school.\There probably isn't a school this big, even in the capital.\But there used to be a lot more people, right?\So I'm sure that this building was filled with kids about our age,\and they would study together...\What? What? What is it?\They must have taught music here! response:	Outside the army?
context: Maybe this was a school.\There probably isn't a school this big, even in the capital.\But there used to be a lot more people, right?\So I'm sure that this building was filled with kids about our age,\and they would study together...\What? What? What is it?\They must have taught music here!\Outside the army? response:	Well, look.
context: There probably isn't a school this big, even in the capital.\But there used to be a lot more people, right?\So I'm sure that this building was filled with kids about our age,\and they would study together...\What? What? What is it?\They must have taught music here!\Outside the army?\Well, look. response:	They don't change.
context: But there used to be a lot more people, right?\So I'm sure that this building was filled with kids about our age,\and they would study together...\What? What? What is it?\They must have taught music here!\Outside the army?\Well, look.\They don't change. response:	Even if you can't read the words,
context: So I'm sure that this building was filled with kids about our age,\and they would study together...\What? What? What is it?\They must have taught music here!\Outside the army?\Well, look.\They don't change.\Even if you can't read the words, response:	D-sharp.
context: and they would study together...\What? What? What is it?\They must have taught music here!\Outside the army?\Well, look.\They don't change.\Even if you can't read the words,\D-sharp. response:	Notes never change.
context: What? What? What is it?\They must have taught music here!\Outside the army?\Well, look.\They don't change.\Even if you can't read the words,\D-sharp.\Notes never change. response:	Why are you just smiling like that?
context: They must have taught music here!\Outside the army?\Well, look.\They don't change.\Even if you can't read the words,\D-sharp.\Notes never change.\Why are you just smiling like that? response:	What?
context: Outside the army?\Well, look.\They don't change.\Even if you can't read the words,\D-sharp.\Notes never change.\Why are you just smiling like that?\What? response:	Isn't it wonderful, Kureha?
context: Well, look.\They don't change.\Even if you can't read the words,\D-sharp.\Notes never change.\Why are you just smiling like that?\What?\Isn't it wonderful, Kureha? response:	What part?
context: They don't change.\Even if you can't read the words,\D-sharp.\Notes never change.\Why are you just smiling like that?\What?\Isn't it wonderful, Kureha?\What part? response:	All of it.
context: Even if you can't read the words,\D-sharp.\Notes never change.\Why are you just smiling like that?\What?\Isn't it wonderful, Kureha?\What part?\All of it. response:	The town of Seize, this fortress, everyone in our platoon. All of it!
context: D-sharp.\Notes never change.\Why are you just smiling like that?\What?\Isn't it wonderful, Kureha?\What part?\All of it.\The town of Seize, this fortress, everyone in our platoon. All of it! response:	We're just a tiny little unit in the middle of nowhere that doesn't even matter.
context: Notes never change.\Why are you just smiling like that?\What?\Isn't it wonderful, Kureha?\What part?\All of it.\The town of Seize, this fortress, everyone in our platoon. All of it!\We're just a tiny little unit in the middle of nowhere that doesn't even matter. response:	Our tank is broken.
