context: You're back pretty late. response:	Were you able to see the Tomoebi?
context: Since Hikari came back,\that means the other people from the sea will be up soon, too, right?\They should be.\Right about now, we'd be able to drink some great sake with them.\Yeah.\Hey, let's not talk about depressing things so early in the morning.\Oh, yeah.\We prepared this for you. response:	Open it up.
context: that means the other people from the sea will be up soon, too, right?\They should be.\Right about now, we'd be able to drink some great sake with them.\Yeah.\Hey, let's not talk about depressing things so early in the morning.\Oh, yeah.\We prepared this for you.\Open it up. response:	It's the flag you waved at the Ofunehiki.
context: They should be.\Right about now, we'd be able to drink some great sake with them.\Yeah.\Hey, let's not talk about depressing things so early in the morning.\Oh, yeah.\We prepared this for you.\Open it up.\It's the flag you waved at the Ofunehiki. response:	About three years ago, we found it stuck on the bridge pier.
context: Right about now, we'd be able to drink some great sake with them.\Yeah.\Hey, let's not talk about depressing things so early in the morning.\Oh, yeah.\We prepared this for you.\Open it up.\It's the flag you waved at the Ofunehiki.\About three years ago, we found it stuck on the bridge pier. response:	Hii-kun, wave the flag.
context: Yeah.\Hey, let's not talk about depressing things so early in the morning.\Oh, yeah.\We prepared this for you.\Open it up.\It's the flag you waved at the Ofunehiki.\About three years ago, we found it stuck on the bridge pier.\Hii-kun, wave the flag. response:	Wave it a lot.
context: Hey, let's not talk about depressing things so early in the morning.\Oh, yeah.\We prepared this for you.\Open it up.\It's the flag you waved at the Ofunehiki.\About three years ago, we found it stuck on the bridge pier.\Hii-kun, wave the flag.\Wave it a lot. response:	That way, no one will get lost.
context: Oh, yeah.\We prepared this for you.\Open it up.\It's the flag you waved at the Ofunehiki.\About three years ago, we found it stuck on the bridge pier.\Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost. response:	Hikari!
context: We prepared this for you.\Open it up.\It's the flag you waved at the Ofunehiki.\About three years ago, we found it stuck on the bridge pier.\Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost.\Hikari! response:	Oh, sorry...
context: Open it up.\It's the flag you waved at the Ofunehiki.\About three years ago, we found it stuck on the bridge pier.\Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost.\Hikari!\Oh, sorry... response:	I feel kinda sick...
context: It's the flag you waved at the Ofunehiki.\About three years ago, we found it stuck on the bridge pier.\Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost.\Hikari!\Oh, sorry...\I feel kinda sick... response:	O-Oh, right.
context: About three years ago, we found it stuck on the bridge pier.\Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost.\Hikari!\Oh, sorry...\I feel kinda sick...\O-Oh, right. response:	You just woke up.
context: Hii-kun, wave the flag.\Wave it a lot.\That way, no one will get lost.\Hikari!\Oh, sorry...\I feel kinda sick...\O-Oh, right.\You just woke up. response:	Sorry, Hikari.
context: Wave it a lot.\That way, no one will get lost.\Hikari!\Oh, sorry...\I feel kinda sick...\O-Oh, right.\You just woke up.\Sorry, Hikari. response:	I just got too excited.
context: That way, no one will get lost.\Hikari!\Oh, sorry...\I feel kinda sick...\O-Oh, right.\You just woke up.\Sorry, Hikari.\I just got too excited. response:	No... it's fine.
context: Hikari!\Oh, sorry...\I feel kinda sick...\O-Oh, right.\You just woke up.\Sorry, Hikari.\I just got too excited.\No... it's fine. response:	I just need to rest a little.
context: Oh, sorry...\I feel kinda sick...\O-Oh, right.\You just woke up.\Sorry, Hikari.\I just got too excited.\No... it's fine.\I just need to rest a little. response:	Help him out, son.
context: I feel kinda sick...\O-Oh, right.\You just woke up.\Sorry, Hikari.\I just got too excited.\No... it's fine.\I just need to rest a little.\Help him out, son. response:	Right.
context: O-Oh, right.\You just woke up.\Sorry, Hikari.\I just got too excited.\No... it's fine.\I just need to rest a little.\Help him out, son.\Right. response:	You sure this is okay?
context: You just woke up.\Sorry, Hikari.\I just got too excited.\No... it's fine.\I just need to rest a little.\Help him out, son.\Right.\You sure this is okay? response:	Yeah.
context: Sorry, Hikari.\I just got too excited.\No... it's fine.\I just need to rest a little.\Help him out, son.\Right.\You sure this is okay?\Yeah. response:	Always Smiling Saya Mart
context: I just got too excited.\No... it's fine.\I just need to rest a little.\Help him out, son.\Right.\You sure this is okay?\Yeah.\Always Smiling Saya Mart response:	More importantly, please take Hikari home.
context: No... it's fine.\I just need to rest a little.\Help him out, son.\Right.\You sure this is okay?\Yeah.\Always Smiling Saya Mart\More importantly, please take Hikari home. response:	Sorry about this.
context: I just need to rest a little.\Help him out, son.\Right.\You sure this is okay?\Yeah.\Always Smiling Saya Mart\More importantly, please take Hikari home.\Sorry about this. response:	All right, study hard!
context: Help him out, son.\Right.\You sure this is okay?\Yeah.\Always Smiling Saya Mart\More importantly, please take Hikari home.\Sorry about this.\All right, study hard! response:	Let's go. We're already late.
context: Right.\You sure this is okay?\Yeah.\Always Smiling Saya Mart\More importantly, please take Hikari home.\Sorry about this.\All right, study hard!\Let's go. We're already late. response:	Hikari hadn't changed at all...
context: You sure this is okay?\Yeah.\Always Smiling Saya Mart\More importantly, please take Hikari home.\Sorry about this.\All right, study hard!\Let's go. We're already late.\Hikari hadn't changed at all... response:	and now I'm the same age he is.
context: Yeah.\Always Smiling Saya Mart\More importantly, please take Hikari home.\Sorry about this.\All right, study hard!\Let's go. We're already late.\Hikari hadn't changed at all...\and now I'm the same age he is. response:	And yet...
context: Always Smiling Saya Mart\More importantly, please take Hikari home.\Sorry about this.\All right, study hard!\Let's go. We're already late.\Hikari hadn't changed at all...\and now I'm the same age he is.\And yet... response:	If Hikari-kun came back up at this point here...
context: More importantly, please take Hikari home.\Sorry about this.\All right, study hard!\Let's go. We're already late.\Hikari hadn't changed at all...\and now I'm the same age he is.\And yet...\If Hikari-kun came back up at this point here... response:	It means that there's a possibility that the tidal current changes here, right?
context: Sorry about this.\All right, study hard!\Let's go. We're already late.\Hikari hadn't changed at all...\and now I'm the same age he is.\And yet...\If Hikari-kun came back up at this point here...\It means that there's a possibility that the tidal current changes here, right? response:	It's different from last month's investigations.
context: All right, study hard!\Let's go. We're already late.\Hikari hadn't changed at all...\and now I'm the same age he is.\And yet...\If Hikari-kun came back up at this point here...\It means that there's a possibility that the tidal current changes here, right?\It's different from last month's investigations. response:	But according to the reflection of the Tomoebi...
context: Let's go. We're already late.\Hikari hadn't changed at all...\and now I'm the same age he is.\And yet...\If Hikari-kun came back up at this point here...\It means that there's a possibility that the tidal current changes here, right?\It's different from last month's investigations.\But according to the reflection of the Tomoebi... response:	Huh? Tsumugu, do you have scissors?
context: Hikari hadn't changed at all...\and now I'm the same age he is.\And yet...\If Hikari-kun came back up at this point here...\It means that there's a possibility that the tidal current changes here, right?\It's different from last month's investigations.\But according to the reflection of the Tomoebi...\Huh? Tsumugu, do you have scissors? response:	I think there's a pair in Chisaki's room.
context: and now I'm the same age he is.\And yet...\If Hikari-kun came back up at this point here...\It means that there's a possibility that the tidal current changes here, right?\It's different from last month's investigations.\But according to the reflection of the Tomoebi...\Huh? Tsumugu, do you have scissors?\I think there's a pair in Chisaki's room. response:	Eek!
context: And yet...\If Hikari-kun came back up at this point here...\It means that there's a possibility that the tidal current changes here, right?\It's different from last month's investigations.\But according to the reflection of the Tomoebi...\Huh? Tsumugu, do you have scissors?\I think there's a pair in Chisaki's room.\Eek! response:	Sorry.
context: If Hikari-kun came back up at this point here...\It means that there's a possibility that the tidal current changes here, right?\It's different from last month's investigations.\But according to the reflection of the Tomoebi...\Huh? Tsumugu, do you have scissors?\I think there's a pair in Chisaki's room.\Eek!\Sorry. response:	I didn't know you were back.
context: It means that there's a possibility that the tidal current changes here, right?\It's different from last month's investigations.\But according to the reflection of the Tomoebi...\Huh? Tsumugu, do you have scissors?\I think there's a pair in Chisaki's room.\Eek!\Sorry.\I didn't know you were back. response:	I'm really sorry.
context: It's different from last month's investigations.\But according to the reflection of the Tomoebi...\Huh? Tsumugu, do you have scissors?\I think there's a pair in Chisaki's room.\Eek!\Sorry.\I didn't know you were back.\I'm really sorry. response:	Wait.
context: But according to the reflection of the Tomoebi...\Huh? Tsumugu, do you have scissors?\I think there's a pair in Chisaki's room.\Eek!\Sorry.\I didn't know you were back.\I'm really sorry.\Wait. response:	How was it?
context: Huh? Tsumugu, do you have scissors?\I think there's a pair in Chisaki's room.\Eek!\Sorry.\I didn't know you were back.\I'm really sorry.\Wait.\How was it? response:	How'd I look?
context: I think there's a pair in Chisaki's room.\Eek!\Sorry.\I didn't know you were back.\I'm really sorry.\Wait.\How was it?\How'd I look? response:	That's a pretty bold question.
context: Eek!\Sorry.\I didn't know you were back.\I'm really sorry.\Wait.\How was it?\How'd I look?\That's a pretty bold question. response:	Have I changed from back then?
context: Sorry.\I didn't know you were back.\I'm really sorry.\Wait.\How was it?\How'd I look?\That's a pretty bold question.\Have I changed from back then? response:	I hadn't seen you like that back then, so I'm not sure.
context: I didn't know you were back.\I'm really sorry.\Wait.\How was it?\How'd I look?\That's a pretty bold question.\Have I changed from back then?\I hadn't seen you like that back then, so I'm not sure. response:	You used to talk about that back then, too, didn't you?
context: I'm really sorry.\Wait.\How was it?\How'd I look?\That's a pretty bold question.\Have I changed from back then?\I hadn't seen you like that back then, so I'm not sure.\You used to talk about that back then, too, didn't you? response:	About changing, or not changing...
context: Wait.\How was it?\How'd I look?\That's a pretty bold question.\Have I changed from back then?\I hadn't seen you like that back then, so I'm not sure.\You used to talk about that back then, too, didn't you?\About changing, or not changing... response:	all the time back then.
context: How was it?\How'd I look?\That's a pretty bold question.\Have I changed from back then?\I hadn't seen you like that back then, so I'm not sure.\You used to talk about that back then, too, didn't you?\About changing, or not changing...\all the time back then. response:	I didn't want anyone to change...
context: How'd I look?\That's a pretty bold question.\Have I changed from back then?\I hadn't seen you like that back then, so I'm not sure.\You used to talk about that back then, too, didn't you?\About changing, or not changing...\all the time back then.\I didn't want anyone to change... response:	No. The truth is I didn't want Hikari to change...
context: That's a pretty bold question.\Have I changed from back then?\I hadn't seen you like that back then, so I'm not sure.\You used to talk about that back then, too, didn't you?\About changing, or not changing...\all the time back then.\I didn't want anyone to change...\No. The truth is I didn't want Hikari to change... response:	And yet...
context: Have I changed from back then?\I hadn't seen you like that back then, so I'm not sure.\You used to talk about that back then, too, didn't you?\About changing, or not changing...\all the time back then.\I didn't want anyone to change...\No. The truth is I didn't want Hikari to change...\And yet... response:	I'm the one that changed.
context: I hadn't seen you like that back then, so I'm not sure.\You used to talk about that back then, too, didn't you?\About changing, or not changing...\all the time back then.\I didn't want anyone to change...\No. The truth is I didn't want Hikari to change...\And yet...\I'm the one that changed. response:	Yeah... You did change.
context: You used to talk about that back then, too, didn't you?\About changing, or not changing...\all the time back then.\I didn't want anyone to change...\No. The truth is I didn't want Hikari to change...\And yet...\I'm the one that changed.\Yeah... You did change. response:	You've gotten pretty.
context: About changing, or not changing...\all the time back then.\I didn't want anyone to change...\No. The truth is I didn't want Hikari to change...\And yet...\I'm the one that changed.\Yeah... You did change.\You've gotten pretty. response:	You've gotten much prettier since back then.
context: all the time back then.\I didn't want anyone to change...\No. The truth is I didn't want Hikari to change...\And yet...\I'm the one that changed.\Yeah... You did change.\You've gotten pretty.\You've gotten much prettier since back then. response:	Is that not okay?
context: I didn't want anyone to change...\No. The truth is I didn't want Hikari to change...\And yet...\I'm the one that changed.\Yeah... You did change.\You've gotten pretty.\You've gotten much prettier since back then.\Is that not okay? response:	Isn't that enough?
context: No. The truth is I didn't want Hikari to change...\And yet...\I'm the one that changed.\Yeah... You did change.\You've gotten pretty.\You've gotten much prettier since back then.\Is that not okay?\Isn't that enough? response:	Hey, what's up?
context: And yet...\I'm the one that changed.\Yeah... You did change.\You've gotten pretty.\You've gotten much prettier since back then.\Is that not okay?\Isn't that enough?\Hey, what's up? response:	I thought I'd take a little walk.
context: I'm the one that changed.\Yeah... You did change.\You've gotten pretty.\You've gotten much prettier since back then.\Is that not okay?\Isn't that enough?\Hey, what's up?\I thought I'd take a little walk. response:	Don't overdo it.
context: Yeah... You did change.\You've gotten pretty.\You've gotten much prettier since back then.\Is that not okay?\Isn't that enough?\Hey, what's up?\I thought I'd take a little walk.\Don't overdo it. response:	Mom, have you heard from Chisaki-san?
context: You've gotten pretty.\You've gotten much prettier since back then.\Is that not okay?\Isn't that enough?\Hey, what's up?\I thought I'd take a little walk.\Don't overdo it.\Mom, have you heard from Chisaki-san? response:	Hm? Nope.
context: You've gotten much prettier since back then.\Is that not okay?\Isn't that enough?\Hey, what's up?\I thought I'd take a little walk.\Don't overdo it.\Mom, have you heard from Chisaki-san?\Hm? Nope. response:	I sort of can't believe it.
context: Is that not okay?\Isn't that enough?\Hey, what's up?\I thought I'd take a little walk.\Don't overdo it.\Mom, have you heard from Chisaki-san?\Hm? Nope.\I sort of can't believe it. response:	It's been two days since Hikari came back.
context: Isn't that enough?\Hey, what's up?\I thought I'd take a little walk.\Don't overdo it.\Mom, have you heard from Chisaki-san?\Hm? Nope.\I sort of can't believe it.\It's been two days since Hikari came back. response:	I think Hikari might be down because Chisaki-san hasn't come to see him.
context: Hey, what's up?\I thought I'd take a little walk.\Don't overdo it.\Mom, have you heard from Chisaki-san?\Hm? Nope.\I sort of can't believe it.\It's been two days since Hikari came back.\I think Hikari might be down because Chisaki-san hasn't come to see him. response:	And Tsumugu hasn't been by since either.
context: I thought I'd take a little walk.\Don't overdo it.\Mom, have you heard from Chisaki-san?\Hm? Nope.\I sort of can't believe it.\It's been two days since Hikari came back.\I think Hikari might be down because Chisaki-san hasn't come to see him.\And Tsumugu hasn't been by since either. response:	Hey, could you call them, Mom?
context: Don't overdo it.\Mom, have you heard from Chisaki-san?\Hm? Nope.\I sort of can't believe it.\It's been two days since Hikari came back.\I think Hikari might be down because Chisaki-san hasn't come to see him.\And Tsumugu hasn't been by since either.\Hey, could you call them, Mom? response:	Well... it's not like I don't understand how they feel.
context: Mom, have you heard from Chisaki-san?\Hm? Nope.\I sort of can't believe it.\It's been two days since Hikari came back.\I think Hikari might be down because Chisaki-san hasn't come to see him.\And Tsumugu hasn't been by since either.\Hey, could you call them, Mom?\Well... it's not like I don't understand how they feel. response:	What do you mean?
context: Hm? Nope.\I sort of can't believe it.\It's been two days since Hikari came back.\I think Hikari might be down because Chisaki-san hasn't come to see him.\And Tsumugu hasn't been by since either.\Hey, could you call them, Mom?\Well... it's not like I don't understand how they feel.\What do you mean? response:	Come on. Let's hurry and finish this up.
context: I sort of can't believe it.\It's been two days since Hikari came back.\I think Hikari might be down because Chisaki-san hasn't come to see him.\And Tsumugu hasn't been by since either.\Hey, could you call them, Mom?\Well... it's not like I don't understand how they feel.\What do you mean?\Come on. Let's hurry and finish this up. response:	I'm done! I'm going now.
context: It's been two days since Hikari came back.\I think Hikari might be down because Chisaki-san hasn't come to see him.\And Tsumugu hasn't been by since either.\Hey, could you call them, Mom?\Well... it's not like I don't understand how they feel.\What do you mean?\Come on. Let's hurry and finish this up.\I'm done! I'm going now. response:	Miuna?
context: I think Hikari might be down because Chisaki-san hasn't come to see him.\And Tsumugu hasn't been by since either.\Hey, could you call them, Mom?\Well... it's not like I don't understand how they feel.\What do you mean?\Come on. Let's hurry and finish this up.\I'm done! I'm going now.\Miuna? response:	Where's Chisaki-san?
context: And Tsumugu hasn't been by since either.\Hey, could you call them, Mom?\Well... it's not like I don't understand how they feel.\What do you mean?\Come on. Let's hurry and finish this up.\I'm done! I'm going now.\Miuna?\Where's Chisaki-san? response:	She left to pay Gramps a visit.
context: Hey, could you call them, Mom?\Well... it's not like I don't understand how they feel.\What do you mean?\Come on. Let's hurry and finish this up.\I'm done! I'm going now.\Miuna?\Where's Chisaki-san?\She left to pay Gramps a visit. response:	You seem troubled.
context: Well... it's not like I don't understand how they feel.\What do you mean?\Come on. Let's hurry and finish this up.\I'm done! I'm going now.\Miuna?\Where's Chisaki-san?\She left to pay Gramps a visit.\You seem troubled. response:	Why...
context: What do you mean?\Come on. Let's hurry and finish this up.\I'm done! I'm going now.\Miuna?\Where's Chisaki-san?\She left to pay Gramps a visit.\You seem troubled.\Why... response:	Why?!
context: Come on. Let's hurry and finish this up.\I'm done! I'm going now.\Miuna?\Where's Chisaki-san?\She left to pay Gramps a visit.\You seem troubled.\Why...\Why?! response:	Hikari came back!
context: I'm done! I'm going now.\Miuna?\Where's Chisaki-san?\She left to pay Gramps a visit.\You seem troubled.\Why...\Why?!\Hikari came back! response:	Why doesn't Chisaki-san go see him?
context: Miuna?\Where's Chisaki-san?\She left to pay Gramps a visit.\You seem troubled.\Why...\Why?!\Hikari came back!\Why doesn't Chisaki-san go see him? response:	I don't think you'd understand, Miuna.
context: Where's Chisaki-san?\She left to pay Gramps a visit.\You seem troubled.\Why...\Why?!\Hikari came back!\Why doesn't Chisaki-san go see him?\I don't think you'd understand, Miuna. response:	B-But I'm as old as Hikari now, too!
context: She left to pay Gramps a visit.\You seem troubled.\Why...\Why?!\Hikari came back!\Why doesn't Chisaki-san go see him?\I don't think you'd understand, Miuna.\B-But I'm as old as Hikari now, too! response:	Because I don't get it either.
context: You seem troubled.\Why...\Why?!\Hikari came back!\Why doesn't Chisaki-san go see him?\I don't think you'd understand, Miuna.\B-But I'm as old as Hikari now, too!\Because I don't get it either. response:	Huh?
context: Why...\Why?!\Hikari came back!\Why doesn't Chisaki-san go see him?\I don't think you'd understand, Miuna.\B-But I'm as old as Hikari now, too!\Because I don't get it either.\Huh? response:	Those two have known each other a lot longer than we have.
context: Why?!\Hikari came back!\Why doesn't Chisaki-san go see him?\I don't think you'd understand, Miuna.\B-But I'm as old as Hikari now, too!\Because I don't get it either.\Huh?\Those two have known each other a lot longer than we have. response:	There have to be things that only those two understand.
context: Hikari came back!\Why doesn't Chisaki-san go see him?\I don't think you'd understand, Miuna.\B-But I'm as old as Hikari now, too!\Because I don't get it either.\Huh?\Those two have known each other a lot longer than we have.\There have to be things that only those two understand. response:	I'm being left out again...
context: Why doesn't Chisaki-san go see him?\I don't think you'd understand, Miuna.\B-But I'm as old as Hikari now, too!\Because I don't get it either.\Huh?\Those two have known each other a lot longer than we have.\There have to be things that only those two understand.\I'm being left out again... response:	Huh?
context: I don't think you'd understand, Miuna.\B-But I'm as old as Hikari now, too!\Because I don't get it either.\Huh?\Those two have known each other a lot longer than we have.\There have to be things that only those two understand.\I'm being left out again...\Huh? response:	Forget it!
context: B-But I'm as old as Hikari now, too!\Because I don't get it either.\Huh?\Those two have known each other a lot longer than we have.\There have to be things that only those two understand.\I'm being left out again...\Huh?\Forget it! response:	Hey!
context: Because I don't get it either.\Huh?\Those two have known each other a lot longer than we have.\There have to be things that only those two understand.\I'm being left out again...\Huh?\Forget it!\Hey! response:	Hikari?
context: Huh?\Those two have known each other a lot longer than we have.\There have to be things that only those two understand.\I'm being left out again...\Huh?\Forget it!\Hey!\Hikari? response:	What are you doing?
context: Those two have known each other a lot longer than we have.\There have to be things that only those two understand.\I'm being left out again...\Huh?\Forget it!\Hey!\Hikari?\What are you doing? response:	What do you mean? I was swimming.
context: There have to be things that only those two understand.\I'm being left out again...\Huh?\Forget it!\Hey!\Hikari?\What are you doing?\What do you mean? I was swimming. response:	Why don't you come see Chisaki?
context: I'm being left out again...\Huh?\Forget it!\Hey!\Hikari?\What are you doing?\What do you mean? I was swimming.\Why don't you come see Chisaki? response:	Why do I have to go see her?
context: Huh?\Forget it!\Hey!\Hikari?\What are you doing?\What do you mean? I was swimming.\Why don't you come see Chisaki?\Why do I have to go see her? response:	You really haven't changed.
context: Forget it!\Hey!\Hikari?\What are you doing?\What do you mean? I was swimming.\Why don't you come see Chisaki?\Why do I have to go see her?\You really haven't changed. response:	Of course not!
context: Hey!\Hikari?\What are you doing?\What do you mean? I was swimming.\Why don't you come see Chisaki?\Why do I have to go see her?\You really haven't changed.\Of course not! response:	For me, it was the day before yesterday!
context: Hikari?\What are you doing?\What do you mean? I was swimming.\Why don't you come see Chisaki?\Why do I have to go see her?\You really haven't changed.\Of course not!\For me, it was the day before yesterday! response:	The Ofunehiki was the day before yesterday for me!
context: What are you doing?\What do you mean? I was swimming.\Why don't you come see Chisaki?\Why do I have to go see her?\You really haven't changed.\Of course not!\For me, it was the day before yesterday!\The Ofunehiki was the day before yesterday for me! response:	For me, time hasn't passed at all!
context: What do you mean? I was swimming.\Why don't you come see Chisaki?\Why do I have to go see her?\You really haven't changed.\Of course not!\For me, it was the day before yesterday!\The Ofunehiki was the day before yesterday for me!\For me, time hasn't passed at all! response:	Even right now, I'm overwhelmed!
context: Why don't you come see Chisaki?\Why do I have to go see her?\You really haven't changed.\Of course not!\For me, it was the day before yesterday!\The Ofunehiki was the day before yesterday for me!\For me, time hasn't passed at all!\Even right now, I'm overwhelmed! response:	Akari has a kid, and all of you...
context: Why do I have to go see her?\You really haven't changed.\Of course not!\For me, it was the day before yesterday!\The Ofunehiki was the day before yesterday for me!\For me, time hasn't passed at all!\Even right now, I'm overwhelmed!\Akari has a kid, and all of you... response:	Even though it's still summer, the scenery... Everything's changed!
context: You really haven't changed.\Of course not!\For me, it was the day before yesterday!\The Ofunehiki was the day before yesterday for me!\For me, time hasn't passed at all!\Even right now, I'm overwhelmed!\Akari has a kid, and all of you...\Even though it's still summer, the scenery... Everything's changed! response:	Of course I can't just go waltz in to see Chisaki.
context: Of course not!\For me, it was the day before yesterday!\The Ofunehiki was the day before yesterday for me!\For me, time hasn't passed at all!\Even right now, I'm overwhelmed!\Akari has a kid, and all of you...\Even though it's still summer, the scenery... Everything's changed!\Of course I can't just go waltz in to see Chisaki. response:	The two of us were always together...
context: For me, it was the day before yesterday!\The Ofunehiki was the day before yesterday for me!\For me, time hasn't passed at all!\Even right now, I'm overwhelmed!\Akari has a kid, and all of you...\Even though it's still summer, the scenery... Everything's changed!\Of course I can't just go waltz in to see Chisaki.\The two of us were always together... response:	and if that Chisaki's changed...
context: The Ofunehiki was the day before yesterday for me!\For me, time hasn't passed at all!\Even right now, I'm overwhelmed!\Akari has a kid, and all of you...\Even though it's still summer, the scenery... Everything's changed!\Of course I can't just go waltz in to see Chisaki.\The two of us were always together...\and if that Chisaki's changed... response:	I don't want to see any more things that've changed!
context: For me, time hasn't passed at all!\Even right now, I'm overwhelmed!\Akari has a kid, and all of you...\Even though it's still summer, the scenery... Everything's changed!\Of course I can't just go waltz in to see Chisaki.\The two of us were always together...\and if that Chisaki's changed...\I don't want to see any more things that've changed! response:	It's exhausting!
context: Even right now, I'm overwhelmed!\Akari has a kid, and all of you...\Even though it's still summer, the scenery... Everything's changed!\Of course I can't just go waltz in to see Chisaki.\The two of us were always together...\and if that Chisaki's changed...\I don't want to see any more things that've changed!\It's exhausting! response:	I don't want to think about all of this!
context: Akari has a kid, and all of you...\Even though it's still summer, the scenery... Everything's changed!\Of course I can't just go waltz in to see Chisaki.\The two of us were always together...\and if that Chisaki's changed...\I don't want to see any more things that've changed!\It's exhausting!\I don't want to think about all of this! response:	I don't want to know!
context: Even though it's still summer, the scenery... Everything's changed!\Of course I can't just go waltz in to see Chisaki.\The two of us were always together...\and if that Chisaki's changed...\I don't want to see any more things that've changed!\It's exhausting!\I don't want to think about all of this!\I don't want to know! response:	I see...
context: Of course I can't just go waltz in to see Chisaki.\The two of us were always together...\and if that Chisaki's changed...\I don't want to see any more things that've changed!\It's exhausting!\I don't want to think about all of this!\I don't want to know!\I see... response:	It wasn't that his eyes were bothering him or he was feeling sick...
context: The two of us were always together...\and if that Chisaki's changed...\I don't want to see any more things that've changed!\It's exhausting!\I don't want to think about all of this!\I don't want to know!\I see...\It wasn't that his eyes were bothering him or he was feeling sick... response:	And then the guys at the fishery cooperative give me the flag...
context: and if that Chisaki's changed...\I don't want to see any more things that've changed!\It's exhausting!\I don't want to think about all of this!\I don't want to know!\I see...\It wasn't that his eyes were bothering him or he was feeling sick...\And then the guys at the fishery cooperative give me the flag... response:	The one you were waving at the Ofunehiki?
context: I don't want to see any more things that've changed!\It's exhausting!\I don't want to think about all of this!\I don't want to know!\I see...\It wasn't that his eyes were bothering him or he was feeling sick...\And then the guys at the fishery cooperative give me the flag...\The one you were waving at the Ofunehiki? response:	Yeah, that flag.
context: It's exhausting!\I don't want to think about all of this!\I don't want to know!\I see...\It wasn't that his eyes were bothering him or he was feeling sick...\And then the guys at the fishery cooperative give me the flag...\The one you were waving at the Ofunehiki?\Yeah, that flag. response:	Manaka said that if I waved it, no one would get lost...
context: I don't want to think about all of this!\I don't want to know!\I see...\It wasn't that his eyes were bothering him or he was feeling sick...\And then the guys at the fishery cooperative give me the flag...\The one you were waving at the Ofunehiki?\Yeah, that flag.\Manaka said that if I waved it, no one would get lost... response:	And yet...
context: I don't want to know!\I see...\It wasn't that his eyes were bothering him or he was feeling sick...\And then the guys at the fishery cooperative give me the flag...\The one you were waving at the Ofunehiki?\Yeah, that flag.\Manaka said that if I waved it, no one would get lost...\And yet... response:	I'm completely lost...
context: I see...\It wasn't that his eyes were bothering him or he was feeling sick...\And then the guys at the fishery cooperative give me the flag...\The one you were waving at the Ofunehiki?\Yeah, that flag.\Manaka said that if I waved it, no one would get lost...\And yet...\I'm completely lost... response:	So is Manaka, Kaname, Dad, everyone.
context: It wasn't that his eyes were bothering him or he was feeling sick...\And then the guys at the fishery cooperative give me the flag...\The one you were waving at the Ofunehiki?\Yeah, that flag.\Manaka said that if I waved it, no one would get lost...\And yet...\I'm completely lost...\So is Manaka, Kaname, Dad, everyone. response:	All of them are still lost in the sea...
context: And then the guys at the fishery cooperative give me the flag...\The one you were waving at the Ofunehiki?\Yeah, that flag.\Manaka said that if I waved it, no one would get lost...\And yet...\I'm completely lost...\So is Manaka, Kaname, Dad, everyone.\All of them are still lost in the sea... response:	They're just hibernating, so you don't have to worry.
context: The one you were waving at the Ofunehiki?\Yeah, that flag.\Manaka said that if I waved it, no one would get lost...\And yet...\I'm completely lost...\So is Manaka, Kaname, Dad, everyone.\All of them are still lost in the sea...\They're just hibernating, so you don't have to worry. response:	The fact that you came back proves that.
context: Yeah, that flag.\Manaka said that if I waved it, no one would get lost...\And yet...\I'm completely lost...\So is Manaka, Kaname, Dad, everyone.\All of them are still lost in the sea...\They're just hibernating, so you don't have to worry.\The fact that you came back proves that. response:	But!
context: Manaka said that if I waved it, no one would get lost...\And yet...\I'm completely lost...\So is Manaka, Kaname, Dad, everyone.\All of them are still lost in the sea...\They're just hibernating, so you don't have to worry.\The fact that you came back proves that.\But! response:	Did something happen back there?
context: And yet...\I'm completely lost...\So is Manaka, Kaname, Dad, everyone.\All of them are still lost in the sea...\They're just hibernating, so you don't have to worry.\The fact that you came back proves that.\But!\Did something happen back there? response:	I'm going down there again.
context: I'm completely lost...\So is Manaka, Kaname, Dad, everyone.\All of them are still lost in the sea...\They're just hibernating, so you don't have to worry.\The fact that you came back proves that.\But!\Did something happen back there?\I'm going down there again. response:	There's no point.
context: So is Manaka, Kaname, Dad, everyone.\All of them are still lost in the sea...\They're just hibernating, so you don't have to worry.\The fact that you came back proves that.\But!\Did something happen back there?\I'm going down there again.\There's no point. response:	No matter which way you go, you can't get into Shioshishio...
context: All of them are still lost in the sea...\They're just hibernating, so you don't have to worry.\The fact that you came back proves that.\But!\Did something happen back there?\I'm going down there again.\There's no point.\No matter which way you go, you can't get into Shioshishio... response:	I know that!
context: They're just hibernating, so you don't have to worry.\The fact that you came back proves that.\But!\Did something happen back there?\I'm going down there again.\There's no point.\No matter which way you go, you can't get into Shioshishio...\I know that! response:	I'm home!
context: The fact that you came back proves that.\But!\Did something happen back there?\I'm going down there again.\There's no point.\No matter which way you go, you can't get into Shioshishio...\I know that!\I'm home! response:	Miu?
context: But!\Did something happen back there?\I'm going down there again.\There's no point.\No matter which way you go, you can't get into Shioshishio...\I know that!\I'm home!\Miu? response:	Um...
context: Did something happen back there?\I'm going down there again.\There's no point.\No matter which way you go, you can't get into Shioshishio...\I know that!\I'm home!\Miu?\Um... response:	Undies.
