context: Eiji, some people from Shounen Jack are here to see you. response:	Niizuma-kun, this is the editor-in-chief, Sasaki-san
context: If we have them fight robots with murder weapons that the computer created or something,\it really would be like a shounen manga.\Let's have the main characters have some weapons, too.\In that case, make it katanas.\Katanas?\It's a common feature of popular manga.\Naruto, One Piece, Bleach, Gintama...\In plenty of others, too, katanas and sword-like things show up a lot. response:	Now that you mention it, I guess you're right.
context: it really would be like a shounen manga.\Let's have the main characters have some weapons, too.\In that case, make it katanas.\Katanas?\It's a common feature of popular manga.\Naruto, One Piece, Bleach, Gintama...\In plenty of others, too, katanas and sword-like things show up a lot.\Now that you mention it, I guess you're right. response:	I never noticed it before.
context: Let's have the main characters have some weapons, too.\In that case, make it katanas.\Katanas?\It's a common feature of popular manga.\Naruto, One Piece, Bleach, Gintama...\In plenty of others, too, katanas and sword-like things show up a lot.\Now that you mention it, I guess you're right.\I never noticed it before. response:	Well that's because nobody analyzes things like that while reading them.
context: In that case, make it katanas.\Katanas?\It's a common feature of popular manga.\Naruto, One Piece, Bleach, Gintama...\In plenty of others, too, katanas and sword-like things show up a lot.\Now that you mention it, I guess you're right.\I never noticed it before.\Well that's because nobody analyzes things like that while reading them. response:	Then, let's give them beam sabers!
context: Katanas?\It's a common feature of popular manga.\Naruto, One Piece, Bleach, Gintama...\In plenty of others, too, katanas and sword-like things show up a lot.\Now that you mention it, I guess you're right.\I never noticed it before.\Well that's because nobody analyzes things like that while reading them.\Then, let's give them beam sabers! response:	That'll fit with the view of this world perfectly.
context: It's a common feature of popular manga.\Naruto, One Piece, Bleach, Gintama...\In plenty of others, too, katanas and sword-like things show up a lot.\Now that you mention it, I guess you're right.\I never noticed it before.\Well that's because nobody analyzes things like that while reading them.\Then, let's give them beam sabers!\That'll fit with the view of this world perfectly. response:	Done!
context: Naruto, One Piece, Bleach, Gintama...\In plenty of others, too, katanas and sword-like things show up a lot.\Now that you mention it, I guess you're right.\I never noticed it before.\Well that's because nobody analyzes things like that while reading them.\Then, let's give them beam sabers!\That'll fit with the view of this world perfectly.\Done! response:	All right!
context: In plenty of others, too, katanas and sword-like things show up a lot.\Now that you mention it, I guess you're right.\I never noticed it before.\Well that's because nobody analyzes things like that while reading them.\Then, let's give them beam sabers!\That'll fit with the view of this world perfectly.\Done!\All right! response:	II don't believe it.
context: Now that you mention it, I guess you're right.\I never noticed it before.\Well that's because nobody analyzes things like that while reading them.\Then, let's give them beam sabers!\That'll fit with the view of this world perfectly.\Done!\All right!\II don't believe it. response:	It feels like it's a miracle, this is so interesting!
context: I never noticed it before.\Well that's because nobody analyzes things like that while reading them.\Then, let's give them beam sabers!\That'll fit with the view of this world perfectly.\Done!\All right!\II don't believe it.\It feels like it's a miracle, this is so interesting! response:	Yeah.
context: Well that's because nobody analyzes things like that while reading them.\Then, let's give them beam sabers!\That'll fit with the view of this world perfectly.\Done!\All right!\II don't believe it.\It feels like it's a miracle, this is so interesting!\Yeah. response:	I was able to do artwork that I'm satisfied with for it!
context: Then, let's give them beam sabers!\That'll fit with the view of this world perfectly.\Done!\All right!\II don't believe it.\It feels like it's a miracle, this is so interesting!\Yeah.\I was able to do artwork that I'm satisfied with for it! response:	We can do it.
context: That'll fit with the view of this world perfectly.\Done!\All right!\II don't believe it.\It feels like it's a miracle, this is so interesting!\Yeah.\I was able to do artwork that I'm satisfied with for it!\We can do it. response:	We can do it!
context: Done!\All right!\II don't believe it.\It feels like it's a miracle, this is so interesting!\Yeah.\I was able to do artwork that I'm satisfied with for it!\We can do it.\We can do it! response:	With this, we can definitely take the Tezuka Award!
context: All right!\II don't believe it.\It feels like it's a miracle, this is so interesting!\Yeah.\I was able to do artwork that I'm satisfied with for it!\We can do it.\We can do it!\With this, we can definitely take the Tezuka Award! response:	What's with this silence?
context: II don't believe it.\It feels like it's a miracle, this is so interesting!\Yeah.\I was able to do artwork that I'm satisfied with for it!\We can do it.\We can do it!\With this, we can definitely take the Tezuka Award!\What's with this silence? response:	Could it be that it's no good?
context: It feels like it's a miracle, this is so interesting!\Yeah.\I was able to do artwork that I'm satisfied with for it!\We can do it.\We can do it!\With this, we can definitely take the Tezuka Award!\What's with this silence?\Could it be that it's no good? response:	Is he so amazed he can't assess it or something?
context: Yeah.\I was able to do artwork that I'm satisfied with for it!\We can do it.\We can do it!\With this, we can definitely take the Tezuka Award!\What's with this silence?\Could it be that it's no good?\Is he so amazed he can't assess it or something? response:	Is it worse than last time?
context: I was able to do artwork that I'm satisfied with for it!\We can do it.\We can do it!\With this, we can definitely take the Tezuka Award!\What's with this silence?\Could it be that it's no good?\Is he so amazed he can't assess it or something?\Is it worse than last time? response:	This is several levels better than last time.
context: We can do it.\We can do it!\With this, we can definitely take the Tezuka Award!\What's with this silence?\Could it be that it's no good?\Is he so amazed he can't assess it or something?\Is it worse than last time?\This is several levels better than last time. response:	I'm surprised.
context: We can do it!\With this, we can definitely take the Tezuka Award!\What's with this silence?\Could it be that it's no good?\Is he so amazed he can't assess it or something?\Is it worse than last time?\This is several levels better than last time.\I'm surprised. response:	In both the story and the artwork, you got rid of the things I pointed out.
context: With this, we can definitely take the Tezuka Award!\What's with this silence?\Could it be that it's no good?\Is he so amazed he can't assess it or something?\Is it worse than last time?\This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out. response:	It's much better.
context: What's with this silence?\Could it be that it's no good?\Is he so amazed he can't assess it or something?\Is it worse than last time?\This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better. response:	The story is especially good.
context: Could it be that it's no good?\Is he so amazed he can't assess it or something?\Is it worse than last time?\This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good. response:	Yes, sir!
context: Is he so amazed he can't assess it or something?\Is it worse than last time?\This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good.\Yes, sir! response:	It's because this time, I took lots of opinions from Mashiro too!
context: Is it worse than last time?\This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good.\Yes, sir!\It's because this time, I took lots of opinions from Mashiro too! response:	This idea of giving them beam sabers is good, too.
context: This is several levels better than last time.\I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good.\Yes, sir!\It's because this time, I took lots of opinions from Mashiro too!\This idea of giving them beam sabers is good, too. response:	The action looks much better.
context: I'm surprised.\In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good.\Yes, sir!\It's because this time, I took lots of opinions from Mashiro too!\This idea of giving them beam sabers is good, too.\The action looks much better. response:	That's because of Mashiro's ideas, too!
context: In both the story and the artwork, you got rid of the things I pointed out.\It's much better.\The story is especially good.\Yes, sir!\It's because this time, I took lots of opinions from Mashiro too!\This idea of giving them beam sabers is good, too.\The action looks much better.\That's because of Mashiro's ideas, too! response:	I'm the one who said, Put in katanas, though.
context: It's much better.\The story is especially good.\Yes, sir!\It's because this time, I took lots of opinions from Mashiro too!\This idea of giving them beam sabers is good, too.\The action looks much better.\That's because of Mashiro's ideas, too!\I'm the one who said, Put in katanas, though. response:	It's because katanas show up so much in the current popular manga.
context: The story is especially good.\Yes, sir!\It's because this time, I took lots of opinions from Mashiro too!\This idea of giving them beam sabers is good, too.\The action looks much better.\That's because of Mashiro's ideas, too!\I'm the one who said, Put in katanas, though.\It's because katanas show up so much in the current popular manga. response:	I'm glad.
context: Yes, sir!\It's because this time, I took lots of opinions from Mashiro too!\This idea of giving them beam sabers is good, too.\The action looks much better.\That's because of Mashiro's ideas, too!\I'm the one who said, Put in katanas, though.\It's because katanas show up so much in the current popular manga.\I'm glad. response:	Hattori-san's evaluation wasn't bad either.
context: It's because this time, I took lots of opinions from Mashiro too!\This idea of giving them beam sabers is good, too.\The action looks much better.\That's because of Mashiro's ideas, too!\I'm the one who said, Put in katanas, though.\It's because katanas show up so much in the current popular manga.\I'm glad.\Hattori-san's evaluation wasn't bad either. response:	Just maybe...
context: This idea of giving them beam sabers is good, too.\The action looks much better.\That's because of Mashiro's ideas, too!\I'm the one who said, Put in katanas, though.\It's because katanas show up so much in the current popular manga.\I'm glad.\Hattori-san's evaluation wasn't bad either.\Just maybe... response:	I see.
context: The action looks much better.\That's because of Mashiro's ideas, too!\I'm the one who said, Put in katanas, though.\It's because katanas show up so much in the current popular manga.\I'm glad.\Hattori-san's evaluation wasn't bad either.\Just maybe...\I see. response:	Oh, right.
context: That's because of Mashiro's ideas, too!\I'm the one who said, Put in katanas, though.\It's because katanas show up so much in the current popular manga.\I'm glad.\Hattori-san's evaluation wasn't bad either.\Just maybe...\I see.\Oh, right. response:	Today is September the thirtieth.
context: I'm the one who said, Put in katanas, though.\It's because katanas show up so much in the current popular manga.\I'm glad.\Hattori-san's evaluation wasn't bad either.\Just maybe...\I see.\Oh, right.\Today is September the thirtieth. response:	Do you want to submit this for the Tezuka Award?
context: It's because katanas show up so much in the current popular manga.\I'm glad.\Hattori-san's evaluation wasn't bad either.\Just maybe...\I see.\Oh, right.\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award? response:	Yes!
context: I'm glad.\Hattori-san's evaluation wasn't bad either.\Just maybe...\I see.\Oh, right.\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes! response:	Now that I think of it...
context: Hattori-san's evaluation wasn't bad either.\Just maybe...\I see.\Oh, right.\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes!\Now that I think of it... response:	We're definitely going to get something in for the next Tezuka Award!
context: Just maybe...\I see.\Oh, right.\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes!\Now that I think of it...\We're definitely going to get something in for the next Tezuka Award! response:	That means, in order to make it in time for this...
context: I see.\Oh, right.\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes!\Now that I think of it...\We're definitely going to get something in for the next Tezuka Award!\That means, in order to make it in time for this... response:	Maybe they can do it...
context: Oh, right.\Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes!\Now that I think of it...\We're definitely going to get something in for the next Tezuka Award!\That means, in order to make it in time for this...\Maybe they can do it... response:	No, this will do it.
context: Today is September the thirtieth.\Do you want to submit this for the Tezuka Award?\Yes!\Now that I think of it...\We're definitely going to get something in for the next Tezuka Award!\That means, in order to make it in time for this...\Maybe they can do it...\No, this will do it. response:	You guys drink coffee, right?
context: Do you want to submit this for the Tezuka Award?\Yes!\Now that I think of it...\We're definitely going to get something in for the next Tezuka Award!\That means, in order to make it in time for this...\Maybe they can do it...\No, this will do it.\You guys drink coffee, right? response:	Is that okay?
context: Yes!\Now that I think of it...\We're definitely going to get something in for the next Tezuka Award!\That means, in order to make it in time for this...\Maybe they can do it...\No, this will do it.\You guys drink coffee, right?\Is that okay? response:	The results for the Tezuka Award come out in November.
context: Now that I think of it...\We're definitely going to get something in for the next Tezuka Award!\That means, in order to make it in time for this...\Maybe they can do it...\No, this will do it.\You guys drink coffee, right?\Is that okay?\The results for the Tezuka Award come out in November. response:	Until then, all you can do is wait quietly.
context: We're definitely going to get something in for the next Tezuka Award!\That means, in order to make it in time for this...\Maybe they can do it...\No, this will do it.\You guys drink coffee, right?\Is that okay?\The results for the Tezuka Award come out in November.\Until then, all you can do is wait quietly. response:	So for your next work, try drawing something that can be run in NEXT! in mind.
context: That means, in order to make it in time for this...\Maybe they can do it...\No, this will do it.\You guys drink coffee, right?\Is that okay?\The results for the Tezuka Award come out in November.\Until then, all you can do is wait quietly.\So for your next work, try drawing something that can be run in NEXT! in mind. response:	NEXT!?
context: Maybe they can do it...\No, this will do it.\You guys drink coffee, right?\Is that okay?\The results for the Tezuka Award come out in November.\Until then, all you can do is wait quietly.\So for your next work, try drawing something that can be run in NEXT! in mind.\NEXT!? response:	You know about it, right?
context: No, this will do it.\You guys drink coffee, right?\Is that okay?\The results for the Tezuka Award come out in November.\Until then, all you can do is wait quietly.\So for your next work, try drawing something that can be run in NEXT! in mind.\NEXT!?\You know about it, right? response:	Shounen Jack NEXT!
context: You guys drink coffee, right?\Is that okay?\The results for the Tezuka Award come out in November.\Until then, all you can do is wait quietly.\So for your next work, try drawing something that can be run in NEXT! in mind.\NEXT!?\You know about it, right?\Shounen Jack NEXT! response:	The special version of Shounen Jack that runs three times a year.
context: Is that okay?\The results for the Tezuka Award come out in November.\Until then, all you can do is wait quietly.\So for your next work, try drawing something that can be run in NEXT! in mind.\NEXT!?\You know about it, right?\Shounen Jack NEXT!\The special version of Shounen Jack that runs three times a year. response:	TL Note: This is based on the magazine Shounen Jump NEXT!
context: The results for the Tezuka Award come out in November.\Until then, all you can do is wait quietly.\So for your next work, try drawing something that can be run in NEXT! in mind.\NEXT!?\You know about it, right?\Shounen Jack NEXT!\The special version of Shounen Jack that runs three times a year.\TL Note: This is based on the magazine Shounen Jump NEXT! response:	TL Note: Its name was changed from Akamaru Jump in April 2010.
context: Until then, all you can do is wait quietly.\So for your next work, try drawing something that can be run in NEXT! in mind.\NEXT!?\You know about it, right?\Shounen Jack NEXT!\The special version of Shounen Jack that runs three times a year.\TL Note: This is based on the magazine Shounen Jump NEXT!\TL Note: Its name was changed from Akamaru Jump in April 2010. response:	It has newcomers, of course,
context: So for your next work, try drawing something that can be run in NEXT! in mind.\NEXT!?\You know about it, right?\Shounen Jack NEXT!\The special version of Shounen Jack that runs three times a year.\TL Note: This is based on the magazine Shounen Jump NEXT!\TL Note: Its name was changed from Akamaru Jump in April 2010.\It has newcomers, of course, response:	and works of authors who have experience being serialized are also run in it.
context: NEXT!?\You know about it, right?\Shounen Jack NEXT!\The special version of Shounen Jack that runs three times a year.\TL Note: This is based on the magazine Shounen Jump NEXT!\TL Note: Its name was changed from Akamaru Jump in April 2010.\It has newcomers, of course,\and works of authors who have experience being serialized are also run in it. response:	They say that if your skills are recognized here, it opens the door to the main magazine.
context: You know about it, right?\Shounen Jack NEXT!\The special version of Shounen Jack that runs three times a year.\TL Note: This is based on the magazine Shounen Jump NEXT!\TL Note: Its name was changed from Akamaru Jump in April 2010.\It has newcomers, of course,\and works of authors who have experience being serialized are also run in it.\They say that if your skills are recognized here, it opens the door to the main magazine. response:	Like a gateway to success magazine.
context: Shounen Jack NEXT!\The special version of Shounen Jack that runs three times a year.\TL Note: This is based on the magazine Shounen Jump NEXT!\TL Note: Its name was changed from Akamaru Jump in April 2010.\It has newcomers, of course,\and works of authors who have experience being serialized are also run in it.\They say that if your skills are recognized here, it opens the door to the main magazine.\Like a gateway to success magazine. response:	OOf course.
context: The special version of Shounen Jack that runs three times a year.\TL Note: This is based on the magazine Shounen Jump NEXT!\TL Note: Its name was changed from Akamaru Jump in April 2010.\It has newcomers, of course,\and works of authors who have experience being serialized are also run in it.\They say that if your skills are recognized here, it opens the door to the main magazine.\Like a gateway to success magazine.\OOf course. response:	Our work in there?
context: TL Note: This is based on the magazine Shounen Jump NEXT!\TL Note: Its name was changed from Akamaru Jump in April 2010.\It has newcomers, of course,\and works of authors who have experience being serialized are also run in it.\They say that if your skills are recognized here, it opens the door to the main magazine.\Like a gateway to success magazine.\OOf course.\Our work in there? response:	Don't be so surprised.
context: TL Note: Its name was changed from Akamaru Jump in April 2010.\It has newcomers, of course,\and works of authors who have experience being serialized are also run in it.\They say that if your skills are recognized here, it opens the door to the main magazine.\Like a gateway to success magazine.\OOf course.\Our work in there?\Don't be so surprised. response:	If this places in the Tezuka Award, the next stop will be your debut.
context: It has newcomers, of course,\and works of authors who have experience being serialized are also run in it.\They say that if your skills are recognized here, it opens the door to the main magazine.\Like a gateway to success magazine.\OOf course.\Our work in there?\Don't be so surprised.\If this places in the Tezuka Award, the next stop will be your debut. response:	Yes, but it's not certain we'll place yet, right?
context: and works of authors who have experience being serialized are also run in it.\They say that if your skills are recognized here, it opens the door to the main magazine.\Like a gateway to success magazine.\OOf course.\Our work in there?\Don't be so surprised.\If this places in the Tezuka Award, the next stop will be your debut.\Yes, but it's not certain we'll place yet, right? response:	That's true, but...
context: They say that if your skills are recognized here, it opens the door to the main magazine.\Like a gateway to success magazine.\OOf course.\Our work in there?\Don't be so surprised.\If this places in the Tezuka Award, the next stop will be your debut.\Yes, but it's not certain we'll place yet, right?\That's true, but... response:	Even if you can't place,
context: Like a gateway to success magazine.\OOf course.\Our work in there?\Don't be so surprised.\If this places in the Tezuka Award, the next stop will be your debut.\Yes, but it's not certain we'll place yet, right?\That's true, but...\Even if you can't place, response:	with the quality this has, you wouldn't be embarrassed no matter where you put it.
context: OOf course.\Our work in there?\Don't be so surprised.\If this places in the Tezuka Award, the next stop will be your debut.\Yes, but it's not certain we'll place yet, right?\That's true, but...\Even if you can't place,\with the quality this has, you wouldn't be embarrassed no matter where you put it. response:	That's what I think.
context: Our work in there?\Don't be so surprised.\If this places in the Tezuka Award, the next stop will be your debut.\Yes, but it's not certain we'll place yet, right?\That's true, but...\Even if you can't place,\with the quality this has, you wouldn't be embarrassed no matter where you put it.\That's what I think. response:	So for your next work, draw with the goal of it definitely appearing in print.
context: Don't be so surprised.\If this places in the Tezuka Award, the next stop will be your debut.\Yes, but it's not certain we'll place yet, right?\That's true, but...\Even if you can't place,\with the quality this has, you wouldn't be embarrassed no matter where you put it.\That's what I think.\So for your next work, draw with the goal of it definitely appearing in print. response:	I did have confidence, but to think we did that well...
context: If this places in the Tezuka Award, the next stop will be your debut.\Yes, but it's not certain we'll place yet, right?\That's true, but...\Even if you can't place,\with the quality this has, you wouldn't be embarrassed no matter where you put it.\That's what I think.\So for your next work, draw with the goal of it definitely appearing in print.\I did have confidence, but to think we did that well... response:	That story is interesting.
context: Yes, but it's not certain we'll place yet, right?\That's true, but...\Even if you can't place,\with the quality this has, you wouldn't be embarrassed no matter where you put it.\That's what I think.\So for your next work, draw with the goal of it definitely appearing in print.\I did have confidence, but to think we did that well...\That story is interesting. response:	I think we can make it, too.
context: That's true, but...\Even if you can't place,\with the quality this has, you wouldn't be embarrassed no matter where you put it.\That's what I think.\So for your next work, draw with the goal of it definitely appearing in print.\I did have confidence, but to think we did that well...\That story is interesting.\I think we can make it, too. response:	Really?
context: Even if you can't place,\with the quality this has, you wouldn't be embarrassed no matter where you put it.\That's what I think.\So for your next work, draw with the goal of it definitely appearing in print.\I did have confidence, but to think we did that well...\That story is interesting.\I think we can make it, too.\Really? response:	Well then I guess I can honestly be happy.
context: with the quality this has, you wouldn't be embarrassed no matter where you put it.\That's what I think.\So for your next work, draw with the goal of it definitely appearing in print.\I did have confidence, but to think we did that well...\That story is interesting.\I think we can make it, too.\Really?\Well then I guess I can honestly be happy. response:	For now, it looks like I've graduated from writing things suited to being light novels.
context: That's what I think.\So for your next work, draw with the goal of it definitely appearing in print.\I did have confidence, but to think we did that well...\That story is interesting.\I think we can make it, too.\Really?\Well then I guess I can honestly be happy.\For now, it looks like I've graduated from writing things suited to being light novels. response:	The story's especially good.
context: So for your next work, draw with the goal of it definitely appearing in print.\I did have confidence, but to think we did that well...\That story is interesting.\I think we can make it, too.\Really?\Well then I guess I can honestly be happy.\For now, it looks like I've graduated from writing things suited to being light novels.\The story's especially good. response:	The story is interesting.
context: I did have confidence, but to think we did that well...\That story is interesting.\I think we can make it, too.\Really?\Well then I guess I can honestly be happy.\For now, it looks like I've graduated from writing things suited to being light novels.\The story's especially good.\The story is interesting. response:	If we don't make it, that means my drawings were...
context: That story is interesting.\I think we can make it, too.\Really?\Well then I guess I can honestly be happy.\For now, it looks like I've graduated from writing things suited to being light novels.\The story's especially good.\The story is interesting.\If we don't make it, that means my drawings were... response:	If we're going up against pros in NEXT!,
context: I think we can make it, too.\Really?\Well then I guess I can honestly be happy.\For now, it looks like I've graduated from writing things suited to being light novels.\The story's especially good.\The story is interesting.\If we don't make it, that means my drawings were...\If we're going up against pros in NEXT!, response:	then my art needs to be on a higher level.
context: Really?\Well then I guess I can honestly be happy.\For now, it looks like I've graduated from writing things suited to being light novels.\The story's especially good.\The story is interesting.\If we don't make it, that means my drawings were...\If we're going up against pros in NEXT!,\then my art needs to be on a higher level. response:	If this places in the Tezuka Award, the next stop will be your debut.
context: Well then I guess I can honestly be happy.\For now, it looks like I've graduated from writing things suited to being light novels.\The story's especially good.\The story is interesting.\If we don't make it, that means my drawings were...\If we're going up against pros in NEXT!,\then my art needs to be on a higher level.\If this places in the Tezuka Award, the next stop will be your debut. response:	If we place... our debut as mangakas.
context: For now, it looks like I've graduated from writing things suited to being light novels.\The story's especially good.\The story is interesting.\If we don't make it, that means my drawings were...\If we're going up against pros in NEXT!,\then my art needs to be on a higher level.\If this places in the Tezuka Award, the next stop will be your debut.\If we place... our debut as mangakas. response:	No good?
context: The story's especially good.\The story is interesting.\If we don't make it, that means my drawings were...\If we're going up against pros in NEXT!,\then my art needs to be on a higher level.\If this places in the Tezuka Award, the next stop will be your debut.\If we place... our debut as mangakas.\No good? response:	Nothing shined at all, Takagi-kun.
context: The story is interesting.\If we don't make it, that means my drawings were...\If we're going up against pros in NEXT!,\then my art needs to be on a higher level.\If this places in the Tezuka Award, the next stop will be your debut.\If we place... our debut as mangakas.\No good?\Nothing shined at all, Takagi-kun. response:	Were the previous ones flukes?
context: If we don't make it, that means my drawings were...\If we're going up against pros in NEXT!,\then my art needs to be on a higher level.\If this places in the Tezuka Award, the next stop will be your debut.\If we place... our debut as mangakas.\No good?\Nothing shined at all, Takagi-kun.\Were the previous ones flukes? response:	To be honest, I'm worried about the Tezuka Award.
context: If we're going up against pros in NEXT!,\then my art needs to be on a higher level.\If this places in the Tezuka Award, the next stop will be your debut.\If we place... our debut as mangakas.\No good?\Nothing shined at all, Takagi-kun.\Were the previous ones flukes?\To be honest, I'm worried about the Tezuka Award. response:	If I'm wondering about whether or not we can place in it, I can't concentrate.
context: then my art needs to be on a higher level.\If this places in the Tezuka Award, the next stop will be your debut.\If we place... our debut as mangakas.\No good?\Nothing shined at all, Takagi-kun.\Were the previous ones flukes?\To be honest, I'm worried about the Tezuka Award.\If I'm wondering about whether or not we can place in it, I can't concentrate. response:	I know!
context: If this places in the Tezuka Award, the next stop will be your debut.\If we place... our debut as mangakas.\No good?\Nothing shined at all, Takagi-kun.\Were the previous ones flukes?\To be honest, I'm worried about the Tezuka Award.\If I'm wondering about whether or not we can place in it, I can't concentrate.\I know! response:	I've been practicing drawing, but inside my head that's all I can think about.
context: If we place... our debut as mangakas.\No good?\Nothing shined at all, Takagi-kun.\Were the previous ones flukes?\To be honest, I'm worried about the Tezuka Award.\If I'm wondering about whether or not we can place in it, I can't concentrate.\I know!\I've been practicing drawing, but inside my head that's all I can think about. response:	Placing, debuting, and then getting serialized or something...
context: No good?\Nothing shined at all, Takagi-kun.\Were the previous ones flukes?\To be honest, I'm worried about the Tezuka Award.\If I'm wondering about whether or not we can place in it, I can't concentrate.\I know!\I've been practicing drawing, but inside my head that's all I can think about.\Placing, debuting, and then getting serialized or something... response:	All I can imagine is good things happening.
context: Nothing shined at all, Takagi-kun.\Were the previous ones flukes?\To be honest, I'm worried about the Tezuka Award.\If I'm wondering about whether or not we can place in it, I can't concentrate.\I know!\I've been practicing drawing, but inside my head that's all I can think about.\Placing, debuting, and then getting serialized or something...\All I can imagine is good things happening. response:	Yeah, yeah.
context: Were the previous ones flukes?\To be honest, I'm worried about the Tezuka Award.\If I'm wondering about whether or not we can place in it, I can't concentrate.\I know!\I've been practicing drawing, but inside my head that's all I can think about.\Placing, debuting, and then getting serialized or something...\All I can imagine is good things happening.\Yeah, yeah. response:	I know it's naive, but I can't help but think about it.
context: To be honest, I'm worried about the Tezuka Award.\If I'm wondering about whether or not we can place in it, I can't concentrate.\I know!\I've been practicing drawing, but inside my head that's all I can think about.\Placing, debuting, and then getting serialized or something...\All I can imagine is good things happening.\Yeah, yeah.\I know it's naive, but I can't help but think about it. response:	Hattori-san said that the results would come out in November.
context: If I'm wondering about whether or not we can place in it, I can't concentrate.\I know!\I've been practicing drawing, but inside my head that's all I can think about.\Placing, debuting, and then getting serialized or something...\All I can imagine is good things happening.\Yeah, yeah.\I know it's naive, but I can't help but think about it.\Hattori-san said that the results would come out in November. response:	Not for another month, huh?
context: I know!\I've been practicing drawing, but inside my head that's all I can think about.\Placing, debuting, and then getting serialized or something...\All I can imagine is good things happening.\Yeah, yeah.\I know it's naive, but I can't help but think about it.\Hattori-san said that the results would come out in November.\Not for another month, huh? response:	Hello?
context: I've been practicing drawing, but inside my head that's all I can think about.\Placing, debuting, and then getting serialized or something...\All I can imagine is good things happening.\Yeah, yeah.\I know it's naive, but I can't help but think about it.\Hattori-san said that the results would come out in November.\Not for another month, huh?\Hello? response:	Your mid-terms are coming up soon, what're you doing?
context: Placing, debuting, and then getting serialized or something...\All I can imagine is good things happening.\Yeah, yeah.\I know it's naive, but I can't help but think about it.\Hattori-san said that the results would come out in November.\Not for another month, huh?\Hello?\Your mid-terms are coming up soon, what're you doing? response:	Eh?
context: All I can imagine is good things happening.\Yeah, yeah.\I know it's naive, but I can't help but think about it.\Hattori-san said that the results would come out in November.\Not for another month, huh?\Hello?\Your mid-terms are coming up soon, what're you doing?\Eh? response:	Please hurry and come home!
context: Yeah, yeah.\I know it's naive, but I can't help but think about it.\Hattori-san said that the results would come out in November.\Not for another month, huh?\Hello?\Your mid-terms are coming up soon, what're you doing?\Eh?\Please hurry and come home! response:	Ah, Shuujin?
context: I know it's naive, but I can't help but think about it.\Hattori-san said that the results would come out in November.\Not for another month, huh?\Hello?\Your mid-terms are coming up soon, what're you doing?\Eh?\Please hurry and come home!\Ah, Shuujin? response:	No way...
context: Hattori-san said that the results would come out in November.\Not for another month, huh?\Hello?\Your mid-terms are coming up soon, what're you doing?\Eh?\Please hurry and come home!\Ah, Shuujin?\No way... response:	How?
context: Not for another month, huh?\Hello?\Your mid-terms are coming up soon, what're you doing?\Eh?\Please hurry and come home!\Ah, Shuujin?\No way...\How? response:	I'm not getting any good ideas.
context: Hello?\Your mid-terms are coming up soon, what're you doing?\Eh?\Please hurry and come home!\Ah, Shuujin?\No way...\How?\I'm not getting any good ideas. response:	It's already been three weeks since we promised Hattori-san.
context: Your mid-terms are coming up soon, what're you doing?\Eh?\Please hurry and come home!\Ah, Shuujin?\No way...\How?\I'm not getting any good ideas.\It's already been three weeks since we promised Hattori-san. response:	Everyone is surprised you got third.
context: Eh?\Please hurry and come home!\Ah, Shuujin?\No way...\How?\I'm not getting any good ideas.\It's already been three weeks since we promised Hattori-san.\Everyone is surprised you got third. response:	For what?
context: Please hurry and come home!\Ah, Shuujin?\No way...\How?\I'm not getting any good ideas.\It's already been three weeks since we promised Hattori-san.\Everyone is surprised you got third.\For what? response:	The mid-term.
context: Ah, Shuujin?\No way...\How?\I'm not getting any good ideas.\It's already been three weeks since we promised Hattori-san.\Everyone is surprised you got third.\For what?\The mid-term. response:	Yeah.
context: No way...\How?\I'm not getting any good ideas.\It's already been three weeks since we promised Hattori-san.\Everyone is surprised you got third.\For what?\The mid-term.\Yeah. response:	It's really no problem.
context: How?\I'm not getting any good ideas.\It's already been three weeks since we promised Hattori-san.\Everyone is surprised you got third.\For what?\The mid-term.\Yeah.\It's really no problem. response:	My grades are more than enough to get into North High.
context: I'm not getting any good ideas.\It's already been three weeks since we promised Hattori-san.\Everyone is surprised you got third.\For what?\The mid-term.\Yeah.\It's really no problem.\My grades are more than enough to get into North High. response:	But...
context: It's already been three weeks since we promised Hattori-san.\Everyone is surprised you got third.\For what?\The mid-term.\Yeah.\It's really no problem.\My grades are more than enough to get into North High.\But... response:	Never mind that.
context: Everyone is surprised you got third.\For what?\The mid-term.\Yeah.\It's really no problem.\My grades are more than enough to get into North High.\But...\Never mind that. response:	The name, the name.
