context: I've gathered you all here for one reason. response:	At this point we shall now commence Operation High Tension Syndrome.
context: I have no clue what you're saying, but okay let's go!!\How about you Shiina\What, you're not here anymore?!\Alright! Let's head to the dining hall!\My stomach's ready for some action!!\Yum! How delicious! This omelette rice is the best!!\That's nothing! This dining hall is all about the udon!\Man, this is the best!! response:	Mmm! Mapo tofu is crazy night!
context: How about you Shiina\What, you're not here anymore?!\Alright! Let's head to the dining hall!\My stomach's ready for some action!!\Yum! How delicious! This omelette rice is the best!!\That's nothing! This dining hall is all about the udon!\Man, this is the best!!\Mmm! Mapo tofu is crazy night! response:	Oh no! I finished this already?!
context: What, you're not here anymore?!\Alright! Let's head to the dining hall!\My stomach's ready for some action!!\Yum! How delicious! This omelette rice is the best!!\That's nothing! This dining hall is all about the udon!\Man, this is the best!!\Mmm! Mapo tofu is crazy night!\Oh no! I finished this already?! response:	I gotta lick the plate clean!!
context: Alright! Let's head to the dining hall!\My stomach's ready for some action!!\Yum! How delicious! This omelette rice is the best!!\That's nothing! This dining hall is all about the udon!\Man, this is the best!!\Mmm! Mapo tofu is crazy night!\Oh no! I finished this already?!\I gotta lick the plate clean!! response:	Alright! I'm getting seconds!
context: My stomach's ready for some action!!\Yum! How delicious! This omelette rice is the best!!\That's nothing! This dining hall is all about the udon!\Man, this is the best!!\Mmm! Mapo tofu is crazy night!\Oh no! I finished this already?!\I gotta lick the plate clean!!\Alright! I'm getting seconds! response:	That's nothing! I'm getting me seconds too!
context: Yum! How delicious! This omelette rice is the best!!\That's nothing! This dining hall is all about the udon!\Man, this is the best!!\Mmm! Mapo tofu is crazy night!\Oh no! I finished this already?!\I gotta lick the plate clean!!\Alright! I'm getting seconds!\That's nothing! I'm getting me seconds too! response:	Mapo tofu gimme back!
context: That's nothing! This dining hall is all about the udon!\Man, this is the best!!\Mmm! Mapo tofu is crazy night!\Oh no! I finished this already?!\I gotta lick the plate clean!!\Alright! I'm getting seconds!\That's nothing! I'm getting me seconds too!\Mapo tofu gimme back! response:	It's going to be so fun, I can't stop shaking!
context: Man, this is the best!!\Mmm! Mapo tofu is crazy night!\Oh no! I finished this already?!\I gotta lick the plate clean!!\Alright! I'm getting seconds!\That's nothing! I'm getting me seconds too!\Mapo tofu gimme back!\It's going to be so fun, I can't stop shaking! response:	I'm totally with you!
context: Mmm! Mapo tofu is crazy night!\Oh no! I finished this already?!\I gotta lick the plate clean!!\Alright! I'm getting seconds!\That's nothing! I'm getting me seconds too!\Mapo tofu gimme back!\It's going to be so fun, I can't stop shaking!\I'm totally with you! response:	Yeah! Me too!!
context: Oh no! I finished this already?!\I gotta lick the plate clean!!\Alright! I'm getting seconds!\That's nothing! I'm getting me seconds too!\Mapo tofu gimme back!\It's going to be so fun, I can't stop shaking!\I'm totally with you!\Yeah! Me too!! response:	As am I! This muscle was made for it!
context: I gotta lick the plate clean!!\Alright! I'm getting seconds!\That's nothing! I'm getting me seconds too!\Mapo tofu gimme back!\It's going to be so fun, I can't stop shaking!\I'm totally with you!\Yeah! Me too!!\As am I! This muscle was made for it! response:	You too, right Otonashi?!
context: Alright! I'm getting seconds!\That's nothing! I'm getting me seconds too!\Mapo tofu gimme back!\It's going to be so fun, I can't stop shaking!\I'm totally with you!\Yeah! Me too!!\As am I! This muscle was made for it!\You too, right Otonashi?! response:	Uh, yeah...
context: That's nothing! I'm getting me seconds too!\Mapo tofu gimme back!\It's going to be so fun, I can't stop shaking!\I'm totally with you!\Yeah! Me too!!\As am I! This muscle was made for it!\You too, right Otonashi?!\Uh, yeah... response:	What are you going to do now?
context: Mapo tofu gimme back!\It's going to be so fun, I can't stop shaking!\I'm totally with you!\Yeah! Me too!!\As am I! This muscle was made for it!\You too, right Otonashi?!\Uh, yeah...\What are you going to do now? response:	She suddenly appeared...
context: It's going to be so fun, I can't stop shaking!\I'm totally with you!\Yeah! Me too!!\As am I! This muscle was made for it!\You too, right Otonashi?!\Uh, yeah...\What are you going to do now?\She suddenly appeared... response:	Going crazy, going crazy!!
context: I'm totally with you!\Yeah! Me too!!\As am I! This muscle was made for it!\You too, right Otonashi?!\Uh, yeah...\What are you going to do now?\She suddenly appeared...\Going crazy, going crazy!! response:	That's what youth is all about!!
context: Yeah! Me too!!\As am I! This muscle was made for it!\You too, right Otonashi?!\Uh, yeah...\What are you going to do now?\She suddenly appeared...\Going crazy, going crazy!!\That's what youth is all about!! response:	Youth?
context: As am I! This muscle was made for it!\You too, right Otonashi?!\Uh, yeah...\What are you going to do now?\She suddenly appeared...\Going crazy, going crazy!!\That's what youth is all about!!\Youth? response:	Right, guys?!
context: You too, right Otonashi?!\Uh, yeah...\What are you going to do now?\She suddenly appeared...\Going crazy, going crazy!!\That's what youth is all about!!\Youth?\Right, guys?! response:	It's youth!!
context: Uh, yeah...\What are you going to do now?\She suddenly appeared...\Going crazy, going crazy!!\That's what youth is all about!!\Youth?\Right, guys?!\It's youth!! response:	Right, youth!!
context: What are you going to do now?\She suddenly appeared...\Going crazy, going crazy!!\That's what youth is all about!!\Youth?\Right, guys?!\It's youth!!\Right, youth!! response:	Youth!!
context: She suddenly appeared...\Going crazy, going crazy!!\That's what youth is all about!!\Youth?\Right, guys?!\It's youth!!\Right, youth!!\Youth!! response:	See?
context: Going crazy, going crazy!!\That's what youth is all about!!\Youth?\Right, guys?!\It's youth!!\Right, youth!!\Youth!!\See? response:	Second period is starting soon.
context: That's what youth is all about!!\Youth?\Right, guys?!\It's youth!!\Right, youth!!\Youth!!\See?\Second period is starting soon. response:	I forgot!
context: Youth?\Right, guys?!\It's youth!!\Right, youth!!\Youth!!\See?\Second period is starting soon.\I forgot! response:	But this is no time to be taken aback!
context: Right, guys?!\It's youth!!\Right, youth!!\Youth!!\See?\Second period is starting soon.\I forgot!\But this is no time to be taken aback! response:	Studying is also a part of youth!!
context: It's youth!!\Right, youth!!\Youth!!\See?\Second period is starting soon.\I forgot!\But this is no time to be taken aback!\Studying is also a part of youth!! response:	You're attending class?
context: Right, youth!!\Youth!!\See?\Second period is starting soon.\I forgot!\But this is no time to be taken aback!\Studying is also a part of youth!!\You're attending class? response:	Of course we are!!
context: Youth!!\See?\Second period is starting soon.\I forgot!\But this is no time to be taken aback!\Studying is also a part of youth!!\You're attending class?\Of course we are!! response:	Right, guys?!
context: See?\Second period is starting soon.\I forgot!\But this is no time to be taken aback!\Studying is also a part of youth!!\You're attending class?\Of course we are!!\Right, guys?! response:	Yeah!! Studying is youth itself!!
context: Second period is starting soon.\I forgot!\But this is no time to be taken aback!\Studying is also a part of youth!!\You're attending class?\Of course we are!!\Right, guys?!\Yeah!! Studying is youth itself!! response:	Baseball can go suck one!!
context: I forgot!\But this is no time to be taken aback!\Studying is also a part of youth!!\You're attending class?\Of course we are!!\Right, guys?!\Yeah!! Studying is youth itself!!\Baseball can go suck one!! response:	Today, I become a scholar!!
context: But this is no time to be taken aback!\Studying is also a part of youth!!\You're attending class?\Of course we are!!\Right, guys?!\Yeah!! Studying is youth itself!!\Baseball can go suck one!!\Today, I become a scholar!! response:	Yes! I've built this muscle solely to study!!
context: Studying is also a part of youth!!\You're attending class?\Of course we are!!\Right, guys?!\Yeah!! Studying is youth itself!!\Baseball can go suck one!!\Today, I become a scholar!!\Yes! I've built this muscle solely to study!! response:	Studying! Studying! Studying! Studying!!
context: You're attending class?\Of course we are!!\Right, guys?!\Yeah!! Studying is youth itself!!\Baseball can go suck one!!\Today, I become a scholar!!\Yes! I've built this muscle solely to study!!\Studying! Studying! Studying! Studying!! response:	Now then, 1858, the Ansei Purge...
context: Of course we are!!\Right, guys?!\Yeah!! Studying is youth itself!!\Baseball can go suck one!!\Today, I become a scholar!!\Yes! I've built this muscle solely to study!!\Studying! Studying! Studying! Studying!!\Now then, 1858, the Ansei Purge... response:	Ii Naosuke, Tairou of the Edo Bakufu
context: Right, guys?!\Yeah!! Studying is youth itself!!\Baseball can go suck one!!\Today, I become a scholar!!\Yes! I've built this muscle solely to study!!\Studying! Studying! Studying! Studying!!\Now then, 1858, the Ansei Purge...\Ii Naosuke, Tairou of the Edo Bakufu response:	Here comes Ii Naosuke!!
context: Yeah!! Studying is youth itself!!\Baseball can go suck one!!\Today, I become a scholar!!\Yes! I've built this muscle solely to study!!\Studying! Studying! Studying! Studying!!\Now then, 1858, the Ansei Purge...\Ii Naosuke, Tairou of the Edo Bakufu\Here comes Ii Naosuke!! response:	Wh-What's wrong?
context: Baseball can go suck one!!\Today, I become a scholar!!\Yes! I've built this muscle solely to study!!\Studying! Studying! Studying! Studying!!\Now then, 1858, the Ansei Purge...\Ii Naosuke, Tairou of the Edo Bakufu\Here comes Ii Naosuke!!\Wh-What's wrong? response:	I'm sorry!
context: Today, I become a scholar!!\Yes! I've built this muscle solely to study!!\Studying! Studying! Studying! Studying!!\Now then, 1858, the Ansei Purge...\Ii Naosuke, Tairou of the Edo Bakufu\Here comes Ii Naosuke!!\Wh-What's wrong?\I'm sorry! response:	Ii Naosuke is like a superhero to me!
context: Yes! I've built this muscle solely to study!!\Studying! Studying! Studying! Studying!!\Now then, 1858, the Ansei Purge...\Ii Naosuke, Tairou of the Edo Bakufu\Here comes Ii Naosuke!!\Wh-What's wrong?\I'm sorry!\Ii Naosuke is like a superhero to me! response:	I accidentally came.
context: Studying! Studying! Studying! Studying!!\Now then, 1858, the Ansei Purge...\Ii Naosuke, Tairou of the Edo Bakufu\Here comes Ii Naosuke!!\Wh-What's wrong?\I'm sorry!\Ii Naosuke is like a superhero to me!\I accidentally came. response:	I see...
context: Now then, 1858, the Ansei Purge...\Ii Naosuke, Tairou of the Edo Bakufu\Here comes Ii Naosuke!!\Wh-What's wrong?\I'm sorry!\Ii Naosuke is like a superhero to me!\I accidentally came.\I see... response:	Honnouji...
context: Ii Naosuke, Tairou of the Edo Bakufu\Here comes Ii Naosuke!!\Wh-What's wrong?\I'm sorry!\Ii Naosuke is like a superhero to me!\I accidentally came.\I see...\Honnouji... response:	When do we get to the Incident at Honnouji?!
context: Here comes Ii Naosuke!!\Wh-What's wrong?\I'm sorry!\Ii Naosuke is like a superhero to me!\I accidentally came.\I see...\Honnouji...\When do we get to the Incident at Honnouji?! response:	We already passed that part.
context: Wh-What's wrong?\I'm sorry!\Ii Naosuke is like a superhero to me!\I accidentally came.\I see...\Honnouji...\When do we get to the Incident at Honnouji?!\We already passed that part. response:	Akechi Mitsuhide!!
context: I'm sorry!\Ii Naosuke is like a superhero to me!\I accidentally came.\I see...\Honnouji...\When do we get to the Incident at Honnouji?!\We already passed that part.\Akechi Mitsuhide!! response:	The Shorui Awaremi no Rei!!
context: Ii Naosuke is like a superhero to me!\I accidentally came.\I see...\Honnouji...\When do we get to the Incident at Honnouji?!\We already passed that part.\Akechi Mitsuhide!!\The Shorui Awaremi no Rei!! response:	It's time for the Shorui Awaremi no Rei, Sensei!!
context: I accidentally came.\I see...\Honnouji...\When do we get to the Incident at Honnouji?!\We already passed that part.\Akechi Mitsuhide!!\The Shorui Awaremi no Rei!!\It's time for the Shorui Awaremi no Rei, Sensei!! response:	What now?!
context: I see...\Honnouji...\When do we get to the Incident at Honnouji?!\We already passed that part.\Akechi Mitsuhide!!\The Shorui Awaremi no Rei!!\It's time for the Shorui Awaremi no Rei, Sensei!!\What now?! response:	It's time for the Shorui Awaremi no Rei now!
context: Honnouji...\When do we get to the Incident at Honnouji?!\We already passed that part.\Akechi Mitsuhide!!\The Shorui Awaremi no Rei!!\It's time for the Shorui Awaremi no Rei, Sensei!!\What now?!\It's time for the Shorui Awaremi no Rei now! response:	We passed that part.
context: When do we get to the Incident at Honnouji?!\We already passed that part.\Akechi Mitsuhide!!\The Shorui Awaremi no Rei!!\It's time for the Shorui Awaremi no Rei, Sensei!!\What now?!\It's time for the Shorui Awaremi no Rei now!\We passed that part. response:	Edo... Bakufu...
context: We already passed that part.\Akechi Mitsuhide!!\The Shorui Awaremi no Rei!!\It's time for the Shorui Awaremi no Rei, Sensei!!\What now?!\It's time for the Shorui Awaremi no Rei now!\We passed that part.\Edo... Bakufu... response:	Shut up, you lot!!
context: Akechi Mitsuhide!!\The Shorui Awaremi no Rei!!\It's time for the Shorui Awaremi no Rei, Sensei!!\What now?!\It's time for the Shorui Awaremi no Rei now!\We passed that part.\Edo... Bakufu...\Shut up, you lot!! response:	What are you, Soga no Iruka?!
context: The Shorui Awaremi no Rei!!\It's time for the Shorui Awaremi no Rei, Sensei!!\What now?!\It's time for the Shorui Awaremi no Rei now!\We passed that part.\Edo... Bakufu...\Shut up, you lot!!\What are you, Soga no Iruka?! response:	Because we're doing Japanese history, right?
context: It's time for the Shorui Awaremi no Rei, Sensei!!\What now?!\It's time for the Shorui Awaremi no Rei now!\We passed that part.\Edo... Bakufu...\Shut up, you lot!!\What are you, Soga no Iruka?!\Because we're doing Japanese history, right? response:	He thinks that was good?!
context: What now?!\It's time for the Shorui Awaremi no Rei now!\We passed that part.\Edo... Bakufu...\Shut up, you lot!!\What are you, Soga no Iruka?!\Because we're doing Japanese history, right?\He thinks that was good?! response:	That's right, Sensei!
context: It's time for the Shorui Awaremi no Rei now!\We passed that part.\Edo... Bakufu...\Shut up, you lot!!\What are you, Soga no Iruka?!\Because we're doing Japanese history, right?\He thinks that was good?!\That's right, Sensei! response:	Leave him be and keep going!
context: We passed that part.\Edo... Bakufu...\Shut up, you lot!!\What are you, Soga no Iruka?!\Because we're doing Japanese history, right?\He thinks that was good?!\That's right, Sensei!\Leave him be and keep going! response:	Teach us more!
context: Edo... Bakufu...\Shut up, you lot!!\What are you, Soga no Iruka?!\Because we're doing Japanese history, right?\He thinks that was good?!\That's right, Sensei!\Leave him be and keep going!\Teach us more! response:	I want to learn more!
context: Shut up, you lot!!\What are you, Soga no Iruka?!\Because we're doing Japanese history, right?\He thinks that was good?!\That's right, Sensei!\Leave him be and keep going!\Teach us more!\I want to learn more! response:	Hey! Teach me! Hey! Come on!
context: What are you, Soga no Iruka?!\Because we're doing Japanese history, right?\He thinks that was good?!\That's right, Sensei!\Leave him be and keep going!\Teach us more!\I want to learn more!\Hey! Teach me! Hey! Come on! response:	Alright, now let's go to the next page.
context: Because we're doing Japanese history, right?\He thinks that was good?!\That's right, Sensei!\Leave him be and keep going!\Teach us more!\I want to learn more!\Hey! Teach me! Hey! Come on!\Alright, now let's go to the next page. response:	During the French Revolution, as symbols of the privileged class, Louis XVI and Marie Antoinette
context: He thinks that was good?!\That's right, Sensei!\Leave him be and keep going!\Teach us more!\I want to learn more!\Hey! Teach me! Hey! Come on!\Alright, now let's go to the next page.\During the French Revolution, as symbols of the privileged class, Louis XVI and Marie Antoinette response:	It's Marie!!
context: That's right, Sensei!\Leave him be and keep going!\Teach us more!\I want to learn more!\Hey! Teach me! Hey! Come on!\Alright, now let's go to the next page.\During the French Revolution, as symbols of the privileged class, Louis XVI and Marie Antoinette\It's Marie!! response:	Wh-What's wrong?
context: Leave him be and keep going!\Teach us more!\I want to learn more!\Hey! Teach me! Hey! Come on!\Alright, now let's go to the next page.\During the French Revolution, as symbols of the privileged class, Louis XVI and Marie Antoinette\It's Marie!!\Wh-What's wrong? response:	I'm sorry!
context: Teach us more!\I want to learn more!\Hey! Teach me! Hey! Come on!\Alright, now let's go to the next page.\During the French Revolution, as symbols of the privileged class, Louis XVI and Marie Antoinette\It's Marie!!\Wh-What's wrong?\I'm sorry! response:	Marie is a moe heroine in my book, so I accidentally came!
context: I want to learn more!\Hey! Teach me! Hey! Come on!\Alright, now let's go to the next page.\During the French Revolution, as symbols of the privileged class, Louis XVI and Marie Antoinette\It's Marie!!\Wh-What's wrong?\I'm sorry!\Marie is a moe heroine in my book, so I accidentally came! response:	Moe?
context: Hey! Teach me! Hey! Come on!\Alright, now let's go to the next page.\During the French Revolution, as symbols of the privileged class, Louis XVI and Marie Antoinette\It's Marie!!\Wh-What's wrong?\I'm sorry!\Marie is a moe heroine in my book, so I accidentally came!\Moe? response:	engine...
context: Alright, now let's go to the next page.\During the French Revolution, as symbols of the privileged class, Louis XVI and Marie Antoinette\It's Marie!!\Wh-What's wrong?\I'm sorry!\Marie is a moe heroine in my book, so I accidentally came!\Moe?\engine... response:	When will Watt's steam engine be invented?!
context: During the French Revolution, as symbols of the privileged class, Louis XVI and Marie Antoinette\It's Marie!!\Wh-What's wrong?\I'm sorry!\Marie is a moe heroine in my book, so I accidentally came!\Moe?\engine...\When will Watt's steam engine be invented?! response:	It's already been invented...
context: It's Marie!!\Wh-What's wrong?\I'm sorry!\Marie is a moe heroine in my book, so I accidentally came!\Moe?\engine...\When will Watt's steam engine be invented?!\It's already been invented... response:	No, the steam - powered locomotive wasn't
context: Wh-What's wrong?\I'm sorry!\Marie is a moe heroine in my book, so I accidentally came!\Moe?\engine...\When will Watt's steam engine be invented?!\It's already been invented...\No, the steam - powered locomotive wasn't response:	The Second Punic War!!
context: I'm sorry!\Marie is a moe heroine in my book, so I accidentally came!\Moe?\engine...\When will Watt's steam engine be invented?!\It's already been invented...\No, the steam - powered locomotive wasn't\The Second Punic War!! response:	It's time for the Second Punic War, Sensei!!
context: Marie is a moe heroine in my book, so I accidentally came!\Moe?\engine...\When will Watt's steam engine be invented?!\It's already been invented...\No, the steam - powered locomotive wasn't\The Second Punic War!!\It's time for the Second Punic War, Sensei!! response:	We already passed that part.
context: Moe?\engine...\When will Watt's steam engine be invented?!\It's already been invented...\No, the steam - powered locomotive wasn't\The Second Punic War!!\It's time for the Second Punic War, Sensei!!\We already passed that part. response:	The Punic... Bakufu...
context: engine...\When will Watt's steam engine be invented?!\It's already been invented...\No, the steam - powered locomotive wasn't\The Second Punic War!!\It's time for the Second Punic War, Sensei!!\We already passed that part.\The Punic... Bakufu... response:	There wasn't a Bakufu called that...
context: When will Watt's steam engine be invented?!\It's already been invented...\No, the steam - powered locomotive wasn't\The Second Punic War!!\It's time for the Second Punic War, Sensei!!\We already passed that part.\The Punic... Bakufu...\There wasn't a Bakufu called that... response:	Shut up, you lot!!
context: It's already been invented...\No, the steam - powered locomotive wasn't\The Second Punic War!!\It's time for the Second Punic War, Sensei!!\We already passed that part.\The Punic... Bakufu...\There wasn't a Bakufu called that...\Shut up, you lot!! response:	What are you, Genghis Khan?!
context: No, the steam - powered locomotive wasn't\The Second Punic War!!\It's time for the Second Punic War, Sensei!!\We already passed that part.\The Punic... Bakufu...\There wasn't a Bakufu called that...\Shut up, you lot!!\What are you, Genghis Khan?! response:	Because we're doing world history, right?
context: The Second Punic War!!\It's time for the Second Punic War, Sensei!!\We already passed that part.\The Punic... Bakufu...\There wasn't a Bakufu called that...\Shut up, you lot!!\What are you, Genghis Khan?!\Because we're doing world history, right? response:	This is just messed up...
context: It's time for the Second Punic War, Sensei!!\We already passed that part.\The Punic... Bakufu...\There wasn't a Bakufu called that...\Shut up, you lot!!\What are you, Genghis Khan?!\Because we're doing world history, right?\This is just messed up... response:	Come on, boys! It's time for some real baseball!!
context: We already passed that part.\The Punic... Bakufu...\There wasn't a Bakufu called that...\Shut up, you lot!!\What are you, Genghis Khan?!\Because we're doing world history, right?\This is just messed up...\Come on, boys! It's time for some real baseball!! response:	Are you ready?!
context: The Punic... Bakufu...\There wasn't a Bakufu called that...\Shut up, you lot!!\What are you, Genghis Khan?!\Because we're doing world history, right?\This is just messed up...\Come on, boys! It's time for some real baseball!!\Are you ready?! response:	Of course!!
context: There wasn't a Bakufu called that...\Shut up, you lot!!\What are you, Genghis Khan?!\Because we're doing world history, right?\This is just messed up...\Come on, boys! It's time for some real baseball!!\Are you ready?!\Of course!! response:	Baseball rocks!!
context: Shut up, you lot!!\What are you, Genghis Khan?!\Because we're doing world history, right?\This is just messed up...\Come on, boys! It's time for some real baseball!!\Are you ready?!\Of course!!\Baseball rocks!! response:	Bring it on!!
context: What are you, Genghis Khan?!\Because we're doing world history, right?\This is just messed up...\Come on, boys! It's time for some real baseball!!\Are you ready?!\Of course!!\Baseball rocks!!\Bring it on!! response:	I'm already on standby!!
context: Because we're doing world history, right?\This is just messed up...\Come on, boys! It's time for some real baseball!!\Are you ready?!\Of course!!\Baseball rocks!!\Bring it on!!\I'm already on standby!! response:	We still need to clean.
context: This is just messed up...\Come on, boys! It's time for some real baseball!!\Are you ready?!\Of course!!\Baseball rocks!!\Bring it on!!\I'm already on standby!!\We still need to clean. response:	That's right boys!!
context: Come on, boys! It's time for some real baseball!!\Are you ready?!\Of course!!\Baseball rocks!!\Bring it on!!\I'm already on standby!!\We still need to clean.\That's right boys!! response:	Let's free ourselves from worldly thoughts with cleaning!!
context: Are you ready?!\Of course!!\Baseball rocks!!\Bring it on!!\I'm already on standby!!\We still need to clean.\That's right boys!!\Let's free ourselves from worldly thoughts with cleaning!! response:	Good idea!!
context: Of course!!\Baseball rocks!!\Bring it on!!\I'm already on standby!!\We still need to clean.\That's right boys!!\Let's free ourselves from worldly thoughts with cleaning!!\Good idea!! response:	But real men don't use wimpy cleaning tools!
context: Baseball rocks!!\Bring it on!!\I'm already on standby!!\We still need to clean.\That's right boys!!\Let's free ourselves from worldly thoughts with cleaning!!\Good idea!!\But real men don't use wimpy cleaning tools! response:	They use only a dust cloth!!
context: Bring it on!!\I'm already on standby!!\We still need to clean.\That's right boys!!\Let's free ourselves from worldly thoughts with cleaning!!\Good idea!!\But real men don't use wimpy cleaning tools!\They use only a dust cloth!! response:	It's a dust cloth battle!!
context: I'm already on standby!!\We still need to clean.\That's right boys!!\Let's free ourselves from worldly thoughts with cleaning!!\Good idea!!\But real men don't use wimpy cleaning tools!\They use only a dust cloth!!\It's a dust cloth battle!! response:	I built this body solely to use a dust cloth!!
context: We still need to clean.\That's right boys!!\Let's free ourselves from worldly thoughts with cleaning!!\Good idea!!\But real men don't use wimpy cleaning tools!\They use only a dust cloth!!\It's a dust cloth battle!!\I built this body solely to use a dust cloth!! response:	It is time to unleash my full power!!
context: That's right boys!!\Let's free ourselves from worldly thoughts with cleaning!!\Good idea!!\But real men don't use wimpy cleaning tools!\They use only a dust cloth!!\It's a dust cloth battle!!\I built this body solely to use a dust cloth!!\It is time to unleash my full power!! response:	They're making it harder on themselves...
context: Let's free ourselves from worldly thoughts with cleaning!!\Good idea!!\But real men don't use wimpy cleaning tools!\They use only a dust cloth!!\It's a dust cloth battle!!\I built this body solely to use a dust cloth!!\It is time to unleash my full power!!\They're making it harder on themselves... response:	Alright...
context: Good idea!!\But real men don't use wimpy cleaning tools!\They use only a dust cloth!!\It's a dust cloth battle!!\I built this body solely to use a dust cloth!!\It is time to unleash my full power!!\They're making it harder on themselves...\Alright... response:	ReaGO!
context: But real men don't use wimpy cleaning tools!\They use only a dust cloth!!\It's a dust cloth battle!!\I built this body solely to use a dust cloth!!\It is time to unleash my full power!!\They're making it harder on themselves...\Alright...\ReaGO! response:	Cheater, you started early!
context: They use only a dust cloth!!\It's a dust cloth battle!!\I built this body solely to use a dust cloth!!\It is time to unleash my full power!!\They're making it harder on themselves...\Alright...\ReaGO!\Cheater, you started early! response:	Out of my way! Out of my way!
context: It's a dust cloth battle!!\I built this body solely to use a dust cloth!!\It is time to unleash my full power!!\They're making it harder on themselves...\Alright...\ReaGO!\Cheater, you started early!\Out of my way! Out of my way! response:	What are you people doing?
context: I built this body solely to use a dust cloth!!\It is time to unleash my full power!!\They're making it harder on themselves...\Alright...\ReaGO!\Cheater, you started early!\Out of my way! Out of my way!\What are you people doing? response:	Um... they've always been like this.
context: It is time to unleash my full power!!\They're making it harder on themselves...\Alright...\ReaGO!\Cheater, you started early!\Out of my way! Out of my way!\What are you people doing?\Um... they've always been like this. response:	Don't mind them.
context: They're making it harder on themselves...\Alright...\ReaGO!\Cheater, you started early!\Out of my way! Out of my way!\What are you people doing?\Um... they've always been like this.\Don't mind them. response:	I win!!
context: Alright...\ReaGO!\Cheater, you started early!\Out of my way! Out of my way!\What are you people doing?\Um... they've always been like this.\Don't mind them.\I win!! response:	No! There's still the second floor!!
context: ReaGO!\Cheater, you started early!\Out of my way! Out of my way!\What are you people doing?\Um... they've always been like this.\Don't mind them.\I win!!\No! There's still the second floor!! response:	My body has just warmed up!!
context: Cheater, you started early!\Out of my way! Out of my way!\What are you people doing?\Um... they've always been like this.\Don't mind them.\I win!!\No! There's still the second floor!!\My body has just warmed up!! response:	Come on!! The second floor awaits!!
context: Out of my way! Out of my way!\What are you people doing?\Um... they've always been like this.\Don't mind them.\I win!!\No! There's still the second floor!!\My body has just warmed up!!\Come on!! The second floor awaits!! response:	They actually look like they're having fun.
context: What are you people doing?\Um... they've always been like this.\Don't mind them.\I win!!\No! There's still the second floor!!\My body has just warmed up!!\Come on!! The second floor awaits!!\They actually look like they're having fun. response:	Alright!!
context: Um... they've always been like this.\Don't mind them.\I win!!\No! There's still the second floor!!\My body has just warmed up!!\Come on!! The second floor awaits!!\They actually look like they're having fun.\Alright!! response:	Don't you feel like spittin' out a hella awesome rap song?! Damn!!
context: Don't mind them.\I win!!\No! There's still the second floor!!\My body has just warmed up!!\Come on!! The second floor awaits!!\They actually look like they're having fun.\Alright!!\Don't you feel like spittin' out a hella awesome rap song?! Damn!! response:	Hella awesome rock, yeah!!
context: I win!!\No! There's still the second floor!!\My body has just warmed up!!\Come on!! The second floor awaits!!\They actually look like they're having fun.\Alright!!\Don't you feel like spittin' out a hella awesome rap song?! Damn!!\Hella awesome rock, yeah!! response:	Just can't get enough of those lines!!
context: No! There's still the second floor!!\My body has just warmed up!!\Come on!! The second floor awaits!!\They actually look like they're having fun.\Alright!!\Don't you feel like spittin' out a hella awesome rap song?! Damn!!\Hella awesome rock, yeah!!\Just can't get enough of those lines!! response:	I am a woman of this turf.
context: My body has just warmed up!!\Come on!! The second floor awaits!!\They actually look like they're having fun.\Alright!!\Don't you feel like spittin' out a hella awesome rap song?! Damn!!\Hella awesome rock, yeah!!\Just can't get enough of those lines!!\I am a woman of this turf. response:	I will defend this Naniwa.
context: Come on!! The second floor awaits!!\They actually look like they're having fun.\Alright!!\Don't you feel like spittin' out a hella awesome rap song?! Damn!!\Hella awesome rock, yeah!!\Just can't get enough of those lines!!\I am a woman of this turf.\I will defend this Naniwa. response:	You can walk your own way.
context: They actually look like they're having fun.\Alright!!\Don't you feel like spittin' out a hella awesome rap song?! Damn!!\Hella awesome rock, yeah!!\Just can't get enough of those lines!!\I am a woman of this turf.\I will defend this Naniwa.\You can walk your own way. response:	Yeah!!
context: Alright!!\Don't you feel like spittin' out a hella awesome rap song?! Damn!!\Hella awesome rock, yeah!!\Just can't get enough of those lines!!\I am a woman of this turf.\I will defend this Naniwa.\You can walk your own way.\Yeah!! response:	Oh yeah!!
context: Don't you feel like spittin' out a hella awesome rap song?! Damn!!\Hella awesome rock, yeah!!\Just can't get enough of those lines!!\I am a woman of this turf.\I will defend this Naniwa.\You can walk your own way.\Yeah!!\Oh yeah!! response:	So she'll take care of all of Osaka by herself?
context: Hella awesome rock, yeah!!\Just can't get enough of those lines!!\I am a woman of this turf.\I will defend this Naniwa.\You can walk your own way.\Yeah!!\Oh yeah!!\So she'll take care of all of Osaka by herself? response:	Quite a woman.
context: Just can't get enough of those lines!!\I am a woman of this turf.\I will defend this Naniwa.\You can walk your own way.\Yeah!!\Oh yeah!!\So she'll take care of all of Osaka by herself?\Quite a woman. response:	We're in the middle of Operation High Tension!
context: I am a woman of this turf.\I will defend this Naniwa.\You can walk your own way.\Yeah!!\Oh yeah!!\So she'll take care of all of Osaka by herself?\Quite a woman.\We're in the middle of Operation High Tension! response:	If it fails, everyone fasts for a week.
context: I will defend this Naniwa.\You can walk your own way.\Yeah!!\Oh yeah!!\So she'll take care of all of Osaka by herself?\Quite a woman.\We're in the middle of Operation High Tension!\If it fails, everyone fasts for a week. response:	Sounds good to me!!
