context: And now for the final exercise! response:	Swing your arms out wide,
context: That's why, this time, I'll find a way out...\of this fate.\Okay, so get rid of this curse for me, would you?\I don't have much time.\Why should I have to save your life, I suppose?\I expected an unlovable response like that,\so I came prepared to convince you.\If I die, Puck is bound to be sad. response:	Huh?
context: of this fate.\Okay, so get rid of this curse for me, would you?\I don't have much time.\Why should I have to save your life, I suppose?\I expected an unlovable response like that,\so I came prepared to convince you.\If I die, Puck is bound to be sad.\Huh? response:	Bubby wouldn't be all that disturbed if you died.
context: Okay, so get rid of this curse for me, would you?\I don't have much time.\Why should I have to save your life, I suppose?\I expected an unlovable response like that,\so I came prepared to convince you.\If I die, Puck is bound to be sad.\Huh?\Bubby wouldn't be all that disturbed if you died. response:	Oh, no...
context: I don't have much time.\Why should I have to save your life, I suppose?\I expected an unlovable response like that,\so I came prepared to convince you.\If I die, Puck is bound to be sad.\Huh?\Bubby wouldn't be all that disturbed if you died.\Oh, no... response:	If I were to die, Emilia would be at least a little shocked.
context: Why should I have to save your life, I suppose?\I expected an unlovable response like that,\so I came prepared to convince you.\If I die, Puck is bound to be sad.\Huh?\Bubby wouldn't be all that disturbed if you died.\Oh, no...\If I were to die, Emilia would be at least a little shocked. response:	When Emilia feels shock, Puck takes damage, too.
context: I expected an unlovable response like that,\so I came prepared to convince you.\If I die, Puck is bound to be sad.\Huh?\Bubby wouldn't be all that disturbed if you died.\Oh, no...\If I were to die, Emilia would be at least a little shocked.\When Emilia feels shock, Puck takes damage, too. response:	And if you could have stopped it, but didn't, what would he think of you?
context: so I came prepared to convince you.\If I die, Puck is bound to be sad.\Huh?\Bubby wouldn't be all that disturbed if you died.\Oh, no...\If I were to die, Emilia would be at least a little shocked.\When Emilia feels shock, Puck takes damage, too.\And if you could have stopped it, but didn't, what would he think of you? response:	I'll go along with your smooth talk this time, I suppose!
context: If I die, Puck is bound to be sad.\Huh?\Bubby wouldn't be all that disturbed if you died.\Oh, no...\If I were to die, Emilia would be at least a little shocked.\When Emilia feels shock, Puck takes damage, too.\And if you could have stopped it, but didn't, what would he think of you?\I'll go along with your smooth talk this time, I suppose! response:	But after this, I'll have nothing more to do with you again.
context: Huh?\Bubby wouldn't be all that disturbed if you died.\Oh, no...\If I were to die, Emilia would be at least a little shocked.\When Emilia feels shock, Puck takes damage, too.\And if you could have stopped it, but didn't, what would he think of you?\I'll go along with your smooth talk this time, I suppose!\But after this, I'll have nothing more to do with you again. response:	Sure.
context: Bubby wouldn't be all that disturbed if you died.\Oh, no...\If I were to die, Emilia would be at least a little shocked.\When Emilia feels shock, Puck takes damage, too.\And if you could have stopped it, but didn't, what would he think of you?\I'll go along with your smooth talk this time, I suppose!\But after this, I'll have nothing more to do with you again.\Sure. response:	But when I'm in trouble, I'll always come to ask for your help.
context: Oh, no...\If I were to die, Emilia would be at least a little shocked.\When Emilia feels shock, Puck takes damage, too.\And if you could have stopped it, but didn't, what would he think of you?\I'll go along with your smooth talk this time, I suppose!\But after this, I'll have nothing more to do with you again.\Sure.\But when I'm in trouble, I'll always come to ask for your help. response:	I'll destroy the spell used in the curse now, I suppose.
context: If I were to die, Emilia would be at least a little shocked.\When Emilia feels shock, Puck takes damage, too.\And if you could have stopped it, but didn't, what would he think of you?\I'll go along with your smooth talk this time, I suppose!\But after this, I'll have nothing more to do with you again.\Sure.\But when I'm in trouble, I'll always come to ask for your help.\I'll destroy the spell used in the curse now, I suppose. response:	The spell is burned into you on the spot that the shaman touched,
context: When Emilia feels shock, Puck takes damage, too.\And if you could have stopped it, but didn't, what would he think of you?\I'll go along with your smooth talk this time, I suppose!\But after this, I'll have nothing more to do with you again.\Sure.\But when I'm in trouble, I'll always come to ask for your help.\I'll destroy the spell used in the curse now, I suppose.\The spell is burned into you on the spot that the shaman touched, response:	so that's our reference.
context: And if you could have stopped it, but didn't, what would he think of you?\I'll go along with your smooth talk this time, I suppose!\But after this, I'll have nothing more to do with you again.\Sure.\But when I'm in trouble, I'll always come to ask for your help.\I'll destroy the spell used in the curse now, I suppose.\The spell is burned into you on the spot that the shaman touched,\so that's our reference. response:	I prepared for this. Don't worry.
context: I'll go along with your smooth talk this time, I suppose!\But after this, I'll have nothing more to do with you again.\Sure.\But when I'm in trouble, I'll always come to ask for your help.\I'll destroy the spell used in the curse now, I suppose.\The spell is burned into you on the spot that the shaman touched,\so that's our reference.\I prepared for this. Don't worry. response:	The young men's leader with the crew cut...
context: But after this, I'll have nothing more to do with you again.\Sure.\But when I'm in trouble, I'll always come to ask for your help.\I'll destroy the spell used in the curse now, I suppose.\The spell is burned into you on the spot that the shaman touched,\so that's our reference.\I prepared for this. Don't worry.\The young men's leader with the crew cut... response:	The old lady who felt so much younger that she patted my butt...
context: Sure.\But when I'm in trouble, I'll always come to ask for your help.\I'll destroy the spell used in the curse now, I suppose.\The spell is burned into you on the spot that the shaman touched,\so that's our reference.\I prepared for this. Don't worry.\The young men's leader with the crew cut...\The old lady who felt so much younger that she patted my butt... response:	And Muraosa, the fake village head.
context: But when I'm in trouble, I'll always come to ask for your help.\I'll destroy the spell used in the curse now, I suppose.\The spell is burned into you on the spot that the shaman touched,\so that's our reference.\I prepared for this. Don't worry.\The young men's leader with the crew cut...\The old lady who felt so much younger that she patted my butt...\And Muraosa, the fake village head. response:	I made sure all the suspects touched different parts of me.
context: I'll destroy the spell used in the curse now, I suppose.\The spell is burned into you on the spot that the shaman touched,\so that's our reference.\I prepared for this. Don't worry.\The young men's leader with the crew cut...\The old lady who felt so much younger that she patted my butt...\And Muraosa, the fake village head.\I made sure all the suspects touched different parts of me. response:	A black mist?
context: The spell is burned into you on the spot that the shaman touched,\so that's our reference.\I prepared for this. Don't worry.\The young men's leader with the crew cut...\The old lady who felt so much younger that she patted my butt...\And Muraosa, the fake village head.\I made sure all the suspects touched different parts of me.\A black mist? response:	How abhorrent, I suppose.
context: so that's our reference.\I prepared for this. Don't worry.\The young men's leader with the crew cut...\The old lady who felt so much younger that she patted my butt...\And Muraosa, the fake village head.\I made sure all the suspects touched different parts of me.\A black mist?\How abhorrent, I suppose. response:	All done. You'll be fine now, I suppose.
context: I prepared for this. Don't worry.\The young men's leader with the crew cut...\The old lady who felt so much younger that she patted my butt...\And Muraosa, the fake village head.\I made sure all the suspects touched different parts of me.\A black mist?\How abhorrent, I suppose.\All done. You'll be fine now, I suppose. response:	So the place that the black mist came from
context: The young men's leader with the crew cut...\The old lady who felt so much younger that she patted my butt...\And Muraosa, the fake village head.\I made sure all the suspects touched different parts of me.\A black mist?\How abhorrent, I suppose.\All done. You'll be fine now, I suppose.\So the place that the black mist came from response:	is where the shaman touched me, right?
context: The old lady who felt so much younger that she patted my butt...\And Muraosa, the fake village head.\I made sure all the suspects touched different parts of me.\A black mist?\How abhorrent, I suppose.\All done. You'll be fine now, I suppose.\So the place that the black mist came from\is where the shaman touched me, right? response:	Could that puppy actually be...
context: And Muraosa, the fake village head.\I made sure all the suspects touched different parts of me.\A black mist?\How abhorrent, I suppose.\All done. You'll be fine now, I suppose.\So the place that the black mist came from\is where the shaman touched me, right?\Could that puppy actually be... response:	I have to get to the village.
context: I made sure all the suspects touched different parts of me.\A black mist?\How abhorrent, I suppose.\All done. You'll be fine now, I suppose.\So the place that the black mist came from\is where the shaman touched me, right?\Could that puppy actually be...\I have to get to the village. response:	They just keep messing with me!
context: A black mist?\How abhorrent, I suppose.\All done. You'll be fine now, I suppose.\So the place that the black mist came from\is where the shaman touched me, right?\Could that puppy actually be...\I have to get to the village.\They just keep messing with me! response:	The village? What for?
context: How abhorrent, I suppose.\All done. You'll be fine now, I suppose.\So the place that the black mist came from\is where the shaman touched me, right?\Could that puppy actually be...\I have to get to the village.\They just keep messing with me!\The village? What for? response:	Beatrice said the one who gave me this wound is responsible for cursing me.
context: All done. You'll be fine now, I suppose.\So the place that the black mist came from\is where the shaman touched me, right?\Could that puppy actually be...\I have to get to the village.\They just keep messing with me!\The village? What for?\Beatrice said the one who gave me this wound is responsible for cursing me. response:	It was the dog that the kids were playing with!
context: So the place that the black mist came from\is where the shaman touched me, right?\Could that puppy actually be...\I have to get to the village.\They just keep messing with me!\The village? What for?\Beatrice said the one who gave me this wound is responsible for cursing me.\It was the dog that the kids were playing with! response:	That dog-looking thing cursed everyone it bit!
context: is where the shaman touched me, right?\Could that puppy actually be...\I have to get to the village.\They just keep messing with me!\The village? What for?\Beatrice said the one who gave me this wound is responsible for cursing me.\It was the dog that the kids were playing with!\That dog-looking thing cursed everyone it bit! response:	If I do nothing, they'll be in danger.
context: Could that puppy actually be...\I have to get to the village.\They just keep messing with me!\The village? What for?\Beatrice said the one who gave me this wound is responsible for cursing me.\It was the dog that the kids were playing with!\That dog-looking thing cursed everyone it bit!\If I do nothing, they'll be in danger. response:	If you don't trust me, you can come along.
context: I have to get to the village.\They just keep messing with me!\The village? What for?\Beatrice said the one who gave me this wound is responsible for cursing me.\It was the dog that the kids were playing with!\That dog-looking thing cursed everyone it bit!\If I do nothing, they'll be in danger.\If you don't trust me, you can come along. response:	But we can't leave Emilia alone here.
context: They just keep messing with me!\The village? What for?\Beatrice said the one who gave me this wound is responsible for cursing me.\It was the dog that the kids were playing with!\That dog-looking thing cursed everyone it bit!\If I do nothing, they'll be in danger.\If you don't trust me, you can come along.\But we can't leave Emilia alone here. response:	Only one of you can come!
context: The village? What for?\Beatrice said the one who gave me this wound is responsible for cursing me.\It was the dog that the kids were playing with!\That dog-looking thing cursed everyone it bit!\If I do nothing, they'll be in danger.\If you don't trust me, you can come along.\But we can't leave Emilia alone here.\Only one of you can come! response:	You're making up your own rules...
context: Beatrice said the one who gave me this wound is responsible for cursing me.\It was the dog that the kids were playing with!\That dog-looking thing cursed everyone it bit!\If I do nothing, they'll be in danger.\If you don't trust me, you can come along.\But we can't leave Emilia alone here.\Only one of you can come!\You're making up your own rules... response:	And if we are to obey Roswaal-sama's orders,
context: It was the dog that the kids were playing with!\That dog-looking thing cursed everyone it bit!\If I do nothing, they'll be in danger.\If you don't trust me, you can come along.\But we can't leave Emilia alone here.\Only one of you can come!\You're making up your own rules...\And if we are to obey Roswaal-sama's orders, response:	there is no reason for either of us to go with you.
context: That dog-looking thing cursed everyone it bit!\If I do nothing, they'll be in danger.\If you don't trust me, you can come along.\But we can't leave Emilia alone here.\Only one of you can come!\You're making up your own rules...\And if we are to obey Roswaal-sama's orders,\there is no reason for either of us to go with you. response:	No, there's not.
context: If I do nothing, they'll be in danger.\If you don't trust me, you can come along.\But we can't leave Emilia alone here.\Only one of you can come!\You're making up your own rules...\And if we are to obey Roswaal-sama's orders,\there is no reason for either of us to go with you.\No, there's not. response:	But was that the only order Roswaal gave me?
context: If you don't trust me, you can come along.\But we can't leave Emilia alone here.\Only one of you can come!\You're making up your own rules...\And if we are to obey Roswaal-sama's orders,\there is no reason for either of us to go with you.\No, there's not.\But was that the only order Roswaal gave me? response:	Very well, Barusu.
context: But we can't leave Emilia alone here.\Only one of you can come!\You're making up your own rules...\And if we are to obey Roswaal-sama's orders,\there is no reason for either of us to go with you.\No, there's not.\But was that the only order Roswaal gave me?\Very well, Barusu. response:	I'll allow you to act on your judgment.
context: Only one of you can come!\You're making up your own rules...\And if we are to obey Roswaal-sama's orders,\there is no reason for either of us to go with you.\No, there's not.\But was that the only order Roswaal gave me?\Very well, Barusu.\I'll allow you to act on your judgment. response:	Sister...
context: You're making up your own rules...\And if we are to obey Roswaal-sama's orders,\there is no reason for either of us to go with you.\No, there's not.\But was that the only order Roswaal gave me?\Very well, Barusu.\I'll allow you to act on your judgment.\Sister... response:	Rem will accompany you.
context: And if we are to obey Roswaal-sama's orders,\there is no reason for either of us to go with you.\No, there's not.\But was that the only order Roswaal gave me?\Very well, Barusu.\I'll allow you to act on your judgment.\Sister...\Rem will accompany you. response:	Just what I wanted to hear!
context: there is no reason for either of us to go with you.\No, there's not.\But was that the only order Roswaal gave me?\Very well, Barusu.\I'll allow you to act on your judgment.\Sister...\Rem will accompany you.\Just what I wanted to hear! response:	Rem, that's my decision, so please go.
context: No, there's not.\But was that the only order Roswaal gave me?\Very well, Barusu.\I'll allow you to act on your judgment.\Sister...\Rem will accompany you.\Just what I wanted to hear!\Rem, that's my decision, so please go. response:	I'll confirm with Beatrice-sama and protect Emilia-sama.
context: But was that the only order Roswaal gave me?\Very well, Barusu.\I'll allow you to act on your judgment.\Sister...\Rem will accompany you.\Just what I wanted to hear!\Rem, that's my decision, so please go.\I'll confirm with Beatrice-sama and protect Emilia-sama. response:	I'll keep an eye on that, too.
context: Very well, Barusu.\I'll allow you to act on your judgment.\Sister...\Rem will accompany you.\Just what I wanted to hear!\Rem, that's my decision, so please go.\I'll confirm with Beatrice-sama and protect Emilia-sama.\I'll keep an eye on that, too. response:	Sister, you shouldn't...
context: I'll allow you to act on your judgment.\Sister...\Rem will accompany you.\Just what I wanted to hear!\Rem, that's my decision, so please go.\I'll confirm with Beatrice-sama and protect Emilia-sama.\I'll keep an eye on that, too.\Sister, you shouldn't... response:	Subaru, are you going somewhere?
context: Sister...\Rem will accompany you.\Just what I wanted to hear!\Rem, that's my decision, so please go.\I'll confirm with Beatrice-sama and protect Emilia-sama.\I'll keep an eye on that, too.\Sister, you shouldn't...\Subaru, are you going somewhere? response:	I heard loud voices, so I came down to see what was going on...
context: Rem will accompany you.\Just what I wanted to hear!\Rem, that's my decision, so please go.\I'll confirm with Beatrice-sama and protect Emilia-sama.\I'll keep an eye on that, too.\Sister, you shouldn't...\Subaru, are you going somewhere?\I heard loud voices, so I came down to see what was going on... response:	What happened?
context: Just what I wanted to hear!\Rem, that's my decision, so please go.\I'll confirm with Beatrice-sama and protect Emilia-sama.\I'll keep an eye on that, too.\Sister, you shouldn't...\Subaru, are you going somewhere?\I heard loud voices, so I came down to see what was going on...\What happened? response:	Something might be happening.
context: Rem, that's my decision, so please go.\I'll confirm with Beatrice-sama and protect Emilia-sama.\I'll keep an eye on that, too.\Sister, you shouldn't...\Subaru, are you going somewhere?\I heard loud voices, so I came down to see what was going on...\What happened?\Something might be happening. response:	But you don't need to worry.
context: I'll confirm with Beatrice-sama and protect Emilia-sama.\I'll keep an eye on that, too.\Sister, you shouldn't...\Subaru, are you going somewhere?\I heard loud voices, so I came down to see what was going on...\What happened?\Something might be happening.\But you don't need to worry. response:	You look like you're going to do something dangerous again!
context: I'll keep an eye on that, too.\Sister, you shouldn't...\Subaru, are you going somewhere?\I heard loud voices, so I came down to see what was going on...\What happened?\Something might be happening.\But you don't need to worry.\You look like you're going to do something dangerous again! response:	We were just wrapping up a dispute on that particular topic.
context: Sister, you shouldn't...\Subaru, are you going somewhere?\I heard loud voices, so I came down to see what was going on...\What happened?\Something might be happening.\But you don't need to worry.\You look like you're going to do something dangerous again!\We were just wrapping up a dispute on that particular topic. response:	I can't stop you, can I?
context: Subaru, are you going somewhere?\I heard loud voices, so I came down to see what was going on...\What happened?\Something might be happening.\But you don't need to worry.\You look like you're going to do something dangerous again!\We were just wrapping up a dispute on that particular topic.\I can't stop you, can I? response:	I guess not, no.
context: I heard loud voices, so I came down to see what was going on...\What happened?\Something might be happening.\But you don't need to worry.\You look like you're going to do something dangerous again!\We were just wrapping up a dispute on that particular topic.\I can't stop you, can I?\I guess not, no. response:	In fact, if you do, it'd be a hindrance in several ways...
context: What happened?\Something might be happening.\But you don't need to worry.\You look like you're going to do something dangerous again!\We were just wrapping up a dispute on that particular topic.\I can't stop you, can I?\I guess not, no.\In fact, if you do, it'd be a hindrance in several ways... response:	Fine, fine, I get it.
context: Something might be happening.\But you don't need to worry.\You look like you're going to do something dangerous again!\We were just wrapping up a dispute on that particular topic.\I can't stop you, can I?\I guess not, no.\In fact, if you do, it'd be a hindrance in several ways...\Fine, fine, I get it. response:	I won't stop you.
context: But you don't need to worry.\You look like you're going to do something dangerous again!\We were just wrapping up a dispute on that particular topic.\I can't stop you, can I?\I guess not, no.\In fact, if you do, it'd be a hindrance in several ways...\Fine, fine, I get it.\I won't stop you. response:	It's probably no use telling you not to be rash or reckless, too, right?
context: You look like you're going to do something dangerous again!\We were just wrapping up a dispute on that particular topic.\I can't stop you, can I?\I guess not, no.\In fact, if you do, it'd be a hindrance in several ways...\Fine, fine, I get it.\I won't stop you.\It's probably no use telling you not to be rash or reckless, too, right? response:	Depending on what happens...
context: We were just wrapping up a dispute on that particular topic.\I can't stop you, can I?\I guess not, no.\In fact, if you do, it'd be a hindrance in several ways...\Fine, fine, I get it.\I won't stop you.\It's probably no use telling you not to be rash or reckless, too, right?\Depending on what happens... response:	I mean, it's not like I want to do any of that.
context: I can't stop you, can I?\I guess not, no.\In fact, if you do, it'd be a hindrance in several ways...\Fine, fine, I get it.\I won't stop you.\It's probably no use telling you not to be rash or reckless, too, right?\Depending on what happens...\I mean, it's not like I want to do any of that. response:	May the blessing of the spirits be with you.
context: I guess not, no.\In fact, if you do, it'd be a hindrance in several ways...\Fine, fine, I get it.\I won't stop you.\It's probably no use telling you not to be rash or reckless, too, right?\Depending on what happens...\I mean, it's not like I want to do any of that.\May the blessing of the spirits be with you. response:	Eh? Say what?
context: In fact, if you do, it'd be a hindrance in several ways...\Fine, fine, I get it.\I won't stop you.\It's probably no use telling you not to be rash or reckless, too, right?\Depending on what happens...\I mean, it's not like I want to do any of that.\May the blessing of the spirits be with you.\Eh? Say what? response:	It's a prayer to send you off. It means come back safely.
context: Fine, fine, I get it.\I won't stop you.\It's probably no use telling you not to be rash or reckless, too, right?\Depending on what happens...\I mean, it's not like I want to do any of that.\May the blessing of the spirits be with you.\Eh? Say what?\It's a prayer to send you off. It means come back safely. response:	Got it, Emilia-tan.
context: I won't stop you.\It's probably no use telling you not to be rash or reckless, too, right?\Depending on what happens...\I mean, it's not like I want to do any of that.\May the blessing of the spirits be with you.\Eh? Say what?\It's a prayer to send you off. It means come back safely.\Got it, Emilia-tan. response:	Okay, I'm off.
context: It's probably no use telling you not to be rash or reckless, too, right?\Depending on what happens...\I mean, it's not like I want to do any of that.\May the blessing of the spirits be with you.\Eh? Say what?\It's a prayer to send you off. It means come back safely.\Got it, Emilia-tan.\Okay, I'm off. response:	Take care.
context: Depending on what happens...\I mean, it's not like I want to do any of that.\May the blessing of the spirits be with you.\Eh? Say what?\It's a prayer to send you off. It means come back safely.\Got it, Emilia-tan.\Okay, I'm off.\Take care. response:	Has something happened?
context: I mean, it's not like I want to do any of that.\May the blessing of the spirits be with you.\Eh? Say what?\It's a prayer to send you off. It means come back safely.\Got it, Emilia-tan.\Okay, I'm off.\Take care.\Has something happened? response:	Y-Yeah... Several of the village children have gone missing.
context: May the blessing of the spirits be with you.\Eh? Say what?\It's a prayer to send you off. It means come back safely.\Got it, Emilia-tan.\Okay, I'm off.\Take care.\Has something happened?\Y-Yeah... Several of the village children have gone missing. response:	All the adults are looking for them.
context: Eh? Say what?\It's a prayer to send you off. It means come back safely.\Got it, Emilia-tan.\Okay, I'm off.\Take care.\Has something happened?\Y-Yeah... Several of the village children have gone missing.\All the adults are looking for them. response:	Was I too late?
context: It's a prayer to send you off. It means come back safely.\Got it, Emilia-tan.\Okay, I'm off.\Take care.\Has something happened?\Y-Yeah... Several of the village children have gone missing.\All the adults are looking for them.\Was I too late? response:	There!
context: Got it, Emilia-tan.\Okay, I'm off.\Take care.\Has something happened?\Y-Yeah... Several of the village children have gone missing.\All the adults are looking for them.\Was I too late?\There! response:	Subaru-kun?
context: Okay, I'm off.\Take care.\Has something happened?\Y-Yeah... Several of the village children have gone missing.\All the adults are looking for them.\Was I too late?\There!\Subaru-kun? response:	The barrier is broken.
context: Take care.\Has something happened?\Y-Yeah... Several of the village children have gone missing.\All the adults are looking for them.\Was I too late?\There!\Subaru-kun?\The barrier is broken. response:	What happens when the barrier's broken?
context: Has something happened?\Y-Yeah... Several of the village children have gone missing.\All the adults are looking for them.\Was I too late?\There!\Subaru-kun?\The barrier is broken.\What happens when the barrier's broken? response:	Mabeasts can cross the boundary.
context: Y-Yeah... Several of the village children have gone missing.\All the adults are looking for them.\Was I too late?\There!\Subaru-kun?\The barrier is broken.\What happens when the barrier's broken?\Mabeasts can cross the boundary. response:	Mabeasts?
context: All the adults are looking for them.\Was I too late?\There!\Subaru-kun?\The barrier is broken.\What happens when the barrier's broken?\Mabeasts can cross the boundary.\Mabeasts? response:	Mabeasts are creatures of the witch's creation.
context: Was I too late?\There!\Subaru-kun?\The barrier is broken.\What happens when the barrier's broken?\Mabeasts can cross the boundary.\Mabeasts?\Mabeasts are creatures of the witch's creation. response:	They're enemies of humanity that have magic powers.
context: There!\Subaru-kun?\The barrier is broken.\What happens when the barrier's broken?\Mabeasts can cross the boundary.\Mabeasts?\Mabeasts are creatures of the witch's creation.\They're enemies of humanity that have magic powers. response:	They live gregariously in the forest.
context: Subaru-kun?\The barrier is broken.\What happens when the barrier's broken?\Mabeasts can cross the boundary.\Mabeasts?\Mabeasts are creatures of the witch's creation.\They're enemies of humanity that have magic powers.\They live gregariously in the forest. response:	Gregariously?
context: The barrier is broken.\What happens when the barrier's broken?\Mabeasts can cross the boundary.\Mabeasts?\Mabeasts are creatures of the witch's creation.\They're enemies of humanity that have magic powers.\They live gregariously in the forest.\Gregariously? response:	You mean tons more dogs like that one are out there?
context: What happens when the barrier's broken?\Mabeasts can cross the boundary.\Mabeasts?\Mabeasts are creatures of the witch's creation.\They're enemies of humanity that have magic powers.\They live gregariously in the forest.\Gregariously?\You mean tons more dogs like that one are out there? response:	The kids are in the forest.
context: Mabeasts can cross the boundary.\Mabeasts?\Mabeasts are creatures of the witch's creation.\They're enemies of humanity that have magic powers.\They live gregariously in the forest.\Gregariously?\You mean tons more dogs like that one are out there?\The kids are in the forest. response:	Tell everyone!
context: Mabeasts?\Mabeasts are creatures of the witch's creation.\They're enemies of humanity that have magic powers.\They live gregariously in the forest.\Gregariously?\You mean tons more dogs like that one are out there?\The kids are in the forest.\Tell everyone! response:	Right!
context: Mabeasts are creatures of the witch's creation.\They're enemies of humanity that have magic powers.\They live gregariously in the forest.\Gregariously?\You mean tons more dogs like that one are out there?\The kids are in the forest.\Tell everyone!\Right! response:	Subaru-kun, what are you...
context: They're enemies of humanity that have magic powers.\They live gregariously in the forest.\Gregariously?\You mean tons more dogs like that one are out there?\The kids are in the forest.\Tell everyone!\Right!\Subaru-kun, what are you... response:	I have to go save those kids!
context: They live gregariously in the forest.\Gregariously?\You mean tons more dogs like that one are out there?\The kids are in the forest.\Tell everyone!\Right!\Subaru-kun, what are you...\I have to go save those kids! response:	Wait! You can't make that decision on your own.
context: Gregariously?\You mean tons more dogs like that one are out there?\The kids are in the forest.\Tell everyone!\Right!\Subaru-kun, what are you...\I have to go save those kids!\Wait! You can't make that decision on your own. response:	With Roswaal-sama away from home,
context: You mean tons more dogs like that one are out there?\The kids are in the forest.\Tell everyone!\Right!\Subaru-kun, what are you...\I have to go save those kids!\Wait! You can't make that decision on your own.\With Roswaal-sama away from home, response:	can you be sure that this isn't a ruse to divert attention from the mansion?
context: The kids are in the forest.\Tell everyone!\Right!\Subaru-kun, what are you...\I have to go save those kids!\Wait! You can't make that decision on your own.\With Roswaal-sama away from home,\can you be sure that this isn't a ruse to divert attention from the mansion? response:	What do we do, then?
context: Tell everyone!\Right!\Subaru-kun, what are you...\I have to go save those kids!\Wait! You can't make that decision on your own.\With Roswaal-sama away from home,\can you be sure that this isn't a ruse to divert attention from the mansion?\What do we do, then? response:	Ignore kids who are in trouble right now,
context: Right!\Subaru-kun, what are you...\I have to go save those kids!\Wait! You can't make that decision on your own.\With Roswaal-sama away from home,\can you be sure that this isn't a ruse to divert attention from the mansion?\What do we do, then?\Ignore kids who are in trouble right now, response:	go back to the mansion, and tighten security?
context: Subaru-kun, what are you...\I have to go save those kids!\Wait! You can't make that decision on your own.\With Roswaal-sama away from home,\can you be sure that this isn't a ruse to divert attention from the mansion?\What do we do, then?\Ignore kids who are in trouble right now,\go back to the mansion, and tighten security? response:	If you won't care when all the villagers are dead tomorrow,
context: I have to go save those kids!\Wait! You can't make that decision on your own.\With Roswaal-sama away from home,\can you be sure that this isn't a ruse to divert attention from the mansion?\What do we do, then?\Ignore kids who are in trouble right now,\go back to the mansion, and tighten security?\If you won't care when all the villagers are dead tomorrow, response:	I guess that's an option.
context: Wait! You can't make that decision on your own.\With Roswaal-sama away from home,\can you be sure that this isn't a ruse to divert attention from the mansion?\What do we do, then?\Ignore kids who are in trouble right now,\go back to the mansion, and tighten security?\If you won't care when all the villagers are dead tomorrow,\I guess that's an option. response:	Rem, let's go. We're the only ones who can do something about this.
context: With Roswaal-sama away from home,\can you be sure that this isn't a ruse to divert attention from the mansion?\What do we do, then?\Ignore kids who are in trouble right now,\go back to the mansion, and tighten security?\If you won't care when all the villagers are dead tomorrow,\I guess that's an option.\Rem, let's go. We're the only ones who can do something about this. response:	Why go so far?
context: can you be sure that this isn't a ruse to divert attention from the mansion?\What do we do, then?\Ignore kids who are in trouble right now,\go back to the mansion, and tighten security?\If you won't care when all the villagers are dead tomorrow,\I guess that's an option.\Rem, let's go. We're the only ones who can do something about this.\Why go so far? response:	Why should this village matter to you?
context: What do we do, then?\Ignore kids who are in trouble right now,\go back to the mansion, and tighten security?\If you won't care when all the villagers are dead tomorrow,\I guess that's an option.\Rem, let's go. We're the only ones who can do something about this.\Why go so far?\Why should this village matter to you? response:	You know, Petra...
context: Ignore kids who are in trouble right now,\go back to the mansion, and tighten security?\If you won't care when all the villagers are dead tomorrow,\I guess that's an option.\Rem, let's go. We're the only ones who can do something about this.\Why go so far?\Why should this village matter to you?\You know, Petra... response:	When she grows up, she wants to make clothes in the capital.
context: go back to the mansion, and tighten security?\If you won't care when all the villagers are dead tomorrow,\I guess that's an option.\Rem, let's go. We're the only ones who can do something about this.\Why go so far?\Why should this village matter to you?\You know, Petra...\When she grows up, she wants to make clothes in the capital. response:	Huh?
context: If you won't care when all the villagers are dead tomorrow,\I guess that's an option.\Rem, let's go. We're the only ones who can do something about this.\Why go so far?\Why should this village matter to you?\You know, Petra...\When she grows up, she wants to make clothes in the capital.\Huh? response:	Lucas wants to succeed the village's best woodcutter.
context: I guess that's an option.\Rem, let's go. We're the only ones who can do something about this.\Why go so far?\Why should this village matter to you?\You know, Petra...\When she grows up, she wants to make clothes in the capital.\Huh?\Lucas wants to succeed the village's best woodcutter. response:	Mildo wants to make a crown from the flowers in the fields,
context: Rem, let's go. We're the only ones who can do something about this.\Why go so far?\Why should this village matter to you?\You know, Petra...\When she grows up, she wants to make clothes in the capital.\Huh?\Lucas wants to succeed the village's best woodcutter.\Mildo wants to make a crown from the flowers in the fields, response:	and give it to his mother.
context: Why go so far?\Why should this village matter to you?\You know, Petra...\When she grows up, she wants to make clothes in the capital.\Huh?\Lucas wants to succeed the village's best woodcutter.\Mildo wants to make a crown from the flowers in the fields,\and give it to his mother. response:	Meina is going to have a baby sister soon.
context: Why should this village matter to you?\You know, Petra...\When she grows up, she wants to make clothes in the capital.\Huh?\Lucas wants to succeed the village's best woodcutter.\Mildo wants to make a crown from the flowers in the fields,\and give it to his mother.\Meina is going to have a baby sister soon. response:	And the brothers, Dyne and Cain, are always fighting over who'll marry Petra.
context: You know, Petra...\When she grows up, she wants to make clothes in the capital.\Huh?\Lucas wants to succeed the village's best woodcutter.\Mildo wants to make a crown from the flowers in the fields,\and give it to his mother.\Meina is going to have a baby sister soon.\And the brothers, Dyne and Cain, are always fighting over who'll marry Petra. response:	They do matter to me.
context: When she grows up, she wants to make clothes in the capital.\Huh?\Lucas wants to succeed the village's best woodcutter.\Mildo wants to make a crown from the flowers in the fields,\and give it to his mother.\Meina is going to have a baby sister soon.\And the brothers, Dyne and Cain, are always fighting over who'll marry Petra.\They do matter to me. response:	I know their names, their faces,
