context: How awful... response:	Those locusts must've eaten up all the rice before it was harvested.
context: Don't worry, it'll come out in time.\No, below you.\You can't with those arms, bro.\I will.\We're almost there, Ma.\Once we cross this mountain, we'll reach the doctor.\I'm sorry for putting you through this, Saburota.\I'll make a name for myself with this some day. response:	And we won't have to sell pelts anymore.
context: No, below you.\You can't with those arms, bro.\I will.\We're almost there, Ma.\Once we cross this mountain, we'll reach the doctor.\I'm sorry for putting you through this, Saburota.\I'll make a name for myself with this some day.\And we won't have to sell pelts anymore. response:	I'll make a good living for us.
context: You can't with those arms, bro.\I will.\We're almost there, Ma.\Once we cross this mountain, we'll reach the doctor.\I'm sorry for putting you through this, Saburota.\I'll make a name for myself with this some day.\And we won't have to sell pelts anymore.\I'll make a good living for us. response:	Oh, Saburota.
context: I will.\We're almost there, Ma.\Once we cross this mountain, we'll reach the doctor.\I'm sorry for putting you through this, Saburota.\I'll make a name for myself with this some day.\And we won't have to sell pelts anymore.\I'll make a good living for us.\Oh, Saburota. response:	Saburota...
context: We're almost there, Ma.\Once we cross this mountain, we'll reach the doctor.\I'm sorry for putting you through this, Saburota.\I'll make a name for myself with this some day.\And we won't have to sell pelts anymore.\I'll make a good living for us.\Oh, Saburota.\Saburota... response:	Saburota...
context: Once we cross this mountain, we'll reach the doctor.\I'm sorry for putting you through this, Saburota.\I'll make a name for myself with this some day.\And we won't have to sell pelts anymore.\I'll make a good living for us.\Oh, Saburota.\Saburota...\Saburota... response:	The next one.
context: I'm sorry for putting you through this, Saburota.\I'll make a name for myself with this some day.\And we won't have to sell pelts anymore.\I'll make a good living for us.\Oh, Saburota.\Saburota...\Saburota...\The next one. response:	I'll bring another.
context: I'll make a name for myself with this some day.\And we won't have to sell pelts anymore.\I'll make a good living for us.\Oh, Saburota.\Saburota...\Saburota...\The next one.\I'll bring another. response:	Or should I feed myself to it?
context: And we won't have to sell pelts anymore.\I'll make a good living for us.\Oh, Saburota.\Saburota...\Saburota...\The next one.\I'll bring another.\Or should I feed myself to it? response:	No, you'll break your arms.
context: I'll make a good living for us.\Oh, Saburota.\Saburota...\Saburota...\The next one.\I'll bring another.\Or should I feed myself to it?\No, you'll break your arms. response:	You need them.
context: Oh, Saburota.\Saburota...\Saburota...\The next one.\I'll bring another.\Or should I feed myself to it?\No, you'll break your arms.\You need them. response:	Don't worry, I'll find my way out of this.
context: Saburota...\Saburota...\The next one.\I'll bring another.\Or should I feed myself to it?\No, you'll break your arms.\You need them.\Don't worry, I'll find my way out of this. response:	Dororo.
context: Saburota...\The next one.\I'll bring another.\Or should I feed myself to it?\No, you'll break your arms.\You need them.\Don't worry, I'll find my way out of this.\Dororo. response:	Move over a bit, son.
context: The next one.\I'll bring another.\Or should I feed myself to it?\No, you'll break your arms.\You need them.\Don't worry, I'll find my way out of this.\Dororo.\Move over a bit, son. response:	You're okay now.
context: I'll bring another.\Or should I feed myself to it?\No, you'll break your arms.\You need them.\Don't worry, I'll find my way out of this.\Dororo.\Move over a bit, son.\You're okay now. response:	I thought I heard a familiar voice.
context: Or should I feed myself to it?\No, you'll break your arms.\You need them.\Don't worry, I'll find my way out of this.\Dororo.\Move over a bit, son.\You're okay now.\I thought I heard a familiar voice. response:	I'm glad I made it in time.
context: No, you'll break your arms.\You need them.\Don't worry, I'll find my way out of this.\Dororo.\Move over a bit, son.\You're okay now.\I thought I heard a familiar voice.\I'm glad I made it in time. response:	You want a body?
context: You need them.\Don't worry, I'll find my way out of this.\Dororo.\Move over a bit, son.\You're okay now.\I thought I heard a familiar voice.\I'm glad I made it in time.\You want a body? response:	I do.
context: Don't worry, I'll find my way out of this.\Dororo.\Move over a bit, son.\You're okay now.\I thought I heard a familiar voice.\I'm glad I made it in time.\You want a body?\I do. response:	Why?
context: Dororo.\Move over a bit, son.\You're okay now.\I thought I heard a familiar voice.\I'm glad I made it in time.\You want a body?\I do.\Why? response:	Because it's mine.
context: Move over a bit, son.\You're okay now.\I thought I heard a familiar voice.\I'm glad I made it in time.\You want a body?\I do.\Why?\Because it's mine. response:	Bro...?
context: You're okay now.\I thought I heard a familiar voice.\I'm glad I made it in time.\You want a body?\I do.\Why?\Because it's mine.\Bro...? response:	You're alive?
context: I thought I heard a familiar voice.\I'm glad I made it in time.\You want a body?\I do.\Why?\Because it's mine.\Bro...?\You're alive? response:	Demon...
context: I'm glad I made it in time.\You want a body?\I do.\Why?\Because it's mine.\Bro...?\You're alive?\Demon... response:	So, you have an empty hole here too, eh?
context: You want a body?\I do.\Why?\Because it's mine.\Bro...?\You're alive?\Demon...\So, you have an empty hole here too, eh? response:	But give it up.
context: I do.\Why?\Because it's mine.\Bro...?\You're alive?\Demon...\So, you have an empty hole here too, eh?\But give it up. response:	Saburota...
context: Why?\Because it's mine.\Bro...?\You're alive?\Demon...\So, you have an empty hole here too, eh?\But give it up.\Saburota... response:	Saburota!
context: Because it's mine.\Bro...?\You're alive?\Demon...\So, you have an empty hole here too, eh?\But give it up.\Saburota...\Saburota! response:	What's that...!
context: Bro...?\You're alive?\Demon...\So, you have an empty hole here too, eh?\But give it up.\Saburota...\Saburota!\What's that...! response:	He left her to die, all alone.
context: You're alive?\Demon...\So, you have an empty hole here too, eh?\But give it up.\Saburota...\Saburota!\What's that...!\He left her to die, all alone. response:	Acting like a samurai all the time, but what a coward.
context: Demon...\So, you have an empty hole here too, eh?\But give it up.\Saburota...\Saburota!\What's that...!\He left her to die, all alone.\Acting like a samurai all the time, but what a coward. response:	I couldn't help it...
context: So, you have an empty hole here too, eh?\But give it up.\Saburota...\Saburota!\What's that...!\He left her to die, all alone.\Acting like a samurai all the time, but what a coward.\I couldn't help it... response:	I couldn't, I couldn't...
context: But give it up.\Saburota...\Saburota!\What's that...!\He left her to die, all alone.\Acting like a samurai all the time, but what a coward.\I couldn't help it...\I couldn't, I couldn't... response:	Let's go, Saburota.
context: Saburota...\Saburota!\What's that...!\He left her to die, all alone.\Acting like a samurai all the time, but what a coward.\I couldn't help it...\I couldn't, I couldn't...\Let's go, Saburota. response:	We'll get revenge.
context: Saburota!\What's that...!\He left her to die, all alone.\Acting like a samurai all the time, but what a coward.\I couldn't help it...\I couldn't, I couldn't...\Let's go, Saburota.\We'll get revenge. response:	S-Save me!
context: What's that...!\He left her to die, all alone.\Acting like a samurai all the time, but what a coward.\I couldn't help it...\I couldn't, I couldn't...\Let's go, Saburota.\We'll get revenge.\S-Save me! response:	Huh.
context: He left her to die, all alone.\Acting like a samurai all the time, but what a coward.\I couldn't help it...\I couldn't, I couldn't...\Let's go, Saburota.\We'll get revenge.\S-Save me!\Huh. response:	It's the same for everyone.
context: Acting like a samurai all the time, but what a coward.\I couldn't help it...\I couldn't, I couldn't...\Let's go, Saburota.\We'll get revenge.\S-Save me!\Huh.\It's the same for everyone. response:	No!
context: I couldn't help it...\I couldn't, I couldn't...\Let's go, Saburota.\We'll get revenge.\S-Save me!\Huh.\It's the same for everyone.\No! response:	Why? Why don't you run for your life?
context: I couldn't, I couldn't...\Let's go, Saburota.\We'll get revenge.\S-Save me!\Huh.\It's the same for everyone.\No!\Why? Why don't you run for your life? response:	Aren't you scared? Scream!
context: Let's go, Saburota.\We'll get revenge.\S-Save me!\Huh.\It's the same for everyone.\No!\Why? Why don't you run for your life?\Aren't you scared? Scream! response:	Cry! Beg for your life!
context: We'll get revenge.\S-Save me!\Huh.\It's the same for everyone.\No!\Why? Why don't you run for your life?\Aren't you scared? Scream!\Cry! Beg for your life! response:	I wanted to be like you...
context: S-Save me!\Huh.\It's the same for everyone.\No!\Why? Why don't you run for your life?\Aren't you scared? Scream!\Cry! Beg for your life!\I wanted to be like you... response:	But...
context: Huh.\It's the same for everyone.\No!\Why? Why don't you run for your life?\Aren't you scared? Scream!\Cry! Beg for your life!\I wanted to be like you...\But... response:	It's too late now.
context: It's the same for everyone.\No!\Why? Why don't you run for your life?\Aren't you scared? Scream!\Cry! Beg for your life!\I wanted to be like you...\But...\It's too late now. response:	Bro...
context: No!\Why? Why don't you run for your life?\Aren't you scared? Scream!\Cry! Beg for your life!\I wanted to be like you...\But...\It's too late now.\Bro... response:	I see.
context: Why? Why don't you run for your life?\Aren't you scared? Scream!\Cry! Beg for your life!\I wanted to be like you...\But...\It's too late now.\Bro...\I see. response:	Give it back.
context: Aren't you scared? Scream!\Cry! Beg for your life!\I wanted to be like you...\But...\It's too late now.\Bro...\I see.\Give it back. response:	You're...
context: Cry! Beg for your life!\I wanted to be like you...\But...\It's too late now.\Bro...\I see.\Give it back.\You're... response:	Give it back.
context: I wanted to be like you...\But...\It's too late now.\Bro...\I see.\Give it back.\You're...\Give it back. response:	You're not human. That's why...
context: But...\It's too late now.\Bro...\I see.\Give it back.\You're...\Give it back.\You're not human. That's why... response:	It's just like with the ghost fox.
context: It's too late now.\Bro...\I see.\Give it back.\You're...\Give it back.\You're not human. That's why...\It's just like with the ghost fox. response:	He beat a demon, but isn't getting any body parts back.
context: Bro...\I see.\Give it back.\You're...\Give it back.\You're not human. That's why...\It's just like with the ghost fox.\He beat a demon, but isn't getting any body parts back. response:	Oh dear...
context: I see.\Give it back.\You're...\Give it back.\You're not human. That's why...\It's just like with the ghost fox.\He beat a demon, but isn't getting any body parts back.\Oh dear... response:	-Give it back! -Stop it, bro!
context: Give it back.\You're...\Give it back.\You're not human. That's why...\It's just like with the ghost fox.\He beat a demon, but isn't getting any body parts back.\Oh dear...\-Give it back! -Stop it, bro! response:	It's my body!
context: You're...\Give it back.\You're not human. That's why...\It's just like with the ghost fox.\He beat a demon, but isn't getting any body parts back.\Oh dear...\-Give it back! -Stop it, bro!\It's my body! response:	No, this isn't right.
context: Give it back.\You're not human. That's why...\It's just like with the ghost fox.\He beat a demon, but isn't getting any body parts back.\Oh dear...\-Give it back! -Stop it, bro!\It's my body!\No, this isn't right. response:	Young Master.
context: You're not human. That's why...\It's just like with the ghost fox.\He beat a demon, but isn't getting any body parts back.\Oh dear...\-Give it back! -Stop it, bro!\It's my body!\No, this isn't right.\Young Master. response:	What the...?
context: It's just like with the ghost fox.\He beat a demon, but isn't getting any body parts back.\Oh dear...\-Give it back! -Stop it, bro!\It's my body!\No, this isn't right.\Young Master.\What the...? response:	Please bro, stop...
context: He beat a demon, but isn't getting any body parts back.\Oh dear...\-Give it back! -Stop it, bro!\It's my body!\No, this isn't right.\Young Master.\What the...?\Please bro, stop... response:	Bro?
context: Oh dear...\-Give it back! -Stop it, bro!\It's my body!\No, this isn't right.\Young Master.\What the...?\Please bro, stop...\Bro? response:	Where are you going?
context: -Give it back! -Stop it, bro!\It's my body!\No, this isn't right.\Young Master.\What the...?\Please bro, stop...\Bro?\Where are you going? response:	Daigo.
context: It's my body!\No, this isn't right.\Young Master.\What the...?\Please bro, stop...\Bro?\Where are you going?\Daigo. response:	That's where my body is.
context: No, this isn't right.\Young Master.\What the...?\Please bro, stop...\Bro?\Where are you going?\Daigo.\That's where my body is. response:	Wait, bro!
context: Young Master.\What the...?\Please bro, stop...\Bro?\Where are you going?\Daigo.\That's where my body is.\Wait, bro! response:	One cannot escape one's fate.
context: What the...?\Please bro, stop...\Bro?\Where are you going?\Daigo.\That's where my body is.\Wait, bro!\One cannot escape one's fate. response:	Such a heavy burden.
context: Please bro, stop...\Bro?\Where are you going?\Daigo.\That's where my body is.\Wait, bro!\One cannot escape one's fate.\Such a heavy burden. response:	Is it his fate to bear it?
context: Bro?\Where are you going?\Daigo.\That's where my body is.\Wait, bro!\One cannot escape one's fate.\Such a heavy burden.\Is it his fate to bear it? response:	Born into this world
context: Where are you going?\Daigo.\That's where my body is.\Wait, bro!\One cannot escape one's fate.\Such a heavy burden.\Is it his fate to bear it?\Born into this world response:	There is no salvation
context: Daigo.\That's where my body is.\Wait, bro!\One cannot escape one's fate.\Such a heavy burden.\Is it his fate to bear it?\Born into this world\There is no salvation response:	The distorted shape of the heart
context: That's where my body is.\Wait, bro!\One cannot escape one's fate.\Such a heavy burden.\Is it his fate to bear it?\Born into this world\There is no salvation\The distorted shape of the heart response:	Yet it beats courageously
context: Wait, bro!\One cannot escape one's fate.\Such a heavy burden.\Is it his fate to bear it?\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously response:	There is no turning back
context: One cannot escape one's fate.\Such a heavy burden.\Is it his fate to bear it?\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back response:	Even from the path of evil
context: Such a heavy burden.\Is it his fate to bear it?\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil response:	Witnessing the withering seasons
context: Is it his fate to bear it?\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons response:	We search for the truth
context: Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth response:	In our ugliness
context: There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness response:	We don't even recognize the pain
context: The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain response:	As we peel back the skin
context: Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin response:	We are forever tormented by our stupidity
context: There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity response:	But if the dawn never comes
context: Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes response:	Through the painful night
context: Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night response:	You who distrusts nothing
context: We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing response:	You will be able to love this accursed world
context: In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world response:	Now that we carry the world on our shoulders
context: We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world\Now that we carry the world on our shoulders response:	It's time to take it back
context: As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world\Now that we carry the world on our shoulders\It's time to take it back response:	Nue
