context: My Mom and my sisters moved overseas because of Dad's job... response:	However, my first time living alone only lasted for a few days.
context: And now you're a Third Year.\Uh-huh. And it's such a let-down.\'Cause you'll have to study for university.\Uh-uh, that isn't what I mean. I'm disappointed.\Want to know why?\Why?\Because Year Three is sooo next year.\That's funny. response:	That's how it told me to deliver it.
context: Uh-huh. And it's such a let-down.\'Cause you'll have to study for university.\Uh-uh, that isn't what I mean. I'm disappointed.\Want to know why?\Why?\Because Year Three is sooo next year.\That's funny.\That's how it told me to deliver it. response:	Um, what have you got there?
context: 'Cause you'll have to study for university.\Uh-uh, that isn't what I mean. I'm disappointed.\Want to know why?\Why?\Because Year Three is sooo next year.\That's funny.\That's how it told me to deliver it.\Um, what have you got there? response:	You know how Morisummer always makes everybody laugh?
context: Uh-uh, that isn't what I mean. I'm disappointed.\Want to know why?\Why?\Because Year Three is sooo next year.\That's funny.\That's how it told me to deliver it.\Um, what have you got there?\You know how Morisummer always makes everybody laugh? response:	I want to be just like her.
context: Want to know why?\Why?\Because Year Three is sooo next year.\That's funny.\That's how it told me to deliver it.\Um, what have you got there?\You know how Morisummer always makes everybody laugh?\I want to be just like her. response:	Growing older brings many changes.
context: Why?\Because Year Three is sooo next year.\That's funny.\That's how it told me to deliver it.\Um, what have you got there?\You know how Morisummer always makes everybody laugh?\I want to be just like her.\Growing older brings many changes. response:	Morisummer!
context: Because Year Three is sooo next year.\That's funny.\That's how it told me to deliver it.\Um, what have you got there?\You know how Morisummer always makes everybody laugh?\I want to be just like her.\Growing older brings many changes.\Morisummer! response:	Morning! What are you supposed to be?
context: That's funny.\That's how it told me to deliver it.\Um, what have you got there?\You know how Morisummer always makes everybody laugh?\I want to be just like her.\Growing older brings many changes.\Morisummer!\Morning! What are you supposed to be? response:	How do you do, Kumin-senpai.
context: That's how it told me to deliver it.\Um, what have you got there?\You know how Morisummer always makes everybody laugh?\I want to be just like her.\Growing older brings many changes.\Morisummer!\Morning! What are you supposed to be?\How do you do, Kumin-senpai. response:	I am wearing regulation attire.
context: Um, what have you got there?\You know how Morisummer always makes everybody laugh?\I want to be just like her.\Growing older brings many changes.\Morisummer!\Morning! What are you supposed to be?\How do you do, Kumin-senpai.\I am wearing regulation attire. response:	How do you do?
context: You know how Morisummer always makes everybody laugh?\I want to be just like her.\Growing older brings many changes.\Morisummer!\Morning! What are you supposed to be?\How do you do, Kumin-senpai.\I am wearing regulation attire.\How do you do? response:	Are you experiencing advanced senility?
context: I want to be just like her.\Growing older brings many changes.\Morisummer!\Morning! What are you supposed to be?\How do you do, Kumin-senpai.\I am wearing regulation attire.\How do you do?\Are you experiencing advanced senility? response:	Senpai, if I might have a word...
context: Growing older brings many changes.\Morisummer!\Morning! What are you supposed to be?\How do you do, Kumin-senpai.\I am wearing regulation attire.\How do you do?\Are you experiencing advanced senility?\Senpai, if I might have a word... response:	Morisummer, where are we going?
context: Morisummer!\Morning! What are you supposed to be?\How do you do, Kumin-senpai.\I am wearing regulation attire.\How do you do?\Are you experiencing advanced senility?\Senpai, if I might have a word...\Morisummer, where are we going? response:	DEKO DEKO MIDDLE MIDDLE
context: Morning! What are you supposed to be?\How do you do, Kumin-senpai.\I am wearing regulation attire.\How do you do?\Are you experiencing advanced senility?\Senpai, if I might have a word...\Morisummer, where are we going?\DEKO DEKO MIDDLE MIDDLE response:	Death.
context: How do you do, Kumin-senpai.\I am wearing regulation attire.\How do you do?\Are you experiencing advanced senility?\Senpai, if I might have a word...\Morisummer, where are we going?\DEKO DEKO MIDDLE MIDDLE\Death. response:	And so, let's all share another lively school year.
context: I am wearing regulation attire.\How do you do?\Are you experiencing advanced senility?\Senpai, if I might have a word...\Morisummer, where are we going?\DEKO DEKO MIDDLE MIDDLE\Death.\And so, let's all share another lively school year. response:	Thank you for that speech.
context: How do you do?\Are you experiencing advanced senility?\Senpai, if I might have a word...\Morisummer, where are we going?\DEKO DEKO MIDDLE MIDDLE\Death.\And so, let's all share another lively school year.\Thank you for that speech. response:	I'll show you.
context: Are you experiencing advanced senility?\Senpai, if I might have a word...\Morisummer, where are we going?\DEKO DEKO MIDDLE MIDDLE\Death.\And so, let's all share another lively school year.\Thank you for that speech.\I'll show you. response:	I made a lot of mistakes...
context: Senpai, if I might have a word...\Morisummer, where are we going?\DEKO DEKO MIDDLE MIDDLE\Death.\And so, let's all share another lively school year.\Thank you for that speech.\I'll show you.\I made a lot of mistakes... response:	I swear I will claw my way to the top of this school!
context: Morisummer, where are we going?\DEKO DEKO MIDDLE MIDDLE\Death.\And so, let's all share another lively school year.\Thank you for that speech.\I'll show you.\I made a lot of mistakes...\I swear I will claw my way to the top of this school! response:	The next speech comes from our new students...
context: DEKO DEKO MIDDLE MIDDLE\Death.\And so, let's all share another lively school year.\Thank you for that speech.\I'll show you.\I made a lot of mistakes...\I swear I will claw my way to the top of this school!\The next speech comes from our new students... response:	Wha-?!
context: Death.\And so, let's all share another lively school year.\Thank you for that speech.\I'll show you.\I made a lot of mistakes...\I swear I will claw my way to the top of this school!\The next speech comes from our new students...\Wha-?! response:	I am the new student representative, Sanae Dekomori.
context: And so, let's all share another lively school year.\Thank you for that speech.\I'll show you.\I made a lot of mistakes...\I swear I will claw my way to the top of this school!\The next speech comes from our new students...\Wha-?!\I am the new student representative, Sanae Dekomori. response:	With the warm days of Spring...
context: Thank you for that speech.\I'll show you.\I made a lot of mistakes...\I swear I will claw my way to the top of this school!\The next speech comes from our new students...\Wha-?!\I am the new student representative, Sanae Dekomori.\With the warm days of Spring... response:	They say that she got better grades than you had last year, Nibutani.
context: I'll show you.\I made a lot of mistakes...\I swear I will claw my way to the top of this school!\The next speech comes from our new students...\Wha-?!\I am the new student representative, Sanae Dekomori.\With the warm days of Spring...\They say that she got better grades than you had last year, Nibutani. response:	Our student lives also begin anew.
context: I made a lot of mistakes...\I swear I will claw my way to the top of this school!\The next speech comes from our new students...\Wha-?!\I am the new student representative, Sanae Dekomori.\With the warm days of Spring...\They say that she got better grades than you had last year, Nibutani.\Our student lives also begin anew. response:	Oh, really?
context: I swear I will claw my way to the top of this school!\The next speech comes from our new students...\Wha-?!\I am the new student representative, Sanae Dekomori.\With the warm days of Spring...\They say that she got better grades than you had last year, Nibutani.\Our student lives also begin anew.\Oh, really? response:	That's amazing.
context: The next speech comes from our new students...\Wha-?!\I am the new student representative, Sanae Dekomori.\With the warm days of Spring...\They say that she got better grades than you had last year, Nibutani.\Our student lives also begin anew.\Oh, really?\That's amazing. response:	Deko!
context: Wha-?!\I am the new student representative, Sanae Dekomori.\With the warm days of Spring...\They say that she got better grades than you had last year, Nibutani.\Our student lives also begin anew.\Oh, really?\That's amazing.\Deko! response:	Hey, what happened?
context: I am the new student representative, Sanae Dekomori.\With the warm days of Spring...\They say that she got better grades than you had last year, Nibutani.\Our student lives also begin anew.\Oh, really?\That's amazing.\Deko!\Hey, what happened? response:	Ahem.
context: With the warm days of Spring...\They say that she got better grades than you had last year, Nibutani.\Our student lives also begin anew.\Oh, really?\That's amazing.\Deko!\Hey, what happened?\Ahem. response:	I believe everyone knows that in this world...
context: They say that she got better grades than you had last year, Nibutani.\Our student lives also begin anew.\Oh, really?\That's amazing.\Deko!\Hey, what happened?\Ahem.\I believe everyone knows that in this world... response:	Wha-?
context: Our student lives also begin anew.\Oh, really?\That's amazing.\Deko!\Hey, what happened?\Ahem.\I believe everyone knows that in this world...\Wha-? response:	Seeing spirits requires the proper heart.
context: Oh, really?\That's amazing.\Deko!\Hey, what happened?\Ahem.\I believe everyone knows that in this world...\Wha-?\Seeing spirits requires the proper heart. response:	Love is everything.
context: That's amazing.\Deko!\Hey, what happened?\Ahem.\I believe everyone knows that in this world...\Wha-?\Seeing spirits requires the proper heart.\Love is everything. response:	Hey, are you feeling all right?
context: Deko!\Hey, what happened?\Ahem.\I believe everyone knows that in this world...\Wha-?\Seeing spirits requires the proper heart.\Love is everything.\Hey, are you feeling all right? response:	Sensei, Nibutani has fainted!
context: Hey, what happened?\Ahem.\I believe everyone knows that in this world...\Wha-?\Seeing spirits requires the proper heart.\Love is everything.\Hey, are you feeling all right?\Sensei, Nibutani has fainted! response:	What are they doing?
context: Ahem.\I believe everyone knows that in this world...\Wha-?\Seeing spirits requires the proper heart.\Love is everything.\Hey, are you feeling all right?\Sensei, Nibutani has fainted!\What are they doing? response:	We share the same class once again, Light Being.
context: I believe everyone knows that in this world...\Wha-?\Seeing spirits requires the proper heart.\Love is everything.\Hey, are you feeling all right?\Sensei, Nibutani has fainted!\What are they doing?\We share the same class once again, Light Being. response:	What ever are you saying, Takanashi?
context: Wha-?\Seeing spirits requires the proper heart.\Love is everything.\Hey, are you feeling all right?\Sensei, Nibutani has fainted!\What are they doing?\We share the same class once again, Light Being.\What ever are you saying, Takanashi? response:	Are you okay?
context: Seeing spirits requires the proper heart.\Love is everything.\Hey, are you feeling all right?\Sensei, Nibutani has fainted!\What are they doing?\We share the same class once again, Light Being.\What ever are you saying, Takanashi?\Are you okay? response:	Takanashi!
context: Love is everything.\Hey, are you feeling all right?\Sensei, Nibutani has fainted!\What are they doing?\We share the same class once again, Light Being.\What ever are you saying, Takanashi?\Are you okay?\Takanashi! response:	We're in the same class.
context: Hey, are you feeling all right?\Sensei, Nibutani has fainted!\What are they doing?\We share the same class once again, Light Being.\What ever are you saying, Takanashi?\Are you okay?\Takanashi!\We're in the same class. response:	Let's have another good year.
context: Sensei, Nibutani has fainted!\What are they doing?\We share the same class once again, Light Being.\What ever are you saying, Takanashi?\Are you okay?\Takanashi!\We're in the same class.\Let's have another good year. response:	Let's.
context: What are they doing?\We share the same class once again, Light Being.\What ever are you saying, Takanashi?\Are you okay?\Takanashi!\We're in the same class.\Let's have another good year.\Let's. response:	Miss Nanase is our home room teacher.
context: We share the same class once again, Light Being.\What ever are you saying, Takanashi?\Are you okay?\Takanashi!\We're in the same class.\Let's have another good year.\Let's.\Miss Nanase is our home room teacher. response:	Togashi.
context: What ever are you saying, Takanashi?\Are you okay?\Takanashi!\We're in the same class.\Let's have another good year.\Let's.\Miss Nanase is our home room teacher.\Togashi. response:	They told to get my hair cut for school tomorrow.
context: Are you okay?\Takanashi!\We're in the same class.\Let's have another good year.\Let's.\Miss Nanase is our home room teacher.\Togashi.\They told to get my hair cut for school tomorrow. response:	What'll I do?
context: Takanashi!\We're in the same class.\Let's have another good year.\Let's.\Miss Nanase is our home room teacher.\Togashi.\They told to get my hair cut for school tomorrow.\What'll I do? response:	How should I know? It's your own damned fault.
context: We're in the same class.\Let's have another good year.\Let's.\Miss Nanase is our home room teacher.\Togashi.\They told to get my hair cut for school tomorrow.\What'll I do?\How should I know? It's your own damned fault. response:	Wait, are we in the same class again?
context: Let's have another good year.\Let's.\Miss Nanase is our home room teacher.\Togashi.\They told to get my hair cut for school tomorrow.\What'll I do?\How should I know? It's your own damned fault.\Wait, are we in the same class again? response:	No, I'm in Class 3 next door.
context: Let's.\Miss Nanase is our home room teacher.\Togashi.\They told to get my hair cut for school tomorrow.\What'll I do?\How should I know? It's your own damned fault.\Wait, are we in the same class again?\No, I'm in Class 3 next door. response:	Thank God.
context: Miss Nanase is our home room teacher.\Togashi.\They told to get my hair cut for school tomorrow.\What'll I do?\How should I know? It's your own damned fault.\Wait, are we in the same class again?\No, I'm in Class 3 next door.\Thank God. response:	Is that relief?!
context: Togashi.\They told to get my hair cut for school tomorrow.\What'll I do?\How should I know? It's your own damned fault.\Wait, are we in the same class again?\No, I'm in Class 3 next door.\Thank God.\Is that relief?! response:	You made no attempt to hide your relief!
context: They told to get my hair cut for school tomorrow.\What'll I do?\How should I know? It's your own damned fault.\Wait, are we in the same class again?\No, I'm in Class 3 next door.\Thank God.\Is that relief?!\You made no attempt to hide your relief! response:	Togashi, a moment.
context: What'll I do?\How should I know? It's your own damned fault.\Wait, are we in the same class again?\No, I'm in Class 3 next door.\Thank God.\Is that relief?!\You made no attempt to hide your relief!\Togashi, a moment. response:	Who is this beautiful girl?
context: How should I know? It's your own damned fault.\Wait, are we in the same class again?\No, I'm in Class 3 next door.\Thank God.\Is that relief?!\You made no attempt to hide your relief!\Togashi, a moment.\Who is this beautiful girl? response:	Pleased to meet you.
context: Wait, are we in the same class again?\No, I'm in Class 3 next door.\Thank God.\Is that relief?!\You made no attempt to hide your relief!\Togashi, a moment.\Who is this beautiful girl?\Pleased to meet you. response:	Are you Togashi's friend? My name is...
context: No, I'm in Class 3 next door.\Thank God.\Is that relief?!\You made no attempt to hide your relief!\Togashi, a moment.\Who is this beautiful girl?\Pleased to meet you.\Are you Togashi's friend? My name is... response:	Pot, meet kettle.
context: Thank God.\Is that relief?!\You made no attempt to hide your relief!\Togashi, a moment.\Who is this beautiful girl?\Pleased to meet you.\Are you Togashi's friend? My name is...\Pot, meet kettle. response:	I'm only bringing this up because we share a classroom.
context: Is that relief?!\You made no attempt to hide your relief!\Togashi, a moment.\Who is this beautiful girl?\Pleased to meet you.\Are you Togashi's friend? My name is...\Pot, meet kettle.\I'm only bringing this up because we share a classroom. response:	I have clearly instructed Takanashi not to share...
context: You made no attempt to hide your relief!\Togashi, a moment.\Who is this beautiful girl?\Pleased to meet you.\Are you Togashi's friend? My name is...\Pot, meet kettle.\I'm only bringing this up because we share a classroom.\I have clearly instructed Takanashi not to share... response:	Are you still on that?
context: Togashi, a moment.\Who is this beautiful girl?\Pleased to meet you.\Are you Togashi's friend? My name is...\Pot, meet kettle.\I'm only bringing this up because we share a classroom.\I have clearly instructed Takanashi not to share...\Are you still on that? response:	I pondered all summer break.
context: Who is this beautiful girl?\Pleased to meet you.\Are you Togashi's friend? My name is...\Pot, meet kettle.\I'm only bringing this up because we share a classroom.\I have clearly instructed Takanashi not to share...\Are you still on that?\I pondered all summer break. response:	I pondered my decision to attend this particular high school.
context: Pleased to meet you.\Are you Togashi's friend? My name is...\Pot, meet kettle.\I'm only bringing this up because we share a classroom.\I have clearly instructed Takanashi not to share...\Are you still on that?\I pondered all summer break.\I pondered my decision to attend this particular high school. response:	Do I really intend to spend three years of my life in that loser's club?
context: Are you Togashi's friend? My name is...\Pot, meet kettle.\I'm only bringing this up because we share a classroom.\I have clearly instructed Takanashi not to share...\Are you still on that?\I pondered all summer break.\I pondered my decision to attend this particular high school.\Do I really intend to spend three years of my life in that loser's club? response:	Hey, are you okay?
context: Pot, meet kettle.\I'm only bringing this up because we share a classroom.\I have clearly instructed Takanashi not to share...\Are you still on that?\I pondered all summer break.\I pondered my decision to attend this particular high school.\Do I really intend to spend three years of my life in that loser's club?\Hey, are you okay? response:	Servant to Wicked Lord Shingan!
context: I'm only bringing this up because we share a classroom.\I have clearly instructed Takanashi not to share...\Are you still on that?\I pondered all summer break.\I pondered my decision to attend this particular high school.\Do I really intend to spend three years of my life in that loser's club?\Hey, are you okay?\Servant to Wicked Lord Shingan! response:	User of the Mjolnir Hammer, Sanae Dekomori...
context: I have clearly instructed Takanashi not to share...\Are you still on that?\I pondered all summer break.\I pondered my decision to attend this particular high school.\Do I really intend to spend three years of my life in that loser's club?\Hey, are you okay?\Servant to Wicked Lord Shingan!\User of the Mjolnir Hammer, Sanae Dekomori... response:	Only the deviously devious Fake Morisummer
context: Are you still on that?\I pondered all summer break.\I pondered my decision to attend this particular high school.\Do I really intend to spend three years of my life in that loser's club?\Hey, are you okay?\Servant to Wicked Lord Shingan!\User of the Mjolnir Hammer, Sanae Dekomori...\Only the deviously devious Fake Morisummer response:	would dare stage an attack on me in my temporary guise.
context: I pondered all summer break.\I pondered my decision to attend this particular high school.\Do I really intend to spend three years of my life in that loser's club?\Hey, are you okay?\Servant to Wicked Lord Shingan!\User of the Mjolnir Hammer, Sanae Dekomori...\Only the deviously devious Fake Morisummer\would dare stage an attack on me in my temporary guise. response:	You are rotten to the core.
context: I pondered my decision to attend this particular high school.\Do I really intend to spend three years of my life in that loser's club?\Hey, are you okay?\Servant to Wicked Lord Shingan!\User of the Mjolnir Hammer, Sanae Dekomori...\Only the deviously devious Fake Morisummer\would dare stage an attack on me in my temporary guise.\You are rotten to the core. response:	Now observe!
context: Do I really intend to spend three years of my life in that loser's club?\Hey, are you okay?\Servant to Wicked Lord Shingan!\User of the Mjolnir Hammer, Sanae Dekomori...\Only the deviously devious Fake Morisummer\would dare stage an attack on me in my temporary guise.\You are rotten to the core.\Now observe! response:	I spin right left, and left right.
context: Hey, are you okay?\Servant to Wicked Lord Shingan!\User of the Mjolnir Hammer, Sanae Dekomori...\Only the deviously devious Fake Morisummer\would dare stage an attack on me in my temporary guise.\You are rotten to the core.\Now observe!\I spin right left, and left right. response:	The opposing revolutions shall produce a kink between dimensions and space!
context: Servant to Wicked Lord Shingan!\User of the Mjolnir Hammer, Sanae Dekomori...\Only the deviously devious Fake Morisummer\would dare stage an attack on me in my temporary guise.\You are rotten to the core.\Now observe!\I spin right left, and left right.\The opposing revolutions shall produce a kink between dimensions and space! response:	And by adding an additional revolution, I shall produce unlimited power!
context: User of the Mjolnir Hammer, Sanae Dekomori...\Only the deviously devious Fake Morisummer\would dare stage an attack on me in my temporary guise.\You are rotten to the core.\Now observe!\I spin right left, and left right.\The opposing revolutions shall produce a kink between dimensions and space!\And by adding an additional revolution, I shall produce unlimited power! response:	Take this! The Mjolnir...
context: Only the deviously devious Fake Morisummer\would dare stage an attack on me in my temporary guise.\You are rotten to the core.\Now observe!\I spin right left, and left right.\The opposing revolutions shall produce a kink between dimensions and space!\And by adding an additional revolution, I shall produce unlimited power!\Take this! The Mjolnir... response:	You sure have weak semicircular canals.
context: would dare stage an attack on me in my temporary guise.\You are rotten to the core.\Now observe!\I spin right left, and left right.\The opposing revolutions shall produce a kink between dimensions and space!\And by adding an additional revolution, I shall produce unlimited power!\Take this! The Mjolnir...\You sure have weak semicircular canals. response:	Dekomori will not be defeated!
context: You are rotten to the core.\Now observe!\I spin right left, and left right.\The opposing revolutions shall produce a kink between dimensions and space!\And by adding an additional revolution, I shall produce unlimited power!\Take this! The Mjolnir...\You sure have weak semicircular canals.\Dekomori will not be defeated! response:	Rich Cheese (6 pcs)
context: Now observe!\I spin right left, and left right.\The opposing revolutions shall produce a kink between dimensions and space!\And by adding an additional revolution, I shall produce unlimited power!\Take this! The Mjolnir...\You sure have weak semicircular canals.\Dekomori will not be defeated!\Rich Cheese (6 pcs) response:	Because you're such an energetic First Year...
context: I spin right left, and left right.\The opposing revolutions shall produce a kink between dimensions and space!\And by adding an additional revolution, I shall produce unlimited power!\Take this! The Mjolnir...\You sure have weak semicircular canals.\Dekomori will not be defeated!\Rich Cheese (6 pcs)\Because you're such an energetic First Year... response:	love. So. Much.
context: The opposing revolutions shall produce a kink between dimensions and space!\And by adding an additional revolution, I shall produce unlimited power!\Take this! The Mjolnir...\You sure have weak semicircular canals.\Dekomori will not be defeated!\Rich Cheese (6 pcs)\Because you're such an energetic First Year...\love. So. Much. response:	Don't you think you're overdoing it?
context: And by adding an additional revolution, I shall produce unlimited power!\Take this! The Mjolnir...\You sure have weak semicircular canals.\Dekomori will not be defeated!\Rich Cheese (6 pcs)\Because you're such an energetic First Year...\love. So. Much.\Don't you think you're overdoing it? response:	One must deal with trouble of one's creation.
context: Take this! The Mjolnir...\You sure have weak semicircular canals.\Dekomori will not be defeated!\Rich Cheese (6 pcs)\Because you're such an energetic First Year...\love. So. Much.\Don't you think you're overdoing it?\One must deal with trouble of one's creation. response:	Paging a student.
context: You sure have weak semicircular canals.\Dekomori will not be defeated!\Rich Cheese (6 pcs)\Because you're such an energetic First Year...\love. So. Much.\Don't you think you're overdoing it?\One must deal with trouble of one's creation.\Paging a student. response:	Rikka Takanashi from Year 2, Class 4.
context: Dekomori will not be defeated!\Rich Cheese (6 pcs)\Because you're such an energetic First Year...\love. So. Much.\Don't you think you're overdoing it?\One must deal with trouble of one's creation.\Paging a student.\Rikka Takanashi from Year 2, Class 4. response:	Please report to the staff room immediately. I repeat.
context: Rich Cheese (6 pcs)\Because you're such an energetic First Year...\love. So. Much.\Don't you think you're overdoing it?\One must deal with trouble of one's creation.\Paging a student.\Rikka Takanashi from Year 2, Class 4.\Please report to the staff room immediately. I repeat. response:	Rikka Takanashi from Year 2, Class 4,
context: Because you're such an energetic First Year...\love. So. Much.\Don't you think you're overdoing it?\One must deal with trouble of one's creation.\Paging a student.\Rikka Takanashi from Year 2, Class 4.\Please report to the staff room immediately. I repeat.\Rikka Takanashi from Year 2, Class 4, response:	please report to the staff room immediately.
context: love. So. Much.\Don't you think you're overdoing it?\One must deal with trouble of one's creation.\Paging a student.\Rikka Takanashi from Year 2, Class 4.\Please report to the staff room immediately. I repeat.\Rikka Takanashi from Year 2, Class 4,\please report to the staff room immediately. response:	The school has been overrun by terrorists!
context: Don't you think you're overdoing it?\One must deal with trouble of one's creation.\Paging a student.\Rikka Takanashi from Year 2, Class 4.\Please report to the staff room immediately. I repeat.\Rikka Takanashi from Year 2, Class 4,\please report to the staff room immediately.\The school has been overrun by terrorists! response:	Hardly.
context: One must deal with trouble of one's creation.\Paging a student.\Rikka Takanashi from Year 2, Class 4.\Please report to the staff room immediately. I repeat.\Rikka Takanashi from Year 2, Class 4,\please report to the staff room immediately.\The school has been overrun by terrorists!\Hardly. response:	Letters?
context: Paging a student.\Rikka Takanashi from Year 2, Class 4.\Please report to the staff room immediately. I repeat.\Rikka Takanashi from Year 2, Class 4,\please report to the staff room immediately.\The school has been overrun by terrorists!\Hardly.\Letters? response:	That's the thing. The school mailed at least three to your home.
context: Rikka Takanashi from Year 2, Class 4.\Please report to the staff room immediately. I repeat.\Rikka Takanashi from Year 2, Class 4,\please report to the staff room immediately.\The school has been overrun by terrorists!\Hardly.\Letters?\That's the thing. The school mailed at least three to your home. response:	They all came back returned to sender.
context: Please report to the staff room immediately. I repeat.\Rikka Takanashi from Year 2, Class 4,\please report to the staff room immediately.\The school has been overrun by terrorists!\Hardly.\Letters?\That's the thing. The school mailed at least three to your home.\They all came back returned to sender. response:	That may be due to the fact that my
context: Rikka Takanashi from Year 2, Class 4,\please report to the staff room immediately.\The school has been overrun by terrorists!\Hardly.\Letters?\That's the thing. The school mailed at least three to your home.\They all came back returned to sender.\That may be due to the fact that my response:	existence had been erased from this world.
context: please report to the staff room immediately.\The school has been overrun by terrorists!\Hardly.\Letters?\That's the thing. The school mailed at least three to your home.\They all came back returned to sender.\That may be due to the fact that my\existence had been erased from this world. response:	When we phone you, it says that number is not in use.
context: The school has been overrun by terrorists!\Hardly.\Letters?\That's the thing. The school mailed at least three to your home.\They all came back returned to sender.\That may be due to the fact that my\existence had been erased from this world.\When we phone you, it says that number is not in use. response:	My existence had been erased.
context: Hardly.\Letters?\That's the thing. The school mailed at least three to your home.\They all came back returned to sender.\That may be due to the fact that my\existence had been erased from this world.\When we phone you, it says that number is not in use.\My existence had been erased. response:	But you exist right now, so perhaps it'll go through now.
context: Letters?\That's the thing. The school mailed at least three to your home.\They all came back returned to sender.\That may be due to the fact that my\existence had been erased from this world.\When we phone you, it says that number is not in use.\My existence had been erased.\But you exist right now, so perhaps it'll go through now. response:	You won't.
context: That's the thing. The school mailed at least three to your home.\They all came back returned to sender.\That may be due to the fact that my\existence had been erased from this world.\When we phone you, it says that number is not in use.\My existence had been erased.\But you exist right now, so perhaps it'll go through now.\You won't. response:	Why not?
context: They all came back returned to sender.\That may be due to the fact that my\existence had been erased from this world.\When we phone you, it says that number is not in use.\My existence had been erased.\But you exist right now, so perhaps it'll go through now.\You won't.\Why not? response:	My eye! My eye!
context: That may be due to the fact that my\existence had been erased from this world.\When we phone you, it says that number is not in use.\My existence had been erased.\But you exist right now, so perhaps it'll go through now.\You won't.\Why not?\My eye! My eye! response:	That's way too weak!
context: existence had been erased from this world.\When we phone you, it says that number is not in use.\My existence had been erased.\But you exist right now, so perhaps it'll go through now.\You won't.\Why not?\My eye! My eye!\That's way too weak! response:	Far-East Magical Napping Society - Summer Thereof
context: When we phone you, it says that number is not in use.\My existence had been erased.\But you exist right now, so perhaps it'll go through now.\You won't.\Why not?\My eye! My eye!\That's way too weak!\Far-East Magical Napping Society - Summer Thereof response:	She seemed to buy it, but we can't keep this up forever.
context: My existence had been erased.\But you exist right now, so perhaps it'll go through now.\You won't.\Why not?\My eye! My eye!\That's way too weak!\Far-East Magical Napping Society - Summer Thereof\She seemed to buy it, but we can't keep this up forever. response:	Don't say that.
context: But you exist right now, so perhaps it'll go through now.\You won't.\Why not?\My eye! My eye!\That's way too weak!\Far-East Magical Napping Society - Summer Thereof\She seemed to buy it, but we can't keep this up forever.\Don't say that. response:	But it's hard.
context: You won't.\Why not?\My eye! My eye!\That's way too weak!\Far-East Magical Napping Society - Summer Thereof\She seemed to buy it, but we can't keep this up forever.\Don't say that.\But it's hard. response:	Can't you just try to take a bite?
context: Why not?\My eye! My eye!\That's way too weak!\Far-East Magical Napping Society - Summer Thereof\She seemed to buy it, but we can't keep this up forever.\Don't say that.\But it's hard.\Can't you just try to take a bite? response:	Come over here and join us, Rikka.
context: My eye! My eye!\That's way too weak!\Far-East Magical Napping Society - Summer Thereof\She seemed to buy it, but we can't keep this up forever.\Don't say that.\But it's hard.\Can't you just try to take a bite?\Come over here and join us, Rikka. response:	No, thank you.
context: That's way too weak!\Far-East Magical Napping Society - Summer Thereof\She seemed to buy it, but we can't keep this up forever.\Don't say that.\But it's hard.\Can't you just try to take a bite?\Come over here and join us, Rikka.\No, thank you. response:	The incubus lives in that coffin.
context: Far-East Magical Napping Society - Summer Thereof\She seemed to buy it, but we can't keep this up forever.\Don't say that.\But it's hard.\Can't you just try to take a bite?\Come over here and join us, Rikka.\No, thank you.\The incubus lives in that coffin. response:	Even one forged in the darkness such as I dare not approach.
context: She seemed to buy it, but we can't keep this up forever.\Don't say that.\But it's hard.\Can't you just try to take a bite?\Come over here and join us, Rikka.\No, thank you.\The incubus lives in that coffin.\Even one forged in the darkness such as I dare not approach. response:	I once experienced a frightening dream while under its influence.
context: Don't say that.\But it's hard.\Can't you just try to take a bite?\Come over here and join us, Rikka.\No, thank you.\The incubus lives in that coffin.\Even one forged in the darkness such as I dare not approach.\I once experienced a frightening dream while under its influence. response:	Really? What did you dream about?
context: But it's hard.\Can't you just try to take a bite?\Come over here and join us, Rikka.\No, thank you.\The incubus lives in that coffin.\Even one forged in the darkness such as I dare not approach.\I once experienced a frightening dream while under its influence.\Really? What did you dream about? response:	Ugh, the light! The Light Being is paralyzing me!
context: Can't you just try to take a bite?\Come over here and join us, Rikka.\No, thank you.\The incubus lives in that coffin.\Even one forged in the darkness such as I dare not approach.\I once experienced a frightening dream while under its influence.\Really? What did you dream about?\Ugh, the light! The Light Being is paralyzing me! response:	What're you doing?
context: Come over here and join us, Rikka.\No, thank you.\The incubus lives in that coffin.\Even one forged in the darkness such as I dare not approach.\I once experienced a frightening dream while under its influence.\Really? What did you dream about?\Ugh, the light! The Light Being is paralyzing me!\What're you doing? response:	Ow?
context: No, thank you.\The incubus lives in that coffin.\Even one forged in the darkness such as I dare not approach.\I once experienced a frightening dream while under its influence.\Really? What did you dream about?\Ugh, the light! The Light Being is paralyzing me!\What're you doing?\Ow? response:	Why is ow in the form of a question?
context: The incubus lives in that coffin.\Even one forged in the darkness such as I dare not approach.\I once experienced a frightening dream while under its influence.\Really? What did you dream about?\Ugh, the light! The Light Being is paralyzing me!\What're you doing?\Ow?\Why is ow in the form of a question? response:	No particular reason.
context: Even one forged in the darkness such as I dare not approach.\I once experienced a frightening dream while under its influence.\Really? What did you dream about?\Ugh, the light! The Light Being is paralyzing me!\What're you doing?\Ow?\Why is ow in the form of a question?\No particular reason. response:	If you had to choose, where would you want to live?
