context: Kurogiri, get rid of these guys. response:	Villain - Tomura Shigaraki - Quirk: Decay
context: made sure to leave a way for the students to win\while watching to see how you all would take on the task at hand.\If we hadn't, most of you would've gotten stuck before you started.\Mashirao Ojiro\So when you said you were really out to crush us...\That was to make you feel cornered.\In the first place, the training camp in the woods is one to increase strength.\So those who failed need it the most. They have to get stronger. response:	It was a rational falsehood.
context: while watching to see how you all would take on the task at hand.\If we hadn't, most of you would've gotten stuck before you started.\Mashirao Ojiro\So when you said you were really out to crush us...\That was to make you feel cornered.\In the first place, the training camp in the woods is one to increase strength.\So those who failed need it the most. They have to get stronger.\It was a rational falsehood. response:	A rational falsehood?!
context: If we hadn't, most of you would've gotten stuck before you started.\Mashirao Ojiro\So when you said you were really out to crush us...\That was to make you feel cornered.\In the first place, the training camp in the woods is one to increase strength.\So those who failed need it the most. They have to get stronger.\It was a rational falsehood.\A rational falsehood?! response:	Tenya Iida Yay
context: Mashirao Ojiro\So when you said you were really out to crush us...\That was to make you feel cornered.\In the first place, the training camp in the woods is one to increase strength.\So those who failed need it the most. They have to get stronger.\It was a rational falsehood.\A rational falsehood?!\Tenya Iida Yay response:	I was tricked again!
context: So when you said you were really out to crush us...\That was to make you feel cornered.\In the first place, the training camp in the woods is one to increase strength.\So those who failed need it the most. They have to get stronger.\It was a rational falsehood.\A rational falsehood?!\Tenya Iida Yay\I was tricked again! response:	As expected of U.A.
context: That was to make you feel cornered.\In the first place, the training camp in the woods is one to increase strength.\So those who failed need it the most. They have to get stronger.\It was a rational falsehood.\A rational falsehood?!\Tenya Iida Yay\I was tricked again!\As expected of U.A. response:	However, since you lied to us twice, our faith in you will waver!
context: In the first place, the training camp in the woods is one to increase strength.\So those who failed need it the most. They have to get stronger.\It was a rational falsehood.\A rational falsehood?!\Tenya Iida Yay\I was tricked again!\As expected of U.A.\However, since you lied to us twice, our faith in you will waver! response:	Wow, you're being a wet blanket, Iida.
context: So those who failed need it the most. They have to get stronger.\It was a rational falsehood.\A rational falsehood?!\Tenya Iida Yay\I was tricked again!\As expected of U.A.\However, since you lied to us twice, our faith in you will waver!\Wow, you're being a wet blanket, Iida. response:	Ochaco Uraraka
context: It was a rational falsehood.\A rational falsehood?!\Tenya Iida Yay\I was tricked again!\As expected of U.A.\However, since you lied to us twice, our faith in you will waver!\Wow, you're being a wet blanket, Iida.\Ochaco Uraraka response:	That's true. I'll consider that.
context: A rational falsehood?!\Tenya Iida Yay\I was tricked again!\As expected of U.A.\However, since you lied to us twice, our faith in you will waver!\Wow, you're being a wet blanket, Iida.\Ochaco Uraraka\That's true. I'll consider that. response:	But I wasn't lying about everything.
context: Tenya Iida Yay\I was tricked again!\As expected of U.A.\However, since you lied to us twice, our faith in you will waver!\Wow, you're being a wet blanket, Iida.\Ochaco Uraraka\That's true. I'll consider that.\But I wasn't lying about everything. response:	Failure is failure.
context: I was tricked again!\As expected of U.A.\However, since you lied to us twice, our faith in you will waver!\Wow, you're being a wet blanket, Iida.\Ochaco Uraraka\That's true. I'll consider that.\But I wasn't lying about everything.\Failure is failure. response:	We have prepared a separate time for extra lessons for you all.
context: As expected of U.A.\However, since you lied to us twice, our faith in you will waver!\Wow, you're being a wet blanket, Iida.\Ochaco Uraraka\That's true. I'll consider that.\But I wasn't lying about everything.\Failure is failure.\We have prepared a separate time for extra lessons for you all. response:	Frankly, it'll be tougher than the extra lessons you'd get if you stayed at school.
context: However, since you lied to us twice, our faith in you will waver!\Wow, you're being a wet blanket, Iida.\Ochaco Uraraka\That's true. I'll consider that.\But I wasn't lying about everything.\Failure is failure.\We have prepared a separate time for extra lessons for you all.\Frankly, it'll be tougher than the extra lessons you'd get if you stayed at school. response:	Well, in any case, I'm glad we can all go together.
context: Wow, you're being a wet blanket, Iida.\Ochaco Uraraka\That's true. I'll consider that.\But I wasn't lying about everything.\Failure is failure.\We have prepared a separate time for extra lessons for you all.\Frankly, it'll be tougher than the extra lessons you'd get if you stayed at school.\Well, in any case, I'm glad we can all go together. response:	Training Camp Guide
context: Ochaco Uraraka\That's true. I'll consider that.\But I wasn't lying about everything.\Failure is failure.\We have prepared a separate time for extra lessons for you all.\Frankly, it'll be tougher than the extra lessons you'd get if you stayed at school.\Well, in any case, I'm glad we can all go together.\Training Camp Guide response:	A week of training camp, huh?
context: That's true. I'll consider that.\But I wasn't lying about everything.\Failure is failure.\We have prepared a separate time for extra lessons for you all.\Frankly, it'll be tougher than the extra lessons you'd get if you stayed at school.\Well, in any case, I'm glad we can all go together.\Training Camp Guide\A week of training camp, huh? response:	We'll have to bring a lot with us.
context: But I wasn't lying about everything.\Failure is failure.\We have prepared a separate time for extra lessons for you all.\Frankly, it'll be tougher than the extra lessons you'd get if you stayed at school.\Well, in any case, I'm glad we can all go together.\Training Camp Guide\A week of training camp, huh?\We'll have to bring a lot with us. response:	I don't have a bathing suit or anything.
context: Failure is failure.\We have prepared a separate time for extra lessons for you all.\Frankly, it'll be tougher than the extra lessons you'd get if you stayed at school.\Well, in any case, I'm glad we can all go together.\Training Camp Guide\A week of training camp, huh?\We'll have to bring a lot with us.\I don't have a bathing suit or anything. response:	I'll have to buy a bunch of stuff.
context: We have prepared a separate time for extra lessons for you all.\Frankly, it'll be tougher than the extra lessons you'd get if you stayed at school.\Well, in any case, I'm glad we can all go together.\Training Camp Guide\A week of training camp, huh?\We'll have to bring a lot with us.\I don't have a bathing suit or anything.\I'll have to buy a bunch of stuff. response:	Night vision goggles-
context: Frankly, it'll be tougher than the extra lessons you'd get if you stayed at school.\Well, in any case, I'm glad we can all go together.\Training Camp Guide\A week of training camp, huh?\We'll have to bring a lot with us.\I don't have a bathing suit or anything.\I'll have to buy a bunch of stuff.\Night vision goggles- response:	Oh, then since we're off tomorrow, and we just finished our exams,
context: Well, in any case, I'm glad we can all go together.\Training Camp Guide\A week of training camp, huh?\We'll have to bring a lot with us.\I don't have a bathing suit or anything.\I'll have to buy a bunch of stuff.\Night vision goggles-\Oh, then since we're off tomorrow, and we just finished our exams, response:	Mezo Shoji Toru Hagakure Fumikage Tokoyami
context: Training Camp Guide\A week of training camp, huh?\We'll have to bring a lot with us.\I don't have a bathing suit or anything.\I'll have to buy a bunch of stuff.\Night vision goggles-\Oh, then since we're off tomorrow, and we just finished our exams,\Mezo Shoji Toru Hagakure Fumikage Tokoyami response:	why doesn't Class A all go shopping together?!
context: A week of training camp, huh?\We'll have to bring a lot with us.\I don't have a bathing suit or anything.\I'll have to buy a bunch of stuff.\Night vision goggles-\Oh, then since we're off tomorrow, and we just finished our exams,\Mezo Shoji Toru Hagakure Fumikage Tokoyami\why doesn't Class A all go shopping together?! response:	Grin
context: We'll have to bring a lot with us.\I don't have a bathing suit or anything.\I'll have to buy a bunch of stuff.\Night vision goggles-\Oh, then since we're off tomorrow, and we just finished our exams,\Mezo Shoji Toru Hagakure Fumikage Tokoyami\why doesn't Class A all go shopping together?!\Grin response:	Oh, good idea!
context: I don't have a bathing suit or anything.\I'll have to buy a bunch of stuff.\Night vision goggles-\Oh, then since we're off tomorrow, and we just finished our exams,\Mezo Shoji Toru Hagakure Fumikage Tokoyami\why doesn't Class A all go shopping together?!\Grin\Oh, good idea! response:	Wouldn't that be the first time we all hung out together?
context: I'll have to buy a bunch of stuff.\Night vision goggles-\Oh, then since we're off tomorrow, and we just finished our exams,\Mezo Shoji Toru Hagakure Fumikage Tokoyami\why doesn't Class A all go shopping together?!\Grin\Oh, good idea!\Wouldn't that be the first time we all hung out together? response:	Katsuki Bakugo
context: Night vision goggles-\Oh, then since we're off tomorrow, and we just finished our exams,\Mezo Shoji Toru Hagakure Fumikage Tokoyami\why doesn't Class A all go shopping together?!\Grin\Oh, good idea!\Wouldn't that be the first time we all hung out together?\Katsuki Bakugo response:	Hey, Bakugo, you're coming, too!
context: Oh, then since we're off tomorrow, and we just finished our exams,\Mezo Shoji Toru Hagakure Fumikage Tokoyami\why doesn't Class A all go shopping together?!\Grin\Oh, good idea!\Wouldn't that be the first time we all hung out together?\Katsuki Bakugo\Hey, Bakugo, you're coming, too! response:	Like I'd do something so irritating.
context: Mezo Shoji Toru Hagakure Fumikage Tokoyami\why doesn't Class A all go shopping together?!\Grin\Oh, good idea!\Wouldn't that be the first time we all hung out together?\Katsuki Bakugo\Hey, Bakugo, you're coming, too!\Like I'd do something so irritating. response:	Shoto Todoroki
context: why doesn't Class A all go shopping together?!\Grin\Oh, good idea!\Wouldn't that be the first time we all hung out together?\Katsuki Bakugo\Hey, Bakugo, you're coming, too!\Like I'd do something so irritating.\Shoto Todoroki response:	Will you come, too, Todoroki?
context: Grin\Oh, good idea!\Wouldn't that be the first time we all hung out together?\Katsuki Bakugo\Hey, Bakugo, you're coming, too!\Like I'd do something so irritating.\Shoto Todoroki\Will you come, too, Todoroki? response:	I go visit my mom on our days off.
context: Oh, good idea!\Wouldn't that be the first time we all hung out together?\Katsuki Bakugo\Hey, Bakugo, you're coming, too!\Like I'd do something so irritating.\Shoto Todoroki\Will you come, too, Todoroki?\I go visit my mom on our days off. response:	You guys are such party poopers!
context: Wouldn't that be the first time we all hung out together?\Katsuki Bakugo\Hey, Bakugo, you're coming, too!\Like I'd do something so irritating.\Shoto Todoroki\Will you come, too, Todoroki?\I go visit my mom on our days off.\You guys are such party poopers! response:	Get a clue, you clueless guys!
context: Katsuki Bakugo\Hey, Bakugo, you're coming, too!\Like I'd do something so irritating.\Shoto Todoroki\Will you come, too, Todoroki?\I go visit my mom on our days off.\You guys are such party poopers!\Get a clue, you clueless guys! response:	And so, here we are!
context: Hey, Bakugo, you're coming, too!\Like I'd do something so irritating.\Shoto Todoroki\Will you come, too, Todoroki?\I go visit my mom on our days off.\You guys are such party poopers!\Get a clue, you clueless guys!\And so, here we are! response:	With the most stores in the prefecture, the newest and coolest, most advanced-
context: Like I'd do something so irritating.\Shoto Todoroki\Will you come, too, Todoroki?\I go visit my mom on our days off.\You guys are such party poopers!\Get a clue, you clueless guys!\And so, here we are!\With the most stores in the prefecture, the newest and coolest, most advanced- response:	Kiyashi Ward Shopping Mall!
context: Shoto Todoroki\Will you come, too, Todoroki?\I go visit my mom on our days off.\You guys are such party poopers!\Get a clue, you clueless guys!\And so, here we are!\With the most stores in the prefecture, the newest and coolest, most advanced-\Kiyashi Ward Shopping Mall! response:	They don't just try to cover the various body types due to Quirks by numbers,
context: Will you come, too, Todoroki?\I go visit my mom on our days off.\You guys are such party poopers!\Get a clue, you clueless guys!\And so, here we are!\With the most stores in the prefecture, the newest and coolest, most advanced-\Kiyashi Ward Shopping Mall!\They don't just try to cover the various body types due to Quirks by numbers, response:	mutter mutter mutter
context: I go visit my mom on our days off.\You guys are such party poopers!\Get a clue, you clueless guys!\And so, here we are!\With the most stores in the prefecture, the newest and coolest, most advanced-\Kiyashi Ward Shopping Mall!\They don't just try to cover the various body types due to Quirks by numbers,\mutter mutter mutter response:	but they actually have designs that fit a wide range of ages, from teens to seniors, so...
context: You guys are such party poopers!\Get a clue, you clueless guys!\And so, here we are!\With the most stores in the prefecture, the newest and coolest, most advanced-\Kiyashi Ward Shopping Mall!\They don't just try to cover the various body types due to Quirks by numbers,\mutter mutter mutter\but they actually have designs that fit a wide range of ages, from teens to seniors, so... response:	You're scaring the children. Stop that.
context: Get a clue, you clueless guys!\And so, here we are!\With the most stores in the prefecture, the newest and coolest, most advanced-\Kiyashi Ward Shopping Mall!\They don't just try to cover the various body types due to Quirks by numbers,\mutter mutter mutter\but they actually have designs that fit a wide range of ages, from teens to seniors, so...\You're scaring the children. Stop that. response:	Oh, aren't those U.A. students?!
context: And so, here we are!\With the most stores in the prefecture, the newest and coolest, most advanced-\Kiyashi Ward Shopping Mall!\They don't just try to cover the various body types due to Quirks by numbers,\mutter mutter mutter\but they actually have designs that fit a wide range of ages, from teens to seniors, so...\You're scaring the children. Stop that.\Oh, aren't those U.A. students?! response:	First years?!
context: With the most stores in the prefecture, the newest and coolest, most advanced-\Kiyashi Ward Shopping Mall!\They don't just try to cover the various body types due to Quirks by numbers,\mutter mutter mutter\but they actually have designs that fit a wide range of ages, from teens to seniors, so...\You're scaring the children. Stop that.\Oh, aren't those U.A. students?!\First years?! response:	I saw them on TV!
context: Kiyashi Ward Shopping Mall!\They don't just try to cover the various body types due to Quirks by numbers,\mutter mutter mutter\but they actually have designs that fit a wide range of ages, from teens to seniors, so...\You're scaring the children. Stop that.\Oh, aren't those U.A. students?!\First years?!\I saw them on TV! response:	Sports festival, yay!
context: They don't just try to cover the various body types due to Quirks by numbers,\mutter mutter mutter\but they actually have designs that fit a wide range of ages, from teens to seniors, so...\You're scaring the children. Stop that.\Oh, aren't those U.A. students?!\First years?!\I saw them on TV!\Sports festival, yay! response:	Oh, there are still people who remember that...
context: mutter mutter mutter\but they actually have designs that fit a wide range of ages, from teens to seniors, so...\You're scaring the children. Stop that.\Oh, aren't those U.A. students?!\First years?!\I saw them on TV!\Sports festival, yay!\Oh, there are still people who remember that... response:	Anyway, I need to buy a big carry-on bag.
context: but they actually have designs that fit a wide range of ages, from teens to seniors, so...\You're scaring the children. Stop that.\Oh, aren't those U.A. students?!\First years?!\I saw them on TV!\Sports festival, yay!\Oh, there are still people who remember that...\Anyway, I need to buy a big carry-on bag. response:	Momo Yaoyorozu Kyoka Jiro
context: You're scaring the children. Stop that.\Oh, aren't those U.A. students?!\First years?!\I saw them on TV!\Sports festival, yay!\Oh, there are still people who remember that...\Anyway, I need to buy a big carry-on bag.\Momo Yaoyorozu Kyoka Jiro response:	Oh my, then why don't we go around together?
context: Oh, aren't those U.A. students?!\First years?!\I saw them on TV!\Sports festival, yay!\Oh, there are still people who remember that...\Anyway, I need to buy a big carry-on bag.\Momo Yaoyorozu Kyoka Jiro\Oh my, then why don't we go around together? response:	Where can I get lock-picking tools and small drills?
context: First years?!\I saw them on TV!\Sports festival, yay!\Oh, there are still people who remember that...\Anyway, I need to buy a big carry-on bag.\Momo Yaoyorozu Kyoka Jiro\Oh my, then why don't we go around together?\Where can I get lock-picking tools and small drills? response:	I don't have any outdoorsy shoes, so I want to go buy some.
context: I saw them on TV!\Sports festival, yay!\Oh, there are still people who remember that...\Anyway, I need to buy a big carry-on bag.\Momo Yaoyorozu Kyoka Jiro\Oh my, then why don't we go around together?\Where can I get lock-picking tools and small drills?\I don't have any outdoorsy shoes, so I want to go buy some. response:	Oh, me too, me too!
context: Sports festival, yay!\Oh, there are still people who remember that...\Anyway, I need to buy a big carry-on bag.\Momo Yaoyorozu Kyoka Jiro\Oh my, then why don't we go around together?\Where can I get lock-picking tools and small drills?\I don't have any outdoorsy shoes, so I want to go buy some.\Oh, me too, me too! response:	The guide said to bring shoes that are already broken in-
context: Oh, there are still people who remember that...\Anyway, I need to buy a big carry-on bag.\Momo Yaoyorozu Kyoka Jiro\Oh my, then why don't we go around together?\Where can I get lock-picking tools and small drills?\I don't have any outdoorsy shoes, so I want to go buy some.\Oh, me too, me too!\The guide said to bring shoes that are already broken in- response:	Oh, but I see, perhaps we should choose based on utility?
context: Anyway, I need to buy a big carry-on bag.\Momo Yaoyorozu Kyoka Jiro\Oh my, then why don't we go around together?\Where can I get lock-picking tools and small drills?\I don't have any outdoorsy shoes, so I want to go buy some.\Oh, me too, me too!\The guide said to bring shoes that are already broken in-\Oh, but I see, perhaps we should choose based on utility? response:	Everyone has different things they want to do,
context: Momo Yaoyorozu Kyoka Jiro\Oh my, then why don't we go around together?\Where can I get lock-picking tools and small drills?\I don't have any outdoorsy shoes, so I want to go buy some.\Oh, me too, me too!\The guide said to bring shoes that are already broken in-\Oh, but I see, perhaps we should choose based on utility?\Everyone has different things they want to do, response:	so why don't we decide on a time to meet back up?
context: Oh my, then why don't we go around together?\Where can I get lock-picking tools and small drills?\I don't have any outdoorsy shoes, so I want to go buy some.\Oh, me too, me too!\The guide said to bring shoes that are already broken in-\Oh, but I see, perhaps we should choose based on utility?\Everyone has different things they want to do,\so why don't we decide on a time to meet back up? response:	I agree!
context: Where can I get lock-picking tools and small drills?\I don't have any outdoorsy shoes, so I want to go buy some.\Oh, me too, me too!\The guide said to bring shoes that are already broken in-\Oh, but I see, perhaps we should choose based on utility?\Everyone has different things they want to do,\so why don't we decide on a time to meet back up?\I agree! response:	Then let's meet back here at 3 o'clock!
context: I don't have any outdoorsy shoes, so I want to go buy some.\Oh, me too, me too!\The guide said to bring shoes that are already broken in-\Oh, but I see, perhaps we should choose based on utility?\Everyone has different things they want to do,\so why don't we decide on a time to meet back up?\I agree!\Then let's meet back here at 3 o'clock! response:	Okay!
context: Oh, me too, me too!\The guide said to bring shoes that are already broken in-\Oh, but I see, perhaps we should choose based on utility?\Everyone has different things they want to do,\so why don't we decide on a time to meet back up?\I agree!\Then let's meet back here at 3 o'clock!\Okay! response:	Everyone's really fast.
context: The guide said to bring shoes that are already broken in-\Oh, but I see, perhaps we should choose based on utility?\Everyone has different things they want to do,\so why don't we decide on a time to meet back up?\I agree!\Then let's meet back here at 3 o'clock!\Okay!\Everyone's really fast. response:	Yeah.
context: Oh, but I see, perhaps we should choose based on utility?\Everyone has different things they want to do,\so why don't we decide on a time to meet back up?\I agree!\Then let's meet back here at 3 o'clock!\Okay!\Everyone's really fast.\Yeah. response:	Wh-What about you, Uraraka?
context: Everyone has different things they want to do,\so why don't we decide on a time to meet back up?\I agree!\Then let's meet back here at 3 o'clock!\Okay!\Everyone's really fast.\Yeah.\Wh-What about you, Uraraka? response:	I want to get some heavier wrist weights.
context: so why don't we decide on a time to meet back up?\I agree!\Then let's meet back here at 3 o'clock!\Okay!\Everyone's really fast.\Yeah.\Wh-What about you, Uraraka?\I want to get some heavier wrist weights. response:	I need bug spray...
context: I agree!\Then let's meet back here at 3 o'clock!\Okay!\Everyone's really fast.\Yeah.\Wh-What about you, Uraraka?\I want to get some heavier wrist weights.\I need bug spray... response:	Do you...
context: Then let's meet back here at 3 o'clock!\Okay!\Everyone's really fast.\Yeah.\Wh-What about you, Uraraka?\I want to get some heavier wrist weights.\I need bug spray...\Do you... response:	Bu...
context: Okay!\Everyone's really fast.\Yeah.\Wh-What about you, Uraraka?\I want to get some heavier wrist weights.\I need bug spray...\Do you...\Bu... response:	Bug spray...!
context: Everyone's really fast.\Yeah.\Wh-What about you, Uraraka?\I want to get some heavier wrist weights.\I need bug spray...\Do you...\Bu...\Bug spray...! response:	I'm a bug?!
context: Yeah.\Wh-What about you, Uraraka?\I want to get some heavier wrist weights.\I need bug spray...\Do you...\Bu...\Bug spray...!\I'm a bug?! response:	Dang it, Aoyama!
context: Wh-What about you, Uraraka?\I want to get some heavier wrist weights.\I need bug spray...\Do you...\Bu...\Bug spray...!\I'm a bug?!\Dang it, Aoyama! response:	He's wrong, anyway!
context: I want to get some heavier wrist weights.\I need bug spray...\Do you...\Bu...\Bug spray...!\I'm a bug?!\Dang it, Aoyama!\He's wrong, anyway! response:	I think.
context: I need bug spray...\Do you...\Bu...\Bug spray...!\I'm a bug?!\Dang it, Aoyama!\He's wrong, anyway!\I think. response:	Even though we all came together, I'm by myself...
context: Do you...\Bu...\Bug spray...!\I'm a bug?!\Dang it, Aoyama!\He's wrong, anyway!\I think.\Even though we all came together, I'm by myself... response:	Oh, it's someone from U.A. Cool!
context: Bu...\Bug spray...!\I'm a bug?!\Dang it, Aoyama!\He's wrong, anyway!\I think.\Even though we all came together, I'm by myself...\Oh, it's someone from U.A. Cool! response:	Let me have your autograph!
context: Bug spray...!\I'm a bug?!\Dang it, Aoyama!\He's wrong, anyway!\I think.\Even though we all came together, I'm by myself...\Oh, it's someone from U.A. Cool!\Let me have your autograph! response:	You were the one who got all beat up at the sports festival, right?
context: I'm a bug?!\Dang it, Aoyama!\He's wrong, anyway!\I think.\Even though we all came together, I'm by myself...\Oh, it's someone from U.A. Cool!\Let me have your autograph!\You were the one who got all beat up at the sports festival, right? response:	Y-Yeah...
context: Dang it, Aoyama!\He's wrong, anyway!\I think.\Even though we all came together, I'm by myself...\Oh, it's someone from U.A. Cool!\Let me have your autograph!\You were the one who got all beat up at the sports festival, right?\Y-Yeah... response:	Wow, U.A.'s amazing.
context: He's wrong, anyway!\I think.\Even though we all came together, I'm by myself...\Oh, it's someone from U.A. Cool!\Let me have your autograph!\You were the one who got all beat up at the sports festival, right?\Y-Yeah...\Wow, U.A.'s amazing. response:	So many people watched and remembered us...
context: I think.\Even though we all came together, I'm by myself...\Oh, it's someone from U.A. Cool!\Let me have your autograph!\You were the one who got all beat up at the sports festival, right?\Y-Yeah...\Wow, U.A.'s amazing.\So many people watched and remembered us... response:	And weren't you also one of the guys
context: Even though we all came together, I'm by myself...\Oh, it's someone from U.A. Cool!\Let me have your autograph!\You were the one who got all beat up at the sports festival, right?\Y-Yeah...\Wow, U.A.'s amazing.\So many people watched and remembered us...\And weren't you also one of the guys response:	who ran into the hero killer in the Hosu incident?
context: Oh, it's someone from U.A. Cool!\Let me have your autograph!\You were the one who got all beat up at the sports festival, right?\Y-Yeah...\Wow, U.A.'s amazing.\So many people watched and remembered us...\And weren't you also one of the guys\who ran into the hero killer in the Hosu incident? response:	That's so cool!
context: Let me have your autograph!\You were the one who got all beat up at the sports festival, right?\Y-Yeah...\Wow, U.A.'s amazing.\So many people watched and remembered us...\And weren't you also one of the guys\who ran into the hero killer in the Hosu incident?\That's so cool! response:	You sure know a lot...
context: You were the one who got all beat up at the sports festival, right?\Y-Yeah...\Wow, U.A.'s amazing.\So many people watched and remembered us...\And weren't you also one of the guys\who ran into the hero killer in the Hosu incident?\That's so cool!\You sure know a lot... response:	Man, I seriously can't believe it.
context: Y-Yeah...\Wow, U.A.'s amazing.\So many people watched and remembered us...\And weren't you also one of the guys\who ran into the hero killer in the Hosu incident?\That's so cool!\You sure know a lot...\Man, I seriously can't believe it. response:	I can't believe I'd see you again in a place like this.
context: Wow, U.A.'s amazing.\So many people watched and remembered us...\And weren't you also one of the guys\who ran into the hero killer in the Hosu incident?\That's so cool!\You sure know a lot...\Man, I seriously can't believe it.\I can't believe I'd see you again in a place like this. response:	It makes me feel like there's something to it...
context: So many people watched and remembered us...\And weren't you also one of the guys\who ran into the hero killer in the Hosu incident?\That's so cool!\You sure know a lot...\Man, I seriously can't believe it.\I can't believe I'd see you again in a place like this.\It makes me feel like there's something to it... response:	But well, from your perspective, I guess we haven't met since the attack on U.A., huh?
context: And weren't you also one of the guys\who ran into the hero killer in the Hosu incident?\That's so cool!\You sure know a lot...\Man, I seriously can't believe it.\I can't believe I'd see you again in a place like this.\It makes me feel like there's something to it...\But well, from your perspective, I guess we haven't met since the attack on U.A., huh? response:	Why don't we have tea or something, Izuku Midoriya?
context: who ran into the hero killer in the Hosu incident?\That's so cool!\You sure know a lot...\Man, I seriously can't believe it.\I can't believe I'd see you again in a place like this.\It makes me feel like there's something to it...\But well, from your perspective, I guess we haven't met since the attack on U.A., huh?\Why don't we have tea or something, Izuku Midoriya? response:	Tomura... Shigaraki!
context: That's so cool!\You sure know a lot...\Man, I seriously can't believe it.\I can't believe I'd see you again in a place like this.\It makes me feel like there's something to it...\But well, from your perspective, I guess we haven't met since the attack on U.A., huh?\Why don't we have tea or something, Izuku Midoriya?\Tomura... Shigaraki! response:	Encounter
context: You sure know a lot...\Man, I seriously can't believe it.\I can't believe I'd see you again in a place like this.\It makes me feel like there's something to it...\But well, from your perspective, I guess we haven't met since the attack on U.A., huh?\Why don't we have tea or something, Izuku Midoriya?\Tomura... Shigaraki!\Encounter response:	Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.
context: Man, I seriously can't believe it.\I can't believe I'd see you again in a place like this.\It makes me feel like there's something to it...\But well, from your perspective, I guess we haven't met since the attack on U.A., huh?\Why don't we have tea or something, Izuku Midoriya?\Tomura... Shigaraki!\Encounter\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next. response:	Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowla
context: I can't believe I'd see you again in a place like this.\It makes me feel like there's something to it...\But well, from your perspective, I guess we haven't met since the attack on U.A., huh?\Why don't we have tea or something, Izuku Midoriya?\Tomura... Shigaraki!\Encounter\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowla response:	What meaning is there in killing without conviction?
context: It makes me feel like there's something to it...\But well, from your perspective, I guess we haven't met since the attack on U.A., huh?\Why don't we have tea or something, Izuku Midoriya?\Tomura... Shigaraki!\Encounter\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowla\What meaning is there in killing without conviction? response:	Just you watch, Hero Killer.
context: But well, from your perspective, I guess we haven't met since the attack on U.A., huh?\Why don't we have tea or something, Izuku Midoriya?\Tomura... Shigaraki!\Encounter\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowla\What meaning is there in killing without conviction?\Just you watch, Hero Killer. response:	Almost everyone is thinking, It's no skin off my back.
context: Why don't we have tea or something, Izuku Midoriya?\Tomura... Shigaraki!\Encounter\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowla\What meaning is there in killing without conviction?\Just you watch, Hero Killer.\Almost everyone is thinking, It's no skin off my back. response:	No, they're not even thinking that.
context: Tomura... Shigaraki!\Encounter\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowla\What meaning is there in killing without conviction?\Just you watch, Hero Killer.\Almost everyone is thinking, It's no skin off my back.\No, they're not even thinking that. response:	No matter where someone tries to kill someone else for whatever reason,
context: Encounter\Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowla\What meaning is there in killing without conviction?\Just you watch, Hero Killer.\Almost everyone is thinking, It's no skin off my back.\No, they're not even thinking that.\No matter where someone tries to kill someone else for whatever reason, response:	these guys will just keep smiling thoughtlessly and going on living.
context: Izuku Midoriya Quirk: One For All Smashes villains with a super power passed down from one generation to the next.\Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowla\What meaning is there in killing without conviction?\Just you watch, Hero Killer.\Almost everyone is thinking, It's no skin off my back.\No, they're not even thinking that.\No matter where someone tries to kill someone else for whatever reason,\these guys will just keep smiling thoughtlessly and going on living. response:	It's the hero killer!
context: Affiliation: U.A. High School Hero Class 1-A Birthday: 7/15 Height: 166 cm Blood Type: O Likes: Pork Cutlet Bowla\What meaning is there in killing without conviction?\Just you watch, Hero Killer.\Almost everyone is thinking, It's no skin off my back.\No, they're not even thinking that.\No matter where someone tries to kill someone else for whatever reason,\these guys will just keep smiling thoughtlessly and going on living.\It's the hero killer! response:	Is this really okay?
context: What meaning is there in killing without conviction?\Just you watch, Hero Killer.\Almost everyone is thinking, It's no skin off my back.\No, they're not even thinking that.\No matter where someone tries to kill someone else for whatever reason,\these guys will just keep smiling thoughtlessly and going on living.\It's the hero killer!\Is this really okay? response:	Super popular!! Hero Killer Mask 980 yen
