context: But if that's the case, what would become of the Galactic Alliance response:	if the Hideauze are beaten completely?
context: Yeah.\Quite a sight, right? Not many know about this place.\It's beautiful!\Ledo, this is what the sea is like when there's no wind.\Hi!\Saaya! Melty!\You're late!\Hurry up! response:	Over there looks good!
context: Quite a sight, right? Not many know about this place.\It's beautiful!\Ledo, this is what the sea is like when there's no wind.\Hi!\Saaya! Melty!\You're late!\Hurry up!\Over there looks good! response:	Wanna swim?
context: It's beautiful!\Ledo, this is what the sea is like when there's no wind.\Hi!\Saaya! Melty!\You're late!\Hurry up!\Over there looks good!\Wanna swim? response:	Yeah!
context: Ledo, this is what the sea is like when there's no wind.\Hi!\Saaya! Melty!\You're late!\Hurry up!\Over there looks good!\Wanna swim?\Yeah! response:	Come in with us, Ledo!
context: Hi!\Saaya! Melty!\You're late!\Hurry up!\Over there looks good!\Wanna swim?\Yeah!\Come in with us, Ledo! response:	I-I...
context: Saaya! Melty!\You're late!\Hurry up!\Over there looks good!\Wanna swim?\Yeah!\Come in with us, Ledo!\I-I... response:	It'll feel good!
context: You're late!\Hurry up!\Over there looks good!\Wanna swim?\Yeah!\Come in with us, Ledo!\I-I...\It'll feel good! response:	Take off those lame clothes!
context: Hurry up!\Over there looks good!\Wanna swim?\Yeah!\Come in with us, Ledo!\I-I...\It'll feel good!\Take off those lame clothes! response:	Oh, my...
context: Over there looks good!\Wanna swim?\Yeah!\Come in with us, Ledo!\I-I...\It'll feel good!\Take off those lame clothes!\Oh, my... response:	Nice body...
context: Wanna swim?\Yeah!\Come in with us, Ledo!\I-I...\It'll feel good!\Take off those lame clothes!\Oh, my...\Nice body... response:	It's cold!
context: Yeah!\Come in with us, Ledo!\I-I...\It'll feel good!\Take off those lame clothes!\Oh, my...\Nice body...\It's cold! response:	It sure is hot, isn't it?
context: Come in with us, Ledo!\I-I...\It'll feel good!\Take off those lame clothes!\Oh, my...\Nice body...\It's cold!\It sure is hot, isn't it? response:	Dr. Oldham!
context: I-I...\It'll feel good!\Take off those lame clothes!\Oh, my...\Nice body...\It's cold!\It sure is hot, isn't it?\Dr. Oldham! response:	I'll join you if you don't mind.
context: It'll feel good!\Take off those lame clothes!\Oh, my...\Nice body...\It's cold!\It sure is hot, isn't it?\Dr. Oldham!\I'll join you if you don't mind. response:	No, please!
context: Take off those lame clothes!\Oh, my...\Nice body...\It's cold!\It sure is hot, isn't it?\Dr. Oldham!\I'll join you if you don't mind.\No, please! response:	At last, here we go!
context: Oh, my...\Nice body...\It's cold!\It sure is hot, isn't it?\Dr. Oldham!\I'll join you if you don't mind.\No, please!\At last, here we go! response:	You don't know what I went through to get this fine meat. It'll be delicious!
context: Nice body...\It's cold!\It sure is hot, isn't it?\Dr. Oldham!\I'll join you if you don't mind.\No, please!\At last, here we go!\You don't know what I went through to get this fine meat. It'll be delicious! response:	Huh?
context: It's cold!\It sure is hot, isn't it?\Dr. Oldham!\I'll join you if you don't mind.\No, please!\At last, here we go!\You don't know what I went through to get this fine meat. It'll be delicious!\Huh? response:	Crap... The power's still off?!
context: It sure is hot, isn't it?\Dr. Oldham!\I'll join you if you don't mind.\No, please!\At last, here we go!\You don't know what I went through to get this fine meat. It'll be delicious!\Huh?\Crap... The power's still off?! response:	Hey, can't you get your tin can to do something about this?
context: Dr. Oldham!\I'll join you if you don't mind.\No, please!\At last, here we go!\You don't know what I went through to get this fine meat. It'll be delicious!\Huh?\Crap... The power's still off?!\Hey, can't you get your tin can to do something about this? response:	You want to cook it?
context: I'll join you if you don't mind.\No, please!\At last, here we go!\You don't know what I went through to get this fine meat. It'll be delicious!\Huh?\Crap... The power's still off?!\Hey, can't you get your tin can to do something about this?\You want to cook it? response:	Yeah, that's it.
context: No, please!\At last, here we go!\You don't know what I went through to get this fine meat. It'll be delicious!\Huh?\Crap... The power's still off?!\Hey, can't you get your tin can to do something about this?\You want to cook it?\Yeah, that's it. response:	Incineration complete.
context: At last, here we go!\You don't know what I went through to get this fine meat. It'll be delicious!\Huh?\Crap... The power's still off?!\Hey, can't you get your tin can to do something about this?\You want to cook it?\Yeah, that's it.\Incineration complete. response:	What are you doing?!
context: You don't know what I went through to get this fine meat. It'll be delicious!\Huh?\Crap... The power's still off?!\Hey, can't you get your tin can to do something about this?\You want to cook it?\Yeah, that's it.\Incineration complete.\What are you doing?! response:	Jeez...
context: Huh?\Crap... The power's still off?!\Hey, can't you get your tin can to do something about this?\You want to cook it?\Yeah, that's it.\Incineration complete.\What are you doing?!\Jeez... response:	Oh, no! We don't got that!
context: Crap... The power's still off?!\Hey, can't you get your tin can to do something about this?\You want to cook it?\Yeah, that's it.\Incineration complete.\What are you doing?!\Jeez...\Oh, no! We don't got that! response:	What's wrong?
context: Hey, can't you get your tin can to do something about this?\You want to cook it?\Yeah, that's it.\Incineration complete.\What are you doing?!\Jeez...\Oh, no! We don't got that!\What's wrong? response:	Hey, Ledo!
context: You want to cook it?\Yeah, that's it.\Incineration complete.\What are you doing?!\Jeez...\Oh, no! We don't got that!\What's wrong?\Hey, Ledo! response:	There's something I want you to do.
context: Yeah, that's it.\Incineration complete.\What are you doing?!\Jeez...\Oh, no! We don't got that!\What's wrong?\Hey, Ledo!\There's something I want you to do. response:	Work?
context: Incineration complete.\What are you doing?!\Jeez...\Oh, no! We don't got that!\What's wrong?\Hey, Ledo!\There's something I want you to do.\Work? response:	Yeah, that's right!
context: What are you doing?!\Jeez...\Oh, no! We don't got that!\What's wrong?\Hey, Ledo!\There's something I want you to do.\Work?\Yeah, that's right! response:	I need you to fetch me something from that old bag of an ironsmith. You're most suited...
context: Jeez...\Oh, no! We don't got that!\What's wrong?\Hey, Ledo!\There's something I want you to do.\Work?\Yeah, that's right!\I need you to fetch me something from that old bag of an ironsmith. You're most suited... response:	I mean, it's work that only you can do!
context: Oh, no! We don't got that!\What's wrong?\Hey, Ledo!\There's something I want you to do.\Work?\Yeah, that's right!\I need you to fetch me something from that old bag of an ironsmith. You're most suited...\I mean, it's work that only you can do! response:	Hey, you're making Ledo go there?!
context: What's wrong?\Hey, Ledo!\There's something I want you to do.\Work?\Yeah, that's right!\I need you to fetch me something from that old bag of an ironsmith. You're most suited...\I mean, it's work that only you can do!\Hey, you're making Ledo go there?! response:	He ruined a whole plateful of meat, so yeah, of course!
context: Hey, Ledo!\There's something I want you to do.\Work?\Yeah, that's right!\I need you to fetch me something from that old bag of an ironsmith. You're most suited...\I mean, it's work that only you can do!\Hey, you're making Ledo go there?!\He ruined a whole plateful of meat, so yeah, of course! response:	I'm counting on you!
context: There's something I want you to do.\Work?\Yeah, that's right!\I need you to fetch me something from that old bag of an ironsmith. You're most suited...\I mean, it's work that only you can do!\Hey, you're making Ledo go there?!\He ruined a whole plateful of meat, so yeah, of course!\I'm counting on you! response:	Now my back!
context: Work?\Yeah, that's right!\I need you to fetch me something from that old bag of an ironsmith. You're most suited...\I mean, it's work that only you can do!\Hey, you're making Ledo go there?!\He ruined a whole plateful of meat, so yeah, of course!\I'm counting on you!\Now my back! response:	I hope Ledo's going to be okay...
context: Yeah, that's right!\I need you to fetch me something from that old bag of an ironsmith. You're most suited...\I mean, it's work that only you can do!\Hey, you're making Ledo go there?!\He ruined a whole plateful of meat, so yeah, of course!\I'm counting on you!\Now my back!\I hope Ledo's going to be okay... response:	I'm kind of ticklish there!
context: I need you to fetch me something from that old bag of an ironsmith. You're most suited...\I mean, it's work that only you can do!\Hey, you're making Ledo go there?!\He ruined a whole plateful of meat, so yeah, of course!\I'm counting on you!\Now my back!\I hope Ledo's going to be okay...\I'm kind of ticklish there! response:	I thought so!
context: I mean, it's work that only you can do!\Hey, you're making Ledo go there?!\He ruined a whole plateful of meat, so yeah, of course!\I'm counting on you!\Now my back!\I hope Ledo's going to be okay...\I'm kind of ticklish there!\I thought so! response:	Yeesh...
context: Hey, you're making Ledo go there?!\He ruined a whole plateful of meat, so yeah, of course!\I'm counting on you!\Now my back!\I hope Ledo's going to be okay...\I'm kind of ticklish there!\I thought so!\Yeesh... response:	If I eat meat and stuff here, I'll probably gain weight again...
context: He ruined a whole plateful of meat, so yeah, of course!\I'm counting on you!\Now my back!\I hope Ledo's going to be okay...\I'm kind of ticklish there!\I thought so!\Yeesh...\If I eat meat and stuff here, I'll probably gain weight again... response:	Again, Melty? You've got nothing to worry about!
context: I'm counting on you!\Now my back!\I hope Ledo's going to be okay...\I'm kind of ticklish there!\I thought so!\Yeesh...\If I eat meat and stuff here, I'll probably gain weight again...\Again, Melty? You've got nothing to worry about! response:	Everybody's got their own norm, right?
context: Now my back!\I hope Ledo's going to be okay...\I'm kind of ticklish there!\I thought so!\Yeesh...\If I eat meat and stuff here, I'll probably gain weight again...\Again, Melty? You've got nothing to worry about!\Everybody's got their own norm, right? response:	I don't care about that. A lot of boys prefer chubby girls.
context: I hope Ledo's going to be okay...\I'm kind of ticklish there!\I thought so!\Yeesh...\If I eat meat and stuff here, I'll probably gain weight again...\Again, Melty? You've got nothing to worry about!\Everybody's got their own norm, right?\I don't care about that. A lot of boys prefer chubby girls. response:	You're naive...
context: I'm kind of ticklish there!\I thought so!\Yeesh...\If I eat meat and stuff here, I'll probably gain weight again...\Again, Melty? You've got nothing to worry about!\Everybody's got their own norm, right?\I don't care about that. A lot of boys prefer chubby girls.\You're naive... response:	Believe in a wrongheaded idea like that and you'll end up getting hurt.
context: I thought so!\Yeesh...\If I eat meat and stuff here, I'll probably gain weight again...\Again, Melty? You've got nothing to worry about!\Everybody's got their own norm, right?\I don't care about that. A lot of boys prefer chubby girls.\You're naive...\Believe in a wrongheaded idea like that and you'll end up getting hurt. response:	M-Maybe I need to exercise...
context: Yeesh...\If I eat meat and stuff here, I'll probably gain weight again...\Again, Melty? You've got nothing to worry about!\Everybody's got their own norm, right?\I don't care about that. A lot of boys prefer chubby girls.\You're naive...\Believe in a wrongheaded idea like that and you'll end up getting hurt.\M-Maybe I need to exercise... response:	M-Maybe...
context: If I eat meat and stuff here, I'll probably gain weight again...\Again, Melty? You've got nothing to worry about!\Everybody's got their own norm, right?\I don't care about that. A lot of boys prefer chubby girls.\You're naive...\Believe in a wrongheaded idea like that and you'll end up getting hurt.\M-Maybe I need to exercise...\M-Maybe... response:	This is Ridget. Is Amy there?
context: Again, Melty? You've got nothing to worry about!\Everybody's got their own norm, right?\I don't care about that. A lot of boys prefer chubby girls.\You're naive...\Believe in a wrongheaded idea like that and you'll end up getting hurt.\M-Maybe I need to exercise...\M-Maybe...\This is Ridget. Is Amy there? response:	Here I am!
context: Everybody's got their own norm, right?\I don't care about that. A lot of boys prefer chubby girls.\You're naive...\Believe in a wrongheaded idea like that and you'll end up getting hurt.\M-Maybe I need to exercise...\M-Maybe...\This is Ridget. Is Amy there?\Here I am! response:	You know the crane tower sprinkler, right? Even though the power's back on, it's not working.
context: I don't care about that. A lot of boys prefer chubby girls.\You're naive...\Believe in a wrongheaded idea like that and you'll end up getting hurt.\M-Maybe I need to exercise...\M-Maybe...\This is Ridget. Is Amy there?\Here I am!\You know the crane tower sprinkler, right? Even though the power's back on, it's not working. response:	Again?!
context: You're naive...\Believe in a wrongheaded idea like that and you'll end up getting hurt.\M-Maybe I need to exercise...\M-Maybe...\This is Ridget. Is Amy there?\Here I am!\You know the crane tower sprinkler, right? Even though the power's back on, it's not working.\Again?! response:	Would you take the surf kite up to turn the pump on?
context: Believe in a wrongheaded idea like that and you'll end up getting hurt.\M-Maybe I need to exercise...\M-Maybe...\This is Ridget. Is Amy there?\Here I am!\You know the crane tower sprinkler, right? Even though the power's back on, it's not working.\Again?!\Would you take the surf kite up to turn the pump on? response:	I've got a grill out party that's about to start...
context: M-Maybe I need to exercise...\M-Maybe...\This is Ridget. Is Amy there?\Here I am!\You know the crane tower sprinkler, right? Even though the power's back on, it's not working.\Again?!\Would you take the surf kite up to turn the pump on?\I've got a grill out party that's about to start... response:	I mean, got it!
context: M-Maybe...\This is Ridget. Is Amy there?\Here I am!\You know the crane tower sprinkler, right? Even though the power's back on, it's not working.\Again?!\Would you take the surf kite up to turn the pump on?\I've got a grill out party that's about to start...\I mean, got it! response:	Grill out?
context: This is Ridget. Is Amy there?\Here I am!\You know the crane tower sprinkler, right? Even though the power's back on, it's not working.\Again?!\Would you take the surf kite up to turn the pump on?\I've got a grill out party that's about to start...\I mean, got it!\Grill out? response:	I mean, thank you.
context: Here I am!\You know the crane tower sprinkler, right? Even though the power's back on, it's not working.\Again?!\Would you take the surf kite up to turn the pump on?\I've got a grill out party that's about to start...\I mean, got it!\Grill out?\I mean, thank you. response:	It's a race!
context: You know the crane tower sprinkler, right? Even though the power's back on, it's not working.\Again?!\Would you take the surf kite up to turn the pump on?\I've got a grill out party that's about to start...\I mean, got it!\Grill out?\I mean, thank you.\It's a race! response:	Okay! I'm not gonna lose!
context: Again?!\Would you take the surf kite up to turn the pump on?\I've got a grill out party that's about to start...\I mean, got it!\Grill out?\I mean, thank you.\It's a race!\Okay! I'm not gonna lose! response:	This way we don't have to worry about getting fat!
context: Would you take the surf kite up to turn the pump on?\I've got a grill out party that's about to start...\I mean, got it!\Grill out?\I mean, thank you.\It's a race!\Okay! I'm not gonna lose!\This way we don't have to worry about getting fat! response:	Query: Why are they so focused on maintaining their weight
context: I've got a grill out party that's about to start...\I mean, got it!\Grill out?\I mean, thank you.\It's a race!\Okay! I'm not gonna lose!\This way we don't have to worry about getting fat!\Query: Why are they so focused on maintaining their weight response:	even as they actively seek to eat in great quantities?
context: I mean, got it!\Grill out?\I mean, thank you.\It's a race!\Okay! I'm not gonna lose!\This way we don't have to worry about getting fat!\Query: Why are they so focused on maintaining their weight\even as they actively seek to eat in great quantities? response:	That's just the way girls think.
context: Grill out?\I mean, thank you.\It's a race!\Okay! I'm not gonna lose!\This way we don't have to worry about getting fat!\Query: Why are they so focused on maintaining their weight\even as they actively seek to eat in great quantities?\That's just the way girls think. response:	That does not compute.
context: I mean, thank you.\It's a race!\Okay! I'm not gonna lose!\This way we don't have to worry about getting fat!\Query: Why are they so focused on maintaining their weight\even as they actively seek to eat in great quantities?\That's just the way girls think.\That does not compute. response:	You can say that again. But I wonder how this'll turn out.
context: It's a race!\Okay! I'm not gonna lose!\This way we don't have to worry about getting fat!\Query: Why are they so focused on maintaining their weight\even as they actively seek to eat in great quantities?\That's just the way girls think.\That does not compute.\You can say that again. But I wonder how this'll turn out. response:	Tin Can, I just noticed that you're black...
context: Okay! I'm not gonna lose!\This way we don't have to worry about getting fat!\Query: Why are they so focused on maintaining their weight\even as they actively seek to eat in great quantities?\That's just the way girls think.\That does not compute.\You can say that again. But I wonder how this'll turn out.\Tin Can, I just noticed that you're black... response:	Is this the right place?
context: This way we don't have to worry about getting fat!\Query: Why are they so focused on maintaining their weight\even as they actively seek to eat in great quantities?\That's just the way girls think.\That does not compute.\You can say that again. But I wonder how this'll turn out.\Tin Can, I just noticed that you're black...\Is this the right place? response:	Oh, young man, are you alone?
context: Query: Why are they so focused on maintaining their weight\even as they actively seek to eat in great quantities?\That's just the way girls think.\That does not compute.\You can say that again. But I wonder how this'll turn out.\Tin Can, I just noticed that you're black...\Is this the right place?\Oh, young man, are you alone? response:	You've got a sweet face...
context: even as they actively seek to eat in great quantities?\That's just the way girls think.\That does not compute.\You can say that again. But I wonder how this'll turn out.\Tin Can, I just noticed that you're black...\Is this the right place?\Oh, young man, are you alone?\You've got a sweet face... response:	What's going on?
context: That's just the way girls think.\That does not compute.\You can say that again. But I wonder how this'll turn out.\Tin Can, I just noticed that you're black...\Is this the right place?\Oh, young man, are you alone?\You've got a sweet face...\What's going on? response:	The goal is the top of the crane tower!
context: That does not compute.\You can say that again. But I wonder how this'll turn out.\Tin Can, I just noticed that you're black...\Is this the right place?\Oh, young man, are you alone?\You've got a sweet face...\What's going on?\The goal is the top of the crane tower! response:	Okay!
context: You can say that again. But I wonder how this'll turn out.\Tin Can, I just noticed that you're black...\Is this the right place?\Oh, young man, are you alone?\You've got a sweet face...\What's going on?\The goal is the top of the crane tower!\Okay! response:	Ready?!
context: Tin Can, I just noticed that you're black...\Is this the right place?\Oh, young man, are you alone?\You've got a sweet face...\What's going on?\The goal is the top of the crane tower!\Okay!\Ready?! response:	Start!
context: Is this the right place?\Oh, young man, are you alone?\You've got a sweet face...\What's going on?\The goal is the top of the crane tower!\Okay!\Ready?!\Start! response:	Hey! Don't fly recklessly!
context: Oh, young man, are you alone?\You've got a sweet face...\What's going on?\The goal is the top of the crane tower!\Okay!\Ready?!\Start!\Hey! Don't fly recklessly! response:	Query: Why is this necessary?
context: You've got a sweet face...\What's going on?\The goal is the top of the crane tower!\Okay!\Ready?!\Start!\Hey! Don't fly recklessly!\Query: Why is this necessary? response:	Don't move!
context: What's going on?\The goal is the top of the crane tower!\Okay!\Ready?!\Start!\Hey! Don't fly recklessly!\Query: Why is this necessary?\Don't move! response:	Pinion!
context: The goal is the top of the crane tower!\Okay!\Ready?!\Start!\Hey! Don't fly recklessly!\Query: Why is this necessary?\Don't move!\Pinion! response:	What happened to fixing the winch on my boat?
context: Okay!\Ready?!\Start!\Hey! Don't fly recklessly!\Query: Why is this necessary?\Don't move!\Pinion!\What happened to fixing the winch on my boat? response:	I'm still gonna do it!
context: Ready?!\Start!\Hey! Don't fly recklessly!\Query: Why is this necessary?\Don't move!\Pinion!\What happened to fixing the winch on my boat?\I'm still gonna do it! response:	Isn't now your busiest time?
context: Start!\Hey! Don't fly recklessly!\Query: Why is this necessary?\Don't move!\Pinion!\What happened to fixing the winch on my boat?\I'm still gonna do it!\Isn't now your busiest time? response:	Don't sweat the details!
context: Hey! Don't fly recklessly!\Query: Why is this necessary?\Don't move!\Pinion!\What happened to fixing the winch on my boat?\I'm still gonna do it!\Isn't now your busiest time?\Don't sweat the details! response:	Stick around and get some meat yourself. We're gonna be startin' in a little bit.
context: Query: Why is this necessary?\Don't move!\Pinion!\What happened to fixing the winch on my boat?\I'm still gonna do it!\Isn't now your busiest time?\Don't sweat the details!\Stick around and get some meat yourself. We're gonna be startin' in a little bit. response:	Hey, wait!
context: Don't move!\Pinion!\What happened to fixing the winch on my boat?\I'm still gonna do it!\Isn't now your busiest time?\Don't sweat the details!\Stick around and get some meat yourself. We're gonna be startin' in a little bit.\Hey, wait! response:	How about working at my place?!
context: Pinion!\What happened to fixing the winch on my boat?\I'm still gonna do it!\Isn't now your busiest time?\Don't sweat the details!\Stick around and get some meat yourself. We're gonna be startin' in a little bit.\Hey, wait!\How about working at my place?! response:	Chamber!
context: What happened to fixing the winch on my boat?\I'm still gonna do it!\Isn't now your busiest time?\Don't sweat the details!\Stick around and get some meat yourself. We're gonna be startin' in a little bit.\Hey, wait!\How about working at my place?!\Chamber! response:	Chamber!
context: I'm still gonna do it!\Isn't now your busiest time?\Don't sweat the details!\Stick around and get some meat yourself. We're gonna be startin' in a little bit.\Hey, wait!\How about working at my place?!\Chamber!\Chamber! response:	The ensign is having an emergency.
context: Isn't now your busiest time?\Don't sweat the details!\Stick around and get some meat yourself. We're gonna be startin' in a little bit.\Hey, wait!\How about working at my place?!\Chamber!\Chamber!\The ensign is having an emergency. response:	I told you not to move!
context: Don't sweat the details!\Stick around and get some meat yourself. We're gonna be startin' in a little bit.\Hey, wait!\How about working at my place?!\Chamber!\Chamber!\The ensign is having an emergency.\I told you not to move! response:	He's just learning a thing or two about society.
context: Stick around and get some meat yourself. We're gonna be startin' in a little bit.\Hey, wait!\How about working at my place?!\Chamber!\Chamber!\The ensign is having an emergency.\I told you not to move!\He's just learning a thing or two about society. response:	Understood.
context: Hey, wait!\How about working at my place?!\Chamber!\Chamber!\The ensign is having an emergency.\I told you not to move!\He's just learning a thing or two about society.\Understood. response:	Pinion!
context: How about working at my place?!\Chamber!\Chamber!\The ensign is having an emergency.\I told you not to move!\He's just learning a thing or two about society.\Understood.\Pinion! response:	What are you doing over here?
context: Chamber!\Chamber!\The ensign is having an emergency.\I told you not to move!\He's just learning a thing or two about society.\Understood.\Pinion!\What are you doing over here? response:	W-Who are you?!
context: Chamber!\The ensign is having an emergency.\I told you not to move!\He's just learning a thing or two about society.\Understood.\Pinion!\What are you doing over here?\W-Who are you?! response:	Ridget! What's the outfit for?!
context: The ensign is having an emergency.\I told you not to move!\He's just learning a thing or two about society.\Understood.\Pinion!\What are you doing over here?\W-Who are you?!\Ridget! What's the outfit for?! response:	I was overseeing inspection and repairs of the bottom of the ship.
context: I told you not to move!\He's just learning a thing or two about society.\Understood.\Pinion!\What are you doing over here?\W-Who are you?!\Ridget! What's the outfit for?!\I was overseeing inspection and repairs of the bottom of the ship. response:	I-I see. Hey, when's the power gonna go back on in this area?
context: He's just learning a thing or two about society.\Understood.\Pinion!\What are you doing over here?\W-Who are you?!\Ridget! What's the outfit for?!\I was overseeing inspection and repairs of the bottom of the ship.\I-I see. Hey, when's the power gonna go back on in this area? response:	Work is taking longer than expected, so it'll be off until this evening.
context: Understood.\Pinion!\What are you doing over here?\W-Who are you?!\Ridget! What's the outfit for?!\I was overseeing inspection and repairs of the bottom of the ship.\I-I see. Hey, when's the power gonna go back on in this area?\Work is taking longer than expected, so it'll be off until this evening. response:	Let's take a break.
context: Pinion!\What are you doing over here?\W-Who are you?!\Ridget! What's the outfit for?!\I was overseeing inspection and repairs of the bottom of the ship.\I-I see. Hey, when's the power gonna go back on in this area?\Work is taking longer than expected, so it'll be off until this evening.\Let's take a break. response:	You haven't started yet?
context: What are you doing over here?\W-Who are you?!\Ridget! What's the outfit for?!\I was overseeing inspection and repairs of the bottom of the ship.\I-I see. Hey, when's the power gonna go back on in this area?\Work is taking longer than expected, so it'll be off until this evening.\Let's take a break.\You haven't started yet? response:	N-No...
context: W-Who are you?!\Ridget! What's the outfit for?!\I was overseeing inspection and repairs of the bottom of the ship.\I-I see. Hey, when's the power gonna go back on in this area?\Work is taking longer than expected, so it'll be off until this evening.\Let's take a break.\You haven't started yet?\N-No... response:	Oh.
context: Ridget! What's the outfit for?!\I was overseeing inspection and repairs of the bottom of the ship.\I-I see. Hey, when's the power gonna go back on in this area?\Work is taking longer than expected, so it'll be off until this evening.\Let's take a break.\You haven't started yet?\N-No...\Oh. response:	Excuse me.
context: I was overseeing inspection and repairs of the bottom of the ship.\I-I see. Hey, when's the power gonna go back on in this area?\Work is taking longer than expected, so it'll be off until this evening.\Let's take a break.\You haven't started yet?\N-No...\Oh.\Excuse me. response:	Sure...
context: I-I see. Hey, when's the power gonna go back on in this area?\Work is taking longer than expected, so it'll be off until this evening.\Let's take a break.\You haven't started yet?\N-No...\Oh.\Excuse me.\Sure... response:	Something wrong?
context: Work is taking longer than expected, so it'll be off until this evening.\Let's take a break.\You haven't started yet?\N-No...\Oh.\Excuse me.\Sure...\Something wrong? response:	N-No. It's just, your swimsuit is pretty daring...
context: Let's take a break.\You haven't started yet?\N-No...\Oh.\Excuse me.\Sure...\Something wrong?\N-No. It's just, your swimsuit is pretty daring... response:	Is it?
context: You haven't started yet?\N-No...\Oh.\Excuse me.\Sure...\Something wrong?\N-No. It's just, your swimsuit is pretty daring...\Is it? response:	New workers don't have a quota or anything!
context: N-No...\Oh.\Excuse me.\Sure...\Something wrong?\N-No. It's just, your swimsuit is pretty daring...\Is it?\New workers don't have a quota or anything! response:	Wait!
context: Oh.\Excuse me.\Sure...\Something wrong?\N-No. It's just, your swimsuit is pretty daring...\Is it?\New workers don't have a quota or anything!\Wait! response:	What is this?! What did I do?!
context: Excuse me.\Sure...\Something wrong?\N-No. It's just, your swimsuit is pretty daring...\Is it?\New workers don't have a quota or anything!\Wait!\What is this?! What did I do?! response:	Looks like I'm gonna win this!
context: Sure...\Something wrong?\N-No. It's just, your swimsuit is pretty daring...\Is it?\New workers don't have a quota or anything!\Wait!\What is this?! What did I do?!\Looks like I'm gonna win this! response:	It's not over yet!
context: Something wrong?\N-No. It's just, your swimsuit is pretty daring...\Is it?\New workers don't have a quota or anything!\Wait!\What is this?! What did I do?!\Looks like I'm gonna win this!\It's not over yet! response:	I'm not gonna lose!
context: N-No. It's just, your swimsuit is pretty daring...\Is it?\New workers don't have a quota or anything!\Wait!\What is this?! What did I do?!\Looks like I'm gonna win this!\It's not over yet!\I'm not gonna lose! response:	You'd have a good chance of being my club's number one!
context: Is it?\New workers don't have a quota or anything!\Wait!\What is this?! What did I do?!\Looks like I'm gonna win this!\It's not over yet!\I'm not gonna lose!\You'd have a good chance of being my club's number one! response:	Your bum has such a lovely shape!
context: New workers don't have a quota or anything!\Wait!\What is this?! What did I do?!\Looks like I'm gonna win this!\It's not over yet!\I'm not gonna lose!\You'd have a good chance of being my club's number one!\Your bum has such a lovely shape! response:	You're dreamy... and have plenty of stamina, too!
context: Wait!\What is this?! What did I do?!\Looks like I'm gonna win this!\It's not over yet!\I'm not gonna lose!\You'd have a good chance of being my club's number one!\Your bum has such a lovely shape!\You're dreamy... and have plenty of stamina, too! response:	Amy!
context: What is this?! What did I do?!\Looks like I'm gonna win this!\It's not over yet!\I'm not gonna lose!\You'd have a good chance of being my club's number one!\Your bum has such a lovely shape!\You're dreamy... and have plenty of stamina, too!\Amy! response:	Are you okay?!
context: Looks like I'm gonna win this!\It's not over yet!\I'm not gonna lose!\You'd have a good chance of being my club's number one!\Your bum has such a lovely shape!\You're dreamy... and have plenty of stamina, too!\Amy!\Are you okay?! response:	Why is it always Amy?!
context: It's not over yet!\I'm not gonna lose!\You'd have a good chance of being my club's number one!\Your bum has such a lovely shape!\You're dreamy... and have plenty of stamina, too!\Amy!\Are you okay?!\Why is it always Amy?! response:	Still, a race is a race!
context: I'm not gonna lose!\You'd have a good chance of being my club's number one!\Your bum has such a lovely shape!\You're dreamy... and have plenty of stamina, too!\Amy!\Are you okay?!\Why is it always Amy?!\Still, a race is a race! response:	Wait!
context: You'd have a good chance of being my club's number one!\Your bum has such a lovely shape!\You're dreamy... and have plenty of stamina, too!\Amy!\Are you okay?!\Why is it always Amy?!\Still, a race is a race!\Wait! response:	Hang on tight!
context: Your bum has such a lovely shape!\You're dreamy... and have plenty of stamina, too!\Amy!\Are you okay?!\Why is it always Amy?!\Still, a race is a race!\Wait!\Hang on tight! response:	Uh-oh!
context: You're dreamy... and have plenty of stamina, too!\Amy!\Are you okay?!\Why is it always Amy?!\Still, a race is a race!\Wait!\Hang on tight!\Uh-oh! response:	There!
context: Amy!\Are you okay?!\Why is it always Amy?!\Still, a race is a race!\Wait!\Hang on tight!\Uh-oh!\There! response:	I did it! I'm first!
context: Are you okay?!\Why is it always Amy?!\Still, a race is a race!\Wait!\Hang on tight!\Uh-oh!\There!\I did it! I'm first! response:	Okay. That was close, huh?
context: Why is it always Amy?!\Still, a race is a race!\Wait!\Hang on tight!\Uh-oh!\There!\I did it! I'm first!\Okay. That was close, huh? response:	Anyway, what were you doing there?
context: Still, a race is a race!\Wait!\Hang on tight!\Uh-oh!\There!\I did it! I'm first!\Okay. That was close, huh?\Anyway, what were you doing there? response:	I do not... really know.
context: Wait!\Hang on tight!\Uh-oh!\There!\I did it! I'm first!\Okay. That was close, huh?\Anyway, what were you doing there?\I do not... really know. response:	Oh, well, relax for now.
context: Hang on tight!\Uh-oh!\There!\I did it! I'm first!\Okay. That was close, huh?\Anyway, what were you doing there?\I do not... really know.\Oh, well, relax for now. response:	There it is!
context: Uh-oh!\There!\I did it! I'm first!\Okay. That was close, huh?\Anyway, what were you doing there?\I do not... really know.\Oh, well, relax for now.\There it is! response:	Look!
context: There!\I did it! I'm first!\Okay. That was close, huh?\Anyway, what were you doing there?\I do not... really know.\Oh, well, relax for now.\There it is!\Look! response:	Yay!
context: I did it! I'm first!\Okay. That was close, huh?\Anyway, what were you doing there?\I do not... really know.\Oh, well, relax for now.\There it is!\Look!\Yay! response:	Well, I will go back to work.
