context: Oh, so you have an older brother? response:	Yup. He's married and even has a kid.
context: But she sometimes posts a picture with a cheeky face, and that's so...\Strike!\See? It's so easy.\Yet, why is he...\Won't you work as a substitute today?\I'm a customer today.\Then would you like to share a table with me?\No thanks. response:	What a waste.
context: Strike!\See? It's so easy.\Yet, why is he...\Won't you work as a substitute today?\I'm a customer today.\Then would you like to share a table with me?\No thanks.\What a waste. response:	Maybe I'll go up the stairs once in a while...
context: See? It's so easy.\Yet, why is he...\Won't you work as a substitute today?\I'm a customer today.\Then would you like to share a table with me?\No thanks.\What a waste.\Maybe I'll go up the stairs once in a while... response:	That guy... There's a limit to how little interest he can show.
context: Yet, why is he...\Won't you work as a substitute today?\I'm a customer today.\Then would you like to share a table with me?\No thanks.\What a waste.\Maybe I'll go up the stairs once in a while...\That guy... There's a limit to how little interest he can show. response:	All he cares about is that boring woman.
context: Won't you work as a substitute today?\I'm a customer today.\Then would you like to share a table with me?\No thanks.\What a waste.\Maybe I'll go up the stairs once in a while...\That guy... There's a limit to how little interest he can show.\All he cares about is that boring woman. response:	Oh, hi, Aoi-chan.
context: I'm a customer today.\Then would you like to share a table with me?\No thanks.\What a waste.\Maybe I'll go up the stairs once in a while...\That guy... There's a limit to how little interest he can show.\All he cares about is that boring woman.\Oh, hi, Aoi-chan. response:	Misa-chan, you can leave it there.
context: Then would you like to share a table with me?\No thanks.\What a waste.\Maybe I'll go up the stairs once in a while...\That guy... There's a limit to how little interest he can show.\All he cares about is that boring woman.\Oh, hi, Aoi-chan.\Misa-chan, you can leave it there. response:	Okay.
context: No thanks.\What a waste.\Maybe I'll go up the stairs once in a while...\That guy... There's a limit to how little interest he can show.\All he cares about is that boring woman.\Oh, hi, Aoi-chan.\Misa-chan, you can leave it there.\Okay. response:	Chief's out of the shop right now.
context: What a waste.\Maybe I'll go up the stairs once in a while...\That guy... There's a limit to how little interest he can show.\All he cares about is that boring woman.\Oh, hi, Aoi-chan.\Misa-chan, you can leave it there.\Okay.\Chief's out of the shop right now. response:	Why should I care about that?
context: Maybe I'll go up the stairs once in a while...\That guy... There's a limit to how little interest he can show.\All he cares about is that boring woman.\Oh, hi, Aoi-chan.\Misa-chan, you can leave it there.\Okay.\Chief's out of the shop right now.\Why should I care about that? response:	She should be back soon, so why not sit and wait for a while?
context: That guy... There's a limit to how little interest he can show.\All he cares about is that boring woman.\Oh, hi, Aoi-chan.\Misa-chan, you can leave it there.\Okay.\Chief's out of the shop right now.\Why should I care about that?\She should be back soon, so why not sit and wait for a while? response:	Mind your own business.
context: All he cares about is that boring woman.\Oh, hi, Aoi-chan.\Misa-chan, you can leave it there.\Okay.\Chief's out of the shop right now.\Why should I care about that?\She should be back soon, so why not sit and wait for a while?\Mind your own business. response:	Do you not like me?
context: Oh, hi, Aoi-chan.\Misa-chan, you can leave it there.\Okay.\Chief's out of the shop right now.\Why should I care about that?\She should be back soon, so why not sit and wait for a while?\Mind your own business.\Do you not like me? response:	Wow, how'd you know?
context: Misa-chan, you can leave it there.\Okay.\Chief's out of the shop right now.\Why should I care about that?\She should be back soon, so why not sit and wait for a while?\Mind your own business.\Do you not like me?\Wow, how'd you know? response:	All right, then I'll leave you alone.
context: Okay.\Chief's out of the shop right now.\Why should I care about that?\She should be back soon, so why not sit and wait for a while?\Mind your own business.\Do you not like me?\Wow, how'd you know?\All right, then I'll leave you alone. response:	Do whatever you like.
context: Chief's out of the shop right now.\Why should I care about that?\She should be back soon, so why not sit and wait for a while?\Mind your own business.\Do you not like me?\Wow, how'd you know?\All right, then I'll leave you alone.\Do whatever you like. response:	Hey, there's something I want to ask.
context: Why should I care about that?\She should be back soon, so why not sit and wait for a while?\Mind your own business.\Do you not like me?\Wow, how'd you know?\All right, then I'll leave you alone.\Do whatever you like.\Hey, there's something I want to ask. response:	What?
context: She should be back soon, so why not sit and wait for a while?\Mind your own business.\Do you not like me?\Wow, how'd you know?\All right, then I'll leave you alone.\Do whatever you like.\Hey, there's something I want to ask.\What? response:	I didn't know you were changing.
context: Mind your own business.\Do you not like me?\Wow, how'd you know?\All right, then I'll leave you alone.\Do whatever you like.\Hey, there's something I want to ask.\What?\I didn't know you were changing. response:	Yeah. My shift is over today.
context: Do you not like me?\Wow, how'd you know?\All right, then I'll leave you alone.\Do whatever you like.\Hey, there's something I want to ask.\What?\I didn't know you were changing.\Yeah. My shift is over today. response:	Are those your casual clothes?
context: Wow, how'd you know?\All right, then I'll leave you alone.\Do whatever you like.\Hey, there's something I want to ask.\What?\I didn't know you were changing.\Yeah. My shift is over today.\Are those your casual clothes? response:	Yeah.
context: All right, then I'll leave you alone.\Do whatever you like.\Hey, there's something I want to ask.\What?\I didn't know you were changing.\Yeah. My shift is over today.\Are those your casual clothes?\Yeah. response:	There's not the slightest hint of femininity!
context: Do whatever you like.\Hey, there's something I want to ask.\What?\I didn't know you were changing.\Yeah. My shift is over today.\Are those your casual clothes?\Yeah.\There's not the slightest hint of femininity! response:	You're a girl, aren't you?!
context: Hey, there's something I want to ask.\What?\I didn't know you were changing.\Yeah. My shift is over today.\Are those your casual clothes?\Yeah.\There's not the slightest hint of femininity!\You're a girl, aren't you?! response:	Besides, are these even a woman's clothes?
context: What?\I didn't know you were changing.\Yeah. My shift is over today.\Are those your casual clothes?\Yeah.\There's not the slightest hint of femininity!\You're a girl, aren't you?!\Besides, are these even a woman's clothes? response:	Aren't they men's?
context: I didn't know you were changing.\Yeah. My shift is over today.\Are those your casual clothes?\Yeah.\There's not the slightest hint of femininity!\You're a girl, aren't you?!\Besides, are these even a woman's clothes?\Aren't they men's? response:	I don't know. I grab what's cheap.
context: Yeah. My shift is over today.\Are those your casual clothes?\Yeah.\There's not the slightest hint of femininity!\You're a girl, aren't you?!\Besides, are these even a woman's clothes?\Aren't they men's?\I don't know. I grab what's cheap. response:	This is horrible! Are you trying to dress cutely at all?
context: Are those your casual clothes?\Yeah.\There's not the slightest hint of femininity!\You're a girl, aren't you?!\Besides, are these even a woman's clothes?\Aren't they men's?\I don't know. I grab what's cheap.\This is horrible! Are you trying to dress cutely at all? response:	I don't get hung up over things like that.
context: Yeah.\There's not the slightest hint of femininity!\You're a girl, aren't you?!\Besides, are these even a woman's clothes?\Aren't they men's?\I don't know. I grab what's cheap.\This is horrible! Are you trying to dress cutely at all?\I don't get hung up over things like that. response:	How did you seduce Usui Takumi?!
context: There's not the slightest hint of femininity!\You're a girl, aren't you?!\Besides, are these even a woman's clothes?\Aren't they men's?\I don't know. I grab what's cheap.\This is horrible! Are you trying to dress cutely at all?\I don't get hung up over things like that.\How did you seduce Usui Takumi?! response:	You must have some kind of secret technique!
context: You're a girl, aren't you?!\Besides, are these even a woman's clothes?\Aren't they men's?\I don't know. I grab what's cheap.\This is horrible! Are you trying to dress cutely at all?\I don't get hung up over things like that.\How did you seduce Usui Takumi?!\You must have some kind of secret technique! response:	There has to be a reason for him to not look at someone as cute as I!
context: Besides, are these even a woman's clothes?\Aren't they men's?\I don't know. I grab what's cheap.\This is horrible! Are you trying to dress cutely at all?\I don't get hung up over things like that.\How did you seduce Usui Takumi?!\You must have some kind of secret technique!\There has to be a reason for him to not look at someone as cute as I! response:	If I make him mine, I'll be even cuter than before!
context: Aren't they men's?\I don't know. I grab what's cheap.\This is horrible! Are you trying to dress cutely at all?\I don't get hung up over things like that.\How did you seduce Usui Takumi?!\You must have some kind of secret technique!\There has to be a reason for him to not look at someone as cute as I!\If I make him mine, I'll be even cuter than before! response:	Yet he won't even look at me, and I can't accept that!
context: I don't know. I grab what's cheap.\This is horrible! Are you trying to dress cutely at all?\I don't get hung up over things like that.\How did you seduce Usui Takumi?!\You must have some kind of secret technique!\There has to be a reason for him to not look at someone as cute as I!\If I make him mine, I'll be even cuter than before!\Yet he won't even look at me, and I can't accept that! response:	Tell me! What did you do?!
context: This is horrible! Are you trying to dress cutely at all?\I don't get hung up over things like that.\How did you seduce Usui Takumi?!\You must have some kind of secret technique!\There has to be a reason for him to not look at someone as cute as I!\If I make him mine, I'll be even cuter than before!\Yet he won't even look at me, and I can't accept that!\Tell me! What did you do?! response:	I didn't do anything.
context: I don't get hung up over things like that.\How did you seduce Usui Takumi?!\You must have some kind of secret technique!\There has to be a reason for him to not look at someone as cute as I!\If I make him mine, I'll be even cuter than before!\Yet he won't even look at me, and I can't accept that!\Tell me! What did you do?!\I didn't do anything. response:	Say it already!
context: How did you seduce Usui Takumi?!\You must have some kind of secret technique!\There has to be a reason for him to not look at someone as cute as I!\If I make him mine, I'll be even cuter than before!\Yet he won't even look at me, and I can't accept that!\Tell me! What did you do?!\I didn't do anything.\Say it already! response:	Calm down a little.
context: You must have some kind of secret technique!\There has to be a reason for him to not look at someone as cute as I!\If I make him mine, I'll be even cuter than before!\Yet he won't even look at me, and I can't accept that!\Tell me! What did you do?!\I didn't do anything.\Say it already!\Calm down a little. response:	There, up you go!
context: There has to be a reason for him to not look at someone as cute as I!\If I make him mine, I'll be even cuter than before!\Yet he won't even look at me, and I can't accept that!\Tell me! What did you do?!\I didn't do anything.\Say it already!\Calm down a little.\There, up you go! response:	Brutish hag!
context: If I make him mine, I'll be even cuter than before!\Yet he won't even look at me, and I can't accept that!\Tell me! What did you do?!\I didn't do anything.\Say it already!\Calm down a little.\There, up you go!\Brutish hag! response:	Are you going to let me have your omelet rice?
context: Yet he won't even look at me, and I can't accept that!\Tell me! What did you do?!\I didn't do anything.\Say it already!\Calm down a little.\There, up you go!\Brutish hag!\Are you going to let me have your omelet rice? response:	Could you move?
context: Tell me! What did you do?!\I didn't do anything.\Say it already!\Calm down a little.\There, up you go!\Brutish hag!\Are you going to let me have your omelet rice?\Could you move? response:	I'm taking my break.
context: I didn't do anything.\Say it already!\Calm down a little.\There, up you go!\Brutish hag!\Are you going to let me have your omelet rice?\Could you move?\I'm taking my break. response:	Okay.
context: Say it already!\Calm down a little.\There, up you go!\Brutish hag!\Are you going to let me have your omelet rice?\Could you move?\I'm taking my break.\Okay. response:	What do you want me to do?
context: Calm down a little.\There, up you go!\Brutish hag!\Are you going to let me have your omelet rice?\Could you move?\I'm taking my break.\Okay.\What do you want me to do? response:	I want you to be mine, and only mine.
context: There, up you go!\Brutish hag!\Are you going to let me have your omelet rice?\Could you move?\I'm taking my break.\Okay.\What do you want me to do?\I want you to be mine, and only mine. response:	Do you really understand what that means?
context: Brutish hag!\Are you going to let me have your omelet rice?\Could you move?\I'm taking my break.\Okay.\What do you want me to do?\I want you to be mine, and only mine.\Do you really understand what that means? response:	H-hey!
context: Are you going to let me have your omelet rice?\Could you move?\I'm taking my break.\Okay.\What do you want me to do?\I want you to be mine, and only mine.\Do you really understand what that means?\H-hey! response:	What was-
context: Could you move?\I'm taking my break.\Okay.\What do you want me to do?\I want you to be mine, and only mine.\Do you really understand what that means?\H-hey!\What was- response:	What...
context: I'm taking my break.\Okay.\What do you want me to do?\I want you to be mine, and only mine.\Do you really understand what that means?\H-hey!\What was-\What... response:	Aoi-chan!
context: Okay.\What do you want me to do?\I want you to be mine, and only mine.\Do you really understand what that means?\H-hey!\What was-\What...\Aoi-chan! response:	Get a grip already!
context: What do you want me to do?\I want you to be mine, and only mine.\Do you really understand what that means?\H-hey!\What was-\What...\Aoi-chan!\Get a grip already! response:	What was that for?!
context: I want you to be mine, and only mine.\Do you really understand what that means?\H-hey!\What was-\What...\Aoi-chan!\Get a grip already!\What was that for?! response:	Why are you going so far, acting as if this was some kind of contest?!
context: Do you really understand what that means?\H-hey!\What was-\What...\Aoi-chan!\Get a grip already!\What was that for?!\Why are you going so far, acting as if this was some kind of contest?! response:	Everyone knows that you're cute without doing something like this!
context: H-hey!\What was-\What...\Aoi-chan!\Get a grip already!\What was that for?!\Why are you going so far, acting as if this was some kind of contest?!\Everyone knows that you're cute without doing something like this! response:	But everyone was laughing!
context: What was-\What...\Aoi-chan!\Get a grip already!\What was that for?!\Why are you going so far, acting as if this was some kind of contest?!\Everyone knows that you're cute without doing something like this!\But everyone was laughing! response:	I only like cute things.
context: What...\Aoi-chan!\Get a grip already!\What was that for?!\Why are you going so far, acting as if this was some kind of contest?!\Everyone knows that you're cute without doing something like this!\But everyone was laughing!\I only like cute things. response:	If I could get a lot of people to acknowledge that I'm cute,
context: Aoi-chan!\Get a grip already!\What was that for?!\Why are you going so far, acting as if this was some kind of contest?!\Everyone knows that you're cute without doing something like this!\But everyone was laughing!\I only like cute things.\If I could get a lot of people to acknowledge that I'm cute, response:	then I thought that I could impress those that laughed at me.
context: Get a grip already!\What was that for?!\Why are you going so far, acting as if this was some kind of contest?!\Everyone knows that you're cute without doing something like this!\But everyone was laughing!\I only like cute things.\If I could get a lot of people to acknowledge that I'm cute,\then I thought that I could impress those that laughed at me. response:	Do you really think so?
context: What was that for?!\Why are you going so far, acting as if this was some kind of contest?!\Everyone knows that you're cute without doing something like this!\But everyone was laughing!\I only like cute things.\If I could get a lot of people to acknowledge that I'm cute,\then I thought that I could impress those that laughed at me.\Do you really think so? response:	If you want to impress them, then face them straight on!
context: Why are you going so far, acting as if this was some kind of contest?!\Everyone knows that you're cute without doing something like this!\But everyone was laughing!\I only like cute things.\If I could get a lot of people to acknowledge that I'm cute,\then I thought that I could impress those that laughed at me.\Do you really think so?\If you want to impress them, then face them straight on! response:	You can't fight alone without dragging others in, can you?
context: Everyone knows that you're cute without doing something like this!\But everyone was laughing!\I only like cute things.\If I could get a lot of people to acknowledge that I'm cute,\then I thought that I could impress those that laughed at me.\Do you really think so?\If you want to impress them, then face them straight on!\You can't fight alone without dragging others in, can you? response:	I don't know what you had to go through, but I'm sure those people that laughed at you in the past will respect you.
context: But everyone was laughing!\I only like cute things.\If I could get a lot of people to acknowledge that I'm cute,\then I thought that I could impress those that laughed at me.\Do you really think so?\If you want to impress them, then face them straight on!\You can't fight alone without dragging others in, can you?\I don't know what you had to go through, but I'm sure those people that laughed at you in the past will respect you. response:	You're cute, Aoi-chan.
context: I only like cute things.\If I could get a lot of people to acknowledge that I'm cute,\then I thought that I could impress those that laughed at me.\Do you really think so?\If you want to impress them, then face them straight on!\You can't fight alone without dragging others in, can you?\I don't know what you had to go through, but I'm sure those people that laughed at you in the past will respect you.\You're cute, Aoi-chan. response:	Even if you are a boy.
context: If I could get a lot of people to acknowledge that I'm cute,\then I thought that I could impress those that laughed at me.\Do you really think so?\If you want to impress them, then face them straight on!\You can't fight alone without dragging others in, can you?\I don't know what you had to go through, but I'm sure those people that laughed at you in the past will respect you.\You're cute, Aoi-chan.\Even if you are a boy. response:	Sorry I never told you all.
context: then I thought that I could impress those that laughed at me.\Do you really think so?\If you want to impress them, then face them straight on!\You can't fight alone without dragging others in, can you?\I don't know what you had to go through, but I'm sure those people that laughed at you in the past will respect you.\You're cute, Aoi-chan.\Even if you are a boy.\Sorry I never told you all. response:	He gets really upset if I tell the truth.
context: Do you really think so?\If you want to impress them, then face them straight on!\You can't fight alone without dragging others in, can you?\I don't know what you had to go through, but I'm sure those people that laughed at you in the past will respect you.\You're cute, Aoi-chan.\Even if you are a boy.\Sorry I never told you all.\He gets really upset if I tell the truth. response:	You knew it from the start, didn't you?
context: If you want to impress them, then face them straight on!\You can't fight alone without dragging others in, can you?\I don't know what you had to go through, but I'm sure those people that laughed at you in the past will respect you.\You're cute, Aoi-chan.\Even if you are a boy.\Sorry I never told you all.\He gets really upset if I tell the truth.\You knew it from the start, didn't you? response:	You did?
context: You can't fight alone without dragging others in, can you?\I don't know what you had to go through, but I'm sure those people that laughed at you in the past will respect you.\You're cute, Aoi-chan.\Even if you are a boy.\Sorry I never told you all.\He gets really upset if I tell the truth.\You knew it from the start, didn't you?\You did? response:	No wonder he never looked at me.
context: I don't know what you had to go through, but I'm sure those people that laughed at you in the past will respect you.\You're cute, Aoi-chan.\Even if you are a boy.\Sorry I never told you all.\He gets really upset if I tell the truth.\You knew it from the start, didn't you?\You did?\No wonder he never looked at me. response:	Huh?! Then why were you on top of him?
context: You're cute, Aoi-chan.\Even if you are a boy.\Sorry I never told you all.\He gets really upset if I tell the truth.\You knew it from the start, didn't you?\You did?\No wonder he never looked at me.\Huh?! Then why were you on top of him? response:	I was only facing him straight on, like you did.
context: Even if you are a boy.\Sorry I never told you all.\He gets really upset if I tell the truth.\You knew it from the start, didn't you?\You did?\No wonder he never looked at me.\Huh?! Then why were you on top of him?\I was only facing him straight on, like you did. response:	Shut up, pervert!
context: Sorry I never told you all.\He gets really upset if I tell the truth.\You knew it from the start, didn't you?\You did?\No wonder he never looked at me.\Huh?! Then why were you on top of him?\I was only facing him straight on, like you did.\Shut up, pervert! response:	What a strange bunch. Why aren't they more surprised?
context: He gets really upset if I tell the truth.\You knew it from the start, didn't you?\You did?\No wonder he never looked at me.\Huh?! Then why were you on top of him?\I was only facing him straight on, like you did.\Shut up, pervert!\What a strange bunch. Why aren't they more surprised? response:	I'm a guy, yet I like cute clothes, and I even cross dress.
context: You knew it from the start, didn't you?\You did?\No wonder he never looked at me.\Huh?! Then why were you on top of him?\I was only facing him straight on, like you did.\Shut up, pervert!\What a strange bunch. Why aren't they more surprised?\I'm a guy, yet I like cute clothes, and I even cross dress. response:	Isn't it normal to laugh at me, or at least be shocked?
context: You did?\No wonder he never looked at me.\Huh?! Then why were you on top of him?\I was only facing him straight on, like you did.\Shut up, pervert!\What a strange bunch. Why aren't they more surprised?\I'm a guy, yet I like cute clothes, and I even cross dress.\Isn't it normal to laugh at me, or at least be shocked? response:	Why should we laugh?
context: No wonder he never looked at me.\Huh?! Then why were you on top of him?\I was only facing him straight on, like you did.\Shut up, pervert!\What a strange bunch. Why aren't they more surprised?\I'm a guy, yet I like cute clothes, and I even cross dress.\Isn't it normal to laugh at me, or at least be shocked?\Why should we laugh? response:	Sure, I was surprised when I figured it out.
context: Huh?! Then why were you on top of him?\I was only facing him straight on, like you did.\Shut up, pervert!\What a strange bunch. Why aren't they more surprised?\I'm a guy, yet I like cute clothes, and I even cross dress.\Isn't it normal to laugh at me, or at least be shocked?\Why should we laugh?\Sure, I was surprised when I figured it out. response:	But the clothes looked good on you.
context: I was only facing him straight on, like you did.\Shut up, pervert!\What a strange bunch. Why aren't they more surprised?\I'm a guy, yet I like cute clothes, and I even cross dress.\Isn't it normal to laugh at me, or at least be shocked?\Why should we laugh?\Sure, I was surprised when I figured it out.\But the clothes looked good on you. response:	Aoi-chan, you're satisfied, right?
context: Shut up, pervert!\What a strange bunch. Why aren't they more surprised?\I'm a guy, yet I like cute clothes, and I even cross dress.\Isn't it normal to laugh at me, or at least be shocked?\Why should we laugh?\Sure, I was surprised when I figured it out.\But the clothes looked good on you.\Aoi-chan, you're satisfied, right? response:	How about you go home now?
context: What a strange bunch. Why aren't they more surprised?\I'm a guy, yet I like cute clothes, and I even cross dress.\Isn't it normal to laugh at me, or at least be shocked?\Why should we laugh?\Sure, I was surprised when I figured it out.\But the clothes looked good on you.\Aoi-chan, you're satisfied, right?\How about you go home now? response:	I'll go home.
context: I'm a guy, yet I like cute clothes, and I even cross dress.\Isn't it normal to laugh at me, or at least be shocked?\Why should we laugh?\Sure, I was surprised when I figured it out.\But the clothes looked good on you.\Aoi-chan, you're satisfied, right?\How about you go home now?\I'll go home. response:	Next time I come, I'll perfect it and make everyone my slave.
context: Isn't it normal to laugh at me, or at least be shocked?\Why should we laugh?\Sure, I was surprised when I figured it out.\But the clothes looked good on you.\Aoi-chan, you're satisfied, right?\How about you go home now?\I'll go home.\Next time I come, I'll perfect it and make everyone my slave. response:	Aoi-chan... You went back to square one...
context: Why should we laugh?\Sure, I was surprised when I figured it out.\But the clothes looked good on you.\Aoi-chan, you're satisfied, right?\How about you go home now?\I'll go home.\Next time I come, I'll perfect it and make everyone my slave.\Aoi-chan... You went back to square one... response:	Just you wait, freaks!
context: Sure, I was surprised when I figured it out.\But the clothes looked good on you.\Aoi-chan, you're satisfied, right?\How about you go home now?\I'll go home.\Next time I come, I'll perfect it and make everyone my slave.\Aoi-chan... You went back to square one...\Just you wait, freaks! response:	He even left with a cliche line.
context: But the clothes looked good on you.\Aoi-chan, you're satisfied, right?\How about you go home now?\I'll go home.\Next time I come, I'll perfect it and make everyone my slave.\Aoi-chan... You went back to square one...\Just you wait, freaks!\He even left with a cliche line. response:	Everything I said was for nothing.
context: Aoi-chan, you're satisfied, right?\How about you go home now?\I'll go home.\Next time I come, I'll perfect it and make everyone my slave.\Aoi-chan... You went back to square one...\Just you wait, freaks!\He even left with a cliche line.\Everything I said was for nothing. response:	That's not true.
context: How about you go home now?\I'll go home.\Next time I come, I'll perfect it and make everyone my slave.\Aoi-chan... You went back to square one...\Just you wait, freaks!\He even left with a cliche line.\Everything I said was for nothing.\That's not true. response:	Will Aoi-chan show up today?
context: I'll go home.\Next time I come, I'll perfect it and make everyone my slave.\Aoi-chan... You went back to square one...\Just you wait, freaks!\He even left with a cliche line.\Everything I said was for nothing.\That's not true.\Will Aoi-chan show up today? response:	Will she?
context: Next time I come, I'll perfect it and make everyone my slave.\Aoi-chan... You went back to square one...\Just you wait, freaks!\He even left with a cliche line.\Everything I said was for nothing.\That's not true.\Will Aoi-chan show up today?\Will she? response:	Sorry for the wait, Masters.
context: Aoi-chan... You went back to square one...\Just you wait, freaks!\He even left with a cliche line.\Everything I said was for nothing.\That's not true.\Will Aoi-chan show up today?\Will she?\Sorry for the wait, Masters. response:	Gasp!
context: Just you wait, freaks!\He even left with a cliche line.\Everything I said was for nothing.\That's not true.\Will Aoi-chan show up today?\Will she?\Sorry for the wait, Masters.\Gasp! response:	Misa-chan. He was all over Aoi-chan.
context: He even left with a cliche line.\Everything I said was for nothing.\That's not true.\Will Aoi-chan show up today?\Will she?\Sorry for the wait, Masters.\Gasp!\Misa-chan. He was all over Aoi-chan. response:	W-What are you saying, Kurotatsu?
context: Everything I said was for nothing.\That's not true.\Will Aoi-chan show up today?\Will she?\Sorry for the wait, Masters.\Gasp!\Misa-chan. He was all over Aoi-chan.\W-What are you saying, Kurotatsu? response:	I'm here only for Misa-chan.
context: That's not true.\Will Aoi-chan show up today?\Will she?\Sorry for the wait, Masters.\Gasp!\Misa-chan. He was all over Aoi-chan.\W-What are you saying, Kurotatsu?\I'm here only for Misa-chan. response:	Masters, isn't it about time you leave?
context: Will Aoi-chan show up today?\Will she?\Sorry for the wait, Masters.\Gasp!\Misa-chan. He was all over Aoi-chan.\W-What are you saying, Kurotatsu?\I'm here only for Misa-chan.\Masters, isn't it about time you leave? response:	We just got here!
context: Will she?\Sorry for the wait, Masters.\Gasp!\Misa-chan. He was all over Aoi-chan.\W-What are you saying, Kurotatsu?\I'm here only for Misa-chan.\Masters, isn't it about time you leave?\We just got here! response:	Have a wonderful day, Masters.
context: Sorry for the wait, Masters.\Gasp!\Misa-chan. He was all over Aoi-chan.\W-What are you saying, Kurotatsu?\I'm here only for Misa-chan.\Masters, isn't it about time you leave?\We just got here!\Have a wonderful day, Masters. response:	Oh my gosh, Aoi-chan! A male school uniform?!
context: Gasp!\Misa-chan. He was all over Aoi-chan.\W-What are you saying, Kurotatsu?\I'm here only for Misa-chan.\Masters, isn't it about time you leave?\We just got here!\Have a wonderful day, Masters.\Oh my gosh, Aoi-chan! A male school uniform?! response:	Good job!
context: Misa-chan. He was all over Aoi-chan.\W-What are you saying, Kurotatsu?\I'm here only for Misa-chan.\Masters, isn't it about time you leave?\We just got here!\Have a wonderful day, Masters.\Oh my gosh, Aoi-chan! A male school uniform?!\Good job! response:	It looks great! So great!
context: W-What are you saying, Kurotatsu?\I'm here only for Misa-chan.\Masters, isn't it about time you leave?\We just got here!\Have a wonderful day, Masters.\Oh my gosh, Aoi-chan! A male school uniform?!\Good job!\It looks great! So great! response:	What a cute male middle school student you are!
context: I'm here only for Misa-chan.\Masters, isn't it about time you leave?\We just got here!\Have a wonderful day, Masters.\Oh my gosh, Aoi-chan! A male school uniform?!\Good job!\It looks great! So great!\What a cute male middle school student you are! response:	Please! Stay like this!
context: Masters, isn't it about time you leave?\We just got here!\Have a wonderful day, Masters.\Oh my gosh, Aoi-chan! A male school uniform?!\Good job!\It looks great! So great!\What a cute male middle school student you are!\Please! Stay like this! response:	I'm wearing the uniform since I didn't have anything else to wear today.
context: We just got here!\Have a wonderful day, Masters.\Oh my gosh, Aoi-chan! A male school uniform?!\Good job!\It looks great! So great!\What a cute male middle school student you are!\Please! Stay like this!\I'm wearing the uniform since I didn't have anything else to wear today. response:	Don't have anything else to wear? Why not?
context: Have a wonderful day, Masters.\Oh my gosh, Aoi-chan! A male school uniform?!\Good job!\It looks great! So great!\What a cute male middle school student you are!\Please! Stay like this!\I'm wearing the uniform since I didn't have anything else to wear today.\Don't have anything else to wear? Why not? response:	Satsuki-san, could you give me your old clothes again?
context: Oh my gosh, Aoi-chan! A male school uniform?!\Good job!\It looks great! So great!\What a cute male middle school student you are!\Please! Stay like this!\I'm wearing the uniform since I didn't have anything else to wear today.\Don't have anything else to wear? Why not?\Satsuki-san, could you give me your old clothes again? response:	Ah. So my brother threw them away again.
context: Good job!\It looks great! So great!\What a cute male middle school student you are!\Please! Stay like this!\I'm wearing the uniform since I didn't have anything else to wear today.\Don't have anything else to wear? Why not?\Satsuki-san, could you give me your old clothes again?\Ah. So my brother threw them away again. response:	So Aoi-chan's clothes used to be the Chief's.
context: It looks great! So great!\What a cute male middle school student you are!\Please! Stay like this!\I'm wearing the uniform since I didn't have anything else to wear today.\Don't have anything else to wear? Why not?\Satsuki-san, could you give me your old clothes again?\Ah. So my brother threw them away again.\So Aoi-chan's clothes used to be the Chief's. response:	Yeah.
context: What a cute male middle school student you are!\Please! Stay like this!\I'm wearing the uniform since I didn't have anything else to wear today.\Don't have anything else to wear? Why not?\Satsuki-san, could you give me your old clothes again?\Ah. So my brother threw them away again.\So Aoi-chan's clothes used to be the Chief's.\Yeah. response:	I'm arranging them and fixing the sizes, too.
context: Please! Stay like this!\I'm wearing the uniform since I didn't have anything else to wear today.\Don't have anything else to wear? Why not?\Satsuki-san, could you give me your old clothes again?\Ah. So my brother threw them away again.\So Aoi-chan's clothes used to be the Chief's.\Yeah.\I'm arranging them and fixing the sizes, too. response:	Wow, that's pretty amazing. You can even sew?
context: I'm wearing the uniform since I didn't have anything else to wear today.\Don't have anything else to wear? Why not?\Satsuki-san, could you give me your old clothes again?\Ah. So my brother threw them away again.\So Aoi-chan's clothes used to be the Chief's.\Yeah.\I'm arranging them and fixing the sizes, too.\Wow, that's pretty amazing. You can even sew? response:	It's economical, too, so it's great.
context: Don't have anything else to wear? Why not?\Satsuki-san, could you give me your old clothes again?\Ah. So my brother threw them away again.\So Aoi-chan's clothes used to be the Chief's.\Yeah.\I'm arranging them and fixing the sizes, too.\Wow, that's pretty amazing. You can even sew?\It's economical, too, so it's great. response:	Good work, Misa-chan.
context: Satsuki-san, could you give me your old clothes again?\Ah. So my brother threw them away again.\So Aoi-chan's clothes used to be the Chief's.\Yeah.\I'm arranging them and fixing the sizes, too.\Wow, that's pretty amazing. You can even sew?\It's economical, too, so it's great.\Good work, Misa-chan. response:	Excuse me.
context: Ah. So my brother threw them away again.\So Aoi-chan's clothes used to be the Chief's.\Yeah.\I'm arranging them and fixing the sizes, too.\Wow, that's pretty amazing. You can even sew?\It's economical, too, so it's great.\Good work, Misa-chan.\Excuse me. response:	You're wearing something like that again...
context: So Aoi-chan's clothes used to be the Chief's.\Yeah.\I'm arranging them and fixing the sizes, too.\Wow, that's pretty amazing. You can even sew?\It's economical, too, so it's great.\Good work, Misa-chan.\Excuse me.\You're wearing something like that again... response:	You still don't realize how much of a waste it is?
context: Yeah.\I'm arranging them and fixing the sizes, too.\Wow, that's pretty amazing. You can even sew?\It's economical, too, so it's great.\Good work, Misa-chan.\Excuse me.\You're wearing something like that again...\You still don't realize how much of a waste it is? response:	I can't take this anymore. Come with me!
