context: Whaaat? So lame! response:	Is that the end of Act 1?
context: No, no, I'm the one who should be sorry!\Uh...\You know how you stroke my head a lot, Amagiri-senpai?\Oh, I guess you don't like that?\Oh, no...\My father used to stroke my head just like that, too.\I see.\Someone down there? response:	We need help!
context: Uh...\You know how you stroke my head a lot, Amagiri-senpai?\Oh, I guess you don't like that?\Oh, no...\My father used to stroke my head just like that, too.\I see.\Someone down there?\We need help! response:	For God's sake, don't make me worry so much.
context: You know how you stroke my head a lot, Amagiri-senpai?\Oh, I guess you don't like that?\Oh, no...\My father used to stroke my head just like that, too.\I see.\Someone down there?\We need help!\For God's sake, don't make me worry so much. response:	I'm very sorry, Uncle.
context: Oh, I guess you don't like that?\Oh, no...\My father used to stroke my head just like that, too.\I see.\Someone down there?\We need help!\For God's sake, don't make me worry so much.\I'm very sorry, Uncle. response:	Never mind. Anyway, about your next opponent...
context: Oh, no...\My father used to stroke my head just like that, too.\I see.\Someone down there?\We need help!\For God's sake, don't make me worry so much.\I'm very sorry, Uncle.\Never mind. Anyway, about your next opponent... response:	Before you go any further, may I ask you something?
context: My father used to stroke my head just like that, too.\I see.\Someone down there?\We need help!\For God's sake, don't make me worry so much.\I'm very sorry, Uncle.\Never mind. Anyway, about your next opponent...\Before you go any further, may I ask you something? response:	What is it?
context: I see.\Someone down there?\We need help!\For God's sake, don't make me worry so much.\I'm very sorry, Uncle.\Never mind. Anyway, about your next opponent...\Before you go any further, may I ask you something?\What is it? response:	Just now, you said that you were worried about me...
context: Someone down there?\We need help!\For God's sake, don't make me worry so much.\I'm very sorry, Uncle.\Never mind. Anyway, about your next opponent...\Before you go any further, may I ask you something?\What is it?\Just now, you said that you were worried about me... response:	But were you worried about Kirin Toudou?
context: We need help!\For God's sake, don't make me worry so much.\I'm very sorry, Uncle.\Never mind. Anyway, about your next opponent...\Before you go any further, may I ask you something?\What is it?\Just now, you said that you were worried about me...\But were you worried about Kirin Toudou? response:	Or Kirin Toudou, a mere tool in your hands?
context: For God's sake, don't make me worry so much.\I'm very sorry, Uncle.\Never mind. Anyway, about your next opponent...\Before you go any further, may I ask you something?\What is it?\Just now, you said that you were worried about me...\But were you worried about Kirin Toudou?\Or Kirin Toudou, a mere tool in your hands? response:	All I need from you is your power, nothing else.
context: I'm very sorry, Uncle.\Never mind. Anyway, about your next opponent...\Before you go any further, may I ask you something?\What is it?\Just now, you said that you were worried about me...\But were you worried about Kirin Toudou?\Or Kirin Toudou, a mere tool in your hands?\All I need from you is your power, nothing else. response:	Come to think of it, you were just with that Ser Veresta wielder, weren't you?
context: Never mind. Anyway, about your next opponent...\Before you go any further, may I ask you something?\What is it?\Just now, you said that you were worried about me...\But were you worried about Kirin Toudou?\Or Kirin Toudou, a mere tool in your hands?\All I need from you is your power, nothing else.\Come to think of it, you were just with that Ser Veresta wielder, weren't you? response:	I hear he recently caused some kind of row with Allekant.
context: Before you go any further, may I ask you something?\What is it?\Just now, you said that you were worried about me...\But were you worried about Kirin Toudou?\Or Kirin Toudou, a mere tool in your hands?\All I need from you is your power, nothing else.\Come to think of it, you were just with that Ser Veresta wielder, weren't you?\I hear he recently caused some kind of row with Allekant. response:	It would be a hassle if he dragged you into any unnecessary trouble.
context: What is it?\Just now, you said that you were worried about me...\But were you worried about Kirin Toudou?\Or Kirin Toudou, a mere tool in your hands?\All I need from you is your power, nothing else.\Come to think of it, you were just with that Ser Veresta wielder, weren't you?\I hear he recently caused some kind of row with Allekant.\It would be a hassle if he dragged you into any unnecessary trouble. response:	Don't have anything more to do with him!
context: Just now, you said that you were worried about me...\But were you worried about Kirin Toudou?\Or Kirin Toudou, a mere tool in your hands?\All I need from you is your power, nothing else.\Come to think of it, you were just with that Ser Veresta wielder, weren't you?\I hear he recently caused some kind of row with Allekant.\It would be a hassle if he dragged you into any unnecessary trouble.\Don't have anything more to do with him! response:	That I refuse.
context: But were you worried about Kirin Toudou?\Or Kirin Toudou, a mere tool in your hands?\All I need from you is your power, nothing else.\Come to think of it, you were just with that Ser Veresta wielder, weren't you?\I hear he recently caused some kind of row with Allekant.\It would be a hassle if he dragged you into any unnecessary trouble.\Don't have anything more to do with him!\That I refuse. response:	What did you say?!
context: Or Kirin Toudou, a mere tool in your hands?\All I need from you is your power, nothing else.\Come to think of it, you were just with that Ser Veresta wielder, weren't you?\I hear he recently caused some kind of row with Allekant.\It would be a hassle if he dragged you into any unnecessary trouble.\Don't have anything more to do with him!\That I refuse.\What did you say?! response:	Amagiri-senpai taught me something very valuable.
context: All I need from you is your power, nothing else.\Come to think of it, you were just with that Ser Veresta wielder, weren't you?\I hear he recently caused some kind of row with Allekant.\It would be a hassle if he dragged you into any unnecessary trouble.\Don't have anything more to do with him!\That I refuse.\What did you say?!\Amagiri-senpai taught me something very valuable. response:	And I believe that there's still a lot that I should learn from him.
context: Come to think of it, you were just with that Ser Veresta wielder, weren't you?\I hear he recently caused some kind of row with Allekant.\It would be a hassle if he dragged you into any unnecessary trouble.\Don't have anything more to do with him!\That I refuse.\What did you say?!\Amagiri-senpai taught me something very valuable.\And I believe that there's still a lot that I should learn from him. response:	That's a load of crap.
context: I hear he recently caused some kind of row with Allekant.\It would be a hassle if he dragged you into any unnecessary trouble.\Don't have anything more to do with him!\That I refuse.\What did you say?!\Amagiri-senpai taught me something very valuable.\And I believe that there's still a lot that I should learn from him.\That's a load of crap. response:	All you need to do is exactly what I tell you to!
context: It would be a hassle if he dragged you into any unnecessary trouble.\Don't have anything more to do with him!\That I refuse.\What did you say?!\Amagiri-senpai taught me something very valuable.\And I believe that there's still a lot that I should learn from him.\That's a load of crap.\All you need to do is exactly what I tell you to! response:	No, I
context: Don't have anything more to do with him!\That I refuse.\What did you say?!\Amagiri-senpai taught me something very valuable.\And I believe that there's still a lot that I should learn from him.\That's a load of crap.\All you need to do is exactly what I tell you to!\No, I response:	Do you dare defy me?!
context: That I refuse.\What did you say?!\Amagiri-senpai taught me something very valuable.\And I believe that there's still a lot that I should learn from him.\That's a load of crap.\All you need to do is exactly what I tell you to!\No, I\Do you dare defy me?! response:	Who do you think made you Rank 1?!
context: What did you say?!\Amagiri-senpai taught me something very valuable.\And I believe that there's still a lot that I should learn from him.\That's a load of crap.\All you need to do is exactly what I tell you to!\No, I\Do you dare defy me?!\Who do you think made you Rank 1?! response:	You think Asterisk's a joke?!
context: Amagiri-senpai taught me something very valuable.\And I believe that there's still a lot that I should learn from him.\That's a load of crap.\All you need to do is exactly what I tell you to!\No, I\Do you dare defy me?!\Who do you think made you Rank 1?!\You think Asterisk's a joke?! response:	Without my help, you don't stand a chance in hell of winning a Festa!
context: And I believe that there's still a lot that I should learn from him.\That's a load of crap.\All you need to do is exactly what I tell you to!\No, I\Do you dare defy me?!\Who do you think made you Rank 1?!\You think Asterisk's a joke?!\Without my help, you don't stand a chance in hell of winning a Festa! response:	Yes, that's probably beyond me.
context: That's a load of crap.\All you need to do is exactly what I tell you to!\No, I\Do you dare defy me?!\Who do you think made you Rank 1?!\You think Asterisk's a joke?!\Without my help, you don't stand a chance in hell of winning a Festa!\Yes, that's probably beyond me. response:	Then shut up and just do what I say!
context: All you need to do is exactly what I tell you to!\No, I\Do you dare defy me?!\Who do you think made you Rank 1?!\You think Asterisk's a joke?!\Without my help, you don't stand a chance in hell of winning a Festa!\Yes, that's probably beyond me.\Then shut up and just do what I say! response:	Don't you want to save your father as soon as possible?!
context: No, I\Do you dare defy me?!\Who do you think made you Rank 1?!\You think Asterisk's a joke?!\Without my help, you don't stand a chance in hell of winning a Festa!\Yes, that's probably beyond me.\Then shut up and just do what I say!\Don't you want to save your father as soon as possible?! response:	But neither do I think that I can accomplish that your way, Uncle.
context: Do you dare defy me?!\Who do you think made you Rank 1?!\You think Asterisk's a joke?!\Without my help, you don't stand a chance in hell of winning a Festa!\Yes, that's probably beyond me.\Then shut up and just do what I say!\Don't you want to save your father as soon as possible?!\But neither do I think that I can accomplish that your way, Uncle. response:	Don't be such a smartass, you little brat!
context: Who do you think made you Rank 1?!\You think Asterisk's a joke?!\Without my help, you don't stand a chance in hell of winning a Festa!\Yes, that's probably beyond me.\Then shut up and just do what I say!\Don't you want to save your father as soon as possible?!\But neither do I think that I can accomplish that your way, Uncle.\Don't be such a smartass, you little brat! response:	I'm sorry, Uncle.
context: You think Asterisk's a joke?!\Without my help, you don't stand a chance in hell of winning a Festa!\Yes, that's probably beyond me.\Then shut up and just do what I say!\Don't you want to save your father as soon as possible?!\But neither do I think that I can accomplish that your way, Uncle.\Don't be such a smartass, you little brat!\I'm sorry, Uncle. response:	I am grateful to you for all your help.
context: Without my help, you don't stand a chance in hell of winning a Festa!\Yes, that's probably beyond me.\Then shut up and just do what I say!\Don't you want to save your father as soon as possible?!\But neither do I think that I can accomplish that your way, Uncle.\Don't be such a smartass, you little brat!\I'm sorry, Uncle.\I am grateful to you for all your help. response:	But I've made up my mind to fight my own way.
context: Yes, that's probably beyond me.\Then shut up and just do what I say!\Don't you want to save your father as soon as possible?!\But neither do I think that I can accomplish that your way, Uncle.\Don't be such a smartass, you little brat!\I'm sorry, Uncle.\I am grateful to you for all your help.\But I've made up my mind to fight my own way. response:	Otherwise, I'll...
context: Then shut up and just do what I say!\Don't you want to save your father as soon as possible?!\But neither do I think that I can accomplish that your way, Uncle.\Don't be such a smartass, you little brat!\I'm sorry, Uncle.\I am grateful to you for all your help.\But I've made up my mind to fight my own way.\Otherwise, I'll... response:	I'm sure I'll regret it someday.
context: Don't you want to save your father as soon as possible?!\But neither do I think that I can accomplish that your way, Uncle.\Don't be such a smartass, you little brat!\I'm sorry, Uncle.\I am grateful to you for all your help.\But I've made up my mind to fight my own way.\Otherwise, I'll...\I'm sure I'll regret it someday. response:	Come back here!
context: But neither do I think that I can accomplish that your way, Uncle.\Don't be such a smartass, you little brat!\I'm sorry, Uncle.\I am grateful to you for all your help.\But I've made up my mind to fight my own way.\Otherwise, I'll...\I'm sure I'll regret it someday.\Come back here! response:	How do you think you're going to get along on your own?!
context: Don't be such a smartass, you little brat!\I'm sorry, Uncle.\I am grateful to you for all your help.\But I've made up my mind to fight my own way.\Otherwise, I'll...\I'm sure I'll regret it someday.\Come back here!\How do you think you're going to get along on your own?! response:	Right, let's see...
context: I'm sorry, Uncle.\I am grateful to you for all your help.\But I've made up my mind to fight my own way.\Otherwise, I'll...\I'm sure I'll regret it someday.\Come back here!\How do you think you're going to get along on your own?!\Right, let's see... response:	First, I think I'll take someone on in a duel.
context: I am grateful to you for all your help.\But I've made up my mind to fight my own way.\Otherwise, I'll...\I'm sure I'll regret it someday.\Come back here!\How do you think you're going to get along on your own?!\Right, let's see...\First, I think I'll take someone on in a duel. response:	An opponent of my own choosing...
context: But I've made up my mind to fight my own way.\Otherwise, I'll...\I'm sure I'll regret it someday.\Come back here!\How do you think you're going to get along on your own?!\Right, let's see...\First, I think I'll take someone on in a duel.\An opponent of my own choosing... response:	That's right.
context: Otherwise, I'll...\I'm sure I'll regret it someday.\Come back here!\How do you think you're going to get along on your own?!\Right, let's see...\First, I think I'll take someone on in a duel.\An opponent of my own choosing...\That's right. response:	This time, the decision will be mine.
context: I'm sure I'll regret it someday.\Come back here!\How do you think you're going to get along on your own?!\Right, let's see...\First, I think I'll take someone on in a duel.\An opponent of my own choosing...\That's right.\This time, the decision will be mine. response:	Amagiri-senpai?
context: Come back here!\How do you think you're going to get along on your own?!\Right, let's see...\First, I think I'll take someone on in a duel.\An opponent of my own choosing...\That's right.\This time, the decision will be mine.\Amagiri-senpai? response:	Thank you very much for complying with my ill-mannered request.
context: How do you think you're going to get along on your own?!\Right, let's see...\First, I think I'll take someone on in a duel.\An opponent of my own choosing...\That's right.\This time, the decision will be mine.\Amagiri-senpai?\Thank you very much for complying with my ill-mannered request. response:	Sure, it's all good, but...
context: Right, let's see...\First, I think I'll take someone on in a duel.\An opponent of my own choosing...\That's right.\This time, the decision will be mine.\Amagiri-senpai?\Thank you very much for complying with my ill-mannered request.\Sure, it's all good, but... response:	why a duel with me, of all things?
context: First, I think I'll take someone on in a duel.\An opponent of my own choosing...\That's right.\This time, the decision will be mine.\Amagiri-senpai?\Thank you very much for complying with my ill-mannered request.\Sure, it's all good, but...\why a duel with me, of all things? response:	Because I felt that it was absolutely necessary for me to take my true first step here.
context: An opponent of my own choosing...\That's right.\This time, the decision will be mine.\Amagiri-senpai?\Thank you very much for complying with my ill-mannered request.\Sure, it's all good, but...\why a duel with me, of all things?\Because I felt that it was absolutely necessary for me to take my true first step here. response:	True first step?
context: That's right.\This time, the decision will be mine.\Amagiri-senpai?\Thank you very much for complying with my ill-mannered request.\Sure, it's all good, but...\why a duel with me, of all things?\Because I felt that it was absolutely necessary for me to take my true first step here.\True first step? response:	Yes.
context: This time, the decision will be mine.\Amagiri-senpai?\Thank you very much for complying with my ill-mannered request.\Sure, it's all good, but...\why a duel with me, of all things?\Because I felt that it was absolutely necessary for me to take my true first step here.\True first step?\Yes. response:	Gotcha.
context: Amagiri-senpai?\Thank you very much for complying with my ill-mannered request.\Sure, it's all good, but...\why a duel with me, of all things?\Because I felt that it was absolutely necessary for me to take my true first step here.\True first step?\Yes.\Gotcha. response:	But if we're gonna do this, then I'm going all-out, okay?
context: Thank you very much for complying with my ill-mannered request.\Sure, it's all good, but...\why a duel with me, of all things?\Because I felt that it was absolutely necessary for me to take my true first step here.\True first step?\Yes.\Gotcha.\But if we're gonna do this, then I'm going all-out, okay? response:	I wouldn't have it any other way.
context: Sure, it's all good, but...\why a duel with me, of all things?\Because I felt that it was absolutely necessary for me to take my true first step here.\True first step?\Yes.\Gotcha.\But if we're gonna do this, then I'm going all-out, okay?\I wouldn't have it any other way. response:	Well, not like I didn't go all-out last time, either.
context: why a duel with me, of all things?\Because I felt that it was absolutely necessary for me to take my true first step here.\True first step?\Yes.\Gotcha.\But if we're gonna do this, then I'm going all-out, okay?\I wouldn't have it any other way.\Well, not like I didn't go all-out last time, either. response:	You're not going to use that Ogre Lux?
context: Because I felt that it was absolutely necessary for me to take my true first step here.\True first step?\Yes.\Gotcha.\But if we're gonna do this, then I'm going all-out, okay?\I wouldn't have it any other way.\Well, not like I didn't go all-out last time, either.\You're not going to use that Ogre Lux? response:	Well, I can't keep up with your speed using the Ser Veresta.
context: True first step?\Yes.\Gotcha.\But if we're gonna do this, then I'm going all-out, okay?\I wouldn't have it any other way.\Well, not like I didn't go all-out last time, either.\You're not going to use that Ogre Lux?\Well, I can't keep up with your speed using the Ser Veresta. response:	If I lose the same way, no way is Julis going to forgive me.
context: Yes.\Gotcha.\But if we're gonna do this, then I'm going all-out, okay?\I wouldn't have it any other way.\Well, not like I didn't go all-out last time, either.\You're not going to use that Ogre Lux?\Well, I can't keep up with your speed using the Ser Veresta.\If I lose the same way, no way is Julis going to forgive me. response:	I've got to make some adjustments.
context: Gotcha.\But if we're gonna do this, then I'm going all-out, okay?\I wouldn't have it any other way.\Well, not like I didn't go all-out last time, either.\You're not going to use that Ogre Lux?\Well, I can't keep up with your speed using the Ser Veresta.\If I lose the same way, no way is Julis going to forgive me.\I've got to make some adjustments. response:	I'll be looking forward to that!
context: But if we're gonna do this, then I'm going all-out, okay?\I wouldn't have it any other way.\Well, not like I didn't go all-out last time, either.\You're not going to use that Ogre Lux?\Well, I can't keep up with your speed using the Ser Veresta.\If I lose the same way, no way is Julis going to forgive me.\I've got to make some adjustments.\I'll be looking forward to that! response:	Surely they didn't have to go out of their way to provide such a stage.
context: I wouldn't have it any other way.\Well, not like I didn't go all-out last time, either.\You're not going to use that Ogre Lux?\Well, I can't keep up with your speed using the Ser Veresta.\If I lose the same way, no way is Julis going to forgive me.\I've got to make some adjustments.\I'll be looking forward to that!\Surely they didn't have to go out of their way to provide such a stage. response:	Oh, but this is a must-see match, so why wouldn't they?
context: Well, not like I didn't go all-out last time, either.\You're not going to use that Ogre Lux?\Well, I can't keep up with your speed using the Ser Veresta.\If I lose the same way, no way is Julis going to forgive me.\I've got to make some adjustments.\I'll be looking forward to that!\Surely they didn't have to go out of their way to provide such a stage.\Oh, but this is a must-see match, so why wouldn't they? response:	Even still...!
context: You're not going to use that Ogre Lux?\Well, I can't keep up with your speed using the Ser Veresta.\If I lose the same way, no way is Julis going to forgive me.\I've got to make some adjustments.\I'll be looking forward to that!\Surely they didn't have to go out of their way to provide such a stage.\Oh, but this is a must-see match, so why wouldn't they?\Even still...! response:	Don't worry so much, Riessfeld.
context: Well, I can't keep up with your speed using the Ser Veresta.\If I lose the same way, no way is Julis going to forgive me.\I've got to make some adjustments.\I'll be looking forward to that!\Surely they didn't have to go out of their way to provide such a stage.\Oh, but this is a must-see match, so why wouldn't they?\Even still...!\Don't worry so much, Riessfeld. response:	Toudou is formidable.
context: If I lose the same way, no way is Julis going to forgive me.\I've got to make some adjustments.\I'll be looking forward to that!\Surely they didn't have to go out of their way to provide such a stage.\Oh, but this is a must-see match, so why wouldn't they?\Even still...!\Don't worry so much, Riessfeld.\Toudou is formidable. response:	In terms of just sword skills, she might be a cut above Ayato.
context: I've got to make some adjustments.\I'll be looking forward to that!\Surely they didn't have to go out of their way to provide such a stage.\Oh, but this is a must-see match, so why wouldn't they?\Even still...!\Don't worry so much, Riessfeld.\Toudou is formidable.\In terms of just sword skills, she might be a cut above Ayato. response:	In that case...
context: I'll be looking forward to that!\Surely they didn't have to go out of their way to provide such a stage.\Oh, but this is a must-see match, so why wouldn't they?\Even still...!\Don't worry so much, Riessfeld.\Toudou is formidable.\In terms of just sword skills, she might be a cut above Ayato.\In that case... response:	It's all good.
context: Surely they didn't have to go out of their way to provide such a stage.\Oh, but this is a must-see match, so why wouldn't they?\Even still...!\Don't worry so much, Riessfeld.\Toudou is formidable.\In terms of just sword skills, she might be a cut above Ayato.\In that case...\It's all good. response:	Ayato's taken on a way more powerful opponent before.
context: Oh, but this is a must-see match, so why wouldn't they?\Even still...!\Don't worry so much, Riessfeld.\Toudou is formidable.\In terms of just sword skills, she might be a cut above Ayato.\In that case...\It's all good.\Ayato's taken on a way more powerful opponent before. response:	What's that? Who are you talking about?
context: Even still...!\Don't worry so much, Riessfeld.\Toudou is formidable.\In terms of just sword skills, she might be a cut above Ayato.\In that case...\It's all good.\Ayato's taken on a way more powerful opponent before.\What's that? Who are you talking about? response:	Haru-nee... Ayato's older sister.
context: Don't worry so much, Riessfeld.\Toudou is formidable.\In terms of just sword skills, she might be a cut above Ayato.\In that case...\It's all good.\Ayato's taken on a way more powerful opponent before.\What's that? Who are you talking about?\Haru-nee... Ayato's older sister. response:	Older sister?
context: Toudou is formidable.\In terms of just sword skills, she might be a cut above Ayato.\In that case...\It's all good.\Ayato's taken on a way more powerful opponent before.\What's that? Who are you talking about?\Haru-nee... Ayato's older sister.\Older sister? response:	Well, the guy does seem to have some kind of plan.
context: In terms of just sword skills, she might be a cut above Ayato.\In that case...\It's all good.\Ayato's taken on a way more powerful opponent before.\What's that? Who are you talking about?\Haru-nee... Ayato's older sister.\Older sister?\Well, the guy does seem to have some kind of plan. response:	What do you know about it?
context: In that case...\It's all good.\Ayato's taken on a way more powerful opponent before.\What's that? Who are you talking about?\Haru-nee... Ayato's older sister.\Older sister?\Well, the guy does seem to have some kind of plan.\What do you know about it? response:	He asked me to lend him a Lux. That's all.
context: It's all good.\Ayato's taken on a way more powerful opponent before.\What's that? Who are you talking about?\Haru-nee... Ayato's older sister.\Older sister?\Well, the guy does seem to have some kind of plan.\What do you know about it?\He asked me to lend him a Lux. That's all. response:	So he asked you, too?
context: Ayato's taken on a way more powerful opponent before.\What's that? Who are you talking about?\Haru-nee... Ayato's older sister.\Older sister?\Well, the guy does seem to have some kind of plan.\What do you know about it?\He asked me to lend him a Lux. That's all.\So he asked you, too? response:	Meaning that he asked you, too?
context: What's that? Who are you talking about?\Haru-nee... Ayato's older sister.\Older sister?\Well, the guy does seem to have some kind of plan.\What do you know about it?\He asked me to lend him a Lux. That's all.\So he asked you, too?\Meaning that he asked you, too? response:	Well, yeah.
context: Haru-nee... Ayato's older sister.\Older sister?\Well, the guy does seem to have some kind of plan.\What do you know about it?\He asked me to lend him a Lux. That's all.\So he asked you, too?\Meaning that he asked you, too?\Well, yeah. response:	Hey, it's about to start, I think.
context: Older sister?\Well, the guy does seem to have some kind of plan.\What do you know about it?\He asked me to lend him a Lux. That's all.\So he asked you, too?\Meaning that he asked you, too?\Well, yeah.\Hey, it's about to start, I think. response:	Start of the duel!
context: Well, the guy does seem to have some kind of plan.\What do you know about it?\He asked me to lend him a Lux. That's all.\So he asked you, too?\Meaning that he asked you, too?\Well, yeah.\Hey, it's about to start, I think.\Start of the duel! response:	Here goes!
context: What do you know about it?\He asked me to lend him a Lux. That's all.\So he asked you, too?\Meaning that he asked you, too?\Well, yeah.\Hey, it's about to start, I think.\Start of the duel!\Here goes! response:	Just as I expected of you, Amagiri-senpai.
context: He asked me to lend him a Lux. That's all.\So he asked you, too?\Meaning that he asked you, too?\Well, yeah.\Hey, it's about to start, I think.\Start of the duel!\Here goes!\Just as I expected of you, Amagiri-senpai. response:	That was like thrusting against thick steel.
context: So he asked you, too?\Meaning that he asked you, too?\Well, yeah.\Hey, it's about to start, I think.\Start of the duel!\Here goes!\Just as I expected of you, Amagiri-senpai.\That was like thrusting against thick steel. response:	Well, the one thing I'm sure about is the amount of my Prana.
context: Meaning that he asked you, too?\Well, yeah.\Hey, it's about to start, I think.\Start of the duel!\Here goes!\Just as I expected of you, Amagiri-senpai.\That was like thrusting against thick steel.\Well, the one thing I'm sure about is the amount of my Prana. response:	Not only that, but... that's the first time anyone's evaded my Conjoined Cranes.
context: Well, yeah.\Hey, it's about to start, I think.\Start of the duel!\Here goes!\Just as I expected of you, Amagiri-senpai.\That was like thrusting against thick steel.\Well, the one thing I'm sure about is the amount of my Prana.\Not only that, but... that's the first time anyone's evaded my Conjoined Cranes. response:	I see, so that was Conjoined Cranes?
context: Hey, it's about to start, I think.\Start of the duel!\Here goes!\Just as I expected of you, Amagiri-senpai.\That was like thrusting against thick steel.\Well, the one thing I'm sure about is the amount of my Prana.\Not only that, but... that's the first time anyone's evaded my Conjoined Cranes.\I see, so that was Conjoined Cranes? response:	NESTING STATE
context: Start of the duel!\Here goes!\Just as I expected of you, Amagiri-senpai.\That was like thrusting against thick steel.\Well, the one thing I'm sure about is the amount of my Prana.\Not only that, but... that's the first time anyone's evaded my Conjoined Cranes.\I see, so that was Conjoined Cranes?\NESTING STATE response:	Nesting State.
context: Here goes!\Just as I expected of you, Amagiri-senpai.\That was like thrusting against thick steel.\Well, the one thing I'm sure about is the amount of my Prana.\Not only that, but... that's the first time anyone's evaded my Conjoined Cranes.\I see, so that was Conjoined Cranes?\NESTING STATE\Nesting State. response:	CITRUS BLOOM
context: Just as I expected of you, Amagiri-senpai.\That was like thrusting against thick steel.\Well, the one thing I'm sure about is the amount of my Prana.\Not only that, but... that's the first time anyone's evaded my Conjoined Cranes.\I see, so that was Conjoined Cranes?\NESTING STATE\Nesting State.\CITRUS BLOOM response:	Citrus Bloom.
context: That was like thrusting against thick steel.\Well, the one thing I'm sure about is the amount of my Prana.\Not only that, but... that's the first time anyone's evaded my Conjoined Cranes.\I see, so that was Conjoined Cranes?\NESTING STATE\Nesting State.\CITRUS BLOOM\Citrus Bloom. response:	SIDE-BY-SIDE WINGS
context: Well, the one thing I'm sure about is the amount of my Prana.\Not only that, but... that's the first time anyone's evaded my Conjoined Cranes.\I see, so that was Conjoined Cranes?\NESTING STATE\Nesting State.\CITRUS BLOOM\Citrus Bloom.\SIDE-BY-SIDE WINGS response:	Side-by-side Wings.
context: Not only that, but... that's the first time anyone's evaded my Conjoined Cranes.\I see, so that was Conjoined Cranes?\NESTING STATE\Nesting State.\CITRUS BLOOM\Citrus Bloom.\SIDE-BY-SIDE WINGS\Side-by-side Wings. response:	BLUE SEA WAVE
context: I see, so that was Conjoined Cranes?\NESTING STATE\Nesting State.\CITRUS BLOOM\Citrus Bloom.\SIDE-BY-SIDE WINGS\Side-by-side Wings.\BLUE SEA WAVE response:	Blue Sea Wave...
context: NESTING STATE\Nesting State.\CITRUS BLOOM\Citrus Bloom.\SIDE-BY-SIDE WINGS\Side-by-side Wings.\BLUE SEA WAVE\Blue Sea Wave... response:	The Toudou Style boasts 49 different conjoined skills,
context: Nesting State.\CITRUS BLOOM\Citrus Bloom.\SIDE-BY-SIDE WINGS\Side-by-side Wings.\BLUE SEA WAVE\Blue Sea Wave...\The Toudou Style boasts 49 different conjoined skills, response:	and combining them results in the foolproof multi-hit attack...
context: CITRUS BLOOM\Citrus Bloom.\SIDE-BY-SIDE WINGS\Side-by-side Wings.\BLUE SEA WAVE\Blue Sea Wave...\The Toudou Style boasts 49 different conjoined skills,\and combining them results in the foolproof multi-hit attack... response:	The Conjoined Cranes.
context: Citrus Bloom.\SIDE-BY-SIDE WINGS\Side-by-side Wings.\BLUE SEA WAVE\Blue Sea Wave...\The Toudou Style boasts 49 different conjoined skills,\and combining them results in the foolproof multi-hit attack...\The Conjoined Cranes. response:	The Conjoined Cranes are invincible.
context: SIDE-BY-SIDE WINGS\Side-by-side Wings.\BLUE SEA WAVE\Blue Sea Wave...\The Toudou Style boasts 49 different conjoined skills,\and combining them results in the foolproof multi-hit attack...\The Conjoined Cranes.\The Conjoined Cranes are invincible. response:	This time, I will finish you off!
context: Side-by-side Wings.\BLUE SEA WAVE\Blue Sea Wave...\The Toudou Style boasts 49 different conjoined skills,\and combining them results in the foolproof multi-hit attack...\The Conjoined Cranes.\The Conjoined Cranes are invincible.\This time, I will finish you off! response:	All right, then, I guess I'll respond to that by going all-out!
context: BLUE SEA WAVE\Blue Sea Wave...\The Toudou Style boasts 49 different conjoined skills,\and combining them results in the foolproof multi-hit attack...\The Conjoined Cranes.\The Conjoined Cranes are invincible.\This time, I will finish you off!\All right, then, I guess I'll respond to that by going all-out! response:	Now's my chance!
context: Blue Sea Wave...\The Toudou Style boasts 49 different conjoined skills,\and combining them results in the foolproof multi-hit attack...\The Conjoined Cranes.\The Conjoined Cranes are invincible.\This time, I will finish you off!\All right, then, I guess I'll respond to that by going all-out!\Now's my chance! response:	His Meteo arts failed?
context: The Toudou Style boasts 49 different conjoined skills,\and combining them results in the foolproof multi-hit attack...\The Conjoined Cranes.\The Conjoined Cranes are invincible.\This time, I will finish you off!\All right, then, I guess I'll respond to that by going all-out!\Now's my chance!\His Meteo arts failed? response:	Amagiri Shinmei-style Spear Skill - Ninth Cloud Wasp!
context: and combining them results in the foolproof multi-hit attack...\The Conjoined Cranes.\The Conjoined Cranes are invincible.\This time, I will finish you off!\All right, then, I guess I'll respond to that by going all-out!\Now's my chance!\His Meteo arts failed?\Amagiri Shinmei-style Spear Skill - Ninth Cloud Wasp! response:	AMAGIRI SHINMEI-STYLE SPEAR SKILL - NINTH CLOUD WASP
context: The Conjoined Cranes.\The Conjoined Cranes are invincible.\This time, I will finish you off!\All right, then, I guess I'll respond to that by going all-out!\Now's my chance!\His Meteo arts failed?\Amagiri Shinmei-style Spear Skill - Ninth Cloud Wasp!\AMAGIRI SHINMEI-STYLE SPEAR SKILL - NINTH CLOUD WASP response:	Spear Skills?
context: The Conjoined Cranes are invincible.\This time, I will finish you off!\All right, then, I guess I'll respond to that by going all-out!\Now's my chance!\His Meteo arts failed?\Amagiri Shinmei-style Spear Skill - Ninth Cloud Wasp!\AMAGIRI SHINMEI-STYLE SPEAR SKILL - NINTH CLOUD WASP\Spear Skills? response:	Did I surprise you at least a little?
context: This time, I will finish you off!\All right, then, I guess I'll respond to that by going all-out!\Now's my chance!\His Meteo arts failed?\Amagiri Shinmei-style Spear Skill - Ninth Cloud Wasp!\AMAGIRI SHINMEI-STYLE SPEAR SKILL - NINTH CLOUD WASP\Spear Skills?\Did I surprise you at least a little? response:	Yes, you did. But...
