context: The report says the Scarlet Flame Golden Lion response:	appeared in the Far North rebel army camp.
context: I hope they will not further implicate the Ghost Realm.\That is my selfish motive.\All right. I give you my promise.\As long as you provide outstanding military service in the Far North\then I will no longer pursue\the Ghost Realm's relationship to the Mermaid Clan.\- That's settled then. - That's settled then.\I just asked the maids of Zichen Hall. response:	The Crown Prince is currently at Zichen Hall.
context: That is my selfish motive.\All right. I give you my promise.\As long as you provide outstanding military service in the Far North\then I will no longer pursue\the Ghost Realm's relationship to the Mermaid Clan.\- That's settled then. - That's settled then.\I just asked the maids of Zichen Hall.\The Crown Prince is currently at Zichen Hall. response:	I heard he's leaving the palace tonight.
context: All right. I give you my promise.\As long as you provide outstanding military service in the Far North\then I will no longer pursue\the Ghost Realm's relationship to the Mermaid Clan.\- That's settled then. - That's settled then.\I just asked the maids of Zichen Hall.\The Crown Prince is currently at Zichen Hall.\I heard he's leaving the palace tonight. response:	Go quickly, Your Highness. If you delay, it will get cold.
context: As long as you provide outstanding military service in the Far North\then I will no longer pursue\the Ghost Realm's relationship to the Mermaid Clan.\- That's settled then. - That's settled then.\I just asked the maids of Zichen Hall.\The Crown Prince is currently at Zichen Hall.\I heard he's leaving the palace tonight.\Go quickly, Your Highness. If you delay, it will get cold. response:	Ye Hua.
context: then I will no longer pursue\the Ghost Realm's relationship to the Mermaid Clan.\- That's settled then. - That's settled then.\I just asked the maids of Zichen Hall.\The Crown Prince is currently at Zichen Hall.\I heard he's leaving the palace tonight.\Go quickly, Your Highness. If you delay, it will get cold.\Ye Hua. response:	This voice is Consort Su Jin.
context: the Ghost Realm's relationship to the Mermaid Clan.\- That's settled then. - That's settled then.\I just asked the maids of Zichen Hall.\The Crown Prince is currently at Zichen Hall.\I heard he's leaving the palace tonight.\Go quickly, Your Highness. If you delay, it will get cold.\Ye Hua.\This voice is Consort Su Jin. response:	I plead for leniency on her behalf.
context: - That's settled then. - That's settled then.\I just asked the maids of Zichen Hall.\The Crown Prince is currently at Zichen Hall.\I heard he's leaving the palace tonight.\Go quickly, Your Highness. If you delay, it will get cold.\Ye Hua.\This voice is Consort Su Jin.\I plead for leniency on her behalf. response:	Why do you still not understand?
context: I just asked the maids of Zichen Hall.\The Crown Prince is currently at Zichen Hall.\I heard he's leaving the palace tonight.\Go quickly, Your Highness. If you delay, it will get cold.\Ye Hua.\This voice is Consort Su Jin.\I plead for leniency on her behalf.\Why do you still not understand? response:	If not because she is carrying your child
context: The Crown Prince is currently at Zichen Hall.\I heard he's leaving the palace tonight.\Go quickly, Your Highness. If you delay, it will get cold.\Ye Hua.\This voice is Consort Su Jin.\I plead for leniency on her behalf.\Why do you still not understand?\If not because she is carrying your child response:	why would your mother barge into the Grand Hall to beg for forgiveness?
context: I heard he's leaving the palace tonight.\Go quickly, Your Highness. If you delay, it will get cold.\Ye Hua.\This voice is Consort Su Jin.\I plead for leniency on her behalf.\Why do you still not understand?\If not because she is carrying your child\why would your mother barge into the Grand Hall to beg for forgiveness? response:	And why would I risk my life to protect her?
context: Go quickly, Your Highness. If you delay, it will get cold.\Ye Hua.\This voice is Consort Su Jin.\I plead for leniency on her behalf.\Why do you still not understand?\If not because she is carrying your child\why would your mother barge into the Grand Hall to beg for forgiveness?\And why would I risk my life to protect her? response:	I know you married a mortal...
context: Ye Hua.\This voice is Consort Su Jin.\I plead for leniency on her behalf.\Why do you still not understand?\If not because she is carrying your child\why would your mother barge into the Grand Hall to beg for forgiveness?\And why would I risk my life to protect her?\I know you married a mortal... response:	to get back at me
context: This voice is Consort Su Jin.\I plead for leniency on her behalf.\Why do you still not understand?\If not because she is carrying your child\why would your mother barge into the Grand Hall to beg for forgiveness?\And why would I risk my life to protect her?\I know you married a mortal...\to get back at me response:	for betraying you by marrying the Heavenly Lord.
context: I plead for leniency on her behalf.\Why do you still not understand?\If not because she is carrying your child\why would your mother barge into the Grand Hall to beg for forgiveness?\And why would I risk my life to protect her?\I know you married a mortal...\to get back at me\for betraying you by marrying the Heavenly Lord. response:	But what could I do?
context: Why do you still not understand?\If not because she is carrying your child\why would your mother barge into the Grand Hall to beg for forgiveness?\And why would I risk my life to protect her?\I know you married a mortal...\to get back at me\for betraying you by marrying the Heavenly Lord.\But what could I do? response:	What could I do?
context: If not because she is carrying your child\why would your mother barge into the Grand Hall to beg for forgiveness?\And why would I risk my life to protect her?\I know you married a mortal...\to get back at me\for betraying you by marrying the Heavenly Lord.\But what could I do?\What could I do? response:	Of all the women in the world
context: why would your mother barge into the Grand Hall to beg for forgiveness?\And why would I risk my life to protect her?\I know you married a mortal...\to get back at me\for betraying you by marrying the Heavenly Lord.\But what could I do?\What could I do?\Of all the women in the world response:	who can ward off the Heavenly Lord's favor?
context: And why would I risk my life to protect her?\I know you married a mortal...\to get back at me\for betraying you by marrying the Heavenly Lord.\But what could I do?\What could I do?\Of all the women in the world\who can ward off the Heavenly Lord's favor? response:	Tell me, Ye Hua.
context: I know you married a mortal...\to get back at me\for betraying you by marrying the Heavenly Lord.\But what could I do?\What could I do?\Of all the women in the world\who can ward off the Heavenly Lord's favor?\Tell me, Ye Hua. response:	You still love me, don't you?
context: to get back at me\for betraying you by marrying the Heavenly Lord.\But what could I do?\What could I do?\Of all the women in the world\who can ward off the Heavenly Lord's favor?\Tell me, Ye Hua.\You still love me, don't you? response:	You call her Su Su
context: for betraying you by marrying the Heavenly Lord.\But what could I do?\What could I do?\Of all the women in the world\who can ward off the Heavenly Lord's favor?\Tell me, Ye Hua.\You still love me, don't you?\You call her Su Su response:	only because... because there is also a Su in my name, right?
context: But what could I do?\What could I do?\Of all the women in the world\who can ward off the Heavenly Lord's favor?\Tell me, Ye Hua.\You still love me, don't you?\You call her Su Su\only because... because there is also a Su in my name, right? response:	Ye Hua, how come you can't understand?
context: What could I do?\Of all the women in the world\who can ward off the Heavenly Lord's favor?\Tell me, Ye Hua.\You still love me, don't you?\You call her Su Su\only because... because there is also a Su in my name, right?\Ye Hua, how come you can't understand? response:	My affections for you far surpass those of the mortal's.
context: Of all the women in the world\who can ward off the Heavenly Lord's favor?\Tell me, Ye Hua.\You still love me, don't you?\You call her Su Su\only because... because there is also a Su in my name, right?\Ye Hua, how come you can't understand?\My affections for you far surpass those of the mortal's. response:	Your Highness is back so soon?
context: who can ward off the Heavenly Lord's favor?\Tell me, Ye Hua.\You still love me, don't you?\You call her Su Su\only because... because there is also a Su in my name, right?\Ye Hua, how come you can't understand?\My affections for you far surpass those of the mortal's.\Your Highness is back so soon? response:	Why are you crying?
context: Tell me, Ye Hua.\You still love me, don't you?\You call her Su Su\only because... because there is also a Su in my name, right?\Ye Hua, how come you can't understand?\My affections for you far surpass those of the mortal's.\Your Highness is back so soon?\Why are you crying? response:	I'm fine now.
context: You still love me, don't you?\You call her Su Su\only because... because there is also a Su in my name, right?\Ye Hua, how come you can't understand?\My affections for you far surpass those of the mortal's.\Your Highness is back so soon?\Why are you crying?\I'm fine now. response:	I am a bit tired. I'd like to rest.
context: You call her Su Su\only because... because there is also a Su in my name, right?\Ye Hua, how come you can't understand?\My affections for you far surpass those of the mortal's.\Your Highness is back so soon?\Why are you crying?\I'm fine now.\I am a bit tired. I'd like to rest. response:	You may go.
context: only because... because there is also a Su in my name, right?\Ye Hua, how come you can't understand?\My affections for you far surpass those of the mortal's.\Your Highness is back so soon?\Why are you crying?\I'm fine now.\I am a bit tired. I'd like to rest.\You may go. response:	Ye Hua, why are you here?
context: Ye Hua, how come you can't understand?\My affections for you far surpass those of the mortal's.\Your Highness is back so soon?\Why are you crying?\I'm fine now.\I am a bit tired. I'd like to rest.\You may go.\Ye Hua, why are you here? response:	What is it? Is something the matter?
context: My affections for you far surpass those of the mortal's.\Your Highness is back so soon?\Why are you crying?\I'm fine now.\I am a bit tired. I'd like to rest.\You may go.\Ye Hua, why are you here?\What is it? Is something the matter? response:	Give me the copper mirror.
context: Your Highness is back so soon?\Why are you crying?\I'm fine now.\I am a bit tired. I'd like to rest.\You may go.\Ye Hua, why are you here?\What is it? Is something the matter?\Give me the copper mirror. response:	Copper mirror? What copper mirror?
context: Why are you crying?\I'm fine now.\I am a bit tired. I'd like to rest.\You may go.\Ye Hua, why are you here?\What is it? Is something the matter?\Give me the copper mirror.\Copper mirror? What copper mirror? response:	I remember.
context: I'm fine now.\I am a bit tired. I'd like to rest.\You may go.\Ye Hua, why are you here?\What is it? Is something the matter?\Give me the copper mirror.\Copper mirror? What copper mirror?\I remember. response:	You must be speaking of the copper mirror you dropped
context: I am a bit tired. I'd like to rest.\You may go.\Ye Hua, why are you here?\What is it? Is something the matter?\Give me the copper mirror.\Copper mirror? What copper mirror?\I remember.\You must be speaking of the copper mirror you dropped response:	during the war against the Mermaid Clan.
context: You may go.\Ye Hua, why are you here?\What is it? Is something the matter?\Give me the copper mirror.\Copper mirror? What copper mirror?\I remember.\You must be speaking of the copper mirror you dropped\during the war against the Mermaid Clan. response:	I have been keeping it for you but I had forgotten about it.
context: Ye Hua, why are you here?\What is it? Is something the matter?\Give me the copper mirror.\Copper mirror? What copper mirror?\I remember.\You must be speaking of the copper mirror you dropped\during the war against the Mermaid Clan.\I have been keeping it for you but I had forgotten about it. response:	- Your Highness. - Your Highness.
context: What is it? Is something the matter?\Give me the copper mirror.\Copper mirror? What copper mirror?\I remember.\You must be speaking of the copper mirror you dropped\during the war against the Mermaid Clan.\I have been keeping it for you but I had forgotten about it.\- Your Highness. - Your Highness. response:	Tonight, I will change out all the palace maids of Xiwu Palace
context: Give me the copper mirror.\Copper mirror? What copper mirror?\I remember.\You must be speaking of the copper mirror you dropped\during the war against the Mermaid Clan.\I have been keeping it for you but I had forgotten about it.\- Your Highness. - Your Highness.\Tonight, I will change out all the palace maids of Xiwu Palace response:	and send them to Lord Pu Hua for interrogation.
context: Copper mirror? What copper mirror?\I remember.\You must be speaking of the copper mirror you dropped\during the war against the Mermaid Clan.\I have been keeping it for you but I had forgotten about it.\- Your Highness. - Your Highness.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation. response:	Father is using this incident
context: I remember.\You must be speaking of the copper mirror you dropped\during the war against the Mermaid Clan.\I have been keeping it for you but I had forgotten about it.\- Your Highness. - Your Highness.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Father is using this incident response:	to remove all your loyal palace maids from Xiwu Palace.
context: You must be speaking of the copper mirror you dropped\during the war against the Mermaid Clan.\I have been keeping it for you but I had forgotten about it.\- Your Highness. - Your Highness.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace. response:	You must be even more careful now, Ye Hua.
context: during the war against the Mermaid Clan.\I have been keeping it for you but I had forgotten about it.\- Your Highness. - Your Highness.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua. response:	You call her Su Su
context: I have been keeping it for you but I had forgotten about it.\- Your Highness. - Your Highness.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\You call her Su Su response:	only because... because there is also a Su in my name, right?
context: - Your Highness. - Your Highness.\Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\You call her Su Su\only because... because there is also a Su in my name, right? response:	What is wrong?
context: Tonight, I will change out all the palace maids of Xiwu Palace\and send them to Lord Pu Hua for interrogation.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\You call her Su Su\only because... because there is also a Su in my name, right?\What is wrong? response:	Did something happen? You can tell me.
context: and send them to Lord Pu Hua for interrogation.\Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\You call her Su Su\only because... because there is also a Su in my name, right?\What is wrong?\Did something happen? You can tell me. response:	What did you come here for?
context: Father is using this incident\to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\You call her Su Su\only because... because there is also a Su in my name, right?\What is wrong?\Did something happen? You can tell me.\What did you come here for? response:	I have to go defend the Far North for half a year.
context: to remove all your loyal palace maids from Xiwu Palace.\You must be even more careful now, Ye Hua.\You call her Su Su\only because... because there is also a Su in my name, right?\What is wrong?\Did something happen? You can tell me.\What did you come here for?\I have to go defend the Far North for half a year. response:	You'll be gone again for half a year?
context: You must be even more careful now, Ye Hua.\You call her Su Su\only because... because there is also a Su in my name, right?\What is wrong?\Did something happen? You can tell me.\What did you come here for?\I have to go defend the Far North for half a year.\You'll be gone again for half a year? response:	At least half a year.
context: You call her Su Su\only because... because there is also a Su in my name, right?\What is wrong?\Did something happen? You can tell me.\What did you come here for?\I have to go defend the Far North for half a year.\You'll be gone again for half a year?\At least half a year. response:	But we can do what we did before
context: only because... because there is also a Su in my name, right?\What is wrong?\Did something happen? You can tell me.\What did you come here for?\I have to go defend the Far North for half a year.\You'll be gone again for half a year?\At least half a year.\But we can do what we did before response:	and use the copper mirror to communicate.
context: What is wrong?\Did something happen? You can tell me.\What did you come here for?\I have to go defend the Far North for half a year.\You'll be gone again for half a year?\At least half a year.\But we can do what we did before\and use the copper mirror to communicate. response:	If anything happens or if you want to talk to me
context: Did something happen? You can tell me.\What did you come here for?\I have to go defend the Far North for half a year.\You'll be gone again for half a year?\At least half a year.\But we can do what we did before\and use the copper mirror to communicate.\If anything happens or if you want to talk to me response:	you can tell me through the copper mirror.
context: What did you come here for?\I have to go defend the Far North for half a year.\You'll be gone again for half a year?\At least half a year.\But we can do what we did before\and use the copper mirror to communicate.\If anything happens or if you want to talk to me\you can tell me through the copper mirror. response:	Take care of yourself.
context: I have to go defend the Far North for half a year.\You'll be gone again for half a year?\At least half a year.\But we can do what we did before\and use the copper mirror to communicate.\If anything happens or if you want to talk to me\you can tell me through the copper mirror.\Take care of yourself. response:	I feel a bit unwell. I won't be getting out of bed to see you out.
context: You'll be gone again for half a year?\At least half a year.\But we can do what we did before\and use the copper mirror to communicate.\If anything happens or if you want to talk to me\you can tell me through the copper mirror.\Take care of yourself.\I feel a bit unwell. I won't be getting out of bed to see you out. response:	You feel unwell?
context: At least half a year.\But we can do what we did before\and use the copper mirror to communicate.\If anything happens or if you want to talk to me\you can tell me through the copper mirror.\Take care of yourself.\I feel a bit unwell. I won't be getting out of bed to see you out.\You feel unwell? response:	What are you thinking of doing?
context: But we can do what we did before\and use the copper mirror to communicate.\If anything happens or if you want to talk to me\you can tell me through the copper mirror.\Take care of yourself.\I feel a bit unwell. I won't be getting out of bed to see you out.\You feel unwell?\What are you thinking of doing? response:	There is nothing to see. You should go.
context: and use the copper mirror to communicate.\If anything happens or if you want to talk to me\you can tell me through the copper mirror.\Take care of yourself.\I feel a bit unwell. I won't be getting out of bed to see you out.\You feel unwell?\What are you thinking of doing?\There is nothing to see. You should go. response:	I will be personally leading troops to the Far North.
context: If anything happens or if you want to talk to me\you can tell me through the copper mirror.\Take care of yourself.\I feel a bit unwell. I won't be getting out of bed to see you out.\You feel unwell?\What are you thinking of doing?\There is nothing to see. You should go.\I will be personally leading troops to the Far North. response:	Who is willing to follow me
context: you can tell me through the copper mirror.\Take care of yourself.\I feel a bit unwell. I won't be getting out of bed to see you out.\You feel unwell?\What are you thinking of doing?\There is nothing to see. You should go.\I will be personally leading troops to the Far North.\Who is willing to follow me response:	to capture the rebel, Li Yuan?
context: Take care of yourself.\I feel a bit unwell. I won't be getting out of bed to see you out.\You feel unwell?\What are you thinking of doing?\There is nothing to see. You should go.\I will be personally leading troops to the Far North.\Who is willing to follow me\to capture the rebel, Li Yuan? response:	What is the matter?
context: I feel a bit unwell. I won't be getting out of bed to see you out.\You feel unwell?\What are you thinking of doing?\There is nothing to see. You should go.\I will be personally leading troops to the Far North.\Who is willing to follow me\to capture the rebel, Li Yuan?\What is the matter? response:	I have so many strong men in the Ghost Realm.
context: You feel unwell?\What are you thinking of doing?\There is nothing to see. You should go.\I will be personally leading troops to the Far North.\Who is willing to follow me\to capture the rebel, Li Yuan?\What is the matter?\I have so many strong men in the Ghost Realm. response:	Is nobody willing to go to the Far North?
context: What are you thinking of doing?\There is nothing to see. You should go.\I will be personally leading troops to the Far North.\Who is willing to follow me\to capture the rebel, Li Yuan?\What is the matter?\I have so many strong men in the Ghost Realm.\Is nobody willing to go to the Far North? response:	Your Majesty.
context: There is nothing to see. You should go.\I will be personally leading troops to the Far North.\Who is willing to follow me\to capture the rebel, Li Yuan?\What is the matter?\I have so many strong men in the Ghost Realm.\Is nobody willing to go to the Far North?\Your Majesty. response:	We are not afraid of going to war.
context: I will be personally leading troops to the Far North.\Who is willing to follow me\to capture the rebel, Li Yuan?\What is the matter?\I have so many strong men in the Ghost Realm.\Is nobody willing to go to the Far North?\Your Majesty.\We are not afraid of going to war. response:	It is just that it is the Ghost Realm's Eldest Prince rebelling in the Far North
context: Who is willing to follow me\to capture the rebel, Li Yuan?\What is the matter?\I have so many strong men in the Ghost Realm.\Is nobody willing to go to the Far North?\Your Majesty.\We are not afraid of going to war.\It is just that it is the Ghost Realm's Eldest Prince rebelling in the Far North response:	and he is rebelling in the name of vengeance for the former Ghost Lord.
context: to capture the rebel, Li Yuan?\What is the matter?\I have so many strong men in the Ghost Realm.\Is nobody willing to go to the Far North?\Your Majesty.\We are not afraid of going to war.\It is just that it is the Ghost Realm's Eldest Prince rebelling in the Far North\and he is rebelling in the name of vengeance for the former Ghost Lord. response:	If... If we send our troops to help the Celestial Tribe suppress them
context: What is the matter?\I have so many strong men in the Ghost Realm.\Is nobody willing to go to the Far North?\Your Majesty.\We are not afraid of going to war.\It is just that it is the Ghost Realm's Eldest Prince rebelling in the Far North\and he is rebelling in the name of vengeance for the former Ghost Lord.\If... If we send our troops to help the Celestial Tribe suppress them response:	I'm afraid it will be against popular sentiment.
context: I have so many strong men in the Ghost Realm.\Is nobody willing to go to the Far North?\Your Majesty.\We are not afraid of going to war.\It is just that it is the Ghost Realm's Eldest Prince rebelling in the Far North\and he is rebelling in the name of vengeance for the former Ghost Lord.\If... If we send our troops to help the Celestial Tribe suppress them\I'm afraid it will be against popular sentiment. response:	Yes, Your Majesty. The former Ghost Lord had much support.
context: Is nobody willing to go to the Far North?\Your Majesty.\We are not afraid of going to war.\It is just that it is the Ghost Realm's Eldest Prince rebelling in the Far North\and he is rebelling in the name of vengeance for the former Ghost Lord.\If... If we send our troops to help the Celestial Tribe suppress them\I'm afraid it will be against popular sentiment.\Yes, Your Majesty. The former Ghost Lord had much support. response:	Later on, when the Ghost Lord was sealed away
context: Your Majesty.\We are not afraid of going to war.\It is just that it is the Ghost Realm's Eldest Prince rebelling in the Far North\and he is rebelling in the name of vengeance for the former Ghost Lord.\If... If we send our troops to help the Celestial Tribe suppress them\I'm afraid it will be against popular sentiment.\Yes, Your Majesty. The former Ghost Lord had much support.\Later on, when the Ghost Lord was sealed away response:	many clans of the Ghost Realm wanted to take revenge.
context: We are not afraid of going to war.\It is just that it is the Ghost Realm's Eldest Prince rebelling in the Far North\and he is rebelling in the name of vengeance for the former Ghost Lord.\If... If we send our troops to help the Celestial Tribe suppress them\I'm afraid it will be against popular sentiment.\Yes, Your Majesty. The former Ghost Lord had much support.\Later on, when the Ghost Lord was sealed away\many clans of the Ghost Realm wanted to take revenge. response:	They were all suppressed by Your Majesty.
context: It is just that it is the Ghost Realm's Eldest Prince rebelling in the Far North\and he is rebelling in the name of vengeance for the former Ghost Lord.\If... If we send our troops to help the Celestial Tribe suppress them\I'm afraid it will be against popular sentiment.\Yes, Your Majesty. The former Ghost Lord had much support.\Later on, when the Ghost Lord was sealed away\many clans of the Ghost Realm wanted to take revenge.\They were all suppressed by Your Majesty. response:	Those who harbored great resentment, like the Mermaid Clan
context: and he is rebelling in the name of vengeance for the former Ghost Lord.\If... If we send our troops to help the Celestial Tribe suppress them\I'm afraid it will be against popular sentiment.\Yes, Your Majesty. The former Ghost Lord had much support.\Later on, when the Ghost Lord was sealed away\many clans of the Ghost Realm wanted to take revenge.\They were all suppressed by Your Majesty.\Those who harbored great resentment, like the Mermaid Clan response:	retreated to the Chang Sea and stopped offering tributes.
context: If... If we send our troops to help the Celestial Tribe suppress them\I'm afraid it will be against popular sentiment.\Yes, Your Majesty. The former Ghost Lord had much support.\Later on, when the Ghost Lord was sealed away\many clans of the Ghost Realm wanted to take revenge.\They were all suppressed by Your Majesty.\Those who harbored great resentment, like the Mermaid Clan\retreated to the Chang Sea and stopped offering tributes. response:	The ones who held less resentment didn't say much
context: I'm afraid it will be against popular sentiment.\Yes, Your Majesty. The former Ghost Lord had much support.\Later on, when the Ghost Lord was sealed away\many clans of the Ghost Realm wanted to take revenge.\They were all suppressed by Your Majesty.\Those who harbored great resentment, like the Mermaid Clan\retreated to the Chang Sea and stopped offering tributes.\The ones who held less resentment didn't say much response:	but they must not have been content.
context: Yes, Your Majesty. The former Ghost Lord had much support.\Later on, when the Ghost Lord was sealed away\many clans of the Ghost Realm wanted to take revenge.\They were all suppressed by Your Majesty.\Those who harbored great resentment, like the Mermaid Clan\retreated to the Chang Sea and stopped offering tributes.\The ones who held less resentment didn't say much\but they must not have been content. response:	If we send our troops, those clans may very well protest.
context: Later on, when the Ghost Lord was sealed away\many clans of the Ghost Realm wanted to take revenge.\They were all suppressed by Your Majesty.\Those who harbored great resentment, like the Mermaid Clan\retreated to the Chang Sea and stopped offering tributes.\The ones who held less resentment didn't say much\but they must not have been content.\If we send our troops, those clans may very well protest. response:	Enough!
context: many clans of the Ghost Realm wanted to take revenge.\They were all suppressed by Your Majesty.\Those who harbored great resentment, like the Mermaid Clan\retreated to the Chang Sea and stopped offering tributes.\The ones who held less resentment didn't say much\but they must not have been content.\If we send our troops, those clans may very well protest.\Enough! response:	I know those clans
context: They were all suppressed by Your Majesty.\Those who harbored great resentment, like the Mermaid Clan\retreated to the Chang Sea and stopped offering tributes.\The ones who held less resentment didn't say much\but they must not have been content.\If we send our troops, those clans may very well protest.\Enough!\I know those clans response:	comment behind my back that I am too close with the Celestial Tribe
context: Those who harbored great resentment, like the Mermaid Clan\retreated to the Chang Sea and stopped offering tributes.\The ones who held less resentment didn't say much\but they must not have been content.\If we send our troops, those clans may very well protest.\Enough!\I know those clans\comment behind my back that I am too close with the Celestial Tribe response:	and have forgotten about avenging Father.
context: retreated to the Chang Sea and stopped offering tributes.\The ones who held less resentment didn't say much\but they must not have been content.\If we send our troops, those clans may very well protest.\Enough!\I know those clans\comment behind my back that I am too close with the Celestial Tribe\and have forgotten about avenging Father. response:	But how could they understand that only with peace in the world
context: The ones who held less resentment didn't say much\but they must not have been content.\If we send our troops, those clans may very well protest.\Enough!\I know those clans\comment behind my back that I am too close with the Celestial Tribe\and have forgotten about avenging Father.\But how could they understand that only with peace in the world response:	can the people live well?
context: but they must not have been content.\If we send our troops, those clans may very well protest.\Enough!\I know those clans\comment behind my back that I am too close with the Celestial Tribe\and have forgotten about avenging Father.\But how could they understand that only with peace in the world\can the people live well? response:	Yes, the Ghost Tribe is aggressive
context: If we send our troops, those clans may very well protest.\Enough!\I know those clans\comment behind my back that I am too close with the Celestial Tribe\and have forgotten about avenging Father.\But how could they understand that only with peace in the world\can the people live well?\Yes, the Ghost Tribe is aggressive response:	but we could also die!
context: Enough!\I know those clans\comment behind my back that I am too close with the Celestial Tribe\and have forgotten about avenging Father.\But how could they understand that only with peace in the world\can the people live well?\Yes, the Ghost Tribe is aggressive\but we could also die! response:	And we would also bleed.
context: I know those clans\comment behind my back that I am too close with the Celestial Tribe\and have forgotten about avenging Father.\But how could they understand that only with peace in the world\can the people live well?\Yes, the Ghost Tribe is aggressive\but we could also die!\And we would also bleed. response:	As long as I am the Ghost Lord...
context: comment behind my back that I am too close with the Celestial Tribe\and have forgotten about avenging Father.\But how could they understand that only with peace in the world\can the people live well?\Yes, the Ghost Tribe is aggressive\but we could also die!\And we would also bleed.\As long as I am the Ghost Lord... response:	I do not want to see...
context: and have forgotten about avenging Father.\But how could they understand that only with peace in the world\can the people live well?\Yes, the Ghost Tribe is aggressive\but we could also die!\And we would also bleed.\As long as I am the Ghost Lord...\I do not want to see... response:	a war like the one 70,000 years ago in which hundreds of thousands died.
context: But how could they understand that only with peace in the world\can the people live well?\Yes, the Ghost Tribe is aggressive\but we could also die!\And we would also bleed.\As long as I am the Ghost Lord...\I do not want to see...\a war like the one 70,000 years ago in which hundreds of thousands died. response:	- But, Your Majesty- - No more discussion!
context: can the people live well?\Yes, the Ghost Tribe is aggressive\but we could also die!\And we would also bleed.\As long as I am the Ghost Lord...\I do not want to see...\a war like the one 70,000 years ago in which hundreds of thousands died.\- But, Your Majesty- - No more discussion! response:	I will gather the troops and head out today.
context: Yes, the Ghost Tribe is aggressive\but we could also die!\And we would also bleed.\As long as I am the Ghost Lord...\I do not want to see...\a war like the one 70,000 years ago in which hundreds of thousands died.\- But, Your Majesty- - No more discussion!\I will gather the troops and head out today. response:	- I accept your command. - I accept your command.
context: but we could also die!\And we would also bleed.\As long as I am the Ghost Lord...\I do not want to see...\a war like the one 70,000 years ago in which hundreds of thousands died.\- But, Your Majesty- - No more discussion!\I will gather the troops and head out today.\- I accept your command. - I accept your command. response:	Has His Majesty left Grand Ziming Palace already?
context: And we would also bleed.\As long as I am the Ghost Lord...\I do not want to see...\a war like the one 70,000 years ago in which hundreds of thousands died.\- But, Your Majesty- - No more discussion!\I will gather the troops and head out today.\- I accept your command. - I accept your command.\Has His Majesty left Grand Ziming Palace already? response:	Your Highness, His Majesty left an hour ago.
context: As long as I am the Ghost Lord...\I do not want to see...\a war like the one 70,000 years ago in which hundreds of thousands died.\- But, Your Majesty- - No more discussion!\I will gather the troops and head out today.\- I accept your command. - I accept your command.\Has His Majesty left Grand Ziming Palace already?\Your Highness, His Majesty left an hour ago. response:	- You may go. - Yes.
context: I do not want to see...\a war like the one 70,000 years ago in which hundreds of thousands died.\- But, Your Majesty- - No more discussion!\I will gather the troops and head out today.\- I accept your command. - I accept your command.\Has His Majesty left Grand Ziming Palace already?\Your Highness, His Majesty left an hour ago.\- You may go. - Yes. response:	As long as you protect this child
context: a war like the one 70,000 years ago in which hundreds of thousands died.\- But, Your Majesty- - No more discussion!\I will gather the troops and head out today.\- I accept your command. - I accept your command.\Has His Majesty left Grand Ziming Palace already?\Your Highness, His Majesty left an hour ago.\- You may go. - Yes.\As long as you protect this child response:	I certainly will not forget your devotion.
context: - But, Your Majesty- - No more discussion!\I will gather the troops and head out today.\- I accept your command. - I accept your command.\Has His Majesty left Grand Ziming Palace already?\Your Highness, His Majesty left an hour ago.\- You may go. - Yes.\As long as you protect this child\I certainly will not forget your devotion. response:	I absolutely cannot lie to His Majesty.
context: I will gather the troops and head out today.\- I accept your command. - I accept your command.\Has His Majesty left Grand Ziming Palace already?\Your Highness, His Majesty left an hour ago.\- You may go. - Yes.\As long as you protect this child\I certainly will not forget your devotion.\I absolutely cannot lie to His Majesty. response:	Please... Please forgive me, Your Highness.
context: - I accept your command. - I accept your command.\Has His Majesty left Grand Ziming Palace already?\Your Highness, His Majesty left an hour ago.\- You may go. - Yes.\As long as you protect this child\I certainly will not forget your devotion.\I absolutely cannot lie to His Majesty.\Please... Please forgive me, Your Highness. response:	You must allow me to be able to give birth to this child.
context: Has His Majesty left Grand Ziming Palace already?\Your Highness, His Majesty left an hour ago.\- You may go. - Yes.\As long as you protect this child\I certainly will not forget your devotion.\I absolutely cannot lie to His Majesty.\Please... Please forgive me, Your Highness.\You must allow me to be able to give birth to this child. response:	Your Highness, that is an act that defies nature.
