context: Holy cow! A seminar on how to become a princess?! response:	That's practically like a seminar made just for me!
context: Miss, if you have business here,\please come in through the front gate.\Um, well, uh, that is...\May I help you?\Well, I want to attend the Princess Seminar, too,\is sort of what I was thinking...\I am sorry, but you must have an introduction from a member.\Introduction... Well, I was introduced to this by her! response:	I do not think we can accept an introduction from a cat.
context: please come in through the front gate.\Um, well, uh, that is...\May I help you?\Well, I want to attend the Princess Seminar, too,\is sort of what I was thinking...\I am sorry, but you must have an introduction from a member.\Introduction... Well, I was introduced to this by her!\I do not think we can accept an introduction from a cat. response:	You are a funny young lady.
context: Um, well, uh, that is...\May I help you?\Well, I want to attend the Princess Seminar, too,\is sort of what I was thinking...\I am sorry, but you must have an introduction from a member.\Introduction... Well, I was introduced to this by her!\I do not think we can accept an introduction from a cat.\You are a funny young lady. response:	Why not? Even if it is through an introduction from a cat.
context: May I help you?\Well, I want to attend the Princess Seminar, too,\is sort of what I was thinking...\I am sorry, but you must have an introduction from a member.\Introduction... Well, I was introduced to this by her!\I do not think we can accept an introduction from a cat.\You are a funny young lady.\Why not? Even if it is through an introduction from a cat. response:	But...
context: Well, I want to attend the Princess Seminar, too,\is sort of what I was thinking...\I am sorry, but you must have an introduction from a member.\Introduction... Well, I was introduced to this by her!\I do not think we can accept an introduction from a cat.\You are a funny young lady.\Why not? Even if it is through an introduction from a cat.\But... response:	You talk sense! But...
context: is sort of what I was thinking...\I am sorry, but you must have an introduction from a member.\Introduction... Well, I was introduced to this by her!\I do not think we can accept an introduction from a cat.\You are a funny young lady.\Why not? Even if it is through an introduction from a cat.\But...\You talk sense! But... response:	You talk sense!
context: I am sorry, but you must have an introduction from a member.\Introduction... Well, I was introduced to this by her!\I do not think we can accept an introduction from a cat.\You are a funny young lady.\Why not? Even if it is through an introduction from a cat.\But...\You talk sense! But...\You talk sense! response:	It would be fun to have at least one unique person.
context: Introduction... Well, I was introduced to this by her!\I do not think we can accept an introduction from a cat.\You are a funny young lady.\Why not? Even if it is through an introduction from a cat.\But...\You talk sense! But...\You talk sense!\It would be fun to have at least one unique person. response:	However, I have one condition.
context: I do not think we can accept an introduction from a cat.\You are a funny young lady.\Why not? Even if it is through an introduction from a cat.\But...\You talk sense! But...\You talk sense!\It would be fun to have at least one unique person.\However, I have one condition. response:	Condition? But I'm no good at
context: You are a funny young lady.\Why not? Even if it is through an introduction from a cat.\But...\You talk sense! But...\You talk sense!\It would be fun to have at least one unique person.\However, I have one condition.\Condition? But I'm no good at response:	tea ceremonies, flower arrangements, cooking,
context: Why not? Even if it is through an introduction from a cat.\But...\You talk sense! But...\You talk sense!\It would be fun to have at least one unique person.\However, I have one condition.\Condition? But I'm no good at\tea ceremonies, flower arrangements, cooking, response:	sewing, cleaning and even dressing in a kimono.
context: But...\You talk sense! But...\You talk sense!\It would be fun to have at least one unique person.\However, I have one condition.\Condition? But I'm no good at\tea ceremonies, flower arrangements, cooking,\sewing, cleaning and even dressing in a kimono. response:	On the top of that, I'm not good at school, either! So...
context: You talk sense! But...\You talk sense!\It would be fun to have at least one unique person.\However, I have one condition.\Condition? But I'm no good at\tea ceremonies, flower arrangements, cooking,\sewing, cleaning and even dressing in a kimono.\On the top of that, I'm not good at school, either! So... response:	It is quite impressive when there is so much you cannot do.
context: You talk sense!\It would be fun to have at least one unique person.\However, I have one condition.\Condition? But I'm no good at\tea ceremonies, flower arrangements, cooking,\sewing, cleaning and even dressing in a kimono.\On the top of that, I'm not good at school, either! So...\It is quite impressive when there is so much you cannot do. response:	Edward, if you please.
context: It would be fun to have at least one unique person.\However, I have one condition.\Condition? But I'm no good at\tea ceremonies, flower arrangements, cooking,\sewing, cleaning and even dressing in a kimono.\On the top of that, I'm not good at school, either! So...\It is quite impressive when there is so much you cannot do.\Edward, if you please. response:	Yes, Ma'am.
context: However, I have one condition.\Condition? But I'm no good at\tea ceremonies, flower arrangements, cooking,\sewing, cleaning and even dressing in a kimono.\On the top of that, I'm not good at school, either! So...\It is quite impressive when there is so much you cannot do.\Edward, if you please.\Yes, Ma'am. response:	Here you are.
context: Condition? But I'm no good at\tea ceremonies, flower arrangements, cooking,\sewing, cleaning and even dressing in a kimono.\On the top of that, I'm not good at school, either! So...\It is quite impressive when there is so much you cannot do.\Edward, if you please.\Yes, Ma'am.\Here you are. response:	The Countess's hobby is throwing a frisbee around.
context: tea ceremonies, flower arrangements, cooking,\sewing, cleaning and even dressing in a kimono.\On the top of that, I'm not good at school, either! So...\It is quite impressive when there is so much you cannot do.\Edward, if you please.\Yes, Ma'am.\Here you are.\The Countess's hobby is throwing a frisbee around. response:	So, anyone who wants to take the Princess Seminar
context: sewing, cleaning and even dressing in a kimono.\On the top of that, I'm not good at school, either! So...\It is quite impressive when there is so much you cannot do.\Edward, if you please.\Yes, Ma'am.\Here you are.\The Countess's hobby is throwing a frisbee around.\So, anyone who wants to take the Princess Seminar response:	must be good with one.
context: On the top of that, I'm not good at school, either! So...\It is quite impressive when there is so much you cannot do.\Edward, if you please.\Yes, Ma'am.\Here you are.\The Countess's hobby is throwing a frisbee around.\So, anyone who wants to take the Princess Seminar\must be good with one. response:	Yes! I'm really good with these things!
context: It is quite impressive when there is so much you cannot do.\Edward, if you please.\Yes, Ma'am.\Here you are.\The Countess's hobby is throwing a frisbee around.\So, anyone who wants to take the Princess Seminar\must be good with one.\Yes! I'm really good with these things! response:	Here it goes!
context: Edward, if you please.\Yes, Ma'am.\Here you are.\The Countess's hobby is throwing a frisbee around.\So, anyone who wants to take the Princess Seminar\must be good with one.\Yes! I'm really good with these things!\Here it goes! response:	Oh, my.
context: Yes, Ma'am.\Here you are.\The Countess's hobby is throwing a frisbee around.\So, anyone who wants to take the Princess Seminar\must be good with one.\Yes! I'm really good with these things!\Here it goes!\Oh, my. response:	Oh, my!
context: Here you are.\The Countess's hobby is throwing a frisbee around.\So, anyone who wants to take the Princess Seminar\must be good with one.\Yes! I'm really good with these things!\Here it goes!\Oh, my.\Oh, my! response:	Good!
context: The Countess's hobby is throwing a frisbee around.\So, anyone who wants to take the Princess Seminar\must be good with one.\Yes! I'm really good with these things!\Here it goes!\Oh, my.\Oh, my!\Good! response:	That was brilliant! Please join the Princess Seminar.
context: So, anyone who wants to take the Princess Seminar\must be good with one.\Yes! I'm really good with these things!\Here it goes!\Oh, my.\Oh, my!\Good!\That was brilliant! Please join the Princess Seminar. response:	I did it!
context: must be good with one.\Yes! I'm really good with these things!\Here it goes!\Oh, my.\Oh, my!\Good!\That was brilliant! Please join the Princess Seminar.\I did it! response:	Wow, so Usagi went to Rose Mansion
context: Yes! I'm really good with these things!\Here it goes!\Oh, my.\Oh, my!\Good!\That was brilliant! Please join the Princess Seminar.\I did it!\Wow, so Usagi went to Rose Mansion response:	in order to become a princess.
context: Here it goes!\Oh, my.\Oh, my!\Good!\That was brilliant! Please join the Princess Seminar.\I did it!\Wow, so Usagi went to Rose Mansion\in order to become a princess. response:	She'll come running back soon enough.
context: Oh, my.\Oh, my!\Good!\That was brilliant! Please join the Princess Seminar.\I did it!\Wow, so Usagi went to Rose Mansion\in order to become a princess.\She'll come running back soon enough. response:	But I admire her for actively trying to become a princess.
context: Oh, my!\Good!\That was brilliant! Please join the Princess Seminar.\I did it!\Wow, so Usagi went to Rose Mansion\in order to become a princess.\She'll come running back soon enough.\But I admire her for actively trying to become a princess. response:	I just hope she turns into a proper princess.
context: Good!\That was brilliant! Please join the Princess Seminar.\I did it!\Wow, so Usagi went to Rose Mansion\in order to become a princess.\She'll come running back soon enough.\But I admire her for actively trying to become a princess.\I just hope she turns into a proper princess. response:	But what does it mean to be a proper princess?
context: That was brilliant! Please join the Princess Seminar.\I did it!\Wow, so Usagi went to Rose Mansion\in order to become a princess.\She'll come running back soon enough.\But I admire her for actively trying to become a princess.\I just hope she turns into a proper princess.\But what does it mean to be a proper princess? response:	Huh?
context: I did it!\Wow, so Usagi went to Rose Mansion\in order to become a princess.\She'll come running back soon enough.\But I admire her for actively trying to become a princess.\I just hope she turns into a proper princess.\But what does it mean to be a proper princess?\Huh? response:	Can't Usagi just stay the way she is right now?
context: Wow, so Usagi went to Rose Mansion\in order to become a princess.\She'll come running back soon enough.\But I admire her for actively trying to become a princess.\I just hope she turns into a proper princess.\But what does it mean to be a proper princess?\Huh?\Can't Usagi just stay the way she is right now? response:	Of course not!
context: in order to become a princess.\She'll come running back soon enough.\But I admire her for actively trying to become a princess.\I just hope she turns into a proper princess.\But what does it mean to be a proper princess?\Huh?\Can't Usagi just stay the way she is right now?\Of course not! response:	She has to be recognizable as a princess
context: She'll come running back soon enough.\But I admire her for actively trying to become a princess.\I just hope she turns into a proper princess.\But what does it mean to be a proper princess?\Huh?\Can't Usagi just stay the way she is right now?\Of course not!\She has to be recognizable as a princess response:	no matter who looks at her!
context: But I admire her for actively trying to become a princess.\I just hope she turns into a proper princess.\But what does it mean to be a proper princess?\Huh?\Can't Usagi just stay the way she is right now?\Of course not!\She has to be recognizable as a princess\no matter who looks at her! response:	Why's that?
context: I just hope she turns into a proper princess.\But what does it mean to be a proper princess?\Huh?\Can't Usagi just stay the way she is right now?\Of course not!\She has to be recognizable as a princess\no matter who looks at her!\Why's that? response:	Listen, unless she becomes a proper princess,
context: But what does it mean to be a proper princess?\Huh?\Can't Usagi just stay the way she is right now?\Of course not!\She has to be recognizable as a princess\no matter who looks at her!\Why's that?\Listen, unless she becomes a proper princess, response:	the Silver Crystal won't activate its true powers!
context: Huh?\Can't Usagi just stay the way she is right now?\Of course not!\She has to be recognizable as a princess\no matter who looks at her!\Why's that?\Listen, unless she becomes a proper princess,\the Silver Crystal won't activate its true powers! response:	Say, why don't we keep Usagi company?
context: Can't Usagi just stay the way she is right now?\Of course not!\She has to be recognizable as a princess\no matter who looks at her!\Why's that?\Listen, unless she becomes a proper princess,\the Silver Crystal won't activate its true powers!\Say, why don't we keep Usagi company? response:	Good idea!
context: Of course not!\She has to be recognizable as a princess\no matter who looks at her!\Why's that?\Listen, unless she becomes a proper princess,\the Silver Crystal won't activate its true powers!\Say, why don't we keep Usagi company?\Good idea! response:	They are such impulsive girls.
context: She has to be recognizable as a princess\no matter who looks at her!\Why's that?\Listen, unless she becomes a proper princess,\the Silver Crystal won't activate its true powers!\Say, why don't we keep Usagi company?\Good idea!\They are such impulsive girls. response:	Here, it is! Okay!
context: no matter who looks at her!\Why's that?\Listen, unless she becomes a proper princess,\the Silver Crystal won't activate its true powers!\Say, why don't we keep Usagi company?\Good idea!\They are such impulsive girls.\Here, it is! Okay! response:	Oh, pardon me.
context: Why's that?\Listen, unless she becomes a proper princess,\the Silver Crystal won't activate its true powers!\Say, why don't we keep Usagi company?\Good idea!\They are such impulsive girls.\Here, it is! Okay!\Oh, pardon me. response:	Oh, you are so good.
context: Listen, unless she becomes a proper princess,\the Silver Crystal won't activate its true powers!\Say, why don't we keep Usagi company?\Good idea!\They are such impulsive girls.\Here, it is! Okay!\Oh, pardon me.\Oh, you are so good. response:	Everyone's so refined.
context: the Silver Crystal won't activate its true powers!\Say, why don't we keep Usagi company?\Good idea!\They are such impulsive girls.\Here, it is! Okay!\Oh, pardon me.\Oh, you are so good.\Everyone's so refined. response:	Here!
context: Say, why don't we keep Usagi company?\Good idea!\They are such impulsive girls.\Here, it is! Okay!\Oh, pardon me.\Oh, you are so good.\Everyone's so refined.\Here! response:	If doing this can turn me into a princess, it's a piece of cake!
context: Good idea!\They are such impulsive girls.\Here, it is! Okay!\Oh, pardon me.\Oh, you are so good.\Everyone's so refined.\Here!\If doing this can turn me into a princess, it's a piece of cake! response:	Is this what you wanted,
context: They are such impulsive girls.\Here, it is! Okay!\Oh, pardon me.\Oh, you are so good.\Everyone's so refined.\Here!\If doing this can turn me into a princess, it's a piece of cake!\Is this what you wanted, response:	Master Kunzite?
context: Here, it is! Okay!\Oh, pardon me.\Oh, you are so good.\Everyone's so refined.\Here!\If doing this can turn me into a princess, it's a piece of cake!\Is this what you wanted,\Master Kunzite? response:	Sailor Moon's specialty, Moon Tiara Action,
context: Oh, pardon me.\Oh, you are so good.\Everyone's so refined.\Here!\If doing this can turn me into a princess, it's a piece of cake!\Is this what you wanted,\Master Kunzite?\Sailor Moon's specialty, Moon Tiara Action, response:	is similar to that game.
context: Oh, you are so good.\Everyone's so refined.\Here!\If doing this can turn me into a princess, it's a piece of cake!\Is this what you wanted,\Master Kunzite?\Sailor Moon's specialty, Moon Tiara Action,\is similar to that game. response:	And she is a certified klutz.
context: Everyone's so refined.\Here!\If doing this can turn me into a princess, it's a piece of cake!\Is this what you wanted,\Master Kunzite?\Sailor Moon's specialty, Moon Tiara Action,\is similar to that game.\And she is a certified klutz. response:	In other words, the girl who is good at that game,
context: Here!\If doing this can turn me into a princess, it's a piece of cake!\Is this what you wanted,\Master Kunzite?\Sailor Moon's specialty, Moon Tiara Action,\is similar to that game.\And she is a certified klutz.\In other words, the girl who is good at that game, response:	but too clumsy to graduate from the Princess Seminar
context: If doing this can turn me into a princess, it's a piece of cake!\Is this what you wanted,\Master Kunzite?\Sailor Moon's specialty, Moon Tiara Action,\is similar to that game.\And she is a certified klutz.\In other words, the girl who is good at that game,\but too clumsy to graduate from the Princess Seminar response:	is Sailor Moon, correct?
context: Is this what you wanted,\Master Kunzite?\Sailor Moon's specialty, Moon Tiara Action,\is similar to that game.\And she is a certified klutz.\In other words, the girl who is good at that game,\but too clumsy to graduate from the Princess Seminar\is Sailor Moon, correct? response:	But will such a Sailor Moon
context: Master Kunzite?\Sailor Moon's specialty, Moon Tiara Action,\is similar to that game.\And she is a certified klutz.\In other words, the girl who is good at that game,\but too clumsy to graduate from the Princess Seminar\is Sailor Moon, correct?\But will such a Sailor Moon response:	actually fall for our trap, I wonder?
context: Sailor Moon's specialty, Moon Tiara Action,\is similar to that game.\And she is a certified klutz.\In other words, the girl who is good at that game,\but too clumsy to graduate from the Princess Seminar\is Sailor Moon, correct?\But will such a Sailor Moon\actually fall for our trap, I wonder? response:	She will. That is exactly the kind of person Sailor Moon is.
context: is similar to that game.\And she is a certified klutz.\In other words, the girl who is good at that game,\but too clumsy to graduate from the Princess Seminar\is Sailor Moon, correct?\But will such a Sailor Moon\actually fall for our trap, I wonder?\She will. That is exactly the kind of person Sailor Moon is. response:	Here!
context: And she is a certified klutz.\In other words, the girl who is good at that game,\but too clumsy to graduate from the Princess Seminar\is Sailor Moon, correct?\But will such a Sailor Moon\actually fall for our trap, I wonder?\She will. That is exactly the kind of person Sailor Moon is.\Here! response:	This dress is so tight!
context: In other words, the girl who is good at that game,\but too clumsy to graduate from the Princess Seminar\is Sailor Moon, correct?\But will such a Sailor Moon\actually fall for our trap, I wonder?\She will. That is exactly the kind of person Sailor Moon is.\Here!\This dress is so tight! response:	I've gotta admire them.
context: but too clumsy to graduate from the Princess Seminar\is Sailor Moon, correct?\But will such a Sailor Moon\actually fall for our trap, I wonder?\She will. That is exactly the kind of person Sailor Moon is.\Here!\This dress is so tight!\I've gotta admire them. response:	Yes!
context: is Sailor Moon, correct?\But will such a Sailor Moon\actually fall for our trap, I wonder?\She will. That is exactly the kind of person Sailor Moon is.\Here!\This dress is so tight!\I've gotta admire them.\Yes! response:	Now, ladies, let us all eat.
context: But will such a Sailor Moon\actually fall for our trap, I wonder?\She will. That is exactly the kind of person Sailor Moon is.\Here!\This dress is so tight!\I've gotta admire them.\Yes!\Now, ladies, let us all eat. response:	I'm so hungry!
context: actually fall for our trap, I wonder?\She will. That is exactly the kind of person Sailor Moon is.\Here!\This dress is so tight!\I've gotta admire them.\Yes!\Now, ladies, let us all eat.\I'm so hungry! response:	No, you must not slurp.
context: She will. That is exactly the kind of person Sailor Moon is.\Here!\This dress is so tight!\I've gotta admire them.\Yes!\Now, ladies, let us all eat.\I'm so hungry!\No, you must not slurp. response:	Oh, okay.
context: Here!\This dress is so tight!\I've gotta admire them.\Yes!\Now, ladies, let us all eat.\I'm so hungry!\No, you must not slurp.\Oh, okay. response:	No! Try one more time!
context: This dress is so tight!\I've gotta admire them.\Yes!\Now, ladies, let us all eat.\I'm so hungry!\No, you must not slurp.\Oh, okay.\No! Try one more time! response:	Again! Without slurping!
context: I've gotta admire them.\Yes!\Now, ladies, let us all eat.\I'm so hungry!\No, you must not slurp.\Oh, okay.\No! Try one more time!\Again! Without slurping! response:	I didn't know eating would be this hard!
context: Yes!\Now, ladies, let us all eat.\I'm so hungry!\No, you must not slurp.\Oh, okay.\No! Try one more time!\Again! Without slurping!\I didn't know eating would be this hard! response:	A princess's speech is more important than anything else.
context: Now, ladies, let us all eat.\I'm so hungry!\No, you must not slurp.\Oh, okay.\No! Try one more time!\Again! Without slurping!\I didn't know eating would be this hard!\A princess's speech is more important than anything else. response:	In particular, speaking formally is extremely important.
context: I'm so hungry!\No, you must not slurp.\Oh, okay.\No! Try one more time!\Again! Without slurping!\I didn't know eating would be this hard!\A princess's speech is more important than anything else.\In particular, speaking formally is extremely important. response:	Let us make sure to speak elegantly, courteously,
context: No, you must not slurp.\Oh, okay.\No! Try one more time!\Again! Without slurping!\I didn't know eating would be this hard!\A princess's speech is more important than anything else.\In particular, speaking formally is extremely important.\Let us make sure to speak elegantly, courteously, response:	appropriately and with refinement.
context: Oh, okay.\No! Try one more time!\Again! Without slurping!\I didn't know eating would be this hard!\A princess's speech is more important than anything else.\In particular, speaking formally is extremely important.\Let us make sure to speak elegantly, courteously,\appropriately and with refinement. response:	Then, let me ask somebody to demonstrate.
context: No! Try one more time!\Again! Without slurping!\I didn't know eating would be this hard!\A princess's speech is more important than anything else.\In particular, speaking formally is extremely important.\Let us make sure to speak elegantly, courteously,\appropriately and with refinement.\Then, let me ask somebody to demonstrate. response:	This is the same as school. Then, let me ask somebody to demonstrate.
context: Again! Without slurping!\I didn't know eating would be this hard!\A princess's speech is more important than anything else.\In particular, speaking formally is extremely important.\Let us make sure to speak elegantly, courteously,\appropriately and with refinement.\Then, let me ask somebody to demonstrate.\This is the same as school. Then, let me ask somebody to demonstrate. response:	This is the same as school. How about you, Miss?
context: I didn't know eating would be this hard!\A princess's speech is more important than anything else.\In particular, speaking formally is extremely important.\Let us make sure to speak elegantly, courteously,\appropriately and with refinement.\Then, let me ask somebody to demonstrate.\This is the same as school. Then, let me ask somebody to demonstrate.\This is the same as school. How about you, Miss? response:	How about you, Miss?
context: A princess's speech is more important than anything else.\In particular, speaking formally is extremely important.\Let us make sure to speak elegantly, courteously,\appropriately and with refinement.\Then, let me ask somebody to demonstrate.\This is the same as school. Then, let me ask somebody to demonstrate.\This is the same as school. How about you, Miss?\How about you, Miss? response:	Yes?!
context: In particular, speaking formally is extremely important.\Let us make sure to speak elegantly, courteously,\appropriately and with refinement.\Then, let me ask somebody to demonstrate.\This is the same as school. Then, let me ask somebody to demonstrate.\This is the same as school. How about you, Miss?\How about you, Miss?\Yes?! response:	What do you say when you offer coffee to your guest?
context: Let us make sure to speak elegantly, courteously,\appropriately and with refinement.\Then, let me ask somebody to demonstrate.\This is the same as school. Then, let me ask somebody to demonstrate.\This is the same as school. How about you, Miss?\How about you, Miss?\Yes?!\What do you say when you offer coffee to your guest? response:	What? Well, um, that is...
context: appropriately and with refinement.\Then, let me ask somebody to demonstrate.\This is the same as school. Then, let me ask somebody to demonstrate.\This is the same as school. How about you, Miss?\How about you, Miss?\Yes?!\What do you say when you offer coffee to your guest?\What? Well, um, that is... response:	Would you please care to have some coffee, if you would...
context: Then, let me ask somebody to demonstrate.\This is the same as school. Then, let me ask somebody to demonstrate.\This is the same as school. How about you, Miss?\How about you, Miss?\Yes?!\What do you say when you offer coffee to your guest?\What? Well, um, that is...\Would you please care to have some coffee, if you would... response:	please... if you will?
context: This is the same as school. Then, let me ask somebody to demonstrate.\This is the same as school. How about you, Miss?\How about you, Miss?\Yes?!\What do you say when you offer coffee to your guest?\What? Well, um, that is...\Would you please care to have some coffee, if you would...\please... if you will? response:	You do not need to add such frills to your speech.
context: This is the same as school. How about you, Miss?\How about you, Miss?\Yes?!\What do you say when you offer coffee to your guest?\What? Well, um, that is...\Would you please care to have some coffee, if you would...\please... if you will?\You do not need to add such frills to your speech. response:	In this case, Please, have some coffee, would do fine.
context: How about you, Miss?\Yes?!\What do you say when you offer coffee to your guest?\What? Well, um, that is...\Would you please care to have some coffee, if you would...\please... if you will?\You do not need to add such frills to your speech.\In this case, Please, have some coffee, would do fine. response:	How would I know?!
context: Yes?!\What do you say when you offer coffee to your guest?\What? Well, um, that is...\Would you please care to have some coffee, if you would...\please... if you will?\You do not need to add such frills to your speech.\In this case, Please, have some coffee, would do fine.\How would I know?! response:	Gracefully. Gracefully, now. Un, deux, trios.
context: What do you say when you offer coffee to your guest?\What? Well, um, that is...\Would you please care to have some coffee, if you would...\please... if you will?\You do not need to add such frills to your speech.\In this case, Please, have some coffee, would do fine.\How would I know?!\Gracefully. Gracefully, now. Un, deux, trios. response:	In synch with the music, now. In synch.
context: What? Well, um, that is...\Would you please care to have some coffee, if you would...\please... if you will?\You do not need to add such frills to your speech.\In this case, Please, have some coffee, would do fine.\How would I know?!\Gracefully. Gracefully, now. Un, deux, trios.\In synch with the music, now. In synch. response:	This will be the last class for the Princess Seminar.
context: Would you please care to have some coffee, if you would...\please... if you will?\You do not need to add such frills to your speech.\In this case, Please, have some coffee, would do fine.\How would I know?!\Gracefully. Gracefully, now. Un, deux, trios.\In synch with the music, now. In synch.\This will be the last class for the Princess Seminar. response:	If I pat you on your shoulder, you have graduated.
context: please... if you will?\You do not need to add such frills to your speech.\In this case, Please, have some coffee, would do fine.\How would I know?!\Gracefully. Gracefully, now. Un, deux, trios.\In synch with the music, now. In synch.\This will be the last class for the Princess Seminar.\If I pat you on your shoulder, you have graduated. response:	You're on my foot!
context: You do not need to add such frills to your speech.\In this case, Please, have some coffee, would do fine.\How would I know?!\Gracefully. Gracefully, now. Un, deux, trios.\In synch with the music, now. In synch.\This will be the last class for the Princess Seminar.\If I pat you on your shoulder, you have graduated.\You're on my foot! response:	Oops, sorry!
context: In this case, Please, have some coffee, would do fine.\How would I know?!\Gracefully. Gracefully, now. Un, deux, trios.\In synch with the music, now. In synch.\This will be the last class for the Princess Seminar.\If I pat you on your shoulder, you have graduated.\You're on my foot!\Oops, sorry! response:	Oh, this is Hell!
context: How would I know?!\Gracefully. Gracefully, now. Un, deux, trios.\In synch with the music, now. In synch.\This will be the last class for the Princess Seminar.\If I pat you on your shoulder, you have graduated.\You're on my foot!\Oops, sorry!\Oh, this is Hell! response:	You certainly never change.
context: Gracefully. Gracefully, now. Un, deux, trios.\In synch with the music, now. In synch.\This will be the last class for the Princess Seminar.\If I pat you on your shoulder, you have graduated.\You're on my foot!\Oops, sorry!\Oh, this is Hell!\You certainly never change. response:	You're all here?!
context: In synch with the music, now. In synch.\This will be the last class for the Princess Seminar.\If I pat you on your shoulder, you have graduated.\You're on my foot!\Oops, sorry!\Oh, this is Hell!\You certainly never change.\You're all here?! response:	It's not fair to go off on your own like that.
context: This will be the last class for the Princess Seminar.\If I pat you on your shoulder, you have graduated.\You're on my foot!\Oops, sorry!\Oh, this is Hell!\You certainly never change.\You're all here?!\It's not fair to go off on your own like that. response:	That's right. It's not fair to go off on your own like that.
context: If I pat you on your shoulder, you have graduated.\You're on my foot!\Oops, sorry!\Oh, this is Hell!\You certainly never change.\You're all here?!\It's not fair to go off on your own like that.\That's right. It's not fair to go off on your own like that. response:	We're here to keep you company.
context: You're on my foot!\Oops, sorry!\Oh, this is Hell!\You certainly never change.\You're all here?!\It's not fair to go off on your own like that.\That's right. It's not fair to go off on your own like that.\We're here to keep you company. response:	Well, I guess everyone has at least one good point.
context: Oops, sorry!\Oh, this is Hell!\You certainly never change.\You're all here?!\It's not fair to go off on your own like that.\That's right. It's not fair to go off on your own like that.\We're here to keep you company.\Well, I guess everyone has at least one good point. response:	Everybody has something they're not good at.
context: Oh, this is Hell!\You certainly never change.\You're all here?!\It's not fair to go off on your own like that.\That's right. It's not fair to go off on your own like that.\We're here to keep you company.\Well, I guess everyone has at least one good point.\Everybody has something they're not good at. response:	I can do anything but dance.
context: You certainly never change.\You're all here?!\It's not fair to go off on your own like that.\That's right. It's not fair to go off on your own like that.\We're here to keep you company.\Well, I guess everyone has at least one good point.\Everybody has something they're not good at.\I can do anything but dance. response:	I'm not good at doing anything.
context: You're all here?!\It's not fair to go off on your own like that.\That's right. It's not fair to go off on your own like that.\We're here to keep you company.\Well, I guess everyone has at least one good point.\Everybody has something they're not good at.\I can do anything but dance.\I'm not good at doing anything. response:	Maybe I can't be a princess at this rate.
context: It's not fair to go off on your own like that.\That's right. It's not fair to go off on your own like that.\We're here to keep you company.\Well, I guess everyone has at least one good point.\Everybody has something they're not good at.\I can do anything but dance.\I'm not good at doing anything.\Maybe I can't be a princess at this rate. response:	You have passed.
context: That's right. It's not fair to go off on your own like that.\We're here to keep you company.\Well, I guess everyone has at least one good point.\Everybody has something they're not good at.\I can do anything but dance.\I'm not good at doing anything.\Maybe I can't be a princess at this rate.\You have passed. response:	You have passed.
context: We're here to keep you company.\Well, I guess everyone has at least one good point.\Everybody has something they're not good at.\I can do anything but dance.\I'm not good at doing anything.\Maybe I can't be a princess at this rate.\You have passed.\You have passed. response:	Okay.
context: Well, I guess everyone has at least one good point.\Everybody has something they're not good at.\I can do anything but dance.\I'm not good at doing anything.\Maybe I can't be a princess at this rate.\You have passed.\You have passed.\Okay. response:	All ladies who have graduated, please come to another room.
context: Everybody has something they're not good at.\I can do anything but dance.\I'm not good at doing anything.\Maybe I can't be a princess at this rate.\You have passed.\You have passed.\Okay.\All ladies who have graduated, please come to another room. response:	I shall give you your certificate of graduation.
context: I can do anything but dance.\I'm not good at doing anything.\Maybe I can't be a princess at this rate.\You have passed.\You have passed.\Okay.\All ladies who have graduated, please come to another room.\I shall give you your certificate of graduation. response:	See you.
context: I'm not good at doing anything.\Maybe I can't be a princess at this rate.\You have passed.\You have passed.\Okay.\All ladies who have graduated, please come to another room.\I shall give you your certificate of graduation.\See you. response:	We failed.
context: Maybe I can't be a princess at this rate.\You have passed.\You have passed.\Okay.\All ladies who have graduated, please come to another room.\I shall give you your certificate of graduation.\See you.\We failed. response:	This is rather eerie.
context: You have passed.\You have passed.\Okay.\All ladies who have graduated, please come to another room.\I shall give you your certificate of graduation.\See you.\We failed.\This is rather eerie. response:	It's hard to believe they're not real.
context: You have passed.\Okay.\All ladies who have graduated, please come to another room.\I shall give you your certificate of graduation.\See you.\We failed.\This is rather eerie.\It's hard to believe they're not real. response:	You are correct.
context: Okay.\All ladies who have graduated, please come to another room.\I shall give you your certificate of graduation.\See you.\We failed.\This is rather eerie.\It's hard to believe they're not real.\You are correct. response:	The wax figures here all used to be real ladies.
context: All ladies who have graduated, please come to another room.\I shall give you your certificate of graduation.\See you.\We failed.\This is rather eerie.\It's hard to believe they're not real.\You are correct.\The wax figures here all used to be real ladies. response:	What?!
context: I shall give you your certificate of graduation.\See you.\We failed.\This is rather eerie.\It's hard to believe they're not real.\You are correct.\The wax figures here all used to be real ladies.\What?! response:	A monster!
context: See you.\We failed.\This is rather eerie.\It's hard to believe they're not real.\You are correct.\The wax figures here all used to be real ladies.\What?!\A monster! response:	I am the monster, Shakoukai!
context: We failed.\This is rather eerie.\It's hard to believe they're not real.\You are correct.\The wax figures here all used to be real ladies.\What?!\A monster!\I am the monster, Shakoukai! response:	Hello. I am very pleased to meet you!
context: This is rather eerie.\It's hard to believe they're not real.\You are correct.\The wax figures here all used to be real ladies.\What?!\A monster!\I am the monster, Shakoukai!\Hello. I am very pleased to meet you! response:	Hey, did you just hear something?
context: It's hard to believe they're not real.\You are correct.\The wax figures here all used to be real ladies.\What?!\A monster!\I am the monster, Shakoukai!\Hello. I am very pleased to meet you!\Hey, did you just hear something? response:	Something must have happened to Ami and Mako.
