context: I'm Sarashina Ruka, and I'll be joining you as of today. response:	S-Seriously?
context: Anyway, forget that!\I found a great pastry cafe! How does this Saturday sound?\Dun\It me, dun\Kneel before me, Keio Boy\My first paycheck...\What do I do with it?\Save it? response:	Expand this fish tank!
context: I found a great pastry cafe! How does this Saturday sound?\Dun\It me, dun\Kneel before me, Keio Boy\My first paycheck...\What do I do with it?\Save it?\Expand this fish tank! response:	Expand this fish tank!
context: Dun\It me, dun\Kneel before me, Keio Boy\My first paycheck...\What do I do with it?\Save it?\Expand this fish tank!\Expand this fish tank! response:	Or do I spend it on an all-day thing with Mizuhara?
context: It me, dun\Kneel before me, Keio Boy\My first paycheck...\What do I do with it?\Save it?\Expand this fish tank!\Expand this fish tank!\Or do I spend it on an all-day thing with Mizuhara? response:	Light curls, a mature hairstyle
context: Kneel before me, Keio Boy\My first paycheck...\What do I do with it?\Save it?\Expand this fish tank!\Expand this fish tank!\Or do I spend it on an all-day thing with Mizuhara?\Light curls, a mature hairstyle response:	Cleavage out for a night out
context: My first paycheck...\What do I do with it?\Save it?\Expand this fish tank!\Expand this fish tank!\Or do I spend it on an all-day thing with Mizuhara?\Light curls, a mature hairstyle\Cleavage out for a night out response:	Jeez, don't stare so hard.
context: What do I do with it?\Save it?\Expand this fish tank!\Expand this fish tank!\Or do I spend it on an all-day thing with Mizuhara?\Light curls, a mature hairstyle\Cleavage out for a night out\Jeez, don't stare so hard. response:	No, no! It'll make Ruka-chan mad!
context: Save it?\Expand this fish tank!\Expand this fish tank!\Or do I spend it on an all-day thing with Mizuhara?\Light curls, a mature hairstyle\Cleavage out for a night out\Jeez, don't stare so hard.\No, no! It'll make Ruka-chan mad! response:	I need to be smart with money!
context: Expand this fish tank!\Expand this fish tank!\Or do I spend it on an all-day thing with Mizuhara?\Light curls, a mature hairstyle\Cleavage out for a night out\Jeez, don't stare so hard.\No, no! It'll make Ruka-chan mad!\I need to be smart with money! response:	Anyway, you look out for him, too.
context: Expand this fish tank!\Or do I spend it on an all-day thing with Mizuhara?\Light curls, a mature hairstyle\Cleavage out for a night out\Jeez, don't stare so hard.\No, no! It'll make Ruka-chan mad!\I need to be smart with money!\Anyway, you look out for him, too. response:	I wonder what Kuri's up to right now.
context: Or do I spend it on an all-day thing with Mizuhara?\Light curls, a mature hairstyle\Cleavage out for a night out\Jeez, don't stare so hard.\No, no! It'll make Ruka-chan mad!\I need to be smart with money!\Anyway, you look out for him, too.\I wonder what Kuri's up to right now. response:	I could take him out for drinks.
context: Light curls, a mature hairstyle\Cleavage out for a night out\Jeez, don't stare so hard.\No, no! It'll make Ruka-chan mad!\I need to be smart with money!\Anyway, you look out for him, too.\I wonder what Kuri's up to right now.\I could take him out for drinks. response:	But I guess it'd still be too awkward with just the two of us.
context: Cleavage out for a night out\Jeez, don't stare so hard.\No, no! It'll make Ruka-chan mad!\I need to be smart with money!\Anyway, you look out for him, too.\I wonder what Kuri's up to right now.\I could take him out for drinks.\But I guess it'd still be too awkward with just the two of us. response:	I did start it all by being a tryhard and showing Mizuhara off.
context: Jeez, don't stare so hard.\No, no! It'll make Ruka-chan mad!\I need to be smart with money!\Anyway, you look out for him, too.\I wonder what Kuri's up to right now.\I could take him out for drinks.\But I guess it'd still be too awkward with just the two of us.\I did start it all by being a tryhard and showing Mizuhara off. response:	Anyone would want a girlfriend after meeting one like her.
context: No, no! It'll make Ruka-chan mad!\I need to be smart with money!\Anyway, you look out for him, too.\I wonder what Kuri's up to right now.\I could take him out for drinks.\But I guess it'd still be too awkward with just the two of us.\I did start it all by being a tryhard and showing Mizuhara off.\Anyone would want a girlfriend after meeting one like her. response:	He said he was going back to the sticks to run his family's apple orchard after college...
context: I need to be smart with money!\Anyway, you look out for him, too.\I wonder what Kuri's up to right now.\I could take him out for drinks.\But I guess it'd still be too awkward with just the two of us.\I did start it all by being a tryhard and showing Mizuhara off.\Anyone would want a girlfriend after meeting one like her.\He said he was going back to the sticks to run his family's apple orchard after college... response:	What if he remains a bachelor for life because of me?!
context: Anyway, you look out for him, too.\I wonder what Kuri's up to right now.\I could take him out for drinks.\But I guess it'd still be too awkward with just the two of us.\I did start it all by being a tryhard and showing Mizuhara off.\Anyone would want a girlfriend after meeting one like her.\He said he was going back to the sticks to run his family's apple orchard after college...\What if he remains a bachelor for life because of me?! response:	Kuribayashi Shun
context: I wonder what Kuri's up to right now.\I could take him out for drinks.\But I guess it'd still be too awkward with just the two of us.\I did start it all by being a tryhard and showing Mizuhara off.\Anyone would want a girlfriend after meeting one like her.\He said he was going back to the sticks to run his family's apple orchard after college...\What if he remains a bachelor for life because of me?!\Kuribayashi Shun response:	Another year, another batch of beautiful and juicy Fuji apples! hOver the last 40 years, I've watched this orchard grow into hha treasure trove. Too bad it'll die with me, though.
context: I could take him out for drinks.\But I guess it'd still be too awkward with just the two of us.\I did start it all by being a tryhard and showing Mizuhara off.\Anyone would want a girlfriend after meeting one like her.\He said he was going back to the sticks to run his family's apple orchard after college...\What if he remains a bachelor for life because of me?!\Kuribayashi Shun\Another year, another batch of beautiful and juicy Fuji apples! hOver the last 40 years, I've watched this orchard grow into hha treasure trove. Too bad it'll die with me, though. response:	8 people cried to this
context: But I guess it'd still be too awkward with just the two of us.\I did start it all by being a tryhard and showing Mizuhara off.\Anyone would want a girlfriend after meeting one like her.\He said he was going back to the sticks to run his family's apple orchard after college...\What if he remains a bachelor for life because of me?!\Kuribayashi Shun\Another year, another batch of beautiful and juicy Fuji apples! hOver the last 40 years, I've watched this orchard grow into hha treasure trove. Too bad it'll die with me, though.\8 people cried to this response:	Too bad it'll die with me, though.
context: I did start it all by being a tryhard and showing Mizuhara off.\Anyone would want a girlfriend after meeting one like her.\He said he was going back to the sticks to run his family's apple orchard after college...\What if he remains a bachelor for life because of me?!\Kuribayashi Shun\Another year, another batch of beautiful and juicy Fuji apples! hOver the last 40 years, I've watched this orchard grow into hha treasure trove. Too bad it'll die with me, though.\8 people cried to this\Too bad it'll die with me, though. response:	K-Kill me now!
context: Anyone would want a girlfriend after meeting one like her.\He said he was going back to the sticks to run his family's apple orchard after college...\What if he remains a bachelor for life because of me?!\Kuribayashi Shun\Another year, another batch of beautiful and juicy Fuji apples! hOver the last 40 years, I've watched this orchard grow into hha treasure trove. Too bad it'll die with me, though.\8 people cried to this\Too bad it'll die with me, though.\K-Kill me now! response:	It'd probably just annoy him if a guy with a girlfriend tried to cheer him up.
context: He said he was going back to the sticks to run his family's apple orchard after college...\What if he remains a bachelor for life because of me?!\Kuribayashi Shun\Another year, another batch of beautiful and juicy Fuji apples! hOver the last 40 years, I've watched this orchard grow into hha treasure trove. Too bad it'll die with me, though.\8 people cried to this\Too bad it'll die with me, though.\K-Kill me now!\It'd probably just annoy him if a guy with a girlfriend tried to cheer him up. response:	There's nothing I can do...
context: What if he remains a bachelor for life because of me?!\Kuribayashi Shun\Another year, another batch of beautiful and juicy Fuji apples! hOver the last 40 years, I've watched this orchard grow into hha treasure trove. Too bad it'll die with me, though.\8 people cried to this\Too bad it'll die with me, though.\K-Kill me now!\It'd probably just annoy him if a guy with a girlfriend tried to cheer him up.\There's nothing I can do... response:	Wait, that's it!
context: Kuribayashi Shun\Another year, another batch of beautiful and juicy Fuji apples! hOver the last 40 years, I've watched this orchard grow into hha treasure trove. Too bad it'll die with me, though.\8 people cried to this\Too bad it'll die with me, though.\K-Kill me now!\It'd probably just annoy him if a guy with a girlfriend tried to cheer him up.\There's nothing I can do...\Wait, that's it! response:	That's a genius idea!
context: Another year, another batch of beautiful and juicy Fuji apples! hOver the last 40 years, I've watched this orchard grow into hha treasure trove. Too bad it'll die with me, though.\8 people cried to this\Too bad it'll die with me, though.\K-Kill me now!\It'd probably just annoy him if a guy with a girlfriend tried to cheer him up.\There's nothing I can do...\Wait, that's it!\That's a genius idea! response:	Yes?
context: 8 people cried to this\Too bad it'll die with me, though.\K-Kill me now!\It'd probably just annoy him if a guy with a girlfriend tried to cheer him up.\There's nothing I can do...\Wait, that's it!\That's a genius idea!\Yes? response:	It's me.
context: Too bad it'll die with me, though.\K-Kill me now!\It'd probably just annoy him if a guy with a girlfriend tried to cheer him up.\There's nothing I can do...\Wait, that's it!\That's a genius idea!\Yes?\It's me. response:	Excuse me? What do you think you're doing, ringing my intercom like it's nothing?!
context: K-Kill me now!\It'd probably just annoy him if a guy with a girlfriend tried to cheer him up.\There's nothing I can do...\Wait, that's it!\That's a genius idea!\Yes?\It's me.\Excuse me? What do you think you're doing, ringing my intercom like it's nothing?! response:	Ichinose
context: It'd probably just annoy him if a guy with a girlfriend tried to cheer him up.\There's nothing I can do...\Wait, that's it!\That's a genius idea!\Yes?\It's me.\Excuse me? What do you think you're doing, ringing my intercom like it's nothing?!\Ichinose response:	Sorry about that.
context: There's nothing I can do...\Wait, that's it!\That's a genius idea!\Yes?\It's me.\Excuse me? What do you think you're doing, ringing my intercom like it's nothing?!\Ichinose\Sorry about that. response:	But I need you to do something for me.
context: Wait, that's it!\That's a genius idea!\Yes?\It's me.\Excuse me? What do you think you're doing, ringing my intercom like it's nothing?!\Ichinose\Sorry about that.\But I need you to do something for me. response:	And what's that?
context: That's a genius idea!\Yes?\It's me.\Excuse me? What do you think you're doing, ringing my intercom like it's nothing?!\Ichinose\Sorry about that.\But I need you to do something for me.\And what's that? response:	Why should I?
context: Yes?\It's me.\Excuse me? What do you think you're doing, ringing my intercom like it's nothing?!\Ichinose\Sorry about that.\But I need you to do something for me.\And what's that?\Why should I? response:	Please, it's for a friend!
context: It's me.\Excuse me? What do you think you're doing, ringing my intercom like it's nothing?!\Ichinose\Sorry about that.\But I need you to do something for me.\And what's that?\Why should I?\Please, it's for a friend! response:	Asakusa Station
context: Excuse me? What do you think you're doing, ringing my intercom like it's nothing?!\Ichinose\Sorry about that.\But I need you to do something for me.\And what's that?\Why should I?\Please, it's for a friend!\Asakusa Station response:	Damn it.
context: Ichinose\Sorry about that.\But I need you to do something for me.\And what's that?\Why should I?\Please, it's for a friend!\Asakusa Station\Damn it. response:	That Kazuya...
context: Sorry about that.\But I need you to do something for me.\And what's that?\Why should I?\Please, it's for a friend!\Asakusa Station\Damn it.\That Kazuya... response:	Kazuya
context: But I need you to do something for me.\And what's that?\Why should I?\Please, it's for a friend!\Asakusa Station\Damn it.\That Kazuya...\Kazuya response:	Meet me Sunday @ 1 PM Asakusa Station Bring a pure hearthh
context: And what's that?\Why should I?\Please, it's for a friend!\Asakusa Station\Damn it.\That Kazuya...\Kazuya\Meet me Sunday @ 1 PM Asakusa Station Bring a pure hearthh response:	wut?
context: Why should I?\Please, it's for a friend!\Asakusa Station\Damn it.\That Kazuya...\Kazuya\Meet me Sunday @ 1 PM Asakusa Station Bring a pure hearthh\wut? response:	Show up or I'll kill you
context: Please, it's for a friend!\Asakusa Station\Damn it.\That Kazuya...\Kazuya\Meet me Sunday @ 1 PM Asakusa Station Bring a pure hearthh\wut?\Show up or I'll kill you response:	Oi
context: Asakusa Station\Damn it.\That Kazuya...\Kazuya\Meet me Sunday @ 1 PM Asakusa Station Bring a pure hearthh\wut?\Show up or I'll kill you\Oi response:	Please!
context: Damn it.\That Kazuya...\Kazuya\Meet me Sunday @ 1 PM Asakusa Station Bring a pure hearthh\wut?\Show up or I'll kill you\Oi\Please! response:	At least tell me what this is about.
context: That Kazuya...\Kazuya\Meet me Sunday @ 1 PM Asakusa Station Bring a pure hearthh\wut?\Show up or I'll kill you\Oi\Please!\At least tell me what this is about. response:	I should just leave.
context: Kazuya\Meet me Sunday @ 1 PM Asakusa Station Bring a pure hearthh\wut?\Show up or I'll kill you\Oi\Please!\At least tell me what this is about.\I should just leave. response:	How am I even supposed to face him?
context: Meet me Sunday @ 1 PM Asakusa Station Bring a pure hearthh\wut?\Show up or I'll kill you\Oi\Please!\At least tell me what this is about.\I should just leave.\How am I even supposed to face him? response:	He has no idea what I've gone through since that day!
context: wut?\Show up or I'll kill you\Oi\Please!\At least tell me what this is about.\I should just leave.\How am I even supposed to face him?\He has no idea what I've gone through since that day! response:	sob sob
context: Show up or I'll kill you\Oi\Please!\At least tell me what this is about.\I should just leave.\How am I even supposed to face him?\He has no idea what I've gone through since that day!\sob sob response:	Grah!!
context: Oi\Please!\At least tell me what this is about.\I should just leave.\How am I even supposed to face him?\He has no idea what I've gone through since that day!\sob sob\Grah!! response:	A rental girl- friend...
context: Please!\At least tell me what this is about.\I should just leave.\How am I even supposed to face him?\He has no idea what I've gone through since that day!\sob sob\Grah!!\A rental girl- friend... response:	hhh Pfft! hhh
context: At least tell me what this is about.\I should just leave.\How am I even supposed to face him?\He has no idea what I've gone through since that day!\sob sob\Grah!!\A rental girl- friend...\hhh Pfft! hhh response:	Fondle
context: I should just leave.\How am I even supposed to face him?\He has no idea what I've gone through since that day!\sob sob\Grah!!\A rental girl- friend...\hhh Pfft! hhh\Fondle response:	Superior Lifeform (Universal Truth)
context: How am I even supposed to face him?\He has no idea what I've gone through since that day!\sob sob\Grah!!\A rental girl- friend...\hhh Pfft! hhh\Fondle\Superior Lifeform (Universal Truth) response:	hhStophh hhthat,hh hKazuya-h hhsan!hh
context: He has no idea what I've gone through since that day!\sob sob\Grah!!\A rental girl- friend...\hhh Pfft! hhh\Fondle\Superior Lifeform (Universal Truth)\hhStophh hhthat,hh hKazuya-h hhsan!hh response:	Too fun- ny!
context: sob sob\Grah!!\A rental girl- friend...\hhh Pfft! hhh\Fondle\Superior Lifeform (Universal Truth)\hhStophh hhthat,hh hKazuya-h hhsan!hh\Too fun- ny! response:	The worst mental image
context: Grah!!\A rental girl- friend...\hhh Pfft! hhh\Fondle\Superior Lifeform (Universal Truth)\hhStophh hhthat,hh hKazuya-h hhsan!hh\Too fun- ny!\The worst mental image response:	Well, you sure have it good!
context: A rental girl- friend...\hhh Pfft! hhh\Fondle\Superior Lifeform (Universal Truth)\hhStophh hhthat,hh hKazuya-h hhsan!hh\Too fun- ny!\The worst mental image\Well, you sure have it good! response:	Is he drunk!?
context: hhh Pfft! hhh\Fondle\Superior Lifeform (Universal Truth)\hhStophh hhthat,hh hKazuya-h hhsan!hh\Too fun- ny!\The worst mental image\Well, you sure have it good!\Is he drunk!? response:	You've got a super hot girlfriend!
context: Fondle\Superior Lifeform (Universal Truth)\hhStophh hhthat,hh hKazuya-h hhsan!hh\Too fun- ny!\The worst mental image\Well, you sure have it good!\Is he drunk!?\You've got a super hot girlfriend! response:	You wouldn't know how it feels to rent one!
context: Superior Lifeform (Universal Truth)\hhStophh hhthat,hh hKazuya-h hhsan!hh\Too fun- ny!\The worst mental image\Well, you sure have it good!\Is he drunk!?\You've got a super hot girlfriend!\You wouldn't know how it feels to rent one! response:	Is he trying to cheer me up?
context: hhStophh hhthat,hh hKazuya-h hhsan!hh\Too fun- ny!\The worst mental image\Well, you sure have it good!\Is he drunk!?\You've got a super hot girlfriend!\You wouldn't know how it feels to rent one!\Is he trying to cheer me up? response:	Thank you for renting me the other day.
context: Too fun- ny!\The worst mental image\Well, you sure have it good!\Is he drunk!?\You've got a super hot girlfriend!\You wouldn't know how it feels to rent one!\Is he trying to cheer me up?\Thank you for renting me the other day. response:	I hate you!
context: The worst mental image\Well, you sure have it good!\Is he drunk!?\You've got a super hot girlfriend!\You wouldn't know how it feels to rent one!\Is he trying to cheer me up?\Thank you for renting me the other day.\I hate you! response:	W-Wait!
context: Well, you sure have it good!\Is he drunk!?\You've got a super hot girlfriend!\You wouldn't know how it feels to rent one!\Is he trying to cheer me up?\Thank you for renting me the other day.\I hate you!\W-Wait! response:	Misaki!
context: Is he drunk!?\You've got a super hot girlfriend!\You wouldn't know how it feels to rent one!\Is he trying to cheer me up?\Thank you for renting me the other day.\I hate you!\W-Wait!\Misaki! response:	Pathetic.
context: You've got a super hot girlfriend!\You wouldn't know how it feels to rent one!\Is he trying to cheer me up?\Thank you for renting me the other day.\I hate you!\W-Wait!\Misaki!\Pathetic. response:	I'm leaving, dude.
context: You wouldn't know how it feels to rent one!\Is he trying to cheer me up?\Thank you for renting me the other day.\I hate you!\W-Wait!\Misaki!\Pathetic.\I'm leaving, dude. response:	If I'm just gonna embarrass myself, I'm done with love!
context: Is he trying to cheer me up?\Thank you for renting me the other day.\I hate you!\W-Wait!\Misaki!\Pathetic.\I'm leaving, dude.\If I'm just gonna embarrass myself, I'm done with love! response:	Oh, there you are!
context: Thank you for renting me the other day.\I hate you!\W-Wait!\Misaki!\Pathetic.\I'm leaving, dude.\If I'm just gonna embarrass myself, I'm done with love!\Oh, there you are! response:	Thank goodness! Shun-kun, right?
context: I hate you!\W-Wait!\Misaki!\Pathetic.\I'm leaving, dude.\If I'm just gonna embarrass myself, I'm done with love!\Oh, there you are!\Thank goodness! Shun-kun, right? response:	I've never been here before, so I got lost.
context: W-Wait!\Misaki!\Pathetic.\I'm leaving, dude.\If I'm just gonna embarrass myself, I'm done with love!\Oh, there you are!\Thank goodness! Shun-kun, right?\I've never been here before, so I got lost. response:	Shall we go?
context: Misaki!\Pathetic.\I'm leaving, dude.\If I'm just gonna embarrass myself, I'm done with love!\Oh, there you are!\Thank goodness! Shun-kun, right?\I've never been here before, so I got lost.\Shall we go? response:	I've planned out our date and everything.
context: Pathetic.\I'm leaving, dude.\If I'm just gonna embarrass myself, I'm done with love!\Oh, there you are!\Thank goodness! Shun-kun, right?\I've never been here before, so I got lost.\Shall we go?\I've planned out our date and everything. response:	Uh, h-hang on! Aren't you...
context: I'm leaving, dude.\If I'm just gonna embarrass myself, I'm done with love!\Oh, there you are!\Thank goodness! Shun-kun, right?\I've never been here before, so I got lost.\Shall we go?\I've planned out our date and everything.\Uh, h-hang on! Aren't you... response:	Hello.
context: If I'm just gonna embarrass myself, I'm done with love!\Oh, there you are!\Thank goodness! Shun-kun, right?\I've never been here before, so I got lost.\Shall we go?\I've planned out our date and everything.\Uh, h-hang on! Aren't you...\Hello. response:	I'm Mizuhara Chizuru, your rental girlfriend.
context: Oh, there you are!\Thank goodness! Shun-kun, right?\I've never been here before, so I got lost.\Shall we go?\I've planned out our date and everything.\Uh, h-hang on! Aren't you...\Hello.\I'm Mizuhara Chizuru, your rental girlfriend. response:	Sweat
context: Thank goodness! Shun-kun, right?\I've never been here before, so I got lost.\Shall we go?\I've planned out our date and everything.\Uh, h-hang on! Aren't you...\Hello.\I'm Mizuhara Chizuru, your rental girlfriend.\Sweat response:	What's going on? Why's Chizuru-san here?
context: I've never been here before, so I got lost.\Shall we go?\I've planned out our date and everything.\Uh, h-hang on! Aren't you...\Hello.\I'm Mizuhara Chizuru, your rental girlfriend.\Sweat\What's going on? Why's Chizuru-san here? response:	We're going on a date? She's a rental girlfriend?!
context: Shall we go?\I've planned out our date and everything.\Uh, h-hang on! Aren't you...\Hello.\I'm Mizuhara Chizuru, your rental girlfriend.\Sweat\What's going on? Why's Chizuru-san here?\We're going on a date? She's a rental girlfriend?! response:	What is she talking about? Like I'd fall for that!
context: I've planned out our date and everything.\Uh, h-hang on! Aren't you...\Hello.\I'm Mizuhara Chizuru, your rental girlfriend.\Sweat\What's going on? Why's Chizuru-san here?\We're going on a date? She's a rental girlfriend?!\What is she talking about? Like I'd fall for that! response:	Right. Time to Google.
context: Uh, h-hang on! Aren't you...\Hello.\I'm Mizuhara Chizuru, your rental girlfriend.\Sweat\What's going on? Why's Chizuru-san here?\We're going on a date? She's a rental girlfriend?!\What is she talking about? Like I'd fall for that!\Right. Time to Google. response:	Rookie Batch
context: Hello.\I'm Mizuhara Chizuru, your rental girlfriend.\Sweat\What's going on? Why's Chizuru-san here?\We're going on a date? She's a rental girlfriend?!\What is she talking about? Like I'd fall for that!\Right. Time to Google.\Rookie Batch response:	This Month's
context: I'm Mizuhara Chizuru, your rental girlfriend.\Sweat\What's going on? Why's Chizuru-san here?\We're going on a date? She's a rental girlfriend?!\What is she talking about? Like I'd fall for that!\Right. Time to Google.\Rookie Batch\This Month's response:	Are you kidding me? What is all this?
context: Sweat\What's going on? Why's Chizuru-san here?\We're going on a date? She's a rental girlfriend?!\What is she talking about? Like I'd fall for that!\Right. Time to Google.\Rookie Batch\This Month's\Are you kidding me? What is all this? response:	Does that mean you weren't really Kazuya's girlfriend?
context: What's going on? Why's Chizuru-san here?\We're going on a date? She's a rental girlfriend?!\What is she talking about? Like I'd fall for that!\Right. Time to Google.\Rookie Batch\This Month's\Are you kidding me? What is all this?\Does that mean you weren't really Kazuya's girlfriend? response:	No answer? So I'm right?
context: We're going on a date? She's a rental girlfriend?!\What is she talking about? Like I'd fall for that!\Right. Time to Google.\Rookie Batch\This Month's\Are you kidding me? What is all this?\Does that mean you weren't really Kazuya's girlfriend?\No answer? So I'm right? response:	What... Their relationship was purely rental, just like Ruka-chan and me?
context: What is she talking about? Like I'd fall for that!\Right. Time to Google.\Rookie Batch\This Month's\Are you kidding me? What is all this?\Does that mean you weren't really Kazuya's girlfriend?\No answer? So I'm right?\What... Their relationship was purely rental, just like Ruka-chan and me? response:	Let's go, Shun-kun.
context: Right. Time to Google.\Rookie Batch\This Month's\Are you kidding me? What is all this?\Does that mean you weren't really Kazuya's girlfriend?\No answer? So I'm right?\What... Their relationship was purely rental, just like Ruka-chan and me?\Let's go, Shun-kun. response:	Get a load of that chick.
context: Rookie Batch\This Month's\Are you kidding me? What is all this?\Does that mean you weren't really Kazuya's girlfriend?\No answer? So I'm right?\What... Their relationship was purely rental, just like Ruka-chan and me?\Let's go, Shun-kun.\Get a load of that chick. response:	What a cutie!
context: This Month's\Are you kidding me? What is all this?\Does that mean you weren't really Kazuya's girlfriend?\No answer? So I'm right?\What... Their relationship was purely rental, just like Ruka-chan and me?\Let's go, Shun-kun.\Get a load of that chick.\What a cutie! response:	Is that her boyfriend?
context: Are you kidding me? What is all this?\Does that mean you weren't really Kazuya's girlfriend?\No answer? So I'm right?\What... Their relationship was purely rental, just like Ruka-chan and me?\Let's go, Shun-kun.\Get a load of that chick.\What a cutie!\Is that her boyfriend? response:	Her boyfriend's so lucky.
context: Does that mean you weren't really Kazuya's girlfriend?\No answer? So I'm right?\What... Their relationship was purely rental, just like Ruka-chan and me?\Let's go, Shun-kun.\Get a load of that chick.\What a cutie!\Is that her boyfriend?\Her boyfriend's so lucky. response:	They're holding hands!
context: No answer? So I'm right?\What... Their relationship was purely rental, just like Ruka-chan and me?\Let's go, Shun-kun.\Get a load of that chick.\What a cutie!\Is that her boyfriend?\Her boyfriend's so lucky.\They're holding hands! response:	Think he's plowed her?
context: What... Their relationship was purely rental, just like Ruka-chan and me?\Let's go, Shun-kun.\Get a load of that chick.\What a cutie!\Is that her boyfriend?\Her boyfriend's so lucky.\They're holding hands!\Think he's plowed her? response:	What the hell? What the hell is happening?
context: Let's go, Shun-kun.\Get a load of that chick.\What a cutie!\Is that her boyfriend?\Her boyfriend's so lucky.\They're holding hands!\Think he's plowed her?\What the hell? What the hell is happening? response:	Asakusa Hanayashiki
context: Get a load of that chick.\What a cutie!\Is that her boyfriend?\Her boyfriend's so lucky.\They're holding hands!\Think he's plowed her?\What the hell? What the hell is happening?\Asakusa Hanayashiki response:	Asakusa Gate
context: What a cutie!\Is that her boyfriend?\Her boyfriend's so lucky.\They're holding hands!\Think he's plowed her?\What the hell? What the hell is happening?\Asakusa Hanayashiki\Asakusa Gate response:	They even have a merry-go-round!
context: Is that her boyfriend?\Her boyfriend's so lucky.\They're holding hands!\Think he's plowed her?\What the hell? What the hell is happening?\Asakusa Hanayashiki\Asakusa Gate\They even have a merry-go-round! response:	I've wanted to come here for so long!
context: Her boyfriend's so lucky.\They're holding hands!\Think he's plowed her?\What the hell? What the hell is happening?\Asakusa Hanayashiki\Asakusa Gate\They even have a merry-go-round!\I've wanted to come here for so long! response:	Uh, the date's already in progress?
context: They're holding hands!\Think he's plowed her?\What the hell? What the hell is happening?\Asakusa Hanayashiki\Asakusa Gate\They even have a merry-go-round!\I've wanted to come here for so long!\Uh, the date's already in progress? response:	I still can't believe Chizuru-san was a rental girlfriend, though.
context: Think he's plowed her?\What the hell? What the hell is happening?\Asakusa Hanayashiki\Asakusa Gate\They even have a merry-go-round!\I've wanted to come here for so long!\Uh, the date's already in progress?\I still can't believe Chizuru-san was a rental girlfriend, though. response:	Maybe she's dating Kazuya for real?
context: What the hell? What the hell is happening?\Asakusa Hanayashiki\Asakusa Gate\They even have a merry-go-round!\I've wanted to come here for so long!\Uh, the date's already in progress?\I still can't believe Chizuru-san was a rental girlfriend, though.\Maybe she's dating Kazuya for real? response:	The way they've been acting is nothing like a rental relationship!
context: Asakusa Hanayashiki\Asakusa Gate\They even have a merry-go-round!\I've wanted to come here for so long!\Uh, the date's already in progress?\I still can't believe Chizuru-san was a rental girlfriend, though.\Maybe she's dating Kazuya for real?\The way they've been acting is nothing like a rental relationship! response:	Hell, Kazuya even jumped off a ferry for her!
context: Asakusa Gate\They even have a merry-go-round!\I've wanted to come here for so long!\Uh, the date's already in progress?\I still can't believe Chizuru-san was a rental girlfriend, though.\Maybe she's dating Kazuya for real?\The way they've been acting is nothing like a rental relationship!\Hell, Kazuya even jumped off a ferry for her! response:	We have to put these on our wrists.
context: They even have a merry-go-round!\I've wanted to come here for so long!\Uh, the date's already in progress?\I still can't believe Chizuru-san was a rental girlfriend, though.\Maybe she's dating Kazuya for real?\The way they've been acting is nothing like a rental relationship!\Hell, Kazuya even jumped off a ferry for her!\We have to put these on our wrists. response:	Also, like, what does he get out of telling me like this?
context: I've wanted to come here for so long!\Uh, the date's already in progress?\I still can't believe Chizuru-san was a rental girlfriend, though.\Maybe she's dating Kazuya for real?\The way they've been acting is nothing like a rental relationship!\Hell, Kazuya even jumped off a ferry for her!\We have to put these on our wrists.\Also, like, what does he get out of telling me like this? response:	If he couldn't keep lying to me, he could've just told me himself!
context: Uh, the date's already in progress?\I still can't believe Chizuru-san was a rental girlfriend, though.\Maybe she's dating Kazuya for real?\The way they've been acting is nothing like a rental relationship!\Hell, Kazuya even jumped off a ferry for her!\We have to put these on our wrists.\Also, like, what does he get out of telling me like this?\If he couldn't keep lying to me, he could've just told me himself! response:	Monitoring
context: I still can't believe Chizuru-san was a rental girlfriend, though.\Maybe she's dating Kazuya for real?\The way they've been acting is nothing like a rental relationship!\Hell, Kazuya even jumped off a ferry for her!\We have to put these on our wrists.\Also, like, what does he get out of telling me like this?\If he couldn't keep lying to me, he could've just told me himself!\Monitoring response:	Cackle
context: Maybe she's dating Kazuya for real?\The way they've been acting is nothing like a rental relationship!\Hell, Kazuya even jumped off a ferry for her!\We have to put these on our wrists.\Also, like, what does he get out of telling me like this?\If he couldn't keep lying to me, he could've just told me himself!\Monitoring\Cackle response:	You've been had!
context: The way they've been acting is nothing like a rental relationship!\Hell, Kazuya even jumped off a ferry for her!\We have to put these on our wrists.\Also, like, what does he get out of telling me like this?\If he couldn't keep lying to me, he could've just told me himself!\Monitoring\Cackle\You've been had! response:	Fondle
context: Hell, Kazuya even jumped off a ferry for her!\We have to put these on our wrists.\Also, like, what does he get out of telling me like this?\If he couldn't keep lying to me, he could've just told me himself!\Monitoring\Cackle\You've been had!\Fondle response:	They must be messing with me!
context: We have to put these on our wrists.\Also, like, what does he get out of telling me like this?\If he couldn't keep lying to me, he could've just told me himself!\Monitoring\Cackle\You've been had!\Fondle\They must be messing with me! response:	S-Sorry, I think I'm just gonna bounce.
context: Also, like, what does he get out of telling me like this?\If he couldn't keep lying to me, he could've just told me himself!\Monitoring\Cackle\You've been had!\Fondle\They must be messing with me!\S-Sorry, I think I'm just gonna bounce. response:	I've, uh, got something to do.
context: If he couldn't keep lying to me, he could've just told me himself!\Monitoring\Cackle\You've been had!\Fondle\They must be messing with me!\S-Sorry, I think I'm just gonna bounce.\I've, uh, got something to do. response:	There's an assignment due.
