context: Did Suna say something? response:	From: Yukika-chan Yamato-san, Thank you for your help yesterday. Thanks to you and Takeo-kun, I was able to invite Sunakawa-kun to the zoo. Thank you for listening to me.
context: I'll talk to him...\Do you look like him?\Now that I'm thinking you look like him,\Takeo-kun, I'm starting to really like gorillas!\I love her\Postcards\Th-There isn't a postcard of the bird you really liked.\It didn't seem that popular. response:	I guess there wouldn't be one.
context: Do you look like him?\Now that I'm thinking you look like him,\Takeo-kun, I'm starting to really like gorillas!\I love her\Postcards\Th-There isn't a postcard of the bird you really liked.\It didn't seem that popular.\I guess there wouldn't be one. response:	That's too bad.
context: Now that I'm thinking you look like him,\Takeo-kun, I'm starting to really like gorillas!\I love her\Postcards\Th-There isn't a postcard of the bird you really liked.\It didn't seem that popular.\I guess there wouldn't be one.\That's too bad. response:	Yeah.
context: Takeo-kun, I'm starting to really like gorillas!\I love her\Postcards\Th-There isn't a postcard of the bird you really liked.\It didn't seem that popular.\I guess there wouldn't be one.\That's too bad.\Yeah. response:	I managed to talk to him!
context: I love her\Postcards\Th-There isn't a postcard of the bird you really liked.\It didn't seem that popular.\I guess there wouldn't be one.\That's too bad.\Yeah.\I managed to talk to him! response:	All right!
context: Postcards\Th-There isn't a postcard of the bird you really liked.\It didn't seem that popular.\I guess there wouldn't be one.\That's too bad.\Yeah.\I managed to talk to him!\All right! response:	There will be a trivia competition in front of Monkey Mountain.
context: Th-There isn't a postcard of the bird you really liked.\It didn't seem that popular.\I guess there wouldn't be one.\That's too bad.\Yeah.\I managed to talk to him!\All right!\There will be a trivia competition in front of Monkey Mountain. response:	We encourage everyone to join.
context: It didn't seem that popular.\I guess there wouldn't be one.\That's too bad.\Yeah.\I managed to talk to him!\All right!\There will be a trivia competition in front of Monkey Mountain.\We encourage everyone to join. response:	What's that about?
context: I guess there wouldn't be one.\That's too bad.\Yeah.\I managed to talk to him!\All right!\There will be a trivia competition in front of Monkey Mountain.\We encourage everyone to join.\What's that about? response:	I wonder, too!
context: That's too bad.\Yeah.\I managed to talk to him!\All right!\There will be a trivia competition in front of Monkey Mountain.\We encourage everyone to join.\What's that about?\I wonder, too! response:	Would you like to go see?
context: Yeah.\I managed to talk to him!\All right!\There will be a trivia competition in front of Monkey Mountain.\We encourage everyone to join.\What's that about?\I wonder, too!\Would you like to go see? response:	Sure.
context: I managed to talk to him!\All right!\There will be a trivia competition in front of Monkey Mountain.\We encourage everyone to join.\What's that about?\I wonder, too!\Would you like to go see?\Sure. response:	We'll now begin the trivia competition.
context: All right!\There will be a trivia competition in front of Monkey Mountain.\We encourage everyone to join.\What's that about?\I wonder, too!\Would you like to go see?\Sure.\We'll now begin the trivia competition. response:	If you would like to join, please form pairs.
context: There will be a trivia competition in front of Monkey Mountain.\We encourage everyone to join.\What's that about?\I wonder, too!\Would you like to go see?\Sure.\We'll now begin the trivia competition.\If you would like to join, please form pairs. response:	Can the pairs join hands, so that we know how many there are?
context: We encourage everyone to join.\What's that about?\I wonder, too!\Would you like to go see?\Sure.\We'll now begin the trivia competition.\If you would like to join, please form pairs.\Can the pairs join hands, so that we know how many there are? response:	Crap!
context: What's that about?\I wonder, too!\Would you like to go see?\Sure.\We'll now begin the trivia competition.\If you would like to join, please form pairs.\Can the pairs join hands, so that we know how many there are?\Crap! response:	Petrified
context: I wonder, too!\Would you like to go see?\Sure.\We'll now begin the trivia competition.\If you would like to join, please form pairs.\Can the pairs join hands, so that we know how many there are?\Crap!\Petrified response:	I should have paired up with Suna!
context: Would you like to go see?\Sure.\We'll now begin the trivia competition.\If you would like to join, please form pairs.\Can the pairs join hands, so that we know how many there are?\Crap!\Petrified\I should have paired up with Suna! response:	Thirty-two pairs.
context: Sure.\We'll now begin the trivia competition.\If you would like to join, please form pairs.\Can the pairs join hands, so that we know how many there are?\Crap!\Petrified\I should have paired up with Suna!\Thirty-two pairs. response:	You can let go of each other's hand now!
context: We'll now begin the trivia competition.\If you would like to join, please form pairs.\Can the pairs join hands, so that we know how many there are?\Crap!\Petrified\I should have paired up with Suna!\Thirty-two pairs.\You can let go of each other's hand now! response:	Thank you.
context: If you would like to join, please form pairs.\Can the pairs join hands, so that we know how many there are?\Crap!\Petrified\I should have paired up with Suna!\Thirty-two pairs.\You can let go of each other's hand now!\Thank you. response:	Here's the first question, then.
context: Can the pairs join hands, so that we know how many there are?\Crap!\Petrified\I should have paired up with Suna!\Thirty-two pairs.\You can let go of each other's hand now!\Thank you.\Here's the first question, then. response:	Whoa, it's starting
context: Crap!\Petrified\I should have paired up with Suna!\Thirty-two pairs.\You can let go of each other's hand now!\Thank you.\Here's the first question, then.\Whoa, it's starting response:	The giraffe's tongue is purple
context: Petrified\I should have paired up with Suna!\Thirty-two pairs.\You can let go of each other's hand now!\Thank you.\Here's the first question, then.\Whoa, it's starting\The giraffe's tongue is purple response:	in order to absorb UV rays.
context: I should have paired up with Suna!\Thirty-two pairs.\You can let go of each other's hand now!\Thank you.\Here's the first question, then.\Whoa, it's starting\The giraffe's tongue is purple\in order to absorb UV rays. response:	True or false? Move to circle or X.
context: Thirty-two pairs.\You can let go of each other's hand now!\Thank you.\Here's the first question, then.\Whoa, it's starting\The giraffe's tongue is purple\in order to absorb UV rays.\True or false? Move to circle or X. response:	I think it's false.
context: You can let go of each other's hand now!\Thank you.\Here's the first question, then.\Whoa, it's starting\The giraffe's tongue is purple\in order to absorb UV rays.\True or false? Move to circle or X.\I think it's false. response:	It's false!
context: Thank you.\Here's the first question, then.\Whoa, it's starting\The giraffe's tongue is purple\in order to absorb UV rays.\True or false? Move to circle or X.\I think it's false.\It's false! response:	The answer is false!
context: Here's the first question, then.\Whoa, it's starting\The giraffe's tongue is purple\in order to absorb UV rays.\True or false? Move to circle or X.\I think it's false.\It's false!\The answer is false! response:	Q2: Elephants have four teeth. True or False?
context: Whoa, it's starting\The giraffe's tongue is purple\in order to absorb UV rays.\True or false? Move to circle or X.\I think it's false.\It's false!\The answer is false!\Q2: Elephants have four teeth. True or False? response:	Now for the second question...
context: The giraffe's tongue is purple\in order to absorb UV rays.\True or false? Move to circle or X.\I think it's false.\It's false!\The answer is false!\Q2: Elephants have four teeth. True or False?\Now for the second question... response:	It's true!
context: in order to absorb UV rays.\True or false? Move to circle or X.\I think it's false.\It's false!\The answer is false!\Q2: Elephants have four teeth. True or False?\Now for the second question...\It's true! response:	The third question...
context: True or false? Move to circle or X.\I think it's false.\It's false!\The answer is false!\Q2: Elephants have four teeth. True or False?\Now for the second question...\It's true!\The third question... response:	Q3: Rhinoceros horns are shed and regrown every year. True or False?
context: I think it's false.\It's false!\The answer is false!\Q2: Elephants have four teeth. True or False?\Now for the second question...\It's true!\The third question...\Q3: Rhinoceros horns are shed and regrown every year. True or False? response:	It's false!
context: It's false!\The answer is false!\Q2: Elephants have four teeth. True or False?\Now for the second question...\It's true!\The third question...\Q3: Rhinoceros horns are shed and regrown every year. True or False?\It's false! response:	The fourth question...
context: The answer is false!\Q2: Elephants have four teeth. True or False?\Now for the second question...\It's true!\The third question...\Q3: Rhinoceros horns are shed and regrown every year. True or False?\It's false!\The fourth question... response:	Q4: The Japanese serow is not in the same family as the deer. True or False?
context: Q2: Elephants have four teeth. True or False?\Now for the second question...\It's true!\The third question...\Q3: Rhinoceros horns are shed and regrown every year. True or False?\It's false!\The fourth question...\Q4: The Japanese serow is not in the same family as the deer. True or False? response:	True!
context: Now for the second question...\It's true!\The third question...\Q3: Rhinoceros horns are shed and regrown every year. True or False?\It's false!\The fourth question...\Q4: The Japanese serow is not in the same family as the deer. True or False?\True! response:	True!
context: It's true!\The third question...\Q3: Rhinoceros horns are shed and regrown every year. True or False?\It's false!\The fourth question...\Q4: The Japanese serow is not in the same family as the deer. True or False?\True!\True! response:	False!
context: The third question...\Q3: Rhinoceros horns are shed and regrown every year. True or False?\It's false!\The fourth question...\Q4: The Japanese serow is not in the same family as the deer. True or False?\True!\True!\False! response:	True!
context: Q3: Rhinoceros horns are shed and regrown every year. True or False?\It's false!\The fourth question...\Q4: The Japanese serow is not in the same family as the deer. True or False?\True!\True!\False!\True! response:	Yukika-chan's amazing.
context: It's false!\The fourth question...\Q4: The Japanese serow is not in the same family as the deer. True or False?\True!\True!\False!\True!\Yukika-chan's amazing. response:	Yeah.
context: The fourth question...\Q4: The Japanese serow is not in the same family as the deer. True or False?\True!\True!\False!\True!\Yukika-chan's amazing.\Yeah. response:	Now we only have two pairs, so here is the final question.
context: Q4: The Japanese serow is not in the same family as the deer. True or False?\True!\True!\False!\True!\Yukika-chan's amazing.\Yeah.\Now we only have two pairs, so here is the final question. response:	The first pair to answer correctly will win.
context: True!\True!\False!\True!\Yukika-chan's amazing.\Yeah.\Now we only have two pairs, so here is the final question.\The first pair to answer correctly will win. response:	Which zebra is at this zoo?
context: True!\False!\True!\Yukika-chan's amazing.\Yeah.\Now we only have two pairs, so here is the final question.\The first pair to answer correctly will win.\Which zebra is at this zoo? response:	Zebra...
context: False!\True!\Yukika-chan's amazing.\Yeah.\Now we only have two pairs, so here is the final question.\The first pair to answer correctly will win.\Which zebra is at this zoo?\Zebra... response:	Is it the mountain zebra, the plains zebra, or the Grevy's zebra?
context: True!\Yukika-chan's amazing.\Yeah.\Now we only have two pairs, so here is the final question.\The first pair to answer correctly will win.\Which zebra is at this zoo?\Zebra...\Is it the mountain zebra, the plains zebra, or the Grevy's zebra? response:	Got it!
context: Yukika-chan's amazing.\Yeah.\Now we only have two pairs, so here is the final question.\The first pair to answer correctly will win.\Which zebra is at this zoo?\Zebra...\Is it the mountain zebra, the plains zebra, or the Grevy's zebra?\Got it! response:	It's the plains zebra!
context: Yeah.\Now we only have two pairs, so here is the final question.\The first pair to answer correctly will win.\Which zebra is at this zoo?\Zebra...\Is it the mountain zebra, the plains zebra, or the Grevy's zebra?\Got it!\It's the plains zebra! response:	Correct!
context: Now we only have two pairs, so here is the final question.\The first pair to answer correctly will win.\Which zebra is at this zoo?\Zebra...\Is it the mountain zebra, the plains zebra, or the Grevy's zebra?\Got it!\It's the plains zebra!\Correct! response:	That was fast!
context: The first pair to answer correctly will win.\Which zebra is at this zoo?\Zebra...\Is it the mountain zebra, the plains zebra, or the Grevy's zebra?\Got it!\It's the plains zebra!\Correct!\That was fast! response:	Amami-san, you know a lot.
context: Which zebra is at this zoo?\Zebra...\Is it the mountain zebra, the plains zebra, or the Grevy's zebra?\Got it!\It's the plains zebra!\Correct!\That was fast!\Amami-san, you know a lot. response:	Congratulations.
context: Zebra...\Is it the mountain zebra, the plains zebra, or the Grevy's zebra?\Got it!\It's the plains zebra!\Correct!\That was fast!\Amami-san, you know a lot.\Congratulations. response:	Here's the prize, coasters.
context: Is it the mountain zebra, the plains zebra, or the Grevy's zebra?\Got it!\It's the plains zebra!\Correct!\That was fast!\Amami-san, you know a lot.\Congratulations.\Here's the prize, coasters. response:	Congrats!
context: Got it!\It's the plains zebra!\Correct!\That was fast!\Amami-san, you know a lot.\Congratulations.\Here's the prize, coasters.\Congrats! response:	You're both amazing!
context: It's the plains zebra!\Correct!\That was fast!\Amami-san, you know a lot.\Congratulations.\Here's the prize, coasters.\Congrats!\You're both amazing! response:	I didn't do anything.
context: Correct!\That was fast!\Amami-san, you know a lot.\Congratulations.\Here's the prize, coasters.\Congrats!\You're both amazing!\I didn't do anything. response:	It was Amami-san.
context: That was fast!\Amami-san, you know a lot.\Congratulations.\Here's the prize, coasters.\Congrats!\You're both amazing!\I didn't do anything.\It was Amami-san. response:	I like reading books, so...
context: Amami-san, you know a lot.\Congratulations.\Here's the prize, coasters.\Congrats!\You're both amazing!\I didn't do anything.\It was Amami-san.\I like reading books, so... response:	If there's anything to read lying around, I find myself reading...
context: Congratulations.\Here's the prize, coasters.\Congrats!\You're both amazing!\I didn't do anything.\It was Amami-san.\I like reading books, so...\If there's anything to read lying around, I find myself reading... response:	You used to read a lot in kindergarten, too.
context: Here's the prize, coasters.\Congrats!\You're both amazing!\I didn't do anything.\It was Amami-san.\I like reading books, so...\If there's anything to read lying around, I find myself reading...\You used to read a lot in kindergarten, too. response:	You, too, Sunakawa-kun! You're always reading!
context: Congrats!\You're both amazing!\I didn't do anything.\It was Amami-san.\I like reading books, so...\If there's anything to read lying around, I find myself reading...\You used to read a lot in kindergarten, too.\You, too, Sunakawa-kun! You're always reading! response:	Well... I guess I do.
context: You're both amazing!\I didn't do anything.\It was Amami-san.\I like reading books, so...\If there's anything to read lying around, I find myself reading...\You used to read a lot in kindergarten, too.\You, too, Sunakawa-kun! You're always reading!\Well... I guess I do. response:	I'll go walk Yamato home.
context: I didn't do anything.\It was Amami-san.\I like reading books, so...\If there's anything to read lying around, I find myself reading...\You used to read a lot in kindergarten, too.\You, too, Sunakawa-kun! You're always reading!\Well... I guess I do.\I'll go walk Yamato home. response:	Okay.
context: It was Amami-san.\I like reading books, so...\If there's anything to read lying around, I find myself reading...\You used to read a lot in kindergarten, too.\You, too, Sunakawa-kun! You're always reading!\Well... I guess I do.\I'll go walk Yamato home.\Okay. response:	Um, thank you for today.
context: I like reading books, so...\If there's anything to read lying around, I find myself reading...\You used to read a lot in kindergarten, too.\You, too, Sunakawa-kun! You're always reading!\Well... I guess I do.\I'll go walk Yamato home.\Okay.\Um, thank you for today. response:	Sure, it was fun. I hadn't been for a while.
context: If there's anything to read lying around, I find myself reading...\You used to read a lot in kindergarten, too.\You, too, Sunakawa-kun! You're always reading!\Well... I guess I do.\I'll go walk Yamato home.\Okay.\Um, thank you for today.\Sure, it was fun. I hadn't been for a while. response:	See you at school.
context: You used to read a lot in kindergarten, too.\You, too, Sunakawa-kun! You're always reading!\Well... I guess I do.\I'll go walk Yamato home.\Okay.\Um, thank you for today.\Sure, it was fun. I hadn't been for a while.\See you at school. response:	You talked to him!
context: You, too, Sunakawa-kun! You're always reading!\Well... I guess I do.\I'll go walk Yamato home.\Okay.\Um, thank you for today.\Sure, it was fun. I hadn't been for a while.\See you at school.\You talked to him! response:	I was all nervous for you, too
context: Well... I guess I do.\I'll go walk Yamato home.\Okay.\Um, thank you for today.\Sure, it was fun. I hadn't been for a while.\See you at school.\You talked to him!\I was all nervous for you, too response:	I'm so happy for you!
context: I'll go walk Yamato home.\Okay.\Um, thank you for today.\Sure, it was fun. I hadn't been for a while.\See you at school.\You talked to him!\I was all nervous for you, too\I'm so happy for you! response:	It was like a dream...
context: Okay.\Um, thank you for today.\Sure, it was fun. I hadn't been for a while.\See you at school.\You talked to him!\I was all nervous for you, too\I'm so happy for you!\It was like a dream... response:	Don't worry, it wasn't a dream!
context: Um, thank you for today.\Sure, it was fun. I hadn't been for a while.\See you at school.\You talked to him!\I was all nervous for you, too\I'm so happy for you!\It was like a dream...\Don't worry, it wasn't a dream! response:	It's because you summoned the courage.
context: Sure, it was fun. I hadn't been for a while.\See you at school.\You talked to him!\I was all nervous for you, too\I'm so happy for you!\It was like a dream...\Don't worry, it wasn't a dream!\It's because you summoned the courage. response:	Today was the happiest day of my life.
context: See you at school.\You talked to him!\I was all nervous for you, too\I'm so happy for you!\It was like a dream...\Don't worry, it wasn't a dream!\It's because you summoned the courage.\Today was the happiest day of my life. response:	Slime time?
context: You talked to him!\I was all nervous for you, too\I'm so happy for you!\It was like a dream...\Don't worry, it wasn't a dream!\It's because you summoned the courage.\Today was the happiest day of my life.\Slime time? response:	Prime time.
context: I was all nervous for you, too\I'm so happy for you!\It was like a dream...\Don't worry, it wasn't a dream!\It's because you summoned the courage.\Today was the happiest day of my life.\Slime time?\Prime time. response:	I talked about small things with Sunakawa-kun today.
context: I'm so happy for you!\It was like a dream...\Don't worry, it wasn't a dream!\It's because you summoned the courage.\Today was the happiest day of my life.\Slime time?\Prime time.\I talked about small things with Sunakawa-kun today. response:	It was really nothing,
context: It was like a dream...\Don't worry, it wasn't a dream!\It's because you summoned the courage.\Today was the happiest day of my life.\Slime time?\Prime time.\I talked about small things with Sunakawa-kun today.\It was really nothing, response:	but Sunakawa-kun nodded and laughed.
context: Don't worry, it wasn't a dream!\It's because you summoned the courage.\Today was the happiest day of my life.\Slime time?\Prime time.\I talked about small things with Sunakawa-kun today.\It was really nothing,\but Sunakawa-kun nodded and laughed. response:	I've always wanted to be that way with him.
context: It's because you summoned the courage.\Today was the happiest day of my life.\Slime time?\Prime time.\I talked about small things with Sunakawa-kun today.\It was really nothing,\but Sunakawa-kun nodded and laughed.\I've always wanted to be that way with him. response:	I'm glad...
context: Today was the happiest day of my life.\Slime time?\Prime time.\I talked about small things with Sunakawa-kun today.\It was really nothing,\but Sunakawa-kun nodded and laughed.\I've always wanted to be that way with him.\I'm glad... response:	See you later! Good luck at school, too.
context: Slime time?\Prime time.\I talked about small things with Sunakawa-kun today.\It was really nothing,\but Sunakawa-kun nodded and laughed.\I've always wanted to be that way with him.\I'm glad...\See you later! Good luck at school, too. response:	Talking about nothing.
context: Prime time.\I talked about small things with Sunakawa-kun today.\It was really nothing,\but Sunakawa-kun nodded and laughed.\I've always wanted to be that way with him.\I'm glad...\See you later! Good luck at school, too.\Talking about nothing. response:	Nodding and listening to you,
context: I talked about small things with Sunakawa-kun today.\It was really nothing,\but Sunakawa-kun nodded and laughed.\I've always wanted to be that way with him.\I'm glad...\See you later! Good luck at school, too.\Talking about nothing.\Nodding and listening to you, response:	smiling at what you said.
context: It was really nothing,\but Sunakawa-kun nodded and laughed.\I've always wanted to be that way with him.\I'm glad...\See you later! Good luck at school, too.\Talking about nothing.\Nodding and listening to you,\smiling at what you said. response:	She's right... That might be the happiest thing ever.
context: but Sunakawa-kun nodded and laughed.\I've always wanted to be that way with him.\I'm glad...\See you later! Good luck at school, too.\Talking about nothing.\Nodding and listening to you,\smiling at what you said.\She's right... That might be the happiest thing ever. response:	Oh, they're talking!
context: I've always wanted to be that way with him.\I'm glad...\See you later! Good luck at school, too.\Talking about nothing.\Nodding and listening to you,\smiling at what you said.\She's right... That might be the happiest thing ever.\Oh, they're talking! response:	First
context: I'm glad...\See you later! Good luck at school, too.\Talking about nothing.\Nodding and listening to you,\smiling at what you said.\She's right... That might be the happiest thing ever.\Oh, they're talking!\First response:	Love
context: See you later! Good luck at school, too.\Talking about nothing.\Nodding and listening to you,\smiling at what you said.\She's right... That might be the happiest thing ever.\Oh, they're talking!\First\Love response:	Yukika-chan, what happened?
context: Talking about nothing.\Nodding and listening to you,\smiling at what you said.\She's right... That might be the happiest thing ever.\Oh, they're talking!\First\Love\Yukika-chan, what happened? response:	What's going on?
context: Nodding and listening to you,\smiling at what you said.\She's right... That might be the happiest thing ever.\Oh, they're talking!\First\Love\Yukika-chan, what happened?\What's going on? response:	Whoa, she's crying.
context: smiling at what you said.\She's right... That might be the happiest thing ever.\Oh, they're talking!\First\Love\Yukika-chan, what happened?\What's going on?\Whoa, she's crying. response:	What's going on?
context: She's right... That might be the happiest thing ever.\Oh, they're talking!\First\Love\Yukika-chan, what happened?\What's going on?\Whoa, she's crying.\What's going on? response:	For real? Why's she crying?
context: Oh, they're talking!\First\Love\Yukika-chan, what happened?\What's going on?\Whoa, she's crying.\What's going on?\For real? Why's she crying? response:	She isn't a spectacle!
context: First\Love\Yukika-chan, what happened?\What's going on?\Whoa, she's crying.\What's going on?\For real? Why's she crying?\She isn't a spectacle! response:	Rooftop Entry Forbidden
context: Love\Yukika-chan, what happened?\What's going on?\Whoa, she's crying.\What's going on?\For real? Why's she crying?\She isn't a spectacle!\Rooftop Entry Forbidden response:	It's nothing.
context: Yukika-chan, what happened?\What's going on?\Whoa, she's crying.\What's going on?\For real? Why's she crying?\She isn't a spectacle!\Rooftop Entry Forbidden\It's nothing. response:	Sunakawa-kun's so kind.
context: What's going on?\Whoa, she's crying.\What's going on?\For real? Why's she crying?\She isn't a spectacle!\Rooftop Entry Forbidden\It's nothing.\Sunakawa-kun's so kind. response:	He's a very kind person.
context: Whoa, she's crying.\What's going on?\For real? Why's she crying?\She isn't a spectacle!\Rooftop Entry Forbidden\It's nothing.\Sunakawa-kun's so kind.\He's a very kind person. response:	He came to the zoo because he's kind.
context: What's going on?\For real? Why's she crying?\She isn't a spectacle!\Rooftop Entry Forbidden\It's nothing.\Sunakawa-kun's so kind.\He's a very kind person.\He came to the zoo because he's kind. response:	He smiled because he's kind.
context: For real? Why's she crying?\She isn't a spectacle!\Rooftop Entry Forbidden\It's nothing.\Sunakawa-kun's so kind.\He's a very kind person.\He came to the zoo because he's kind.\He smiled because he's kind. response:	Because he's kind...
context: She isn't a spectacle!\Rooftop Entry Forbidden\It's nothing.\Sunakawa-kun's so kind.\He's a very kind person.\He came to the zoo because he's kind.\He smiled because he's kind.\Because he's kind... response:	I don't think Sunakawa-kun dislikes me.
context: Rooftop Entry Forbidden\It's nothing.\Sunakawa-kun's so kind.\He's a very kind person.\He came to the zoo because he's kind.\He smiled because he's kind.\Because he's kind...\I don't think Sunakawa-kun dislikes me. response:	But it doesn't mean he likes me, you know?
context: It's nothing.\Sunakawa-kun's so kind.\He's a very kind person.\He came to the zoo because he's kind.\He smiled because he's kind.\Because he's kind...\I don't think Sunakawa-kun dislikes me.\But it doesn't mean he likes me, you know? response:	He's just being kind.
context: Sunakawa-kun's so kind.\He's a very kind person.\He came to the zoo because he's kind.\He smiled because he's kind.\Because he's kind...\I don't think Sunakawa-kun dislikes me.\But it doesn't mean he likes me, you know?\He's just being kind. response:	No, it isn't that I don't like her.
context: He's a very kind person.\He came to the zoo because he's kind.\He smiled because he's kind.\Because he's kind...\I don't think Sunakawa-kun dislikes me.\But it doesn't mean he likes me, you know?\He's just being kind.\No, it isn't that I don't like her. response:	If I didn't want to, I wouldn't go.
context: He came to the zoo because he's kind.\He smiled because he's kind.\Because he's kind...\I don't think Sunakawa-kun dislikes me.\But it doesn't mean he likes me, you know?\He's just being kind.\No, it isn't that I don't like her.\If I didn't want to, I wouldn't go. response:	When I looked at him,
context: He smiled because he's kind.\Because he's kind...\I don't think Sunakawa-kun dislikes me.\But it doesn't mean he likes me, you know?\He's just being kind.\No, it isn't that I don't like her.\If I didn't want to, I wouldn't go.\When I looked at him, response:	I knew I felt something off. So that's what it was.
context: Because he's kind...\I don't think Sunakawa-kun dislikes me.\But it doesn't mean he likes me, you know?\He's just being kind.\No, it isn't that I don't like her.\If I didn't want to, I wouldn't go.\When I looked at him,\I knew I felt something off. So that's what it was. response:	He doesn't not like her, but he doesn't like her, either.
context: I don't think Sunakawa-kun dislikes me.\But it doesn't mean he likes me, you know?\He's just being kind.\No, it isn't that I don't like her.\If I didn't want to, I wouldn't go.\When I looked at him,\I knew I felt something off. So that's what it was.\He doesn't not like her, but he doesn't like her, either. response:	At night and stuff, I wonder what Sunakawa-kun might be doing.
context: But it doesn't mean he likes me, you know?\He's just being kind.\No, it isn't that I don't like her.\If I didn't want to, I wouldn't go.\When I looked at him,\I knew I felt something off. So that's what it was.\He doesn't not like her, but he doesn't like her, either.\At night and stuff, I wonder what Sunakawa-kun might be doing. response:	Sometimes, I want to see him.
context: He's just being kind.\No, it isn't that I don't like her.\If I didn't want to, I wouldn't go.\When I looked at him,\I knew I felt something off. So that's what it was.\He doesn't not like her, but he doesn't like her, either.\At night and stuff, I wonder what Sunakawa-kun might be doing.\Sometimes, I want to see him. response:	I wonder if we might randomly run into each other.
context: No, it isn't that I don't like her.\If I didn't want to, I wouldn't go.\When I looked at him,\I knew I felt something off. So that's what it was.\He doesn't not like her, but he doesn't like her, either.\At night and stuff, I wonder what Sunakawa-kun might be doing.\Sometimes, I want to see him.\I wonder if we might randomly run into each other. response:	But...
context: If I didn't want to, I wouldn't go.\When I looked at him,\I knew I felt something off. So that's what it was.\He doesn't not like her, but he doesn't like her, either.\At night and stuff, I wonder what Sunakawa-kun might be doing.\Sometimes, I want to see him.\I wonder if we might randomly run into each other.\But... response:	I don't think Sunakawa-kun thinks that way about me.
context: When I looked at him,\I knew I felt something off. So that's what it was.\He doesn't not like her, but he doesn't like her, either.\At night and stuff, I wonder what Sunakawa-kun might be doing.\Sometimes, I want to see him.\I wonder if we might randomly run into each other.\But...\I don't think Sunakawa-kun thinks that way about me. response:	You can tell these things, you know?
context: I knew I felt something off. So that's what it was.\He doesn't not like her, but he doesn't like her, either.\At night and stuff, I wonder what Sunakawa-kun might be doing.\Sometimes, I want to see him.\I wonder if we might randomly run into each other.\But...\I don't think Sunakawa-kun thinks that way about me.\You can tell these things, you know? response:	Sorry, I don't know...
context: He doesn't not like her, but he doesn't like her, either.\At night and stuff, I wonder what Sunakawa-kun might be doing.\Sometimes, I want to see him.\I wonder if we might randomly run into each other.\But...\I don't think Sunakawa-kun thinks that way about me.\You can tell these things, you know?\Sorry, I don't know... response:	I see, you don't know.
context: At night and stuff, I wonder what Sunakawa-kun might be doing.\Sometimes, I want to see him.\I wonder if we might randomly run into each other.\But...\I don't think Sunakawa-kun thinks that way about me.\You can tell these things, you know?\Sorry, I don't know...\I see, you don't know. response:	How we feel about each other is so different
context: Sometimes, I want to see him.\I wonder if we might randomly run into each other.\But...\I don't think Sunakawa-kun thinks that way about me.\You can tell these things, you know?\Sorry, I don't know...\I see, you don't know.\How we feel about each other is so different response:	that I'm heartbroken.
context: I wonder if we might randomly run into each other.\But...\I don't think Sunakawa-kun thinks that way about me.\You can tell these things, you know?\Sorry, I don't know...\I see, you don't know.\How we feel about each other is so different\that I'm heartbroken. response:	I'm going to give up.
context: But...\I don't think Sunakawa-kun thinks that way about me.\You can tell these things, you know?\Sorry, I don't know...\I see, you don't know.\How we feel about each other is so different\that I'm heartbroken.\I'm going to give up. response:	Thank you for everything.
context: I don't think Sunakawa-kun thinks that way about me.\You can tell these things, you know?\Sorry, I don't know...\I see, you don't know.\How we feel about each other is so different\that I'm heartbroken.\I'm going to give up.\Thank you for everything. response:	Please tell Sunakawa-kun that, too.
context: You can tell these things, you know?\Sorry, I don't know...\I see, you don't know.\How we feel about each other is so different\that I'm heartbroken.\I'm going to give up.\Thank you for everything.\Please tell Sunakawa-kun that, too. response:	I shouldn't have told him how I felt.
context: Sorry, I don't know...\I see, you don't know.\How we feel about each other is so different\that I'm heartbroken.\I'm going to give up.\Thank you for everything.\Please tell Sunakawa-kun that, too.\I shouldn't have told him how I felt. response:	H-Hey!
context: I see, you don't know.\How we feel about each other is so different\that I'm heartbroken.\I'm going to give up.\Thank you for everything.\Please tell Sunakawa-kun that, too.\I shouldn't have told him how I felt.\H-Hey! response:	She's right.
context: How we feel about each other is so different\that I'm heartbroken.\I'm going to give up.\Thank you for everything.\Please tell Sunakawa-kun that, too.\I shouldn't have told him how I felt.\H-Hey!\She's right. response:	Not disliking someone is different than liking someone.
context: that I'm heartbroken.\I'm going to give up.\Thank you for everything.\Please tell Sunakawa-kun that, too.\I shouldn't have told him how I felt.\H-Hey!\She's right.\Not disliking someone is different than liking someone. response:	Takeo, what are you doing?
context: I'm going to give up.\Thank you for everything.\Please tell Sunakawa-kun that, too.\I shouldn't have told him how I felt.\H-Hey!\She's right.\Not disliking someone is different than liking someone.\Takeo, what are you doing? response:	You aren't going ho
context: Thank you for everything.\Please tell Sunakawa-kun that, too.\I shouldn't have told him how I felt.\H-Hey!\She's right.\Not disliking someone is different than liking someone.\Takeo, what are you doing?\You aren't going ho response:	I don't sense Yukika-chan anymore...
context: Please tell Sunakawa-kun that, too.\I shouldn't have told him how I felt.\H-Hey!\She's right.\Not disliking someone is different than liking someone.\Takeo, what are you doing?\You aren't going ho\I don't sense Yukika-chan anymore... response:	Oh, Takeo-kun!
context: I shouldn't have told him how I felt.\H-Hey!\She's right.\Not disliking someone is different than liking someone.\Takeo, what are you doing?\You aren't going ho\I don't sense Yukika-chan anymore...\Oh, Takeo-kun! response:	Yamato...
