context: The Alliance forces will arrive on this battlefield by evening. response:	Approximately 40,000 strong.
context: A truce would ensure the court rank system...\In other words, the current system established by the Mage Academy, would remain in place.\We Lords are like livestock being raised on a certain feed called court ranks,\with which the Mage Academy rewards us.\That's exactly why we're calling a truce.\It's because of the strife between the Lords, and our constant battling over court ranks\is why we're still under the Mage Academy's sway.\In fact, the Mage Academy has us right where they want us now. response:	However, they're not likely to approve of our truce.
context: In other words, the current system established by the Mage Academy, would remain in place.\We Lords are like livestock being raised on a certain feed called court ranks,\with which the Mage Academy rewards us.\That's exactly why we're calling a truce.\It's because of the strife between the Lords, and our constant battling over court ranks\is why we're still under the Mage Academy's sway.\In fact, the Mage Academy has us right where they want us now.\However, they're not likely to approve of our truce. response:	They'll unleash some kind of plot to shatter it.
context: We Lords are like livestock being raised on a certain feed called court ranks,\with which the Mage Academy rewards us.\That's exactly why we're calling a truce.\It's because of the strife between the Lords, and our constant battling over court ranks\is why we're still under the Mage Academy's sway.\In fact, the Mage Academy has us right where they want us now.\However, they're not likely to approve of our truce.\They'll unleash some kind of plot to shatter it. response:	Please, allow me to voice my second proposal.
context: with which the Mage Academy rewards us.\That's exactly why we're calling a truce.\It's because of the strife between the Lords, and our constant battling over court ranks\is why we're still under the Mage Academy's sway.\In fact, the Mage Academy has us right where they want us now.\However, they're not likely to approve of our truce.\They'll unleash some kind of plot to shatter it.\Please, allow me to voice my second proposal. response:	Along with the three factions' truce, Alexis Doucet and Marrine Kreische will marry.
context: That's exactly why we're calling a truce.\It's because of the strife between the Lords, and our constant battling over court ranks\is why we're still under the Mage Academy's sway.\In fact, the Mage Academy has us right where they want us now.\However, they're not likely to approve of our truce.\They'll unleash some kind of plot to shatter it.\Please, allow me to voice my second proposal.\Along with the three factions' truce, Alexis Doucet and Marrine Kreische will marry. response:	You two will unify your Crests, and then I will swear my loyalty to that Crest.
context: It's because of the strife between the Lords, and our constant battling over court ranks\is why we're still under the Mage Academy's sway.\In fact, the Mage Academy has us right where they want us now.\However, they're not likely to approve of our truce.\They'll unleash some kind of plot to shatter it.\Please, allow me to voice my second proposal.\Along with the three factions' truce, Alexis Doucet and Marrine Kreische will marry.\You two will unify your Crests, and then I will swear my loyalty to that Crest. response:	Do you intend to create the Grancrest here?
context: is why we're still under the Mage Academy's sway.\In fact, the Mage Academy has us right where they want us now.\However, they're not likely to approve of our truce.\They'll unleash some kind of plot to shatter it.\Please, allow me to voice my second proposal.\Along with the three factions' truce, Alexis Doucet and Marrine Kreische will marry.\You two will unify your Crests, and then I will swear my loyalty to that Crest.\Do you intend to create the Grancrest here? response:	Yes.
context: In fact, the Mage Academy has us right where they want us now.\However, they're not likely to approve of our truce.\They'll unleash some kind of plot to shatter it.\Please, allow me to voice my second proposal.\Along with the three factions' truce, Alexis Doucet and Marrine Kreische will marry.\You two will unify your Crests, and then I will swear my loyalty to that Crest.\Do you intend to create the Grancrest here?\Yes. response:	If that happens, the tragedy will repeat!
context: However, they're not likely to approve of our truce.\They'll unleash some kind of plot to shatter it.\Please, allow me to voice my second proposal.\Along with the three factions' truce, Alexis Doucet and Marrine Kreische will marry.\You two will unify your Crests, and then I will swear my loyalty to that Crest.\Do you intend to create the Grancrest here?\Yes.\If that happens, the tragedy will repeat! response:	Once the Crests are unified, the Academy will surely bare its fangs in time.
context: They'll unleash some kind of plot to shatter it.\Please, allow me to voice my second proposal.\Along with the three factions' truce, Alexis Doucet and Marrine Kreische will marry.\You two will unify your Crests, and then I will swear my loyalty to that Crest.\Do you intend to create the Grancrest here?\Yes.\If that happens, the tragedy will repeat!\Once the Crests are unified, the Academy will surely bare its fangs in time. response:	Absolutely.
context: Please, allow me to voice my second proposal.\Along with the three factions' truce, Alexis Doucet and Marrine Kreische will marry.\You two will unify your Crests, and then I will swear my loyalty to that Crest.\Do you intend to create the Grancrest here?\Yes.\If that happens, the tragedy will repeat!\Once the Crests are unified, the Academy will surely bare its fangs in time.\Absolutely. response:	That's why I wanted to fight on my own.
context: Along with the three factions' truce, Alexis Doucet and Marrine Kreische will marry.\You two will unify your Crests, and then I will swear my loyalty to that Crest.\Do you intend to create the Grancrest here?\Yes.\If that happens, the tragedy will repeat!\Once the Crests are unified, the Academy will surely bare its fangs in time.\Absolutely.\That's why I wanted to fight on my own. response:	What do you mean by that?
context: You two will unify your Crests, and then I will swear my loyalty to that Crest.\Do you intend to create the Grancrest here?\Yes.\If that happens, the tragedy will repeat!\Once the Crests are unified, the Academy will surely bare its fangs in time.\Absolutely.\That's why I wanted to fight on my own.\What do you mean by that? response:	I wanted the enemy's attack to be directed only at me.
context: Do you intend to create the Grancrest here?\Yes.\If that happens, the tragedy will repeat!\Once the Crests are unified, the Academy will surely bare its fangs in time.\Absolutely.\That's why I wanted to fight on my own.\What do you mean by that?\I wanted the enemy's attack to be directed only at me. response:	Even if I perished, it would serve to let the Continent know who our true enemy is.
context: Yes.\If that happens, the tragedy will repeat!\Once the Crests are unified, the Academy will surely bare its fangs in time.\Absolutely.\That's why I wanted to fight on my own.\What do you mean by that?\I wanted the enemy's attack to be directed only at me.\Even if I perished, it would serve to let the Continent know who our true enemy is. response:	What good would it do to let everyone know?
context: If that happens, the tragedy will repeat!\Once the Crests are unified, the Academy will surely bare its fangs in time.\Absolutely.\That's why I wanted to fight on my own.\What do you mean by that?\I wanted the enemy's attack to be directed only at me.\Even if I perished, it would serve to let the Continent know who our true enemy is.\What good would it do to let everyone know? response:	Someday, someone will carry out my mission.
context: Once the Crests are unified, the Academy will surely bare its fangs in time.\Absolutely.\That's why I wanted to fight on my own.\What do you mean by that?\I wanted the enemy's attack to be directed only at me.\Even if I perished, it would serve to let the Continent know who our true enemy is.\What good would it do to let everyone know?\Someday, someone will carry out my mission. response:	That's all I need to accomplish.
context: Absolutely.\That's why I wanted to fight on my own.\What do you mean by that?\I wanted the enemy's attack to be directed only at me.\Even if I perished, it would serve to let the Continent know who our true enemy is.\What good would it do to let everyone know?\Someday, someone will carry out my mission.\That's all I need to accomplish. response:	Never mind someday, Sir Alexis and I will fight together right now!
context: That's why I wanted to fight on my own.\What do you mean by that?\I wanted the enemy's attack to be directed only at me.\Even if I perished, it would serve to let the Continent know who our true enemy is.\What good would it do to let everyone know?\Someday, someone will carry out my mission.\That's all I need to accomplish.\Never mind someday, Sir Alexis and I will fight together right now! response:	No!
context: What do you mean by that?\I wanted the enemy's attack to be directed only at me.\Even if I perished, it would serve to let the Continent know who our true enemy is.\What good would it do to let everyone know?\Someday, someone will carry out my mission.\That's all I need to accomplish.\Never mind someday, Sir Alexis and I will fight together right now!\No! response:	Why?
context: I wanted the enemy's attack to be directed only at me.\Even if I perished, it would serve to let the Continent know who our true enemy is.\What good would it do to let everyone know?\Someday, someone will carry out my mission.\That's all I need to accomplish.\Never mind someday, Sir Alexis and I will fight together right now!\No!\Why? response:	I can not let that happen, ever.
context: Even if I perished, it would serve to let the Continent know who our true enemy is.\What good would it do to let everyone know?\Someday, someone will carry out my mission.\That's all I need to accomplish.\Never mind someday, Sir Alexis and I will fight together right now!\No!\Why?\I can not let that happen, ever. response:	Why not?
context: What good would it do to let everyone know?\Someday, someone will carry out my mission.\That's all I need to accomplish.\Never mind someday, Sir Alexis and I will fight together right now!\No!\Why?\I can not let that happen, ever.\Why not? response:	Why do you wish to shoulder everything?
context: Someday, someone will carry out my mission.\That's all I need to accomplish.\Never mind someday, Sir Alexis and I will fight together right now!\No!\Why?\I can not let that happen, ever.\Why not?\Why do you wish to shoulder everything? response:	It's ridiculous for you to be the only one to sacrifice yourself.
context: That's all I need to accomplish.\Never mind someday, Sir Alexis and I will fight together right now!\No!\Why?\I can not let that happen, ever.\Why not?\Why do you wish to shoulder everything?\It's ridiculous for you to be the only one to sacrifice yourself. response:	Let the three of us stand together, against our true enemy
context: Never mind someday, Sir Alexis and I will fight together right now!\No!\Why?\I can not let that happen, ever.\Why not?\Why do you wish to shoulder everything?\It's ridiculous for you to be the only one to sacrifice yourself.\Let the three of us stand together, against our true enemy response:	Not Alexis!
context: No!\Why?\I can not let that happen, ever.\Why not?\Why do you wish to shoulder everything?\It's ridiculous for you to be the only one to sacrifice yourself.\Let the three of us stand together, against our true enemy\Not Alexis! response:	Don't drag him into this.
context: Why?\I can not let that happen, ever.\Why not?\Why do you wish to shoulder everything?\It's ridiculous for you to be the only one to sacrifice yourself.\Let the three of us stand together, against our true enemy\Not Alexis!\Don't drag him into this. response:	No matter who the enemy is, I wish to fight by your side.
context: I can not let that happen, ever.\Why not?\Why do you wish to shoulder everything?\It's ridiculous for you to be the only one to sacrifice yourself.\Let the three of us stand together, against our true enemy\Not Alexis!\Don't drag him into this.\No matter who the enemy is, I wish to fight by your side. response:	Would you mind coming with me?
context: Why not?\Why do you wish to shoulder everything?\It's ridiculous for you to be the only one to sacrifice yourself.\Let the three of us stand together, against our true enemy\Not Alexis!\Don't drag him into this.\No matter who the enemy is, I wish to fight by your side.\Would you mind coming with me? response:	Marrine.
context: Why do you wish to shoulder everything?\It's ridiculous for you to be the only one to sacrifice yourself.\Let the three of us stand together, against our true enemy\Not Alexis!\Don't drag him into this.\No matter who the enemy is, I wish to fight by your side.\Would you mind coming with me?\Marrine. response:	I want you to be my queen.
context: It's ridiculous for you to be the only one to sacrifice yourself.\Let the three of us stand together, against our true enemy\Not Alexis!\Don't drag him into this.\No matter who the enemy is, I wish to fight by your side.\Would you mind coming with me?\Marrine.\I want you to be my queen. response:	My Crest, my life, my love. I give them all to you.
context: Let the three of us stand together, against our true enemy\Not Alexis!\Don't drag him into this.\No matter who the enemy is, I wish to fight by your side.\Would you mind coming with me?\Marrine.\I want you to be my queen.\My Crest, my life, my love. I give them all to you. response:	I can't accept them.
context: Not Alexis!\Don't drag him into this.\No matter who the enemy is, I wish to fight by your side.\Would you mind coming with me?\Marrine.\I want you to be my queen.\My Crest, my life, my love. I give them all to you.\I can't accept them. response:	I have no right to accept them.
context: Don't drag him into this.\No matter who the enemy is, I wish to fight by your side.\Would you mind coming with me?\Marrine.\I want you to be my queen.\My Crest, my life, my love. I give them all to you.\I can't accept them.\I have no right to accept them. response:	Why not?
context: No matter who the enemy is, I wish to fight by your side.\Would you mind coming with me?\Marrine.\I want you to be my queen.\My Crest, my life, my love. I give them all to you.\I can't accept them.\I have no right to accept them.\Why not? response:	I surrendered my virtue to the Prince of Dartania.
context: Would you mind coming with me?\Marrine.\I want you to be my queen.\My Crest, my life, my love. I give them all to you.\I can't accept them.\I have no right to accept them.\Why not?\I surrendered my virtue to the Prince of Dartania. response:	It only happened once, but I've undoubtedly lost my purity.
context: Marrine.\I want you to be my queen.\My Crest, my life, my love. I give them all to you.\I can't accept them.\I have no right to accept them.\Why not?\I surrendered my virtue to the Prince of Dartania.\It only happened once, but I've undoubtedly lost my purity. response:	Were you in love with the Prince of Dartania?
context: I want you to be my queen.\My Crest, my life, my love. I give them all to you.\I can't accept them.\I have no right to accept them.\Why not?\I surrendered my virtue to the Prince of Dartania.\It only happened once, but I've undoubtedly lost my purity.\Were you in love with the Prince of Dartania? response:	No.
context: My Crest, my life, my love. I give them all to you.\I can't accept them.\I have no right to accept them.\Why not?\I surrendered my virtue to the Prince of Dartania.\It only happened once, but I've undoubtedly lost my purity.\Were you in love with the Prince of Dartania?\No. response:	Then, there are no problems.
context: I can't accept them.\I have no right to accept them.\Why not?\I surrendered my virtue to the Prince of Dartania.\It only happened once, but I've undoubtedly lost my purity.\Were you in love with the Prince of Dartania?\No.\Then, there are no problems. response:	The important thing is that I love you, and whether or not you're willing to accept that.
context: I have no right to accept them.\Why not?\I surrendered my virtue to the Prince of Dartania.\It only happened once, but I've undoubtedly lost my purity.\Were you in love with the Prince of Dartania?\No.\Then, there are no problems.\The important thing is that I love you, and whether or not you're willing to accept that. response:	My entire body is stained with blood.
context: Why not?\I surrendered my virtue to the Prince of Dartania.\It only happened once, but I've undoubtedly lost my purity.\Were you in love with the Prince of Dartania?\No.\Then, there are no problems.\The important thing is that I love you, and whether or not you're willing to accept that.\My entire body is stained with blood. response:	Because of me, tens of thousands of people have lost their lives.
context: I surrendered my virtue to the Prince of Dartania.\It only happened once, but I've undoubtedly lost my purity.\Were you in love with the Prince of Dartania?\No.\Then, there are no problems.\The important thing is that I love you, and whether or not you're willing to accept that.\My entire body is stained with blood.\Because of me, tens of thousands of people have lost their lives. response:	I have no right to become happy!
context: It only happened once, but I've undoubtedly lost my purity.\Were you in love with the Prince of Dartania?\No.\Then, there are no problems.\The important thing is that I love you, and whether or not you're willing to accept that.\My entire body is stained with blood.\Because of me, tens of thousands of people have lost their lives.\I have no right to become happy! response:	If you're forbidden from ever becoming happy,
context: Were you in love with the Prince of Dartania?\No.\Then, there are no problems.\The important thing is that I love you, and whether or not you're willing to accept that.\My entire body is stained with blood.\Because of me, tens of thousands of people have lost their lives.\I have no right to become happy!\If you're forbidden from ever becoming happy, response:	then let me accept that penalty as well.
context: No.\Then, there are no problems.\The important thing is that I love you, and whether or not you're willing to accept that.\My entire body is stained with blood.\Because of me, tens of thousands of people have lost their lives.\I have no right to become happy!\If you're forbidden from ever becoming happy,\then let me accept that penalty as well. response:	If we must make amends, then let's spend the rest of our lives doing that!
context: Then, there are no problems.\The important thing is that I love you, and whether or not you're willing to accept that.\My entire body is stained with blood.\Because of me, tens of thousands of people have lost their lives.\I have no right to become happy!\If you're forbidden from ever becoming happy,\then let me accept that penalty as well.\If we must make amends, then let's spend the rest of our lives doing that! response:	I've made Siluca my bride.
context: The important thing is that I love you, and whether or not you're willing to accept that.\My entire body is stained with blood.\Because of me, tens of thousands of people have lost their lives.\I have no right to become happy!\If you're forbidden from ever becoming happy,\then let me accept that penalty as well.\If we must make amends, then let's spend the rest of our lives doing that!\I've made Siluca my bride. response:	- Although we haven't announced it yet. - Sir Theo!
context: My entire body is stained with blood.\Because of me, tens of thousands of people have lost their lives.\I have no right to become happy!\If you're forbidden from ever becoming happy,\then let me accept that penalty as well.\If we must make amends, then let's spend the rest of our lives doing that!\I've made Siluca my bride.\- Although we haven't announced it yet. - Sir Theo! response:	I love Siluca with all my heart.
context: Because of me, tens of thousands of people have lost their lives.\I have no right to become happy!\If you're forbidden from ever becoming happy,\then let me accept that penalty as well.\If we must make amends, then let's spend the rest of our lives doing that!\I've made Siluca my bride.\- Although we haven't announced it yet. - Sir Theo!\I love Siluca with all my heart. response:	And she's accepted how I feel about her.
context: I have no right to become happy!\If you're forbidden from ever becoming happy,\then let me accept that penalty as well.\If we must make amends, then let's spend the rest of our lives doing that!\I've made Siluca my bride.\- Although we haven't announced it yet. - Sir Theo!\I love Siluca with all my heart.\And she's accepted how I feel about her. response:	It's only natural for two people in love to be together.
context: If you're forbidden from ever becoming happy,\then let me accept that penalty as well.\If we must make amends, then let's spend the rest of our lives doing that!\I've made Siluca my bride.\- Although we haven't announced it yet. - Sir Theo!\I love Siluca with all my heart.\And she's accepted how I feel about her.\It's only natural for two people in love to be together. response:	If we live in a world where that's forbidden,
context: then let me accept that penalty as well.\If we must make amends, then let's spend the rest of our lives doing that!\I've made Siluca my bride.\- Although we haven't announced it yet. - Sir Theo!\I love Siluca with all my heart.\And she's accepted how I feel about her.\It's only natural for two people in love to be together.\If we live in a world where that's forbidden, response:	I'll change it, even if I have to destroy it!
context: If we must make amends, then let's spend the rest of our lives doing that!\I've made Siluca my bride.\- Although we haven't announced it yet. - Sir Theo!\I love Siluca with all my heart.\And she's accepted how I feel about her.\It's only natural for two people in love to be together.\If we live in a world where that's forbidden,\I'll change it, even if I have to destroy it! response:	Alexis.
context: I've made Siluca my bride.\- Although we haven't announced it yet. - Sir Theo!\I love Siluca with all my heart.\And she's accepted how I feel about her.\It's only natural for two people in love to be together.\If we live in a world where that's forbidden,\I'll change it, even if I have to destroy it!\Alexis. response:	What is it?
context: - Although we haven't announced it yet. - Sir Theo!\I love Siluca with all my heart.\And she's accepted how I feel about her.\It's only natural for two people in love to be together.\If we live in a world where that's forbidden,\I'll change it, even if I have to destroy it!\Alexis.\What is it? response:	Do you really wish for me to become your queen?
context: I love Siluca with all my heart.\And she's accepted how I feel about her.\It's only natural for two people in love to be together.\If we live in a world where that's forbidden,\I'll change it, even if I have to destroy it!\Alexis.\What is it?\Do you really wish for me to become your queen? response:	I'll say it over and over.
context: And she's accepted how I feel about her.\It's only natural for two people in love to be together.\If we live in a world where that's forbidden,\I'll change it, even if I have to destroy it!\Alexis.\What is it?\Do you really wish for me to become your queen?\I'll say it over and over. response:	I'll repeat it as many times as there are stars in the heavens.
context: It's only natural for two people in love to be together.\If we live in a world where that's forbidden,\I'll change it, even if I have to destroy it!\Alexis.\What is it?\Do you really wish for me to become your queen?\I'll say it over and over.\I'll repeat it as many times as there are stars in the heavens. response:	I've known the word love.
context: If we live in a world where that's forbidden,\I'll change it, even if I have to destroy it!\Alexis.\What is it?\Do you really wish for me to become your queen?\I'll say it over and over.\I'll repeat it as many times as there are stars in the heavens.\I've known the word love. response:	But after meeting you, I've come to know what it means to love.
context: I'll change it, even if I have to destroy it!\Alexis.\What is it?\Do you really wish for me to become your queen?\I'll say it over and over.\I'll repeat it as many times as there are stars in the heavens.\I've known the word love.\But after meeting you, I've come to know what it means to love. response:	Please. I want you to become my queen.
context: Alexis.\What is it?\Do you really wish for me to become your queen?\I'll say it over and over.\I'll repeat it as many times as there are stars in the heavens.\I've known the word love.\But after meeting you, I've come to know what it means to love.\Please. I want you to become my queen. response:	Just gazing at you is enough to make me feel unbearably happy.
context: What is it?\Do you really wish for me to become your queen?\I'll say it over and over.\I'll repeat it as many times as there are stars in the heavens.\I've known the word love.\But after meeting you, I've come to know what it means to love.\Please. I want you to become my queen.\Just gazing at you is enough to make me feel unbearably happy. response:	Even though it's forbidden for me to feel this way.
context: Do you really wish for me to become your queen?\I'll say it over and over.\I'll repeat it as many times as there are stars in the heavens.\I've known the word love.\But after meeting you, I've come to know what it means to love.\Please. I want you to become my queen.\Just gazing at you is enough to make me feel unbearably happy.\Even though it's forbidden for me to feel this way. response:	I shall become Alexis Doucet's queen.
context: I'll say it over and over.\I'll repeat it as many times as there are stars in the heavens.\I've known the word love.\But after meeting you, I've come to know what it means to love.\Please. I want you to become my queen.\Just gazing at you is enough to make me feel unbearably happy.\Even though it's forbidden for me to feel this way.\I shall become Alexis Doucet's queen. response:	So which one should I pledge my loyalty to?
context: I'll repeat it as many times as there are stars in the heavens.\I've known the word love.\But after meeting you, I've come to know what it means to love.\Please. I want you to become my queen.\Just gazing at you is enough to make me feel unbearably happy.\Even though it's forbidden for me to feel this way.\I shall become Alexis Doucet's queen.\So which one should I pledge my loyalty to? response:	That won't be necessary.
context: I've known the word love.\But after meeting you, I've come to know what it means to love.\Please. I want you to become my queen.\Just gazing at you is enough to make me feel unbearably happy.\Even though it's forbidden for me to feel this way.\I shall become Alexis Doucet's queen.\So which one should I pledge my loyalty to?\That won't be necessary. response:	We're going to pledge our loyalty to you.
context: But after meeting you, I've come to know what it means to love.\Please. I want you to become my queen.\Just gazing at you is enough to make me feel unbearably happy.\Even though it's forbidden for me to feel this way.\I shall become Alexis Doucet's queen.\So which one should I pledge my loyalty to?\That won't be necessary.\We're going to pledge our loyalty to you. response:	To me?
context: Please. I want you to become my queen.\Just gazing at you is enough to make me feel unbearably happy.\Even though it's forbidden for me to feel this way.\I shall become Alexis Doucet's queen.\So which one should I pledge my loyalty to?\That won't be necessary.\We're going to pledge our loyalty to you.\To me? response:	I've been questioning it all this time.
context: Just gazing at you is enough to make me feel unbearably happy.\Even though it's forbidden for me to feel this way.\I shall become Alexis Doucet's queen.\So which one should I pledge my loyalty to?\That won't be necessary.\We're going to pledge our loyalty to you.\To me?\I've been questioning it all this time. response:	Who is this man, Theo Cornaro?
context: Even though it's forbidden for me to feel this way.\I shall become Alexis Doucet's queen.\So which one should I pledge my loyalty to?\That won't be necessary.\We're going to pledge our loyalty to you.\To me?\I've been questioning it all this time.\Who is this man, Theo Cornaro? response:	But now I think I know the answer.
context: I shall become Alexis Doucet's queen.\So which one should I pledge my loyalty to?\That won't be necessary.\We're going to pledge our loyalty to you.\To me?\I've been questioning it all this time.\Who is this man, Theo Cornaro?\But now I think I know the answer. response:	My grandfather, Jurgen, believed that in order to unify the Continent,
context: So which one should I pledge my loyalty to?\That won't be necessary.\We're going to pledge our loyalty to you.\To me?\I've been questioning it all this time.\Who is this man, Theo Cornaro?\But now I think I know the answer.\My grandfather, Jurgen, believed that in order to unify the Continent, response:	it was necessary to destroy and change the world.
context: That won't be necessary.\We're going to pledge our loyalty to you.\To me?\I've been questioning it all this time.\Who is this man, Theo Cornaro?\But now I think I know the answer.\My grandfather, Jurgen, believed that in order to unify the Continent,\it was necessary to destroy and change the world. response:	Sir Theo, you're attempting to do just that.
context: We're going to pledge our loyalty to you.\To me?\I've been questioning it all this time.\Who is this man, Theo Cornaro?\But now I think I know the answer.\My grandfather, Jurgen, believed that in order to unify the Continent,\it was necessary to destroy and change the world.\Sir Theo, you're attempting to do just that. response:	You're the one who should become our first emperor.
context: To me?\I've been questioning it all this time.\Who is this man, Theo Cornaro?\But now I think I know the answer.\My grandfather, Jurgen, believed that in order to unify the Continent,\it was necessary to destroy and change the world.\Sir Theo, you're attempting to do just that.\You're the one who should become our first emperor. response:	Let us accept.
context: I've been questioning it all this time.\Who is this man, Theo Cornaro?\But now I think I know the answer.\My grandfather, Jurgen, believed that in order to unify the Continent,\it was necessary to destroy and change the world.\Sir Theo, you're attempting to do just that.\You're the one who should become our first emperor.\Let us accept. response:	And after the miracle is fulfilled, let us return the Crest to Sir Alexis.
context: Who is this man, Theo Cornaro?\But now I think I know the answer.\My grandfather, Jurgen, believed that in order to unify the Continent,\it was necessary to destroy and change the world.\Sir Theo, you're attempting to do just that.\You're the one who should become our first emperor.\Let us accept.\And after the miracle is fulfilled, let us return the Crest to Sir Alexis. response:	Lady Marrine will become queen and chancellor.
context: But now I think I know the answer.\My grandfather, Jurgen, believed that in order to unify the Continent,\it was necessary to destroy and change the world.\Sir Theo, you're attempting to do just that.\You're the one who should become our first emperor.\Let us accept.\And after the miracle is fulfilled, let us return the Crest to Sir Alexis.\Lady Marrine will become queen and chancellor. response:	And you, Sir Theo... No, you and I can return to Sistina.
context: My grandfather, Jurgen, believed that in order to unify the Continent,\it was necessary to destroy and change the world.\Sir Theo, you're attempting to do just that.\You're the one who should become our first emperor.\Let us accept.\And after the miracle is fulfilled, let us return the Crest to Sir Alexis.\Lady Marrine will become queen and chancellor.\And you, Sir Theo... No, you and I can return to Sistina. response:	After all, that is your final dream.
context: it was necessary to destroy and change the world.\Sir Theo, you're attempting to do just that.\You're the one who should become our first emperor.\Let us accept.\And after the miracle is fulfilled, let us return the Crest to Sir Alexis.\Lady Marrine will become queen and chancellor.\And you, Sir Theo... No, you and I can return to Sistina.\After all, that is your final dream. response:	You're right.
context: Sir Theo, you're attempting to do just that.\You're the one who should become our first emperor.\Let us accept.\And after the miracle is fulfilled, let us return the Crest to Sir Alexis.\Lady Marrine will become queen and chancellor.\And you, Sir Theo... No, you and I can return to Sistina.\After all, that is your final dream.\You're right. response:	Let's spread the word across the whole Continent.
context: You're the one who should become our first emperor.\Let us accept.\And after the miracle is fulfilled, let us return the Crest to Sir Alexis.\Lady Marrine will become queen and chancellor.\And you, Sir Theo... No, you and I can return to Sistina.\After all, that is your final dream.\You're right.\Let's spread the word across the whole Continent. response:	Yes.
context: Let us accept.\And after the miracle is fulfilled, let us return the Crest to Sir Alexis.\Lady Marrine will become queen and chancellor.\And you, Sir Theo... No, you and I can return to Sistina.\After all, that is your final dream.\You're right.\Let's spread the word across the whole Continent.\Yes. response:	PITCHED BATTLE OF THE THREE FORCES
context: And after the miracle is fulfilled, let us return the Crest to Sir Alexis.\Lady Marrine will become queen and chancellor.\And you, Sir Theo... No, you and I can return to Sistina.\After all, that is your final dream.\You're right.\Let's spread the word across the whole Continent.\Yes.\PITCHED BATTLE OF THE THREE FORCES response:	It's rather noisy here.
context: Lady Marrine will become queen and chancellor.\And you, Sir Theo... No, you and I can return to Sistina.\After all, that is your final dream.\You're right.\Let's spread the word across the whole Continent.\Yes.\PITCHED BATTLE OF THE THREE FORCES\It's rather noisy here. response:	I'm using the secret agency to purge Mages supporting the Lords.
context: And you, Sir Theo... No, you and I can return to Sistina.\After all, that is your final dream.\You're right.\Let's spread the word across the whole Continent.\Yes.\PITCHED BATTLE OF THE THREE FORCES\It's rather noisy here.\I'm using the secret agency to purge Mages supporting the Lords. response:	Oh?
context: After all, that is your final dream.\You're right.\Let's spread the word across the whole Continent.\Yes.\PITCHED BATTLE OF THE THREE FORCES\It's rather noisy here.\I'm using the secret agency to purge Mages supporting the Lords.\Oh? response:	Did something happen at the pitched battle of the three factions?
context: You're right.\Let's spread the word across the whole Continent.\Yes.\PITCHED BATTLE OF THE THREE FORCES\It's rather noisy here.\I'm using the secret agency to purge Mages supporting the Lords.\Oh?\Did something happen at the pitched battle of the three factions? response:	The Grancrest is about to be born.
context: Let's spread the word across the whole Continent.\Yes.\PITCHED BATTLE OF THE THREE FORCES\It's rather noisy here.\I'm using the secret agency to purge Mages supporting the Lords.\Oh?\Did something happen at the pitched battle of the three factions?\The Grancrest is about to be born. response:	What did you say?
context: Yes.\PITCHED BATTLE OF THE THREE FORCES\It's rather noisy here.\I'm using the secret agency to purge Mages supporting the Lords.\Oh?\Did something happen at the pitched battle of the three factions?\The Grancrest is about to be born.\What did you say? response:	We can no longer avoid confrontation with the Lords.
context: PITCHED BATTLE OF THE THREE FORCES\It's rather noisy here.\I'm using the secret agency to purge Mages supporting the Lords.\Oh?\Did something happen at the pitched battle of the three factions?\The Grancrest is about to be born.\What did you say?\We can no longer avoid confrontation with the Lords. response:	Meaning that we, the Mage Academy, must become a monolith.
context: It's rather noisy here.\I'm using the secret agency to purge Mages supporting the Lords.\Oh?\Did something happen at the pitched battle of the three factions?\The Grancrest is about to be born.\What did you say?\We can no longer avoid confrontation with the Lords.\Meaning that we, the Mage Academy, must become a monolith. response:	This is all in the name of thwarting the advent of an era of order.
context: I'm using the secret agency to purge Mages supporting the Lords.\Oh?\Did something happen at the pitched battle of the three factions?\The Grancrest is about to be born.\What did you say?\We can no longer avoid confrontation with the Lords.\Meaning that we, the Mage Academy, must become a monolith.\This is all in the name of thwarting the advent of an era of order. response:	In the name of fulfilling her intentions.
context: Oh?\Did something happen at the pitched battle of the three factions?\The Grancrest is about to be born.\What did you say?\We can no longer avoid confrontation with the Lords.\Meaning that we, the Mage Academy, must become a monolith.\This is all in the name of thwarting the advent of an era of order.\In the name of fulfilling her intentions. response:	Her intentions, huh?
context: Did something happen at the pitched battle of the three factions?\The Grancrest is about to be born.\What did you say?\We can no longer avoid confrontation with the Lords.\Meaning that we, the Mage Academy, must become a monolith.\This is all in the name of thwarting the advent of an era of order.\In the name of fulfilling her intentions.\Her intentions, huh? response:	Apparently, my time to make a move is coming closer.
context: The Grancrest is about to be born.\What did you say?\We can no longer avoid confrontation with the Lords.\Meaning that we, the Mage Academy, must become a monolith.\This is all in the name of thwarting the advent of an era of order.\In the name of fulfilling her intentions.\Her intentions, huh?\Apparently, my time to make a move is coming closer. response:	EPISODE 21 PURGE
