context: There's so much I need to talk about. response:	About her.
context: Who's that?\My friend Shizuku.\Friend?\Heh...\So Haru, could you lend me some money?\Again?\I screwed up and my allowance was cut.\Come on, aren't we friends? response:	This guy is an idiot.
context: My friend Shizuku.\Friend?\Heh...\So Haru, could you lend me some money?\Again?\I screwed up and my allowance was cut.\Come on, aren't we friends?\This guy is an idiot. response:	So, what's it like?
context: Friend?\Heh...\So Haru, could you lend me some money?\Again?\I screwed up and my allowance was cut.\Come on, aren't we friends?\This guy is an idiot.\So, what's it like? response:	Huh?
context: Heh...\So Haru, could you lend me some money?\Again?\I screwed up and my allowance was cut.\Come on, aren't we friends?\This guy is an idiot.\So, what's it like?\Huh? response:	Don't play dumb!
context: So Haru, could you lend me some money?\Again?\I screwed up and my allowance was cut.\Come on, aren't we friends?\This guy is an idiot.\So, what's it like?\Huh?\Don't play dumb! response:	I know you went to school today!
context: Again?\I screwed up and my allowance was cut.\Come on, aren't we friends?\This guy is an idiot.\So, what's it like?\Huh?\Don't play dumb!\I know you went to school today! response:	Wh-What's your point?!
context: I screwed up and my allowance was cut.\Come on, aren't we friends?\This guy is an idiot.\So, what's it like?\Huh?\Don't play dumb!\I know you went to school today!\Wh-What's your point?! response:	W-Was school fun?
context: Come on, aren't we friends?\This guy is an idiot.\So, what's it like?\Huh?\Don't play dumb!\I know you went to school today!\Wh-What's your point?!\W-Was school fun? response:	Huh?
context: This guy is an idiot.\So, what's it like?\Huh?\Don't play dumb!\I know you went to school today!\Wh-What's your point?!\W-Was school fun?\Huh? response:	S-So, this is kinda like
context: So, what's it like?\Huh?\Don't play dumb!\I know you went to school today!\Wh-What's your point?!\W-Was school fun?\Huh?\S-So, this is kinda like response:	hanging out with a friend after school, huh?
context: Huh?\Don't play dumb!\I know you went to school today!\Wh-What's your point?!\W-Was school fun?\Huh?\S-So, this is kinda like\hanging out with a friend after school, huh? response:	Yoshida-kun, are you saying that
context: Don't play dumb!\I know you went to school today!\Wh-What's your point?!\W-Was school fun?\Huh?\S-So, this is kinda like\hanging out with a friend after school, huh?\Yoshida-kun, are you saying that response:	you want to go to school?
context: I know you went to school today!\Wh-What's your point?!\W-Was school fun?\Huh?\S-So, this is kinda like\hanging out with a friend after school, huh?\Yoshida-kun, are you saying that\you want to go to school? response:	If you want to know what it's like, just go.
context: Wh-What's your point?!\W-Was school fun?\Huh?\S-So, this is kinda like\hanging out with a friend after school, huh?\Yoshida-kun, are you saying that\you want to go to school?\If you want to know what it's like, just go. response:	I'm scared.
context: W-Was school fun?\Huh?\S-So, this is kinda like\hanging out with a friend after school, huh?\Yoshida-kun, are you saying that\you want to go to school?\If you want to know what it's like, just go.\I'm scared. response:	Everyone is always afraid of me for some reason.
context: Huh?\S-So, this is kinda like\hanging out with a friend after school, huh?\Yoshida-kun, are you saying that\you want to go to school?\If you want to know what it's like, just go.\I'm scared.\Everyone is always afraid of me for some reason. response:	It doesn't take long before they all start avoiding me.
context: S-So, this is kinda like\hanging out with a friend after school, huh?\Yoshida-kun, are you saying that\you want to go to school?\If you want to know what it's like, just go.\I'm scared.\Everyone is always afraid of me for some reason.\It doesn't take long before they all start avoiding me. response:	That's why I don't want to go to school.
context: hanging out with a friend after school, huh?\Yoshida-kun, are you saying that\you want to go to school?\If you want to know what it's like, just go.\I'm scared.\Everyone is always afraid of me for some reason.\It doesn't take long before they all start avoiding me.\That's why I don't want to go to school. response:	But you're the first person who came to my home,
context: Yoshida-kun, are you saying that\you want to go to school?\If you want to know what it's like, just go.\I'm scared.\Everyone is always afraid of me for some reason.\It doesn't take long before they all start avoiding me.\That's why I don't want to go to school.\But you're the first person who came to my home, response:	and those guys were
context: you want to go to school?\If you want to know what it's like, just go.\I'm scared.\Everyone is always afraid of me for some reason.\It doesn't take long before they all start avoiding me.\That's why I don't want to go to school.\But you're the first person who came to my home,\and those guys were response:	the first people to hang out with me without acting scared,
context: If you want to know what it's like, just go.\I'm scared.\Everyone is always afraid of me for some reason.\It doesn't take long before they all start avoiding me.\That's why I don't want to go to school.\But you're the first person who came to my home,\and those guys were\the first people to hang out with me without acting scared, response:	so I don't need to go to school now.
context: I'm scared.\Everyone is always afraid of me for some reason.\It doesn't take long before they all start avoiding me.\That's why I don't want to go to school.\But you're the first person who came to my home,\and those guys were\the first people to hang out with me without acting scared,\so I don't need to go to school now. response:	You're the only one who sees it that way.
context: Everyone is always afraid of me for some reason.\It doesn't take long before they all start avoiding me.\That's why I don't want to go to school.\But you're the first person who came to my home,\and those guys were\the first people to hang out with me without acting scared,\so I don't need to go to school now.\You're the only one who sees it that way. response:	Huh?
context: It doesn't take long before they all start avoiding me.\That's why I don't want to go to school.\But you're the first person who came to my home,\and those guys were\the first people to hang out with me without acting scared,\so I don't need to go to school now.\You're the only one who sees it that way.\Huh? response:	Real friends wouldn't use you for money.
context: That's why I don't want to go to school.\But you're the first person who came to my home,\and those guys were\the first people to hang out with me without acting scared,\so I don't need to go to school now.\You're the only one who sees it that way.\Huh?\Real friends wouldn't use you for money. response:	I don't have any friends, so I'm no expert,
context: But you're the first person who came to my home,\and those guys were\the first people to hang out with me without acting scared,\so I don't need to go to school now.\You're the only one who sees it that way.\Huh?\Real friends wouldn't use you for money.\I don't have any friends, so I'm no expert, response:	but I'd rather have no friends than have friends like them.
context: and those guys were\the first people to hang out with me without acting scared,\so I don't need to go to school now.\You're the only one who sees it that way.\Huh?\Real friends wouldn't use you for money.\I don't have any friends, so I'm no expert,\but I'd rather have no friends than have friends like them. response:	You're a bad person.
context: the first people to hang out with me without acting scared,\so I don't need to go to school now.\You're the only one who sees it that way.\Huh?\Real friends wouldn't use you for money.\I don't have any friends, so I'm no expert,\but I'd rather have no friends than have friends like them.\You're a bad person. response:	What's his problem?
context: so I don't need to go to school now.\You're the only one who sees it that way.\Huh?\Real friends wouldn't use you for money.\I don't have any friends, so I'm no expert,\but I'd rather have no friends than have friends like them.\You're a bad person.\What's his problem? response:	I was just stating the facts.
context: You're the only one who sees it that way.\Huh?\Real friends wouldn't use you for money.\I don't have any friends, so I'm no expert,\but I'd rather have no friends than have friends like them.\You're a bad person.\What's his problem?\I was just stating the facts. response:	Why was he so mad?
context: Huh?\Real friends wouldn't use you for money.\I don't have any friends, so I'm no expert,\but I'd rather have no friends than have friends like them.\You're a bad person.\What's his problem?\I was just stating the facts.\Why was he so mad? response:	Mizutani-san.
context: Real friends wouldn't use you for money.\I don't have any friends, so I'm no expert,\but I'd rather have no friends than have friends like them.\You're a bad person.\What's his problem?\I was just stating the facts.\Why was he so mad?\Mizutani-san. response:	Did you ask him to come to school?
context: I don't have any friends, so I'm no expert,\but I'd rather have no friends than have friends like them.\You're a bad person.\What's his problem?\I was just stating the facts.\Why was he so mad?\Mizutani-san.\Did you ask him to come to school? response:	No.
context: but I'd rather have no friends than have friends like them.\You're a bad person.\What's his problem?\I was just stating the facts.\Why was he so mad?\Mizutani-san.\Did you ask him to come to school?\No. response:	I see...
context: You're a bad person.\What's his problem?\I was just stating the facts.\Why was he so mad?\Mizutani-san.\Did you ask him to come to school?\No.\I see... response:	He's refusing to take my calls...
context: What's his problem?\I was just stating the facts.\Why was he so mad?\Mizutani-san.\Did you ask him to come to school?\No.\I see...\He's refusing to take my calls... response:	The way things are looking, he'll probably be expelled.
context: I was just stating the facts.\Why was he so mad?\Mizutani-san.\Did you ask him to come to school?\No.\I see...\He's refusing to take my calls...\The way things are looking, he'll probably be expelled. response:	Haru isn't here.
context: Why was he so mad?\Mizutani-san.\Did you ask him to come to school?\No.\I see...\He's refusing to take my calls...\The way things are looking, he'll probably be expelled.\Haru isn't here. response:	Oh.
context: Mizutani-san.\Did you ask him to come to school?\No.\I see...\He's refusing to take my calls...\The way things are looking, he'll probably be expelled.\Haru isn't here.\Oh. response:	No, um...
context: Did you ask him to come to school?\No.\I see...\He's refusing to take my calls...\The way things are looking, he'll probably be expelled.\Haru isn't here.\Oh.\No, um... response:	Can you tell Yoshida-kun he'll be expelled
context: No.\I see...\He's refusing to take my calls...\The way things are looking, he'll probably be expelled.\Haru isn't here.\Oh.\No, um...\Can you tell Yoshida-kun he'll be expelled response:	if he keeps skipping school?
context: I see...\He's refusing to take my calls...\The way things are looking, he'll probably be expelled.\Haru isn't here.\Oh.\No, um...\Can you tell Yoshida-kun he'll be expelled\if he keeps skipping school? response:	Bye.
context: He's refusing to take my calls...\The way things are looking, he'll probably be expelled.\Haru isn't here.\Oh.\No, um...\Can you tell Yoshida-kun he'll be expelled\if he keeps skipping school?\Bye. response:	Hold on.
context: The way things are looking, he'll probably be expelled.\Haru isn't here.\Oh.\No, um...\Can you tell Yoshida-kun he'll be expelled\if he keeps skipping school?\Bye.\Hold on. response:	Want a go at it?
context: Haru isn't here.\Oh.\No, um...\Can you tell Yoshida-kun he'll be expelled\if he keeps skipping school?\Bye.\Hold on.\Want a go at it? response:	Left Hit
context: Oh.\No, um...\Can you tell Yoshida-kun he'll be expelled\if he keeps skipping school?\Bye.\Hold on.\Want a go at it?\Left Hit response:	Right Hit
context: No, um...\Can you tell Yoshida-kun he'll be expelled\if he keeps skipping school?\Bye.\Hold on.\Want a go at it?\Left Hit\Right Hit response:	I can't hit the ball...
context: Can you tell Yoshida-kun he'll be expelled\if he keeps skipping school?\Bye.\Hold on.\Want a go at it?\Left Hit\Right Hit\I can't hit the ball... response:	Why am I doing this?
context: if he keeps skipping school?\Bye.\Hold on.\Want a go at it?\Left Hit\Right Hit\I can't hit the ball...\Why am I doing this? response:	I shouldn't have come here.
context: Bye.\Hold on.\Want a go at it?\Left Hit\Right Hit\I can't hit the ball...\Why am I doing this?\I shouldn't have come here. response:	Man, what's up with Haru?
context: Hold on.\Want a go at it?\Left Hit\Right Hit\I can't hit the ball...\Why am I doing this?\I shouldn't have come here.\Man, what's up with Haru? response:	He stopped giving me money.
context: Want a go at it?\Left Hit\Right Hit\I can't hit the ball...\Why am I doing this?\I shouldn't have come here.\Man, what's up with Haru?\He stopped giving me money. response:	Really?
context: Left Hit\Right Hit\I can't hit the ball...\Why am I doing this?\I shouldn't have come here.\Man, what's up with Haru?\He stopped giving me money.\Really? response:	Does it matter?
context: Right Hit\I can't hit the ball...\Why am I doing this?\I shouldn't have come here.\Man, what's up with Haru?\He stopped giving me money.\Really?\Does it matter? response:	It's not like you're broke or anything.
context: I can't hit the ball...\Why am I doing this?\I shouldn't have come here.\Man, what's up with Haru?\He stopped giving me money.\Really?\Does it matter?\It's not like you're broke or anything. response:	But it's lame.
context: Why am I doing this?\I shouldn't have come here.\Man, what's up with Haru?\He stopped giving me money.\Really?\Does it matter?\It's not like you're broke or anything.\But it's lame. response:	No point in bothering with him anymore.
context: I shouldn't have come here.\Man, what's up with Haru?\He stopped giving me money.\Really?\Does it matter?\It's not like you're broke or anything.\But it's lame.\No point in bothering with him anymore. response:	See? Told you so.
context: Man, what's up with Haru?\He stopped giving me money.\Really?\Does it matter?\It's not like you're broke or anything.\But it's lame.\No point in bothering with him anymore.\See? Told you so. response:	Idiot!
context: He stopped giving me money.\Really?\Does it matter?\It's not like you're broke or anything.\But it's lame.\No point in bothering with him anymore.\See? Told you so.\Idiot! response:	Oh...
context: Really?\Does it matter?\It's not like you're broke or anything.\But it's lame.\No point in bothering with him anymore.\See? Told you so.\Idiot!\Oh... response:	So he actually has feelings.
context: Does it matter?\It's not like you're broke or anything.\But it's lame.\No point in bothering with him anymore.\See? Told you so.\Idiot!\Oh...\So he actually has feelings. response:	Not that I care.
context: It's not like you're broke or anything.\But it's lame.\No point in bothering with him anymore.\See? Told you so.\Idiot!\Oh...\So he actually has feelings.\Not that I care. response:	The dog was kidnapped!
context: But it's lame.\No point in bothering with him anymore.\See? Told you so.\Idiot!\Oh...\So he actually has feelings.\Not that I care.\The dog was kidnapped! response:	Seriously?
context: No point in bothering with him anymore.\See? Told you so.\Idiot!\Oh...\So he actually has feelings.\Not that I care.\The dog was kidnapped!\Seriously? response:	Something's wrong with me today...
context: See? Told you so.\Idiot!\Oh...\So he actually has feelings.\Not that I care.\The dog was kidnapped!\Seriously?\Something's wrong with me today... response:	The collar should have told him that it wasn't a stray.
context: Idiot!\Oh...\So he actually has feelings.\Not that I care.\The dog was kidnapped!\Seriously?\Something's wrong with me today...\The collar should have told him that it wasn't a stray. response:	Yes, really.
context: Oh...\So he actually has feelings.\Not that I care.\The dog was kidnapped!\Seriously?\Something's wrong with me today...\The collar should have told him that it wasn't a stray.\Yes, really. response:	What do you want?
context: So he actually has feelings.\Not that I care.\The dog was kidnapped!\Seriously?\Something's wrong with me today...\The collar should have told him that it wasn't a stray.\Yes, really.\What do you want? response:	Why am I doing this?
context: Not that I care.\The dog was kidnapped!\Seriously?\Something's wrong with me today...\The collar should have told him that it wasn't a stray.\Yes, really.\What do you want?\Why am I doing this? response:	Oh, isn't she...
context: The dog was kidnapped!\Seriously?\Something's wrong with me today...\The collar should have told him that it wasn't a stray.\Yes, really.\What do you want?\Why am I doing this?\Oh, isn't she... response:	the girl who was with Haru?
context: Seriously?\Something's wrong with me today...\The collar should have told him that it wasn't a stray.\Yes, really.\What do you want?\Why am I doing this?\Oh, isn't she...\the girl who was with Haru? response:	But...
context: Something's wrong with me today...\The collar should have told him that it wasn't a stray.\Yes, really.\What do you want?\Why am I doing this?\Oh, isn't she...\the girl who was with Haru?\But... response:	After seeing that look on his face...
context: The collar should have told him that it wasn't a stray.\Yes, really.\What do you want?\Why am I doing this?\Oh, isn't she...\the girl who was with Haru?\But...\After seeing that look on his face... response:	Yo-Yoshida-kun thinks you guys are his friends.
context: Yes, really.\What do you want?\Why am I doing this?\Oh, isn't she...\the girl who was with Haru?\But...\After seeing that look on his face...\Yo-Yoshida-kun thinks you guys are his friends. response:	So, if you consider him a friend,
context: What do you want?\Why am I doing this?\Oh, isn't she...\the girl who was with Haru?\But...\After seeing that look on his face...\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend, response:	you should be honest with him!
context: Why am I doing this?\Oh, isn't she...\the girl who was with Haru?\But...\After seeing that look on his face...\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him! response:	What's her problem?
context: Oh, isn't she...\the girl who was with Haru?\But...\After seeing that look on his face...\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him!\What's her problem? response:	Ha-Haru?!
context: the girl who was with Haru?\But...\After seeing that look on his face...\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him!\What's her problem?\Ha-Haru?! response:	You guys should leave.
context: But...\After seeing that look on his face...\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him!\What's her problem?\Ha-Haru?!\You guys should leave. response:	Afterwards,
context: After seeing that look on his face...\Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him!\What's her problem?\Ha-Haru?!\You guys should leave.\Afterwards, response:	Yoshida-kun walked me home without saying a word.
context: Yo-Yoshida-kun thinks you guys are his friends.\So, if you consider him a friend,\you should be honest with him!\What's her problem?\Ha-Haru?!\You guys should leave.\Afterwards,\Yoshida-kun walked me home without saying a word. response:	Y-You don't need to cry!
context: So, if you consider him a friend,\you should be honest with him!\What's her problem?\Ha-Haru?!\You guys should leave.\Afterwards,\Yoshida-kun walked me home without saying a word.\Y-You don't need to cry! response:	No...
context: you should be honest with him!\What's her problem?\Ha-Haru?!\You guys should leave.\Afterwards,\Yoshida-kun walked me home without saying a word.\Y-You don't need to cry!\No... response:	I was so happy.
context: What's her problem?\Ha-Haru?!\You guys should leave.\Afterwards,\Yoshida-kun walked me home without saying a word.\Y-You don't need to cry!\No...\I was so happy. response:	I don't understand...
context: Ha-Haru?!\You guys should leave.\Afterwards,\Yoshida-kun walked me home without saying a word.\Y-You don't need to cry!\No...\I was so happy.\I don't understand... response:	I didn't shed a single tear when that happened,
context: You guys should leave.\Afterwards,\Yoshida-kun walked me home without saying a word.\Y-You don't need to cry!\No...\I was so happy.\I don't understand...\I didn't shed a single tear when that happened, response:	but now, I'm about to break down...
context: Afterwards,\Yoshida-kun walked me home without saying a word.\Y-You don't need to cry!\No...\I was so happy.\I don't understand...\I didn't shed a single tear when that happened,\but now, I'm about to break down... response:	It's okay.
context: Yoshida-kun walked me home without saying a word.\Y-You don't need to cry!\No...\I was so happy.\I don't understand...\I didn't shed a single tear when that happened,\but now, I'm about to break down...\It's okay. response:	It won't be long before you're surrounded by lots of people.
context: Y-You don't need to cry!\No...\I was so happy.\I don't understand...\I didn't shed a single tear when that happened,\but now, I'm about to break down...\It's okay.\It won't be long before you're surrounded by lots of people. response:	If you're there,
context: No...\I was so happy.\I don't understand...\I didn't shed a single tear when that happened,\but now, I'm about to break down...\It's okay.\It won't be long before you're surrounded by lots of people.\If you're there, response:	I'll try going to school.
context: I was so happy.\I don't understand...\I didn't shed a single tear when that happened,\but now, I'm about to break down...\It's okay.\It won't be long before you're surrounded by lots of people.\If you're there,\I'll try going to school. response:	I'm glad to hear that.
context: I don't understand...\I didn't shed a single tear when that happened,\but now, I'm about to break down...\It's okay.\It won't be long before you're surrounded by lots of people.\If you're there,\I'll try going to school.\I'm glad to hear that. response:	My heart is beating really fast.
context: I didn't shed a single tear when that happened,\but now, I'm about to break down...\It's okay.\It won't be long before you're surrounded by lots of people.\If you're there,\I'll try going to school.\I'm glad to hear that.\My heart is beating really fast. response:	Huh?
context: but now, I'm about to break down...\It's okay.\It won't be long before you're surrounded by lots of people.\If you're there,\I'll try going to school.\I'm glad to hear that.\My heart is beating really fast.\Huh? response:	I think I like you.
context: It's okay.\It won't be long before you're surrounded by lots of people.\If you're there,\I'll try going to school.\I'm glad to hear that.\My heart is beating really fast.\Huh?\I think I like you. response:	Huh?
context: It won't be long before you're surrounded by lots of people.\If you're there,\I'll try going to school.\I'm glad to hear that.\My heart is beating really fast.\Huh?\I think I like you.\Huh? response:	Y-You mean in a friend kind of way?
context: If you're there,\I'll try going to school.\I'm glad to hear that.\My heart is beating really fast.\Huh?\I think I like you.\Huh?\Y-You mean in a friend kind of way? response:	In a sexual way!
context: I'll try going to school.\I'm glad to hear that.\My heart is beating really fast.\Huh?\I think I like you.\Huh?\Y-You mean in a friend kind of way?\In a sexual way! response:	W-Wait a second!
context: I'm glad to hear that.\My heart is beating really fast.\Huh?\I think I like you.\Huh?\Y-You mean in a friend kind of way?\In a sexual way!\W-Wait a second! response:	I-It's probably just something like an imprinted sentiment.
context: My heart is beating really fast.\Huh?\I think I like you.\Huh?\Y-You mean in a friend kind of way?\In a sexual way!\W-Wait a second!\I-It's probably just something like an imprinted sentiment. response:	You're misunderstanding your own feelings
context: Huh?\I think I like you.\Huh?\Y-You mean in a friend kind of way?\In a sexual way!\W-Wait a second!\I-It's probably just something like an imprinted sentiment.\You're misunderstanding your own feelings response:	because you've never had any friends before.
context: I think I like you.\Huh?\Y-You mean in a friend kind of way?\In a sexual way!\W-Wait a second!\I-It's probably just something like an imprinted sentiment.\You're misunderstanding your own feelings\because you've never had any friends before. response:	Huh?
context: Huh?\Y-You mean in a friend kind of way?\In a sexual way!\W-Wait a second!\I-It's probably just something like an imprinted sentiment.\You're misunderstanding your own feelings\because you've never had any friends before.\Huh? response:	So once I make more friends, you'll believe me?
context: Y-You mean in a friend kind of way?\In a sexual way!\W-Wait a second!\I-It's probably just something like an imprinted sentiment.\You're misunderstanding your own feelings\because you've never had any friends before.\Huh?\So once I make more friends, you'll believe me? response:	I-I guess...
context: In a sexual way!\W-Wait a second!\I-It's probably just something like an imprinted sentiment.\You're misunderstanding your own feelings\because you've never had any friends before.\Huh?\So once I make more friends, you'll believe me?\I-I guess... response:	Fine,
context: W-Wait a second!\I-It's probably just something like an imprinted sentiment.\You're misunderstanding your own feelings\because you've never had any friends before.\Huh?\So once I make more friends, you'll believe me?\I-I guess...\Fine, response:	but my feelings won't change.
context: I-It's probably just something like an imprinted sentiment.\You're misunderstanding your own feelings\because you've never had any friends before.\Huh?\So once I make more friends, you'll believe me?\I-I guess...\Fine,\but my feelings won't change. response:	I'll always love you.
context: You're misunderstanding your own feelings\because you've never had any friends before.\Huh?\So once I make more friends, you'll believe me?\I-I guess...\Fine,\but my feelings won't change.\I'll always love you. response:	It was a beautiful spring day
context: because you've never had any friends before.\Huh?\So once I make more friends, you'll believe me?\I-I guess...\Fine,\but my feelings won't change.\I'll always love you.\It was a beautiful spring day response:	when I received my first confession of love in my life.
context: Huh?\So once I make more friends, you'll believe me?\I-I guess...\Fine,\but my feelings won't change.\I'll always love you.\It was a beautiful spring day\when I received my first confession of love in my life. response:	The next day, Yoshida-kun showed up at school.
context: So once I make more friends, you'll believe me?\I-I guess...\Fine,\but my feelings won't change.\I'll always love you.\It was a beautiful spring day\when I received my first confession of love in my life.\The next day, Yoshida-kun showed up at school. response:	Shi-Shizuku!
context: I-I guess...\Fine,\but my feelings won't change.\I'll always love you.\It was a beautiful spring day\when I received my first confession of love in my life.\The next day, Yoshida-kun showed up at school.\Shi-Shizuku! response:	I'm so nervous that I can't move my legs!
context: Fine,\but my feelings won't change.\I'll always love you.\It was a beautiful spring day\when I received my first confession of love in my life.\The next day, Yoshida-kun showed up at school.\Shi-Shizuku!\I'm so nervous that I can't move my legs! response:	What are you doing here?!
context: but my feelings won't change.\I'll always love you.\It was a beautiful spring day\when I received my first confession of love in my life.\The next day, Yoshida-kun showed up at school.\Shi-Shizuku!\I'm so nervous that I can't move my legs!\What are you doing here?! response:	One Month Later
context: I'll always love you.\It was a beautiful spring day\when I received my first confession of love in my life.\The next day, Yoshida-kun showed up at school.\Shi-Shizuku!\I'm so nervous that I can't move my legs!\What are you doing here?!\One Month Later response:	Shizuku!
context: It was a beautiful spring day\when I received my first confession of love in my life.\The next day, Yoshida-kun showed up at school.\Shi-Shizuku!\I'm so nervous that I can't move my legs!\What are you doing here?!\One Month Later\Shizuku! response:	Help!
context: when I received my first confession of love in my life.\The next day, Yoshida-kun showed up at school.\Shi-Shizuku!\I'm so nervous that I can't move my legs!\What are you doing here?!\One Month Later\Shizuku!\Help! response:	I'm being robbed!
context: The next day, Yoshida-kun showed up at school.\Shi-Shizuku!\I'm so nervous that I can't move my legs!\What are you doing here?!\One Month Later\Shizuku!\Help!\I'm being robbed! response:	They told me to give them money!
context: Shi-Shizuku!\I'm so nervous that I can't move my legs!\What are you doing here?!\One Month Later\Shizuku!\Help!\I'm being robbed!\They told me to give them money! response:	Huh?
context: I'm so nervous that I can't move my legs!\What are you doing here?!\One Month Later\Shizuku!\Help!\I'm being robbed!\They told me to give them money!\Huh? response:	Where are you going, Shizuku?
context: What are you doing here?!\One Month Later\Shizuku!\Help!\I'm being robbed!\They told me to give them money!\Huh?\Where are you going, Shizuku? response:	Gym.
context: One Month Later\Shizuku!\Help!\I'm being robbed!\They told me to give them money!\Huh?\Where are you going, Shizuku?\Gym. response:	O-Oh...
context: Shizuku!\Help!\I'm being robbed!\They told me to give them money!\Huh?\Where are you going, Shizuku?\Gym.\O-Oh... response:	It's finally come...
context: Help!\I'm being robbed!\They told me to give them money!\Huh?\Where are you going, Shizuku?\Gym.\O-Oh...\It's finally come... response:	But this is normal...
context: I'm being robbed!\They told me to give them money!\Huh?\Where are you going, Shizuku?\Gym.\O-Oh...\It's finally come...\But this is normal... response:	There!
context: They told me to give them money!\Huh?\Where are you going, Shizuku?\Gym.\O-Oh...\It's finally come...\But this is normal...\There! response:	What are you doing?!
context: Huh?\Where are you going, Shizuku?\Gym.\O-Oh...\It's finally come...\But this is normal...\There!\What are you doing?! response:	What?! But Mi-chan said that...
context: Where are you going, Shizuku?\Gym.\O-Oh...\It's finally come...\But this is normal...\There!\What are you doing?!\What?! But Mi-chan said that... response:	Over the past month,
context: Gym.\O-Oh...\It's finally come...\But this is normal...\There!\What are you doing?!\What?! But Mi-chan said that...\Over the past month, response:	I've come to realize that there's no end to the wacky behavior
context: O-Oh...\It's finally come...\But this is normal...\There!\What are you doing?!\What?! But Mi-chan said that...\Over the past month,\I've come to realize that there's no end to the wacky behavior response:	that arises from
context: It's finally come...\But this is normal...\There!\What are you doing?!\What?! But Mi-chan said that...\Over the past month,\I've come to realize that there's no end to the wacky behavior\that arises from response:	Haru's misguided notions about school.
context: But this is normal...\There!\What are you doing?!\What?! But Mi-chan said that...\Over the past month,\I've come to realize that there's no end to the wacky behavior\that arises from\Haru's misguided notions about school. response:	But...
context: There!\What are you doing?!\What?! But Mi-chan said that...\Over the past month,\I've come to realize that there's no end to the wacky behavior\that arises from\Haru's misguided notions about school.\But... response:	None of it mattered to me.
context: What are you doing?!\What?! But Mi-chan said that...\Over the past month,\I've come to realize that there's no end to the wacky behavior\that arises from\Haru's misguided notions about school.\But...\None of it mattered to me. response:	The problem was that...
context: What?! But Mi-chan said that...\Over the past month,\I've come to realize that there's no end to the wacky behavior\that arises from\Haru's misguided notions about school.\But...\None of it mattered to me.\The problem was that... response:	May - Monja Special 20 monja places you must visit
context: Over the past month,\I've come to realize that there's no end to the wacky behavior\that arises from\Haru's misguided notions about school.\But...\None of it mattered to me.\The problem was that...\May - Monja Special 20 monja places you must visit response:	Take me here.
context: I've come to realize that there's no end to the wacky behavior\that arises from\Haru's misguided notions about school.\But...\None of it mattered to me.\The problem was that...\May - Monja Special 20 monja places you must visit\Take me here. response:	No.
context: that arises from\Haru's misguided notions about school.\But...\None of it mattered to me.\The problem was that...\May - Monja Special 20 monja places you must visit\Take me here.\No. response:	Why not?!
context: Haru's misguided notions about school.\But...\None of it mattered to me.\The problem was that...\May - Monja Special 20 monja places you must visit\Take me here.\No.\Why not?! response:	We're talking monja! Monja!
context: But...\None of it mattered to me.\The problem was that...\May - Monja Special 20 monja places you must visit\Take me here.\No.\Why not?!\We're talking monja! Monja! response:	Like I already explained,
context: None of it mattered to me.\The problem was that...\May - Monja Special 20 monja places you must visit\Take me here.\No.\Why not?!\We're talking monja! Monja!\Like I already explained, response:	I want to study after school!
context: The problem was that...\May - Monja Special 20 monja places you must visit\Take me here.\No.\Why not?!\We're talking monja! Monja!\Like I already explained,\I want to study after school! response:	Monja! Monja! Monja! Monja!
context: May - Monja Special 20 monja places you must visit\Take me here.\No.\Why not?!\We're talking monja! Monja!\Like I already explained,\I want to study after school!\Monja! Monja! Monja! Monja! response:	Yes, ever since returning to school,
context: Take me here.\No.\Why not?!\We're talking monja! Monja!\Like I already explained,\I want to study after school!\Monja! Monja! Monja! Monja!\Yes, ever since returning to school, response:	he's been following me around,
context: No.\Why not?!\We're talking monja! Monja!\Like I already explained,\I want to study after school!\Monja! Monja! Monja! Monja!\Yes, ever since returning to school,\he's been following me around, response:	and I'm having trouble studying.
context: Why not?!\We're talking monja! Monja!\Like I already explained,\I want to study after school!\Monja! Monja! Monja! Monja!\Yes, ever since returning to school,\he's been following me around,\and I'm having trouble studying. response:	Oh, Mizutani-san.
context: We're talking monja! Monja!\Like I already explained,\I want to study after school!\Monja! Monja! Monja! Monja!\Yes, ever since returning to school,\he's been following me around,\and I'm having trouble studying.\Oh, Mizutani-san. response:	Eh?
context: Like I already explained,\I want to study after school!\Monja! Monja! Monja! Monja!\Yes, ever since returning to school,\he's been following me around,\and I'm having trouble studying.\Oh, Mizutani-san.\Eh? response:	What are you looking at?
context: I want to study after school!\Monja! Monja! Monja! Monja!\Yes, ever since returning to school,\he's been following me around,\and I'm having trouble studying.\Oh, Mizutani-san.\Eh?\What are you looking at? response:	Okay, no need to intimidate her.
context: Monja! Monja! Monja! Monja!\Yes, ever since returning to school,\he's been following me around,\and I'm having trouble studying.\Oh, Mizutani-san.\Eh?\What are you looking at?\Okay, no need to intimidate her. response:	I don't like you!
