context: Once upon a time, there was a child. response:	For the child, the world was filled with wonder.
context: So, Rue-chan, even you have things you're not sure about?\Is it... about Mytho?\That's why I came here, but I've changed my mind.\I see.\I'm sure he'll come back to school soon.\Why do you think so?\Um, just a feeling.\I'm sorry, that was thoughtless. response:	See you later.
context: Is it... about Mytho?\That's why I came here, but I've changed my mind.\I see.\I'm sure he'll come back to school soon.\Why do you think so?\Um, just a feeling.\I'm sorry, that was thoughtless.\See you later. response:	Oh, Rue-chan!
context: That's why I came here, but I've changed my mind.\I see.\I'm sure he'll come back to school soon.\Why do you think so?\Um, just a feeling.\I'm sorry, that was thoughtless.\See you later.\Oh, Rue-chan! response:	Rue-chan, you know that Mytho doesn't have a heart, right?
context: I see.\I'm sure he'll come back to school soon.\Why do you think so?\Um, just a feeling.\I'm sorry, that was thoughtless.\See you later.\Oh, Rue-chan!\Rue-chan, you know that Mytho doesn't have a heart, right? response:	Of course.
context: I'm sure he'll come back to school soon.\Why do you think so?\Um, just a feeling.\I'm sorry, that was thoughtless.\See you later.\Oh, Rue-chan!\Rue-chan, you know that Mytho doesn't have a heart, right?\Of course. response:	So, well...
context: Why do you think so?\Um, just a feeling.\I'm sorry, that was thoughtless.\See you later.\Oh, Rue-chan!\Rue-chan, you know that Mytho doesn't have a heart, right?\Of course.\So, well... response:	Do you think it would be better if he had a heart after all?
context: Um, just a feeling.\I'm sorry, that was thoughtless.\See you later.\Oh, Rue-chan!\Rue-chan, you know that Mytho doesn't have a heart, right?\Of course.\So, well...\Do you think it would be better if he had a heart after all? response:	It doesn't matter.
context: I'm sorry, that was thoughtless.\See you later.\Oh, Rue-chan!\Rue-chan, you know that Mytho doesn't have a heart, right?\Of course.\So, well...\Do you think it would be better if he had a heart after all?\It doesn't matter. response:	What?
context: See you later.\Oh, Rue-chan!\Rue-chan, you know that Mytho doesn't have a heart, right?\Of course.\So, well...\Do you think it would be better if he had a heart after all?\It doesn't matter.\What? response:	I've always only had eyes for Mytho.
context: Oh, Rue-chan!\Rue-chan, you know that Mytho doesn't have a heart, right?\Of course.\So, well...\Do you think it would be better if he had a heart after all?\It doesn't matter.\What?\I've always only had eyes for Mytho. response:	Whether he has a heart or not, it won't change the fact that I love him.
context: Rue-chan, you know that Mytho doesn't have a heart, right?\Of course.\So, well...\Do you think it would be better if he had a heart after all?\It doesn't matter.\What?\I've always only had eyes for Mytho.\Whether he has a heart or not, it won't change the fact that I love him. response:	And I'll continue to love him.
context: Of course.\So, well...\Do you think it would be better if he had a heart after all?\It doesn't matter.\What?\I've always only had eyes for Mytho.\Whether he has a heart or not, it won't change the fact that I love him.\And I'll continue to love him. response:	I'm still far from having loved him enough.
context: So, well...\Do you think it would be better if he had a heart after all?\It doesn't matter.\What?\I've always only had eyes for Mytho.\Whether he has a heart or not, it won't change the fact that I love him.\And I'll continue to love him.\I'm still far from having loved him enough. response:	Rue-chan said she loves Mytho.
context: Do you think it would be better if he had a heart after all?\It doesn't matter.\What?\I've always only had eyes for Mytho.\Whether he has a heart or not, it won't change the fact that I love him.\And I'll continue to love him.\I'm still far from having loved him enough.\Rue-chan said she loves Mytho. response:	I'm just a bird, so something like that...
context: It doesn't matter.\What?\I've always only had eyes for Mytho.\Whether he has a heart or not, it won't change the fact that I love him.\And I'll continue to love him.\I'm still far from having loved him enough.\Rue-chan said she loves Mytho.\I'm just a bird, so something like that... response:	Mytho! Snap out of it, Mytho!
context: What?\I've always only had eyes for Mytho.\Whether he has a heart or not, it won't change the fact that I love him.\And I'll continue to love him.\I'm still far from having loved him enough.\Rue-chan said she loves Mytho.\I'm just a bird, so something like that...\Mytho! Snap out of it, Mytho! response:	Mytho...
context: I've always only had eyes for Mytho.\Whether he has a heart or not, it won't change the fact that I love him.\And I'll continue to love him.\I'm still far from having loved him enough.\Rue-chan said she loves Mytho.\I'm just a bird, so something like that...\Mytho! Snap out of it, Mytho!\Mytho... response:	What is it?
context: Whether he has a heart or not, it won't change the fact that I love him.\And I'll continue to love him.\I'm still far from having loved him enough.\Rue-chan said she loves Mytho.\I'm just a bird, so something like that...\Mytho! Snap out of it, Mytho!\Mytho...\What is it? response:	Fakir, I had a dream.
context: And I'll continue to love him.\I'm still far from having loved him enough.\Rue-chan said she loves Mytho.\I'm just a bird, so something like that...\Mytho! Snap out of it, Mytho!\Mytho...\What is it?\Fakir, I had a dream. response:	There was a big black being and it...
context: I'm still far from having loved him enough.\Rue-chan said she loves Mytho.\I'm just a bird, so something like that...\Mytho! Snap out of it, Mytho!\Mytho...\What is it?\Fakir, I had a dream.\There was a big black being and it... response:	Don't worry.
context: Rue-chan said she loves Mytho.\I'm just a bird, so something like that...\Mytho! Snap out of it, Mytho!\Mytho...\What is it?\Fakir, I had a dream.\There was a big black being and it...\Don't worry. response:	Who was that?
context: I'm just a bird, so something like that...\Mytho! Snap out of it, Mytho!\Mytho...\What is it?\Fakir, I had a dream.\There was a big black being and it...\Don't worry.\Who was that? response:	Don't let it bother you. You don't need to know anything.
context: Mytho! Snap out of it, Mytho!\Mytho...\What is it?\Fakir, I had a dream.\There was a big black being and it...\Don't worry.\Who was that?\Don't let it bother you. You don't need to know anything. response:	Got it?
context: Mytho...\What is it?\Fakir, I had a dream.\There was a big black being and it...\Don't worry.\Who was that?\Don't let it bother you. You don't need to know anything.\Got it? response:	Where's Tutu?
context: What is it?\Fakir, I had a dream.\There was a big black being and it...\Don't worry.\Who was that?\Don't let it bother you. You don't need to know anything.\Got it?\Where's Tutu? response:	Relax, no one knows that we're here.
context: Fakir, I had a dream.\There was a big black being and it...\Don't worry.\Who was that?\Don't let it bother you. You don't need to know anything.\Got it?\Where's Tutu?\Relax, no one knows that we're here. response:	So I can't see Tutu?
context: There was a big black being and it...\Don't worry.\Who was that?\Don't let it bother you. You don't need to know anything.\Got it?\Where's Tutu?\Relax, no one knows that we're here.\So I can't see Tutu? response:	That's right.
context: Don't worry.\Who was that?\Don't let it bother you. You don't need to know anything.\Got it?\Where's Tutu?\Relax, no one knows that we're here.\So I can't see Tutu?\That's right. response:	If you stay in here, you'll eventually forget everything.
context: Who was that?\Don't let it bother you. You don't need to know anything.\Got it?\Where's Tutu?\Relax, no one knows that we're here.\So I can't see Tutu?\That's right.\If you stay in here, you'll eventually forget everything. response:	You won't be led astray by those stupid emotions, either.
context: Don't let it bother you. You don't need to know anything.\Got it?\Where's Tutu?\Relax, no one knows that we're here.\So I can't see Tutu?\That's right.\If you stay in here, you'll eventually forget everything.\You won't be led astray by those stupid emotions, either. response:	That's what's best for you.
context: Got it?\Where's Tutu?\Relax, no one knows that we're here.\So I can't see Tutu?\That's right.\If you stay in here, you'll eventually forget everything.\You won't be led astray by those stupid emotions, either.\That's what's best for you. response:	I want to make sure, but...
context: Where's Tutu?\Relax, no one knows that we're here.\So I can't see Tutu?\That's right.\If you stay in here, you'll eventually forget everything.\You won't be led astray by those stupid emotions, either.\That's what's best for you.\I want to make sure, but... response:	Both Rue-chan and Fakir say he doesn't need a heart.
context: Relax, no one knows that we're here.\So I can't see Tutu?\That's right.\If you stay in here, you'll eventually forget everything.\You won't be led astray by those stupid emotions, either.\That's what's best for you.\I want to make sure, but...\Both Rue-chan and Fakir say he doesn't need a heart. response:	And Mytho's suffering too.
context: So I can't see Tutu?\That's right.\If you stay in here, you'll eventually forget everything.\You won't be led astray by those stupid emotions, either.\That's what's best for you.\I want to make sure, but...\Both Rue-chan and Fakir say he doesn't need a heart.\And Mytho's suffering too. response:	Then, what is there to make certain?
context: That's right.\If you stay in here, you'll eventually forget everything.\You won't be led astray by those stupid emotions, either.\That's what's best for you.\I want to make sure, but...\Both Rue-chan and Fakir say he doesn't need a heart.\And Mytho's suffering too.\Then, what is there to make certain? response:	Oh, a heart shard!
context: If you stay in here, you'll eventually forget everything.\You won't be led astray by those stupid emotions, either.\That's what's best for you.\I want to make sure, but...\Both Rue-chan and Fakir say he doesn't need a heart.\And Mytho's suffering too.\Then, what is there to make certain?\Oh, a heart shard! response:	Being Princess Tutu is meaningless. I could quit and...
context: You won't be led astray by those stupid emotions, either.\That's what's best for you.\I want to make sure, but...\Both Rue-chan and Fakir say he doesn't need a heart.\And Mytho's suffering too.\Then, what is there to make certain?\Oh, a heart shard!\Being Princess Tutu is meaningless. I could quit and... response:	She wouldn't!
context: That's what's best for you.\I want to make sure, but...\Both Rue-chan and Fakir say he doesn't need a heart.\And Mytho's suffering too.\Then, what is there to make certain?\Oh, a heart shard!\Being Princess Tutu is meaningless. I could quit and...\She wouldn't! response:	If I return this...
context: I want to make sure, but...\Both Rue-chan and Fakir say he doesn't need a heart.\And Mytho's suffering too.\Then, what is there to make certain?\Oh, a heart shard!\Being Princess Tutu is meaningless. I could quit and...\She wouldn't!\If I return this... response:	But then I'd go back to being a bird, so if I just stay a girl...
context: Both Rue-chan and Fakir say he doesn't need a heart.\And Mytho's suffering too.\Then, what is there to make certain?\Oh, a heart shard!\Being Princess Tutu is meaningless. I could quit and...\She wouldn't!\If I return this...\But then I'd go back to being a bird, so if I just stay a girl... response:	Would that be sort of dishonest? It would, wouldn't it?
context: And Mytho's suffering too.\Then, what is there to make certain?\Oh, a heart shard!\Being Princess Tutu is meaningless. I could quit and...\She wouldn't!\If I return this...\But then I'd go back to being a bird, so if I just stay a girl...\Would that be sort of dishonest? It would, wouldn't it? response:	I think I'll just put an end to this now.
context: Then, what is there to make certain?\Oh, a heart shard!\Being Princess Tutu is meaningless. I could quit and...\She wouldn't!\If I return this...\But then I'd go back to being a bird, so if I just stay a girl...\Would that be sort of dishonest? It would, wouldn't it?\I think I'll just put an end to this now. response:	Oh my goodness! The story will be left hanging at this rate!
context: Oh, a heart shard!\Being Princess Tutu is meaningless. I could quit and...\She wouldn't!\If I return this...\But then I'd go back to being a bird, so if I just stay a girl...\Would that be sort of dishonest? It would, wouldn't it?\I think I'll just put an end to this now.\Oh my goodness! The story will be left hanging at this rate! response:	No! No! No!
context: Being Princess Tutu is meaningless. I could quit and...\She wouldn't!\If I return this...\But then I'd go back to being a bird, so if I just stay a girl...\Would that be sort of dishonest? It would, wouldn't it?\I think I'll just put an end to this now.\Oh my goodness! The story will be left hanging at this rate!\No! No! No! response:	I won't let it end here!
context: She wouldn't!\If I return this...\But then I'd go back to being a bird, so if I just stay a girl...\Would that be sort of dishonest? It would, wouldn't it?\I think I'll just put an end to this now.\Oh my goodness! The story will be left hanging at this rate!\No! No! No!\I won't let it end here! response:	A character in a story would never say they're going to end things at a spot like this!
context: If I return this...\But then I'd go back to being a bird, so if I just stay a girl...\Would that be sort of dishonest? It would, wouldn't it?\I think I'll just put an end to this now.\Oh my goodness! The story will be left hanging at this rate!\No! No! No!\I won't let it end here!\A character in a story would never say they're going to end things at a spot like this! response:	I swear! Reality is just so...
context: But then I'd go back to being a bird, so if I just stay a girl...\Would that be sort of dishonest? It would, wouldn't it?\I think I'll just put an end to this now.\Oh my goodness! The story will be left hanging at this rate!\No! No! No!\I won't let it end here!\A character in a story would never say they're going to end things at a spot like this!\I swear! Reality is just so... response:	Since it's come to this...
context: Would that be sort of dishonest? It would, wouldn't it?\I think I'll just put an end to this now.\Oh my goodness! The story will be left hanging at this rate!\No! No! No!\I won't let it end here!\A character in a story would never say they're going to end things at a spot like this!\I swear! Reality is just so...\Since it's come to this... response:	I have no choice but to use this passageway of time once again.
context: I think I'll just put an end to this now.\Oh my goodness! The story will be left hanging at this rate!\No! No! No!\I won't let it end here!\A character in a story would never say they're going to end things at a spot like this!\I swear! Reality is just so...\Since it's come to this...\I have no choice but to use this passageway of time once again. response:	It's old, so who knows how many more times I'll be able to use it?
context: Oh my goodness! The story will be left hanging at this rate!\No! No! No!\I won't let it end here!\A character in a story would never say they're going to end things at a spot like this!\I swear! Reality is just so...\Since it's come to this...\I have no choice but to use this passageway of time once again.\It's old, so who knows how many more times I'll be able to use it? response:	There was never anything I could do for him from the start!
context: No! No! No!\I won't let it end here!\A character in a story would never say they're going to end things at a spot like this!\I swear! Reality is just so...\Since it's come to this...\I have no choice but to use this passageway of time once again.\It's old, so who knows how many more times I'll be able to use it?\There was never anything I could do for him from the start! response:	I fell in love on my own, and I believed what I wanted to.
context: I won't let it end here!\A character in a story would never say they're going to end things at a spot like this!\I swear! Reality is just so...\Since it's come to this...\I have no choice but to use this passageway of time once again.\It's old, so who knows how many more times I'll be able to use it?\There was never anything I could do for him from the start!\I fell in love on my own, and I believed what I wanted to. response:	What?
context: A character in a story would never say they're going to end things at a spot like this!\I swear! Reality is just so...\Since it's come to this...\I have no choice but to use this passageway of time once again.\It's old, so who knows how many more times I'll be able to use it?\There was never anything I could do for him from the start!\I fell in love on my own, and I believed what I wanted to.\What? response:	Long time no see, Little Duck.
context: I swear! Reality is just so...\Since it's come to this...\I have no choice but to use this passageway of time once again.\It's old, so who knows how many more times I'll be able to use it?\There was never anything I could do for him from the start!\I fell in love on my own, and I believed what I wanted to.\What?\Long time no see, Little Duck. response:	What?!
context: Since it's come to this...\I have no choice but to use this passageway of time once again.\It's old, so who knows how many more times I'll be able to use it?\There was never anything I could do for him from the start!\I fell in love on my own, and I believed what I wanted to.\What?\Long time no see, Little Duck.\What?! response:	Oh, dear, have you forgotten?
context: I have no choice but to use this passageway of time once again.\It's old, so who knows how many more times I'll be able to use it?\There was never anything I could do for him from the start!\I fell in love on my own, and I believed what I wanted to.\What?\Long time no see, Little Duck.\What?!\Oh, dear, have you forgotten? response:	I'm Drosselmeyer.
context: It's old, so who knows how many more times I'll be able to use it?\There was never anything I could do for him from the start!\I fell in love on my own, and I believed what I wanted to.\What?\Long time no see, Little Duck.\What?!\Oh, dear, have you forgotten?\I'm Drosselmeyer. response:	But you're supposed to be dead...
context: There was never anything I could do for him from the start!\I fell in love on my own, and I believed what I wanted to.\What?\Long time no see, Little Duck.\What?!\Oh, dear, have you forgotten?\I'm Drosselmeyer.\But you're supposed to be dead... response:	I AM dead. Completely dead.
context: I fell in love on my own, and I believed what I wanted to.\What?\Long time no see, Little Duck.\What?!\Oh, dear, have you forgotten?\I'm Drosselmeyer.\But you're supposed to be dead...\I AM dead. Completely dead. response:	That's why I can only come meet you like this.
context: What?\Long time no see, Little Duck.\What?!\Oh, dear, have you forgotten?\I'm Drosselmeyer.\But you're supposed to be dead...\I AM dead. Completely dead.\That's why I can only come meet you like this. response:	I came all this way so that I could show you that to quit being Princess Tutu is absolutely foolish.
context: Long time no see, Little Duck.\What?!\Oh, dear, have you forgotten?\I'm Drosselmeyer.\But you're supposed to be dead...\I AM dead. Completely dead.\That's why I can only come meet you like this.\I came all this way so that I could show you that to quit being Princess Tutu is absolutely foolish. response:	Now, you have to go restore the prince's heart to him!
context: What?!\Oh, dear, have you forgotten?\I'm Drosselmeyer.\But you're supposed to be dead...\I AM dead. Completely dead.\That's why I can only come meet you like this.\I came all this way so that I could show you that to quit being Princess Tutu is absolutely foolish.\Now, you have to go restore the prince's heart to him! response:	What I got back for him were things like fear and tears...
context: Oh, dear, have you forgotten?\I'm Drosselmeyer.\But you're supposed to be dead...\I AM dead. Completely dead.\That's why I can only come meet you like this.\I came all this way so that I could show you that to quit being Princess Tutu is absolutely foolish.\Now, you have to go restore the prince's heart to him!\What I got back for him were things like fear and tears... response:	That's right! Delightful, just delightful!
context: I'm Drosselmeyer.\But you're supposed to be dead...\I AM dead. Completely dead.\That's why I can only come meet you like this.\I came all this way so that I could show you that to quit being Princess Tutu is absolutely foolish.\Now, you have to go restore the prince's heart to him!\What I got back for him were things like fear and tears...\That's right! Delightful, just delightful! response:	If you go back to being a duck, you'll never get to see the prince again.
context: But you're supposed to be dead...\I AM dead. Completely dead.\That's why I can only come meet you like this.\I came all this way so that I could show you that to quit being Princess Tutu is absolutely foolish.\Now, you have to go restore the prince's heart to him!\What I got back for him were things like fear and tears...\That's right! Delightful, just delightful!\If you go back to being a duck, you'll never get to see the prince again. response:	Drosselmeyer-san.
context: I AM dead. Completely dead.\That's why I can only come meet you like this.\I came all this way so that I could show you that to quit being Princess Tutu is absolutely foolish.\Now, you have to go restore the prince's heart to him!\What I got back for him were things like fear and tears...\That's right! Delightful, just delightful!\If you go back to being a duck, you'll never get to see the prince again.\Drosselmeyer-san. response:	What is it?
context: That's why I can only come meet you like this.\I came all this way so that I could show you that to quit being Princess Tutu is absolutely foolish.\Now, you have to go restore the prince's heart to him!\What I got back for him were things like fear and tears...\That's right! Delightful, just delightful!\If you go back to being a duck, you'll never get to see the prince again.\Drosselmeyer-san.\What is it? response:	Why did you give me the chance to be Princess Tutu?
context: I came all this way so that I could show you that to quit being Princess Tutu is absolutely foolish.\Now, you have to go restore the prince's heart to him!\What I got back for him were things like fear and tears...\That's right! Delightful, just delightful!\If you go back to being a duck, you'll never get to see the prince again.\Drosselmeyer-san.\What is it?\Why did you give me the chance to be Princess Tutu? response:	That's easy.
context: Now, you have to go restore the prince's heart to him!\What I got back for him were things like fear and tears...\That's right! Delightful, just delightful!\If you go back to being a duck, you'll never get to see the prince again.\Drosselmeyer-san.\What is it?\Why did you give me the chance to be Princess Tutu?\That's easy. response:	What?
context: What I got back for him were things like fear and tears...\That's right! Delightful, just delightful!\If you go back to being a duck, you'll never get to see the prince again.\Drosselmeyer-san.\What is it?\Why did you give me the chance to be Princess Tutu?\That's easy.\What? response:	Because it would be fun.
context: That's right! Delightful, just delightful!\If you go back to being a duck, you'll never get to see the prince again.\Drosselmeyer-san.\What is it?\Why did you give me the chance to be Princess Tutu?\That's easy.\What?\Because it would be fun. response:	Fun...
context: If you go back to being a duck, you'll never get to see the prince again.\Drosselmeyer-san.\What is it?\Why did you give me the chance to be Princess Tutu?\That's easy.\What?\Because it would be fun.\Fun... response:	Oh!
context: Drosselmeyer-san.\What is it?\Why did you give me the chance to be Princess Tutu?\That's easy.\What?\Because it would be fun.\Fun...\Oh! response:	No, because you're the only one.
context: What is it?\Why did you give me the chance to be Princess Tutu?\That's easy.\What?\Because it would be fun.\Fun...\Oh!\No, because you're the only one. response:	I'm the only one?
context: Why did you give me the chance to be Princess Tutu?\That's easy.\What?\Because it would be fun.\Fun...\Oh!\No, because you're the only one.\I'm the only one? response:	That's right!
context: That's easy.\What?\Because it would be fun.\Fun...\Oh!\No, because you're the only one.\I'm the only one?\That's right! response:	While risking everything for the prince, Princess Tutu is fated never to be united with her prince.
context: What?\Because it would be fun.\Fun...\Oh!\No, because you're the only one.\I'm the only one?\That's right!\While risking everything for the prince, Princess Tutu is fated never to be united with her prince. response:	How cruel! What a thankless role! No one wants to be her.
context: Because it would be fun.\Fun...\Oh!\No, because you're the only one.\I'm the only one?\That's right!\While risking everything for the prince, Princess Tutu is fated never to be united with her prince.\How cruel! What a thankless role! No one wants to be her. response:	On top of that, the prince hates me now.
context: Fun...\Oh!\No, because you're the only one.\I'm the only one?\That's right!\While risking everything for the prince, Princess Tutu is fated never to be united with her prince.\How cruel! What a thankless role! No one wants to be her.\On top of that, the prince hates me now. response:	That's right. Truly delightful!
context: Oh!\No, because you're the only one.\I'm the only one?\That's right!\While risking everything for the prince, Princess Tutu is fated never to be united with her prince.\How cruel! What a thankless role! No one wants to be her.\On top of that, the prince hates me now.\That's right. Truly delightful! response:	You see, don't you? If you don't do it, who will?
context: No, because you're the only one.\I'm the only one?\That's right!\While risking everything for the prince, Princess Tutu is fated never to be united with her prince.\How cruel! What a thankless role! No one wants to be her.\On top of that, the prince hates me now.\That's right. Truly delightful!\You see, don't you? If you don't do it, who will? response:	No!
context: I'm the only one?\That's right!\While risking everything for the prince, Princess Tutu is fated never to be united with her prince.\How cruel! What a thankless role! No one wants to be her.\On top of that, the prince hates me now.\That's right. Truly delightful!\You see, don't you? If you don't do it, who will?\No! response:	It doesn't matter anymore!
context: That's right!\While risking everything for the prince, Princess Tutu is fated never to be united with her prince.\How cruel! What a thankless role! No one wants to be her.\On top of that, the prince hates me now.\That's right. Truly delightful!\You see, don't you? If you don't do it, who will?\No!\It doesn't matter anymore! response:	Oh, what have you done?!
context: While risking everything for the prince, Princess Tutu is fated never to be united with her prince.\How cruel! What a thankless role! No one wants to be her.\On top of that, the prince hates me now.\That's right. Truly delightful!\You see, don't you? If you don't do it, who will?\No!\It doesn't matter anymore!\Oh, what have you done?! response:	Quack!
context: How cruel! What a thankless role! No one wants to be her.\On top of that, the prince hates me now.\That's right. Truly delightful!\You see, don't you? If you don't do it, who will?\No!\It doesn't matter anymore!\Oh, what have you done?!\Quack! response:	Quack! Quack, quack, quack, quack!
context: On top of that, the prince hates me now.\That's right. Truly delightful!\You see, don't you? If you don't do it, who will?\No!\It doesn't matter anymore!\Oh, what have you done?!\Quack!\Quack! Quack, quack, quack, quack! response:	Oh, Little Duck!
context: That's right. Truly delightful!\You see, don't you? If you don't do it, who will?\No!\It doesn't matter anymore!\Oh, what have you done?!\Quack!\Quack! Quack, quack, quack, quack!\Oh, Little Duck! response:	Not good!
context: You see, don't you? If you don't do it, who will?\No!\It doesn't matter anymore!\Oh, what have you done?!\Quack!\Quack! Quack, quack, quack, quack!\Oh, Little Duck!\Not good! response:	I'll leave the rest to you.
context: No!\It doesn't matter anymore!\Oh, what have you done?!\Quack!\Quack! Quack, quack, quack, quack!\Oh, Little Duck!\Not good!\I'll leave the rest to you. response:	Princess Tutu...
context: It doesn't matter anymore!\Oh, what have you done?!\Quack!\Quack! Quack, quack, quack, quack!\Oh, Little Duck!\Not good!\I'll leave the rest to you.\Princess Tutu... response:	What is this that I feel when I think of Princess Tutu?
context: Oh, what have you done?!\Quack!\Quack! Quack, quack, quack, quack!\Oh, Little Duck!\Not good!\I'll leave the rest to you.\Princess Tutu...\What is this that I feel when I think of Princess Tutu? response:	If what I felt in the dream was fear, this is something different.
context: Quack!\Quack! Quack, quack, quack, quack!\Oh, Little Duck!\Not good!\I'll leave the rest to you.\Princess Tutu...\What is this that I feel when I think of Princess Tutu?\If what I felt in the dream was fear, this is something different. response:	Who's there?
context: Quack! Quack, quack, quack, quack!\Oh, Little Duck!\Not good!\I'll leave the rest to you.\Princess Tutu...\What is this that I feel when I think of Princess Tutu?\If what I felt in the dream was fear, this is something different.\Who's there? response:	Fakir?
context: Oh, Little Duck!\Not good!\I'll leave the rest to you.\Princess Tutu...\What is this that I feel when I think of Princess Tutu?\If what I felt in the dream was fear, this is something different.\Who's there?\Fakir? response:	Is that you, Tutu?
context: Not good!\I'll leave the rest to you.\Princess Tutu...\What is this that I feel when I think of Princess Tutu?\If what I felt in the dream was fear, this is something different.\Who's there?\Fakir?\Is that you, Tutu? response:	Tutu?
context: I'll leave the rest to you.\Princess Tutu...\What is this that I feel when I think of Princess Tutu?\If what I felt in the dream was fear, this is something different.\Who's there?\Fakir?\Is that you, Tutu?\Tutu? response:	Who's Tutu?
context: Princess Tutu...\What is this that I feel when I think of Princess Tutu?\If what I felt in the dream was fear, this is something different.\Who's there?\Fakir?\Is that you, Tutu?\Tutu?\Who's Tutu? response:	What kind of person is she?
context: What is this that I feel when I think of Princess Tutu?\If what I felt in the dream was fear, this is something different.\Who's there?\Fakir?\Is that you, Tutu?\Tutu?\Who's Tutu?\What kind of person is she? response:	Someone I fear.
context: If what I felt in the dream was fear, this is something different.\Who's there?\Fakir?\Is that you, Tutu?\Tutu?\Who's Tutu?\What kind of person is she?\Someone I fear. response:	You fear her and you're looking for her?
context: Who's there?\Fakir?\Is that you, Tutu?\Tutu?\Who's Tutu?\What kind of person is she?\Someone I fear.\You fear her and you're looking for her? response:	How strange. Why?
context: Fakir?\Is that you, Tutu?\Tutu?\Who's Tutu?\What kind of person is she?\Someone I fear.\You fear her and you're looking for her?\How strange. Why? response:	I wonder why?
context: Is that you, Tutu?\Tutu?\Who's Tutu?\What kind of person is she?\Someone I fear.\You fear her and you're looking for her?\How strange. Why?\I wonder why? response:	Why are you afraid of her?
context: Tutu?\Who's Tutu?\What kind of person is she?\Someone I fear.\You fear her and you're looking for her?\How strange. Why?\I wonder why?\Why are you afraid of her? response:	Because she's restoring my heart to me.
context: Who's Tutu?\What kind of person is she?\Someone I fear.\You fear her and you're looking for her?\How strange. Why?\I wonder why?\Why are you afraid of her?\Because she's restoring my heart to me. response:	You don't have a heart?
context: What kind of person is she?\Someone I fear.\You fear her and you're looking for her?\How strange. Why?\I wonder why?\Why are you afraid of her?\Because she's restoring my heart to me.\You don't have a heart? response:	No.
context: Someone I fear.\You fear her and you're looking for her?\How strange. Why?\I wonder why?\Why are you afraid of her?\Because she's restoring my heart to me.\You don't have a heart?\No. response:	Is it better not to have one?
context: You fear her and you're looking for her?\How strange. Why?\I wonder why?\Why are you afraid of her?\Because she's restoring my heart to me.\You don't have a heart?\No.\Is it better not to have one? response:	Yes.
context: How strange. Why?\I wonder why?\Why are you afraid of her?\Because she's restoring my heart to me.\You don't have a heart?\No.\Is it better not to have one?\Yes. response:	Why?
context: I wonder why?\Why are you afraid of her?\Because she's restoring my heart to me.\You don't have a heart?\No.\Is it better not to have one?\Yes.\Why? response:	I don't know.
context: Why are you afraid of her?\Because she's restoring my heart to me.\You don't have a heart?\No.\Is it better not to have one?\Yes.\Why?\I don't know. response:	Quack...
context: Because she's restoring my heart to me.\You don't have a heart?\No.\Is it better not to have one?\Yes.\Why?\I don't know.\Quack... response:	I don't have to worry about things like getting dropped to the probationary class anymore either.
context: You don't have a heart?\No.\Is it better not to have one?\Yes.\Why?\I don't know.\Quack...\I don't have to worry about things like getting dropped to the probationary class anymore either. response:	Edel-san.
context: No.\Is it better not to have one?\Yes.\Why?\I don't know.\Quack...\I don't have to worry about things like getting dropped to the probationary class anymore either.\Edel-san. response:	Would you like some gems?
context: Is it better not to have one?\Yes.\Why?\I don't know.\Quack...\I don't have to worry about things like getting dropped to the probationary class anymore either.\Edel-san.\Would you like some gems? response:	Your world as a bird, your world as a girl.
context: Yes.\Why?\I don't know.\Quack...\I don't have to worry about things like getting dropped to the probationary class anymore either.\Edel-san.\Would you like some gems?\Your world as a bird, your world as a girl. response:	The world within the story and the world of reality.
context: Why?\I don't know.\Quack...\I don't have to worry about things like getting dropped to the probationary class anymore either.\Edel-san.\Would you like some gems?\Your world as a bird, your world as a girl.\The world within the story and the world of reality. response:	The gem that links two worlds.
context: I don't know.\Quack...\I don't have to worry about things like getting dropped to the probationary class anymore either.\Edel-san.\Would you like some gems?\Your world as a bird, your world as a girl.\The world within the story and the world of reality.\The gem that links two worlds. response:	Will you close yourself to it all?
context: Quack...\I don't have to worry about things like getting dropped to the probationary class anymore either.\Edel-san.\Would you like some gems?\Your world as a bird, your world as a girl.\The world within the story and the world of reality.\The gem that links two worlds.\Will you close yourself to it all? response:	Quack...
context: I don't have to worry about things like getting dropped to the probationary class anymore either.\Edel-san.\Would you like some gems?\Your world as a bird, your world as a girl.\The world within the story and the world of reality.\The gem that links two worlds.\Will you close yourself to it all?\Quack... response:	When you had finally linked them?
context: Edel-san.\Would you like some gems?\Your world as a bird, your world as a girl.\The world within the story and the world of reality.\The gem that links two worlds.\Will you close yourself to it all?\Quack...\When you had finally linked them? response:	Quack!
context: Would you like some gems?\Your world as a bird, your world as a girl.\The world within the story and the world of reality.\The gem that links two worlds.\Will you close yourself to it all?\Quack...\When you had finally linked them?\Quack! response:	It doesn't matter anymore!
context: Your world as a bird, your world as a girl.\The world within the story and the world of reality.\The gem that links two worlds.\Will you close yourself to it all?\Quack...\When you had finally linked them?\Quack!\It doesn't matter anymore! response:	You're a strange person.
context: The world within the story and the world of reality.\The gem that links two worlds.\Will you close yourself to it all?\Quack...\When you had finally linked them?\Quack!\It doesn't matter anymore!\You're a strange person. response:	Hey, won't you come with me? To a place where no one will come.
context: The gem that links two worlds.\Will you close yourself to it all?\Quack...\When you had finally linked them?\Quack!\It doesn't matter anymore!\You're a strange person.\Hey, won't you come with me? To a place where no one will come. response:	A place where no one will come...
