context: It is the turn of the 20th century. response:	The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,
context: And I'll get more info on Eric.\Come on, Ange... And I'll get more info on Eric.\Come on, Ange...\We still have four days until Thursday.\Oh, good!\Thank you, Ange!\So Eric's little sister is in the hospital up ahead?\Yes. And we had to shake off some pursuers last night, so there might be an ambush, too. response:	Brother?
context: Come on, Ange... And I'll get more info on Eric.\Come on, Ange...\We still have four days until Thursday.\Oh, good!\Thank you, Ange!\So Eric's little sister is in the hospital up ahead?\Yes. And we had to shake off some pursuers last night, so there might be an ambush, too.\Brother? response:	Why didn't you come yesterday?
context: Come on, Ange...\We still have four days until Thursday.\Oh, good!\Thank you, Ange!\So Eric's little sister is in the hospital up ahead?\Yes. And we had to shake off some pursuers last night, so there might be an ambush, too.\Brother?\Why didn't you come yesterday? response:	Hello. You must be Miss Amy.
context: We still have four days until Thursday.\Oh, good!\Thank you, Ange!\So Eric's little sister is in the hospital up ahead?\Yes. And we had to shake off some pursuers last night, so there might be an ambush, too.\Brother?\Why didn't you come yesterday?\Hello. You must be Miss Amy. response:	Who are you?
context: Oh, good!\Thank you, Ange!\So Eric's little sister is in the hospital up ahead?\Yes. And we had to shake off some pursuers last night, so there might be an ambush, too.\Brother?\Why didn't you come yesterday?\Hello. You must be Miss Amy.\Who are you? response:	I came to deliver some flowers from Eric Anderson.
context: Thank you, Ange!\So Eric's little sister is in the hospital up ahead?\Yes. And we had to shake off some pursuers last night, so there might be an ambush, too.\Brother?\Why didn't you come yesterday?\Hello. You must be Miss Amy.\Who are you?\I came to deliver some flowers from Eric Anderson. response:	Flowers?
context: So Eric's little sister is in the hospital up ahead?\Yes. And we had to shake off some pursuers last night, so there might be an ambush, too.\Brother?\Why didn't you come yesterday?\Hello. You must be Miss Amy.\Who are you?\I came to deliver some flowers from Eric Anderson.\Flowers? response:	Oh, yes!
context: Yes. And we had to shake off some pursuers last night, so there might be an ambush, too.\Brother?\Why didn't you come yesterday?\Hello. You must be Miss Amy.\Who are you?\I came to deliver some flowers from Eric Anderson.\Flowers?\Oh, yes! response:	See? They're very pretty!
context: Brother?\Why didn't you come yesterday?\Hello. You must be Miss Amy.\Who are you?\I came to deliver some flowers from Eric Anderson.\Flowers?\Oh, yes!\See? They're very pretty! response:	Is he a relative of yours?
context: Why didn't you come yesterday?\Hello. You must be Miss Amy.\Who are you?\I came to deliver some flowers from Eric Anderson.\Flowers?\Oh, yes!\See? They're very pretty!\Is he a relative of yours? response:	What do you really want?
context: Hello. You must be Miss Amy.\Who are you?\I came to deliver some flowers from Eric Anderson.\Flowers?\Oh, yes!\See? They're very pretty!\Is he a relative of yours?\What do you really want? response:	I know you're lying!
context: Who are you?\I came to deliver some flowers from Eric Anderson.\Flowers?\Oh, yes!\See? They're very pretty!\Is he a relative of yours?\What do you really want?\I know you're lying! response:	Those aren't from my brother!
context: I came to deliver some flowers from Eric Anderson.\Flowers?\Oh, yes!\See? They're very pretty!\Is he a relative of yours?\What do you really want?\I know you're lying!\Those aren't from my brother! response:	Cavorite poisoning?
context: Flowers?\Oh, yes!\See? They're very pretty!\Is he a relative of yours?\What do you really want?\I know you're lying!\Those aren't from my brother!\Cavorite poisoning? response:	Who are you?!
context: Oh, yes!\See? They're very pretty!\Is he a relative of yours?\What do you really want?\I know you're lying!\Those aren't from my brother!\Cavorite poisoning?\Who are you?! response:	How dare you use my brother's name to trick me!
context: See? They're very pretty!\Is he a relative of yours?\What do you really want?\I know you're lying!\Those aren't from my brother!\Cavorite poisoning?\Who are you?!\How dare you use my brother's name to trick me! response:	My brother is all I have left!
context: Is he a relative of yours?\What do you really want?\I know you're lying!\Those aren't from my brother!\Cavorite poisoning?\Who are you?!\How dare you use my brother's name to trick me!\My brother is all I have left! response:	Get out of my sight! Get out!
context: What do you really want?\I know you're lying!\Those aren't from my brother!\Cavorite poisoning?\Who are you?!\How dare you use my brother's name to trick me!\My brother is all I have left!\Get out of my sight! Get out! response:	Apparently Miss Amy was in a Cavorite accident.
context: I know you're lying!\Those aren't from my brother!\Cavorite poisoning?\Who are you?!\How dare you use my brother's name to trick me!\My brother is all I have left!\Get out of my sight! Get out!\Apparently Miss Amy was in a Cavorite accident. response:	And it's going to take rather a lot of money to pay for an operation.
context: Those aren't from my brother!\Cavorite poisoning?\Who are you?!\How dare you use my brother's name to trick me!\My brother is all I have left!\Get out of my sight! Get out!\Apparently Miss Amy was in a Cavorite accident.\And it's going to take rather a lot of money to pay for an operation. response:	Why don't you go on back without me?
context: Cavorite poisoning?\Who are you?!\How dare you use my brother's name to trick me!\My brother is all I have left!\Get out of my sight! Get out!\Apparently Miss Amy was in a Cavorite accident.\And it's going to take rather a lot of money to pay for an operation.\Why don't you go on back without me? response:	What are you going to do?
context: Who are you?!\How dare you use my brother's name to trick me!\My brother is all I have left!\Get out of my sight! Get out!\Apparently Miss Amy was in a Cavorite accident.\And it's going to take rather a lot of money to pay for an operation.\Why don't you go on back without me?\What are you going to do? response:	Go back to the Black Lizard Planet?
context: How dare you use my brother's name to trick me!\My brother is all I have left!\Get out of my sight! Get out!\Apparently Miss Amy was in a Cavorite accident.\And it's going to take rather a lot of money to pay for an operation.\Why don't you go on back without me?\What are you going to do?\Go back to the Black Lizard Planet? response:	I'm getting insurance. Just in case.
context: My brother is all I have left!\Get out of my sight! Get out!\Apparently Miss Amy was in a Cavorite accident.\And it's going to take rather a lot of money to pay for an operation.\Why don't you go on back without me?\What are you going to do?\Go back to the Black Lizard Planet?\I'm getting insurance. Just in case. response:	An insurance office?
context: Get out of my sight! Get out!\Apparently Miss Amy was in a Cavorite accident.\And it's going to take rather a lot of money to pay for an operation.\Why don't you go on back without me?\What are you going to do?\Go back to the Black Lizard Planet?\I'm getting insurance. Just in case.\An insurance office? response:	Yes, Miss.
context: Apparently Miss Amy was in a Cavorite accident.\And it's going to take rather a lot of money to pay for an operation.\Why don't you go on back without me?\What are you going to do?\Go back to the Black Lizard Planet?\I'm getting insurance. Just in case.\An insurance office?\Yes, Miss. response:	I can never tell how much of what she says is true.
context: And it's going to take rather a lot of money to pay for an operation.\Why don't you go on back without me?\What are you going to do?\Go back to the Black Lizard Planet?\I'm getting insurance. Just in case.\An insurance office?\Yes, Miss.\I can never tell how much of what she says is true. response:	I don't think she knows, either.
context: Why don't you go on back without me?\What are you going to do?\Go back to the Black Lizard Planet?\I'm getting insurance. Just in case.\An insurance office?\Yes, Miss.\I can never tell how much of what she says is true.\I don't think she knows, either. response:	What?
context: What are you going to do?\Go back to the Black Lizard Planet?\I'm getting insurance. Just in case.\An insurance office?\Yes, Miss.\I can never tell how much of what she says is true.\I don't think she knows, either.\What? response:	But some lies become truth in the telling.
context: Go back to the Black Lizard Planet?\I'm getting insurance. Just in case.\An insurance office?\Yes, Miss.\I can never tell how much of what she says is true.\I don't think she knows, either.\What?\But some lies become truth in the telling. response:	I don't believe this.
context: I'm getting insurance. Just in case.\An insurance office?\Yes, Miss.\I can never tell how much of what she says is true.\I don't think she knows, either.\What?\But some lies become truth in the telling.\I don't believe this. response:	Now I have to forge documents for two people.
context: An insurance office?\Yes, Miss.\I can never tell how much of what she says is true.\I don't think she knows, either.\What?\But some lies become truth in the telling.\I don't believe this.\Now I have to forge documents for two people. response:	There's no helping it.
context: Yes, Miss.\I can never tell how much of what she says is true.\I don't think she knows, either.\What?\But some lies become truth in the telling.\I don't believe this.\Now I have to forge documents for two people.\There's no helping it. response:	Dorothy! What are you writing?
context: I can never tell how much of what she says is true.\I don't think she knows, either.\What?\But some lies become truth in the telling.\I don't believe this.\Now I have to forge documents for two people.\There's no helping it.\Dorothy! What are you writing? response:	An essay of apology. Do you girls want to help?
context: I don't think she knows, either.\What?\But some lies become truth in the telling.\I don't believe this.\Now I have to forge documents for two people.\There's no helping it.\Dorothy! What are you writing?\An essay of apology. Do you girls want to help? response:	We'll pass.
context: What?\But some lies become truth in the telling.\I don't believe this.\Now I have to forge documents for two people.\There's no helping it.\Dorothy! What are you writing?\An essay of apology. Do you girls want to help?\We'll pass. response:	See you at the match next week.
context: But some lies become truth in the telling.\I don't believe this.\Now I have to forge documents for two people.\There's no helping it.\Dorothy! What are you writing?\An essay of apology. Do you girls want to help?\We'll pass.\See you at the match next week. response:	That was a bold move.
context: I don't believe this.\Now I have to forge documents for two people.\There's no helping it.\Dorothy! What are you writing?\An essay of apology. Do you girls want to help?\We'll pass.\See you at the match next week.\That was a bold move. response:	It's best not to sneak around with these things.
context: Now I have to forge documents for two people.\There's no helping it.\Dorothy! What are you writing?\An essay of apology. Do you girls want to help?\We'll pass.\See you at the match next week.\That was a bold move.\It's best not to sneak around with these things. response:	I see Ange isn't the only one with a knack for lying.
context: There's no helping it.\Dorothy! What are you writing?\An essay of apology. Do you girls want to help?\We'll pass.\See you at the match next week.\That was a bold move.\It's best not to sneak around with these things.\I see Ange isn't the only one with a knack for lying. response:	Spies are all liars.
context: Dorothy! What are you writing?\An essay of apology. Do you girls want to help?\We'll pass.\See you at the match next week.\That was a bold move.\It's best not to sneak around with these things.\I see Ange isn't the only one with a knack for lying.\Spies are all liars. response:	You're lying to me now, Chise.
context: An essay of apology. Do you girls want to help?\We'll pass.\See you at the match next week.\That was a bold move.\It's best not to sneak around with these things.\I see Ange isn't the only one with a knack for lying.\Spies are all liars.\You're lying to me now, Chise. response:	As are you.
context: We'll pass.\See you at the match next week.\That was a bold move.\It's best not to sneak around with these things.\I see Ange isn't the only one with a knack for lying.\Spies are all liars.\You're lying to me now, Chise.\As are you. response:	So what do you say we try being honest with each other?
context: See you at the match next week.\That was a bold move.\It's best not to sneak around with these things.\I see Ange isn't the only one with a knack for lying.\Spies are all liars.\You're lying to me now, Chise.\As are you.\So what do you say we try being honest with each other? response:	The idea has its charm.
context: That was a bold move.\It's best not to sneak around with these things.\I see Ange isn't the only one with a knack for lying.\Spies are all liars.\You're lying to me now, Chise.\As are you.\So what do you say we try being honest with each other?\The idea has its charm. response:	But if we stopped lying, we wouldn't be able to stay friends.
context: It's best not to sneak around with these things.\I see Ange isn't the only one with a knack for lying.\Spies are all liars.\You're lying to me now, Chise.\As are you.\So what do you say we try being honest with each other?\The idea has its charm.\But if we stopped lying, we wouldn't be able to stay friends. response:	Is that really friendship?
context: I see Ange isn't the only one with a knack for lying.\Spies are all liars.\You're lying to me now, Chise.\As are you.\So what do you say we try being honest with each other?\The idea has its charm.\But if we stopped lying, we wouldn't be able to stay friends.\Is that really friendship? response:	Even parents and children lie to each other.
context: Spies are all liars.\You're lying to me now, Chise.\As are you.\So what do you say we try being honest with each other?\The idea has its charm.\But if we stopped lying, we wouldn't be able to stay friends.\Is that really friendship?\Even parents and children lie to each other. response:	Ange?
context: You're lying to me now, Chise.\As are you.\So what do you say we try being honest with each other?\The idea has its charm.\But if we stopped lying, we wouldn't be able to stay friends.\Is that really friendship?\Even parents and children lie to each other.\Ange? response:	Your sister's operation. Is that why you're defecting?
context: As are you.\So what do you say we try being honest with each other?\The idea has its charm.\But if we stopped lying, we wouldn't be able to stay friends.\Is that really friendship?\Even parents and children lie to each other.\Ange?\Your sister's operation. Is that why you're defecting? response:	So you saw her.
context: So what do you say we try being honest with each other?\The idea has its charm.\But if we stopped lying, we wouldn't be able to stay friends.\Is that really friendship?\Even parents and children lie to each other.\Ange?\Your sister's operation. Is that why you're defecting?\So you saw her. response:	You met Amy.
context: The idea has its charm.\But if we stopped lying, we wouldn't be able to stay friends.\Is that really friendship?\Even parents and children lie to each other.\Ange?\Your sister's operation. Is that why you're defecting?\So you saw her.\You met Amy. response:	She said she didn't want any flowers and chased us out.
context: But if we stopped lying, we wouldn't be able to stay friends.\Is that really friendship?\Even parents and children lie to each other.\Ange?\Your sister's operation. Is that why you're defecting?\So you saw her.\You met Amy.\She said she didn't want any flowers and chased us out. response:	Since the accident, it's like she's a different person.
context: Is that really friendship?\Even parents and children lie to each other.\Ange?\Your sister's operation. Is that why you're defecting?\So you saw her.\You met Amy.\She said she didn't want any flowers and chased us out.\Since the accident, it's like she's a different person. response:	Until then, she was a nice girl, always smiling.
context: Even parents and children lie to each other.\Ange?\Your sister's operation. Is that why you're defecting?\So you saw her.\You met Amy.\She said she didn't want any flowers and chased us out.\Since the accident, it's like she's a different person.\Until then, she was a nice girl, always smiling. response:	But now... You'll need money for the operation.
context: Ange?\Your sister's operation. Is that why you're defecting?\So you saw her.\You met Amy.\She said she didn't want any flowers and chased us out.\Since the accident, it's like she's a different person.\Until then, she was a nice girl, always smiling.\But now... You'll need money for the operation. response:	Ten years' salary.
context: Your sister's operation. Is that why you're defecting?\So you saw her.\You met Amy.\She said she didn't want any flowers and chased us out.\Since the accident, it's like she's a different person.\Until then, she was a nice girl, always smiling.\But now... You'll need money for the operation.\Ten years' salary. response:	There's no way I can afford it.
context: So you saw her.\You met Amy.\She said she didn't want any flowers and chased us out.\Since the accident, it's like she's a different person.\Until then, she was a nice girl, always smiling.\But now... You'll need money for the operation.\Ten years' salary.\There's no way I can afford it. response:	But then, a man I'd never met paid me a visit.
context: You met Amy.\She said she didn't want any flowers and chased us out.\Since the accident, it's like she's a different person.\Until then, she was a nice girl, always smiling.\But now... You'll need money for the operation.\Ten years' salary.\There's no way I can afford it.\But then, a man I'd never met paid me a visit. response:	He said that if I defected to the Commonwealth with my research, he would give me the money.
context: She said she didn't want any flowers and chased us out.\Since the accident, it's like she's a different person.\Until then, she was a nice girl, always smiling.\But now... You'll need money for the operation.\Ten years' salary.\There's no way I can afford it.\But then, a man I'd never met paid me a visit.\He said that if I defected to the Commonwealth with my research, he would give me the money. response:	The timing is just too perfect, isn't it?
context: Since the accident, it's like she's a different person.\Until then, she was a nice girl, always smiling.\But now... You'll need money for the operation.\Ten years' salary.\There's no way I can afford it.\But then, a man I'd never met paid me a visit.\He said that if I defected to the Commonwealth with my research, he would give me the money.\The timing is just too perfect, isn't it? response:	Tell me, Ange.
context: Until then, she was a nice girl, always smiling.\But now... You'll need money for the operation.\Ten years' salary.\There's no way I can afford it.\But then, a man I'd never met paid me a visit.\He said that if I defected to the Commonwealth with my research, he would give me the money.\The timing is just too perfect, isn't it?\Tell me, Ange. response:	Was my sister really in an accident?
context: But now... You'll need money for the operation.\Ten years' salary.\There's no way I can afford it.\But then, a man I'd never met paid me a visit.\He said that if I defected to the Commonwealth with my research, he would give me the money.\The timing is just too perfect, isn't it?\Tell me, Ange.\Was my sister really in an accident? response:	If I weren't a scientist, would my sister have been spared this suffering?
context: Ten years' salary.\There's no way I can afford it.\But then, a man I'd never met paid me a visit.\He said that if I defected to the Commonwealth with my research, he would give me the money.\The timing is just too perfect, isn't it?\Tell me, Ange.\Was my sister really in an accident?\If I weren't a scientist, would my sister have been spared this suffering? response:	Spies are told only what they need to know,
context: There's no way I can afford it.\But then, a man I'd never met paid me a visit.\He said that if I defected to the Commonwealth with my research, he would give me the money.\The timing is just too perfect, isn't it?\Tell me, Ange.\Was my sister really in an accident?\If I weren't a scientist, would my sister have been spared this suffering?\Spies are told only what they need to know, response:	so I can't deny that possibility.
context: But then, a man I'd never met paid me a visit.\He said that if I defected to the Commonwealth with my research, he would give me the money.\The timing is just too perfect, isn't it?\Tell me, Ange.\Was my sister really in an accident?\If I weren't a scientist, would my sister have been spared this suffering?\Spies are told only what they need to know,\so I can't deny that possibility. response:	Spies aren't champions of justice, after all.
context: He said that if I defected to the Commonwealth with my research, he would give me the money.\The timing is just too perfect, isn't it?\Tell me, Ange.\Was my sister really in an accident?\If I weren't a scientist, would my sister have been spared this suffering?\Spies are told only what they need to know,\so I can't deny that possibility.\Spies aren't champions of justice, after all. response:	So NOW you're being honest.
context: The timing is just too perfect, isn't it?\Tell me, Ange.\Was my sister really in an accident?\If I weren't a scientist, would my sister have been spared this suffering?\Spies are told only what they need to know,\so I can't deny that possibility.\Spies aren't champions of justice, after all.\So NOW you're being honest. response:	Even if it was a lie,
context: Tell me, Ange.\Was my sister really in an accident?\If I weren't a scientist, would my sister have been spared this suffering?\Spies are told only what they need to know,\so I can't deny that possibility.\Spies aren't champions of justice, after all.\So NOW you're being honest.\Even if it was a lie, response:	I wish you'd tell me it was an accident.
context: Was my sister really in an accident?\If I weren't a scientist, would my sister have been spared this suffering?\Spies are told only what they need to know,\so I can't deny that possibility.\Spies aren't champions of justice, after all.\So NOW you're being honest.\Even if it was a lie,\I wish you'd tell me it was an accident. response:	So... would you like to go outside?
context: If I weren't a scientist, would my sister have been spared this suffering?\Spies are told only what they need to know,\so I can't deny that possibility.\Spies aren't champions of justice, after all.\So NOW you're being honest.\Even if it was a lie,\I wish you'd tell me it was an accident.\So... would you like to go outside? response:	The stars are so beautiful here.
context: Spies are told only what they need to know,\so I can't deny that possibility.\Spies aren't champions of justice, after all.\So NOW you're being honest.\Even if it was a lie,\I wish you'd tell me it was an accident.\So... would you like to go outside?\The stars are so beautiful here. response:	Yes.
context: so I can't deny that possibility.\Spies aren't champions of justice, after all.\So NOW you're being honest.\Even if it was a lie,\I wish you'd tell me it was an accident.\So... would you like to go outside?\The stars are so beautiful here.\Yes. response:	Do you hate me?
context: Spies aren't champions of justice, after all.\So NOW you're being honest.\Even if it was a lie,\I wish you'd tell me it was an accident.\So... would you like to go outside?\The stars are so beautiful here.\Yes.\Do you hate me? response:	Why?
context: So NOW you're being honest.\Even if it was a lie,\I wish you'd tell me it was an accident.\So... would you like to go outside?\The stars are so beautiful here.\Yes.\Do you hate me?\Why? response:	I betrayed my research team for money.
context: Even if it was a lie,\I wish you'd tell me it was an accident.\So... would you like to go outside?\The stars are so beautiful here.\Yes.\Do you hate me?\Why?\I betrayed my research team for money. response:	You care about your family.
context: I wish you'd tell me it was an accident.\So... would you like to go outside?\The stars are so beautiful here.\Yes.\Do you hate me?\Why?\I betrayed my research team for money.\You care about your family. response:	I understand.
context: So... would you like to go outside?\The stars are so beautiful here.\Yes.\Do you hate me?\Why?\I betrayed my research team for money.\You care about your family.\I understand. response:	I had a family, too.
context: The stars are so beautiful here.\Yes.\Do you hate me?\Why?\I betrayed my research team for money.\You care about your family.\I understand.\I had a family, too. response:	Had?
context: Yes.\Do you hate me?\Why?\I betrayed my research team for money.\You care about your family.\I understand.\I had a family, too.\Had? response:	I watched as my parents were murdered.
context: Do you hate me?\Why?\I betrayed my research team for money.\You care about your family.\I understand.\I had a family, too.\Had?\I watched as my parents were murdered. response:	During the London Revolution.
context: Why?\I betrayed my research team for money.\You care about your family.\I understand.\I had a family, too.\Had?\I watched as my parents were murdered.\During the London Revolution. response:	That's...
context: I betrayed my research team for money.\You care about your family.\I understand.\I had a family, too.\Had?\I watched as my parents were murdered.\During the London Revolution.\That's... response:	Don't worry. I was only seven, but I didn't go hungry.
context: You care about your family.\I understand.\I had a family, too.\Had?\I watched as my parents were murdered.\During the London Revolution.\That's...\Don't worry. I was only seven, but I didn't go hungry. response:	Because the Intelligence Agency took me in.
context: I understand.\I had a family, too.\Had?\I watched as my parents were murdered.\During the London Revolution.\That's...\Don't worry. I was only seven, but I didn't go hungry.\Because the Intelligence Agency took me in. response:	Ange...
context: I had a family, too.\Had?\I watched as my parents were murdered.\During the London Revolution.\That's...\Don't worry. I was only seven, but I didn't go hungry.\Because the Intelligence Agency took me in.\Ange... response:	No.
context: Had?\I watched as my parents were murdered.\During the London Revolution.\That's...\Don't worry. I was only seven, but I didn't go hungry.\Because the Intelligence Agency took me in.\Ange...\No. response:	Never mind.
context: I watched as my parents were murdered.\During the London Revolution.\That's...\Don't worry. I was only seven, but I didn't go hungry.\Because the Intelligence Agency took me in.\Ange...\No.\Never mind. response:	Oh.
context: During the London Revolution.\That's...\Don't worry. I was only seven, but I didn't go hungry.\Because the Intelligence Agency took me in.\Ange...\No.\Never mind.\Oh. response:	Don't let it bother you.
context: That's...\Don't worry. I was only seven, but I didn't go hungry.\Because the Intelligence Agency took me in.\Ange...\No.\Never mind.\Oh.\Don't let it bother you. response:	It was back on the Black Lizard Planet.
context: Don't worry. I was only seven, but I didn't go hungry.\Because the Intelligence Agency took me in.\Ange...\No.\Never mind.\Oh.\Don't let it bother you.\It was back on the Black Lizard Planet. response:	Of course.
context: Because the Intelligence Agency took me in.\Ange...\No.\Never mind.\Oh.\Don't let it bother you.\It was back on the Black Lizard Planet.\Of course. response:	Eric.
context: Ange...\No.\Never mind.\Oh.\Don't let it bother you.\It was back on the Black Lizard Planet.\Of course.\Eric. response:	We'll be taking you over the Wall next Thursday.
context: No.\Never mind.\Oh.\Don't let it bother you.\It was back on the Black Lizard Planet.\Of course.\Eric.\We'll be taking you over the Wall next Thursday. response:	Good night.
context: Never mind.\Oh.\Don't let it bother you.\It was back on the Black Lizard Planet.\Of course.\Eric.\We'll be taking you over the Wall next Thursday.\Good night. response:	The man being kept at Mayfaire has revealed his true colors.
context: Oh.\Don't let it bother you.\It was back on the Black Lizard Planet.\Of course.\Eric.\We'll be taking you over the Wall next Thursday.\Good night.\The man being kept at Mayfaire has revealed his true colors. response:	Switch to Plan B.
context: Don't let it bother you.\It was back on the Black Lizard Planet.\Of course.\Eric.\We'll be taking you over the Wall next Thursday.\Good night.\The man being kept at Mayfaire has revealed his true colors.\Switch to Plan B. response:	Wait, Ange!
context: It was back on the Black Lizard Planet.\Of course.\Eric.\We'll be taking you over the Wall next Thursday.\Good night.\The man being kept at Mayfaire has revealed his true colors.\Switch to Plan B.\Wait, Ange! response:	Where are we going at this hour?
context: Of course.\Eric.\We'll be taking you over the Wall next Thursday.\Good night.\The man being kept at Mayfaire has revealed his true colors.\Switch to Plan B.\Wait, Ange!\Where are we going at this hour? response:	There's been a change of plans.
context: Eric.\We'll be taking you over the Wall next Thursday.\Good night.\The man being kept at Mayfaire has revealed his true colors.\Switch to Plan B.\Wait, Ange!\Where are we going at this hour?\There's been a change of plans. response:	We're leaving now.
context: We'll be taking you over the Wall next Thursday.\Good night.\The man being kept at Mayfaire has revealed his true colors.\Switch to Plan B.\Wait, Ange!\Where are we going at this hour?\There's been a change of plans.\We're leaving now. response:	We can't! It's too sudden!
context: Good night.\The man being kept at Mayfaire has revealed his true colors.\Switch to Plan B.\Wait, Ange!\Where are we going at this hour?\There's been a change of plans.\We're leaving now.\We can't! It's too sudden! response:	What about Amy?
context: The man being kept at Mayfaire has revealed his true colors.\Switch to Plan B.\Wait, Ange!\Where are we going at this hour?\There's been a change of plans.\We're leaving now.\We can't! It's too sudden!\What about Amy? response:	There's nothing to worry about.
context: Switch to Plan B.\Wait, Ange!\Where are we going at this hour?\There's been a change of plans.\We're leaving now.\We can't! It's too sudden!\What about Amy?\There's nothing to worry about. response:	Hurry and get in.
context: Wait, Ange!\Where are we going at this hour?\There's been a change of plans.\We're leaving now.\We can't! It's too sudden!\What about Amy?\There's nothing to worry about.\Hurry and get in. response:	Team 2 to HQ.
context: Where are we going at this hour?\There's been a change of plans.\We're leaving now.\We can't! It's too sudden!\What about Amy?\There's nothing to worry about.\Hurry and get in.\Team 2 to HQ. response:	No changes yet.
context: There's been a change of plans.\We're leaving now.\We can't! It's too sudden!\What about Amy?\There's nothing to worry about.\Hurry and get in.\Team 2 to HQ.\No changes yet. response:	Understood. Carry on.
context: We're leaving now.\We can't! It's too sudden!\What about Amy?\There's nothing to worry about.\Hurry and get in.\Team 2 to HQ.\No changes yet.\Understood. Carry on. response:	Do you think we'll spot them?
context: We can't! It's too sudden!\What about Amy?\There's nothing to worry about.\Hurry and get in.\Team 2 to HQ.\No changes yet.\Understood. Carry on.\Do you think we'll spot them? response:	I've told Eric to refuse to defect unless his sister goes with him.
context: What about Amy?\There's nothing to worry about.\Hurry and get in.\Team 2 to HQ.\No changes yet.\Understood. Carry on.\Do you think we'll spot them?\I've told Eric to refuse to defect unless his sister goes with him. response:	Damn. Those blasted ninja.
context: There's nothing to worry about.\Hurry and get in.\Team 2 to HQ.\No changes yet.\Understood. Carry on.\Do you think we'll spot them?\I've told Eric to refuse to defect unless his sister goes with him.\Damn. Those blasted ninja. response:	Kill the underlings if you want to, but leave one of them alive.
context: Hurry and get in.\Team 2 to HQ.\No changes yet.\Understood. Carry on.\Do you think we'll spot them?\I've told Eric to refuse to defect unless his sister goes with him.\Damn. Those blasted ninja.\Kill the underlings if you want to, but leave one of them alive. response:	The Duke of Normandy's orders are to get their escape route.
context: Team 2 to HQ.\No changes yet.\Understood. Carry on.\Do you think we'll spot them?\I've told Eric to refuse to defect unless his sister goes with him.\Damn. Those blasted ninja.\Kill the underlings if you want to, but leave one of them alive.\The Duke of Normandy's orders are to get their escape route. response:	Did they go to get Amy?
context: No changes yet.\Understood. Carry on.\Do you think we'll spot them?\I've told Eric to refuse to defect unless his sister goes with him.\Damn. Those blasted ninja.\Kill the underlings if you want to, but leave one of them alive.\The Duke of Normandy's orders are to get their escape route.\Did they go to get Amy? response:	No.
context: Understood. Carry on.\Do you think we'll spot them?\I've told Eric to refuse to defect unless his sister goes with him.\Damn. Those blasted ninja.\Kill the underlings if you want to, but leave one of them alive.\The Duke of Normandy's orders are to get their escape route.\Did they go to get Amy?\No. response:	She's not coming.
context: Do you think we'll spot them?\I've told Eric to refuse to defect unless his sister goes with him.\Damn. Those blasted ninja.\Kill the underlings if you want to, but leave one of them alive.\The Duke of Normandy's orders are to get their escape route.\Did they go to get Amy?\No.\She's not coming. response:	You tricked me?
context: I've told Eric to refuse to defect unless his sister goes with him.\Damn. Those blasted ninja.\Kill the underlings if you want to, but leave one of them alive.\The Duke of Normandy's orders are to get their escape route.\Did they go to get Amy?\No.\She's not coming.\You tricked me? response:	That makes two of us.
context: Damn. Those blasted ninja.\Kill the underlings if you want to, but leave one of them alive.\The Duke of Normandy's orders are to get their escape route.\Did they go to get Amy?\No.\She's not coming.\You tricked me?\That makes two of us. response:	The one you really went to for help with Amy's treatment was the Duke of Normandy.
context: Kill the underlings if you want to, but leave one of them alive.\The Duke of Normandy's orders are to get their escape route.\Did they go to get Amy?\No.\She's not coming.\You tricked me?\That makes two of us.\The one you really went to for help with Amy's treatment was the Duke of Normandy. response:	Your defection was all an act to lure us out of hiding.
context: The Duke of Normandy's orders are to get their escape route.\Did they go to get Amy?\No.\She's not coming.\You tricked me?\That makes two of us.\The one you really went to for help with Amy's treatment was the Duke of Normandy.\Your defection was all an act to lure us out of hiding. response:	This is Headquarters.
context: Did they go to get Amy?\No.\She's not coming.\You tricked me?\That makes two of us.\The one you really went to for help with Amy's treatment was the Duke of Normandy.\Your defection was all an act to lure us out of hiding.\This is Headquarters. response:	The target has vanished! They're asking for reinforcements.
context: No.\She's not coming.\You tricked me?\That makes two of us.\The one you really went to for help with Amy's treatment was the Duke of Normandy.\Your defection was all an act to lure us out of hiding.\This is Headquarters.\The target has vanished! They're asking for reinforcements. response:	What?!
context: She's not coming.\You tricked me?\That makes two of us.\The one you really went to for help with Amy's treatment was the Duke of Normandy.\Your defection was all an act to lure us out of hiding.\This is Headquarters.\The target has vanished! They're asking for reinforcements.\What?! response:	Give me that!
context: You tricked me?\That makes two of us.\The one you really went to for help with Amy's treatment was the Duke of Normandy.\Your defection was all an act to lure us out of hiding.\This is Headquarters.\The target has vanished! They're asking for reinforcements.\What?!\Give me that! response:	What happened?
context: That makes two of us.\The one you really went to for help with Amy's treatment was the Duke of Normandy.\Your defection was all an act to lure us out of hiding.\This is Headquarters.\The target has vanished! They're asking for reinforcements.\What?!\Give me that!\What happened? response:	Uh, well, we took our eyes off of them for a second, and...
context: The one you really went to for help with Amy's treatment was the Duke of Normandy.\Your defection was all an act to lure us out of hiding.\This is Headquarters.\The target has vanished! They're asking for reinforcements.\What?!\Give me that!\What happened?\Uh, well, we took our eyes off of them for a second, and... response:	You fools!
