context: Coming all the way out here, it's no wonder it's cold. response:	We are pretty far from Clarines.
context: so a larger amount is necessary.\Really?\All right. Did you notice anything else?\No, I was often outside keeping watch...\Sorry I'm not much help...\Oh no, i-it's fine!\My name is Shuka.\Please let me know if there's anything I can do. response:	That'll be a great help. But please rest for now.
context: Really?\All right. Did you notice anything else?\No, I was often outside keeping watch...\Sorry I'm not much help...\Oh no, i-it's fine!\My name is Shuka.\Please let me know if there's anything I can do.\That'll be a great help. But please rest for now. response:	Yes, ma'am.
context: All right. Did you notice anything else?\No, I was often outside keeping watch...\Sorry I'm not much help...\Oh no, i-it's fine!\My name is Shuka.\Please let me know if there's anything I can do.\That'll be a great help. But please rest for now.\Yes, ma'am. response:	He looks like he's weakened considerably.
context: No, I was often outside keeping watch...\Sorry I'm not much help...\Oh no, i-it's fine!\My name is Shuka.\Please let me know if there's anything I can do.\That'll be a great help. But please rest for now.\Yes, ma'am.\He looks like he's weakened considerably. response:	Zen, you need to go outside soon.
context: Sorry I'm not much help...\Oh no, i-it's fine!\My name is Shuka.\Please let me know if there's anything I can do.\That'll be a great help. But please rest for now.\Yes, ma'am.\He looks like he's weakened considerably.\Zen, you need to go outside soon. response:	It'll be bad if you pass out!
context: Oh no, i-it's fine!\My name is Shuka.\Please let me know if there's anything I can do.\That'll be a great help. But please rest for now.\Yes, ma'am.\He looks like he's weakened considerably.\Zen, you need to go outside soon.\It'll be bad if you pass out! response:	I'll stay a little longer.
context: My name is Shuka.\Please let me know if there's anything I can do.\That'll be a great help. But please rest for now.\Yes, ma'am.\He looks like he's weakened considerably.\Zen, you need to go outside soon.\It'll be bad if you pass out!\I'll stay a little longer. response:	I said, that'd be bad!
context: Please let me know if there's anything I can do.\That'll be a great help. But please rest for now.\Yes, ma'am.\He looks like he's weakened considerably.\Zen, you need to go outside soon.\It'll be bad if you pass out!\I'll stay a little longer.\I said, that'd be bad! response:	I don't like the cold!
context: That'll be a great help. But please rest for now.\Yes, ma'am.\He looks like he's weakened considerably.\Zen, you need to go outside soon.\It'll be bad if you pass out!\I'll stay a little longer.\I said, that'd be bad!\I don't like the cold! response:	Don't make excuses!
context: Yes, ma'am.\He looks like he's weakened considerably.\Zen, you need to go outside soon.\It'll be bad if you pass out!\I'll stay a little longer.\I said, that'd be bad!\I don't like the cold!\Don't make excuses! response:	Do you think I can leave by myself after calling you here?
context: He looks like he's weakened considerably.\Zen, you need to go outside soon.\It'll be bad if you pass out!\I'll stay a little longer.\I said, that'd be bad!\I don't like the cold!\Don't make excuses!\Do you think I can leave by myself after calling you here? response:	If there was anything we could do together, then I would do it with you.
context: Zen, you need to go outside soon.\It'll be bad if you pass out!\I'll stay a little longer.\I said, that'd be bad!\I don't like the cold!\Don't make excuses!\Do you think I can leave by myself after calling you here?\If there was anything we could do together, then I would do it with you. response:	But that's not the case now.
context: It'll be bad if you pass out!\I'll stay a little longer.\I said, that'd be bad!\I don't like the cold!\Don't make excuses!\Do you think I can leave by myself after calling you here?\If there was anything we could do together, then I would do it with you.\But that's not the case now. response:	I'll try to do what I can to be of help.
context: I'll stay a little longer.\I said, that'd be bad!\I don't like the cold!\Don't make excuses!\Do you think I can leave by myself after calling you here?\If there was anything we could do together, then I would do it with you.\But that's not the case now.\I'll try to do what I can to be of help. response:	Shirayuki...
context: I said, that'd be bad!\I don't like the cold!\Don't make excuses!\Do you think I can leave by myself after calling you here?\If there was anything we could do together, then I would do it with you.\But that's not the case now.\I'll try to do what I can to be of help.\Shirayuki... response:	I'll... stay, too...
context: I don't like the cold!\Don't make excuses!\Do you think I can leave by myself after calling you here?\If there was anything we could do together, then I would do it with you.\But that's not the case now.\I'll try to do what I can to be of help.\Shirayuki...\I'll... stay, too... response:	Zen.
context: Don't make excuses!\Do you think I can leave by myself after calling you here?\If there was anything we could do together, then I would do it with you.\But that's not the case now.\I'll try to do what I can to be of help.\Shirayuki...\I'll... stay, too...\Zen. response:	Didn't you say you'd only stay until sunset?
context: Do you think I can leave by myself after calling you here?\If there was anything we could do together, then I would do it with you.\But that's not the case now.\I'll try to do what I can to be of help.\Shirayuki...\I'll... stay, too...\Zen.\Didn't you say you'd only stay until sunset? response:	Right now, you have to think of your own position.
context: If there was anything we could do together, then I would do it with you.\But that's not the case now.\I'll try to do what I can to be of help.\Shirayuki...\I'll... stay, too...\Zen.\Didn't you say you'd only stay until sunset?\Right now, you have to think of your own position. response:	I was being selfish. I take it back.
context: But that's not the case now.\I'll try to do what I can to be of help.\Shirayuki...\I'll... stay, too...\Zen.\Didn't you say you'd only stay until sunset?\Right now, you have to think of your own position.\I was being selfish. I take it back. response:	Call me if anything happens!
context: I'll try to do what I can to be of help.\Shirayuki...\I'll... stay, too...\Zen.\Didn't you say you'd only stay until sunset?\Right now, you have to think of your own position.\I was being selfish. I take it back.\Call me if anything happens! response:	Zen, good job keeping your stubbornness in check.
context: Shirayuki...\I'll... stay, too...\Zen.\Didn't you say you'd only stay until sunset?\Right now, you have to think of your own position.\I was being selfish. I take it back.\Call me if anything happens!\Zen, good job keeping your stubbornness in check. response:	It's'cause of what you said.
context: I'll... stay, too...\Zen.\Didn't you say you'd only stay until sunset?\Right now, you have to think of your own position.\I was being selfish. I take it back.\Call me if anything happens!\Zen, good job keeping your stubbornness in check.\It's'cause of what you said. response:	Stop sulking.
context: Zen.\Didn't you say you'd only stay until sunset?\Right now, you have to think of your own position.\I was being selfish. I take it back.\Call me if anything happens!\Zen, good job keeping your stubbornness in check.\It's'cause of what you said.\Stop sulking. response:	I know you're concerned about Shirayuki.
context: Didn't you say you'd only stay until sunset?\Right now, you have to think of your own position.\I was being selfish. I take it back.\Call me if anything happens!\Zen, good job keeping your stubbornness in check.\It's'cause of what you said.\Stop sulking.\I know you're concerned about Shirayuki. response:	Don't those feelings show that that's how much you can depend on her?
context: Right now, you have to think of your own position.\I was being selfish. I take it back.\Call me if anything happens!\Zen, good job keeping your stubbornness in check.\It's'cause of what you said.\Stop sulking.\I know you're concerned about Shirayuki.\Don't those feelings show that that's how much you can depend on her? response:	You're right...
context: I was being selfish. I take it back.\Call me if anything happens!\Zen, good job keeping your stubbornness in check.\It's'cause of what you said.\Stop sulking.\I know you're concerned about Shirayuki.\Don't those feelings show that that's how much you can depend on her?\You're right... response:	But anyway, it was my first time hearing that you don't like the cold.
context: Call me if anything happens!\Zen, good job keeping your stubbornness in check.\It's'cause of what you said.\Stop sulking.\I know you're concerned about Shirayuki.\Don't those feelings show that that's how much you can depend on her?\You're right...\But anyway, it was my first time hearing that you don't like the cold. response:	Are you okay lying down in a place like that?
context: Zen, good job keeping your stubbornness in check.\It's'cause of what you said.\Stop sulking.\I know you're concerned about Shirayuki.\Don't those feelings show that that's how much you can depend on her?\You're right...\But anyway, it was my first time hearing that you don't like the cold.\Are you okay lying down in a place like that? response:	Stop nagging! I'm cooling my head!
context: It's'cause of what you said.\Stop sulking.\I know you're concerned about Shirayuki.\Don't those feelings show that that's how much you can depend on her?\You're right...\But anyway, it was my first time hearing that you don't like the cold.\Are you okay lying down in a place like that?\Stop nagging! I'm cooling my head! response:	-Master's actually listening to him. -Hey, stop it-
context: Stop sulking.\I know you're concerned about Shirayuki.\Don't those feelings show that that's how much you can depend on her?\You're right...\But anyway, it was my first time hearing that you don't like the cold.\Are you okay lying down in a place like that?\Stop nagging! I'm cooling my head!\-Master's actually listening to him. -Hey, stop it- response:	-Master's actually listening to him. -Go away!
context: I know you're concerned about Shirayuki.\Don't those feelings show that that's how much you can depend on her?\You're right...\But anyway, it was my first time hearing that you don't like the cold.\Are you okay lying down in a place like that?\Stop nagging! I'm cooling my head!\-Master's actually listening to him. -Hey, stop it-\-Master's actually listening to him. -Go away! response:	To tell the truth, Mitsuhide's really the only one Zen listens to.
context: Don't those feelings show that that's how much you can depend on her?\You're right...\But anyway, it was my first time hearing that you don't like the cold.\Are you okay lying down in a place like that?\Stop nagging! I'm cooling my head!\-Master's actually listening to him. -Hey, stop it-\-Master's actually listening to him. -Go away!\To tell the truth, Mitsuhide's really the only one Zen listens to. response:	So that's why he doesn't say usually say anything.
context: You're right...\But anyway, it was my first time hearing that you don't like the cold.\Are you okay lying down in a place like that?\Stop nagging! I'm cooling my head!\-Master's actually listening to him. -Hey, stop it-\-Master's actually listening to him. -Go away!\To tell the truth, Mitsuhide's really the only one Zen listens to.\So that's why he doesn't say usually say anything. response:	It's not that he's being soft on him, huh?
context: But anyway, it was my first time hearing that you don't like the cold.\Are you okay lying down in a place like that?\Stop nagging! I'm cooling my head!\-Master's actually listening to him. -Hey, stop it-\-Master's actually listening to him. -Go away!\To tell the truth, Mitsuhide's really the only one Zen listens to.\So that's why he doesn't say usually say anything.\It's not that he's being soft on him, huh? response:	Shirayuki, did you figure anything out?
context: Are you okay lying down in a place like that?\Stop nagging! I'm cooling my head!\-Master's actually listening to him. -Hey, stop it-\-Master's actually listening to him. -Go away!\To tell the truth, Mitsuhide's really the only one Zen listens to.\So that's why he doesn't say usually say anything.\It's not that he's being soft on him, huh?\Shirayuki, did you figure anything out? response:	Are you okay being up and about?
context: Stop nagging! I'm cooling my head!\-Master's actually listening to him. -Hey, stop it-\-Master's actually listening to him. -Go away!\To tell the truth, Mitsuhide's really the only one Zen listens to.\So that's why he doesn't say usually say anything.\It's not that he's being soft on him, huh?\Shirayuki, did you figure anything out?\Are you okay being up and about? response:	I rested for a while already.
context: -Master's actually listening to him. -Hey, stop it-\-Master's actually listening to him. -Go away!\To tell the truth, Mitsuhide's really the only one Zen listens to.\So that's why he doesn't say usually say anything.\It's not that he's being soft on him, huh?\Shirayuki, did you figure anything out?\Are you okay being up and about?\I rested for a while already. response:	I see. I haven't figured anything out yet...
context: -Master's actually listening to him. -Go away!\To tell the truth, Mitsuhide's really the only one Zen listens to.\So that's why he doesn't say usually say anything.\It's not that he's being soft on him, huh?\Shirayuki, did you figure anything out?\Are you okay being up and about?\I rested for a while already.\I see. I haven't figured anything out yet... response:	Everyone had the same symptoms at the beginning,
context: To tell the truth, Mitsuhide's really the only one Zen listens to.\So that's why he doesn't say usually say anything.\It's not that he's being soft on him, huh?\Shirayuki, did you figure anything out?\Are you okay being up and about?\I rested for a while already.\I see. I haven't figured anything out yet...\Everyone had the same symptoms at the beginning, response:	but there's a difference in their symptoms now.
context: So that's why he doesn't say usually say anything.\It's not that he's being soft on him, huh?\Shirayuki, did you figure anything out?\Are you okay being up and about?\I rested for a while already.\I see. I haven't figured anything out yet...\Everyone had the same symptoms at the beginning,\but there's a difference in their symptoms now. response:	Is there a reason for that...?
context: It's not that he's being soft on him, huh?\Shirayuki, did you figure anything out?\Are you okay being up and about?\I rested for a while already.\I see. I haven't figured anything out yet...\Everyone had the same symptoms at the beginning,\but there's a difference in their symptoms now.\Is there a reason for that...? response:	I don't know... But I did figure out what medicine the physician was using.
context: Shirayuki, did you figure anything out?\Are you okay being up and about?\I rested for a while already.\I see. I haven't figured anything out yet...\Everyone had the same symptoms at the beginning,\but there's a difference in their symptoms now.\Is there a reason for that...?\I don't know... But I did figure out what medicine the physician was using. response:	I thought I'd prepare some with the medicines I bought in town-
context: Are you okay being up and about?\I rested for a while already.\I see. I haven't figured anything out yet...\Everyone had the same symptoms at the beginning,\but there's a difference in their symptoms now.\Is there a reason for that...?\I don't know... But I did figure out what medicine the physician was using.\I thought I'd prepare some with the medicines I bought in town- response:	Shirayuki!
context: I rested for a while already.\I see. I haven't figured anything out yet...\Everyone had the same symptoms at the beginning,\but there's a difference in their symptoms now.\Is there a reason for that...?\I don't know... But I did figure out what medicine the physician was using.\I thought I'd prepare some with the medicines I bought in town-\Shirayuki! response:	Are you all right?
context: I see. I haven't figured anything out yet...\Everyone had the same symptoms at the beginning,\but there's a difference in their symptoms now.\Is there a reason for that...?\I don't know... But I did figure out what medicine the physician was using.\I thought I'd prepare some with the medicines I bought in town-\Shirayuki!\Are you all right? response:	It shouldn't... start this soon...
context: Everyone had the same symptoms at the beginning,\but there's a difference in their symptoms now.\Is there a reason for that...?\I don't know... But I did figure out what medicine the physician was using.\I thought I'd prepare some with the medicines I bought in town-\Shirayuki!\Are you all right?\It shouldn't... start this soon... response:	Is it different depending on the person?
context: but there's a difference in their symptoms now.\Is there a reason for that...?\I don't know... But I did figure out what medicine the physician was using.\I thought I'd prepare some with the medicines I bought in town-\Shirayuki!\Are you all right?\It shouldn't... start this soon...\Is it different depending on the person? response:	Shirayuki...
context: Is there a reason for that...?\I don't know... But I did figure out what medicine the physician was using.\I thought I'd prepare some with the medicines I bought in town-\Shirayuki!\Are you all right?\It shouldn't... start this soon...\Is it different depending on the person?\Shirayuki... response:	Shuka, you said you were often outside keeping watch, right?
context: I don't know... But I did figure out what medicine the physician was using.\I thought I'd prepare some with the medicines I bought in town-\Shirayuki!\Are you all right?\It shouldn't... start this soon...\Is it different depending on the person?\Shirayuki...\Shuka, you said you were often outside keeping watch, right? response:	Y-Yes...
context: I thought I'd prepare some with the medicines I bought in town-\Shirayuki!\Are you all right?\It shouldn't... start this soon...\Is it different depending on the person?\Shirayuki...\Shuka, you said you were often outside keeping watch, right?\Y-Yes... response:	That means, the reason must be inside the room...
context: Shirayuki!\Are you all right?\It shouldn't... start this soon...\Is it different depending on the person?\Shirayuki...\Shuka, you said you were often outside keeping watch, right?\Y-Yes...\That means, the reason must be inside the room... response:	The people furthest from the entrance have the worst symptoms...
context: Are you all right?\It shouldn't... start this soon...\Is it different depending on the person?\Shirayuki...\Shuka, you said you were often outside keeping watch, right?\Y-Yes...\That means, the reason must be inside the room...\The people furthest from the entrance have the worst symptoms... response:	It's pretty cold, huh?
context: It shouldn't... start this soon...\Is it different depending on the person?\Shirayuki...\Shuka, you said you were often outside keeping watch, right?\Y-Yes...\That means, the reason must be inside the room...\The people furthest from the entrance have the worst symptoms...\It's pretty cold, huh? response:	Yeah.
context: Is it different depending on the person?\Shirayuki...\Shuka, you said you were often outside keeping watch, right?\Y-Yes...\That means, the reason must be inside the room...\The people furthest from the entrance have the worst symptoms...\It's pretty cold, huh?\Yeah. response:	Shirayuki?! What's wrong?
context: Shirayuki...\Shuka, you said you were often outside keeping watch, right?\Y-Yes...\That means, the reason must be inside the room...\The people furthest from the entrance have the worst symptoms...\It's pretty cold, huh?\Yeah.\Shirayuki?! What's wrong? response:	It's all right. I was just working too close to these.
context: Shuka, you said you were often outside keeping watch, right?\Y-Yes...\That means, the reason must be inside the room...\The people furthest from the entrance have the worst symptoms...\It's pretty cold, huh?\Yeah.\Shirayuki?! What's wrong?\It's all right. I was just working too close to these. response:	The cause was the firewood in the fireplace!
context: Y-Yes...\That means, the reason must be inside the room...\The people furthest from the entrance have the worst symptoms...\It's pretty cold, huh?\Yeah.\Shirayuki?! What's wrong?\It's all right. I was just working too close to these.\The cause was the firewood in the fireplace! response:	You can't burn this wood. Harmful particles will scatter,
context: That means, the reason must be inside the room...\The people furthest from the entrance have the worst symptoms...\It's pretty cold, huh?\Yeah.\Shirayuki?! What's wrong?\It's all right. I was just working too close to these.\The cause was the firewood in the fireplace!\You can't burn this wood. Harmful particles will scatter, response:	and if you keep breathing them in, they'll start to have an effect.
context: The people furthest from the entrance have the worst symptoms...\It's pretty cold, huh?\Yeah.\Shirayuki?! What's wrong?\It's all right. I was just working too close to these.\The cause was the firewood in the fireplace!\You can't burn this wood. Harmful particles will scatter,\and if you keep breathing them in, they'll start to have an effect. response:	Where did they get that?
context: It's pretty cold, huh?\Yeah.\Shirayuki?! What's wrong?\It's all right. I was just working too close to these.\The cause was the firewood in the fireplace!\You can't burn this wood. Harmful particles will scatter,\and if you keep breathing them in, they'll start to have an effect.\Where did they get that? response:	According to Shuka, a band of travelers said they didn't want to carry it while they traveled,
context: Yeah.\Shirayuki?! What's wrong?\It's all right. I was just working too close to these.\The cause was the firewood in the fireplace!\You can't burn this wood. Harmful particles will scatter,\and if you keep breathing them in, they'll start to have an effect.\Where did they get that?\According to Shuka, a band of travelers said they didn't want to carry it while they traveled, response:	so they gave it to them for free.
context: Shirayuki?! What's wrong?\It's all right. I was just working too close to these.\The cause was the firewood in the fireplace!\You can't burn this wood. Harmful particles will scatter,\and if you keep breathing them in, they'll start to have an effect.\Where did they get that?\According to Shuka, a band of travelers said they didn't want to carry it while they traveled,\so they gave it to them for free. response:	I apologize for one thing after another!
context: It's all right. I was just working too close to these.\The cause was the firewood in the fireplace!\You can't burn this wood. Harmful particles will scatter,\and if you keep breathing them in, they'll start to have an effect.\Where did they get that?\According to Shuka, a band of travelers said they didn't want to carry it while they traveled,\so they gave it to them for free.\I apologize for one thing after another! response:	Are you able to move around more easily now?
context: The cause was the firewood in the fireplace!\You can't burn this wood. Harmful particles will scatter,\and if you keep breathing them in, they'll start to have an effect.\Where did they get that?\According to Shuka, a band of travelers said they didn't want to carry it while they traveled,\so they gave it to them for free.\I apologize for one thing after another!\Are you able to move around more easily now? response:	Yes! I received medicine from Shirayuki.
context: You can't burn this wood. Harmful particles will scatter,\and if you keep breathing them in, they'll start to have an effect.\Where did they get that?\According to Shuka, a band of travelers said they didn't want to carry it while they traveled,\so they gave it to them for free.\I apologize for one thing after another!\Are you able to move around more easily now?\Yes! I received medicine from Shirayuki. response:	I'm glad...
context: and if you keep breathing them in, they'll start to have an effect.\Where did they get that?\According to Shuka, a band of travelers said they didn't want to carry it while they traveled,\so they gave it to them for free.\I apologize for one thing after another!\Are you able to move around more easily now?\Yes! I received medicine from Shirayuki.\I'm glad... response:	It looks like it worked.
context: Where did they get that?\According to Shuka, a band of travelers said they didn't want to carry it while they traveled,\so they gave it to them for free.\I apologize for one thing after another!\Are you able to move around more easily now?\Yes! I received medicine from Shirayuki.\I'm glad...\It looks like it worked. response:	I'll try to do what I can to be of help.
context: According to Shuka, a band of travelers said they didn't want to carry it while they traveled,\so they gave it to them for free.\I apologize for one thing after another!\Are you able to move around more easily now?\Yes! I received medicine from Shirayuki.\I'm glad...\It looks like it worked.\I'll try to do what I can to be of help. response:	I give up.
context: so they gave it to them for free.\I apologize for one thing after another!\Are you able to move around more easily now?\Yes! I received medicine from Shirayuki.\I'm glad...\It looks like it worked.\I'll try to do what I can to be of help.\I give up. response:	Shirayuki, you...
context: I apologize for one thing after another!\Are you able to move around more easily now?\Yes! I received medicine from Shirayuki.\I'm glad...\It looks like it worked.\I'll try to do what I can to be of help.\I give up.\Shirayuki, you... response:	You're so cool.
context: Are you able to move around more easily now?\Yes! I received medicine from Shirayuki.\I'm glad...\It looks like it worked.\I'll try to do what I can to be of help.\I give up.\Shirayuki, you...\You're so cool. response:	Huh?
context: Yes! I received medicine from Shirayuki.\I'm glad...\It looks like it worked.\I'll try to do what I can to be of help.\I give up.\Shirayuki, you...\You're so cool.\Huh? response:	Will you stay here for a while?
context: I'm glad...\It looks like it worked.\I'll try to do what I can to be of help.\I give up.\Shirayuki, you...\You're so cool.\Huh?\Will you stay here for a while? response:	I want to leave the soldiers to you.
context: It looks like it worked.\I'll try to do what I can to be of help.\I give up.\Shirayuki, you...\You're so cool.\Huh?\Will you stay here for a while?\I want to leave the soldiers to you. response:	Yes!
context: I'll try to do what I can to be of help.\I give up.\Shirayuki, you...\You're so cool.\Huh?\Will you stay here for a while?\I want to leave the soldiers to you.\Yes! response:	To have everyone recovered this much in just a few days...
context: I give up.\Shirayuki, you...\You're so cool.\Huh?\Will you stay here for a while?\I want to leave the soldiers to you.\Yes!\To have everyone recovered this much in just a few days... response:	Shirayuki's skill is undeniable.
context: Shirayuki, you...\You're so cool.\Huh?\Will you stay here for a while?\I want to leave the soldiers to you.\Yes!\To have everyone recovered this much in just a few days...\Shirayuki's skill is undeniable. response:	Yeah.
context: You're so cool.\Huh?\Will you stay here for a while?\I want to leave the soldiers to you.\Yes!\To have everyone recovered this much in just a few days...\Shirayuki's skill is undeniable.\Yeah. response:	Zen.
context: Huh?\Will you stay here for a while?\I want to leave the soldiers to you.\Yes!\To have everyone recovered this much in just a few days...\Shirayuki's skill is undeniable.\Yeah.\Zen. response:	Bandits?
context: Will you stay here for a while?\I want to leave the soldiers to you.\Yes!\To have everyone recovered this much in just a few days...\Shirayuki's skill is undeniable.\Yeah.\Zen.\Bandits? response:	Yeah, apparently there's a band that uses the Laxdo area as their base.
context: I want to leave the soldiers to you.\Yes!\To have everyone recovered this much in just a few days...\Shirayuki's skill is undeniable.\Yeah.\Zen.\Bandits?\Yeah, apparently there's a band that uses the Laxdo area as their base. response:	Where's their hideout?
context: Yes!\To have everyone recovered this much in just a few days...\Shirayuki's skill is undeniable.\Yeah.\Zen.\Bandits?\Yeah, apparently there's a band that uses the Laxdo area as their base.\Where's their hideout? response:	I need a little more time to find out.
context: To have everyone recovered this much in just a few days...\Shirayuki's skill is undeniable.\Yeah.\Zen.\Bandits?\Yeah, apparently there's a band that uses the Laxdo area as their base.\Where's their hideout?\I need a little more time to find out. response:	Then, leave it to me.
context: Shirayuki's skill is undeniable.\Yeah.\Zen.\Bandits?\Yeah, apparently there's a band that uses the Laxdo area as their base.\Where's their hideout?\I need a little more time to find out.\Then, leave it to me. response:	I have more intel about the town than you guys!
context: Yeah.\Zen.\Bandits?\Yeah, apparently there's a band that uses the Laxdo area as their base.\Where's their hideout?\I need a little more time to find out.\Then, leave it to me.\I have more intel about the town than you guys! response:	That guy's a monkey.
context: Zen.\Bandits?\Yeah, apparently there's a band that uses the Laxdo area as their base.\Where's their hideout?\I need a little more time to find out.\Then, leave it to me.\I have more intel about the town than you guys!\That guy's a monkey. response:	No doubt about it.
context: Bandits?\Yeah, apparently there's a band that uses the Laxdo area as their base.\Where's their hideout?\I need a little more time to find out.\Then, leave it to me.\I have more intel about the town than you guys!\That guy's a monkey.\No doubt about it. response:	Kiki, Mitsuhide. I want to take care of this with just us.
context: Yeah, apparently there's a band that uses the Laxdo area as their base.\Where's their hideout?\I need a little more time to find out.\Then, leave it to me.\I have more intel about the town than you guys!\That guy's a monkey.\No doubt about it.\Kiki, Mitsuhide. I want to take care of this with just us. response:	Because we can't just keep relying on Shirayuki.
context: Where's their hideout?\I need a little more time to find out.\Then, leave it to me.\I have more intel about the town than you guys!\That guy's a monkey.\No doubt about it.\Kiki, Mitsuhide. I want to take care of this with just us.\Because we can't just keep relying on Shirayuki. response:	What's that?
context: I need a little more time to find out.\Then, leave it to me.\I have more intel about the town than you guys!\That guy's a monkey.\No doubt about it.\Kiki, Mitsuhide. I want to take care of this with just us.\Because we can't just keep relying on Shirayuki.\What's that? response:	It's an infusion of medicinal herbs. Do you want some?
context: Then, leave it to me.\I have more intel about the town than you guys!\That guy's a monkey.\No doubt about it.\Kiki, Mitsuhide. I want to take care of this with just us.\Because we can't just keep relying on Shirayuki.\What's that?\It's an infusion of medicinal herbs. Do you want some? response:	I-I don't like bitter things!
context: I have more intel about the town than you guys!\That guy's a monkey.\No doubt about it.\Kiki, Mitsuhide. I want to take care of this with just us.\Because we can't just keep relying on Shirayuki.\What's that?\It's an infusion of medicinal herbs. Do you want some?\I-I don't like bitter things! response:	It has a lot of nutrients, you know.
context: That guy's a monkey.\No doubt about it.\Kiki, Mitsuhide. I want to take care of this with just us.\Because we can't just keep relying on Shirayuki.\What's that?\It's an infusion of medicinal herbs. Do you want some?\I-I don't like bitter things!\It has a lot of nutrients, you know. response:	Um, Shirayuki...
context: No doubt about it.\Kiki, Mitsuhide. I want to take care of this with just us.\Because we can't just keep relying on Shirayuki.\What's that?\It's an infusion of medicinal herbs. Do you want some?\I-I don't like bitter things!\It has a lot of nutrients, you know.\Um, Shirayuki... response:	Thank you very much.
context: Kiki, Mitsuhide. I want to take care of this with just us.\Because we can't just keep relying on Shirayuki.\What's that?\It's an infusion of medicinal herbs. Do you want some?\I-I don't like bitter things!\It has a lot of nutrients, you know.\Um, Shirayuki...\Thank you very much. response:	Huh?
context: Because we can't just keep relying on Shirayuki.\What's that?\It's an infusion of medicinal herbs. Do you want some?\I-I don't like bitter things!\It has a lot of nutrients, you know.\Um, Shirayuki...\Thank you very much.\Huh? response:	I couldn't do anything...
context: What's that?\It's an infusion of medicinal herbs. Do you want some?\I-I don't like bitter things!\It has a lot of nutrients, you know.\Um, Shirayuki...\Thank you very much.\Huh?\I couldn't do anything... response:	I wonder if Prince Zen is embarrassed by this fort...
context: It's an infusion of medicinal herbs. Do you want some?\I-I don't like bitter things!\It has a lot of nutrients, you know.\Um, Shirayuki...\Thank you very much.\Huh?\I couldn't do anything...\I wonder if Prince Zen is embarrassed by this fort... response:	Is that what you think?
context: I-I don't like bitter things!\It has a lot of nutrients, you know.\Um, Shirayuki...\Thank you very much.\Huh?\I couldn't do anything...\I wonder if Prince Zen is embarrassed by this fort...\Is that what you think? response:	Honestly, I'm worried.
context: It has a lot of nutrients, you know.\Um, Shirayuki...\Thank you very much.\Huh?\I couldn't do anything...\I wonder if Prince Zen is embarrassed by this fort...\Is that what you think?\Honestly, I'm worried. response:	I'm afraid he'll keep his distance from us now...
context: Um, Shirayuki...\Thank you very much.\Huh?\I couldn't do anything...\I wonder if Prince Zen is embarrassed by this fort...\Is that what you think?\Honestly, I'm worried.\I'm afraid he'll keep his distance from us now... response:	Does Zen come here often?
context: Thank you very much.\Huh?\I couldn't do anything...\I wonder if Prince Zen is embarrassed by this fort...\Is that what you think?\Honestly, I'm worried.\I'm afraid he'll keep his distance from us now...\Does Zen come here often? response:	Yes. He goes out with the patrols, talks to the older soldiers about the town,
context: Huh?\I couldn't do anything...\I wonder if Prince Zen is embarrassed by this fort...\Is that what you think?\Honestly, I'm worried.\I'm afraid he'll keep his distance from us now...\Does Zen come here often?\Yes. He goes out with the patrols, talks to the older soldiers about the town, response:	and even listens to apprentices like me like he's having fun.
context: I couldn't do anything...\I wonder if Prince Zen is embarrassed by this fort...\Is that what you think?\Honestly, I'm worried.\I'm afraid he'll keep his distance from us now...\Does Zen come here often?\Yes. He goes out with the patrols, talks to the older soldiers about the town,\and even listens to apprentices like me like he's having fun. response:	Even though I want to be of use to him...
context: I wonder if Prince Zen is embarrassed by this fort...\Is that what you think?\Honestly, I'm worried.\I'm afraid he'll keep his distance from us now...\Does Zen come here often?\Yes. He goes out with the patrols, talks to the older soldiers about the town,\and even listens to apprentices like me like he's having fun.\Even though I want to be of use to him... response:	He might not come here any longer.
context: Is that what you think?\Honestly, I'm worried.\I'm afraid he'll keep his distance from us now...\Does Zen come here often?\Yes. He goes out with the patrols, talks to the older soldiers about the town,\and even listens to apprentices like me like he's having fun.\Even though I want to be of use to him...\He might not come here any longer. response:	I don't think you need to worry about that.
context: Honestly, I'm worried.\I'm afraid he'll keep his distance from us now...\Does Zen come here often?\Yes. He goes out with the patrols, talks to the older soldiers about the town,\and even listens to apprentices like me like he's having fun.\Even though I want to be of use to him...\He might not come here any longer.\I don't think you need to worry about that. response:	Huh?
context: I'm afraid he'll keep his distance from us now...\Does Zen come here often?\Yes. He goes out with the patrols, talks to the older soldiers about the town,\and even listens to apprentices like me like he's having fun.\Even though I want to be of use to him...\He might not come here any longer.\I don't think you need to worry about that.\Huh? response:	I think he keeps coming here for a reason.
context: Does Zen come here often?\Yes. He goes out with the patrols, talks to the older soldiers about the town,\and even listens to apprentices like me like he's having fun.\Even though I want to be of use to him...\He might not come here any longer.\I don't think you need to worry about that.\Huh?\I think he keeps coming here for a reason. response:	I want to see Zen having fun here, too.
context: Yes. He goes out with the patrols, talks to the older soldiers about the town,\and even listens to apprentices like me like he's having fun.\Even though I want to be of use to him...\He might not come here any longer.\I don't think you need to worry about that.\Huh?\I think he keeps coming here for a reason.\I want to see Zen having fun here, too. response:	All right, I'm done!
