context: Is This the End!? A Brutally Transcendent Power Attacks Gohan response:	Bungling jackass! That's what you get for being distracted by that Nameksei-jin kid!
context: Fool! You got full of yourself and dropped your guard, didn't you? You caught all of that blast!\All right! Once again! I'll pound you with yet another intensive shot!\Take this!\And you said I wasn't going to be a match for you! You look awfully stupid now, Freeza-san.\Don't be in such a hurry, Vegeta.\Once I finish with the runt, I'll have plenty of time to play with you.\Our fates are sealed...\So then, how would you like me to deal with you, hmm? response:	He's gone!
context: All right! Once again! I'll pound you with yet another intensive shot!\Take this!\And you said I wasn't going to be a match for you! You look awfully stupid now, Freeza-san.\Don't be in such a hurry, Vegeta.\Once I finish with the runt, I'll have plenty of time to play with you.\Our fates are sealed...\So then, how would you like me to deal with you, hmm?\He's gone! response:	Here I am!
context: Take this!\And you said I wasn't going to be a match for you! You look awfully stupid now, Freeza-san.\Don't be in such a hurry, Vegeta.\Once I finish with the runt, I'll have plenty of time to play with you.\Our fates are sealed...\So then, how would you like me to deal with you, hmm?\He's gone!\Here I am! response:	What's wrong? Can't you move?
context: And you said I wasn't going to be a match for you! You look awfully stupid now, Freeza-san.\Don't be in such a hurry, Vegeta.\Once I finish with the runt, I'll have plenty of time to play with you.\Our fates are sealed...\So then, how would you like me to deal with you, hmm?\He's gone!\Here I am!\What's wrong? Can't you move? response:	This is where it ends, isn't it?
context: Don't be in such a hurry, Vegeta.\Once I finish with the runt, I'll have plenty of time to play with you.\Our fates are sealed...\So then, how would you like me to deal with you, hmm?\He's gone!\Here I am!\What's wrong? Can't you move?\This is where it ends, isn't it? response:	Die!
context: Once I finish with the runt, I'll have plenty of time to play with you.\Our fates are sealed...\So then, how would you like me to deal with you, hmm?\He's gone!\Here I am!\What's wrong? Can't you move?\This is where it ends, isn't it?\Die! response:	Gohan's Ki is falling rapidly!
context: Our fates are sealed...\So then, how would you like me to deal with you, hmm?\He's gone!\Here I am!\What's wrong? Can't you move?\This is where it ends, isn't it?\Die!\Gohan's Ki is falling rapidly! response:	I'm coming! Wait there, Gohan!
context: So then, how would you like me to deal with you, hmm?\He's gone!\Here I am!\What's wrong? Can't you move?\This is where it ends, isn't it?\Die!\Gohan's Ki is falling rapidly!\I'm coming! Wait there, Gohan! response:	Gohan...
context: He's gone!\Here I am!\What's wrong? Can't you move?\This is where it ends, isn't it?\Die!\Gohan's Ki is falling rapidly!\I'm coming! Wait there, Gohan!\Gohan... response:	Gohan's death draws near. But what of Piccolo? What of Goku?
context: Here I am!\What's wrong? Can't you move?\This is where it ends, isn't it?\Die!\Gohan's Ki is falling rapidly!\I'm coming! Wait there, Gohan!\Gohan...\Gohan's death draws near. But what of Piccolo? What of Goku? response:	Can those that love him do anything to save him?
