context: I've been tall ever since I was young. response:	When we line up for morning assembly, I'm always at the end.
context: Shut up, Otani!\Sorry... I'm a little tall.\That's fine. I can see.\It's love!\Maybe this'll be the best summer ever!\He's dreamy.\What's up with her?\Who knows? response:	Hey, hey, nee-chan.
context: Sorry... I'm a little tall.\That's fine. I can see.\It's love!\Maybe this'll be the best summer ever!\He's dreamy.\What's up with her?\Who knows?\Hey, hey, nee-chan. response:	I got something to say to you.
context: That's fine. I can see.\It's love!\Maybe this'll be the best summer ever!\He's dreamy.\What's up with her?\Who knows?\Hey, hey, nee-chan.\I got something to say to you. response:	Why don't you walk home with me?
context: It's love!\Maybe this'll be the best summer ever!\He's dreamy.\What's up with her?\Who knows?\Hey, hey, nee-chan.\I got something to say to you.\Why don't you walk home with me? response:	Are you a delinquent, midget?
context: Maybe this'll be the best summer ever!\He's dreamy.\What's up with her?\Who knows?\Hey, hey, nee-chan.\I got something to say to you.\Why don't you walk home with me?\Are you a delinquent, midget? response:	Shut up!
context: He's dreamy.\What's up with her?\Who knows?\Hey, hey, nee-chan.\I got something to say to you.\Why don't you walk home with me?\Are you a delinquent, midget?\Shut up! response:	Why should I hang out with you after school?
context: What's up with her?\Who knows?\Hey, hey, nee-chan.\I got something to say to you.\Why don't you walk home with me?\Are you a delinquent, midget?\Shut up!\Why should I hang out with you after school? response:	Because I have something important to say that I can't say here.
context: Who knows?\Hey, hey, nee-chan.\I got something to say to you.\Why don't you walk home with me?\Are you a delinquent, midget?\Shut up!\Why should I hang out with you after school?\Because I have something important to say that I can't say here. response:	How weird... what is it?
context: Hey, hey, nee-chan.\I got something to say to you.\Why don't you walk home with me?\Are you a delinquent, midget?\Shut up!\Why should I hang out with you after school?\Because I have something important to say that I can't say here.\How weird... what is it? response:	You...
context: I got something to say to you.\Why don't you walk home with me?\Are you a delinquent, midget?\Shut up!\Why should I hang out with you after school?\Because I have something important to say that I can't say here.\How weird... what is it?\You... response:	W-What?!
context: Why don't you walk home with me?\Are you a delinquent, midget?\Shut up!\Why should I hang out with you after school?\Because I have something important to say that I can't say here.\How weird... what is it?\You...\W-What?! response:	You sure are easy to read!
context: Are you a delinquent, midget?\Shut up!\Why should I hang out with you after school?\Because I have something important to say that I can't say here.\How weird... what is it?\You...\W-What?!\You sure are easy to read! response:	How did you find out?
context: Shut up!\Why should I hang out with you after school?\Because I have something important to say that I can't say here.\How weird... what is it?\You...\W-What?!\You sure are easy to read!\How did you find out? response:	It's written all over your face.
context: Why should I hang out with you after school?\Because I have something important to say that I can't say here.\How weird... what is it?\You...\W-What?!\You sure are easy to read!\How did you find out?\It's written all over your face. response:	Suzuki-kun
context: Because I have something important to say that I can't say here.\How weird... what is it?\You...\W-What?!\You sure are easy to read!\How did you find out?\It's written all over your face.\Suzuki-kun response:	Love at first sight
context: How weird... what is it?\You...\W-What?!\You sure are easy to read!\How did you find out?\It's written all over your face.\Suzuki-kun\Love at first sight response:	Are you going to blackmail me for cash?
context: You...\W-What?!\You sure are easy to read!\How did you find out?\It's written all over your face.\Suzuki-kun\Love at first sight\Are you going to blackmail me for cash? response:	No way.
context: W-What?!\You sure are easy to read!\How did you find out?\It's written all over your face.\Suzuki-kun\Love at first sight\Are you going to blackmail me for cash?\No way. response:	I'm a super good guy, you know.
context: You sure are easy to read!\How did you find out?\It's written all over your face.\Suzuki-kun\Love at first sight\Are you going to blackmail me for cash?\No way.\I'm a super good guy, you know. response:	It just happens that I intend to become friends with Suzuki.
context: How did you find out?\It's written all over your face.\Suzuki-kun\Love at first sight\Are you going to blackmail me for cash?\No way.\I'm a super good guy, you know.\It just happens that I intend to become friends with Suzuki. response:	I might be able to set you up.
context: It's written all over your face.\Suzuki-kun\Love at first sight\Are you going to blackmail me for cash?\No way.\I'm a super good guy, you know.\It just happens that I intend to become friends with Suzuki.\I might be able to set you up. response:	Do you mean it?!
context: Suzuki-kun\Love at first sight\Are you going to blackmail me for cash?\No way.\I'm a super good guy, you know.\It just happens that I intend to become friends with Suzuki.\I might be able to set you up.\Do you mean it?! response:	Yes I do!
context: Love at first sight\Are you going to blackmail me for cash?\No way.\I'm a super good guy, you know.\It just happens that I intend to become friends with Suzuki.\I might be able to set you up.\Do you mean it?!\Yes I do! response:	No way!
context: Are you going to blackmail me for cash?\No way.\I'm a super good guy, you know.\It just happens that I intend to become friends with Suzuki.\I might be able to set you up.\Do you mean it?!\Yes I do!\No way! response:	Yep yep.
context: No way.\I'm a super good guy, you know.\It just happens that I intend to become friends with Suzuki.\I might be able to set you up.\Do you mean it?!\Yes I do!\No way!\Yep yep. response:	Awesome!
context: I'm a super good guy, you know.\It just happens that I intend to become friends with Suzuki.\I might be able to set you up.\Do you mean it?!\Yes I do!\No way!\Yep yep.\Awesome! response:	You really are a decent guy after all, Otani.
context: It just happens that I intend to become friends with Suzuki.\I might be able to set you up.\Do you mean it?!\Yes I do!\No way!\Yep yep.\Awesome!\You really are a decent guy after all, Otani. response:	You only just realized now, idiot?
context: I might be able to set you up.\Do you mean it?!\Yes I do!\No way!\Yep yep.\Awesome!\You really are a decent guy after all, Otani.\You only just realized now, idiot? response:	And here I thought you were someone who bore a grudge against giraffes in his past life.
context: Do you mean it?!\Yes I do!\No way!\Yep yep.\Awesome!\You really are a decent guy after all, Otani.\You only just realized now, idiot?\And here I thought you were someone who bore a grudge against giraffes in his past life. response:	What's this thing about giraffes?
context: Yes I do!\No way!\Yep yep.\Awesome!\You really are a decent guy after all, Otani.\You only just realized now, idiot?\And here I thought you were someone who bore a grudge against giraffes in his past life.\What's this thing about giraffes? response:	Well, putting that aside...
context: No way!\Yep yep.\Awesome!\You really are a decent guy after all, Otani.\You only just realized now, idiot?\And here I thought you were someone who bore a grudge against giraffes in his past life.\What's this thing about giraffes?\Well, putting that aside... response:	All right! It's on me, so order whatever you want.
context: Yep yep.\Awesome!\You really are a decent guy after all, Otani.\You only just realized now, idiot?\And here I thought you were someone who bore a grudge against giraffes in his past life.\What's this thing about giraffes?\Well, putting that aside...\All right! It's on me, so order whatever you want. response:	A jumbo burger, a fish burger, or a super value set meal?
context: Awesome!\You really are a decent guy after all, Otani.\You only just realized now, idiot?\And here I thought you were someone who bore a grudge against giraffes in his past life.\What's this thing about giraffes?\Well, putting that aside...\All right! It's on me, so order whatever you want.\A jumbo burger, a fish burger, or a super value set meal? response:	A super value set meal.
context: You really are a decent guy after all, Otani.\You only just realized now, idiot?\And here I thought you were someone who bore a grudge against giraffes in his past life.\What's this thing about giraffes?\Well, putting that aside...\All right! It's on me, so order whatever you want.\A jumbo burger, a fish burger, or a super value set meal?\A super value set meal. response:	Leave it to me!
context: You only just realized now, idiot?\And here I thought you were someone who bore a grudge against giraffes in his past life.\What's this thing about giraffes?\Well, putting that aside...\All right! It's on me, so order whatever you want.\A jumbo burger, a fish burger, or a super value set meal?\A super value set meal.\Leave it to me! response:	And.
context: And here I thought you were someone who bore a grudge against giraffes in his past life.\What's this thing about giraffes?\Well, putting that aside...\All right! It's on me, so order whatever you want.\A jumbo burger, a fish burger, or a super value set meal?\A super value set meal.\Leave it to me!\And. response:	And?
context: What's this thing about giraffes?\Well, putting that aside...\All right! It's on me, so order whatever you want.\A jumbo burger, a fish burger, or a super value set meal?\A super value set meal.\Leave it to me!\And.\And? response:	And...
context: Well, putting that aside...\All right! It's on me, so order whatever you want.\A jumbo burger, a fish burger, or a super value set meal?\A super value set meal.\Leave it to me!\And.\And?\And... response:	Huh?
context: All right! It's on me, so order whatever you want.\A jumbo burger, a fish burger, or a super value set meal?\A super value set meal.\Leave it to me!\And.\And?\And...\Huh? response:	Tanaka Chiharu-san!
context: A jumbo burger, a fish burger, or a super value set meal?\A super value set meal.\Leave it to me!\And.\And?\And...\Huh?\Tanaka Chiharu-san! response:	Eh?
context: A super value set meal.\Leave it to me!\And.\And?\And...\Huh?\Tanaka Chiharu-san!\Eh? response:	EEEh?!
context: Leave it to me!\And.\And?\And...\Huh?\Tanaka Chiharu-san!\Eh?\EEEh?! response:	So Chiharu-chan is your type, huh?
context: And.\And?\And...\Huh?\Tanaka Chiharu-san!\Eh?\EEEh?!\So Chiharu-chan is your type, huh? response:	Are you an idiot? She's super cute!
context: And?\And...\Huh?\Tanaka Chiharu-san!\Eh?\EEEh?!\So Chiharu-chan is your type, huh?\Are you an idiot? She's super cute! response:	From a girl's point of view, I suppose she is kind of cute but...
context: And...\Huh?\Tanaka Chiharu-san!\Eh?\EEEh?!\So Chiharu-chan is your type, huh?\Are you an idiot? She's super cute!\From a girl's point of view, I suppose she is kind of cute but... response:	Well, I guess short people like other short people, huh?
context: Huh?\Tanaka Chiharu-san!\Eh?\EEEh?!\So Chiharu-chan is your type, huh?\Are you an idiot? She's super cute!\From a girl's point of view, I suppose she is kind of cute but...\Well, I guess short people like other short people, huh? response:	What's she to you?
context: Tanaka Chiharu-san!\Eh?\EEEh?!\So Chiharu-chan is your type, huh?\Are you an idiot? She's super cute!\From a girl's point of view, I suppose she is kind of cute but...\Well, I guess short people like other short people, huh?\What's she to you? response:	Actually, I have to tell you something unfortunate.
context: Eh?\EEEh?!\So Chiharu-chan is your type, huh?\Are you an idiot? She's super cute!\From a girl's point of view, I suppose she is kind of cute but...\Well, I guess short people like other short people, huh?\What's she to you?\Actually, I have to tell you something unfortunate. response:	W-What?
context: EEEh?!\So Chiharu-chan is your type, huh?\Are you an idiot? She's super cute!\From a girl's point of view, I suppose she is kind of cute but...\Well, I guess short people like other short people, huh?\What's she to you?\Actually, I have to tell you something unfortunate.\W-What? response:	Chiharu-chan dislikes guys.
context: So Chiharu-chan is your type, huh?\Are you an idiot? She's super cute!\From a girl's point of view, I suppose she is kind of cute but...\Well, I guess short people like other short people, huh?\What's she to you?\Actually, I have to tell you something unfortunate.\W-What?\Chiharu-chan dislikes guys. response:	Seriously?
context: Are you an idiot? She's super cute!\From a girl's point of view, I suppose she is kind of cute but...\Well, I guess short people like other short people, huh?\What's she to you?\Actually, I have to tell you something unfortunate.\W-What?\Chiharu-chan dislikes guys.\Seriously? response:	Very much.
context: From a girl's point of view, I suppose she is kind of cute but...\Well, I guess short people like other short people, huh?\What's she to you?\Actually, I have to tell you something unfortunate.\W-What?\Chiharu-chan dislikes guys.\Seriously?\Very much. response:	That's so cute!
context: Well, I guess short people like other short people, huh?\What's she to you?\Actually, I have to tell you something unfortunate.\W-What?\Chiharu-chan dislikes guys.\Seriously?\Very much.\That's so cute! response:	So what if she doesn't like guys?
context: What's she to you?\Actually, I have to tell you something unfortunate.\W-What?\Chiharu-chan dislikes guys.\Seriously?\Very much.\That's so cute!\So what if she doesn't like guys? response:	I'll cure her of that!
context: Actually, I have to tell you something unfortunate.\W-What?\Chiharu-chan dislikes guys.\Seriously?\Very much.\That's so cute!\So what if she doesn't like guys?\I'll cure her of that! response:	Well then, we're counting on you.
context: W-What?\Chiharu-chan dislikes guys.\Seriously?\Very much.\That's so cute!\So what if she doesn't like guys?\I'll cure her of that!\Well then, we're counting on you. response:	Right! I'll give it my best!
context: Chiharu-chan dislikes guys.\Seriously?\Very much.\That's so cute!\So what if she doesn't like guys?\I'll cure her of that!\Well then, we're counting on you.\Right! I'll give it my best! response:	Then we're on the same team.
context: Seriously?\Very much.\That's so cute!\So what if she doesn't like guys?\I'll cure her of that!\Well then, we're counting on you.\Right! I'll give it my best!\Then we're on the same team. response:	Sir, we don't allow shadow boxing in here!
context: Very much.\That's so cute!\So what if she doesn't like guys?\I'll cure her of that!\Well then, we're counting on you.\Right! I'll give it my best!\Then we're on the same team.\Sir, we don't allow shadow boxing in here! response:	The pool?
context: That's so cute!\So what if she doesn't like guys?\I'll cure her of that!\Well then, we're counting on you.\Right! I'll give it my best!\Then we're on the same team.\Sir, we don't allow shadow boxing in here!\The pool? response:	Yea Nakao-chi and I are going.
context: So what if she doesn't like guys?\I'll cure her of that!\Well then, we're counting on you.\Right! I'll give it my best!\Then we're on the same team.\Sir, we don't allow shadow boxing in here!\The pool?\Yea Nakao-chi and I are going. response:	It's going to be fun.
context: I'll cure her of that!\Well then, we're counting on you.\Right! I'll give it my best!\Then we're on the same team.\Sir, we don't allow shadow boxing in here!\The pool?\Yea Nakao-chi and I are going.\It's going to be fun. response:	Uh... and...
context: Well then, we're counting on you.\Right! I'll give it my best!\Then we're on the same team.\Sir, we don't allow shadow boxing in here!\The pool?\Yea Nakao-chi and I are going.\It's going to be fun.\Uh... and... response:	Um... a friend of mine will be coming, too. That's okay, right?
context: Right! I'll give it my best!\Then we're on the same team.\Sir, we don't allow shadow boxing in here!\The pool?\Yea Nakao-chi and I are going.\It's going to be fun.\Uh... and...\Um... a friend of mine will be coming, too. That's okay, right? response:	Suzuki-kun...
context: Then we're on the same team.\Sir, we don't allow shadow boxing in here!\The pool?\Yea Nakao-chi and I are going.\It's going to be fun.\Uh... and...\Um... a friend of mine will be coming, too. That's okay, right?\Suzuki-kun... response:	Let's be friends.
context: Sir, we don't allow shadow boxing in here!\The pool?\Yea Nakao-chi and I are going.\It's going to be fun.\Uh... and...\Um... a friend of mine will be coming, too. That's okay, right?\Suzuki-kun...\Let's be friends. response:	It's the pool!
context: The pool?\Yea Nakao-chi and I are going.\It's going to be fun.\Uh... and...\Um... a friend of mine will be coming, too. That's okay, right?\Suzuki-kun...\Let's be friends.\It's the pool! response:	It's just the pool.
context: Yea Nakao-chi and I are going.\It's going to be fun.\Uh... and...\Um... a friend of mine will be coming, too. That's okay, right?\Suzuki-kun...\Let's be friends.\It's the pool!\It's just the pool. response:	A pool can make you that happy?
context: It's going to be fun.\Uh... and...\Um... a friend of mine will be coming, too. That's okay, right?\Suzuki-kun...\Let's be friends.\It's the pool!\It's just the pool.\A pool can make you that happy? response:	Incredibly happy!
context: Uh... and...\Um... a friend of mine will be coming, too. That's okay, right?\Suzuki-kun...\Let's be friends.\It's the pool!\It's just the pool.\A pool can make you that happy?\Incredibly happy! response:	I haven't been to the pool for a whole year!
context: Um... a friend of mine will be coming, too. That's okay, right?\Suzuki-kun...\Let's be friends.\It's the pool!\It's just the pool.\A pool can make you that happy?\Incredibly happy!\I haven't been to the pool for a whole year! response:	Me neither! Me neither!
context: Suzuki-kun...\Let's be friends.\It's the pool!\It's just the pool.\A pool can make you that happy?\Incredibly happy!\I haven't been to the pool for a whole year!\Me neither! Me neither! response:	Splash!
context: Let's be friends.\It's the pool!\It's just the pool.\A pool can make you that happy?\Incredibly happy!\I haven't been to the pool for a whole year!\Me neither! Me neither!\Splash! response:	Take this, take this!
context: It's the pool!\It's just the pool.\A pool can make you that happy?\Incredibly happy!\I haven't been to the pool for a whole year!\Me neither! Me neither!\Splash!\Take this, take this! response:	This feels so good!
context: It's just the pool.\A pool can make you that happy?\Incredibly happy!\I haven't been to the pool for a whole year!\Me neither! Me neither!\Splash!\Take this, take this!\This feels so good! response:	Man, this is great!
context: A pool can make you that happy?\Incredibly happy!\I haven't been to the pool for a whole year!\Me neither! Me neither!\Splash!\Take this, take this!\This feels so good!\Man, this is great! response:	This is really different from the school pool.
context: Incredibly happy!\I haven't been to the pool for a whole year!\Me neither! Me neither!\Splash!\Take this, take this!\This feels so good!\Man, this is great!\This is really different from the school pool. response:	Idiot!
context: I haven't been to the pool for a whole year!\Me neither! Me neither!\Splash!\Take this, take this!\This feels so good!\Man, this is great!\This is really different from the school pool.\Idiot! response:	This is no time to be fooling around!
context: Me neither! Me neither!\Splash!\Take this, take this!\This feels so good!\Man, this is great!\This is really different from the school pool.\Idiot!\This is no time to be fooling around! response:	The same goes for you!
context: Splash!\Take this, take this!\This feels so good!\Man, this is great!\This is really different from the school pool.\Idiot!\This is no time to be fooling around!\The same goes for you! response:	Darn it! I was so happy, I lost sight of my goal.
context: Take this, take this!\This feels so good!\Man, this is great!\This is really different from the school pool.\Idiot!\This is no time to be fooling around!\The same goes for you!\Darn it! I was so happy, I lost sight of my goal. response:	Suzuki-kun!
context: This feels so good!\Man, this is great!\This is really different from the school pool.\Idiot!\This is no time to be fooling around!\The same goes for you!\Darn it! I was so happy, I lost sight of my goal.\Suzuki-kun! response:	Hey, let's go for a swim.
context: Man, this is great!\This is really different from the school pool.\Idiot!\This is no time to be fooling around!\The same goes for you!\Darn it! I was so happy, I lost sight of my goal.\Suzuki-kun!\Hey, let's go for a swim. response:	Yeah!
context: This is really different from the school pool.\Idiot!\This is no time to be fooling around!\The same goes for you!\Darn it! I was so happy, I lost sight of my goal.\Suzuki-kun!\Hey, let's go for a swim.\Yeah! response:	Could it be you didn't really want to come?
context: Idiot!\This is no time to be fooling around!\The same goes for you!\Darn it! I was so happy, I lost sight of my goal.\Suzuki-kun!\Hey, let's go for a swim.\Yeah!\Could it be you didn't really want to come? response:	If I didn't, I wouldn't have.
context: This is no time to be fooling around!\The same goes for you!\Darn it! I was so happy, I lost sight of my goal.\Suzuki-kun!\Hey, let's go for a swim.\Yeah!\Could it be you didn't really want to come?\If I didn't, I wouldn't have. response:	Really?
context: The same goes for you!\Darn it! I was so happy, I lost sight of my goal.\Suzuki-kun!\Hey, let's go for a swim.\Yeah!\Could it be you didn't really want to come?\If I didn't, I wouldn't have.\Really? response:	You guys seem interesting.
context: Darn it! I was so happy, I lost sight of my goal.\Suzuki-kun!\Hey, let's go for a swim.\Yeah!\Could it be you didn't really want to come?\If I didn't, I wouldn't have.\Really?\You guys seem interesting. response:	Interesting?
context: Suzuki-kun!\Hey, let's go for a swim.\Yeah!\Could it be you didn't really want to come?\If I didn't, I wouldn't have.\Really?\You guys seem interesting.\Interesting? response:	Suzuki-kun, are you attending summer classes because you failed the midterm?
context: Hey, let's go for a swim.\Yeah!\Could it be you didn't really want to come?\If I didn't, I wouldn't have.\Really?\You guys seem interesting.\Interesting?\Suzuki-kun, are you attending summer classes because you failed the midterm? response:	No. I had a cold the day of the test, so I couldn't take it.
context: Yeah!\Could it be you didn't really want to come?\If I didn't, I wouldn't have.\Really?\You guys seem interesting.\Interesting?\Suzuki-kun, are you attending summer classes because you failed the midterm?\No. I had a cold the day of the test, so I couldn't take it. response:	Oh, is that so...
context: Could it be you didn't really want to come?\If I didn't, I wouldn't have.\Really?\You guys seem interesting.\Interesting?\Suzuki-kun, are you attending summer classes because you failed the midterm?\No. I had a cold the day of the test, so I couldn't take it.\Oh, is that so... response:	What am I doing?!
context: If I didn't, I wouldn't have.\Really?\You guys seem interesting.\Interesting?\Suzuki-kun, are you attending summer classes because you failed the midterm?\No. I had a cold the day of the test, so I couldn't take it.\Oh, is that so...\What am I doing?! response:	A topic... I need to find a topic!
context: Really?\You guys seem interesting.\Interesting?\Suzuki-kun, are you attending summer classes because you failed the midterm?\No. I had a cold the day of the test, so I couldn't take it.\Oh, is that so...\What am I doing?!\A topic... I need to find a topic! response:	But... But I have no idea what to say!
context: You guys seem interesting.\Interesting?\Suzuki-kun, are you attending summer classes because you failed the midterm?\No. I had a cold the day of the test, so I couldn't take it.\Oh, is that so...\What am I doing?!\A topic... I need to find a topic!\But... But I have no idea what to say! response:	Heeey!
context: Interesting?\Suzuki-kun, are you attending summer classes because you failed the midterm?\No. I had a cold the day of the test, so I couldn't take it.\Oh, is that so...\What am I doing?!\A topic... I need to find a topic!\But... But I have no idea what to say!\Heeey! response:	Koizumi-san?
context: Suzuki-kun, are you attending summer classes because you failed the midterm?\No. I had a cold the day of the test, so I couldn't take it.\Oh, is that so...\What am I doing?!\A topic... I need to find a topic!\But... But I have no idea what to say!\Heeey!\Koizumi-san? response:	You guys are having fun?
context: No. I had a cold the day of the test, so I couldn't take it.\Oh, is that so...\What am I doing?!\A topic... I need to find a topic!\But... But I have no idea what to say!\Heeey!\Koizumi-san?\You guys are having fun? response:	Let's play beach volleyball, the four of us!
context: Oh, is that so...\What am I doing?!\A topic... I need to find a topic!\But... But I have no idea what to say!\Heeey!\Koizumi-san?\You guys are having fun?\Let's play beach volleyball, the four of us! response:	Otani!
context: What am I doing?!\A topic... I need to find a topic!\But... But I have no idea what to say!\Heeey!\Koizumi-san?\You guys are having fun?\Let's play beach volleyball, the four of us!\Otani! response:	What are you doing?
context: A topic... I need to find a topic!\But... But I have no idea what to say!\Heeey!\Koizumi-san?\You guys are having fun?\Let's play beach volleyball, the four of us!\Otani!\What are you doing? response:	You call standing around in the water and not doing anything fun?
context: But... But I have no idea what to say!\Heeey!\Koizumi-san?\You guys are having fun?\Let's play beach volleyball, the four of us!\Otani!\What are you doing?\You call standing around in the water and not doing anything fun? response:	But I don't know what to say!
context: Heeey!\Koizumi-san?\You guys are having fun?\Let's play beach volleyball, the four of us!\Otani!\What are you doing?\You call standing around in the water and not doing anything fun?\But I don't know what to say! response:	That's just because you're trying to pretend to be nice a girl.
context: Koizumi-san?\You guys are having fun?\Let's play beach volleyball, the four of us!\Otani!\What are you doing?\You call standing around in the water and not doing anything fun?\But I don't know what to say!\That's just because you're trying to pretend to be nice a girl. response:	What was that?
context: You guys are having fun?\Let's play beach volleyball, the four of us!\Otani!\What are you doing?\You call standing around in the water and not doing anything fun?\But I don't know what to say!\That's just because you're trying to pretend to be nice a girl.\What was that? response:	That's it. That's it.
context: Let's play beach volleyball, the four of us!\Otani!\What are you doing?\You call standing around in the water and not doing anything fun?\But I don't know what to say!\That's just because you're trying to pretend to be nice a girl.\What was that?\That's it. That's it. response:	Just do what you normally do.
context: Otani!\What are you doing?\You call standing around in the water and not doing anything fun?\But I don't know what to say!\That's just because you're trying to pretend to be nice a girl.\What was that?\That's it. That's it.\Just do what you normally do. response:	Just be yourself.
context: What are you doing?\You call standing around in the water and not doing anything fun?\But I don't know what to say!\That's just because you're trying to pretend to be nice a girl.\What was that?\That's it. That's it.\Just do what you normally do.\Just be yourself. response:	Hey, that hurt!
context: You call standing around in the water and not doing anything fun?\But I don't know what to say!\That's just because you're trying to pretend to be nice a girl.\What was that?\That's it. That's it.\Just do what you normally do.\Just be yourself.\Hey, that hurt! response:	Right, let's do this!
context: But I don't know what to say!\That's just because you're trying to pretend to be nice a girl.\What was that?\That's it. That's it.\Just do what you normally do.\Just be yourself.\Hey, that hurt!\Right, let's do this! response:	Sorry for the wait!
context: That's just because you're trying to pretend to be nice a girl.\What was that?\That's it. That's it.\Just do what you normally do.\Just be yourself.\Hey, that hurt!\Right, let's do this!\Sorry for the wait! response:	Um...
context: What was that?\That's it. That's it.\Just do what you normally do.\Just be yourself.\Hey, that hurt!\Right, let's do this!\Sorry for the wait!\Um... response:	What is it?
context: That's it. That's it.\Just do what you normally do.\Just be yourself.\Hey, that hurt!\Right, let's do this!\Sorry for the wait!\Um...\What is it? response:	Say, where did Nakao-kun and Nobu-chan go?
context: Just do what you normally do.\Just be yourself.\Hey, that hurt!\Right, let's do this!\Sorry for the wait!\Um...\What is it?\Say, where did Nakao-kun and Nobu-chan go? response:	Oh yeah...
context: Just be yourself.\Hey, that hurt!\Right, let's do this!\Sorry for the wait!\Um...\What is it?\Say, where did Nakao-kun and Nobu-chan go?\Oh yeah... response:	The two of them went over there a while ago.
context: Hey, that hurt!\Right, let's do this!\Sorry for the wait!\Um...\What is it?\Say, where did Nakao-kun and Nobu-chan go?\Oh yeah...\The two of them went over there a while ago. response:	To the water slide.
context: Right, let's do this!\Sorry for the wait!\Um...\What is it?\Say, where did Nakao-kun and Nobu-chan go?\Oh yeah...\The two of them went over there a while ago.\To the water slide. response:	Water...
context: Sorry for the wait!\Um...\What is it?\Say, where did Nakao-kun and Nobu-chan go?\Oh yeah...\The two of them went over there a while ago.\To the water slide.\Water... response:	Slide?
context: Um...\What is it?\Say, where did Nakao-kun and Nobu-chan go?\Oh yeah...\The two of them went over there a while ago.\To the water slide.\Water...\Slide? response:	Wow!
context: What is it?\Say, where did Nakao-kun and Nobu-chan go?\Oh yeah...\The two of them went over there a while ago.\To the water slide.\Water...\Slide?\Wow! response:	Suzuki-kun, let's go on that!
context: Say, where did Nakao-kun and Nobu-chan go?\Oh yeah...\The two of them went over there a while ago.\To the water slide.\Water...\Slide?\Wow!\Suzuki-kun, let's go on that! response:	Tanaka-san, lets go on that!
context: Oh yeah...\The two of them went over there a while ago.\To the water slide.\Water...\Slide?\Wow!\Suzuki-kun, let's go on that!\Tanaka-san, lets go on that! response:	I'm scared of things like that.
context: The two of them went over there a while ago.\To the water slide.\Water...\Slide?\Wow!\Suzuki-kun, let's go on that!\Tanaka-san, lets go on that!\I'm scared of things like that. response:	Me, too.
context: To the water slide.\Water...\Slide?\Wow!\Suzuki-kun, let's go on that!\Tanaka-san, lets go on that!\I'm scared of things like that.\Me, too. response:	Oh, is that so.
context: Water...\Slide?\Wow!\Suzuki-kun, let's go on that!\Tanaka-san, lets go on that!\I'm scared of things like that.\Me, too.\Oh, is that so. response:	Sure.
context: Slide?\Wow!\Suzuki-kun, let's go on that!\Tanaka-san, lets go on that!\I'm scared of things like that.\Me, too.\Oh, is that so.\Sure. response:	Go ahead.
context: Wow!\Suzuki-kun, let's go on that!\Tanaka-san, lets go on that!\I'm scared of things like that.\Me, too.\Oh, is that so.\Sure.\Go ahead. response:	Water slide!
context: Suzuki-kun, let's go on that!\Tanaka-san, lets go on that!\I'm scared of things like that.\Me, too.\Oh, is that so.\Sure.\Go ahead.\Water slide! response:	My favorite!
context: Tanaka-san, lets go on that!\I'm scared of things like that.\Me, too.\Oh, is that so.\Sure.\Go ahead.\Water slide!\My favorite! response:	Me too!
context: I'm scared of things like that.\Me, too.\Oh, is that so.\Sure.\Go ahead.\Water slide!\My favorite!\Me too! response:	Where's the entrance?
context: Me, too.\Oh, is that so.\Sure.\Go ahead.\Water slide!\My favorite!\Me too!\Where's the entrance? response:	Over there, over there.
context: Oh, is that so.\Sure.\Go ahead.\Water slide!\My favorite!\Me too!\Where's the entrance?\Over there, over there. response:	Keep it down! And don't run!
context: Sure.\Go ahead.\Water slide!\My favorite!\Me too!\Where's the entrance?\Over there, over there.\Keep it down! And don't run! response:	It was fun, huh?
context: Go ahead.\Water slide!\My favorite!\Me too!\Where's the entrance?\Over there, over there.\Keep it down! And don't run!\It was fun, huh? response:	It was super fun!
context: Water slide!\My favorite!\Me too!\Where's the entrance?\Over there, over there.\Keep it down! And don't run!\It was fun, huh?\It was super fun! response:	Ahh! We did it again.
context: My favorite!\Me too!\Where's the entrance?\Over there, over there.\Keep it down! And don't run!\It was fun, huh?\It was super fun!\Ahh! We did it again. response:	Oh, where's Suzuki-kun?
context: Me too!\Where's the entrance?\Over there, over there.\Keep it down! And don't run!\It was fun, huh?\It was super fun!\Ahh! We did it again.\Oh, where's Suzuki-kun? response:	I don't know. He's been gone for a while now.
context: Where's the entrance?\Over there, over there.\Keep it down! And don't run!\It was fun, huh?\It was super fun!\Ahh! We did it again.\Oh, where's Suzuki-kun?\I don't know. He's been gone for a while now. response:	Suzuki-kun?
context: Over there, over there.\Keep it down! And don't run!\It was fun, huh?\It was super fun!\Ahh! We did it again.\Oh, where's Suzuki-kun?\I don't know. He's been gone for a while now.\Suzuki-kun? response:	He went somewhere when I met up with everyone.
context: Keep it down! And don't run!\It was fun, huh?\It was super fun!\Ahh! We did it again.\Oh, where's Suzuki-kun?\I don't know. He's been gone for a while now.\Suzuki-kun?\He went somewhere when I met up with everyone. response:	She left me all alone and ran off to play with someone else.
context: It was fun, huh?\It was super fun!\Ahh! We did it again.\Oh, where's Suzuki-kun?\I don't know. He's been gone for a while now.\Suzuki-kun?\He went somewhere when I met up with everyone.\She left me all alone and ran off to play with someone else. response:	I've lost interest.
context: It was super fun!\Ahh! We did it again.\Oh, where's Suzuki-kun?\I don't know. He's been gone for a while now.\Suzuki-kun?\He went somewhere when I met up with everyone.\She left me all alone and ran off to play with someone else.\I've lost interest. response:	Oh, he's back.
