context: Damn it, Mob. response:	You could've let me know if you had other plans.
context: Subordinate?\Subordinate? Could it be?\Everyone here is the 7th Division Leader's subordinate.\But Division Leader Ishiguro is a direct subordinate of the boss...\Which means...\I was so rude!\I-I'm going to be killed!\What? Are you not feeling well? response:	Hey, someone help him in.
context: Subordinate? Could it be?\Everyone here is the 7th Division Leader's subordinate.\But Division Leader Ishiguro is a direct subordinate of the boss...\Which means...\I was so rude!\I-I'm going to be killed!\What? Are you not feeling well?\Hey, someone help him in. response:	Surely you guys have a break room.
context: Everyone here is the 7th Division Leader's subordinate.\But Division Leader Ishiguro is a direct subordinate of the boss...\Which means...\I was so rude!\I-I'm going to be killed!\What? Are you not feeling well?\Hey, someone help him in.\Surely you guys have a break room. response:	H-He's so kind!
context: But Division Leader Ishiguro is a direct subordinate of the boss...\Which means...\I was so rude!\I-I'm going to be killed!\What? Are you not feeling well?\Hey, someone help him in.\Surely you guys have a break room.\H-He's so kind! response:	He totally exudes a superior aura... It's gotta be him!
context: Which means...\I was so rude!\I-I'm going to be killed!\What? Are you not feeling well?\Hey, someone help him in.\Surely you guys have a break room.\H-He's so kind!\He totally exudes a superior aura... It's gotta be him! response:	He's Claw's boss!
context: I was so rude!\I-I'm going to be killed!\What? Are you not feeling well?\Hey, someone help him in.\Surely you guys have a break room.\H-He's so kind!\He totally exudes a superior aura... It's gotta be him!\He's Claw's boss! response:	He's come back to Japan!
context: I-I'm going to be killed!\What? Are you not feeling well?\Hey, someone help him in.\Surely you guys have a break room.\H-He's so kind!\He totally exudes a superior aura... It's gotta be him!\He's Claw's boss!\He's come back to Japan! response:	He's coming through!
context: What? Are you not feeling well?\Hey, someone help him in.\Surely you guys have a break room.\H-He's so kind!\He totally exudes a superior aura... It's gotta be him!\He's Claw's boss!\He's come back to Japan!\He's coming through! response:	Make way!
context: Hey, someone help him in.\Surely you guys have a break room.\H-He's so kind!\He totally exudes a superior aura... It's gotta be him!\He's Claw's boss!\He's come back to Japan!\He's coming through!\Make way! response:	Pardon me. Reporting!
context: Surely you guys have a break room.\H-He's so kind!\He totally exudes a superior aura... It's gotta be him!\He's Claw's boss!\He's come back to Japan!\He's coming through!\Make way!\Pardon me. Reporting! response:	What is it?
context: H-He's so kind!\He totally exudes a superior aura... It's gotta be him!\He's Claw's boss!\He's come back to Japan!\He's coming through!\Make way!\Pardon me. Reporting!\What is it? response:	The boss is here from HQ.
context: He totally exudes a superior aura... It's gotta be him!\He's Claw's boss!\He's come back to Japan!\He's coming through!\Make way!\Pardon me. Reporting!\What is it?\The boss is here from HQ. response:	What?
context: He's Claw's boss!\He's come back to Japan!\He's coming through!\Make way!\Pardon me. Reporting!\What is it?\The boss is here from HQ.\What? response:	But he said he'd be coming next month.
context: He's come back to Japan!\He's coming through!\Make way!\Pardon me. Reporting!\What is it?\The boss is here from HQ.\What?\But he said he'd be coming next month. response:	Hm?
context: He's coming through!\Make way!\Pardon me. Reporting!\What is it?\The boss is here from HQ.\What?\But he said he'd be coming next month.\Hm? response:	Someone just hid.
context: Make way!\Pardon me. Reporting!\What is it?\The boss is here from HQ.\What?\But he said he'd be coming next month.\Hm?\Someone just hid. response:	What?! It's either an intruder or an escapee!
context: Pardon me. Reporting!\What is it?\The boss is here from HQ.\What?\But he said he'd be coming next month.\Hm?\Someone just hid.\What?! It's either an intruder or an escapee! response:	Capture them!
context: What is it?\The boss is here from HQ.\What?\But he said he'd be coming next month.\Hm?\Someone just hid.\What?! It's either an intruder or an escapee!\Capture them! response:	Yeah!
context: The boss is here from HQ.\What?\But he said he'd be coming next month.\Hm?\Someone just hid.\What?! It's either an intruder or an escapee!\Capture them!\Yeah! response:	We got caught again.
context: What?\But he said he'd be coming next month.\Hm?\Someone just hid.\What?! It's either an intruder or an escapee!\Capture them!\Yeah!\We got caught again. response:	Hey, don't be violent to kids.
context: But he said he'd be coming next month.\Hm?\Someone just hid.\What?! It's either an intruder or an escapee!\Capture them!\Yeah!\We got caught again.\Hey, don't be violent to kids. response:	S-Sorry, Boss!
context: Hm?\Someone just hid.\What?! It's either an intruder or an escapee!\Capture them!\Yeah!\We got caught again.\Hey, don't be violent to kids.\S-Sorry, Boss! response:	So you are their boss.
context: Someone just hid.\What?! It's either an intruder or an escapee!\Capture them!\Yeah!\We got caught again.\Hey, don't be violent to kids.\S-Sorry, Boss!\So you are their boss. response:	No, I'm not that important.
context: What?! It's either an intruder or an escapee!\Capture them!\Yeah!\We got caught again.\Hey, don't be violent to kids.\S-Sorry, Boss!\So you are their boss.\No, I'm not that important. response:	Oh, come on, now.
context: Capture them!\Yeah!\We got caught again.\Hey, don't be violent to kids.\S-Sorry, Boss!\So you are their boss.\No, I'm not that important.\Oh, come on, now. response:	The real deal doesn't brag to children.
context: Yeah!\We got caught again.\Hey, don't be violent to kids.\S-Sorry, Boss!\So you are their boss.\No, I'm not that important.\Oh, come on, now.\The real deal doesn't brag to children. response:	Looks like we might actually be able to get through to him.
context: We got caught again.\Hey, don't be violent to kids.\S-Sorry, Boss!\So you are their boss.\No, I'm not that important.\Oh, come on, now.\The real deal doesn't brag to children.\Looks like we might actually be able to get through to him. response:	Um, we were suddenly kidnapped and held captive here.
context: Hey, don't be violent to kids.\S-Sorry, Boss!\So you are their boss.\No, I'm not that important.\Oh, come on, now.\The real deal doesn't brag to children.\Looks like we might actually be able to get through to him.\Um, we were suddenly kidnapped and held captive here. response:	Our friend is still in custody.
context: S-Sorry, Boss!\So you are their boss.\No, I'm not that important.\Oh, come on, now.\The real deal doesn't brag to children.\Looks like we might actually be able to get through to him.\Um, we were suddenly kidnapped and held captive here.\Our friend is still in custody. response:	Please help!
context: So you are their boss.\No, I'm not that important.\Oh, come on, now.\The real deal doesn't brag to children.\Looks like we might actually be able to get through to him.\Um, we were suddenly kidnapped and held captive here.\Our friend is still in custody.\Please help! response:	Were you guys really doing that?
context: No, I'm not that important.\Oh, come on, now.\The real deal doesn't brag to children.\Looks like we might actually be able to get through to him.\Um, we were suddenly kidnapped and held captive here.\Our friend is still in custody.\Please help!\Were you guys really doing that? response:	Huh? But we were just following orders...
context: Oh, come on, now.\The real deal doesn't brag to children.\Looks like we might actually be able to get through to him.\Um, we were suddenly kidnapped and held captive here.\Our friend is still in custody.\Please help!\Were you guys really doing that?\Huh? But we were just following orders... response:	You're blaming others?
context: The real deal doesn't brag to children.\Looks like we might actually be able to get through to him.\Um, we were suddenly kidnapped and held captive here.\Our friend is still in custody.\Please help!\Were you guys really doing that?\Huh? But we were just following orders...\You're blaming others? response:	I'm very sorry!
context: Looks like we might actually be able to get through to him.\Um, we were suddenly kidnapped and held captive here.\Our friend is still in custody.\Please help!\Were you guys really doing that?\Huh? But we were just following orders...\You're blaming others?\I'm very sorry! response:	Not to mention, it's not right to commit villainy
context: Um, we were suddenly kidnapped and held captive here.\Our friend is still in custody.\Please help!\Were you guys really doing that?\Huh? But we were just following orders...\You're blaming others?\I'm very sorry!\Not to mention, it's not right to commit villainy response:	just because you were ordered to.
context: Our friend is still in custody.\Please help!\Were you guys really doing that?\Huh? But we were just following orders...\You're blaming others?\I'm very sorry!\Not to mention, it's not right to commit villainy\just because you were ordered to. response:	When underlings get too obedient, they're nothing but trash.
context: Please help!\Were you guys really doing that?\Huh? But we were just following orders...\You're blaming others?\I'm very sorry!\Not to mention, it's not right to commit villainy\just because you were ordered to.\When underlings get too obedient, they're nothing but trash. response:	B-But... We believed in
context: Were you guys really doing that?\Huh? But we were just following orders...\You're blaming others?\I'm very sorry!\Not to mention, it's not right to commit villainy\just because you were ordered to.\When underlings get too obedient, they're nothing but trash.\B-But... We believed in response:	You fools!
context: Huh? But we were just following orders...\You're blaming others?\I'm very sorry!\Not to mention, it's not right to commit villainy\just because you were ordered to.\When underlings get too obedient, they're nothing but trash.\B-But... We believed in\You fools! response:	Even if you're able to rise to the top like that,
context: You're blaming others?\I'm very sorry!\Not to mention, it's not right to commit villainy\just because you were ordered to.\When underlings get too obedient, they're nothing but trash.\B-But... We believed in\You fools!\Even if you're able to rise to the top like that, response:	all you'll see when you look down is the filth you left in your wake.
context: I'm very sorry!\Not to mention, it's not right to commit villainy\just because you were ordered to.\When underlings get too obedient, they're nothing but trash.\B-But... We believed in\You fools!\Even if you're able to rise to the top like that,\all you'll see when you look down is the filth you left in your wake. response:	I'm not sure what you're trying to do,
context: Not to mention, it's not right to commit villainy\just because you were ordered to.\When underlings get too obedient, they're nothing but trash.\B-But... We believed in\You fools!\Even if you're able to rise to the top like that,\all you'll see when you look down is the filth you left in your wake.\I'm not sure what you're trying to do, response:	but getting to the top only feels good when you do it the right way!
context: just because you were ordered to.\When underlings get too obedient, they're nothing but trash.\B-But... We believed in\You fools!\Even if you're able to rise to the top like that,\all you'll see when you look down is the filth you left in your wake.\I'm not sure what you're trying to do,\but getting to the top only feels good when you do it the right way! response:	Repent and reflect!
context: When underlings get too obedient, they're nothing but trash.\B-But... We believed in\You fools!\Even if you're able to rise to the top like that,\all you'll see when you look down is the filth you left in your wake.\I'm not sure what you're trying to do,\but getting to the top only feels good when you do it the right way!\Repent and reflect! response:	T-True...
context: B-But... We believed in\You fools!\Even if you're able to rise to the top like that,\all you'll see when you look down is the filth you left in your wake.\I'm not sure what you're trying to do,\but getting to the top only feels good when you do it the right way!\Repent and reflect!\T-True... response:	We've been doing such petty things...
context: You fools!\Even if you're able to rise to the top like that,\all you'll see when you look down is the filth you left in your wake.\I'm not sure what you're trying to do,\but getting to the top only feels good when you do it the right way!\Repent and reflect!\T-True...\We've been doing such petty things... response:	W-Wow, they changed instantly...
context: Even if you're able to rise to the top like that,\all you'll see when you look down is the filth you left in your wake.\I'm not sure what you're trying to do,\but getting to the top only feels good when you do it the right way!\Repent and reflect!\T-True...\We've been doing such petty things...\W-Wow, they changed instantly... response:	I guess the boss would be in a league of his own.
context: all you'll see when you look down is the filth you left in your wake.\I'm not sure what you're trying to do,\but getting to the top only feels good when you do it the right way!\Repent and reflect!\T-True...\We've been doing such petty things...\W-Wow, they changed instantly...\I guess the boss would be in a league of his own. response:	Have you thought of anything, Ritsu?
context: I'm not sure what you're trying to do,\but getting to the top only feels good when you do it the right way!\Repent and reflect!\T-True...\We've been doing such petty things...\W-Wow, they changed instantly...\I guess the boss would be in a league of his own.\Have you thought of anything, Ritsu? response:	It's probably best we don't try anything right now.
context: but getting to the top only feels good when you do it the right way!\Repent and reflect!\T-True...\We've been doing such petty things...\W-Wow, they changed instantly...\I guess the boss would be in a league of his own.\Have you thought of anything, Ritsu?\It's probably best we don't try anything right now. response:	They'll come check on us for sure.
context: Repent and reflect!\T-True...\We've been doing such petty things...\W-Wow, they changed instantly...\I guess the boss would be in a league of his own.\Have you thought of anything, Ritsu?\It's probably best we don't try anything right now.\They'll come check on us for sure. response:	Let's conserve our energy until then.
context: T-True...\We've been doing such petty things...\W-Wow, they changed instantly...\I guess the boss would be in a league of his own.\Have you thought of anything, Ritsu?\It's probably best we don't try anything right now.\They'll come check on us for sure.\Let's conserve our energy until then. response:	You're right.
context: We've been doing such petty things...\W-Wow, they changed instantly...\I guess the boss would be in a league of his own.\Have you thought of anything, Ritsu?\It's probably best we don't try anything right now.\They'll come check on us for sure.\Let's conserve our energy until then.\You're right. response:	The moment we get our powers back will be the decisive moment.
context: W-Wow, they changed instantly...\I guess the boss would be in a league of his own.\Have you thought of anything, Ritsu?\It's probably best we don't try anything right now.\They'll come check on us for sure.\Let's conserve our energy until then.\You're right.\The moment we get our powers back will be the decisive moment. response:	We can count on your strength, too, right, Little Brother?
context: I guess the boss would be in a league of his own.\Have you thought of anything, Ritsu?\It's probably best we don't try anything right now.\They'll come check on us for sure.\Let's conserve our energy until then.\You're right.\The moment we get our powers back will be the decisive moment.\We can count on your strength, too, right, Little Brother? response:	Huh?
context: Have you thought of anything, Ritsu?\It's probably best we don't try anything right now.\They'll come check on us for sure.\Let's conserve our energy until then.\You're right.\The moment we get our powers back will be the decisive moment.\We can count on your strength, too, right, Little Brother?\Huh? response:	It's my fault for involving you two.
context: It's probably best we don't try anything right now.\They'll come check on us for sure.\Let's conserve our energy until then.\You're right.\The moment we get our powers back will be the decisive moment.\We can count on your strength, too, right, Little Brother?\Huh?\It's my fault for involving you two. response:	I'll do what I can.
context: They'll come check on us for sure.\Let's conserve our energy until then.\You're right.\The moment we get our powers back will be the decisive moment.\We can count on your strength, too, right, Little Brother?\Huh?\It's my fault for involving you two.\I'll do what I can. response:	Will he be okay?
context: Let's conserve our energy until then.\You're right.\The moment we get our powers back will be the decisive moment.\We can count on your strength, too, right, Little Brother?\Huh?\It's my fault for involving you two.\I'll do what I can.\Will he be okay? response:	Hey, I was almost burned to death.
context: You're right.\The moment we get our powers back will be the decisive moment.\We can count on your strength, too, right, Little Brother?\Huh?\It's my fault for involving you two.\I'll do what I can.\Will he be okay?\Hey, I was almost burned to death. response:	But, well, if you get serious,
context: The moment we get our powers back will be the decisive moment.\We can count on your strength, too, right, Little Brother?\Huh?\It's my fault for involving you two.\I'll do what I can.\Will he be okay?\Hey, I was almost burned to death.\But, well, if you get serious, response:	the two of us won't even have to fight.
context: We can count on your strength, too, right, Little Brother?\Huh?\It's my fault for involving you two.\I'll do what I can.\Will he be okay?\Hey, I was almost burned to death.\But, well, if you get serious,\the two of us won't even have to fight. response:	They're here.
context: Huh?\It's my fault for involving you two.\I'll do what I can.\Will he be okay?\Hey, I was almost burned to death.\But, well, if you get serious,\the two of us won't even have to fight.\They're here. response:	And they're moving in a pack, as always.
context: It's my fault for involving you two.\I'll do what I can.\Will he be okay?\Hey, I was almost burned to death.\But, well, if you get serious,\the two of us won't even have to fight.\They're here.\And they're moving in a pack, as always. response:	Hey, Mob.
context: I'll do what I can.\Will he be okay?\Hey, I was almost burned to death.\But, well, if you get serious,\the two of us won't even have to fight.\They're here.\And they're moving in a pack, as always.\Hey, Mob. response:	What the heck are you doing in a place like this?
context: Will he be okay?\Hey, I was almost burned to death.\But, well, if you get serious,\the two of us won't even have to fight.\They're here.\And they're moving in a pack, as always.\Hey, Mob.\What the heck are you doing in a place like this? response:	Oh, your little brother's here, too.
context: Hey, I was almost burned to death.\But, well, if you get serious,\the two of us won't even have to fight.\They're here.\And they're moving in a pack, as always.\Hey, Mob.\What the heck are you doing in a place like this?\Oh, your little brother's here, too. response:	What's up?
context: But, well, if you get serious,\the two of us won't even have to fight.\They're here.\And they're moving in a pack, as always.\Hey, Mob.\What the heck are you doing in a place like this?\Oh, your little brother's here, too.\What's up? response:	Wh-Who are you?
context: the two of us won't even have to fight.\They're here.\And they're moving in a pack, as always.\Hey, Mob.\What the heck are you doing in a place like this?\Oh, your little brother's here, too.\What's up?\Wh-Who are you? response:	Do you know the Kageyama brothers?
context: They're here.\And they're moving in a pack, as always.\Hey, Mob.\What the heck are you doing in a place like this?\Oh, your little brother's here, too.\What's up?\Wh-Who are you?\Do you know the Kageyama brothers? response:	Hey! Don't talk that way to the boss!
context: And they're moving in a pack, as always.\Hey, Mob.\What the heck are you doing in a place like this?\Oh, your little brother's here, too.\What's up?\Wh-Who are you?\Do you know the Kageyama brothers?\Hey! Don't talk that way to the boss! response:	The boss?!
context: Hey, Mob.\What the heck are you doing in a place like this?\Oh, your little brother's here, too.\What's up?\Wh-Who are you?\Do you know the Kageyama brothers?\Hey! Don't talk that way to the boss!\The boss?! response:	What are you doing here, Master?
context: What the heck are you doing in a place like this?\Oh, your little brother's here, too.\What's up?\Wh-Who are you?\Do you know the Kageyama brothers?\Hey! Don't talk that way to the boss!\The boss?!\What are you doing here, Master? response:	Master?!
context: Oh, your little brother's here, too.\What's up?\Wh-Who are you?\Do you know the Kageyama brothers?\Hey! Don't talk that way to the boss!\The boss?!\What are you doing here, Master?\Master?! response:	Is that a wi
context: What's up?\Wh-Who are you?\Do you know the Kageyama brothers?\Hey! Don't talk that way to the boss!\The boss?!\What are you doing here, Master?\Master?!\Is that a wi response:	Who's he? Your friend?
context: Wh-Who are you?\Do you know the Kageyama brothers?\Hey! Don't talk that way to the boss!\The boss?!\What are you doing here, Master?\Master?!\Is that a wi\Who's he? Your friend? response:	Th-That's Kageyama-kun's master and Claw's boss?
context: Do you know the Kageyama brothers?\Hey! Don't talk that way to the boss!\The boss?!\What are you doing here, Master?\Master?!\Is that a wi\Who's he? Your friend?\Th-That's Kageyama-kun's master and Claw's boss? response:	But this is our chance!
context: Hey! Don't talk that way to the boss!\The boss?!\What are you doing here, Master?\Master?!\Is that a wi\Who's he? Your friend?\Th-That's Kageyama-kun's master and Claw's boss?\But this is our chance! response:	We're being held here against our will!
context: The boss?!\What are you doing here, Master?\Master?!\Is that a wi\Who's he? Your friend?\Th-That's Kageyama-kun's master and Claw's boss?\But this is our chance!\We're being held here against our will! response:	Please let us go!
context: What are you doing here, Master?\Master?!\Is that a wi\Who's he? Your friend?\Th-That's Kageyama-kun's master and Claw's boss?\But this is our chance!\We're being held here against our will!\Please let us go! response:	Why do you have them trapped in here?
context: Master?!\Is that a wi\Who's he? Your friend?\Th-That's Kageyama-kun's master and Claw's boss?\But this is our chance!\We're being held here against our will!\Please let us go!\Why do you have them trapped in here? response:	Huh? Well...
context: Is that a wi\Who's he? Your friend?\Th-That's Kageyama-kun's master and Claw's boss?\But this is our chance!\We're being held here against our will!\Please let us go!\Why do you have them trapped in here?\Huh? Well... response:	Whisper Whisper
context: Who's he? Your friend?\Th-That's Kageyama-kun's master and Claw's boss?\But this is our chance!\We're being held here against our will!\Please let us go!\Why do you have them trapped in here?\Huh? Well...\Whisper Whisper response:	Why are you whispering?
context: Th-That's Kageyama-kun's master and Claw's boss?\But this is our chance!\We're being held here against our will!\Please let us go!\Why do you have them trapped in here?\Huh? Well...\Whisper Whisper\Why are you whispering? response:	Well, it's top secret...
context: But this is our chance!\We're being held here against our will!\Please let us go!\Why do you have them trapped in here?\Huh? Well...\Whisper Whisper\Why are you whispering?\Well, it's top secret... response:	No, really...
context: We're being held here against our will!\Please let us go!\Why do you have them trapped in here?\Huh? Well...\Whisper Whisper\Why are you whispering?\Well, it's top secret...\No, really... response:	Guys, that's a crime.
context: Please let us go!\Why do you have them trapped in here?\Huh? Well...\Whisper Whisper\Why are you whispering?\Well, it's top secret...\No, really...\Guys, that's a crime. response:	We're very sorry!
context: Why do you have them trapped in here?\Huh? Well...\Whisper Whisper\Why are you whispering?\Well, it's top secret...\No, really...\Guys, that's a crime.\We're very sorry! response:	You're amazing, Master.
context: Huh? Well...\Whisper Whisper\Why are you whispering?\Well, it's top secret...\No, really...\Guys, that's a crime.\We're very sorry!\You're amazing, Master. response:	Did he really manage to fool them?
context: Whisper Whisper\Why are you whispering?\Well, it's top secret...\No, really...\Guys, that's a crime.\We're very sorry!\You're amazing, Master.\Did he really manage to fool them? response:	Anyway, let's get out of here.
context: Why are you whispering?\Well, it's top secret...\No, really...\Guys, that's a crime.\We're very sorry!\You're amazing, Master.\Did he really manage to fool them?\Anyway, let's get out of here. response:	Are we saved...?
context: Well, it's top secret...\No, really...\Guys, that's a crime.\We're very sorry!\You're amazing, Master.\Did he really manage to fool them?\Anyway, let's get out of here.\Are we saved...? response:	Okay.
context: No, really...\Guys, that's a crime.\We're very sorry!\You're amazing, Master.\Did he really manage to fool them?\Anyway, let's get out of here.\Are we saved...?\Okay. response:	Boss, where are you going?
context: Guys, that's a crime.\We're very sorry!\You're amazing, Master.\Did he really manage to fool them?\Anyway, let's get out of here.\Are we saved...?\Okay.\Boss, where are you going? response:	I said we're leaving.
context: We're very sorry!\You're amazing, Master.\Did he really manage to fool them?\Anyway, let's get out of here.\Are we saved...?\Okay.\Boss, where are you going?\I said we're leaving. response:	You should at least wait for Division Leader Ishiguro...
context: You're amazing, Master.\Did he really manage to fool them?\Anyway, let's get out of here.\Are we saved...?\Okay.\Boss, where are you going?\I said we're leaving.\You should at least wait for Division Leader Ishiguro... response:	Mob Psycho 100
context: Did he really manage to fool them?\Anyway, let's get out of here.\Are we saved...?\Okay.\Boss, where are you going?\I said we're leaving.\You should at least wait for Division Leader Ishiguro...\Mob Psycho 100 response:	Who are you?
context: Anyway, let's get out of here.\Are we saved...?\Okay.\Boss, where are you going?\I said we're leaving.\You should at least wait for Division Leader Ishiguro...\Mob Psycho 100\Who are you? response:	You're not the boss.
context: Are we saved...?\Okay.\Boss, where are you going?\I said we're leaving.\You should at least wait for Division Leader Ishiguro...\Mob Psycho 100\Who are you?\You're not the boss. response:	Introduce yourselves, you criminal organization.
context: Okay.\Boss, where are you going?\I said we're leaving.\You should at least wait for Division Leader Ishiguro...\Mob Psycho 100\Who are you?\You're not the boss.\Introduce yourselves, you criminal organization. response:	I'm Ishiguro, the 7th Division Leader of the psychic association, Claw.
context: Boss, where are you going?\I said we're leaving.\You should at least wait for Division Leader Ishiguro...\Mob Psycho 100\Who are you?\You're not the boss.\Introduce yourselves, you criminal organization.\I'm Ishiguro, the 7th Division Leader of the psychic association, Claw. response:	Who might you be?
context: I said we're leaving.\You should at least wait for Division Leader Ishiguro...\Mob Psycho 100\Who are you?\You're not the boss.\Introduce yourselves, you criminal organization.\I'm Ishiguro, the 7th Division Leader of the psychic association, Claw.\Who might you be? response:	The greatest psychic in modern history, Reigen Arataka-sama.
context: You should at least wait for Division Leader Ishiguro...\Mob Psycho 100\Who are you?\You're not the boss.\Introduce yourselves, you criminal organization.\I'm Ishiguro, the 7th Division Leader of the psychic association, Claw.\Who might you be?\The greatest psychic in modern history, Reigen Arataka-sama. response:	Look me up.
context: Mob Psycho 100\Who are you?\You're not the boss.\Introduce yourselves, you criminal organization.\I'm Ishiguro, the 7th Division Leader of the psychic association, Claw.\Who might you be?\The greatest psychic in modern history, Reigen Arataka-sama.\Look me up. response:	What?!
context: Who are you?\You're not the boss.\Introduce yourselves, you criminal organization.\I'm Ishiguro, the 7th Division Leader of the psychic association, Claw.\Who might you be?\The greatest psychic in modern history, Reigen Arataka-sama.\Look me up.\What?! response:	He's not our boss?
context: You're not the boss.\Introduce yourselves, you criminal organization.\I'm Ishiguro, the 7th Division Leader of the psychic association, Claw.\Who might you be?\The greatest psychic in modern history, Reigen Arataka-sama.\Look me up.\What?!\He's not our boss? response:	Fraud or not,
context: Introduce yourselves, you criminal organization.\I'm Ishiguro, the 7th Division Leader of the psychic association, Claw.\Who might you be?\The greatest psychic in modern history, Reigen Arataka-sama.\Look me up.\What?!\He's not our boss?\Fraud or not, response:	you had the nerve to disregard me and call yourself the boss...
context: I'm Ishiguro, the 7th Division Leader of the psychic association, Claw.\Who might you be?\The greatest psychic in modern history, Reigen Arataka-sama.\Look me up.\What?!\He's not our boss?\Fraud or not,\you had the nerve to disregard me and call yourself the boss... response:	That's a severe offense.
context: Who might you be?\The greatest psychic in modern history, Reigen Arataka-sama.\Look me up.\What?!\He's not our boss?\Fraud or not,\you had the nerve to disregard me and call yourself the boss...\That's a severe offense. response:	What are you talking about, you shrimp?
context: The greatest psychic in modern history, Reigen Arataka-sama.\Look me up.\What?!\He's not our boss?\Fraud or not,\you had the nerve to disregard me and call yourself the boss...\That's a severe offense.\What are you talking about, you shrimp? response:	I'll take care of you with my green belt in Shorinji Kenpo with a snap
context: Look me up.\What?!\He's not our boss?\Fraud or not,\you had the nerve to disregard me and call yourself the boss...\That's a severe offense.\What are you talking about, you shrimp?\I'll take care of you with my green belt in Shorinji Kenpo with a snap response:	Strong!
context: What?!\He's not our boss?\Fraud or not,\you had the nerve to disregard me and call yourself the boss...\That's a severe offense.\What are you talking about, you shrimp?\I'll take care of you with my green belt in Shorinji Kenpo with a snap\Strong! response:	Huh? What is this?
context: He's not our boss?\Fraud or not,\you had the nerve to disregard me and call yourself the boss...\That's a severe offense.\What are you talking about, you shrimp?\I'll take care of you with my green belt in Shorinji Kenpo with a snap\Strong!\Huh? What is this? response:	Master, you're a spirit specialist. Stand back.
context: Fraud or not,\you had the nerve to disregard me and call yourself the boss...\That's a severe offense.\What are you talking about, you shrimp?\I'll take care of you with my green belt in Shorinji Kenpo with a snap\Strong!\Huh? What is this?\Master, you're a spirit specialist. Stand back. response:	I see. You've gathered some efficient pawns.
context: you had the nerve to disregard me and call yourself the boss...\That's a severe offense.\What are you talking about, you shrimp?\I'll take care of you with my green belt in Shorinji Kenpo with a snap\Strong!\Huh? What is this?\Master, you're a spirit specialist. Stand back.\I see. You've gathered some efficient pawns. response:	If you gather enough, you might actually be able to oppose Claw.
context: That's a severe offense.\What are you talking about, you shrimp?\I'll take care of you with my green belt in Shorinji Kenpo with a snap\Strong!\Huh? What is this?\Master, you're a spirit specialist. Stand back.\I see. You've gathered some efficient pawns.\If you gather enough, you might actually be able to oppose Claw. response:	D-Division Leader!
context: What are you talking about, you shrimp?\I'll take care of you with my green belt in Shorinji Kenpo with a snap\Strong!\Huh? What is this?\Master, you're a spirit specialist. Stand back.\I see. You've gathered some efficient pawns.\If you gather enough, you might actually be able to oppose Claw.\D-Division Leader! response:	At that angle, we'll die, too!
context: I'll take care of you with my green belt in Shorinji Kenpo with a snap\Strong!\Huh? What is this?\Master, you're a spirit specialist. Stand back.\I see. You've gathered some efficient pawns.\If you gather enough, you might actually be able to oppose Claw.\D-Division Leader!\At that angle, we'll die, too! response:	Like I care. That guy's your boss, isn't he?
context: Strong!\Huh? What is this?\Master, you're a spirit specialist. Stand back.\I see. You've gathered some efficient pawns.\If you gather enough, you might actually be able to oppose Claw.\D-Division Leader!\At that angle, we'll die, too!\Like I care. That guy's your boss, isn't he? response:	N-No...
context: Huh? What is this?\Master, you're a spirit specialist. Stand back.\I see. You've gathered some efficient pawns.\If you gather enough, you might actually be able to oppose Claw.\D-Division Leader!\At that angle, we'll die, too!\Like I care. That guy's your boss, isn't he?\N-No... response:	All of you, hide in some rooms!
context: Master, you're a spirit specialist. Stand back.\I see. You've gathered some efficient pawns.\If you gather enough, you might actually be able to oppose Claw.\D-Division Leader!\At that angle, we'll die, too!\Like I care. That guy's your boss, isn't he?\N-No...\All of you, hide in some rooms! response:	Huh?
context: I see. You've gathered some efficient pawns.\If you gather enough, you might actually be able to oppose Claw.\D-Division Leader!\At that angle, we'll die, too!\Like I care. That guy's your boss, isn't he?\N-No...\All of you, hide in some rooms!\Huh? response:	If you wanna make it big, you can't die here!
context: If you gather enough, you might actually be able to oppose Claw.\D-Division Leader!\At that angle, we'll die, too!\Like I care. That guy's your boss, isn't he?\N-No...\All of you, hide in some rooms!\Huh?\If you wanna make it big, you can't die here! response:	This is your chance to be freed from the shackles of this black organization.
context: D-Division Leader!\At that angle, we'll die, too!\Like I care. That guy's your boss, isn't he?\N-No...\All of you, hide in some rooms!\Huh?\If you wanna make it big, you can't die here!\This is your chance to be freed from the shackles of this black organization. response:	Hurry up. Leave this to my student and go!
context: At that angle, we'll die, too!\Like I care. That guy's your boss, isn't he?\N-No...\All of you, hide in some rooms!\Huh?\If you wanna make it big, you can't die here!\This is your chance to be freed from the shackles of this black organization.\Hurry up. Leave this to my student and go! response:	You're such a...
context: Like I care. That guy's your boss, isn't he?\N-No...\All of you, hide in some rooms!\Huh?\If you wanna make it big, you can't die here!\This is your chance to be freed from the shackles of this black organization.\Hurry up. Leave this to my student and go!\You're such a... response:	Thank you!
context: N-No...\All of you, hide in some rooms!\Huh?\If you wanna make it big, you can't die here!\This is your chance to be freed from the shackles of this black organization.\Hurry up. Leave this to my student and go!\You're such a...\Thank you! response:	Run away!
context: All of you, hide in some rooms!\Huh?\If you wanna make it big, you can't die here!\This is your chance to be freed from the shackles of this black organization.\Hurry up. Leave this to my student and go!\You're such a...\Thank you!\Run away! response:	Actually, I'll be going, too...
context: Huh?\If you wanna make it big, you can't die here!\This is your chance to be freed from the shackles of this black organization.\Hurry up. Leave this to my student and go!\You're such a...\Thank you!\Run away!\Actually, I'll be going, too... response:	The ceiling!
