context: Interviews with Monster Girls response:	Demi-chans Want to Learn
context: punishes unjust authority figures by sucking their blood.\The manga depicted this with a comedic touch.\Flash\The notes that Van Deursen sent to his targets were so funny!\Rumble Rumble...\They were written in code.\The answer was always Not enough blood.\A code...? response:	Q: Complete the names of the prefectures.
context: The manga depicted this with a comedic touch.\Flash\The notes that Van Deursen sent to his targets were so funny!\Rumble Rumble...\They were written in code.\The answer was always Not enough blood.\A code...?\Q: Complete the names of the prefectures. response:	The moment the target solved the code,
context: Flash\The notes that Van Deursen sent to his targets were so funny!\Rumble Rumble...\They were written in code.\The answer was always Not enough blood.\A code...?\Q: Complete the names of the prefectures.\The moment the target solved the code, response:	Um... To... gi... ba
context: The notes that Van Deursen sent to his targets were so funny!\Rumble Rumble...\They were written in code.\The answer was always Not enough blood.\A code...?\Q: Complete the names of the prefectures.\The moment the target solved the code,\Um... To... gi... ba response:	Van Deursen would show up and attack...
context: Rumble Rumble...\They were written in code.\The answer was always Not enough blood.\A code...?\Q: Complete the names of the prefectures.\The moment the target solved the code,\Um... To... gi... ba\Van Deursen would show up and attack... response:	Rustle
context: They were written in code.\The answer was always Not enough blood.\A code...?\Q: Complete the names of the prefectures.\The moment the target solved the code,\Um... To... gi... ba\Van Deursen would show up and attack...\Rustle response:	Not enough blood?
context: The answer was always Not enough blood.\A code...?\Q: Complete the names of the prefectures.\The moment the target solved the code,\Um... To... gi... ba\Van Deursen would show up and attack...\Rustle\Not enough blood? response:	The chi is missing...!!
context: A code...?\Q: Complete the names of the prefectures.\The moment the target solved the code,\Um... To... gi... ba\Van Deursen would show up and attack...\Rustle\Not enough blood?\The chi is missing...!! response:	Flash
context: Q: Complete the names of the prefectures.\The moment the target solved the code,\Um... To... gi... ba\Van Deursen would show up and attack...\Rustle\Not enough blood?\The chi is missing...!!\Flash response:	Gaaah
context: The moment the target solved the code,\Um... To... gi... ba\Van Deursen would show up and attack...\Rustle\Not enough blood?\The chi is missing...!!\Flash\Gaaah response:	There is no place of rest...!!
context: Um... To... gi... ba\Van Deursen would show up and attack...\Rustle\Not enough blood?\The chi is missing...!!\Flash\Gaaah\There is no place of rest...!! response:	Those codes were always so loose!
context: Van Deursen would show up and attack...\Rustle\Not enough blood?\The chi is missing...!!\Flash\Gaaah\There is no place of rest...!!\Those codes were always so loose! response:	Yuki-chan?
context: Rustle\Not enough blood?\The chi is missing...!!\Flash\Gaaah\There is no place of rest...!!\Those codes were always so loose!\Yuki-chan? response:	N-Nothing... Just a little sneeze.
context: Not enough blood?\The chi is missing...!!\Flash\Gaaah\There is no place of rest...!!\Those codes were always so loose!\Yuki-chan?\N-Nothing... Just a little sneeze. response:	Shoot! The memory made me laugh!
context: The chi is missing...!!\Flash\Gaaah\There is no place of rest...!!\Those codes were always so loose!\Yuki-chan?\N-Nothing... Just a little sneeze.\Shoot! The memory made me laugh! response:	Better change the subject.
context: Flash\Gaaah\There is no place of rest...!!\Those codes were always so loose!\Yuki-chan?\N-Nothing... Just a little sneeze.\Shoot! The memory made me laugh!\Better change the subject. response:	Speaking of works with demi protagonists,
context: Gaaah\There is no place of rest...!!\Those codes were always so loose!\Yuki-chan?\N-Nothing... Just a little sneeze.\Shoot! The memory made me laugh!\Better change the subject.\Speaking of works with demi protagonists, response:	I hear that one about a snow woman is popular lately.
context: There is no place of rest...!!\Those codes were always so loose!\Yuki-chan?\N-Nothing... Just a little sneeze.\Shoot! The memory made me laugh!\Better change the subject.\Speaking of works with demi protagonists,\I hear that one about a snow woman is popular lately. response:	I haven't read it, though...
context: Those codes were always so loose!\Yuki-chan?\N-Nothing... Just a little sneeze.\Shoot! The memory made me laugh!\Better change the subject.\Speaking of works with demi protagonists,\I hear that one about a snow woman is popular lately.\I haven't read it, though... response:	Oh, Snow Love, right?
context: Yuki-chan?\N-Nothing... Just a little sneeze.\Shoot! The memory made me laugh!\Better change the subject.\Speaking of works with demi protagonists,\I hear that one about a snow woman is popular lately.\I haven't read it, though...\Oh, Snow Love, right? response:	It's a ladies' comic about a snow woman who moves
context: N-Nothing... Just a little sneeze.\Shoot! The memory made me laugh!\Better change the subject.\Speaking of works with demi protagonists,\I hear that one about a snow woman is popular lately.\I haven't read it, though...\Oh, Snow Love, right?\It's a ladies' comic about a snow woman who moves response:	from Aomori to Tokyo, to try her best at love and work.
context: Shoot! The memory made me laugh!\Better change the subject.\Speaking of works with demi protagonists,\I hear that one about a snow woman is popular lately.\I haven't read it, though...\Oh, Snow Love, right?\It's a ladies' comic about a snow woman who moves\from Aomori to Tokyo, to try her best at love and work. response:	Ever since I moved to Tokyo,
context: Better change the subject.\Speaking of works with demi protagonists,\I hear that one about a snow woman is popular lately.\I haven't read it, though...\Oh, Snow Love, right?\It's a ladies' comic about a snow woman who moves\from Aomori to Tokyo, to try her best at love and work.\Ever since I moved to Tokyo, response:	Sad...
context: Speaking of works with demi protagonists,\I hear that one about a snow woman is popular lately.\I haven't read it, though...\Oh, Snow Love, right?\It's a ladies' comic about a snow woman who moves\from Aomori to Tokyo, to try her best at love and work.\Ever since I moved to Tokyo,\Sad... response:	I heard it's getting a live-action adaptation this fall.
context: I hear that one about a snow woman is popular lately.\I haven't read it, though...\Oh, Snow Love, right?\It's a ladies' comic about a snow woman who moves\from Aomori to Tokyo, to try her best at love and work.\Ever since I moved to Tokyo,\Sad...\I heard it's getting a live-action adaptation this fall. response:	my heart hasn't felt at ease.
context: I haven't read it, though...\Oh, Snow Love, right?\It's a ladies' comic about a snow woman who moves\from Aomori to Tokyo, to try her best at love and work.\Ever since I moved to Tokyo,\Sad...\I heard it's getting a live-action adaptation this fall.\my heart hasn't felt at ease. response:	The city's loneliness chills to the core.
context: Oh, Snow Love, right?\It's a ladies' comic about a snow woman who moves\from Aomori to Tokyo, to try her best at love and work.\Ever since I moved to Tokyo,\Sad...\I heard it's getting a live-action adaptation this fall.\my heart hasn't felt at ease.\The city's loneliness chills to the core. response:	It depicts a grown woman, though,
context: It's a ladies' comic about a snow woman who moves\from Aomori to Tokyo, to try her best at love and work.\Ever since I moved to Tokyo,\Sad...\I heard it's getting a live-action adaptation this fall.\my heart hasn't felt at ease.\The city's loneliness chills to the core.\It depicts a grown woman, though, response:	Tonight,
context: from Aomori to Tokyo, to try her best at love and work.\Ever since I moved to Tokyo,\Sad...\I heard it's getting a live-action adaptation this fall.\my heart hasn't felt at ease.\The city's loneliness chills to the core.\It depicts a grown woman, though,\Tonight, response:	I found that even my heart had frozen at some point.
context: Ever since I moved to Tokyo,\Sad...\I heard it's getting a live-action adaptation this fall.\my heart hasn't felt at ease.\The city's loneliness chills to the core.\It depicts a grown woman, though,\Tonight,\I found that even my heart had frozen at some point. response:	so some of its writing is a bit mature.
context: Sad...\I heard it's getting a live-action adaptation this fall.\my heart hasn't felt at ease.\The city's loneliness chills to the core.\It depicts a grown woman, though,\Tonight,\I found that even my heart had frozen at some point.\so some of its writing is a bit mature. response:	Tonight,
context: I heard it's getting a live-action adaptation this fall.\my heart hasn't felt at ease.\The city's loneliness chills to the core.\It depicts a grown woman, though,\Tonight,\I found that even my heart had frozen at some point.\so some of its writing is a bit mature.\Tonight, response:	I make a connection with warmth.
context: my heart hasn't felt at ease.\The city's loneliness chills to the core.\It depicts a grown woman, though,\Tonight,\I found that even my heart had frozen at some point.\so some of its writing is a bit mature.\Tonight,\I make a connection with warmth. response:	My body...
context: The city's loneliness chills to the core.\It depicts a grown woman, though,\Tonight,\I found that even my heart had frozen at some point.\so some of its writing is a bit mature.\Tonight,\I make a connection with warmth.\My body... response:	feels like it'll melt!
context: It depicts a grown woman, though,\Tonight,\I found that even my heart had frozen at some point.\so some of its writing is a bit mature.\Tonight,\I make a connection with warmth.\My body...\feels like it'll melt! response:	My body feels like it'll melt!
context: Tonight,\I found that even my heart had frozen at some point.\so some of its writing is a bit mature.\Tonight,\I make a connection with warmth.\My body...\feels like it'll melt!\My body feels like it'll melt! response:	Tick...
context: I found that even my heart had frozen at some point.\so some of its writing is a bit mature.\Tonight,\I make a connection with warmth.\My body...\feels like it'll melt!\My body feels like it'll melt!\Tick... response:	The magic wears off...?!
context: so some of its writing is a bit mature.\Tonight,\I make a connection with warmth.\My body...\feels like it'll melt!\My body feels like it'll melt!\Tick...\The magic wears off...?! response:	Actually, that's clever wordplay, huh?
context: Tonight,\I make a connection with warmth.\My body...\feels like it'll melt!\My body feels like it'll melt!\Tick...\The magic wears off...?!\Actually, that's clever wordplay, huh? response:	Yuki-chan?
context: I make a connection with warmth.\My body...\feels like it'll melt!\My body feels like it'll melt!\Tick...\The magic wears off...?!\Actually, that's clever wordplay, huh?\Yuki-chan? response:	Oh, it's just... a bug flew into my mouth.
context: My body...\feels like it'll melt!\My body feels like it'll melt!\Tick...\The magic wears off...?!\Actually, that's clever wordplay, huh?\Yuki-chan?\Oh, it's just... a bug flew into my mouth. response:	If it has dirty stuff like that, I should check it out.
context: feels like it'll melt!\My body feels like it'll melt!\Tick...\The magic wears off...?!\Actually, that's clever wordplay, huh?\Yuki-chan?\Oh, it's just... a bug flew into my mouth.\If it has dirty stuff like that, I should check it out. response:	Anyway, what about you?
context: My body feels like it'll melt!\Tick...\The magic wears off...?!\Actually, that's clever wordplay, huh?\Yuki-chan?\Oh, it's just... a bug flew into my mouth.\If it has dirty stuff like that, I should check it out.\Anyway, what about you? response:	Since Snow Love became popular, have you been bullied in class?
context: Tick...\The magic wears off...?!\Actually, that's clever wordplay, huh?\Yuki-chan?\Oh, it's just... a bug flew into my mouth.\If it has dirty stuff like that, I should check it out.\Anyway, what about you?\Since Snow Love became popular, have you been bullied in class? response:	Huh? Um...
context: The magic wears off...?!\Actually, that's clever wordplay, huh?\Yuki-chan?\Oh, it's just... a bug flew into my mouth.\If it has dirty stuff like that, I should check it out.\Anyway, what about you?\Since Snow Love became popular, have you been bullied in class?\Huh? Um... response:	I've been a topic of discussion,
context: Actually, that's clever wordplay, huh?\Yuki-chan?\Oh, it's just... a bug flew into my mouth.\If it has dirty stuff like that, I should check it out.\Anyway, what about you?\Since Snow Love became popular, have you been bullied in class?\Huh? Um...\I've been a topic of discussion, response:	but I haven't really been bullied.
context: Yuki-chan?\Oh, it's just... a bug flew into my mouth.\If it has dirty stuff like that, I should check it out.\Anyway, what about you?\Since Snow Love became popular, have you been bullied in class?\Huh? Um...\I've been a topic of discussion,\but I haven't really been bullied. response:	Fiction is still just fiction, after all.
context: Oh, it's just... a bug flew into my mouth.\If it has dirty stuff like that, I should check it out.\Anyway, what about you?\Since Snow Love became popular, have you been bullied in class?\Huh? Um...\I've been a topic of discussion,\but I haven't really been bullied.\Fiction is still just fiction, after all. response:	I think everyone understands that reality is different.
context: If it has dirty stuff like that, I should check it out.\Anyway, what about you?\Since Snow Love became popular, have you been bullied in class?\Huh? Um...\I've been a topic of discussion,\but I haven't really been bullied.\Fiction is still just fiction, after all.\I think everyone understands that reality is different. response:	That's why there are disclaimers that say,
context: Anyway, what about you?\Since Snow Love became popular, have you been bullied in class?\Huh? Um...\I've been a topic of discussion,\but I haven't really been bullied.\Fiction is still just fiction, after all.\I think everyone understands that reality is different.\That's why there are disclaimers that say, response:	This is a work of fiction.
context: Since Snow Love became popular, have you been bullied in class?\Huh? Um...\I've been a topic of discussion,\but I haven't really been bullied.\Fiction is still just fiction, after all.\I think everyone understands that reality is different.\That's why there are disclaimers that say,\This is a work of fiction. response:	That's true.
context: Huh? Um...\I've been a topic of discussion,\but I haven't really been bullied.\Fiction is still just fiction, after all.\I think everyone understands that reality is different.\That's why there are disclaimers that say,\This is a work of fiction.\That's true. response:	But that might also be because it's about a snow woman.
context: I've been a topic of discussion,\but I haven't really been bullied.\Fiction is still just fiction, after all.\I think everyone understands that reality is different.\That's why there are disclaimers that say,\This is a work of fiction.\That's true.\But that might also be because it's about a snow woman. response:	What do you mean?
context: but I haven't really been bullied.\Fiction is still just fiction, after all.\I think everyone understands that reality is different.\That's why there are disclaimers that say,\This is a work of fiction.\That's true.\But that might also be because it's about a snow woman.\What do you mean? response:	It's also true for Snow Love,
context: Fiction is still just fiction, after all.\I think everyone understands that reality is different.\That's why there are disclaimers that say,\This is a work of fiction.\That's true.\But that might also be because it's about a snow woman.\What do you mean?\It's also true for Snow Love, response:	but snow women in fictional works are more flamboyant,
context: I think everyone understands that reality is different.\That's why there are disclaimers that say,\This is a work of fiction.\That's true.\But that might also be because it's about a snow woman.\What do you mean?\It's also true for Snow Love,\but snow women in fictional works are more flamboyant, response:	making snow fall and freezing anything with icy blasts.
context: That's why there are disclaimers that say,\This is a work of fiction.\That's true.\But that might also be because it's about a snow woman.\What do you mean?\It's also true for Snow Love,\but snow women in fictional works are more flamboyant,\making snow fall and freezing anything with icy blasts. response:	Oh, there was also an action story about one who shot chunks of ice at enemies!
context: This is a work of fiction.\That's true.\But that might also be because it's about a snow woman.\What do you mean?\It's also true for Snow Love,\but snow women in fictional works are more flamboyant,\making snow fall and freezing anything with icy blasts.\Oh, there was also an action story about one who shot chunks of ice at enemies! response:	But snow women in real life have very little effect on others.
context: That's true.\But that might also be because it's about a snow woman.\What do you mean?\It's also true for Snow Love,\but snow women in fictional works are more flamboyant,\making snow fall and freezing anything with icy blasts.\Oh, there was also an action story about one who shot chunks of ice at enemies!\But snow women in real life have very little effect on others. response:	Um...
context: But that might also be because it's about a snow woman.\What do you mean?\It's also true for Snow Love,\but snow women in fictional works are more flamboyant,\making snow fall and freezing anything with icy blasts.\Oh, there was also an action story about one who shot chunks of ice at enemies!\But snow women in real life have very little effect on others.\Um... response:	In that sense, I guess you...
context: What do you mean?\It's also true for Snow Love,\but snow women in fictional works are more flamboyant,\making snow fall and freezing anything with icy blasts.\Oh, there was also an action story about one who shot chunks of ice at enemies!\But snow women in real life have very little effect on others.\Um...\In that sense, I guess you... response:	a succubus...
context: It's also true for Snow Love,\but snow women in fictional works are more flamboyant,\making snow fall and freezing anything with icy blasts.\Oh, there was also an action story about one who shot chunks of ice at enemies!\But snow women in real life have very little effect on others.\Um...\In that sense, I guess you...\a succubus... response:	A succubus, um... has that sort of nature,
context: but snow women in fictional works are more flamboyant,\making snow fall and freezing anything with icy blasts.\Oh, there was also an action story about one who shot chunks of ice at enemies!\But snow women in real life have very little effect on others.\Um...\In that sense, I guess you...\a succubus...\A succubus, um... has that sort of nature, response:	so maybe they get teased more.
context: making snow fall and freezing anything with icy blasts.\Oh, there was also an action story about one who shot chunks of ice at enemies!\But snow women in real life have very little effect on others.\Um...\In that sense, I guess you...\a succubus...\A succubus, um... has that sort of nature,\so maybe they get teased more. response:	Yeah.
context: Oh, there was also an action story about one who shot chunks of ice at enemies!\But snow women in real life have very little effect on others.\Um...\In that sense, I guess you...\a succubus...\A succubus, um... has that sort of nature,\so maybe they get teased more.\Yeah. response:	I suppose that did happen to me...
context: But snow women in real life have very little effect on others.\Um...\In that sense, I guess you...\a succubus...\A succubus, um... has that sort of nature,\so maybe they get teased more.\Yeah.\I suppose that did happen to me... response:	Around middle school, a succubus's nature becomes apparent.
context: Um...\In that sense, I guess you...\a succubus...\A succubus, um... has that sort of nature,\so maybe they get teased more.\Yeah.\I suppose that did happen to me...\Around middle school, a succubus's nature becomes apparent. response:	So I guess rumors spread after people learned I was a succubus.
context: In that sense, I guess you...\a succubus...\A succubus, um... has that sort of nature,\so maybe they get teased more.\Yeah.\I suppose that did happen to me...\Around middle school, a succubus's nature becomes apparent.\So I guess rumors spread after people learned I was a succubus. response:	Satou...
context: a succubus...\A succubus, um... has that sort of nature,\so maybe they get teased more.\Yeah.\I suppose that did happen to me...\Around middle school, a succubus's nature becomes apparent.\So I guess rumors spread after people learned I was a succubus.\Satou... response:	Then this boy named Takkun, who led lots of unruly kids, came to start trouble.
context: A succubus, um... has that sort of nature,\so maybe they get teased more.\Yeah.\I suppose that did happen to me...\Around middle school, a succubus's nature becomes apparent.\So I guess rumors spread after people learned I was a succubus.\Satou...\Then this boy named Takkun, who led lots of unruly kids, came to start trouble. response:	Yo, Satou, I heard you're a succubus.
context: so maybe they get teased more.\Yeah.\I suppose that did happen to me...\Around middle school, a succubus's nature becomes apparent.\So I guess rumors spread after people learned I was a succubus.\Satou...\Then this boy named Takkun, who led lots of unruly kids, came to start trouble.\Yo, Satou, I heard you're a succubus. response:	It seems so.
context: Yeah.\I suppose that did happen to me...\Around middle school, a succubus's nature becomes apparent.\So I guess rumors spread after people learned I was a succubus.\Satou...\Then this boy named Takkun, who led lots of unruly kids, came to start trouble.\Yo, Satou, I heard you're a succubus.\It seems so. response:	Try your aphrodisiac effect on me, then.
context: I suppose that did happen to me...\Around middle school, a succubus's nature becomes apparent.\So I guess rumors spread after people learned I was a succubus.\Satou...\Then this boy named Takkun, who led lots of unruly kids, came to start trouble.\Yo, Satou, I heard you're a succubus.\It seems so.\Try your aphrodisiac effect on me, then. response:	Isn't that why you have that characteristic?
context: Around middle school, a succubus's nature becomes apparent.\So I guess rumors spread after people learned I was a succubus.\Satou...\Then this boy named Takkun, who led lots of unruly kids, came to start trouble.\Yo, Satou, I heard you're a succubus.\It seems so.\Try your aphrodisiac effect on me, then.\Isn't that why you have that characteristic? response:	Th-That must have been awful!
context: So I guess rumors spread after people learned I was a succubus.\Satou...\Then this boy named Takkun, who led lots of unruly kids, came to start trouble.\Yo, Satou, I heard you're a succubus.\It seems so.\Try your aphrodisiac effect on me, then.\Isn't that why you have that characteristic?\Th-That must have been awful! response:	Oh, it was fine...
context: Satou...\Then this boy named Takkun, who led lots of unruly kids, came to start trouble.\Yo, Satou, I heard you're a succubus.\It seems so.\Try your aphrodisiac effect on me, then.\Isn't that why you have that characteristic?\Th-That must have been awful!\Oh, it was fine... response:	I practiced judo, you know.
context: Then this boy named Takkun, who led lots of unruly kids, came to start trouble.\Yo, Satou, I heard you're a succubus.\It seems so.\Try your aphrodisiac effect on me, then.\Isn't that why you have that characteristic?\Th-That must have been awful!\Oh, it was fine...\I practiced judo, you know. response:	Ow, ow, ow, ow!
context: Yo, Satou, I heard you're a succubus.\It seems so.\Try your aphrodisiac effect on me, then.\Isn't that why you have that characteristic?\Th-That must have been awful!\Oh, it was fine...\I practiced judo, you know.\Ow, ow, ow, ow! response:	Takkun!
context: It seems so.\Try your aphrodisiac effect on me, then.\Isn't that why you have that characteristic?\Th-That must have been awful!\Oh, it was fine...\I practiced judo, you know.\Ow, ow, ow, ow!\Takkun! response:	H-Hey, Satou... Let him go!
context: Try your aphrodisiac effect on me, then.\Isn't that why you have that characteristic?\Th-That must have been awful!\Oh, it was fine...\I practiced judo, you know.\Ow, ow, ow, ow!\Takkun!\H-Hey, Satou... Let him go! response:	Ow, ow, ow! Stop, stop, stop, stop...
context: Isn't that why you have that characteristic?\Th-That must have been awful!\Oh, it was fine...\I practiced judo, you know.\Ow, ow, ow, ow!\Takkun!\H-Hey, Satou... Let him go!\Ow, ow, ow! Stop, stop, stop, stop... response:	Don't stop!
context: Th-That must have been awful!\Oh, it was fine...\I practiced judo, you know.\Ow, ow, ow, ow!\Takkun!\H-Hey, Satou... Let him go!\Ow, ow, ow! Stop, stop, stop, stop...\Don't stop! response:	It hurts... It hurts... Don't stop.
context: Oh, it was fine...\I practiced judo, you know.\Ow, ow, ow, ow!\Takkun!\H-Hey, Satou... Let him go!\Ow, ow, ow! Stop, stop, stop, stop...\Don't stop!\It hurts... It hurts... Don't stop. response:	Don't stop! Make it hurt more!
context: I practiced judo, you know.\Ow, ow, ow, ow!\Takkun!\H-Hey, Satou... Let him go!\Ow, ow, ow! Stop, stop, stop, stop...\Don't stop!\It hurts... It hurts... Don't stop.\Don't stop! Make it hurt more! response:	More... More!
context: Ow, ow, ow, ow!\Takkun!\H-Hey, Satou... Let him go!\Ow, ow, ow! Stop, stop, stop, stop...\Don't stop!\It hurts... It hurts... Don't stop.\Don't stop! Make it hurt more!\More... More! response:	Make it hurt more!
context: Takkun!\H-Hey, Satou... Let him go!\Ow, ow, ow! Stop, stop, stop, stop...\Don't stop!\It hurts... It hurts... Don't stop.\Don't stop! Make it hurt more!\More... More!\Make it hurt more! response:	Let's go.
context: H-Hey, Satou... Let him go!\Ow, ow, ow! Stop, stop, stop, stop...\Don't stop!\It hurts... It hurts... Don't stop.\Don't stop! Make it hurt more!\More... More!\Make it hurt more!\Let's go. response:	Huh? Hey, w-wait...
context: Ow, ow, ow! Stop, stop, stop, stop...\Don't stop!\It hurts... It hurts... Don't stop.\Don't stop! Make it hurt more!\More... More!\Make it hurt more!\Let's go.\Huh? Hey, w-wait... response:	From then on, his reputation was ruined,
context: Don't stop!\It hurts... It hurts... Don't stop.\Don't stop! Make it hurt more!\More... More!\Make it hurt more!\Let's go.\Huh? Hey, w-wait...\From then on, his reputation was ruined, response:	and other bad boys were too afraid to try and approach me.
context: It hurts... It hurts... Don't stop.\Don't stop! Make it hurt more!\More... More!\Make it hurt more!\Let's go.\Huh? Hey, w-wait...\From then on, his reputation was ruined,\and other bad boys were too afraid to try and approach me. response:	It was a happy ending.
context: Don't stop! Make it hurt more!\More... More!\Make it hurt more!\Let's go.\Huh? Hey, w-wait...\From then on, his reputation was ruined,\and other bad boys were too afraid to try and approach me.\It was a happy ending. response:	Oh, sorry about that.
context: More... More!\Make it hurt more!\Let's go.\Huh? Hey, w-wait...\From then on, his reputation was ruined,\and other bad boys were too afraid to try and approach me.\It was a happy ending.\Oh, sorry about that. response:	You don't like hearing that sort of story, right?
context: Make it hurt more!\Let's go.\Huh? Hey, w-wait...\From then on, his reputation was ruined,\and other bad boys were too afraid to try and approach me.\It was a happy ending.\Oh, sorry about that.\You don't like hearing that sort of story, right? response:	Y-Yuki-chan?
context: Let's go.\Huh? Hey, w-wait...\From then on, his reputation was ruined,\and other bad boys were too afraid to try and approach me.\It was a happy ending.\Oh, sorry about that.\You don't like hearing that sort of story, right?\Y-Yuki-chan? response:	What's wrong?
context: Huh? Hey, w-wait...\From then on, his reputation was ruined,\and other bad boys were too afraid to try and approach me.\It was a happy ending.\Oh, sorry about that.\You don't like hearing that sort of story, right?\Y-Yuki-chan?\What's wrong? response:	Does your stomach hurt?
context: From then on, his reputation was ruined,\and other bad boys were too afraid to try and approach me.\It was a happy ending.\Oh, sorry about that.\You don't like hearing that sort of story, right?\Y-Yuki-chan?\What's wrong?\Does your stomach hurt? response:	Interviews with Monster Girls
context: and other bad boys were too afraid to try and approach me.\It was a happy ending.\Oh, sorry about that.\You don't like hearing that sort of story, right?\Y-Yuki-chan?\What's wrong?\Does your stomach hurt?\Interviews with Monster Girls response:	Are you okay?
context: It was a happy ending.\Oh, sorry about that.\You don't like hearing that sort of story, right?\Y-Yuki-chan?\What's wrong?\Does your stomach hurt?\Interviews with Monster Girls\Are you okay? response:	Do you need to go to the nurse?
context: Oh, sorry about that.\You don't like hearing that sort of story, right?\Y-Yuki-chan?\What's wrong?\Does your stomach hurt?\Interviews with Monster Girls\Are you okay?\Do you need to go to the nurse? response:	Library
context: You don't like hearing that sort of story, right?\Y-Yuki-chan?\What's wrong?\Does your stomach hurt?\Interviews with Monster Girls\Are you okay?\Do you need to go to the nurse?\Library response:	Macchi, show me how to do this?
context: Y-Yuki-chan?\What's wrong?\Does your stomach hurt?\Interviews with Monster Girls\Are you okay?\Do you need to go to the nurse?\Library\Macchi, show me how to do this? response:	Sure.
context: What's wrong?\Does your stomach hurt?\Interviews with Monster Girls\Are you okay?\Do you need to go to the nurse?\Library\Macchi, show me how to do this?\Sure. response:	Macchi...
context: Does your stomach hurt?\Interviews with Monster Girls\Are you okay?\Do you need to go to the nurse?\Library\Macchi, show me how to do this?\Sure.\Macchi... response:	Borrowing and Returning
context: Interviews with Monster Girls\Are you okay?\Do you need to go to the nurse?\Library\Macchi, show me how to do this?\Sure.\Macchi...\Borrowing and Returning response:	Book Returns
context: Are you okay?\Do you need to go to the nurse?\Library\Macchi, show me how to do this?\Sure.\Macchi...\Borrowing and Returning\Book Returns response:	Ma
context: Do you need to go to the nurse?\Library\Macchi, show me how to do this?\Sure.\Macchi...\Borrowing and Returning\Book Returns\Ma response:	Wait.
context: Library\Macchi, show me how to do this?\Sure.\Macchi...\Borrowing and Returning\Book Returns\Ma\Wait. response:	You're keeping Kyouko from her own work.
context: Macchi, show me how to do this?\Sure.\Macchi...\Borrowing and Returning\Book Returns\Ma\Wait.\You're keeping Kyouko from her own work. response:	Make-up exams are finally over,
context: Sure.\Macchi...\Borrowing and Returning\Book Returns\Ma\Wait.\You're keeping Kyouko from her own work.\Make-up exams are finally over, response:	and we already have more tests? I can't deal with this...
context: Macchi...\Borrowing and Returning\Book Returns\Ma\Wait.\You're keeping Kyouko from her own work.\Make-up exams are finally over,\and we already have more tests? I can't deal with this... response:	I-It's okay, Yuki-chan.
context: Borrowing and Returning\Book Returns\Ma\Wait.\You're keeping Kyouko from her own work.\Make-up exams are finally over,\and we already have more tests? I can't deal with this...\I-It's okay, Yuki-chan. response:	Explaining to others is also a good way to study.
context: Book Returns\Ma\Wait.\You're keeping Kyouko from her own work.\Make-up exams are finally over,\and we already have more tests? I can't deal with this...\I-It's okay, Yuki-chan.\Explaining to others is also a good way to study. response:	It doesn't bother me at all.
context: Ma\Wait.\You're keeping Kyouko from her own work.\Make-up exams are finally over,\and we already have more tests? I can't deal with this...\I-It's okay, Yuki-chan.\Explaining to others is also a good way to study.\It doesn't bother me at all. response:	Really?
context: Wait.\You're keeping Kyouko from her own work.\Make-up exams are finally over,\and we already have more tests? I can't deal with this...\I-It's okay, Yuki-chan.\Explaining to others is also a good way to study.\It doesn't bother me at all.\Really? response:	Could you teach me that last part, too?
context: You're keeping Kyouko from her own work.\Make-up exams are finally over,\and we already have more tests? I can't deal with this...\I-It's okay, Yuki-chan.\Explaining to others is also a good way to study.\It doesn't bother me at all.\Really?\Could you teach me that last part, too? response:	Sure!
context: Make-up exams are finally over,\and we already have more tests? I can't deal with this...\I-It's okay, Yuki-chan.\Explaining to others is also a good way to study.\It doesn't bother me at all.\Really?\Could you teach me that last part, too?\Sure! response:	Still, it's amazing you ranked fifth, Kyouko.
context: and we already have more tests? I can't deal with this...\I-It's okay, Yuki-chan.\Explaining to others is also a good way to study.\It doesn't bother me at all.\Really?\Could you teach me that last part, too?\Sure!\Still, it's amazing you ranked fifth, Kyouko. response:	I was a little surprised. I didn't expect...
context: I-It's okay, Yuki-chan.\Explaining to others is also a good way to study.\It doesn't bother me at all.\Really?\Could you teach me that last part, too?\Sure!\Still, it's amazing you ranked fifth, Kyouko.\I was a little surprised. I didn't expect... response:	Sorry! That didn't come out right, did it?
context: Explaining to others is also a good way to study.\It doesn't bother me at all.\Really?\Could you teach me that last part, too?\Sure!\Still, it's amazing you ranked fifth, Kyouko.\I was a little surprised. I didn't expect...\Sorry! That didn't come out right, did it? response:	No, I didn't take it that way at all.
context: It doesn't bother me at all.\Really?\Could you teach me that last part, too?\Sure!\Still, it's amazing you ranked fifth, Kyouko.\I was a little surprised. I didn't expect...\Sorry! That didn't come out right, did it?\No, I didn't take it that way at all. response:	Is it because your parents ordered you to study?
context: Really?\Could you teach me that last part, too?\Sure!\Still, it's amazing you ranked fifth, Kyouko.\I was a little surprised. I didn't expect...\Sorry! That didn't come out right, did it?\No, I didn't take it that way at all.\Is it because your parents ordered you to study? response:	I don't really remember,
context: Could you teach me that last part, too?\Sure!\Still, it's amazing you ranked fifth, Kyouko.\I was a little surprised. I didn't expect...\Sorry! That didn't come out right, did it?\No, I didn't take it that way at all.\Is it because your parents ordered you to study?\I don't really remember, response:	but I think my dad used to be like that.
context: Sure!\Still, it's amazing you ranked fifth, Kyouko.\I was a little surprised. I didn't expect...\Sorry! That didn't come out right, did it?\No, I didn't take it that way at all.\Is it because your parents ordered you to study?\I don't really remember,\but I think my dad used to be like that. response:	He doesn't do that to me much anymore, though,
