context: If I remember correctly response:	70,000 years ago by Ruoshui Riverbank
context: Please understand.\He doesn't have enough stamina?\What does that mean?\Does it mean that although Father can hold A-Li\he can't hold Mother?\Ye Hua!\Cheng Yu, take A-Li back to his hall to get some rest.\Ye Hua... response:	Yes...
context: He doesn't have enough stamina?\What does that mean?\Does it mean that although Father can hold A-Li\he can't hold Mother?\Ye Hua!\Cheng Yu, take A-Li back to his hall to get some rest.\Ye Hua...\Yes... response:	Ye Hua...
context: What does that mean?\Does it mean that although Father can hold A-Li\he can't hold Mother?\Ye Hua!\Cheng Yu, take A-Li back to his hall to get some rest.\Ye Hua...\Yes...\Ye Hua... response:	Put me down quickly.
context: Does it mean that although Father can hold A-Li\he can't hold Mother?\Ye Hua!\Cheng Yu, take A-Li back to his hall to get some rest.\Ye Hua...\Yes...\Ye Hua...\Put me down quickly. response:	Ye Hua, I hope you don't mind
context: he can't hold Mother?\Ye Hua!\Cheng Yu, take A-Li back to his hall to get some rest.\Ye Hua...\Yes...\Ye Hua...\Put me down quickly.\Ye Hua, I hope you don't mind response:	that I didn't want to go to the Hall of Beautiful Youth.
context: Ye Hua!\Cheng Yu, take A-Li back to his hall to get some rest.\Ye Hua...\Yes...\Ye Hua...\Put me down quickly.\Ye Hua, I hope you don't mind\that I didn't want to go to the Hall of Beautiful Youth. response:	What is it?
context: Cheng Yu, take A-Li back to his hall to get some rest.\Ye Hua...\Yes...\Ye Hua...\Put me down quickly.\Ye Hua, I hope you don't mind\that I didn't want to go to the Hall of Beautiful Youth.\What is it? response:	She is, after all, Riceball's mother.
context: Ye Hua...\Yes...\Ye Hua...\Put me down quickly.\Ye Hua, I hope you don't mind\that I didn't want to go to the Hall of Beautiful Youth.\What is it?\She is, after all, Riceball's mother. response:	Although I don't know why she left you and jumped off Zhuxian Terrace
context: Yes...\Ye Hua...\Put me down quickly.\Ye Hua, I hope you don't mind\that I didn't want to go to the Hall of Beautiful Youth.\What is it?\She is, after all, Riceball's mother.\Although I don't know why she left you and jumped off Zhuxian Terrace response:	the dead should still be respected.
context: Ye Hua...\Put me down quickly.\Ye Hua, I hope you don't mind\that I didn't want to go to the Hall of Beautiful Youth.\What is it?\She is, after all, Riceball's mother.\Although I don't know why she left you and jumped off Zhuxian Terrace\the dead should still be respected. response:	It wouldn't be appropriate for us to... do it there.
context: Put me down quickly.\Ye Hua, I hope you don't mind\that I didn't want to go to the Hall of Beautiful Youth.\What is it?\She is, after all, Riceball's mother.\Although I don't know why she left you and jumped off Zhuxian Terrace\the dead should still be respected.\It wouldn't be appropriate for us to... do it there. response:	I understand.
context: Ye Hua, I hope you don't mind\that I didn't want to go to the Hall of Beautiful Youth.\What is it?\She is, after all, Riceball's mother.\Although I don't know why she left you and jumped off Zhuxian Terrace\the dead should still be respected.\It wouldn't be appropriate for us to... do it there.\I understand. response:	Speak your mind.
context: that I didn't want to go to the Hall of Beautiful Youth.\What is it?\She is, after all, Riceball's mother.\Although I don't know why she left you and jumped off Zhuxian Terrace\the dead should still be respected.\It wouldn't be appropriate for us to... do it there.\I understand.\Speak your mind. response:	I've already told Nai Nai to lock away her things.
context: What is it?\She is, after all, Riceball's mother.\Although I don't know why she left you and jumped off Zhuxian Terrace\the dead should still be respected.\It wouldn't be appropriate for us to... do it there.\I understand.\Speak your mind.\I've already told Nai Nai to lock away her things. response:	I also told myself not to look at them in case I get upset.
context: She is, after all, Riceball's mother.\Although I don't know why she left you and jumped off Zhuxian Terrace\the dead should still be respected.\It wouldn't be appropriate for us to... do it there.\I understand.\Speak your mind.\I've already told Nai Nai to lock away her things.\I also told myself not to look at them in case I get upset. response:	I've already burned all her things.
context: Although I don't know why she left you and jumped off Zhuxian Terrace\the dead should still be respected.\It wouldn't be appropriate for us to... do it there.\I understand.\Speak your mind.\I've already told Nai Nai to lock away her things.\I also told myself not to look at them in case I get upset.\I've already burned all her things. response:	There's one more matter.
context: the dead should still be respected.\It wouldn't be appropriate for us to... do it there.\I understand.\Speak your mind.\I've already told Nai Nai to lock away her things.\I also told myself not to look at them in case I get upset.\I've already burned all her things.\There's one more matter. response:	Qian Qian, why do you have so many matters to discuss today?
context: It wouldn't be appropriate for us to... do it there.\I understand.\Speak your mind.\I've already told Nai Nai to lock away her things.\I also told myself not to look at them in case I get upset.\I've already burned all her things.\There's one more matter.\Qian Qian, why do you have so many matters to discuss today? response:	What I just mentioned are all matters of the past
context: I understand.\Speak your mind.\I've already told Nai Nai to lock away her things.\I also told myself not to look at them in case I get upset.\I've already burned all her things.\There's one more matter.\Qian Qian, why do you have so many matters to discuss today?\What I just mentioned are all matters of the past response:	but this one matter that I am about to say is very important.
context: Speak your mind.\I've already told Nai Nai to lock away her things.\I also told myself not to look at them in case I get upset.\I've already burned all her things.\There's one more matter.\Qian Qian, why do you have so many matters to discuss today?\What I just mentioned are all matters of the past\but this one matter that I am about to say is very important. response:	Do you still remember that when we were in the West Sea
context: I've already told Nai Nai to lock away her things.\I also told myself not to look at them in case I get upset.\I've already burned all her things.\There's one more matter.\Qian Qian, why do you have so many matters to discuss today?\What I just mentioned are all matters of the past\but this one matter that I am about to say is very important.\Do you still remember that when we were in the West Sea response:	I said I wanted to cancel our engagement?
context: I also told myself not to look at them in case I get upset.\I've already burned all her things.\There's one more matter.\Qian Qian, why do you have so many matters to discuss today?\What I just mentioned are all matters of the past\but this one matter that I am about to say is very important.\Do you still remember that when we were in the West Sea\I said I wanted to cancel our engagement? response:	I do.
context: I've already burned all her things.\There's one more matter.\Qian Qian, why do you have so many matters to discuss today?\What I just mentioned are all matters of the past\but this one matter that I am about to say is very important.\Do you still remember that when we were in the West Sea\I said I wanted to cancel our engagement?\I do. response:	Back then, I didn't really look into my heart.
context: There's one more matter.\Qian Qian, why do you have so many matters to discuss today?\What I just mentioned are all matters of the past\but this one matter that I am about to say is very important.\Do you still remember that when we were in the West Sea\I said I wanted to cancel our engagement?\I do.\Back then, I didn't really look into my heart. response:	Don't take those words to heart.
context: Qian Qian, why do you have so many matters to discuss today?\What I just mentioned are all matters of the past\but this one matter that I am about to say is very important.\Do you still remember that when we were in the West Sea\I said I wanted to cancel our engagement?\I do.\Back then, I didn't really look into my heart.\Don't take those words to heart. response:	Now that we share a mutual affection, the engagement can't be canceled.
context: What I just mentioned are all matters of the past\but this one matter that I am about to say is very important.\Do you still remember that when we were in the West Sea\I said I wanted to cancel our engagement?\I do.\Back then, I didn't really look into my heart.\Don't take those words to heart.\Now that we share a mutual affection, the engagement can't be canceled. response:	While I was bored in the West Sea
context: but this one matter that I am about to say is very important.\Do you still remember that when we were in the West Sea\I said I wanted to cancel our engagement?\I do.\Back then, I didn't really look into my heart.\Don't take those words to heart.\Now that we share a mutual affection, the engagement can't be canceled.\While I was bored in the West Sea response:	I looked into the auspicious dates.
context: Do you still remember that when we were in the West Sea\I said I wanted to cancel our engagement?\I do.\Back then, I didn't really look into my heart.\Don't take those words to heart.\Now that we share a mutual affection, the engagement can't be canceled.\While I was bored in the West Sea\I looked into the auspicious dates. response:	The second of September is great for weddings and constructions.
context: I said I wanted to cancel our engagement?\I do.\Back then, I didn't really look into my heart.\Don't take those words to heart.\Now that we share a mutual affection, the engagement can't be canceled.\While I was bored in the West Sea\I looked into the auspicious dates.\The second of September is great for weddings and constructions. response:	It's a good day for everything.
context: I do.\Back then, I didn't really look into my heart.\Don't take those words to heart.\Now that we share a mutual affection, the engagement can't be canceled.\While I was bored in the West Sea\I looked into the auspicious dates.\The second of September is great for weddings and constructions.\It's a good day for everything. response:	Why don't you tell Grandfather that we'll get married on that day?
context: Back then, I didn't really look into my heart.\Don't take those words to heart.\Now that we share a mutual affection, the engagement can't be canceled.\While I was bored in the West Sea\I looked into the auspicious dates.\The second of September is great for weddings and constructions.\It's a good day for everything.\Why don't you tell Grandfather that we'll get married on that day? response:	What did you just say?
context: Don't take those words to heart.\Now that we share a mutual affection, the engagement can't be canceled.\While I was bored in the West Sea\I looked into the auspicious dates.\The second of September is great for weddings and constructions.\It's a good day for everything.\Why don't you tell Grandfather that we'll get married on that day?\What did you just say? response:	I know that I might not seem proper by saying that.
context: Now that we share a mutual affection, the engagement can't be canceled.\While I was bored in the West Sea\I looked into the auspicious dates.\The second of September is great for weddings and constructions.\It's a good day for everything.\Why don't you tell Grandfather that we'll get married on that day?\What did you just say?\I know that I might not seem proper by saying that. response:	It's not ideal for you to bring it up.
context: While I was bored in the West Sea\I looked into the auspicious dates.\The second of September is great for weddings and constructions.\It's a good day for everything.\Why don't you tell Grandfather that we'll get married on that day?\What did you just say?\I know that I might not seem proper by saying that.\It's not ideal for you to bring it up. response:	Why don't my parents suggest the date?
context: I looked into the auspicious dates.\The second of September is great for weddings and constructions.\It's a good day for everything.\Why don't you tell Grandfather that we'll get married on that day?\What did you just say?\I know that I might not seem proper by saying that.\It's not ideal for you to bring it up.\Why don't my parents suggest the date? response:	After all, marriage is an important matter.
context: The second of September is great for weddings and constructions.\It's a good day for everything.\Why don't you tell Grandfather that we'll get married on that day?\What did you just say?\I know that I might not seem proper by saying that.\It's not ideal for you to bring it up.\Why don't my parents suggest the date?\After all, marriage is an important matter. response:	It's best for the elderly to discuss it.
context: It's a good day for everything.\Why don't you tell Grandfather that we'll get married on that day?\What did you just say?\I know that I might not seem proper by saying that.\It's not ideal for you to bring it up.\Why don't my parents suggest the date?\After all, marriage is an important matter.\It's best for the elderly to discuss it. response:	Qian Qian...
context: Why don't you tell Grandfather that we'll get married on that day?\What did you just say?\I know that I might not seem proper by saying that.\It's not ideal for you to bring it up.\Why don't my parents suggest the date?\After all, marriage is an important matter.\It's best for the elderly to discuss it.\Qian Qian... response:	Say it again.
context: What did you just say?\I know that I might not seem proper by saying that.\It's not ideal for you to bring it up.\Why don't my parents suggest the date?\After all, marriage is an important matter.\It's best for the elderly to discuss it.\Qian Qian...\Say it again. response:	What is it you would do with me?
context: I know that I might not seem proper by saying that.\It's not ideal for you to bring it up.\Why don't my parents suggest the date?\After all, marriage is an important matter.\It's best for the elderly to discuss it.\Qian Qian...\Say it again.\What is it you would do with me? response:	Ye Hua...
context: It's not ideal for you to bring it up.\Why don't my parents suggest the date?\After all, marriage is an important matter.\It's best for the elderly to discuss it.\Qian Qian...\Say it again.\What is it you would do with me?\Ye Hua... response:	I love you.
context: Why don't my parents suggest the date?\After all, marriage is an important matter.\It's best for the elderly to discuss it.\Qian Qian...\Say it again.\What is it you would do with me?\Ye Hua...\I love you. response:	I really do love you.
context: After all, marriage is an important matter.\It's best for the elderly to discuss it.\Qian Qian...\Say it again.\What is it you would do with me?\Ye Hua...\I love you.\I really do love you. response:	I want to be with you forever.
context: It's best for the elderly to discuss it.\Qian Qian...\Say it again.\What is it you would do with me?\Ye Hua...\I love you.\I really do love you.\I want to be with you forever. response:	Women of Qing Qiu are always very blunt.
context: Qian Qian...\Say it again.\What is it you would do with me?\Ye Hua...\I love you.\I really do love you.\I want to be with you forever.\Women of Qing Qiu are always very blunt. response:	We just say whatever we think.
context: Say it again.\What is it you would do with me?\Ye Hua...\I love you.\I really do love you.\I want to be with you forever.\Women of Qing Qiu are always very blunt.\We just say whatever we think. response:	He was raised in the very rigid Celestial Palace.
context: What is it you would do with me?\Ye Hua...\I love you.\I really do love you.\I want to be with you forever.\Women of Qing Qiu are always very blunt.\We just say whatever we think.\He was raised in the very rigid Celestial Palace. response:	Will he think of me as too easy now that I said that?
context: Ye Hua...\I love you.\I really do love you.\I want to be with you forever.\Women of Qing Qiu are always very blunt.\We just say whatever we think.\He was raised in the very rigid Celestial Palace.\Will he think of me as too easy now that I said that? response:	Qian Qian...
context: I love you.\I really do love you.\I want to be with you forever.\Women of Qing Qiu are always very blunt.\We just say whatever we think.\He was raised in the very rigid Celestial Palace.\Will he think of me as too easy now that I said that?\Qian Qian... response:	Give me another child.
context: I really do love you.\I want to be with you forever.\Women of Qing Qiu are always very blunt.\We just say whatever we think.\He was raised in the very rigid Celestial Palace.\Will he think of me as too easy now that I said that?\Qian Qian...\Give me another child. response:	70,000 years ago, I sat here staring out at Kunlun Mountain
context: I want to be with you forever.\Women of Qing Qiu are always very blunt.\We just say whatever we think.\He was raised in the very rigid Celestial Palace.\Will he think of me as too easy now that I said that?\Qian Qian...\Give me another child.\70,000 years ago, I sat here staring out at Kunlun Mountain response:	thinking of someone in there.
context: Women of Qing Qiu are always very blunt.\We just say whatever we think.\He was raised in the very rigid Celestial Palace.\Will he think of me as too easy now that I said that?\Qian Qian...\Give me another child.\70,000 years ago, I sat here staring out at Kunlun Mountain\thinking of someone in there. response:	I often think to myself
context: We just say whatever we think.\He was raised in the very rigid Celestial Palace.\Will he think of me as too easy now that I said that?\Qian Qian...\Give me another child.\70,000 years ago, I sat here staring out at Kunlun Mountain\thinking of someone in there.\I often think to myself response:	that if I hadn't been born into the Ghost Tribe as the second prince
context: He was raised in the very rigid Celestial Palace.\Will he think of me as too easy now that I said that?\Qian Qian...\Give me another child.\70,000 years ago, I sat here staring out at Kunlun Mountain\thinking of someone in there.\I often think to myself\that if I hadn't been born into the Ghost Tribe as the second prince response:	everything would be great.
context: Will he think of me as too easy now that I said that?\Qian Qian...\Give me another child.\70,000 years ago, I sat here staring out at Kunlun Mountain\thinking of someone in there.\I often think to myself\that if I hadn't been born into the Ghost Tribe as the second prince\everything would be great. response:	Are you referring to High Immortal Si Yin?
context: Qian Qian...\Give me another child.\70,000 years ago, I sat here staring out at Kunlun Mountain\thinking of someone in there.\I often think to myself\that if I hadn't been born into the Ghost Tribe as the second prince\everything would be great.\Are you referring to High Immortal Si Yin? response:	Back then, I thought that she was of the Celestial Tribe.
context: Give me another child.\70,000 years ago, I sat here staring out at Kunlun Mountain\thinking of someone in there.\I often think to myself\that if I hadn't been born into the Ghost Tribe as the second prince\everything would be great.\Are you referring to High Immortal Si Yin?\Back then, I thought that she was of the Celestial Tribe. response:	I thought that it wasn't just the conflict
context: 70,000 years ago, I sat here staring out at Kunlun Mountain\thinking of someone in there.\I often think to myself\that if I hadn't been born into the Ghost Tribe as the second prince\everything would be great.\Are you referring to High Immortal Si Yin?\Back then, I thought that she was of the Celestial Tribe.\I thought that it wasn't just the conflict response:	of both tribes that stood between us
context: thinking of someone in there.\I often think to myself\that if I hadn't been born into the Ghost Tribe as the second prince\everything would be great.\Are you referring to High Immortal Si Yin?\Back then, I thought that she was of the Celestial Tribe.\I thought that it wasn't just the conflict\of both tribes that stood between us response:	but also the regulation that our tribes are not to be joined in marriage.
context: I often think to myself\that if I hadn't been born into the Ghost Tribe as the second prince\everything would be great.\Are you referring to High Immortal Si Yin?\Back then, I thought that she was of the Celestial Tribe.\I thought that it wasn't just the conflict\of both tribes that stood between us\but also the regulation that our tribes are not to be joined in marriage. response:	You thought that she was from the Celestial Tribe?
context: that if I hadn't been born into the Ghost Tribe as the second prince\everything would be great.\Are you referring to High Immortal Si Yin?\Back then, I thought that she was of the Celestial Tribe.\I thought that it wasn't just the conflict\of both tribes that stood between us\but also the regulation that our tribes are not to be joined in marriage.\You thought that she was from the Celestial Tribe? response:	What do you mean by that?
context: everything would be great.\Are you referring to High Immortal Si Yin?\Back then, I thought that she was of the Celestial Tribe.\I thought that it wasn't just the conflict\of both tribes that stood between us\but also the regulation that our tribes are not to be joined in marriage.\You thought that she was from the Celestial Tribe?\What do you mean by that? response:	Si Yin is a man of the Celestial Tribe!
context: Are you referring to High Immortal Si Yin?\Back then, I thought that she was of the Celestial Tribe.\I thought that it wasn't just the conflict\of both tribes that stood between us\but also the regulation that our tribes are not to be joined in marriage.\You thought that she was from the Celestial Tribe?\What do you mean by that?\Si Yin is a man of the Celestial Tribe! response:	Do you still not know?
context: Back then, I thought that she was of the Celestial Tribe.\I thought that it wasn't just the conflict\of both tribes that stood between us\but also the regulation that our tribes are not to be joined in marriage.\You thought that she was from the Celestial Tribe?\What do you mean by that?\Si Yin is a man of the Celestial Tribe!\Do you still not know? response:	Si Yin is Bai Qian of Qing Qiu.
context: I thought that it wasn't just the conflict\of both tribes that stood between us\but also the regulation that our tribes are not to be joined in marriage.\You thought that she was from the Celestial Tribe?\What do you mean by that?\Si Yin is a man of the Celestial Tribe!\Do you still not know?\Si Yin is Bai Qian of Qing Qiu. response:	High God Bai Qian.
context: of both tribes that stood between us\but also the regulation that our tribes are not to be joined in marriage.\You thought that she was from the Celestial Tribe?\What do you mean by that?\Si Yin is a man of the Celestial Tribe!\Do you still not know?\Si Yin is Bai Qian of Qing Qiu.\High God Bai Qian. response:	High God Bai Qian?
context: but also the regulation that our tribes are not to be joined in marriage.\You thought that she was from the Celestial Tribe?\What do you mean by that?\Si Yin is a man of the Celestial Tribe!\Do you still not know?\Si Yin is Bai Qian of Qing Qiu.\High God Bai Qian.\High God Bai Qian? response:	So you weren't wrong to fall in love with her then.
context: You thought that she was from the Celestial Tribe?\What do you mean by that?\Si Yin is a man of the Celestial Tribe!\Do you still not know?\Si Yin is Bai Qian of Qing Qiu.\High God Bai Qian.\High God Bai Qian?\So you weren't wrong to fall in love with her then. response:	I was the one who got it wrong about Si Yin?
context: What do you mean by that?\Si Yin is a man of the Celestial Tribe!\Do you still not know?\Si Yin is Bai Qian of Qing Qiu.\High God Bai Qian.\High God Bai Qian?\So you weren't wrong to fall in love with her then.\I was the one who got it wrong about Si Yin? response:	I was too young then.
context: Si Yin is a man of the Celestial Tribe!\Do you still not know?\Si Yin is Bai Qian of Qing Qiu.\High God Bai Qian.\High God Bai Qian?\So you weren't wrong to fall in love with her then.\I was the one who got it wrong about Si Yin?\I was too young then. response:	I admired him for his status as a high immortal.
context: Do you still not know?\Si Yin is Bai Qian of Qing Qiu.\High God Bai Qian.\High God Bai Qian?\So you weren't wrong to fall in love with her then.\I was the one who got it wrong about Si Yin?\I was too young then.\I admired him for his status as a high immortal. response:	I thought that all men in the Celestial Tribe
context: Si Yin is Bai Qian of Qing Qiu.\High God Bai Qian.\High God Bai Qian?\So you weren't wrong to fall in love with her then.\I was the one who got it wrong about Si Yin?\I was too young then.\I admired him for his status as a high immortal.\I thought that all men in the Celestial Tribe response:	should be as cheerful and candid as he was.
context: High God Bai Qian.\High God Bai Qian?\So you weren't wrong to fall in love with her then.\I was the one who got it wrong about Si Yin?\I was too young then.\I admired him for his status as a high immortal.\I thought that all men in the Celestial Tribe\should be as cheerful and candid as he was. response:	Be it love or hate
context: High God Bai Qian?\So you weren't wrong to fall in love with her then.\I was the one who got it wrong about Si Yin?\I was too young then.\I admired him for his status as a high immortal.\I thought that all men in the Celestial Tribe\should be as cheerful and candid as he was.\Be it love or hate response:	we should all break it off nice and clean without any hesitation or tricks!
context: So you weren't wrong to fall in love with her then.\I was the one who got it wrong about Si Yin?\I was too young then.\I admired him for his status as a high immortal.\I thought that all men in the Celestial Tribe\should be as cheerful and candid as he was.\Be it love or hate\we should all break it off nice and clean without any hesitation or tricks! response:	But now...
context: I was the one who got it wrong about Si Yin?\I was too young then.\I admired him for his status as a high immortal.\I thought that all men in the Celestial Tribe\should be as cheerful and candid as he was.\Be it love or hate\we should all break it off nice and clean without any hesitation or tricks!\But now... response:	All right!
context: I was too young then.\I admired him for his status as a high immortal.\I thought that all men in the Celestial Tribe\should be as cheerful and candid as he was.\Be it love or hate\we should all break it off nice and clean without any hesitation or tricks!\But now...\All right! response:	Now that I know she's a woman
context: I admired him for his status as a high immortal.\I thought that all men in the Celestial Tribe\should be as cheerful and candid as he was.\Be it love or hate\we should all break it off nice and clean without any hesitation or tricks!\But now...\All right!\Now that I know she's a woman response:	she's still a high god who isn't afraid to love or hate someone.
context: I thought that all men in the Celestial Tribe\should be as cheerful and candid as he was.\Be it love or hate\we should all break it off nice and clean without any hesitation or tricks!\But now...\All right!\Now that I know she's a woman\she's still a high god who isn't afraid to love or hate someone. response:	Exactly.
context: should be as cheerful and candid as he was.\Be it love or hate\we should all break it off nice and clean without any hesitation or tricks!\But now...\All right!\Now that I know she's a woman\she's still a high god who isn't afraid to love or hate someone.\Exactly. response:	That's how A-Yin is.
context: Be it love or hate\we should all break it off nice and clean without any hesitation or tricks!\But now...\All right!\Now that I know she's a woman\she's still a high god who isn't afraid to love or hate someone.\Exactly.\That's how A-Yin is. response:	If she wishes to break it off with you
context: we should all break it off nice and clean without any hesitation or tricks!\But now...\All right!\Now that I know she's a woman\she's still a high god who isn't afraid to love or hate someone.\Exactly.\That's how A-Yin is.\If she wishes to break it off with you response:	she will do so nice and clean.
context: But now...\All right!\Now that I know she's a woman\she's still a high god who isn't afraid to love or hate someone.\Exactly.\That's how A-Yin is.\If she wishes to break it off with you\she will do so nice and clean. response:	Without any hesitation.
context: All right!\Now that I know she's a woman\she's still a high god who isn't afraid to love or hate someone.\Exactly.\That's how A-Yin is.\If she wishes to break it off with you\she will do so nice and clean.\Without any hesitation. response:	Why aren't you asleep yet?
context: Now that I know she's a woman\she's still a high god who isn't afraid to love or hate someone.\Exactly.\That's how A-Yin is.\If she wishes to break it off with you\she will do so nice and clean.\Without any hesitation.\Why aren't you asleep yet? response:	You already made me sore all over...
context: she's still a high god who isn't afraid to love or hate someone.\Exactly.\That's how A-Yin is.\If she wishes to break it off with you\she will do so nice and clean.\Without any hesitation.\Why aren't you asleep yet?\You already made me sore all over... response:	Qian Qian...
context: Exactly.\That's how A-Yin is.\If she wishes to break it off with you\she will do so nice and clean.\Without any hesitation.\Why aren't you asleep yet?\You already made me sore all over...\Qian Qian... response:	Yes?
context: That's how A-Yin is.\If she wishes to break it off with you\she will do so nice and clean.\Without any hesitation.\Why aren't you asleep yet?\You already made me sore all over...\Qian Qian...\Yes? response:	If it is as Li Jing said
context: If she wishes to break it off with you\she will do so nice and clean.\Without any hesitation.\Why aren't you asleep yet?\You already made me sore all over...\Qian Qian...\Yes?\If it is as Li Jing said response:	the seal on the Bell of the East Emperor will weaken once Mo Yuan returns
context: she will do so nice and clean.\Without any hesitation.\Why aren't you asleep yet?\You already made me sore all over...\Qian Qian...\Yes?\If it is as Li Jing said\the seal on the Bell of the East Emperor will weaken once Mo Yuan returns response:	and Qing Cang will be able to break free...
context: Without any hesitation.\Why aren't you asleep yet?\You already made me sore all over...\Qian Qian...\Yes?\If it is as Li Jing said\the seal on the Bell of the East Emperor will weaken once Mo Yuan returns\and Qing Cang will be able to break free... response:	What will you do then?
context: Why aren't you asleep yet?\You already made me sore all over...\Qian Qian...\Yes?\If it is as Li Jing said\the seal on the Bell of the East Emperor will weaken once Mo Yuan returns\and Qing Cang will be able to break free...\What will you do then? response:	What is the matter?
context: You already made me sore all over...\Qian Qian...\Yes?\If it is as Li Jing said\the seal on the Bell of the East Emperor will weaken once Mo Yuan returns\and Qing Cang will be able to break free...\What will you do then?\What is the matter? response:	70,000 years ago, if you had had the chance to seal up the bell
context: Qian Qian...\Yes?\If it is as Li Jing said\the seal on the Bell of the East Emperor will weaken once Mo Yuan returns\and Qing Cang will be able to break free...\What will you do then?\What is the matter?\70,000 years ago, if you had had the chance to seal up the bell response:	would you really have done it for Mo Yuan?
context: Yes?\If it is as Li Jing said\the seal on the Bell of the East Emperor will weaken once Mo Yuan returns\and Qing Cang will be able to break free...\What will you do then?\What is the matter?\70,000 years ago, if you had had the chance to seal up the bell\would you really have done it for Mo Yuan? response:	I'm deeply grateful to my mentor.
context: If it is as Li Jing said\the seal on the Bell of the East Emperor will weaken once Mo Yuan returns\and Qing Cang will be able to break free...\What will you do then?\What is the matter?\70,000 years ago, if you had had the chance to seal up the bell\would you really have done it for Mo Yuan?\I'm deeply grateful to my mentor. response:	If I had had the chance to do that, I'd definitely have done it.
context: the seal on the Bell of the East Emperor will weaken once Mo Yuan returns\and Qing Cang will be able to break free...\What will you do then?\What is the matter?\70,000 years ago, if you had had the chance to seal up the bell\would you really have done it for Mo Yuan?\I'm deeply grateful to my mentor.\If I had had the chance to do that, I'd definitely have done it. response:	None of the disciples of Kunlun Mountain would hesitate to do that...
context: and Qing Cang will be able to break free...\What will you do then?\What is the matter?\70,000 years ago, if you had had the chance to seal up the bell\would you really have done it for Mo Yuan?\I'm deeply grateful to my mentor.\If I had had the chance to do that, I'd definitely have done it.\None of the disciples of Kunlun Mountain would hesitate to do that... response:	What is it?
context: What will you do then?\What is the matter?\70,000 years ago, if you had had the chance to seal up the bell\would you really have done it for Mo Yuan?\I'm deeply grateful to my mentor.\If I had had the chance to do that, I'd definitely have done it.\None of the disciples of Kunlun Mountain would hesitate to do that...\What is it? response:	Let's sleep.
context: What is the matter?\70,000 years ago, if you had had the chance to seal up the bell\would you really have done it for Mo Yuan?\I'm deeply grateful to my mentor.\If I had had the chance to do that, I'd definitely have done it.\None of the disciples of Kunlun Mountain would hesitate to do that...\What is it?\Let's sleep. response:	Li Jing.
context: 70,000 years ago, if you had had the chance to seal up the bell\would you really have done it for Mo Yuan?\I'm deeply grateful to my mentor.\If I had had the chance to do that, I'd definitely have done it.\None of the disciples of Kunlun Mountain would hesitate to do that...\What is it?\Let's sleep.\Li Jing. response:	Why have you never taken a good look at your child?
context: would you really have done it for Mo Yuan?\I'm deeply grateful to my mentor.\If I had had the chance to do that, I'd definitely have done it.\None of the disciples of Kunlun Mountain would hesitate to do that...\What is it?\Let's sleep.\Li Jing.\Why have you never taken a good look at your child? response:	He should have died 300 years ago.
context: I'm deeply grateful to my mentor.\If I had had the chance to do that, I'd definitely have done it.\None of the disciples of Kunlun Mountain would hesitate to do that...\What is it?\Let's sleep.\Li Jing.\Why have you never taken a good look at your child?\He should have died 300 years ago. response:	No! What wrong has he done?
context: If I had had the chance to do that, I'd definitely have done it.\None of the disciples of Kunlun Mountain would hesitate to do that...\What is it?\Let's sleep.\Li Jing.\Why have you never taken a good look at your child?\He should have died 300 years ago.\No! What wrong has he done? response:	He shouldn't be punished in his mother's stead.
context: None of the disciples of Kunlun Mountain would hesitate to do that...\What is it?\Let's sleep.\Li Jing.\Why have you never taken a good look at your child?\He should have died 300 years ago.\No! What wrong has he done?\He shouldn't be punished in his mother's stead. response:	I believe that he'll wake up soon.
context: What is it?\Let's sleep.\Li Jing.\Why have you never taken a good look at your child?\He should have died 300 years ago.\No! What wrong has he done?\He shouldn't be punished in his mother's stead.\I believe that he'll wake up soon. response:	Be good, Uncle Zi Lan will be here soon.
context: Let's sleep.\Li Jing.\Why have you never taken a good look at your child?\He should have died 300 years ago.\No! What wrong has he done?\He shouldn't be punished in his mother's stead.\I believe that he'll wake up soon.\Be good, Uncle Zi Lan will be here soon. response:	Zi Lan asked me to bring you this elixir.
context: Li Jing.\Why have you never taken a good look at your child?\He should have died 300 years ago.\No! What wrong has he done?\He shouldn't be punished in his mother's stead.\I believe that he'll wake up soon.\Be good, Uncle Zi Lan will be here soon.\Zi Lan asked me to bring you this elixir. response:	Zi Lan...
context: Why have you never taken a good look at your child?\He should have died 300 years ago.\No! What wrong has he done?\He shouldn't be punished in his mother's stead.\I believe that he'll wake up soon.\Be good, Uncle Zi Lan will be here soon.\Zi Lan asked me to bring you this elixir.\Zi Lan... response:	Zi Lan is...
context: He should have died 300 years ago.\No! What wrong has he done?\He shouldn't be punished in his mother's stead.\I believe that he'll wake up soon.\Be good, Uncle Zi Lan will be here soon.\Zi Lan asked me to bring you this elixir.\Zi Lan...\Zi Lan is... response:	This is the prescription that Zi Lan wrote for you.
context: No! What wrong has he done?\He shouldn't be punished in his mother's stead.\I believe that he'll wake up soon.\Be good, Uncle Zi Lan will be here soon.\Zi Lan asked me to bring you this elixir.\Zi Lan...\Zi Lan is...\This is the prescription that Zi Lan wrote for you. response:	He said that you've lost all your cultivation
