context: but there is only desolation under an autumn sunset. response:	Swift waters parted by the jagged rocks
context: but he entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\You're in the same boat!\I ran into you in Hiroshima, Kyoto, everywhere I went!\Neither of us have made it to Class A!\Well, team matches are a different animal.\We'll be winning.\That's bull! response:	Honestly, Hokuo doesn't scare us now that Sudo-san's graduated!
context: and he's still Class B because he couldn't win.\You're in the same boat!\I ran into you in Hiroshima, Kyoto, everywhere I went!\Neither of us have made it to Class A!\Well, team matches are a different animal.\We'll be winning.\That's bull!\Honestly, Hokuo doesn't scare us now that Sudo-san's graduated! response:	You won't be able to say that after seeing our ultimate weapon.
context: You're in the same boat!\I ran into you in Hiroshima, Kyoto, everywhere I went!\Neither of us have made it to Class A!\Well, team matches are a different animal.\We'll be winning.\That's bull!\Honestly, Hokuo doesn't scare us now that Sudo-san's graduated!\You won't be able to say that after seeing our ultimate weapon. response:	Ultimate weapon?
context: I ran into you in Hiroshima, Kyoto, everywhere I went!\Neither of us have made it to Class A!\Well, team matches are a different animal.\We'll be winning.\That's bull!\Honestly, Hokuo doesn't scare us now that Sudo-san's graduated!\You won't be able to say that after seeing our ultimate weapon.\Ultimate weapon? response:	See you in the finals!
context: Neither of us have made it to Class A!\Well, team matches are a different animal.\We'll be winning.\That's bull!\Honestly, Hokuo doesn't scare us now that Sudo-san's graduated!\You won't be able to say that after seeing our ultimate weapon.\Ultimate weapon?\See you in the finals! response:	Last year's champions will now return the trophy.
context: Well, team matches are a different animal.\We'll be winning.\That's bull!\Honestly, Hokuo doesn't scare us now that Sudo-san's graduated!\You won't be able to say that after seeing our ultimate weapon.\Ultimate weapon?\See you in the finals!\Last year's champions will now return the trophy. response:	This was the first trophy we worked together to win.
context: We'll be winning.\That's bull!\Honestly, Hokuo doesn't scare us now that Sudo-san's graduated!\You won't be able to say that after seeing our ultimate weapon.\Ultimate weapon?\See you in the finals!\Last year's champions will now return the trophy.\This was the first trophy we worked together to win. response:	We fought so hard.
context: That's bull!\Honestly, Hokuo doesn't scare us now that Sudo-san's graduated!\You won't be able to say that after seeing our ultimate weapon.\Ultimate weapon?\See you in the finals!\Last year's champions will now return the trophy.\This was the first trophy we worked together to win.\We fought so hard. response:	We were completely focused on our goal.
context: Honestly, Hokuo doesn't scare us now that Sudo-san's graduated!\You won't be able to say that after seeing our ultimate weapon.\Ultimate weapon?\See you in the finals!\Last year's champions will now return the trophy.\This was the first trophy we worked together to win.\We fought so hard.\We were completely focused on our goal. response:	A year has passed.
context: You won't be able to say that after seeing our ultimate weapon.\Ultimate weapon?\See you in the finals!\Last year's champions will now return the trophy.\This was the first trophy we worked together to win.\We fought so hard.\We were completely focused on our goal.\A year has passed. response:	We have to win again
context: Ultimate weapon?\See you in the finals!\Last year's champions will now return the trophy.\This was the first trophy we worked together to win.\We fought so hard.\We were completely focused on our goal.\A year has passed.\We have to win again response:	and make it to Nationals.
context: See you in the finals!\Last year's champions will now return the trophy.\This was the first trophy we worked together to win.\We fought so hard.\We were completely focused on our goal.\A year has passed.\We have to win again\and make it to Nationals. response:	Our next dream is to be number one in Japan!
context: Last year's champions will now return the trophy.\This was the first trophy we worked together to win.\We fought so hard.\We were completely focused on our goal.\A year has passed.\We have to win again\and make it to Nationals.\Our next dream is to be number one in Japan! response:	Group A Round 1 Mizusawa High School
context: This was the first trophy we worked together to win.\We fought so hard.\We were completely focused on our goal.\A year has passed.\We have to win again\and make it to Nationals.\Our next dream is to be number one in Japan!\Group A Round 1 Mizusawa High School response:	Nishida Yusei Oe Kana Ayase Chihaya Komachi Tsutomu Mashima Taichi
context: We fought so hard.\We were completely focused on our goal.\A year has passed.\We have to win again\and make it to Nationals.\Our next dream is to be number one in Japan!\Group A Round 1 Mizusawa High School\Nishida Yusei Oe Kana Ayase Chihaya Komachi Tsutomu Mashima Taichi response:	Yeah, we want to get off to a running start.
context: We were completely focused on our goal.\A year has passed.\We have to win again\and make it to Nationals.\Our next dream is to be number one in Japan!\Group A Round 1 Mizusawa High School\Nishida Yusei Oe Kana Ayase Chihaya Komachi Tsutomu Mashima Taichi\Yeah, we want to get off to a running start. response:	Let's use the order Komano came up with.
context: A year has passed.\We have to win again\and make it to Nationals.\Our next dream is to be number one in Japan!\Group A Round 1 Mizusawa High School\Nishida Yusei Oe Kana Ayase Chihaya Komachi Tsutomu Mashima Taichi\Yeah, we want to get off to a running start.\Let's use the order Komano came up with. response:	Sounds good.
context: We have to win again\and make it to Nationals.\Our next dream is to be number one in Japan!\Group A Round 1 Mizusawa High School\Nishida Yusei Oe Kana Ayase Chihaya Komachi Tsutomu Mashima Taichi\Yeah, we want to get off to a running start.\Let's use the order Komano came up with.\Sounds good. response:	I think it's fine.
context: and make it to Nationals.\Our next dream is to be number one in Japan!\Group A Round 1 Mizusawa High School\Nishida Yusei Oe Kana Ayase Chihaya Komachi Tsutomu Mashima Taichi\Yeah, we want to get off to a running start.\Let's use the order Komano came up with.\Sounds good.\I think it's fine. response:	Oh, then I'll go turn this in.
context: Our next dream is to be number one in Japan!\Group A Round 1 Mizusawa High School\Nishida Yusei Oe Kana Ayase Chihaya Komachi Tsutomu Mashima Taichi\Yeah, we want to get off to a running start.\Let's use the order Komano came up with.\Sounds good.\I think it's fine.\Oh, then I'll go turn this in. response:	Huh? Oh, thanks.
context: Group A Round 1 Mizusawa High School\Nishida Yusei Oe Kana Ayase Chihaya Komachi Tsutomu Mashima Taichi\Yeah, we want to get off to a running start.\Let's use the order Komano came up with.\Sounds good.\I think it's fine.\Oh, then I'll go turn this in.\Huh? Oh, thanks. response:	Tsukuba-kun?
context: Nishida Yusei Oe Kana Ayase Chihaya Komachi Tsutomu Mashima Taichi\Yeah, we want to get off to a running start.\Let's use the order Komano came up with.\Sounds good.\I think it's fine.\Oh, then I'll go turn this in.\Huh? Oh, thanks.\Tsukuba-kun? response:	Komano Tsutomu Tsukuba Akihiro
context: Yeah, we want to get off to a running start.\Let's use the order Komano came up with.\Sounds good.\I think it's fine.\Oh, then I'll go turn this in.\Huh? Oh, thanks.\Tsukuba-kun?\Komano Tsutomu Tsukuba Akihiro response:	What do you think you're doing?!
context: Let's use the order Komano came up with.\Sounds good.\I think it's fine.\Oh, then I'll go turn this in.\Huh? Oh, thanks.\Tsukuba-kun?\Komano Tsutomu Tsukuba Akihiro\What do you think you're doing?! response:	How could you change the order?!
context: Sounds good.\I think it's fine.\Oh, then I'll go turn this in.\Huh? Oh, thanks.\Tsukuba-kun?\Komano Tsutomu Tsukuba Akihiro\What do you think you're doing?!\How could you change the order?! response:	If you've got a problem, say something!
context: I think it's fine.\Oh, then I'll go turn this in.\Huh? Oh, thanks.\Tsukuba-kun?\Komano Tsutomu Tsukuba Akihiro\What do you think you're doing?!\How could you change the order?!\If you've got a problem, say something! response:	B-But!
context: Oh, then I'll go turn this in.\Huh? Oh, thanks.\Tsukuba-kun?\Komano Tsutomu Tsukuba Akihiro\What do you think you're doing?!\How could you change the order?!\If you've got a problem, say something!\B-But! response:	I came within three cards of beating Komano-senpai once!
context: Huh? Oh, thanks.\Tsukuba-kun?\Komano Tsutomu Tsukuba Akihiro\What do you think you're doing?!\How could you change the order?!\If you've got a problem, say something!\B-But!\I came within three cards of beating Komano-senpai once! response:	I've almost caught up in terms of skill!
context: Tsukuba-kun?\Komano Tsutomu Tsukuba Akihiro\What do you think you're doing?!\How could you change the order?!\If you've got a problem, say something!\B-But!\I came within three cards of beating Komano-senpai once!\I've almost caught up in terms of skill! response:	I'm...
context: Komano Tsutomu Tsukuba Akihiro\What do you think you're doing?!\How could you change the order?!\If you've got a problem, say something!\B-But!\I came within three cards of beating Komano-senpai once!\I've almost caught up in terms of skill!\I'm... response:	Cool down.
context: What do you think you're doing?!\How could you change the order?!\If you've got a problem, say something!\B-But!\I came within three cards of beating Komano-senpai once!\I've almost caught up in terms of skill!\I'm...\Cool down. response:	If you can't, go home.
context: How could you change the order?!\If you've got a problem, say something!\B-But!\I came within three cards of beating Komano-senpai once!\I've almost caught up in terms of skill!\I'm...\Cool down.\If you can't, go home. response:	Is he playing soon? Is he playing soon?
context: If you've got a problem, say something!\B-But!\I came within three cards of beating Komano-senpai once!\I've almost caught up in terms of skill!\I'm...\Cool down.\If you can't, go home.\Is he playing soon? Is he playing soon? response:	Keep it down or they'll yell at you.
context: B-But!\I came within three cards of beating Komano-senpai once!\I've almost caught up in terms of skill!\I'm...\Cool down.\If you can't, go home.\Is he playing soon? Is he playing soon?\Keep it down or they'll yell at you. response:	Let's switch up the order.
context: I came within three cards of beating Komano-senpai once!\I've almost caught up in terms of skill!\I'm...\Cool down.\If you can't, go home.\Is he playing soon? Is he playing soon?\Keep it down or they'll yell at you.\Let's switch up the order. response:	For our first match against Shuryukan,
context: I've almost caught up in terms of skill!\I'm...\Cool down.\If you can't, go home.\Is he playing soon? Is he playing soon?\Keep it down or they'll yell at you.\Let's switch up the order.\For our first match against Shuryukan, response:	let's switch me out
context: I'm...\Cool down.\If you can't, go home.\Is he playing soon? Is he playing soon?\Keep it down or they'll yell at you.\Let's switch up the order.\For our first match against Shuryukan,\let's switch me out response:	for Hanano Sumire.
context: Cool down.\If you can't, go home.\Is he playing soon? Is he playing soon?\Keep it down or they'll yell at you.\Let's switch up the order.\For our first match against Shuryukan,\let's switch me out\for Hanano Sumire. response:	Huh?
context: If you can't, go home.\Is he playing soon? Is he playing soon?\Keep it down or they'll yell at you.\Let's switch up the order.\For our first match against Shuryukan,\let's switch me out\for Hanano Sumire.\Huh? response:	Huh?
context: Is he playing soon? Is he playing soon?\Keep it down or they'll yell at you.\Let's switch up the order.\For our first match against Shuryukan,\let's switch me out\for Hanano Sumire.\Huh?\Huh? response:	For our second match against West High,
context: Keep it down or they'll yell at you.\Let's switch up the order.\For our first match against Shuryukan,\let's switch me out\for Hanano Sumire.\Huh?\Huh?\For our second match against West High, response:	we'll switch out Kana-chan
context: Let's switch up the order.\For our first match against Shuryukan,\let's switch me out\for Hanano Sumire.\Huh?\Huh?\For our second match against West High,\we'll switch out Kana-chan response:	for Tsukuba Akihiro.
context: For our first match against Shuryukan,\let's switch me out\for Hanano Sumire.\Huh?\Huh?\For our second match against West High,\we'll switch out Kana-chan\for Tsukuba Akihiro. response:	I just checked and Shuryukan is pretty much
context: let's switch me out\for Hanano Sumire.\Huh?\Huh?\For our second match against West High,\we'll switch out Kana-chan\for Tsukuba Akihiro.\I just checked and Shuryukan is pretty much response:	fielding the same lineup as last year.
context: for Hanano Sumire.\Huh?\Huh?\For our second match against West High,\we'll switch out Kana-chan\for Tsukuba Akihiro.\I just checked and Shuryukan is pretty much\fielding the same lineup as last year. response:	Going off my data from last year, they're strong against boys
context: Huh?\Huh?\For our second match against West High,\we'll switch out Kana-chan\for Tsukuba Akihiro.\I just checked and Shuryukan is pretty much\fielding the same lineup as last year.\Going off my data from last year, they're strong against boys response:	and really weak against girls.
context: Huh?\For our second match against West High,\we'll switch out Kana-chan\for Tsukuba Akihiro.\I just checked and Shuryukan is pretty much\fielding the same lineup as last year.\Going off my data from last year, they're strong against boys\and really weak against girls. response:	So it makes sense to go with three girls.
context: For our second match against West High,\we'll switch out Kana-chan\for Tsukuba Akihiro.\I just checked and Shuryukan is pretty much\fielding the same lineup as last year.\Going off my data from last year, they're strong against boys\and really weak against girls.\So it makes sense to go with three girls. response:	I think you're right.
context: we'll switch out Kana-chan\for Tsukuba Akihiro.\I just checked and Shuryukan is pretty much\fielding the same lineup as last year.\Going off my data from last year, they're strong against boys\and really weak against girls.\So it makes sense to go with three girls.\I think you're right. response:	The West High team is still mainly female.
context: for Tsukuba Akihiro.\I just checked and Shuryukan is pretty much\fielding the same lineup as last year.\Going off my data from last year, they're strong against boys\and really weak against girls.\So it makes sense to go with three girls.\I think you're right.\The West High team is still mainly female. response:	I'm guessing that they still favor a focused style
context: I just checked and Shuryukan is pretty much\fielding the same lineup as last year.\Going off my data from last year, they're strong against boys\and really weak against girls.\So it makes sense to go with three girls.\I think you're right.\The West High team is still mainly female.\I'm guessing that they still favor a focused style response:	with vocal encouragement.
context: fielding the same lineup as last year.\Going off my data from last year, they're strong against boys\and really weak against girls.\So it makes sense to go with three girls.\I think you're right.\The West High team is still mainly female.\I'm guessing that they still favor a focused style\with vocal encouragement. response:	Tsukuba-kun.
context: Going off my data from last year, they're strong against boys\and really weak against girls.\So it makes sense to go with three girls.\I think you're right.\The West High team is still mainly female.\I'm guessing that they still favor a focused style\with vocal encouragement.\Tsukuba-kun. response:	Open your eyes for a moment.
context: and really weak against girls.\So it makes sense to go with three girls.\I think you're right.\The West High team is still mainly female.\I'm guessing that they still favor a focused style\with vocal encouragement.\Tsukuba-kun.\Open your eyes for a moment. response:	L-Like this?
context: So it makes sense to go with three girls.\I think you're right.\The West High team is still mainly female.\I'm guessing that they still favor a focused style\with vocal encouragement.\Tsukuba-kun.\Open your eyes for a moment.\L-Like this? response:	You don't need to lick your lips!
context: I think you're right.\The West High team is still mainly female.\I'm guessing that they still favor a focused style\with vocal encouragement.\Tsukuba-kun.\Open your eyes for a moment.\L-Like this?\You don't need to lick your lips! response:	If you keep that look on your face the whole match, you'll definitely win!
context: The West High team is still mainly female.\I'm guessing that they still favor a focused style\with vocal encouragement.\Tsukuba-kun.\Open your eyes for a moment.\L-Like this?\You don't need to lick your lips!\If you keep that look on your face the whole match, you'll definitely win! response:	Your loud voice can also be used as a weapon!
context: I'm guessing that they still favor a focused style\with vocal encouragement.\Tsukuba-kun.\Open your eyes for a moment.\L-Like this?\You don't need to lick your lips!\If you keep that look on your face the whole match, you'll definitely win!\Your loud voice can also be used as a weapon! response:	The remaining three players will have to play every game.
context: with vocal encouragement.\Tsukuba-kun.\Open your eyes for a moment.\L-Like this?\You don't need to lick your lips!\If you keep that look on your face the whole match, you'll definitely win!\Your loud voice can also be used as a weapon!\The remaining three players will have to play every game. response:	Mashima, Porky, Ayase...
context: Tsukuba-kun.\Open your eyes for a moment.\L-Like this?\You don't need to lick your lips!\If you keep that look on your face the whole match, you'll definitely win!\Your loud voice can also be used as a weapon!\The remaining three players will have to play every game.\Mashima, Porky, Ayase... response:	It's on you.
context: Open your eyes for a moment.\L-Like this?\You don't need to lick your lips!\If you keep that look on your face the whole match, you'll definitely win!\Your loud voice can also be used as a weapon!\The remaining three players will have to play every game.\Mashima, Porky, Ayase...\It's on you. response:	Let's go, Mizusawa High School.
context: L-Like this?\You don't need to lick your lips!\If you keep that look on your face the whole match, you'll definitely win!\Your loud voice can also be used as a weapon!\The remaining three players will have to play every game.\Mashima, Porky, Ayase...\It's on you.\Let's go, Mizusawa High School. response:	for there is no one else out here
context: You don't need to lick your lips!\If you keep that look on your face the whole match, you'll definitely win!\Your loud voice can also be used as a weapon!\The remaining three players will have to play every game.\Mashima, Porky, Ayase...\It's on you.\Let's go, Mizusawa High School.\for there is no one else out here response:	Rain takes longer...
context: If you keep that look on your face the whole match, you'll definitely win!\Your loud voice can also be used as a weapon!\The remaining three players will have to play every game.\Mashima, Porky, Ayase...\It's on you.\Let's go, Mizusawa High School.\for there is no one else out here\Rain takes longer... response:	The night breaks to day...
context: Your loud voice can also be used as a weapon!\The remaining three players will have to play every game.\Mashima, Porky, Ayase...\It's on you.\Let's go, Mizusawa High School.\for there is no one else out here\Rain takes longer...\The night breaks to day... response:	May I live to see...
context: The remaining three players will have to play every game.\Mashima, Porky, Ayase...\It's on you.\Let's go, Mizusawa High School.\for there is no one else out here\Rain takes longer...\The night breaks to day...\May I live to see... response:	In the sleepy...
context: Mashima, Porky, Ayase...\It's on you.\Let's go, Mizusawa High School.\for there is no one else out here\Rain takes longer...\The night breaks to day...\May I live to see...\In the sleepy... response:	She's so cool!
context: It's on you.\Let's go, Mizusawa High School.\for there is no one else out here\Rain takes longer...\The night breaks to day...\May I live to see...\In the sleepy...\She's so cool! response:	She's so cool!
context: Let's go, Mizusawa High School.\for there is no one else out here\Rain takes longer...\The night breaks to day...\May I live to see...\In the sleepy...\She's so cool!\She's so cool! response:	Uh...
context: for there is no one else out here\Rain takes longer...\The night breaks to day...\May I live to see...\In the sleepy...\She's so cool!\She's so cool!\Uh... response:	Why are you giving me a chance?
context: Rain takes longer...\The night breaks to day...\May I live to see...\In the sleepy...\She's so cool!\She's so cool!\Uh...\Why are you giving me a chance? response:	Shh. You're too loud.
context: The night breaks to day...\May I live to see...\In the sleepy...\She's so cool!\She's so cool!\Uh...\Why are you giving me a chance?\Shh. You're too loud. response:	I said a lot of rude things.
context: May I live to see...\In the sleepy...\She's so cool!\She's so cool!\Uh...\Why are you giving me a chance?\Shh. You're too loud.\I said a lot of rude things. response:	Can I go home now?
context: In the sleepy...\She's so cool!\She's so cool!\Uh...\Why are you giving me a chance?\Shh. You're too loud.\I said a lot of rude things.\Can I go home now? response:	I'm only here because you need five people
context: She's so cool!\She's so cool!\Uh...\Why are you giving me a chance?\Shh. You're too loud.\I said a lot of rude things.\Can I go home now?\I'm only here because you need five people response:	to make it to the national tournament!
context: She's so cool!\Uh...\Why are you giving me a chance?\Shh. You're too loud.\I said a lot of rude things.\Can I go home now?\I'm only here because you need five people\to make it to the national tournament! response:	Anyone could take my spot!
context: Uh...\Why are you giving me a chance?\Shh. You're too loud.\I said a lot of rude things.\Can I go home now?\I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot! response:	Sorry, everyone!
context: Why are you giving me a chance?\Shh. You're too loud.\I said a lot of rude things.\Can I go home now?\I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot!\Sorry, everyone! response:	I've been in your shoes.
context: Shh. You're too loud.\I said a lot of rude things.\Can I go home now?\I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot!\Sorry, everyone!\I've been in your shoes. response:	I was also given a chance.
context: I said a lot of rude things.\Can I go home now?\I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot!\Sorry, everyone!\I've been in your shoes.\I was also given a chance. response:	There's no rush. You'll get better very soon.
context: Can I go home now?\I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot!\Sorry, everyone!\I've been in your shoes.\I was also given a chance.\There's no rush. You'll get better very soon. response:	It's okay.
context: I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot!\Sorry, everyone!\I've been in your shoes.\I was also given a chance.\There's no rush. You'll get better very soon.\It's okay. response:	You have the passion and talent.
context: to make it to the national tournament!\Anyone could take my spot!\Sorry, everyone!\I've been in your shoes.\I was also given a chance.\There's no rush. You'll get better very soon.\It's okay.\You have the passion and talent. response:	It's okay.
context: Anyone could take my spot!\Sorry, everyone!\I've been in your shoes.\I was also given a chance.\There's no rush. You'll get better very soon.\It's okay.\You have the passion and talent.\It's okay. response:	He's so cool...
context: Sorry, everyone!\I've been in your shoes.\I was also given a chance.\There's no rush. You'll get better very soon.\It's okay.\You have the passion and talent.\It's okay.\He's so cool... response:	Why am I playing in a match?
context: I've been in your shoes.\I was also given a chance.\There's no rush. You'll get better very soon.\It's okay.\You have the passion and talent.\It's okay.\He's so cool...\Why am I playing in a match? response:	Nobody told me this would happen!
context: I was also given a chance.\There's no rush. You'll get better very soon.\It's okay.\You have the passion and talent.\It's okay.\He's so cool...\Why am I playing in a match?\Nobody told me this would happen! response:	I just wanted to watch!
context: There's no rush. You'll get better very soon.\It's okay.\You have the passion and talent.\It's okay.\He's so cool...\Why am I playing in a match?\Nobody told me this would happen!\I just wanted to watch! response:	Nothing can be worse than living a moment longer
context: It's okay.\You have the passion and talent.\It's okay.\He's so cool...\Why am I playing in a match?\Nobody told me this would happen!\I just wanted to watch!\Nothing can be worse than living a moment longer response:	Which card is it? Which card is it?
context: You have the passion and talent.\It's okay.\He's so cool...\Why am I playing in a match?\Nobody told me this would happen!\I just wanted to watch!\Nothing can be worse than living a moment longer\Which card is it? Which card is it? response:	Um... Um...
context: It's okay.\He's so cool...\Why am I playing in a match?\Nobody told me this would happen!\I just wanted to watch!\Nothing can be worse than living a moment longer\Which card is it? Which card is it?\Um... Um... response:	Oh, found it!
context: He's so cool...\Why am I playing in a match?\Nobody told me this would happen!\I just wanted to watch!\Nothing can be worse than living a moment longer\Which card is it? Which card is it?\Um... Um...\Oh, found it! response:	I'm glad you got a card
context: Why am I playing in a match?\Nobody told me this would happen!\I just wanted to watch!\Nothing can be worse than living a moment longer\Which card is it? Which card is it?\Um... Um...\Oh, found it!\I'm glad you got a card response:	So the flower has wilted...
context: Nobody told me this would happen!\I just wanted to watch!\Nothing can be worse than living a moment longer\Which card is it? Which card is it?\Um... Um...\Oh, found it!\I'm glad you got a card\So the flower has wilted... response:	I know this one!
context: I just wanted to watch!\Nothing can be worse than living a moment longer\Which card is it? Which card is it?\Um... Um...\Oh, found it!\I'm glad you got a card\So the flower has wilted...\I know this one! response:	Hehe
context: Nothing can be worse than living a moment longer\Which card is it? Which card is it?\Um... Um...\Oh, found it!\I'm glad you got a card\So the flower has wilted...\I know this one!\Hehe response:	Our hands touched
context: Which card is it? Which card is it?\Um... Um...\Oh, found it!\I'm glad you got a card\So the flower has wilted...\I know this one!\Hehe\Our hands touched response:	Our hands touched!
context: Um... Um...\Oh, found it!\I'm glad you got a card\So the flower has wilted...\I know this one!\Hehe\Our hands touched\Our hands touched! response:	That's Ayase-senpai's opponent...
context: Oh, found it!\I'm glad you got a card\So the flower has wilted...\I know this one!\Hehe\Our hands touched\Our hands touched!\That's Ayase-senpai's opponent... response:	She won by 25 cards. A perfect score.
context: I'm glad you got a card\So the flower has wilted...\I know this one!\Hehe\Our hands touched\Our hands touched!\That's Ayase-senpai's opponent...\She won by 25 cards. A perfect score. response:	Thank you very much.
context: So the flower has wilted...\I know this one!\Hehe\Our hands touched\Our hands touched!\That's Ayase-senpai's opponent...\She won by 25 cards. A perfect score.\Thank you very much. response:	Damn!
context: I know this one!\Hehe\Our hands touched\Our hands touched!\That's Ayase-senpai's opponent...\She won by 25 cards. A perfect score.\Thank you very much.\Damn! response:	She never let her opponent touch her hand.
context: Hehe\Our hands touched\Our hands touched!\That's Ayase-senpai's opponent...\She won by 25 cards. A perfect score.\Thank you very much.\Damn!\She never let her opponent touch her hand. response:	She wasn't belittled for being a girl.
context: Our hands touched\Our hands touched!\That's Ayase-senpai's opponent...\She won by 25 cards. A perfect score.\Thank you very much.\Damn!\She never let her opponent touch her hand.\She wasn't belittled for being a girl. response:	Memorize! Memorize!
context: Our hands touched!\That's Ayase-senpai's opponent...\She won by 25 cards. A perfect score.\Thank you very much.\Damn!\She never let her opponent touch her hand.\She wasn't belittled for being a girl.\Memorize! Memorize! response:	I know all of the first verses!
context: That's Ayase-senpai's opponent...\She won by 25 cards. A perfect score.\Thank you very much.\Damn!\She never let her opponent touch her hand.\She wasn't belittled for being a girl.\Memorize! Memorize!\I know all of the first verses! response:	Focus. Focus...
context: She won by 25 cards. A perfect score.\Thank you very much.\Damn!\She never let her opponent touch her hand.\She wasn't belittled for being a girl.\Memorize! Memorize!\I know all of the first verses!\Focus. Focus... response:	so I can react!
context: Thank you very much.\Damn!\She never let her opponent touch her hand.\She wasn't belittled for being a girl.\Memorize! Memorize!\I know all of the first verses!\Focus. Focus...\so I can react! response:	Faster!
context: Damn!\She never let her opponent touch her hand.\She wasn't belittled for being a girl.\Memorize! Memorize!\I know all of the first verses!\Focus. Focus...\so I can react!\Faster! response:	I can feel the blood flowing through the brain cells I've neglected to use!
context: She never let her opponent touch her hand.\She wasn't belittled for being a girl.\Memorize! Memorize!\I know all of the first verses!\Focus. Focus...\so I can react!\Faster!\I can feel the blood flowing through the brain cells I've neglected to use! response:	I'll move faster next time!
context: She wasn't belittled for being a girl.\Memorize! Memorize!\I know all of the first verses!\Focus. Focus...\so I can react!\Faster!\I can feel the blood flowing through the brain cells I've neglected to use!\I'll move faster next time! response:	You'll start moving faster and faster to take cards, Sumire-chan.
context: Memorize! Memorize!\I know all of the first verses!\Focus. Focus...\so I can react!\Faster!\I can feel the blood flowing through the brain cells I've neglected to use!\I'll move faster next time!\You'll start moving faster and faster to take cards, Sumire-chan. response:	I hate to admit it, but she's right!
context: I know all of the first verses!\Focus. Focus...\so I can react!\Faster!\I can feel the blood flowing through the brain cells I've neglected to use!\I'll move faster next time!\You'll start moving faster and faster to take cards, Sumire-chan.\I hate to admit it, but she's right! response:	Thank you very much.
context: Focus. Focus...\so I can react!\Faster!\I can feel the blood flowing through the brain cells I've neglected to use!\I'll move faster next time!\You'll start moving faster and faster to take cards, Sumire-chan.\I hate to admit it, but she's right!\Thank you very much. response:	But I still lost
context: so I can react!\Faster!\I can feel the blood flowing through the brain cells I've neglected to use!\I'll move faster next time!\You'll start moving faster and faster to take cards, Sumire-chan.\I hate to admit it, but she's right!\Thank you very much.\But I still lost response:	Yes! One victory down!
context: Faster!\I can feel the blood flowing through the brain cells I've neglected to use!\I'll move faster next time!\You'll start moving faster and faster to take cards, Sumire-chan.\I hate to admit it, but she's right!\Thank you very much.\But I still lost\Yes! One victory down! response:	Oh, Ms. Miyauchi.
context: I can feel the blood flowing through the brain cells I've neglected to use!\I'll move faster next time!\You'll start moving faster and faster to take cards, Sumire-chan.\I hate to admit it, but she's right!\Thank you very much.\But I still lost\Yes! One victory down!\Oh, Ms. Miyauchi. response:	Doesn't the tennis team have a match today?
context: I'll move faster next time!\You'll start moving faster and faster to take cards, Sumire-chan.\I hate to admit it, but she's right!\Thank you very much.\But I still lost\Yes! One victory down!\Oh, Ms. Miyauchi.\Doesn't the tennis team have a match today? response:	Our tennis team will be just as good this year.
context: You'll start moving faster and faster to take cards, Sumire-chan.\I hate to admit it, but she's right!\Thank you very much.\But I still lost\Yes! One victory down!\Oh, Ms. Miyauchi.\Doesn't the tennis team have a match today?\Our tennis team will be just as good this year. response:	It didn't take them long to win,
context: I hate to admit it, but she's right!\Thank you very much.\But I still lost\Yes! One victory down!\Oh, Ms. Miyauchi.\Doesn't the tennis team have a match today?\Our tennis team will be just as good this year.\It didn't take them long to win, response:	so I'll be heading over to the karuta regional.
context: Thank you very much.\But I still lost\Yes! One victory down!\Oh, Ms. Miyauchi.\Doesn't the tennis team have a match today?\Our tennis team will be just as good this year.\It didn't take them long to win,\so I'll be heading over to the karuta regional. response:	Ah, I see.
context: But I still lost\Yes! One victory down!\Oh, Ms. Miyauchi.\Doesn't the tennis team have a match today?\Our tennis team will be just as good this year.\It didn't take them long to win,\so I'll be heading over to the karuta regional.\Ah, I see. response:	Oh, that's right.
context: Yes! One victory down!\Oh, Ms. Miyauchi.\Doesn't the tennis team have a match today?\Our tennis team will be just as good this year.\It didn't take them long to win,\so I'll be heading over to the karuta regional.\Ah, I see.\Oh, that's right. response:	New members.
context: Oh, Ms. Miyauchi.\Doesn't the tennis team have a match today?\Our tennis team will be just as good this year.\It didn't take them long to win,\so I'll be heading over to the karuta regional.\Ah, I see.\Oh, that's right.\New members. response:	Did the karuta club recruit five new members?
context: Doesn't the tennis team have a match today?\Our tennis team will be just as good this year.\It didn't take them long to win,\so I'll be heading over to the karuta regional.\Ah, I see.\Oh, that's right.\New members.\Did the karuta club recruit five new members? response:	Of course!
context: Our tennis team will be just as good this year.\It didn't take them long to win,\so I'll be heading over to the karuta regional.\Ah, I see.\Oh, that's right.\New members.\Did the karuta club recruit five new members?\Of course! response:	Look at the 20 applications I have here!
context: It didn't take them long to win,\so I'll be heading over to the karuta regional.\Ah, I see.\Oh, that's right.\New members.\Did the karuta club recruit five new members?\Of course!\Look at the 20 applications I have here! response:	Oh, that's wonderful!
context: so I'll be heading over to the karuta regional.\Ah, I see.\Oh, that's right.\New members.\Did the karuta club recruit five new members?\Of course!\Look at the 20 applications I have here!\Oh, that's wonderful! response:	You always deliver, Ms. Miyauchi.
