context: Not yet. I'm not finished... response:	I'm going to be... the Wizard King.
context: Is the Wizard King really important?\He's the most important after the king.\Okay, I've made up my mind!\About what, Asta?\I'm... gonna be the Wizard King!\Sister?\I'm sorry. I just wasn't expecting that.\What brought this on? response:	Well, he defeated the demon, right?
context: He's the most important after the king.\Okay, I've made up my mind!\About what, Asta?\I'm... gonna be the Wizard King!\Sister?\I'm sorry. I just wasn't expecting that.\What brought this on?\Well, he defeated the demon, right? response:	That means he's super strong! And that's so cool!
context: Okay, I've made up my mind!\About what, Asta?\I'm... gonna be the Wizard King!\Sister?\I'm sorry. I just wasn't expecting that.\What brought this on?\Well, he defeated the demon, right?\That means he's super strong! And that's so cool! response:	I wanna be cool, too!
context: About what, Asta?\I'm... gonna be the Wizard King!\Sister?\I'm sorry. I just wasn't expecting that.\What brought this on?\Well, he defeated the demon, right?\That means he's super strong! And that's so cool!\I wanna be cool, too! response:	And...
context: I'm... gonna be the Wizard King!\Sister?\I'm sorry. I just wasn't expecting that.\What brought this on?\Well, he defeated the demon, right?\That means he's super strong! And that's so cool!\I wanna be cool, too!\And... response:	If I become important... If I become the Wizard King,
context: Sister?\I'm sorry. I just wasn't expecting that.\What brought this on?\Well, he defeated the demon, right?\That means he's super strong! And that's so cool!\I wanna be cool, too!\And...\If I become important... If I become the Wizard King, response:	I'll be able to make everyone even happier, right?
context: I'm sorry. I just wasn't expecting that.\What brought this on?\Well, he defeated the demon, right?\That means he's super strong! And that's so cool!\I wanna be cool, too!\And...\If I become important... If I become the Wizard King,\I'll be able to make everyone even happier, right? response:	You'll be able to wear nice clothes and eat all the good food you want!
context: What brought this on?\Well, he defeated the demon, right?\That means he's super strong! And that's so cool!\I wanna be cool, too!\And...\If I become important... If I become the Wizard King,\I'll be able to make everyone even happier, right?\You'll be able to wear nice clothes and eat all the good food you want! response:	I'm gonna make this crappy little church huge and amazing!
context: Well, he defeated the demon, right?\That means he's super strong! And that's so cool!\I wanna be cool, too!\And...\If I become important... If I become the Wizard King,\I'll be able to make everyone even happier, right?\You'll be able to wear nice clothes and eat all the good food you want!\I'm gonna make this crappy little church huge and amazing! response:	Crappy?
context: That means he's super strong! And that's so cool!\I wanna be cool, too!\And...\If I become important... If I become the Wizard King,\I'll be able to make everyone even happier, right?\You'll be able to wear nice clothes and eat all the good food you want!\I'm gonna make this crappy little church huge and amazing!\Crappy? response:	I'll get you whatever you want, too, Sister!
context: I wanna be cool, too!\And...\If I become important... If I become the Wizard King,\I'll be able to make everyone even happier, right?\You'll be able to wear nice clothes and eat all the good food you want!\I'm gonna make this crappy little church huge and amazing!\Crappy?\I'll get you whatever you want, too, Sister! response:	I'll look forward to it.
context: And...\If I become important... If I become the Wizard King,\I'll be able to make everyone even happier, right?\You'll be able to wear nice clothes and eat all the good food you want!\I'm gonna make this crappy little church huge and amazing!\Crappy?\I'll get you whatever you want, too, Sister!\I'll look forward to it. response:	Right, Yuno?
context: If I become important... If I become the Wizard King,\I'll be able to make everyone even happier, right?\You'll be able to wear nice clothes and eat all the good food you want!\I'm gonna make this crappy little church huge and amazing!\Crappy?\I'll get you whatever you want, too, Sister!\I'll look forward to it.\Right, Yuno? response:	Yeah.
context: I'll be able to make everyone even happier, right?\You'll be able to wear nice clothes and eat all the good food you want!\I'm gonna make this crappy little church huge and amazing!\Crappy?\I'll get you whatever you want, too, Sister!\I'll look forward to it.\Right, Yuno?\Yeah. response:	The Wizard King...
context: You'll be able to wear nice clothes and eat all the good food you want!\I'm gonna make this crappy little church huge and amazing!\Crappy?\I'll get you whatever you want, too, Sister!\I'll look forward to it.\Right, Yuno?\Yeah.\The Wizard King... response:	I'm gonna be the Wizard King!
context: I'm gonna make this crappy little church huge and amazing!\Crappy?\I'll get you whatever you want, too, Sister!\I'll look forward to it.\Right, Yuno?\Yeah.\The Wizard King...\I'm gonna be the Wizard King! response:	So, Sister! Marry me
context: Crappy?\I'll get you whatever you want, too, Sister!\I'll look forward to it.\Right, Yuno?\Yeah.\The Wizard King...\I'm gonna be the Wizard King!\So, Sister! Marry me response:	That's a completely different subject.
context: I'll get you whatever you want, too, Sister!\I'll look forward to it.\Right, Yuno?\Yeah.\The Wizard King...\I'm gonna be the Wizard King!\So, Sister! Marry me\That's a completely different subject. response:	Not yet! I won't give up!
context: I'll look forward to it.\Right, Yuno?\Yeah.\The Wizard King...\I'm gonna be the Wizard King!\So, Sister! Marry me\That's a completely different subject.\Not yet! I won't give up! response:	No.
context: Right, Yuno?\Yeah.\The Wizard King...\I'm gonna be the Wizard King!\So, Sister! Marry me\That's a completely different subject.\Not yet! I won't give up!\No. response:	Not yet, yet, yet, yet!
context: Yeah.\The Wizard King...\I'm gonna be the Wizard King!\So, Sister! Marry me\That's a completely different subject.\Not yet! I won't give up!\No.\Not yet, yet, yet, yet! response:	No.
context: The Wizard King...\I'm gonna be the Wizard King!\So, Sister! Marry me\That's a completely different subject.\Not yet! I won't give up!\No.\Not yet, yet, yet, yet!\No. response:	December
context: I'm gonna be the Wizard King!\So, Sister! Marry me\That's a completely different subject.\Not yet! I won't give up!\No.\Not yet, yet, yet, yet!\No.\December response:	Why?!
context: So, Sister! Marry me\That's a completely different subject.\Not yet! I won't give up!\No.\Not yet, yet, yet, yet!\No.\December\Why?! response:	Why is it I still can't use magic?!
context: That's a completely different subject.\Not yet! I won't give up!\No.\Not yet, yet, yet, yet!\No.\December\Why?!\Why is it I still can't use magic?! response:	Sister! I'll hang up the laundry!
context: Not yet! I won't give up!\No.\Not yet, yet, yet, yet!\No.\December\Why?!\Why is it I still can't use magic?!\Sister! I'll hang up the laundry! response:	Thanks, Asta.
context: No.\Not yet, yet, yet, yet!\No.\December\Why?!\Why is it I still can't use magic?!\Sister! I'll hang up the laundry!\Thanks, Asta. response:	So marry m
context: Not yet, yet, yet, yet!\No.\December\Why?!\Why is it I still can't use magic?!\Sister! I'll hang up the laundry!\Thanks, Asta.\So marry m response:	No.
context: No.\December\Why?!\Why is it I still can't use magic?!\Sister! I'll hang up the laundry!\Thanks, Asta.\So marry m\No. response:	Mar
context: December\Why?!\Why is it I still can't use magic?!\Sister! I'll hang up the laundry!\Thanks, Asta.\So marry m\No.\Mar response:	Nope.
context: Why?!\Why is it I still can't use magic?!\Sister! I'll hang up the laundry!\Thanks, Asta.\So marry m\No.\Mar\Nope. response:	Mar
context: Why is it I still can't use magic?!\Sister! I'll hang up the laundry!\Thanks, Asta.\So marry m\No.\Mar\Nope.\Mar response:	No.
context: Sister! I'll hang up the laundry!\Thanks, Asta.\So marry m\No.\Mar\Nope.\Mar\No. response:	Marry me, please...
context: Thanks, Asta.\So marry m\No.\Mar\Nope.\Mar\No.\Marry me, please... response:	Don't you start crying, too, Yuno.
context: So marry m\No.\Mar\Nope.\Mar\No.\Marry me, please...\Don't you start crying, too, Yuno. response:	Nash... won't stop crying...
context: No.\Mar\Nope.\Mar\No.\Marry me, please...\Don't you start crying, too, Yuno.\Nash... won't stop crying... response:	Yuno! Leave this to me!
context: Mar\Nope.\Mar\No.\Marry me, please...\Don't you start crying, too, Yuno.\Nash... won't stop crying...\Yuno! Leave this to me! response:	Asta...
context: Nope.\Mar\No.\Marry me, please...\Don't you start crying, too, Yuno.\Nash... won't stop crying...\Yuno! Leave this to me!\Asta... response:	I'm gonna be the Wizard King, after all!
context: Mar\No.\Marry me, please...\Don't you start crying, too, Yuno.\Nash... won't stop crying...\Yuno! Leave this to me!\Asta...\I'm gonna be the Wizard King, after all! response:	Making a baby or two stop crying is a piece of cake!
context: No.\Marry me, please...\Don't you start crying, too, Yuno.\Nash... won't stop crying...\Yuno! Leave this to me!\Asta...\I'm gonna be the Wizard King, after all!\Making a baby or two stop crying is a piece of cake! response:	H-Hey! There, there! There, there, there!
context: Marry me, please...\Don't you start crying, too, Yuno.\Nash... won't stop crying...\Yuno! Leave this to me!\Asta...\I'm gonna be the Wizard King, after all!\Making a baby or two stop crying is a piece of cake!\H-Hey! There, there! There, there, there! response:	There, there.
context: Don't you start crying, too, Yuno.\Nash... won't stop crying...\Yuno! Leave this to me!\Asta...\I'm gonna be the Wizard King, after all!\Making a baby or two stop crying is a piece of cake!\H-Hey! There, there! There, there, there!\There, there. response:	Way to go, Wizard King.
context: Nash... won't stop crying...\Yuno! Leave this to me!\Asta...\I'm gonna be the Wizard King, after all!\Making a baby or two stop crying is a piece of cake!\H-Hey! There, there! There, there, there!\There, there.\Way to go, Wizard King. response:	Shut up.
context: Yuno! Leave this to me!\Asta...\I'm gonna be the Wizard King, after all!\Making a baby or two stop crying is a piece of cake!\H-Hey! There, there! There, there, there!\There, there.\Way to go, Wizard King.\Shut up. response:	There we go.
context: Asta...\I'm gonna be the Wizard King, after all!\Making a baby or two stop crying is a piece of cake!\H-Hey! There, there! There, there, there!\There, there.\Way to go, Wizard King.\Shut up.\There we go. response:	Hi there. I was wondering if one of you would run an errand for me.
context: I'm gonna be the Wizard King, after all!\Making a baby or two stop crying is a piece of cake!\H-Hey! There, there! There, there, there!\There, there.\Way to go, Wizard King.\Shut up.\There we go.\Hi there. I was wondering if one of you would run an errand for me. response:	I'll go!
context: Making a baby or two stop crying is a piece of cake!\H-Hey! There, there! There, there, there!\There, there.\Way to go, Wizard King.\Shut up.\There we go.\Hi there. I was wondering if one of you would run an errand for me.\I'll go! response:	Would someone deliver this to the mayor?
context: H-Hey! There, there! There, there, there!\There, there.\Way to go, Wizard King.\Shut up.\There we go.\Hi there. I was wondering if one of you would run an errand for me.\I'll go!\Would someone deliver this to the mayor? response:	Me, me! Me! Me! Me! Me! Me!
context: There, there.\Way to go, Wizard King.\Shut up.\There we go.\Hi there. I was wondering if one of you would run an errand for me.\I'll go!\Would someone deliver this to the mayor?\Me, me! Me! Me! Me! Me! Me! response:	It's a very important letter, you see...
context: Way to go, Wizard King.\Shut up.\There we go.\Hi there. I was wondering if one of you would run an errand for me.\I'll go!\Would someone deliver this to the mayor?\Me, me! Me! Me! Me! Me! Me!\It's a very important letter, you see... response:	Yuno, could you do it?
context: Shut up.\There we go.\Hi there. I was wondering if one of you would run an errand for me.\I'll go!\Would someone deliver this to the mayor?\Me, me! Me! Me! Me! Me! Me!\It's a very important letter, you see...\Yuno, could you do it? response:	Huh? Me?
context: There we go.\Hi there. I was wondering if one of you would run an errand for me.\I'll go!\Would someone deliver this to the mayor?\Me, me! Me! Me! Me! Me! Me!\It's a very important letter, you see...\Yuno, could you do it?\Huh? Me? response:	Well, it's a very important letter,
context: Hi there. I was wondering if one of you would run an errand for me.\I'll go!\Would someone deliver this to the mayor?\Me, me! Me! Me! Me! Me! Me!\It's a very important letter, you see...\Yuno, could you do it?\Huh? Me?\Well, it's a very important letter, response:	and I'm hesitant to leave it in Asta's hands, so I'm counting on you.
context: I'll go!\Would someone deliver this to the mayor?\Me, me! Me! Me! Me! Me! Me!\It's a very important letter, you see...\Yuno, could you do it?\Huh? Me?\Well, it's a very important letter,\and I'm hesitant to leave it in Asta's hands, so I'm counting on you. response:	I have to go see the mayor in the next village over.
context: Would someone deliver this to the mayor?\Me, me! Me! Me! Me! Me! Me!\It's a very important letter, you see...\Yuno, could you do it?\Huh? Me?\Well, it's a very important letter,\and I'm hesitant to leave it in Asta's hands, so I'm counting on you.\I have to go see the mayor in the next village over. response:	I have to ask him to spare us some food to make it through the winter.
context: Me, me! Me! Me! Me! Me! Me!\It's a very important letter, you see...\Yuno, could you do it?\Huh? Me?\Well, it's a very important letter,\and I'm hesitant to leave it in Asta's hands, so I'm counting on you.\I have to go see the mayor in the next village over.\I have to ask him to spare us some food to make it through the winter. response:	As it stands now, we just don't have enough tatoes.
context: It's a very important letter, you see...\Yuno, could you do it?\Huh? Me?\Well, it's a very important letter,\and I'm hesitant to leave it in Asta's hands, so I'm counting on you.\I have to go see the mayor in the next village over.\I have to ask him to spare us some food to make it through the winter.\As it stands now, we just don't have enough tatoes. response:	Yuno, I'll go!
context: Yuno, could you do it?\Huh? Me?\Well, it's a very important letter,\and I'm hesitant to leave it in Asta's hands, so I'm counting on you.\I have to go see the mayor in the next village over.\I have to ask him to spare us some food to make it through the winter.\As it stands now, we just don't have enough tatoes.\Yuno, I'll go! response:	No. Father asked me to go.
context: Huh? Me?\Well, it's a very important letter,\and I'm hesitant to leave it in Asta's hands, so I'm counting on you.\I have to go see the mayor in the next village over.\I have to ask him to spare us some food to make it through the winter.\As it stands now, we just don't have enough tatoes.\Yuno, I'll go!\No. Father asked me to go. response:	I-I'll go.
context: Well, it's a very important letter,\and I'm hesitant to leave it in Asta's hands, so I'm counting on you.\I have to go see the mayor in the next village over.\I have to ask him to spare us some food to make it through the winter.\As it stands now, we just don't have enough tatoes.\Yuno, I'll go!\No. Father asked me to go.\I-I'll go. response:	Will you be okay by yourself?
context: and I'm hesitant to leave it in Asta's hands, so I'm counting on you.\I have to go see the mayor in the next village over.\I have to ask him to spare us some food to make it through the winter.\As it stands now, we just don't have enough tatoes.\Yuno, I'll go!\No. Father asked me to go.\I-I'll go.\Will you be okay by yourself? response:	I'll be fine.
context: I have to go see the mayor in the next village over.\I have to ask him to spare us some food to make it through the winter.\As it stands now, we just don't have enough tatoes.\Yuno, I'll go!\No. Father asked me to go.\I-I'll go.\Will you be okay by yourself?\I'll be fine. response:	I'm heading out!
context: I have to ask him to spare us some food to make it through the winter.\As it stands now, we just don't have enough tatoes.\Yuno, I'll go!\No. Father asked me to go.\I-I'll go.\Will you be okay by yourself?\I'll be fine.\I'm heading out! response:	Come on, Asta. Chop some wood.
context: As it stands now, we just don't have enough tatoes.\Yuno, I'll go!\No. Father asked me to go.\I-I'll go.\Will you be okay by yourself?\I'll be fine.\I'm heading out!\Come on, Asta. Chop some wood. response:	You can't use magic, so at least do some manual labor.
context: Yuno, I'll go!\No. Father asked me to go.\I-I'll go.\Will you be okay by yourself?\I'll be fine.\I'm heading out!\Come on, Asta. Chop some wood.\You can't use magic, so at least do some manual labor. response:	Shut up! Did you even dig up the tatoes you were supposed to?
context: No. Father asked me to go.\I-I'll go.\Will you be okay by yourself?\I'll be fine.\I'm heading out!\Come on, Asta. Chop some wood.\You can't use magic, so at least do some manual labor.\Shut up! Did you even dig up the tatoes you were supposed to? response:	I dug up the ones for today a long time ago.
context: I-I'll go.\Will you be okay by yourself?\I'll be fine.\I'm heading out!\Come on, Asta. Chop some wood.\You can't use magic, so at least do some manual labor.\Shut up! Did you even dig up the tatoes you were supposed to?\I dug up the ones for today a long time ago. response:	Huh?!
context: Will you be okay by yourself?\I'll be fine.\I'm heading out!\Come on, Asta. Chop some wood.\You can't use magic, so at least do some manual labor.\Shut up! Did you even dig up the tatoes you were supposed to?\I dug up the ones for today a long time ago.\Huh?! response:	It looks like it's going to get chilly tonight.
context: I'll be fine.\I'm heading out!\Come on, Asta. Chop some wood.\You can't use magic, so at least do some manual labor.\Shut up! Did you even dig up the tatoes you were supposed to?\I dug up the ones for today a long time ago.\Huh?!\It looks like it's going to get chilly tonight. response:	That's enough! Get out of my shop!
context: I'm heading out!\Come on, Asta. Chop some wood.\You can't use magic, so at least do some manual labor.\Shut up! Did you even dig up the tatoes you were supposed to?\I dug up the ones for today a long time ago.\Huh?!\It looks like it's going to get chilly tonight.\That's enough! Get out of my shop! response:	The hell are you doing?!
context: Come on, Asta. Chop some wood.\You can't use magic, so at least do some manual labor.\Shut up! Did you even dig up the tatoes you were supposed to?\I dug up the ones for today a long time ago.\Huh?!\It looks like it's going to get chilly tonight.\That's enough! Get out of my shop!\The hell are you doing?! response:	If you want to drink any more, you gotta bring some cash.
context: You can't use magic, so at least do some manual labor.\Shut up! Did you even dig up the tatoes you were supposed to?\I dug up the ones for today a long time ago.\Huh?!\It looks like it's going to get chilly tonight.\That's enough! Get out of my shop!\The hell are you doing?!\If you want to drink any more, you gotta bring some cash. response:	You ain't getting any for free!
context: Shut up! Did you even dig up the tatoes you were supposed to?\I dug up the ones for today a long time ago.\Huh?!\It looks like it's going to get chilly tonight.\That's enough! Get out of my shop!\The hell are you doing?!\If you want to drink any more, you gotta bring some cash.\You ain't getting any for free! response:	I don't want your stupid booze anyway, you jerk!
context: I dug up the ones for today a long time ago.\Huh?!\It looks like it's going to get chilly tonight.\That's enough! Get out of my shop!\The hell are you doing?!\If you want to drink any more, you gotta bring some cash.\You ain't getting any for free!\I don't want your stupid booze anyway, you jerk! response:	Damn it...
context: Huh?!\It looks like it's going to get chilly tonight.\That's enough! Get out of my shop!\The hell are you doing?!\If you want to drink any more, you gotta bring some cash.\You ain't getting any for free!\I don't want your stupid booze anyway, you jerk!\Damn it... response:	Whoa...
context: It looks like it's going to get chilly tonight.\That's enough! Get out of my shop!\The hell are you doing?!\If you want to drink any more, you gotta bring some cash.\You ain't getting any for free!\I don't want your stupid booze anyway, you jerk!\Damn it...\Whoa... response:	Ow...
context: That's enough! Get out of my shop!\The hell are you doing?!\If you want to drink any more, you gotta bring some cash.\You ain't getting any for free!\I don't want your stupid booze anyway, you jerk!\Damn it...\Whoa...\Ow... response:	The snow's getting pretty thick. I'll have to be careful not to slip.
context: The hell are you doing?!\If you want to drink any more, you gotta bring some cash.\You ain't getting any for free!\I don't want your stupid booze anyway, you jerk!\Damn it...\Whoa...\Ow...\The snow's getting pretty thick. I'll have to be careful not to slip. response:	Oh, thank you. Please tell Father that I received it.
context: If you want to drink any more, you gotta bring some cash.\You ain't getting any for free!\I don't want your stupid booze anyway, you jerk!\Damn it...\Whoa...\Ow...\The snow's getting pretty thick. I'll have to be careful not to slip.\Oh, thank you. Please tell Father that I received it. response:	I will. P-Please excuse me.
context: You ain't getting any for free!\I don't want your stupid booze anyway, you jerk!\Damn it...\Whoa...\Ow...\The snow's getting pretty thick. I'll have to be careful not to slip.\Oh, thank you. Please tell Father that I received it.\I will. P-Please excuse me. response:	It's late, so be careful getting home!
context: I don't want your stupid booze anyway, you jerk!\Damn it...\Whoa...\Ow...\The snow's getting pretty thick. I'll have to be careful not to slip.\Oh, thank you. Please tell Father that I received it.\I will. P-Please excuse me.\It's late, so be careful getting home! response:	Thank you very much!
context: Damn it...\Whoa...\Ow...\The snow's getting pretty thick. I'll have to be careful not to slip.\Oh, thank you. Please tell Father that I received it.\I will. P-Please excuse me.\It's late, so be careful getting home!\Thank you very much! response:	I'm... sorry.
context: Whoa...\Ow...\The snow's getting pretty thick. I'll have to be careful not to slip.\Oh, thank you. Please tell Father that I received it.\I will. P-Please excuse me.\It's late, so be careful getting home!\Thank you very much!\I'm... sorry. response:	Yuno's taking an awfully long time.
context: Ow...\The snow's getting pretty thick. I'll have to be careful not to slip.\Oh, thank you. Please tell Father that I received it.\I will. P-Please excuse me.\It's late, so be careful getting home!\Thank you very much!\I'm... sorry.\Yuno's taking an awfully long time. response:	I'm hungry.
context: The snow's getting pretty thick. I'll have to be careful not to slip.\Oh, thank you. Please tell Father that I received it.\I will. P-Please excuse me.\It's late, so be careful getting home!\Thank you very much!\I'm... sorry.\Yuno's taking an awfully long time.\I'm hungry. response:	And Father isn't back yet, either.
context: Oh, thank you. Please tell Father that I received it.\I will. P-Please excuse me.\It's late, so be careful getting home!\Thank you very much!\I'm... sorry.\Yuno's taking an awfully long time.\I'm hungry.\And Father isn't back yet, either. response:	Let's just eat without them.
context: I will. P-Please excuse me.\It's late, so be careful getting home!\Thank you very much!\I'm... sorry.\Yuno's taking an awfully long time.\I'm hungry.\And Father isn't back yet, either.\Let's just eat without them. response:	No! That's not fair to Yuno!
context: It's late, so be careful getting home!\Thank you very much!\I'm... sorry.\Yuno's taking an awfully long time.\I'm hungry.\And Father isn't back yet, either.\Let's just eat without them.\No! That's not fair to Yuno! response:	Boo.
context: Thank you very much!\I'm... sorry.\Yuno's taking an awfully long time.\I'm hungry.\And Father isn't back yet, either.\Let's just eat without them.\No! That's not fair to Yuno!\Boo. response:	My pendant... That's mine...
context: I'm... sorry.\Yuno's taking an awfully long time.\I'm hungry.\And Father isn't back yet, either.\Let's just eat without them.\No! That's not fair to Yuno!\Boo.\My pendant... That's mine... response:	I'm just gonna exchange it for some cash.
context: Yuno's taking an awfully long time.\I'm hungry.\And Father isn't back yet, either.\Let's just eat without them.\No! That's not fair to Yuno!\Boo.\My pendant... That's mine...\I'm just gonna exchange it for some cash. response:	Give it back...
context: I'm hungry.\And Father isn't back yet, either.\Let's just eat without them.\No! That's not fair to Yuno!\Boo.\My pendant... That's mine...\I'm just gonna exchange it for some cash.\Give it back... response:	You miserable little brat. Where do you get off having something this extravagant?
context: And Father isn't back yet, either.\Let's just eat without them.\No! That's not fair to Yuno!\Boo.\My pendant... That's mine...\I'm just gonna exchange it for some cash.\Give it back...\You miserable little brat. Where do you get off having something this extravagant? response:	Give it... back...
context: Let's just eat without them.\No! That's not fair to Yuno!\Boo.\My pendant... That's mine...\I'm just gonna exchange it for some cash.\Give it back...\You miserable little brat. Where do you get off having something this extravagant?\Give it... back... response:	Give it back...
context: No! That's not fair to Yuno!\Boo.\My pendant... That's mine...\I'm just gonna exchange it for some cash.\Give it back...\You miserable little brat. Where do you get off having something this extravagant?\Give it... back...\Give it back... response:	That's mine...
context: Boo.\My pendant... That's mine...\I'm just gonna exchange it for some cash.\Give it back...\You miserable little brat. Where do you get off having something this extravagant?\Give it... back...\Give it back...\That's mine... response:	What the heck is that?
context: My pendant... That's mine...\I'm just gonna exchange it for some cash.\Give it back...\You miserable little brat. Where do you get off having something this extravagant?\Give it... back...\Give it back...\That's mine...\What the heck is that? response:	What do you expect to do to me with magic like that?
context: I'm just gonna exchange it for some cash.\Give it back...\You miserable little brat. Where do you get off having something this extravagant?\Give it... back...\Give it back...\That's mine...\What the heck is that?\What do you expect to do to me with magic like that? response:	You want to fight me...
context: Give it back...\You miserable little brat. Where do you get off having something this extravagant?\Give it... back...\Give it back...\That's mine...\What the heck is that?\What do you expect to do to me with magic like that?\You want to fight me... response:	and die?
context: You miserable little brat. Where do you get off having something this extravagant?\Give it... back...\Give it back...\That's mine...\What the heck is that?\What do you expect to do to me with magic like that?\You want to fight me...\and die? response:	Yuno!
context: Give it... back...\Give it back...\That's mine...\What the heck is that?\What do you expect to do to me with magic like that?\You want to fight me...\and die?\Yuno! response:	Who the hell are you, brat?
context: Give it back...\That's mine...\What the heck is that?\What do you expect to do to me with magic like that?\You want to fight me...\and die?\Yuno!\Who the hell are you, brat? response:	That's Yuno's!
context: That's mine...\What the heck is that?\What do you expect to do to me with magic like that?\You want to fight me...\and die?\Yuno!\Who the hell are you, brat?\That's Yuno's! response:	Give it back!
context: What the heck is that?\What do you expect to do to me with magic like that?\You want to fight me...\and die?\Yuno!\Who the hell are you, brat?\That's Yuno's!\Give it back! response:	Give it back!
context: What do you expect to do to me with magic like that?\You want to fight me...\and die?\Yuno!\Who the hell are you, brat?\That's Yuno's!\Give it back!\Give it back! response:	Give it back!
context: You want to fight me...\and die?\Yuno!\Who the hell are you, brat?\That's Yuno's!\Give it back!\Give it back!\Give it back! response:	Don't touch me with your filthy hands!
context: and die?\Yuno!\Who the hell are you, brat?\That's Yuno's!\Give it back!\Give it back!\Give it back!\Don't touch me with your filthy hands! response:	You... stupid little brat!
context: Yuno!\Who the hell are you, brat?\That's Yuno's!\Give it back!\Give it back!\Give it back!\Don't touch me with your filthy hands!\You... stupid little brat! response:	Not yet!
context: Who the hell are you, brat?\That's Yuno's!\Give it back!\Give it back!\Give it back!\Don't touch me with your filthy hands!\You... stupid little brat!\Not yet! response:	Not yet!
context: That's Yuno's!\Give it back!\Give it back!\Give it back!\Don't touch me with your filthy hands!\You... stupid little brat!\Not yet!\Not yet! response:	Cut it out!
context: Give it back!\Give it back!\Give it back!\Don't touch me with your filthy hands!\You... stupid little brat!\Not yet!\Not yet!\Cut it out! response:	I'm not done yet!
context: Give it back!\Give it back!\Don't touch me with your filthy hands!\You... stupid little brat!\Not yet!\Not yet!\Cut it out!\I'm not done yet! response:	Damn it!
context: Give it back!\Don't touch me with your filthy hands!\You... stupid little brat!\Not yet!\Not yet!\Cut it out!\I'm not done yet!\Damn it! response:	I'm not done yet!
context: Don't touch me with your filthy hands!\You... stupid little brat!\Not yet!\Not yet!\Cut it out!\I'm not done yet!\Damn it!\I'm not done yet! response:	Damn little brat just won't give up. What the hell's his problem?
context: You... stupid little brat!\Not yet!\Not yet!\Cut it out!\I'm not done yet!\Damn it!\I'm not done yet!\Damn little brat just won't give up. What the hell's his problem? response:	Asta!
context: Not yet!\Not yet!\Cut it out!\I'm not done yet!\Damn it!\I'm not done yet!\Damn little brat just won't give up. What the hell's his problem?\Asta! response:	I'm sorry. I... I...
context: Not yet!\Cut it out!\I'm not done yet!\Damn it!\I'm not done yet!\Damn little brat just won't give up. What the hell's his problem?\Asta!\I'm sorry. I... I... response:	Don't worry about it.
context: Cut it out!\I'm not done yet!\Damn it!\I'm not done yet!\Damn little brat just won't give up. What the hell's his problem?\Asta!\I'm sorry. I... I...\Don't worry about it. response:	I told you, I've got your back.
context: I'm not done yet!\Damn it!\I'm not done yet!\Damn little brat just won't give up. What the hell's his problem?\Asta!\I'm sorry. I... I...\Don't worry about it.\I told you, I've got your back. response:	Asta...
context: Damn it!\I'm not done yet!\Damn little brat just won't give up. What the hell's his problem?\Asta!\I'm sorry. I... I...\Don't worry about it.\I told you, I've got your back.\Asta... response:	Asta's always done the unthinkable.
context: I'm not done yet!\Damn little brat just won't give up. What the hell's his problem?\Asta!\I'm sorry. I... I...\Don't worry about it.\I told you, I've got your back.\Asta...\Asta's always done the unthinkable. response:	Wh-What is that grimoire?
context: Damn little brat just won't give up. What the hell's his problem?\Asta!\I'm sorry. I... I...\Don't worry about it.\I told you, I've got your back.\Asta...\Asta's always done the unthinkable.\Wh-What is that grimoire? response:	That sword!
context: Asta!\I'm sorry. I... I...\Don't worry about it.\I told you, I've got your back.\Asta...\Asta's always done the unthinkable.\Wh-What is that grimoire?\That sword! response:	Just who are you?!
context: I'm sorry. I... I...\Don't worry about it.\I told you, I've got your back.\Asta...\Asta's always done the unthinkable.\Wh-What is that grimoire?\That sword!\Just who are you?! response:	You little wretch with no magical powers!
context: Don't worry about it.\I told you, I've got your back.\Asta...\Asta's always done the unthinkable.\Wh-What is that grimoire?\That sword!\Just who are you?!\You little wretch with no magical powers! response:	He... nullified my magic?
context: I told you, I've got your back.\Asta...\Asta's always done the unthinkable.\Wh-What is that grimoire?\That sword!\Just who are you?!\You little wretch with no magical powers!\He... nullified my magic? response:	Even without magical powers...
context: Asta...\Asta's always done the unthinkable.\Wh-What is that grimoire?\That sword!\Just who are you?!\You little wretch with no magical powers!\He... nullified my magic?\Even without magical powers... response:	I'm going to become the Wizard King!
context: Asta's always done the unthinkable.\Wh-What is that grimoire?\That sword!\Just who are you?!\You little wretch with no magical powers!\He... nullified my magic?\Even without magical powers...\I'm going to become the Wizard King! response:	Not giving up...
context: Wh-What is that grimoire?\That sword!\Just who are you?!\You little wretch with no magical powers!\He... nullified my magic?\Even without magical powers...\I'm going to become the Wizard King!\Not giving up... response:	is my magic!
context: That sword!\Just who are you?!\You little wretch with no magical powers!\He... nullified my magic?\Even without magical powers...\I'm going to become the Wizard King!\Not giving up...\is my magic! response:	I built up my muscles since I couldn't use any magic.
context: Just who are you?!\You little wretch with no magical powers!\He... nullified my magic?\Even without magical powers...\I'm going to become the Wizard King!\Not giving up...\is my magic!\I built up my muscles since I couldn't use any magic. response:	Looks like they came in handy after all.
context: You little wretch with no magical powers!\He... nullified my magic?\Even without magical powers...\I'm going to become the Wizard King!\Not giving up...\is my magic!\I built up my muscles since I couldn't use any magic.\Looks like they came in handy after all. response:	Asta...
context: He... nullified my magic?\Even without magical powers...\I'm going to become the Wizard King!\Not giving up...\is my magic!\I built up my muscles since I couldn't use any magic.\Looks like they came in handy after all.\Asta... response:	Asta, are you okay?
