context: This is a BETA version. response:	I will go to Europe.
context: Oh right, let's tell Chiaki about it too!\Right! Where is he now?? Where?\Chiaki!\Ryuu!!\Oi, Chiakiii!!\You're Chiaki-kun, aren't you?\Let me join your Oke.\Huh? response:	I'm violin player Takahashi Noriyuki
context: Right! Where is he now?? Where?\Chiaki!\Ryuu!!\Oi, Chiakiii!!\You're Chiaki-kun, aren't you?\Let me join your Oke.\Huh?\I'm violin player Takahashi Noriyuki response:	What are you doing?
context: Chiaki!\Ryuu!!\Oi, Chiakiii!!\You're Chiaki-kun, aren't you?\Let me join your Oke.\Huh?\I'm violin player Takahashi Noriyuki\What are you doing? response:	Kiyora, look!
context: Ryuu!!\Oi, Chiakiii!!\You're Chiaki-kun, aren't you?\Let me join your Oke.\Huh?\I'm violin player Takahashi Noriyuki\What are you doing?\Kiyora, look! response:	I won 3rd place in last year's Buffon International Violin Competition
context: Oi, Chiakiii!!\You're Chiaki-kun, aren't you?\Let me join your Oke.\Huh?\I'm violin player Takahashi Noriyuki\What are you doing?\Kiyora, look!\I won 3rd place in last year's Buffon International Violin Competition response:	I was studying in Paris, but last month I returned to Japan
context: You're Chiaki-kun, aren't you?\Let me join your Oke.\Huh?\I'm violin player Takahashi Noriyuki\What are you doing?\Kiyora, look!\I won 3rd place in last year's Buffon International Violin Competition\I was studying in Paris, but last month I returned to Japan response:	My experience in orchestra is just a little while in the University over there
context: Let me join your Oke.\Huh?\I'm violin player Takahashi Noriyuki\What are you doing?\Kiyora, look!\I won 3rd place in last year's Buffon International Violin Competition\I was studying in Paris, but last month I returned to Japan\My experience in orchestra is just a little while in the University over there response:	I wonder if these aren't enough?
context: Huh?\I'm violin player Takahashi Noriyuki\What are you doing?\Kiyora, look!\I won 3rd place in last year's Buffon International Violin Competition\I was studying in Paris, but last month I returned to Japan\My experience in orchestra is just a little while in the University over there\I wonder if these aren't enough? response:	I think I'm NOT below this Oke's Concert Mistress.
context: I'm violin player Takahashi Noriyuki\What are you doing?\Kiyora, look!\I won 3rd place in last year's Buffon International Violin Competition\I was studying in Paris, but last month I returned to Japan\My experience in orchestra is just a little while in the University over there\I wonder if these aren't enough?\I think I'm NOT below this Oke's Concert Mistress. response:	What??!!
context: What are you doing?\Kiyora, look!\I won 3rd place in last year's Buffon International Violin Competition\I was studying in Paris, but last month I returned to Japan\My experience in orchestra is just a little while in the University over there\I wonder if these aren't enough?\I think I'm NOT below this Oke's Concert Mistress.\What??!! response:	No, no, Kiyora...
context: Kiyora, look!\I won 3rd place in last year's Buffon International Violin Competition\I was studying in Paris, but last month I returned to Japan\My experience in orchestra is just a little while in the University over there\I wonder if these aren't enough?\I think I'm NOT below this Oke's Concert Mistress.\What??!!\No, no, Kiyora... response:	3rd place in Buffon International?
context: I won 3rd place in last year's Buffon International Violin Competition\I was studying in Paris, but last month I returned to Japan\My experience in orchestra is just a little while in the University over there\I wonder if these aren't enough?\I think I'm NOT below this Oke's Concert Mistress.\What??!!\No, no, Kiyora...\3rd place in Buffon International? response:	You did it, didn't you!
context: I was studying in Paris, but last month I returned to Japan\My experience in orchestra is just a little while in the University over there\I wonder if these aren't enough?\I think I'm NOT below this Oke's Concert Mistress.\What??!!\No, no, Kiyora...\3rd place in Buffon International?\You did it, didn't you! response:	Ah...
context: My experience in orchestra is just a little while in the University over there\I wonder if these aren't enough?\I think I'm NOT below this Oke's Concert Mistress.\What??!!\No, no, Kiyora...\3rd place in Buffon International?\You did it, didn't you!\Ah... response:	What did you say your name was?
context: I wonder if these aren't enough?\I think I'm NOT below this Oke's Concert Mistress.\What??!!\No, no, Kiyora...\3rd place in Buffon International?\You did it, didn't you!\Ah...\What did you say your name was? response:	Never mind that! Hurry up take off your clothes, I can't barely wait anymore!!
context: I think I'm NOT below this Oke's Concert Mistress.\What??!!\No, no, Kiyora...\3rd place in Buffon International?\You did it, didn't you!\Ah...\What did you say your name was?\Never mind that! Hurry up take off your clothes, I can't barely wait anymore!! response:	Ha?
context: What??!!\No, no, Kiyora...\3rd place in Buffon International?\You did it, didn't you!\Ah...\What did you say your name was?\Never mind that! Hurry up take off your clothes, I can't barely wait anymore!!\Ha? response:	MASUMI-CHAN!!! CHIAKI-KUN'S IN DANGER!!!
context: No, no, Kiyora...\3rd place in Buffon International?\You did it, didn't you!\Ah...\What did you say your name was?\Never mind that! Hurry up take off your clothes, I can't barely wait anymore!!\Ha?\MASUMI-CHAN!!! CHIAKI-KUN'S IN DANGER!!! response:	Wohhh!!!
context: 3rd place in Buffon International?\You did it, didn't you!\Ah...\What did you say your name was?\Never mind that! Hurry up take off your clothes, I can't barely wait anymore!!\Ha?\MASUMI-CHAN!!! CHIAKI-KUN'S IN DANGER!!!\Wohhh!!! response:	Chiaki-Samaaa!!
context: You did it, didn't you!\Ah...\What did you say your name was?\Never mind that! Hurry up take off your clothes, I can't barely wait anymore!!\Ha?\MASUMI-CHAN!!! CHIAKI-KUN'S IN DANGER!!!\Wohhh!!!\Chiaki-Samaaa!! response:	What are you, who are you?!!
context: Ah...\What did you say your name was?\Never mind that! Hurry up take off your clothes, I can't barely wait anymore!!\Ha?\MASUMI-CHAN!!! CHIAKI-KUN'S IN DANGER!!!\Wohhh!!!\Chiaki-Samaaa!!\What are you, who are you?!! response:	For the Finals, play Schumann's Piano Sonata no2 and...
context: What did you say your name was?\Never mind that! Hurry up take off your clothes, I can't barely wait anymore!!\Ha?\MASUMI-CHAN!!! CHIAKI-KUN'S IN DANGER!!!\Wohhh!!!\Chiaki-Samaaa!!\What are you, who are you?!!\For the Finals, play Schumann's Piano Sonata no2 and... response:	Stravinsky's Petrouchka!
context: Never mind that! Hurry up take off your clothes, I can't barely wait anymore!!\Ha?\MASUMI-CHAN!!! CHIAKI-KUN'S IN DANGER!!!\Wohhh!!!\Chiaki-Samaaa!!\What are you, who are you?!!\For the Finals, play Schumann's Piano Sonata no2 and...\Stravinsky's Petrouchka! response:	Petrouchka..
context: Ha?\MASUMI-CHAN!!! CHIAKI-KUN'S IN DANGER!!!\Wohhh!!!\Chiaki-Samaaa!!\What are you, who are you?!!\For the Finals, play Schumann's Piano Sonata no2 and...\Stravinsky's Petrouchka!\Petrouchka.. response:	You must finish these two pieces by the day after tomorrow!
context: MASUMI-CHAN!!! CHIAKI-KUN'S IN DANGER!!!\Wohhh!!!\Chiaki-Samaaa!!\What are you, who are you?!!\For the Finals, play Schumann's Piano Sonata no2 and...\Stravinsky's Petrouchka!\Petrouchka..\You must finish these two pieces by the day after tomorrow! response:	I didn't expect that you would pass through until the Final Stage!
context: Wohhh!!!\Chiaki-Samaaa!!\What are you, who are you?!!\For the Finals, play Schumann's Piano Sonata no2 and...\Stravinsky's Petrouchka!\Petrouchka..\You must finish these two pieces by the day after tomorrow!\I didn't expect that you would pass through until the Final Stage! response:	up to now it was like walking on a tightrope that we managed to arrive to this stage
context: Chiaki-Samaaa!!\What are you, who are you?!!\For the Finals, play Schumann's Piano Sonata no2 and...\Stravinsky's Petrouchka!\Petrouchka..\You must finish these two pieces by the day after tomorrow!\I didn't expect that you would pass through until the Final Stage!\up to now it was like walking on a tightrope that we managed to arrive to this stage response:	There's no time left for you to master two pieces perfectly!
context: What are you, who are you?!!\For the Finals, play Schumann's Piano Sonata no2 and...\Stravinsky's Petrouchka!\Petrouchka..\You must finish these two pieces by the day after tomorrow!\I didn't expect that you would pass through until the Final Stage!\up to now it was like walking on a tightrope that we managed to arrive to this stage\There's no time left for you to master two pieces perfectly! response:	That's why on the opposite,
context: For the Finals, play Schumann's Piano Sonata no2 and...\Stravinsky's Petrouchka!\Petrouchka..\You must finish these two pieces by the day after tomorrow!\I didn't expect that you would pass through until the Final Stage!\up to now it was like walking on a tightrope that we managed to arrive to this stage\There's no time left for you to master two pieces perfectly!\That's why on the opposite, response:	I selected two pieces having high level of difficulties, so that you can appeal using your technique!
context: Stravinsky's Petrouchka!\Petrouchka..\You must finish these two pieces by the day after tomorrow!\I didn't expect that you would pass through until the Final Stage!\up to now it was like walking on a tightrope that we managed to arrive to this stage\There's no time left for you to master two pieces perfectly!\That's why on the opposite,\I selected two pieces having high level of difficulties, so that you can appeal using your technique! response:	Hai!
context: Petrouchka..\You must finish these two pieces by the day after tomorrow!\I didn't expect that you would pass through until the Final Stage!\up to now it was like walking on a tightrope that we managed to arrive to this stage\There's no time left for you to master two pieces perfectly!\That's why on the opposite,\I selected two pieces having high level of difficulties, so that you can appeal using your technique!\Hai! response:	Wow, as befitting of him. Unless one is no 3 in Buffon International Competition...
context: You must finish these two pieces by the day after tomorrow!\I didn't expect that you would pass through until the Final Stage!\up to now it was like walking on a tightrope that we managed to arrive to this stage\There's no time left for you to master two pieces perfectly!\That's why on the opposite,\I selected two pieces having high level of difficulties, so that you can appeal using your technique!\Hai!\Wow, as befitting of him. Unless one is no 3 in Buffon International Competition... response:	Yes
context: I didn't expect that you would pass through until the Final Stage!\up to now it was like walking on a tightrope that we managed to arrive to this stage\There's no time left for you to master two pieces perfectly!\That's why on the opposite,\I selected two pieces having high level of difficulties, so that you can appeal using your technique!\Hai!\Wow, as befitting of him. Unless one is no 3 in Buffon International Competition...\Yes response:	High-level technique, various vibrato, fast passage,
context: up to now it was like walking on a tightrope that we managed to arrive to this stage\There's no time left for you to master two pieces perfectly!\That's why on the opposite,\I selected two pieces having high level of difficulties, so that you can appeal using your technique!\Hai!\Wow, as befitting of him. Unless one is no 3 in Buffon International Competition...\Yes\High-level technique, various vibrato, fast passage, response:	very firm,
context: There's no time left for you to master two pieces perfectly!\That's why on the opposite,\I selected two pieces having high level of difficulties, so that you can appeal using your technique!\Hai!\Wow, as befitting of him. Unless one is no 3 in Buffon International Competition...\Yes\High-level technique, various vibrato, fast passage,\very firm, response:	thorough, and detailed...
context: That's why on the opposite,\I selected two pieces having high level of difficulties, so that you can appeal using your technique!\Hai!\Wow, as befitting of him. Unless one is no 3 in Buffon International Competition...\Yes\High-level technique, various vibrato, fast passage,\very firm,\thorough, and detailed... response:	Dynamic and passionate, a different type of player from Kiyora.
context: I selected two pieces having high level of difficulties, so that you can appeal using your technique!\Hai!\Wow, as befitting of him. Unless one is no 3 in Buffon International Competition...\Yes\High-level technique, various vibrato, fast passage,\very firm,\thorough, and detailed...\Dynamic and passionate, a different type of player from Kiyora. response:	So what's your decision, Chiaki-kun?
context: Hai!\Wow, as befitting of him. Unless one is no 3 in Buffon International Competition...\Yes\High-level technique, various vibrato, fast passage,\very firm,\thorough, and detailed...\Dynamic and passionate, a different type of player from Kiyora.\So what's your decision, Chiaki-kun? response:	This girl, or me,
context: Wow, as befitting of him. Unless one is no 3 in Buffon International Competition...\Yes\High-level technique, various vibrato, fast passage,\very firm,\thorough, and detailed...\Dynamic and passionate, a different type of player from Kiyora.\So what's your decision, Chiaki-kun?\This girl, or me, response:	which one is more suitable to become the Concert Master?
context: Yes\High-level technique, various vibrato, fast passage,\very firm,\thorough, and detailed...\Dynamic and passionate, a different type of player from Kiyora.\So what's your decision, Chiaki-kun?\This girl, or me,\which one is more suitable to become the Concert Master? response:	Eh?
context: High-level technique, various vibrato, fast passage,\very firm,\thorough, and detailed...\Dynamic and passionate, a different type of player from Kiyora.\So what's your decision, Chiaki-kun?\This girl, or me,\which one is more suitable to become the Concert Master?\Eh? response:	Who do you think you are!
context: very firm,\thorough, and detailed...\Dynamic and passionate, a different type of player from Kiyora.\So what's your decision, Chiaki-kun?\This girl, or me,\which one is more suitable to become the Concert Master?\Eh?\Who do you think you are! response:	You came here to take an audition, didn't you!
context: thorough, and detailed...\Dynamic and passionate, a different type of player from Kiyora.\So what's your decision, Chiaki-kun?\This girl, or me,\which one is more suitable to become the Concert Master?\Eh?\Who do you think you are!\You came here to take an audition, didn't you! response:	Why do you suddenly want to be the Concert Master!
context: Dynamic and passionate, a different type of player from Kiyora.\So what's your decision, Chiaki-kun?\This girl, or me,\which one is more suitable to become the Concert Master?\Eh?\Who do you think you are!\You came here to take an audition, didn't you!\Why do you suddenly want to be the Concert Master! response:	Shut up, Mojya mojya! (=afro hair)
context: So what's your decision, Chiaki-kun?\This girl, or me,\which one is more suitable to become the Concert Master?\Eh?\Who do you think you are!\You came here to take an audition, didn't you!\Why do you suddenly want to be the Concert Master!\Shut up, Mojya mojya! (=afro hair) response:	I got an invitation from the entertainment biz, you know,
context: This girl, or me,\which one is more suitable to become the Concert Master?\Eh?\Who do you think you are!\You came here to take an audition, didn't you!\Why do you suddenly want to be the Concert Master!\Shut up, Mojya mojya! (=afro hair)\I got an invitation from the entertainment biz, you know, response:	but if I can enter this Oke, I'll reject their offer.
context: which one is more suitable to become the Concert Master?\Eh?\Who do you think you are!\You came here to take an audition, didn't you!\Why do you suddenly want to be the Concert Master!\Shut up, Mojya mojya! (=afro hair)\I got an invitation from the entertainment biz, you know,\but if I can enter this Oke, I'll reject their offer. response:	Therefore, I should at least get the Concert Master position here.
context: Eh?\Who do you think you are!\You came here to take an audition, didn't you!\Why do you suddenly want to be the Concert Master!\Shut up, Mojya mojya! (=afro hair)\I got an invitation from the entertainment biz, you know,\but if I can enter this Oke, I'll reject their offer.\Therefore, I should at least get the Concert Master position here. response:	Entertainment biz?
context: Who do you think you are!\You came here to take an audition, didn't you!\Why do you suddenly want to be the Concert Master!\Shut up, Mojya mojya! (=afro hair)\I got an invitation from the entertainment biz, you know,\but if I can enter this Oke, I'll reject their offer.\Therefore, I should at least get the Concert Master position here.\Entertainment biz? response:	If it's already a sure thing, why would you reject them,
context: You came here to take an audition, didn't you!\Why do you suddenly want to be the Concert Master!\Shut up, Mojya mojya! (=afro hair)\I got an invitation from the entertainment biz, you know,\but if I can enter this Oke, I'll reject their offer.\Therefore, I should at least get the Concert Master position here.\Entertainment biz?\If it's already a sure thing, why would you reject them, response:	and prefer to enter our Oke?
context: Why do you suddenly want to be the Concert Master!\Shut up, Mojya mojya! (=afro hair)\I got an invitation from the entertainment biz, you know,\but if I can enter this Oke, I'll reject their offer.\Therefore, I should at least get the Concert Master position here.\Entertainment biz?\If it's already a sure thing, why would you reject them,\and prefer to enter our Oke? response:	Because this Oke is great, isn't it!
context: Shut up, Mojya mojya! (=afro hair)\I got an invitation from the entertainment biz, you know,\but if I can enter this Oke, I'll reject their offer.\Therefore, I should at least get the Concert Master position here.\Entertainment biz?\If it's already a sure thing, why would you reject them,\and prefer to enter our Oke?\Because this Oke is great, isn't it! response:	At that time, my heart beat faster after not experiencing it for a long while!
context: I got an invitation from the entertainment biz, you know,\but if I can enter this Oke, I'll reject their offer.\Therefore, I should at least get the Concert Master position here.\Entertainment biz?\If it's already a sure thing, why would you reject them,\and prefer to enter our Oke?\Because this Oke is great, isn't it!\At that time, my heart beat faster after not experiencing it for a long while! response:	Everybody is skillful,
context: but if I can enter this Oke, I'll reject their offer.\Therefore, I should at least get the Concert Master position here.\Entertainment biz?\If it's already a sure thing, why would you reject them,\and prefer to enter our Oke?\Because this Oke is great, isn't it!\At that time, my heart beat faster after not experiencing it for a long while!\Everybody is skillful, response:	young, confident, and looked to enjoy it!
context: Therefore, I should at least get the Concert Master position here.\Entertainment biz?\If it's already a sure thing, why would you reject them,\and prefer to enter our Oke?\Because this Oke is great, isn't it!\At that time, my heart beat faster after not experiencing it for a long while!\Everybody is skillful,\young, confident, and looked to enjoy it! response:	How can I say it...
context: Entertainment biz?\If it's already a sure thing, why would you reject them,\and prefer to enter our Oke?\Because this Oke is great, isn't it!\At that time, my heart beat faster after not experiencing it for a long while!\Everybody is skillful,\young, confident, and looked to enjoy it!\How can I say it... response:	It's as if a lot of sounds are making love...
context: If it's already a sure thing, why would you reject them,\and prefer to enter our Oke?\Because this Oke is great, isn't it!\At that time, my heart beat faster after not experiencing it for a long while!\Everybody is skillful,\young, confident, and looked to enjoy it!\How can I say it...\It's as if a lot of sounds are making love... response:	There's this beautiful Conductor giving himself to ecstasy,
context: and prefer to enter our Oke?\Because this Oke is great, isn't it!\At that time, my heart beat faster after not experiencing it for a long while!\Everybody is skillful,\young, confident, and looked to enjoy it!\How can I say it...\It's as if a lot of sounds are making love...\There's this beautiful Conductor giving himself to ecstasy, response:	and young guys in tuxedos...
context: Because this Oke is great, isn't it!\At that time, my heart beat faster after not experiencing it for a long while!\Everybody is skillful,\young, confident, and looked to enjoy it!\How can I say it...\It's as if a lot of sounds are making love...\There's this beautiful Conductor giving himself to ecstasy,\and young guys in tuxedos... response:	AAA...how should I explain it...
context: At that time, my heart beat faster after not experiencing it for a long while!\Everybody is skillful,\young, confident, and looked to enjoy it!\How can I say it...\It's as if a lot of sounds are making love...\There's this beautiful Conductor giving himself to ecstasy,\and young guys in tuxedos...\AAA...how should I explain it... response:	Anyway, I love clasical music!
context: Everybody is skillful,\young, confident, and looked to enjoy it!\How can I say it...\It's as if a lot of sounds are making love...\There's this beautiful Conductor giving himself to ecstasy,\and young guys in tuxedos...\AAA...how should I explain it...\Anyway, I love clasical music! response:	And I love this Oke especially!
context: young, confident, and looked to enjoy it!\How can I say it...\It's as if a lot of sounds are making love...\There's this beautiful Conductor giving himself to ecstasy,\and young guys in tuxedos...\AAA...how should I explain it...\Anyway, I love clasical music!\And I love this Oke especially! response:	And I love Chiaki-kun too!
context: How can I say it...\It's as if a lot of sounds are making love...\There's this beautiful Conductor giving himself to ecstasy,\and young guys in tuxedos...\AAA...how should I explain it...\Anyway, I love clasical music!\And I love this Oke especially!\And I love Chiaki-kun too! response:	What was that, the last thing you said!
context: It's as if a lot of sounds are making love...\There's this beautiful Conductor giving himself to ecstasy,\and young guys in tuxedos...\AAA...how should I explain it...\Anyway, I love clasical music!\And I love this Oke especially!\And I love Chiaki-kun too!\What was that, the last thing you said! response:	Go home, you!
context: There's this beautiful Conductor giving himself to ecstasy,\and young guys in tuxedos...\AAA...how should I explain it...\Anyway, I love clasical music!\And I love this Oke especially!\And I love Chiaki-kun too!\What was that, the last thing you said!\Go home, you! response:	We already have... (throwing salt to drive away evil)
context: and young guys in tuxedos...\AAA...how should I explain it...\Anyway, I love clasical music!\And I love this Oke especially!\And I love Chiaki-kun too!\What was that, the last thing you said!\Go home, you!\We already have... (throwing salt to drive away evil) response:	a wonderful Concert Master!
context: AAA...how should I explain it...\Anyway, I love clasical music!\And I love this Oke especially!\And I love Chiaki-kun too!\What was that, the last thing you said!\Go home, you!\We already have... (throwing salt to drive away evil)\a wonderful Concert Master! response:	Please!
context: Anyway, I love clasical music!\And I love this Oke especially!\And I love Chiaki-kun too!\What was that, the last thing you said!\Go home, you!\We already have... (throwing salt to drive away evil)\a wonderful Concert Master!\Please! response:	Haa?
context: And I love this Oke especially!\And I love Chiaki-kun too!\What was that, the last thing you said!\Go home, you!\We already have... (throwing salt to drive away evil)\a wonderful Concert Master!\Please!\Haa? response:	I'm touched by your enthusiasm!
context: And I love Chiaki-kun too!\What was that, the last thing you said!\Go home, you!\We already have... (throwing salt to drive away evil)\a wonderful Concert Master!\Please!\Haa?\I'm touched by your enthusiasm! response:	From today, you're a member of the Rising Star!
context: What was that, the last thing you said!\Go home, you!\We already have... (throwing salt to drive away evil)\a wonderful Concert Master!\Please!\Haa?\I'm touched by your enthusiasm!\From today, you're a member of the Rising Star! response:	What are you saying, Ryuu-chan! All of a sudden!
context: Go home, you!\We already have... (throwing salt to drive away evil)\a wonderful Concert Master!\Please!\Haa?\I'm touched by your enthusiasm!\From today, you're a member of the Rising Star!\What are you saying, Ryuu-chan! All of a sudden! response:	Although Takahashi-kun's performance doesn't have power as big as as Kiyora's,
context: We already have... (throwing salt to drive away evil)\a wonderful Concert Master!\Please!\Haa?\I'm touched by your enthusiasm!\From today, you're a member of the Rising Star!\What are you saying, Ryuu-chan! All of a sudden!\Although Takahashi-kun's performance doesn't have power as big as as Kiyora's, response:	but he has detailed technique, beautiful echo,
context: a wonderful Concert Master!\Please!\Haa?\I'm touched by your enthusiasm!\From today, you're a member of the Rising Star!\What are you saying, Ryuu-chan! All of a sudden!\Although Takahashi-kun's performance doesn't have power as big as as Kiyora's,\but he has detailed technique, beautiful echo, response:	his level is higher than Kiyora's!
context: Please!\Haa?\I'm touched by your enthusiasm!\From today, you're a member of the Rising Star!\What are you saying, Ryuu-chan! All of a sudden!\Although Takahashi-kun's performance doesn't have power as big as as Kiyora's,\but he has detailed technique, beautiful echo,\his level is higher than Kiyora's! response:	Moreover...
context: Haa?\I'm touched by your enthusiasm!\From today, you're a member of the Rising Star!\What are you saying, Ryuu-chan! All of a sudden!\Although Takahashi-kun's performance doesn't have power as big as as Kiyora's,\but he has detailed technique, beautiful echo,\his level is higher than Kiyora's!\Moreover... response:	rather than no 2 in National Competition, no 3 in Buffon International Competition will be...
context: I'm touched by your enthusiasm!\From today, you're a member of the Rising Star!\What are you saying, Ryuu-chan! All of a sudden!\Although Takahashi-kun's performance doesn't have power as big as as Kiyora's,\but he has detailed technique, beautiful echo,\his level is higher than Kiyora's!\Moreover...\rather than no 2 in National Competition, no 3 in Buffon International Competition will be... response:	better for our Oke's advertisement.
context: From today, you're a member of the Rising Star!\What are you saying, Ryuu-chan! All of a sudden!\Although Takahashi-kun's performance doesn't have power as big as as Kiyora's,\but he has detailed technique, beautiful echo,\his level is higher than Kiyora's!\Moreover...\rather than no 2 in National Competition, no 3 in Buffon International Competition will be...\better for our Oke's advertisement. response:	Ryuu-chan!
context: What are you saying, Ryuu-chan! All of a sudden!\Although Takahashi-kun's performance doesn't have power as big as as Kiyora's,\but he has detailed technique, beautiful echo,\his level is higher than Kiyora's!\Moreover...\rather than no 2 in National Competition, no 3 in Buffon International Competition will be...\better for our Oke's advertisement.\Ryuu-chan! response:	Mine...
context: Although Takahashi-kun's performance doesn't have power as big as as Kiyora's,\but he has detailed technique, beautiful echo,\his level is higher than Kiyora's!\Moreover...\rather than no 2 in National Competition, no 3 in Buffon International Competition will be...\better for our Oke's advertisement.\Ryuu-chan!\Mine... response:	That's why, Kiyora,
context: but he has detailed technique, beautiful echo,\his level is higher than Kiyora's!\Moreover...\rather than no 2 in National Competition, no 3 in Buffon International Competition will be...\better for our Oke's advertisement.\Ryuu-chan!\Mine...\That's why, Kiyora, response:	don't hesitate anymore
context: his level is higher than Kiyora's!\Moreover...\rather than no 2 in National Competition, no 3 in Buffon International Competition will be...\better for our Oke's advertisement.\Ryuu-chan!\Mine...\That's why, Kiyora,\don't hesitate anymore response:	you can wholeheartedly return to Vienna
context: Moreover...\rather than no 2 in National Competition, no 3 in Buffon International Competition will be...\better for our Oke's advertisement.\Ryuu-chan!\Mine...\That's why, Kiyora,\don't hesitate anymore\you can wholeheartedly return to Vienna response:	Then someday, if you want to become this Oke's Concert Master once again,
context: rather than no 2 in National Competition, no 3 in Buffon International Competition will be...\better for our Oke's advertisement.\Ryuu-chan!\Mine...\That's why, Kiyora,\don't hesitate anymore\you can wholeheartedly return to Vienna\Then someday, if you want to become this Oke's Concert Master once again, response:	bring back with you 2 or 3 better titles than this guy has!!
context: better for our Oke's advertisement.\Ryuu-chan!\Mine...\That's why, Kiyora,\don't hesitate anymore\you can wholeheartedly return to Vienna\Then someday, if you want to become this Oke's Concert Master once again,\bring back with you 2 or 3 better titles than this guy has!! response:	You can do it!
context: Ryuu-chan!\Mine...\That's why, Kiyora,\don't hesitate anymore\you can wholeheartedly return to Vienna\Then someday, if you want to become this Oke's Concert Master once again,\bring back with you 2 or 3 better titles than this guy has!!\You can do it! response:	Ryuu...
context: Mine...\That's why, Kiyora,\don't hesitate anymore\you can wholeheartedly return to Vienna\Then someday, if you want to become this Oke's Concert Master once again,\bring back with you 2 or 3 better titles than this guy has!!\You can do it!\Ryuu... response:	Idiot!
context: That's why, Kiyora,\don't hesitate anymore\you can wholeheartedly return to Vienna\Then someday, if you want to become this Oke's Concert Master once again,\bring back with you 2 or 3 better titles than this guy has!!\You can do it!\Ryuu...\Idiot! response:	Don't worry about me.
context: don't hesitate anymore\you can wholeheartedly return to Vienna\Then someday, if you want to become this Oke's Concert Master once again,\bring back with you 2 or 3 better titles than this guy has!!\You can do it!\Ryuu...\Idiot!\Don't worry about me. response:	I will practice violin so hard,
context: you can wholeheartedly return to Vienna\Then someday, if you want to become this Oke's Concert Master once again,\bring back with you 2 or 3 better titles than this guy has!!\You can do it!\Ryuu...\Idiot!\Don't worry about me.\I will practice violin so hard, response:	that I won't have any time left to cheat on you.
context: Then someday, if you want to become this Oke's Concert Master once again,\bring back with you 2 or 3 better titles than this guy has!!\You can do it!\Ryuu...\Idiot!\Don't worry about me.\I will practice violin so hard,\that I won't have any time left to cheat on you. response:	Eh? EHHH???
context: bring back with you 2 or 3 better titles than this guy has!!\You can do it!\Ryuu...\Idiot!\Don't worry about me.\I will practice violin so hard,\that I won't have any time left to cheat on you.\Eh? EHHH??? response:	Chiaki-Sama, you're not very keen, aren't you?
context: You can do it!\Ryuu...\Idiot!\Don't worry about me.\I will practice violin so hard,\that I won't have any time left to cheat on you.\Eh? EHHH???\Chiaki-Sama, you're not very keen, aren't you? response:	What about?
context: Ryuu...\Idiot!\Don't worry about me.\I will practice violin so hard,\that I won't have any time left to cheat on you.\Eh? EHHH???\Chiaki-Sama, you're not very keen, aren't you?\What about? response:	I will certainly keep this Oke going! What about?
context: Idiot!\Don't worry about me.\I will practice violin so hard,\that I won't have any time left to cheat on you.\Eh? EHHH???\Chiaki-Sama, you're not very keen, aren't you?\What about?\I will certainly keep this Oke going! What about? response:	I will certainly keep this Oke going!
context: Don't worry about me.\I will practice violin so hard,\that I won't have any time left to cheat on you.\Eh? EHHH???\Chiaki-Sama, you're not very keen, aren't you?\What about?\I will certainly keep this Oke going! What about?\I will certainly keep this Oke going! response:	regardless how many of you will leave...
context: I will practice violin so hard,\that I won't have any time left to cheat on you.\Eh? EHHH???\Chiaki-Sama, you're not very keen, aren't you?\What about?\I will certainly keep this Oke going! What about?\I will certainly keep this Oke going!\regardless how many of you will leave... response:	I will keep it going!
context: that I won't have any time left to cheat on you.\Eh? EHHH???\Chiaki-Sama, you're not very keen, aren't you?\What about?\I will certainly keep this Oke going! What about?\I will certainly keep this Oke going!\regardless how many of you will leave...\I will keep it going! response:	Yes, like that please. Hai!
context: Eh? EHHH???\Chiaki-Sama, you're not very keen, aren't you?\What about?\I will certainly keep this Oke going! What about?\I will certainly keep this Oke going!\regardless how many of you will leave...\I will keep it going!\Yes, like that please. Hai! response:	That's right, Mine.
context: Chiaki-Sama, you're not very keen, aren't you?\What about?\I will certainly keep this Oke going! What about?\I will certainly keep this Oke going!\regardless how many of you will leave...\I will keep it going!\Yes, like that please. Hai!\That's right, Mine. response:	It shouldn't be a stagnant orchestra,
context: What about?\I will certainly keep this Oke going! What about?\I will certainly keep this Oke going!\regardless how many of you will leave...\I will keep it going!\Yes, like that please. Hai!\That's right, Mine.\It shouldn't be a stagnant orchestra, response:	but an orchestra that will progress with time...
context: I will certainly keep this Oke going! What about?\I will certainly keep this Oke going!\regardless how many of you will leave...\I will keep it going!\Yes, like that please. Hai!\That's right, Mine.\It shouldn't be a stagnant orchestra,\but an orchestra that will progress with time... response:	See you! Bye!
context: I will certainly keep this Oke going!\regardless how many of you will leave...\I will keep it going!\Yes, like that please. Hai!\That's right, Mine.\It shouldn't be a stagnant orchestra,\but an orchestra that will progress with time...\See you! Bye! response:	Bye!
context: regardless how many of you will leave...\I will keep it going!\Yes, like that please. Hai!\That's right, Mine.\It shouldn't be a stagnant orchestra,\but an orchestra that will progress with time...\See you! Bye!\Bye! response:	Ah!
context: I will keep it going!\Yes, like that please. Hai!\That's right, Mine.\It shouldn't be a stagnant orchestra,\but an orchestra that will progress with time...\See you! Bye!\Bye!\Ah! response:	Venus is rising!
context: Yes, like that please. Hai!\That's right, Mine.\It shouldn't be a stagnant orchestra,\but an orchestra that will progress with time...\See you! Bye!\Bye!\Ah!\Venus is rising! response:	Idiot!!
