context: The Infinity Clock is in our hands. response:	The amplitude limiter is almost finished.
context: The way I am now,\the misery I feel is a driving force that produces power.\Until the world comes to an end,\this pain in my chest won't disappear.\That's right.\In order to achieve our objective, we'll convert anything into power.\Failure, frustration, years of being humiliated...\That's us, the reborn Oracion Seis. response:	Kinana?
context: the misery I feel is a driving force that produces power.\Until the world comes to an end,\this pain in my chest won't disappear.\That's right.\In order to achieve our objective, we'll convert anything into power.\Failure, frustration, years of being humiliated...\That's us, the reborn Oracion Seis.\Kinana? response:	Hey! You're still unsteady on your feet!
context: Until the world comes to an end,\this pain in my chest won't disappear.\That's right.\In order to achieve our objective, we'll convert anything into power.\Failure, frustration, years of being humiliated...\That's us, the reborn Oracion Seis.\Kinana?\Hey! You're still unsteady on your feet! response:	Kinana, is something wrong?
context: this pain in my chest won't disappear.\That's right.\In order to achieve our objective, we'll convert anything into power.\Failure, frustration, years of being humiliated...\That's us, the reborn Oracion Seis.\Kinana?\Hey! You're still unsteady on your feet!\Kinana, is something wrong? response:	You need to get more rest!
context: That's right.\In order to achieve our objective, we'll convert anything into power.\Failure, frustration, years of being humiliated...\That's us, the reborn Oracion Seis.\Kinana?\Hey! You're still unsteady on your feet!\Kinana, is something wrong?\You need to get more rest! response:	Kinana-san's eyes...
context: In order to achieve our objective, we'll convert anything into power.\Failure, frustration, years of being humiliated...\That's us, the reborn Oracion Seis.\Kinana?\Hey! You're still unsteady on your feet!\Kinana, is something wrong?\You need to get more rest!\Kinana-san's eyes... response:	Yeah...
context: Failure, frustration, years of being humiliated...\That's us, the reborn Oracion Seis.\Kinana?\Hey! You're still unsteady on your feet!\Kinana, is something wrong?\You need to get more rest!\Kinana-san's eyes...\Yeah... response:	Can't... waste time...
context: That's us, the reborn Oracion Seis.\Kinana?\Hey! You're still unsteady on your feet!\Kinana, is something wrong?\You need to get more rest!\Kinana-san's eyes...\Yeah...\Can't... waste time... response:	Let's go...
context: Kinana?\Hey! You're still unsteady on your feet!\Kinana, is something wrong?\You need to get more rest!\Kinana-san's eyes...\Yeah...\Can't... waste time...\Let's go... response:	The way I am now, the misery I feel...
context: Hey! You're still unsteady on your feet!\Kinana, is something wrong?\You need to get more rest!\Kinana-san's eyes...\Yeah...\Can't... waste time...\Let's go...\The way I am now, the misery I feel... response:	Say, Kinana...
context: Kinana, is something wrong?\You need to get more rest!\Kinana-san's eyes...\Yeah...\Can't... waste time...\Let's go...\The way I am now, the misery I feel...\Say, Kinana... response:	What are you doing?
context: You need to get more rest!\Kinana-san's eyes...\Yeah...\Can't... waste time...\Let's go...\The way I am now, the misery I feel...\Say, Kinana...\What are you doing? response:	Kinana-san!
context: Kinana-san's eyes...\Yeah...\Can't... waste time...\Let's go...\The way I am now, the misery I feel...\Say, Kinana...\What are you doing?\Kinana-san! response:	Until the world... comes to an end...
context: Yeah...\Can't... waste time...\Let's go...\The way I am now, the misery I feel...\Say, Kinana...\What are you doing?\Kinana-san!\Until the world... comes to an end... response:	Your Holiness, Legion is at your service.
context: Can't... waste time...\Let's go...\The way I am now, the misery I feel...\Say, Kinana...\What are you doing?\Kinana-san!\Until the world... comes to an end...\Your Holiness, Legion is at your service. response:	I requested your presence for one reason.
context: Let's go...\The way I am now, the misery I feel...\Say, Kinana...\What are you doing?\Kinana-san!\Until the world... comes to an end...\Your Holiness, Legion is at your service.\I requested your presence for one reason. response:	To tell you that I'm going to reinforce your fighting strength.
context: The way I am now, the misery I feel...\Say, Kinana...\What are you doing?\Kinana-san!\Until the world... comes to an end...\Your Holiness, Legion is at your service.\I requested your presence for one reason.\To tell you that I'm going to reinforce your fighting strength. response:	You mean we're gonna get a new member... Your Holiness?
context: Say, Kinana...\What are you doing?\Kinana-san!\Until the world... comes to an end...\Your Holiness, Legion is at your service.\I requested your presence for one reason.\To tell you that I'm going to reinforce your fighting strength.\You mean we're gonna get a new member... Your Holiness? response:	Yes. This is also the archbishop's will.
context: What are you doing?\Kinana-san!\Until the world... comes to an end...\Your Holiness, Legion is at your service.\I requested your presence for one reason.\To tell you that I'm going to reinforce your fighting strength.\You mean we're gonna get a new member... Your Holiness?\Yes. This is also the archbishop's will. response:	A short while ago, I opened the forbidden cell
context: Kinana-san!\Until the world... comes to an end...\Your Holiness, Legion is at your service.\I requested your presence for one reason.\To tell you that I'm going to reinforce your fighting strength.\You mean we're gonna get a new member... Your Holiness?\Yes. This is also the archbishop's will.\A short while ago, I opened the forbidden cell response:	of Zentopia's main prison.
context: Until the world... comes to an end...\Your Holiness, Legion is at your service.\I requested your presence for one reason.\To tell you that I'm going to reinforce your fighting strength.\You mean we're gonna get a new member... Your Holiness?\Yes. This is also the archbishop's will.\A short while ago, I opened the forbidden cell\of Zentopia's main prison. response:	What are you trying to unleash?
context: Your Holiness, Legion is at your service.\I requested your presence for one reason.\To tell you that I'm going to reinforce your fighting strength.\You mean we're gonna get a new member... Your Holiness?\Yes. This is also the archbishop's will.\A short while ago, I opened the forbidden cell\of Zentopia's main prison.\What are you trying to unleash? response:	D-Don't tell me...
context: I requested your presence for one reason.\To tell you that I'm going to reinforce your fighting strength.\You mean we're gonna get a new member... Your Holiness?\Yes. This is also the archbishop's will.\A short while ago, I opened the forbidden cell\of Zentopia's main prison.\What are you trying to unleash?\D-Don't tell me... response:	What the devil is this?!
context: To tell you that I'm going to reinforce your fighting strength.\You mean we're gonna get a new member... Your Holiness?\Yes. This is also the archbishop's will.\A short while ago, I opened the forbidden cell\of Zentopia's main prison.\What are you trying to unleash?\D-Don't tell me...\What the devil is this?! response:	New member? That's not even human!
context: You mean we're gonna get a new member... Your Holiness?\Yes. This is also the archbishop's will.\A short while ago, I opened the forbidden cell\of Zentopia's main prison.\What are you trying to unleash?\D-Don't tell me...\What the devil is this?!\New member? That's not even human! response:	Hi!
context: Yes. This is also the archbishop's will.\A short while ago, I opened the forbidden cell\of Zentopia's main prison.\What are you trying to unleash?\D-Don't tell me...\What the devil is this?!\New member? That's not even human!\Hi! response:	I'm the one you've been waiting for, Gatman Kubrick!
context: A short while ago, I opened the forbidden cell\of Zentopia's main prison.\What are you trying to unleash?\D-Don't tell me...\What the devil is this?!\New member? That's not even human!\Hi!\I'm the one you've been waiting for, Gatman Kubrick! response:	There's a voice in my head!
context: of Zentopia's main prison.\What are you trying to unleash?\D-Don't tell me...\What the devil is this?!\New member? That's not even human!\Hi!\I'm the one you've been waiting for, Gatman Kubrick!\There's a voice in my head! response:	Telepathy?
context: What are you trying to unleash?\D-Don't tell me...\What the devil is this?!\New member? That's not even human!\Hi!\I'm the one you've been waiting for, Gatman Kubrick!\There's a voice in my head!\Telepathy? response:	It speaks oddly!
context: D-Don't tell me...\What the devil is this?!\New member? That's not even human!\Hi!\I'm the one you've been waiting for, Gatman Kubrick!\There's a voice in my head!\Telepathy?\It speaks oddly! response:	That doesn't hurt!
context: What the devil is this?!\New member? That's not even human!\Hi!\I'm the one you've been waiting for, Gatman Kubrick!\There's a voice in my head!\Telepathy?\It speaks oddly!\That doesn't hurt! response:	The master of Rapture Magic,
context: New member? That's not even human!\Hi!\I'm the one you've been waiting for, Gatman Kubrick!\There's a voice in my head!\Telepathy?\It speaks oddly!\That doesn't hurt!\The master of Rapture Magic, response:	Gatman Kubrick.
context: Hi!\I'm the one you've been waiting for, Gatman Kubrick!\There's a voice in my head!\Telepathy?\It speaks oddly!\That doesn't hurt!\The master of Rapture Magic,\Gatman Kubrick. response:	Also known as Gatman the Cleaner!
context: I'm the one you've been waiting for, Gatman Kubrick!\There's a voice in my head!\Telepathy?\It speaks oddly!\That doesn't hurt!\The master of Rapture Magic,\Gatman Kubrick.\Also known as Gatman the Cleaner! response:	Oh... I'm afraid I don't know you...
context: There's a voice in my head!\Telepathy?\It speaks oddly!\That doesn't hurt!\The master of Rapture Magic,\Gatman Kubrick.\Also known as Gatman the Cleaner!\Oh... I'm afraid I don't know you... response:	He's going to be a member of my Legion?
context: Telepathy?\It speaks oddly!\That doesn't hurt!\The master of Rapture Magic,\Gatman Kubrick.\Also known as Gatman the Cleaner!\Oh... I'm afraid I don't know you...\He's going to be a member of my Legion? response:	The decision has been made.
context: It speaks oddly!\That doesn't hurt!\The master of Rapture Magic,\Gatman Kubrick.\Also known as Gatman the Cleaner!\Oh... I'm afraid I don't know you...\He's going to be a member of my Legion?\The decision has been made. response:	This plantation is huge...
context: That doesn't hurt!\The master of Rapture Magic,\Gatman Kubrick.\Also known as Gatman the Cleaner!\Oh... I'm afraid I don't know you...\He's going to be a member of my Legion?\The decision has been made.\This plantation is huge... response:	Fields and pastures as far as the eye can see...
context: The master of Rapture Magic,\Gatman Kubrick.\Also known as Gatman the Cleaner!\Oh... I'm afraid I don't know you...\He's going to be a member of my Legion?\The decision has been made.\This plantation is huge...\Fields and pastures as far as the eye can see... response:	And it used to be prosperous.
context: Gatman Kubrick.\Also known as Gatman the Cleaner!\Oh... I'm afraid I don't know you...\He's going to be a member of my Legion?\The decision has been made.\This plantation is huge...\Fields and pastures as far as the eye can see...\And it used to be prosperous. response:	But now, you can't even remember how the grass smelled back then,
context: Also known as Gatman the Cleaner!\Oh... I'm afraid I don't know you...\He's going to be a member of my Legion?\The decision has been made.\This plantation is huge...\Fields and pastures as far as the eye can see...\And it used to be prosperous.\But now, you can't even remember how the grass smelled back then, response:	and no one around to remember.
context: Oh... I'm afraid I don't know you...\He's going to be a member of my Legion?\The decision has been made.\This plantation is huge...\Fields and pastures as far as the eye can see...\And it used to be prosperous.\But now, you can't even remember how the grass smelled back then,\and no one around to remember. response:	It's an album left behind by the passage of time.
context: He's going to be a member of my Legion?\The decision has been made.\This plantation is huge...\Fields and pastures as far as the eye can see...\And it used to be prosperous.\But now, you can't even remember how the grass smelled back then,\and no one around to remember.\It's an album left behind by the passage of time. response:	In other words, it's been years since anyone's lived here...
context: The decision has been made.\This plantation is huge...\Fields and pastures as far as the eye can see...\And it used to be prosperous.\But now, you can't even remember how the grass smelled back then,\and no one around to remember.\It's an album left behind by the passage of time.\In other words, it's been years since anyone's lived here... response:	This is Michelle's hometown, Lobster Plantation...
context: This plantation is huge...\Fields and pastures as far as the eye can see...\And it used to be prosperous.\But now, you can't even remember how the grass smelled back then,\and no one around to remember.\It's an album left behind by the passage of time.\In other words, it's been years since anyone's lived here...\This is Michelle's hometown, Lobster Plantation... response:	On the other hand...
context: Fields and pastures as far as the eye can see...\And it used to be prosperous.\But now, you can't even remember how the grass smelled back then,\and no one around to remember.\It's an album left behind by the passage of time.\In other words, it's been years since anyone's lived here...\This is Michelle's hometown, Lobster Plantation...\On the other hand... response:	You've become a real hottie after the passage of several years.
context: And it used to be prosperous.\But now, you can't even remember how the grass smelled back then,\and no one around to remember.\It's an album left behind by the passage of time.\In other words, it's been years since anyone's lived here...\This is Michelle's hometown, Lobster Plantation...\On the other hand...\You've become a real hottie after the passage of several years. response:	I'm going to tell Cana exactly what you just said.
context: But now, you can't even remember how the grass smelled back then,\and no one around to remember.\It's an album left behind by the passage of time.\In other words, it's been years since anyone's lived here...\This is Michelle's hometown, Lobster Plantation...\On the other hand...\You've become a real hottie after the passage of several years.\I'm going to tell Cana exactly what you just said. response:	Hey, I was just complimenting you!
context: and no one around to remember.\It's an album left behind by the passage of time.\In other words, it's been years since anyone's lived here...\This is Michelle's hometown, Lobster Plantation...\On the other hand...\You've become a real hottie after the passage of several years.\I'm going to tell Cana exactly what you just said.\Hey, I was just complimenting you! response:	Then,
context: It's an album left behind by the passage of time.\In other words, it's been years since anyone's lived here...\This is Michelle's hometown, Lobster Plantation...\On the other hand...\You've become a real hottie after the passage of several years.\I'm going to tell Cana exactly what you just said.\Hey, I was just complimenting you!\Then, response:	was it also Oracion Seis that attacked the churches, Your Holiness?
context: In other words, it's been years since anyone's lived here...\This is Michelle's hometown, Lobster Plantation...\On the other hand...\You've become a real hottie after the passage of several years.\I'm going to tell Cana exactly what you just said.\Hey, I was just complimenting you!\Then,\was it also Oracion Seis that attacked the churches, Your Holiness? response:	Indeed.
context: This is Michelle's hometown, Lobster Plantation...\On the other hand...\You've become a real hottie after the passage of several years.\I'm going to tell Cana exactly what you just said.\Hey, I was just complimenting you!\Then,\was it also Oracion Seis that attacked the churches, Your Holiness?\Indeed. response:	Though we don't know what their ultimate objective is...
context: On the other hand...\You've become a real hottie after the passage of several years.\I'm going to tell Cana exactly what you just said.\Hey, I was just complimenting you!\Then,\was it also Oracion Seis that attacked the churches, Your Holiness?\Indeed.\Though we don't know what their ultimate objective is... response:	Um... I have a little favor to ask...
context: You've become a real hottie after the passage of several years.\I'm going to tell Cana exactly what you just said.\Hey, I was just complimenting you!\Then,\was it also Oracion Seis that attacked the churches, Your Holiness?\Indeed.\Though we don't know what their ultimate objective is...\Um... I have a little favor to ask... response:	Dan...
context: I'm going to tell Cana exactly what you just said.\Hey, I was just complimenting you!\Then,\was it also Oracion Seis that attacked the churches, Your Holiness?\Indeed.\Though we don't know what their ultimate objective is...\Um... I have a little favor to ask...\Dan... response:	I don't mind. What is it?
context: Hey, I was just complimenting you!\Then,\was it also Oracion Seis that attacked the churches, Your Holiness?\Indeed.\Though we don't know what their ultimate objective is...\Um... I have a little favor to ask...\Dan...\I don't mind. What is it? response:	If we succeed in this mission, I want Coco to be released.
context: Then,\was it also Oracion Seis that attacked the churches, Your Holiness?\Indeed.\Though we don't know what their ultimate objective is...\Um... I have a little favor to ask...\Dan...\I don't mind. What is it?\If we succeed in this mission, I want Coco to be released. response:	Turning your back on the creed means harsh punishment, right?
context: was it also Oracion Seis that attacked the churches, Your Holiness?\Indeed.\Though we don't know what their ultimate objective is...\Um... I have a little favor to ask...\Dan...\I don't mind. What is it?\If we succeed in this mission, I want Coco to be released.\Turning your back on the creed means harsh punishment, right? response:	But Coco was raised by Zentopia, just like us.
context: Indeed.\Though we don't know what their ultimate objective is...\Um... I have a little favor to ask...\Dan...\I don't mind. What is it?\If we succeed in this mission, I want Coco to be released.\Turning your back on the creed means harsh punishment, right?\But Coco was raised by Zentopia, just like us. response:	If she gets through her uncertainty, I'm sure she can be useful to His Grace again.
context: Though we don't know what their ultimate objective is...\Um... I have a little favor to ask...\Dan...\I don't mind. What is it?\If we succeed in this mission, I want Coco to be released.\Turning your back on the creed means harsh punishment, right?\But Coco was raised by Zentopia, just like us.\If she gets through her uncertainty, I'm sure she can be useful to His Grace again. response:	That all depends on how well you perform on this mission.
context: Um... I have a little favor to ask...\Dan...\I don't mind. What is it?\If we succeed in this mission, I want Coco to be released.\Turning your back on the creed means harsh punishment, right?\But Coco was raised by Zentopia, just like us.\If she gets through her uncertainty, I'm sure she can be useful to His Grace again.\That all depends on how well you perform on this mission. response:	It'll be fine!
context: Dan...\I don't mind. What is it?\If we succeed in this mission, I want Coco to be released.\Turning your back on the creed means harsh punishment, right?\But Coco was raised by Zentopia, just like us.\If she gets through her uncertainty, I'm sure she can be useful to His Grace again.\That all depends on how well you perform on this mission.\It'll be fine! response:	As long as you've got Gatman with you,
context: I don't mind. What is it?\If we succeed in this mission, I want Coco to be released.\Turning your back on the creed means harsh punishment, right?\But Coco was raised by Zentopia, just like us.\If she gets through her uncertainty, I'm sure she can be useful to His Grace again.\That all depends on how well you perform on this mission.\It'll be fine!\As long as you've got Gatman with you, response:	all of you can go beddy-byes without a care in the world.
context: If we succeed in this mission, I want Coco to be released.\Turning your back on the creed means harsh punishment, right?\But Coco was raised by Zentopia, just like us.\If she gets through her uncertainty, I'm sure she can be useful to His Grace again.\That all depends on how well you perform on this mission.\It'll be fine!\As long as you've got Gatman with you,\all of you can go beddy-byes without a care in the world. response:	Don't treat us like little kids!
context: Turning your back on the creed means harsh punishment, right?\But Coco was raised by Zentopia, just like us.\If she gets through her uncertainty, I'm sure she can be useful to His Grace again.\That all depends on how well you perform on this mission.\It'll be fine!\As long as you've got Gatman with you,\all of you can go beddy-byes without a care in the world.\Don't treat us like little kids! response:	Your Holiness...
context: But Coco was raised by Zentopia, just like us.\If she gets through her uncertainty, I'm sure she can be useful to His Grace again.\That all depends on how well you perform on this mission.\It'll be fine!\As long as you've got Gatman with you,\all of you can go beddy-byes without a care in the world.\Don't treat us like little kids!\Your Holiness... response:	Something's come up, so I will take my leave here.
context: If she gets through her uncertainty, I'm sure she can be useful to His Grace again.\That all depends on how well you perform on this mission.\It'll be fine!\As long as you've got Gatman with you,\all of you can go beddy-byes without a care in the world.\Don't treat us like little kids!\Your Holiness...\Something's come up, so I will take my leave here. response:	I apologize for keeping you waiting.
context: That all depends on how well you perform on this mission.\It'll be fine!\As long as you've got Gatman with you,\all of you can go beddy-byes without a care in the world.\Don't treat us like little kids!\Your Holiness...\Something's come up, so I will take my leave here.\I apologize for keeping you waiting. response:	Cardinal Rapowant...
context: It'll be fine!\As long as you've got Gatman with you,\all of you can go beddy-byes without a care in the world.\Don't treat us like little kids!\Your Holiness...\Something's come up, so I will take my leave here.\I apologize for keeping you waiting.\Cardinal Rapowant... response:	You're the captain of the Council's Detention Corps, aren't you?
context: As long as you've got Gatman with you,\all of you can go beddy-byes without a care in the world.\Don't treat us like little kids!\Your Holiness...\Something's come up, so I will take my leave here.\I apologize for keeping you waiting.\Cardinal Rapowant...\You're the captain of the Council's Detention Corps, aren't you? response:	What can I do for you?
context: all of you can go beddy-byes without a care in the world.\Don't treat us like little kids!\Your Holiness...\Something's come up, so I will take my leave here.\I apologize for keeping you waiting.\Cardinal Rapowant...\You're the captain of the Council's Detention Corps, aren't you?\What can I do for you? response:	I'm here about the formerly imprisoned members of Oracion Seis.
context: Don't treat us like little kids!\Your Holiness...\Something's come up, so I will take my leave here.\I apologize for keeping you waiting.\Cardinal Rapowant...\You're the captain of the Council's Detention Corps, aren't you?\What can I do for you?\I'm here about the formerly imprisoned members of Oracion Seis. response:	I believe news of their escape has already reached you...
context: Your Holiness...\Something's come up, so I will take my leave here.\I apologize for keeping you waiting.\Cardinal Rapowant...\You're the captain of the Council's Detention Corps, aren't you?\What can I do for you?\I'm here about the formerly imprisoned members of Oracion Seis.\I believe news of their escape has already reached you... response:	When the members of Oracion Seis were still incarcerated,
context: Something's come up, so I will take my leave here.\I apologize for keeping you waiting.\Cardinal Rapowant...\You're the captain of the Council's Detention Corps, aren't you?\What can I do for you?\I'm here about the formerly imprisoned members of Oracion Seis.\I believe news of their escape has already reached you...\When the members of Oracion Seis were still incarcerated, response:	it seems someone from the church visited them regularly.
context: I apologize for keeping you waiting.\Cardinal Rapowant...\You're the captain of the Council's Detention Corps, aren't you?\What can I do for you?\I'm here about the formerly imprisoned members of Oracion Seis.\I believe news of their escape has already reached you...\When the members of Oracion Seis were still incarcerated,\it seems someone from the church visited them regularly. response:	That could have something to do with the breakout.
context: Cardinal Rapowant...\You're the captain of the Council's Detention Corps, aren't you?\What can I do for you?\I'm here about the formerly imprisoned members of Oracion Seis.\I believe news of their escape has already reached you...\When the members of Oracion Seis were still incarcerated,\it seems someone from the church visited them regularly.\That could have something to do with the breakout. response:	I would like you to stop making insinuations.
context: You're the captain of the Council's Detention Corps, aren't you?\What can I do for you?\I'm here about the formerly imprisoned members of Oracion Seis.\I believe news of their escape has already reached you...\When the members of Oracion Seis were still incarcerated,\it seems someone from the church visited them regularly.\That could have something to do with the breakout.\I would like you to stop making insinuations. response:	The breakout is the Council's fault.
context: What can I do for you?\I'm here about the formerly imprisoned members of Oracion Seis.\I believe news of their escape has already reached you...\When the members of Oracion Seis were still incarcerated,\it seems someone from the church visited them regularly.\That could have something to do with the breakout.\I would like you to stop making insinuations.\The breakout is the Council's fault. response:	Trying to lay the responsibility on the church...
context: I'm here about the formerly imprisoned members of Oracion Seis.\I believe news of their escape has already reached you...\When the members of Oracion Seis were still incarcerated,\it seems someone from the church visited them regularly.\That could have something to do with the breakout.\I would like you to stop making insinuations.\The breakout is the Council's fault.\Trying to lay the responsibility on the church... response:	That's outrageous.
context: I believe news of their escape has already reached you...\When the members of Oracion Seis were still incarcerated,\it seems someone from the church visited them regularly.\That could have something to do with the breakout.\I would like you to stop making insinuations.\The breakout is the Council's fault.\Trying to lay the responsibility on the church...\That's outrageous. response:	Come back another time.
context: When the members of Oracion Seis were still incarcerated,\it seems someone from the church visited them regularly.\That could have something to do with the breakout.\I would like you to stop making insinuations.\The breakout is the Council's fault.\Trying to lay the responsibility on the church...\That's outrageous.\Come back another time. response:	Because at this rate, this could become a major political problem.
context: it seems someone from the church visited them regularly.\That could have something to do with the breakout.\I would like you to stop making insinuations.\The breakout is the Council's fault.\Trying to lay the responsibility on the church...\That's outrageous.\Come back another time.\Because at this rate, this could become a major political problem. response:	That attitude...
context: That could have something to do with the breakout.\I would like you to stop making insinuations.\The breakout is the Council's fault.\Trying to lay the responsibility on the church...\That's outrageous.\Come back another time.\Because at this rate, this could become a major political problem.\That attitude... response:	Is it proof that there's some suspicious going on?
context: I would like you to stop making insinuations.\The breakout is the Council's fault.\Trying to lay the responsibility on the church...\That's outrageous.\Come back another time.\Because at this rate, this could become a major political problem.\That attitude...\Is it proof that there's some suspicious going on? response:	I think I have no choice but to ask for his help...
context: The breakout is the Council's fault.\Trying to lay the responsibility on the church...\That's outrageous.\Come back another time.\Because at this rate, this could become a major political problem.\That attitude...\Is it proof that there's some suspicious going on?\I think I have no choice but to ask for his help... response:	What is this?
context: Trying to lay the responsibility on the church...\That's outrageous.\Come back another time.\Because at this rate, this could become a major political problem.\That attitude...\Is it proof that there's some suspicious going on?\I think I have no choice but to ask for his help...\What is this? response:	So she wrote all of these figures on the wall, huh?
context: That's outrageous.\Come back another time.\Because at this rate, this could become a major political problem.\That attitude...\Is it proof that there's some suspicious going on?\I think I have no choice but to ask for his help...\What is this?\So she wrote all of these figures on the wall, huh? response:	It doesn't seem like a prediction, does it?
context: Come back another time.\Because at this rate, this could become a major political problem.\That attitude...\Is it proof that there's some suspicious going on?\I think I have no choice but to ask for his help...\What is this?\So she wrote all of these figures on the wall, huh?\It doesn't seem like a prediction, does it? response:	To bring the end to this world...
context: Because at this rate, this could become a major political problem.\That attitude...\Is it proof that there's some suspicious going on?\I think I have no choice but to ask for his help...\What is this?\So she wrote all of these figures on the wall, huh?\It doesn't seem like a prediction, does it?\To bring the end to this world... response:	Maybe she's remembering something about before?
context: That attitude...\Is it proof that there's some suspicious going on?\I think I have no choice but to ask for his help...\What is this?\So she wrote all of these figures on the wall, huh?\It doesn't seem like a prediction, does it?\To bring the end to this world...\Maybe she's remembering something about before? response:	I don't know...
context: Is it proof that there's some suspicious going on?\I think I have no choice but to ask for his help...\What is this?\So she wrote all of these figures on the wall, huh?\It doesn't seem like a prediction, does it?\To bring the end to this world...\Maybe she's remembering something about before?\I don't know... response:	It seems like that's been weighing heavy on Kinana's mind lately.
context: I think I have no choice but to ask for his help...\What is this?\So she wrote all of these figures on the wall, huh?\It doesn't seem like a prediction, does it?\To bring the end to this world...\Maybe she's remembering something about before?\I don't know...\It seems like that's been weighing heavy on Kinana's mind lately. response:	Kinana had apparently been under a spell for a long time.
context: What is this?\So she wrote all of these figures on the wall, huh?\It doesn't seem like a prediction, does it?\To bring the end to this world...\Maybe she's remembering something about before?\I don't know...\It seems like that's been weighing heavy on Kinana's mind lately.\Kinana had apparently been under a spell for a long time. response:	A spell?
context: So she wrote all of these figures on the wall, huh?\It doesn't seem like a prediction, does it?\To bring the end to this world...\Maybe she's remembering something about before?\I don't know...\It seems like that's been weighing heavy on Kinana's mind lately.\Kinana had apparently been under a spell for a long time.\A spell? response:	This is ancient Potamelian.
context: It doesn't seem like a prediction, does it?\To bring the end to this world...\Maybe she's remembering something about before?\I don't know...\It seems like that's been weighing heavy on Kinana's mind lately.\Kinana had apparently been under a spell for a long time.\A spell?\This is ancient Potamelian. response:	That again?!
context: To bring the end to this world...\Maybe she's remembering something about before?\I don't know...\It seems like that's been weighing heavy on Kinana's mind lately.\Kinana had apparently been under a spell for a long time.\A spell?\This is ancient Potamelian.\That again?! response:	The same characters that were on the clock hand, huh?
context: Maybe she's remembering something about before?\I don't know...\It seems like that's been weighing heavy on Kinana's mind lately.\Kinana had apparently been under a spell for a long time.\A spell?\This is ancient Potamelian.\That again?!\The same characters that were on the clock hand, huh? response:	It seems to be a description of one Will Neville...
context: I don't know...\It seems like that's been weighing heavy on Kinana's mind lately.\Kinana had apparently been under a spell for a long time.\A spell?\This is ancient Potamelian.\That again?!\The same characters that were on the clock hand, huh?\It seems to be a description of one Will Neville... response:	Will Neville?
context: It seems like that's been weighing heavy on Kinana's mind lately.\Kinana had apparently been under a spell for a long time.\A spell?\This is ancient Potamelian.\That again?!\The same characters that were on the clock hand, huh?\It seems to be a description of one Will Neville...\Will Neville? response:	The author of Key of the Starry Heavens...
context: Kinana had apparently been under a spell for a long time.\A spell?\This is ancient Potamelian.\That again?!\The same characters that were on the clock hand, huh?\It seems to be a description of one Will Neville...\Will Neville?\The author of Key of the Starry Heavens... response:	Um... Roughly translated, it says...
context: A spell?\This is ancient Potamelian.\That again?!\The same characters that were on the clock hand, huh?\It seems to be a description of one Will Neville...\Will Neville?\The author of Key of the Starry Heavens...\Um... Roughly translated, it says... response:	Will Neville once had contracts with several Celestial Spirits,
context: This is ancient Potamelian.\That again?!\The same characters that were on the clock hand, huh?\It seems to be a description of one Will Neville...\Will Neville?\The author of Key of the Starry Heavens...\Um... Roughly translated, it says...\Will Neville once had contracts with several Celestial Spirits, response:	and was a powerful wizard who had mastered using them.
context: That again?!\The same characters that were on the clock hand, huh?\It seems to be a description of one Will Neville...\Will Neville?\The author of Key of the Starry Heavens...\Um... Roughly translated, it says...\Will Neville once had contracts with several Celestial Spirits,\and was a powerful wizard who had mastered using them. response:	Contracts with Celestial Spirits?
context: The same characters that were on the clock hand, huh?\It seems to be a description of one Will Neville...\Will Neville?\The author of Key of the Starry Heavens...\Um... Roughly translated, it says...\Will Neville once had contracts with several Celestial Spirits,\and was a powerful wizard who had mastered using them.\Contracts with Celestial Spirits? response:	So he was a Celestial Spirit wizard as well as an author...
context: It seems to be a description of one Will Neville...\Will Neville?\The author of Key of the Starry Heavens...\Um... Roughly translated, it says...\Will Neville once had contracts with several Celestial Spirits,\and was a powerful wizard who had mastered using them.\Contracts with Celestial Spirits?\So he was a Celestial Spirit wizard as well as an author... response:	But there's more.
context: Will Neville?\The author of Key of the Starry Heavens...\Um... Roughly translated, it says...\Will Neville once had contracts with several Celestial Spirits,\and was a powerful wizard who had mastered using them.\Contracts with Celestial Spirits?\So he was a Celestial Spirit wizard as well as an author...\But there's more. response:	Will Neville had many disciples.
context: The author of Key of the Starry Heavens...\Um... Roughly translated, it says...\Will Neville once had contracts with several Celestial Spirits,\and was a powerful wizard who had mastered using them.\Contracts with Celestial Spirits?\So he was a Celestial Spirit wizard as well as an author...\But there's more.\Will Neville had many disciples. response:	However, after he lied down for that eternal sleep,
context: Um... Roughly translated, it says...\Will Neville once had contracts with several Celestial Spirits,\and was a powerful wizard who had mastered using them.\Contracts with Celestial Spirits?\So he was a Celestial Spirit wizard as well as an author...\But there's more.\Will Neville had many disciples.\However, after he lied down for that eternal sleep, response:	his disciples dispersed, their whereabouts unknown.
context: Will Neville once had contracts with several Celestial Spirits,\and was a powerful wizard who had mastered using them.\Contracts with Celestial Spirits?\So he was a Celestial Spirit wizard as well as an author...\But there's more.\Will Neville had many disciples.\However, after he lied down for that eternal sleep,\his disciples dispersed, their whereabouts unknown. response:	What is this?
context: and was a powerful wizard who had mastered using them.\Contracts with Celestial Spirits?\So he was a Celestial Spirit wizard as well as an author...\But there's more.\Will Neville had many disciples.\However, after he lied down for that eternal sleep,\his disciples dispersed, their whereabouts unknown.\What is this? response:	A biographical dictionary... I brought one from the storehouse.
