context: Arima-sensei, why do you want to perform at the Culture Festival? response:	I've got this horrible friend.
context: There are people that I love.\So... I want to be here. Is that wrong?\Isn't that a good enough reason to want to play, for now?\What am I doing here?\What am I doing, looking up at the stage from the audience?\I'm supposed to be up there, aren't I?\Emi and Nagi... why does your playing move people...\It's about to end. Ah... it feels so weird. response:	I'm exhausted, but I want to go on playing till I collapse.
context: So... I want to be here. Is that wrong?\Isn't that a good enough reason to want to play, for now?\What am I doing here?\What am I doing, looking up at the stage from the audience?\I'm supposed to be up there, aren't I?\Emi and Nagi... why does your playing move people...\It's about to end. Ah... it feels so weird.\I'm exhausted, but I want to go on playing till I collapse. response:	Did I play it right? Was I able to confront it with sincerity?
context: Isn't that a good enough reason to want to play, for now?\What am I doing here?\What am I doing, looking up at the stage from the audience?\I'm supposed to be up there, aren't I?\Emi and Nagi... why does your playing move people...\It's about to end. Ah... it feels so weird.\I'm exhausted, but I want to go on playing till I collapse.\Did I play it right? Was I able to confront it with sincerity? response:	Hey, Arima-sensei.
context: What am I doing here?\What am I doing, looking up at the stage from the audience?\I'm supposed to be up there, aren't I?\Emi and Nagi... why does your playing move people...\It's about to end. Ah... it feels so weird.\I'm exhausted, but I want to go on playing till I collapse.\Did I play it right? Was I able to confront it with sincerity?\Hey, Arima-sensei. response:	Why are the sounds you make so colorful, and so beautiful?
context: What am I doing, looking up at the stage from the audience?\I'm supposed to be up there, aren't I?\Emi and Nagi... why does your playing move people...\It's about to end. Ah... it feels so weird.\I'm exhausted, but I want to go on playing till I collapse.\Did I play it right? Was I able to confront it with sincerity?\Hey, Arima-sensei.\Why are the sounds you make so colorful, and so beautiful? response:	It's so beautiful that...
context: I'm supposed to be up there, aren't I?\Emi and Nagi... why does your playing move people...\It's about to end. Ah... it feels so weird.\I'm exhausted, but I want to go on playing till I collapse.\Did I play it right? Was I able to confront it with sincerity?\Hey, Arima-sensei.\Why are the sounds you make so colorful, and so beautiful?\It's so beautiful that... response:	I think I'm gonna cry.
context: Emi and Nagi... why does your playing move people...\It's about to end. Ah... it feels so weird.\I'm exhausted, but I want to go on playing till I collapse.\Did I play it right? Was I able to confront it with sincerity?\Hey, Arima-sensei.\Why are the sounds you make so colorful, and so beautiful?\It's so beautiful that...\I think I'm gonna cry. response:	Go on, acknowledge them!
context: It's about to end. Ah... it feels so weird.\I'm exhausted, but I want to go on playing till I collapse.\Did I play it right? Was I able to confront it with sincerity?\Hey, Arima-sensei.\Why are the sounds you make so colorful, and so beautiful?\It's so beautiful that...\I think I'm gonna cry.\Go on, acknowledge them! response:	Oh, right.
context: I'm exhausted, but I want to go on playing till I collapse.\Did I play it right? Was I able to confront it with sincerity?\Hey, Arima-sensei.\Why are the sounds you make so colorful, and so beautiful?\It's so beautiful that...\I think I'm gonna cry.\Go on, acknowledge them!\Oh, right. response:	All the months of agony, screaming,
context: Did I play it right? Was I able to confront it with sincerity?\Hey, Arima-sensei.\Why are the sounds you make so colorful, and so beautiful?\It's so beautiful that...\I think I'm gonna cry.\Go on, acknowledge them!\Oh, right.\All the months of agony, screaming, response:	suffering and struggling...
context: Hey, Arima-sensei.\Why are the sounds you make so colorful, and so beautiful?\It's so beautiful that...\I think I'm gonna cry.\Go on, acknowledge them!\Oh, right.\All the months of agony, screaming,\suffering and struggling... response:	Amazing!
context: Why are the sounds you make so colorful, and so beautiful?\It's so beautiful that...\I think I'm gonna cry.\Go on, acknowledge them!\Oh, right.\All the months of agony, screaming,\suffering and struggling...\Amazing! response:	Bravo!
context: It's so beautiful that...\I think I'm gonna cry.\Go on, acknowledge them!\Oh, right.\All the months of agony, screaming,\suffering and struggling...\Amazing!\Bravo! response:	Marry me!
context: I think I'm gonna cry.\Go on, acknowledge them!\Oh, right.\All the months of agony, screaming,\suffering and struggling...\Amazing!\Bravo!\Marry me! response:	Aiza!
context: Go on, acknowledge them!\Oh, right.\All the months of agony, screaming,\suffering and struggling...\Amazing!\Bravo!\Marry me!\Aiza! response:	Nagi!
context: Oh, right.\All the months of agony, screaming,\suffering and struggling...\Amazing!\Bravo!\Marry me!\Aiza!\Nagi! response:	There's a moment when you're rewarded for all that.
context: All the months of agony, screaming,\suffering and struggling...\Amazing!\Bravo!\Marry me!\Aiza!\Nagi!\There's a moment when you're rewarded for all that. response:	Music just might transcend words.
context: suffering and struggling...\Amazing!\Bravo!\Marry me!\Aiza!\Nagi!\There's a moment when you're rewarded for all that.\Music just might transcend words. response:	Arima-sensei? Do you think it reached him?
context: Amazing!\Bravo!\Marry me!\Aiza!\Nagi!\There's a moment when you're rewarded for all that.\Music just might transcend words.\Arima-sensei? Do you think it reached him? response:	Yes. It reached him. I'm sure...
context: Bravo!\Marry me!\Aiza!\Nagi!\There's a moment when you're rewarded for all that.\Music just might transcend words.\Arima-sensei? Do you think it reached him?\Yes. It reached him. I'm sure... response:	What about you, Arima-sensei?
context: Marry me!\Aiza!\Nagi!\There's a moment when you're rewarded for all that.\Music just might transcend words.\Arima-sensei? Do you think it reached him?\Yes. It reached him. I'm sure...\What about you, Arima-sensei? response:	Were you able to give her that punch?
context: Aiza!\Nagi!\There's a moment when you're rewarded for all that.\Music just might transcend words.\Arima-sensei? Do you think it reached him?\Yes. It reached him. I'm sure...\What about you, Arima-sensei?\Were you able to give her that punch? response:	Yes. I think so...
context: Nagi!\There's a moment when you're rewarded for all that.\Music just might transcend words.\Arima-sensei? Do you think it reached him?\Yes. It reached him. I'm sure...\What about you, Arima-sensei?\Were you able to give her that punch?\Yes. I think so... response:	A performance that won't be forgotten.
context: There's a moment when you're rewarded for all that.\Music just might transcend words.\Arima-sensei? Do you think it reached him?\Yes. It reached him. I'm sure...\What about you, Arima-sensei?\Were you able to give her that punch?\Yes. I think so...\A performance that won't be forgotten. response:	Huh!?
context: Music just might transcend words.\Arima-sensei? Do you think it reached him?\Yes. It reached him. I'm sure...\What about you, Arima-sensei?\Were you able to give her that punch?\Yes. I think so...\A performance that won't be forgotten.\Huh!? response:	No fair!
context: Arima-sensei? Do you think it reached him?\Yes. It reached him. I'm sure...\What about you, Arima-sensei?\Were you able to give her that punch?\Yes. I think so...\A performance that won't be forgotten.\Huh!?\No fair! response:	I'm Christine. The girl who yearns to go onstage at the opera house.
context: Yes. It reached him. I'm sure...\What about you, Arima-sensei?\Were you able to give her that punch?\Yes. I think so...\A performance that won't be forgotten.\Huh!?\No fair!\I'm Christine. The girl who yearns to go onstage at the opera house. response:	What are you going to do, Takeshi?
context: What about you, Arima-sensei?\Were you able to give her that punch?\Yes. I think so...\A performance that won't be forgotten.\Huh!?\No fair!\I'm Christine. The girl who yearns to go onstage at the opera house.\What are you going to do, Takeshi? response:	Even as she lost her way and suffered,
context: Were you able to give her that punch?\Yes. I think so...\A performance that won't be forgotten.\Huh!?\No fair!\I'm Christine. The girl who yearns to go onstage at the opera house.\What are you going to do, Takeshi?\Even as she lost her way and suffered, response:	big-bro complex and all, Nagi climbed up that stairway.
context: Yes. I think so...\A performance that won't be forgotten.\Huh!?\No fair!\I'm Christine. The girl who yearns to go onstage at the opera house.\What are you going to do, Takeshi?\Even as she lost her way and suffered,\big-bro complex and all, Nagi climbed up that stairway. response:	How long are you planning to sit around twiddling your thumbs?
context: A performance that won't be forgotten.\Huh!?\No fair!\I'm Christine. The girl who yearns to go onstage at the opera house.\What are you going to do, Takeshi?\Even as she lost her way and suffered,\big-bro complex and all, Nagi climbed up that stairway.\How long are you planning to sit around twiddling your thumbs? response:	Are you okay with that?
context: Huh!?\No fair!\I'm Christine. The girl who yearns to go onstage at the opera house.\What are you going to do, Takeshi?\Even as she lost her way and suffered,\big-bro complex and all, Nagi climbed up that stairway.\How long are you planning to sit around twiddling your thumbs?\Are you okay with that? response:	Didn't you get anything from that? From Nagi's performance?
context: No fair!\I'm Christine. The girl who yearns to go onstage at the opera house.\What are you going to do, Takeshi?\Even as she lost her way and suffered,\big-bro complex and all, Nagi climbed up that stairway.\How long are you planning to sit around twiddling your thumbs?\Are you okay with that?\Didn't you get anything from that? From Nagi's performance? response:	Are you planning to just sit tight here?
context: I'm Christine. The girl who yearns to go onstage at the opera house.\What are you going to do, Takeshi?\Even as she lost her way and suffered,\big-bro complex and all, Nagi climbed up that stairway.\How long are you planning to sit around twiddling your thumbs?\Are you okay with that?\Didn't you get anything from that? From Nagi's performance?\Are you planning to just sit tight here? response:	It's over!
context: What are you going to do, Takeshi?\Even as she lost her way and suffered,\big-bro complex and all, Nagi climbed up that stairway.\How long are you planning to sit around twiddling your thumbs?\Are you okay with that?\Didn't you get anything from that? From Nagi's performance?\Are you planning to just sit tight here?\It's over! response:	That was a great duet you played!
context: Even as she lost her way and suffered,\big-bro complex and all, Nagi climbed up that stairway.\How long are you planning to sit around twiddling your thumbs?\Are you okay with that?\Didn't you get anything from that? From Nagi's performance?\Are you planning to just sit tight here?\It's over!\That was a great duet you played! response:	Nagi!
context: big-bro complex and all, Nagi climbed up that stairway.\How long are you planning to sit around twiddling your thumbs?\Are you okay with that?\Didn't you get anything from that? From Nagi's performance?\Are you planning to just sit tight here?\It's over!\That was a great duet you played!\Nagi! response:	That was amazing!
context: How long are you planning to sit around twiddling your thumbs?\Are you okay with that?\Didn't you get anything from that? From Nagi's performance?\Are you planning to just sit tight here?\It's over!\That was a great duet you played!\Nagi!\That was amazing! response:	It didn't move me one bit, okay?
context: Are you okay with that?\Didn't you get anything from that? From Nagi's performance?\Are you planning to just sit tight here?\It's over!\That was a great duet you played!\Nagi!\That was amazing!\It didn't move me one bit, okay? response:	Satsuki... Komugi...
context: Didn't you get anything from that? From Nagi's performance?\Are you planning to just sit tight here?\It's over!\That was a great duet you played!\Nagi!\That was amazing!\It didn't move me one bit, okay?\Satsuki... Komugi... response:	I'm not the one who's amazing.
context: Are you planning to just sit tight here?\It's over!\That was a great duet you played!\Nagi!\That was amazing!\It didn't move me one bit, okay?\Satsuki... Komugi...\I'm not the one who's amazing. response:	Whoa!
context: It's over!\That was a great duet you played!\Nagi!\That was amazing!\It didn't move me one bit, okay?\Satsuki... Komugi...\I'm not the one who's amazing.\Whoa! response:	You really are an ultra-sadist.
context: That was a great duet you played!\Nagi!\That was amazing!\It didn't move me one bit, okay?\Satsuki... Komugi...\I'm not the one who's amazing.\Whoa!\You really are an ultra-sadist. response:	Hiroko.
context: Nagi!\That was amazing!\It didn't move me one bit, okay?\Satsuki... Komugi...\I'm not the one who's amazing.\Whoa!\You really are an ultra-sadist.\Hiroko. response:	Isn't music fun?
context: That was amazing!\It didn't move me one bit, okay?\Satsuki... Komugi...\I'm not the one who's amazing.\Whoa!\You really are an ultra-sadist.\Hiroko.\Isn't music fun? response:	Huh? What are you talking about?
context: It didn't move me one bit, okay?\Satsuki... Komugi...\I'm not the one who's amazing.\Whoa!\You really are an ultra-sadist.\Hiroko.\Isn't music fun?\Huh? What are you talking about? response:	Isn't it too thrilling for words, watching somebody grow?
context: Satsuki... Komugi...\I'm not the one who's amazing.\Whoa!\You really are an ultra-sadist.\Hiroko.\Isn't music fun?\Huh? What are you talking about?\Isn't it too thrilling for words, watching somebody grow? response:	Nagi!
context: I'm not the one who's amazing.\Whoa!\You really are an ultra-sadist.\Hiroko.\Isn't music fun?\Huh? What are you talking about?\Isn't it too thrilling for words, watching somebody grow?\Nagi! response:	I get it.
context: Whoa!\You really are an ultra-sadist.\Hiroko.\Isn't music fun?\Huh? What are you talking about?\Isn't it too thrilling for words, watching somebody grow?\Nagi!\I get it. response:	So that's why you placed that kid under my wing.
context: You really are an ultra-sadist.\Hiroko.\Isn't music fun?\Huh? What are you talking about?\Isn't it too thrilling for words, watching somebody grow?\Nagi!\I get it.\So that's why you placed that kid under my wing. response:	Seto-sensei!
context: Hiroko.\Isn't music fun?\Huh? What are you talking about?\Isn't it too thrilling for words, watching somebody grow?\Nagi!\I get it.\So that's why you placed that kid under my wing.\Seto-sensei! response:	How was it?
context: Isn't music fun?\Huh? What are you talking about?\Isn't it too thrilling for words, watching somebody grow?\Nagi!\I get it.\So that's why you placed that kid under my wing.\Seto-sensei!\How was it? response:	You know what, since you guys started coming over,
context: Huh? What are you talking about?\Isn't it too thrilling for words, watching somebody grow?\Nagi!\I get it.\So that's why you placed that kid under my wing.\Seto-sensei!\How was it?\You know what, since you guys started coming over, response:	I've been enjoying myself like there's no tomorrow!
context: Isn't it too thrilling for words, watching somebody grow?\Nagi!\I get it.\So that's why you placed that kid under my wing.\Seto-sensei!\How was it?\You know what, since you guys started coming over,\I've been enjoying myself like there's no tomorrow! response:	Hey Arima!
context: Nagi!\I get it.\So that's why you placed that kid under my wing.\Seto-sensei!\How was it?\You know what, since you guys started coming over,\I've been enjoying myself like there's no tomorrow!\Hey Arima! response:	Huh?
context: I get it.\So that's why you placed that kid under my wing.\Seto-sensei!\How was it?\You know what, since you guys started coming over,\I've been enjoying myself like there's no tomorrow!\Hey Arima!\Huh? response:	You're Bushi... Aiza...
context: So that's why you placed that kid under my wing.\Seto-sensei!\How was it?\You know what, since you guys started coming over,\I've been enjoying myself like there's no tomorrow!\Hey Arima!\Huh?\You're Bushi... Aiza... response:	It's Takeshi! Takeshi!
context: Seto-sensei!\How was it?\You know what, since you guys started coming over,\I've been enjoying myself like there's no tomorrow!\Hey Arima!\Huh?\You're Bushi... Aiza...\It's Takeshi! Takeshi! response:	Ouch! Ouch!
context: How was it?\You know what, since you guys started coming over,\I've been enjoying myself like there's no tomorrow!\Hey Arima!\Huh?\You're Bushi... Aiza...\It's Takeshi! Takeshi!\Ouch! Ouch! response:	Damn you, don't grab hold of my kid sister!
context: You know what, since you guys started coming over,\I've been enjoying myself like there's no tomorrow!\Hey Arima!\Huh?\You're Bushi... Aiza...\It's Takeshi! Takeshi!\Ouch! Ouch!\Damn you, don't grab hold of my kid sister! response:	Kid sister?
context: I've been enjoying myself like there's no tomorrow!\Hey Arima!\Huh?\You're Bushi... Aiza...\It's Takeshi! Takeshi!\Ouch! Ouch!\Damn you, don't grab hold of my kid sister!\Kid sister? response:	Let me introduce him. This is my big brother.
context: Hey Arima!\Huh?\You're Bushi... Aiza...\It's Takeshi! Takeshi!\Ouch! Ouch!\Damn you, don't grab hold of my kid sister!\Kid sister?\Let me introduce him. This is my big brother. response:	Huh? But Aizato, your last name's...
context: Huh?\You're Bushi... Aiza...\It's Takeshi! Takeshi!\Ouch! Ouch!\Damn you, don't grab hold of my kid sister!\Kid sister?\Let me introduce him. This is my big brother.\Huh? But Aizato, your last name's... response:	Oh, please! I introduced myself properly, remember?
context: You're Bushi... Aiza...\It's Takeshi! Takeshi!\Ouch! Ouch!\Damn you, don't grab hold of my kid sister!\Kid sister?\Let me introduce him. This is my big brother.\Huh? But Aizato, your last name's...\Oh, please! I introduced myself properly, remember? response:	I'm Nagi Aiza!
context: It's Takeshi! Takeshi!\Ouch! Ouch!\Damn you, don't grab hold of my kid sister!\Kid sister?\Let me introduce him. This is my big brother.\Huh? But Aizato, your last name's...\Oh, please! I introduced myself properly, remember?\I'm Nagi Aiza! response:	I said it right, didn't I?
context: Ouch! Ouch!\Damn you, don't grab hold of my kid sister!\Kid sister?\Let me introduce him. This is my big brother.\Huh? But Aizato, your last name's...\Oh, please! I introduced myself properly, remember?\I'm Nagi Aiza!\I said it right, didn't I? response:	You did.
context: Damn you, don't grab hold of my kid sister!\Kid sister?\Let me introduce him. This is my big brother.\Huh? But Aizato, your last name's...\Oh, please! I introduced myself properly, remember?\I'm Nagi Aiza!\I said it right, didn't I?\You did. response:	She did.
context: Kid sister?\Let me introduce him. This is my big brother.\Huh? But Aizato, your last name's...\Oh, please! I introduced myself properly, remember?\I'm Nagi Aiza!\I said it right, didn't I?\You did.\She did. response:	I see. So I misheard you.
context: Let me introduce him. This is my big brother.\Huh? But Aizato, your last name's...\Oh, please! I introduced myself properly, remember?\I'm Nagi Aiza!\I said it right, didn't I?\You did.\She did.\I see. So I misheard you. response:	I'm glad you're so dense.
context: Huh? But Aizato, your last name's...\Oh, please! I introduced myself properly, remember?\I'm Nagi Aiza!\I said it right, didn't I?\You did.\She did.\I see. So I misheard you.\I'm glad you're so dense. response:	Never mind that! Why the hell were you playing a duet with Nagi!?
context: Oh, please! I introduced myself properly, remember?\I'm Nagi Aiza!\I said it right, didn't I?\You did.\She did.\I see. So I misheard you.\I'm glad you're so dense.\Never mind that! Why the hell were you playing a duet with Nagi!? response:	Well, I... I asked Nagi, as a favor...
context: I'm Nagi Aiza!\I said it right, didn't I?\You did.\She did.\I see. So I misheard you.\I'm glad you're so dense.\Never mind that! Why the hell were you playing a duet with Nagi!?\Well, I... I asked Nagi, as a favor... response:	None of that Nagi business!
context: I said it right, didn't I?\You did.\She did.\I see. So I misheard you.\I'm glad you're so dense.\Never mind that! Why the hell were you playing a duet with Nagi!?\Well, I... I asked Nagi, as a favor...\None of that Nagi business! response:	You mean Takeshi's little sister! Don't you dare look at her as a woman!
context: You did.\She did.\I see. So I misheard you.\I'm glad you're so dense.\Never mind that! Why the hell were you playing a duet with Nagi!?\Well, I... I asked Nagi, as a favor...\None of that Nagi business!\You mean Takeshi's little sister! Don't you dare look at her as a woman! response:	Hey, You're killing me...
context: She did.\I see. So I misheard you.\I'm glad you're so dense.\Never mind that! Why the hell were you playing a duet with Nagi!?\Well, I... I asked Nagi, as a favor...\None of that Nagi business!\You mean Takeshi's little sister! Don't you dare look at her as a woman!\Hey, You're killing me... response:	Hey, cut that out, brother!
context: I see. So I misheard you.\I'm glad you're so dense.\Never mind that! Why the hell were you playing a duet with Nagi!?\Well, I... I asked Nagi, as a favor...\None of that Nagi business!\You mean Takeshi's little sister! Don't you dare look at her as a woman!\Hey, You're killing me...\Hey, cut that out, brother! response:	What's this? You defending Arima?
context: I'm glad you're so dense.\Never mind that! Why the hell were you playing a duet with Nagi!?\Well, I... I asked Nagi, as a favor...\None of that Nagi business!\You mean Takeshi's little sister! Don't you dare look at her as a woman!\Hey, You're killing me...\Hey, cut that out, brother!\What's this? You defending Arima? response:	I mean, how'd you get to know Arima, anyway?
context: Never mind that! Why the hell were you playing a duet with Nagi!?\Well, I... I asked Nagi, as a favor...\None of that Nagi business!\You mean Takeshi's little sister! Don't you dare look at her as a woman!\Hey, You're killing me...\Hey, cut that out, brother!\What's this? You defending Arima?\I mean, how'd you get to know Arima, anyway? response:	He's looking after me here. He's teaching me all kinds of things!
context: Well, I... I asked Nagi, as a favor...\None of that Nagi business!\You mean Takeshi's little sister! Don't you dare look at her as a woman!\Hey, You're killing me...\Hey, cut that out, brother!\What's this? You defending Arima?\I mean, how'd you get to know Arima, anyway?\He's looking after me here. He's teaching me all kinds of things! response:	All kinds of...!?
context: None of that Nagi business!\You mean Takeshi's little sister! Don't you dare look at her as a woman!\Hey, You're killing me...\Hey, cut that out, brother!\What's this? You defending Arima?\I mean, how'd you get to know Arima, anyway?\He's looking after me here. He's teaching me all kinds of things!\All kinds of...!? response:	He's giving me all these precious experiences!
context: You mean Takeshi's little sister! Don't you dare look at her as a woman!\Hey, You're killing me...\Hey, cut that out, brother!\What's this? You defending Arima?\I mean, how'd you get to know Arima, anyway?\He's looking after me here. He's teaching me all kinds of things!\All kinds of...!?\He's giving me all these precious experiences! response:	Experiences!?
context: Hey, You're killing me...\Hey, cut that out, brother!\What's this? You defending Arima?\I mean, how'd you get to know Arima, anyway?\He's looking after me here. He's teaching me all kinds of things!\All kinds of...!?\He's giving me all these precious experiences!\Experiences!? response:	Dammit!
context: Hey, cut that out, brother!\What's this? You defending Arima?\I mean, how'd you get to know Arima, anyway?\He's looking after me here. He's teaching me all kinds of things!\All kinds of...!?\He's giving me all these precious experiences!\Experiences!?\Dammit! response:	Brother!?
context: What's this? You defending Arima?\I mean, how'd you get to know Arima, anyway?\He's looking after me here. He's teaching me all kinds of things!\All kinds of...!?\He's giving me all these precious experiences!\Experiences!?\Dammit!\Brother!? response:	December.
context: I mean, how'd you get to know Arima, anyway?\He's looking after me here. He's teaching me all kinds of things!\All kinds of...!?\He's giving me all these precious experiences!\Experiences!?\Dammit!\Brother!?\December. response:	The Eastern Japan Piano Competition will begin.
context: He's looking after me here. He's teaching me all kinds of things!\All kinds of...!?\He's giving me all these precious experiences!\Experiences!?\Dammit!\Brother!?\December.\The Eastern Japan Piano Competition will begin. response:	And that's where I'm gonna give you a beatdown, got that!?
context: All kinds of...!?\He's giving me all these precious experiences!\Experiences!?\Dammit!\Brother!?\December.\The Eastern Japan Piano Competition will begin.\And that's where I'm gonna give you a beatdown, got that!? response:	Arima!
context: He's giving me all these precious experiences!\Experiences!?\Dammit!\Brother!?\December.\The Eastern Japan Piano Competition will begin.\And that's where I'm gonna give you a beatdown, got that!?\Arima! response:	Brother...
context: Experiences!?\Dammit!\Brother!?\December.\The Eastern Japan Piano Competition will begin.\And that's where I'm gonna give you a beatdown, got that!?\Arima!\Brother... response:	Bring it on! I'm gonna do it!
context: Dammit!\Brother!?\December.\The Eastern Japan Piano Competition will begin.\And that's where I'm gonna give you a beatdown, got that!?\Arima!\Brother...\Bring it on! I'm gonna do it! response:	Flaunting something like that before my eyes... How can I just let that go unanswered!?
context: Brother!?\December.\The Eastern Japan Piano Competition will begin.\And that's where I'm gonna give you a beatdown, got that!?\Arima!\Brother...\Bring it on! I'm gonna do it!\Flaunting something like that before my eyes... How can I just let that go unanswered!? response:	Oh, man. December's gonna be a pain in the butt.
context: December.\The Eastern Japan Piano Competition will begin.\And that's where I'm gonna give you a beatdown, got that!?\Arima!\Brother...\Bring it on! I'm gonna do it!\Flaunting something like that before my eyes... How can I just let that go unanswered!?\Oh, man. December's gonna be a pain in the butt. response:	One-tenth... even one one-hundredth... Did my feelings get through to him?
context: The Eastern Japan Piano Competition will begin.\And that's where I'm gonna give you a beatdown, got that!?\Arima!\Brother...\Bring it on! I'm gonna do it!\Flaunting something like that before my eyes... How can I just let that go unanswered!?\Oh, man. December's gonna be a pain in the butt.\One-tenth... even one one-hundredth... Did my feelings get through to him? response:	Did my music reach him?
context: And that's where I'm gonna give you a beatdown, got that!?\Arima!\Brother...\Bring it on! I'm gonna do it!\Flaunting something like that before my eyes... How can I just let that go unanswered!?\Oh, man. December's gonna be a pain in the butt.\One-tenth... even one one-hundredth... Did my feelings get through to him?\Did my music reach him? response:	You did a good job.
context: Arima!\Brother...\Bring it on! I'm gonna do it!\Flaunting something like that before my eyes... How can I just let that go unanswered!?\Oh, man. December's gonna be a pain in the butt.\One-tenth... even one one-hundredth... Did my feelings get through to him?\Did my music reach him?\You did a good job. response:	Thank you... very... much.
context: Brother...\Bring it on! I'm gonna do it!\Flaunting something like that before my eyes... How can I just let that go unanswered!?\Oh, man. December's gonna be a pain in the butt.\One-tenth... even one one-hundredth... Did my feelings get through to him?\Did my music reach him?\You did a good job.\Thank you... very... much. response:	Kurumi School Festival
context: Bring it on! I'm gonna do it!\Flaunting something like that before my eyes... How can I just let that go unanswered!?\Oh, man. December's gonna be a pain in the butt.\One-tenth... even one one-hundredth... Did my feelings get through to him?\Did my music reach him?\You did a good job.\Thank you... very... much.\Kurumi School Festival response:	Hey, Aiza!
context: Flaunting something like that before my eyes... How can I just let that go unanswered!?\Oh, man. December's gonna be a pain in the butt.\One-tenth... even one one-hundredth... Did my feelings get through to him?\Did my music reach him?\You did a good job.\Thank you... very... much.\Kurumi School Festival\Hey, Aiza! response:	Huh?
context: Oh, man. December's gonna be a pain in the butt.\One-tenth... even one one-hundredth... Did my feelings get through to him?\Did my music reach him?\You did a good job.\Thank you... very... much.\Kurumi School Festival\Hey, Aiza!\Huh? response:	Miike?
context: One-tenth... even one one-hundredth... Did my feelings get through to him?\Did my music reach him?\You did a good job.\Thank you... very... much.\Kurumi School Festival\Hey, Aiza!\Huh?\Miike? response:	What the heck? He's never even said a word to me before...
context: Did my music reach him?\You did a good job.\Thank you... very... much.\Kurumi School Festival\Hey, Aiza!\Huh?\Miike?\What the heck? He's never even said a word to me before... response:	What the heck is going on here...
context: You did a good job.\Thank you... very... much.\Kurumi School Festival\Hey, Aiza!\Huh?\Miike?\What the heck? He's never even said a word to me before...\What the heck is going on here... response:	A-Aiza... Wh-Why were you playing a duet with Kousei... Arima?
context: Thank you... very... much.\Kurumi School Festival\Hey, Aiza!\Huh?\Miike?\What the heck? He's never even said a word to me before...\What the heck is going on here...\A-Aiza... Wh-Why were you playing a duet with Kousei... Arima? response:	Do you know Kousei Arima!?
context: Kurumi School Festival\Hey, Aiza!\Huh?\Miike?\What the heck? He's never even said a word to me before...\What the heck is going on here...\A-Aiza... Wh-Why were you playing a duet with Kousei... Arima?\Do you know Kousei Arima!? response:	Kousei Arima!?
context: Hey, Aiza!\Huh?\Miike?\What the heck? He's never even said a word to me before...\What the heck is going on here...\A-Aiza... Wh-Why were you playing a duet with Kousei... Arima?\Do you know Kousei Arima!?\Kousei Arima!? response:	Hey, you! Don't you dare drop the honorifics for Arima-sensei!
context: Huh?\Miike?\What the heck? He's never even said a word to me before...\What the heck is going on here...\A-Aiza... Wh-Why were you playing a duet with Kousei... Arima?\Do you know Kousei Arima!?\Kousei Arima!?\Hey, you! Don't you dare drop the honorifics for Arima-sensei! response:	I'm gonna pull your hair out, you damned midget!
context: Miike?\What the heck? He's never even said a word to me before...\What the heck is going on here...\A-Aiza... Wh-Why were you playing a duet with Kousei... Arima?\Do you know Kousei Arima!?\Kousei Arima!?\Hey, you! Don't you dare drop the honorifics for Arima-sensei!\I'm gonna pull your hair out, you damned midget! response:	Damned midget! Damned midget!
context: What the heck? He's never even said a word to me before...\What the heck is going on here...\A-Aiza... Wh-Why were you playing a duet with Kousei... Arima?\Do you know Kousei Arima!?\Kousei Arima!?\Hey, you! Don't you dare drop the honorifics for Arima-sensei!\I'm gonna pull your hair out, you damned midget!\Damned midget! Damned midget! response:	Arima- sensei!? What kind of relationship is that!? Tell me!
context: What the heck is going on here...\A-Aiza... Wh-Why were you playing a duet with Kousei... Arima?\Do you know Kousei Arima!?\Kousei Arima!?\Hey, you! Don't you dare drop the honorifics for Arima-sensei!\I'm gonna pull your hair out, you damned midget!\Damned midget! Damned midget!\Arima- sensei!? What kind of relationship is that!? Tell me! response:	So do you have his contact info!? His email address, too!?
context: A-Aiza... Wh-Why were you playing a duet with Kousei... Arima?\Do you know Kousei Arima!?\Kousei Arima!?\Hey, you! Don't you dare drop the honorifics for Arima-sensei!\I'm gonna pull your hair out, you damned midget!\Damned midget! Damned midget!\Arima- sensei!? What kind of relationship is that!? Tell me!\So do you have his contact info!? His email address, too!? response:	Of course I do! Yesterday, we had taiyaki together!
context: Do you know Kousei Arima!?\Kousei Arima!?\Hey, you! Don't you dare drop the honorifics for Arima-sensei!\I'm gonna pull your hair out, you damned midget!\Damned midget! Damned midget!\Arima- sensei!? What kind of relationship is that!? Tell me!\So do you have his contact info!? His email address, too!?\Of course I do! Yesterday, we had taiyaki together! response:	It was so yummy, that taiyaki!
context: Kousei Arima!?\Hey, you! Don't you dare drop the honorifics for Arima-sensei!\I'm gonna pull your hair out, you damned midget!\Damned midget! Damned midget!\Arima- sensei!? What kind of relationship is that!? Tell me!\So do you have his contact info!? His email address, too!?\Of course I do! Yesterday, we had taiyaki together!\It was so yummy, that taiyaki! response:	Arima
context: Hey, you! Don't you dare drop the honorifics for Arima-sensei!\I'm gonna pull your hair out, you damned midget!\Damned midget! Damned midget!\Arima- sensei!? What kind of relationship is that!? Tell me!\So do you have his contact info!? His email address, too!?\Of course I do! Yesterday, we had taiyaki together!\It was so yummy, that taiyaki!\Arima response:	You know his email address... The taiyaki was yummy...
context: I'm gonna pull your hair out, you damned midget!\Damned midget! Damned midget!\Arima- sensei!? What kind of relationship is that!? Tell me!\So do you have his contact info!? His email address, too!?\Of course I do! Yesterday, we had taiyaki together!\It was so yummy, that taiyaki!\Arima\You know his email address... The taiyaki was yummy... response:	No fair!
