context: You're a rental girlfriend, aren't you? response:	I have to shut that girl up, no matter what!
context: Sarashina Ruka\Type:hhhh Younger Sister Idhhhhh Birthday: 8/26hhhhhhhh Sign:hh Virgohhhhhh\Sarashina Ruka, a younger-sister idol girlfriend.\Oh?\She's with an agency that operates within Tokyo, huh?\I was curious about how she found out,\but it makes sense if she's a rental girlfriend. She's probably searched my name before.\Huh? Are you famous or something? response:	Beats me.
context: Type:hhhh Younger Sister Idhhhhh Birthday: 8/26hhhhhhhh Sign:hh Virgohhhhhh\Sarashina Ruka, a younger-sister idol girlfriend.\Oh?\She's with an agency that operates within Tokyo, huh?\I was curious about how she found out,\but it makes sense if she's a rental girlfriend. She's probably searched my name before.\Huh? Are you famous or something?\Beats me. response:	Man, I don't know how to face Kuri next time I see him.
context: Sarashina Ruka, a younger-sister idol girlfriend.\Oh?\She's with an agency that operates within Tokyo, huh?\I was curious about how she found out,\but it makes sense if she's a rental girlfriend. She's probably searched my name before.\Huh? Are you famous or something?\Beats me.\Man, I don't know how to face Kuri next time I see him. response:	That's just it.
context: Oh?\She's with an agency that operates within Tokyo, huh?\I was curious about how she found out,\but it makes sense if she's a rental girlfriend. She's probably searched my name before.\Huh? Are you famous or something?\Beats me.\Man, I don't know how to face Kuri next time I see him.\That's just it. response:	We have to feign ignorance all the way.
context: She's with an agency that operates within Tokyo, huh?\I was curious about how she found out,\but it makes sense if she's a rental girlfriend. She's probably searched my name before.\Huh? Are you famous or something?\Beats me.\Man, I don't know how to face Kuri next time I see him.\That's just it.\We have to feign ignorance all the way. response:	Sorry about this.
context: I was curious about how she found out,\but it makes sense if she's a rental girlfriend. She's probably searched my name before.\Huh? Are you famous or something?\Beats me.\Man, I don't know how to face Kuri next time I see him.\That's just it.\We have to feign ignorance all the way.\Sorry about this. response:	You're having to lend me an ear, even though we're not on a date or anything.
context: but it makes sense if she's a rental girlfriend. She's probably searched my name before.\Huh? Are you famous or something?\Beats me.\Man, I don't know how to face Kuri next time I see him.\That's just it.\We have to feign ignorance all the way.\Sorry about this.\You're having to lend me an ear, even though we're not on a date or anything. response:	You really are a nice girl.
context: Huh? Are you famous or something?\Beats me.\Man, I don't know how to face Kuri next time I see him.\That's just it.\We have to feign ignorance all the way.\Sorry about this.\You're having to lend me an ear, even though we're not on a date or anything.\You really are a nice girl. response:	I'm leaving!
context: Beats me.\Man, I don't know how to face Kuri next time I see him.\That's just it.\We have to feign ignorance all the way.\Sorry about this.\You're having to lend me an ear, even though we're not on a date or anything.\You really are a nice girl.\I'm leaving! response:	This was an emergency!
context: Man, I don't know how to face Kuri next time I see him.\That's just it.\We have to feign ignorance all the way.\Sorry about this.\You're having to lend me an ear, even though we're not on a date or anything.\You really are a nice girl.\I'm leaving!\This was an emergency! response:	I would never see you without a booking otherwise!
context: That's just it.\We have to feign ignorance all the way.\Sorry about this.\You're having to lend me an ear, even though we're not on a date or anything.\You really are a nice girl.\I'm leaving!\This was an emergency!\I would never see you without a booking otherwise! response:	R-Right.
context: We have to feign ignorance all the way.\Sorry about this.\You're having to lend me an ear, even though we're not on a date or anything.\You really are a nice girl.\I'm leaving!\This was an emergency!\I would never see you without a booking otherwise!\R-Right. response:	I really, really can't have my grandma finding out about this job.
context: Sorry about this.\You're having to lend me an ear, even though we're not on a date or anything.\You really are a nice girl.\I'm leaving!\This was an emergency!\I would never see you without a booking otherwise!\R-Right.\I really, really can't have my grandma finding out about this job. response:	There's no guarantee that girl won't change her mind,
context: You're having to lend me an ear, even though we're not on a date or anything.\You really are a nice girl.\I'm leaving!\This was an emergency!\I would never see you without a booking otherwise!\R-Right.\I really, really can't have my grandma finding out about this job.\There's no guarantee that girl won't change her mind, response:	so let's keep an eye on those two as much as we can.
context: You really are a nice girl.\I'm leaving!\This was an emergency!\I would never see you without a booking otherwise!\R-Right.\I really, really can't have my grandma finding out about this job.\There's no guarantee that girl won't change her mind,\so let's keep an eye on those two as much as we can. response:	See you.
context: I'm leaving!\This was an emergency!\I would never see you without a booking otherwise!\R-Right.\I really, really can't have my grandma finding out about this job.\There's no guarantee that girl won't change her mind,\so let's keep an eye on those two as much as we can.\See you. response:	Yeah...
context: This was an emergency!\I would never see you without a booking otherwise!\R-Right.\I really, really can't have my grandma finding out about this job.\There's no guarantee that girl won't change her mind,\so let's keep an eye on those two as much as we can.\See you.\Yeah... response:	If anything happens, I need to sort it out!
context: I would never see you without a booking otherwise!\R-Right.\I really, really can't have my grandma finding out about this job.\There's no guarantee that girl won't change her mind,\so let's keep an eye on those two as much as we can.\See you.\Yeah...\If anything happens, I need to sort it out! response:	Damn that Kuri...
context: R-Right.\I really, really can't have my grandma finding out about this job.\There's no guarantee that girl won't change her mind,\so let's keep an eye on those two as much as we can.\See you.\Yeah...\If anything happens, I need to sort it out!\Damn that Kuri... response:	I told him to meet me here at three!
context: I really, really can't have my grandma finding out about this job.\There's no guarantee that girl won't change her mind,\so let's keep an eye on those two as much as we can.\See you.\Yeah...\If anything happens, I need to sort it out!\Damn that Kuri...\I told him to meet me here at three! response:	omw
context: There's no guarantee that girl won't change her mind,\so let's keep an eye on those two as much as we can.\See you.\Yeah...\If anything happens, I need to sort it out!\Damn that Kuri...\I told him to meet me here at three!\omw response:	You're late
context: so let's keep an eye on those two as much as we can.\See you.\Yeah...\If anything happens, I need to sort it out!\Damn that Kuri...\I told him to meet me here at three!\omw\You're late response:	Almost there
context: See you.\Yeah...\If anything happens, I need to sort it out!\Damn that Kuri...\I told him to meet me here at three!\omw\You're late\Almost there response:	I need to ask him when he's seeing Ruka-chan next.
context: Yeah...\If anything happens, I need to sort it out!\Damn that Kuri...\I told him to meet me here at three!\omw\You're late\Almost there\I need to ask him when he's seeing Ruka-chan next. response:	I can't worry about coming off as awkward.
context: If anything happens, I need to sort it out!\Damn that Kuri...\I told him to meet me here at three!\omw\You're late\Almost there\I need to ask him when he's seeing Ruka-chan next.\I can't worry about coming off as awkward. response:	Huh? What's with that girl?
context: Damn that Kuri...\I told him to meet me here at three!\omw\You're late\Almost there\I need to ask him when he's seeing Ruka-chan next.\I can't worry about coming off as awkward.\Huh? What's with that girl? response:	Who?
context: I told him to meet me here at three!\omw\You're late\Almost there\I need to ask him when he's seeing Ruka-chan next.\I can't worry about coming off as awkward.\Huh? What's with that girl?\Who? response:	Whoa, she's a total cutie!
context: omw\You're late\Almost there\I need to ask him when he's seeing Ruka-chan next.\I can't worry about coming off as awkward.\Huh? What's with that girl?\Who?\Whoa, she's a total cutie! response:	Oh, found you, Kazuya-san!
context: You're late\Almost there\I need to ask him when he's seeing Ruka-chan next.\I can't worry about coming off as awkward.\Huh? What's with that girl?\Who?\Whoa, she's a total cutie!\Oh, found you, Kazuya-san! response:	She knows him?
context: Almost there\I need to ask him when he's seeing Ruka-chan next.\I can't worry about coming off as awkward.\Huh? What's with that girl?\Who?\Whoa, she's a total cutie!\Oh, found you, Kazuya-san!\She knows him? response:	His sister?
context: I need to ask him when he's seeing Ruka-chan next.\I can't worry about coming off as awkward.\Huh? What's with that girl?\Who?\Whoa, she's a total cutie!\Oh, found you, Kazuya-san!\She knows him?\His sister? response:	They don't look alike.
context: I can't worry about coming off as awkward.\Huh? What's with that girl?\Who?\Whoa, she's a total cutie!\Oh, found you, Kazuya-san!\She knows him?\His sister?\They don't look alike. response:	Wh-What are you doing here?
context: Huh? What's with that girl?\Who?\Whoa, she's a total cutie!\Oh, found you, Kazuya-san!\She knows him?\His sister?\They don't look alike.\Wh-What are you doing here? response:	Anyone can waltz into a college campus, huh?
context: Who?\Whoa, she's a total cutie!\Oh, found you, Kazuya-san!\She knows him?\His sister?\They don't look alike.\Wh-What are you doing here?\Anyone can waltz into a college campus, huh? response:	Maybe people think I'm a student here.
context: Whoa, she's a total cutie!\Oh, found you, Kazuya-san!\She knows him?\His sister?\They don't look alike.\Wh-What are you doing here?\Anyone can waltz into a college campus, huh?\Maybe people think I'm a student here. response:	When you're dressed like that?
context: Oh, found you, Kazuya-san!\She knows him?\His sister?\They don't look alike.\Wh-What are you doing here?\Anyone can waltz into a college campus, huh?\Maybe people think I'm a student here.\When you're dressed like that? response:	This is just a costume.
context: She knows him?\His sister?\They don't look alike.\Wh-What are you doing here?\Anyone can waltz into a college campus, huh?\Maybe people think I'm a student here.\When you're dressed like that?\This is just a costume. response:	There's no telling
context: His sister?\They don't look alike.\Wh-What are you doing here?\Anyone can waltz into a college campus, huh?\Maybe people think I'm a student here.\When you're dressed like that?\This is just a costume.\There's no telling response:	This is bad news...
context: They don't look alike.\Wh-What are you doing here?\Anyone can waltz into a college campus, huh?\Maybe people think I'm a student here.\When you're dressed like that?\This is just a costume.\There's no telling\This is bad news... response:	if she'll stick
context: Wh-What are you doing here?\Anyone can waltz into a college campus, huh?\Maybe people think I'm a student here.\When you're dressed like that?\This is just a costume.\There's no telling\This is bad news...\if she'll stick response:	What if Kuri shows up now?
context: Anyone can waltz into a college campus, huh?\Maybe people think I'm a student here.\When you're dressed like that?\This is just a costume.\There's no telling\This is bad news...\if she'll stick\What if Kuri shows up now? response:	to the story...
context: Maybe people think I'm a student here.\When you're dressed like that?\This is just a costume.\There's no telling\This is bad news...\if she'll stick\What if Kuri shows up now?\to the story... response:	I'm here to see you, Kazuya-san.
context: When you're dressed like that?\This is just a costume.\There's no telling\This is bad news...\if she'll stick\What if Kuri shows up now?\to the story...\I'm here to see you, Kazuya-san. response:	Huh? Me?
context: This is just a costume.\There's no telling\This is bad news...\if she'll stick\What if Kuri shows up now?\to the story...\I'm here to see you, Kazuya-san.\Huh? Me? response:	K-Kuri!
context: There's no telling\This is bad news...\if she'll stick\What if Kuri shows up now?\to the story...\I'm here to see you, Kazuya-san.\Huh? Me?\K-Kuri! response:	Come with me!
context: This is bad news...\if she'll stick\What if Kuri shows up now?\to the story...\I'm here to see you, Kazuya-san.\Huh? Me?\K-Kuri!\Come with me! response:	Huh?
context: if she'll stick\What if Kuri shows up now?\to the story...\I'm here to see you, Kazuya-san.\Huh? Me?\K-Kuri!\Come with me!\Huh? response:	Have you guys seen Kazuya?
context: What if Kuri shows up now?\to the story...\I'm here to see you, Kazuya-san.\Huh? Me?\K-Kuri!\Come with me!\Huh?\Have you guys seen Kazuya? response:	Yeah. He went that way with a super cute girl.
context: to the story...\I'm here to see you, Kazuya-san.\Huh? Me?\K-Kuri!\Come with me!\Huh?\Have you guys seen Kazuya?\Yeah. He went that way with a super cute girl. response:	A girl?
context: I'm here to see you, Kazuya-san.\Huh? Me?\K-Kuri!\Come with me!\Huh?\Have you guys seen Kazuya?\Yeah. He went that way with a super cute girl.\A girl? response:	We can't do this! If you wanna talk, let's do it off campus!
context: Huh? Me?\K-Kuri!\Come with me!\Huh?\Have you guys seen Kazuya?\Yeah. He went that way with a super cute girl.\A girl?\We can't do this! If you wanna talk, let's do it off campus! response:	Give me a hug.
context: K-Kuri!\Come with me!\Huh?\Have you guys seen Kazuya?\Yeah. He went that way with a super cute girl.\A girl?\We can't do this! If you wanna talk, let's do it off campus!\Give me a hug. response:	It was at 79. Almost there.
context: Come with me!\Huh?\Have you guys seen Kazuya?\Yeah. He went that way with a super cute girl.\A girl?\We can't do this! If you wanna talk, let's do it off campus!\Give me a hug.\It was at 79. Almost there. response:	Kazuya?
context: Huh?\Have you guys seen Kazuya?\Yeah. He went that way with a super cute girl.\A girl?\We can't do this! If you wanna talk, let's do it off campus!\Give me a hug.\It was at 79. Almost there.\Kazuya? response:	Are you kidding me?!
context: Have you guys seen Kazuya?\Yeah. He went that way with a super cute girl.\A girl?\We can't do this! If you wanna talk, let's do it off campus!\Give me a hug.\It was at 79. Almost there.\Kazuya?\Are you kidding me?! response:	That's weird... I thought I heard his voice.
context: Yeah. He went that way with a super cute girl.\A girl?\We can't do this! If you wanna talk, let's do it off campus!\Give me a hug.\It was at 79. Almost there.\Kazuya?\Are you kidding me?!\That's weird... I thought I heard his voice. response:	Can that guy teleport or something?
context: A girl?\We can't do this! If you wanna talk, let's do it off campus!\Give me a hug.\It was at 79. Almost there.\Kazuya?\Are you kidding me?!\That's weird... I thought I heard his voice.\Can that guy teleport or something? response:	Things are getting worse and worse...
context: We can't do this! If you wanna talk, let's do it off campus!\Give me a hug.\It was at 79. Almost there.\Kazuya?\Are you kidding me?!\That's weird... I thought I heard his voice.\Can that guy teleport or something?\Things are getting worse and worse... response:	This ain't the time to be messing with your phone!
context: Give me a hug.\It was at 79. Almost there.\Kazuya?\Are you kidding me?!\That's weird... I thought I heard his voice.\Can that guy teleport or something?\Things are getting worse and worse...\This ain't the time to be messing with your phone! response:	I knew it... I was right!
context: It was at 79. Almost there.\Kazuya?\Are you kidding me?!\That's weird... I thought I heard his voice.\Can that guy teleport or something?\Things are getting worse and worse...\This ain't the time to be messing with your phone!\I knew it... I was right! response:	He's gone... Thank God!
context: Kazuya?\Are you kidding me?!\That's weird... I thought I heard his voice.\Can that guy teleport or something?\Things are getting worse and worse...\This ain't the time to be messing with your phone!\I knew it... I was right!\He's gone... Thank God! response:	Give me a break.
context: Are you kidding me?!\That's weird... I thought I heard his voice.\Can that guy teleport or something?\Things are getting worse and worse...\This ain't the time to be messing with your phone!\I knew it... I was right!\He's gone... Thank God!\Give me a break. response:	How are we supposed to explain ourselves if he finds us together?
context: That's weird... I thought I heard his voice.\Can that guy teleport or something?\Things are getting worse and worse...\This ain't the time to be messing with your phone!\I knew it... I was right!\He's gone... Thank God!\Give me a break.\How are we supposed to explain ourselves if he finds us together? response:	A-Anyway, you should leave for
context: Can that guy teleport or something?\Things are getting worse and worse...\This ain't the time to be messing with your phone!\I knew it... I was right!\He's gone... Thank God!\Give me a break.\How are we supposed to explain ourselves if he finds us together?\A-Anyway, you should leave for response:	What're you doing?
context: Things are getting worse and worse...\This ain't the time to be messing with your phone!\I knew it... I was right!\He's gone... Thank God!\Give me a break.\How are we supposed to explain ourselves if he finds us together?\A-Anyway, you should leave for\What're you doing? response:	K-Kuri!
context: This ain't the time to be messing with your phone!\I knew it... I was right!\He's gone... Thank God!\Give me a break.\How are we supposed to explain ourselves if he finds us together?\A-Anyway, you should leave for\What're you doing?\K-Kuri! response:	Wh-Why are the two of you together?
context: I knew it... I was right!\He's gone... Thank God!\Give me a break.\How are we supposed to explain ourselves if he finds us together?\A-Anyway, you should leave for\What're you doing?\K-Kuri!\Wh-Why are the two of you together? response:	Y-You've got the wrong idea!
context: He's gone... Thank God!\Give me a break.\How are we supposed to explain ourselves if he finds us together?\A-Anyway, you should leave for\What're you doing?\K-Kuri!\Wh-Why are the two of you together?\Y-You've got the wrong idea! response:	I-I just ran into Ruka-chan!
context: Give me a break.\How are we supposed to explain ourselves if he finds us together?\A-Anyway, you should leave for\What're you doing?\K-Kuri!\Wh-Why are the two of you together?\Y-You've got the wrong idea!\I-I just ran into Ruka-chan! response:	She's here to see you.
context: How are we supposed to explain ourselves if he finds us together?\A-Anyway, you should leave for\What're you doing?\K-Kuri!\Wh-Why are the two of you together?\Y-You've got the wrong idea!\I-I just ran into Ruka-chan!\She's here to see you. response:	Right, Ruka-chan?
context: A-Anyway, you should leave for\What're you doing?\K-Kuri!\Wh-Why are the two of you together?\Y-You've got the wrong idea!\I-I just ran into Ruka-chan!\She's here to see you.\Right, Ruka-chan? response:	Kuribayashi-san, thank you for renting me the other day.
context: What're you doing?\K-Kuri!\Wh-Why are the two of you together?\Y-You've got the wrong idea!\I-I just ran into Ruka-chan!\She's here to see you.\Right, Ruka-chan?\Kuribayashi-san, thank you for renting me the other day. response:	R-Ruka-chan?!
context: K-Kuri!\Wh-Why are the two of you together?\Y-You've got the wrong idea!\I-I just ran into Ruka-chan!\She's here to see you.\Right, Ruka-chan?\Kuribayashi-san, thank you for renting me the other day.\R-Ruka-chan?! response:	Cruel! She just murdered him in cold blood!
context: Wh-Why are the two of you together?\Y-You've got the wrong idea!\I-I just ran into Ruka-chan!\She's here to see you.\Right, Ruka-chan?\Kuribayashi-san, thank you for renting me the other day.\R-Ruka-chan?!\Cruel! She just murdered him in cold blood! response:	Kuri!
context: Y-You've got the wrong idea!\I-I just ran into Ruka-chan!\She's here to see you.\Right, Ruka-chan?\Kuribayashi-san, thank you for renting me the other day.\R-Ruka-chan?!\Cruel! She just murdered him in cold blood!\Kuri! response:	Sorry, you should leave.
context: I-I just ran into Ruka-chan!\She's here to see you.\Right, Ruka-chan?\Kuribayashi-san, thank you for renting me the other day.\R-Ruka-chan?!\Cruel! She just murdered him in cold blood!\Kuri!\Sorry, you should leave. response:	Kuri!
context: She's here to see you.\Right, Ruka-chan?\Kuribayashi-san, thank you for renting me the other day.\R-Ruka-chan?!\Cruel! She just murdered him in cold blood!\Kuri!\Sorry, you should leave.\Kuri! response:	Damn, I lost him.
context: Right, Ruka-chan?\Kuribayashi-san, thank you for renting me the other day.\R-Ruka-chan?!\Cruel! She just murdered him in cold blood!\Kuri!\Sorry, you should leave.\Kuri!\Damn, I lost him. response:	Well, yeah, his friend just found out his girlfriend was a rental.
context: Kuribayashi-san, thank you for renting me the other day.\R-Ruka-chan?!\Cruel! She just murdered him in cold blood!\Kuri!\Sorry, you should leave.\Kuri!\Damn, I lost him.\Well, yeah, his friend just found out his girlfriend was a rental. response:	Of course he'd want to crawl into a hole.
context: R-Ruka-chan?!\Cruel! She just murdered him in cold blood!\Kuri!\Sorry, you should leave.\Kuri!\Damn, I lost him.\Well, yeah, his friend just found out his girlfriend was a rental.\Of course he'd want to crawl into a hole. response:	Today him, tomorrow me
context: Cruel! She just murdered him in cold blood!\Kuri!\Sorry, you should leave.\Kuri!\Damn, I lost him.\Well, yeah, his friend just found out his girlfriend was a rental.\Of course he'd want to crawl into a hole.\Today him, tomorrow me response:	Ichinose
context: Kuri!\Sorry, you should leave.\Kuri!\Damn, I lost him.\Well, yeah, his friend just found out his girlfriend was a rental.\Of course he'd want to crawl into a hole.\Today him, tomorrow me\Ichinose response:	What? She said it?
context: Sorry, you should leave.\Kuri!\Damn, I lost him.\Well, yeah, his friend just found out his girlfriend was a rental.\Of course he'd want to crawl into a hole.\Today him, tomorrow me\Ichinose\What? She said it? response:	In front of both of you?
context: Kuri!\Damn, I lost him.\Well, yeah, his friend just found out his girlfriend was a rental.\Of course he'd want to crawl into a hole.\Today him, tomorrow me\Ichinose\What? She said it?\In front of both of you? response:	Yeah... Not like there was another way to worm out of that situation.
context: Damn, I lost him.\Well, yeah, his friend just found out his girlfriend was a rental.\Of course he'd want to crawl into a hole.\Today him, tomorrow me\Ichinose\What? She said it?\In front of both of you?\Yeah... Not like there was another way to worm out of that situation. response:	But I feel so bad for Kuri-kun.
context: Well, yeah, his friend just found out his girlfriend was a rental.\Of course he'd want to crawl into a hole.\Today him, tomorrow me\Ichinose\What? She said it?\In front of both of you?\Yeah... Not like there was another way to worm out of that situation.\But I feel so bad for Kuri-kun. response:	Still, this means he won't rent her anymore,
context: Of course he'd want to crawl into a hole.\Today him, tomorrow me\Ichinose\What? She said it?\In front of both of you?\Yeah... Not like there was another way to worm out of that situation.\But I feel so bad for Kuri-kun.\Still, this means he won't rent her anymore, response:	which reduces the chances of him finding out about us.
context: Today him, tomorrow me\Ichinose\What? She said it?\In front of both of you?\Yeah... Not like there was another way to worm out of that situation.\But I feel so bad for Kuri-kun.\Still, this means he won't rent her anymore,\which reduces the chances of him finding out about us. response:	What is it?
context: Ichinose\What? She said it?\In front of both of you?\Yeah... Not like there was another way to worm out of that situation.\But I feel so bad for Kuri-kun.\Still, this means he won't rent her anymore,\which reduces the chances of him finding out about us.\What is it? response:	Uh, something about that girl bothers me.
context: What? She said it?\In front of both of you?\Yeah... Not like there was another way to worm out of that situation.\But I feel so bad for Kuri-kun.\Still, this means he won't rent her anymore,\which reduces the chances of him finding out about us.\What is it?\Uh, something about that girl bothers me. response:	And what is that?
context: In front of both of you?\Yeah... Not like there was another way to worm out of that situation.\But I feel so bad for Kuri-kun.\Still, this means he won't rent her anymore,\which reduces the chances of him finding out about us.\What is it?\Uh, something about that girl bothers me.\And what is that? response:	It was like she'd made up her mind about something.
context: Yeah... Not like there was another way to worm out of that situation.\But I feel so bad for Kuri-kun.\Still, this means he won't rent her anymore,\which reduces the chances of him finding out about us.\What is it?\Uh, something about that girl bothers me.\And what is that?\It was like she'd made up her mind about something. response:	She had this serious look on her face.
context: But I feel so bad for Kuri-kun.\Still, this means he won't rent her anymore,\which reduces the chances of him finding out about us.\What is it?\Uh, something about that girl bothers me.\And what is that?\It was like she'd made up her mind about something.\She had this serious look on her face. response:	R-Ruka-chan?!
context: Still, this means he won't rent her anymore,\which reduces the chances of him finding out about us.\What is it?\Uh, something about that girl bothers me.\And what is that?\It was like she'd made up her mind about something.\She had this serious look on her face.\R-Ruka-chan?! response:	Wh-Why are you here?
context: which reduces the chances of him finding out about us.\What is it?\Uh, something about that girl bothers me.\And what is that?\It was like she'd made up her mind about something.\She had this serious look on her face.\R-Ruka-chan?!\Wh-Why are you here? response:	When we passed by here on a date, Kuribayashi-san told me...
context: What is it?\Uh, something about that girl bothers me.\And what is that?\It was like she'd made up her mind about something.\She had this serious look on her face.\R-Ruka-chan?!\Wh-Why are you here?\When we passed by here on a date, Kuribayashi-san told me... response:	that you live here.
context: Uh, something about that girl bothers me.\And what is that?\It was like she'd made up her mind about something.\She had this serious look on her face.\R-Ruka-chan?!\Wh-Why are you here?\When we passed by here on a date, Kuribayashi-san told me...\that you live here. response:	That voice was Chizuru-san, wasn't it?
context: And what is that?\It was like she'd made up her mind about something.\She had this serious look on her face.\R-Ruka-chan?!\Wh-Why are you here?\When we passed by here on a date, Kuribayashi-san told me...\that you live here.\That voice was Chizuru-san, wasn't it? response:	Are you two neighbors?
context: It was like she'd made up her mind about something.\She had this serious look on her face.\R-Ruka-chan?!\Wh-Why are you here?\When we passed by here on a date, Kuribayashi-san told me...\that you live here.\That voice was Chizuru-san, wasn't it?\Are you two neighbors? response:	Why are you two so close?
context: She had this serious look on her face.\R-Ruka-chan?!\Wh-Why are you here?\When we passed by here on a date, Kuribayashi-san told me...\that you live here.\That voice was Chizuru-san, wasn't it?\Are you two neighbors?\Why are you two so close? response:	She's a rental girlfriend, isn't she?
context: R-Ruka-chan?!\Wh-Why are you here?\When we passed by here on a date, Kuribayashi-san told me...\that you live here.\That voice was Chizuru-san, wasn't it?\Are you two neighbors?\Why are you two so close?\She's a rental girlfriend, isn't she? response:	You pay her to go on a date, and that's that!
context: Wh-Why are you here?\When we passed by here on a date, Kuribayashi-san told me...\that you live here.\That voice was Chizuru-san, wasn't it?\Are you two neighbors?\Why are you two so close?\She's a rental girlfriend, isn't she?\You pay her to go on a date, and that's that! response:	That's the extent of your relationship, right?
context: When we passed by here on a date, Kuribayashi-san told me...\that you live here.\That voice was Chizuru-san, wasn't it?\Are you two neighbors?\Why are you two so close?\She's a rental girlfriend, isn't she?\You pay her to go on a date, and that's that!\That's the extent of your relationship, right? response:	H-Hey, Ruka-chan!
context: that you live here.\That voice was Chizuru-san, wasn't it?\Are you two neighbors?\Why are you two so close?\She's a rental girlfriend, isn't she?\You pay her to go on a date, and that's that!\That's the extent of your relationship, right?\H-Hey, Ruka-chan! response:	No!
context: That voice was Chizuru-san, wasn't it?\Are you two neighbors?\Why are you two so close?\She's a rental girlfriend, isn't she?\You pay her to go on a date, and that's that!\That's the extent of your relationship, right?\H-Hey, Ruka-chan!\No! response:	No! I hate this!
context: Are you two neighbors?\Why are you two so close?\She's a rental girlfriend, isn't she?\You pay her to go on a date, and that's that!\That's the extent of your relationship, right?\H-Hey, Ruka-chan!\No!\No! I hate this! response:	I, Sarashina Ruka, promise here and now
context: Why are you two so close?\She's a rental girlfriend, isn't she?\You pay her to go on a date, and that's that!\That's the extent of your relationship, right?\H-Hey, Ruka-chan!\No!\No! I hate this!\I, Sarashina Ruka, promise here and now response:	that I won't tell anyone about your fake relationship or Mizuhara Chizuru-san's job!
context: She's a rental girlfriend, isn't she?\You pay her to go on a date, and that's that!\That's the extent of your relationship, right?\H-Hey, Ruka-chan!\No!\No! I hate this!\I, Sarashina Ruka, promise here and now\that I won't tell anyone about your fake relationship or Mizuhara Chizuru-san's job! response:	But only if you go out with me, Kazuya-kun!
context: You pay her to go on a date, and that's that!\That's the extent of your relationship, right?\H-Hey, Ruka-chan!\No!\No! I hate this!\I, Sarashina Ruka, promise here and now\that I won't tell anyone about your fake relationship or Mizuhara Chizuru-san's job!\But only if you go out with me, Kazuya-kun! response:	Rent - A - Girlfriend
context: That's the extent of your relationship, right?\H-Hey, Ruka-chan!\No!\No! I hate this!\I, Sarashina Ruka, promise here and now\that I won't tell anyone about your fake relationship or Mizuhara Chizuru-san's job!\But only if you go out with me, Kazuya-kun!\Rent - A - Girlfriend response:	What?
context: H-Hey, Ruka-chan!\No!\No! I hate this!\I, Sarashina Ruka, promise here and now\that I won't tell anyone about your fake relationship or Mizuhara Chizuru-san's job!\But only if you go out with me, Kazuya-kun!\Rent - A - Girlfriend\What? response:	What?
context: No!\No! I hate this!\I, Sarashina Ruka, promise here and now\that I won't tell anyone about your fake relationship or Mizuhara Chizuru-san's job!\But only if you go out with me, Kazuya-kun!\Rent - A - Girlfriend\What?\What? response:	Wait, what?
context: No! I hate this!\I, Sarashina Ruka, promise here and now\that I won't tell anyone about your fake relationship or Mizuhara Chizuru-san's job!\But only if you go out with me, Kazuya-kun!\Rent - A - Girlfriend\What?\What?\Wait, what? response:	H-Hang on! How'd we get to that?
context: I, Sarashina Ruka, promise here and now\that I won't tell anyone about your fake relationship or Mizuhara Chizuru-san's job!\But only if you go out with me, Kazuya-kun!\Rent - A - Girlfriend\What?\What?\Wait, what?\H-Hang on! How'd we get to that? response:	You're the first person to cross 90.
context: that I won't tell anyone about your fake relationship or Mizuhara Chizuru-san's job!\But only if you go out with me, Kazuya-kun!\Rent - A - Girlfriend\What?\What?\Wait, what?\H-Hang on! How'd we get to that?\You're the first person to cross 90. response:	I like you!
context: But only if you go out with me, Kazuya-kun!\Rent - A - Girlfriend\What?\What?\Wait, what?\H-Hang on! How'd we get to that?\You're the first person to cross 90.\I like you! response:	I like you, Kazuya-kun!
context: Rent - A - Girlfriend\What?\What?\Wait, what?\H-Hang on! How'd we get to that?\You're the first person to cross 90.\I like you!\I like you, Kazuya-kun! response:	Sh-She... likes... me?
context: What?\What?\Wait, what?\H-Hang on! How'd we get to that?\You're the first person to cross 90.\I like you!\I like you, Kazuya-kun!\Sh-She... likes... me? response:	What are you saying? You shouldn't mess with grown-ups like that!
context: What?\Wait, what?\H-Hang on! How'd we get to that?\You're the first person to cross 90.\I like you!\I like you, Kazuya-kun!\Sh-She... likes... me?\What are you saying? You shouldn't mess with grown-ups like that! response:	You have no reason to fall for me!
context: Wait, what?\H-Hang on! How'd we get to that?\You're the first person to cross 90.\I like you!\I like you, Kazuya-kun!\Sh-She... likes... me?\What are you saying? You shouldn't mess with grown-ups like that!\You have no reason to fall for me! response:	I'm serious.
context: H-Hang on! How'd we get to that?\You're the first person to cross 90.\I like you!\I like you, Kazuya-kun!\Sh-She... likes... me?\What are you saying? You shouldn't mess with grown-ups like that!\You have no reason to fall for me!\I'm serious. response:	Between what happened on the ferry and the double date...
context: You're the first person to cross 90.\I like you!\I like you, Kazuya-kun!\Sh-She... likes... me?\What are you saying? You shouldn't mess with grown-ups like that!\You have no reason to fall for me!\I'm serious.\Between what happened on the ferry and the double date... response:	It shocked me to see how much you care for Chizuru-san.
context: I like you!\I like you, Kazuya-kun!\Sh-She... likes... me?\What are you saying? You shouldn't mess with grown-ups like that!\You have no reason to fall for me!\I'm serious.\Between what happened on the ferry and the double date...\It shocked me to see how much you care for Chizuru-san. response:	If you care so much for a rental girlfriend,
