context: Let's move! response:	Hange?
context: I've made up my mind.\Right now, what I need is information.\I need to figure out everything I can from these guys.\And then I'll make my escape.\To do that, I need...\Information Available for Public Disclosure\Titan Regeneration Those with the power to become Titans possess an inherent ability to regenerate. Their limbs can be dismembered and their internal organs destroyed, but as long as they survive, their bodies will regenerate back to normal given sufficient time.\Titan spotted at three'o clock! Fire the smoke! response:	Smoke shell confirmed on the right wing!
context: Right now, what I need is information.\I need to figure out everything I can from these guys.\And then I'll make my escape.\To do that, I need...\Information Available for Public Disclosure\Titan Regeneration Those with the power to become Titans possess an inherent ability to regenerate. Their limbs can be dismembered and their internal organs destroyed, but as long as they survive, their bodies will regenerate back to normal given sufficient time.\Titan spotted at three'o clock! Fire the smoke!\Smoke shell confirmed on the right wing! response:	Do not change direction!
context: I need to figure out everything I can from these guys.\And then I'll make my escape.\To do that, I need...\Information Available for Public Disclosure\Titan Regeneration Those with the power to become Titans possess an inherent ability to regenerate. Their limbs can be dismembered and their internal organs destroyed, but as long as they survive, their bodies will regenerate back to normal given sufficient time.\Titan spotted at three'o clock! Fire the smoke!\Smoke shell confirmed on the right wing!\Do not change direction! response:	Have the right wing merge with the center and hold course!
context: And then I'll make my escape.\To do that, I need...\Information Available for Public Disclosure\Titan Regeneration Those with the power to become Titans possess an inherent ability to regenerate. Their limbs can be dismembered and their internal organs destroyed, but as long as they survive, their bodies will regenerate back to normal given sufficient time.\Titan spotted at three'o clock! Fire the smoke!\Smoke shell confirmed on the right wing!\Do not change direction!\Have the right wing merge with the center and hold course! response:	We only have until sunset!
context: To do that, I need...\Information Available for Public Disclosure\Titan Regeneration Those with the power to become Titans possess an inherent ability to regenerate. Their limbs can be dismembered and their internal organs destroyed, but as long as they survive, their bodies will regenerate back to normal given sufficient time.\Titan spotted at three'o clock! Fire the smoke!\Smoke shell confirmed on the right wing!\Do not change direction!\Have the right wing merge with the center and hold course!\We only have until sunset! response:	We must take the shortest possible path!
context: Information Available for Public Disclosure\Titan Regeneration Those with the power to become Titans possess an inherent ability to regenerate. Their limbs can be dismembered and their internal organs destroyed, but as long as they survive, their bodies will regenerate back to normal given sufficient time.\Titan spotted at three'o clock! Fire the smoke!\Smoke shell confirmed on the right wing!\Do not change direction!\Have the right wing merge with the center and hold course!\We only have until sunset!\We must take the shortest possible path! response:	Mikasa.
context: Titan Regeneration Those with the power to become Titans possess an inherent ability to regenerate. Their limbs can be dismembered and their internal organs destroyed, but as long as they survive, their bodies will regenerate back to normal given sufficient time.\Titan spotted at three'o clock! Fire the smoke!\Smoke shell confirmed on the right wing!\Do not change direction!\Have the right wing merge with the center and hold course!\We only have until sunset!\We must take the shortest possible path!\Mikasa. response:	Hey, Mikasa!
context: Titan spotted at three'o clock! Fire the smoke!\Smoke shell confirmed on the right wing!\Do not change direction!\Have the right wing merge with the center and hold course!\We only have until sunset!\We must take the shortest possible path!\Mikasa.\Hey, Mikasa! response:	Mikasa!
context: Smoke shell confirmed on the right wing!\Do not change direction!\Have the right wing merge with the center and hold course!\We only have until sunset!\We must take the shortest possible path!\Mikasa.\Hey, Mikasa!\Mikasa! response:	Stop pushing so hard.
context: Do not change direction!\Have the right wing merge with the center and hold course!\We only have until sunset!\We must take the shortest possible path!\Mikasa.\Hey, Mikasa!\Mikasa!\Stop pushing so hard. response:	You're drifting near the vanguard.
context: Have the right wing merge with the center and hold course!\We only have until sunset!\We must take the shortest possible path!\Mikasa.\Hey, Mikasa!\Mikasa!\Stop pushing so hard.\You're drifting near the vanguard. response:	It'll ruin the whole formation.
context: We only have until sunset!\We must take the shortest possible path!\Mikasa.\Hey, Mikasa!\Mikasa!\Stop pushing so hard.\You're drifting near the vanguard.\It'll ruin the whole formation. response:	I know how you feel, but... didn't I tell you?
context: We must take the shortest possible path!\Mikasa.\Hey, Mikasa!\Mikasa!\Stop pushing so hard.\You're drifting near the vanguard.\It'll ruin the whole formation.\I know how you feel, but... didn't I tell you? response:	Eren won't get taken away without putting up a fight.
context: Mikasa.\Hey, Mikasa!\Mikasa!\Stop pushing so hard.\You're drifting near the vanguard.\It'll ruin the whole formation.\I know how you feel, but... didn't I tell you?\Eren won't get taken away without putting up a fight. response:	Don't you agree?
context: Hey, Mikasa!\Mikasa!\Stop pushing so hard.\You're drifting near the vanguard.\It'll ruin the whole formation.\I know how you feel, but... didn't I tell you?\Eren won't get taken away without putting up a fight.\Don't you agree? response:	You know he'll never give up.
context: Mikasa!\Stop pushing so hard.\You're drifting near the vanguard.\It'll ruin the whole formation.\I know how you feel, but... didn't I tell you?\Eren won't get taken away without putting up a fight.\Don't you agree?\You know he'll never give up. response:	So it's up to us to stay calm and be there when he needs us.
context: Stop pushing so hard.\You're drifting near the vanguard.\It'll ruin the whole formation.\I know how you feel, but... didn't I tell you?\Eren won't get taken away without putting up a fight.\Don't you agree?\You know he'll never give up.\So it's up to us to stay calm and be there when he needs us. response:	Just like we did back then.
context: You're drifting near the vanguard.\It'll ruin the whole formation.\I know how you feel, but... didn't I tell you?\Eren won't get taken away without putting up a fight.\Don't you agree?\You know he'll never give up.\So it's up to us to stay calm and be there when he needs us.\Just like we did back then. response:	Reiner.
context: It'll ruin the whole formation.\I know how you feel, but... didn't I tell you?\Eren won't get taken away without putting up a fight.\Don't you agree?\You know he'll never give up.\So it's up to us to stay calm and be there when he needs us.\Just like we did back then.\Reiner. response:	You got any water?
context: I know how you feel, but... didn't I tell you?\Eren won't get taken away without putting up a fight.\Don't you agree?\You know he'll never give up.\So it's up to us to stay calm and be there when he needs us.\Just like we did back then.\Reiner.\You got any water? response:	If I don't get some soon, I'm going to dry up and die.
context: Eren won't get taken away without putting up a fight.\Don't you agree?\You know he'll never give up.\So it's up to us to stay calm and be there when he needs us.\Just like we did back then.\Reiner.\You got any water?\If I don't get some soon, I'm going to dry up and die. response:	Even if it's a matter of life and death,
context: Don't you agree?\You know he'll never give up.\So it's up to us to stay calm and be there when he needs us.\Just like we did back then.\Reiner.\You got any water?\If I don't get some soon, I'm going to dry up and die.\Even if it's a matter of life and death, response:	there's nothing we can do given our situation.
context: You know he'll never give up.\So it's up to us to stay calm and be there when he needs us.\Just like we did back then.\Reiner.\You got any water?\If I don't get some soon, I'm going to dry up and die.\Even if it's a matter of life and death,\there's nothing we can do given our situation. response:	He's completely right... This situation couldn't be any shittier.
context: So it's up to us to stay calm and be there when he needs us.\Just like we did back then.\Reiner.\You got any water?\If I don't get some soon, I'm going to dry up and die.\Even if it's a matter of life and death,\there's nothing we can do given our situation.\He's completely right... This situation couldn't be any shittier. response:	Speaking of which...
context: Just like we did back then.\Reiner.\You got any water?\If I don't get some soon, I'm going to dry up and die.\Even if it's a matter of life and death,\there's nothing we can do given our situation.\He's completely right... This situation couldn't be any shittier.\Speaking of which... response:	Ever since the Titans showed up yesterday morning,
context: Reiner.\You got any water?\If I don't get some soon, I'm going to dry up and die.\Even if it's a matter of life and death,\there's nothing we can do given our situation.\He's completely right... This situation couldn't be any shittier.\Speaking of which...\Ever since the Titans showed up yesterday morning, response:	we've been working our asses off.
context: You got any water?\If I don't get some soon, I'm going to dry up and die.\Even if it's a matter of life and death,\there's nothing we can do given our situation.\He's completely right... This situation couldn't be any shittier.\Speaking of which...\Ever since the Titans showed up yesterday morning,\we've been working our asses off. response:	With nothing to eat or drink and not even a wink of sleep.
context: If I don't get some soon, I'm going to dry up and die.\Even if it's a matter of life and death,\there's nothing we can do given our situation.\He's completely right... This situation couldn't be any shittier.\Speaking of which...\Ever since the Titans showed up yesterday morning,\we've been working our asses off.\With nothing to eat or drink and not even a wink of sleep. response:	Fortunately, the wall wasn't broken or anything.
context: Even if it's a matter of life and death,\there's nothing we can do given our situation.\He's completely right... This situation couldn't be any shittier.\Speaking of which...\Ever since the Titans showed up yesterday morning,\we've been working our asses off.\With nothing to eat or drink and not even a wink of sleep.\Fortunately, the wall wasn't broken or anything. response:	So I think we deserve to take a break for once.
context: there's nothing we can do given our situation.\He's completely right... This situation couldn't be any shittier.\Speaking of which...\Ever since the Titans showed up yesterday morning,\we've been working our asses off.\With nothing to eat or drink and not even a wink of sleep.\Fortunately, the wall wasn't broken or anything.\So I think we deserve to take a break for once. response:	We'll see about getting promoted later.
context: He's completely right... This situation couldn't be any shittier.\Speaking of which...\Ever since the Titans showed up yesterday morning,\we've been working our asses off.\With nothing to eat or drink and not even a wink of sleep.\Fortunately, the wall wasn't broken or anything.\So I think we deserve to take a break for once.\We'll see about getting promoted later. response:	Reiner...
context: Speaking of which...\Ever since the Titans showed up yesterday morning,\we've been working our asses off.\With nothing to eat or drink and not even a wink of sleep.\Fortunately, the wall wasn't broken or anything.\So I think we deserve to take a break for once.\We'll see about getting promoted later.\Reiner... response:	What? We've done plenty enough to deserve it.
context: Ever since the Titans showed up yesterday morning,\we've been working our asses off.\With nothing to eat or drink and not even a wink of sleep.\Fortunately, the wall wasn't broken or anything.\So I think we deserve to take a break for once.\We'll see about getting promoted later.\Reiner...\What? We've done plenty enough to deserve it. response:	I think we've performed outstandingly, considering all we've been put through.
context: we've been working our asses off.\With nothing to eat or drink and not even a wink of sleep.\Fortunately, the wall wasn't broken or anything.\So I think we deserve to take a break for once.\We'll see about getting promoted later.\Reiner...\What? We've done plenty enough to deserve it.\I think we've performed outstandingly, considering all we've been put through. response:	I know soldiers like us are expected to fulfill their duties, but...
context: With nothing to eat or drink and not even a wink of sleep.\Fortunately, the wall wasn't broken or anything.\So I think we deserve to take a break for once.\We'll see about getting promoted later.\Reiner...\What? We've done plenty enough to deserve it.\I think we've performed outstandingly, considering all we've been put through.\I know soldiers like us are expected to fulfill their duties, but... response:	I think we've all earned it.
context: Fortunately, the wall wasn't broken or anything.\So I think we deserve to take a break for once.\We'll see about getting promoted later.\Reiner...\What? We've done plenty enough to deserve it.\I think we've performed outstandingly, considering all we've been put through.\I know soldiers like us are expected to fulfill their duties, but...\I think we've all earned it. response:	Reiner...
context: So I think we deserve to take a break for once.\We'll see about getting promoted later.\Reiner...\What? We've done plenty enough to deserve it.\I think we've performed outstandingly, considering all we've been put through.\I know soldiers like us are expected to fulfill their duties, but...\I think we've all earned it.\Reiner... response:	What in the world are you talking about?
context: We'll see about getting promoted later.\Reiner...\What? We've done plenty enough to deserve it.\I think we've performed outstandingly, considering all we've been put through.\I know soldiers like us are expected to fulfill their duties, but...\I think we've all earned it.\Reiner...\What in the world are you talking about? response:	Huh? What do you mean?
context: Reiner...\What? We've done plenty enough to deserve it.\I think we've performed outstandingly, considering all we've been put through.\I know soldiers like us are expected to fulfill their duties, but...\I think we've all earned it.\Reiner...\What in the world are you talking about?\Huh? What do you mean? response:	I'm not saying we go demand to be promoted to captains or anything.
context: What? We've done plenty enough to deserve it.\I think we've performed outstandingly, considering all we've been put through.\I know soldiers like us are expected to fulfill their duties, but...\I think we've all earned it.\Reiner...\What in the world are you talking about?\Huh? What do you mean?\I'm not saying we go demand to be promoted to captains or anything. response:	That's... not what I mean.
context: I think we've performed outstandingly, considering all we've been put through.\I know soldiers like us are expected to fulfill their duties, but...\I think we've all earned it.\Reiner...\What in the world are you talking about?\Huh? What do you mean?\I'm not saying we go demand to be promoted to captains or anything.\That's... not what I mean. response:	Oh, yeah. Where did you all get that cannon from?
context: I know soldiers like us are expected to fulfill their duties, but...\I think we've all earned it.\Reiner...\What in the world are you talking about?\Huh? What do you mean?\I'm not saying we go demand to be promoted to captains or anything.\That's... not what I mean.\Oh, yeah. Where did you all get that cannon from? response:	That really saved my ass.
context: I think we've all earned it.\Reiner...\What in the world are you talking about?\Huh? What do you mean?\I'm not saying we go demand to be promoted to captains or anything.\That's... not what I mean.\Oh, yeah. Where did you all get that cannon from?\That really saved my ass. response:	It's a good thing Christa helped me after that.
context: Reiner...\What in the world are you talking about?\Huh? What do you mean?\I'm not saying we go demand to be promoted to captains or anything.\That's... not what I mean.\Oh, yeah. Where did you all get that cannon from?\That really saved my ass.\It's a good thing Christa helped me after that. response:	To be honest, I think she has a thing for me.
context: What in the world are you talking about?\Huh? What do you mean?\I'm not saying we go demand to be promoted to captains or anything.\That's... not what I mean.\Oh, yeah. Where did you all get that cannon from?\That really saved my ass.\It's a good thing Christa helped me after that.\To be honest, I think she has a thing for me. response:	Hey...
context: Huh? What do you mean?\I'm not saying we go demand to be promoted to captains or anything.\That's... not what I mean.\Oh, yeah. Where did you all get that cannon from?\That really saved my ass.\It's a good thing Christa helped me after that.\To be honest, I think she has a thing for me.\Hey... response:	Now that I think about it, Christa has always treated me especially-
context: I'm not saying we go demand to be promoted to captains or anything.\That's... not what I mean.\Oh, yeah. Where did you all get that cannon from?\That really saved my ass.\It's a good thing Christa helped me after that.\To be honest, I think she has a thing for me.\Hey...\Now that I think about it, Christa has always treated me especially- response:	Hey!
context: That's... not what I mean.\Oh, yeah. Where did you all get that cannon from?\That really saved my ass.\It's a good thing Christa helped me after that.\To be honest, I think she has a thing for me.\Hey...\Now that I think about it, Christa has always treated me especially-\Hey! response:	You bastard... You've gotta be kidding me.
context: Oh, yeah. Where did you all get that cannon from?\That really saved my ass.\It's a good thing Christa helped me after that.\To be honest, I think she has a thing for me.\Hey...\Now that I think about it, Christa has always treated me especially-\Hey!\You bastard... You've gotta be kidding me. response:	Huh?
context: That really saved my ass.\It's a good thing Christa helped me after that.\To be honest, I think she has a thing for me.\Hey...\Now that I think about it, Christa has always treated me especially-\Hey!\You bastard... You've gotta be kidding me.\Huh? response:	What are you so angry about, Eren?
context: It's a good thing Christa helped me after that.\To be honest, I think she has a thing for me.\Hey...\Now that I think about it, Christa has always treated me especially-\Hey!\You bastard... You've gotta be kidding me.\Huh?\What are you so angry about, Eren? response:	Did I... say something wrong?
context: To be honest, I think she has a thing for me.\Hey...\Now that I think about it, Christa has always treated me especially-\Hey!\You bastard... You've gotta be kidding me.\Huh?\What are you so angry about, Eren?\Did I... say something wrong? response:	If you want to die, just keep talking!
context: Hey...\Now that I think about it, Christa has always treated me especially-\Hey!\You bastard... You've gotta be kidding me.\Huh?\What are you so angry about, Eren?\Did I... say something wrong?\If you want to die, just keep talking! response:	Hold up, Eren.
context: Now that I think about it, Christa has always treated me especially-\Hey!\You bastard... You've gotta be kidding me.\Huh?\What are you so angry about, Eren?\Did I... say something wrong?\If you want to die, just keep talking!\Hold up, Eren. response:	This isn't normal, no matter how you look at it.
context: Hey!\You bastard... You've gotta be kidding me.\Huh?\What are you so angry about, Eren?\Did I... say something wrong?\If you want to die, just keep talking!\Hold up, Eren.\This isn't normal, no matter how you look at it. response:	Isn't that right, Bertholdt?
context: You bastard... You've gotta be kidding me.\Huh?\What are you so angry about, Eren?\Did I... say something wrong?\If you want to die, just keep talking!\Hold up, Eren.\This isn't normal, no matter how you look at it.\Isn't that right, Bertholdt? response:	If you know something, quit with the silence and come out and say it.
context: Huh?\What are you so angry about, Eren?\Did I... say something wrong?\If you want to die, just keep talking!\Hold up, Eren.\This isn't normal, no matter how you look at it.\Isn't that right, Bertholdt?\If you know something, quit with the silence and come out and say it. response:	Huh?
context: What are you so angry about, Eren?\Did I... say something wrong?\If you want to die, just keep talking!\Hold up, Eren.\This isn't normal, no matter how you look at it.\Isn't that right, Bertholdt?\If you know something, quit with the silence and come out and say it.\Huh? response:	Reiner...
context: Did I... say something wrong?\If you want to die, just keep talking!\Hold up, Eren.\This isn't normal, no matter how you look at it.\Isn't that right, Bertholdt?\If you know something, quit with the silence and come out and say it.\Huh?\Reiner... response:	You're not... a soldier, remember?
context: If you want to die, just keep talking!\Hold up, Eren.\This isn't normal, no matter how you look at it.\Isn't that right, Bertholdt?\If you know something, quit with the silence and come out and say it.\Huh?\Reiner...\You're not... a soldier, remember? response:	You and I...
context: Hold up, Eren.\This isn't normal, no matter how you look at it.\Isn't that right, Bertholdt?\If you know something, quit with the silence and come out and say it.\Huh?\Reiner...\You're not... a soldier, remember?\You and I... response:	Reiner!
context: This isn't normal, no matter how you look at it.\Isn't that right, Bertholdt?\If you know something, quit with the silence and come out and say it.\Huh?\Reiner...\You're not... a soldier, remember?\You and I...\Reiner! response:	What are you doing?!
context: Isn't that right, Bertholdt?\If you know something, quit with the silence and come out and say it.\Huh?\Reiner...\You're not... a soldier, remember?\You and I...\Reiner!\What are you doing?! response:	Hey...
context: If you know something, quit with the silence and come out and say it.\Huh?\Reiner...\You're not... a soldier, remember?\You and I...\Reiner!\What are you doing?!\Hey... response:	Why...
context: Huh?\Reiner...\You're not... a soldier, remember?\You and I...\Reiner!\What are you doing?!\Hey...\Why... response:	Right.
context: Reiner...\You're not... a soldier, remember?\You and I...\Reiner!\What are you doing?!\Hey...\Why...\Right. response:	That's... how it is.
context: You're not... a soldier, remember?\You and I...\Reiner!\What are you doing?!\Hey...\Why...\Right.\That's... how it is. response:	Huh?
context: You and I...\Reiner!\What are you doing?!\Hey...\Why...\Right.\That's... how it is.\Huh? response:	What's he doing?
context: Reiner!\What are you doing?!\Hey...\Why...\Right.\That's... how it is.\Huh?\What's he doing? response:	More or less, I think I've figured it out.
context: What are you doing?!\Hey...\Why...\Right.\That's... how it is.\Huh?\What's he doing?\More or less, I think I've figured it out. response:	I thought it was strange.
context: Hey...\Why...\Right.\That's... how it is.\Huh?\What's he doing?\More or less, I think I've figured it out.\I thought it was strange. response:	Why would the guy who broke the wall risk his life to save Conny?
context: Why...\Right.\That's... how it is.\Huh?\What's he doing?\More or less, I think I've figured it out.\I thought it was strange.\Why would the guy who broke the wall risk his life to save Conny? response:	Everything he does is contradictory, but he doesn't realize it himself.
context: Right.\That's... how it is.\Huh?\What's he doing?\More or less, I think I've figured it out.\I thought it was strange.\Why would the guy who broke the wall risk his life to save Conny?\Everything he does is contradictory, but he doesn't realize it himself. response:	I don't know why he ended up like this, but probably...
context: That's... how it is.\Huh?\What's he doing?\More or less, I think I've figured it out.\I thought it was strange.\Why would the guy who broke the wall risk his life to save Conny?\Everything he does is contradictory, but he doesn't realize it himself.\I don't know why he ended up like this, but probably... response:	He was originally a warrior whose goal was to break the wall, but...
context: Huh?\What's he doing?\More or less, I think I've figured it out.\I thought it was strange.\Why would the guy who broke the wall risk his life to save Conny?\Everything he does is contradictory, but he doesn't realize it himself.\I don't know why he ended up like this, but probably...\He was originally a warrior whose goal was to break the wall, but... response:	he lost sight of who he was and couldn't tell which one was real.
context: What's he doing?\More or less, I think I've figured it out.\I thought it was strange.\Why would the guy who broke the wall risk his life to save Conny?\Everything he does is contradictory, but he doesn't realize it himself.\I don't know why he ended up like this, but probably...\He was originally a warrior whose goal was to break the wall, but...\he lost sight of who he was and couldn't tell which one was real. response:	No...
context: More or less, I think I've figured it out.\I thought it was strange.\Why would the guy who broke the wall risk his life to save Conny?\Everything he does is contradictory, but he doesn't realize it himself.\I don't know why he ended up like this, but probably...\He was originally a warrior whose goal was to break the wall, but...\he lost sight of who he was and couldn't tell which one was real.\No... response:	Unable to bear the weight of his sins, he convinced
context: I thought it was strange.\Why would the guy who broke the wall risk his life to save Conny?\Everything he does is contradictory, but he doesn't realize it himself.\I don't know why he ended up like this, but probably...\He was originally a warrior whose goal was to break the wall, but...\he lost sight of who he was and couldn't tell which one was real.\No...\Unable to bear the weight of his sins, he convinced response:	himself he was a soldier protecting the wall
context: Why would the guy who broke the wall risk his life to save Conny?\Everything he does is contradictory, but he doesn't realize it himself.\I don't know why he ended up like this, but probably...\He was originally a warrior whose goal was to break the wall, but...\he lost sight of who he was and couldn't tell which one was real.\No...\Unable to bear the weight of his sins, he convinced\himself he was a soldier protecting the wall response:	to maintain emotional balance within his own heart.
context: Everything he does is contradictory, but he doesn't realize it himself.\I don't know why he ended up like this, but probably...\He was originally a warrior whose goal was to break the wall, but...\he lost sight of who he was and couldn't tell which one was real.\No...\Unable to bear the weight of his sins, he convinced\himself he was a soldier protecting the wall\to maintain emotional balance within his own heart. response:	And in the end, he believed it.
context: I don't know why he ended up like this, but probably...\He was originally a warrior whose goal was to break the wall, but...\he lost sight of who he was and couldn't tell which one was real.\No...\Unable to bear the weight of his sins, he convinced\himself he was a soldier protecting the wall\to maintain emotional balance within his own heart.\And in the end, he believed it. response:	As a result, his heart was split and his memories broken.
context: He was originally a warrior whose goal was to break the wall, but...\he lost sight of who he was and couldn't tell which one was real.\No...\Unable to bear the weight of his sins, he convinced\himself he was a soldier protecting the wall\to maintain emotional balance within his own heart.\And in the end, he believed it.\As a result, his heart was split and his memories broken. response:	This must not be the first time Reiner's talked and made no sense...
context: he lost sight of who he was and couldn't tell which one was real.\No...\Unable to bear the weight of his sins, he convinced\himself he was a soldier protecting the wall\to maintain emotional balance within his own heart.\And in the end, he believed it.\As a result, his heart was split and his memories broken.\This must not be the first time Reiner's talked and made no sense... response:	It's amazing, really.
context: No...\Unable to bear the weight of his sins, he convinced\himself he was a soldier protecting the wall\to maintain emotional balance within his own heart.\And in the end, he believed it.\As a result, his heart was split and his memories broken.\This must not be the first time Reiner's talked and made no sense...\It's amazing, really. response:	For someone excessively honest like you to-
context: Unable to bear the weight of his sins, he convinced\himself he was a soldier protecting the wall\to maintain emotional balance within his own heart.\And in the end, he believed it.\As a result, his heart was split and his memories broken.\This must not be the first time Reiner's talked and made no sense...\It's amazing, really.\For someone excessively honest like you to- response:	Enough!
context: himself he was a soldier protecting the wall\to maintain emotional balance within his own heart.\And in the end, he believed it.\As a result, his heart was split and his memories broken.\This must not be the first time Reiner's talked and made no sense...\It's amazing, really.\For someone excessively honest like you to-\Enough! response:	Shut your mouth.
context: to maintain emotional balance within his own heart.\And in the end, he believed it.\As a result, his heart was split and his memories broken.\This must not be the first time Reiner's talked and made no sense...\It's amazing, really.\For someone excessively honest like you to-\Enough!\Shut your mouth. response:	Sorry about that.
context: And in the end, he believed it.\As a result, his heart was split and his memories broken.\This must not be the first time Reiner's talked and made no sense...\It's amazing, really.\For someone excessively honest like you to-\Enough!\Shut your mouth.\Sorry about that. response:	I might've pried too much.
context: As a result, his heart was split and his memories broken.\This must not be the first time Reiner's talked and made no sense...\It's amazing, really.\For someone excessively honest like you to-\Enough!\Shut your mouth.\Sorry about that.\I might've pried too much. response:	You've gotta be kidding me.
context: This must not be the first time Reiner's talked and made no sense...\It's amazing, really.\For someone excessively honest like you to-\Enough!\Shut your mouth.\Sorry about that.\I might've pried too much.\You've gotta be kidding me. response:	Why are you pretending to be the victim here?
context: It's amazing, really.\For someone excessively honest like you to-\Enough!\Shut your mouth.\Sorry about that.\I might've pried too much.\You've gotta be kidding me.\Why are you pretending to be the victim here? response:	What's your deal?
context: For someone excessively honest like you to-\Enough!\Shut your mouth.\Sorry about that.\I might've pried too much.\You've gotta be kidding me.\Why are you pretending to be the victim here?\What's your deal? response:	That day, what the hell were you thinking when you talked to us?
context: Enough!\Shut your mouth.\Sorry about that.\I might've pried too much.\You've gotta be kidding me.\Why are you pretending to be the victim here?\What's your deal?\That day, what the hell were you thinking when you talked to us? response:	Tell me, Bertholdt.
context: Shut your mouth.\Sorry about that.\I might've pried too much.\You've gotta be kidding me.\Why are you pretending to be the victim here?\What's your deal?\That day, what the hell were you thinking when you talked to us?\Tell me, Bertholdt. response:	I'm talking to you, you damn lackey.
context: Sorry about that.\I might've pried too much.\You've gotta be kidding me.\Why are you pretending to be the victim here?\What's your deal?\That day, what the hell were you thinking when you talked to us?\Tell me, Bertholdt.\I'm talking to you, you damn lackey. response:	I told you everything... while you looked at me right in the eyes.
context: I might've pried too much.\You've gotta be kidding me.\Why are you pretending to be the victim here?\What's your deal?\That day, what the hell were you thinking when you talked to us?\Tell me, Bertholdt.\I'm talking to you, you damn lackey.\I told you everything... while you looked at me right in the eyes. response:	About the day my mother was eaten alive...
context: You've gotta be kidding me.\Why are you pretending to be the victim here?\What's your deal?\That day, what the hell were you thinking when you talked to us?\Tell me, Bertholdt.\I'm talking to you, you damn lackey.\I told you everything... while you looked at me right in the eyes.\About the day my mother was eaten alive... response:	Stop!
context: Why are you pretending to be the victim here?\What's your deal?\That day, what the hell were you thinking when you talked to us?\Tell me, Bertholdt.\I'm talking to you, you damn lackey.\I told you everything... while you looked at me right in the eyes.\About the day my mother was eaten alive...\Stop! response:	Isn't that right?
context: What's your deal?\That day, what the hell were you thinking when you talked to us?\Tell me, Bertholdt.\I'm talking to you, you damn lackey.\I told you everything... while you looked at me right in the eyes.\About the day my mother was eaten alive...\Stop!\Isn't that right? response:	Thanks to the piece of wall you kicked that went flying straight into my house,
context: That day, what the hell were you thinking when you talked to us?\Tell me, Bertholdt.\I'm talking to you, you damn lackey.\I told you everything... while you looked at me right in the eyes.\About the day my mother was eaten alive...\Stop!\Isn't that right?\Thanks to the piece of wall you kicked that went flying straight into my house, response:	my mother couldn't escape or run away.
context: Tell me, Bertholdt.\I'm talking to you, you damn lackey.\I told you everything... while you looked at me right in the eyes.\About the day my mother was eaten alive...\Stop!\Isn't that right?\Thanks to the piece of wall you kicked that went flying straight into my house,\my mother couldn't escape or run away. response:	You remember, right? I told you my story.
context: I'm talking to you, you damn lackey.\I told you everything... while you looked at me right in the eyes.\About the day my mother was eaten alive...\Stop!\Isn't that right?\Thanks to the piece of wall you kicked that went flying straight into my house,\my mother couldn't escape or run away.\You remember, right? I told you my story. response:	What were you thinking?
context: I told you everything... while you looked at me right in the eyes.\About the day my mother was eaten alive...\Stop!\Isn't that right?\Thanks to the piece of wall you kicked that went flying straight into my house,\my mother couldn't escape or run away.\You remember, right? I told you my story.\What were you thinking? response:	What were you thinking when I told you?
context: About the day my mother was eaten alive...\Stop!\Isn't that right?\Thanks to the piece of wall you kicked that went flying straight into my house,\my mother couldn't escape or run away.\You remember, right? I told you my story.\What were you thinking?\What were you thinking when I told you? response:	Back then...
context: Stop!\Isn't that right?\Thanks to the piece of wall you kicked that went flying straight into my house,\my mother couldn't escape or run away.\You remember, right? I told you my story.\What were you thinking?\What were you thinking when I told you?\Back then... response:	Oh...
context: Isn't that right?\Thanks to the piece of wall you kicked that went flying straight into my house,\my mother couldn't escape or run away.\You remember, right? I told you my story.\What were you thinking?\What were you thinking when I told you?\Back then...\Oh... response:	I see...
context: Thanks to the piece of wall you kicked that went flying straight into my house,\my mother couldn't escape or run away.\You remember, right? I told you my story.\What were you thinking?\What were you thinking when I told you?\Back then...\Oh...\I see... response:	You guys...
context: my mother couldn't escape or run away.\You remember, right? I told you my story.\What were you thinking?\What were you thinking when I told you?\Back then...\Oh...\I see...\You guys... response:	You guys...
context: You remember, right? I told you my story.\What were you thinking?\What were you thinking when I told you?\Back then...\Oh...\I see...\You guys...\You guys... response:	You're just murderers.
context: What were you thinking?\What were you thinking when I told you?\Back then...\Oh...\I see...\You guys...\You guys...\You're just murderers. response:	You're psychotic mass-murderers
context: What were you thinking when I told you?\Back then...\Oh...\I see...\You guys...\You guys...\You're just murderers.\You're psychotic mass-murderers response:	who've killed countless innocent people who never did anything wrong!
context: Back then...\Oh...\I see...\You guys...\You guys...\You're just murderers.\You're psychotic mass-murderers\who've killed countless innocent people who never did anything wrong! response:	You don't think I know that?!
context: Oh...\I see...\You guys...\You guys...\You're just murderers.\You're psychotic mass-murderers\who've killed countless innocent people who never did anything wrong!\You don't think I know that?! response:	I don't need you to point that out to me!
context: I see...\You guys...\You guys...\You're just murderers.\You're psychotic mass-murderers\who've killed countless innocent people who never did anything wrong!\You don't think I know that?!\I don't need you to point that out to me! response:	Then don't pretend to have emotions like you're one of us!
context: You guys...\You guys...\You're just murderers.\You're psychotic mass-murderers\who've killed countless innocent people who never did anything wrong!\You don't think I know that?!\I don't need you to point that out to me!\Then don't pretend to have emotions like you're one of us! response:	You guys aren't even human anymore!
context: You guys...\You're just murderers.\You're psychotic mass-murderers\who've killed countless innocent people who never did anything wrong!\You don't think I know that?!\I don't need you to point that out to me!\Then don't pretend to have emotions like you're one of us!\You guys aren't even human anymore! response:	It's you two who've turned this world into a living hell!
