context: It's been a long time. response:	Londark!
context: It's the perfect name for you people who can't die, right?\Shut up.\Viper's Rush!\Amazing...\Wonderful!\Almost enough to make me fall in love with you.\But your blade lacks the desire to kill!\Is that what you're proud of? response:	Your desire to kill?
context: Shut up.\Viper's Rush!\Amazing...\Wonderful!\Almost enough to make me fall in love with you.\But your blade lacks the desire to kill!\Is that what you're proud of?\Your desire to kill? response:	Early Thrust!
context: Viper's Rush!\Amazing...\Wonderful!\Almost enough to make me fall in love with you.\But your blade lacks the desire to kill!\Is that what you're proud of?\Your desire to kill?\Early Thrust! response:	Kazuhiko Race/ Human Assassin, Lv. 97 Plant Hwyaden
context: Amazing...\Wonderful!\Almost enough to make me fall in love with you.\But your blade lacks the desire to kill!\Is that what you're proud of?\Your desire to kill?\Early Thrust!\Kazuhiko Race/ Human Assassin, Lv. 97 Plant Hwyaden response:	Kazuhiko...
context: Wonderful!\Almost enough to make me fall in love with you.\But your blade lacks the desire to kill!\Is that what you're proud of?\Your desire to kill?\Early Thrust!\Kazuhiko Race/ Human Assassin, Lv. 97 Plant Hwyaden\Kazuhiko... response:	Astral Hypno.
context: Almost enough to make me fall in love with you.\But your blade lacks the desire to kill!\Is that what you're proud of?\Your desire to kill?\Early Thrust!\Kazuhiko Race/ Human Assassin, Lv. 97 Plant Hwyaden\Kazuhiko...\Astral Hypno. response:	What is this?
context: But your blade lacks the desire to kill!\Is that what you're proud of?\Your desire to kill?\Early Thrust!\Kazuhiko Race/ Human Assassin, Lv. 97 Plant Hwyaden\Kazuhiko...\Astral Hypno.\What is this? response:	I was just planning to interfere a little.
context: Is that what you're proud of?\Your desire to kill?\Early Thrust!\Kazuhiko Race/ Human Assassin, Lv. 97 Plant Hwyaden\Kazuhiko...\Astral Hypno.\What is this?\I was just planning to interfere a little. response:	Dariella/Chronicler
context: Your desire to kill?\Early Thrust!\Kazuhiko Race/ Human Assassin, Lv. 97 Plant Hwyaden\Kazuhiko...\Astral Hypno.\What is this?\I was just planning to interfere a little.\Dariella/Chronicler response:	I thought it would be easy.
context: Early Thrust!\Kazuhiko Race/ Human Assassin, Lv. 97 Plant Hwyaden\Kazuhiko...\Astral Hypno.\What is this?\I was just planning to interfere a little.\Dariella/Chronicler\I thought it would be easy. response:	No, I actually managed to fit in, didn't I?
context: Kazuhiko Race/ Human Assassin, Lv. 97 Plant Hwyaden\Kazuhiko...\Astral Hypno.\What is this?\I was just planning to interfere a little.\Dariella/Chronicler\I thought it would be easy.\No, I actually managed to fit in, didn't I? response:	Just the slightest sign that I cared for them, and they all trusted me...
context: Kazuhiko...\Astral Hypno.\What is this?\I was just planning to interfere a little.\Dariella/Chronicler\I thought it would be easy.\No, I actually managed to fit in, didn't I?\Just the slightest sign that I cared for them, and they all trusted me... response:	Only Shiro is special.
context: Astral Hypno.\What is this?\I was just planning to interfere a little.\Dariella/Chronicler\I thought it would be easy.\No, I actually managed to fit in, didn't I?\Just the slightest sign that I cared for them, and they all trusted me...\Only Shiro is special. response:	They aren't.
context: What is this?\I was just planning to interfere a little.\Dariella/Chronicler\I thought it would be easy.\No, I actually managed to fit in, didn't I?\Just the slightest sign that I cared for them, and they all trusted me...\Only Shiro is special.\They aren't. response:	They're only members of the same guild.
context: I was just planning to interfere a little.\Dariella/Chronicler\I thought it would be easy.\No, I actually managed to fit in, didn't I?\Just the slightest sign that I cared for them, and they all trusted me...\Only Shiro is special.\They aren't.\They're only members of the same guild. response:	That's what I thought.
context: Dariella/Chronicler\I thought it would be easy.\No, I actually managed to fit in, didn't I?\Just the slightest sign that I cared for them, and they all trusted me...\Only Shiro is special.\They aren't.\They're only members of the same guild.\That's what I thought. response:	But...
context: I thought it would be easy.\No, I actually managed to fit in, didn't I?\Just the slightest sign that I cared for them, and they all trusted me...\Only Shiro is special.\They aren't.\They're only members of the same guild.\That's what I thought.\But... response:	You wouldn't look weird without that smile.
context: No, I actually managed to fit in, didn't I?\Just the slightest sign that I cared for them, and they all trusted me...\Only Shiro is special.\They aren't.\They're only members of the same guild.\That's what I thought.\But...\You wouldn't look weird without that smile. response:	Why do you say that?
context: Just the slightest sign that I cared for them, and they all trusted me...\Only Shiro is special.\They aren't.\They're only members of the same guild.\That's what I thought.\But...\You wouldn't look weird without that smile.\Why do you say that? response:	Why?
context: Only Shiro is special.\They aren't.\They're only members of the same guild.\That's what I thought.\But...\You wouldn't look weird without that smile.\Why do you say that?\Why? response:	Because that way, you wouldn't look like you were lying.
context: They aren't.\They're only members of the same guild.\That's what I thought.\But...\You wouldn't look weird without that smile.\Why do you say that?\Why?\Because that way, you wouldn't look like you were lying. response:	You'd look better that way.
context: They're only members of the same guild.\That's what I thought.\But...\You wouldn't look weird without that smile.\Why do you say that?\Why?\Because that way, you wouldn't look like you were lying.\You'd look better that way. response:	That little child had a blade hidden in his heart.
context: That's what I thought.\But...\You wouldn't look weird without that smile.\Why do you say that?\Why?\Because that way, you wouldn't look like you were lying.\You'd look better that way.\That little child had a blade hidden in his heart. response:	Yes.
context: But...\You wouldn't look weird without that smile.\Why do you say that?\Why?\Because that way, you wouldn't look like you were lying.\You'd look better that way.\That little child had a blade hidden in his heart.\Yes. response:	Shiro's teachings are that boy's blade.
context: You wouldn't look weird without that smile.\Why do you say that?\Why?\Because that way, you wouldn't look like you were lying.\You'd look better that way.\That little child had a blade hidden in his heart.\Yes.\Shiro's teachings are that boy's blade. response:	Shiro really is special.
context: Why do you say that?\Why?\Because that way, you wouldn't look like you were lying.\You'd look better that way.\That little child had a blade hidden in his heart.\Yes.\Shiro's teachings are that boy's blade.\Shiro really is special. response:	Lady Nureha!
context: Why?\Because that way, you wouldn't look like you were lying.\You'd look better that way.\That little child had a blade hidden in his heart.\Yes.\Shiro's teachings are that boy's blade.\Shiro really is special.\Lady Nureha! response:	Lady Nureha, this is a war zone.
context: Because that way, you wouldn't look like you were lying.\You'd look better that way.\That little child had a blade hidden in his heart.\Yes.\Shiro's teachings are that boy's blade.\Shiro really is special.\Lady Nureha!\Lady Nureha, this is a war zone. response:	Would you please leave?
context: You'd look better that way.\That little child had a blade hidden in his heart.\Yes.\Shiro's teachings are that boy's blade.\Shiro really is special.\Lady Nureha!\Lady Nureha, this is a war zone.\Would you please leave? response:	Why is this happening to this town?
context: That little child had a blade hidden in his heart.\Yes.\Shiro's teachings are that boy's blade.\Shiro really is special.\Lady Nureha!\Lady Nureha, this is a war zone.\Would you please leave?\Why is this happening to this town? response:	Mizufa's orders?
context: Yes.\Shiro's teachings are that boy's blade.\Shiro really is special.\Lady Nureha!\Lady Nureha, this is a war zone.\Would you please leave?\Why is this happening to this town?\Mizufa's orders? response:	Yes.
context: Shiro's teachings are that boy's blade.\Shiro really is special.\Lady Nureha!\Lady Nureha, this is a war zone.\Would you please leave?\Why is this happening to this town?\Mizufa's orders?\Yes. response:	I see.
context: Shiro really is special.\Lady Nureha!\Lady Nureha, this is a war zone.\Would you please leave?\Why is this happening to this town?\Mizufa's orders?\Yes.\I see. response:	I agreed to Mizufa's orders because I thought they didn't matter.
context: Lady Nureha!\Lady Nureha, this is a war zone.\Would you please leave?\Why is this happening to this town?\Mizufa's orders?\Yes.\I see.\I agreed to Mizufa's orders because I thought they didn't matter. response:	I came here because I was asked to.
context: Lady Nureha, this is a war zone.\Would you please leave?\Why is this happening to this town?\Mizufa's orders?\Yes.\I see.\I agreed to Mizufa's orders because I thought they didn't matter.\I came here because I was asked to. response:	But in this town...
context: Would you please leave?\Why is this happening to this town?\Mizufa's orders?\Yes.\I see.\I agreed to Mizufa's orders because I thought they didn't matter.\I came here because I was asked to.\But in this town... response:	Annihilate as many of the wyverns and nightshade servants as you can.
context: Why is this happening to this town?\Mizufa's orders?\Yes.\I see.\I agreed to Mizufa's orders because I thought they didn't matter.\I came here because I was asked to.\But in this town...\Annihilate as many of the wyverns and nightshade servants as you can. response:	Is that all right?
context: Mizufa's orders?\Yes.\I see.\I agreed to Mizufa's orders because I thought they didn't matter.\I came here because I was asked to.\But in this town...\Annihilate as many of the wyverns and nightshade servants as you can.\Is that all right? response:	It is the order of the Western Councilor.
context: Yes.\I see.\I agreed to Mizufa's orders because I thought they didn't matter.\I came here because I was asked to.\But in this town...\Annihilate as many of the wyverns and nightshade servants as you can.\Is that all right?\It is the order of the Western Councilor. response:	Yes, ma'am.
context: I see.\I agreed to Mizufa's orders because I thought they didn't matter.\I came here because I was asked to.\But in this town...\Annihilate as many of the wyverns and nightshade servants as you can.\Is that all right?\It is the order of the Western Councilor.\Yes, ma'am. response:	Shiro, I'm going to give them a little help.
context: I agreed to Mizufa's orders because I thought they didn't matter.\I came here because I was asked to.\But in this town...\Annihilate as many of the wyverns and nightshade servants as you can.\Is that all right?\It is the order of the Western Councilor.\Yes, ma'am.\Shiro, I'm going to give them a little help. response:	It wasn't for long, but they treated me as a fellow traveling companion...
context: I came here because I was asked to.\But in this town...\Annihilate as many of the wyverns and nightshade servants as you can.\Is that all right?\It is the order of the Western Councilor.\Yes, ma'am.\Shiro, I'm going to give them a little help.\It wasn't for long, but they treated me as a fellow traveling companion... response:	Will you notice?
context: But in this town...\Annihilate as many of the wyverns and nightshade servants as you can.\Is that all right?\It is the order of the Western Councilor.\Yes, ma'am.\Shiro, I'm going to give them a little help.\It wasn't for long, but they treated me as a fellow traveling companion...\Will you notice? response:	Will you think me a bother?
context: Annihilate as many of the wyverns and nightshade servants as you can.\Is that all right?\It is the order of the Western Councilor.\Yes, ma'am.\Shiro, I'm going to give them a little help.\It wasn't for long, but they treated me as a fellow traveling companion...\Will you notice?\Will you think me a bother? response:	Or will you think I did well?
context: Is that all right?\It is the order of the Western Councilor.\Yes, ma'am.\Shiro, I'm going to give them a little help.\It wasn't for long, but they treated me as a fellow traveling companion...\Will you notice?\Will you think me a bother?\Or will you think I did well? response:	This is just a whim of mine, not a gift to them.
context: It is the order of the Western Councilor.\Yes, ma'am.\Shiro, I'm going to give them a little help.\It wasn't for long, but they treated me as a fellow traveling companion...\Will you notice?\Will you think me a bother?\Or will you think I did well?\This is just a whim of mine, not a gift to them. response:	So hurry.
context: Yes, ma'am.\Shiro, I'm going to give them a little help.\It wasn't for long, but they treated me as a fellow traveling companion...\Will you notice?\Will you think me a bother?\Or will you think I did well?\This is just a whim of mine, not a gift to them.\So hurry. response:	I can't wait to hear your voice...
context: Shiro, I'm going to give them a little help.\It wasn't for long, but they treated me as a fellow traveling companion...\Will you notice?\Will you think me a bother?\Or will you think I did well?\This is just a whim of mine, not a gift to them.\So hurry.\I can't wait to hear your voice... response:	It's been a while, Chief.
context: It wasn't for long, but they treated me as a fellow traveling companion...\Will you notice?\Will you think me a bother?\Or will you think I did well?\This is just a whim of mine, not a gift to them.\So hurry.\I can't wait to hear your voice...\It's been a while, Chief. response:	Since the Tea Party, maybe?
context: Will you notice?\Will you think me a bother?\Or will you think I did well?\This is just a whim of mine, not a gift to them.\So hurry.\I can't wait to hear your voice...\It's been a while, Chief.\Since the Tea Party, maybe? response:	Move, Kazuhiko.
context: Will you think me a bother?\Or will you think I did well?\This is just a whim of mine, not a gift to them.\So hurry.\I can't wait to hear your voice...\It's been a while, Chief.\Since the Tea Party, maybe?\Move, Kazuhiko. response:	I need to correct something.
context: Or will you think I did well?\This is just a whim of mine, not a gift to them.\So hurry.\I can't wait to hear your voice...\It's been a while, Chief.\Since the Tea Party, maybe?\Move, Kazuhiko.\I need to correct something. response:	No.
context: This is just a whim of mine, not a gift to them.\So hurry.\I can't wait to hear your voice...\It's been a while, Chief.\Since the Tea Party, maybe?\Move, Kazuhiko.\I need to correct something.\No. response:	I can't do that.
context: So hurry.\I can't wait to hear your voice...\It's been a while, Chief.\Since the Tea Party, maybe?\Move, Kazuhiko.\I need to correct something.\No.\I can't do that. response:	Why are you involved in this?
context: I can't wait to hear your voice...\It's been a while, Chief.\Since the Tea Party, maybe?\Move, Kazuhiko.\I need to correct something.\No.\I can't do that.\Why are you involved in this? response:	It's something I have to do.
context: It's been a while, Chief.\Since the Tea Party, maybe?\Move, Kazuhiko.\I need to correct something.\No.\I can't do that.\Why are you involved in this?\It's something I have to do. response:	Kazuhiko is trying to change Plant Hwyaden for the better from inside.
context: Since the Tea Party, maybe?\Move, Kazuhiko.\I need to correct something.\No.\I can't do that.\Why are you involved in this?\It's something I have to do.\Kazuhiko is trying to change Plant Hwyaden for the better from inside. response:	That's what Shiroe said.
context: Move, Kazuhiko.\I need to correct something.\No.\I can't do that.\Why are you involved in this?\It's something I have to do.\Kazuhiko is trying to change Plant Hwyaden for the better from inside.\That's what Shiroe said. response:	But he's lost his own goodness now.
context: I need to correct something.\No.\I can't do that.\Why are you involved in this?\It's something I have to do.\Kazuhiko is trying to change Plant Hwyaden for the better from inside.\That's what Shiroe said.\But he's lost his own goodness now. response:	That's how he looks to me.
context: No.\I can't do that.\Why are you involved in this?\It's something I have to do.\Kazuhiko is trying to change Plant Hwyaden for the better from inside.\That's what Shiroe said.\But he's lost his own goodness now.\That's how he looks to me. response:	You're so slow!
context: I can't do that.\Why are you involved in this?\It's something I have to do.\Kazuhiko is trying to change Plant Hwyaden for the better from inside.\That's what Shiroe said.\But he's lost his own goodness now.\That's how he looks to me.\You're so slow! response:	Operation Red Night has already begun!
context: Why are you involved in this?\It's something I have to do.\Kazuhiko is trying to change Plant Hwyaden for the better from inside.\That's what Shiroe said.\But he's lost his own goodness now.\That's how he looks to me.\You're so slow!\Operation Red Night has already begun! response:	That's why you adventurers can't be this world's heroes!
context: It's something I have to do.\Kazuhiko is trying to change Plant Hwyaden for the better from inside.\That's what Shiroe said.\But he's lost his own goodness now.\That's how he looks to me.\You're so slow!\Operation Red Night has already begun!\That's why you adventurers can't be this world's heroes! response:	Now sleep!
context: Kazuhiko is trying to change Plant Hwyaden for the better from inside.\That's what Shiroe said.\But he's lost his own goodness now.\That's how he looks to me.\You're so slow!\Operation Red Night has already begun!\That's why you adventurers can't be this world's heroes!\Now sleep! response:	You won't die, anyway!
context: That's what Shiroe said.\But he's lost his own goodness now.\That's how he looks to me.\You're so slow!\Operation Red Night has already begun!\That's why you adventurers can't be this world's heroes!\Now sleep!\You won't die, anyway! response:	Mizufa...
context: But he's lost his own goodness now.\That's how he looks to me.\You're so slow!\Operation Red Night has already begun!\That's why you adventurers can't be this world's heroes!\Now sleep!\You won't die, anyway!\Mizufa... response:	You're strong.
context: That's how he looks to me.\You're so slow!\Operation Red Night has already begun!\That's why you adventurers can't be this world's heroes!\Now sleep!\You won't die, anyway!\Mizufa...\You're strong. response:	Yeah, you're very strong.
context: You're so slow!\Operation Red Night has already begun!\That's why you adventurers can't be this world's heroes!\Now sleep!\You won't die, anyway!\Mizufa...\You're strong.\Yeah, you're very strong. response:	But it's no good.
context: Operation Red Night has already begun!\That's why you adventurers can't be this world's heroes!\Now sleep!\You won't die, anyway!\Mizufa...\You're strong.\Yeah, you're very strong.\But it's no good. response:	Your kindness is going to get you killed.
context: That's why you adventurers can't be this world's heroes!\Now sleep!\You won't die, anyway!\Mizufa...\You're strong.\Yeah, you're very strong.\But it's no good.\Your kindness is going to get you killed. response:	Your desire to save the People of the Land is going to get them killed!
context: Now sleep!\You won't die, anyway!\Mizufa...\You're strong.\Yeah, you're very strong.\But it's no good.\Your kindness is going to get you killed.\Your desire to save the People of the Land is going to get them killed! response:	Now, what will you do?
context: You won't die, anyway!\Mizufa...\You're strong.\Yeah, you're very strong.\But it's no good.\Your kindness is going to get you killed.\Your desire to save the People of the Land is going to get them killed!\Now, what will you do? response:	Mizufa, it's over.
context: Mizufa...\You're strong.\Yeah, you're very strong.\But it's no good.\Your kindness is going to get you killed.\Your desire to save the People of the Land is going to get them killed!\Now, what will you do?\Mizufa, it's over. response:	Don't be stupid...
context: You're strong.\Yeah, you're very strong.\But it's no good.\Your kindness is going to get you killed.\Your desire to save the People of the Land is going to get them killed!\Now, what will you do?\Mizufa, it's over.\Don't be stupid... response:	You're just an observer!
context: Yeah, you're very strong.\But it's no good.\Your kindness is going to get you killed.\Your desire to save the People of the Land is going to get them killed!\Now, what will you do?\Mizufa, it's over.\Don't be stupid...\You're just an observer! response:	It's an order from Nureha.
context: But it's no good.\Your kindness is going to get you killed.\Your desire to save the People of the Land is going to get them killed!\Now, what will you do?\Mizufa, it's over.\Don't be stupid...\You're just an observer!\It's an order from Nureha. response:	Just now, the highest-ranking order has been given to Plant Hwyaden.
context: Your kindness is going to get you killed.\Your desire to save the People of the Land is going to get them killed!\Now, what will you do?\Mizufa, it's over.\Don't be stupid...\You're just an observer!\It's an order from Nureha.\Just now, the highest-ranking order has been given to Plant Hwyaden. response:	We're withdrawing.
context: Your desire to save the People of the Land is going to get them killed!\Now, what will you do?\Mizufa, it's over.\Don't be stupid...\You're just an observer!\It's an order from Nureha.\Just now, the highest-ranking order has been given to Plant Hwyaden.\We're withdrawing. response:	The mission is canceled.
context: Now, what will you do?\Mizufa, it's over.\Don't be stupid...\You're just an observer!\It's an order from Nureha.\Just now, the highest-ranking order has been given to Plant Hwyaden.\We're withdrawing.\The mission is canceled. response:	Kazuhiko, what is Plant Hwyaden thinking?
context: Mizufa, it's over.\Don't be stupid...\You're just an observer!\It's an order from Nureha.\Just now, the highest-ranking order has been given to Plant Hwyaden.\We're withdrawing.\The mission is canceled.\Kazuhiko, what is Plant Hwyaden thinking? response:	What are you
context: Don't be stupid...\You're just an observer!\It's an order from Nureha.\Just now, the highest-ranking order has been given to Plant Hwyaden.\We're withdrawing.\The mission is canceled.\Kazuhiko, what is Plant Hwyaden thinking?\What are you response:	Enough talk!
context: You're just an observer!\It's an order from Nureha.\Just now, the highest-ranking order has been given to Plant Hwyaden.\We're withdrawing.\The mission is canceled.\Kazuhiko, what is Plant Hwyaden thinking?\What are you\Enough talk! response:	This is still better.
context: It's an order from Nureha.\Just now, the highest-ranking order has been given to Plant Hwyaden.\We're withdrawing.\The mission is canceled.\Kazuhiko, what is Plant Hwyaden thinking?\What are you\Enough talk!\This is still better. response:	The Chief won't have to kill any People of the Land.
context: Just now, the highest-ranking order has been given to Plant Hwyaden.\We're withdrawing.\The mission is canceled.\Kazuhiko, what is Plant Hwyaden thinking?\What are you\Enough talk!\This is still better.\The Chief won't have to kill any People of the Land. response:	Is it because you used to be my friend, Kazuhiko?
context: We're withdrawing.\The mission is canceled.\Kazuhiko, what is Plant Hwyaden thinking?\What are you\Enough talk!\This is still better.\The Chief won't have to kill any People of the Land.\Is it because you used to be my friend, Kazuhiko? response:	Do you think you're showing me a fragment of friendship?
context: The mission is canceled.\Kazuhiko, what is Plant Hwyaden thinking?\What are you\Enough talk!\This is still better.\The Chief won't have to kill any People of the Land.\Is it because you used to be my friend, Kazuhiko?\Do you think you're showing me a fragment of friendship? response:	Orb of Lava!
context: Kazuhiko, what is Plant Hwyaden thinking?\What are you\Enough talk!\This is still better.\The Chief won't have to kill any People of the Land.\Is it because you used to be my friend, Kazuhiko?\Do you think you're showing me a fragment of friendship?\Orb of Lava! response:	What's wrong?
context: What are you\Enough talk!\This is still better.\The Chief won't have to kill any People of the Land.\Is it because you used to be my friend, Kazuhiko?\Do you think you're showing me a fragment of friendship?\Orb of Lava!\What's wrong? response:	Those kids...
context: Enough talk!\This is still better.\The Chief won't have to kill any People of the Land.\Is it because you used to be my friend, Kazuhiko?\Do you think you're showing me a fragment of friendship?\Orb of Lava!\What's wrong?\Those kids... response:	There's nothing I can do.
context: This is still better.\The Chief won't have to kill any People of the Land.\Is it because you used to be my friend, Kazuhiko?\Do you think you're showing me a fragment of friendship?\Orb of Lava!\What's wrong?\Those kids...\There's nothing I can do. response:	Little brothers and sisters!
context: The Chief won't have to kill any People of the Land.\Is it because you used to be my friend, Kazuhiko?\Do you think you're showing me a fragment of friendship?\Orb of Lava!\What's wrong?\Those kids...\There's nothing I can do.\Little brothers and sisters! response:	Your sister isn't going to abandon you!
context: Is it because you used to be my friend, Kazuhiko?\Do you think you're showing me a fragment of friendship?\Orb of Lava!\What's wrong?\Those kids...\There's nothing I can do.\Little brothers and sisters!\Your sister isn't going to abandon you! response:	The first friends I made in this world are angry
context: Do you think you're showing me a fragment of friendship?\Orb of Lava!\What's wrong?\Those kids...\There's nothing I can do.\Little brothers and sisters!\Your sister isn't going to abandon you!\The first friends I made in this world are angry response:	at this place that only creates sadness.
context: Orb of Lava!\What's wrong?\Those kids...\There's nothing I can do.\Little brothers and sisters!\Your sister isn't going to abandon you!\The first friends I made in this world are angry\at this place that only creates sadness. response:	A fallen country's abandoned princess,
context: What's wrong?\Those kids...\There's nothing I can do.\Little brothers and sisters!\Your sister isn't going to abandon you!\The first friends I made in this world are angry\at this place that only creates sadness.\A fallen country's abandoned princess, response:	once unable to make friends with anyone,
context: Those kids...\There's nothing I can do.\Little brothers and sisters!\Your sister isn't going to abandon you!\The first friends I made in this world are angry\at this place that only creates sadness.\A fallen country's abandoned princess,\once unable to make friends with anyone, response:	is crying within me!
context: There's nothing I can do.\Little brothers and sisters!\Your sister isn't going to abandon you!\The first friends I made in this world are angry\at this place that only creates sadness.\A fallen country's abandoned princess,\once unable to make friends with anyone,\is crying within me! response:	You, whose contract was once broken, walk with me!
context: Little brothers and sisters!\Your sister isn't going to abandon you!\The first friends I made in this world are angry\at this place that only creates sadness.\A fallen country's abandoned princess,\once unable to make friends with anyone,\is crying within me!\You, whose contract was once broken, walk with me! response:	Sword Princess Al Quenje!
context: Your sister isn't going to abandon you!\The first friends I made in this world are angry\at this place that only creates sadness.\A fallen country's abandoned princess,\once unable to make friends with anyone,\is crying within me!\You, whose contract was once broken, walk with me!\Sword Princess Al Quenje! response:	Wow.
context: The first friends I made in this world are angry\at this place that only creates sadness.\A fallen country's abandoned princess,\once unable to make friends with anyone,\is crying within me!\You, whose contract was once broken, walk with me!\Sword Princess Al Quenje!\Wow. response:	I can't do anything, but I'll sing.
context: at this place that only creates sadness.\A fallen country's abandoned princess,\once unable to make friends with anyone,\is crying within me!\You, whose contract was once broken, walk with me!\Sword Princess Al Quenje!\Wow.\I can't do anything, but I'll sing. response:	I'm watching.
context: A fallen country's abandoned princess,\once unable to make friends with anyone,\is crying within me!\You, whose contract was once broken, walk with me!\Sword Princess Al Quenje!\Wow.\I can't do anything, but I'll sing.\I'm watching. response:	I'll tell you I'm watching you all.
context: once unable to make friends with anyone,\is crying within me!\You, whose contract was once broken, walk with me!\Sword Princess Al Quenje!\Wow.\I can't do anything, but I'll sing.\I'm watching.\I'll tell you I'm watching you all. response:	To tell you that...
context: is crying within me!\You, whose contract was once broken, walk with me!\Sword Princess Al Quenje!\Wow.\I can't do anything, but I'll sing.\I'm watching.\I'll tell you I'm watching you all.\To tell you that... response:	Songs are small things.
context: You, whose contract was once broken, walk with me!\Sword Princess Al Quenje!\Wow.\I can't do anything, but I'll sing.\I'm watching.\I'll tell you I'm watching you all.\To tell you that...\Songs are small things. response:	There isn't much they can do.
context: Sword Princess Al Quenje!\Wow.\I can't do anything, but I'll sing.\I'm watching.\I'll tell you I'm watching you all.\To tell you that...\Songs are small things.\There isn't much they can do. response:	No matter how much you sing that you want to change the world,
context: Wow.\I can't do anything, but I'll sing.\I'm watching.\I'll tell you I'm watching you all.\To tell you that...\Songs are small things.\There isn't much they can do.\No matter how much you sing that you want to change the world, response:	no matter how great an artist you are,
context: I can't do anything, but I'll sing.\I'm watching.\I'll tell you I'm watching you all.\To tell you that...\Songs are small things.\There isn't much they can do.\No matter how much you sing that you want to change the world,\no matter how great an artist you are, response:	music alone can't bring peace to the world.
context: I'm watching.\I'll tell you I'm watching you all.\To tell you that...\Songs are small things.\There isn't much they can do.\No matter how much you sing that you want to change the world,\no matter how great an artist you are,\music alone can't bring peace to the world. response:	But... But I'll sing.
context: I'll tell you I'm watching you all.\To tell you that...\Songs are small things.\There isn't much they can do.\No matter how much you sing that you want to change the world,\no matter how great an artist you are,\music alone can't bring peace to the world.\But... But I'll sing. response:	I know you.
context: To tell you that...\Songs are small things.\There isn't much they can do.\No matter how much you sing that you want to change the world,\no matter how great an artist you are,\music alone can't bring peace to the world.\But... But I'll sing.\I know you. response:	I know how you feel.
context: Songs are small things.\There isn't much they can do.\No matter how much you sing that you want to change the world,\no matter how great an artist you are,\music alone can't bring peace to the world.\But... But I'll sing.\I know you.\I know how you feel. response:	Songs are prayers that are actually heard.
context: There isn't much they can do.\No matter how much you sing that you want to change the world,\no matter how great an artist you are,\music alone can't bring peace to the world.\But... But I'll sing.\I know you.\I know how you feel.\Songs are prayers that are actually heard. response:	I understand how you feel.
context: No matter how much you sing that you want to change the world,\no matter how great an artist you are,\music alone can't bring peace to the world.\But... But I'll sing.\I know you.\I know how you feel.\Songs are prayers that are actually heard.\I understand how you feel. response:	When I sing, I feel the same way.
context: no matter how great an artist you are,\music alone can't bring peace to the world.\But... But I'll sing.\I know you.\I know how you feel.\Songs are prayers that are actually heard.\I understand how you feel.\When I sing, I feel the same way. response:	Don't give in.
context: music alone can't bring peace to the world.\But... But I'll sing.\I know you.\I know how you feel.\Songs are prayers that are actually heard.\I understand how you feel.\When I sing, I feel the same way.\Don't give in. response:	Hang in there.
context: But... But I'll sing.\I know you.\I know how you feel.\Songs are prayers that are actually heard.\I understand how you feel.\When I sing, I feel the same way.\Don't give in.\Hang in there. response:	That's what everyone was trying to tell me.
context: I know you.\I know how you feel.\Songs are prayers that are actually heard.\I understand how you feel.\When I sing, I feel the same way.\Don't give in.\Hang in there.\That's what everyone was trying to tell me. response:	I can't say that I'll become an artist.
context: I know how you feel.\Songs are prayers that are actually heard.\I understand how you feel.\When I sing, I feel the same way.\Don't give in.\Hang in there.\That's what everyone was trying to tell me.\I can't say that I'll become an artist. response:	But I can promise I'll love music my whole life!
context: Songs are prayers that are actually heard.\I understand how you feel.\When I sing, I feel the same way.\Don't give in.\Hang in there.\That's what everyone was trying to tell me.\I can't say that I'll become an artist.\But I can promise I'll love music my whole life! response:	Rudy longed to be an adventurer.
context: I understand how you feel.\When I sing, I feel the same way.\Don't give in.\Hang in there.\That's what everyone was trying to tell me.\I can't say that I'll become an artist.\But I can promise I'll love music my whole life!\Rudy longed to be an adventurer. response:	It didn't matter whether he could be or not.
context: When I sing, I feel the same way.\Don't give in.\Hang in there.\That's what everyone was trying to tell me.\I can't say that I'll become an artist.\But I can promise I'll love music my whole life!\Rudy longed to be an adventurer.\It didn't matter whether he could be or not. response:	He just wanted to fight what he saw as unreasonable.
context: Don't give in.\Hang in there.\That's what everyone was trying to tell me.\I can't say that I'll become an artist.\But I can promise I'll love music my whole life!\Rudy longed to be an adventurer.\It didn't matter whether he could be or not.\He just wanted to fight what he saw as unreasonable. response:	I didn't need to worry about whether I had talent.
context: Hang in there.\That's what everyone was trying to tell me.\I can't say that I'll become an artist.\But I can promise I'll love music my whole life!\Rudy longed to be an adventurer.\It didn't matter whether he could be or not.\He just wanted to fight what he saw as unreasonable.\I didn't need to worry about whether I had talent. response:	Rudy brought me close.
context: That's what everyone was trying to tell me.\I can't say that I'll become an artist.\But I can promise I'll love music my whole life!\Rudy longed to be an adventurer.\It didn't matter whether he could be or not.\He just wanted to fight what he saw as unreasonable.\I didn't need to worry about whether I had talent.\Rudy brought me close. response:	He gave me my songs.
context: I can't say that I'll become an artist.\But I can promise I'll love music my whole life!\Rudy longed to be an adventurer.\It didn't matter whether he could be or not.\He just wanted to fight what he saw as unreasonable.\I didn't need to worry about whether I had talent.\Rudy brought me close.\He gave me my songs. response:	Isuzu!
context: But I can promise I'll love music my whole life!\Rudy longed to be an adventurer.\It didn't matter whether he could be or not.\He just wanted to fight what he saw as unreasonable.\I didn't need to worry about whether I had talent.\Rudy brought me close.\He gave me my songs.\Isuzu! response:	Miss Serara!
