context: Episode 4 Umaru and Her Rival response:	Umaru-chan? What's the matter?
context: That's just how it goes.\Kirie-chan's actually pretty good at sports\Wh-What is the meaning of this?\Service, Sylphyn and Ebina team.\I-I just have to throw the ball up and hit it, right?\There!\Ebihara-san! Why did you close your eyes?\I'm sorry! Also, it's Ebina. response:	Looks like Ebina-chan's got it rough.
context: Kirie-chan's actually pretty good at sports\Wh-What is the meaning of this?\Service, Sylphyn and Ebina team.\I-I just have to throw the ball up and hit it, right?\There!\Ebihara-san! Why did you close your eyes?\I'm sorry! Also, it's Ebina.\Looks like Ebina-chan's got it rough. response:	Service, Umaru and Kirie team.
context: Wh-What is the meaning of this?\Service, Sylphyn and Ebina team.\I-I just have to throw the ball up and hit it, right?\There!\Ebihara-san! Why did you close your eyes?\I'm sorry! Also, it's Ebina.\Looks like Ebina-chan's got it rough.\Service, Umaru and Kirie team. response:	It's dangerous since Ebina-chan has her eyes closed,
context: Service, Sylphyn and Ebina team.\I-I just have to throw the ball up and hit it, right?\There!\Ebihara-san! Why did you close your eyes?\I'm sorry! Also, it's Ebina.\Looks like Ebina-chan's got it rough.\Service, Umaru and Kirie team.\It's dangerous since Ebina-chan has her eyes closed, response:	so I'll hit a weak serve.
context: I-I just have to throw the ball up and hit it, right?\There!\Ebihara-san! Why did you close your eyes?\I'm sorry! Also, it's Ebina.\Looks like Ebina-chan's got it rough.\Service, Umaru and Kirie team.\It's dangerous since Ebina-chan has her eyes closed,\so I'll hit a weak serve. response:	I've got it!
context: There!\Ebihara-san! Why did you close your eyes?\I'm sorry! Also, it's Ebina.\Looks like Ebina-chan's got it rough.\Service, Umaru and Kirie team.\It's dangerous since Ebina-chan has her eyes closed,\so I'll hit a weak serve.\I've got it! response:	Yes, indeed!
context: Ebihara-san! Why did you close your eyes?\I'm sorry! Also, it's Ebina.\Looks like Ebina-chan's got it rough.\Service, Umaru and Kirie team.\It's dangerous since Ebina-chan has her eyes closed,\so I'll hit a weak serve.\I've got it!\Yes, indeed! response:	Sylphyn-san, are you all right?
context: I'm sorry! Also, it's Ebina.\Looks like Ebina-chan's got it rough.\Service, Umaru and Kirie team.\It's dangerous since Ebina-chan has her eyes closed,\so I'll hit a weak serve.\I've got it!\Yes, indeed!\Sylphyn-san, are you all right? response:	Th-There's nothing to worry about!
context: Looks like Ebina-chan's got it rough.\Service, Umaru and Kirie team.\It's dangerous since Ebina-chan has her eyes closed,\so I'll hit a weak serve.\I've got it!\Yes, indeed!\Sylphyn-san, are you all right?\Th-There's nothing to worry about! response:	Yes, indeed!
context: Service, Umaru and Kirie team.\It's dangerous since Ebina-chan has her eyes closed,\so I'll hit a weak serve.\I've got it!\Yes, indeed!\Sylphyn-san, are you all right?\Th-There's nothing to worry about!\Yes, indeed! response:	Why is she trying so hard?
context: It's dangerous since Ebina-chan has her eyes closed,\so I'll hit a weak serve.\I've got it!\Yes, indeed!\Sylphyn-san, are you all right?\Th-There's nothing to worry about!\Yes, indeed!\Why is she trying so hard? response:	Um, Sylphyn-san...?
context: so I'll hit a weak serve.\I've got it!\Yes, indeed!\Sylphyn-san, are you all right?\Th-There's nothing to worry about!\Yes, indeed!\Why is she trying so hard?\Um, Sylphyn-san...? response:	I'm fine!
context: I've got it!\Yes, indeed!\Sylphyn-san, are you all right?\Th-There's nothing to worry about!\Yes, indeed!\Why is she trying so hard?\Um, Sylphyn-san...?\I'm fine! response:	Nothing less from Umaru-san. That was a superb serve!
context: Yes, indeed!\Sylphyn-san, are you all right?\Th-There's nothing to worry about!\Yes, indeed!\Why is she trying so hard?\Um, Sylphyn-san...?\I'm fine!\Nothing less from Umaru-san. That was a superb serve! response:	That makes you all the more worthy to be my opponent!
context: Sylphyn-san, are you all right?\Th-There's nothing to worry about!\Yes, indeed!\Why is she trying so hard?\Um, Sylphyn-san...?\I'm fine!\Nothing less from Umaru-san. That was a superb serve!\That makes you all the more worthy to be my opponent! response:	Now, this is where the real battle begins!
context: Th-There's nothing to worry about!\Yes, indeed!\Why is she trying so hard?\Um, Sylphyn-san...?\I'm fine!\Nothing less from Umaru-san. That was a superb serve!\That makes you all the more worthy to be my opponent!\Now, this is where the real battle begins! response:	Shupapaa
context: Yes, indeed!\Why is she trying so hard?\Um, Sylphyn-san...?\I'm fine!\Nothing less from Umaru-san. That was a superb serve!\That makes you all the more worthy to be my opponent!\Now, this is where the real battle begins!\Shupapaa response:	But we can just have a light match, right?
context: Why is she trying so hard?\Um, Sylphyn-san...?\I'm fine!\Nothing less from Umaru-san. That was a superb serve!\That makes you all the more worthy to be my opponent!\Now, this is where the real battle begins!\Shupapaa\But we can just have a light match, right? response:	Yes, indeed!
context: Um, Sylphyn-san...?\I'm fine!\Nothing less from Umaru-san. That was a superb serve!\That makes you all the more worthy to be my opponent!\Now, this is where the real battle begins!\Shupapaa\But we can just have a light match, right?\Yes, indeed! response:	You guys
context: I'm fine!\Nothing less from Umaru-san. That was a superb serve!\That makes you all the more worthy to be my opponent!\Now, this is where the real battle begins!\Shupapaa\But we can just have a light match, right?\Yes, indeed!\You guys response:	Canzone Sylphyn Smash!
context: Nothing less from Umaru-san. That was a superb serve!\That makes you all the more worthy to be my opponent!\Now, this is where the real battle begins!\Shupapaa\But we can just have a light match, right?\Yes, indeed!\You guys\Canzone Sylphyn Smash! response:	Seriously
context: That makes you all the more worthy to be my opponent!\Now, this is where the real battle begins!\Shupapaa\But we can just have a light match, right?\Yes, indeed!\You guys\Canzone Sylphyn Smash!\Seriously response:	I'll protect you!
context: Now, this is where the real battle begins!\Shupapaa\But we can just have a light match, right?\Yes, indeed!\You guys\Canzone Sylphyn Smash!\Seriously\I'll protect you! response:	I love you, Kirie-chan!
context: Shupapaa\But we can just have a light match, right?\Yes, indeed!\You guys\Canzone Sylphyn Smash!\Seriously\I'll protect you!\I love you, Kirie-chan! response:	Ebimori-san!
context: But we can just have a light match, right?\Yes, indeed!\You guys\Canzone Sylphyn Smash!\Seriously\I'll protect you!\I love you, Kirie-chan!\Ebimori-san! response:	It's Ebina!
context: Yes, indeed!\You guys\Canzone Sylphyn Smash!\Seriously\I'll protect you!\I love you, Kirie-chan!\Ebimori-san!\It's Ebina! response:	You don't understand the rules, do you?
context: You guys\Canzone Sylphyn Smash!\Seriously\I'll protect you!\I love you, Kirie-chan!\Ebimori-san!\It's Ebina!\You don't understand the rules, do you? response:	Sylphyn Smash!
context: Canzone Sylphyn Smash!\Seriously\I'll protect you!\I love you, Kirie-chan!\Ebimori-san!\It's Ebina!\You don't understand the rules, do you?\Sylphyn Smash! response:	Kirie-chan!
context: Seriously\I'll protect you!\I love you, Kirie-chan!\Ebimori-san!\It's Ebina!\You don't understand the rules, do you?\Sylphyn Smash!\Kirie-chan! response:	You can
context: I'll protect you!\I love you, Kirie-chan!\Ebimori-san!\It's Ebina!\You don't understand the rules, do you?\Sylphyn Smash!\Kirie-chan!\You can response:	Ebikura-san!
context: I love you, Kirie-chan!\Ebimori-san!\It's Ebina!\You don't understand the rules, do you?\Sylphyn Smash!\Kirie-chan!\You can\Ebikura-san! response:	It's Ebina!
context: Ebimori-san!\It's Ebina!\You don't understand the rules, do you?\Sylphyn Smash!\Kirie-chan!\You can\Ebikura-san!\It's Ebina! response:	stop now
context: It's Ebina!\You don't understand the rules, do you?\Sylphyn Smash!\Kirie-chan!\You can\Ebikura-san!\It's Ebina!\stop now response:	What's the matter?
context: You don't understand the rules, do you?\Sylphyn Smash!\Kirie-chan!\You can\Ebikura-san!\It's Ebina!\stop now\What's the matter? response:	I-I can't move...
context: Sylphyn Smash!\Kirie-chan!\You can\Ebikura-san!\It's Ebina!\stop now\What's the matter?\I-I can't move... response:	Muscle Aches
context: Kirie-chan!\You can\Ebikura-san!\It's Ebina!\stop now\What's the matter?\I-I can't move...\Muscle Aches response:	Taihei-senpai.
context: You can\Ebikura-san!\It's Ebina!\stop now\What's the matter?\I-I can't move...\Muscle Aches\Taihei-senpai. response:	I just came from visiting my uncle in Europe, so I brought you a gift.
context: Ebikura-san!\It's Ebina!\stop now\What's the matter?\I-I can't move...\Muscle Aches\Taihei-senpai.\I just came from visiting my uncle in Europe, so I brought you a gift. response:	Oh, really? You shouldn't have.
context: It's Ebina!\stop now\What's the matter?\I-I can't move...\Muscle Aches\Taihei-senpai.\I just came from visiting my uncle in Europe, so I brought you a gift.\Oh, really? You shouldn't have. response:	I found something I thought you might like, so I couldn't resist.
context: stop now\What's the matter?\I-I can't move...\Muscle Aches\Taihei-senpai.\I just came from visiting my uncle in Europe, so I brought you a gift.\Oh, really? You shouldn't have.\I found something I thought you might like, so I couldn't resist. response:	Wow, thanks, Alex-kun.
context: What's the matter?\I-I can't move...\Muscle Aches\Taihei-senpai.\I just came from visiting my uncle in Europe, so I brought you a gift.\Oh, really? You shouldn't have.\I found something I thought you might like, so I couldn't resist.\Wow, thanks, Alex-kun. response:	Please take good care of it.
context: I-I can't move...\Muscle Aches\Taihei-senpai.\I just came from visiting my uncle in Europe, so I brought you a gift.\Oh, really? You shouldn't have.\I found something I thought you might like, so I couldn't resist.\Wow, thanks, Alex-kun.\Please take good care of it. response:	R-Right...
context: Muscle Aches\Taihei-senpai.\I just came from visiting my uncle in Europe, so I brought you a gift.\Oh, really? You shouldn't have.\I found something I thought you might like, so I couldn't resist.\Wow, thanks, Alex-kun.\Please take good care of it.\R-Right... response:	Apparently it's a cat figure with a bobbing head.
context: Taihei-senpai.\I just came from visiting my uncle in Europe, so I brought you a gift.\Oh, really? You shouldn't have.\I found something I thought you might like, so I couldn't resist.\Wow, thanks, Alex-kun.\Please take good care of it.\R-Right...\Apparently it's a cat figure with a bobbing head. response:	The fact that it's porcelain is totally not cute.
context: I just came from visiting my uncle in Europe, so I brought you a gift.\Oh, really? You shouldn't have.\I found something I thought you might like, so I couldn't resist.\Wow, thanks, Alex-kun.\Please take good care of it.\R-Right...\Apparently it's a cat figure with a bobbing head.\The fact that it's porcelain is totally not cute. response:	He said they were handmade individually by some craftsman over there.
context: Oh, really? You shouldn't have.\I found something I thought you might like, so I couldn't resist.\Wow, thanks, Alex-kun.\Please take good care of it.\R-Right...\Apparently it's a cat figure with a bobbing head.\The fact that it's porcelain is totally not cute.\He said they were handmade individually by some craftsman over there. response:	Anyway, it sure was thoughtful of the guy I trained to give me a gift.
context: I found something I thought you might like, so I couldn't resist.\Wow, thanks, Alex-kun.\Please take good care of it.\R-Right...\Apparently it's a cat figure with a bobbing head.\The fact that it's porcelain is totally not cute.\He said they were handmade individually by some craftsman over there.\Anyway, it sure was thoughtful of the guy I trained to give me a gift. response:	Nice to meet you. My name is Alex.
context: Wow, thanks, Alex-kun.\Please take good care of it.\R-Right...\Apparently it's a cat figure with a bobbing head.\The fact that it's porcelain is totally not cute.\He said they were handmade individually by some craftsman over there.\Anyway, it sure was thoughtful of the guy I trained to give me a gift.\Nice to meet you. My name is Alex. response:	Maybe one day he'll be your boss.
context: Please take good care of it.\R-Right...\Apparently it's a cat figure with a bobbing head.\The fact that it's porcelain is totally not cute.\He said they were handmade individually by some craftsman over there.\Anyway, it sure was thoughtful of the guy I trained to give me a gift.\Nice to meet you. My name is Alex.\Maybe one day he'll be your boss. response:	Taihei-kun, this isn't right.
context: R-Right...\Apparently it's a cat figure with a bobbing head.\The fact that it's porcelain is totally not cute.\He said they were handmade individually by some craftsman over there.\Anyway, it sure was thoughtful of the guy I trained to give me a gift.\Nice to meet you. My name is Alex.\Maybe one day he'll be your boss.\Taihei-kun, this isn't right. response:	I'm going to put it in here. Don't break it.
context: Apparently it's a cat figure with a bobbing head.\The fact that it's porcelain is totally not cute.\He said they were handmade individually by some craftsman over there.\Anyway, it sure was thoughtful of the guy I trained to give me a gift.\Nice to meet you. My name is Alex.\Maybe one day he'll be your boss.\Taihei-kun, this isn't right.\I'm going to put it in here. Don't break it. response:	It's not cute, so I won't touch it.
context: The fact that it's porcelain is totally not cute.\He said they were handmade individually by some craftsman over there.\Anyway, it sure was thoughtful of the guy I trained to give me a gift.\Nice to meet you. My name is Alex.\Maybe one day he'll be your boss.\Taihei-kun, this isn't right.\I'm going to put it in here. Don't break it.\It's not cute, so I won't touch it. response:	The Next Day
context: He said they were handmade individually by some craftsman over there.\Anyway, it sure was thoughtful of the guy I trained to give me a gift.\Nice to meet you. My name is Alex.\Maybe one day he'll be your boss.\Taihei-kun, this isn't right.\I'm going to put it in here. Don't break it.\It's not cute, so I won't touch it.\The Next Day response:	Shwing!
context: Anyway, it sure was thoughtful of the guy I trained to give me a gift.\Nice to meet you. My name is Alex.\Maybe one day he'll be your boss.\Taihei-kun, this isn't right.\I'm going to put it in here. Don't break it.\It's not cute, so I won't touch it.\The Next Day\Shwing! response:	A wild Hamsaburou has appeared!
context: Nice to meet you. My name is Alex.\Maybe one day he'll be your boss.\Taihei-kun, this isn't right.\I'm going to put it in here. Don't break it.\It's not cute, so I won't touch it.\The Next Day\Shwing!\A wild Hamsaburou has appeared! response:	Metal Nyankos! I choose you!
context: Maybe one day he'll be your boss.\Taihei-kun, this isn't right.\I'm going to put it in here. Don't break it.\It's not cute, so I won't touch it.\The Next Day\Shwing!\A wild Hamsaburou has appeared!\Metal Nyankos! I choose you! response:	Metal Nyankos bobs its head.
context: Taihei-kun, this isn't right.\I'm going to put it in here. Don't break it.\It's not cute, so I won't touch it.\The Next Day\Shwing!\A wild Hamsaburou has appeared!\Metal Nyankos! I choose you!\Metal Nyankos bobs its head. response:	Hamsaburou's defense goes way down.
context: I'm going to put it in here. Don't break it.\It's not cute, so I won't touch it.\The Next Day\Shwing!\A wild Hamsaburou has appeared!\Metal Nyankos! I choose you!\Metal Nyankos bobs its head.\Hamsaburou's defense goes way down. response:	Hamsaburou's life is low. Now's my chance to get him!
context: It's not cute, so I won't touch it.\The Next Day\Shwing!\A wild Hamsaburou has appeared!\Metal Nyankos! I choose you!\Metal Nyankos bobs its head.\Hamsaburou's defense goes way down.\Hamsaburou's life is low. Now's my chance to get him! response:	M-Metal Nyankos is so weak!
context: The Next Day\Shwing!\A wild Hamsaburou has appeared!\Metal Nyankos! I choose you!\Metal Nyankos bobs its head.\Hamsaburou's defense goes way down.\Hamsaburou's life is low. Now's my chance to get him!\M-Metal Nyankos is so weak! response:	End Watch Again!
context: Shwing!\A wild Hamsaburou has appeared!\Metal Nyankos! I choose you!\Metal Nyankos bobs its head.\Hamsaburou's defense goes way down.\Hamsaburou's life is low. Now's my chance to get him!\M-Metal Nyankos is so weak!\End Watch Again! response:	This isn't the time for that!
context: A wild Hamsaburou has appeared!\Metal Nyankos! I choose you!\Metal Nyankos bobs its head.\Hamsaburou's defense goes way down.\Hamsaburou's life is low. Now's my chance to get him!\M-Metal Nyankos is so weak!\End Watch Again!\This isn't the time for that! response:	Onii-chan's gonna kill me!
context: Metal Nyankos! I choose you!\Metal Nyankos bobs its head.\Hamsaburou's defense goes way down.\Hamsaburou's life is low. Now's my chance to get him!\M-Metal Nyankos is so weak!\End Watch Again!\This isn't the time for that!\Onii-chan's gonna kill me! response:	How many times did I tell you not to break it?!
context: Metal Nyankos bobs its head.\Hamsaburou's defense goes way down.\Hamsaburou's life is low. Now's my chance to get him!\M-Metal Nyankos is so weak!\End Watch Again!\This isn't the time for that!\Onii-chan's gonna kill me!\How many times did I tell you not to break it?! response:	I'm not buying you anything else, since you can't take care of anything!
context: Hamsaburou's defense goes way down.\Hamsaburou's life is low. Now's my chance to get him!\M-Metal Nyankos is so weak!\End Watch Again!\This isn't the time for that!\Onii-chan's gonna kill me!\How many times did I tell you not to break it?!\I'm not buying you anything else, since you can't take care of anything! response:	I will now begin the repairs.
context: Hamsaburou's life is low. Now's my chance to get him!\M-Metal Nyankos is so weak!\End Watch Again!\This isn't the time for that!\Onii-chan's gonna kill me!\How many times did I tell you not to break it?!\I'm not buying you anything else, since you can't take care of anything!\I will now begin the repairs. response:	There is no doubt that I will get in trouble if he finds this.
context: M-Metal Nyankos is so weak!\End Watch Again!\This isn't the time for that!\Onii-chan's gonna kill me!\How many times did I tell you not to break it?!\I'm not buying you anything else, since you can't take care of anything!\I will now begin the repairs.\There is no doubt that I will get in trouble if he finds this. response:	In order to avoid that, I'll have to make it so the destruction never happened.
context: End Watch Again!\This isn't the time for that!\Onii-chan's gonna kill me!\How many times did I tell you not to break it?!\I'm not buying you anything else, since you can't take care of anything!\I will now begin the repairs.\There is no doubt that I will get in trouble if he finds this.\In order to avoid that, I'll have to make it so the destruction never happened. response:	Umaru Makes the Colosseum
context: This isn't the time for that!\Onii-chan's gonna kill me!\How many times did I tell you not to break it?!\I'm not buying you anything else, since you can't take care of anything!\I will now begin the repairs.\There is no doubt that I will get in trouble if he finds this.\In order to avoid that, I'll have to make it so the destruction never happened.\Umaru Makes the Colosseum response:	My grade in art class is a 5.
context: Onii-chan's gonna kill me!\How many times did I tell you not to break it?!\I'm not buying you anything else, since you can't take care of anything!\I will now begin the repairs.\There is no doubt that I will get in trouble if he finds this.\In order to avoid that, I'll have to make it so the destruction never happened.\Umaru Makes the Colosseum\My grade in art class is a 5. response:	I shall control fate with these hands
context: How many times did I tell you not to break it?!\I'm not buying you anything else, since you can't take care of anything!\I will now begin the repairs.\There is no doubt that I will get in trouble if he finds this.\In order to avoid that, I'll have to make it so the destruction never happened.\Umaru Makes the Colosseum\My grade in art class is a 5.\I shall control fate with these hands response:	to achieve a future in which I don't get yelled at!
context: I'm not buying you anything else, since you can't take care of anything!\I will now begin the repairs.\There is no doubt that I will get in trouble if he finds this.\In order to avoid that, I'll have to make it so the destruction never happened.\Umaru Makes the Colosseum\My grade in art class is a 5.\I shall control fate with these hands\to achieve a future in which I don't get yelled at! response:	How to make an Akabeko
context: I will now begin the repairs.\There is no doubt that I will get in trouble if he finds this.\In order to avoid that, I'll have to make it so the destruction never happened.\Umaru Makes the Colosseum\My grade in art class is a 5.\I shall control fate with these hands\to achieve a future in which I don't get yelled at!\How to make an Akabeko response:	The system that makes its neck move is the same as an Akabeko.
context: There is no doubt that I will get in trouble if he finds this.\In order to avoid that, I'll have to make it so the destruction never happened.\Umaru Makes the Colosseum\My grade in art class is a 5.\I shall control fate with these hands\to achieve a future in which I don't get yelled at!\How to make an Akabeko\The system that makes its neck move is the same as an Akabeko. response:	I'll just have to stick the broken pieces together with a powerful glue,
context: In order to avoid that, I'll have to make it so the destruction never happened.\Umaru Makes the Colosseum\My grade in art class is a 5.\I shall control fate with these hands\to achieve a future in which I don't get yelled at!\How to make an Akabeko\The system that makes its neck move is the same as an Akabeko.\I'll just have to stick the broken pieces together with a powerful glue, response:	and I'll fill the cracks with putty.
context: Umaru Makes the Colosseum\My grade in art class is a 5.\I shall control fate with these hands\to achieve a future in which I don't get yelled at!\How to make an Akabeko\The system that makes its neck move is the same as an Akabeko.\I'll just have to stick the broken pieces together with a powerful glue,\and I'll fill the cracks with putty. response:	After it dries, I'll use sandpaper to sand it down.
context: My grade in art class is a 5.\I shall control fate with these hands\to achieve a future in which I don't get yelled at!\How to make an Akabeko\The system that makes its neck move is the same as an Akabeko.\I'll just have to stick the broken pieces together with a powerful glue,\and I'll fill the cracks with putty.\After it dries, I'll use sandpaper to sand it down. response:	I'll have to be careful with the touch-up so that it doesn't lose its vintage look.
context: I shall control fate with these hands\to achieve a future in which I don't get yelled at!\How to make an Akabeko\The system that makes its neck move is the same as an Akabeko.\I'll just have to stick the broken pieces together with a powerful glue,\and I'll fill the cracks with putty.\After it dries, I'll use sandpaper to sand it down.\I'll have to be careful with the touch-up so that it doesn't lose its vintage look. response:	The damage to the head is pretty bad.
context: to achieve a future in which I don't get yelled at!\How to make an Akabeko\The system that makes its neck move is the same as an Akabeko.\I'll just have to stick the broken pieces together with a powerful glue,\and I'll fill the cracks with putty.\After it dries, I'll use sandpaper to sand it down.\I'll have to be careful with the touch-up so that it doesn't lose its vintage look.\The damage to the head is pretty bad. response:	It'll be better to start from scratch.
context: How to make an Akabeko\The system that makes its neck move is the same as an Akabeko.\I'll just have to stick the broken pieces together with a powerful glue,\and I'll fill the cracks with putty.\After it dries, I'll use sandpaper to sand it down.\I'll have to be careful with the touch-up so that it doesn't lose its vintage look.\The damage to the head is pretty bad.\It'll be better to start from scratch. response:	I can't remember its face!
context: The system that makes its neck move is the same as an Akabeko.\I'll just have to stick the broken pieces together with a powerful glue,\and I'll fill the cracks with putty.\After it dries, I'll use sandpaper to sand it down.\I'll have to be careful with the touch-up so that it doesn't lose its vintage look.\The damage to the head is pretty bad.\It'll be better to start from scratch.\I can't remember its face! response:	This is the problem with vintage!
context: I'll just have to stick the broken pieces together with a powerful glue,\and I'll fill the cracks with putty.\After it dries, I'll use sandpaper to sand it down.\I'll have to be careful with the touch-up so that it doesn't lose its vintage look.\The damage to the head is pretty bad.\It'll be better to start from scratch.\I can't remember its face!\This is the problem with vintage! response:	I remember that it wasn't very cute, but...
context: and I'll fill the cracks with putty.\After it dries, I'll use sandpaper to sand it down.\I'll have to be careful with the touch-up so that it doesn't lose its vintage look.\The damage to the head is pretty bad.\It'll be better to start from scratch.\I can't remember its face!\This is the problem with vintage!\I remember that it wasn't very cute, but... response:	Come back... my memories!
context: After it dries, I'll use sandpaper to sand it down.\I'll have to be careful with the touch-up so that it doesn't lose its vintage look.\The damage to the head is pretty bad.\It'll be better to start from scratch.\I can't remember its face!\This is the problem with vintage!\I remember that it wasn't very cute, but...\Come back... my memories! response:	Pukka!
context: I'll have to be careful with the touch-up so that it doesn't lose its vintage look.\The damage to the head is pretty bad.\It'll be better to start from scratch.\I can't remember its face!\This is the problem with vintage!\I remember that it wasn't very cute, but...\Come back... my memories!\Pukka! response:	That's not it!
context: The damage to the head is pretty bad.\It'll be better to start from scratch.\I can't remember its face!\This is the problem with vintage!\I remember that it wasn't very cute, but...\Come back... my memories!\Pukka!\That's not it! response:	No matter what I do, I keep coming up with the wrong face!
context: It'll be better to start from scratch.\I can't remember its face!\This is the problem with vintage!\I remember that it wasn't very cute, but...\Come back... my memories!\Pukka!\That's not it!\No matter what I do, I keep coming up with the wrong face! response:	I have to somehow make it before Onii-chan comes home!
context: I can't remember its face!\This is the problem with vintage!\I remember that it wasn't very cute, but...\Come back... my memories!\Pukka!\That's not it!\No matter what I do, I keep coming up with the wrong face!\I have to somehow make it before Onii-chan comes home! response:	I'm sorry.
context: This is the problem with vintage!\I remember that it wasn't very cute, but...\Come back... my memories!\Pukka!\That's not it!\No matter what I do, I keep coming up with the wrong face!\I have to somehow make it before Onii-chan comes home!\I'm sorry. response:	So you broke it, and remade it.
context: I remember that it wasn't very cute, but...\Come back... my memories!\Pukka!\That's not it!\No matter what I do, I keep coming up with the wrong face!\I have to somehow make it before Onii-chan comes home!\I'm sorry.\So you broke it, and remade it. response:	Yes.
context: Come back... my memories!\Pukka!\That's not it!\No matter what I do, I keep coming up with the wrong face!\I have to somehow make it before Onii-chan comes home!\I'm sorry.\So you broke it, and remade it.\Yes. response:	Well, I'm not upset that you broke it.
context: Pukka!\That's not it!\No matter what I do, I keep coming up with the wrong face!\I have to somehow make it before Onii-chan comes home!\I'm sorry.\So you broke it, and remade it.\Yes.\Well, I'm not upset that you broke it. response:	Since you actually felt bad and apologized, I won't get mad.
context: That's not it!\No matter what I do, I keep coming up with the wrong face!\I have to somehow make it before Onii-chan comes home!\I'm sorry.\So you broke it, and remade it.\Yes.\Well, I'm not upset that you broke it.\Since you actually felt bad and apologized, I won't get mad. response:	Onii-chan...
context: No matter what I do, I keep coming up with the wrong face!\I have to somehow make it before Onii-chan comes home!\I'm sorry.\So you broke it, and remade it.\Yes.\Well, I'm not upset that you broke it.\Since you actually felt bad and apologized, I won't get mad.\Onii-chan... response:	Hehehe, I'm saved.
context: I have to somehow make it before Onii-chan comes home!\I'm sorry.\So you broke it, and remade it.\Yes.\Well, I'm not upset that you broke it.\Since you actually felt bad and apologized, I won't get mad.\Onii-chan...\Hehehe, I'm saved. response:	More importantly...
context: I'm sorry.\So you broke it, and remade it.\Yes.\Well, I'm not upset that you broke it.\Since you actually felt bad and apologized, I won't get mad.\Onii-chan...\Hehehe, I'm saved.\More importantly... response:	How did you buy all these tools you used for the cover-up?
context: So you broke it, and remade it.\Yes.\Well, I'm not upset that you broke it.\Since you actually felt bad and apologized, I won't get mad.\Onii-chan...\Hehehe, I'm saved.\More importantly...\How did you buy all these tools you used for the cover-up? response:	U-Um... I bought them at the hardware store...
context: Yes.\Well, I'm not upset that you broke it.\Since you actually felt bad and apologized, I won't get mad.\Onii-chan...\Hehehe, I'm saved.\More importantly...\How did you buy all these tools you used for the cover-up?\U-Um... I bought them at the hardware store... response:	With your card.
context: Well, I'm not upset that you broke it.\Since you actually felt bad and apologized, I won't get mad.\Onii-chan...\Hehehe, I'm saved.\More importantly...\How did you buy all these tools you used for the cover-up?\U-Um... I bought them at the hardware store...\With your card. response:	How do you know my PIN?!
context: Since you actually felt bad and apologized, I won't get mad.\Onii-chan...\Hehehe, I'm saved.\More importantly...\How did you buy all these tools you used for the cover-up?\U-Um... I bought them at the hardware store...\With your card.\How do you know my PIN?! response:	Pocket Hamster
context: Onii-chan...\Hehehe, I'm saved.\More importantly...\How did you buy all these tools you used for the cover-up?\U-Um... I bought them at the hardware store...\With your card.\How do you know my PIN?!\Pocket Hamster response:	Onii-chan
context: Hehehe, I'm saved.\More importantly...\How did you buy all these tools you used for the cover-up?\U-Um... I bought them at the hardware store...\With your card.\How do you know my PIN?!\Pocket Hamster\Onii-chan response:	Onii-chan Umaru, starting today, you're a trainer!
context: More importantly...\How did you buy all these tools you used for the cover-up?\U-Um... I bought them at the hardware store...\With your card.\How do you know my PIN?!\Pocket Hamster\Onii-chan\Onii-chan Umaru, starting today, you're a trainer! response:	Umaru
context: How did you buy all these tools you used for the cover-up?\U-Um... I bought them at the hardware store...\With your card.\How do you know my PIN?!\Pocket Hamster\Onii-chan\Onii-chan Umaru, starting today, you're a trainer!\Umaru response:	Umaru Ugh, just 5 more minutes.
context: U-Um... I bought them at the hardware store...\With your card.\How do you know my PIN?!\Pocket Hamster\Onii-chan\Onii-chan Umaru, starting today, you're a trainer!\Umaru\Umaru Ugh, just 5 more minutes. response:	There! Take that!
context: With your card.\How do you know my PIN?!\Pocket Hamster\Onii-chan\Onii-chan Umaru, starting today, you're a trainer!\Umaru\Umaru Ugh, just 5 more minutes.\There! Take that! response:	This is the final blow!
context: How do you know my PIN?!\Pocket Hamster\Onii-chan\Onii-chan Umaru, starting today, you're a trainer!\Umaru\Umaru Ugh, just 5 more minutes.\There! Take that!\This is the final blow! response:	Looks like I'm still a bit weak on connecting the fifth combo.
context: Pocket Hamster\Onii-chan\Onii-chan Umaru, starting today, you're a trainer!\Umaru\Umaru Ugh, just 5 more minutes.\There! Take that!\This is the final blow!\Looks like I'm still a bit weak on connecting the fifth combo. response:	I'll have to look over the pattern again.
context: Onii-chan\Onii-chan Umaru, starting today, you're a trainer!\Umaru\Umaru Ugh, just 5 more minutes.\There! Take that!\This is the final blow!\Looks like I'm still a bit weak on connecting the fifth combo.\I'll have to look over the pattern again. response:	I'm home.
context: Onii-chan Umaru, starting today, you're a trainer!\Umaru\Umaru Ugh, just 5 more minutes.\There! Take that!\This is the final blow!\Looks like I'm still a bit weak on connecting the fifth combo.\I'll have to look over the pattern again.\I'm home. response:	Invitation Dear UMR, Thank you for participating in the recent Plaza GAPCOM game tournament.
context: Umaru\Umaru Ugh, just 5 more minutes.\There! Take that!\This is the final blow!\Looks like I'm still a bit weak on connecting the fifth combo.\I'll have to look over the pattern again.\I'm home.\Invitation Dear UMR, Thank you for participating in the recent Plaza GAPCOM game tournament. response:	A game tournament?
