context: I have to get some proper rest. response:	Don't disturb me again.
context: His Lordship?\Old Lord Dong Hua is...\Is he old?\Not at all!\Although Lord Dong Hua was already around during the old Heavenly Lord's reign\he still looks so young!\He's not old at all! Not at all!\This is made from Buddha's mythical bird, the Roc Bird's feathers. response:	This is the Luminous Pearl of Chang Sea.
context: Old Lord Dong Hua is...\Is he old?\Not at all!\Although Lord Dong Hua was already around during the old Heavenly Lord's reign\he still looks so young!\He's not old at all! Not at all!\This is made from Buddha's mythical bird, the Roc Bird's feathers.\This is the Luminous Pearl of Chang Sea. response:	Leave your names behind in the front hall so I know who sent these gifts.
context: Is he old?\Not at all!\Although Lord Dong Hua was already around during the old Heavenly Lord's reign\he still looks so young!\He's not old at all! Not at all!\This is made from Buddha's mythical bird, the Roc Bird's feathers.\This is the Luminous Pearl of Chang Sea.\Leave your names behind in the front hall so I know who sent these gifts. response:	Then I can have them returned.
context: Not at all!\Although Lord Dong Hua was already around during the old Heavenly Lord's reign\he still looks so young!\He's not old at all! Not at all!\This is made from Buddha's mythical bird, the Roc Bird's feathers.\This is the Luminous Pearl of Chang Sea.\Leave your names behind in the front hall so I know who sent these gifts.\Then I can have them returned. response:	Little Princess has accepted so many gifts. Could you return them all?
context: Although Lord Dong Hua was already around during the old Heavenly Lord's reign\he still looks so young!\He's not old at all! Not at all!\This is made from Buddha's mythical bird, the Roc Bird's feathers.\This is the Luminous Pearl of Chang Sea.\Leave your names behind in the front hall so I know who sent these gifts.\Then I can have them returned.\Little Princess has accepted so many gifts. Could you return them all? response:	Star Lord.
context: he still looks so young!\He's not old at all! Not at all!\This is made from Buddha's mythical bird, the Roc Bird's feathers.\This is the Luminous Pearl of Chang Sea.\Leave your names behind in the front hall so I know who sent these gifts.\Then I can have them returned.\Little Princess has accepted so many gifts. Could you return them all?\Star Lord. response:	Star Lord, you came at the right time.
context: He's not old at all! Not at all!\This is made from Buddha's mythical bird, the Roc Bird's feathers.\This is the Luminous Pearl of Chang Sea.\Leave your names behind in the front hall so I know who sent these gifts.\Then I can have them returned.\Little Princess has accepted so many gifts. Could you return them all?\Star Lord.\Star Lord, you came at the right time. response:	Keep her company.
context: This is made from Buddha's mythical bird, the Roc Bird's feathers.\This is the Luminous Pearl of Chang Sea.\Leave your names behind in the front hall so I know who sent these gifts.\Then I can have them returned.\Little Princess has accepted so many gifts. Could you return them all?\Star Lord.\Star Lord, you came at the right time.\Keep her company. response:	I'm going back to bed.
context: This is the Luminous Pearl of Chang Sea.\Leave your names behind in the front hall so I know who sent these gifts.\Then I can have them returned.\Little Princess has accepted so many gifts. Could you return them all?\Star Lord.\Star Lord, you came at the right time.\Keep her company.\I'm going back to bed. response:	Star Lord, after seeing so many people today, seeing your face just made my day.
context: Leave your names behind in the front hall so I know who sent these gifts.\Then I can have them returned.\Little Princess has accepted so many gifts. Could you return them all?\Star Lord.\Star Lord, you came at the right time.\Keep her company.\I'm going back to bed.\Star Lord, after seeing so many people today, seeing your face just made my day. response:	Really?
context: Then I can have them returned.\Little Princess has accepted so many gifts. Could you return them all?\Star Lord.\Star Lord, you came at the right time.\Keep her company.\I'm going back to bed.\Star Lord, after seeing so many people today, seeing your face just made my day.\Really? response:	Is my face that useful?
context: Little Princess has accepted so many gifts. Could you return them all?\Star Lord.\Star Lord, you came at the right time.\Keep her company.\I'm going back to bed.\Star Lord, after seeing so many people today, seeing your face just made my day.\Really?\Is my face that useful? response:	Tell me. Why have you come to see me today?
context: Star Lord.\Star Lord, you came at the right time.\Keep her company.\I'm going back to bed.\Star Lord, after seeing so many people today, seeing your face just made my day.\Really?\Is my face that useful?\Tell me. Why have you come to see me today? response:	Congratulations, Little Princess.
context: Star Lord, you came at the right time.\Keep her company.\I'm going back to bed.\Star Lord, after seeing so many people today, seeing your face just made my day.\Really?\Is my face that useful?\Tell me. Why have you come to see me today?\Congratulations, Little Princess. response:	Although it took you 300 years you finally repaid the kindness you owed.
context: Keep her company.\I'm going back to bed.\Star Lord, after seeing so many people today, seeing your face just made my day.\Really?\Is my face that useful?\Tell me. Why have you come to see me today?\Congratulations, Little Princess.\Although it took you 300 years you finally repaid the kindness you owed. response:	Yes.
context: I'm going back to bed.\Star Lord, after seeing so many people today, seeing your face just made my day.\Really?\Is my face that useful?\Tell me. Why have you come to see me today?\Congratulations, Little Princess.\Although it took you 300 years you finally repaid the kindness you owed.\Yes. response:	After I've repaid this kindness
context: Star Lord, after seeing so many people today, seeing your face just made my day.\Really?\Is my face that useful?\Tell me. Why have you come to see me today?\Congratulations, Little Princess.\Although it took you 300 years you finally repaid the kindness you owed.\Yes.\After I've repaid this kindness response:	I no longer have anything to do with the Nine Heavens.
context: Really?\Is my face that useful?\Tell me. Why have you come to see me today?\Congratulations, Little Princess.\Although it took you 300 years you finally repaid the kindness you owed.\Yes.\After I've repaid this kindness\I no longer have anything to do with the Nine Heavens. response:	Star Lord, don't you usually watch over the events of the Mortal Realm?
context: Is my face that useful?\Tell me. Why have you come to see me today?\Congratulations, Little Princess.\Although it took you 300 years you finally repaid the kindness you owed.\Yes.\After I've repaid this kindness\I no longer have anything to do with the Nine Heavens.\Star Lord, don't you usually watch over the events of the Mortal Realm? response:	Why would you have the time to visit me today?
context: Tell me. Why have you come to see me today?\Congratulations, Little Princess.\Although it took you 300 years you finally repaid the kindness you owed.\Yes.\After I've repaid this kindness\I no longer have anything to do with the Nine Heavens.\Star Lord, don't you usually watch over the events of the Mortal Realm?\Why would you have the time to visit me today? response:	Lord Dong Hua has ordered me to bring these two items to you.
context: Congratulations, Little Princess.\Although it took you 300 years you finally repaid the kindness you owed.\Yes.\After I've repaid this kindness\I no longer have anything to do with the Nine Heavens.\Star Lord, don't you usually watch over the events of the Mortal Realm?\Why would you have the time to visit me today?\Lord Dong Hua has ordered me to bring these two items to you. response:	His Lordship said that you saved him in the Mortal Realm, so you're now even.
context: Although it took you 300 years you finally repaid the kindness you owed.\Yes.\After I've repaid this kindness\I no longer have anything to do with the Nine Heavens.\Star Lord, don't you usually watch over the events of the Mortal Realm?\Why would you have the time to visit me today?\Lord Dong Hua has ordered me to bring these two items to you.\His Lordship said that you saved him in the Mortal Realm, so you're now even. response:	He doesn't need these two items with him.
context: Yes.\After I've repaid this kindness\I no longer have anything to do with the Nine Heavens.\Star Lord, don't you usually watch over the events of the Mortal Realm?\Why would you have the time to visit me today?\Lord Dong Hua has ordered me to bring these two items to you.\His Lordship said that you saved him in the Mortal Realm, so you're now even.\He doesn't need these two items with him. response:	Therefore, he returns them to you as a keepsake of your encounter.
context: After I've repaid this kindness\I no longer have anything to do with the Nine Heavens.\Star Lord, don't you usually watch over the events of the Mortal Realm?\Why would you have the time to visit me today?\Lord Dong Hua has ordered me to bring these two items to you.\His Lordship said that you saved him in the Mortal Realm, so you're now even.\He doesn't need these two items with him.\Therefore, he returns them to you as a keepsake of your encounter. response:	Your Majesty needs only to remember that I took this shot willingly for you.
context: I no longer have anything to do with the Nine Heavens.\Star Lord, don't you usually watch over the events of the Mortal Realm?\Why would you have the time to visit me today?\Lord Dong Hua has ordered me to bring these two items to you.\His Lordship said that you saved him in the Mortal Realm, so you're now even.\He doesn't need these two items with him.\Therefore, he returns them to you as a keepsake of your encounter.\Your Majesty needs only to remember that I took this shot willingly for you. response:	I don't seek any reward in return
context: Star Lord, don't you usually watch over the events of the Mortal Realm?\Why would you have the time to visit me today?\Lord Dong Hua has ordered me to bring these two items to you.\His Lordship said that you saved him in the Mortal Realm, so you're now even.\He doesn't need these two items with him.\Therefore, he returns them to you as a keepsake of your encounter.\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return response:	but to have Your Majesty remember me always.
context: Why would you have the time to visit me today?\Lord Dong Hua has ordered me to bring these two items to you.\His Lordship said that you saved him in the Mortal Realm, so you're now even.\He doesn't need these two items with him.\Therefore, he returns them to you as a keepsake of your encounter.\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always. response:	Forever. For all eternity.
context: Lord Dong Hua has ordered me to bring these two items to you.\His Lordship said that you saved him in the Mortal Realm, so you're now even.\He doesn't need these two items with him.\Therefore, he returns them to you as a keepsake of your encounter.\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity. response:	For all eternity, I'll never let you down.
context: His Lordship said that you saved him in the Mortal Realm, so you're now even.\He doesn't need these two items with him.\Therefore, he returns them to you as a keepsake of your encounter.\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity.\For all eternity, I'll never let you down. response:	I understand.
context: He doesn't need these two items with him.\Therefore, he returns them to you as a keepsake of your encounter.\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity.\For all eternity, I'll never let you down.\I understand. response:	Star Lord had to deliver worthless things as well.
context: Therefore, he returns them to you as a keepsake of your encounter.\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity.\For all eternity, I'll never let you down.\I understand.\Star Lord had to deliver worthless things as well. response:	His Lordship really is... insensitive.
context: Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity.\For all eternity, I'll never let you down.\I understand.\Star Lord had to deliver worthless things as well.\His Lordship really is... insensitive. response:	That day when we were on the run there was a thunderstorm...
context: I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity.\For all eternity, I'll never let you down.\I understand.\Star Lord had to deliver worthless things as well.\His Lordship really is... insensitive.\That day when we were on the run there was a thunderstorm... response:	Was it Star Lord who made it difficult for us?
context: but to have Your Majesty remember me always.\Forever. For all eternity.\For all eternity, I'll never let you down.\I understand.\Star Lord had to deliver worthless things as well.\His Lordship really is... insensitive.\That day when we were on the run there was a thunderstorm...\Was it Star Lord who made it difficult for us? response:	You're the princess of Qing Qiu, not some common woman.
context: Forever. For all eternity.\For all eternity, I'll never let you down.\I understand.\Star Lord had to deliver worthless things as well.\His Lordship really is... insensitive.\That day when we were on the run there was a thunderstorm...\Was it Star Lord who made it difficult for us?\You're the princess of Qing Qiu, not some common woman. response:	You should understand even if I leave some words unsaid.
context: For all eternity, I'll never let you down.\I understand.\Star Lord had to deliver worthless things as well.\His Lordship really is... insensitive.\That day when we were on the run there was a thunderstorm...\Was it Star Lord who made it difficult for us?\You're the princess of Qing Qiu, not some common woman.\You should understand even if I leave some words unsaid. response:	I understand.
context: I understand.\Star Lord had to deliver worthless things as well.\His Lordship really is... insensitive.\That day when we were on the run there was a thunderstorm...\Was it Star Lord who made it difficult for us?\You're the princess of Qing Qiu, not some common woman.\You should understand even if I leave some words unsaid.\I understand. response:	The romance started in the Mortal Realm and it ends there.
context: Star Lord had to deliver worthless things as well.\His Lordship really is... insensitive.\That day when we were on the run there was a thunderstorm...\Was it Star Lord who made it difficult for us?\You're the princess of Qing Qiu, not some common woman.\You should understand even if I leave some words unsaid.\I understand.\The romance started in the Mortal Realm and it ends there. response:	The romance started in the Mortal Realm and it ends there.
context: His Lordship really is... insensitive.\That day when we were on the run there was a thunderstorm...\Was it Star Lord who made it difficult for us?\You're the princess of Qing Qiu, not some common woman.\You should understand even if I leave some words unsaid.\I understand.\The romance started in the Mortal Realm and it ends there.\The romance started in the Mortal Realm and it ends there. response:	That does sound good.
context: That day when we were on the run there was a thunderstorm...\Was it Star Lord who made it difficult for us?\You're the princess of Qing Qiu, not some common woman.\You should understand even if I leave some words unsaid.\I understand.\The romance started in the Mortal Realm and it ends there.\The romance started in the Mortal Realm and it ends there.\That does sound good. response:	Your Lordship!
context: Was it Star Lord who made it difficult for us?\You're the princess of Qing Qiu, not some common woman.\You should understand even if I leave some words unsaid.\I understand.\The romance started in the Mortal Realm and it ends there.\The romance started in the Mortal Realm and it ends there.\That does sound good.\Your Lordship! response:	If the romance started in the Mortal Realm and really ended there
context: You're the princess of Qing Qiu, not some common woman.\You should understand even if I leave some words unsaid.\I understand.\The romance started in the Mortal Realm and it ends there.\The romance started in the Mortal Realm and it ends there.\That does sound good.\Your Lordship!\If the romance started in the Mortal Realm and really ended there response:	what is Your Lordship doing in this shabby hut?
context: You should understand even if I leave some words unsaid.\I understand.\The romance started in the Mortal Realm and it ends there.\The romance started in the Mortal Realm and it ends there.\That does sound good.\Your Lordship!\If the romance started in the Mortal Realm and really ended there\what is Your Lordship doing in this shabby hut? response:	What is it that you can't forget?
context: I understand.\The romance started in the Mortal Realm and it ends there.\The romance started in the Mortal Realm and it ends there.\That does sound good.\Your Lordship!\If the romance started in the Mortal Realm and really ended there\what is Your Lordship doing in this shabby hut?\What is it that you can't forget? response:	Do you still remember that I took that shot for you?
context: The romance started in the Mortal Realm and it ends there.\The romance started in the Mortal Realm and it ends there.\That does sound good.\Your Lordship!\If the romance started in the Mortal Realm and really ended there\what is Your Lordship doing in this shabby hut?\What is it that you can't forget?\Do you still remember that I took that shot for you? response:	What did I say then?
context: The romance started in the Mortal Realm and it ends there.\That does sound good.\Your Lordship!\If the romance started in the Mortal Realm and really ended there\what is Your Lordship doing in this shabby hut?\What is it that you can't forget?\Do you still remember that I took that shot for you?\What did I say then? response:	Your Majesty needs only to remember that I took this shot willingly for you.
context: That does sound good.\Your Lordship!\If the romance started in the Mortal Realm and really ended there\what is Your Lordship doing in this shabby hut?\What is it that you can't forget?\Do you still remember that I took that shot for you?\What did I say then?\Your Majesty needs only to remember that I took this shot willingly for you. response:	I don't seek any reward in return
context: Your Lordship!\If the romance started in the Mortal Realm and really ended there\what is Your Lordship doing in this shabby hut?\What is it that you can't forget?\Do you still remember that I took that shot for you?\What did I say then?\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return response:	but to have Your Majesty remember me always.
context: If the romance started in the Mortal Realm and really ended there\what is Your Lordship doing in this shabby hut?\What is it that you can't forget?\Do you still remember that I took that shot for you?\What did I say then?\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always. response:	Forever. For all eternity.
context: what is Your Lordship doing in this shabby hut?\What is it that you can't forget?\Do you still remember that I took that shot for you?\What did I say then?\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity. response:	I do.
context: What is it that you can't forget?\Do you still remember that I took that shot for you?\What did I say then?\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity.\I do. response:	Your Lordship...
context: Do you still remember that I took that shot for you?\What did I say then?\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity.\I do.\Your Lordship... response:	I came to the Mortal Realm to take the heavenly trial.
context: What did I say then?\Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity.\I do.\Your Lordship...\I came to the Mortal Realm to take the heavenly trial. response:	And experience the sufferings of the mortals.
context: Your Majesty needs only to remember that I took this shot willingly for you.\I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity.\I do.\Your Lordship...\I came to the Mortal Realm to take the heavenly trial.\And experience the sufferings of the mortals. response:	Even if this is your trial of romance it also counts as my heavenly trial.
context: I don't seek any reward in return\but to have Your Majesty remember me always.\Forever. For all eternity.\I do.\Your Lordship...\I came to the Mortal Realm to take the heavenly trial.\And experience the sufferings of the mortals.\Even if this is your trial of romance it also counts as my heavenly trial. response:	Feng Jiu, you have to understand that we aren't common mortals.
context: but to have Your Majesty remember me always.\Forever. For all eternity.\I do.\Your Lordship...\I came to the Mortal Realm to take the heavenly trial.\And experience the sufferings of the mortals.\Even if this is your trial of romance it also counts as my heavenly trial.\Feng Jiu, you have to understand that we aren't common mortals. response:	Flowers bloom and then wither.
context: Forever. For all eternity.\I do.\Your Lordship...\I came to the Mortal Realm to take the heavenly trial.\And experience the sufferings of the mortals.\Even if this is your trial of romance it also counts as my heavenly trial.\Feng Jiu, you have to understand that we aren't common mortals.\Flowers bloom and then wither. response:	All things come to an end.
context: I do.\Your Lordship...\I came to the Mortal Realm to take the heavenly trial.\And experience the sufferings of the mortals.\Even if this is your trial of romance it also counts as my heavenly trial.\Feng Jiu, you have to understand that we aren't common mortals.\Flowers bloom and then wither.\All things come to an end. response:	Holding on to it would only bring you and the others pain.
context: Your Lordship...\I came to the Mortal Realm to take the heavenly trial.\And experience the sufferings of the mortals.\Even if this is your trial of romance it also counts as my heavenly trial.\Feng Jiu, you have to understand that we aren't common mortals.\Flowers bloom and then wither.\All things come to an end.\Holding on to it would only bring you and the others pain. response:	Father.
context: I came to the Mortal Realm to take the heavenly trial.\And experience the sufferings of the mortals.\Even if this is your trial of romance it also counts as my heavenly trial.\Feng Jiu, you have to understand that we aren't common mortals.\Flowers bloom and then wither.\All things come to an end.\Holding on to it would only bring you and the others pain.\Father. response:	I've come home.
context: And experience the sufferings of the mortals.\Even if this is your trial of romance it also counts as my heavenly trial.\Feng Jiu, you have to understand that we aren't common mortals.\Flowers bloom and then wither.\All things come to an end.\Holding on to it would only bring you and the others pain.\Father.\I've come home. response:	I'll get ready to make you dinner.
context: Even if this is your trial of romance it also counts as my heavenly trial.\Feng Jiu, you have to understand that we aren't common mortals.\Flowers bloom and then wither.\All things come to an end.\Holding on to it would only bring you and the others pain.\Father.\I've come home.\I'll get ready to make you dinner. response:	Go ahead.
context: Feng Jiu, you have to understand that we aren't common mortals.\Flowers bloom and then wither.\All things come to an end.\Holding on to it would only bring you and the others pain.\Father.\I've come home.\I'll get ready to make you dinner.\Go ahead. response:	I'll take my leave.
context: Flowers bloom and then wither.\All things come to an end.\Holding on to it would only bring you and the others pain.\Father.\I've come home.\I'll get ready to make you dinner.\Go ahead.\I'll take my leave. response:	You woke up at the right time.
context: All things come to an end.\Holding on to it would only bring you and the others pain.\Father.\I've come home.\I'll get ready to make you dinner.\Go ahead.\I'll take my leave.\You woke up at the right time. response:	I made you an arm.
context: Holding on to it would only bring you and the others pain.\Father.\I've come home.\I'll get ready to make you dinner.\Go ahead.\I'll take my leave.\You woke up at the right time.\I made you an arm. response:	Try and see if it fits?
context: Father.\I've come home.\I'll get ready to make you dinner.\Go ahead.\I'll take my leave.\You woke up at the right time.\I made you an arm.\Try and see if it fits? response:	I can't feel it.
context: I've come home.\I'll get ready to make you dinner.\Go ahead.\I'll take my leave.\You woke up at the right time.\I made you an arm.\Try and see if it fits?\I can't feel it. response:	It was very difficult to make it look real.
context: I'll get ready to make you dinner.\Go ahead.\I'll take my leave.\You woke up at the right time.\I made you an arm.\Try and see if it fits?\I can't feel it.\It was very difficult to make it look real. response:	Just keep it on for now.
context: Go ahead.\I'll take my leave.\You woke up at the right time.\I made you an arm.\Try and see if it fits?\I can't feel it.\It was very difficult to make it look real.\Just keep it on for now. response:	Perhaps in a couple thousand years it might be able to move.
context: I'll take my leave.\You woke up at the right time.\I made you an arm.\Try and see if it fits?\I can't feel it.\It was very difficult to make it look real.\Just keep it on for now.\Perhaps in a couple thousand years it might be able to move. response:	Thank you, High God.
context: You woke up at the right time.\I made you an arm.\Try and see if it fits?\I can't feel it.\It was very difficult to make it look real.\Just keep it on for now.\Perhaps in a couple thousand years it might be able to move.\Thank you, High God. response:	You really should thank me.
context: I made you an arm.\Try and see if it fits?\I can't feel it.\It was very difficult to make it look real.\Just keep it on for now.\Perhaps in a couple thousand years it might be able to move.\Thank you, High God.\You really should thank me. response:	It took me great efforts to treat your injuries.
context: Try and see if it fits?\I can't feel it.\It was very difficult to make it look real.\Just keep it on for now.\Perhaps in a couple thousand years it might be able to move.\Thank you, High God.\You really should thank me.\It took me great efforts to treat your injuries. response:	I was terrified that
context: I can't feel it.\It was very difficult to make it look real.\Just keep it on for now.\Perhaps in a couple thousand years it might be able to move.\Thank you, High God.\You really should thank me.\It took me great efforts to treat your injuries.\I was terrified that response:	the Crown Prince of the Celestial Tribe's soul would vanish and die
context: It was very difficult to make it look real.\Just keep it on for now.\Perhaps in a couple thousand years it might be able to move.\Thank you, High God.\You really should thank me.\It took me great efforts to treat your injuries.\I was terrified that\the Crown Prince of the Celestial Tribe's soul would vanish and die response:	here in Ten-mile Peach Tree Woods.
context: Just keep it on for now.\Perhaps in a couple thousand years it might be able to move.\Thank you, High God.\You really should thank me.\It took me great efforts to treat your injuries.\I was terrified that\the Crown Prince of the Celestial Tribe's soul would vanish and die\here in Ten-mile Peach Tree Woods. response:	I would feel wronged.
context: Perhaps in a couple thousand years it might be able to move.\Thank you, High God.\You really should thank me.\It took me great efforts to treat your injuries.\I was terrified that\the Crown Prince of the Celestial Tribe's soul would vanish and die\here in Ten-mile Peach Tree Woods.\I would feel wronged. response:	You just woke up and you're already pushing yourself so hard?
context: Thank you, High God.\You really should thank me.\It took me great efforts to treat your injuries.\I was terrified that\the Crown Prince of the Celestial Tribe's soul would vanish and die\here in Ten-mile Peach Tree Woods.\I would feel wronged.\You just woke up and you're already pushing yourself so hard? response:	What day is it?
context: You really should thank me.\It took me great efforts to treat your injuries.\I was terrified that\the Crown Prince of the Celestial Tribe's soul would vanish and die\here in Ten-mile Peach Tree Woods.\I would feel wronged.\You just woke up and you're already pushing yourself so hard?\What day is it? response:	Is Qian Qian still in West Sea?
context: It took me great efforts to treat your injuries.\I was terrified that\the Crown Prince of the Celestial Tribe's soul would vanish and die\here in Ten-mile Peach Tree Woods.\I would feel wronged.\You just woke up and you're already pushing yourself so hard?\What day is it?\Is Qian Qian still in West Sea? response:	That's hard to say.
context: I was terrified that\the Crown Prince of the Celestial Tribe's soul would vanish and die\here in Ten-mile Peach Tree Woods.\I would feel wronged.\You just woke up and you're already pushing yourself so hard?\What day is it?\Is Qian Qian still in West Sea?\That's hard to say. response:	Die Feng told me that you've instructed Qian Qian
context: the Crown Prince of the Celestial Tribe's soul would vanish and die\here in Ten-mile Peach Tree Woods.\I would feel wronged.\You just woke up and you're already pushing yourself so hard?\What day is it?\Is Qian Qian still in West Sea?\That's hard to say.\Die Feng told me that you've instructed Qian Qian response:	to stay by the eldest prince of West Sea for three full nights.
context: here in Ten-mile Peach Tree Woods.\I would feel wronged.\You just woke up and you're already pushing yourself so hard?\What day is it?\Is Qian Qian still in West Sea?\That's hard to say.\Die Feng told me that you've instructed Qian Qian\to stay by the eldest prince of West Sea for three full nights. response:	Not an hour is to be missed.
context: I would feel wronged.\You just woke up and you're already pushing yourself so hard?\What day is it?\Is Qian Qian still in West Sea?\That's hard to say.\Die Feng told me that you've instructed Qian Qian\to stay by the eldest prince of West Sea for three full nights.\Not an hour is to be missed. response:	It's three full nights till this morning.
context: You just woke up and you're already pushing yourself so hard?\What day is it?\Is Qian Qian still in West Sea?\That's hard to say.\Die Feng told me that you've instructed Qian Qian\to stay by the eldest prince of West Sea for three full nights.\Not an hour is to be missed.\It's three full nights till this morning. response:	High God, have you seen my elixir?
context: What day is it?\Is Qian Qian still in West Sea?\That's hard to say.\Die Feng told me that you've instructed Qian Qian\to stay by the eldest prince of West Sea for three full nights.\Not an hour is to be missed.\It's three full nights till this morning.\High God, have you seen my elixir? response:	It's right here.
context: Is Qian Qian still in West Sea?\That's hard to say.\Die Feng told me that you've instructed Qian Qian\to stay by the eldest prince of West Sea for three full nights.\Not an hour is to be missed.\It's three full nights till this morning.\High God, have you seen my elixir?\It's right here. response:	That's good.
context: That's hard to say.\Die Feng told me that you've instructed Qian Qian\to stay by the eldest prince of West Sea for three full nights.\Not an hour is to be missed.\It's three full nights till this morning.\High God, have you seen my elixir?\It's right here.\That's good. response:	Please hand this elixir over to Qian Qian for me.
context: Die Feng told me that you've instructed Qian Qian\to stay by the eldest prince of West Sea for three full nights.\Not an hour is to be missed.\It's three full nights till this morning.\High God, have you seen my elixir?\It's right here.\That's good.\Please hand this elixir over to Qian Qian for me. response:	However, please don't tell her that it's from me.
context: to stay by the eldest prince of West Sea for three full nights.\Not an hour is to be missed.\It's three full nights till this morning.\High God, have you seen my elixir?\It's right here.\That's good.\Please hand this elixir over to Qian Qian for me.\However, please don't tell her that it's from me. response:	I can give it to her.
context: Not an hour is to be missed.\It's three full nights till this morning.\High God, have you seen my elixir?\It's right here.\That's good.\Please hand this elixir over to Qian Qian for me.\However, please don't tell her that it's from me.\I can give it to her. response:	But you have to tell me where you get it.
context: It's three full nights till this morning.\High God, have you seen my elixir?\It's right here.\That's good.\Please hand this elixir over to Qian Qian for me.\However, please don't tell her that it's from me.\I can give it to her.\But you have to tell me where you get it. response:	My senior gave me an elixir for mastering my training.
context: High God, have you seen my elixir?\It's right here.\That's good.\Please hand this elixir over to Qian Qian for me.\However, please don't tell her that it's from me.\I can give it to her.\But you have to tell me where you get it.\My senior gave me an elixir for mastering my training. response:	A few days ago, Heavenly Lord sent me to Yingzhou of the Eastern Sea
context: It's right here.\That's good.\Please hand this elixir over to Qian Qian for me.\However, please don't tell her that it's from me.\I can give it to her.\But you have to tell me where you get it.\My senior gave me an elixir for mastering my training.\A few days ago, Heavenly Lord sent me to Yingzhou of the Eastern Sea response:	to eliminate all divine fungal grass.
context: That's good.\Please hand this elixir over to Qian Qian for me.\However, please don't tell her that it's from me.\I can give it to her.\But you have to tell me where you get it.\My senior gave me an elixir for mastering my training.\A few days ago, Heavenly Lord sent me to Yingzhou of the Eastern Sea\to eliminate all divine fungal grass. response:	I kept a few blades to make an elixir combined with the elixir from my senior.
context: Please hand this elixir over to Qian Qian for me.\However, please don't tell her that it's from me.\I can give it to her.\But you have to tell me where you get it.\My senior gave me an elixir for mastering my training.\A few days ago, Heavenly Lord sent me to Yingzhou of the Eastern Sea\to eliminate all divine fungal grass.\I kept a few blades to make an elixir combined with the elixir from my senior. response:	High God Mo Yuan can have it.
context: However, please don't tell her that it's from me.\I can give it to her.\But you have to tell me where you get it.\My senior gave me an elixir for mastering my training.\A few days ago, Heavenly Lord sent me to Yingzhou of the Eastern Sea\to eliminate all divine fungal grass.\I kept a few blades to make an elixir combined with the elixir from my senior.\High God Mo Yuan can have it. response:	You went to Yingzhou for the divine fungal grass?
context: I can give it to her.\But you have to tell me where you get it.\My senior gave me an elixir for mastering my training.\A few days ago, Heavenly Lord sent me to Yingzhou of the Eastern Sea\to eliminate all divine fungal grass.\I kept a few blades to make an elixir combined with the elixir from my senior.\High God Mo Yuan can have it.\You went to Yingzhou for the divine fungal grass? response:	Fox King came back with injuries all over him.
context: But you have to tell me where you get it.\My senior gave me an elixir for mastering my training.\A few days ago, Heavenly Lord sent me to Yingzhou of the Eastern Sea\to eliminate all divine fungal grass.\I kept a few blades to make an elixir combined with the elixir from my senior.\High God Mo Yuan can have it.\You went to Yingzhou for the divine fungal grass?\Fox King came back with injuries all over him. response:	It's no wonder that you lost an arm.
context: My senior gave me an elixir for mastering my training.\A few days ago, Heavenly Lord sent me to Yingzhou of the Eastern Sea\to eliminate all divine fungal grass.\I kept a few blades to make an elixir combined with the elixir from my senior.\High God Mo Yuan can have it.\You went to Yingzhou for the divine fungal grass?\Fox King came back with injuries all over him.\It's no wonder that you lost an arm. response:	I wouldn't have lost my arm
context: A few days ago, Heavenly Lord sent me to Yingzhou of the Eastern Sea\to eliminate all divine fungal grass.\I kept a few blades to make an elixir combined with the elixir from my senior.\High God Mo Yuan can have it.\You went to Yingzhou for the divine fungal grass?\Fox King came back with injuries all over him.\It's no wonder that you lost an arm.\I wouldn't have lost my arm response:	but the Ghost Lord Li Jing and his wife were also in the cave.
