context: Father! response:	Where were you? Why didn't you bring Jia Yun with you?
context: Nobody's invitation has been able to successfully invite her out.\Those two have never even met.\Yes.\The two have yet to be married, but they are in no hurry.\It is quite a wonder.\That's...\It is indeed strange.\However, the Water King of Eastern Sea is quite fortunate. response:	Aunt hasn't left Qing Qiu in tens of millennia.
context: Those two have never even met.\Yes.\The two have yet to be married, but they are in no hurry.\It is quite a wonder.\That's...\It is indeed strange.\However, the Water King of Eastern Sea is quite fortunate.\Aunt hasn't left Qing Qiu in tens of millennia. response:	Yet, he has managed to invite her.
context: Yes.\The two have yet to be married, but they are in no hurry.\It is quite a wonder.\That's...\It is indeed strange.\However, the Water King of Eastern Sea is quite fortunate.\Aunt hasn't left Qing Qiu in tens of millennia.\Yet, he has managed to invite her. response:	It is such an honor.
context: The two have yet to be married, but they are in no hurry.\It is quite a wonder.\That's...\It is indeed strange.\However, the Water King of Eastern Sea is quite fortunate.\Aunt hasn't left Qing Qiu in tens of millennia.\Yet, he has managed to invite her.\It is such an honor. response:	It is quite an honor.
context: It is quite a wonder.\That's...\It is indeed strange.\However, the Water King of Eastern Sea is quite fortunate.\Aunt hasn't left Qing Qiu in tens of millennia.\Yet, he has managed to invite her.\It is such an honor.\It is quite an honor. response:	However, Water King of Eastern Sea has been very troubled lately.
context: That's...\It is indeed strange.\However, the Water King of Eastern Sea is quite fortunate.\Aunt hasn't left Qing Qiu in tens of millennia.\Yet, he has managed to invite her.\It is such an honor.\It is quite an honor.\However, Water King of Eastern Sea has been very troubled lately. response:	He never expected Aunt would be attending the banquet.
context: It is indeed strange.\However, the Water King of Eastern Sea is quite fortunate.\Aunt hasn't left Qing Qiu in tens of millennia.\Yet, he has managed to invite her.\It is such an honor.\It is quite an honor.\However, Water King of Eastern Sea has been very troubled lately.\He never expected Aunt would be attending the banquet. response:	He had even invited Water King of North Sea.
context: However, the Water King of Eastern Sea is quite fortunate.\Aunt hasn't left Qing Qiu in tens of millennia.\Yet, he has managed to invite her.\It is such an honor.\It is quite an honor.\However, Water King of Eastern Sea has been very troubled lately.\He never expected Aunt would be attending the banquet.\He had even invited Water King of North Sea. response:	Yesterday, the Crown Prince brought his son to visit the Far East
context: Aunt hasn't left Qing Qiu in tens of millennia.\Yet, he has managed to invite her.\It is such an honor.\It is quite an honor.\However, Water King of Eastern Sea has been very troubled lately.\He never expected Aunt would be attending the banquet.\He had even invited Water King of North Sea.\Yesterday, the Crown Prince brought his son to visit the Far East response:	and will be attending the banquet along the way.
context: Yet, he has managed to invite her.\It is such an honor.\It is quite an honor.\However, Water King of Eastern Sea has been very troubled lately.\He never expected Aunt would be attending the banquet.\He had even invited Water King of North Sea.\Yesterday, the Crown Prince brought his son to visit the Far East\and will be attending the banquet along the way. response:	When the time comes, the three of them will run into each other at the banquet.
context: It is such an honor.\It is quite an honor.\However, Water King of Eastern Sea has been very troubled lately.\He never expected Aunt would be attending the banquet.\He had even invited Water King of North Sea.\Yesterday, the Crown Prince brought his son to visit the Far East\and will be attending the banquet along the way.\When the time comes, the three of them will run into each other at the banquet. response:	Water King of Eastern Sea is in a panic now.
context: It is quite an honor.\However, Water King of Eastern Sea has been very troubled lately.\He never expected Aunt would be attending the banquet.\He had even invited Water King of North Sea.\Yesterday, the Crown Prince brought his son to visit the Far East\and will be attending the banquet along the way.\When the time comes, the three of them will run into each other at the banquet.\Water King of Eastern Sea is in a panic now. response:	Who knows what mayhem may ensue at the banquet.
context: However, Water King of Eastern Sea has been very troubled lately.\He never expected Aunt would be attending the banquet.\He had even invited Water King of North Sea.\Yesterday, the Crown Prince brought his son to visit the Far East\and will be attending the banquet along the way.\When the time comes, the three of them will run into each other at the banquet.\Water King of Eastern Sea is in a panic now.\Who knows what mayhem may ensue at the banquet. response:	Who is this Aunt from Qing Qiu?
context: He never expected Aunt would be attending the banquet.\He had even invited Water King of North Sea.\Yesterday, the Crown Prince brought his son to visit the Far East\and will be attending the banquet along the way.\When the time comes, the three of them will run into each other at the banquet.\Water King of Eastern Sea is in a panic now.\Who knows what mayhem may ensue at the banquet.\Who is this Aunt from Qing Qiu? response:	Does she have an existing feud with Lord Ye Hua and Water King of North Sea?
context: He had even invited Water King of North Sea.\Yesterday, the Crown Prince brought his son to visit the Far East\and will be attending the banquet along the way.\When the time comes, the three of them will run into each other at the banquet.\Water King of Eastern Sea is in a panic now.\Who knows what mayhem may ensue at the banquet.\Who is this Aunt from Qing Qiu?\Does she have an existing feud with Lord Ye Hua and Water King of North Sea? response:	You are young. You might not know of this.
context: Yesterday, the Crown Prince brought his son to visit the Far East\and will be attending the banquet along the way.\When the time comes, the three of them will run into each other at the banquet.\Water King of Eastern Sea is in a panic now.\Who knows what mayhem may ensue at the banquet.\Who is this Aunt from Qing Qiu?\Does she have an existing feud with Lord Ye Hua and Water King of North Sea?\You are young. You might not know of this. response:	Before the great war between Celestial Tribe and Ghost Tribe
context: and will be attending the banquet along the way.\When the time comes, the three of them will run into each other at the banquet.\Water King of Eastern Sea is in a panic now.\Who knows what mayhem may ensue at the banquet.\Who is this Aunt from Qing Qiu?\Does she have an existing feud with Lord Ye Hua and Water King of North Sea?\You are young. You might not know of this.\Before the great war between Celestial Tribe and Ghost Tribe response:	Aunt once had a marriage arrangement with Heavenly Lord's second prince.
context: When the time comes, the three of them will run into each other at the banquet.\Water King of Eastern Sea is in a panic now.\Who knows what mayhem may ensue at the banquet.\Who is this Aunt from Qing Qiu?\Does she have an existing feud with Lord Ye Hua and Water King of North Sea?\You are young. You might not know of this.\Before the great war between Celestial Tribe and Ghost Tribe\Aunt once had a marriage arrangement with Heavenly Lord's second prince. response:	It was originally a well-matched engagement.
context: Water King of Eastern Sea is in a panic now.\Who knows what mayhem may ensue at the banquet.\Who is this Aunt from Qing Qiu?\Does she have an existing feud with Lord Ye Hua and Water King of North Sea?\You are young. You might not know of this.\Before the great war between Celestial Tribe and Ghost Tribe\Aunt once had a marriage arrangement with Heavenly Lord's second prince.\It was originally a well-matched engagement. response:	But somehow, Sang Ji fell in love with Aunt's maid
context: Who knows what mayhem may ensue at the banquet.\Who is this Aunt from Qing Qiu?\Does she have an existing feud with Lord Ye Hua and Water King of North Sea?\You are young. You might not know of this.\Before the great war between Celestial Tribe and Ghost Tribe\Aunt once had a marriage arrangement with Heavenly Lord's second prince.\It was originally a well-matched engagement.\But somehow, Sang Ji fell in love with Aunt's maid response:	and he was determined to call off the engagement.
context: Who is this Aunt from Qing Qiu?\Does she have an existing feud with Lord Ye Hua and Water King of North Sea?\You are young. You might not know of this.\Before the great war between Celestial Tribe and Ghost Tribe\Aunt once had a marriage arrangement with Heavenly Lord's second prince.\It was originally a well-matched engagement.\But somehow, Sang Ji fell in love with Aunt's maid\and he was determined to call off the engagement. response:	Water King of North Sea wanted to marry Aunt's maid
context: Does she have an existing feud with Lord Ye Hua and Water King of North Sea?\You are young. You might not know of this.\Before the great war between Celestial Tribe and Ghost Tribe\Aunt once had a marriage arrangement with Heavenly Lord's second prince.\It was originally a well-matched engagement.\But somehow, Sang Ji fell in love with Aunt's maid\and he was determined to call off the engagement.\Water King of North Sea wanted to marry Aunt's maid response:	even if it meant offending Fox King Bai Zhi?
context: You are young. You might not know of this.\Before the great war between Celestial Tribe and Ghost Tribe\Aunt once had a marriage arrangement with Heavenly Lord's second prince.\It was originally a well-matched engagement.\But somehow, Sang Ji fell in love with Aunt's maid\and he was determined to call off the engagement.\Water King of North Sea wanted to marry Aunt's maid\even if it meant offending Fox King Bai Zhi? response:	How good-looking is that maid?
context: Before the great war between Celestial Tribe and Ghost Tribe\Aunt once had a marriage arrangement with Heavenly Lord's second prince.\It was originally a well-matched engagement.\But somehow, Sang Ji fell in love with Aunt's maid\and he was determined to call off the engagement.\Water King of North Sea wanted to marry Aunt's maid\even if it meant offending Fox King Bai Zhi?\How good-looking is that maid? response:	I have seen that lady.
context: Aunt once had a marriage arrangement with Heavenly Lord's second prince.\It was originally a well-matched engagement.\But somehow, Sang Ji fell in love with Aunt's maid\and he was determined to call off the engagement.\Water King of North Sea wanted to marry Aunt's maid\even if it meant offending Fox King Bai Zhi?\How good-looking is that maid?\I have seen that lady. response:	The second prince was holding her by the arm
context: It was originally a well-matched engagement.\But somehow, Sang Ji fell in love with Aunt's maid\and he was determined to call off the engagement.\Water King of North Sea wanted to marry Aunt's maid\even if it meant offending Fox King Bai Zhi?\How good-looking is that maid?\I have seen that lady.\The second prince was holding her by the arm response:	and knelt in front of the Heavenly Lord
context: But somehow, Sang Ji fell in love with Aunt's maid\and he was determined to call off the engagement.\Water King of North Sea wanted to marry Aunt's maid\even if it meant offending Fox King Bai Zhi?\How good-looking is that maid?\I have seen that lady.\The second prince was holding her by the arm\and knelt in front of the Heavenly Lord response:	and asked to marry her.
context: and he was determined to call off the engagement.\Water King of North Sea wanted to marry Aunt's maid\even if it meant offending Fox King Bai Zhi?\How good-looking is that maid?\I have seen that lady.\The second prince was holding her by the arm\and knelt in front of the Heavenly Lord\and asked to marry her. response:	She is indeed a rare beauty.
context: Water King of North Sea wanted to marry Aunt's maid\even if it meant offending Fox King Bai Zhi?\How good-looking is that maid?\I have seen that lady.\The second prince was holding her by the arm\and knelt in front of the Heavenly Lord\and asked to marry her.\She is indeed a rare beauty. response:	However, compared to the lady in Fox King Bai Zhi's family
context: even if it meant offending Fox King Bai Zhi?\How good-looking is that maid?\I have seen that lady.\The second prince was holding her by the arm\and knelt in front of the Heavenly Lord\and asked to marry her.\She is indeed a rare beauty.\However, compared to the lady in Fox King Bai Zhi's family response:	her beauty is not even close.
context: How good-looking is that maid?\I have seen that lady.\The second prince was holding her by the arm\and knelt in front of the Heavenly Lord\and asked to marry her.\She is indeed a rare beauty.\However, compared to the lady in Fox King Bai Zhi's family\her beauty is not even close. response:	I have never seen the lady
context: I have seen that lady.\The second prince was holding her by the arm\and knelt in front of the Heavenly Lord\and asked to marry her.\She is indeed a rare beauty.\However, compared to the lady in Fox King Bai Zhi's family\her beauty is not even close.\I have never seen the lady response:	but I've heard Aunt has a likeness to her mother.
context: The second prince was holding her by the arm\and knelt in front of the Heavenly Lord\and asked to marry her.\She is indeed a rare beauty.\However, compared to the lady in Fox King Bai Zhi's family\her beauty is not even close.\I have never seen the lady\but I've heard Aunt has a likeness to her mother. response:	No, even more beautiful than her mother.
context: and knelt in front of the Heavenly Lord\and asked to marry her.\She is indeed a rare beauty.\However, compared to the lady in Fox King Bai Zhi's family\her beauty is not even close.\I have never seen the lady\but I've heard Aunt has a likeness to her mother.\No, even more beautiful than her mother. response:	I have actually had the good fortune to catch a glimpse of Aunt.
context: and asked to marry her.\She is indeed a rare beauty.\However, compared to the lady in Fox King Bai Zhi's family\her beauty is not even close.\I have never seen the lady\but I've heard Aunt has a likeness to her mother.\No, even more beautiful than her mother.\I have actually had the good fortune to catch a glimpse of Aunt. response:	At the time, I was just a young boy following under Heavenly Lord.
context: She is indeed a rare beauty.\However, compared to the lady in Fox King Bai Zhi's family\her beauty is not even close.\I have never seen the lady\but I've heard Aunt has a likeness to her mother.\No, even more beautiful than her mother.\I have actually had the good fortune to catch a glimpse of Aunt.\At the time, I was just a young boy following under Heavenly Lord. response:	I accompanied Heavenly Empress to Zhe Yan's land to view peach blossoms.
context: However, compared to the lady in Fox King Bai Zhi's family\her beauty is not even close.\I have never seen the lady\but I've heard Aunt has a likeness to her mother.\No, even more beautiful than her mother.\I have actually had the good fortune to catch a glimpse of Aunt.\At the time, I was just a young boy following under Heavenly Lord.\I accompanied Heavenly Empress to Zhe Yan's land to view peach blossoms. response:	I happened to see Aunt
context: her beauty is not even close.\I have never seen the lady\but I've heard Aunt has a likeness to her mother.\No, even more beautiful than her mother.\I have actually had the good fortune to catch a glimpse of Aunt.\At the time, I was just a young boy following under Heavenly Lord.\I accompanied Heavenly Empress to Zhe Yan's land to view peach blossoms.\I happened to see Aunt response:	dancing lightly and gracefully atop the peach tree branches.
context: I have never seen the lady\but I've heard Aunt has a likeness to her mother.\No, even more beautiful than her mother.\I have actually had the good fortune to catch a glimpse of Aunt.\At the time, I was just a young boy following under Heavenly Lord.\I accompanied Heavenly Empress to Zhe Yan's land to view peach blossoms.\I happened to see Aunt\dancing lightly and gracefully atop the peach tree branches. response:	Because I was far away
context: but I've heard Aunt has a likeness to her mother.\No, even more beautiful than her mother.\I have actually had the good fortune to catch a glimpse of Aunt.\At the time, I was just a young boy following under Heavenly Lord.\I accompanied Heavenly Empress to Zhe Yan's land to view peach blossoms.\I happened to see Aunt\dancing lightly and gracefully atop the peach tree branches.\Because I was far away response:	I only saw the swath of a red dress among the vivid peach blossoms.
context: No, even more beautiful than her mother.\I have actually had the good fortune to catch a glimpse of Aunt.\At the time, I was just a young boy following under Heavenly Lord.\I accompanied Heavenly Empress to Zhe Yan's land to view peach blossoms.\I happened to see Aunt\dancing lightly and gracefully atop the peach tree branches.\Because I was far away\I only saw the swath of a red dress among the vivid peach blossoms. response:	That view was exceptionally alluring. Exceptionally beautiful!
context: I have actually had the good fortune to catch a glimpse of Aunt.\At the time, I was just a young boy following under Heavenly Lord.\I accompanied Heavenly Empress to Zhe Yan's land to view peach blossoms.\I happened to see Aunt\dancing lightly and gracefully atop the peach tree branches.\Because I was far away\I only saw the swath of a red dress among the vivid peach blossoms.\That view was exceptionally alluring. Exceptionally beautiful! response:	Even such a beautiful woman can be rejected.
context: At the time, I was just a young boy following under Heavenly Lord.\I accompanied Heavenly Empress to Zhe Yan's land to view peach blossoms.\I happened to see Aunt\dancing lightly and gracefully atop the peach tree branches.\Because I was far away\I only saw the swath of a red dress among the vivid peach blossoms.\That view was exceptionally alluring. Exceptionally beautiful!\Even such a beautiful woman can be rejected. response:	Heaven's will sure is difficult to predict.
context: I accompanied Heavenly Empress to Zhe Yan's land to view peach blossoms.\I happened to see Aunt\dancing lightly and gracefully atop the peach tree branches.\Because I was far away\I only saw the swath of a red dress among the vivid peach blossoms.\That view was exceptionally alluring. Exceptionally beautiful!\Even such a beautiful woman can be rejected.\Heaven's will sure is difficult to predict. response:	Yes.
context: I happened to see Aunt\dancing lightly and gracefully atop the peach tree branches.\Because I was far away\I only saw the swath of a red dress among the vivid peach blossoms.\That view was exceptionally alluring. Exceptionally beautiful!\Even such a beautiful woman can be rejected.\Heaven's will sure is difficult to predict.\Yes. response:	Perhaps it is precisely because of this
context: dancing lightly and gracefully atop the peach tree branches.\Because I was far away\I only saw the swath of a red dress among the vivid peach blossoms.\That view was exceptionally alluring. Exceptionally beautiful!\Even such a beautiful woman can be rejected.\Heaven's will sure is difficult to predict.\Yes.\Perhaps it is precisely because of this response:	that Aunt is unwilling to step out of Qing Qiu.
context: Because I was far away\I only saw the swath of a red dress among the vivid peach blossoms.\That view was exceptionally alluring. Exceptionally beautiful!\Even such a beautiful woman can be rejected.\Heaven's will sure is difficult to predict.\Yes.\Perhaps it is precisely because of this\that Aunt is unwilling to step out of Qing Qiu. response:	Heaven's will is hard to fathom.
context: I only saw the swath of a red dress among the vivid peach blossoms.\That view was exceptionally alluring. Exceptionally beautiful!\Even such a beautiful woman can be rejected.\Heaven's will sure is difficult to predict.\Yes.\Perhaps it is precisely because of this\that Aunt is unwilling to step out of Qing Qiu.\Heaven's will is hard to fathom. response:	- Yes. - That is so.
context: That view was exceptionally alluring. Exceptionally beautiful!\Even such a beautiful woman can be rejected.\Heaven's will sure is difficult to predict.\Yes.\Perhaps it is precisely because of this\that Aunt is unwilling to step out of Qing Qiu.\Heaven's will is hard to fathom.\- Yes. - That is so. response:	You scared me.
context: Even such a beautiful woman can be rejected.\Heaven's will sure is difficult to predict.\Yes.\Perhaps it is precisely because of this\that Aunt is unwilling to step out of Qing Qiu.\Heaven's will is hard to fathom.\- Yes. - That is so.\You scared me. response:	You just love to stir up trouble. You are everywhere.
context: Heaven's will sure is difficult to predict.\Yes.\Perhaps it is precisely because of this\that Aunt is unwilling to step out of Qing Qiu.\Heaven's will is hard to fathom.\- Yes. - That is so.\You scared me.\You just love to stir up trouble. You are everywhere. response:	It's a good thing I didn't marry you.
context: Yes.\Perhaps it is precisely because of this\that Aunt is unwilling to step out of Qing Qiu.\Heaven's will is hard to fathom.\- Yes. - That is so.\You scared me.\You just love to stir up trouble. You are everywhere.\It's a good thing I didn't marry you. response:	Even if you wanted to marry me, I wouldn't wed you!
context: Perhaps it is precisely because of this\that Aunt is unwilling to step out of Qing Qiu.\Heaven's will is hard to fathom.\- Yes. - That is so.\You scared me.\You just love to stir up trouble. You are everywhere.\It's a good thing I didn't marry you.\Even if you wanted to marry me, I wouldn't wed you! response:	A-Li.
context: that Aunt is unwilling to step out of Qing Qiu.\Heaven's will is hard to fathom.\- Yes. - That is so.\You scared me.\You just love to stir up trouble. You are everywhere.\It's a good thing I didn't marry you.\Even if you wanted to marry me, I wouldn't wed you!\A-Li. response:	I received an invitation from Water King of Eastern Sea.
context: Heaven's will is hard to fathom.\- Yes. - That is so.\You scared me.\You just love to stir up trouble. You are everywhere.\It's a good thing I didn't marry you.\Even if you wanted to marry me, I wouldn't wed you!\A-Li.\I received an invitation from Water King of Eastern Sea. response:	Do you want to visit the Eastern Sea?
context: - Yes. - That is so.\You scared me.\You just love to stir up trouble. You are everywhere.\It's a good thing I didn't marry you.\Even if you wanted to marry me, I wouldn't wed you!\A-Li.\I received an invitation from Water King of Eastern Sea.\Do you want to visit the Eastern Sea? response:	No.
context: You scared me.\You just love to stir up trouble. You are everywhere.\It's a good thing I didn't marry you.\Even if you wanted to marry me, I wouldn't wed you!\A-Li.\I received an invitation from Water King of Eastern Sea.\Do you want to visit the Eastern Sea?\No. response:	Then I'll go by myself.
context: You just love to stir up trouble. You are everywhere.\It's a good thing I didn't marry you.\Even if you wanted to marry me, I wouldn't wed you!\A-Li.\I received an invitation from Water King of Eastern Sea.\Do you want to visit the Eastern Sea?\No.\Then I'll go by myself. response:	Are you going to leave me here alone?
context: It's a good thing I didn't marry you.\Even if you wanted to marry me, I wouldn't wed you!\A-Li.\I received an invitation from Water King of Eastern Sea.\Do you want to visit the Eastern Sea?\No.\Then I'll go by myself.\Are you going to leave me here alone? response:	This is your choice.
context: Even if you wanted to marry me, I wouldn't wed you!\A-Li.\I received an invitation from Water King of Eastern Sea.\Do you want to visit the Eastern Sea?\No.\Then I'll go by myself.\Are you going to leave me here alone?\This is your choice. response:	Then I'll just go.
context: A-Li.\I received an invitation from Water King of Eastern Sea.\Do you want to visit the Eastern Sea?\No.\Then I'll go by myself.\Are you going to leave me here alone?\This is your choice.\Then I'll just go. response:	Your Highness, today is the tenth day.
context: I received an invitation from Water King of Eastern Sea.\Do you want to visit the Eastern Sea?\No.\Then I'll go by myself.\Are you going to leave me here alone?\This is your choice.\Then I'll just go.\Your Highness, today is the tenth day. response:	You can leave now.
context: Do you want to visit the Eastern Sea?\No.\Then I'll go by myself.\Are you going to leave me here alone?\This is your choice.\Then I'll just go.\Your Highness, today is the tenth day.\You can leave now. response:	Isn't Your Highness heading to my brother's Eastern Sea today?
context: No.\Then I'll go by myself.\Are you going to leave me here alone?\This is your choice.\Then I'll just go.\Your Highness, today is the tenth day.\You can leave now.\Isn't Your Highness heading to my brother's Eastern Sea today? response:	- I can lead the way- - No need.
context: Then I'll go by myself.\Are you going to leave me here alone?\This is your choice.\Then I'll just go.\Your Highness, today is the tenth day.\You can leave now.\Isn't Your Highness heading to my brother's Eastern Sea today?\- I can lead the way- - No need. response:	I shall take my leave.
context: Are you going to leave me here alone?\This is your choice.\Then I'll just go.\Your Highness, today is the tenth day.\You can leave now.\Isn't Your Highness heading to my brother's Eastern Sea today?\- I can lead the way- - No need.\I shall take my leave. response:	Sit properly.
context: This is your choice.\Then I'll just go.\Your Highness, today is the tenth day.\You can leave now.\Isn't Your Highness heading to my brother's Eastern Sea today?\- I can lead the way- - No need.\I shall take my leave.\Sit properly. response:	Who are you?
context: Then I'll just go.\Your Highness, today is the tenth day.\You can leave now.\Isn't Your Highness heading to my brother's Eastern Sea today?\- I can lead the way- - No need.\I shall take my leave.\Sit properly.\Who are you? response:	How dare you trespass into Qing Qiu?
context: Your Highness, today is the tenth day.\You can leave now.\Isn't Your Highness heading to my brother's Eastern Sea today?\- I can lead the way- - No need.\I shall take my leave.\Sit properly.\Who are you?\How dare you trespass into Qing Qiu? response:	Young man, I am Star Lord Si Ming.
context: You can leave now.\Isn't Your Highness heading to my brother's Eastern Sea today?\- I can lead the way- - No need.\I shall take my leave.\Sit properly.\Who are you?\How dare you trespass into Qing Qiu?\Young man, I am Star Lord Si Ming. response:	I came to visit the young princess of Qing Qiu, Bai Feng Jiu.
context: Isn't Your Highness heading to my brother's Eastern Sea today?\- I can lead the way- - No need.\I shall take my leave.\Sit properly.\Who are you?\How dare you trespass into Qing Qiu?\Young man, I am Star Lord Si Ming.\I came to visit the young princess of Qing Qiu, Bai Feng Jiu. response:	- Si Ming? - Yes.
context: - I can lead the way- - No need.\I shall take my leave.\Sit properly.\Who are you?\How dare you trespass into Qing Qiu?\Young man, I am Star Lord Si Ming.\I came to visit the young princess of Qing Qiu, Bai Feng Jiu.\- Si Ming? - Yes. response:	Si Ming!
context: I shall take my leave.\Sit properly.\Who are you?\How dare you trespass into Qing Qiu?\Young man, I am Star Lord Si Ming.\I came to visit the young princess of Qing Qiu, Bai Feng Jiu.\- Si Ming? - Yes.\Si Ming! response:	I haven't been able to sleep, waiting for you. You're finally here!
context: Sit properly.\Who are you?\How dare you trespass into Qing Qiu?\Young man, I am Star Lord Si Ming.\I came to visit the young princess of Qing Qiu, Bai Feng Jiu.\- Si Ming? - Yes.\Si Ming!\I haven't been able to sleep, waiting for you. You're finally here! response:	- Your Highness. - Come, let's go inside.
context: Who are you?\How dare you trespass into Qing Qiu?\Young man, I am Star Lord Si Ming.\I came to visit the young princess of Qing Qiu, Bai Feng Jiu.\- Si Ming? - Yes.\Si Ming!\I haven't been able to sleep, waiting for you. You're finally here!\- Your Highness. - Come, let's go inside. response:	Your Highness! Your Highness!
context: How dare you trespass into Qing Qiu?\Young man, I am Star Lord Si Ming.\I came to visit the young princess of Qing Qiu, Bai Feng Jiu.\- Si Ming? - Yes.\Si Ming!\I haven't been able to sleep, waiting for you. You're finally here!\- Your Highness. - Come, let's go inside.\Your Highness! Your Highness! response:	The valley contains many of Aunt's precious possessions.
context: Young man, I am Star Lord Si Ming.\I came to visit the young princess of Qing Qiu, Bai Feng Jiu.\- Si Ming? - Yes.\Si Ming!\I haven't been able to sleep, waiting for you. You're finally here!\- Your Highness. - Come, let's go inside.\Your Highness! Your Highness!\The valley contains many of Aunt's precious possessions. response:	Outsiders must not be allowed inside.
context: I came to visit the young princess of Qing Qiu, Bai Feng Jiu.\- Si Ming? - Yes.\Si Ming!\I haven't been able to sleep, waiting for you. You're finally here!\- Your Highness. - Come, let's go inside.\Your Highness! Your Highness!\The valley contains many of Aunt's precious possessions.\Outsiders must not be allowed inside. response:	Especially those of Celestial Tribe.
context: - Si Ming? - Yes.\Si Ming!\I haven't been able to sleep, waiting for you. You're finally here!\- Your Highness. - Come, let's go inside.\Your Highness! Your Highness!\The valley contains many of Aunt's precious possessions.\Outsiders must not be allowed inside.\Especially those of Celestial Tribe. response:	I am very sorry, Star Lord Si Ming.
context: Si Ming!\I haven't been able to sleep, waiting for you. You're finally here!\- Your Highness. - Come, let's go inside.\Your Highness! Your Highness!\The valley contains many of Aunt's precious possessions.\Outsiders must not be allowed inside.\Especially those of Celestial Tribe.\I am very sorry, Star Lord Si Ming. response:	The Fox Den does indeed have a rule that outsiders are not allowed.
context: I haven't been able to sleep, waiting for you. You're finally here!\- Your Highness. - Come, let's go inside.\Your Highness! Your Highness!\The valley contains many of Aunt's precious possessions.\Outsiders must not be allowed inside.\Especially those of Celestial Tribe.\I am very sorry, Star Lord Si Ming.\The Fox Den does indeed have a rule that outsiders are not allowed. response:	It's no matter.
context: - Your Highness. - Come, let's go inside.\Your Highness! Your Highness!\The valley contains many of Aunt's precious possessions.\Outsiders must not be allowed inside.\Especially those of Celestial Tribe.\I am very sorry, Star Lord Si Ming.\The Fox Den does indeed have a rule that outsiders are not allowed.\It's no matter. response:	Since I came to pick you up so you can repay your debt
context: Your Highness! Your Highness!\The valley contains many of Aunt's precious possessions.\Outsiders must not be allowed inside.\Especially those of Celestial Tribe.\I am very sorry, Star Lord Si Ming.\The Fox Den does indeed have a rule that outsiders are not allowed.\It's no matter.\Since I came to pick you up so you can repay your debt response:	it doesn't matter if I go in or not.
context: The valley contains many of Aunt's precious possessions.\Outsiders must not be allowed inside.\Especially those of Celestial Tribe.\I am very sorry, Star Lord Si Ming.\The Fox Den does indeed have a rule that outsiders are not allowed.\It's no matter.\Since I came to pick you up so you can repay your debt\it doesn't matter if I go in or not. response:	But will Your Highness need to prepare? This may take two months of your time.
context: Outsiders must not be allowed inside.\Especially those of Celestial Tribe.\I am very sorry, Star Lord Si Ming.\The Fox Den does indeed have a rule that outsiders are not allowed.\It's no matter.\Since I came to pick you up so you can repay your debt\it doesn't matter if I go in or not.\But will Your Highness need to prepare? This may take two months of your time. response:	- Two months? - Yes.
context: Especially those of Celestial Tribe.\I am very sorry, Star Lord Si Ming.\The Fox Den does indeed have a rule that outsiders are not allowed.\It's no matter.\Since I came to pick you up so you can repay your debt\it doesn't matter if I go in or not.\But will Your Highness need to prepare? This may take two months of your time.\- Two months? - Yes. response:	Mi Gu.
context: I am very sorry, Star Lord Si Ming.\The Fox Den does indeed have a rule that outsiders are not allowed.\It's no matter.\Since I came to pick you up so you can repay your debt\it doesn't matter if I go in or not.\But will Your Highness need to prepare? This may take two months of your time.\- Two months? - Yes.\Mi Gu. response:	Is there any way I can avoid going to the banquet at the Eastern Sea?
context: The Fox Den does indeed have a rule that outsiders are not allowed.\It's no matter.\Since I came to pick you up so you can repay your debt\it doesn't matter if I go in or not.\But will Your Highness need to prepare? This may take two months of your time.\- Two months? - Yes.\Mi Gu.\Is there any way I can avoid going to the banquet at the Eastern Sea? response:	You can't. A debt must be repaid.
context: It's no matter.\Since I came to pick you up so you can repay your debt\it doesn't matter if I go in or not.\But will Your Highness need to prepare? This may take two months of your time.\- Two months? - Yes.\Mi Gu.\Is there any way I can avoid going to the banquet at the Eastern Sea?\You can't. A debt must be repaid. response:	A favor must of course be returned with a favor.
context: Since I came to pick you up so you can repay your debt\it doesn't matter if I go in or not.\But will Your Highness need to prepare? This may take two months of your time.\- Two months? - Yes.\Mi Gu.\Is there any way I can avoid going to the banquet at the Eastern Sea?\You can't. A debt must be repaid.\A favor must of course be returned with a favor. response:	No matter how capable you are, the debt still needs to be repaid.
context: it doesn't matter if I go in or not.\But will Your Highness need to prepare? This may take two months of your time.\- Two months? - Yes.\Mi Gu.\Is there any way I can avoid going to the banquet at the Eastern Sea?\You can't. A debt must be repaid.\A favor must of course be returned with a favor.\No matter how capable you are, the debt still needs to be repaid. response:	You're acting weird today. Who has provoked you?
context: But will Your Highness need to prepare? This may take two months of your time.\- Two months? - Yes.\Mi Gu.\Is there any way I can avoid going to the banquet at the Eastern Sea?\You can't. A debt must be repaid.\A favor must of course be returned with a favor.\No matter how capable you are, the debt still needs to be repaid.\You're acting weird today. Who has provoked you? response:	It's nothing.
context: - Two months? - Yes.\Mi Gu.\Is there any way I can avoid going to the banquet at the Eastern Sea?\You can't. A debt must be repaid.\A favor must of course be returned with a favor.\No matter how capable you are, the debt still needs to be repaid.\You're acting weird today. Who has provoked you?\It's nothing. response:	I'm afraid Aunt won't let me leave if she learns of this.
