context: What are you guys going to do!? response:	Are you going to go back to your own planet now!?
context: Geez!\What could they all be doing, abandoning a fragile lady here like this!?\That goes for Son- kun, too! Just saying he fell behind schedule isn't good enough!\As soon as he gets here, I'll have to have him take me straight home.\If I have to stay here too long,\my skin will be damaged, and my good looks will be ruined!\I want to go home to Earth.\What in the world is this!? response:	That bastard!
context: What could they all be doing, abandoning a fragile lady here like this!?\That goes for Son- kun, too! Just saying he fell behind schedule isn't good enough!\As soon as he gets here, I'll have to have him take me straight home.\If I have to stay here too long,\my skin will be damaged, and my good looks will be ruined!\I want to go home to Earth.\What in the world is this!?\That bastard! response:	Jheese!
context: That goes for Son- kun, too! Just saying he fell behind schedule isn't good enough!\As soon as he gets here, I'll have to have him take me straight home.\If I have to stay here too long,\my skin will be damaged, and my good looks will be ruined!\I want to go home to Earth.\What in the world is this!?\That bastard!\Jheese! response:	Huh? What, Butta?
context: As soon as he gets here, I'll have to have him take me straight home.\If I have to stay here too long,\my skin will be damaged, and my good looks will be ruined!\I want to go home to Earth.\What in the world is this!?\That bastard!\Jheese!\Huh? What, Butta? response:	At this point, you should launch your Crusher Ball.
context: If I have to stay here too long,\my skin will be damaged, and my good looks will be ruined!\I want to go home to Earth.\What in the world is this!?\That bastard!\Jheese!\Huh? What, Butta?\At this point, you should launch your Crusher Ball. response:	Knowing his speed, he'll probably dodge it and run away.
context: my skin will be damaged, and my good looks will be ruined!\I want to go home to Earth.\What in the world is this!?\That bastard!\Jheese!\Huh? What, Butta?\At this point, you should launch your Crusher Ball.\Knowing his speed, he'll probably dodge it and run away. response:	What are you going to do?
context: I want to go home to Earth.\What in the world is this!?\That bastard!\Jheese!\Huh? What, Butta?\At this point, you should launch your Crusher Ball.\Knowing his speed, he'll probably dodge it and run away.\What are you going to do? response:	lsn't it obvious? l'm going to smash him
context: What in the world is this!?\That bastard!\Jheese!\Huh? What, Butta?\At this point, you should launch your Crusher Ball.\Knowing his speed, he'll probably dodge it and run away.\What are you going to do?\lsn't it obvious? l'm going to smash him response:	from the back as he's frantically getting out of the way.
context: That bastard!\Jheese!\Huh? What, Butta?\At this point, you should launch your Crusher Ball.\Knowing his speed, he'll probably dodge it and run away.\What are you going to do?\lsn't it obvious? l'm going to smash him\from the back as he's frantically getting out of the way. response:	However fast he might be, l'm still the fastest in the universe.
context: Jheese!\Huh? What, Butta?\At this point, you should launch your Crusher Ball.\Knowing his speed, he'll probably dodge it and run away.\What are you going to do?\lsn't it obvious? l'm going to smash him\from the back as he's frantically getting out of the way.\However fast he might be, l'm still the fastest in the universe. response:	All right.
context: Huh? What, Butta?\At this point, you should launch your Crusher Ball.\Knowing his speed, he'll probably dodge it and run away.\What are you going to do?\lsn't it obvious? l'm going to smash him\from the back as he's frantically getting out of the way.\However fast he might be, l'm still the fastest in the universe.\All right. response:	Although, why should we have to, against that scum?
context: At this point, you should launch your Crusher Ball.\Knowing his speed, he'll probably dodge it and run away.\What are you going to do?\lsn't it obvious? l'm going to smash him\from the back as he's frantically getting out of the way.\However fast he might be, l'm still the fastest in the universe.\All right.\Although, why should we have to, against that scum? response:	Dammit!
context: Knowing his speed, he'll probably dodge it and run away.\What are you going to do?\lsn't it obvious? l'm going to smash him\from the back as he's frantically getting out of the way.\However fast he might be, l'm still the fastest in the universe.\All right.\Although, why should we have to, against that scum?\Dammit! response:	Crusher...
context: What are you going to do?\lsn't it obvious? l'm going to smash him\from the back as he's frantically getting out of the way.\However fast he might be, l'm still the fastest in the universe.\All right.\Although, why should we have to, against that scum?\Dammit!\Crusher... response:	Come on, now...
context: lsn't it obvious? l'm going to smash him\from the back as he's frantically getting out of the way.\However fast he might be, l'm still the fastest in the universe.\All right.\Although, why should we have to, against that scum?\Dammit!\Crusher...\Come on, now... response:	What's wrong!? Why isn't he dodging it!?
context: from the back as he's frantically getting out of the way.\However fast he might be, l'm still the fastest in the universe.\All right.\Although, why should we have to, against that scum?\Dammit!\Crusher...\Come on, now...\What's wrong!? Why isn't he dodging it!? response:	He deflected it!
context: However fast he might be, l'm still the fastest in the universe.\All right.\Although, why should we have to, against that scum?\Dammit!\Crusher...\Come on, now...\What's wrong!? Why isn't he dodging it!?\He deflected it! response:	D- damn it!
context: All right.\Although, why should we have to, against that scum?\Dammit!\Crusher...\Come on, now...\What's wrong!? Why isn't he dodging it!?\He deflected it!\D- damn it! response:	Huh?
context: Although, why should we have to, against that scum?\Dammit!\Crusher...\Come on, now...\What's wrong!? Why isn't he dodging it!?\He deflected it!\D- damn it!\Huh? response:	Dammit, where did he go!?
context: Dammit!\Crusher...\Come on, now...\What's wrong!? Why isn't he dodging it!?\He deflected it!\D- damn it!\Huh?\Dammit, where did he go!? response:	Behind you, Butta!
context: Crusher...\Come on, now...\What's wrong!? Why isn't he dodging it!?\He deflected it!\D- damn it!\Huh?\Dammit, where did he go!?\Behind you, Butta! response:	Yo.
context: Come on, now...\What's wrong!? Why isn't he dodging it!?\He deflected it!\D- damn it!\Huh?\Dammit, where did he go!?\Behind you, Butta!\Yo. response:	Goku's power far exceeds that of the Ginyu Special Corps.
context: What's wrong!? Why isn't he dodging it!?\He deflected it!\D- damn it!\Huh?\Dammit, where did he go!?\Behind you, Butta!\Yo.\Goku's power far exceeds that of the Ginyu Special Corps. response:	Has Goku become that legendary warrior, a Super Saiyan, after all?
